PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,TT,CI,AID,PMC,GR,CN,CIN,CON,SI,DEP,CRI,EIN,LID,OTO,OT,MID,ECI
11277919,NLM,MEDLINE,20010517,20190620,0014-2956 (Print) 0014-2956 (Linking),268,7,2001 Apr,"Structural and catalytic properties and homology modelling of the human nucleoside diphosphate kinase C, product of the DRnm23 gene.",1972-81,"The human DRnm23 gene was identified by differential screening of a cDNA library obtained from chronic myeloid leukaemia-blast crisis primary cells. The over-expression of this gene inhibits differentiation and induces the apoptosis of myeloid precursor cell lines. We overproduced in bacteria a truncated form of the encoded protein lacking the first 17 N-terminal amino acids. This truncated protein was called nucleoside diphosphate (NDP) kinase CDelta. NDP kinase CDelta had similar kinetic properties to the major human NDP kinases A and B, but was significantly more stable to denaturation by urea and heat. Analysis of denaturation by urea, using size exclusion chromatography, indicated unfolding without the dissociation of subunits, whereas renaturation occurred via a folded monomer. The stability of the protein depended primarily on subunit interactions. Homology modelling of the structure of NDP kinase CDelta, based on the crystal structure of NDP kinase B, indicated that NDP kinase CDelta had several additional stabilizing interactions. The overall structure of the two enzymes appears to be identical because NDP kinase CDelta readily formed mixed hexamers with NDP kinase A. It is possible that mixed hexamers can be observed in vivo.","['Erent, M', 'Gonin, P', 'Cherfils, J', 'Tissier, P', 'Raschella, G', 'Giartosio, A', 'Agou, F', 'Sarger, C', 'Lacombe, M L', 'Konrad, M', 'Lascu, I']","['Erent M', 'Gonin P', 'Cherfils J', 'Tissier P', 'Raschella G', 'Giartosio A', 'Agou F', 'Sarger C', 'Lacombe ML', 'Konrad M', 'Lascu I']","['Institut de Biochimie et Genetique Cellulaires (UMR 5095), Centre National de la Recherche Scientifique et Universite de Bordeaux-2, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Biochem,European journal of biochemistry,0107600,"['0 (Isoenzymes)', '0 (NM23 Nucleoside Diphosphate Kinases)', '0 (Transcription Factors)', '8W8T17847W (Urea)', 'EC 2.7.4.6 (NME3 protein, human)', 'EC 2.7.4.6 (Nucleoside-Diphosphate Kinase)', 'EC 3.6.5.2 (Monomeric GTP-Binding Proteins)']",IM,"['Amino Acid Sequence', 'Blotting, Western', 'Catalysis', 'Enzyme Stability', 'Hot Temperature', 'Humans', 'Isoenzymes/*genetics/*metabolism', 'Models, Molecular', 'Molecular Sequence Data', 'Monomeric GTP-Binding Proteins/genetics/metabolism', 'NM23 Nucleoside Diphosphate Kinases', 'Neuroblastoma/enzymology', 'Nucleoside-Diphosphate Kinase/*genetics/*metabolism', 'Protein Denaturation', 'Sequence Alignment', 'Sequence Homology, Amino Acid', 'Structure-Activity Relationship', 'Transcription Factors/genetics/metabolism', 'Tumor Cells, Cultured', 'Urea/pharmacology']",,2001/03/30 10:00,2001/05/18 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/05/18 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,Eur J Biochem. 2001 Apr;268(7):1972-81. doi: 10.1046/j.1432-1327.2001.2076.doc.x.,,,"['ejb2076 [pii]', '10.1046/j.1432-1327.2001.2076.doc.x [doi]']",,,,,,"['GENBANK/AF153191', 'GENBANK/Q13232']",,,,,,,,
11277768,NLM,MEDLINE,20010628,20190906,0163-3864 (Print) 0163-3864 (Linking),64,3,2001 Mar,"A new macrocyclic trichothecene, 12,13-deoxyroridin E, produced by the marine-derived fungus Myrothecium roridum collected in Palau.",396-8,"A new macrocyclic trichothecene, 12,13-deoxyroridin E (1), and three known compounds, roridin E (2), verrucarin A (3), and verrucarin J (4), were obtained as cytotoxic components from the marine-derived fungus Myrothecium roridum, isolated in Palau. 12,13-Deoxyroridin E is the second example of a macrocyclic trichothecene possessing a double bond at C-12-C-13 and was about 80-fold less cytotoxic than roridin E, the epoxide variant.","['Namikoshi, M', 'Akano, K', 'Meguro, S', 'Kasuga, I', 'Mine, Y', 'Takahashi, T', 'Kobayashi, H']","['Namikoshi M', 'Akano K', 'Meguro S', 'Kasuga I', 'Mine Y', 'Takahashi T', 'Kobayashi H']","['Department of Ocean Sciences and Training Vessel Umitaka-maru, Tokyo University of Fisheries, Minato-ku, Tokyo 108-8477, Japan. namikosh@tokyo-u.fish.ac.jp']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Nat Prod,Journal of natural products,7906882,"['0 (12,13-deoxyroridin E)', '0 (Antineoplastic Agents)', '0 (Marine Toxins)', '0 (Mycotoxins)', '0 (Trichothecenes)']",IM,"['Animals', 'Antineoplastic Agents/chemistry/*isolation & purification/pharmacology', 'Ascomycota/*chemistry', 'HL-60 Cells', 'Humans', 'Leukemia L1210', 'Magnetic Resonance Spectroscopy', 'Marine Toxins/chemistry/isolation & purification/pharmacology', 'Molecular Structure', 'Mycotoxins/chemistry/isolation & purification/pharmacology', 'Trichothecenes/chemistry/*isolation & purification/pharmacology', 'Tumor Cells, Cultured']",,2001/03/30 10:00,2001/06/29 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/06/29 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,J Nat Prod. 2001 Mar;64(3):396-8. doi: 10.1021/np000443g.,,,"['np000443g [pii]', '10.1021/np000443g [doi]']",,,,,,,,,,,,,,
11277756,NLM,MEDLINE,20010628,20190906,0163-3864 (Print) 0163-3864 (Linking),64,3,2001 Mar,"Isolation and structures of haterumadioxins A and B, cytotoxic endoperoxides from the Okinawan sponge Plakortis lita.",356-9,"Cytotoxic endoperoxides, haterumadioxins A (1) and B (2), were isolated from the Okinawan sponge Plakortis lita. Their structures were determined by spectroscopic analysis. The absolute stereostructure of 1 was determined by degradation reactions and the modified Mosher's method. Haterumadioxins showed significant cytotoxicity against 38 human cancer cell lines.","['Takada, N', 'Watanabe, M', 'Yamada, A', 'Suenaga, K', 'Yamada, K', 'Ueda, K', 'Uemura, D']","['Takada N', 'Watanabe M', 'Yamada A', 'Suenaga K', 'Yamada K', 'Ueda K', 'Uemura D']","['Department of Chemistry, Graduate School of Science, Nagoya University, Chikusa, Nagoya 464-8602, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Nat Prod,Journal of natural products,7906882,"['0 (Antineoplastic Agents)', '0 (Dioxanes)', '0 (haterumadioxin A)', '0 (haterumadioxin B)']",IM,"['Animals', 'Antineoplastic Agents/chemistry/*isolation & purification/pharmacology', 'Dioxanes/chemistry/*isolation & purification/pharmacology', 'Drug Screening Assays, Antitumor', 'Leukemia P388', 'Magnetic Resonance Spectroscopy', 'Molecular Structure', 'Porifera/*chemistry', 'Tumor Cells, Cultured']",,2001/03/30 10:00,2001/06/29 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/06/29 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,J Nat Prod. 2001 Mar;64(3):356-9. doi: 10.1021/np0003490.,,,"['np0003490 [pii]', '10.1021/np0003490 [doi]']",,,,,,,,,,,,,,
11277754,NLM,MEDLINE,20010628,20190906,0163-3864 (Print) 0163-3864 (Linking),64,3,2001 Mar,"Hipposulfates A and B, new sesterterpene sulfates from an Okinawan sponge, Hippospongia cf. metachromia.",350-2,"Two new sesterterpene sulfates, hipposulfates A (1) and B (2), have been isolated from an Okinawan sponge, Hippospongia cf. metachromia and their structures elucidated by interpretation of spectroscopic data. Both compounds contain an enolsulfate functionality. Hipposulfate A (1) showed moderate cytotoxicity.","['Musman, M', 'Ohtani, I I', 'Nagaoka, D', 'Tanaka, J', 'Higa, T']","['Musman M', 'Ohtani II', 'Nagaoka D', 'Tanaka J', 'Higa T']","['Department of Chemistry, Biology, and Marine Science, University of the Ryukyus, Nishihara, Okinawa 903-0213, Japan.']",['eng'],['Journal Article'],United States,J Nat Prod,Journal of natural products,7906882,"['0 (Antineoplastic Agents)', '0 (Sesterterpenes)', '0 (Terpenes)', '0 (hipposulfate A)', '0 (hipposulfate B)']",IM,"['Animals', 'Antineoplastic Agents/pharmacology', 'Drug Screening Assays, Antitumor', 'HT29 Cells', 'Humans', 'Leukemia P388', 'Magnetic Resonance Spectroscopy', 'Porifera/*chemistry', 'Sesterterpenes', 'Terpenes/chemistry/*isolation & purification', 'Tumor Cells, Cultured']",,2001/03/30 10:00,2001/06/29 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/06/29 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,J Nat Prod. 2001 Mar;64(3):350-2. doi: 10.1021/np000060i.,,,"['np000060i [pii]', '10.1021/np000060i [doi]']",,,,,,,,,,,,,,
11277751,NLM,MEDLINE,20010628,20190906,0163-3864 (Print) 0163-3864 (Linking),64,3,2001 Mar,"Cortamidine oxide, a novel disulfide metabolite from the New Zealand basidiomycete (mushroom) Cortinarius species.",341-4,"Three disulfide metabolites were isolated from the fruiting bodies of the basidiomycete (mushroom) Cortinarius sp., collected in the Catlins, New Zealand. The structures of these compounds were determined as the unsymmetrical disulfide cortamidine oxide (1), 2,2'-dithiobis(pyridine N-oxide) (2), and the symmetrical disulfide 3. Both 1 and 2 showed significant antimicrobial activity and cytotoxicity. 2,2'-Dithiobis(pyridine N-oxide) (2) and the symmetrical disulfide 3 are assumed to be artifacts of the isolation procedure.","['Nicholas, G M', 'Blunt, J W', 'Munro, M H']","['Nicholas GM', 'Blunt JW', 'Munro MH']","['Department of Chemistry, University of Canterbury, PB 4800, Christchurch, New Zealand.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Nat Prod,Journal of natural products,7906882,"['0 (Anti-Infective Agents)', '0 (Antineoplastic Agents)', '0 (Disulfides)', '0 (Oxides)', '0 (Pyridines)', '0 (cortamidine oxide)']",IM,"['Agaricales/*metabolism', 'Animals', 'Anti-Infective Agents/isolation & purification/metabolism', 'Antineoplastic Agents/isolation & purification/metabolism', 'Disulfides/*isolation & purification/metabolism', 'Leukemia P388', 'New Zealand', 'Oxides/chemistry/*isolation & purification/metabolism/pharmacology', 'Pyridines/chemistry/*isolation & purification/metabolism/pharmacology']",,2001/03/30 10:00,2001/06/29 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/06/29 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,J Nat Prod. 2001 Mar;64(3):341-4. doi: 10.1021/np000408+.,,,"['np000408+ [pii]', '10.1021/np000408+ [doi]']",,,,,,,,,,,,,,
11277347,NLM,MEDLINE,20010719,20170214,0300-0605 (Print) 0300-0605 (Linking),29,1,2001 Jan-Feb,"The CAG regimen (low-dose cytarabine, aclarubicin hydrochloride and granulocyte colony-stimulating factor) for the treatment of elderly acute myelomonocytic leukaemia: a case study.",41-7,"Elderly patients with acute myelomonocytic leukaemia (AMMoL) frequently have a poor quality of life after induction of remission using high-intensity treatment; we seek a more appropriate regimen for such patients. An 86-year-old man was hospitalized with a diagnosis of AMMoL (FAB classification M4), of abnormal karyotype, and complications of diabetes mellitus and complete right bundle branch block. He was treated with CAG therapy (cytarabine 10 mg/m2 subcutaneously every 12 h for 14 consecutive days; aclarubicin hydrochloride 10 mg/m2 per day, bolus intravenously for 4 consecutive days; granulocyte colony-stimulating factor 100 microg/day, subcutaneous injection for 14 consecutive days) every 3 months. White blood cell counts were at their lowest (around 600 - 800/microl) 12 days after the end of therapy, but returned to about 2000 - 2300/microl 30 days after stopping therapy. No symptoms of drug-related toxicity, except slight nausea, were found. Complete remission with a good quality of life was induced and lasted over 2 years suggesting that CAG therapy might prove effective in elderly patients with AMMoL.","['Tsuda, T', 'Okamoto, Y', 'Sakaguchi, R', 'Katayama, N', 'Ota, K']","['Tsuda T', 'Okamoto Y', 'Sakaguchi R', 'Katayama N', 'Ota K']","['Department of Blood Transfusion Medicine and Clinical Hematology, Wakayama Medical College, Wakayama City, Japan.']",['eng'],"['Case Reports', 'Journal Article']",England,J Int Med Res,The Journal of international medical research,0346411,"['04079A1RDZ (Cytarabine)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '74KXF8I502 (Aclarubicin)', 'CAG protocol']",IM,"['Aclarubicin/*therapeutic use', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cytarabine/*therapeutic use', 'Granulocyte Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Leukemia, Myelomonocytic, Acute/*drug therapy/pathology', 'Male']",,2001/03/30 10:00,2001/07/20 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/07/20 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,J Int Med Res. 2001 Jan-Feb;29(1):41-7. doi: 10.1177/147323000102900107.,,,['10.1177/147323000102900107 [doi]'],,,,,,,,,,,,,,
11277336,NLM,MEDLINE,20010719,20131121,0392-9078 (Print) 0392-9078 (Linking),19,4,2000 Dec,Two siblings with chronic myelogenous leukemia.,541-3,In the present study we report the occurrence of Chronic Myelogenous Leukemia in two siblings (brother and sister) 47 and 62 years old respectively. These two cases raised the question of a possible genetic prodiathesis or a possible trasmission (environmental factor) cause.,"['Kapsali, E', 'Tsiara, S', 'Christou, L', 'Panteli, A', 'Bourantas, K L']","['Kapsali E', 'Tsiara S', 'Christou L', 'Panteli A', 'Bourantas KL']","['Dept. of Internal Medicine, University Hospital of Ioannina, Medical School, Greece.']",['eng'],"['Case Reports', 'Journal Article']",England,J Exp Clin Cancer Res,Journal of experimental & clinical cancer research : CR,8308647,"['0 (Interferon-alpha)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Bone Marrow/pathology', 'Humans', 'Hydroxyurea/administration & dosage', 'Interferon-alpha/administration & dosage', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/*drug therapy/*genetics/pathology', 'Male', 'Middle Aged', 'Nuclear Family', 'Philadelphia Chromosome', 'Polymerase Chain Reaction', 'Treatment Outcome']",,2001/03/30 10:00,2001/07/20 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/07/20 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,J Exp Clin Cancer Res. 2000 Dec;19(4):541-3.,,,,,,,,,,,,,,,,,
11277210,NLM,MEDLINE,20010802,20190915,0002-9645 (Print) 0002-9645 (Linking),62,3,2001 Mar,Aberrations of the p53 tumor suppressor gene in various tumors in dogs.,433-9,"OBJECTIVE: To evaluate aberrations of the p53 tumor suppressor gene in naturally developing tumors in dogs. SAMPLE POPULATION: Tumor specimens from 15 dogs with various tumors, including malignant lymphoma (7 dogs), monocytic leukemia (1), mammary gland adenoma (1), mammary gland benign mixed tumor (1), rhabdomyosarcoma (1), colon cancer (1), and osteosarcoma (3). PROCEDURE: Aberrations of the p53 gene in these tumor tissues were examined by reverse transcriptase-polymerase chain reaction and single-strand conformation polymorphism analysis, using 3 fragments that covered the entire open reading frame of the canine p53 gene, followed by nucleotide sequencing of the abnormal bands. RESULTS: Point mutations, deletions, and insertions resulting in a number of amino acid substitutions of wild-type p53 were detected in 7 of the 15 tumor specimens from dogs with malignant lymphoma, monocytic leukemia, rhabdomyosarcoma, colon cancer, and osteosarcoma. Of these 7 dogs, 2 had aberrations of the p53 gene on both alleles, whereas 5 had aberrations of the p53 gene on 1 allele and concurrently lacked the wild-type p53 transcript. Many of the aberrations of the p53 gene detected in these tumors were located in the transactivation, DNA binding, and oligomerization domains. CONCLUSIONS AND CLINICAL RELEVANCE: Various naturally developing tumors in dogs often have inactivation of the p53 tumor suppressor gene, which may be 1 of the multiple step-wise genetic changes during tumorigenesis. This study indicates that p53 gene can be a target for gene therapy for tumors in dogs.","['Setoguchi, A', 'Sakai, T', 'Okuda, M', 'Minehata, K', 'Yazawa, M', 'Ishizaka, T', 'Watari, T', 'Nishimura, R', 'Sasaki, N', 'Hasegawa, A', 'Tsujimoto, H']","['Setoguchi A', 'Sakai T', 'Okuda M', 'Minehata K', 'Yazawa M', 'Ishizaka T', 'Watari T', 'Nishimura R', 'Sasaki N', 'Hasegawa A', 'Tsujimoto H']","['Department of Veterinary Internal Medicine, Graduate School of Agricultural and Life Sciences, University of Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Vet Res,American journal of veterinary research,0375011,"['0 (DNA, Neoplasm)']",IM,"['Animals', 'Base Sequence', 'Blotting, Southern', 'DNA, Neoplasm/genetics', 'Dog Diseases/*genetics', 'Dogs', 'Gene Deletion', 'Genes, p53/*genetics', 'Molecular Sequence Data', 'Neoplasms/genetics/*veterinary', 'Point Mutation', 'Polymorphism, Single-Stranded Conformational', 'Reverse Transcriptase Polymerase Chain Reaction/veterinary', 'Sequence Analysis, DNA']",,2001/03/30 10:00,2001/08/03 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/08/03 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,Am J Vet Res. 2001 Mar;62(3):433-9. doi: 10.2460/ajvr.2001.62.433.,,,['10.2460/ajvr.2001.62.433 [doi]'],,,,,,['GENBANK/AB020761'],,,,,,,,
11277187,NLM,MEDLINE,20010628,20071115,0268-3369 (Print) 0268-3369 (Linking),27,3,2001 Feb,High-dose chemotherapy with autologous PBSCT as post-remission therapy for AML.,347,,"['Harada, M', 'Gondo, H', 'Kawano, F']","['Harada M', 'Gondo H', 'Kawano F']",,['eng'],"['Comment', 'Letter']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,,IM,"['Acute Disease', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use/toxicity', 'Clinical Trials as Topic', 'Disease-Free Survival', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia, Myeloid/*therapy', 'Transplantation Conditioning/adverse effects/methods', 'Transplantation, Autologous']",,2001/03/30 10:00,2001/06/29 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/06/29 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,Bone Marrow Transplant. 2001 Feb;27(3):347. doi: 10.1038/sj.bmt.1702786.,,,['10.1038/sj.bmt.1702786 [doi]'],,,,,"['Bone Marrow Transplant. 1997 Nov;20(10):821-6. PMID: 9404921', 'Bone Marrow Transplant. 2000 Aug;26(4):459-60. PMID: 10982296']",,,,,,,,,
11277171,NLM,MEDLINE,20010628,20081121,0268-3369 (Print) 0268-3369 (Linking),27,3,2001 Feb,"Peripheral blood progenitor cell mobilisation alters myeloid, but not erythroid, progenitor cell self-renewal kinetics.",241-8,"Transplantation of progenitor cells which have been mobilised into the bloodstream (PBPC) following the administration of G-CSF results in more rapid neutrophil recovery than transplantation of bone marrow (BM). The reasons for the accelerated neutrophil engraftment are not clear, but would be explained by increased self-replication of myeloid progenitor cells (CFU-GM). We have used a CFU-GM replating assay to investigate myeloid progenitor self-replication, and quantification of subcolony formation during erythroid burst formation to quantify erythroid progenitor self-renewal. Secondary colony formation by CFU-GM, grown from PBPC and then replated was increased compared with secondary colony formation by BM CFU-GM (P = 0.0001); erythroid subcolony formation was not altered. There was no difference between the replating abilities of PBPC CFU-GM derived from allogeneic donors (normal individuals) and autologous donors (patients with malignant disease) although differences were found between subgroups of autologous donors. The increased replication of PBPC could not be accounted for by a reduction in progenitor cell apoptosis; PBPC CFU-GM contained slightly fewer apoptotic CD34+ cells than BM CFU-GM. The increased replication by PBPC CFU-GM was reversible because it declined when CFU-GM colonies were passaged through three sequential CFU-GM replating cycles. This decline in self-replication was more rapid than the decline seen in replated BM CFU-GM. The self-replication of PBPC CFU-GM, and subcolony formation by BFU-E could be further enhanced by exposure to cytokines in vitro. We conclude that mobilisation alters the replication kinetics of myeloid, but not of erythroid, progenitor cells, that mobilisation-induced events are of limited duration and that in vitro exposure to cytokines may modify PBPC progenitor cell kinetics.","['Marley, S B', 'Lewis, J L', 'Zheng, B', 'Davidson, R J', 'Davis, J G', 'McDonald, C', 'Alenzi, F Q', 'Goldman, J M', 'Gordon, M Y']","['Marley SB', 'Lewis JL', 'Zheng B', 'Davidson RJ', 'Davis JG', 'McDonald C', 'Alenzi FQ', 'Goldman JM', 'Gordon MY']","['Leukaemia Research Fund Centre for Adult Leukaemia , Department of Hematology, Imperial College School of Medicine, London, UK.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,"['0 (Cytokines)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,"['Blood Cells/cytology', 'Bone Marrow Cells/cytology', 'Cell Division/drug effects', 'Colony-Forming Units Assay', 'Cytokines/administration & dosage/pharmacology', 'Erythroid Precursor Cells/cytology/*drug effects', 'Granulocyte Colony-Stimulating Factor/administration & dosage/pharmacology', 'Hematologic Neoplasms/*therapy', '*Hematopoietic Stem Cell Mobilization', 'Humans', 'Kinetics', 'Myeloid Progenitor Cells/cytology/*drug effects']",,2001/03/30 10:00,2001/06/29 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/06/29 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,Bone Marrow Transplant. 2001 Feb;27(3):241-8. doi: 10.1038/sj.bmt.1702777.,,,['10.1038/sj.bmt.1702777 [doi]'],,,,,,,,,,,,,,
11277104,NLM,MEDLINE,20010405,20190501,0007-1161 (Print) 0007-1161 (Linking),85,3,2001 Mar,Limbal stem cell deficiency arising from systemic chemotherapy.,373-4,,"['Ellies, P', 'Anderson, D F', 'Topuhami, A', 'Tseng, S C']","['Ellies P', 'Anderson DF', 'Topuhami A', 'Tseng SC']",,['eng'],"['Case Reports', 'Letter', ""Research Support, Non-U.S. Gov't""]",England,Br J Ophthalmol,The British journal of ophthalmology,0421041,"['0 (Antineoplastic Agents)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Aged', 'Antineoplastic Agents/*adverse effects', 'Corneal Transplantation/methods', 'Humans', 'Hydroxyurea/*adverse effects', 'Keratitis/*chemically induced/surgery', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy', 'Male', 'Stem Cells/drug effects', 'Treatment Outcome']",,2001/03/30 10:00,2001/04/06 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/04/06 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,Br J Ophthalmol. 2001 Mar;85(3):373-4. doi: 10.1136/bjo.85.3.371c.,,,['10.1136/bjo.85.3.371c [doi]'],PMC1723880,,,,,,,,,,,,,
11277103,NLM,MEDLINE,20010405,20190501,0007-1161 (Print) 0007-1161 (Linking),85,3,2001 Mar,Localised chronic eyedlid disease resulting from long term hydroxyurea therapy.,372-3,,"['Puri, P', 'Woodcock, B E', ""O'Donnell, N""]","['Puri P', 'Woodcock BE', ""O'Donnell N""]",,['eng'],"['Case Reports', 'Letter']",England,Br J Ophthalmol,The British journal of ophthalmology,0421041,"['0 (Antineoplastic Agents)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Antineoplastic Agents/*adverse effects', 'Blepharitis/*chemically induced', 'Humans', 'Hydroxyurea/*adverse effects', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Long-Term Care', 'Male', 'Middle Aged']",,2001/03/30 10:00,2001/04/06 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/04/06 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,Br J Ophthalmol. 2001 Mar;85(3):372-3. doi: 10.1136/bjo.85.3.371b.,,,['10.1136/bjo.85.3.371b [doi]'],PMC1723878,,,,,,,,,,,,,
11276977,NLM,MEDLINE,20010503,20211203,0867-7077 (Print) 0867-7077 (Linking),68,9-10,2000,[Cytomegalic disease as a cause of disseminated lung lesions in an immunosuppressed patient].,454-62,"A case of disseminated lesions in the lungs was diagnosed just during autopsy as cytomegalic infection. 54-year old patient treated since 10 years because of lymphoplasmacytoid lymphoma of low malignancy was admitted to Institute of Tuberculosis with suspicion of miliary tuberculosis. The high temperature, pemphigus--like skin lesions and disseminated lesions in the chest X-ray appeared immediately after succeeding chemotherapy. Tuberculous bacilli. Aspergillus fumigatus and Pneumocystis carinii were not found in examined materials (BALF, blood, urine, skin and mucous lesions). Patient died after 3 days and typical lesions of cytomegalovirus infection were found only after autopsy in macroscopic picture of the lungs.","['Fijolek, J', 'Wiatr, E', 'Szolkowska, M', 'Oniszh, K']","['Fijolek J', 'Wiatr E', 'Szolkowska M', 'Oniszh K']","['Z III Kliniki Gruzlicy i Chorob Pluc, Warszawie.']",['pol'],"['Case Reports', 'Journal Article']",Poland,Pneumonol Alergol Pol,Pneumonologia i alergologia polska,9302892,,IM,"['Autopsy', 'Bronchoalveolar Lavage Fluid/cytology', 'Cytomegalovirus Infections/*diagnosis/*etiology', 'Diagnosis, Differential', 'Fatal Outcome', 'Humans', 'Immunosuppression Therapy/*adverse effects', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications/*drug therapy', 'Lung/diagnostic imaging', 'Lung Diseases/*diagnosis/*etiology', 'Male', 'Middle Aged', 'Radiography', 'Tuberculosis, Pulmonary/diagnosis']",,2001/03/30 10:00,2001/05/05 10:01,['2001/03/30 10:00'],"['2001/03/30 10:00 [pubmed]', '2001/05/05 10:01 [medline]', '2001/03/30 10:00 [entrez]']",ppublish,Pneumonol Alergol Pol. 2000;68(9-10):454-62.,Cytomegalia jako przyczyna masywnych zmian rozsianych w plucach u chorego w immunosupresji.,,,,,,,,,,,,,,,,
