PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,GR,PMC,TT,RF,SI,OID,CIN,EIN
6295365,NLM,MEDLINE,19830214,20190919,0006-2944 (Print) 0006-2944 (Linking),28,2,1982 Oct,Ecto-5'nucleotidase and adenosine deaminase activities of lymphoid cells.,144-56,,"['Dornand, J', 'Bonnafous, J C', 'Favero, J', 'Mani, J C']","['Dornand J', 'Bonnafous JC', 'Favero J', 'Mani JC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Med,Biochemical medicine,0151424,"['EC 3.1.3.- (Nucleotidases)', ""EC 3.1.3.5 (5'-Nucleotidase)"", 'EC 3.5.4.- (Nucleoside Deaminases)', 'EC 3.5.4.4 (Adenosine Deaminase)']",IM,"[""5'-Nucleotidase"", 'Adenosine Deaminase/*blood', 'Animals', 'Cell Line', 'Hydrolysis', 'Leukemia, Experimental/enzymology', 'Lymphocytes/*enzymology', 'Male', 'Mice', 'Nucleoside Deaminases/*blood', 'Nucleotidases/*blood']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",ppublish,Biochem Med. 1982 Oct;28(2):144-56. doi: 10.1016/0006-2944(82)90065-5.,['10.1016/0006-2944(82)90065-5 [doi]'],,,,,,,,
6295134,NLM,MEDLINE,19830214,20190511,0002-9173 (Print) 0002-9173 (Linking),79,1,1983 Jan,Acute leukemia after successful chemotherapy for oat cell carcinoma.,122-4,"A report of acute myelomonocytic leukemia following successful therapy for oat cell carcinoma is presented. The patient had been treated with extensive cytotoxic and radiation therapy, and was without clinical evidence of disease at one year follow-up. Eighteen months later, a peripheral smear revealed numerous blasts with monocytoid characteristics. This unusual presentation is discussed and compared with several other cases appearing in the recent literature.","['Rose, V L', 'Keppen, M D', 'Eichner, E R', 'Pitha, J V', 'Murray, J L']","['Rose VL', 'Keppen MD', 'Eichner ER', 'Pitha JV', 'Murray JL']",['eng'],"['Case Reports', 'Journal Article']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Aged', 'Carcinoma, Small Cell/*drug therapy/radiotherapy', 'Drug Therapy, Combination', 'Humans', 'Leukemia, Myeloid, Acute/*chemically induced', 'Leukemia, Radiation-Induced/etiology', 'Lung Neoplasms/*drug therapy/radiotherapy', 'Male']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Am J Clin Pathol. 1983 Jan;79(1):122-4. doi: 10.1093/ajcp/79.1.122.,['10.1093/ajcp/79.1.122 [doi]'],,,,,,,,
6295030,NLM,MEDLINE,19830214,20190913,0514-7166 (Print) 0514-7166 (Linking),29,8,1982 Sep,Early diagnosis of virus induced bovine leukosis in milk by a simple modified ELISA test.,591-5,,"['Ban, J', 'Zajac, V', 'Altaner, C', 'Cerny, L']","['Ban J', 'Zajac V', 'Altaner C', 'Cerny L']",['eng'],['Journal Article'],Germany,Zentralbl Veterinarmed B,Zentralblatt fur Veterinarmedizin. Reihe B. Journal of veterinary medicine. Series B,0331325,"['0 (Antibodies, Viral)']",IM,"['Animals', 'Antibodies, Viral/analysis', 'Cattle', 'Cattle Diseases/*diagnosis', 'Enzyme-Linked Immunosorbent Assay/veterinary', 'Female', 'Leukemia/diagnosis/*veterinary', 'Leukemia Virus, Bovine/immunology', 'Milk/*immunology']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",ppublish,Zentralbl Veterinarmed B. 1982 Sep;29(8):591-5. doi: 10.1111/j.1439-0450.1982.tb01259.x.,['10.1111/j.1439-0450.1982.tb01259.x [doi]'],,,,,,,,
6295029,NLM,MEDLINE,19830214,20190913,0514-7166 (Print) 0514-7166 (Linking),29,8,1982 Sep,A simple and inexpensive method for detection of BLV infected cattle based on a modified ELISA principle.,583-90,,"['Altaner, C', 'Zajac, V', 'Ban, J']","['Altaner C', 'Zajac V', 'Ban J']",['eng'],['Journal Article'],Germany,Zentralbl Veterinarmed B,Zentralblatt fur Veterinarmedizin. Reihe B. Journal of veterinary medicine. Series B,0331325,"['0 (Antibodies, Viral)']",IM,"['Animals', 'Antibodies, Viral/analysis', 'Cattle', 'Cattle Diseases/*diagnosis', 'Enzyme-Linked Immunosorbent Assay/veterinary', 'Leukemia/diagnosis/*veterinary', 'Leukemia Virus, Bovine/immunology']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",ppublish,Zentralbl Veterinarmed B. 1982 Sep;29(8):583-90. doi: 10.1111/j.1439-0450.1982.tb01258.x.,['10.1111/j.1439-0450.1982.tb01258.x [doi]'],,,,,,,,
6294978,NLM,MEDLINE,19830225,20190714,0042-6822 (Print) 0042-6822 (Linking),123,2,1982 Dec,Isolation and characterization of four new temperature-sensitive mutants of avian erythroblastosis virus (AEV).,296-311,,"['Palmieri, S', 'Beug, H', 'Graf, T']","['Palmieri S', 'Beug H', 'Graf T']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Virology,Virology,0110674,"['0 (Actins)', '0 (Fibronectins)', '0 (Hemoglobins)', '0 (Hexoses)']",IM,"['Actins/analysis', 'Alpharetrovirus/genetics/*isolation & purification', 'Animals', 'Avian Leukosis/metabolism', 'Avian Leukosis Virus/*isolation & purification', 'Biological Transport', 'Chickens', 'Fibronectins/analysis', 'Hematopoietic Stem Cells/metabolism/microbiology', 'Hemoglobins/biosynthesis', 'Hexoses/metabolism', '*Mutation', 'Temperature']",1982/12/01 00:00,1982/12/01 00:01,['1982/12/01 00:00'],"['1982/12/01 00:00 [pubmed]', '1982/12/01 00:01 [medline]', '1982/12/01 00:00 [entrez]']",ppublish,Virology. 1982 Dec;123(2):296-311. doi: 10.1016/0042-6822(82)90263-x.,['10.1016/0042-6822(82)90263-x [doi]'],,,,,,,,
6294969,NLM,MEDLINE,19830225,20061115,0324-1068 (Print) 0324-1068 (Linking),19,4,1982,[Detection of antibodies against bovine leukemia virus using the enzyme-linked immunosorbent assay].,36-41,"Described is the experimental procedure of the enzyme-linked immunosorbent assay (ELISA) in the detection and quantitative determination of bovine leukosis virus antibodies. The optimum conditions for the employment of the method are stated along with the optimum amounts of the reagents taking part in the performance of the assay. It was established that as much as 10 ng/cm3 virus purified in gradients was sufficient to sensitive the polyvinyl plaques. A comparative investigation was carried out through the agar gel immunodiffusion test, using a double antigen. Forty-seven out of a total of 446 sera were found to be ELISA-positive, and 45 were positive as demonstrated by the immunodiffusion test. Results indicated that ELISA could be used as a routine method in the diagnosis of enzootic bovine leukosis.","['Vulchovski, R']",['Vulchovski R'],['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Bulgaria,Vet Med Nauki,Veterinarno-meditsinski nauki,0414760,"['0 (Antibodies, Viral)', '0 (Antigens, Viral)']",IM,"['Animals', 'Antibodies, Viral/*analysis', 'Antigens, Viral/analysis', 'Cattle', 'Enzyme-Linked Immunosorbent Assay', 'Immunodiffusion', 'Leukemia/immunology/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Retroviridae/*immunology']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",ppublish,Vet Med Nauki. 1982;19(4):36-41.,,,,Otkrivane na antitela sreshchu govezhdiia levkozen virus s pomoshchta na inzimo-imunoadsorbenten test.,,,,,
6294966,NLM,MEDLINE,19830225,20190829,0165-2427 (Print) 0165-2427 (Linking),3,6,1982 Nov,Protection against bovine leukosis virus infection in sheep with the BL 20 bovine lymphoblastoid cell line.,635-42,"The bovine lymphoblastoid BL 20 cell line derived from a case of sporadic bovine leukosis when inoculated into sheep did not induce an antibody response directed against bovine leukosis virus (BLV) structural proteins. Sheep were inoculated twice with the BL 20 cell line and then challenged with BLV infected lymphocytes. Three out of four sheep challenged four weeks after BL 20 inoculation did not develop BLV antibodies. Of the 12 sheep challenged later, three sheep did not develop BLV antibodies. BLV was isolated from all the seropositive animals and from none of the seronegative animals.","['Roberts, D H', 'Lucas, M H', 'Sands, J', 'Wibberley, G']","['Roberts DH', 'Lucas MH', 'Sands J', 'Wibberley G']",['eng'],['Journal Article'],Netherlands,Vet Immunol Immunopathol,Veterinary immunology and immunopathology,8002006,"['0 (Antibodies, Viral)', '0 (Viral Vaccines)']",IM,"['Animals', 'Antibodies, Viral/analysis', 'Cattle', 'Cell Line', 'Leukemia/*immunology/veterinary', 'Leukemia Virus, Bovine/*immunology', 'Retroviridae/*immunology', 'Sheep', 'Sheep Diseases/*immunology', 'Vaccination/veterinary', 'Viral Vaccines/*administration & dosage']",1982/11/01 00:00,1982/11/01 00:01,['1982/11/01 00:00'],"['1982/11/01 00:00 [pubmed]', '1982/11/01 00:01 [medline]', '1982/11/01 00:00 [entrez]']",ppublish,Vet Immunol Immunopathol. 1982 Nov;3(6):635-42. doi: 10.1016/0165-2427(82)90046-0.,"['0165-2427(82)90046-0 [pii]', '10.1016/0165-2427(82)90046-0 [doi]']",,,,,,,,
6294960,NLM,MEDLINE,19830225,20190702,0042-4900 (Print) 0042-4900 (Linking),111,21,1982 Nov 20,Herd eradication of enzootic bovine leukosis.,487,,"['Roberts, D H', 'Bushnell, S']","['Roberts DH', 'Bushnell S']",['eng'],['Journal Article'],England,Vet Rec,The Veterinary record,0031164,"['0 (Antibodies, Viral)']",IM,"['Animals', 'Antibodies, Viral/analysis', 'Cattle', 'Cattle Diseases/diagnosis/*prevention & control', 'Immunodiffusion/veterinary', 'Leukemia/diagnosis/prevention & control/*veterinary', 'Leukemia Virus, Bovine/immunology', 'United Kingdom']",1982/11/20 00:00,1982/11/20 00:01,['1982/11/20 00:00'],"['1982/11/20 00:00 [pubmed]', '1982/11/20 00:01 [medline]', '1982/11/20 00:00 [entrez]']",ppublish,Vet Rec. 1982 Nov 20;111(21):487. doi: 10.1136/vr.111.21.487.,['10.1136/vr.111.21.487 [doi]'],,,,,,,,
6294911,NLM,MEDLINE,19830214,20041117,0303-6286 (Print) 0303-6286 (Linking),9,3,1981,[Virus and cancer].,287-94,,"['Mussgay, M']",['Mussgay M'],['ger'],['Journal Article'],Germany,Tierarztl Prax,Tierarztliche Praxis,7501042,,IM,"['Animals', 'Cattle', 'Culture Techniques', 'Herpesvirus 2, Gallid/pathogenicity', 'Leukemia Virus, Bovine/pathogenicity', 'Mice', 'Neoplasms/etiology/*veterinary', '*Oncogenic Viruses/classification/growth & development', 'Papillomaviridae/pathogenicity', 'Polyomaviridae', 'Sarcoma Viruses, Murine/pathogenicity', 'Simian virus 40/growth & development', 'Virus Replication']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",ppublish,Tierarztl Prax. 1981;9(3):287-94.,,,,Virus und Krebs.,,,,,
6294858,NLM,MEDLINE,19830214,20061115,,58,38,1982 Oct 21,[Adverse effects of antitumor and antileukemic chemotherapy. 2].,2175-84,"Aplastic anemia is the most severe hematologic side-effect. All chemotherapeutic agents, with the exception of bleomycin and L-asparaginase, may induce aplasia, but the degree of hematotoxicity varies according to the drug. With the exception of acute leukemia in which drug-induced aplasia is part of the treatment, aplasia must be prevented through perfect knowledge of the posology and injection schedules for each drug, as well as by adjusting doses to the patient's hematological status. If aplasia develops, intensive hematological care is requisite. The most common cardiac side-effect is toxic cardiomyopathy caused by anthracyclines, which must be diagnosed early by EKG recordings before each injection and repeated ultrasonography or dynamic cardiac scintigraphy. The risk of toxic cardiomyopathy makes it requisite not to exceed the maximal doses set for each drug. Pulmonary side-effects include acute hypersensitivity pneumopathy and chronic diffuse interstitial fibrosis, the latter being more common and mainly caused by bleomycin. The risk of chronic fibrosis demands that patients be closely monitored and that the total dose be kept under 300 mg. Renal toxicity usually results in acute transient renal failure, as with cisplatinum, and requires a thorough biological study before each injection. Vesical hemorrhage, which is threatening in some instances, may occur with cyclophosphamide. VM26 and VP16 may induce anaphylactic shock. Allergic symptoms are possible with L-asparaginase and bleomycin.","['Turpin, F', 'Tubiana-Hulin, M', 'Meeus, L', 'Goupil, A', 'Berlie, J', 'Clavel, B']","['Turpin F', 'Tubiana-Hulin M', 'Meeus L', 'Goupil A', 'Berlie J', 'Clavel B']",['fre'],"['English Abstract', 'Journal Article', 'Review']",France,Sem Hop,La semaine des hopitaux : organe fonde par l'Association d'enseignement medical des hopitaux de Paris,9410059,['0 (Antineoplastic Agents)'],IM,"['Anaphylaxis/chemically induced', 'Anemia, Aplastic/chemically induced', 'Antineoplastic Agents/*adverse effects', 'Cardiomyopathies/chemically induced', 'Heart Diseases/chemically induced', 'Humans', 'Kidney Diseases/chemically induced', 'Leukemia/drug therapy', 'Lung Diseases/chemically induced', 'Urinary Bladder Diseases/chemically induced']",1982/10/21 00:00,1982/10/21 00:01,['1982/10/21 00:00'],"['1982/10/21 00:00 [pubmed]', '1982/10/21 00:01 [medline]', '1982/10/21 00:00 [entrez]']",ppublish,Sem Hop. 1982 Oct 21;58(38):2175-84.,,,,Accidents de la chimiotherapie antitumorale et antileucemique. Deuxieme partie.,0,,,,
6294836,NLM,MEDLINE,19830214,20061115,,58,36,1982 Oct 7,[Complications of antitumor and antileukemic chemotherapy. 1].,2047-57,"The recent development of chemotherapy in the treatment of cancer and leukemia requires that all practitioners involved have a thorough knowledge of the sometimes life-threatening side-effects of chemotherapeutic agents. All these agents, whether used alone or in a combination, carry a risk because of their lack of specificity which make active on normal cells, especially those with a rapid turn-over such as the hematopoietic cells or the cells of the digestive tract. Prior to the prescription of a chemotherapeutic regimen, the acceptable risk must always be clearly defined, according to the seriousness of the disease and to the patient's age, physical condition and psychological status. During the course continuous monitoring adjusted to the specific toxicity of the agents used is requisite. More or less prominent asthenia and weight loss are common, as the result of various physiopathological mechanisms. Digestive disorders may consist only of nausea and emesis or include mucosal lesions with diarrhea as the main feature. Vincristine and vindesine are responsible for constipation. Hepatic toxicity, which is less common, is usually due to L-asparaginase. Transient hair loss is the most frequent cutaneous side-effect. Hyperpigmentation, photosensitivity, nail lesions, cellulitis and ulcerations may occur, as well as specific lesions with bleomycin. High fever during injection often occurs with this last agent.","['Turpin, F', 'Tubiana-Hulin, M', 'Meeus, L', 'Goupil, A', 'Berlie, J', 'Clavel, B']","['Turpin F', 'Tubiana-Hulin M', 'Meeus L', 'Goupil A', 'Berlie J', 'Clavel B']",['fre'],"['English Abstract', 'Journal Article', 'Review']",France,Sem Hop,La semaine des hopitaux : organe fonde par l'Association d'enseignement medical des hopitaux de Paris,9410059,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/*adverse effects', 'Digestive System Diseases/chemically induced', 'Fever/chemically induced', 'Humans', 'Leukemia/*drug therapy', 'Risk', 'Skin Diseases/chemically induced']",1982/10/07 00:00,1982/10/07 00:01,['1982/10/07 00:00'],"['1982/10/07 00:00 [pubmed]', '1982/10/07 00:01 [medline]', '1982/10/07 00:00 [entrez]']",ppublish,Sem Hop. 1982 Oct 7;58(36):2047-57.,,,,Accidents de la chimiotherapie antitumorale et antileucemique. Premiere partie.,0,,,,
6294668,NLM,MEDLINE,19830225,20190501,0027-8424 (Print) 0027-8424 (Linking),79,22,1982 Nov,Transcriptionally active DNA region that rearranges frequently in murine lymphoid tumors.,6966-70,"A DNA region not associated with conventional immunoglobulin gene rearrangement is rearranged in many lymphoid tumors. This region, designated here as lymphoid rearranging (LyR) DNA, was cloned from plasmacytoma J558 in which it had recombined 5' to a constant (C) region of the alpha heavy (H) chain gene, C alpha, within a switch (S) region, S alpha, involved in the switching of CH genes. Sequence determination established that LyR DNA had recombined within a S alpha recombination unit. LyR DNA does not originate from the H chain locus, and discordance between LyR DNA and CH copy number in certain lines suggests that LyR DNA probably derives from another chromosome. LyR DNA rearrangement is a characteristic of tumors of mature B cells; it was detected in 24 of 28 plasmacytomas and B-cell lymphomas, usually as LyR-S alpha, but not in 11 Abelson retrovirus-induced lymphomas of B-cell precursors nor detectably in normal B cells. In contrast, rearrangement was observed in only 3 of 18 T-cell lymphomas, and none of seven nonlymphoid lines. Most tumor lines (49 of 52), whether lymphoid or not, contained a low level of polyadenylylated LyR transcript(s), but several new RNA species with differences in their 5' regions appeared in B-cell lines in which LyR DNA was rearranged, suggesting that rearrangement may activate a new promoter or mode of splicing. The results suggest that the LyR-S alpha rearrangement represents a translocation to chromosome 12 that alters expression of LyR-encoded genes; hence, it may have participated in lymphoid tumor oncogenesis.","['Adams, J M', 'Gerondakis, S', 'Webb, E', 'Mitchell, J', 'Bernard, O', 'Cory, S']","['Adams JM', 'Gerondakis S', 'Webb E', 'Mitchell J', 'Bernard O', 'Cory S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (DNA, Neoplasm)', '0 (Immunoglobulins)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Animals', 'Base Sequence', 'Cell Line', 'DNA Restriction Enzymes', 'DNA, Neoplasm/*genetics', 'Immunoglobulins/*genetics', 'Leukemia, Experimental/*genetics/immunology', 'Lymphoma/*genetics/immunology', 'Mice', 'Neoplasms, Experimental/*genetics/immunology', 'Plasmacytoma/*genetics/immunology', '*Transcription, Genetic']",1982/11/01 00:00,1982/11/01 00:01,['1982/11/01 00:00'],"['1982/11/01 00:00 [pubmed]', '1982/11/01 00:01 [medline]', '1982/11/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1982 Nov;79(22):6966-70. doi: 10.1073/pnas.79.22.6966.,['10.1073/pnas.79.22.6966 [doi]'],['CA12421/CA/NCI NIH HHS/United States'],PMC347255,,,"['GENBANK/J00603', 'GENBANK/J00604']",,,
6294664,NLM,MEDLINE,19830225,20190501,0027-8424 (Print) 0027-8424 (Linking),79,22,1982 Nov,Human adult T-cell leukemia virus: molecular cloning of the provirus DNA and the unique terminal structure.,6899-902,"Adult T-cell leukemia virus (ATLV) is a human retrovirus closely associated with adult T-cell leukemia. The integrated provirus DNA and cDNA from virion RNA were molecularly cloned and their structures were analyzed. Clone lambda ATM-1 of an integrated provirus DNA in the MT-1 cell line, established from adult T-cell leukemia cells by cocultivation with cord lymphocytes, contained DNA about 13,000 base pairs (bp) long and long terminal repeats (LTR) at both ends of the viral sequence that were about 8,000 bp long. These two LTR sequences were linked to cellular sequences with direct repeats of 7 bp. Each LTR consisted of 754 bp including inverted repeats of 2 bp at the ends and the T-A-T-A-A box, characteristics in common with those of LTRs of other known retroviruses. Adjacent to the 5' LTR there was a sequence identical to the tRNAPro binding site in murine leukemia virus, suggesting that tRNAPro is a primer for reverse transcription of the viral genome. From these structural features, the mechanism of ATLV replication was suggested to be the same as that of other known animal retroviruses. However, the length of the small terminal repeats at the ends of the RNA genome, 228 +/- 1 bases, is much longer than the lengths, up to 80 bases, of those in avian, mouse, or primate retroviruses so far analyzed. These findings suggest that ATLV should be classified in a distinct group of retroviruses with bovine leukemia virus which also makes unusually long strong-stop cDNA.","['Seiki, M', 'Hattori, S', 'Yoshida, M']","['Seiki M', 'Hattori S', 'Yoshida M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (DNA, Viral)', '0 (RNA, Viral)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Adult', 'Base Sequence', '*Cloning, Molecular', 'DNA Restriction Enzymes', 'DNA, Viral/*genetics', 'Genes, Viral', 'Humans', 'Leukemia/microbiology', 'RNA, Viral/genetics', 'Retroviridae/*genetics']",1982/11/01 00:00,1982/11/01 00:01,['1982/11/01 00:00'],"['1982/11/01 00:00 [pubmed]', '1982/11/01 00:01 [medline]', '1982/11/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1982 Nov;79(22):6899-902. doi: 10.1073/pnas.79.22.6899.,['10.1073/pnas.79.22.6899 [doi]'],,PMC347241,,,"['GENBANK/J02028', 'GENBANK/J02030', 'GENBANK/J02031', 'GENBANK/J02032']",,,
6294621,NLM,MEDLINE,19830225,20190501,0305-1048 (Print) 0305-1048 (Linking),10,21,1982 Nov 11,Nucleotide sequence of the 3' half of AKV.,6931-44,"We report the nucleotide sequence of the 3' half of the ecotropic murine leukemia virus AKV genome. To obtain a preliminary sequence, we developed a sequencing strategy whereby a nested set of restriction fragments is chemically modified prior to gel purification and strand scission. The sequence defines the genetic map of the 3' half of AKV and locates recombinant regions previously identified in structural analyses of MCF viruses.","['Herr, W', 'Corbin, V', 'Gilbert, W']","['Herr W', 'Corbin V', 'Gilbert W']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Nucleic Acids Res,Nucleic acids research,0411011,"['0 (DNA, Circular)', '0 (DNA, Viral)', '0 (Viral Proteins)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Cloning, Molecular', 'DNA Restriction Enzymes', 'DNA, Circular/genetics', 'DNA, Viral/*genetics', '*Genes, Viral', 'Leukemia Virus, Murine/*genetics', 'Mice', 'Viral Proteins/genetics']",1982/11/11 00:00,1982/11/11 00:01,['1982/11/11 00:00'],"['1982/11/11 00:00 [pubmed]', '1982/11/11 00:01 [medline]', '1982/11/11 00:00 [entrez]']",ppublish,Nucleic Acids Res. 1982 Nov 11;10(21):6931-44. doi: 10.1093/nar/10.21.6931.,['10.1093/nar/10.21.6931 [doi]'],['GM09541-21/GM/NIGMS NIH HHS/United States'],PMC326975,,,"['GENBANK/J01998', 'GENBANK/J01999', 'GENBANK/K00016', 'GENBANK/K00017', 'GENBANK/K00018', 'GENBANK/K01394']",,,
6294619,NLM,MEDLINE,19830225,20190501,0305-1048 (Print) 0305-1048 (Linking),10,21,1982 Nov 11,The temporal order of replication of murine immunoglobulin heavy chain constant region sequences corresponds to their linear order in the genome.,6887-902,"The time of replication during the S phase in a murine erythroleukemia (MEL) cell line was determined for immunoglobulin heavy chain constant region C alpha, C gamma 2b and C mu sequences whose boundaries are defined by EcoR1 restriction endonuclease sites (EcoR1 segments). Logarithmically growing cultures of MEL cells with an S phase of about 7.5 hours were pulse labelled with 20 micrograms/ml of 5-bromodeoxyuridine (BUdR). The cells were then fractionated by centrifugal elutriation into 10-12 distinct populations containing cells in different stages of the cell cycle. Flow microfluorimetric (FMF) analysis of DNA content, measurements of cell volume and autoradiography after 3H-thymidine pulse labelling were used to determine position in the cell cycle. Fractions were pooled to represent four selected intervals of S in which BU-DNA was synthesized for 2.5 hrs or less. Newly replicated DNA which had incorporated BUdR into one strand was isolated, cleaved with EcoR1, and separated on neutral Cs2S04 gradients. Equal amounts of BU-DNA replicated during these four intervals of S were electrophoresed in 0.8% agarose gels, transferred to diazotized aminobenzyloxymethyl paper and hybridized with 32p probes containing the C alpha, C gamma 2b and C mu genes and flanking sequences. The relative amounts of segments replicated were assessed by quantitation of the appropriate bands on the autoradiograms by microdensitometry. The results indicate that the 2.8 kb C alpha, 6.6 kb C gamma 2b and 12 kb C mu EcoR1 segments in these MEL cells replicated during defined intervals of the first half of the S phase. The order of replication of these EcoR1 segments as the cells proceeded through S was C alpha, C gamma 2b, C mu, corresponding to the linear order of the genes determined by restriction endonuclease mapping.","['Braunstein, J D', 'Schulze, D', 'DelGiudice, T', 'Furst, A', 'Schildkraut, C L']","['Braunstein JD', 'Schulze D', 'DelGiudice T', 'Furst A', 'Schildkraut CL']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Nucleic Acids Res,Nucleic acids research,0411011,"['0 (DNA, Neoplasm)', '0 (Immunoglobulin Constant Regions)', '0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulins)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Animals', 'Base Sequence', 'Cell Line', '*DNA Replication', 'DNA Restriction Enzymes', 'DNA, Neoplasm/genetics/isolation & purification', '*Genes', 'Immunoglobulin Constant Regions/*genetics', 'Immunoglobulin Heavy Chains/*genetics', 'Immunoglobulins/*genetics', 'Kinetics', 'Leukemia, Experimental/*immunology', 'Mice']",1982/11/11 00:00,1982/11/11 00:01,['1982/11/11 00:00'],"['1982/11/11 00:00 [pubmed]', '1982/11/11 00:01 [medline]', '1982/11/11 00:00 [entrez]']",ppublish,Nucleic Acids Res. 1982 Nov 11;10(21):6887-902. doi: 10.1093/nar/10.21.6887.,['10.1093/nar/10.21.6887 [doi]'],"['5T32 GM07001/GM/NIGMS NIH HHS/United States', 'GM 22332/GM/NIGMS NIH HHS/United States', 'P30 CA 13330/CA/NCI NIH HHS/United States']",PMC326972,,,,,,
6294371,NLM,MEDLINE,19830225,20061115,0485-1439 (Print) 0485-1439 (Linking),23,9,1982 Sep,[An adult case of acute erythroblastopenia].,1453-7,,"['Sao, H', 'Yoshikawa, H', 'Akao, Y', 'Hiraiwa, A', 'Takagi, S', 'Yamauchi, T', 'Yoshikawa, S']","['Sao H', 'Yoshikawa H', 'Akao Y', 'Hiraiwa A', 'Takagi S', 'Yamauchi T', 'Yoshikawa S']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Antibodies, Antinuclear)', '9007-49-2 (DNA)']",IM,"['Acute Disease', 'Adult', 'Antibodies, Antinuclear/analysis', 'Cytomegalovirus Infections/complications/immunology', 'DNA/immunology', 'Female', 'Humans', 'Leukemia, Erythroblastic, Acute/etiology/*immunology']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1982 Sep;23(9):1453-7.,,,,,,,,,
