PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,CON,CIN,AID,RN,GR,CI,PMC,RF,EIN,SI,TT,LID,OID,OTO,OT,GN,CRI
10567392,NLM,MEDLINE,19991229,20210209,0021-9258 (Print) 0021-9258 (Linking),274,48,1999 Nov 26,Purified group X secretory phospholipase A(2) induced prominent release of arachidonic acid from human myeloid leukemia cells.,34203-11,"Group X secretory phospholipase A(2) (sPLA(2)-X) possesses several structural features characteristic of both group IB and IIA sPLA(2)s (sPLA(2)-IB and -IIA) and is postulated to be involved in inflammatory responses owing to its restricted expression in the spleen and thymus. Here, we report the purification of human recombinant COOH-terminal His-tagged sPLA(2)-X, the preparation of its antibody, and the purification of native sPLA(2)-X. The affinity-purified sPLA(2)-X protein migrated as various molecular species of 13-18 kDa on SDS-polyacrylamide gels, and N-glycosidase F treatment caused shifts to the 13- and 14-kDa bands. NH(2)-terminal amino acid sequencing analysis revealed that the 13-kDa form is a putative mature sPLA(2)-X and the 14-kDa protein possesses a propeptide of 11 amino acid residues attached at the NH(2) termini of the mature protein. Separation with reverse-phase high performance liquid chromatography revealed that N-linked carbohydrates are not required for the enzymatic activity and pro-sPLA(2)-X has a relatively weak potency compared with the mature protein. The mature sPLA(2)-X induced the release of arachidonic acid from phosphatidylcholine more efficiently than other human sPLA(2) groups (IB, IIA, IID, and V) and elicited a prompt and marked release of arachidonic acid from human monocytic THP-1 cells compared with sPLA(2)-IB and -IIA with concomitant production of prostaglandin E(2). A prominent release of arachidonic acid was also observed in sPLA(2)-X-treated human U937 and HL60 cells. Immunohistochemical analysis of human lung preparations revealed its expression in alveolar epithelial cells. These results indicate that human sPLA(2)-X is a unique N-glycosylated sPLA(2) that releases arachidonic acid from human myeloid leukemia cells more efficiently than sPLA(2)-IB and -IIA.","['Hanasaki, K', 'Ono, T', 'Saiga, A', 'Morioka, Y', 'Ikeda, M', 'Kawamoto, K', 'Higashino, K', 'Nakano, K', 'Yamada, K', 'Ishizaki, J', 'Arita, H']","['Hanasaki K', 'Ono T', 'Saiga A', 'Morioka Y', 'Ikeda M', 'Kawamoto K', 'Higashino K', 'Nakano K', 'Yamada K', 'Ishizaki J', 'Arita H']","['Shionogi Research Laboratories, Shionogi and Co., Ltd., Sagisu 5-12-4, Fukushima-ku, Osaka 553-0002, Japan. kohji.hanasaki@shionogi.co.jp']",['eng'],['Journal Article'],United States,J Biol Chem,The Journal of biological chemistry,2985121R,IM,"['Animals', 'Antibodies/immunology/isolation & purification/pharmacology', 'Arachidonic Acid/*metabolism', 'Arachidonic Acids/pharmacology', 'CHO Cells', 'COS Cells', 'Cell Line', 'Cricetinae', 'Dinoprostone/metabolism', 'Enzyme Inhibitors/pharmacology', 'Fatty Acids/metabolism', 'Group II Phospholipases A2', 'HL-60 Cells/cytology/drug effects/*metabolism', 'Humans', 'Immunohistochemistry', 'Leukemia, Myeloid/metabolism/pathology', 'Lung/enzymology', 'Peptide Fragments/chemistry/immunology/pharmacology', 'Phospholipases A/genetics/*isolation & purification/metabolism', 'Recombinant Fusion Proteins/genetics/isolation & purification/metabolism', 'Substrate Specificity', 'Tritium', 'Tumor Cells, Cultured']",1999/11/24 00:00,1999/11/24 00:01,['1999/11/24 00:00'],"['1999/11/24 00:00 [pubmed]', '1999/11/24 00:01 [medline]', '1999/11/24 00:00 [entrez]']",ppublish,J Biol Chem. 1999 Nov 26;274(48):34203-11. doi: 10.1074/jbc.274.48.34203.,,,"['10.1074/jbc.274.48.34203 [doi]', 'S0021-9258(19)53519-0 [pii]']","['0 (Antibodies)', '0 (Arachidonic Acids)', '0 (Enzyme Inhibitors)', '0 (Fatty Acids)', '0 (Peptide Fragments)', '0 (Recombinant Fusion Proteins)', '00XIW1CR0F (arachidonyltrifluoromethane)', '10028-17-8 (Tritium)', '27YG812J1I (Arachidonic Acid)', 'EC 3.1.1.32 (Phospholipases A)', 'EC 3.1.1.4 (Group II Phospholipases A2)', 'K7Q1JQR04M (Dinoprostone)']",,,,,,,,,,,,,
10567338,NLM,MEDLINE,19991229,20210209,0021-9258 (Print) 0021-9258 (Linking),274,48,1999 Nov 26,"ASC, a novel 22-kDa protein, aggregates during apoptosis of human promyelocytic leukemia HL-60 cells.",33835-8,"The cytoskeletal and/or nuclear matrix molecules responsible for morphological changes associated with apoptosis were identified using monoclonal antibodies (mAbs). We developed mAbs against Triton X-100-insoluble components of HL-60 cells pretreated with all-trans retinoic acid. In particular, one mAb recognized a 22-kDa protein that exhibited intriguing behavior by forming an aggregate and appearing as a speck during apoptosis induced by retinoic acid and other anti-tumor drugs. Cloning and sequencing of its cDNA revealed that this protein comprises 195 amino acids and that its C-terminal half has a caspase recruitment domain (CARD) motif, characteristic of numerous proteins involved in apoptotic signaling. We referred to this protein as ASC (apoptosis-associated speck-like protein containing a CARD). The ASC gene was mapped on chromosome 16p11.2-12. The antisense oligonucleotides of ASC were found to reduce the expression of ASC, and consequently, etoposide-mediated apoptosis of HL-60 cells was suppressed. Our results indicate that ASC is a novel member of the CARD-containing adaptor protein family.","['Masumoto, J', 'Taniguchi, S', 'Ayukawa, K', 'Sarvotham, H', 'Kishino, T', 'Niikawa, N', 'Hidaka, E', 'Katsuyama, T', 'Higuchi, T', 'Sagara, J']","['Masumoto J', 'Taniguchi S', 'Ayukawa K', 'Sarvotham H', 'Kishino T', 'Niikawa N', 'Hidaka E', 'Katsuyama T', 'Higuchi T', 'Sagara J']","['Department of Molecular Oncology, Research Center on Aging and Adaptation, Shinshu University School of Medicine, Asahi 3-1-1, Matsumoto 390-8621, Nagano, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,IM,"['Amino Acid Sequence', 'Animals', '*Apoptosis', 'Base Sequence', 'CARD Signaling Adaptor Proteins', 'COS Cells', 'Caspases/metabolism', 'Chromosome Mapping', 'Chromosomes, Human, Pair 16/genetics', 'Cloning, Molecular', 'Cytoskeletal Proteins/chemistry/genetics/*metabolism', 'DNA Fragmentation', 'DNA, Complementary/chemistry/genetics', 'Female', 'Gene Expression', 'HL-60 Cells/*metabolism/ultrastructure', 'HeLa Cells', 'Humans', 'In Situ Nick-End Labeling', 'Jurkat Cells', 'K562 Cells', 'Leukemia, Promyelocytic, Acute/metabolism/pathology', 'Molecular Sequence Data', 'Molecular Weight', 'Protein Structure, Tertiary', 'RNA, Messenger/genetics/metabolism', 'Recombinant Fusion Proteins/genetics', 'Sequence Alignment', 'Sequence Analysis, DNA', 'Sequence Homology, Amino Acid', 'Tissue Distribution', 'Tumor Cells, Cultured']",1999/11/24 00:00,1999/11/24 00:01,['1999/11/24 00:00'],"['1999/11/24 00:00 [pubmed]', '1999/11/24 00:01 [medline]', '1999/11/24 00:00 [entrez]']",ppublish,J Biol Chem. 1999 Nov 26;274(48):33835-8. doi: 10.1074/jbc.274.48.33835.,,,"['10.1074/jbc.274.48.33835 [doi]', 'S0021-9258(19)53465-2 [pii]']","['0 (CARD Signaling Adaptor Proteins)', '0 (Cytoskeletal Proteins)', '0 (DNA, Complementary)', '0 (PYCARD protein, human)', '0 (RNA, Messenger)', '0 (Recombinant Fusion Proteins)', 'EC 3.4.22.- (Caspases)']",,,,,,['GENBANK/AB023416'],,,,,,,
10566853,NLM,MEDLINE,19991130,20190717,0003-987X (Print) 0003-987X (Linking),135,11,1999 Nov,Acute generalized exanthematous pustulosis in patients receiving high-dose chemotherapy.,1418-20,,"['Valks, R', 'Fraga, J', 'Munoz, E', 'Bartolome, B', 'Garcia-Diez, A', 'Fernandez-Herrera, J']","['Valks R', 'Fraga J', 'Munoz E', 'Bartolome B', 'Garcia-Diez A', 'Fernandez-Herrera J']",,['eng'],"['Case Reports', 'Letter']",United States,Arch Dermatol,Archives of dermatology,0372433,IM,"['Acute Disease', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Drug Eruptions/*etiology/pathology', 'Epidermis/drug effects/pathology', 'Exanthema/*chemically induced/pathology', 'Humans', 'Lymphoma, Non-Hodgkin/*drug therapy', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Skin Diseases, Vesiculobullous/*chemically induced/pathology']",1999/11/24 00:00,1999/11/24 00:01,['1999/11/24 00:00'],"['1999/11/24 00:00 [pubmed]', '1999/11/24 00:01 [medline]', '1999/11/24 00:00 [entrez]']",ppublish,Arch Dermatol. 1999 Nov;135(11):1418-20. doi: 10.1001/archderm.135.11.1418-a.,,,['10.1001/archderm.135.11.1418-a [doi]'],,,,,,,,,,,,,,
10566724,NLM,MEDLINE,19991130,20171116,0002-9270 (Print) 0002-9270 (Linking),94,11,1999 Nov,Malignant neoplasms subsequent to treatment of inflammatory bowel disease with 6-mercaptopurine.,3248-53,"OBJECTIVE: Most complications of 6-mercaptopurine (6MP) used in the treatment of inflammatory bowel disease (IBD) occur early, whereas neoplasms occur late in the course. Concern persists that the risk is increased when 6MP is used. We report our experience with malignant tumors developing over 27 yr of treating IBD patients with 6MP. METHODS: A total of 591 patients with IBD treated with 6MP between 1969 and 1997 were followed or traced until present to identify all malignant tumors and blood dyscrasias that had developed to determine the type, distribution, and duration of the IBD, the dose and duration of 6MP therapy, the concurrent versus previous use of 6MP, the incidence and probable relationship of 6MP to specific neoplasms, and whether the 6MP had been effective in treatment. RESULTS: A total of 550 patients (93%) fulfilled the criteria for follow-up; these included 380 with Crohn's disease (CD) and 170 with ulcerative colitis (UC). Twenty-five patients had developed neoplasms (16 of 380 CD and nine of 170 UC) (p = 0.66). In half of the cases, the goal of therapy had been achieved with 6MP. In 10 patients, the neoplasm was diagnosed while the patients were taking 6MP (40%) and in 15, many years after the 6MP had been terminated (60%). The incidence of neoplasms (25 of 550) was 2.7/1000 patient-years of follow-up. The most common neoplasms were found in the bowel (eight of 550, 1.6%; five CD, and three UC), and breast (three, 0.5%; two CD, and one UC). Non-Hodgkins lymphomas occurred in two patients with CD; one was cerebral and the other abdominal. One patient with CD developed leukemia. The duration of 6MP therapy ranged from 5 months to 22 yr, with a mean of 5 yr. The dose of 6MP ranged from a quarter of a tablet/day (12.5 mg) to 100 mg/day, with the majority in a range from 50 to 75 mg/day. CONCLUSION: In no instance could a neoplasm be attributed to the use of 6MP. The incidence of colon cancer is not greater than that with long standing colitis. Suspicion of a relationship between 6MP and leukemia/lymphoma persists, but the incidence is low. This must be weighed against the improved quality of life due to 6MP for patients with IBD.","['Korelitz, B I', 'Mirsky, F J', 'Fleisher, M R', 'Warman, J I', 'Wisch, N', 'Gleim, G W']","['Korelitz BI', 'Mirsky FJ', 'Fleisher MR', 'Warman JI', 'Wisch N', 'Gleim GW']","['Department of Medicine, Lenox Hill Hospital and The New York University School of Medicine, New York 10021, USA.']",['eng'],['Journal Article'],United States,Am J Gastroenterol,The American journal of gastroenterology,0421030,IM,"['Abdominal Neoplasms', 'Adult', 'Aged', 'Aged, 80 and over', 'Brain Neoplasms/chemically induced', 'Breast Neoplasms/chemically induced', 'Colitis, Ulcerative/drug therapy', 'Crohn Disease/drug therapy', 'Drug Administration Schedule', 'Female', 'Follow-Up Studies', 'Hematologic Diseases/chemically induced', 'Humans', 'Immunosuppressive Agents/administration & dosage/*adverse effects', 'Incidence', 'Inflammatory Bowel Diseases/*drug therapy', 'Intestinal Neoplasms/chemically induced', 'Leukemia/chemically induced', 'Lymphoma, Non-Hodgkin/chemically induced', 'Male', 'Mercaptopurine/administration & dosage/*adverse effects', 'Middle Aged', 'Neoplasms/*chemically induced', 'Risk Factors', 'Time Factors']",1999/11/24 00:00,1999/11/24 00:01,['1999/11/24 00:00'],"['1999/11/24 00:00 [pubmed]', '1999/11/24 00:01 [medline]', '1999/11/24 00:00 [entrez]']",ppublish,Am J Gastroenterol. 1999 Nov;94(11):3248-53. doi: 10.1111/j.1572-0241.1999.01530.x.,,,"['S0002-9270(99)00589-4 [pii]', '10.1111/j.1572-0241.1999.01530.x [doi]']","['0 (Immunosuppressive Agents)', 'E7WED276I5 (Mercaptopurine)']",,,,,,,,,,,,,
10566612,NLM,MEDLINE,19991123,20071115,0093-7754 (Print) 0093-7754 (Linking),26,5 Suppl 15,1999 Oct,Single-agent versus combination chemotherapy in advanced non-small cell lung cancer: a meta-analysis and the Cancer and Leukemia Group B randomized trial.,52-4,"Several randomized trials have compared single-agent chemotherapy with combination chemotherapy in advanced non-small cell lung cancer. In general, response rates were higher with combination regimens, but their impact on survival is unclear. We conducted a meta-analysis of 25 trials involving a total of 5,156 patients with advanced non-small cell lung cancer randomized to a single-agent arm versus a combination arm. The results showed that combination chemotherapy produced a nearly twofold increase in response rate and a modestly improved 1-year survival rate compared with single-agent chemotherapy. However, toxicity was significantly increased, with a 3.6-fold increase in treatment-related mortality. In a subset analysis of trials using either a platinum analog or vinorelbine as single agents and as a component of the combination regimen, the difference was no longer statistically significant, suggesting that more active single agents provide similar survival with less toxicity than combination regimens. Based on these results, the Cancer and Leukemia Group B initiated a large randomized trial comparing paclitaxel with paclitaxel + carboplatin in stage IIIB-IV non-small cell lung cancer patients. The trial will be able to detect a 30% difference in survival. An extensive quality of life analysis and a resource utilization comparison will allow estimation of the incremental cost per quality of life-year gained. This trial will be the first in the United States to prospectively collect and analyze such data in a multidisciplinary approach.","['Lilenbaum, R C', 'List, M', 'Desch, C']","['Lilenbaum RC', 'List M', 'Desch C']","['University of Miami School of Medicine and The Mount Sinai Comprehensive Cancer Center, Miami Beach, FL 33140, USA.']",['eng'],"['Comparative Study', 'Journal Article', 'Meta-Analysis']",United States,Semin Oncol,Seminars in oncology,0420432,IM,"['Antineoplastic Agents/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Carcinoma, Non-Small-Cell Lung/*drug therapy', 'Humans', 'Lung Neoplasms/*drug therapy', 'Randomized Controlled Trials as Topic']",1999/11/24 00:00,1999/11/24 00:01,['1999/11/24 00:00'],"['1999/11/24 00:00 [pubmed]', '1999/11/24 00:01 [medline]', '1999/11/24 00:00 [entrez]']",ppublish,Semin Oncol. 1999 Oct;26(5 Suppl 15):52-4.,,,,['0 (Antineoplastic Agents)'],,,,,,,,,,,,,
10566205,NLM,MEDLINE,19991207,20061115,0008-7335 (Print) 0008-7335 (Linking),138,12,1999 Jun 7,[Separation of hematopoietic progenitor cells from peripheral blood in patients with hemato-oncologic malignancy].,369-73,"BACKGROUND: Transplantations of haematopoietic progenitor cells from peripheral blood (PBPC) are able to ensure haematopoietic and immunological reconstitution as well as stable long term engraftment. Autologous PBPC are administered after previous myeloablative chemotherapy to patients with haematological and non-haematological malignancies. The objective of the submitted study was to follow-up the results of autologous separations of PBPC in patients with a good effect of mobilisation therapy. The authors evaluated in PBPC concentrates the content of cell parameters needed for transplantation. In the subsequent part of the trial they mention the times of engraftment after autologous transplantation. METHODS AND RESULTS: The authors evaluated parameters of 26 separations of PBPC in 11 haematooncological patients with a good effect of mobilisation therapy and with concentration of CD 34+ cells higher than 20 x 10(3)/ml of peripheral blood. The separations of PBPC were implemented on the Cobe Spectra and Baxter CS 3000 Plus equipment under a standard regime with processing of 12 l blood, i.e. 2.7 total blood volumes of the patients. In the mentioned group of patients already from one separation an adequate amount of CD 34+ cells for their transplantation was obtained. Transplantation doses were prepared on average from two separations and amounted as regards MNC/kg, CD 34+ cells/kg and CFU-GM/kg to 4.3 x 10(8), 17.1 x 10(6) and 2.5 x 10(4). The assembled parameters correspond to, or in some parameters exceed, recommended amounts for their transplantation. CONCLUSIONS: In well mobilised patients under the regime of standard separations adequate amounts of progenitor cells for their autologous transplantation were obtained. Transplantation doses were prepared from two collections. Investigation of pre-separation concentration of CD 34+ cells in the peripheral blood is a reliable indicator for starting PBPC separation. Early post-transplantation results indicate the time of engraftment 10 days on average and minor need of substitution therapy with blood products.","['Gasova, Z', 'Ludvikova, Z', 'Kucerova, I', 'Marinov, I', 'Hruba, A', 'Trneny, M', 'Slaby, J']","['Gasova Z', 'Ludvikova Z', 'Kucerova I', 'Marinov I', 'Hruba A', 'Trneny M', 'Slaby J']","['Ustav hematologie a krevni transfuze, Praha.']",['cze'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,IM,"['Adult', '*Blood Component Removal', 'Breast Neoplasms/therapy', 'Female', 'Hematopoietic Stem Cell Mobilization', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia/*therapy', 'Lymphoma/*therapy', 'Male']",1999/11/24 00:00,1999/11/24 00:01,['1999/11/24 00:00'],"['1999/11/24 00:00 [pubmed]', '1999/11/24 00:01 [medline]', '1999/11/24 00:00 [entrez]']",ppublish,Cas Lek Cesk. 1999 Jun 7;138(12):369-73.,,,,,,,,,,,Separace hemopoetickych progenitorovych bunek z periferni krve (PBPC) u pacientu s hematoonkologickymi malignitami.,,,,,,
10565839,NLM,MEDLINE,19991220,20091119,0022-3565 (Print) 0022-3565 (Linking),291,3,1999 Dec,Neuropeptide-Y stimulation of extracellular signal-regulated kinases in human erythroleukemia cells.,1172-8,"We have used human erythroleukemia (HEL) cells to investigate distal signaling mechanisms of neuropeptide-Y (NPY) receptors. NPY did not activate phospholipase D, determined as a phosphatidylethanol formation, or protein kinase C (PKC) determined enzymatically as a translocation to the plasma membrane. However, NPY caused a rapid (already maximal after 30 s) and concentration-dependent (maximum at 10-100 nM) activation of extracellular signal-regulated kinase (ERK) as assessed by immunoblotting with epitope-specific, antiphosphotyrosine antibodies and in some cases enzymatically. ERK activation by 100 nM NPY was abolished by the Y(1) NPY receptor antagonist BIBP 3226 (1 microM), pertussis toxin treatment (100 ng ml(-1) overnight), the mitogen-activated protein kinase (MAPK) kinase inhibitor PD 98059 (100 microM), and the phosphatidylinositol-3-kinase inhibitor wortmannin (100 nM). Whereas the PKC inhibitor staurosporine (3 microM) inhibited ERK activation by NPY, the chemically distinct PKC inhibitors calphostin C (3 microM), Go 6976 (3 microM), and bisindolylmaleimide I (3 microM) did not. NPY did not activate other MAPK such as jun N-terminal kinase or p38 MAPK. We conclude that NPY does not activate phospholipase D, PKC, jun N-terminal kinase, or p38 MAPK in HEL cells. However, NPY activates ERK by a pathway involving Y(1) receptors, pertussis toxin-sensitive G proteins, and phosphatidylinositol-3-kinase, whereas PKC may not be involved. Staurosporine may have PKC-independent effects on ERK activation.","['Keffel, S', 'Schmidt, M', 'Bischoff, A', 'Michel, M C']","['Keffel S', 'Schmidt M', 'Bischoff A', 'Michel MC']","['Department of Medicine, University of Essen, Essen, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Pharmacol Exp Ther,The Journal of pharmacology and experimental therapeutics,0376362,IM,"['Enzyme Inhibitors/pharmacology', 'Extracellular Space/drug effects/*enzymology', 'Humans', 'Leukemia, Erythroblastic, Acute/*enzymology', 'Mitogen-Activated Protein Kinases/antagonists & inhibitors/metabolism', 'Neuropeptide Y/*pharmacology', 'Phospholipase D/antagonists & inhibitors/metabolism', 'Phosphotransferases/antagonists & inhibitors/*metabolism', 'Protein Kinase C/antagonists & inhibitors/metabolism', 'Signal Transduction/drug effects/*physiology', 'Stimulation, Chemical', 'Tumor Cells, Cultured']",1999/11/24 00:00,1999/11/24 00:01,['1999/11/24 00:00'],"['1999/11/24 00:00 [pubmed]', '1999/11/24 00:01 [medline]', '1999/11/24 00:00 [entrez]']",ppublish,J Pharmacol Exp Ther. 1999 Dec;291(3):1172-8.,,,,"['0 (Enzyme Inhibitors)', '0 (Neuropeptide Y)', 'EC 2.7.- (Phosphotransferases)', 'EC 2.7.11.13 (Protein Kinase C)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinases)', 'EC 3.1.4.4 (Phospholipase D)']",,,,,,,,,,,,,
10565792,NLM,MEDLINE,19991209,20161124,0161-5505 (Print) 0161-5505 (Linking),40,11,1999 Nov,Pharmacokinetics and dosimetry of an alpha-particle emitter labeled antibody: 213Bi-HuM195 (anti-CD33) in patients with leukemia.,1935-46,"UNLABELLED: Data from nine patients with leukemia participating in a phase I activity-escalation study of HuM195, labeled with the alpha-particle emitter 213Bi (half-life = 45.6 min), were used to estimate pharmacokinetics and dosimetry. This is the first trial using an alpha-particle emitter in humans. The linear energy transfer of alpha particles is several hundredfold greater than that of beta emissions. The range in tissue is approximately 60-90 microm. METHODS: The activity administered to patients ranged from 0.6 to 1.6 GBq. Patient imaging was initiated at the start of each injection. Thirty 1-min images followed by ten 3-min images were collected in dynamic mode; a 20% photopeak window centered at 440 keV was used. Blood samples were collected until 3 h postinjection and counted in a gamma counter. Contours around the liver and spleen were drawn on the anterior and posterior views and around a portion of the spine on the posterior views. No other organs were visualized. RESULTS: The percentage injected dose in the liver and spleen volumes increased rapidly over the first 10-15 min to a constant value for the remaining hour of imaging, yielding a very rapid uptake followed by a plateau in the antibody uptake curves. The kinetic curves were integrated to yield cumulated activity. The mean energy emitted per nuclear transition for 213Bi and its daughters, adjusted by a relative biologic effectiveness of 5 for alpha emissions, was multiplied by the cumulated activity to yield the absorbed dose equivalent. Photon dose to the total body was determined by calculating a photon-absorbed fraction. The absorbed dose equivalent to liver and spleen volumes ranged from 2.4 to 11.2 and 2.9 to 21.9 Sv, respectively. Marrow (or leukemia) mean dose ranged from 6.6 to 12.2 Sv. The total-body dose (photons only) ranged from 2.2 x 10(-4) to 5.8 x 10(-4) Gy. CONCLUSION: This study shows that patient imaging of 213Bi, an alpha-particle emitter, labeled to HuM195 is possible and may be used to derive pharmacokinetics and dosimetry. The absorbed dose ratio between marrow, liver and spleen volumes and the whole body for 213Bi-HuM195 is 1000-fold greater than that commonly observed with beta-emitting radionuclides used for radioimmunotherapy.","['Sgouros, G', 'Ballangrud, A M', 'Jurcic, J G', 'McDevitt, M R', 'Humm, J L', 'Erdi, Y E', 'Mehta, B M', 'Finn, R D', 'Larson, S M', 'Scheinberg, D A']","['Sgouros G', 'Ballangrud AM', 'Jurcic JG', 'McDevitt MR', 'Humm JL', 'Erdi YE', 'Mehta BM', 'Finn RD', 'Larson SM', 'Scheinberg DA']","['Department of Medical Physics, Memorial Sloan-Kettering Cancer Center, New York, New York 10021, USA.']",['eng'],"['Clinical Trial', 'Clinical Trial, Phase I', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Nucl Med,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",0217410,IM,"['Acute Disease', 'Alpha Particles', 'Animals', 'Antibodies, Monoclonal/pharmacokinetics/therapeutic use', 'Antineoplastic Agents/pharmacokinetics/therapeutic use', '*Bismuth', 'Gamma Cameras', 'Humans', 'Leukemia, Myeloid/diagnostic imaging/*radiotherapy', 'Mice', '*Radioimmunotherapy', '*Radioisotopes', 'Radionuclide Imaging', 'Radiotherapy Dosage']",1999/11/24 00:00,1999/11/24 00:01,['1999/11/24 00:00'],"['1999/11/24 00:00 [pubmed]', '1999/11/24 00:01 [medline]', '1999/11/24 00:00 [entrez]']",ppublish,J Nucl Med. 1999 Nov;40(11):1935-46.,,['J Nucl Med. 2000 Sep;41(9):1596. PMID: 10994745'],,"['0 (Antibodies, Monoclonal)', '0 (Antineoplastic Agents)', '0 (Radioisotopes)', '0 (monoclonal antibody M195)', 'U015TT5I8H (Bismuth)']","['P01 CA-33049/CA/NCI NIH HHS/United States', 'R01 CA-55349/CA/NCI NIH HHS/United States', 'R01 CA-62444/CA/NCI NIH HHS/United States']",,,,,,,,,,,,
10565640,NLM,MEDLINE,19991213,20191024,0926-9959 (Print) 0926-9959 (Linking),13,1,1999 Jul,Penile Kaposi's sarcoma.,71-3,,"['Rosen, T', 'Hoffman, J', 'Jones, A']","['Rosen T', 'Hoffman J', 'Jones A']",,['eng'],"['Case Reports', 'Letter']",England,J Eur Acad Dermatol Venereol,Journal of the European Academy of Dermatology and Venereology : JEADV,9216037,IM,"['Adult', 'Combined Modality Therapy', 'Fatal Outcome', 'Follow-Up Studies', 'HIV Infections/*complications/immunology', 'Humans', 'Immunocompromised Host', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications', 'Male', 'Middle Aged', 'Penile Neoplasms/diagnosis/*etiology/therapy', 'Sarcoma, Kaposi/diagnosis/*etiology/therapy']",1999/11/24 00:00,1999/11/24 00:01,['1999/11/24 00:00'],"['1999/11/24 00:00 [pubmed]', '1999/11/24 00:01 [medline]', '1999/11/24 00:00 [entrez]']",ppublish,J Eur Acad Dermatol Venereol. 1999 Jul;13(1):71-3. doi: 10.1111/j.1468-3083.1999.tb00853.x.,,,['10.1111/j.1468-3083.1999.tb00853.x [doi]'],,,,,,,,,,,,,,
10565632,NLM,MEDLINE,19991213,20071115,0926-9959 (Print) 0926-9959 (Linking),13,1,1999 Jul,Monocytic aleukemic leukemia cutis.,54-8,"The authors present a case of monocytic aleukemic leukemia cutis in which skin symptoms were the sole manifestation of the leukemia during the first year and a half of the disease. Diagnostic difficulties, the importance of immunohistochemical markers, and the prognosis and therapy of aleukemic leukemia cutis are discussed.","['Torok, L', 'Lueff, S', 'Garay, G', 'Tapai, M']","['Torok L', 'Lueff S', 'Garay G', 'Tapai M']","['Department of Dermatology, County Hospital of Bacs-Kiskun County, Kecskemet, Hungary.']",['eng'],"['Case Reports', 'Journal Article']",England,J Eur Acad Dermatol Venereol,Journal of the European Academy of Dermatology and Venereology : JEADV,9216037,IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Biopsy, Needle', 'Diagnosis, Differential', 'Fatal Outcome', 'Female', 'Humans', 'Leukemia/diagnosis/drug therapy/*pathology', 'Leukemia, Myelomonocytic, Acute/diagnosis/drug therapy/*pathology', 'Leukemic Infiltration/diagnosis/drug therapy/*pathology', 'Skin/*pathology']",1999/11/24 00:00,1999/11/24 00:01,['1999/11/24 00:00'],"['1999/11/24 00:00 [pubmed]', '1999/11/24 00:01 [medline]', '1999/11/24 00:00 [entrez]']",ppublish,J Eur Acad Dermatol Venereol. 1999 Jul;13(1):54-8.,,,['S0926-9959(99)00064-1 [pii]'],,,,,,,,,,,,,,
