PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,PMC,AB,PS,FPS
13629018,NLM,MEDLINE,20000701,20190513,0007-1420 (Print) 0007-1420 (Linking),15,1,1959 Jan,Treatment of the chronic leukaemias.,78-85,"['GALTON, D A']",['GALTON DA'],['eng'],['Journal Article'],England,Br Med Bull,British medical bulletin,0376542,OM,"['*Chronic Disease', 'Humans', 'Leukemia/*therapy']",['CLML: 5936:2839:308'],['NLM'],['*LEUKEMIA/therapy'],1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",['10.1093/oxfordjournals.bmb.a069720 [doi]'],ppublish,Br Med Bull. 1959 Jan;15(1):78-85. doi: 10.1093/oxfordjournals.bmb.a069720.,,,,,,
13629017,NLM,MEDLINE,20000701,20190513,0007-1420 (Print) 0007-1420 (Linking),15,1,1959 Jan,The epidemiology of human leukaemia.,73-7,"['STEWART, A M', 'HEWITT, D']","['STEWART AM', 'HEWITT D']",['eng'],['Journal Article'],England,Br Med Bull,British medical bulletin,0376542,OM,"['Humans', 'Leukemia/*epidemiology']",['CLML: 5936:2838:307'],['NLM'],['*LEUKEMIA/epidemiology'],1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",['10.1093/oxfordjournals.bmb.a069719 [doi]'],ppublish,Br Med Bull. 1959 Jan;15(1):73-7. doi: 10.1093/oxfordjournals.bmb.a069719.,,,,,,
13628953,NLM,MEDLINE,20000701,20190501,0007-1161 (Print) 0007-1161 (Linking),43,2,1959 Feb,Chloroma of the orbit.,107-12,"['HAMEED, S', 'DAS, T', 'AGARWAL, K C']","['HAMEED S', 'DAS T', 'AGARWAL KC']",['eng'],['Journal Article'],England,Br J Ophthalmol,The British journal of ophthalmology,0421041,OM,"['Child', 'Humans', 'Infant', '*Leukemia', '*Neoplasms', '*Orbit', '*Orbital Neoplasms', '*Sarcoma, Myeloid']",['CLML: 5936:2774:310:387'],['NLM'],"['*LEUKOSARCOMA/in infant and child', '*ORBIT/neoplasms']",1959/02/01 00:00,1959/02/01 00:01,['1959/02/01 00:00'],"['1959/02/01 00:00 [pubmed]', '1959/02/01 00:01 [medline]', '1959/02/01 00:00 [entrez]']",['10.1136/bjo.43.2.107 [doi]'],ppublish,Br J Ophthalmol. 1959 Feb;43(2):107-12. doi: 10.1136/bjo.43.2.107.,,,PMC509762,,,
13628930,NLM,MEDLINE,20000701,20190705,0007-1048 (Print) 0007-1048 (Linking),5,1,1959 Jan,Leukaemic cells in cerebrospinal fluid.,83-91,"['SPRIGGS, A I', 'BODDINGTON, M M']","['SPRIGGS AI', 'BODDINGTON MM']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,OM,"['*Cerebrosides', 'Humans', 'Leukemia/*cerebrospinal fluid']",['CLML: 5936:2751:121:307'],['NLM'],"['*EREBROSPINAL FLUID', '*LEUKEMIA/cerebrospinal fluid in']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",['10.1111/j.1365-2141.1959.tb04014.x [doi]'],ppublish,Br J Haematol. 1959 Jan;5(1):83-91. doi: 10.1111/j.1365-2141.1959.tb04014.x.,,['0 (Cerebrosides)'],,,,
13628826,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),14,3,1959 Mar,The etiology of leukemia: the status of the virus as causative agent; a review.,279-94,"['SCHWARTZ, S O', 'SCHOOLMAN, H M']","['SCHWARTZ SO', 'SCHOOLMAN HM']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['Humans', 'Leukemia/*etiology', '*Viruses']",['CLML: 5936:2647:307:567'],['NLM'],"['*LEUKEMIA/etiology and pathogenesis', '*VIRUSES']",1959/03/01 00:00,1959/03/01 00:01,['1959/03/01 00:00'],"['1959/03/01 00:00 [pubmed]', '1959/03/01 00:01 [medline]', '1959/03/01 00:00 [entrez]']",['S0006-4971(20)62818-X [pii]'],ppublish,Blood. 1959 Mar;14(3):279-94.,,,,,,
13628825,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),14,3,1959 Mar,Effect of my-leran and 6-mercaptopurine (6-MP) on the serum level of vitamin B12 in chronic myelocytic leukemia.,274-8,"['DOCTOR, V M', 'BERGSAGEL, D E', 'SHULLENBERGER, C C']","['DOCTOR VM', 'BERGSAGEL DE', 'SHULLENBERGER CC']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['Busulfan/*pharmacology', '*Hematinics', '*Leukemia', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', 'Leukemia, Myeloid/*blood', 'Mercaptopurine/*pharmacology', '*Vitamin B 12']",['CLML: 5936:2646:103:308:339'],['NLM'],"['*BUSULFAN/effects', '*LEUKEMIA, MYELOCYTIC/blood in', '*MERCAPTOPURINE/effects']",1959/03/01 00:00,1959/03/01 00:01,['1959/03/01 00:00'],"['1959/03/01 00:00 [pubmed]', '1959/03/01 00:01 [medline]', '1959/03/01 00:00 [entrez]']",['S0006-4971(20)62817-8 [pii]'],ppublish,Blood. 1959 Mar;14(3):274-8.,,"['0 (Hematinics)', 'E7WED276I5 (Mercaptopurine)', 'G1LN9045DK (Busulfan)', 'P6YC3EG204 (Vitamin B 12)']",,,,
13628820,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),14,3,1959 Mar,Therapy of acute leukemia by whole-body irradiation and bone marrow transplantation from an identical normal twin.,228-34,"['ATKINSON, J B', 'MAHONEY, F J', 'SCHWARTZ, I R', 'HESCH, J A']","['ATKINSON JB', 'MAHONEY FJ', 'SCHWARTZ IR', 'HESCH JA']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['*Acute Disease', '*Bone Marrow', '*Bone Marrow Transplantation', 'Humans', 'Leukemia/*therapy', '*Radiotherapy', '*Whole-Body Irradiation']",['CLML: 5936:2641:93:308:459'],['NLM'],"['*BONE MARROW/transplantation', '*LEUKEMIA/therapy', '*RADIOTHERAPY']",1959/03/01 00:00,1959/03/01 00:01,['1959/03/01 00:00'],"['1959/03/01 00:00 [pubmed]', '1959/03/01 00:01 [medline]', '1959/03/01 00:00 [entrez]']",['S0006-4971(20)62812-9 [pii]'],ppublish,Blood. 1959 Mar;14(3):228-34.,,,,,,
13628610,NLM,MEDLINE,20000701,20190610,0006-3002 (Print) 0006-3002 (Linking),31,1,1959 Jan,The distribution of adenosintriphosphatase activity in virus-induced leukemia cells.,104-14,"['THORELL, B', 'YAMADA, E']","['THORELL B', 'YAMADA E']",['eng'],['Journal Article'],Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,OM,"['*Adenosine Triphosphatases', 'Animals', '*Diploidy', '*Leukemia, Experimental', '*Virus Diseases']",['CLML: 5936:2431:10:307:566'],['NLM'],"['*ADENYLPYROPHOSPHATASE', '*LEUKEMIA/experimental', '*VIRUS DISEASES/experimental']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']","['0006-3002(59)90445-7 [pii]', '10.1016/0006-3002(59)90445-7 [doi]']",ppublish,Biochim Biophys Acta. 1959 Jan;31(1):104-14. doi: 10.1016/0006-3002(59)90445-7.,,['EC 3.6.1.- (Adenosine Triphosphatases)'],,,,
13628374,NLM,MEDLINE,20000701,20181201,0004-0274 (Print) 0004-0274 (Linking),19,4,1959,[Joint manifestations during leukemia or rheumatoid form of leukemia; presentation of 18 cases in children].,272-306,"['FALCHI, G', 'GERLINI, F']","['FALCHI G', 'GERLINI F']",['ita'],['Journal Article'],Italy,Arch Ital Pediatr Pueric,Archivio italiano di pediatria e puericoltura,0372446,OM,"['*Arthritis', '*Arthritis, Rheumatoid', 'Child', 'Humans', 'Infant', '*Joints', '*Leukemia']",['CLML: 5936:2195:59:308'],['NLM'],"['*ARTHRITIS, RHEUMATOID/in infant and child', '*LEUKEMIA/manifestations']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",,ppublish,Arch Ital Pediatr Pueric. 1959;19(4):272-306.,Le manifestazioni articolari in corso di leucemia o forma reumatoide della leucemia; presentazione di 18 casi infantili.,,,,,
13628373,NLM,MEDLINE,20000701,20181201,0004-0274 (Print) 0004-0274 (Linking),19,4,1959,[Myeloid leukemia in childhood; clinico-statistical study of 12 cases].,243-71,"['VIGNETTI, P', 'FELICI, W']","['VIGNETTI P', 'FELICI W']",['ita'],['Journal Article'],Italy,Arch Ital Pediatr Pueric,Archivio italiano di pediatria e puericoltura,0372446,OM,"['Child', 'Humans', 'Infant', '*Leukemia', '*Leukemia, Myeloid']",['CLML: 5936:2194:308'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/in infant and child']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",,ppublish,Arch Ital Pediatr Pueric. 1959;19(4):243-71.,La leucemia mieloide nell'infanzia; studio clinico-statistico su n. 12 casi.,,,,,
13628060,NLM,MEDLINE,20000701,20181201,0003-9144 (Print) 0003-9144 (Linking),143,1,1959 Jan,[Effect of the growth of microorganisms in citrated blood on the course of the blood sedimentation reaction].,65-81,"['URBACH, H', 'BADER, G']","['URBACH H', 'BADER G']","['eng', 'ger']",['Journal Article'],Germany,Arch Hyg Bakteriol,Archiv fur Hygiene und Bakteriologie,0331541,OM,"['Animals', '*Biological Phenomena', '*Blood Sedimentation', '*Citrates', '*Citric Acid', 'Humans', '*Leukemia, Experimental', '*Physiological Phenomena']",['CLML: 5936:1881:86:132:308'],['NLM'],"['*BLOOD SEDIMENTATION', '*CITRATES', '*LEUKEMIA/experimental']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",,ppublish,Arch Hyg Bakteriol. 1959 Jan;143(1):65-81.,Kann das Wachstum von Mikroorganismen im Citratblut den Ablauf der Blutsenkungsreaktion beeinflussen.,"['0 (Citrates)', '2968PHW8QP (Citric Acid)']",,,,
13627918,NLM,MEDLINE,20000701,20190616,0077-8923 (Print) 0077-8923 (Linking),76,3,1958 Dec 5,An experimental design in combination chemotherapy.,909-14; discussion 915-31,"['MANTEL, N']",['MANTEL N'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,OM,"['Animals', 'Antineoplastic Agents/*pharmacology', '*Drug Therapy, Combination', '*Leukemia, Experimental', 'Mercaptopurine/*pharmacology', '*Research Design', 'Serine/analogs & derivatives']",['CLML: 5936:1698:152:308:339:486'],['NLM'],"['*CYTOTOXIC DRUGS/effects', '*LEUKEMIA/experimental', '*MERCAPTOPURINE/effects', '*SERINE/related compounds']",1958/12/05 00:00,1958/12/05 00:01,['1958/12/05 00:00'],"['1958/12/05 00:00 [pubmed]', '1958/12/05 00:01 [medline]', '1958/12/05 00:00 [entrez]']",['10.1111/j.1749-6632.1958.tb54909.x [doi]'],ppublish,Ann N Y Acad Sci. 1958 Dec 5;76(3):909-14; discussion 915-31. doi: 10.1111/j.1749-6632.1958.tb54909.x.,,"['0 (Antineoplastic Agents)', '452VLY9402 (Serine)', 'E7WED276I5 (Mercaptopurine)']",,,,
13627910,NLM,MEDLINE,20000701,20190616,0077-8923 (Print) 0077-8923 (Linking),76,3,1958 Dec 5,The utility of resistant leukemias in screening for chemotherapeutic activity.,826-31; discussion 832-7,"['BURCHENAL, J H', 'HOLMBERG, E A']","['BURCHENAL JH', 'HOLMBERG EA']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,OM,"['*Antineoplastic Agents', 'Humans', 'Leukemia/*therapy']",['CLML: 5936:1690:152:308'],['NLM'],"['*CYTOTOXIC DRUGS', '*LEUKEMIA/therapy']",1958/12/05 00:00,1958/12/05 00:01,['1958/12/05 00:00'],"['1958/12/05 00:00 [pubmed]', '1958/12/05 00:01 [medline]', '1958/12/05 00:00 [entrez]']",['10.1111/j.1749-6632.1958.tb54900.x [doi]'],ppublish,Ann N Y Acad Sci. 1958 Dec 5;76(3):826-31; discussion 832-7. doi: 10.1111/j.1749-6632.1958.tb54900.x.,,['0 (Antineoplastic Agents)'],,,,
13627893,NLM,MEDLINE,20000701,20190616,0077-8923 (Print) 0077-8923 (Linking),76,3,1958 Dec 5,Studies of the culture of leukemic cells in vitro.,673-80,"['FISCHER, G A']",['FISCHER GA'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,OM,"['In Vitro Techniques', '*Leukemia', '*Neoplasms', '*Tissue Culture Techniques']",['CLML: 5936:1673:307:363:537'],['NLM'],"['*LEUKEMIA', '*NEOPLASMS', '*TISSUE CULTURE']",1958/12/05 00:00,1958/12/05 00:01,['1958/12/05 00:00'],"['1958/12/05 00:00 [pubmed]', '1958/12/05 00:01 [medline]', '1958/12/05 00:00 [entrez]']",['10.1111/j.1749-6632.1958.tb54884.x [doi]'],ppublish,Ann N Y Acad Sci. 1958 Dec 5;76(3):673-80. doi: 10.1111/j.1749-6632.1958.tb54884.x.,,,,,,
13627892,NLM,MEDLINE,20000701,20190616,0077-8923 (Print) 0077-8923 (Linking),76,3,1958 Dec 5,Usefulness of Dunning leukemia IRC741 for quantitative pharmacological studies of cancer chemotherapeutic agents.,659-72,"['JONES, R Jr', 'McKENZIE, D', 'STEVENS, M L', 'DUNNING, W F', 'CURTIS, M R']","['JONES R Jr', 'McKENZIE D', 'STEVENS ML', 'DUNNING WF', 'CURTIS MR']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,OM,"['*Antineoplastic Agents', 'Humans', '*Leukemia', '*Neoplasms']",['CLML: 5936:1672:152'],['NLM'],['*CYTOTOXIC DRUGS'],1958/12/05 00:00,1958/12/05 00:01,['1958/12/05 00:00'],"['1958/12/05 00:00 [pubmed]', '1958/12/05 00:01 [medline]', '1958/12/05 00:00 [entrez]']",['10.1111/j.1749-6632.1958.tb54883.x [doi]'],ppublish,Ann N Y Acad Sci. 1958 Dec 5;76(3):659-72. doi: 10.1111/j.1749-6632.1958.tb54883.x.,,['0 (Antineoplastic Agents)'],,,,
13627801,NLM,MEDLINE,20000701,20190616,0077-8923 (Print) 0077-8923 (Linking),75,1,1958 Oct 13,Differences in nucleic acid metabolism between normal and leukemic human leukocytes.,37-44,"['WINZLER, R J']",['WINZLER RJ'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,OM,"['Humans', 'Leukemia/*blood', 'Leukocytes/*metabolism', 'Nucleic Acids/*blood']",['CLML: 5936:1581:307:309:379'],['NLM'],"['*LEUKEMIA/blood in', '*LEUKOCYTES/metabolism', '*NUCLEIC ACIDS/in blood']",1958/10/13 00:00,1958/10/13 00:01,['1958/10/13 00:00'],"['1958/10/13 00:00 [pubmed]', '1958/10/13 00:01 [medline]', '1958/10/13 00:00 [entrez]']",['10.1111/j.1749-6632.1958.tb36849.x [doi]'],ppublish,Ann N Y Acad Sci. 1958 Oct 13;75(1):37-44. doi: 10.1111/j.1749-6632.1958.tb36849.x.,,['0 (Nucleic Acids)'],,,,
13627799,NLM,MEDLINE,20000701,20190616,0077-8923 (Print) 0077-8923 (Linking),75,1,1958 Oct 13,Myeloperoxidase.,22-30,"['SCHULTZ, J']",['SCHULTZ J'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,OM,"['*Coloring Agents', 'Humans', 'Leukemia/*metabolism', '*Oxidoreductases', '*Peroxidase']",['CLML: 5936:1579:310:392'],['NLM'],"['*LEUKOSARCOMA/metabolism', '*OXIDASES']",1958/10/13 00:00,1958/10/13 00:01,['1958/10/13 00:00'],"['1958/10/13 00:00 [pubmed]', '1958/10/13 00:01 [medline]', '1958/10/13 00:00 [entrez]']",['10.1111/j.1749-6632.1958.tb36847.x [doi]'],ppublish,Ann N Y Acad Sci. 1958 Oct 13;75(1):22-30. doi: 10.1111/j.1749-6632.1958.tb36847.x.,,"['0 (Coloring Agents)', 'EC 1.- (Oxidoreductases)', 'EC 1.11.1.7 (Peroxidase)']",,,,
13627797,NLM,MEDLINE,20000701,20190616,0077-8923 (Print) 0077-8923 (Linking),75,1,1958 Oct 13,Leukocyte glycolysis; an investigation of the factors controlling the rate behavior in multienzyme systems.,4-15,"['BECK, W S']",['BECK WS'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,OM,"['*Carbohydrate Metabolism', '*Carbohydrates', '*Enzymes', '*Glycolysis', 'Humans', 'Leukemia/*blood', 'Leukocytes/*metabolism']",['CLML: 5936:1577:106:185:307:309'],['NLM'],"['*CARBOHYDRATES/metabolism', '*ENZYMES', '*LEUKEMIA/blood in', '*LEUKOCYTES/metabolism']",1958/10/13 00:00,1958/10/13 00:01,['1958/10/13 00:00'],"['1958/10/13 00:00 [pubmed]', '1958/10/13 00:01 [medline]', '1958/10/13 00:00 [entrez]']",['10.1111/j.1749-6632.1958.tb36845.x [doi]'],ppublish,Ann N Y Acad Sci. 1958 Oct 13;75(1):4-15. doi: 10.1111/j.1749-6632.1958.tb36845.x.,,"['0 (Carbohydrates)', '0 (Enzymes)']",,,,
