PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,MID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,OTO,OT,CIN,CON,PS,FPS,SI,CI,TT,CN,IR,FIR,EIN,COIS,OID,GN,RIN
21761436,NLM,MEDLINE,20110920,20110715,1096-8652 (Electronic) 0361-8609 (Linking),86,8,2011 Aug,Myeloablative allogeneic stem cell transplantation for lymphoblastic lymphoma in Sweden: a retrospective study.,709-10,10.1002/ajh.22071 [doi],,"['Lazarevic, Vladimir Lj', 'Remberger, Mats', 'Hagglund, Hans', 'Hallbook, Helene', 'Juliusson, Gunnar', 'Kimby, Eva', 'Malm, Claes', 'Wahlin, Anders', 'Omar, Hamdy', 'Johansson, Jan-Erik']","['Lazarevic VLj', 'Remberger M', 'Hagglund H', 'Hallbook H', 'Juliusson G', 'Kimby E', 'Malm C', 'Wahlin A', 'Omar H', 'Johansson JE']","['Department of Hematology, University Hospital Lund, Lund University, Lund, Sweden. vladimir.lazarevic@skane.se']",['eng'],,"['Comparative Study', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,['0 (Myeloablative Agonists)'],IM,"['Adolescent', 'Adult', 'Bone Marrow Transplantation/adverse effects', 'Female', 'Graft vs Host Disease/epidemiology', 'Hematopoietic Stem Cell Transplantation/adverse effects/*methods', 'Humans', 'Incidence', 'Male', 'Middle Aged', 'Myeloablative Agonists/administration & dosage/*adverse effects/therapeutic use', 'Peripheral Blood Stem Cell Transplantation/adverse effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/mortality/*therapy', 'Recurrence', 'Retrospective Studies', 'Survival Analysis', 'Sweden/epidemiology', 'Time Factors', 'Transplantation, Homologous', 'Young Adult']",,,2011/07/16 06:00,2011/09/21 06:00,['2011/07/16 06:00'],"['2011/07/16 06:00 [entrez]', '2011/07/16 06:00 [pubmed]', '2011/09/21 06:00 [medline]']",['10.1002/ajh.22071 [doi]'],ppublish,Am J Hematol. 2011 Aug;86(8):709-10. doi: 10.1002/ajh.22071.,,,,,,,,,,,,,,,,,,
21761434,NLM,MEDLINE,20110920,20110715,1096-8652 (Electronic) 0361-8609 (Linking),86,8,2011 Aug,Auer rods or McCrae rods?,689,10.1002/ajh.21978 [doi],,"['Bain, Barbara J']",['Bain BJ'],"[""Department of Haematology, St Mary's Hospital Campus of Imperial College Faculty of Medicine, St Mary's Hospital, London, W2 1NY. b.bain@ic.ac.uk""]",['eng'],,"['Historical Article', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,,IM,"['History, 20th Century', 'Humans', 'Inclusion Bodies/*pathology', 'Leukemia, Myeloid, Acute/diagnosis/pathology', 'Leukemia, Promyelocytic, Acute/diagnosis/*history/*pathology', 'Myeloid Cells/*pathology']",,,2011/07/16 06:00,2011/09/21 06:00,['2011/07/16 06:00'],"['2011/07/16 06:00 [entrez]', '2011/07/16 06:00 [pubmed]', '2011/09/21 06:00 [medline]']",['10.1002/ajh.21978 [doi]'],ppublish,Am J Hematol. 2011 Aug;86(8):689. doi: 10.1002/ajh.21978.,,,,,,,,,,,,,,,,,,
21761433,NLM,MEDLINE,20110920,20131106,1096-8652 (Electronic) 0361-8609 (Linking),86,8,2011 Aug,"World Health Organization-defined eosinophilic disorders: 2011 update on diagnosis, risk stratification, and management.",677-88,10.1002/ajh.22062 [doi],"DISEASE OVERVIEW: The eosinophilias encompass a broad range of non-hematologic (secondary or reactive) and hematologic (primary, clonal) disorders with potential for end-organ damage. DIAGNOSIS: Hypereosinophilia has generally been defined as a peripheral blood eosinophil count greater than 1,500/mm(3) and may be associated with tissue damage. After exclusion of secondary causes of eosinophilia, diagnostic evaluation of primary eosinophilias relies on a combination of morphologic review of the blood and marrow, standard cytogenetics, fluorescent in situ-hybridization, flow immunocytometry, and T-cell clonality assessment to detect histopathologic or clonal evidence for an acute or chronic myeloid or lymphoproliferative disorder. RISK STRATIFICATION: Disease prognosis relies on identifying the subtype of eosinophilia. After evaluation of secondary causes of eosinophilia, the 2008 World Health Organization establishes a semi-molecular classification scheme of disease subtypes including myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, or FGFR1, chronic eosinophilic leukemia, not otherwise specified (CEL, NOS), lymphocyte-variant hypereosinophilia, and idiopathic hypereosinophilic syndrome (HES), which is a diagnosis of exclusion. RISK-ADAPTED THERAPY: The goal of therapy is to mitigate eosinophil-mediated organ damage. For patients with milder forms of eosinophilia (e.g. < 1,500/mm(3) ) without symptoms or signs of organ involvement, a watch and wait approach with close-follow-up may be undertaken. Identification of rearranged PDGFRA or PDGFRB is critical because of the exquisite responsiveness of these diseases to imatinib. Corticosteroids are first-line therapy for patients with lymphocyte-variant hypereosinophilia and HES. Hydroxyurea and interferon-alpha have demonstrated efficacy as initial treatment and steroid-refractory cases of HES. In addition to hydroxyurea, second line cytotoxic chemotherapy agents and hematopoietic cell transplant have been used for aggressive forms of HES and CEL with outcomes reported for limited numbers of patients. Although clinical trials have been performed with anti IL-5 (mepolizumab) and anti-CD52 (alemtuzumab) antibodies, their therapeutic niche in primary eosinophilic diseases and HES have yet to be established.","['Gotlib, Jason']",['Gotlib J'],"['Division of Hematology, Department of Medicine, Stanford University School of Medicine/Stanford Cancer Center, Stanford, California 94305-5821, USA. jason.gotlib@stanford.edu']",['eng'],,"['Journal Article', 'Review']",United States,Am J Hematol,American journal of hematology,7610369,"['EC 2.7.10.1 (Receptor, Platelet-Derived Growth Factor alpha)', 'EC 2.7.10.1 (Receptor, Platelet-Derived Growth Factor beta)']",IM,"['Eosinophilia/*diagnosis/*drug therapy/genetics/physiopathology', 'Humans', 'Practice Guidelines as Topic', 'Prognosis', 'Receptor, Platelet-Derived Growth Factor alpha/genetics', 'Receptor, Platelet-Derived Growth Factor beta/genetics', 'Risk Assessment', 'World Health Organization']",,,2011/07/16 06:00,2011/09/21 06:00,['2011/07/16 06:00'],"['2011/07/16 06:00 [entrez]', '2011/07/16 06:00 [pubmed]', '2011/09/21 06:00 [medline]']",['10.1002/ajh.22062 [doi]'],ppublish,Am J Hematol. 2011 Aug;86(8):677-88. doi: 10.1002/ajh.22062.,,,,,,,,,"['Copyright (c) 2011 Wiley-Liss, Inc.']",,,,,,,,,
21761431,NLM,MEDLINE,20110920,20181201,1096-8652 (Electronic) 0361-8609 (Linking),86,8,2011 Aug,High-dose imatinib for newly diagnosed chronic phase chronic myeloid leukemia patients--systematic review and meta-analysis.,657-62,10.1002/ajh.22076 [doi],"Imatinib at a dose of 400 mg daily is considered frontline treatment in chronic phase chronic myeloid leukemia (CP-CML). We conducted a systematic review and meta-analysis of randomized controlled trials comparing frontline treatment with imatinib 400 mg daily versus higher doses (>/=600 mg daily) in patients with CP-CML. The search yielded four trials, randomizing 1,673 patients. At 12 months, high dose compared with standard dose imatinib improved complete cytogenetic response (CCyR) (RR 1.17, 95% CI 1.08-1.26, four trials, I(2) = 33%) as well as major molecular response (MMolR) (RR 1.26, 95% CI 1.12-1.42, four trials, I(2) = 0%). There was no difference in all-cause mortality or disease progression at the end of follow up. Adverse events requiring discontinuation were more common in the high-dose arm (RR 1.98, 95% CI 1.20-3.26, three trials, I(2) = 0%), as were Grade III/IV neutropenia and thrombocytopenia: RR 1.56, 95% CI 1.15-2.12 and RR 1.86, 95% CI 1.28-2.70, respectively. There is currently insufficient evidence to support the routine use of higher doses of imatinib as frontline treatment for CP-CML. Extended follow up is needed to evaluate if the superior CCyR and MMolR with higher doses of imatinib will translate to long-term clinical benefit.","['Gafter-Gvili, Anat', 'Leader, Avi', 'Gurion, Ronit', 'Vidal, Liat', 'Ram, Ron', 'Shacham-Abulafia, Adi', 'Ben-Bassat, Isaac', 'Lishner, Michael', 'Shpilberg, Ofer', 'Raanani, Pia']","['Gafter-Gvili A', 'Leader A', 'Gurion R', 'Vidal L', 'Ram R', 'Shacham-Abulafia A', 'Ben-Bassat I', 'Lishner M', 'Shpilberg O', 'Raanani P']","['Institute of Hematology, Davidoff Cancer Center, Beilinson Hospital, Rabin Medical Center, Petah-Tikva, Israel.']",['eng'],,"['Journal Article', 'Meta-Analysis', 'Review', 'Systematic Review']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Antineoplastic Agents/*administration & dosage/adverse effects/therapeutic use', 'Benzamides', 'Disease Progression', 'Dose-Response Relationship, Drug', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myeloid, Chronic-Phase/*drug therapy/mortality', 'Piperazines/*administration & dosage/adverse effects/therapeutic use', 'Protein Kinase Inhibitors/*administration & dosage/adverse effects/therapeutic use', 'Pyrimidines/*administration & dosage/adverse effects/therapeutic use', 'Randomized Controlled Trials as Topic']",,,2011/07/16 06:00,2011/09/21 06:00,['2011/07/16 06:00'],"['2011/07/16 06:00 [entrez]', '2011/07/16 06:00 [pubmed]', '2011/09/21 06:00 [medline]']",['10.1002/ajh.22076 [doi]'],ppublish,Am J Hematol. 2011 Aug;86(8):657-62. doi: 10.1002/ajh.22076.,,,,,,,,,"['Copyright (c) 2011 Wiley-Liss, Inc.']",,,,,,,,,
21761430,NLM,MEDLINE,20110920,20151119,1096-8652 (Electronic) 0361-8609 (Linking),86,8,2011 Aug,Personalized medicine for acute myelogenous leukemia--at the entrance gate.,631-2,10.1002/ajh.22060 [doi],,"['Swords, Ronan T', 'Dezube, Bruce J', 'Medeiros, Bruno C']","['Swords RT', 'Dezube BJ', 'Medeiros BC']",,['eng'],,['Editorial'],United States,Am J Hematol,American journal of hematology,7610369,,IM,"['Humans', 'Leukemia, Myeloid, Acute/drug therapy/genetics/metabolism/*therapy', 'Molecular Targeted Therapy', 'Precision Medicine/*trends']",,,2011/07/16 06:00,2011/09/21 06:00,['2011/07/16 06:00'],"['2011/07/16 06:00 [entrez]', '2011/07/16 06:00 [pubmed]', '2011/09/21 06:00 [medline]']",['10.1002/ajh.22060 [doi]'],ppublish,Am J Hematol. 2011 Aug;86(8):631-2. doi: 10.1002/ajh.22060.,,,,,,,,,,,,,,,,,,
21761401,NLM,MEDLINE,20120416,20211020,1097-0142 (Electronic) 0008-543X (Linking),118,4,2012 Feb 15,Decreased sensitivity of 17p-deleted chronic lymphocytic leukemia cells to a small molecule BCL-2 antagonist ABT-737.,1023-31,10.1002/cncr.26360 [doi],"BACKGROUND: Despite the high complete response rates achieved with fludarabine-based regimens, relapse is inevitable in chronic lymphocytic leukemia (CLL). Relapsed patients often acquire deletions of the short arm of chromosome 17 (del[17p]), which are closely associated with tumor protein 53 (TP53) mutations. Wild-type p53 up-regulates and activates B-cell CLL/lymphoma 2 (BCL-2)-associated X protein (BAX), and it down-regulates and inactivates BCL-2. The small-molecule BCL-2 inhibitor ABT-737 induces apoptosis in a BAX-dependent and BCL-2 homologous antagonist-killer (BAK)-dependent manner. The role of p53 in sensitivity of CLL cells to BCL-2 inhibition has not been extensively investigated. METHODS: The authors investigated the association of del(17p) with ABT-737 sensitivity in CLL cells from 50 patients. Stable p53 and BAX knockdown cells were used for mechanistic studies. RESULTS: CLL cells with del(17p) were less sensitive to ABT-737-induced BAX activation and apoptosis than CLL cells without del(17p) (39% +/- 7.3% vs 63.7% +/- 2.9% [specific annexin V induction]; P < .01). A positive correlation between the degrees of apoptosis induced by ABT-737 and by the p53-activating binding protein homolog murine double minute (MDM2) antagonist nutlin-3a (correlation coefficient [r] = 0.75; P < .0001) was observed. CLL cells with del(17p) expressed lower levels of BAX than those without del(17p) (0.67 +/- 0.12 vs 1.27 +/- 0.10 in relative protein expression levels; P < .01). Knockdown of p53 or BAX in leukemia cells resulted in decreased apoptosis induced by ABT-737. CONCLUSIONS: The current data indicated that p53 dysfunction may lead to decreased apoptosis induction by ABT-737.","['Kojima, Kensuke', 'Duvvuri, Seshagiri', 'Ruvolo, Vivian', 'Samaniego, Felipe', 'Younes, Anas', 'Andreeff, Michael']","['Kojima K', 'Duvvuri S', 'Ruvolo V', 'Samaniego F', 'Younes A', 'Andreeff M']","['Department of Leukemia, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030, USA.']",['eng'],"['P30 CA016672/CA/NCI NIH HHS/United States', 'P50 CA100632/CA/NCI NIH HHS/United States', 'CA100632/CA/NCI NIH HHS/United States', 'CA55164/CA/NCI NIH HHS/United States', 'P01 CA049639/CA/NCI NIH HHS/United States', 'P01 CA055164/CA/NCI NIH HHS/United States', 'CA136411/CA/NCI NIH HHS/United States', 'P50 CA136411/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,"['0 (ABT-737)', '0 (Biphenyl Compounds)', '0 (Imidazoles)', '0 (Nitrophenols)', '0 (Piperazines)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Sulfonamides)', '0 (Tumor Suppressor Protein p53)', '0 (bcl-2-Associated X Protein)', '53IA0V845C (nutlin 3)', 'Chromosome 17 deletion']",IM,"['Aged', 'Aged, 80 and over', 'Apoptosis/*drug effects', 'Biphenyl Compounds/*pharmacology/therapeutic use', 'Cells, Cultured', 'Chromosome Deletion', 'Chromosomes, Human, Pair 17/genetics', 'Drug Resistance, Neoplasm/*genetics', 'Female', 'Gene Expression Regulation, Neoplastic/drug effects', 'Humans', 'Imidazoles/pharmacology', 'Leukemia, Lymphocytic, Chronic, B-Cell/drug therapy/*genetics/*pathology', 'Male', 'Middle Aged', 'Mutation/genetics', 'Nitrophenols/*pharmacology/therapeutic use', 'Pharmacogenetics', 'Piperazines/pharmacology/therapeutic use', 'Proto-Oncogene Proteins c-bcl-2/*antagonists & inhibitors/drug effects', 'Smith-Magenis Syndrome', 'Sulfonamides/*pharmacology/therapeutic use', 'Treatment Outcome', 'Tumor Suppressor Protein p53/drug effects/genetics', 'bcl-2-Associated X Protein/drug effects/genetics']",PMC3579224,['NIHMS304509'],2011/07/16 06:00,2012/04/17 06:00,['2011/07/16 06:00'],"['2011/03/29 00:00 [received]', '2011/05/25 00:00 [revised]', '2011/05/26 00:00 [accepted]', '2011/07/16 06:00 [entrez]', '2011/07/16 06:00 [pubmed]', '2012/04/17 06:00 [medline]']",['10.1002/cncr.26360 [doi]'],ppublish,Cancer. 2012 Feb 15;118(4):1023-31. doi: 10.1002/cncr.26360. Epub 2011 Jul 14.,20110714,,,,,,,,['Copyright (c) 2011 American Cancer Society.'],,,,,,,,,
21761399,NLM,MEDLINE,20120416,20131121,1097-0142 (Electronic) 0008-543X (Linking),118,4,2012 Feb 15,Azacitidine for the treatment of patients with acute myeloid leukemia: report of 82 patients enrolled in an Italian Compassionate Program.,1014-22,10.1002/cncr.26354 [doi],"BACKGROUND: The efficacy of azacitidine for the treatment of high-risk myelodysplastic syndromes has prompted the issue of its potential role even in the treatment of acute myeloid leukemia (AML). METHODS: The authors analyzed 82 patients with AML who were diagnosed according to World Health Organization criteria. The median patient age was 72 years (range, 29-87 years), and 27 patients (33%) had secondary AML. Of 62 patients with evaluable cytogenetics, 18 patients (29%) had a poor-risk karyotype, and 44 patients (71%) had an intermediate karyotype. Thirty-five patients (43%) received azacitidine as front-line treatment, and 47 patients (57%) had previously received 1 or more line of chemotherapy. RESULTS: The overall response rate was 32% (26 of 82 patients) and included 12 (15%) complete remissions (CRs), 4 (5%) CRs with incomplete blood count recovery (CRi), and 10 (12%) partial responses (PRs). Responses were observed more frequently among untreated patients compared with pretreated patients; in fact, 17 of 35 untreated patients (48%) responded, including 11 responses (31%) classified as CR/CRi. Conversely, only 9 of 47 pretreated patients (19%) responded, including 5 responses (11%) that were classified as CR/Cri. The response rate was significantly higher for untreated patients (P = .006) and those who had white blood cell counts <10 x 10(9) /L (P = .006). For untreated patients who achieved a response, the median overall response duration was 13 months, and the 1-year and 2-years overall survival rates were 58% and 24%, respectively. CONCLUSIONS: The current results indicated that azacitidine promises to be an effective therapy for elderly patients with untreated AML and with white blood cell counts <10 x 10(9) /L.","['Maurillo, Luca', 'Venditti, Adriano', 'Spagnoli, Alessandra', 'Gaidano, Gianluca', 'Ferrero, Dario', 'Oliva, Esther', 'Lunghi, Monia', ""D'Arco, Alfonso M"", 'Levis, Alessandro', 'Pastore, Domenico', 'Di Renzo, Nicola', 'Santagostino, Alberto', 'Pavone, Vincenzo', 'Buccisano, Francesco', 'Musto, Pellegrino']","['Maurillo L', 'Venditti A', 'Spagnoli A', 'Gaidano G', 'Ferrero D', 'Oliva E', 'Lunghi M', ""D'Arco AM"", 'Levis A', 'Pastore D', 'Di Renzo N', 'Santagostino A', 'Pavone V', 'Buccisano F', 'Musto P']","['Institute of Hematology, Tor Vergata Foundation Polyclinic, Rome, Italy. luca.maurillo@uniroma2.it']",['eng'],,"['Journal Article', 'Multicenter Study']",United States,Cancer,Cancer,0374236,"['0 (Antimetabolites, Antineoplastic)', 'M801H13NRU (Azacitidine)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antimetabolites, Antineoplastic/adverse effects/*therapeutic use', 'Azacitidine/adverse effects/*therapeutic use', 'Female', 'Humans', 'Italy', 'Kaplan-Meier Estimate', 'Leukemia, Myeloid, Acute/*drug therapy/mortality', 'Longitudinal Studies', 'Male', 'Middle Aged', 'Registries', 'Retrospective Studies', 'Treatment Outcome']",,,2011/07/16 06:00,2012/04/17 06:00,['2011/07/16 06:00'],"['2011/02/22 00:00 [received]', '2011/04/27 00:00 [revised]', '2011/05/20 00:00 [accepted]', '2011/07/16 06:00 [entrez]', '2011/07/16 06:00 [pubmed]', '2012/04/17 06:00 [medline]']",['10.1002/cncr.26354 [doi]'],ppublish,Cancer. 2012 Feb 15;118(4):1014-22. doi: 10.1002/cncr.26354. Epub 2011 Jul 14.,20110714,,,,,,,,['Copyright (c) 2011 American Cancer Society.'],,,,,,,,,
21761245,NLM,MEDLINE,20130614,20211020,1559-131X (Electronic) 1357-0560 (Linking),29,3,2012 Sep,Anti-tumor immune responses in immune-reconstituted mice injected with a tumor vaccine.,2261-9,10.1007/s12032-011-0024-8 [doi],"Homeostasis-driven proliferation of T cells is an important means of reconstituting T-cell-dependent immunity after lymphodepletion regimens, such as chemotherapy or radiotherapy. Immune-reconstituted mice that receive a tumor vaccine mount more efficient anti-tumor immune responses compared with control mice. In the present study, we evaluated the anti-tumor immune responses in immune-reconstituted mice vaccinated with inactivated leukemia cells and explored the mechanisms underlying these immune responses. Test C57BL/6 mice were lymphodepleted by irradiation and immune-reconstituted with naive mouse spleen lymphocytes. Mice were then injected with an inactivated FBL-3 tumor cell vaccine and challenged with FBL-3 tumor cells. Anti-tumor responses were evaluated by determining the rate of tumor formation, latency, tumor size, interferon gamma levels, and macrophage and CTL cytotoxicities. When challenged with tumor cells, immune-reconstituted, vaccinated mice exhibited a significantly lower mortality, smaller average tumor volume, and a significantly longer mean survival time. They had more robust cellular immunity, reflected by higher levels of INF-gamma production and higher macrophage- and CTL-mediated cytotoxicities. Our results suggest that immune reconstitution enhanced the anti-tumor immune responses in mice injected with a tumor vaccine via generation of CTLs. These results have important implications for immunotherapy used for leukemia.","['He, Aili', 'Zhang, Wanggang', 'Xu, Kangling', 'Wang, Jianli', 'Yang, Yun', 'Chao, Xingmei']","['He A', 'Zhang W', 'Xu K', 'Wang J', 'Yang Y', 'Chao X']","[""Department of Hematology, Second Affiliated Hospital, Medical School of Xi'an Jiaotong University, Xi'an, 710004 Shaanxi Province, China.""]",['eng'],,['Journal Article'],United States,Med Oncol,"Medical oncology (Northwood, London, England)",9435512,['0 (Cancer Vaccines)'],IM,"['Animals', 'Cancer Vaccines/*immunology/pharmacology', 'Female', 'Leukemia/immunology/therapy', 'Mice', 'Mice, Inbred C57BL', 'Neoplasms, Experimental/*immunology/*therapy', 'T-Lymphocytes, Cytotoxic/*immunology']",,,2011/07/16 06:00,2013/06/15 06:00,['2011/07/16 06:00'],"['2011/03/09 00:00 [received]', '2011/06/30 00:00 [accepted]', '2011/07/16 06:00 [entrez]', '2011/07/16 06:00 [pubmed]', '2013/06/15 06:00 [medline]']",['10.1007/s12032-011-0024-8 [doi]'],ppublish,Med Oncol. 2012 Sep;29(3):2261-9. doi: 10.1007/s12032-011-0024-8. Epub 2011 Jul 15.,20110715,,,,,,,,,,,,,,,,,
21761152,NLM,MEDLINE,20120210,20211020,1573-0832 (Electronic) 0301-486X (Linking),172,5,2011 Nov,A case of rhinoorbital mucormycosis in a leukemic patient with a literature review from Turkey.,397-405,10.1007/s11046-011-9449-z [doi],"Mucormycosis (Zygomycosis) is a rare, invasive, opportunistic fungal infection of the paranasal sinuses, caused by a fungus of the order Mucorales. We report a case of rhinoorbital mucormycosis caused by Rhizopus oryzae in an acute lymphoblastic leukemia patient and review the 79 Mucormycosis cases reported in the last decade from Turkey. In our case, the diagnosis was made with endoscopic appearance, computerized tomography of the paranasal sinuses, and culture of the surgical materials. Following aggressive surgical debridement and parenteral amphotericin B therapy, the patient recovered completely. In Turkish literature, rhinocerebral manifestations were the most common form of the mucormycosis (64 cases), followed by pulmonary form (6 cases). The most common risk factor was hematologic malignancies (32 cases) and diabetes mellitus (32 cases), similar to those reported from the rest of the world. The etiologic agents responsible for the review cases were Rhizopus sp., Mucor spp., Rhizomucor spp., Rhizopus oryzae, Mucor circinelloides, and Lichtheimia corymbifera. Although various treatment modalities were used, amphotericin B was the mainstay of therapy. Mortality rate was found to be 49.4% in review cases. It seems that strong clinical suspicion and early diagnosis, along with aggressive antifungal therapy and endoscopic sinus surgery, have great importance for better prognosis in mucormycosis.","['Gumral, Ramazan', 'Yildizoglu, Uzeyir', 'Saracli, Mehmet Ali', 'Kaptan, Kursat', 'Tosun, Fuat', 'Yildiran, Sinasi Taner']","['Gumral R', 'Yildizoglu U', 'Saracli MA', 'Kaptan K', 'Tosun F', 'Yildiran ST']","['Department of Microbiology, Gulhane Military Medical Academy, Ankara, Turkey, rgumral@gmail.com.']",['eng'],,"['Case Reports', 'Journal Article', 'Review']",Netherlands,Mycopathologia,Mycopathologia,7505689,"['0 (Antifungal Agents)', '0 (DNA, Fungal)', '0 (RNA, Ribosomal, 5.8S)', '0 (liposomal amphotericin B)', '7XU7A7DROE (Amphotericin B)']",IM,"['Adult', 'Amphotericin B/administration & dosage/therapeutic use', 'Antifungal Agents/administration & dosage/therapeutic use', 'Base Sequence', 'DNA, Fungal/genetics', 'Humans', 'Male', '*Mucormycosis/complications/diagnosis/drug therapy/pathology', '*Paranasal Sinus Diseases/complications/diagnosis/drug therapy/pathology', 'Paranasal Sinuses/microbiology/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications', 'RNA, Ribosomal, 5.8S', '*Rhizopus/drug effects/genetics/isolation & purification/pathogenicity', 'Sequence Analysis, DNA', 'Turkey']",,,2011/07/16 06:00,2012/02/11 06:00,['2011/07/16 06:00'],"['2010/11/11 00:00 [received]', '2011/07/03 00:00 [accepted]', '2011/07/16 06:00 [entrez]', '2011/07/16 06:00 [pubmed]', '2012/02/11 06:00 [medline]']",['10.1007/s11046-011-9449-z [doi]'],ppublish,Mycopathologia. 2011 Nov;172(5):397-405. doi: 10.1007/s11046-011-9449-z. Epub 2011 Jul 15.,20110715,,,,,,,,,,,,,,,,,
21760961,NLM,MEDLINE,20111013,20211020,1932-6203 (Electronic) 1932-6203 (Linking),6,7,2011,"Aberrant DNA methylation is associated with disease progression, resistance to imatinib and shortened survival in chronic myelogenous leukemia.",e22110,10.1371/journal.pone.0022110 [doi],"The epigenetic impact of DNA methylation in chronic myelogenous leukemia (CML) is not completely understood. To elucidate its role we analyzed 120 patients with CML for methylation of promoter-associated CpG islands of 10 genes. Five genes were identified by DNA methylation screening in the K562 cell line and 3 genes in patients with myeloproliferative neoplasms. The CDKN2B gene was selected for its frequent methylation in myeloid malignancies and ABL1 as the target of BCR-ABL translocation. Thirty patients were imatinib-naive (mostly treated by interferon-alpha before the imatinib era), 30 were imatinib-responsive, 50 were imatinib-resistant, and 10 were imatinib-intolerant. We quantified DNA methylation by bisulfite pyrosequencing. The average number of methylated genes was 4.5 per patient in the chronic phase, increasing significantly to 6.2 in the accelerated and 6.4 in the blastic phase. Higher numbers of methylated genes were also observed in patients resistant or intolerant to imatinib. These patients also showed almost exclusive methylation of a putative transporter OSCP1. Abnormal methylation of a Src suppressor gene PDLIM4 was associated with shortened survival independently of CML stage and imatinib responsiveness. We conclude that aberrant DNA methylation is associated with CML progression and that DNA methylation could be a marker associated with imatinib resistance. Finally, DNA methylation of PDLIM4 may help identify a subset of CML patients that would benefit from treatment with Src/Abl inhibitors.","['Jelinek, Jaroslav', 'Gharibyan, Vazganush', 'Estecio, Marcos R H', 'Kondo, Kimie', 'He, Rong', 'Chung, Woonbok', 'Lu, Yue', 'Zhang, Nianxiang', 'Liang, Shoudan', 'Kantarjian, Hagop M', 'Cortes, Jorge E', 'Issa, Jean-Pierre J']","['Jelinek J', 'Gharibyan V', 'Estecio MR', 'Kondo K', 'He R', 'Chung W', 'Lu Y', 'Zhang N', 'Liang S', 'Kantarjian HM', 'Cortes JE', 'Issa JP']","['Department of Leukemia, The University of Texas MD Anderson Cancer Center, Houston, Texas, United States of America. jjelinek@mdanderson.org']",['eng'],"['P50 CA100632/CA/NCI NIH HHS/United States', 'CA046939/CA/NCI NIH HHS/United States', '2P01CA049639-20A2/CA/NCI NIH HHS/United States', 'CA100632/CA/NCI NIH HHS/United States', 'P01 CA049639/CA/NCI NIH HHS/United States', 'K25 CA123344/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,PLoS One,PloS one,101285081,"['0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adolescent', 'Adult', 'Aged', 'Benzamides', 'Cell Line, Tumor', 'DNA Methylation/*drug effects/*genetics', '*Disease Progression', 'Drug Resistance, Neoplasm/*drug effects/*genetics', 'Female', 'Gene Expression Regulation, Leukemic/drug effects', 'Genes, Neoplasm/genetics', 'Genome, Human/genetics', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/*genetics', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Neoplasm Staging', 'Oligonucleotide Array Sequence Analysis', 'Piperazines/adverse effects/*pharmacology/therapeutic use', 'Pyrimidines/adverse effects/*pharmacology/therapeutic use', 'Sequence Analysis, DNA', 'Survival Analysis', 'Treatment Outcome', 'Young Adult']",PMC3132778,,2011/07/16 06:00,2011/10/14 06:00,['2011/07/16 06:00'],"['2011/01/05 00:00 [received]', '2011/06/15 00:00 [accepted]', '2011/07/16 06:00 [entrez]', '2011/07/16 06:00 [pubmed]', '2011/10/14 06:00 [medline]']","['10.1371/journal.pone.0022110 [doi]', 'PONE-D-11-00812 [pii]']",ppublish,PLoS One. 2011;6(7):e22110. doi: 10.1371/journal.pone.0022110. Epub 2011 Jul 8.,20110708,,,,,,,,,,,,,,,,,
