PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,CON,CIN,GR,SI,GS,TT,RF,PMC,EIN,OID,OTO,OT,GN,RIN,IR,FIR,IRAD
7523498,NLM,MEDLINE,19941110,20171116,0022-1767 (Print) 0022-1767 (Linking),153,8,1994 Oct 15,Clonal expansion but lack of subsequent clonal deletion of bacterial superantigen-reactive T cells in murine retroviral infection.,3611-21,"Several studies have suggested that activation-induced apoptosis of Ag-specific CD4+ T cells leads to depletion of this subset during HIV infection. The bacterial superantigen, staphylococcal enterotoxin A (SEA), is known to induce activation-induced apoptosis in the TCR V beta-bearing CD4+ T cells in the periphery after clonal expansion of these cells. The murine retroviral model of AIDS (MAIDS), which is induced by LP-BM5 murine leukemia virus, shares many common features with HIV infection in humans, except that CD4+ T cells increase progressively in susceptible strains. In this study, we challenged SEA to MAIDS mice and examined whether this retrovirus affects the fate of the SEA-reactive CD4+ T cells in vivo. At 4 wk post-infection with LP-BM5 murine leukemia virus, clonal expression and subsequent deletion of SEA-reactive CD4+V beta 3+ T cells occurred normally after SEA administration, whereas in vitro proliferative responses were severely impaired. At 8 wk postinfection, the in vivo expansion of CD4+V beta 3+ T cells was evident, but not followed by clonal deletion, as late as 14 days after SEA administration. This expanding subset in the infected mice expressed the Fas Ag in the same amount as the same subset in uninfected controls. These findings suggest that activation-induced apoptosis of superantigen-reactive CD4+ T cells is interfered with in vivo during the course of MAIDS, which is not attributable to underexpression of the Fas Ag by the CD4+ T cells.","['Aoki, Y', 'Hiromatsu, K', 'Usami, J', 'Makino, M', 'Igarashi, H', 'Ogasawara, J', 'Nagata, S', 'Yoshikai, Y']","['Aoki Y', 'Hiromatsu K', 'Usami J', 'Makino M', 'Igarashi H', 'Ogasawara J', 'Nagata S', 'Yoshikai Y']","['Laboratory of Host Defense, Nagoya University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antigens, Surface)', '0 (Enterotoxins)', '0 (Receptors, Antigen, T-Cell, alpha-beta)', '0 (Superantigens)', '0 (fas Receptor)', '37337-57-8 (enterotoxin A, Staphylococcal)', '39424-53-8 (enterotoxin B, staphylococcal)']",IM,"['Animals', 'Antigens, Surface/*metabolism', 'CD4-Positive T-Lymphocytes/*immunology', 'CD8-Positive T-Lymphocytes/immunology', 'Clonal Deletion', 'Enterotoxins/immunology', 'Female', 'Leukemia Virus, Murine', 'Lymph Nodes/immunology', 'Lymphocyte Activation', 'Mice', 'Mice, Inbred C57BL', 'Murine Acquired Immunodeficiency Syndrome/*immunology', 'Receptors, Antigen, T-Cell, alpha-beta/immunology', 'Superantigens/*immunology', 'fas Receptor']",1994/10/15 00:00,1994/10/15 00:01,['1994/10/15 00:00'],"['1994/10/15 00:00 [pubmed]', '1994/10/15 00:01 [medline]', '1994/10/15 00:00 [entrez]']",ppublish,J Immunol. 1994 Oct 15;153(8):3611-21.,,,,,,,,,,,,,,,,,,
7523435,NLM,MEDLINE,19941123,20190920,0271-9142 (Print) 0271-9142 (Linking),14,4,1994 Jul,Optimizing the effectiveness of hematopoietic growth factors.,215-23,"Hematopoiesis is regulated in a very precise fashion by a balance between both positive and negative growth factor signals in the hematopoietic microenvironment. Many of these growth factor signals have been identified and are available as recombinant proteins. At the present time, the approved uses for hematopoietic growth factors involve their use to facilitate blood cell production in situations of hematopoietic suppression or in cases where endogenous growth factor production is inappropriately low. Recent studies with the hematopoietic growth factors are looking at innovative strategies for their use and new clinical situations in which to evaluate their effectiveness. This review looks at some of these new uses for hematopoietic growth factors.","['Williams, D E']",['Williams DE'],"['Department of Biological Sciences, Immunex Research and Development Corporation, Seattle, Washington 98101.']",['eng'],"['Journal Article', 'Review']",Netherlands,J Clin Immunol,Journal of clinical immunology,8102137,"['11096-26-7 (Erythropoietin)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Animals', 'Bone Marrow Diseases/drug therapy', 'Bone Marrow Transplantation', 'Erythropoietin/*therapeutic use', 'Granulocyte Colony-Stimulating Factor/*therapeutic use', 'Granulocyte-Macrophage Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Leukemia, Myeloid/drug therapy']",1994/07/01 00:00,1994/07/01 00:01,['1994/07/01 00:00'],"['1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]', '1994/07/01 00:00 [entrez]']",ppublish,J Clin Immunol. 1994 Jul;14(4):215-23. doi: 10.1007/BF01552307.,['10.1007/BF01552307 [doi]'],,,,,,,52,,,,,,,,,,
7523373,NLM,MEDLINE,19941027,20210210,0021-9258 (Print) 0021-9258 (Linking),269,39,1994 Sep 30,"Acute phase response factor and additional members of the interferon-stimulated gene factor 3 family integrate diverse signals from cytokines, interferons, and growth factors.",24391-5,"Cytokines and growth factors elicit responses in target cells through induction of gene expression. Signaling mechanisms leading to gene transcription from cell surface receptors often require tyrosine phosphorylation. A family of transcription factors comprising the interferon (IFN)-stimulated gene factor 3 (ISGF3) multimeric complex are phosphorylated and activated in response to interferon. We describe a protein 50% identical to the 91-kDa subunit of ISGF3 that constitutes the acute phase response factor (APRF). This protein was rapidly activated by interleukin-6 to bind an enhancer element common to genes activated in liver cells during the acute phase response to inflammation. Remarkably, APRF was also activated by IFN alpha, IFN gamma, epidermal growth factor, platelet-derived growth factor, colony stimulating factor-1, and the cytokines leukemia inhibitory factor and oncostatin M. The growth factors also activated a third, distinct but related, DNA-binding protein in addition to APRF and p91. This novel factor or a closely related one, but neither APRF nor p91, was also activated in lymphoid cells by interleukin-2, erythropoietin, and interleukin-3. Activation of APRF, p91, and additional members of the ISGF3 family is thus a general feature of a wide variety of signaling pathways, integrating diverse signals through common transcriptional regulators.","['Raz, R', 'Durbin, J E', 'Levy, D E']","['Raz R', 'Durbin JE', 'Levy DE']","['Department of Pathology, New York University School of Medicine, New York 10016.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Cytokines)', '0 (DNA-Binding Proteins)', '0 (Growth Substances)', '0 (IRF9 protein, human)', '0 (Interferon-Stimulated Gene Factor 3)', '0 (Interferon-Stimulated Gene Factor 3, gamma Subunit)', '0 (Isgf3g protein, mouse)', '0 (Oligodeoxyribonucleotides)', '0 (STAT3 Transcription Factor)', '0 (STAT3 protein, human)', '0 (Stat3 protein, mouse)', '0 (Trans-Activators)', '0 (Transcription Factors)', '42HK56048U (Tyrosine)', '9008-11-1 (Interferons)']",IM,"['Animals', 'Base Sequence', 'Cells, Cultured', 'Cloning, Molecular', 'Cytokines/*metabolism', 'DNA-Binding Proteins/genetics/*metabolism', 'Growth Substances/metabolism', 'Humans', 'Interferon-Stimulated Gene Factor 3', 'Interferon-Stimulated Gene Factor 3, gamma Subunit', 'Interferons/metabolism', 'Mice', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides', 'Phosphorylation', 'STAT3 Transcription Factor', '*Signal Transduction', '*Trans-Activators', 'Transcription Factors/genetics/*metabolism', 'Transcription, Genetic', 'Tyrosine/metabolism']",1994/09/30 00:00,1994/09/30 00:01,['1994/09/30 00:00'],"['1994/09/30 00:00 [pubmed]', '1994/09/30 00:01 [medline]', '1994/09/30 00:00 [entrez]']",ppublish,J Biol Chem. 1994 Sep 30;269(39):24391-5.,['S0021-9258(19)51096-1 [pii]'],,,['R01 AI28900/AI/NIAID NIH HHS/United States'],['GENBANK/U08378'],['ISGF3'],,,,,,,,,,,,
7523182,NLM,MEDLINE,19941118,20190909,0902-4441 (Print) 0902-4441 (Linking),53,3,1994 Sep,"Effects of cyclic AMP on expression of LFA-1, Mac-1, and VLA-4 and eosinophilic differentiation of a human leukemia cell line, EoL-1.",156-62,"We examined the effect of dibutyryl cAMP (dbcAMP) on the expression of LFA-1 (CD11a/CD18), Mac-1 (CD11b/CD18), and VLA-4 (CD49/CD29) and on eosinophilic differentiation of a human leukemia cell line, EoL-1. Dibutyryl cAMP induced eosinophilic differentiation of EoL-1 cells from 6-9 days after the start of culture with down-regulation of CD11a, CD18, and CD49 expression and up-regulation of CD11b expression. Changes in integrin expression, except for CD18, were seen predominantly in the fraction containing eosinophilic granule-positive cells, suggesting that the changes were dependent on eosinophilic differentiation. On the other hand, dbcAMP-induced changes of integrin expression were reversible and were not seen on day 9 when dbcAMP was removed on day 3, whereas eosinophilic differentiation was still present. A combination of G-CSF and TNF-alpha, which also induced eosinophilic differentiation of EoL-1 cells, increased CD11b expression slightly but had no significant effect on the expression of the other integrins. Butyrate and PMA up-regulated CD11b expression without eosinophilic differentiation. The results collectively suggest that the regulation of integrin expression on EoL-1 cells is partly dependent and partly not dependent on eosinophilic differentiation. The possible involvement of protein kinase A and protein kinase C in these changes is suggested.","['Jung, E Y', 'Ohshima, Y', 'Shintaku, N', 'Sumimoto, S', 'Heike, T', 'Katamura, K', 'Mayumi, M']","['Jung EY', 'Ohshima Y', 'Shintaku N', 'Sumimoto S', 'Heike T', 'Katamura K', 'Mayumi M']","['Department of Pediatrics, Kyoto University, Japan.']",['eng'],['Journal Article'],England,Eur J Haematol,European journal of haematology,8703985,"['0 (Antigens, CD)', '0 (Butyrates)', '0 (Integrin beta1)', '0 (Integrins)', '0 (Isoquinolines)', '0 (Lymphocyte Function-Associated Antigen-1)', '0 (Macrophage-1 Antigen)', '0 (Piperazines)', '0 (Tumor Necrosis Factor-alpha)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '63X7MBT2LQ (Bucladesine)', '84477-87-2 (1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine)', '84478-11-5 (N-(2-(methylamino)ethyl)-5-isoquinolinesulfonamide)', 'E0399OZS9N (Cyclic AMP)', 'EC 2.7.11.13 (Protein Kinase C)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine', 'Antigens, CD/*analysis/physiology', 'Bucladesine/pharmacology', 'Butyrates/pharmacology', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cyclic AMP/*pharmacology', 'Eosinophils/*chemistry/*pathology', 'Fluorescent Antibody Technique', 'Granulocyte Colony-Stimulating Factor/pharmacology', 'Humans', 'Integrin beta1', 'Integrins/*analysis/physiology', 'Isoquinolines/pharmacology', 'Leukemia/*blood/*pathology', 'Lymphocyte Function-Associated Antigen-1/*analysis/physiology', 'Macrophage-1 Antigen/*analysis/physiology', 'Piperazines/pharmacology', 'Protein Kinase C/antagonists & inhibitors', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured', 'Tumor Necrosis Factor-alpha/pharmacology']",1994/09/01 00:00,1994/09/01 00:01,['1994/09/01 00:00'],"['1994/09/01 00:00 [pubmed]', '1994/09/01 00:01 [medline]', '1994/09/01 00:00 [entrez]']",ppublish,Eur J Haematol. 1994 Sep;53(3):156-62. doi: 10.1111/j.1600-0609.1994.tb00664.x.,['10.1111/j.1600-0609.1994.tb00664.x [doi]'],,,,,,,,,,,,,,,,,
7523181,NLM,MEDLINE,19941118,20190909,0902-4441 (Print) 0902-4441 (Linking),53,3,1994 Sep,In vivo administration of granulocyte colony-stimulating factor promotes neutrophil survival in vitro.,129-34,"We recently showed that recombinant human granulocyte-colony stimulating factor (rhG-CSF) maintained the viability of human neutrophils in incubation for up to 72 hours. However, it is not known whether rhG-CSF can enhance neutrophil survival in in vivo situations. To clarify this issue, we investigated neutrophil survival in vitro following in vivo injection of rhG-CSF. Neutrophils were obtained from 4 pediatric patients with malignancies and healthy adult volunteers before and after rhG-CSF administration. Neutrophils obtained before rhG-CSF treatment started to undergo apoptosis after 24 h of incubation. In contrast, the survival of neutrophils drawn after rhG-CSF administration increased by approximately 24 h. Concomitantly, the appearance of typical ladder-like DNA fragmentation was delayed. Such an increase in neutrophil survival was inhibited by co-incubation with either H 7 (10 mumol/l) or H 8 (20 mumol/l), which worked as protein kinase C inhibitors. Although our study did not measure neutrophil survival in vivo directly, it provides us with further evidence that rhG-CSF may function to prolong neutrophil life expectancy in vivo.","['Adachi, S', 'Kubota, M', 'Lin, Y W', 'Okuda, A', 'Matsubara, K', 'Wakazono, Y', 'Hirota, H', 'Kuwakado, K', 'Akiyama, Y']","['Adachi S', 'Kubota M', 'Lin YW', 'Okuda A', 'Matsubara K', 'Wakazono Y', 'Hirota H', 'Kuwakado K', 'Akiyama Y']","['Department of Pediatrics, Kyoto University, Japan.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Controlled Clinical Trial', 'Journal Article']",England,Eur J Haematol,European journal of haematology,8703985,"['0 (Isoquinolines)', '0 (Piperazines)', '0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '84477-87-2 (1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine)', '84478-11-5 (N-(2-(methylamino)ethyl)-5-isoquinolinesulfonamide)', 'EC 2.7.11.13 (Protein Kinase C)']",IM,"['1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine', 'Adolescent', 'Burkitt Lymphoma/drug therapy/pathology', 'Cell Survival/drug effects', 'Child', 'Child, Preschool', 'Female', 'Granulocyte Colony-Stimulating Factor/blood/*pharmacology/therapeutic use', 'Humans', 'Isoquinolines/pharmacology', 'Leukemia, Myeloid, Acute/drug therapy/pathology', 'Male', 'Neuroblastoma/drug therapy/pathology', 'Neutrophils/drug effects/*pathology', 'Osteosarcoma/drug therapy/pathology', 'Piperazines/pharmacology', 'Protein Kinase C/antagonists & inhibitors', 'Recombinant Proteins/pharmacology', 'Time Factors', 'Tumor Cells, Cultured/drug effects/pathology']",1994/09/01 00:00,1994/09/01 00:01,['1994/09/01 00:00'],"['1994/09/01 00:00 [pubmed]', '1994/09/01 00:01 [medline]', '1994/09/01 00:00 [entrez]']",ppublish,Eur J Haematol. 1994 Sep;53(3):129-34. doi: 10.1111/j.1600-0609.1994.tb00660.x.,['10.1111/j.1600-0609.1994.tb00660.x [doi]'],,,,,,,,,,,,,,,,,
7523170,NLM,MEDLINE,19941110,20151119,0301-472X (Print) 0301-472X (Linking),22,12,1994 Nov,Effects of rhG-CSF (filgrastim) on the recovery of hematopoiesis after high-dose chemotherapy and autologous peripheral blood stem cell transplantation in children: a report from the Children's Cancer and Leukemia Study Group of Japan.,1197-202,"In a nonrandomized study, hematopoietic recovery kinetics were evaluated in 98 consecutive patients who underwent high-dose chemotherapy without total body irradiation (TBI) and autologous peripheral blood stem cell transplantation (PBSCT). Fifty-three patients received recombinant human granulocyte colony-stimulating factor (rhG-CSF) (filgrastim) therapy after PBSCT, and the data were compared by actuarial analysis to those of 45 historic controls. The number of days required to achieve a white blood cell count (WBC) of 1 x 10(9)/L, an absolute granulocyte count (AGC) of 5 x 10(8)/L, and a platelet count (PLT) of 5 x 10(10)/L were, respectively, 12.8 +/- 6.4 (mean +/- standard deviation [SD]), 13.4 +/- 6.4, and 49.2 +/- 78.2 in treated patients vs. 12.8 +/- 4.6, 14.4 +/- 10.3, and 31.4 +/- 38.8 days in historic controls, with no significant differences. There was no significant difference between the average number of days with fever in the treated group (6.0 +/- 6.6) and that in the control group (4.0 +/- 2.8). All febrile episodes responded promptly and successfully to parenteral antibiotic therapy. Thus, the data may suggest the possibility that therapy with filgrastim has only a limited ability to enhance hematopoietic recovery after PBSCT. To confirm this notion, we initiated a prospective randomized trial by recruiting a larger number of patients.","['Suzue, T', 'Takaue, Y', 'Watanabe, A', 'Kawano, Y', 'Watanabe, T', 'Abe, T', 'Kuroda, Y', 'Matsushita, T', 'Kikuta, A', 'Iwai, A']","['Suzue T', 'Takaue Y', 'Watanabe A', 'Kawano Y', 'Watanabe T', 'Abe T', 'Kuroda Y', 'Matsushita T', 'Kikuta A', 'Iwai A', 'et al.']","['Department of Pediatrics, University of Tokushima, Japan.']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', 'PVI5M0M1GW (Filgrastim)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Filgrastim', 'Granulocyte Colony-Stimulating Factor/pharmacology/*therapeutic use', '*Hematopoiesis', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Infant', 'Japan', 'Leukemia/*therapy', 'Lymphoma/*therapy', 'Lymphoma, Non-Hodgkin/therapy', 'Male', 'Neoplasms/*therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Recombinant Proteins/pharmacology/therapeutic use', 'Retrospective Studies', 'Transplantation, Autologous']",1994/11/01 00:00,1994/11/01 00:01,['1994/11/01 00:00'],"['1994/11/01 00:00 [pubmed]', '1994/11/01 00:01 [medline]', '1994/11/01 00:00 [entrez]']",ppublish,Exp Hematol. 1994 Nov;22(12):1197-202.,,,,,,,,,,,,,,,,,,
7523140,NLM,MEDLINE,19941107,20171116,0014-2980 (Print) 0014-2980 (Linking),24,10,1994 Oct,"Increased Fas antigen expression in murine retrovirus-induced immunodeficiency syndrome, MAIDS.",2446-51,"The Fas antigen (Fas), which is a cell surface protein belonging to the tumor necrosis factor receptor family, mediates apoptosis. To assess the contribution of Fas to the pathogenesis of retrovirus-induced immunodeficiency, we examined the kinetics of Fas expression on the lymphocytes during the course of murine acquired immunodeficiency syndrome (MAIDS) induced by a defective LP-BM5 murine leukemia virus. The Fas-positive cells were increased in proportion both in alpha beta T cells and B cells with the progression of MAIDS. The appearance of Fas-positive cells in alpha beta T cells preceded those in B cells during the course of MAIDS. Among alpha beta T cells, about half of the Thy1.2+ alpha beta T cells were positive for Fas, while almost all of Thy1.2- CD4+ alpha beta T cells were of the Fas-positive phenotype. The Fas-positive cells in MAIDS mice, especially unique Thy1.2-CD4+ alpha beta T cells, were easily rendered apoptotic by stimulation via Fas, indicating that Fas expressed on the lymphocytes is functional. Furthermore, concomitant infection with Mycobacterium avium in MAIDS mice caused a marked increase in Fas-positive cells accompanied by a severely impaired T cell reactivity to polyclonal stimuli. Taken together, these results suggest that possible participation of the Fas system in the pathogenesis of retrovirus-induced immunodeficiency.","['Hiromatsu, K', 'Aoki, Y', 'Makino, M', 'Matsumoto, Y', 'Mizuochi, T', 'Gotoh, Y', 'Nomoto, K', 'Ogasawara, J', 'Nagata, S', 'Yoshikai, Y']","['Hiromatsu K', 'Aoki Y', 'Makino M', 'Matsumoto Y', 'Mizuochi T', 'Gotoh Y', 'Nomoto K', 'Ogasawara J', 'Nagata S', 'Yoshikai Y']","['Laboratory of Germfree Life, Research Institute for Disease, Nagoya University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Antigens, Surface)', '0 (Receptors, Antigen, T-Cell, alpha-beta)', '0 (fas Receptor)']",IM,"['Animals', 'Antigens, Surface/*metabolism', '*Apoptosis', 'B-Lymphocytes/*immunology', 'DNA Damage', 'Female', 'Lymphocyte Activation', 'Mice', 'Mice, Inbred C57BL', 'Murine Acquired Immunodeficiency Syndrome/*immunology', 'Mycobacterium avium/*immunology', 'Receptors, Antigen, T-Cell, alpha-beta/analysis', 'T-Lymphocyte Subsets/*immunology', 'Time Factors', 'Tuberculosis/complications/immunology', 'fas Receptor']",1994/10/01 00:00,1994/10/01 00:01,['1994/10/01 00:00'],"['1994/10/01 00:00 [pubmed]', '1994/10/01 00:01 [medline]', '1994/10/01 00:00 [entrez]']",ppublish,Eur J Immunol. 1994 Oct;24(10):2446-51. doi: 10.1002/eji.1830241028.,['10.1002/eji.1830241028 [doi]'],,,,,,,,,,,,,,,,,
7523134,NLM,MEDLINE,19941107,20171116,0014-2980 (Print) 0014-2980 (Linking),24,10,1994 Oct,Certain anti-CD34 monoclonal antibodies induce homotypic adhesion of leukemic cell lines in a CD18-dependent and a CD18-independent way.,2304-11,"CD34 is a highly glycosylated type I membrane protein expressed by early hematopoietic progenitor cells as well as by endothelial cells and a subset of bone marrow stromal cells. CD34 is thought to play an important role during early hematopoiesis, although its function is unknown. We demonstrate that triggering of CD34 results in a rapid and vigorous homotypic adhesion in CD34+ cell lines, thereby providing evidence for a cell-cell adhesion function of CD34. The cellular adhesion event, induced by only two anti-CD34 mAb, (Immu-133 and QBend-10) was dependent on metabolic energy, an intact cytoskeleton and the presence of divalent cations. Analysis of antibody inhibition experiments indicated that the aggregation process partially involved the CD18 molecule.","['Traore, Y', 'Hirn, J']","['Traore Y', 'Hirn J']","['Department of Monoclonal Antibodies, Marseille, France.']",['eng'],['Journal Article'],Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Antigens, CD34)', '0 (CD18 Antigens)', '0 (Immunoglobulin Fab Fragments)', '0 (Lymphocyte Function-Associated Antigen-1)']",IM,"['Antibodies, Monoclonal/*immunology', 'Antigens, CD/*immunology', 'Antigens, CD34', 'CD18 Antigens/*physiology', 'Cell Adhesion', 'Cell Aggregation', 'Cytoskeleton/physiology', 'Energy Metabolism', 'Humans', 'Immunoglobulin Fab Fragments', 'In Vitro Techniques', 'Leukemia/*immunology/pathology', 'Lymphocyte Function-Associated Antigen-1/physiology', 'Tumor Cells, Cultured']",1994/10/01 00:00,1994/10/01 00:01,['1994/10/01 00:00'],"['1994/10/01 00:00 [pubmed]', '1994/10/01 00:01 [medline]', '1994/10/01 00:00 [entrez]']",ppublish,Eur J Immunol. 1994 Oct;24(10):2304-11. doi: 10.1002/eji.1830241007.,['10.1002/eji.1830241007 [doi]'],,,,,,,,,,,,,,,,,
7523053,NLM,MEDLINE,19941102,20061115,0253-3766 (Print) 0253-3766 (Linking),16,2,1994 Mar,[Effects of recombinant stem cell factor on the proliferation in vitro of LT12 acute promyelocytic leukemic cell line].,93-7,"Stem cell factor is a recently identified earliest-acting hematopoietic growth factor and a ligand for the c-kit proto-oncogen. Based on our recent observations that recombinant rat interleukin-3 (IL3), human interleukin-6 (IL6) and murine granulocyte-macrophage colony stimulating factor (GM-CSF) possessed different degrees of suppressive activities on the proliferation of LT 12 cell line derived from BNML rat leukemic model, SCF was evaluated alone and in combination with either IL3, IL6 or GM-CSF for effects on leukemopoiesis in vitro. The results indicated that SCF alone had suppressive effect on DNA synthesis and colony forming unit-leukemic blast (CFU-L) in LT12 cells. 100ng/ml of SCF caused substantial reduction in colony number and 3H-TdR uptake although this suppression was of lower magnitude than those induced by IL3, IL6 or GM-CSF. Enhanced suppression on the proliferation of LT12 cells was observed when SCF was used in combination with one of these three factors. Among these combinations, SCF+GM-CSF or SCF+IL6 resulted in more suppression on LT12 cells than SCF+IL3 did. Combination of SCF with two or three factors produced even more suppression. No apparent effect on the size of leukemic colony was seen. Furthermore, in growth kinetics study of LT12 cells in the presence of SCF production of LT12 cells declined. Thus, SCF appears to have divergent hematopoietic activities on BNML rat model: effective stimulation of granulopoiesis and weak suppression of leukemopoiesis.","['Xi, Y Z', 'Martens, A C', 'Zsebo, K M']","['Xi YZ', 'Martens AC', 'Zsebo KM']","['Department of Hematopoiesis, Institute of Basic Medical Sciences, Beijing.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Zhong Liu Za Zhi,Zhonghua zhong liu za zhi [Chinese journal of oncology],7910681,"['0 (DNA, Neoplasm)', '0 (Hematopoietic Cell Growth Factors)', '0 (Interleukin-3)', '0 (Interleukin-6)', '0 (Recombinant Proteins)', '0 (Stem Cell Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Animals', 'Cell Division', 'DNA, Neoplasm/biosynthesis', 'Drug Synergism', 'Female', 'Granulocyte-Macrophage Colony-Stimulating Factor/pharmacology', 'Hematopoietic Cell Growth Factors/*pharmacology', 'Interleukin-3/pharmacology', 'Interleukin-6/pharmacology', 'Leukemia, Promyelocytic, Acute/*pathology', 'Rats', 'Recombinant Proteins/pharmacology', 'Stem Cell Factor', 'Tumor Cells, Cultured/drug effects', 'Tumor Stem Cell Assay']",1994/03/01 00:00,1994/03/01 00:01,['1994/03/01 00:00'],"['1994/03/01 00:00 [pubmed]', '1994/03/01 00:01 [medline]', '1994/03/01 00:00 [entrez]']",ppublish,Zhonghua Zhong Liu Za Zhi. 1994 Mar;16(2):93-7.,,,,,,,,,,,,,,,,,,
7523045,NLM,MEDLINE,19941116,20071115,0196-4763 (Print) 0196-4763 (Linking),18,2,1994 Jun 15,Low level CD20 expression on T cell malignancies.,88-92,"Although initially thought to be a B lineage restricted antigen, low ""density"" or antibody binding capacity (ABC) CD20 has recently been detected on subset(s) of normal T lymphocytes (Hultin et al.: Cytometry 14:196-204, 1993). We report low ABC CD20 expression in three (two children, one adult) cases of T-acute lymphoblastic leukemia (T-ALL). CD20 and other pertinent antigens were detected using a direct dual color method with a Becton Dickinson FACScan flow cytometer and Simulset software. Only one cell population based on light scatter was noted in each case that immunophenotypically represented almost a pure population of malignant cells expressing T lymphocyte antigens (for example, CD7 98%, 92%, and 100%, respectively). A total of 95%, 87%, and 79% of the cells from the three cases expressed CD20 with an unusual low ABC compared to the customary ""bright"" CD20 expression on normal B lymphocytes. Other B lymphocyte associated antigens, such as CD19, CD22, Dr, and immunoglobulin light chains, were negative. Eleven other T lymphocytic malignancies from 1991 to 1993 were CD20 negative, including three other case of T-ALL (one adult and two children). One unusual case of intestinal small lymphocytic non-Hodgkin's lymphoma with a natural killer/T lymphocytic immunophenotype not described in this report appeared to be CD20""dim""+. Low ABC CD20 expression by T lymphocytic malignancies may provide a more unique immunophenotypic ""fingerprint"" to help support the diagnosis of T cell neoplasia vs. normal/reactive T cells (for example, low ABC CD20 cells represent only 2.4 +/- 1.5% of normal peripheral blood lymphocytes). This characteristic might also facilitate monitoring patients for residual or recurrent disease.(ABSTRACT TRUNCATED AT 250 WORDS)","['Warzynski, M J', 'Graham, D M', 'Axtell, R A', 'Zakem, M H', 'Rotman, R K']","['Warzynski MJ', 'Graham DM', 'Axtell RA', 'Zakem MH', 'Rotman RK']","['West Michigan Flow Cytometry Service, Ferguson-Blodgett Hospital, Grand Rapids, MI 49503.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cytometry,Cytometry,8102328,"['0 (Antigens, CD)', '0 (Antigens, CD20)', '0 (Antigens, Differentiation, B-Lymphocyte)']",IM,"['Adult', 'Antigens, CD/*analysis', 'Antigens, CD20', 'Antigens, Differentiation, B-Lymphocyte/*analysis', 'Child', 'Child, Preschool', 'Female', 'Flow Cytometry', 'Humans', 'Immunophenotyping', 'Leukemia-Lymphoma, Adult T-Cell/diagnosis/*immunology/pathology', 'Male', 'Software', 'T-Lymphocyte Subsets/*immunology/pathology']",1994/06/15 00:00,1994/06/15 00:01,['1994/06/15 00:00'],"['1994/06/15 00:00 [pubmed]', '1994/06/15 00:01 [medline]', '1994/06/15 00:00 [entrez]']",ppublish,Cytometry. 1994 Jun 15;18(2):88-92. doi: 10.1002/cyto.990180206.,['10.1002/cyto.990180206 [doi]'],,,,,,,,,,,,,,,,,
