PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,CON,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,RN,RF,CI,CIN,GR,PMC,TT,DEP,EIN,SI,OID,OTO,OT,GN,MID,PS,FPS
10912581,NLM,MEDLINE,20000808,20151119,0344-5704 (Print) 0344-5704 (Linking),46,1,2000,Maximum tolerated doses of methotrexate and 7-hydroxy-methotrexate in a model of acute toxicity in rats.,69-73,"['Fuskevag, O M', 'Kristiansen, C', 'Lindal, S', 'Aarbakke, J']","['Fuskevag OM', 'Kristiansen C', 'Lindal S', 'Aarbakke J']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,IM,,"['Animals', 'Blood Pressure/drug effects', 'Dose-Response Relationship, Drug', 'Electrocardiography/drug effects', 'Heart Rate/drug effects', 'Male', 'Methotrexate/administration & dosage/*analogs & derivatives/pharmacokinetics/*toxicity', 'Models, Biological', 'Rats', 'Rats, Wistar']",2000/07/27 11:00,2000/08/12 11:00,['2000/07/27 11:00'],"['2000/07/27 11:00 [pubmed]', '2000/08/12 11:00 [medline]', '2000/07/27 11:00 [entrez]']",['10.1007/s002800000111 [doi]'],ppublish,Cancer Chemother Pharmacol. 2000;46(1):69-73. doi: 10.1007/s002800000111.,"PURPOSE: After more than 50 years of methotrexate (MTX) treatment of acute lymphoblastic leukaemia (ALL), it is currently believed that as long as dose escalations are followed by adequate leucovorin rescue guided by monitoring MTX serum concentrations, hydration and urinary alkalinization, high-dose MTX (HD-MTX) can be tolerated without life-threatening toxicity. However, our recent experimental animal studies of the major metabolite of MTX, 7-OH-MTX, indicate that this concept may have some limitations. Animals with levels of 7-OH-MTX of 1 mM, which is below the levels routinely found in patients on HD-MTX, demonstrate intolerable toxicity and some animals die within 8 h. Electron microscopy indicates that endothelial cell and platelet functions are perturbed. Since animal data are lacking, and interspecies differences not known, we wanted to investigate the maximum tolerated doses of MTX and 7-OH-MTX in a rat model of short-term effects. The maximum tolerated dose was chosen instead of LD(50) for reasons of animal welfare. METHODS: We infused MTX and 7-OH-MTX into anaesthetized male Wistar rats and monitored the animals for 8 h. The drugs were given as a bolus plus continuous infusion. The dose-finding ranges were 1.8 11.3 g/kg MTX and 0.1-1.2 g/kg 7-OH-MTX. RESULTS: The maximum tolerated dose was between 3 and 5 g/kg for MTX and lower than 0.1 g/kg for 7-OH-MTX. The mean serum concentrations of MTX and 7-OH-MTX in animals that did not survive the 8-h period were 21.9 and 1.6 mM, respectively. The animals that received the highest MTX or 7-OH-MTX doses and concentrations died after sudden reductions in heart rate and blood pressure. CONCLUSIONS: We demonstrated a lower maximum tolerated dose of 7-OH-MTX than of MTX in rats after 8 h. The 7-OH-MTX concentrations were in the therapeutic range after HD-MTX. If the rat/human interspecies differences are not large, our data may indicate that HD-MTX regimens should not be further dose intensified, due not so much to the effects of MTX as to those of 7-OH-MTX.","['Department of Pharmacology, Institute of Medical Biology, University of Tromso, Norway.']","['X019Z9S1DL (7-hydroxymethotrexate)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,,,,,,
10912571,NLM,MEDLINE,20000808,20161124,0344-5704 (Print) 0344-5704 (Linking),46,1,2000,"A novel synthetic DNA minor groove binder, MS-247: antitumor activity and cytotoxic mechanism.",1-9,"['Matsuba, Y', 'Edatsugi, H', 'Mita, I', 'Matsunaga, A', 'Nakanishi, O']","['Matsuba Y', 'Edatsugi H', 'Mita I', 'Matsunaga A', 'Nakanishi O']",['eng'],"['Comparative Study', 'Journal Article']",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,IM,,"['Animals', 'Antineoplastic Agents/therapeutic use', 'Antineoplastic Agents, Alkylating/chemistry/*therapeutic use', 'Antineoplastic Agents, Phytogenic/therapeutic use', 'Benzimidazoles/chemistry/pharmacology/*therapeutic use', 'Cell Survival/drug effects', 'Cisplatin/therapeutic use', 'Colonic Neoplasms/drug therapy', 'DNA/metabolism', 'Female', 'Fluorescent Dyes/pharmacology', 'Humans', 'Leukemia L1210/drug therapy', 'Leukemia P388/drug therapy', 'Macromolecular Substances', 'Melanoma, Experimental/drug therapy', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Paclitaxel/therapeutic use', 'Pyrroles/chemistry/*therapeutic use', 'Radiation-Sensitizing Agents/pharmacology']",2000/07/27 11:00,2000/08/12 11:00,['2000/07/27 11:00'],"['2000/07/27 11:00 [pubmed]', '2000/08/12 11:00 [medline]', '2000/07/27 11:00 [entrez]']",['10.1007/s002800000120 [doi]'],ppublish,Cancer Chemother Pharmacol. 2000;46(1):1-9. doi: 10.1007/s002800000120.,"PURPOSE: MS-247 is a novel synthetic compound possessing a DNA-binding moiety and a DNA-alkylating residue, chlorambucil. In this study, we evaluated the antitumor activity of MS-247 against murine tumor cell lines and its effects on DNA molecules in both cell-free and cellular systems. METHODS: The in vitro cytotoxic activity of MS-247 was evaluated against four murine tumor cell lines, P388, L1210, Colon26 and B16, and its in vivo antitumor activity was also tested in comparison with Adriamycin (ADM), cisplatin (CDDP) and paclitaxel. The ability of MS-247 to associate with the DNA minor groove was assessed by measuring quenching of Hoechst 33342 fluorescence. DNA-DNA interstrand crosslinks (ICL) were detected by an alkaline elution assay for cellular DNA and a band-shift assay using the plasmid pBR322. The effects of MS-247 on macromolecule synthesis (DNA, RNA and proteins) were examined by measuring incorporation of the radiolabeled precursors. RESULTS: MS-247 exhibited in vitro cytotoxicity with IC(50) values ranging 11 to 500 nM, and MS-247 given i.v. showed strong in vivo antitumor activity against i.p.-implanted L1210 leukemia cells and s.c.-implanted Colon26 carcinoma cells, and moderate activity against i.p.-implanted P388 leukemia cells but no apparent activity against s.c.-implanted B16 melanoma cells. MS-247 reversibly displaced Hoechst 33342 bound to DNA within a few minutes, and irreversibly formed ICL within 1-6 h in both the cell-free system and the cellular system. These results suggest that an association of MS-247 with the DNA minor groove occurred more quickly than ICL formation. The inhibition of DNA synthesis was more prominent than the inhibition of RNA and protein synthesis in L1210 cells exposed to MS-247, and a 6-h incubation with MS-247, which formed apparent ICL in the cellular system, strongly inhibited DNA synthesis. This result suggests that impairment of DNA replication preceded the inhibition of RNA and protein synthesis and that ICL formation greatly contributed to the inhibition of macromolecule synthesis. CONCLUSION: The results of this study suggest that MS-247 exerts its cytotoxic effect through impairment of DNA function by getting into the minor groove of DNA and subsequently forming ICL. MS-247 has potent antitumor activity with a different spectrum from the activity of clinically proven antitumor agents such as paclitaxel, ADM and CDDP against several murine tumor cell lines. This result suggests that MS-247 may be useful for the treatment of human cancers.","['Institute of Biological Science, Mitsui Pharmaceuticals Inc., Chiba, Japan.']","['0 (Antineoplastic Agents)', '0 (Antineoplastic Agents, Alkylating)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Benzimidazoles)', '0 (Fluorescent Dyes)', '0 (MS 247)', '0 (Macromolecular Substances)', '0 (Pyrroles)', '0 (Radiation-Sensitizing Agents)', '9007-49-2 (DNA)', 'P88XT4IS4D (Paclitaxel)', 'P976261J69 (bisbenzimide ethoxide trihydrochloride)', 'Q20Q21Q62J (Cisplatin)']",,,,,,,,,,,,,,,,
10911803,NLM,MEDLINE,20000731,20190501,0021-9746 (Print) 0021-9746 (Linking),53,6,2000 Jun,Immunoflow cytometry and cell block immunohistochemistry in the FNA diagnosis of lymphoma: a review of 73 consecutive cases.,451-7,"['Mayall, F', 'Dray, M', 'Stanley, D', 'Harrison, B', 'Allen, R']","['Mayall F', 'Dray M', 'Stanley D', 'Harrison B', 'Allen R']",['eng'],['Journal Article'],England,J Clin Pathol,Journal of clinical pathology,0376601,IM,,"['Biopsy, Needle', 'CD4-CD8 Ratio', 'Diagnosis, Differential', 'Flow Cytometry/*methods', 'Hodgkin Disease/pathology', 'Humans', 'Immunohistochemistry/methods', 'Leukemia, Lymphocytic, Chronic, B-Cell/pathology', 'Lymphoma/*pathology', 'Lymphoma, Follicular/pathology', 'Lymphoma, Mantle-Cell/pathology', 'Lymphoma, T-Cell/pathology', 'Retrospective Studies']",2000/07/27 11:00,2000/08/06 11:00,['2000/07/27 11:00'],"['2000/07/27 11:00 [pubmed]', '2000/08/06 11:00 [medline]', '2000/07/27 11:00 [entrez]']",['10.1136/jcp.53.6.451 [doi]'],ppublish,J Clin Pathol. 2000 Jun;53(6):451-7. doi: 10.1136/jcp.53.6.451.,"AIMS: To review the results of 73 consecutive fine needle aspirations (FNAs) that were collected by a pathologist and analysed by immunoflow cytometry. Material for a cell block was also collected from some of these lesions. METHODS: The setting was a large general hospital in rural New Zealand. The FNAs were performed by a pathologist, or a radiologist for image guided localisations. Material for immunoflow cytometry was collected into RPMI and, when required, material for a cell block was collected into formalin. RESULTS: Of the 73 samples collected by FNA nine were inadequate. Light chain restriction could be demonstrated in most FNA samples from B cell lymphomas (28 of 30 adequate samples). The exceptions were two cases of T cell rich B cell lymphoma. Artefactual light chain restriction was seen occasionally in T cell lymphomas, presumably as a result of autoantibodies binding to the cell surfaces. It was possible to subtype most (18 of 30 adequate samples) B cell lymphomas as chronic lymphocytic leukaemia (CLL), follicle centre cell lymphoma (FCCL), or mantle cell lymphoma. The CD4 to CD8 ratio was not usually restricted in T cell lymphomas and coexpression of CD4 and CD8 was not usually found. Loss of pan-T cell antigens was seen in some T cell lymphomas. Four of the six T cell lymphomas and three of the four non-lymphoid malignacies were diagnosed with the aid of cell block immunohistochemistry. Only one of the four cases of Hodgkin's lymphoma showed Reed-Sternberg cells in the FNA smears. CONCLUSIONS: It is not always possible to characterise lymphomas as fully with FNA and immunoflow cytometry as is possible with biopsy histology and a full battery of modern investigations. Nevertheless, in the setting of a large rural general hospital immunoflow cytometry on FNA samples is a highly effective method of diagnosing and typing B cell lymphomas. Immunoflow cytometry is of little use for T cell lymphomas or Hodgkin's lymphomas. We advocate the use of cell block immunohistochemistry in preference to immunoflow cytometry for cases in which the cytological appearance of the specimen is overtly malignant but the differential diagnosis includes non-lymphoid malignancy.","['Department of Pathology, Waikato Hospital, Hamilton, New Zealand. mayallf@hwl.co.nz']",,,,,,PMC1731207,,,,,,,,,,,
10911742,NLM,MEDLINE,20000912,20061115,0035-3655 (Print) 0035-3655 (Linking),120,5,2000 May,"[Fluorescent in situ hybridization (FISH), cytogenetic analytical complement for the diagnosis of malignant blood diseases].",393-400,"['Muhlematter, D', 'Castagne, C', 'Beyer, V', 'Martinet, D', 'Parlier, V', 'Jotterand, M']","['Muhlematter D', 'Castagne C', 'Beyer V', 'Martinet D', 'Parlier V', 'Jotterand M']",['fre'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Rev Med Suisse Romande,Revue medicale de la Suisse romande,0421524,IM,,"['Humans', 'Immunophenotyping', '*In Situ Hybridization, Fluorescence/methods', 'Karyotyping', 'Leukemia/*diagnosis/genetics/immunology']",2000/07/27 11:00,2000/09/19 11:01,['2000/07/27 11:00'],"['2000/07/27 11:00 [pubmed]', '2000/09/19 11:01 [medline]', '2000/07/27 11:00 [entrez]']",,ppublish,Rev Med Suisse Romande. 2000 May;120(5):393-400.,,"['Unite de cytogenetique du cancer, CHUV, Lausanne.']",,,,,,,"Hybridation in situ fluorescente (FISH), un complement a l'analyse cytogenetique des hemopathies malignes.",,,,,,,,,,
10911735,NLM,MEDLINE,20000927,20190818,0031-8655 (Print) 0031-8655 (Linking),72,1,2000 Jul,Subcellular localization of merocyanine 540 (MC540) and induction of apoptosis in murine myeloid leukemia cells.,114-20,"['Chen, J Y', 'Cheung, N H', 'Fung, M C', 'Wen, J M', 'Leung, W N', 'Mak, N K']","['Chen JY', 'Cheung NH', 'Fung MC', 'Wen JM', 'Leung WN', 'Mak NK']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Photochem Photobiol,Photochemistry and photobiology,0376425,IM,,"['Animals', 'Apoptosis/drug effects', 'Leukemia, Myeloid, Acute/*drug therapy/metabolism/pathology', 'Mice', 'Mitochondria/metabolism', 'Photochemotherapy', 'Photosensitizing Agents/pharmacokinetics/*therapeutic use', 'Pyrimidinones/pharmacokinetics/*therapeutic use', 'Subcellular Fractions/metabolism', 'Tumor Cells, Cultured']",2000/07/27 11:00,2000/09/30 11:01,['2000/07/27 11:00'],"['2000/07/27 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/07/27 11:00 [entrez]']",['10.1562/0031-8655(2000)072<0114:slomma>2.0.co;2 [doi]'],ppublish,Photochem Photobiol. 2000 Jul;72(1):114-20. doi: 10.1562/0031-8655(2000)072<0114:slomma>2.0.co;2.,"Subcellular localization of photosensitizers is thought to play a critical role in determining the mode of cell death after photodynamic treatment (PDT) of leukemia cells. Using confocal laser scanning microscopy and fluorescent organelle probes, we examined the subcellular localization of merocyanine 540 (MC540) in the murine myeloid leukemia M1 and WEHI 3B (JCS) cells. Two patterns of localization were observed: in JCS cells, MC540 was found to localize on the plasma membrane and mitochondria; and in M1 leukemia cells, MC540 was found to localize on lysosomes. The relationship between subcellular localization of MC540 and PDT-induced apoptosis was investigated. Apoptotic cell death, as judged by the formation of apoptotic nuclei, was observed 4 h after irradiation in both leukemia cell lines. Typical ladders of apoptotic DNA fragments were also detected by DNA gel electrophoresis in PDT-treated JCS and M1 cells. At the irradiation dose of 46 kJ/m2 (LD90 for JCS and LD86 for M1 cells), the percentage of apoptotic JCS and M1 cells was 78 and 38%, respectively. This study provided substantial evidence that MC540 localized differentially in the mitochondria, and the subsequent photodamage of the organelle played an important role in PDT-mediated apoptosis in myeloid leukemia cells.","[""Department of Biology, Hong Kong Baptist University, People's Republic of China.""]","['0 (Photosensitizing Agents)', '0 (Pyrimidinones)', '58823-12-4 (merocyanine dye)']",,,,,,,,,,,,,,,,
10911724,NLM,MEDLINE,20000927,20190818,0031-8655 (Print) 0031-8655 (Linking),72,1,2000 Jul,Protein changes in HL60 leukemia cells associated with 5-aminolevulinic acid-based photodynamic therapy. Early effects on endoplasmic reticulum chaperones.,16-22,"['Grebenova, D', 'Halada, P', 'Stulik, J', 'Havlicek, V', 'Hrkal, Z']","['Grebenova D', 'Halada P', 'Stulik J', 'Havlicek V', 'Hrkal Z']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Photochem Photobiol,Photochemistry and photobiology,0376425,IM,,"['Aminolevulinic Acid/therapeutic use', 'Endoplasmic Reticulum/drug effects/metabolism', 'HL-60 Cells', 'Humans', 'Leukemia, Promyelocytic, Acute/drug therapy/metabolism', 'Molecular Chaperones/metabolism', 'Neoplasm Proteins/*metabolism', '*Photochemotherapy']",2000/07/27 11:00,2000/09/30 11:01,['2000/07/27 11:00'],"['2000/07/27 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/07/27 11:00 [entrez]']",['10.1562/0031-8655(2000)072<0016:pcihlc>2.0.co;2 [doi]'],ppublish,Photochem Photobiol. 2000 Jul;72(1):16-22. doi: 10.1562/0031-8655(2000)072<0016:pcihlc>2.0.co;2.,"Using two-dimensional electrophoresis we investigated the effect of 5-aminolevulinic acid (ALA)-based photodynamic therapy (PDT; induction with 1 mM ALA for 4 h followed by blue light dose of 18 J/cm2) on the protein expression in HL60 leukemia cells. ALA-PDT resulted in extensive qualitative and quantitative changes in the protein pattern of HL60 cell lysates. Of more than 1350 protein spots recognized on the protein maps of ALA-induced cells, seven proteins were enhanced and 17 suppressed following irradiation. Three of these, calreticulin precursor, p58 microsomal protein (ERp57) and protein disulfide isomerase (p55) have been identified by matrix-assisted laser desorption and ionization-mass spectrometry and the pI/molecular weight parameters of the affected proteins were estimated by computer analysis. The findings suggest participation of endoplasmic reticulum Ca(2+)-binding chaperones and/or Ca2+ signaling in ALA-PDT mediated cytotoxicity.","['Department of Cellular Biochemistry, Institute of Hematology and Blood Transfusion, Prague, Czech Republic.']","['0 (Molecular Chaperones)', '0 (Neoplasm Proteins)', '88755TAZ87 (Aminolevulinic Acid)']",,,,,,,,,,,,,,,,
10911571,NLM,MEDLINE,20001116,20190515,1058-0468 (Print) 1058-0468 (Linking),17,3,2000 Mar,Prolonged culture of human cryopreserved embryos with recombinant human leukemia inhibitory factor.,131-4,"['Hsieh, Y Y', 'Tsai, H D', 'Chang, C C', 'Hsu, L W', 'Chang, S C', 'Lo, H Y']","['Hsieh YY', 'Tsai HD', 'Chang CC', 'Hsu LW', 'Chang SC', 'Lo HY']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Assist Reprod Genet,Journal of assisted reproduction and genetics,9206495,IM,,"['Blastocyst', 'Cryopreservation', 'Culture Media, Serum-Free', 'Culture Techniques', '*Embryonic and Fetal Development', 'Fertilization in Vitro', 'Gonadotropins/pharmacology', 'Growth Inhibitors/*pharmacology', 'Humans', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lymphokines/*pharmacology', 'Recombinant Proteins/pharmacology']",2000/07/27 11:00,2001/02/28 10:01,['2000/07/27 11:00'],"['2000/07/27 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/07/27 11:00 [entrez]']",['10.1023/a:1009426303742 [doi]'],ppublish,J Assist Reprod Genet. 2000 Mar;17(3):131-4. doi: 10.1023/a:1009426303742.,"PURPOSE: To evaluate the efficiency of recombinant human leukemia inhibitory factor (LIF) in the prolonged culture of human cryopreserved-thawing embryos. METHODS: After thawing, all embryos were divided into four groups: (1) Human tubal fluid (HTF), (2) HTF + LIF, (3) M3TH medium, and (4) M3TH medium plus LIF. Following prolonged culture, embryo development in each group was compared. RESULTS: In embryo development from about the 2- to 4-cell to 9- to 16-cell stage, there were nonsignificant differences between each group. There was lower morula formation rate in group 1 (6.9%) than those in other groups (23.2%, 19.7%, 23.1%). The lower blastocyst formation in group 1 and 3 (0%, 0%) than those in group 2 and 4 (11.0%, 12.8%) were noted. CONCLUSIONS: LIF is beneficial for preimplantation embryos. LIF does not influence the early embryo development. LIF-supplemented HTF provided a similar culture environment for thawing embryos as LIF-supplemented M3TH medium.","['Department of Obstetrics and Gynecology, China Medical College Hospital, Taichung, Taiwan.']","['0 (Culture Media, Serum-Free)', '0 (Gonadotropins)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '0 (Recombinant Proteins)']",,,,,PMC3455658,,,,,,,,,,,
10911419,NLM,MEDLINE,20000817,20171116,0017-7768 (Print) 0017-7768 (Linking),134,8,1998 Apr 15,[Experience at Sheba Hospital in oncogenetic counseling and genetic testing of women with a high risk for breast and ovarian cancer].,"593-9, 672","['Theodor, L', 'Shiri-Sverdlov, R', 'Yechezkel, G H', 'Bar-Sade, R B', 'Gak, E', 'Friedman, I', 'Kruglikova, A', 'Ben-Baruch, G', 'Risel, S', 'Papa, M Z', 'Goldman, B', 'Friedman, E']","['Theodor L', 'Shiri-Sverdlov R', 'Yechezkel GH', 'Bar-Sade RB', 'Gak E', 'Friedman I', 'Kruglikova A', 'Ben-Baruch G', 'Risel S', 'Papa MZ', 'Goldman B', 'Friedman E']",['heb'],['Journal Article'],Israel,Harefuah,Harefuah,0034351,IM,,"['Adult', 'Aged', 'BRCA2 Protein', 'Breast Neoplasms/epidemiology/*genetics', 'Europe/ethnology', 'Female', 'Genes, BRCA1', 'Genetic Carrier Screening', '*Genetic Counseling', 'Genetic Predisposition to Disease', 'Humans', 'Israel', 'Middle Aged', 'Neoplasm Proteins/genetics', 'Ovarian Neoplasms/epidemiology/*genetics', 'Transcription Factors/genetics']",2000/07/27 11:00,2000/08/19 11:00,['2000/07/27 11:00'],"['2000/07/27 11:00 [pubmed]', '2000/08/19 11:00 [medline]', '2000/07/27 11:00 [entrez]']",,ppublish,"Harefuah. 1998 Apr 15;134(8):593-9, 672.","There is inherited predisposition to breast and ovarian cancer in 5-10% of all women with these diseases. Germline mutations in BRCA1 and BRCA2 presumably account for most of the genetically susceptible individuals. We summarize 2 years of experience in counseling and testing for inherited predisposition to these cancers. 597 women (from 320 families) have been evaluated since August 1995. 242 were evaluated for inherited predisposition to breast and ovarian cancer. One-third had clear-cut evidence of familial background. 74 families were of Ashkenazi origin; the age range of breast cancer was 30-35, of ovarian cancer 40-45. In 80% of families other cancers were also noted in first degree family members, including lung, colon, and prostate cancer and leukemia. Genetic testing revealed that 45% of affected and 25% of unaffected women were carriers of a mutation in BRCA1 or BRCA2: 67/90 185delAG (BRCA1), 12/90 6174delT (BRCA2), and 4/90 of 5382insC (BRCA1). In addition, a novel mutation in exon 11 of BRCA1 was detected, carried by 7/90 women. The experience gained in oncogenetic counseling and genetic testing for inherited cancer predisposition will eventually enable determining an optimal, rational therapeutic regimen in carriers of mutations.","['Dept. of Clinical Epidemiology, Chaim Sheba Medical Center, Tel Hashomer.']","['0 (BRCA2 Protein)', '0 (Neoplasm Proteins)', '0 (Transcription Factors)']",,,,,,,,,,,,,,,,
10911397,NLM,MEDLINE,20001107,20171116,1040-452X (Print) 1040-452X (Linking),56,4,2000 Aug,Derivation and characterization of pluripotent embryonic germ cells in chicken.,475-82,"['Park, T S', 'Han, J Y']","['Park TS', 'Han JY']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Reprod Dev,Molecular reproduction and development,8903333,IM,,"['Alkaline Phosphatase/metabolism', 'Animals', 'Cell Differentiation/physiology', 'Cell Division', 'Cells, Cultured', 'Chick Embryo/*cytology/physiology', 'Chimera/physiology', 'Culture Media', 'DNA Primers/chemistry', 'Germ Cells/*cytology/physiology', 'Immunohistochemistry', 'Lewis X Antigen/metabolism', 'Periodic Acid-Schiff Reaction', 'Polymerase Chain Reaction', 'Stem Cells/*cytology/physiology', 'Tissue Distribution']",2000/07/27 11:00,2001/02/28 10:01,['2000/07/27 11:00'],"['2000/07/27 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/07/27 11:00 [entrez]']","['10.1002/1098-2795(200008)56:4<475::AID-MRD5>3.0.CO;2-M [pii]', '10.1002/1098-2795(200008)56:4<475::AID-MRD5>3.0.CO;2-M [doi]']",ppublish,Mol Reprod Dev. 2000 Aug;56(4):475-82. doi: 10.1002/1098-2795(200008)56:4<475::AID-MRD5>3.0.CO;2-M.,"Embryonic germ (EG) cell lines established from primordial germ cells (PGCs) are undifferentiated and pluripotent stem cells. To date, EG cells with proven germ-line transmission have been completely established only in the mouse with embryonic stem (ES) cells. We isolated PGCs from 5.5-day-old (stage 28) chicken embryonic gonads and established a putative chicken EG cell line with EG culture medium supplemented with stem cell factor (SCF), leukemia inhibitory factor (LIF), basic fibroblast growth factor (bFGF), interleukin-11 (IL-11), and insulin-like growth factor-I (IGF-I). These cells grew continuously for ten passages (4 months) on a feeder layer of mitotically active chicken embryonic fibroblasts. After several passages, these cells were characterized by screening with the periodic acid-Schiff reaction, anti-SSEA-1 antibody, and a proliferation assay. The chicken EG cells maintained characteristics of gonadal PGCs and undifferentiated stem cells. When cultured in suspension, the chicken EG cells successfully formed an embryoid body and differentiated into a variety of cell types. The chicken EG cells were injected into stage X blastodermal layer and produced chimeric chickens with various differentiated tissues derived from the EG cells. Chicken EG cells will be useful for the production of transgenic chickens and for studies of germ cell differentiation and genomic imprinting.","['School of Agricultural Biotechnology, Seoul National University, Suwon, Korea.']","['0 (Culture Media)', '0 (DNA Primers)', '0 (Lewis X Antigen)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",,,,,,,,,,,,,,,,
10911389,NLM,MEDLINE,20000912,20190822,0361-8609 (Print) 0361-8609 (Linking),64,4,2000 Aug,Tributyrin plus all-trans-retinoic acid efficiently induces fetal hemoglobin expression in human erythroleukemia cells.,319-21,"['Witt, O', 'Schmejkal, S', 'Pekrun, A']","['Witt O', 'Schmejkal S', 'Pekrun A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hematol,American journal of hematology,7610369,IM,,"['Antineoplastic Agents/*pharmacology', 'Fetal Hemoglobin/*biosynthesis', 'Humans', 'K562 Cells', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Tretinoin/*pharmacology', 'Triglycerides/*pharmacology']",2000/07/27 11:00,2000/09/19 11:01,['2000/07/27 11:00'],"['2000/07/27 11:00 [pubmed]', '2000/09/19 11:01 [medline]', '2000/07/27 11:00 [entrez]']","['10.1002/1096-8652(200008)64:4<319::AID-AJH16>3.0.CO;2-D [pii]', '10.1002/1096-8652(200008)64:4<319::aid-ajh16>3.0.co;2-d [doi]']",ppublish,Am J Hematol. 2000 Aug;64(4):319-21. doi: 10.1002/1096-8652(200008)64:4<319::aid-ajh16>3.0.co;2-d.,Fourteen butyrate derivatives and retinoic acid were tested with respect to the hemoglobin F-inducing activity using the K562 erythroleukemia cell line as a model system. Four novel butyrate derivatives with hemoglobin F-inducing activity have been identified. Combined treatment with the butyrate derivative tributyrin and retinoic acid in vitro led to a 7-fold increase of hemoglobin synthesis. Tributyrin and retinoic acid might be promising drugs for clinical trials to treat patients with beta-hemoglobinopathies.,"[""Children's Hospital, University of Gottingen, Gottingen, Germany.""]","['0 (Antineoplastic Agents)', '0 (Triglycerides)', '5688UTC01R (Tretinoin)', '9034-63-3 (Fetal Hemoglobin)', 'S05LZ624MF (tributyrin)']",,"['Copyright 2000 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
