PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,PMC,AB
5264513,NLM,MEDLINE,19700420,20041117,0003-9926 (Print) 0003-9926 (Linking),125,3,1970 Mar,Acute granulocytic leukemia complicating Hodgkin's disease.,496-8,"['Steinberg, M H', 'Geary, C G', 'Crosby, W H']","['Steinberg MH', 'Geary CG', 'Crosby WH']",['eng'],['Journal Article'],,United States,Arch Intern Med,Archives of internal medicine,0372440,IM,"['Adult', 'Female', 'Hodgkin Disease/*complications/radiotherapy', 'Humans', 'Leukemia, Myeloid/*etiology', 'Male', 'Radiotherapy/adverse effects']",1970/03/01 00:00,1970/03/01 00:01,['1970/03/01 00:00'],"['1970/03/01 00:00 [pubmed]', '1970/03/01 00:01 [medline]', '1970/03/01 00:00 [entrez]']",ppublish,Arch Intern Med. 1970 Mar;125(3):496-8.,,,,
5264510,NLM,MEDLINE,19700419,20071115,0386-9679 (Print) 0386-9679 (Linking),42,1,1970 Jan,[Case of leukemia with the initial symptom of cheek swelling--infiltration of angioblasts in the lower turbinate].,37-41,"['Arai, J', 'Kitamura, K', 'Horiguchi, N', 'Imakiremori, K']","['Arai J', 'Kitamura K', 'Horiguchi N', 'Imakiremori K']",['jpn'],['Journal Article'],,Japan,Jibiinkoka,Jibi inkoka Otolaryngology,0417444,IM,"['*Cheek', 'Female', 'Hemangiosarcoma/*complications/pathology', 'Humans', 'Infant', 'Leukemia, Myeloid/*complications', 'Nose Neoplasms/*complications/pathology', 'Turbinates/*pathology']",1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",ppublish,Jibiinkoka. 1970 Jan;42(1):37-41.,,,,
5264509,NLM,MEDLINE,19700419,20131121,0026-4946 (Print) 0026-4946 (Linking),22,6,1970 Feb 11,[Further results of radiobismuth therapy of infantile lymphoblastic leukemia].,289-95,"['Mussa, G C', 'Martini Mauri, M', 'Bacolla, D', 'Madon, E']","['Mussa GC', 'Martini Mauri M', 'Bacolla D', 'Madon E']",['ita'],['Journal Article'],Ulteriori risultati sul trattamento della leucemia linfoblastica infantile con radiobismuto.,Italy,Minerva Pediatr,Minerva pediatrica,0400740,IM,"['Bismuth/*therapeutic use', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Leukemia, Lymphoid/*radiotherapy', 'Lymphoma/*radiotherapy', 'Radioisotopes/*therapeutic use']",1970/02/11 00:00,1970/02/11 00:01,['1970/02/11 00:00'],"['1970/02/11 00:00 [pubmed]', '1970/02/11 00:01 [medline]', '1970/02/11 00:00 [entrez]']",ppublish,Minerva Pediatr. 1970 Feb 11;22(6):289-95.,"['0 (Radioisotopes)', 'U015TT5I8H (Bismuth)']",,,
5264492,NLM,MEDLINE,19700416,20191210,0032-3756 (Print) 0032-3756 (Linking),25,5,1970 Feb 2,[Prognostic value of certain clinical and hematological manifestations in acute leukemia in adults].,175-7,"['Krykowski, E', 'Pluzanska, A', 'Krauze-Jaworska, H']","['Krykowski E', 'Pluzanska A', 'Krauze-Jaworska H']",['pol'],['Journal Article'],Uwagi o wartosci rokowniczej niektorych objawow klinicznych i hematologicznych w ostrej bialaczce u doroslych.,Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,IM,"['Adolescent', 'Adult', 'Female', 'Fever', 'Hemorrhagic Disorders/*etiology', 'Hepatomegaly/etiology', 'Humans', 'Infections/complications', 'Leukemia/complications/*drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Leukocyte Count', 'Leukopenia/*etiology', 'Lymph Nodes', 'Male', 'Middle Aged', 'Prognosis', 'Splenomegaly/etiology']",1970/02/02 00:00,1970/02/02 00:01,['1970/02/02 00:00'],"['1970/02/02 00:00 [pubmed]', '1970/02/02 00:01 [medline]', '1970/02/02 00:00 [entrez]']",ppublish,Pol Tyg Lek. 1970 Feb 2;25(5):175-7.,,,,
5264491,NLM,MEDLINE,19700416,20131121,0032-3756 (Print) 0032-3756 (Linking),25,5,1970 Feb 2,[Effects of magnesium salts on the course of leukemia].,163-5,"['Aleksandrowicz, J', 'Blicharski, J', 'Dzigowska, A', 'Gaertner, L', 'Lechocka, A', 'Lisiewicz, J']","['Aleksandrowicz J', 'Blicharski J', 'Dzigowska A', 'Gaertner L', 'Lechocka A', 'Lisiewicz J']",['pol'],['Journal Article'],Badania nad wplywem soli magnezu (Delbiasa) na przebieg choroby bialaczkowej.,Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,IM,"['Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Magnesium/*therapeutic use']",1970/02/02 00:00,1970/02/02 00:01,['1970/02/02 00:00'],"['1970/02/02 00:00 [pubmed]', '1970/02/02 00:01 [medline]', '1970/02/02 00:00 [entrez]']",ppublish,Pol Tyg Lek. 1970 Feb 2;25(5):163-5.,['I38ZP9992A (Magnesium)'],,,
5264458,NLM,MEDLINE,19700416,20131121,0028-8446 (Print) 0028-8446 (Linking),70,450,1969 Nov,Progressive vaccinia with chronic lymphatic leukaemia: a case report.,324-7,"['MacKenzie, N G', 'Chapman, O W', 'Middleton, P J']","['MacKenzie NG', 'Chapman OW', 'Middleton PJ']",['eng'],['Journal Article'],,New Zealand,N Z Med J,The New Zealand medical journal,0401067,IM,"['Chlorambucil/adverse effects', 'Chronic Disease', 'Humans', 'Leukemia, Lymphoid/*complications/drug therapy/immunology', 'Male', 'Methylprednisolone/adverse effects', 'Middle Aged', 'Prednisone/adverse effects', 'Thiosemicarbazones/adverse effects', 'Vaccinia/*complications/immunology/prevention & control', 'Vaccinia virus/isolation & purification']",1969/11/01 00:00,1969/11/01 00:01,['1969/11/01 00:00'],"['1969/11/01 00:00 [pubmed]', '1969/11/01 00:01 [medline]', '1969/11/01 00:00 [entrez]']",ppublish,N Z Med J. 1969 Nov;70(450):324-7.,"['0 (Thiosemicarbazones)', '18D0SL7309 (Chlorambucil)', 'VB0R961HZT (Prednisone)', 'X4W7ZR7023 (Methylprednisolone)']",,,
5264439,NLM,MEDLINE,19700416,20190620,0008-543X (Print) 0008-543X (Linking),25,3,1970 Mar,Osteoporotic fractures secondary to methotrexate therapy of acute leukemia in remission.,580-5,"['Ragab, A H', 'Frech, R S', 'Vietti, T J']","['Ragab AH', 'Frech RS', 'Vietti TJ']",['eng'],['Journal Article'],,United States,Cancer,Cancer,0374236,IM,"['Calcinosis/*chemically induced', 'Child', 'Child, Preschool', 'Female', 'Fractures, Spontaneous/*chemically induced', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Methotrexate/*adverse effects', 'Osteoporosis/*chemically induced']",1970/03/01 00:00,1970/03/01 00:01,['1970/03/01 00:00'],"['1970/03/01 00:00 [pubmed]', '1970/03/01 00:01 [medline]', '1970/03/01 00:00 [entrez]']",ppublish,Cancer. 1970 Mar;25(3):580-5. doi: 10.1002/1097-0142(197003)25:3<580::aid-cncr2820250313>3.0.co;2-m.,['YL5FZ2Y5U1 (Methotrexate)'],['10.1002/1097-0142(197003)25:3<580::aid-cncr2820250313>3.0.co;2-m [doi]'],,
5264438,NLM,MEDLINE,19700416,20190620,0008-543X (Print) 0008-543X (Linking),25,3,1970 Mar,Intrathecal arabinosyl cytosine in meningeal leukemia.,531-4,"['Wang, J J', 'Pratt, C B']","['Wang JJ', 'Pratt CB']",['eng'],['Journal Article'],,United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Brain Neoplasms/*drug therapy', 'Cerebrospinal Fluid/cytology', 'Child', 'Child, Preschool', 'Cytarabine/*administration & dosage/adverse effects', 'Female', 'Humans', 'Injections, Spinal', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', '*Meninges', 'Time Factors']",1970/03/01 00:00,1970/03/01 00:01,['1970/03/01 00:00'],"['1970/03/01 00:00 [pubmed]', '1970/03/01 00:01 [medline]', '1970/03/01 00:00 [entrez]']",ppublish,Cancer. 1970 Mar;25(3):531-4. doi: 10.1002/1097-0142(197003)25:3<531::aid-cncr2820250306>3.0.co;2-g.,['04079A1RDZ (Cytarabine)'],['10.1002/1097-0142(197003)25:3<531::aid-cncr2820250306>3.0.co;2-g [doi]'],,
5264421,NLM,MEDLINE,19700415,20131121,0035-6204 (Print) 0035-6204 (Linking),14,5,1967,[Behavior of various erythrocyte enzymes of the anaerobic glycolytic pathway in systemic histocytic sarcomatoses].,197-219,"['De Laurenzi, A', 'Fontana, L', 'Papa, G']","['De Laurenzi A', 'Fontana L', 'Papa G']",['ita'],['Journal Article'],Comportamento di alcuni enzimi eritrocitari dela via glicolitica anaerobia nelle sarcomatosi istiocitarie a tendenz sistemica.,Italy,Riv Emoter Immunoematol,Rivista di emoterapia ed immunoematologia,0404352,IM,"['Bilirubin/blood', 'Erythrocyte Count', 'Erythrocytes/*enzymology', 'Female', 'Fructose-Bisphosphate Aldolase/blood', 'Glyceraldehyde-3-Phosphate Dehydrogenases/blood', 'Glycolysis', 'Hematocrit', 'Hemoglobinometry', 'Hodgkin Disease/blood', 'Humans', 'Hydro-Lyases/blood', 'Isomerases/*blood', 'L-Lactate Dehydrogenase/blood', 'Leukemia/*blood', 'Leukemia, Lymphoid/blood', 'Leukemia, Myeloid/blood', 'Lyases/*blood', 'Lymphoma/*blood', 'Male', 'Multiple Myeloma/blood', 'Oxidoreductases/*blood', 'Pyruvate Kinase/*blood', 'Reticulocytes']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",ppublish,Riv Emoter Immunoematol. 1967;14(5):197-219.,"['EC 1.- (Oxidoreductases)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)', 'EC 1.2.1.- (Glyceraldehyde-3-Phosphate Dehydrogenases)', 'EC 2.7.1.40 (Pyruvate Kinase)', 'EC 4.- (Lyases)', 'EC 4.1.2.13 (Fructose-Bisphosphate Aldolase)', 'EC 4.2.1.- (Hydro-Lyases)', 'EC 5.- (Isomerases)', 'RFM9X3LJ49 (Bilirubin)']",,,
5264384,NLM,MEDLINE,19700415,20190704,0007-1048 (Print) 0007-1048 (Linking),18,1,1970 Jan,Blood volume changes in splenomegaly.,45-55,"['Donaldson, G W', 'McArthur, M', 'Macpherson, A I', 'Richmond, J']","['Donaldson GW', 'McArthur M', 'Macpherson AI', 'Richmond J']",['eng'],['Journal Article'],,England,Br J Haematol,British journal of haematology,0372544,IM,"['Adolescent', 'Adult', 'Aged', 'Anemia/etiology', '*Blood Volume', 'Busulfan/therapeutic use', 'Chromium Isotopes', 'Female', 'Hematocrit', 'Humans', 'Leukemia, Myeloid/complications', 'Liver Cirrhosis/complications', 'Male', 'Middle Aged', 'Plasma Volume', 'Polycythemia Vera/complications', 'Primary Myelofibrosis/complications', 'Splenectomy', 'Splenomegaly/*physiopathology']",1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",ppublish,Br J Haematol. 1970 Jan;18(1):45-55. doi: 10.1111/j.1365-2141.1970.tb01417.x.,"['0 (Chromium Isotopes)', 'G1LN9045DK (Busulfan)']",['10.1111/j.1365-2141.1970.tb01417.x [doi]'],,
5264233,NLM,MEDLINE,19700414,20151119,0014-2964 (Print) 0014-2964 (Linking),6,1,1970 Feb,"[Effectiveness of the association of prednisone, vincristine, methyl-glyoxal-bis(guanylhydrazone)(methyl-GAG) and methotrexate in monoblastic acute leukemia].",57-9,,,['fre'],['Journal Article'],"Essai de recherche d'efficacite de l'association de prednisone, vincristine, methyl-glyoxal-bis (guanylhydrazone) (methyl-GAG) et methotrexate sur les leucemies aigues monoblastiques.",England,Eur J Cancer,European journal of cancer,0074126,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/*therapeutic use', 'Child', 'Child, Preschool', 'Drug Synergism', 'Female', 'Humans', 'Leukemia, Monocytic, Acute/*drug therapy', 'Male', 'Methotrexate/*therapeutic use', 'Middle Aged', 'Prednisone/*therapeutic use', 'Vincristine/*therapeutic use']",1970/02/01 00:00,1970/02/01 00:01,['1970/02/01 00:00'],"['1970/02/01 00:00 [pubmed]', '1970/02/01 00:01 [medline]', '1970/02/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1970 Feb;6(1):57-9.,"['0 (Antineoplastic Agents)', '5J49Q6B70F (Vincristine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)']",,,
5264232,NLM,MEDLINE,19700414,20190908,0014-2964 (Print) 0014-2964 (Linking),6,1,1970 Feb,The problem of anaemia in the acute leukaemias. Kinetic study.,33-8,"['Gavosto, F', 'Gabutti, V', 'Masera, P', 'Pileri, A']","['Gavosto F', 'Gabutti V', 'Masera P', 'Pileri A']",['eng'],['Journal Article'],,England,Eur J Cancer,European journal of cancer,0074126,IM,"['Anemia/*etiology', 'Animals', 'Autoradiography', 'Dogs', 'Erythropoiesis', 'Humans', 'Kinetics', 'Leukemia, Myeloid, Acute/*complications', 'Thymidine', 'Tritium']",1970/02/01 00:00,1970/02/01 00:01,['1970/02/01 00:00'],"['1970/02/01 00:00 [pubmed]', '1970/02/01 00:01 [medline]', '1970/02/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1970 Feb;6(1):33-8. doi: 10.1016/0014-2964(70)90051-4.,"['10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)']",['10.1016/0014-2964(70)90051-4 [doi]'],,
5264199,NLM,MEDLINE,19700409,20071115,0066-6777 (Print) 0066-6777 (Linking),43,1,1968 Jan-Feb,[Clinicopathological correlation of the fundus oculi in acute leukosis].,19-20,"['Courtis, J M']",['Courtis JM'],['spa'],['Journal Article'],Correlacion clinicopatologica del fondo de ojo en la leucosis aguda.,Argentina,Arch Oftalmol B Aires,Archivos de oftalmologia de Buenos Aires,0372462,IM,"['Adult', '*Eye Manifestations', 'Female', 'Fundus Oculi/*pathology', 'Humans', 'Leukemia, Lymphoid/*complications']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Arch Oftalmol B Aires. 1968 Jan-Feb;43(1):19-20.,,,,
5264173,NLM,MEDLINE,19700403,20151119,0008-5480 (Print) 0008-5480 (Linking),21,,1968,[Vincristine in the treatment of acute leukemia in adults and in the second stage of childhood].,Suppl 6:69-78,"['Resegotti, L', 'Infelise, V E', 'Rossi, M']","['Resegotti L', 'Infelise VE', 'Rossi M']",['ita'],['Journal Article'],La vincristina nel trattamento della leucemia acuta nell'adulto e nella seconda infanzia.,Italy,Cancro,Il Cancro,0421125,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Vincristine/*therapeutic use']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Cancro. 1968;21:Suppl 6:69-78.,['5J49Q6B70F (Vincristine)'],,,
5264172,NLM,MEDLINE,19700403,20151119,0008-5480 (Print) 0008-5480 (Linking),21,,1968,[Clinical observations on the therapy of acute leukemia in childhood. Comparative study of 2 drug associations: vincristine with prednisone and daunomycin with vincristine and prednisone].,Suppl 6:57-68,"['Masera, G', 'Carnelli, V']","['Masera G', 'Carnelli V']",['ita'],['Journal Article'],Osservazioni cliniche sulla terapia della leucemia acuta dell'infanzia. Studio comparativo tra le due associazioni vincristina-prednisone e daunomicina-vincristina-prednisone.,Italy,Cancro,Il Cancro,0421125,IM,"['Child', 'Child, Preschool', 'Daunorubicin/*therapeutic use', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Prednisone/*therapeutic use', 'Vincristine/*therapeutic use']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Cancro. 1968;21:Suppl 6:57-68.,"['5J49Q6B70F (Vincristine)', 'VB0R961HZT (Prednisone)', 'ZS7284E0ZP (Daunorubicin)']",,,
