PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RF,CIN,SI,TT,PMC,CON,MID,GS,EIN,OID,OTO,OT,GN
8588769,NLM,MEDLINE,19960328,20190825,0004-8291 (Print) 0004-8291 (Linking),25,5,1995 Oct,Autologous blood stem cell transplantation for haematological malignancy: treatment-related mortality of 2%.,483-9,"BACKGROUND: Lengthy remission or cure has remained elusive for patients with many of the common haematological malignancies. Thus high dose chemotherapy followed by autologous haemopoietic stem cell transplantation is being increasingly utilised in these diseases. AIM: To assess the safety of high dose chemotherapy and autologous stem cell transplantation in haematological malignancy. METHODS: Forty-eight patients with haematological malignancy were given high dose chemotherapy followed by an infusion of previously cryopreserved autologous peripheral blood stem cells with (patients with acute myeloid leukaemia [AML]) or without (patients with acute lymphoblastic leukaemia [ALL], chronic myeloid leukaemia, non-Hodgkin's lymphoma, Hodgkin's disease and myeloma) autologous bone marrow. RESULTS: All patients except one had sustained engraftment. The median (range) number of days to attain a neutrophil count of 0.5 x 10(9)/L was 12 (10-42) and a platelet count of 20 x 10(9)/L unsupported by platelet transfusions was 15 (eight to 155). Other than oropharyngeal mucositis and febrile neutropenia, morbidity was low. Two patients had haemorrhagic cystitis, one hepatic veno-occlusive disease and one interstitial pneumonitis; all resolved. The treatment-related mortality was 2%--a single patient with AML died of failure of sustained engraftment. CONCLUSIONS: Autologous blood stem cell transplantation to support high dose chemotherapy is a relatively safe procedure and its efficacy is currently being explored in a wide range of haematological malignancies.","['Atkinson, K', 'Dodds, A', 'Milliken, S', 'Concannon, A', 'Fay, K', 'Harris, M', 'Flecknoe-Brown, S', 'Lind, D', 'McKinley, R', 'Rutovitz, J']","['Atkinson K', 'Dodds A', 'Milliken S', 'Concannon A', 'Fay K', 'Harris M', 'Flecknoe-Brown S', 'Lind D', 'McKinley R', 'Rutovitz J', 'et al.']","[""Department of Haematology, St Vincent's Hospital, Sydney, NSW, Australia.""]",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Australia,Aust N Z J Med,Australian and New Zealand journal of medicine,1264322,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Female', 'Hematopoietic Stem Cell Transplantation/*mortality', 'Humans', 'Leukemia/mortality/*therapy', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/mortality/therapy', 'Leukemia, Myeloid/mortality/therapy', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Survival Analysis']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",['10.1111/j.1445-5994.1995.tb01492.x [doi]'],ppublish,Aust N Z J Med. 1995 Oct;25(5):483-9. doi: 10.1111/j.1445-5994.1995.tb01492.x.,,,,,,,,,,,,,,
8588582,NLM,MEDLINE,19960327,20071115,0148-7299 (Print) 0148-7299 (Linking),59,2,1995 Nov 6,Duplication and loss of chromosome 21 in two children with Down syndrome and acute leukemia.,174-81,Acute leukemia in Down syndrome (DS) is often associated with additional changes in the number or structure of chromosome 21. We present two DS patients whose leukemic karyotypes were associated with changes in chromosome 21 ploidy. Patient 1 developed acute lymphocytic leukemia (type L1); disomy for chromosome 21 was evident in all blast cells examined. Loss of the paternal chromosome in the leukemic clone produced maternal uniparental disomy with isodisomy over a 25-cM interval. The second patient had acute monoblastic leukemia (type M5) with tetrasomy 21 in all leukemic cells. DNA polymorphism analysis showed duplicate paternal chromosomes in the constitutional genotype. The maternal chromosome was subsequently duplicated in the leukemic clone. The distinct inheritance patterns of chromosome 21 in the blast cells of these patients would appear to indicate that leukemogenesis occurred by different genetic mechanisms in each individual.,"['Rogan, P K', 'Close, P', 'Blouin, J L', 'Seip, J R', 'Gannutz, L', 'Ladda, R L', 'Antonarakis, S E']","['Rogan PK', 'Close P', 'Blouin JL', 'Seip JR', 'Gannutz L', 'Ladda RL', 'Antonarakis SE']","['Department of Pediatrics, College of Medicine, Pennsylvania State University, Hershey, USA.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Med Genet,American journal of medical genetics,7708900,"['0 (DNA, Neoplasm)']",IM,"['Child, Preschool', '*Chromosome Aberrations', '*Chromosomes, Human, Pair 21', 'DNA, Neoplasm/genetics', 'Down Syndrome/*complications/*genetics', 'Female', 'Genotype', 'Humans', 'Leukemia, Monocytic, Acute/*complications/*genetics', 'Polymorphism, Genetic', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/*genetics']",1995/11/06 00:00,1995/11/06 00:01,['1995/11/06 00:00'],"['1995/11/06 00:00 [pubmed]', '1995/11/06 00:01 [medline]', '1995/11/06 00:00 [entrez]']",['10.1002/ajmg.1320590212 [doi]'],ppublish,Am J Med Genet. 1995 Nov 6;59(2):174-81. doi: 10.1002/ajmg.1320590212.,"['HG 00468/HG/NHGRI NIH HHS/United States', 'R29-HD 29098-01/HD/NICHD NIH HHS/United States']",,,,,,,,,,,,,
8588244,NLM,MEDLINE,19960322,20190905,0163-4356 (Print) 0163-4356 (Linking),17,6,1995 Dec,Elucidating the mechanism of action of the immunosuppressant 15-deoxyspergualin.,700-3,"15-Deoxyspergualin (DSG) is an immunosuppressive agent currently in Phase I/II clinical trials. We have previously shown that DSG specifically interacts with Hsc70, a member of the heat shock protein 70 family. In this article we show that DSG appears to bind either kinetically or to a different site on Hsc70 from that of peptides. In addition, we show that DSG inhibits the localization of Hsp70 into the nucleus in response to heat shock. Finally, data are presented showing that there is a correlation between decreases in the transcription factor nuclear factor kappa B and kappa light chain expression in response to varying doses of DSG.","['Nadler, S G', 'Eversole, A C', 'Tepper, M A', 'Cleaveland, J S']","['Nadler SG', 'Eversole AC', 'Tepper MA', 'Cleaveland JS']","['Bristol-Myers Squibb Pharmaceutical Research Institute, Seattle, Washington 98121, USA.']",['eng'],['Journal Article'],United States,Ther Drug Monit,Therapeutic drug monitoring,7909660,"['0 (Guanidines)', '0 (HSP70 Heat-Shock Proteins)', '0 (Immunoglobulin kappa-Chains)', '0 (Immunosuppressive Agents)', '0 (NF-kappa B)', '0 (Peptides)', 'UJ0ZJ76DO9 (gusperimus)']",IM,"['Amino Acid Sequence', 'Animals', 'Binding, Competitive', 'Cell Nucleus/drug effects', 'Guanidines/chemistry/*pharmacology', 'HSP70 Heat-Shock Proteins/antagonists & inhibitors/chemistry', 'Immunoglobulin kappa-Chains/drug effects', 'Immunosuppressive Agents/chemistry/*pharmacology', 'Leukemia L1210', 'Mice', 'Molecular Sequence Data', 'NF-kappa B/antagonists & inhibitors/drug effects', 'Peptides/chemistry', 'Protein Binding']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",['10.1097/00007691-199512000-00026 [doi]'],ppublish,Ther Drug Monit. 1995 Dec;17(6):700-3. doi: 10.1097/00007691-199512000-00026.,,,,,,,,,,,,,,
8588090,NLM,MEDLINE,19960328,20191024,0034-5288 (Print) 0034-5288 (Linking),59,3,1995 Nov,Variable expression of major histocompatibility complex class II in the domestic cat.,195-200,"This paper describes the characterisation of six independently produced monoclonal antibodies (mAbs) specific for non-polymorphic determinants of feline major histocompatibility complex (MHC) class II. One mAb is an anti-sheep class II which cross-reacts with the cat and five have been produced in response to immunisation with purified feline immunodeficiency virus. Despite their independent source all the mAbs have identical reactivities, immunoprecipitating two complex groups of polypeptides of M(r) 33 to 36.000 (MHC class II alpha chains) and M(r) 28 to 31,000 (MHC class II beta chains). Immunoblot analysis showed them to be beta chain-specific. One and two-dimensional electrophoresis revealed the complexity of feline class II mass and charge and implied the expression of multiple class II loci in the cat. Furthermore, it was demonstrated that distinct cell populations expressed a distinct range of class II variants. This suggesting either the differential expression or the distinct post-translational modification of lymphocytes from different sites. The mAbs have also been used for the detailed examination of the cellular distribution and tissue localisation of MHC class II in the cat.","['Hunt, P', 'McConnell, I', 'Grant, C K', 'Else, R W', 'Hopkins, J']","['Hunt P', 'McConnell I', 'Grant CK', 'Else RW', 'Hopkins J']","['Department of Veterinary Pathology, University of Edinburgh, Royal (Dick) School of Veterinary Studies, Summerhall.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Res Vet Sci,Research in veterinary science,0401300,"['0 (Antibodies, Monoclonal)', '0 (Histocompatibility Antigens Class II)']",IM,"['Animals', 'Antibodies, Monoclonal/chemistry/immunology', 'Cat Diseases/pathology', 'Cats/blood/*immunology', 'Cell Line', 'Electrophoresis, Gel, Two-Dimensional', 'Flow Cytometry/veterinary', 'Genes, Immunoglobulin/genetics', 'Histocompatibility Antigens Class II/*analysis/genetics/*immunology', 'Immunoblotting/veterinary', 'Immunodeficiency Virus, Feline/immunology', 'Immunohistochemistry', 'Leukemia, Lymphoid/pathology/veterinary', 'Lymph Nodes/immunology', 'Molecular Weight', 'Precipitin Tests/veterinary', 'Sheep', 'Skin/immunology', 'Spleen/immunology', 'Thymus Gland/immunology']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",['10.1016/0034-5288(95)90001-2 [doi]'],ppublish,Res Vet Sci. 1995 Nov;59(3):195-200. doi: 10.1016/0034-5288(95)90001-2.,['Wellcome Trust/United Kingdom'],,,,,,,,,,,,,
8588078,NLM,MEDLINE,19960325,20071115,0034-1193 (Print) 0034-1193 (Linking),86,12,1995 Dec,[Prognostic factors in chronic lymphatic leukemia].,476-82,"The analysis of our case histories aims at verifying if the immunological phenotype of the leukaemic lymphocyte B, essential diagnostic element, can have prognostic meaning and integrate the known methods of staging. We tested peripheral blood and samples of bone marrow at the cytofluorimeter with techniques of immunofluorescence. We considered the density of the sIg, lymphocytic doubling time (LDT), clusters of designation 23 (CD23), as immunological marker of activation, we also documented a relationship between these indicators and the classic clinical stage. We observed that the chronic lymphocytic leukaemia (CLL) in the stage B and C have generally sIg at high density, correlated to a short time of lymphocytic doubling, and that in the group with a low risk (stage A) the low density of sIg is correlated with a long time of doubling, index of the growth of tumoral bulk. The activation marker (CD23) shows a positive prognostic meaning, as it is more expressed in CLL at a low density of sIg and present in larger quantity in the initial clinical stage. We defined a classic immunophenotypic pattern for the CLL-B with positivity of CD5, sIg at a low density, Ag of activation highly positive related to a history of favourable disease; while an immunologic structure with CD5 negativity, less activated and more differentiated phenotype (CD23 low expression, high density sIg) seems to define a more severe prognosis.","['Mariuzzo, G', 'Geniram, A', 'Pietra, A', 'Scio, P', 'Venturino, M']","['Mariuzzo G', 'Geniram A', 'Pietra A', 'Scio P', 'Venturino M']","['Divisione Medica Resnati, Ospedale San Carlo Borromeo, Milano.']",['ita'],"['English Abstract', 'Journal Article']",Italy,Recenti Prog Med,Recenti progressi in medicina,0401271,"['0 (Antigens, CD)']",IM,"['Antigens, CD/blood', 'Humans', '*Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/immunology', 'Prognosis']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",,ppublish,Recenti Prog Med. 1995 Dec;86(12):476-82.,,,,,Fattori prognostici nella leucemia linfatica cronica.,,,,,,,,,
8587932,NLM,MEDLINE,19960327,20190726,0031-9155 (Print) 0031-9155 (Linking),40,11,1995 Nov,Electrorotational studies of the cytoplasmic dielectric properties of Friend murine erythroleukaemia cells.,1789-806,"Electrorotation (ROT) spectra of Friend murine erythroleukaemia DS19 cells were measured in the frequency range 10 kHz-100 MHz as a function of suspension osmolality and cell differentiation treatment with hexamethylene bisacetamide (HMBA). A minimization program was employed to curve-fit the measured spectra using a single-shell dielectric model, allowing the derivation of cellular interior conductivity and permittivity (valid for the frequency range 10-100 MHz) and the cytoplasmic membrane capacitance (its dependence on the cell differentiation state and suspension osmolality having been reported earlier). Following HMBA treatment, DS19 cells exhibited a slight increment in average interior permittivity and a decrement in interior conductivity, although the changes were not statistically significant. For both untreated and HMBA treated samples, the average interior conductivity increased and permittivity decreased with increasing suspension osmolality. Of significance was that the average permittivity of cell interiors was larger than that of pure water. The electrorotation spectra of freshly prepared cell nuclei were measured, and the derived nuclear dielectric parameters were employed in numerical simulations to investigate the effects of nuclei on the ROT spectra of intact cells. Other cellular internal structures such as mitochondria were also analysed using theoretical simulations. It was concluded that the derived large permittivity values did not result from cell nuclei or mitochondria, and, instead, we suggest that they may arise from the combined effects of several cytoplasmic organelles.","['Huang, Y', 'Wang, X B', 'Holzel, R', 'Becker, F F', 'Gascoyne, P R']","['Huang Y', 'Wang XB', 'Holzel R', 'Becker FF', 'Gascoyne PR']","['Department of Molecular Pathology, University of Texas M D Anderson Cancer Center, Houston 77030, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Phys Med Biol,Physics in medicine and biology,0401220,,IM,"['Animals', 'Biophysical Phenomena', 'Biophysics', 'Cell Compartmentation', 'Cell Nucleus/metabolism', 'Electric Conductivity', '*Friend murine leukemia virus', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Mice', 'Mitochondria/metabolism', 'Models, Biological', 'Rotation', 'Tumor Cells, Cultured']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",['10.1088/0031-9155/40/11/002 [doi]'],ppublish,Phys Med Biol. 1995 Nov;40(11):1789-806. doi: 10.1088/0031-9155/40/11/002.,,,,,,,,,,,,,,
8587813,NLM,MEDLINE,19960328,20190830,0301-0449 (Print) 0301-0449 (Linking),26,2,1996,"Disseminated mucormycosis: report of a successfully treated immunosuppressed child with clinical, radiographic and pathological findings.",131-3,"Disseminated mucormycosis is an uncommon condition with a high mortality rate and is infrequently diagnosed ante mortem. It is most frequently seen in immunosuppressed patients who are at risk for other unusual infections. The radiological features are not specific. We report the case of a 12-year-old girl in second haematological remission who was successfully treated for a brain abscess due to cerebral mucormycosis and for mucormycosis of the kidney which presented as a pyelonephritis. In her first haematological remission she was diagnosed as having a non-specific pneumonitis, which in retrospect may have been due to mucormycosis. Early diagnosis and appropriate management are associated with improved prognosis and require an awareness of the infection and a high index of suspicion.","['Celgow, L', 'Cohn, R J', 'Sacks, A J']","['Celgow L', 'Cohn RJ', 'Sacks AJ']","['Department of Diagnostic Radiology, Johannesburg Hospital, Private Bag X 39, Johannesburg, South Africa 2000.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Pediatr Radiol,Pediatric radiology,0365332,,IM,"['Brain Abscess/microbiology', 'Child', 'Female', 'Humans', '*Immunocompromised Host', '*Mucormycosis/diagnosis/therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications', 'Pyelonephritis/microbiology']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",['10.1007/BF01372092 [doi]'],ppublish,Pediatr Radiol. 1996;26(2):131-3. doi: 10.1007/BF01372092.,,,,,,,,,,,,,,
8587197,NLM,MEDLINE,19960327,20211203,0047-1852 (Print) 0047-1852 (Linking),54,1,1996 Jan,[Analysis of tumor rejection antigen peptides recognized by specific CTL].,242-9,"Tumor rejection antigens, recognized by cytotoxic T lymphocytes (CTL), have been identified in several tumors. In malignant melanoma MAGE-1 and -3 antigen peptides, recognized by specific CTL, were defined. Tyrosinase, gp100 and Melan A/MART-1, normally expressed in the melanosome, were also shown to be recognized by specific CTL. In murine tumors, three antigenic peptides were identified. These are P1A in mastocytoma P815, MUT1 in murine lung carcinoma (3LL) derived from connexin 37, and pRL1 in murine leukemia RL male 1 derived from c-akt proto-oncogene. Analysis of the tumor rejection antigen peptides will elucidate the molecular nature of the tumor rejection antigen and facilitate their therapeutic use as tumor vaccine.","['Uenaka, A', 'Nakayama, E']","['Uenaka A', 'Nakayama E']","['Department of Parasitology and Immunology, Okayama University Medical School.']",['jpn'],"['Journal Article', 'Review']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,"['0 (Antigens, Neoplasm)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)']",IM,"['Animals', 'Antigens, Neoplasm/*immunology', 'Humans', 'Male', 'Melanoma/immunology', 'Mice', 'Proto-Oncogene Mas', 'T-Lymphocytes, Cytotoxic/*immunology']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1996 Jan;54(1):242-9.,,20,,,,,,,,,,,,
8587173,NLM,MEDLINE,19960325,20071115,0485-1439 (Print) 0485-1439 (Linking),36,12,1995 Dec,[Acute myeloid leukemia (M1) following chemotherapy for Ki-1 lymphoma complicated with rheumatoid arthritis].,1365-71,"A 58-year-old woman complicated with rheumatoid arthritis (RA) was admitted to our hospital with right axillar lymphadenopathy and splenomegaly in November 1992. She was diagnosed as an anaplastic large-cell lymphoma (Ki-1 +) (stage IIIB) on the histological findings of the right axillar lymph nodes. She was treated with 11 courses of CHOP regimen between February 1992 and May 1993, and with mitoxantrone, etoposide (VP-16) and predonisolone in April 1992 and May 1993. The right axillar lymph nodes and spleen were irradiated at a dose of 36Gy in October 1992 and May 1993 respectively. In May 1993, peripheral blood showed WBC 89,000/microliter with 96% myeloblasts, Hb 8.3 g/dl, and Plt 124,000/microliter. Bone marrow aspirate revealed hypercellularity with 90% myeloblasts, which were positive for CD13 and HLA-DR. She was diagnosed as AML (M1). The karyotype showed normal. Southern blot analysis did not reveal the rearrangement of the MLL gene. She received the BHAC-DMP regimen and obtained complete remission. However, she relapsed during consolidation therapy, and died of cerebral bleeding. An autopsy revealed absence of a residual tumor. The mean interval from exposure to alkylating agent to the onset of secondary leukemia has been reported to be about 5 years, in contrast to a shortened interval of about 2 years for VP-16-induced leukemia. In our patient, it took only 1 year to have AML following chemotherapy for Ki-1 lymphoma. This suggests that her AML might be induced not only by treatments for RA and Ki-1 lymphoma, but also by immunological background such as RA.","['Yoshida, K', 'Endoh, K', 'Itoh, Y', 'Kawai, N', 'Matsuda, A', 'Murohashi, I', 'Jinnai, I', 'Ino, H', 'Bessho, M', 'Takeuchi, H']","['Yoshida K', 'Endoh K', 'Itoh Y', 'Kawai N', 'Matsuda A', 'Murohashi I', 'Jinnai I', 'Ino H', 'Bessho M', 'Takeuchi H', 'et al.']","['First Department of Internal Medicine, Saitama Medical School.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Arthritis, Rheumatoid/*complications', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*chemically induced', 'Lymphoma, Large-Cell, Anaplastic/complications/*drug therapy', 'Middle Aged', 'Neoplasms, Second Primary/*chemically induced']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1995 Dec;36(12):1365-71.,,,,,,,,,,,,,,
8587172,NLM,MEDLINE,19960325,20171116,0485-1439 (Print) 0485-1439 (Linking),36,12,1995 Dec,[Acute myelogenous leukemia with diabetes insipidus without desmopression administration by anti-leukemic chemotherapy].,1359-64,"We report a case of AML with diabetes insipidus (DI). A 68-year-old female was admitted to our hospital because of fever and leukocytosis. The WBC was 197,000/microliter with 98% blasts positive for myeloperoxidase, CD33, CD34 and HLA-DR. While, on admission, urine volume was more than 6 liters daily. Blood vasopressin level was 0.3 microgram/ml. The patient was diagnosed as having AML with DI. By chemotherapy consisting of BHAC, DNR, 6-MP and PSL and intrathecal administration of AraC, MTX and PSL, and nasal drip of DDAVP, complete remission was attained and the urine volume was reduced to normal. Finally DDAVP became unnecessary. Although the exact cause of DI cannot be ascertained, rapid increase of leukemic blasts and leukostasis in small vessels might be associated with hypothalamus-pituitary system damage. Reportedly, DI is a rare complication of leukemia and administration of DDAVP could be halted in only two patients with leukemia and DI.","['Ino, Y', 'Tsurumi, H', 'Yamada, T', 'Murakami, N', 'Moriwaki, H', 'Muto, Y']","['Ino Y', 'Tsurumi H', 'Yamada T', 'Murakami N', 'Moriwaki H', 'Muto Y']","['First Department of Internal Medicine, Gifu University School of Medicine.']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Renal Agents)', '04079A1RDZ (Cytarabine)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'ENR1LLB0FP (Deamino Arginine Vasopressin)', 'ZS7284E0ZP (Daunorubicin)', 'BH-AC-DMP protocol']",IM,"['Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cytarabine/administration & dosage/analogs & derivatives', 'Daunorubicin/administration & dosage', 'Deamino Arginine Vasopressin/*therapeutic use', 'Diabetes Insipidus/drug therapy/*etiology', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications/drug therapy', 'Mercaptopurine/administration & dosage', 'Prednisolone/administration & dosage', 'Renal Agents/*therapeutic use']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1995 Dec;36(12):1359-64.,,,,,,,,,,,,,,
8587171,NLM,MEDLINE,19960325,20131121,0485-1439 (Print) 0485-1439 (Linking),36,12,1995 Dec,[Reversion to chronic phase of chronic myelogenous leukemia in blast crisis with small-dose daunorubicin and oral prednisolone].,1353-8,"In December 1993, a 76-year-old Japanese male presented with general fatigue. Peripheral blood (PB) examination indicated marked leukocytosis (WBC count, 19.8 x 10(4)/microliter; leukemic blast differential, 89.5%). Leukemic blasts were positive for CD33, and negative for lymphoid antigens, with 2% of the blasts being positive for myeloperoxidase staining. On admission, chromosome analysis of leukemic cells in PB showed 45, X,-Y, t (9;22) [12/15]/46, XY, t (9;22) [3/15]. Southern blot analysis of the DNA from PB showed a rearrangement at the M-BCR region and germline configurations of both TCR beta and IgH chain genes. The patient was diagnosed as Philadelphia-positive chronic myelogenous leukemia (CML) in blast crisis. We commenced treatment with daunorubicin (DNR; 20 mg/day x 1 IV) and daily prednisolone (PSL; 60 mg/day PO). Leukemic blasts disappeared rapidly from PB, while the promyelocytes showed a transient increase, peaked 7 days after the start of therapy, and then disappeared. Myelocytes and metamyelocytes also showed transient increases. Without a period of severe myelosuppression, the patient reverted to the chronic phase of CML and karyotypic analysis of bone marrow cells showed 45, X,-Y, t (9;22) [33/35]/46, XY, [2/35]. Consolidation chemotherapy with DNR and BHAC was started, but the patient's condition deteriorated due to bacterial infection and he died of hepatic failure on March 1994. In this case, reversion to the chronic phase of CML in blast crisis may be accomplished by the cytodifferentiating effects of small-dose DNR and oral PSL to the leukemic blasts.","['Kuyama, J', 'Take, H']","['Kuyama J', 'Take H']","['Department of Internal Medicine, Toyoanaka Municipal Hospital.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['9PHQ9Y1OLM (Prednisolone)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Administration, Oral', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Blast Crisis/*drug therapy/pathology', 'Daunorubicin/administration & dosage', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/pathology', 'Leukemia, Myeloid, Chronic-Phase/*pathology', 'Male', 'Prednisolone/administration & dosage']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1995 Dec;36(12):1353-8.,,,,,,,,,,,,,,
8587122,NLM,MEDLINE,19960328,20211203,0022-2844 (Print) 0022-2844 (Linking),41,6,1995 Dec,Molecular evolution and secondary structural conservation in the B-cell lymphoma leukemia 2 (bcl-2) family of proto-oncogene products.,775-83,"The nature of the bcl-2 family of proto-oncogenes was analyzed by sequence alignment, secondary structure prediction, and phylogenetic techniques. Phylogenies were inferred from both the nucleic acid and amino acid sequences of the human, murine, rat, and chicken sequences for BCL-2 and BCL-X, human MCL1, murine A1, the nematode Caenorhabditis elegans and Caenorhabditis briggsiae ced-9 proteins, and the sequences BHRF1 from Epstein-Barr and LMW5-HL from African swine fever viruses. Both sequence alignment and secondary structure prediction techniques supported the conservation of both the overall secondary structure and the carboxy-terminal transmembrane domain in all members of the family. All the treeing methods employed (distance matrix, maximum likelihood, and parsimony) supported a tree in which the proapoptotic proteins BCL-2 and BCL-X represent the most recent additions to the group. All the trees also indicated that the viral proteins BHRF1 and LMW-HL arose from a common ancestor, an ancestor they shared in common with the pro-apoptotic control protein BAX, indicating that this function of BAX evolved only recently. The most ancient branches are represented by the nematode ced-9 protein and by the control genes MCL1 and A1, which in the treeing methods employed represent separate lineages within the most ancient grouping. These results demonstrate the evolution of a highly conserved family of developmental control genes from nematode to man--genes that encode proteins essential for normal development but which are highly conserved in terms of predicted structure and possible cellular localization. The evolutionary analysis also indicates that the family may be even larger than originally predicted and that other members are waiting to be discovered.","['Evans, D L', 'Mansel, R E']","['Evans DL', 'Mansel RE']","['Department of Surgery, University of Wales College of Medicine, Heath Park, Cardiff, United Kingdom.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,J Mol Evol,Journal of molecular evolution,0360051,"['0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)']",IM,"['Amino Acid Sequence', 'Animals', 'Caenorhabditis', 'Chickens', '*Evolution, Molecular', 'Humans', 'Mice', 'Molecular Sequence Data', 'Phylogeny', 'Protein Structure, Secondary', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins/*genetics', 'Proto-Oncogene Proteins c-bcl-2', 'Rats', 'Sequence Alignment', 'Sequence Analysis']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",['10.1007/BF00173157 [doi]'],ppublish,J Mol Evol. 1995 Dec;41(6):775-83. doi: 10.1007/BF00173157.,,,,"['GENBANK/D11382', 'GENBANK/J02070', 'GENBANK/L09548', 'GENBANK/L14680', 'GENBANK/L16462', 'GENBANK/L22472', 'GENBANK/L22473', 'GENBANK/L26545', 'GENBANK/L26546', 'GENBANK/L31532', 'GENBANK/M13994', 'GENBANK/U10101', 'GENBANK/U10597', 'GENBANK/Z23110', 'GENBANK/Z23115']",,,,,,,,,,
