PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,AB,PMC,AID,TT,OID,OAB,OABL,OTO,OT,GN,EIN
4348876,NLM,MEDLINE,19730608,20080226,0079-645X (Print) 0079-645X (Linking),15,,1973,Helper-dependent bacteriophage P4: a model satellite virus and its implications for animal virology.,309-30,"['Barrett, K', 'Calendar, R', 'Gibbs, W', 'Goldstein, R N', 'Lindqvist, B', 'Six, E']","['Barrett K', 'Calendar R', 'Gibbs W', 'Goldstein RN', 'Lindqvist B', 'Six E']",['eng'],"['Journal Article', 'Review']",Switzerland,Prog Med Virol,Progress in medical virology. Fortschritte der medizinischen Virusforschung. Progres en virologie medicale,0376451,"['0 (DNA, Viral)']",IM,"['Adenoviridae', 'Avian Sarcoma Viruses', 'Bacteriolysis', '*Coliphages/growth & development/metabolism', 'DNA Replication', 'DNA Viruses/growth & development/metabolism', 'DNA, Viral/biosynthesis', 'Friend murine leukemia virus', 'Gammaretrovirus', 'Genes', '*Helper Viruses', 'Lysogeny', 'Microscopy, Electron', 'Morphogenesis', 'Oncogenic Viruses', '*Satellite Viruses/growth & development/metabolism']",125,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",ppublish,Prog Med Virol. 1973;15:309-30.,,,,,,,,,,,
4348799,NLM,MEDLINE,19730607,20061115,0022-1317 (Print) 0022-1317 (Linking),18,3,1973 Mar,Oncogenicity of non-transforming mutants of avian sarcoma viruses.,399-403,"['Biggs, P M', 'Milne, B S', 'Graf, T', 'Bauer, H']","['Biggs PM', 'Milne BS', 'Graf T', 'Bauer H']",['eng'],['Journal Article'],England,J Gen Virol,The Journal of general virology,0077340,,IM,"['Animals', 'Avian Leukosis/etiology', 'Avian Sarcoma Viruses/growth & development/*pathogenicity', '*Cell Transformation, Neoplastic', 'Chick Embryo', 'Chickens', 'Culture Techniques', 'Fibroblasts', 'Fibrosarcoma/etiology', 'Marek Disease/etiology', '*Mutation', 'Neoplasms, Experimental/etiology', 'Osteopetrosis/etiology', 'Osteosarcoma/etiology']",,1973/03/01 00:00,1973/03/01 00:01,['1973/03/01 00:00'],"['1973/03/01 00:00 [pubmed]', '1973/03/01 00:01 [medline]', '1973/03/01 00:00 [entrez]']",ppublish,J Gen Virol. 1973 Mar;18(3):399-403. doi: 10.1099/0022-1317-18-3-399.,,,['10.1099/0022-1317-18-3-399 [doi]'],,,,,,,,
4348779,NLM,MEDLINE,19730607,20031114,0002-3264 (Print) 0002-3264 (Linking),209,1,1973 Mar-Apr,[Structural transitions in spin-labeled DNA].,217-20,"[""Mil', E M"", 'Zavriev, S K', 'Grigorian, G L', 'Krugliakova, K E']","[""Mil' EM"", 'Zavriev SK', 'Grigorian GL', 'Krugliakova KE']",['rus'],['Journal Article'],Russia (Federation),Dokl Akad Nauk SSSR,Doklady Akademii nauk SSSR,7505465,"['0 (Azirines)', '0 (DNA, Neoplasm)', '9007-49-2 (DNA)']",IM,"['Animals', 'Azirines', 'Cattle', '*DNA', '*DNA, Neoplasm', 'Electron Spin Resonance Spectroscopy', 'Leukemia, Erythroblastic, Acute', 'Rats', 'Spleen', 'Splenic Neoplasms', 'Thymus Gland']",,1973/03/01 00:00,1973/03/01 00:01,['1973/03/01 00:00'],"['1973/03/01 00:00 [pubmed]', '1973/03/01 00:01 [medline]', '1973/03/01 00:00 [entrez]']",ppublish,Dokl Akad Nauk SSSR. 1973 Mar-Apr;209(1):217-20.,,,,Izuchenie strukturnykh perekhodov spin-mechenoi DN.,,,,,,,
4348774,NLM,MEDLINE,19730607,20031114,0008-5472 (Print) 0008-5472 (Linking),33,4,1973 Apr,Enhancement of virus-induced leukemias and sarcomas in F 1 hybrid mice inoculated with parental spleen cells.,759-63,"['Varet, B', 'Cannat, A', 'Feingold, N', 'Wechsler, J', 'Levy, J P']","['Varet B', 'Cannat A', 'Feingold N', 'Wechsler J', 'Levy JP']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,,IM,"['Animals', 'Female', 'Gammaretrovirus', 'Histocompatibility Testing', 'Hybridization, Genetic', '*Leukemia Virus, Murine', 'Leukemia, Experimental/etiology', 'Leukemia, Myeloid/*etiology', 'Lymphocytes/*immunology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Rhabdomyosarcoma/*etiology', 'Sarcoma, Experimental/etiology', 'Spleen/*transplantation', 'Time Factors', 'Transplantation Immunology', 'Transplantation, Homologous', 'Tumor Virus Infections']",,1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1973 Apr;33(4):759-63.,,,,,,,,,,,
4348771,NLM,MEDLINE,19730607,20061115,0008-5472 (Print) 0008-5472 (Linking),33,4,1973 Apr,Studies of neoplastic myelomonocytic cells in BALB-c mice producing infectious C-type viruses.,671-8,"['Sanel, F T']",['Sanel FT'],['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['EC 1.11.1.- (Peroxidases)', 'EC 3.2.1.17 (Muramidase)']",IM,"['Animals', 'Bone Marrow/*microbiology', '*Bone Marrow Cells', 'Cell-Free System', 'Cells, Cultured', 'Complement Fixation Tests', 'Cytopathogenic Effect, Viral', 'Cytoplasmic Granules', 'Extracellular Space', 'Hematopoietic Stem Cells', 'Histiocytes', 'Leukemia Virus, Murine/*isolation & purification', 'Leukemia, Experimental/microbiology', 'Leukemia, Myeloid/enzymology/*microbiology/pathology', 'Megakaryocytes', 'Mice', 'Mice, Inbred BALB C', 'Microscopy, Electron', 'Monocytes/*microbiology', 'Muramidase/metabolism', 'Peroxidases/metabolism']",,1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1973 Apr;33(4):671-8.,,,,,,,,,,,
4348752,NLM,MEDLINE,19730607,20071115,0028-4793 (Print) 0028-4793 (Linking),288,19,1973 May 10,The use of drugs in combination for the treatment of cancer: rationale and results.,998-1006,"['DeVita, V T', 'Schein, P S']","['DeVita VT', 'Schein PS']",['eng'],"['Journal Article', 'Review']",United States,N Engl J Med,The New England journal of medicine,0255562,['0 (Antineoplastic Agents)'],IM,"['Animals', 'Antineoplastic Agents/*administration & dosage', 'Breast Neoplasms/drug therapy', 'Child', 'Dose-Response Relationship, Drug', 'Drug Resistance', 'Drug Synergism', 'Female', 'Gastrointestinal Neoplasms/drug therapy', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia L1210/drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Lymphoma/drug therapy', 'Male', 'Models, Biological', 'Neoplasms/*drug therapy/mortality', 'Neuroblastoma/drug therapy', 'Remission, Spontaneous', 'Testicular Neoplasms/drug therapy', 'Time Factors', 'Wilms Tumor/drug therapy']",75,1973/05/10 00:00,1973/05/10 00:01,['1973/05/10 00:00'],"['1973/05/10 00:00 [pubmed]', '1973/05/10 00:01 [medline]', '1973/05/10 00:00 [entrez]']",ppublish,N Engl J Med. 1973 May 10;288(19):998-1006. doi: 10.1056/NEJM197305102881905.,,,['10.1056/NEJM197305102881905 [doi]'],,,,,,,,
4348750,NLM,MEDLINE,19730607,20071115,0025-732X (Print) 0025-732X (Linking),15,3,1973 Feb 2,The choice of therapy in the treatment of malignancy.,9-16,,,['eng'],['Journal Article'],United States,Med Lett Drugs Ther,The Medical letter on drugs and therapeutics,2985240R,"['0 (Alkaloids)', '0 (Alkylating Agents)', '0 (Anti-Bacterial Agents)', '0 (Antimetabolites)', '0 (Hormones)']",IM,"['Adenocarcinoma/drug therapy', 'Adult', 'Alkaloids/therapeutic use', 'Alkylating Agents/therapeutic use', 'Anti-Bacterial Agents/therapeutic use', 'Antimetabolites/therapeutic use', 'Burkitt Lymphoma/drug therapy', 'Carcinoma/classification', 'Child', 'Hematologic Diseases/classification', 'Hormones/therapeutic use', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Neoplasms/classification/diagnosis/drug therapy/radiotherapy/surgery/*therapy', 'Sarcoma/drug therapy', 'Wilms Tumor/drug therapy']",,1973/02/02 00:00,1973/02/02 00:01,['1973/02/02 00:00'],"['1973/02/02 00:00 [pubmed]', '1973/02/02 00:01 [medline]', '1973/02/02 00:00 [entrez]']",ppublish,Med Lett Drugs Ther. 1973 Feb 2;15(3):9-16.,,,,,,,,,,,
4348712,NLM,MEDLINE,19730607,20031114,0041-1345 (Print) 0041-1345 (Linking),5,1,1973 Mar,Depressed allograft immunity in leukemia virus infected mice.,981-6,"['Friedman, H', 'Melnick, H', 'Mills, L', 'Ceglowski, W S']","['Friedman H', 'Melnick H', 'Mills L', 'Ceglowski WS']",['eng'],['Journal Article'],United States,Transplant Proc,Transplantation proceedings,0243532,,IM,"['Animals', 'Cell Migration Inhibition', 'Friend murine leukemia virus/immunology', 'Genotype', 'Graft Rejection', '*Immunity, Cellular', 'Leukemia Virus, Murine/*immunology', 'Macrophages/immunology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C3H', 'Mice, Inbred C57BL', '*Skin Transplantation', '*Transplantation Immunology', 'Transplantation, Homologous']",,1973/03/01 00:00,1973/03/01 00:01,['1973/03/01 00:00'],"['1973/03/01 00:00 [pubmed]', '1973/03/01 00:01 [medline]', '1973/03/01 00:00 [entrez]']",ppublish,Transplant Proc. 1973 Mar;5(1):981-6.,,,,,,,,,,,
4348690,NLM,MEDLINE,19730607,20190511,0006-8950 (Print) 0006-8950 (Linking),96,1,1973,Vincristine neuropathy. Clinical and electrophysiological observations.,69-86,"['Casey, E B', 'Jellife, A M', 'Le Quesne, P M', 'Millett, Y L']","['Casey EB', 'Jellife AM', 'Le Quesne PM', 'Millett YL']",['eng'],['Journal Article'],England,Brain,Brain : a journal of neurology,0372537,['5J49Q6B70F (Vincristine)'],IM,"['Action Potentials', 'Adult', 'Aged', 'Dose-Response Relationship, Drug', 'Electric Stimulation', 'Female', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Lymphoma, Large B-Cell, Diffuse/drug therapy', 'Lymphoma, Non-Hodgkin/drug therapy', 'Male', 'Median Nerve/physiopathology', 'Middle Aged', 'Motor Neurons/physiology', 'Neural Conduction', 'Paralysis/chemically induced/etiology', 'Peripheral Nerves/*physiopathology', 'Peripheral Nervous System Diseases/*chemically induced/physiopathology', 'Reflex, Monosynaptic/drug effects', 'Vincristine/administration & dosage/*adverse effects/therapeutic use']",,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",ppublish,Brain. 1973;96(1):69-86. doi: 10.1093/brain/96.1.69.,,,['10.1093/brain/96.1.69 [doi]'],,,,,,,,
4348580,NLM,MEDLINE,19730525,20200930,0037-9727 (Print) 0037-9727 (Linking),142,4,1973 Apr,Syncytial giant cell focus assay for viruses derived from feline leukemia and a simian sarcoma.,1077-82,"['Rangan, S R', 'Ueberhorst, P J', 'Wong, M C']","['Rangan SR', 'Ueberhorst PJ', 'Wong MC']",['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,,IM,"['Adsorption', 'Animals', 'Cats', 'Cell Line', '*Cell Nucleus', '*Cytopathogenic Effect, Viral', '*Leukemia Virus, Feline', 'Methods', '*Oncogenic Viruses', 'Rats', 'Sarcoma, Experimental', 'Virus Cultivation']",,1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1973 Apr;142(4):1077-82. doi: 10.3181/00379727-142-37180.,,,['10.3181/00379727-142-37180 [doi]'],,,,,,,,
4348514,NLM,MEDLINE,19730525,20190501,0007-1447 (Print) 0007-1447 (Linking),1,5855,1973 Mar 24,Association between malignant disease in children and maternal virus infections.,706-8,"['Bithell, J F', 'Draper, G J', 'Gorbach, P D']","['Bithell JF', 'Draper GJ', 'Gorbach PD']",['eng'],['Journal Article'],England,Br Med J,British medical journal,0372673,,IM,"['Chickenpox/complications', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Influenza, Human/complications', 'Leukemia/*etiology', 'Medulloblastoma/etiology', 'Neoplasms/*etiology', 'Pregnancy', '*Pregnancy Complications, Infectious', 'Retrospective Studies', 'Rubella/complications', 'Virus Diseases/*complications', 'Wilms Tumor/etiology']",,1973/03/24 00:00,1973/03/24 00:01,['1973/03/24 00:00'],"['1973/03/24 00:00 [pubmed]', '1973/03/24 00:01 [medline]', '1973/03/24 00:00 [entrez]']",ppublish,Br Med J. 1973 Mar 24;1(5855):706-8. doi: 10.1136/bmj.1.5855.706.,"The possibility of an association between virus infections during pregnancy and subsequent malignant disease in the child has been investigated using retrospective data from the Oxford Survey of Childhood Cancers. Such an association appears to exist for influenza, chickenpox, and possibly rubella. For influenza and rubella the estimated risk is small; the data do not permit an estimate to be made directly in the case of chickenpox. It is suggested that there may be a specific association between maternal chickenpox and tumours of the nervous system.It is important to emphasize that, even if the relative risk associated with these viruses is fairly large, the number of cases of childhood cancer and leukaemia actually attributable to them is probably very small.",PMC1588846,['10.1136/bmj.1.5855.706 [doi]'],,,,,,,,
4348497,NLM,MEDLINE,19730524,20190511,0022-1899 (Print) 0022-1899 (Linking),127,4,1973 Apr,Inhibition of oral shedding of herpes simplex virus by cytosine arabinoside.,442-4,"['Mankad, V N', 'Gershon, A A', 'Brunell, P A']","['Mankad VN', 'Gershon AA', 'Brunell PA']",['eng'],['Journal Article'],United States,J Infect Dis,The Journal of infectious diseases,0413675,"['0 (Immune Sera)', '0 (Immunoglobulin A)', '04079A1RDZ (Cytarabine)']",IM,"['Animals', 'Cell Line', 'Child', 'Complement Fixation Tests', 'Cytarabine/administration & dosage/pharmacology/*therapeutic use', 'Female', 'Gingivitis/complications/*drug therapy', 'Goats/immunology', 'Herpes Simplex/complications/*drug therapy', 'Humans', 'Immune Sera', 'Immunoglobulin A', 'Injections, Intravenous', 'Kidney/embryology', 'Leukemia, Lymphoid/complications', 'Saliva/immunology', 'Simplexvirus/*drug effects', 'Stomatitis/complications/*drug therapy', 'Viral Plaque Assay', 'Virus Replication/*drug effects']",,1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,J Infect Dis. 1973 Apr;127(4):442-4. doi: 10.1093/infdis/127.4.442.,,,['10.1093/infdis/127.4.442 [doi]'],,,,,,,,
