PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PS,FPS,TT,RN,RF,PMC,GR,OID
4884354,NLM,MEDLINE,19690318,20190618,0036-8075 (Print) 0036-8075 (Linking),162,3853,1968 Nov 1,Mutant Sl alleles of mice affect susceptibility to Friend spleen focus-forming virus.,564-5,"Mice of genotypes S1/S1(d), S1/+, and S1(d)/+ (but not S1(T)/S1(T) or S1(T)/+) were resistant to spleen focucs-forming virus. The ""environment"" in which hemopoietic target cells for this virus develop was not conducive for infection or focus formation, or both, but the target cells were not altered directly. The same genes appear to regulate hemopoiesis and leukemogenic transformation.","['Bennett, M', 'Steeves, R A', 'Cudkowicz, G', 'Mirand, E A', 'Russell, L B']","['Bennett M', 'Steeves RA', 'Cudkowicz G', 'Mirand EA', 'Russell LB']",['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,IM,"['*Alleles', 'Animals', 'Bone Marrow Transplantation', 'Cell Transformation, Neoplastic', 'Female', 'Friend murine leukemia virus/*pathogenicity', 'Genotype', 'Hematocrit', 'Hematopoiesis', 'Leukemia, Experimental/etiology', 'Male', 'Mice', '*Mutation', 'Spleen/*microbiology']",1968/11/01 00:00,1968/11/01 00:01,['1968/11/01 00:00'],"['1968/11/01 00:00 [pubmed]', '1968/11/01 00:01 [medline]', '1968/11/01 00:00 [entrez]']",['10.1126/science.162.3853.564 [doi]'],ppublish,Science. 1968 Nov 1;162(3853):564-5. doi: 10.1126/science.162.3853.564.,,,,,,,,
4883166,NLM,MEDLINE,19690220,20131121,0300-9076 (Print) 0300-9076 (Linking),28,,1967,[Action of the adrenal cortex hormones on lymphiod tissue].,197-228,,"['Tiollais, P']",['Tiollais P'],['fre'],"['Journal Article', 'Review']",France,Expos Annu Biochim Med,Exposes annuels de biochimie medicale,0071567,IM,"['Adrenal Cortex Hormones/*pharmacology', 'Amino Acids/metabolism', 'Animals', 'Carbon Isotopes', 'Cell Membrane/drug effects', 'Enzyme Induction', 'Glucose/metabolism', 'Glycine/metabolism', 'Histones/metabolism', 'Humans', 'Hydrocortisone/metabolism/therapeutic use', 'Leukemia/drug therapy', 'Leukemia, Experimental/drug therapy', 'Liver/drug effects/metabolism', 'Lymphoid Tissue/*drug effects', 'Lymphoma, Non-Hodgkin/enzymology', 'Neoplasms/metabolism', 'Neoplasms, Experimental/enzymology', 'Nucleic Acids/metabolism', 'Proteins/metabolism', 'Purines/metabolism', 'Pyrimidines/metabolism', 'RNA, Messenger/metabolism', 'Ribonucleases/metabolism']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",,ppublish,Expos Annu Biochim Med. 1967;28:197-228.,,,Action des hormones cortico-surrenales sur le tissu lymphoide.,"['0 (Adrenal Cortex Hormones)', '0 (Amino Acids)', '0 (Carbon Isotopes)', '0 (Histones)', '0 (Nucleic Acids)', '0 (Proteins)', '0 (Purines)', '0 (Pyrimidines)', '0 (RNA, Messenger)', 'EC 3.1.- (Ribonucleases)', 'IY9XDZ35W2 (Glucose)', 'TE7660XO1C (Glycine)', 'WI4X0X7BPJ (Hydrocortisone)']",108,,,
4883140,NLM,MEDLINE,19690219,20081121,0044-2542 (Print) 0044-2542 (Linking),23,8,1968 Apr 15,[Clinical experience report on the use of a new cytostatic 3393].,242-7,,"['Anger, G', 'Hesse, P', 'Kohler, P', 'Baufeld, H']","['Anger G', 'Hesse P', 'Kohler P', 'Baufeld H']",['ger'],"['Clinical Trial', 'Journal Article']",Germany,Z Gesamte Inn Med,Zeitschrift fur die gesamte innere Medizin und ihre Grenzgebiete,21730470R,IM,"['Antineoplastic Agents/*therapeutic use', 'Blood Sedimentation', 'Clinical Trials as Topic', 'Female', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Lymphatic Diseases/drug therapy', 'Male', 'Middle Aged', 'Neoplasms/*drug therapy', 'Plasmacytoma/drug therapy', 'Serum Albumin', 'Serum Globulins', 'Time Factors']",1968/04/15 00:00,1968/04/15 00:01,['1968/04/15 00:00'],"['1968/04/15 00:00 [pubmed]', '1968/04/15 00:01 [medline]', '1968/04/15 00:00 [entrez]']",,ppublish,Z Gesamte Inn Med. 1968 Apr 15;23(8):242-7.,,,Klinischer Erfahrungsbericht uber die Anwendung des neuen Zytostatikum 3393.,"['0 (Antineoplastic Agents)', '0 (Serum Albumin)', '0 (Serum Globulins)']",,,,
4883103,NLM,MEDLINE,19690219,20190725,0022-5193 (Print) 0022-5193 (Linking),20,2,1968 Aug,The life span of the cultured normal cell: concepts derived from studies of human lymphoblasts.,217-26,,"['Moore, G E', 'McLimans, W F']","['Moore GE', 'McLimans WF']",['eng'],"['Journal Article', 'Review']",England,J Theor Biol,Journal of theoretical biology,0376342,IM,"['Animals', 'Burkitt Lymphoma', 'Clone Cells/growth & development', 'Cricetinae', '*Culture Techniques', 'Herpesviridae', 'Humans', 'Infectious Mononucleosis', 'Karyotyping', 'Leukemia, Lymphoid', 'Leukemia, Myeloid', 'Lymphocyte Transfusion', 'Lymphocytes/*growth & development/metabolism', 'Lymphoma, Non-Hodgkin', 'Rats', 'Transplantation, Heterologous', 'Transplantation, Homologous']",1968/08/01 00:00,1968/08/01 00:01,['1968/08/01 00:00'],"['1968/08/01 00:00 [pubmed]', '1968/08/01 00:01 [medline]', '1968/08/01 00:00 [entrez]']","['0022-5193(68)90191-4 [pii]', '10.1016/0022-5193(68)90191-4 [doi]']",ppublish,J Theor Biol. 1968 Aug;20(2):217-26. doi: 10.1016/0022-5193(68)90191-4.,,,,,22,,,
4882977,NLM,MEDLINE,19690217,20031114,0363-0153 (Print) 0363-0153 (Linking),86,6,1968 Dec,Chronic magnesium deficiency in the rat. Studies of chronic myelogenous leukemia.,610-20,,"['Battifora, H A', 'McCreary, P A', 'Hahneman, B M', 'Laing, G H', 'Hass, G M']","['Battifora HA', 'McCreary PA', 'Hahneman BM', 'Laing GH', 'Hass GM']",['eng'],['Journal Article'],United States,Arch Pathol,Archives of pathology,7605251,IM,"['Animals', 'Bone Marrow Transplantation', 'Carcinogens', 'Chronic Disease', 'Diet', 'Karyotyping', 'Leukemia, Experimental/*etiology', 'Leukemia, Myeloid/*etiology/microbiology/pathology', 'Leukocytosis/etiology', 'Magnesium Deficiency/*complications/pathology', 'Male', 'Neoplasm Transplantation', 'Rats', 'Spleen/transplantation', 'Viruses/isolation & purification']",1968/12/01 00:00,1968/12/01 00:01,['1968/12/01 00:00'],"['1968/12/01 00:00 [pubmed]', '1968/12/01 00:01 [medline]', '1968/12/01 00:00 [entrez]']",,ppublish,Arch Pathol. 1968 Dec;86(6):610-20.,,,,['0 (Carcinogens)'],,,,
4882819,NLM,MEDLINE,19690216,20081212,0032-7867 (Print) 0032-7867 (Linking),76,44,1968 Nov 16,[Asparaginase].,2099-101,,"['Boiron, M', 'Jacquillat, C', 'Weil, M', 'Tanzer, J', 'Bernard, J']","['Boiron M', 'Jacquillat C', 'Weil M', 'Tanzer J', 'Bernard J']",['fre'],['Journal Article'],France,Presse Med,La Presse medicale,0312556,IM,"['Asparaginase/biosynthesis/*therapeutic use', 'Asparagine/metabolism', 'Escherichia coli/metabolism', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Lymphoma, Non-Hodgkin/drug therapy']",1968/11/16 00:00,1968/11/16 00:01,['1968/11/16 00:00'],"['1968/11/16 00:00 [pubmed]', '1968/11/16 00:01 [medline]', '1968/11/16 00:00 [entrez]']",,ppublish,Presse Med. 1968 Nov 16;76(44):2099-101.,,,L'asparaginase.,"['7006-34-0 (Asparagine)', 'EC 3.5.1.1 (Asparaginase)']",,,,
4882703,NLM,MEDLINE,19690214,20071115,0004-1955 (Print) 0004-1955 (Linking),29,12,1967,[Tumors and tumor-like formations in the thymus gland].,44-51,,"['Ageev, A K', 'Lentsner, O A']","['Ageev AK', 'Lentsner OA']",['rus'],['Journal Article'],Russia (Federation),Arkh Patol,Arkhiv patologii,0370604,IM,"['Hodgkin Disease/pathology', 'Leukemia/pathology', 'Lymphatic System/pathology', 'Lymphoma, Large B-Cell, Diffuse/pathology', 'Lymphoma, Non-Hodgkin/pathology', 'Mediastinal Neoplasms/pathology', 'Myasthenia Gravis/complications', 'Neoplasm Metastasis', '*Teratoma/pathology', '*Thymoma/classification/pathology', 'Thymus Gland/pathology', '*Thymus Hyperplasia/complications/pathology', '*Thymus Neoplasms/pathology']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",,ppublish,Arkh Patol. 1967;29(12):44-51.,,,Opukholi i opukholepodobyne obrazovaniia vilochkovoi zhelezy (timusa),,,,,
4882700,NLM,MEDLINE,19690214,20081121,0004-1955 (Print) 0004-1955 (Linking),28,5,1966,"[On the problem of the ""transitional"" forms of leukosis].",45-50,,"['Khokhlova, R N']",['Khokhlova RN'],['rus'],"['Case Reports', 'Journal Article']",Russia (Federation),Arkh Patol,Arkhiv patologii,0370604,IM,"['Adolescent', 'Adult', 'Aged', 'Bone Marrow/pathology', 'Female', 'Humans', 'Leukemia, Myeloid/*complications/radiotherapy', 'Liver/pathology', 'Lymph Nodes/pathology', 'Lymphatic Diseases/*etiology/pathology', 'Lymphoma, Large B-Cell, Diffuse/*etiology/pathology', 'Male', 'Methods', 'Middle Aged', 'Ovary/pathology', 'Skin/pathology', 'Spleen/pathology']",1966/01/01 00:00,1966/01/01 00:01,['1966/01/01 00:00'],"['1966/01/01 00:00 [pubmed]', '1966/01/01 00:01 [medline]', '1966/01/01 00:00 [entrez]']",,ppublish,Arkh Patol. 1966;28(5):45-50.,,,"K voprosy o ""perekhodnykh"" formakh leikoza.",,,,,
4882575,NLM,MEDLINE,19690207,20031114,0027-8874 (Print) 0027-8874 (Linking),41,6,1968 Dec,Antigenic characterization of heterozygous mouse lymphomas after immunoselection in vivo.,1411-29,,"['Bjaring, B', 'Klein, G']","['Bjaring B', 'Klein G']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', 'Antigen-Antibody Reactions', 'Antigens/*analysis', 'Antigens, Heterophile/analysis', 'Cytopathogenic Effect, Viral', 'Female', 'Fluorescent Antibody Technique', 'Genotype', 'Histocompatibility', 'Lymphoma/etiology/*immunology', 'Male', 'Mice', 'Moloney murine leukemia virus', 'Neoplasm Transplantation', 'Neoplasms, Experimental/*immunology', 'Radiation Effects']",1968/12/01 00:00,1968/12/01 00:01,['1968/12/01 00:00'],"['1968/12/01 00:00 [pubmed]', '1968/12/01 00:01 [medline]', '1968/12/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1968 Dec;41(6):1411-29.,,,,"['0 (Antigens)', '0 (Antigens, Heterophile)']",,,,
4882532,NLM,MEDLINE,19690207,20041117,0020-9554 (Print) 0020-9554 (Linking),9,7,1968 Jul,[Role of corticosteroids in the management of myeloproliferative diseases and neoplasms of the lymphoreticular tissue].,324-5,,"['Gerdes, H']",['Gerdes H'],['ger'],['Journal Article'],Germany,Internist (Berl),Der Internist,0264620,IM,"['Adrenal Cortex Hormones/*therapeutic use', 'Bone Marrow Diseases/*drug therapy', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia/drug therapy', 'Lymphoma/*drug therapy']",1968/07/01 00:00,1968/07/01 00:01,['1968/07/01 00:00'],"['1968/07/01 00:00 [pubmed]', '1968/07/01 00:01 [medline]', '1968/07/01 00:00 [entrez]']",,ppublish,Internist (Berl). 1968 Jul;9(7):324-5.,,,Die Rolle der Corticosteroide bei der Behandlung der myeloproliferativen Krankheiten und der Neoplasien des lymphoreticularen Gewebes.,['0 (Adrenal Cortex Hormones)'],,,,
4882397,NLM,MEDLINE,19690207,20161122,0033-832X (Print) 0033-832X (Linking),8,4,1968 Apr,[Differential diagnosis of sarcoidosis].,127-34,,"['Musshoff, K', 'Wurm, K', 'Reindell, H', 'Doll, E']","['Musshoff K', 'Wurm K', 'Reindell H', 'Doll E']",['ger'],['Journal Article'],Germany,Radiologe,Der Radiologe,0401257,IM,"['Adult', 'Carcinoma, Bronchogenic/diagnostic imaging', 'Diagnosis, Differential', 'Female', 'Hodgkin Disease/diagnostic imaging', 'Humans', 'Leukemia, Lymphoid/diagnosis', 'Lung Diseases/*diagnostic imaging', 'Lung Neoplasms/diagnostic imaging', 'Lymphoma/diagnostic imaging', 'Lymphoma, Follicular/diagnostic imaging', 'Male', 'Mediastinal Neoplasms/diagnostic imaging', 'Pulmonary Fibrosis/diagnostic imaging', 'Radiography', 'Sarcoidosis/*diagnostic imaging', 'Scleroderma, Systemic/complications', 'Tuberculosis, Miliary/diagnostic imaging', 'Tuberculosis, Pulmonary/diagnostic imaging']",1968/04/01 00:00,1968/04/01 00:01,['1968/04/01 00:00'],"['1968/04/01 00:00 [pubmed]', '1968/04/01 00:01 [medline]', '1968/04/01 00:00 [entrez]']",,ppublish,Radiologe. 1968 Apr;8(4):127-34.,,,Differentialdiagnose der Sarkoidose.,,,,,
4882377,NLM,MEDLINE,19690207,20041117,,16,7,1968 Apr,[Cytological study of 42 human and mouse hematopoietic tissue cultures. Considerations on the behavior of some cells].,383-95,,"['Mouriquand, C', 'Mouriquand, J', 'Arnaud, C']","['Mouriquand C', 'Mouriquand J', 'Arnaud C']",['fre'],['Journal Article'],France,Pathol Biol,Pathologie et biologie,0266544,IM,"['Animals', '*Bone Marrow', '*Bone Marrow Cells', 'Culture Techniques', 'Hematopoietic System/*pathology', 'Humans', 'Leukemia/*pathology', 'Lymph Nodes/*cytology', 'Lymphoma/*pathology', 'Mice', 'Microscopy, Electron', 'Sarcoidosis/*pathology', 'Spleen/*cytology']",1968/04/01 00:00,1968/04/01 00:01,['1968/04/01 00:00'],"['1968/04/01 00:00 [pubmed]', '1968/04/01 00:01 [medline]', '1968/04/01 00:00 [entrez]']",,ppublish,Pathol Biol. 1968 Apr;16(7):383-95.,,,Etude cytologique de 42 cultures de tissus hematopoietiques humains et murins. Considerations sur quelques comportements cellulaires.,,,,,
4882347,NLM,MEDLINE,19690207,20131121,0003-3898 (Print) 0003-3898 (Linking),26,7,1968 Jul-Sep,[Lymphocyte circulation in chronic lymphatic leukemia studied by labelling methods].,825-32,,"['Binet, J L', 'Laudat, P', 'Villeneuve, B', 'Becart, R', 'Bernard, J']","['Binet JL', 'Laudat P', 'Villeneuve B', 'Becart R', 'Bernard J']",['fre'],['Journal Article'],France,Ann Biol Clin (Paris),Annales de biologie clinique,2984690R,IM,"['Autoradiography', '*Blood Circulation', 'Humans', 'Leukemia, Lymphoid/*blood', '*Lymphocytes', 'Methods', '*Radioisotope Dilution Technique', 'Tritium', 'Uridine']",1968/07/01 00:00,1968/07/01 00:01,['1968/07/01 00:00'],"['1968/07/01 00:00 [pubmed]', '1968/07/01 00:01 [medline]', '1968/07/01 00:00 [entrez]']",,ppublish,Ann Biol Clin (Paris). 1968 Jul-Sep;26(7):825-32.,,,La circulation des lymphocytes dans la leucemie lymphoide chronique etudiee par les methodes de marquage.,"['10028-17-8 (Tritium)', 'WHI7HQ7H85 (Uridine)']",,,,
