PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,TT,RF,AID,CI,DEP,SI,CIN,CON,OID,OTO,OT,GN,CN,EIN,CRF,MID,LID
11868364,NLM,MEDLINE,20020403,20131121,0485-1439 (Print) 0485-1439 (Linking),43,1,2002 Jan,[Acute myelogenous leukemia associated with severe esophageal stricture after chemotherapy].,41-3,"A 41-year-old woman with relapsed acute myelogenous leukemia was treated twice with idarubicin hydrochloride and cytarabine. She developed a 6-cm-long stricture in the lower esophagus 12 days after re-induction therapy. Although she had preceding candida infection, it is suspected that her stricture was caused by mucosal damage due to chemotherapeutic agents. This case suggests that the possibility of esophageal stricture should be considered in patients with swallowing disturbance after intensive chemotherapy.","['Yata, Kenichiro', 'Yamada, Osamu', 'Iwato, Koji', 'Kyo, Taiichi', 'Otsuki, Takemi', 'Nakanishi, Hidekazu', 'Suetsugu, Yoshimasa', 'Mikami, Makoto', 'Wada, Hideho', 'Yawata, Yoshihito', 'Sugihara, Takashi']","['Yata K', 'Yamada O', 'Iwato K', 'Kyo T', 'Otsuki T', 'Nakanishi H', 'Suetsugu Y', 'Mikami M', 'Wada H', 'Yawata Y', 'Sugihara T']","['Division of Hematology, Department of Medicine, Kawasaki Medical School.']",['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['04079A1RDZ (Cytarabine)', 'ZRP63D75JW (Idarubicin)']",IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects/therapeutic use', 'Cytarabine/administration & dosage/adverse effects', 'Esophageal Stenosis/*chemically induced', 'Female', 'Humans', 'Idarubicin/administration & dosage/adverse effects', 'Leukemia, Myeloid, Acute/*drug therapy']",,2002/03/01 10:00,2002/04/04 10:01,['2002/03/01 10:00'],"['2002/03/01 10:00 [pubmed]', '2002/04/04 10:01 [medline]', '2002/03/01 10:00 [entrez]']",ppublish,Rinsho Ketsueki. 2002 Jan;43(1):41-3.,,6,,,,,,,,,,,,,,,
11868361,NLM,MEDLINE,20020403,20131121,0485-1439 (Print) 0485-1439 (Linking),43,1,2002 Jan,[Successful treatment with combined anti-thymocyte globulin and methylprednisolone for bronchiolitis obliterans after allogeneic bone marrow transplantation in a child with chronic myelogenous leukemia].,23-8,"A 9-year-old boy with secondary chronic myelogenous leukemia after treatment of acute lymphoblastic leukemia underwent allogeneic bone marrow transplantation (BMT) from an HLA-identical sibling in December 1998. Grade II acute GVHD developed on day 24 and chronic GVHD developed 5 months after BMT. Cough and dyspnea appeared 9 months after BMT. Despite administration of tacrolimus and methylprednisolone (m-PSL) pulse therapy, the dyspnea gradually increased in severity. Bronchiolitis obliterans was diagnosed on the basis of lung biopsy in January 1999. Because renal dysfunction made it difficult to continue the use of tacrolimus, we attempted antithymocyte globulin (ATG) + m-PSL therapy. Major BCR/ABL mRNA was transiently positive on RT-PCR after the ATG + m-PSL therapy, but no severe complications were observed. A decreasing V50/V25 level and increasing peak flow value were observed in respiratory function tests after ATG + m-PSL therapy, and the patient is currently free of dyspnea. Our findings suggest that ATG + m-PSL therapy is beneficIal for patients with drug-resistant bronchiolitis obliterans after BMT.","['Sano, Hideki', 'Kikuta, Atsushi', 'Ito, Masaki', 'Nemoto, Kenji', 'Hojo, Hiroshi', 'Ohto, Hitoshi']","['Sano H', 'Kikuta A', 'Ito M', 'Nemoto K', 'Hojo H', 'Ohto H']","['Department of Pediatrics, Fukushima Medical University School of Medicine.']",['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Anti-Inflammatory Agents)', '0 (Antilymphocyte Serum)', 'X4W7ZR7023 (Methylprednisolone)']",IM,"['Anti-Inflammatory Agents/*administration & dosage', 'Antilymphocyte Serum/*administration & dosage', 'Bone Marrow Transplantation/*adverse effects', 'Bronchiolitis Obliterans/etiology/*therapy', 'Child', 'Drug Therapy, Combination', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Male', 'Methylprednisolone/*administration & dosage', 'Postoperative Complications/therapy']",,2002/03/01 10:00,2002/04/04 10:01,['2002/03/01 10:00'],"['2002/03/01 10:00 [pubmed]', '2002/04/04 10:01 [medline]', '2002/03/01 10:00 [entrez]']",ppublish,Rinsho Ketsueki. 2002 Jan;43(1):23-8.,,,,,,,,,,,,,,,,,
11868353,NLM,MEDLINE,20020408,20131121,0006-8969 (Print) 0006-8969 (Linking),54,1,2002 Jan,[A case of FK 506-induced leukoencephalopathy].,51-5,"We reported a 15-year-old boy with an acute myelomonocytic leukemia and FK 506-induced leukoencephalopathy. He was received FK 506 for graft versus host disease occurred after peripheral blood stem cell transplantation. He, four weeks later, had generalized seizures and consciousness disturbance. The serum level of FK 506 was high (27.5 ng/ml). His brain MRI showed abnormal high intensity areas in the frontal and parietal white matter lesions on T2-weighted images. Neuropathological studies revealed the destruction of myelin sheeths and axons in the cerebral white matter corresponded with abnormal lesions on MRI. There were calcification and mineralization in the small vessel walls of the cortex and white matter. Osteopontin immunoreactivity was detected in the endothelial cells of small vessels. These findings suggest that the vascular damage was involved in the FK 506-induced leukoencephalopathy.","['Okoshi, Yumi', 'Itoh, Masayuki', 'Okimoto, Yuri', 'Horie, Hiroshi', 'Takashima, Sachio']","['Okoshi Y', 'Itoh M', 'Okimoto Y', 'Horie H', 'Takashima S']","[""Department of Hematology and Oncology, Chiba Children's Hospital.""]",['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article']",Japan,No To Shinkei,No to shinkei = Brain and nerve,0413550,"['0 (Immunosuppressive Agents)', 'WM0HAQ4WNM (Tacrolimus)']",IM,"['Adolescent', 'Brain Diseases/*chemically induced/diagnosis', 'Graft vs Host Disease/*drug therapy', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Immunosuppressive Agents/*adverse effects', 'Leukemia, Myelomonocytic, Acute/therapy', 'Magnetic Resonance Imaging', 'Male', 'Tacrolimus/*adverse effects']",,2002/03/01 10:00,2002/04/09 10:01,['2002/03/01 10:00'],"['2002/03/01 10:00 [pubmed]', '2002/04/09 10:01 [medline]', '2002/03/01 10:00 [entrez]']",ppublish,No To Shinkei. 2002 Jan;54(1):51-5.,,,,,,,,,,,,,,,,,
11868094,NLM,MEDLINE,20020328,20200330,0938-7994 (Print) 0938-7994 (Linking),12,1,2002 Jan,CT findings of leukemic pulmonary infiltration with pathologic correlation.,166-74,"The aim of this study was to demonstrate the characteristic CT findings of leukemic pulmonary infiltration based on the pathologic findings. The CT findings of 11 leukemic patients with leukemic pulmonary infiltration were compared with those of 22 leukemic patients with other diseases as a control group. Evaluated pulmonary parenchymal CT findings included thickening of bronchovascular bundles and interlobular septa, prominence of peripheral pulmonary arteries, ground-glass opacities, air-space consolidation, and nodules. The CT-pathologic correlations for leukemic infiltration were evaluated in 7 patients. Frequent parenchymal CT findings were thickening of bronchovascular bundles (81.8%), prominence of peripheral pulmonary arteries (81.8%), and non-lobular and non-segmental ground-glass opacities (90.9%). The first two findings were significantly more frequently observed in leukemic infiltration than in the control group, had good interobserver agreement, and corresponded pathologically to leukemic cell infiltration around the pulmonary arteries, bronchi, or bronchioles. Non-lobular and non-segmental ground-glass opacity corresponded to leukemic cell infiltration within alveolar spaces and septa adjacent to the pulmonary arteries or bronchi and also corresponded to hemorrhage, edema, or diffuse alveolar damage. Thickening of bronchovascular bundles and prominence of peripheral pulmonary arteries are CT findings suggestive for leukemic infiltration and correspond to peribronchovascular tumor extension.","['Tanaka, Nobuyuki', 'Matsumoto, Tsuneo', 'Miura, Gouji', 'Emoto, Takuya', 'Matsunaga, Naofumi', 'Satoh, Yutaka', 'Oka, Yoshitomo']","['Tanaka N', 'Matsumoto T', 'Miura G', 'Emoto T', 'Matsunaga N', 'Satoh Y', 'Oka Y']","['Department of Radiology, Yamaguchi University School of Medicine, 1-1-1 Minamikogushi, Ube, Yamaguchi 755-8505, Japan. ntanaka@po.cc.yamaguchi-u.ac.jp']",['eng'],,['Journal Article'],Germany,Eur Radiol,European radiology,9114774,,IM,"['Adult', 'Aged', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Leukemia, Plasma Cell/*pathology', 'Leukemia-Lymphoma, Adult T-Cell/*pathology', 'Leukemic Infiltration/*diagnostic imaging', 'Lung/*diagnostic imaging/*pathology', 'Male', 'Middle Aged', 'Predictive Value of Tests', 'Retrospective Studies', '*Tomography, X-Ray Computed']",,2002/02/28 10:00,2002/03/29 10:01,['2002/02/28 10:00'],"['2001/02/08 00:00 [received]', '2001/05/16 00:00 [revised]', '2001/05/23 00:00 [accepted]', '2002/02/28 10:00 [pubmed]', '2002/03/29 10:01 [medline]', '2002/02/28 10:00 [entrez]']",ppublish,Eur Radiol. 2002 Jan;12(1):166-74. doi: 10.1007/s003300101013. Epub 2001 Oct 9.,,,['10.1007/s003300101013 [doi]'],,20011009,,,,,,,,,,,,
11868092,NLM,MEDLINE,20020328,20200330,0938-7994 (Print) 0938-7994 (Linking),12,1,2002 Jan,Cerebral and spinal cord involvement resulting from invasive aspergillosis.,147-50,"Although central nervous system involvement in disseminated aspergillosis is known to occur in immunocompromised patients, particularly after bone marrow transplantation, localized involvement of the spinal cord is exceedingly rare. In this report we present and illustrate detailed imaging findings of central nervous system invasion by Aspergillus fumigatus in a 30-year-old woman, with emphasis on the spinal cord involvement.","['Guermazi, A', 'Benchaib, N', 'Zagdanski, A M', 'Hocqueloux, L', 'Rili, M', 'Molina, J M', 'de Kerviler, E']","['Guermazi A', 'Benchaib N', 'Zagdanski AM', 'Hocqueloux L', 'Rili M', 'Molina JM', 'de Kerviler E']","['Department of Radiology, Saint-Louis Hospital, AP-HP, 1 avenue Claude Vellefaux, 75010 Paris, France. guermazi@chu-stlouis.fr']",['eng'],,"['Case Reports', 'Journal Article']",Germany,Eur Radiol,European radiology,9114774,,IM,"['Adult', 'Aspergillus fumigatus/*isolation & purification', 'Bone Marrow Transplantation', 'Cerebral Cortex/pathology', 'Cerebral Infarction/*diagnosis/microbiology', 'Fatal Outcome', 'Female', 'Humans', 'Leukemia, Myeloid/complications', 'Neuroaspergillosis/*diagnosis/etiology', 'Spinal Cord/pathology', 'Spinal Cord Diseases/*diagnosis/microbiology']",,2002/02/28 10:00,2002/03/29 10:01,['2002/02/28 10:00'],"['2001/01/05 00:00 [received]', '2001/03/26 00:00 [revised]', '2001/04/02 00:00 [accepted]', '2002/02/28 10:00 [pubmed]', '2002/03/29 10:01 [medline]', '2002/02/28 10:00 [entrez]']",ppublish,Eur Radiol. 2002 Jan;12(1):147-50. doi: 10.1007/s003300100957. Epub 2001 Jun 19.,,,['10.1007/s003300100957 [doi]'],,20010619,,,,,,,,,,,,
11867721,NLM,MEDLINE,20020426,20181113,0027-8424 (Print) 0027-8424 (Linking),99,5,2002 Mar 5,Genomic DNA breakpoints in AML1/RUNX1 and ETO cluster with topoisomerase II DNA cleavage and DNase I hypersensitive sites in t(8;21) leukemia.,3070-5,"The translocation t(8;21)(q22;q22) is one of the most frequent chromosome translocations in acute myeloid leukemia (AML). AML1/RUNX1 at 21q22 is involved in t(8;21), t(3;21), and t(16;21) in de novo and therapy-related AML and myelodysplastic syndrome as well as in t(12;21) in childhood B cell acute lymphoblastic leukemia. Although DNA breakpoints in AML1 and ETO (at 8q22) cluster in a few introns, the mechanisms of DNA recombination resulting in t(8;21) are unknown. The correlation of specific chromatin structural elements, i.e., topoisomerase II (topo II) DNA cleavage sites, DNase I hypersensitive sites, and scaffold-associated regions, which have been implicated in chromosome recombination with genomic DNA breakpoints in AML1 and ETO in t(8;21) is unknown. The breakpoints in AML1 and ETO were clustered in the Kasumi 1 cell line and in 31 leukemia patients with t(8;21); all except one had de novo AML. Sequencing of the breakpoint junctions revealed no common DNA motif; however, deletions, duplications, microhomologies, and nontemplate DNA were found. Ten in vivo topo II DNA cleavage sites were mapped in AML1, including three in intron 5 and seven in intron 7a, and two were in intron 1b of ETO. All strong topo II sites colocalized with DNase I hypersensitive sites and thus represent open chromatin regions. These sites correlated with genomic DNA breakpoints in both AML1 and ETO, thus implicating them in the de novo 8;21 translocation.","['Zhang, Yanming', 'Strissel, Pamela', 'Strick, Reiner', 'Chen, Jianjun', 'Nucifora, Giuseppina', 'Le Beau, Michelle M', 'Larson, Richard A', 'Rowley, Janet D']","['Zhang Y', 'Strissel P', 'Strick R', 'Chen J', 'Nucifora G', 'Le Beau MM', 'Larson RA', 'Rowley JD']","['Section of Hematology/Oncology, Department of Medicine, University of Chicago, Chicago, IL 60637, USA.']",['eng'],"['CA40046/CA/NCI NIH HHS/United States', 'CA72675/CA/NCI NIH HHS/United States', 'P01 CA040046/CA/NCI NIH HHS/United States', 'R01 CA072675/CA/NCI NIH HHS/United States', 'R01 CA067189/CA/NCI NIH HHS/United States', 'R01 CA084405/CA/NCI NIH HHS/United States', 'CA67189/CA/NCI NIH HHS/United States', 'CA84405/CA/NCI NIH HHS/United States', 'R29 CA067189/CA/NCI NIH HHS/United States', 'CA42557/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 Translocation Partner 1 Protein)', '0 (RUNX1 protein, human)', '0 (RUNX1T1 protein, human)', '0 (Transcription Factors)', 'EC 3.1.21.1 (Deoxyribonuclease I)', 'EC 5.99.1.3 (DNA Topoisomerases, Type II)']",IM,"['Adult', 'Aged', 'Binding Sites', 'Child', '*Chromosomes, Human, Pair 21', '*Chromosomes, Human, Pair 8', 'Cloning, Molecular', 'Core Binding Factor Alpha 2 Subunit', 'DNA Topoisomerases, Type II/*metabolism', 'DNA, Neoplasm/*metabolism', 'DNA-Binding Proteins/*genetics', 'Deoxyribonuclease I/*metabolism', 'Female', 'Humans', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', 'Multigene Family', 'Neoplasm Proteins/*genetics', 'Proto-Oncogene Proteins/*genetics', 'RUNX1 Translocation Partner 1 Protein', 'Transcription Factors/*genetics', '*Translocation, Genetic', 'Tumor Cells, Cultured']",PMC122474,2002/02/28 10:00,2002/04/27 10:01,['2002/02/28 10:00'],"['2002/02/28 10:00 [pubmed]', '2002/04/27 10:01 [medline]', '2002/02/28 10:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 2002 Mar 5;99(5):3070-5. doi: 10.1073/pnas.042702899. Epub 2002 Feb 26.,,,"['10.1073/pnas.042702899 [doi]', '042702899 [pii]']",,20020226,,,,,,,,,,,,
11867687,NLM,MEDLINE,20020320,20131121,0741-5400 (Print) 0741-5400 (Linking),71,3,2002 Mar,Engagement of alpha4beta1 integrin by fibronectin induces in vitro resistance of B chronic lymphocytic leukemia cells to fludarabine.,495-502,"B-cell chronic lymphocytic leukemia is characterized by the accumulation of malignant B lymphocytes as a result of abnormal survival signals operating in vivo. Previously, we showed that adhesion of B-CLL cells to the fibronectin fragment H89, a ligand for alpha4beta1 integrin, prevents their spontaneous apoptosis in vitro. We have now studied whether alpha4beta1/H89 interaction affected the response of B-CLL cells to the therapeutic drug fludarabine. B-CLL cells cultured on H89 during treatment with fludarabine showed significantly higher mean viability (P<0.05) than cells cultured on the control polylysine for all doses of drug tested. Similar results were obtained with the EHEB cell line. Analysis of the expression of Bcl-2-family proteins after 48 h of fludarabine treatment revealed that Bcl-xL levels were significantly higher (P<0.05) for cells cultured on H89 than on polylysine and correlated (r=0.56, P<0.05) with the increased cell viability observed on H89 cultures. These results indicate that Bcl-xL is involved in the survival signals induced by alpha4beta1 ligation and may contribute to the progressive drug resistance observed in B-CLL.","['de la Fuente, Maria Teresa', 'Casanova, Benito', 'Moyano, Jose V', 'Garcia-Gila, Mercedes', 'Sanz, Laura', 'Garcia-Marco, Jose', 'Silva, Augusto', 'Garcia-Pardo, Angeles']","['de la Fuente MT', 'Casanova B', 'Moyano JV', 'Garcia-Gila M', 'Sanz L', 'Garcia-Marco J', 'Silva A', 'Garcia-Pardo A']","['Departamento de Inmunologia, Centro de Investigaciones Biologicas, CSIC, Velazquez 144, 28006 Madrid, Spain.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Leukoc Biol,Journal of leukocyte biology,8405628,"['0 (Antineoplastic Agents)', '0 (BCL2L1 protein, human)', '0 (Fibronectins)', '0 (Integrin alpha4beta1)', '0 (Integrins)', '0 (Peptide Fragments)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Receptors, Lymphocyte Homing)', '0 (bcl-X Protein)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Aged', 'Aged, 80 and over', 'Antineoplastic Agents/*pharmacology/therapeutic use', 'Apoptosis/drug effects', '*Drug Resistance, Neoplasm', 'Female', 'Fibronectins/*metabolism', 'Humans', 'Integrin alpha4beta1', 'Integrins/*metabolism', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/metabolism/pathology', 'Male', 'Middle Aged', 'Peptide Fragments/metabolism', 'Proto-Oncogene Proteins c-bcl-2/metabolism', 'Receptors, Lymphocyte Homing/*metabolism', 'Tumor Cells, Cultured', 'Vidarabine/analogs & derivatives/*pharmacology/therapeutic use', 'bcl-X Protein']",,2002/02/28 10:00,2002/03/21 10:01,['2002/02/28 10:00'],"['2002/02/28 10:00 [pubmed]', '2002/03/21 10:01 [medline]', '2002/02/28 10:00 [entrez]']",ppublish,J Leukoc Biol. 2002 Mar;71(3):495-502.,,,,,,,,,,,,,,,,,
11867680,NLM,MEDLINE,20020320,20080506,0741-5400 (Print) 0741-5400 (Linking),71,3,2002 Mar,Functional characterization of podia formation in normal and malignant hematopoietic cells.,425-32,"Hematopoietic cells extend multiple podia of yet unknown function. Our morphological studies using scanning electron microscopy and functional studies using time-lapse video microscopy suggest that podia formed by CD34+ hematopoietic stem cells (HSC) on the bone marrow stroma component fibronectin are characteristic of lamellipodia at the leading edge and uropodia at the trailing edge, cytoskeletal structures that have previously been shown to be responsible for cell locomotion of lymphocytes. In the leukemic cells studied here, stroma-derived factor-1alpha (SDF-1alpha) led to a significant eightfold increase in transmigration (BCR-ABL-positive BV173 leukemia cell line; P<0.05) and podia formation in all BCR-ABL-positive leukemic cell lines studied (BV173, K562, 32Dp210) and in two of three BCR-ABL-negative lines (HL60, 32D, not KG1a). We could show that SDF-1alpha exposure led to a down-regulation of the gene expression of the chemokine receptors CCR4, CXCR4, and CXCR5, which are associated with cell motility and podia formation, indicating a negative feedback control. In BCR-ABL-positive leukemic cells, the effects of SDF-1alpha on podia formation and cell migration were independent of BCR-ABL-tyrosine kinase activity. Our data are compatible with the hypothesis that formation of specific podia by hematopoietic cells is associated with egression of these cells from the bone marrow.","['Fruehauf, S', 'Srbic, K', 'Seggewiss, R', 'Topaly, J', 'Ho, A D']","['Fruehauf S', 'Srbic K', 'Seggewiss R', 'Topaly J', 'Ho AD']","['Department of Internal Medicine V, University of Heidelberg, Hospitalstrasse 3, D-69115 Heidelberg, Germany. stefan_fruehauf@med.uni-heidelberg.de']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Leukoc Biol,Journal of leukocyte biology,8405628,"['0 (CCR4 protein, human)', '0 (CXCL12 protein, human)', '0 (CXCR5 protein, human)', '0 (Chemokine CXCL12)', '0 (Chemokines, CXC)', '0 (Fibronectins)', '0 (Receptors, CCR4)', '0 (Receptors, CXCR4)', '0 (Receptors, CXCR5)', '0 (Receptors, Chemokine)', '0 (Receptors, Cytokine)']",IM,"['*Cell Movement/drug effects', 'Chemokine CXCL12', 'Chemokines, CXC/metabolism', 'Fibronectins', 'Hematologic Neoplasms/*pathology', 'Hematopoietic Stem Cells/metabolism/*pathology/*ultrastructure', 'Humans', 'Microscopy, Video', 'Pseudopodia/drug effects/*ultrastructure', 'Receptors, CCR4', 'Receptors, CXCR4/metabolism', 'Receptors, CXCR5', 'Receptors, Chemokine/metabolism', 'Receptors, Cytokine/metabolism', 'Tumor Cells, Cultured']",,2002/02/28 10:00,2002/03/21 10:01,['2002/02/28 10:00'],"['2002/02/28 10:00 [pubmed]', '2002/03/21 10:01 [medline]', '2002/02/28 10:00 [entrez]']",ppublish,J Leukoc Biol. 2002 Mar;71(3):425-32.,,,,,,,,,,,,,,,,,
11867505,NLM,MEDLINE,20020321,20071115,1055-9965 (Print) 1055-9965 (Linking),11,2,2002 Feb,Diagnostic X-rays and ultrasound exposure and risk of childhood acute lymphoblastic leukemia by immunophenotype.,177-85,"The objective of this study was to evaluate the association between in utero diagnostic X-rays and childhood acute lymphoblastic leukemia (ALL) and the less well-studied relationship of this malignancy to preconception and postnatal diagnostic X-rays or fetal ultrasound exposures. The Children's Cancer Group conducted a case-control study including interviews with parents of 1842 ALL cases diagnosed under the age of 15 years and 1986 individually matched controls. Associations of self-reported parental preconception, in utero, and postnatal X-ray exposure with risk of childhood ALL were examined using odds ratios (ORs) and corresponding 95% confidence intervals (CIs) obtained from logistic regression models among the overall group of ALL cases as well as immunophenotypic and age-specific subgroups. Overall, in utero pelvimetric diagnostic X-rays were not associated with the risk of pediatric ALL (OR, 1.2; 95% CI, 0.8-1.7). Childhood ALL, all types combined (OR, 1.1; 95% CI, 0.9-1.2) and specific types were also not linked with postnatal diagnostic X-ray exposures. Neither maternal (OR, 0.9; 95% CI, 0.8-1.2) nor paternal (OR, 1.1; 95% CI, 0.8-1.4) lower abdominal preconception diagnostic X-rays were associated with risk of childhood ALL. Among the multiple comparisons for age-, sex-, and subtype-specific subgroups, we observed an elevated risk of total ALL among children ages 11-14 at diagnosis (OR, 2.4; 95% CI, 1.1-5.0) in relation to in utero pelvimetric diagnostic X-ray exposures and a small increase in pre-B ALL for all ages combined (OR, 1.7; 95% CI, 1.1-2.7) in relation to postnatal diagnostic X-rays. In utero diagnostic ultrasound tests were not linked with risk of childhood ALL. We found little consistent evidence that in utero diagnostic ultrasound tests or X-rays were linked with an increased risk of childhood ALL. Small increases in total or pre-B ALL risks for children in selected age groups to very low ionizing radiation exposures from postnatal or preconception diagnostic X-ray exposures may represent chance findings or biases. Future studies of diagnostic X-rays and childhood leukemia in the United States will require extensive additional efforts and resources to quantify risk because of declining in utero exposures in the general population (thus necessitating large numbers of subjects, particularly cases) and the difficulty in validating reported exposures.","['Shu, Xiao Ou', 'Potter, John D', 'Linet, Martha S', 'Severson, Richard K', 'Han, Dehui', 'Kersey, John H', 'Neglia, Joseph P', 'Trigg, Michael E', 'Robison, Leslie L']","['Shu XO', 'Potter JD', 'Linet MS', 'Severson RK', 'Han D', 'Kersey JH', 'Neglia JP', 'Trigg ME', 'Robison LL']","['University of Minnesota, Minneapolis, Minnesota, USA. xiao.ou.shu@vanderbilt.edu']",['eng'],['CA 48051/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Epidemiol Biomarkers Prev,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",9200608,,IM,"['Adolescent', 'Case-Control Studies', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immunophenotyping', 'Infant', 'Infant, Newborn', 'Logistic Models', 'Male', 'Pelvimetry', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology/*etiology/immunology', 'Pregnancy', '*Prenatal Exposure Delayed Effects', 'Risk Factors', 'Ultrasonography, Prenatal/*adverse effects', 'X-Rays/*adverse effects']",,2002/02/28 10:00,2002/03/22 10:01,['2002/02/28 10:00'],"['2002/02/28 10:00 [pubmed]', '2002/03/22 10:01 [medline]', '2002/02/28 10:00 [entrez]']",ppublish,Cancer Epidemiol Biomarkers Prev. 2002 Feb;11(2):177-85.,,,,,,,,,,,,,,,,,
11867266,NLM,MEDLINE,20020514,20190901,0960-0760 (Print) 0960-0760 (Linking),80,1,2002 Jan,"Expression of Bcl-2, Bcl-x, Mcl-1, Bax and Bak in human uterine leiomyomas and myometrium during the menstrual cycle and after menopause.",77-83,"To investigate the expression of Bcl-2, Bcl-x, Mcl-1, Bax and Bak proteins in human uterine leiomyomas and homologous myometrium during the menstrual cycle and after menopause. The expression of Bcl-2, Bcl-x, Mcl-1, Bax and Bak in leiomyomas (n=24) and myometrial samples (n=22) from women with leiomyomas was measured by immunohistochemistry and Western blot. Measured by immunohistochemistry, a significant difference between leiomyomas and myometrium was observed only for the Bax protein, in tissues obtained from women in the secretory phase of the menstrual cycle. The Bcl-2 staining was more abundant in leiomyomas than in myometrium only in tissues obtained in the proliferative phase of the cycle. Bcl-2 was more abundant in leiomyomas from women of fertile age than in leiomyomas from menopausal women. No significant differences were observed for the Bcl-x or Bak proteins, whereas the Mcl-1 protein was significantly less abundant in secretory phase leiomyomas than in leiomyomas from menopausal women. Western blot analysis based on pools of tissue extracts from the different groups essentially confirmed the data obtained by immunohistochemistry. Bcl-2 family proteins are expressed in leiomyomas and myometrium in different phases related to and influenced by gonadal steroids. These proteins are suggested to interact with each other in the regulation of programmed cell death, apoptosis, but their specific role in growth control of uterine leiomyomas remains to be investigated.","['Wu, Xuxia', 'Blanck, Agneta', 'Olovsson, Matts', 'Henriksen, Rudi', 'Lindblom, Bo']","['Wu X', 'Blanck A', 'Olovsson M', 'Henriksen R', 'Lindblom B']","[""Section for Obstetrics and Gynecology, Department of Women's and Children's Health, Uppsala University, SE-751 85 Uppsala, Sweden. xuxia.wu@kbh.ki.se""]",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Steroid Biochem Mol Biol,The Journal of steroid biochemistry and molecular biology,9015483,"['0 (BAK1 protein, human)', '0 (BAX protein, human)', '0 (BCL2L1 protein, human)', '0 (Membrane Proteins)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (bcl-2 Homologous Antagonist-Killer Protein)', '0 (bcl-2-Associated X Protein)', '0 (bcl-X Protein)']",IM,"['Apoptosis/physiology', 'Female', 'Humans', 'Immunoblotting', 'Leiomyoma/*metabolism/pathology', 'Membrane Proteins/genetics/*metabolism', 'Menopause/metabolism', 'Menstrual Cycle/physiology', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Myometrium/*metabolism', 'Neoplasm Proteins/genetics/metabolism', 'Proto-Oncogene Proteins/genetics/*metabolism', 'Proto-Oncogene Proteins c-bcl-2/genetics/*metabolism', 'Uterine Neoplasms/pathology/*physiopathology', 'bcl-2 Homologous Antagonist-Killer Protein', 'bcl-2-Associated X Protein', 'bcl-X Protein']",,2002/02/28 10:00,2002/05/15 10:01,['2002/02/28 10:00'],"['2002/02/28 10:00 [pubmed]', '2002/05/15 10:01 [medline]', '2002/02/28 10:00 [entrez]']",ppublish,J Steroid Biochem Mol Biol. 2002 Jan;80(1):77-83. doi: 10.1016/s0960-0760(01)00177-7.,,,"['S0960076001001777 [pii]', '10.1016/s0960-0760(01)00177-7 [doi]']",,,,,,,,,,,,,,
