PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,EIN,CIN,CON,TT,PMC,CI,GR,MID,CN,GN,LID,SI,COIS,PS,FPS,RIN,OID,OTO,OT
17170124,NLM,MEDLINE,20070523,20210206,0006-4971 (Print) 0006-4971 (Linking),109,8,2007 Apr 15,Five members of the CEBP transcription factor family are targeted by recurrent IGH translocations in B-cell precursor acute lymphoblastic leukemia (BCP-ALL).,3451-61,"CCAAT enhancer-binding protein (CEBP) transcription factors play pivotal roles in proliferation and differentiation, including suppression of myeloid leukemogenesis. Mutations of CEBPA are found in a subset of acute myeloid leukemia (AML) and in some cases of familial AML. Here, using cytogenetics, fluorescence in situ hybridization (FISH), and molecular cloning, we show that 5 CEBP gene family members are targeted by recurrent IGH chromosomal translocations in BCP-ALL. Ten patients with t(8;14)(q11;q32) involved CEBPD on chromosome 8, and 9 patients with t(14;19)(q32;q13) involved CEBPA, while a further patient involved CEBPG, located 71 kb telomeric of CEBPA in chromosome band 19q13; 4 patients with inv(14)(q11q32)/t(14;14)(q11;q32) involved CEBPE and 3 patients with t(14;20)(q32;q13) involved CEBPB. In 16 patients the translocation breakpoints were cloned using long-distance inverse-polymerase chain reaction (LDI-PCR). With the exception of CEBPD breakpoints, which were scattered within a 43-kb region centromeric of CEBPD, translocation breakpoints were clustered immediately 5' or 3' of the involved CEBP gene. Except in 1 patient with t(14;14)(q11;q32), the involved CEBP genes retained germ-line sequences. Quantitative reverse transcription (RT)-PCR showed overexpression of the translocated CEBP gene. Our findings implicate the CEBP gene family as novel oncogenes in BCP-ALL, and suggest opposing functions of CEBP dysregulation in myeloid and lymphoid leukemogenesis.","['Akasaka, Takashi', 'Balasas, Theodore', 'Russell, Lisa J', 'Sugimoto, Kei-ji', 'Majid, Aneela', 'Walewska, Renata', 'Karran, E Loraine', 'Brown, David G', 'Cain, Kelvin', 'Harder, Lana', 'Gesk, Stefan', 'Martin-Subero, Jose Ignacio', 'Atherton, Mark G', 'Bruggemann, Monika', 'Calasanz, Maria Jose', 'Davies, Teresa', 'Haas, Oskar A', 'Hagemeijer, Anne', 'Kempski, Helena', 'Lessard, Michel', 'Lillington, Debra M', 'Moore, Sarah', 'Nguyen-Khac, Florence', 'Radford-Weiss, Isabelle', 'Schoch, Claudia', 'Struski, Stephanie', 'Talley, Polly', 'Welham, Melanie J', 'Worley, Helen', 'Strefford, Jon C', 'Harrison, Christine J', 'Siebert, Reiner', 'Dyer, Martin J S']","['Akasaka T', 'Balasas T', 'Russell LJ', 'Sugimoto KJ', 'Majid A', 'Walewska R', 'Karran EL', 'Brown DG', 'Cain K', 'Harder L', 'Gesk S', 'Martin-Subero JI', 'Atherton MG', 'Bruggemann M', 'Calasanz MJ', 'Davies T', 'Haas OA', 'Hagemeijer A', 'Kempski H', 'Lessard M', 'Lillington DM', 'Moore S', 'Nguyen-Khac F', 'Radford-Weiss I', 'Schoch C', 'Struski S', 'Talley P', 'Welham MJ', 'Worley H', 'Strefford JC', 'Harrison CJ', 'Siebert R', 'Dyer MJ']","['Toxicology Unit, Medical Research Council, University of Leicester, Lancaster Road, Leicester, UK.']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",20061214,United States,Blood,Blood,7603509,"['0 (CCAAT-Enhancer-Binding Proteins)', '0 (Immunoglobulin Heavy Chains)']",IM,"['Burkitt Lymphoma/*genetics', 'CCAAT-Enhancer-Binding Proteins/*genetics', 'Centromere/genetics', 'Chromosomes, Human/*genetics', 'Humans', 'Immunoglobulin Heavy Chains/*genetics', 'In Situ Hybridization, Fluorescence', 'Multigene Family/*genetics', 'Oncogenes/*genetics', 'Polymerase Chain Reaction', 'Telomere/genetics', '*Translocation, Genetic']",,2006/12/16 09:00,2007/05/24 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/05/24 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['S0006-4971(20)41722-7 [pii]', '10.1182/blood-2006-08-041012 [doi]']",ppublish,Blood. 2007 Apr 15;109(8):3451-61. doi: 10.1182/blood-2006-08-041012. Epub 2006 Dec 14.,,,,,,,['MC_U132670597/Medical Research Council/United Kingdom'],,,,,,,,,,,,
17170120,NLM,MEDLINE,20070523,20210206,0006-4971 (Print) 0006-4971 (Linking),109,8,2007 Apr 15,Karyotype is an independent prognostic factor in adult acute lymphoblastic leukemia (ALL): analysis of cytogenetic data from patients treated on the Medical Research Council (MRC) UKALLXII/Eastern Cooperative Oncology Group (ECOG) 2993 trial.,3189-97,"Pretreatment cytogenetics is a known predictor of outcome in hematologic malignancies. However, its usefulness in adult acute lymphoblastic leukemia (ALL) is generally limited to the presence of the Philadelphia (Ph) chromosome because of the low incidence of other recurrent abnormalities. We present centrally reviewed cytogenetic data from 1522 adult patients enrolled on the Medical Research Council (MRC) UKALLXII/Eastern Cooperative Oncology Group (ECOG) 2993 trial. The incidence and clinical associations for more than 20 specific chromosomal abnormalities are presented. Patients with a Ph chromosome, t(4;11)(q21;q23), t(8;14)(q24.1;q32), complex karyotype (5 or more chromosomal abnormalities), or low hypodiploidy/near triploidy (Ho-Tr) all had inferior rates of event-free and overall survival when compared with other patients. In contrast, patients with high hyperdiploidy or a del(9p) had a significantly improved outcome. Multivariate analysis demonstrated that the prognostic relevance of t(8;14), complex karyotype, and Ho-Tr was independent of sex, age, white cell count, and T-cell status among Ph-negative patients. The observation that Ho-Tr and, for the first time, karyotype complexity confer an increased risk of treatment failure demonstrates that cytogenetic subgroups other than the Ph chromosome can and should be used to risk stratify adults with ALL in future trials.","['Moorman, Anthony V', 'Harrison, Christine J', 'Buck, Georgina A N', 'Richards, Sue M', 'Secker-Walker, Lorna M', 'Martineau, Mary', 'Vance, Gail H', 'Cherry, Athena M', 'Higgins, Rodney R', 'Fielding, Adele K', 'Foroni, Letizia', 'Paietta, Elisabeth', 'Tallman, Martin S', 'Litzow, Mark R', 'Wiernik, Peter H', 'Rowe, Jacob M', 'Goldstone, Anthony H', 'Dewald, Gordon W']","['Moorman AV', 'Harrison CJ', 'Buck GA', 'Richards SM', 'Secker-Walker LM', 'Martineau M', 'Vance GH', 'Cherry AM', 'Higgins RR', 'Fielding AK', 'Foroni L', 'Paietta E', 'Tallman MS', 'Litzow MR', 'Wiernik PH', 'Rowe JM', 'Goldstone AH', 'Dewald GW']","['Leukaemia Research Cytogenetics Group, Cancer Sciences Division, University of Southampton, Southampton General Hospital, Southampton, UK. avm@soton.ac.uk']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",20061214,United States,Blood,Blood,7603509,,IM,"['Adult', '*Chromosome Deletion', 'Disease-Free Survival', 'Humans', 'Karyotyping', 'Leukocyte Count', 'Multivariate Analysis', '*Philadelphia Chromosome', '*Ploidies', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*genetics/mortality/therapy', 'Risk Factors', 'Survival Rate', 'Treatment Failure']",,2006/12/16 09:00,2007/05/24 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/05/24 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['S0006-4971(20)41688-X [pii]', '10.1182/blood-2006-10-051912 [doi]']",ppublish,Blood. 2007 Apr 15;109(8):3189-97. doi: 10.1182/blood-2006-10-051912. Epub 2006 Dec 14.,,,,,,,['MC_U137686856/Medical Research Council/United Kingdom'],,"['Adult Leukaemia Working Party, Medical Research Council/National Cancer Research', 'Institute']",,,,,,,,,,
17170094,NLM,MEDLINE,20070404,20191210,0013-7227 (Print) 0013-7227 (Linking),148,3,2007 Mar,All-trans retinoic acid induces in vitro angiogenesis via retinoic acid receptor: possible involvement of paracrine effects of endogenous vascular endothelial growth factor signaling.,1412-23,"A natural retinoid all-trans retinoic acid (ATRA) regulates a variety of important cellular functions via retinoic acid receptor (RAR). ATRA has therapeutically been used against various malignancies including acute promyelocytic leukemia. Recently ATRA has also been recognized to be beneficial against atherosclerotic vascular disorders. However, its effects on angiogenesis remain controversial. We therefore examined ATRA effects on in vitro angiogenesis in terms of capillary-like tube formation using human umbilical vein endothelial cells (HUVECs)/normal human dermal fibroblast (NHDF) coculture. ATRA as well as RAR agonist Am80 significantly induced capillary-like tube formation. The ATRA-induced tube formation was inhibited by coincubation with RAR antagonist LE540/LE135. HUVEC proliferation, but not its migration, was also induced by ATRA. The ATRA-induced tube formation was completely abolished by coincubation with vascular endothelial growth factor (VEGF) neutralizing antibody or with VEGF receptor (VEGFR)-2 (KDR) neutralizing antibody, but not VEGFR-1 (Flt-1) neutralizing antibody. ATRA and Am80 induced VEGF secretion in the coculture as well as VEGF secretion/mRNA expression in NHDFs. Transcription activity of human VEGF gene promoter in NHDFs was stimulated by ATRA, which was augmented by RAR overexpression. ATRA also induced VDGFR-2/KDR mRNA expression in HUVECs. Moreover, ATRA-induced secretion of hepatocyte growth factor as well as angiopoietin-2 in the coculture. Taken together, ATRA may have induced angiogenesis via RAR mainly by stimulation of HUVEC proliferation and enhancement of endogenous VEGF signaling and in part by induction of hepatocyte growth factor and angiopoietin-2 production. Retinoids may therefore be potential candidates for therapeutic angiogenesis against ischemic vascular disorders.","['Saito, Akiko', 'Sugawara, Akira', 'Uruno, Akira', 'Kudo, Masataka', 'Kagechika, Hiroyuki', 'Sato, Yasufumi', 'Owada, Yuji', 'Kondo, Hisatake', 'Sato, Mayumi', 'Kurabayashi, Masahiko', 'Imaizumi, Masue', 'Tsuchiya, Shigeru', 'Ito, Sadayoshi']","['Saito A', 'Sugawara A', 'Uruno A', 'Kudo M', 'Kagechika H', 'Sato Y', 'Owada Y', 'Kondo H', 'Sato M', 'Kurabayashi M', 'Imaizumi M', 'Tsuchiya S', 'Ito S']","['Department of Medicine, Tohoku University Graduate School of Medicine, 1-1 Seiryo-cho, Aoba-ku, Sendai 980-8574, Japan.']",['eng'],"['Evaluation Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",20061214,United States,Endocrinology,Endocrinology,0375040,"['0 (Angiopoietin-2)', '0 (Receptors, Retinoic Acid)', '0 (Vascular Endothelial Growth Factor A)', '5688UTC01R (Tretinoin)', '67256-21-7 (Hepatocyte Growth Factor)', 'EC 2.7.10.1 (Vascular Endothelial Growth Factor Receptor-2)']",IM,"['Angiopoietin-2/metabolism', 'Capillaries/drug effects/growth & development', 'Cell Movement/drug effects', 'Cell Proliferation/drug effects', 'Cells, Cultured', 'Coculture Techniques', 'Dose-Response Relationship, Drug', 'Hepatocyte Growth Factor/metabolism', 'Humans', 'Neovascularization, Physiologic/*drug effects', 'Paracrine Communication/*physiology', 'Receptors, Retinoic Acid/*metabolism', 'Signal Transduction', 'Tretinoin/*pharmacology', 'Vascular Endothelial Growth Factor A/*physiology', 'Vascular Endothelial Growth Factor Receptor-2/metabolism']",,2006/12/16 09:00,2007/04/05 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/04/05 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['en.2006-0900 [pii]', '10.1210/en.2006-0900 [doi]']",ppublish,Endocrinology. 2007 Mar;148(3):1412-23. doi: 10.1210/en.2006-0900. Epub 2006 Dec 14.,,,,,,,,,,,,,,,,,,,
17170077,NLM,MEDLINE,20070412,20210103,1078-0432 (Print) 1078-0432 (Linking),13,1,2007 Jan 1,Leukemia-specific T-cell reactivity induced by leukemic dendritic cells is augmented by 4-1BB targeting.,307-15,"PURPOSE: Acute myelogenous leukemia (AML) blasts are able to differentiate into leukemia-derived dendritic cells (AML-DC), thereby enabling efficient presentation of known and unknown leukemic antigens. Advances in culture techniques and AML-DC characterization justify clinical application. However, additional measures are likely needed to potentiate vaccines and overcome the intrinsic tolerant state of the patients' immune system. Engagement of the costimulatory molecule 4-1BB can break immunologic tolerance and increase CTL responses. In this study, we examined the role of the 4-1BB ligand (4-1BBL) on T-cell responses induced by AML-DC. EXPERIMENTAL DESIGN: In allogeneic and autologous cocultures of T cells and AML-DC, the effect of the addition of 4-1BBL on T-cell proliferation, T-cell subpopulations, and T-cell function was determined. RESULTS: Addition of 4-1BBL to cocultures of AML-DC and T cells induced a preferential increase in the proliferation of CD8(+) T cells. Increased differentiation into effector and central memory populations was observed in both CD4(+) and CD8(+) T cells in the presence of 4-1BBL. AML-DC induce a T helper 1 response, characterized by high IFN-gamma production, which is significantly increased by targeting 4-1BB. T cells primed in the presence of 4-1BBL show specificity for the leukemia-associated antigen Wilms' tumor 1, whereas cytotoxicity assays with leukemic blast targets showed the cytolytic potential of T cells primed in the presence of 4-1BBL. CONCLUSION: We conclude that 4-1BBL is an effective adjuvant to enhance T-cell responses elicited by AML-DC.","['Houtenbos, Ilse', 'Westers, Theresia M', 'Dijkhuis, Annemiek', 'de Gruijl, Tanja D', 'Ossenkoppele, Gert J', 'van de Loosdrecht, Arjan A']","['Houtenbos I', 'Westers TM', 'Dijkhuis A', 'de Gruijl TD', 'Ossenkoppele GJ', 'van de Loosdrecht AA']","['Department of Hematology, VU University Medical Center, Amsterdam, the Netherlands.']",['eng'],['Journal Article'],20061214,United States,Clin Cancer Res,Clinical cancer research : an official journal of the American Association for Cancer Research,9502500,"['0 (Cytokines)', '0 (Ligands)', '0 (TNFRSF9 protein, human)', '0 (Tumor Necrosis Factor Receptor Superfamily, Member 9)']",IM,"['CD8-Positive T-Lymphocytes/metabolism', 'Coculture Techniques', 'Cytokines/metabolism', 'Dendritic Cells/*cytology/metabolism', 'Humans', 'Immunophenotyping', 'K562 Cells', 'Leukemia, Myeloid, Acute/*metabolism', 'Ligands', 'Lymphocyte Activation', 'T-Lymphocytes/*metabolism', 'Time Factors', 'Transplantation, Homologous', 'Treatment Outcome', 'Tumor Necrosis Factor Receptor Superfamily, Member 9/*metabolism']",,2006/12/16 09:00,2007/04/14 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/04/14 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['1078-0432.CCR-06-1430 [pii]', '10.1158/1078-0432.CCR-06-1430 [doi]']",ppublish,Clin Cancer Res. 2007 Jan 1;13(1):307-15. doi: 10.1158/1078-0432.CCR-06-1430. Epub 2006 Dec 14.,,,,,,,,,,,,,,,,,,,
17169949,NLM,MEDLINE,20070920,20070619,0144-8420 (Print) 0144-8420 (Linking),123,4,2007,Dosimetric analysis of thyroid doses from total cranial irradiation.,498-504,"The purpose was to estimate the radiation dose to the thyroid from total cranial irradiation with parallel opposed lateral fields of 1.25 MeV gamma rays of (60)Co, to represent the current treatment modality, and with 6 MV photon beams derived from a linear accelerator. The mean thyroid doses were measured using thermoluminescence dosemeters in the Rando phantom with two cranial irradiation set-ups: (1) the lateral beams were angled by rotating the collimator to avoid irradiation of the lens and healthy tissues and (2) the lateral beams were not angled, and shielding blocks were used to protect the lens and healthy tissues. For a cranial dose of 18 Gy, thyroid doses for child patients for (60)Co with the open and blocked fields were 0.27 and 0.32 Gy, respectively. With 6 MV, the thyroid dose was less than the doses for (60)Co open and blocked cranial fields by 17 and 10%, respectively. Unblocked cranial fields and a high-energy photon beam should be preferred for cranial irradiation of children.","['Acun, H', 'Kemikler, G', 'Karadeniz, A']","['Acun H', 'Kemikler G', 'Karadeniz A']","['Department of Medical Radiophysics, Oncology Institute, Istanbul University, Topkapi, 34390, Istanbul Turkey.']",['eng'],['Journal Article'],20061214,England,Radiat Prot Dosimetry,Radiation protection dosimetry,8109958,['0 (Cobalt Radioisotopes)'],IM,"['Adult', 'Brain Neoplasms/*radiotherapy', 'Child', 'Cobalt Radioisotopes/therapeutic use', '*Cranial Irradiation', 'Female', 'Humans', 'Leukemia/*radiotherapy', 'Phantoms, Imaging', 'Radiation Dosage', 'Thyroid Gland/*radiation effects']",,2006/12/16 09:00,2007/09/21 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/09/21 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['ncl502 [pii]', '10.1093/rpd/ncl502 [doi]']",ppublish,Radiat Prot Dosimetry. 2007;123(4):498-504. doi: 10.1093/rpd/ncl502. Epub 2006 Dec 14.,,,,,,,,,,,,,,,,,,,
17169820,NLM,MEDLINE,20070926,20190116,1042-8194 (Print) 1026-8022 (Linking),47,12,2006 Dec,Behcet's disease associated with chronic myelogenous leukemia and chronic graft-vs-host disease.,2674-5,,"['Cakmak, Seray Kulcu', 'Gul, Ulker', 'Kilic, Arzu', 'Gonul, Muzeyyen', 'Soylu, Secil', 'Demirel, Ozlem']","['Cakmak SK', 'Gul U', 'Kilic A', 'Gonul M', 'Soylu S', 'Demirel O']",,['eng'],"['Case Reports', 'Letter']",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['Adult', 'Behcet Syndrome/complications/*diagnosis/*etiology', 'Bone Marrow Transplantation/adverse effects', 'Erythema/etiology', 'Graft vs Host Disease/*complications', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications/*diagnosis', 'Male']",,2006/12/16 09:00,2007/09/27 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['X426X40663630472 [pii]', '10.1080/10428190600925426 [doi]']",ppublish,Leuk Lymphoma. 2006 Dec;47(12):2674-5. doi: 10.1080/10428190600925426.,,,,,,,,,,,,,,,,,,,
17169819,NLM,MEDLINE,20070926,20190116,1042-8194 (Print) 1026-8022 (Linking),47,12,2006 Dec,Plasmablastic lymphoma: a case of rectal disease with spinal cord compression.,2670-3,,"['Rajagopal, Ambil S', 'Copson, Ellen', 'Addis, Bruce', 'Shinkfield, Mark', 'Mead, Graham']","['Rajagopal AS', 'Copson E', 'Addis B', 'Shinkfield M', 'Mead G']",,['eng'],"['Case Reports', 'Letter']",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antineoplastic Agents)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)']",IM,"['ADP-ribosyl Cyclase 1/biosynthesis', 'Adult', 'Antineoplastic Agents/therapeutic use', 'Biopsy', 'HIV Infections/complications/*diagnosis', 'Humans', 'Immunohistochemistry/methods', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications/*diagnosis/drug therapy', 'Lymphoma, AIDS-Related/*complications/diagnosis/drug therapy', 'Male', 'Rectal Neoplasms/complications/*diagnosis/drug therapy', 'Remission Induction', 'Spinal Cord Compression/*complications/*etiology', 'Tomography, X-Ray Computed/methods', 'Treatment Outcome']",,2006/12/16 09:00,2007/09/27 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['U27UG87N61661671 [pii]', '10.1080/10428190600909727 [doi]']",ppublish,Leuk Lymphoma. 2006 Dec;47(12):2670-3. doi: 10.1080/10428190600909727.,,,,,,,,,,,,,,,,,,,
17169818,NLM,MEDLINE,20070926,20190116,1042-8194 (Print) 1026-8022 (Linking),47,12,2006 Dec,Presentation of extramedullary Philadelphia chromosome-positive biphenotypic acute leukemia as testicular mass: Response to imatinib-combined chemotherapy.,2667-9,,"['Saitoh, Takayuki', 'Matsushima, Takafumi', 'Iriuchishima, Hirono', 'Yamane, Arito', 'Irisawa, Hiroyuki', 'Handa, Hiroshi', 'Tsukamoto, Norifumi', 'Karasawa, Masamitsu', 'Nojima, Yoshihisa', 'Murakami, Hirokazu']","['Saitoh T', 'Matsushima T', 'Iriuchishima H', 'Yamane A', 'Irisawa H', 'Handa H', 'Tsukamoto N', 'Karasawa M', 'Nojima Y', 'Murakami H']",,['eng'],"['Case Reports', 'Letter']",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Bone Marrow Cells/cytology', 'Flow Cytometry', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis', 'Male', 'Middle Aged', 'Philadelphia Chromosome', 'Piperazines/*pharmacology', 'Pyrimidines/*pharmacology', 'Stem Cell Transplantation', 'Testicular Neoplasms/*diagnosis/secondary', 'Transplantation, Homologous']",,2006/12/16 09:00,2007/09/27 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['K8841J1P5817G618 [pii]', '10.1080/10428190600909677 [doi]']",ppublish,Leuk Lymphoma. 2006 Dec;47(12):2667-9. doi: 10.1080/10428190600909677.,,,,,,,,,,,,,,,,,,,
17169816,NLM,MEDLINE,20070926,20190116,1042-8194 (Print) 1026-8022 (Linking),47,12,2006 Dec,Microgranular relapse of typical hypergranular acute promyelocytic leukemia.,2661-3,,"['Shivarov, Velizar', 'Nikolova, Vessela', 'Balatzenko, Gueorgui', 'Guenova, Margarita']","['Shivarov V', 'Nikolova V', 'Balatzenko G', 'Guenova M']",,['eng'],"['Case Reports', 'Letter']",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Antineoplastic Agents/pharmacology', 'Bone Marrow/pathology', 'Bone Marrow Cells/metabolism', 'Fatal Outcome', 'Granulocyte Precursor Cells/metabolism', 'Humans', 'Leukemia, Promyelocytic, Acute/*diagnosis/mortality/*pathology', 'Male', '*Recurrence', 'Remission Induction']",,2006/12/16 09:00,2007/09/27 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['K61277146W170414 [pii]', '10.1080/10428190600942595 [doi]']",ppublish,Leuk Lymphoma. 2006 Dec;47(12):2661-3. doi: 10.1080/10428190600942595.,,,,,,,,,,,,,,,,,,,
17169815,NLM,MEDLINE,20070926,20211203,1042-8194 (Print) 1026-8022 (Linking),47,12,2006 Dec,CHEK2*1100delC and risk of chronic lymphocytic leukemia.,2659-60,,"['Sellick, Gabrielle S', 'Sullivan, Kate', 'Catovsky, Daniel', 'Houlston, Richard S']","['Sellick GS', 'Sullivan K', 'Catovsky D', 'Houlston RS']",,['eng'],['Letter'],,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['EC 2.7.1.11 (Checkpoint Kinase 2)', 'EC 2.7.11.1 (CHEK2 protein, human)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)']",IM,"['Aged', 'Checkpoint Kinase 2', 'DNA Damage', 'DNA Mutational Analysis', 'Female', 'Gene Deletion', 'Genetic Predisposition to Disease', 'Genetic Variation', 'Genotype', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnosis/*genetics', 'Male', 'Middle Aged', '*Mutation', 'Protein Serine-Threonine Kinases/*genetics']",,2006/12/16 09:00,2007/09/27 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['J72137X300882006 [pii]', '10.1080/10428190600942462 [doi]']",ppublish,Leuk Lymphoma. 2006 Dec;47(12):2659-60. doi: 10.1080/10428190600942462.,,,,,,,,,,,,,,,,,,,
17169814,NLM,MEDLINE,20070926,20190116,1042-8194 (Print) 1026-8022 (Linking),47,12,2006 Dec,JAK2 V617F mutation is absent in chronic lymphocytic leukemia.,2657-8,,"['Poulain, Stephanie', 'Merchez, Maud', 'Daudignon, Agnes', 'Simon, Marc', 'Duthilleul, Patrick', 'Morel, Pierre']","['Poulain S', 'Merchez M', 'Daudignon A', 'Simon M', 'Duthilleul P', 'Morel P']",,['eng'],['Letter'],,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Apoptosis', 'DNA Mutational Analysis', 'Female', 'Flow Cytometry', 'Genetic Predisposition to Disease', 'Humans', 'In Situ Hybridization, Fluorescence', 'Janus Kinase 2/*genetics', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics', 'Male', '*Mutation']",,2006/12/16 09:00,2007/09/27 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['W3K60XP1W05695R1 [pii]', '10.1080/10428190600925772 [doi]']",ppublish,Leuk Lymphoma. 2006 Dec;47(12):2657-8. doi: 10.1080/10428190600925772.,,,,,,,,,,,,,,,,,,,
17169810,NLM,MEDLINE,20070926,20190116,1042-8194 (Print) 1026-8022 (Linking),47,12,2006 Dec,Reverse transcriptase-polymerase chain reaction based quantification of the combined MDS-EVI1/EVI1 gene in acute myeloid leukemia.,2645-7,,"['Weisser, Martin', 'Kern, Wolfgang', 'Schoch, Claudia', 'Tschulik, Claudia', 'Hiddemann, Wolfgang', 'Haferlach, Torsten', 'Schnittger, Susanne']","['Weisser M', 'Kern W', 'Schoch C', 'Tschulik C', 'Hiddemann W', 'Haferlach T', 'Schnittger S']",,['eng'],['Letter'],,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (DNA-Binding Proteins)', '0 (MDS1 and EVI1 Complex Locus Protein)', '0 (MECOM protein, human)', '0 (Oncogene Proteins, Fusion)', '0 (Transcription Factors)']",IM,"['Bone Marrow/metabolism', 'Bone Marrow Cells/metabolism', 'Chromosome Aberrations', '*Chromosomes, Human, Pair 3', 'DNA-Binding Proteins/*genetics', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*diagnosis/*genetics', 'Leukocytes, Mononuclear/metabolism', 'MDS1 and EVI1 Complex Locus Protein', 'Myelodysplastic Syndromes/genetics', 'Oncogene Proteins, Fusion/genetics', 'Proto-Oncogenes/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction/*methods', 'Sensitivity and Specificity', 'Transcription Factors/*genetics', 'Transcription, Genetic']",,2006/12/16 09:00,2007/09/27 09:00,['2006/12/16 09:00'],"['2006/12/16 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/12/16 09:00 [entrez]']","['M145X25KVM678480 [pii]', '10.1080/10428190600942561 [doi]']",ppublish,Leuk Lymphoma. 2006 Dec;47(12):2645-7. doi: 10.1080/10428190600942561.,,['Leuk Lymphoma. 2006 Dec;47(12):2443-4. PMID: 17169788'],,,,,,,,,,,,,,,,,
