PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,EIN,CI,RF,CON,CIN,DEP,OID,OTO,OT,GN,SI,TT,CN,MID,UIN,UOF
12496395,NLM,MEDLINE,20030305,20191023,0022-1767 (Print) 0022-1767 (Linking),170,1,2003 Jan 1,Human gamma delta-T lymphocytes express and synthesize connective tissue growth factor: effect of IL-15 and TGF-beta 1 and comparison with alpha beta-T lymphocytes.,153-7,"T lymphocytes bearing the gammadelta-TCR accumulate during wound healing and inflammation. However, the role of gammadelta-T lymphocytes in fibrogenic tissue reactions is not well understood. Therefore, we addressed the question of whether human gammadelta-T cells express and synthesize connective tissue growth factor (CTGF), a factor known to regulate fibrogenesis and wound healing. In addition, the lymphoblastic leukemia T cell line (Loucy) that possesses characteristics typical of gammadelta-T cells was used as a model to evaluate the regulation of CTGF gene expression. Blood gammadelta-T cells isolated from healthy donors were grown in the presence of IL-15/TGF-beta1 for 48 h and assessed for the expression and synthesis of CTGF. Nonstimulated human blood gammadelta-T cells and Loucy gammadelta-T cells expressed low levels of CTGF mRNA. Costimulation of the cells with IL-15 and TGF-beta1 resulted in a substantially increased level of CTGF mRNA expression within 4-8 h, and it remained elevated for at least 48 h. In contrast, no CTGF mRNA was detected when nonstimulated and stimulated human CD4+ alphabeta-T cells were analyzed. In addition, Western blot analysis of human gammadelta-T cell lysates prepared 4 days following stimulation with IL-15 and TGF-beta1 revealed a 38-kDa CTGF protein in cell lysates of human gammadelta-T cells. Detection was confirmed using Colo 849 fibroblasts, which can constitutively express high levels of CTGF. In conclusion, we herein present novel evidence that in contrast to CD4+ alphabeta-T cells human gammadelta-T cells are capable of expressing CTGF mRNA and synthesizing its corresponding protein, which supports the concept that gammadelta-T cells may contribute to wound healing or tissue fibrotic processes.","['Workalemahu, Grefachew', 'Foerster, Martin', 'Kroegel, Claus', 'Braun, Ruedi K']","['Workalemahu G', 'Foerster M', 'Kroegel C', 'Braun RK']","['Pneumology and Allergology, University Medical Clinic IV, Jena, Germany. grefachew.workalemahu@med.uni-jena.de']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (CCN2 protein, human)', '0 (Immediate-Early Proteins)', '0 (Intercellular Signaling Peptides and Proteins)', '0 (Interleukin-15)', '0 (RNA, Messenger)', '0 (Receptors, Antigen, T-Cell, alpha-beta)', '0 (Receptors, Antigen, T-Cell, gamma-delta)', '0 (TGFB1 protein, human)', '0 (Transforming Growth Factor beta)', '0 (Transforming Growth Factor beta1)', '139568-91-5 (Connective Tissue Growth Factor)']",IM,"['Blotting, Western', 'Cell Line', 'Cells, Cultured', 'Clone Cells', 'Connective Tissue Growth Factor', 'Humans', 'Immediate-Early Proteins/analysis/*biosynthesis/genetics', 'Intercellular Signaling Peptides and Proteins/analysis/*biosynthesis/genetics', 'Interleukin-15/*physiology', 'RNA, Messenger/biosynthesis', 'Receptors, Antigen, T-Cell, alpha-beta/*physiology', 'Receptors, Antigen, T-Cell, gamma-delta/*physiology', 'T-Lymphocyte Subsets/*immunology/*metabolism', 'Transforming Growth Factor beta/*physiology', 'Transforming Growth Factor beta1', 'Tumor Cells, Cultured']",,2002/12/24 04:00,2003/03/06 04:00,['2002/12/24 04:00'],"['2002/12/24 04:00 [pubmed]', '2003/03/06 04:00 [medline]', '2002/12/24 04:00 [entrez]']",['10.4049/jimmunol.170.1.153 [doi]'],ppublish,J Immunol. 2003 Jan 1;170(1):153-7. doi: 10.4049/jimmunol.170.1.153.,,,,,,,,,,,,,,,,
12496368,NLM,MEDLINE,20030611,20191210,1541-7786 (Print) 1541-7786 (Linking),1,1,2002 Nov,Physical and functional interaction between the transcriptional cofactor CBP and the KH domain protein Sam68.,48-55,"CBP is a multifunctional transcriptional cofactor with tumor suppressor activity. The CH3 domain of CBP binds numerous transcription factors and several viral oncoproteins. We identified the Src substrate and RNA-binding protein Sam68 as novel CH3-binding protein. Sam68 binds the CH3 domain in part through a conserved FXD/EXXXL motif that is shared among several CH3-binding proteins, including the adenoviral oncoprotein E1A and the tumor suppressor p53. Sam68 and CBP interact in vivo and colocalize in nuclear sub-domains. Sam68 has potent transcriptional repression activity that is independent of its RNA binding activity, which suggests that RNA processing and regulation of gene expression by Sam68 are separable functions. Consistent with this, CBP did not stimulate the ability of Sam68 to promote Rev response element-containing mRNA export. Interestingly, Sam68 can regulate RNA processing in the absence of a Rev response element, suggesting that Sam68 functions through a novel RNA element. Together, these findings reveal a previously unidentified function for Sam68 as a transcriptional repressor and suggest that Sam68 might link cellular signaling pathways with components of the transcriptional machinery.","['Hong, Wei', 'Resnick, Ross J', 'Rakowski, Carrie', 'Shalloway, David', 'Taylor, Steven J', 'Blobel, Gerd A']","['Hong W', 'Resnick RJ', 'Rakowski C', 'Shalloway D', 'Taylor SJ', 'Blobel GA']","[""Division of Hematology, Children's Hospital of Philadelphia, Philadelphia, PA, USA.""]",['eng'],['1R01 DK54937-01/DK/NIDDK NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cancer Res,Molecular cancer research : MCR,101150042,"['0 (Adaptor Proteins, Signal Transducing)', '0 (Carrier Proteins)', '0 (DNA-Binding Proteins)', '0 (KHDRBS1 protein, human)', '0 (Khdrbs1 protein, mouse)', '0 (RNA, Messenger)', '0 (RNA-Binding Proteins)', '0 (Recombinant Fusion Proteins)', '0 (Trans-Activators)', '0 (citrate-binding transport protein)', 'EC 2.7.10.2 (src-Family Kinases)']",IM,"['3T3 Cells', 'Adaptor Proteins, Signal Transducing', 'Animals', 'Binding Sites', 'COS Cells', 'Carrier Proteins/*metabolism', 'Cell Line', 'Chlorocebus aethiops', 'DNA-Binding Proteins', 'Genes, Reporter', 'Genetic Vectors', 'Humans', 'Leukemia, Erythroblastic, Acute/pathology', 'Mice', 'RNA Processing, Post-Transcriptional', 'RNA, Messenger/genetics/metabolism', 'RNA-Binding Proteins/*chemistry/genetics/*metabolism', 'Recombinant Fusion Proteins/metabolism', 'Trans-Activators/metabolism', 'Transcription, Genetic', 'Tumor Cells, Cultured', 'src-Family Kinases/*chemistry/genetics/*metabolism']",,2002/12/24 04:00,2003/06/12 05:00,['2002/12/24 04:00'],"['2002/12/24 04:00 [pubmed]', '2003/06/12 05:00 [medline]', '2002/12/24 04:00 [entrez]']",,ppublish,Mol Cancer Res. 2002 Nov;1(1):48-55.,,,,,,,,,,,,,,,,
12496355,NLM,MEDLINE,20030613,20181130,1541-7786 (Print) 1541-7786 (Linking),1,2,2002 Dec,Imatinib mesylate (STI-571) reduces Bcr-Abl-mediated vascular endothelial growth factor secretion in chronic myelogenous leukemia.,89-95,"A large and diverse spectrum of oncogenes has been implicated as a contributor to angiogenesis in solid tumors based, in part, on its ability to induce proangiogenic growth factors such as vascular endothelial growth factor (VEGF), and the fact that various anti-oncogenic signaling inhibitor drugs have been shown to reverse such proangiogenic effects both in vitro and in vivo. Because leukemias are now also considered to be angiogenesis-dependent malignancies, we asked whether a similar paradigm might exist for the BCR-ABL oncogene and the Bcr-Abl targeting drug, STI-571 (imatinib mesylate), in the context of chronic myelogenous leukemia (CML) cells. We found that levels of VEGF expression in BCR-ABL-positive K562 cells were reduced in vitro by treatment with STI-571 in a dose-dependent fashion. Transfection of BCR-ABL into murine myeloid 32D and human megakaryocyte MO7e hematopoietic cells resulted in enhanced VEGF expression, which could be further elevated by the exposure to cytokines such as interleukin 3 and granulocyte macrophage colony-stimulating factor. We also found that conditioned media taken from 32D-p210-transfected cells could stimulate human umbilical vein endothelial cells by increasing phosphorylation of VEGF-R2/KDR and the downstream serine/threonine kinase PKB/Akt, an important regulator of endothelial cell survival. Moreover, amplification of BCR-ABL in STI-571-resistant cells was associated with elevated VEGF expression levels which could be reversed by treatment with higher concentrations of STI-571. Taken together, our results implicate BCR-ABL as a possible regulator of CML angiogenesis and raise the possibility that STI-571 could mediate some of its anti-CML properties in vivo through an angiogenesis-dependent mechanism.","['Ebos, John M L', 'Tran, Jennifer', 'Master, Zubin', 'Dumont, Daniel', 'Melo, Junia V', 'Buchdunger, Elisabeth', 'Kerbel, Robert S']","['Ebos JM', 'Tran J', 'Master Z', 'Dumont D', 'Melo JV', 'Buchdunger E', 'Kerbel RS']","[""Molecular and Cell Biology Research, Sunnybrook and Women's College Health Sciences Centre, Toronto, Ontario, Canada M4N 3M5.""]",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Cancer Res,Molecular cancer research : MCR,101150042,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Culture Media, Conditioned)', '0 (Endothelial Growth Factors)', '0 (Intercellular Signaling Peptides and Proteins)', '0 (Interleukin-3)', '0 (Lymphokines)', '0 (Piperazines)', '0 (Pyrimidines)', '0 (Vascular Endothelial Growth Factor A)', '0 (Vascular Endothelial Growth Factors)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Benzamides', 'Blotting, Western', 'Cell Division', 'Cells, Cultured', 'Culture Media, Conditioned/pharmacology', 'Densitometry', 'Dose-Response Relationship, Drug', 'Endothelial Growth Factors/*metabolism', 'Endothelium, Vascular/metabolism', 'Fusion Proteins, bcr-abl/*metabolism', 'Humans', 'Imatinib Mesylate', 'Intercellular Signaling Peptides and Proteins/*metabolism', 'Interleukin-3/metabolism', 'K562 Cells', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/metabolism', 'Lymphokines/*metabolism', 'Mice', 'Neovascularization, Pathologic', 'Piperazines/*pharmacology', 'Precipitin Tests', 'Pyrimidines/*pharmacology', 'Time Factors', 'Transfection', 'Umbilical Veins/cytology', 'Up-Regulation', 'Vascular Endothelial Growth Factor A', 'Vascular Endothelial Growth Factors']",,2002/12/24 04:00,2003/06/14 05:00,['2002/12/24 04:00'],"['2002/12/24 04:00 [pubmed]', '2003/06/14 05:00 [medline]', '2002/12/24 04:00 [entrez]']",,ppublish,Mol Cancer Res. 2002 Dec;1(2):89-95.,,,,,,,,,,,,,,,,
12496182,NLM,MEDLINE,20030210,20210526,0019-9567 (Print) 0019-9567 (Linking),71,1,2003 Jan,Antiviral activity of shiga toxin requires enzymatic activity and is associated with increased permeability of the target cells.,327-34,"This study expanded our earlier finding that Shiga toxin type 1 (Stx1) has activity against bovine leukemia virus (BLV) (W. A. Ferens and C. J. Hovde, Infect. Immun. 68:4462-4469, 2000). The Stx molecular motifs required for antiviral activity were identified, and a mechanism of Stx action on virally infected cells is suggested. Using inhibition of BLV-dependent spontaneous lymphocyte proliferation as a measure of antiviral activity, we showed that Stx2 had antiviral activity similar to that of Stx1. Enzymatic and antiviral activities of three StxA1 chain mutants deficient in enzymatic activity or aspects of receptor-mediated cytotoxicity were compared. Using protein synthesis inhibition to measure enzymatic activity, the mutant E167D was 300-fold less catalytically active than wild-type StxA1, was minimally active in antiviral assays, and did not inhibit synthesis of viral proteins. Two StxA1 mutants, A231D-G234E and StxA(1)1 (enzymatically active but unable to kill cells via the classical receptor-mediated route), had undiminished antiviral activity. Although binding of radiolabeled StxA1 to bovine blood cells or to free virus was not detected, flow cytometric analysis showed that the number of BLV-expressing cells were specifically reduced in cultures treated with Stx. These unique and rare lymphocytes were highly permeable to 40- and 70-kDa fluorescent dextrans, indicating that direct absorption of toxins by virus-expressing cells is a potential mechanism of target cell intoxication. These results support the hypothesis that Stx-producing Escherichia coli colonization of the gastrointestinal tract may benefit ruminant hosts by the ability of Stxs to exert antiviral activity.","['Basu, Indira', 'Ferens, Witold A', 'Stone, Diana M', 'Hovde, Carolyn J']","['Basu I', 'Ferens WA', 'Stone DM', 'Hovde CJ']","['Department of Microbiology, Molecular Biology, and Biochemistry, University of Idaho, Moscow, Idaho 83844-3052, USA.']",['eng'],"['P20 RR015587/RR/NCRR NIH HHS/United States', 'N01-HD-0-3309/HD/NICHD NIH HHS/United States', 'P20RR15587/RR/NCRR NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Infect Immun,Infection and immunity,0246127,"['0 (Antiviral Agents)', '0 (Shiga Toxin 1)', '0 (Shiga Toxin 2)', 'EC 3.2.1.- (Glycoside Hydrolases)']",IM,"['Animals', 'Antiviral Agents/metabolism/*pharmacology', 'B-Lymphocytes/immunology/*physiology/virology', 'Cattle', 'Cattle Diseases/virology', '*Cell Membrane Permeability', 'Enzootic Bovine Leukosis/immunology/virology', 'Glycoside Hydrolases/*metabolism', 'Leukemia Virus, Bovine/*drug effects/immunology', 'Lymphocyte Activation/drug effects', 'Mutation', 'Shiga Toxin 1/pharmacology', 'Shiga Toxin 2/genetics/metabolism/*pharmacology']",PMC143405,2002/12/24 04:00,2003/02/11 04:00,['2002/12/24 04:00'],"['2002/12/24 04:00 [pubmed]', '2003/02/11 04:00 [medline]', '2002/12/24 04:00 [entrez]']",['10.1128/IAI.71.1.327-334.2003 [doi]'],ppublish,Infect Immun. 2003 Jan;71(1):327-34. doi: 10.1128/IAI.71.1.327-334.2003.,,,,,,,,,,,,,,,,
12496133,NLM,MEDLINE,20030731,20181113,0006-3495 (Print) 0006-3495 (Linking),83,6,2002 Dec,Atomic force microscopy investigation of fibroblasts infected with wild-type and mutant murine leukemia virus (MuLV).,3665-74,"NIH 3T3 cells were infected in culture with the oncogenic retrovirus, mouse leukemia virus (MuLV), and studied using atomic force microscopy (AFM). Cells fixed with glutaraldehyde alone, and those postfixed with osmium tetroxide, were imaged under ethanol according to procedures that largely preserved their structures. With glutaraldehyde fixation alone, the lipid bilayer was removed and maturing virions were seen emerging from the cytoskeletal matrix. With osmium tetroxide postfixation, the lipid bilayer was maintained and virions were observable still attached to the cell surfaces. The virions on the cell surfaces were imaged at high resolution and considerable detail of the arrangement of protein assemblies on their surfaces was evident. Infected cells were also labeled with primary antibodies against the virus env surface protein, followed by secondary antibodies conjugated with colloidal gold particles. Other 3T3 cells in culture were infected with MuLV containing a mutation in the gPr80(gag) gene. Those cells were observed by AFM not to produce normal MuLV on their surfaces, or at best, only at very low levels. The cell surfaces, however, became covered with tubelike structures that appear to result from a failure of the virions to properly undergo morphogenesis, and to fail in budding completely from the cell's surfaces.","['Kuznetsov, Yurii G', 'Datta, Shoibal', 'Kothari, Natantara H', 'Greenwood, Aaron', 'Fan, Hung', 'McPherson, Alexander']","['Kuznetsov YG', 'Datta S', 'Kothari NH', 'Greenwood A', 'Fan H', 'McPherson A']","['Department of Molecular Biology and Biochemistry, University of California, Irvine, CA 92697-3900, USA.']",['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biophys J,Biophysical journal,0370626,"['0 (Fixatives)', 'P40W033BGM (Osmium Tetroxide)', 'T3C89M417N (Glutaral)']",IM,"['3T3 Cells/drug effects/*ultrastructure', 'Animals', 'Cell Membrane/ultrastructure', 'Cytoskeleton/*ultrastructure', 'Fixatives/pharmacology', 'Glutaral/pharmacology', 'Leukemia Virus, Murine/pathogenicity/*ultrastructure', 'Mice', 'Microscopy, Atomic Force/*methods', 'Mutation', 'Osmium Tetroxide/pharmacology', 'Virion/*ultrastructure']",PMC1302441,2002/12/24 04:00,2003/08/02 05:00,['2002/12/24 04:00'],"['2002/12/24 04:00 [pubmed]', '2003/08/02 05:00 [medline]', '2002/12/24 04:00 [entrez]']","['S0006-3495(02)75366-6 [pii]', '10.1016/S0006-3495(02)75366-6 [doi]']",ppublish,Biophys J. 2002 Dec;83(6):3665-74. doi: 10.1016/S0006-3495(02)75366-6.,,,,,,,,,,,,,,,,
12495910,NLM,MEDLINE,20030606,20071115,0390-6078 (Print) 0390-6078 (Linking),87,12,2002 Dec,Fingertip cellulitis after fingerstick for capillary microhematocrit measurement in a patient with chronic lymphocytic leukemia: an uncommom infectious complication.,ECR39,,"['Arellano-Rodrigo, Eduardo', 'Rovira, Montserrat', 'Cibeira, Maria Teresa', 'Abello, Deborah', 'Montserrat, Emili']","['Arellano-Rodrigo E', 'Rovira M', 'Cibeira MT', 'Abello D', 'Montserrat E']","['Institute of Hematology and Oncology, Postgraduate School of Hematology Farreras-Valenti, Hospital Clinic, Barcelona, Spain. 34004ear@comb.es']",['eng'],,"['Case Reports', 'Journal Article']",Italy,Haematologica,Haematologica,0417435,,IM,"['Blood Specimen Collection/*adverse effects', 'Capillaries', 'Cellulitis/diagnosis/*etiology', 'Female', 'Fingers/blood supply/*pathology/surgery', 'Hematocrit/adverse effects', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications/drug therapy', 'Middle Aged', 'Needlestick Injuries/microbiology/pathology/therapy', 'Opportunistic Infections/etiology/therapy', 'Staphylococcal Skin Infections/*etiology/therapy']",,2002/12/24 04:00,2003/06/07 05:00,['2002/12/24 04:00'],"['2002/12/24 04:00 [pubmed]', '2003/06/07 05:00 [medline]', '2002/12/24 04:00 [entrez]']",,ppublish,Haematologica. 2002 Dec;87(12):ECR39.,,,,,,,,,,,,,,,,
12495909,NLM,MEDLINE,20030606,20151119,0390-6078 (Print) 0390-6078 (Linking),87,12,2002 Dec,Combination of imatinib and established antileukemic treatment modalities for otherwise refractory BCR-ABL positive lymphoblastic leukemia.,ECR38,,"['Fruehauf, Stefan', 'Topaly, Julian', 'Buss, Eike C', 'Schad, Moritz', 'Goerner, Martin', 'Zeller, W Jens', 'Ho, Anthony D']","['Fruehauf S', 'Topaly J', 'Buss EC', 'Schad M', 'Goerner M', 'Zeller WJ', 'Ho AD']","['Department ofInternal Medicine V, University of Heidelberg, Germany. stefan_fruehauf@med.uni-heidelberg.de']",['eng'],,"['Case Reports', 'Journal Article']",Italy,Haematologica,Haematologica,0417435,"['0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage', 'Benzamides', 'Combined Modality Therapy', 'Fusion Proteins, bcr-abl', 'Humans', 'Imatinib Mesylate', 'Peripheral Blood Stem Cell Transplantation/methods', 'Piperazines/*administration & dosage', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Pyrimidines/*administration & dosage', 'Radiotherapy, Adjuvant', 'Remission Induction/methods', 'Salvage Therapy', 'Transplantation Conditioning/methods']",,2002/12/24 04:00,2003/06/07 05:00,['2002/12/24 04:00'],"['2002/12/24 04:00 [pubmed]', '2003/06/07 05:00 [medline]', '2002/12/24 04:00 [entrez]']",,ppublish,Haematologica. 2002 Dec;87(12):ECR38.,,,,,,,,,,,,,,,,
12495908,NLM,MEDLINE,20030606,20151119,0390-6078 (Print) 0390-6078 (Linking),87,12,2002 Dec,"STI571 (GLIVEC) induced hematologic, cytogenetic and molecular remission in a cml patient relapsing with accelerated phase after allogeneic stem cell transplantation.",ECR37,,"['Consoli, Ugo', 'Milone, Giuseppe', 'Guido, Giulia', 'Consoli, Carla', 'Palumbo, Giuseppe A', 'Giustolisi, Rosario']","['Consoli U', 'Milone G', 'Guido G', 'Consoli C', 'Palumbo GA', 'Giustolisi R']","['Division of Haematology with Bone Marrow Transplantation, University of Catania, Italy. ugo.consoli@tin.it']",['eng'],,"['Case Reports', 'Journal Article']",Italy,Haematologica,Haematologica,0417435,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Antineoplastic Agents/administration & dosage', 'Benzamides', '*Hematopoietic Stem Cell Transplantation/adverse effects', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/therapy', 'Male', 'Middle Aged', 'Piperazines/*administration & dosage', 'Pyrimidines/*administration & dosage', 'Remission Induction/methods', 'Salvage Therapy', 'Transplantation, Homologous']",,2002/12/24 04:00,2003/06/07 05:00,['2002/12/24 04:00'],"['2002/12/24 04:00 [pubmed]', '2003/06/07 05:00 [medline]', '2002/12/24 04:00 [entrez]']",,ppublish,Haematologica. 2002 Dec;87(12):ECR37.,,,,,,,,,,,,,,,,
12495907,NLM,MEDLINE,20030606,20060424,0390-6078 (Print) 0390-6078 (Linking),87,12,2002 Dec,Aggressive natural killer cell leukemia: clinical features and treatment outcome.,1343-5,,"['Song, Seo-Young', 'Kim, Won Seog', 'Ko, Young-Hyeh', 'Kim, Kihyun', 'Lee, Mark H', 'Park, Keunchil']","['Song SY', 'Kim WS', 'Ko YH', 'Kim K', 'Lee MH', 'Park K']",,['eng'],,['Letter'],Italy,Haematologica,Haematologica,0417435,,IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Female', 'Humans', 'Killer Cells, Natural/*pathology', 'Leukemia/mortality/*pathology/*therapy', 'Male', 'Middle Aged', 'Retrospective Studies', 'Survival Rate', 'Treatment Outcome']",,2002/12/24 04:00,2003/06/07 05:00,['2002/12/24 04:00'],"['2002/12/24 04:00 [pubmed]', '2003/06/07 05:00 [medline]', '2002/12/24 04:00 [entrez]']",,ppublish,Haematologica. 2002 Dec;87(12):1343-5.,,,,,,,,,,,,,,,,
12495904,NLM,MEDLINE,20030606,20051117,0390-6078 (Print) 0390-6078 (Linking),87,12,2002 Dec,Core binding factor genes and human leukemia.,1307-23,"BACKGROUND: The core binding factor (CBF) transcription complex, consisting of the interacting proteins RUNX1 and CBFb, is essential for normal hematopoiesis. Recent studies have shown that mutations and gene rearrangements involving this complex are frequently implicated in leukemogenesis. Understanding the molecular events leading to the disruption of CBF has provided important insights into our understanding of the normal regulatory pathways that control hematopoiesis and has begun to reveal how alterations in these pathways induce leukemia. INFORMATION SOURCES: Both authors are involved in the identification and characterization of chromosomal abnormalities associated with hematologic malignancy. This has led to contributions to multicenter clinical and laboratory investigations as well as publications in peer-reviewed journals. All of the references cited in this review are published in journals covered by Medline. State of the Art. The core binding factor (CBF) is a heterodimeric transcription factor composed of the RUNX1 and CBFb subunits. RUNX1 is the DNA binding element of the complex and its affinity is greatly increased in the presence of CBFb. Knock-out studies in mice have demonstrated that both RUNX1 and CBFb are necessary for definitive hematopoiesis. Furthermore, reciprocal chromosomal translocations involving both partners have been directly implicated in leukemogenesis. Evidence is now emerging that at least some of the resulting fusion proteins, namely ETV6-RUNX1, RUNX1-MTG8 and CBFb-MYH11 dominantly inhibit the function of native CBF by recruiting transcriptional co-repressor complexes. However, knock-in studies have shown that whilst expression of these fusion genes may disrupt normal hematopoiesis, this, by itself, is not sufficient for the subsequent development of leukemia. Mutations of RUNX1 have been identified in familial platelet disorder (FDP), in which there is a congenital predisposition to the development of AML and heterozygous point mutations have been identified in the RUNX1 gene in some leukemias. Moreover, a small number of cases have been reported in which amplification of RUNX1 has been detected in childhood ALL suggesting mechanisms other than loss of function, such as gene dosage may also play a role. CONCLUSIONS: Understanding the role CBF plays in normal hematopoiesis and hematologic malignancies has provided critical reagents for the accurate identification of the broad group of leukemias harboring alterations of CBF. The application of these molecular approaches has already shown an impact on the clinical management of these patients and as more information becomes available, the ability to tailor therapy to improve each patient's chance of a cure becomes feasible.","['Hart, Stephen M', 'Foroni, Letizia']","['Hart SM', 'Foroni L']","['Department of Hematology, Royal Free and University College School of Medicine, London, UK. s.hart@ic.ac.uk']",['eng'],,"['Journal Article', 'Review']",Italy,Haematologica,Haematologica,0417435,"['0 (CBFB protein, human)', '0 (Core Binding Factor Alpha 2 Subunit)', '0 (Core Binding Factor beta Subunit)', '0 (DNA-Binding Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 protein, human)', '0 (Transcription Factor AP-2)', '0 (Transcription Factors)']",IM,"['Animals', 'Core Binding Factor Alpha 2 Subunit', 'Core Binding Factor beta Subunit', 'DNA-Binding Proteins/*genetics/physiology', 'Hematopoiesis', 'Humans', 'Leukemia/etiology/*genetics', 'Mutation', '*Proto-Oncogene Proteins', 'Transcription Factor AP-2', 'Transcription Factors/*genetics/physiology']",,2002/12/24 04:00,2003/06/07 05:00,['2002/12/24 04:00'],"['2002/12/24 04:00 [pubmed]', '2003/06/07 05:00 [medline]', '2002/12/24 04:00 [entrez]']",,ppublish,Haematologica. 2002 Dec;87(12):1307-23.,,,184,,,,,,,,,,,,,
