PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RF,CN,GR,AID,TT,LID,DEP,CON,PMC,MID,CIN,CI,EIN,CRI,SI,GN,OID,RIN
17613435,NLM,MEDLINE,20070911,20170922,1535-6108 (Print) 1535-6108 (Linking),12,1,2007 Jul,Recruitment of RXR by homotetrameric RARalpha fusion proteins is essential for transformation.,36-51,"While formation of higher-order oncogenic transcriptional complexes is critical for RARalpha fusion proteins in acute promyelocytic leukemia, the essential components and their roles in mediating transformation are still largely unknown. To this end, the present study demonstrates that homodimerization is not sufficient for RARalpha fusion-mediated transformation, which requires higher-order homotetramerization. Surprisingly, intrinsic homo-oligomeric DNA binding by the fusion proteins is also dispensable. Importantly, higher-order RXR/RARalpha fusion hetero-oligomeric complexes that aberrantly recruit transcriptional corepressors to downstream targets are essential for transformation. Intervention of RXR-dependent pathways by panRXR-agonists or RXRalpha shRNAs suppresses RARalpha fusion-mediated transformation. Taken together, these results define the oncogenic threshold for self-association and reveal the pathological significance of higher-order RARalpha fusion/RXR hetero-oligomeric complexes and their potential value as a therapeutic target.","['Zeisig, Bernd B', 'Kwok, Colin', 'Zelent, Arthur', 'Shankaranarayanan, Pattabhiraman', 'Gronemeyer, Hinrich', 'Dong, Shuo', 'So, Chi Wai Eric']","['Zeisig BB', 'Kwok C', 'Zelent A', 'Shankaranarayanan P', 'Gronemeyer H', 'Dong S', 'So CW']","['Haemato-Oncology Section, The Institute of Cancer Research, 15 Cotswold Road, Sutton, Greater London SM2 5NG, UK.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Cell,Cancer cell,101130617,"['0 (Biopolymers)', '0 (Receptors, Retinoic Acid)', '0 (Recombinant Fusion Proteins)', '0 (Retinoic Acid Receptor alpha)', '0 (Retinoid X Receptor alpha)', '0 (STAT5 Transcription Factor)']",IM,"['Biopolymers', '*Cell Transformation, Neoplastic', 'Receptors, Retinoic Acid/chemistry/*physiology', 'Recombinant Fusion Proteins/*metabolism', 'Retinoic Acid Receptor alpha', 'Retinoid X Receptor alpha/*physiology', 'STAT5 Transcription Factor/physiology']",2007/07/07 09:00,2007/09/12 09:00,['2007/07/07 09:00'],"['2006/11/20 00:00 [received]', '2007/04/10 00:00 [revised]', '2007/06/01 00:00 [accepted]', '2007/07/07 09:00 [pubmed]', '2007/09/12 09:00 [medline]', '2007/07/07 09:00 [entrez]']",ppublish,Cancer Cell. 2007 Jul;12(1):36-51. doi: 10.1016/j.ccr.2007.06.006.,,,"['04-0916/Worldwide Cancer Research/United Kingdom', 'R21 CA119080/CA/NCI NIH HHS/United States']","['S1535-6108(07)00175-4 [pii]', '10.1016/j.ccr.2007.06.006 [doi]']",,,,,,,['Cancer Cell. 2007 Jul;12(1):1-3. PMID: 17613430'],,,,,,,
17613434,NLM,MEDLINE,20070911,20161124,1535-6108 (Print) 1535-6108 (Linking),12,1,2007 Jul,RXR is an essential component of the oncogenic PML/RARA complex in vivo.,23-35,"Although PML-enforced RARA homodimerization allows PML/RARA to bind DNA independently of its coreceptor RXR, the latter was identified within the PML/RARA complex. We demonstrate that a PML/RARA mutant defective for RXR binding fails to trigger APL development in transgenic mice, although it still transforms primary hematopoietic progenitors ex vivo. RXR enhances PML/RARA binding to DNA and is required for rexinoid-induced APL differentiation. In RA-treated PML/RARA-transformed cells, the absence of RXR binding results in monocytic, rather than granulocytic, differentiation. PML/RARA enhances posttranslational modifications of RXRA, including its sumoylation, suggesting that PML-bound sumoylation enzymes target RXRA and possibly other PML/RARA-bound chromatin proteins, further contributing to deregulated transcription. Thus, unexpectedly, RXR contributes to several critical aspects of in vivo transformation.","['Zhu, Jun', 'Nasr, Rihab', 'Peres, Laurent', 'Riaucoux-Lormiere, Florence', 'Honore, Nicole', 'Berthier, Caroline', 'Kamashev, Dmitrii', 'Zhou, Jun', 'Vitoux, Dominique', 'Lavau, Catherine', 'de The, Hugues']","['Zhu J', 'Nasr R', 'Peres L', 'Riaucoux-Lormiere F', 'Honore N', 'Berthier C', 'Kamashev D', 'Zhou J', 'Vitoux D', 'Lavau C', 'de The H']","['CNRS/University Paris VII UMR 7151, laboratoire associe N11 de la Ligue contre le Cancer, Hopital St. Louis, 1, avenue Claude Vellefaux, 75475 Paris Cedex 10, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Cell,Cancer cell,101130617,"['0 (Nuclear Proteins)', '0 (Pml protein, mouse)', '0 (Promyelocytic Leukemia Protein)', '0 (Rara protein, mouse)', '0 (Receptors, Retinoic Acid)', '0 (Retinoic Acid Receptor alpha)', '0 (Retinoid X Receptors)', '0 (Transcription Factors)', '0 (Tumor Suppressor Proteins)']",IM,"['Animals', 'Mice', 'Mice, Transgenic', 'Nuclear Proteins/genetics/*physiology', '*Oncogenes', 'Promyelocytic Leukemia Protein', 'Protein Processing, Post-Translational', 'Receptors, Retinoic Acid/*physiology', 'Retinoic Acid Receptor alpha', 'Retinoid X Receptors/genetics/*physiology', 'Transcription Factors/genetics/*physiology', 'Tumor Suppressor Proteins/genetics/*physiology']",2007/07/07 09:00,2007/09/12 09:00,['2007/07/07 09:00'],"['2006/12/15 00:00 [received]', '2007/04/04 00:00 [revised]', '2007/06/01 00:00 [accepted]', '2007/07/07 09:00 [pubmed]', '2007/09/12 09:00 [medline]', '2007/07/07 09:00 [entrez]']",ppublish,Cancer Cell. 2007 Jul;12(1):23-35. doi: 10.1016/j.ccr.2007.06.004.,,,,"['S1535-6108(07)00173-0 [pii]', '10.1016/j.ccr.2007.06.004 [doi]']",,,,,,,['Cancer Cell. 2007 Jul;12(1):1-3. PMID: 17613430'],,,,,,,
17613430,NLM,MEDLINE,20070911,20070706,1535-6108 (Print) 1535-6108 (Linking),12,1,2007 Jul,Determinants of oncogenic transformation in acute promyelocytic leukemia: the hetero-union makes the force.,1-3,"Acute promyelocytic leukemia (APL) is caused by chromosomal translocations that involve the retinoic acid receptor alpha (RAR) and several other genes to yield X-RAR fusion proteins. Unlike wild-type RARs, which require heterodimerization with the retinoid X receptor (RXR) for their function as DNA-binding transcriptional regulators, X-RAR fusion proteins bind DNA and deregulate transcription as homo-oligomers. In this issue of Cancer Cell, however, Zeisig et al. and Zhu et al. show that RXR recruitment is a critical determinant for the transforming potential of oligomeric X-RAR fusion proteins and explore the possibility for targeted interventions in APL with either RAR or RXR ligands.","['Minucci, Saverio', 'Pelicci, Pier Giuseppe']","['Minucci S', 'Pelicci PG']","['Department of Experimental Oncology, European Institute of Oncology, Via Adamello 16, 20139 Milan, Italy. saverio.minucci@ifom-ieo-campus.it']",['eng'],"['Comment', 'Journal Article', 'Review']",United States,Cancer Cell,Cancer cell,101130617,"['0 (Ligands)', '0 (Receptors, Retinoic Acid)', '0 (Retinoid X Receptors)']",IM,"['*Cell Transformation, Neoplastic', 'Humans', 'Leukemia, Promyelocytic, Acute/*pathology', 'Ligands', 'Receptors, Retinoic Acid/metabolism', 'Retinoid X Receptors/metabolism']",2007/07/07 09:00,2007/09/12 09:00,['2007/07/07 09:00'],"['2007/07/07 09:00 [pubmed]', '2007/09/12 09:00 [medline]', '2007/07/07 09:00 [entrez]']",ppublish,Cancer Cell. 2007 Jul;12(1):1-3. doi: 10.1016/j.ccr.2007.06.012.,10,,,"['S1535-6108(07)00178-X [pii]', '10.1016/j.ccr.2007.06.012 [doi]']",,,,"['Cancer Cell. 2007 Jul;12(1):23-35. PMID: 17613434', 'Cancer Cell. 2007 Jul;12(1):36-51. PMID: 17613435']",,,,,,,,,,
17613428,NLM,MEDLINE,20070828,20151119,1470-2045 (Print) 1470-2045 (Linking),8,7,2007 Jul,JAK2-V617F mutation in a patient with Philadelphia-chromosome-positive chronic myeloid leukaemia.,658-60,,"['Kramer, Alwin', 'Reiter, Andreas', 'Kruth, Jens', 'Erben, Philipp', 'Hochhaus, Andreas', 'Muller, Martin', 'Cross, Nicholas C P', 'Jones, Amy V', 'Ho, Anthony D', 'Hensel, Manfred']","['Kramer A', 'Reiter A', 'Kruth J', 'Erben P', 'Hochhaus A', 'Muller M', 'Cross NC', 'Jones AV', 'Ho AD', 'Hensel M']","['Department of Internal Medicine V, University of Heidelberg, Heidelberg Germany. a.kraemer@dkfz-heidelberg.de']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Lancet Oncol,The Lancet. Oncology,100957246,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Antineoplastic Agents/therapeutic use', 'Benzamides', 'Chromosome Aberrations', 'Chronic Disease', 'DNA Mutational Analysis', 'Genes, abl/genetics', 'Humans', 'Imatinib Mesylate', 'Janus Kinase 2/*genetics', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/*genetics', 'Male', 'Middle Aged', 'Mutation/*genetics', 'Piperazines/therapeutic use', 'Polymerase Chain Reaction', 'Pyrimidines/therapeutic use']",2007/07/07 09:00,2007/08/29 09:00,['2007/07/07 09:00'],"['2007/07/07 09:00 [pubmed]', '2007/08/29 09:00 [medline]', '2007/07/07 09:00 [entrez]']",ppublish,Lancet Oncol. 2007 Jul;8(7):658-60. doi: 10.1016/S1470-2045(07)70206-1.,,,,"['S1470-2045(07)70206-1 [pii]', '10.1016/S1470-2045(07)70206-1 [doi]']",,,,,,,"['Lancet Oncol. 2007 Oct;8(10):863-4. PMID: 17913656', 'Lancet Oncol. 2007 Oct;8(10):864-6. PMID: 17913657']",,,,,,,
17613328,NLM,MEDLINE,20070731,20131121,1549-4713 (Electronic) 0161-6420 (Linking),114,7,2007 Jul,Secondary acute myelogenous leukemia in patients with retinoblastoma: is chemotherapy a factor?,1378-83,"PURPOSE: To describe a series of patients with secondary acute myelogenous leukemia (sAML) and retinoblastoma (RB). DESIGN: Retrospective observational cases series. PARTICIPANTS: Ocular and pediatric oncologists at referral centers in Europe and the Americas and the RB databases at the National Institutes of Health and the Ophthalmic Oncology Service at Memorial Sloan-Kettering Cancer Center. METHODS: Physician survey, retrospective database review, and literature search. MAIN OUTCOME MEASURES: History of RB and development of sAML, management of RB (surgery, radiotherapy, chemotherapy), age at diagnosis of RB and leukemia, French-American-British (FAB) subtype, and current status of patient (alive or dead). RESULTS: Fifteen patients with sAML were identified; 13 occurred in childhood. Mean latent period from RB to AML diagnosis was 9.8 years (median, 42 months). Nine cases were of the M2 or M5 FAB subtypes. Twelve patients (79 %) had received chemotherapy with a topoisomerase II inhibitor, 8 (43%) had received chemotherapy with an epipodophyllotoxin. Ten children died of their leukemia. CONCLUSIONS: Acute myelogenous leukemia is a rare secondary malignancy among retinoblastoma patients, many of whom were treated with primary or adjuvant chemotherapy. Additional studies are needed to assess potential risk factors contributing to sAML development in this cohort.","['Gombos, Dan S', 'Hungerford, John', 'Abramson, David H', 'Kingston, Judith', 'Chantada, Guillermo', 'Dunkel, Ira J', 'Antoneli, Celia B G', 'Greenwald, Mark', 'Haik, Barret G', 'Leal, Carlos A', 'Medina-Sanson, Aurora', 'Schefler, Amy C', 'Veerakul, Gavivann', 'Wieland, Regina', 'Bornfeld, Norbert', 'Wilson, Mathew W', 'Yu, Christopher Bing On']","['Gombos DS', 'Hungerford J', 'Abramson DH', 'Kingston J', 'Chantada G', 'Dunkel IJ', 'Antoneli CB', 'Greenwald M', 'Haik BG', 'Leal CA', 'Medina-Sanson A', 'Schefler AC', 'Veerakul G', 'Wieland R', 'Bornfeld N', 'Wilson MW', 'Yu CB']","['Section of Ophthalmology, Department of Head and Neck Surgery, MD Anderson Cancer Center, Houston, Texas 77030, USA. dgombos@mdanderson.org']",['eng'],"['Journal Article', 'Review']",United States,Ophthalmology,Ophthalmology,7802443,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Enzyme Inhibitors)', '0 (Topoisomerase II Inhibitors)', 'L36H50F353 (Podophyllotoxin)']",IM,"['Antineoplastic Agents, Phytogenic/*adverse effects/therapeutic use', 'Child, Preschool', 'Cohort Studies', 'Databases, Factual', 'Enzyme Inhibitors/*adverse effects/therapeutic use', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Myeloid, Acute/*chemically induced', 'Male', 'Neoplasms, Second Primary/*chemically induced', 'Podophyllotoxin/*adverse effects/therapeutic use', 'Retinal Neoplasms/*drug therapy', 'Retinoblastoma/*drug therapy', 'Retrospective Studies', 'Time Factors', '*Topoisomerase II Inhibitors']",2007/07/07 09:00,2007/08/01 09:00,['2007/07/07 09:00'],"['2006/02/27 00:00 [received]', '2007/03/26 00:00 [revised]', '2007/03/27 00:00 [accepted]', '2007/07/07 09:00 [pubmed]', '2007/08/01 09:00 [medline]', '2007/07/07 09:00 [entrez]']",ppublish,Ophthalmology. 2007 Jul;114(7):1378-83. doi: 10.1016/j.ophtha.2007.03.074.,42,,,"['S0161-6420(07)00377-6 [pii]', '10.1016/j.ophtha.2007.03.074 [doi]']",,,,,,,,,,,,,,
17613124,NLM,MEDLINE,20070926,20070706,0955-3002 (Print) 0955-3002 (Linking),83,8,2007 Aug,Uncoupling of telomere length and radiosensitivity in mouse lymphoma cell lines of similar genetic background.,515-21,"PURPOSE: To investigate the link between radiosensitivity and telomere length in murine lymphoid cell line stocks that have similar genetic backgrounds but different radiosensitivities. MATERIALS AND METHODS: We used two stocks from both the parental L5,178Y-R cell line and the repair-deficient radiosensitive subline, L5,178Y-S, to assess telomere length. We used terminal restriction fragment analysis and flow-fluorescence in situ hybridization (FISH) telomere length assessment to determine telomere lengths in the related radiosensitive and non-radiosensitive cell lines. Each cell line was further tested for retention of its original radiation response phenotype using cell growth assays after treatment with ionizing radiation. RESULTS: One stock of L5,178Y-R cells had long telomeres, whereas the other stock had short telomeres. Likewise, one stock of L5,178Y-S cells had long telomeres, whereas the other stock had short telomeres. Telomere lengths in these cell lines were relatively stable for over 80 divisions in culture. Each cell line was confirmed to have retained its original radiosensitivity phenotype. CONCLUSION: We conclude that radiosensitivity is independent of telomere length in these genetically similar cell lines.","['Sprung, Carl N', 'Davey, Deborah S P', 'Goh, Su Kah', 'Radford, Ian R', 'McKay, Michael J']","['Sprung CN', 'Davey DS', 'Goh SK', 'Radford IR', 'McKay MJ']","['Division of Research, Peter MacCallum Cancer Centre, East Melbourne, Australia.']",['eng'],['Journal Article'],England,Int J Radiat Biol,International journal of radiation biology,8809243,,IM,"['Animals', 'Base Sequence', 'Cell Division/genetics/physiology/radiation effects', 'Cell Line, Tumor/pathology/*radiation effects', 'Cells, Cultured', 'In Situ Hybridization, Fluorescence', 'Leukemia L5178/genetics/*pathology', 'Mice', 'Phenotype', 'Polymorphism, Restriction Fragment Length', 'Radiation, Ionizing', 'Telomere/physiology/*radiation effects']",2007/07/07 09:00,2007/09/27 09:00,['2007/07/07 09:00'],"['2007/07/07 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2007/07/07 09:00 [entrez]']",ppublish,Int J Radiat Biol. 2007 Aug;83(8):515-21. doi: 10.1080/09553000701452270.,,,,"['779758705 [pii]', '10.1080/09553000701452270 [doi]']",,,,,,,,,,,,,,
17612710,NLM,MEDLINE,20071005,20181201,1699-3993 (Print) 1699-3993 (Linking),43,6,2007 Jun,DNA methyltransferases as targets for cancer therapy.,395-422,"Methylation of DNA at 5-position of cytosine, catalyzed by DNA methyltransferases, is the predominant epigenetic modification in mammals. Aberrations in methylation play a causal role in a variety of diseases, including cancer. Recent studies have established that like mutation, methylation-mediated gene silencing often leads to tumorigenesis. Paradoxically, genome-wide DNA hypomethylation may also play a causal role in carcinogenesis by inducing chromosomal instability and spurious gene expression. Since methylation does not alter DNA base sequence, much attention has been focused recently on developing small molecule inhibitors of DNA methyltransferases that can potentially be used as anticancer agents. Vidaza (5-azacytidine), marketed by Pharmion (Boulder, CO, USA), was the first DNA methyltransferase inhibitor approved by the U.S. Food and Drug Administration (FDA) for chemotherapy against myelodysplastic syndrome (MDS), a heterogeneous bone marrow disorder. Recently MGI Pharma Inc. (Bloomington, MN, USA) got FDA approval to market Dacogen (5-aza-2'-deoxycytidine, or decitabine) for treating MDS patients. These drugs were used earlier against certain anemias to induce expression of fetal globin genes. Interest in clinical trials of these drugs as anticancer agents has been renewed only recently because of reversal of methylation-mediated silencing of critical genes in cancer. Clinical trials have shown that both drugs have therapeutic potential against leukemia such as MDS, acute myeloid leukemia, chronic myelogenous leukemia and chronic myelomonocytic leukemia. In contrast, their effectiveness with solid tumors appears to be less promising, which challenges researchers to develop inhibitors with more efficacy and less toxicity. The major hindrance of their usage as anticancer agents is their instability in vivo as well as the toxicity secondary to their excessive incorporation into DNA, which causes cell cycle arrest. Gene expression profiling in cancer cells revealed that antineoplastic property of these drugs is mediated through both methylation-dependent and -independent pathways. Recently, we have shown that treatment of cancer cells with these cytidine analogues also induces proteasomal degradation of DNA methyltransferase 1, the ubiquitously expressed enzyme upregulated in almost all cancer cells. Development of related stable drugs that can facilitate gene activation in cancer cells by enhancing degradation of DNA methyltransferases without being incorporated into DNA would be ideal for chemotherapy. In this monograph we review historical perspective and recent advances on the molecular mechanisms of action and clinical applications of these DNA hypomethylating agents.","['Ghoshal, Kalpana', 'Bai, Shoumei']","['Ghoshal K', 'Bai S']","['Department of Molecular and Cellular Biochemistry, College of Medicine, and Comprehensive Cancer Center, Ohio State University, Columbus, OH 43210, USA. ghoshal.1@osu.edu']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', 'Review']",Spain,Drugs Today (Barc),"Drugs of today (Barcelona, Spain : 1998)",101160518,"['0 (Antineoplastic Agents)', '776B62CQ27 (Decitabine)', 'EC 2.1.1.37 (DNA (Cytosine-5-)-Methyltransferases)', 'M801H13NRU (Azacitidine)']",IM,"['Antineoplastic Agents/*pharmacology/therapeutic use', 'Azacitidine/analogs & derivatives/pharmacology/therapeutic use', 'DNA (Cytosine-5-)-Methyltransferases/*antagonists & inhibitors/genetics', 'DNA Methylation/*drug effects', 'Decitabine', 'Epigenesis, Genetic', 'Female', 'Gene Expression Regulation', 'Gene Silencing', 'Hematologic Neoplasms/drug therapy/metabolism', 'Humans', 'Leukemia, Myeloid/drug therapy/metabolism', 'Male', 'Myelodysplastic Syndromes/drug therapy/metabolism', 'Transcriptional Activation']",2007/07/07 09:00,2007/10/06 09:00,['2007/07/07 09:00'],"['2007/07/07 09:00 [pubmed]', '2007/10/06 09:00 [medline]', '2007/07/07 09:00 [entrez]']",ppublish,Drugs Today (Barc). 2007 Jun;43(6):395-422. doi: 10.1358/dot.2007.43.6.1062666.,252,,"['R01 CA086978/CA/NCI NIH HHS/United States', 'CA86978/CA/NCI NIH HHS/United States']","['1062666 [pii]', '10.1358/dot.2007.43.6.1062666 [doi]']",,,,,,,,,,,,,,
17612648,NLM,MEDLINE,20071016,20131121,0008-4212 (Print) 0008-4212 (Linking),85,3-4,2007 Mar-Apr,Vascular endothelium: target or victim of cytostatic therapy?,396-403,"Chemotherapy continues to be the main therapeutic approach in the treatment of hematological malignancies including acute leukemia. Generally, chemotherapy is used to eliminate cancer cells and to restore normal bone marrow function. Simultaneous action of cytostatic drugs on bone marrow angiogenesis decreases the formation of new capillaries and improves therapeutic effect. However, chemotherapeutic agents may also be cytodestructive for cellular elements of other tissues, particularly the vascular endothelium, which can lead to various cardiovascular complications. In this work, we studied the effects of 2 cytostatic drugs, cytosine arabinoside (ara-C) and daunorubicin (DNR), on cultured human vascular (i.e., umbilical) endothelial cells (ECs). Ara-C and DNR were added to cultured cells at concentrations ranging from 1 ng/mL to 100 microg/mL. Drug effects were studied using phase-contrast microscopy, cell viability tests, BRDU incorporation, immunohistochemistry, flow cytometry, and cell cloning. At various concentrations, ara-C and DNR are able to induce morphological and functional changes in cultured cells related to either cytostatic or cytotoxic action. Moreover, ara-C-treated cultured cells displayed significant disturbances in cell adhesion molecule expression and interaction with blood leukocytes. Preliminary data obtained on acute leukemia patients undergoing standard cytostatic therapy (""7+3"" regimen) have shown that concentration of the circulating ECs was significantly increased compared with the control group and could be as high as 500-1500 cells/mL of blood. Results obtained suggest that anticancer chemotherapy may induce systemic damage of vascular endothelium related to massive cell loss and (or) alterations of endothelial function.","['Romanov, Yuri A', 'Chervontseva, Alevtina M', 'Savchenko, Valery G', 'Smirnov, Vladimir N']","['Romanov YA', 'Chervontseva AM', 'Savchenko VG', 'Smirnov VN']","['Laboratory of Human Stem Cells, Institute of Experimental Cardiology, National Cardiology Research Center, 3rd Cherepkovskaya Str. 15-A, Moscow 121552, Russian Federation. romanov@cardio.ru']",['eng'],['Journal Article'],Canada,Can J Physiol Pharmacol,Canadian journal of physiology and pharmacology,0372712,"['0 (Antineoplastic Agents)', '0 (Cell Adhesion Molecules)', '04079A1RDZ (Cytarabine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Antineoplastic Agents/*pharmacology', 'Cell Adhesion/drug effects', 'Cell Adhesion Molecules/metabolism', 'Cell Line', 'Cell Proliferation/drug effects', 'Cell Survival/drug effects', 'Cytarabine/*pharmacology', 'Daunorubicin/*pharmacology', 'Endothelial Cells/cytology/*drug effects/metabolism', 'Endothelium, Vascular/cytology/drug effects/metabolism', 'Humans', 'Leukocytes/cytology']",2007/07/07 09:00,2007/10/17 09:00,['2007/07/07 09:00'],"['2007/07/07 09:00 [pubmed]', '2007/10/17 09:00 [medline]', '2007/07/07 09:00 [entrez]']",ppublish,Can J Physiol Pharmacol. 2007 Mar-Apr;85(3-4):396-403. doi: 10.1139/y07-045.,,,,"['y07-045 [pii]', '10.1139/y07-045 [doi]']",,,,,,,,,,,,,,
17612494,NLM,MEDLINE,20070801,20131121,1097-2765 (Print) 1097-2765 (Linking),27,1,2007 Jul 6,E2F activation of S phase promoters via association with HCF-1 and the MLL family of histone H3K4 methyltransferases.,107-19,"E2F transcriptional regulators control human-cell proliferation by repressing and activating the transcription of genes required for cell-cycle progression, particularly the S phase. E2F proteins repress transcription in association with retinoblastoma pocket proteins, but less is known about how they activate transcription. Here, we show that the human G1 phase regulator HCF-1 associates with both activator (E2F1 and E2F3a) and repressor (E2F4) E2F proteins, properties that are conserved in insect cells. Human HCF-1-E2F interactions are versatile: their associations and binding to E2F-responsive promoters are cell-cycle selective, and HCF-1 displays coactivator properties when bound to the E2F1 activator and corepressor properties when bound to the E2F4 repressor. During the G1-to-S phase transition, HCF-1 recruits the mixed-lineage leukemia (MLL) and Set-1 histone H3 lysine 4 methyltransferases to E2F-responsive promoters and induces histone methylation and transcriptional activation. These results suggest that HCF-1 induces cell-cycle-specific transcriptional activation by E2F proteins to promote cell proliferation.","['Tyagi, Shweta', 'Chabes, Anna Lena', 'Wysocka, Joanna', 'Herr, Winship']","['Tyagi S', 'Chabes AL', 'Wysocka J', 'Herr W']","['Center for Integrative Genomics, University of Lausanne, Genopode, 1015 Lausanne, Switzerland.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Mol Cell,Molecular cell,9802571,"['0 (E2F Transcription Factors)', '0 (HCFC1 protein, human)', '0 (Host Cell Factor C1)', '0 (Repressor Proteins)', '0 (Retinoblastoma Protein)', '0 (Retinoblastoma-Like Protein p130)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)', 'EC 3.5.1.98 (Histone Deacetylases)', 'EC 3.5.1.98 (Sin3 Histone Deacetylase and Corepressor Complex)', 'K3Z4F929H6 (Lysine)']",IM,"['Amino Acid Sequence', 'Conserved Sequence', 'E2F Transcription Factors/chemistry/*metabolism', 'Evolution, Molecular', 'G1 Phase', 'HeLa Cells', 'Histone Deacetylases/metabolism', 'Histone-Lysine N-Methyltransferase/*metabolism', 'Host Cell Factor C1/*metabolism', 'Humans', 'Lysine/*metabolism', 'Molecular Sequence Data', 'Myeloid-Lymphoid Leukemia Protein/*metabolism', 'Promoter Regions, Genetic/*genetics', 'Protein Binding', 'Protein Structure, Tertiary', 'Repressor Proteins/metabolism', 'Retinoblastoma Protein/metabolism', 'Retinoblastoma-Like Protein p130/metabolism', 'S Phase/*genetics', 'Sin3 Histone Deacetylase and Corepressor Complex', 'Two-Hybrid System Techniques']",2007/07/07 09:00,2007/08/02 09:00,['2007/07/07 09:00'],"['2007/01/19 00:00 [received]', '2007/04/23 00:00 [revised]', '2007/05/22 00:00 [accepted]', '2007/07/07 09:00 [pubmed]', '2007/08/02 09:00 [medline]', '2007/07/07 09:00 [entrez]']",ppublish,Mol Cell. 2007 Jul 6;27(1):107-19. doi: 10.1016/j.molcel.2007.05.030.,,,"['CA13106/CA/NCI NIH HHS/United States', 'GM54598/GM/NIGMS NIH HHS/United States']","['S1097-2765(07)00331-0 [pii]', '10.1016/j.molcel.2007.05.030 [doi]']",,,,,,,['Mol Cell. 2007 Jul 20;27(2):176-7. PMID: 17643366'],,,,,,,
17612259,NLM,MEDLINE,20070802,20161124,0368-2781 (Print) 0368-2781 (Linking),60,2,2007 Apr,[Clinical evaluation of biapenem for febrile neutropenia in patients with hematological disorders].,125-31,"We examined the clinical evaluation of biapenem (BIPM) for febrile neutropenia in patients with hematological disorders. BIPM was administrated by drip infusion when fever developed over 37.5 degrees C with a neutrophil counts lower than 1000/microl. The underlying diseases were acute myelogenous leukemia in 16 cases, acute lymphocytic leukemia in 1, malignant lymphoma in 14, myelodysplastic syndrome in 1, aplastic anemia in 1. Microbiologically documented infections were found in 3 cases (9.1%) before treatment. Clinical effect was excellent in 9 cases, good in 11, fair in 6, poor in 7. Factors associated with efficacy rate were concomitant use of granulocytecolony stimulating factor, duration of neutropenia and neutrophil counts at day 3 of day after start of the therapy. No serious adverse events were observed in all cases, although one case developed exanthema. In conclusion, these results confirmed the efficacy and safety of BIPM for febrile neutropenia in patients with hematological disorders.","['Sakai, Hirotaka', 'Sanada, Masashi', 'Shimamoto, Kenji', 'Azuma, Remi', 'Harada, Hiroshi', 'Mori, Hiraku', 'Niikura, Haruo', 'Omine, Mitsuhiro']","['Sakai H', 'Sanada M', 'Shimamoto K', 'Azuma R', 'Harada H', 'Mori H', 'Niikura H', 'Omine M']","['Division of Hematology, Department of Medicine, Showa University Fujigaoka Hospital.']",['jpn'],['Journal Article'],Japan,Jpn J Antibiot,The Japanese journal of antibiotics,0154402,"['0 (Carbapenems)', '0 (Thienamycins)', 'YR5U3L9ZH1 (biapenem)']",IM,"['Anemia, Aplastic/complications', 'Carbapenems/administration & dosage/*therapeutic use', 'Fever', 'Hematologic Diseases/*complications', 'Humans', 'Infusions, Intravenous', 'Leukemia, Lymphoid/complications', 'Leukemia, Myeloid/complications', 'Lymphoma/complications', 'Myelodysplastic Syndromes/complications', 'Neutropenia/drug therapy', 'Thienamycins/administration & dosage/*therapeutic use', 'Treatment Outcome']",2007/07/07 09:00,2007/08/03 09:00,['2007/07/07 09:00'],"['2007/07/07 09:00 [pubmed]', '2007/08/03 09:00 [medline]', '2007/07/07 09:00 [entrez]']",ppublish,Jpn J Antibiot. 2007 Apr;60(2):125-31.,,,,,,,,,,,,,,,,,,
