PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,AID,TT,PMC,SI,CON,EIN,CIN,RIN,OID
2389943,NLM,MEDLINE,19900925,20171116,0385-0684 (Print) 0385-0684 (Linking),17,8 Pt 1,1990 Aug,[Individualized chemotherapy of adult acute nonlymphocytic leukemia].,1473-80,"The objective of the current study is to clarify the concept and to demonstrate the encouraging results of individualized chemotherapy for adult acute nonlymphocytic leukemia. Settlement of target point for remission induction and individual adjustment of the treatment schedules according to response to therapy is fundamental for the treatment strategy. Since 1982, 37 consecutive adults with newly diagnosed acute nonlymphocytic leukemia were treated with individualized chemotherapy using intensive DCMP sequential multi-step therapy. Eighty-four percent of patients entered CR. Actuarial remission duration at greater than 4 years was 63.4 +/- 10.2% (95% confidence interval).","['Uzuka, Y', 'Saito, Y']","['Uzuka Y', 'Saito Y']","['Third Dept. of Internal Medicine, Tohoku University, School of Medicine, Sendai.']",['jpn'],['Journal Article'],Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['04079A1RDZ (Cytarabine)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'ZS7284E0ZP (Daunorubicin)', 'DCMP protocol']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Drug Administration Schedule', 'Drug Evaluation', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Mercaptopurine/administration & dosage', 'Middle Aged', 'Prednisolone/administration & dosage', 'Remission Induction']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",ppublish,Gan To Kagaku Ryoho. 1990 Aug;17(8 Pt 1):1473-80.,,,,,,,,,,
2389942,NLM,MEDLINE,19900925,20131121,0385-0684 (Print) 0385-0684 (Linking),17,8 Pt 1,1990 Aug,"[Antitumor activity of a novel analog of cytarabine, 4-amino-1-beta-D-arabinofuranosyl-2(1H)-pyrimidinone 5'-(sodium octadecyl phosphate) monohydrate (YNK01)].",1437-45,"4-Amino-1-beta-D-arabinofuranosyl-2(1H)-pyrimidinone 5'-(sodium octadecyl phosphate) monohydrate (YNK01) was an orally active depot form of 1-beta-D-arabinofuranosylcytosine (Ara-C). In the present study, antitumor activity of YNK01 was compared with it of Ara-C in vitro and in vivo. The activity of a main metabolite of YNK01, 5'-carboxypropylphosphate of Ara-C (C-C3PCA), was also studied. Growth inhibitory activity of YNK01 against various cultured tumor cells was 1/32-1/1,100 of that of Ara-C. YNK01 exhibited antitumor activity against L1210 leukemia in mice after i.v., i.p. or p.o. administration. The activity did not depend on the administration routes. Compared with Ara-C, the activity was comparable in both i.v. and i.p. administrations, but greater in p.o. administration. Oral administration of YNK01 showed similar antitumor spectrum to i.p. administration of Ara-C. Oral activity of YNK01 against L1210 leukemia did not depend on the administration schedules but depended on a total administration dose. In contrast, activity of Ara-C greatly depended on the schedules, and the frequent i.p, administration showed greatest activity. Growth inhibitory activity of C-C3PCA against cultured tumor cells was 1/2-1/7 of Ara-C. The metabolite exhibited activity against L1210 leukemia in mice after i.p. administration. These results suggest that YNK01 is a clinically useful drug with p.o. administration for cancers as well as Ara-C.","['Nagahata, T', 'Shibasaki, C', 'Ishii, T', 'Uchida, T', 'Arakawa, M', 'Kusama, K', 'Ekimoto, H', 'Takahashi, K']","['Nagahata T', 'Shibasaki C', 'Ishii T', 'Uchida T', 'Arakawa M', 'Kusama K', 'Ekimoto H', 'Takahashi K']","['Research Laboratories, Pharmaceuticals Group, Nippon Kayaku Co., Ltd.']",['jpn'],"['Comparative Study', 'English Abstract', 'Journal Article']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Antineoplastic Agents)', '0 (Arabinonucleotides)', '0 (Cytosine Nucleotides)', '04079A1RDZ (Cytarabine)', ""3I7U8R8NWC (1-arabinofuranosylcytosine-5'-stearylphosphate)"", ""89142-98-3 (cytarabine 5'-carboxypropylphosphate)"", 'F469818O25 (Cytidine Monophosphate)']",IM,"['Administration, Oral', 'Animals', '*Antineoplastic Agents', 'Arabinonucleotides/administration & dosage/*pharmacology/therapeutic use', 'Cytarabine/pharmacology', 'Cytidine Monophosphate/administration & dosage/analogs & derivatives/*pharmacology/therapeutic use', 'Cytosine Nucleotides/*pharmacology', 'Drug Administration Schedule', 'Drug Screening Assays, Antitumor', 'Female', 'Injections, Intraperitoneal', 'Injections, Intravenous', 'Leukemia L1210/drug therapy', 'Male', 'Mice', 'Neoplasms, Experimental/*drug therapy/pathology', 'Tumor Cells, Cultured/drug effects']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",ppublish,Gan To Kagaku Ryoho. 1990 Aug;17(8 Pt 1):1437-45.,,,,,,,,,,
2389822,NLM,MEDLINE,19900927,20190516,0002-9637 (Print) 0002-9637 (Linking),43,2,1990 Aug,Pulmonary dirofilariasis: restudy of worms reported gravid.,167-9,"A worm in the lung of a man in Colombia, whose death was caused by lymphoid leukemia, originally reported as Wuchereria bancrofti with embryos in the uterus, was re-examined and identified as a Dirofilaria sp. and its gravid condition confirmed. A Dirofilaria sp. in the lung of a man in Japan, reported as gravid, was found to be nongravid with sloughed fragments of lining of the uterus mistaken for microfilariae. Noteworthy in the Colombia case is the association of lymphoid leukemia in the host and the gravid condition of the worm.","['Beaver, P C', 'Orihel, T C', 'Leonard, G']","['Beaver PC', 'Orihel TC', 'Leonard G']","['School of Public Health and Tropical Medicine, Tulane Medical Center, New Orleans, Louisiana.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Trop Med Hyg,The American journal of tropical medicine and hygiene,0370507,,IM,"['Adult', 'Animals', 'Dirofilaria/*anatomy & histology', 'Dirofilaria immitis/*anatomy & histology', 'Dirofilariasis/*parasitology', 'Female', 'Filarioidea/*anatomy & histology', 'Humans', 'Lung Diseases, Parasitic/*parasitology', 'Male', 'Microfilariae/isolation & purification', 'Middle Aged']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",ppublish,Am J Trop Med Hyg. 1990 Aug;43(2):167-9. doi: 10.4269/ajtmh.1990.43.167.,,['10.4269/ajtmh.1990.43.167 [doi]'],,,,,,,,
2389816,NLM,MEDLINE,19900921,20071114,0147-5185 (Print) 0147-5185 (Linking),14,9,1990 Sep,Disseminated dermal dendrocytomas. A new cutaneous fibrohistiocytic proliferative disorder?,867-71,"A 77-year-old white woman presented with 1 1/2-year history of progressively enlarging cutaneous papules, nodules, and plaques, some of which had spontaneously regressed. Her past medical history included untreated chronic lymphocytic leukemia for 10 years' duration. Multiple skin biopsy specimens revealed a diffuse superficial and deep dermal spindle-cell infiltrate accompanied by occasional foamy round cells and multinucleated giant cells. The spindle-shaped cells were focally arranged in a storiform pattern with prominent fibrous stroma. The spindle-shaped cells stained positively for numerous macrophage markers including CD45, factor XIIIa, Leu M5, HLA-DR, CD4, and Leu M3, consistent with dermal dendrocytes. They were also positive for nonspecific esterase and acid phosphatase, which is typical of tissue macrophages. The spindle-shaped cells were negative for CD-1, S-100, and ATPase activity, thus excluding a Langerhans cell immunophenotype. Combining the clinical features, light microscopy, immunohistochemistry, and enzymatic analysis, this patient appears to represent a novel cutaneous fibrohistiocytic proliferative disorder that features large numbers of dermal dendrocytes.","['Nickoloff, B J', 'Wood, G S', 'Chu, M', 'Beckstead, J H', 'Griffiths, C E']","['Nickoloff BJ', 'Wood GS', 'Chu M', 'Beckstead JH', 'Griffiths CE']","['Department of Pathology, University of Michigan Medical Center, Ann Arbor.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Surg Pathol,The American journal of surgical pathology,7707904,['0 (Enzymes)'],IM,"['Aged', 'Dendritic Cells/*pathology', 'Enzymes/analysis', 'Female', 'Follow-Up Studies', 'Histiocytosis/diagnosis/*pathology', 'Humans', 'Immunohistochemistry', 'Skin Diseases/diagnosis/*pathology']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Am J Surg Pathol. 1990 Sep;14(9):867-71.,"['AR01823/AR/NIAMS NIH HHS/United States', 'AR35897/AR/NIAMS NIH HHS/United States', 'AR4005/AR/NIAMS NIH HHS/United States']",,,,,,,,,
2389796,NLM,MEDLINE,19900927,20061115,0148-7299 (Print) 0148-7299 (Linking),36,4,1990 Aug,Fanconi anemia in black African children.,408-13,"Fanconi anemia (FA) has rarely been reported in black children either in the United States or Africa. This report describes 25 black African children with FA seen in Johannesburg over an 11-year period. The prevalence of homozygotes was estimated to be 1:476,000. Clinical manifestations, mean age at diagnosis, and hematologic and chromosome abnormalities were similar to those described in other ethnic groups. Response to androgens was poor and most patients required regular transfusions. Seventeen (68%) of the children died during the 11-year observation period. Leukemia was the terminal event in 2 patients. The mean age at death was 9.8 years and the mean time between diagnosis and death 2.3 years. The poor response to androgens, high mortality, and early mean age at death would favor consideration of early bone marrow transplantation in these children.","['Macdougall, L G', 'Greeff, M C', 'Rosendorff, J', 'Bernstein, R']","['Macdougall LG', 'Greeff MC', 'Rosendorff J', 'Bernstein R']","['Department of Paediatrics, University of the Witwatersrand, Johannesburg, South Africa.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Med Genet,American journal of medical genetics,7708900,['0 (Androgens)'],IM,"['Africa, Southern/epidemiology', 'Androgens/therapeutic use', 'Anemia, Aplastic/*epidemiology', 'Bone Marrow Examination', 'Child', 'Child, Preschool', 'Chromosome Aberrations', 'Fanconi Anemia/complications/*epidemiology/genetics/therapy', 'Female', 'Hematologic Tests', 'Humans', 'Incidence', 'Male']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",ppublish,Am J Med Genet. 1990 Aug;36(4):408-13. doi: 10.1002/ajmg.1320360408.,,['10.1002/ajmg.1320360408 [doi]'],,,,,,['Am J Med Genet. 1992 Feb 1;42(3):393-4. PMID: 1536187'],,
2389773,NLM,MEDLINE,19900921,20190820,0361-8609 (Print) 0361-8609 (Linking),35,1,1990 Sep,Gastrointestinal cancer in patients with chronic myeloid leukemia on busulphan treatment.,69,,"['Storti, S', 'Pagano, L', 'Marra, R', ""D'Addosio, A"", 'Ricerca, B M', 'Mancini, R', 'Bizzi, B']","['Storti S', 'Pagano L', 'Marra R', ""D'Addosio A"", 'Ricerca BM', 'Mancini R', 'Bizzi B']",,['eng'],"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,['G1LN9045DK (Busulfan)'],IM,"['Busulfan/*therapeutic use', 'Female', 'Gastrointestinal Neoplasms/*complications', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*chemically induced/drug therapy', 'Male', 'Middle Aged']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Am J Hematol. 1990 Sep;35(1):69. doi: 10.1002/ajh.2830350117.,,['10.1002/ajh.2830350117 [doi]'],,,,,,,,
2389771,NLM,MEDLINE,19900921,20190820,0361-8609 (Print) 0361-8609 (Linking),35,1,1990 Sep,Distribution of cell surface glycoprotein CD9 (P24) antigen on megakaryocyte lineage leukemias and cell lines.,65-7,"We herein describe CD9 (p24) antigen as existing on the cell surface of megakaryocyte lineage leukemias as well as megakaryocytic leukemia cell line, MEG-01 and HEL, by means of fluorescence-activated cell sorter (FACS IV) with a panel of monoclonal antibodies (Mabs). We found CD9 antigen expression on the cell surface of megakaryoblastic leukemias as well as MEG-01 and HEL cells. Furthermore, CD9 antigen expression increased while culturing these cells with phorbol esters, and was also found in the cytoplasm by means of indirect immunofluorescence test. These findings clearly showed that CD9 antigen exists on the cell surface of megakaryocytic cells which are capable of synthesizing the CD9.","['Imamura, N', 'Mtasiwa, D M', 'Ota, H', 'Inada, T', 'Kuramoto, A']","['Imamura N', 'Mtasiwa DM', 'Ota H', 'Inada T', 'Kuramoto A']","['Department of Internal Medicine, Hiroshima University, Japan.']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,"['0 (Antigens, CD)', '0 (Antigens, Differentiation)', '0 (CD9 protein, human)', '0 (Membrane Glycoproteins)', '0 (Tetraspanin 29)']",IM,"['Antigens, CD/analysis', 'Antigens, Differentiation/*analysis', 'Cell Line', 'Humans', 'Leukemia, Erythroblastic, Acute/*immunology/pathology', 'Leukemia, Megakaryoblastic, Acute/*immunology/pathology', '*Membrane Glycoproteins', 'Tetraspanin 29', 'Thrombocythemia, Essential/*immunology/pathology']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Am J Hematol. 1990 Sep;35(1):65-7. doi: 10.1002/ajh.2830350115.,,['10.1002/ajh.2830350115 [doi]'],,,,,,,,
2389769,NLM,MEDLINE,19900921,20190820,0361-8609 (Print) 0361-8609 (Linking),35,1,1990 Sep,Prolymphocytic leukemia treated with natural and recombinant alpha-interferon.,56-8,The patient was a 65 year old woman with a massive splenomegaly and no lymphoadenopathy. An electron microscopic study of the peripheral blood cells revealed that these cells were prolymphocytes with a single large nucleolus. Treatment with native and recombinant alpha-interferon has produced an impressive reduction in spleen size and in the count of prolymphocytes.,"['Terashima, T', 'Ohtake, K', 'Ogawa, T']","['Terashima T', 'Ohtake K', 'Ogawa T']","['Department of Internal Medicine, School of Medicine, Keio University, Tokyo, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Interferon Type I)', '0 (Recombinant Proteins)']",IM,"['Aged', 'Cell Nucleolus/ultrastructure', 'Female', 'Humans', 'Interferon Type I/*therapeutic use', 'Leukemia, Prolymphocytic/complications/pathology/*therapy', 'Leukocyte Count/drug effects', 'Lymphocytes/pathology/ultrastructure', 'Microscopy, Electron', 'Recombinant Proteins', 'Splenomegaly/diagnostic imaging/etiology', 'Tomography, X-Ray Computed']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Am J Hematol. 1990 Sep;35(1):56-8. doi: 10.1002/ajh.2830350112.,,['10.1002/ajh.2830350112 [doi]'],,,,,,,,
2389762,NLM,MEDLINE,19900927,20190510,0002-9262 (Print) 0002-9262 (Linking),132,3,1990 Sep,"Re: The authors reply to ""Re: 'Acute nonlymphocytic leukemia and residential exposure to power-frequency magnetic fields'"".",584-5,,"['Archer, V E']",['Archer VE'],,['eng'],['Letter'],United States,Am J Epidemiol,American journal of epidemiology,7910653,,IM,"['*Electromagnetic Fields', '*Electromagnetic Phenomena', 'Humans', 'Leukemia, Myeloid, Acute/*etiology']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Am J Epidemiol. 1990 Sep;132(3):584-5. doi: 10.1093/oxfordjournals.aje.a115695.,,['10.1093/oxfordjournals.aje.a115695 [doi]'],,,,,,,,
2389746,NLM,MEDLINE,19900927,20190510,0002-9262 (Print) 0002-9262 (Linking),132,3,1990 Sep,Cigarette smoking and acute nonlymphocytic leukemia.,418-22,"In a case-control study of acute nonlymphocytic leukemia in western Washington state, cigarette smokers experienced a twofold increased risk of acute nonlymphocytic leukemia compared with nonsmokers. Risk increased significantly with the number of pack-years smoked (p = 0.0008) and decreased with the number of years stopped smoking (p = 0.15). The increased risk in smokers appeared to be limited to those who inhaled into the chest. The authors suggest that further studies of this potential relation are warranted, especially since the prevalence of cigarette smoking is relatively high in our society.","['Severson, R K', 'Davis, S', 'Heuser, L', 'Daling, J R', 'Thomas, D B']","['Severson RK', 'Davis S', 'Heuser L', 'Daling JR', 'Thomas DB']","['Div. of Epidemiology, U. of Minnesota, Minneapolis, MN 55455.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Epidemiol,American journal of epidemiology,7910653,,IM,"['Case-Control Studies', 'Epidemiologic Methods', 'Humans', 'Leukemia, Myeloid, Acute/*epidemiology/etiology', 'Registries', 'Risk Factors', 'Smoking/*adverse effects', 'Washington']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Am J Epidemiol. 1990 Sep;132(3):418-22. doi: 10.1093/oxfordjournals.aje.a115676.,,['10.1093/oxfordjournals.aje.a115676 [doi]'],,,,,,,,
2389745,NLM,MEDLINE,19900927,20190510,0002-9262 (Print) 0002-9262 (Linking),132,3,1990 Sep,Cancer near the Three Mile Island nuclear plant: radiation emissions.,397-412; discussion 413-7,"As a public charge, cancers among the 159,684 residents living within a 10-mile (16-km) radius of the Three Mile Island nuclear plant were studied relative to releases of radiation during the March 28, 1979, accident as well as to routine plant emissions. The principal cancers considered were leukemia and childhood malignancies. Estimates of the emissions delivered to small geographic study tracts were derived from mathematical dispersion models which accounted for modifying factors such as wind and terrain; the model of accident emissions was validated by readings from off-site dosimeters. Incident cancers among area residents for the period 1975-1985 (n = 5,493) were identified by a review of the records at all local and regional hospitals; preaccident and postaccident trends in cancer rates were examined. For accident emissions, the authors failed to find definite effects of exposure on the cancer types and population subgroups thought to be most susceptible to radiation. No associations were seen for leukemia in adults or for childhood cancers as a group. For leukemia in children, the odds ratio was raised, but cases were few (n = 4), and the estimate was highly variable. Moreover, rates of childhood leukemia in the Three Mile Island area are low compared with national and regional rates. For exposure to routine emissions, the odds ratios were raised for childhood cancers as a whole and for childhood leukemia, but confidence intervals were wide and included 1.0. For leukemia in adults, there was a negative trend. Trends for two types of cancer ran counter to expectation. Non-Hodgkin's lymphoma showed raised risks relative to both accident and routine emissions; lung cancer (adjusted only indirectly for smoking) showed raised risks relative to accident emissions, routine emissions, and background gamma radiation. Overall, the pattern of results does not provide convincing evidence that radiation releases from the Three Mile Island nuclear facility influenced cancer risk during the limited period of follow-up.","['Hatch, M C', 'Beyea, J', 'Nieves, J W', 'Susser, M']","['Hatch MC', 'Beyea J', 'Nieves JW', 'Susser M']","['Div. of Epidemiology, Columbia U. School of Public Health, New York, NY 10032.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Epidemiol,American journal of epidemiology,7910653,"['0 (Air Pollutants)', '0 (Air Pollutants, Radioactive)']",IM,"['Adolescent', 'Adult', 'Air Pollutants/*adverse effects', 'Air Pollutants, Radioactive/*adverse effects', 'Child', 'Child, Preschool', 'Environmental Exposure', 'Epidemiologic Methods', 'Humans', 'Infant', 'Leukemia, Radiation-Induced/*epidemiology', 'Neoplasms/epidemiology/*etiology', '*Nuclear Reactors', 'Pennsylvania']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Am J Epidemiol. 1990 Sep;132(3):397-412; discussion 413-7. doi: 10.1093/oxfordjournals.aje.a115673.,,['10.1093/oxfordjournals.aje.a115673 [doi]'],,,,,,,,
2389740,NLM,MEDLINE,19900927,20071115,0002-9270 (Print) 0002-9270 (Linking),85,9,1990 Sep,Metastatic liver calcification in adult T-cell leukemia-lymphoma associated with hypercalcemia.,1202-3,,"['Senba, M', 'Kawai, K', 'Chiyoda, S', 'Takahara, O']","['Senba M', 'Kawai K', 'Chiyoda S', 'Takahara O']",,['eng'],"['Case Reports', 'Letter']",United States,Am J Gastroenterol,The American journal of gastroenterology,0421030,,IM,"['Aged', 'Calcinosis/*etiology', 'Humans', 'Hypercalcemia/*complications', 'Leukemia-Lymphoma, Adult T-Cell/*complications/pathology', 'Liver Diseases/*etiology', 'Male', 'Neoplasm Metastasis']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Am J Gastroenterol. 1990 Sep;85(9):1202-3.,,,,,,,,,,
2389566,NLM,MEDLINE,19900927,20161109,0507-4088 (Print) 0507-4088 (Linking),35,2,1990 Mar-Apr,[Stimulating action of the vaccinia virus on the development of spontaneous and induced neoplasms in mice].,130-2,Vaccinia virus was shown to exert a stimulating effect on the emergence of spontaneous neoplasia and Rauscher virus-induced hemoblastoses in BALB/cJLacSto mice. The mechanism of the stimulating effect is discussed.,"[""Khar'kovskaia, N A"", 'Merekalova, Z I', 'Khrustalev, S A']","[""Khar'kovskaia NA"", 'Merekalova ZI', 'Khrustalev SA']",,['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Vopr Virusol,Voprosy virusologii,0417337,['0 (Smallpox Vaccine)'],IM,"['Animals', 'Dose-Response Relationship, Immunologic', 'Female', 'Leukemia, Experimental/epidemiology/etiology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Neoplasms/epidemiology/*etiology', 'Neoplasms, Experimental/epidemiology/*etiology', 'Rauscher Virus/immunology', 'Smallpox Vaccine/administration & dosage', 'Time Factors', 'Vaccinia virus/*immunology']",1990/03/01 00:00,1990/03/01 00:01,['1990/03/01 00:00'],"['1990/03/01 00:00 [pubmed]', '1990/03/01 00:01 [medline]', '1990/03/01 00:00 [entrez]']",ppublish,Vopr Virusol. 1990 Mar-Apr;35(2):130-2.,,,Stimuliruiushchee deistvie virusa ospovaktsiny na razvitie spontannykh i indutsirovannykh novoobrazovanii u myshei.,,,,,,,
2389277,NLM,MEDLINE,19900924,20120924,0039-1735 (Print) 0039-1735 (Linking),69,3,1990 May-Jun,[Hemangiomatosis].,50-1,"The authors discuss the possibility of systemic hemangiomatosis that is difficult to diagnose and treat. In the case they dealt with a disseminated involvement of the oral cavity was combined with lymph node angiomas and, possibly, with angiomas of other organs. The condition had to be differentiated from tuberculosis, Hodgkin's disease, leukemia, and multiple tumors.","[""Karpel', G G"", 'Galkina, T S', 'Serova, T A', 'Shashkov, P F']","[""Karpel' GG"", 'Galkina TS', 'Serova TA', 'Shashkov PF']",,['rus'],"['Case Reports', 'English Abstract', 'Journal Article']",Russia (Federation),Stomatologiia (Mosk),Stomatologiia,0412072,,IM,"['Diagnosis, Differential', 'Female', 'Hemangioma, Cavernous/*diagnosis', 'Humans', 'Lymphatic Metastasis', 'Mandible', 'Maxilla', 'Middle Aged', 'Mouth Neoplasms/*diagnosis', 'Neoplasms, Multiple Primary/*diagnosis']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",ppublish,Stomatologiia (Mosk). 1990 May-Jun;69(3):50-1.,,,Gemangiomatoz.,,,,,,,
2389239,NLM,MEDLINE,19900924,20081121,0040-5930 (Print) 0040-5930 (Linking),47,7,1990 Jul,[Quiz on the topic of infection and surgery. Myeloproliferative syndrome: chronic megakaryocytic granulocytic myelosis with myelofibrosis Philadelphia positive 4/86].,537-8,,"['Leutenegger, A F', 'Wust, W']","['Leutenegger AF', 'Wust W']","['Chirurgische Klinik, Ratischen Kantons- und Regionalspitals, Chur.']",['ger'],"['Case Reports', 'Journal Article']",Switzerland,Ther Umsch,Therapeutische Umschau. Revue therapeutique,0407224,,IM,"['Abscess/*pathology', 'Adult', 'Biopsy', 'Female', 'Humans', 'Knee', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*pathology', 'Opportunistic Infections/*pathology', 'Primary Myelofibrosis/*pathology', 'Skin/pathology', 'Skin Neoplasms/*pathology', 'Thrombocythemia, Essential/*pathology']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",ppublish,Ther Umsch. 1990 Jul;47(7):537-8.,,,Quiz zum Problem Infektion und Chirurgie. Myeloproliferatives Syndrom: chronisch-megakaryozytare granulozytare Myelose mit Knochenmarksfibrosierung Philadelphia-positiv 4/86.,,,,,,,
2389132,NLM,MEDLINE,19900926,20190907,0355-3140 (Print) 0355-3140 (Linking),16,4,1990 Aug,"Cancer risk among health care personnel in Finland, 1971-1980.",252-7,"Standardized incidence ratios were calculated for the assessment of cancer risk among Finnish health care personnel in 1971-1980. The overall relative cancer risk among the men was low when compared with that of all economically active men, mainly due to the low relative risk of lung cancer. The cancer risk of female health care personnel was increased when compared with that of all economically active women. The relative risk of breast cancer among registered nurses was high, being twice that of practical nurses, who had an average risk. In contrast, the risk of lymphomas, leukemia, and primary liver carcinoma was low among registered nurses and high among practical nurses. Although specific occupational exposures could not be assessed, the results did not imply any alarming major hazards related to health care work itself.","['Sankila, R', 'Karjalainen, S', 'Laara, E', 'Pukkala, E', 'Teppo, L']","['Sankila R', 'Karjalainen S', 'Laara E', 'Pukkala E', 'Teppo L']","['Finnish Cancer Registry, Helsinki.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Finland,Scand J Work Environ Health,"Scandinavian journal of work, environment & health",7511540,,IM,"['Adult', 'Environmental Exposure', 'Female', 'Finland', '*Health Occupations', 'Humans', 'Incidence', 'Male', 'Middle Aged', 'Neoplasms/*epidemiology', 'Nurses', 'Occupational Diseases/*epidemiology', 'Physicians', 'Risk Factors']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",ppublish,Scand J Work Environ Health. 1990 Aug;16(4):252-7. doi: 10.5271/sjweh.1787.,,"['1787 [pii]', '10.5271/sjweh.1787 [doi]']",,,,,,,,
