PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LA,PT,PL,TA,JT,JID,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,FAU,AU,AD,RN,GR,PMC,SI,GS,TT,RF,EIN,CON,OID,OAB,OABL,OTO,OT,GN
1662780,NLM,MEDLINE,19920220,20031114,0028-2685 (Print) 0028-2685 (Linking),38,6,1991,Antigen capture assay for detection of bovine leukemia virus proteins by monoclonal antibodies.,625-31,['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,IM,,"['Animals', 'Antibodies, Monoclonal/*immunology', 'Antigens, Viral/*analysis', 'Leukemia Virus, Bovine/*immunology', 'Mice', 'Mice, Inbred BALB C', 'Rats', 'Viral Proteins/*analysis']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1991;38(6):625-31.,"A capture monoclonal antibody-based assay has been established for detecting the p24 core protein and the gp51 envelope glycoprotein of bovine leukemia virus (BLV). This assay is rapid, highly sensitive and specific. Viral antigens in test samples were identified using mouse monoclonal antibody-coated or microtiter plates by adding labeled monoclonal antibodies with different epitope specificities. The choice of an appropriate epitope specificity for the specificity of monoclonal antibodies was important for optimal performance of the assay. Results of this assay were in agreement with the syncytia induction assay routinely used for detecting BLV production by cells in vitro. The sensitivity of monoclonal antibody assay was 0.5 ng/ml for p24 and 1.25 ng/ml for gp51, respectively. The specificity was demonstrated by immunoblotting. The assay can be performed in a few hours, is simple, and is comparable with more time-consuming assays with regard to sensitivity and specificity.","['Ban, J', 'Altanerova, V', 'Orlik, O', 'Altaner, C']","['Ban J', 'Altanerova V', 'Orlik O', 'Altaner C']","['Department of Molecular Virology, Slovak Academy of Sciences, Bratislava, Czechoslovakia.']","['0 (Antibodies, Monoclonal)', '0 (Antigens, Viral)', '0 (Viral Proteins)']",,,,,,,,,,,,,,
1662677,NLM,MEDLINE,19920214,20190723,0022-1759 (Print) 0022-1759 (Linking),145,1-2,1991 Dec 15,Cloning of human heterohybridoma cell lines using chronic lymphocytic leukemia B cells as a feeder layer.,193-7,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Immunol Methods,Journal of immunological methods,1305440,IM,,"['Animals', 'Cell Transformation, Viral', 'Clone Cells', 'Herpesvirus 4, Human', 'Humans', 'Hybrid Cells', 'Hybridomas/*cytology', 'Leukemia, Lymphocytic, Chronic, B-Cell/pathology', 'Mice', 'Tumor Cells, Cultured']",1991/12/15 00:00,1991/12/15 00:01,['1991/12/15 00:00'],"['1991/12/15 00:00 [pubmed]', '1991/12/15 00:01 [medline]', '1991/12/15 00:00 [entrez]']","['0022-1759(91)90326-B [pii]', '10.1016/0022-1759(91)90326-b [doi]']",ppublish,J Immunol Methods. 1991 Dec 15;145(1-2):193-7. doi: 10.1016/0022-1759(91)90326-b.,B cells from the peripheral blood of chronic lymphocytic leukemia patients were isolated by gradient density centrifugation and used without irradiation as a feeder layer in the cloning of human heterohybridoma cell lines by limiting dilution. Cloning efficiencies were high with all the cell lines tested. These feeder leukemia B cells could also be successfully used after having been stored in liquid nitrogen.,"['Sanchez, B', 'Robledo, M M', 'Yelamos, J', 'Gonzalez, M F', 'Magarino, R', 'Bermudo, M P', 'Nunez-Roldan, A']","['Sanchez B', 'Robledo MM', 'Yelamos J', 'Gonzalez MF', 'Magarino R', 'Bermudo MP', 'Nunez-Roldan A']","['Servicio de Immunologia, Hospital Universitario Virgen del Rocio, Sevilla, Spain.']",,,,,,,,,,,,,,,
1662570,NLM,MEDLINE,19920220,20071115,0009-918X (Print) 0009-918X (Linking),31,8,1991 Aug,[A case of adult T cell leukemia/lymphoma with motor and sensory polyneuropathy].,853-7,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Shinkeigaku,Rinsho shinkeigaku = Clinical neurology,0417466,IM,,"['CD4-CD8 Ratio', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*complications', 'Male', 'Middle Aged', 'Motor Neuron Disease/*etiology', '*Neurons, Afferent', 'Peripheral Nervous System Diseases/etiology']",1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",,ppublish,Rinsho Shinkeigaku. 1991 Aug;31(8):853-7.,"A 62-year-old man was admitted to our hospital because of two months continuing paresthesia and muscle weakness of distal portions of the four limbs. On general physical examination, skin lesions, lymphadenopathy and hepatosplenomegaly were not found. Neurological examination revealed moderate weakness in the bilateral distal muscles of the lower limbs and left distal muscles of the upper limbs, and slight weakness in the right distal muscles of the upper limbs and the bilateral proximal muscles of the four limbs. Hand grasping powers were 24 kg and 2 kg on the right and left, respectively. The biceps, triceps and radial reflexes were decreased on the right, but normal on the left. The Achilles tendon reflex was decreased on the right and absent on the left. Paresthesia and superficial sensory disturbance were observed with glove and stocking distribution, which was more severe on the left side. The vibration and position senses were slightly decreased in the distal part of the lower limbs. On the laboratory examinations, serum anti-HTLV-I antibody was positive and no abnormal lymphocytes were observed in peripheral blood. Cerebrospinal fluid findings were normal, and anti-HTLV-I antibody was negative. Motor and sensory conduction velocities were normal or slightly decreased in all of the limb nerves examined, but the amplitudes of the compound muscle action potentials and the sensory nerve action potentials were asymmetrically decreased. Needle EMG showed fibrillation potentials and giant spikes with a reduction in number of motor unit potentials. The histological examination of the biopsied sural nerve revealed severe axonal degeneration without evidence of vasculitis or infiltration of abnormal lymphocytes.(ABSTRACT TRUNCATED AT 250 WORDS)","['Nakano, S', 'Ohnishi, A', 'Oishi, T', 'Murai, Y', 'Nagata, K']","['Nakano S', 'Ohnishi A', 'Oishi T', 'Murai Y', 'Nagata K']","['Department of Neurology, University of Occupational and Environmental Health.']",,,,,,,,,,,,,,,
1662565,NLM,MEDLINE,19920218,20170112,0392-856X (Print) 0392-856X (Linking),9,6,1991 Nov-Dec,Detection of anti-neutrophil cytoplasmic autoantibodies using the promyelocytic HL-60 cell-line.,569-80,['eng'],"['Comparative Study', 'Journal Article']",Italy,Clin Exp Rheumatol,Clinical and experimental rheumatology,8308521,IM,,"['Antibodies, Antineutrophil Cytoplasmic', 'Autoantibodies/*analysis', 'Fluorescent Antibody Technique', 'Granulomatosis with Polyangiitis/immunology/pathology', 'Humans', 'Immunoglobulin G/*analysis/immunology', 'Leukemia, Promyelocytic, Acute/enzymology/*immunology/*pathology', 'Neutrophils/immunology/physiology', 'Peroxidase/metabolism', 'Tumor Cells, Cultured/enzymology/immunology/pathology']",1991/11/01 00:00,1991/11/01 00:01,['1991/11/01 00:00'],"['1991/11/01 00:00 [pubmed]', '1991/11/01 00:01 [medline]', '1991/11/01 00:00 [entrez]']",,ppublish,Clin Exp Rheumatol. 1991 Nov-Dec;9(6):569-80.,"IgG autoantibodies against antigen in the cytoplasm of cells of the neutrophil-monocyte cell lineage have been found in the sera of patients with Wegener's granulomatosis (WG). The indirect immunofluorescence test (IFT) is proving to be a valuable screening test for these antibodies, but obtaining neutrophils for substrate is time-consuming, and interpretation of the fluorescence patterns in ethanol-fixed cells requires considerable experience. We report an improved IFT using HL-60 cells as substrate. The myeloid reactivity of HL-60 cells was characterized and compared to that of neutrophils, with and without prior ethanol fixation. In contrast to neutrophils, myeloperoxidase (MPO) was more completely extracted from HL-60 cells by prior ethanol fixation, eliminating the confusion inherent in trying to distinguish anti-MPO antibodies from Wegener's granulomatosis associated anti-neutrophil cytoplasmic autoantibodies (WG-ANCA) in the IFT. The WG-ANCA reactivity remained intact with ethanol fixation, producing a distinct crescent and half-moon pattern of specific immunofluorescence. This WG-ANCA positive pattern was found in 25 sera from 11 WG patients and was absent in over 1200 control sera from patients referred for autoantibody testing.","['Wheeler, F B', 'Saluta, G', 'Wise, C M', 'Semble, E L', 'Pisko, E J']","['Wheeler FB', 'Saluta G', 'Wise CM', 'Semble EL', 'Pisko EJ']","['Department of Medicine, Bowman Gray School of Medicine of Wake Forest University, Winston-Salem, NC 27103.']","['0 (Antibodies, Antineutrophil Cytoplasmic)', '0 (Autoantibodies)', '0 (Immunoglobulin G)', 'EC 1.11.1.7 (Peroxidase)']",,,,,,,,,,,,,,
1662552,NLM,MEDLINE,19920220,20041117,1131-7108 (Print) 1131-7108 (Linking),25,3,1991,Retinoids and their nuclear receptors.,209-35,['eng'],"['Journal Article', 'Review']",Spain,Cell Biol Rev,Cell biology reviews : CBR,9114929,IM,,"['Amino Acid Sequence', 'Cell Nucleus/metabolism', 'Cells, Cultured', 'Gene Expression Regulation/drug effects', 'Models, Molecular', 'Molecular Sequence Data', 'Receptors, Cell Surface/genetics/*metabolism', 'Retinoids/*metabolism/pharmacology', 'Structure-Activity Relationship', 'Transcription, Genetic/drug effects']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",,ppublish,Cell Biol Rev. 1991;25(3):209-35.,"Retinoids (retinoic acid and its biofunctional analogs) are widely involved in the control of cell proliferation, cell differentiation, and embryogenic development. A series of novel synthetic retinoids (called retinobenzoic acids), which include retinoid antagonists, have been developed and have been shown to be useful tools to investigate retinoidal action molecular mechanisms. Retinoids elicit their biological effects by binding to specific nuclear receptors (RARs) belonging to a steroid/thyroid nuclear receptor superfamily. RARs act as retinoid-dependent transcription factors which bind to a specific gene site and control the gene's expression. The diversity of retinoidal actions can possibly be interpreted by considering the following characteristics, all of which are quite diversified: the structure and spatial/temporal distribution of RARs, the base sequences which interact with RARs, the cell type specifically determined hierarchy of gene expression, and the nuclear coregulators which interact with RARs. Abnormality of an RAR gene which might cause acute promyelocytic leukemia is also discussed.","['Hashimoto, Y', 'Shudo, K']","['Hashimoto Y', 'Shudo K']","['Institute of Applied Microbiology, University of Tokyo, Japan.']","['0 (Receptors, Cell Surface)', '0 (Retinoids)']",,,,,,194,,,,,,,,
1662538,NLM,MEDLINE,19920214,20190609,0006-3002 (Print) 0006-3002 (Linking),1070,2,1991 Dec 9,Fusion of Sendai virus with human HL-60 and CEM cells: different kinetics of fusion for two isolates.,446-54,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,IM,,"['Ammonium Chloride/pharmacology', 'Cell Line', 'Erythrocyte Membrane/physiology', 'Humans', 'Hydrogen-Ion Concentration', 'Kinetics', 'Leukemia, Promyelocytic, Acute', 'Leukemia, T-Cell', 'Liposomes', '*Membrane Fusion/drug effects', 'Parainfluenza Virus 1, Human/*physiology', 'Spectrometry, Fluorescence', 'Temperature']",1991/12/09 00:00,1991/12/09 00:01,['1991/12/09 00:00'],"['1991/12/09 00:00 [pubmed]', '1991/12/09 00:01 [medline]', '1991/12/09 00:00 [entrez]']","['0005-2736(91)90085-M [pii]', '10.1016/0005-2736(91)90085-m [doi]']",ppublish,Biochim Biophys Acta. 1991 Dec 9;1070(2):446-54. doi: 10.1016/0005-2736(91)90085-m.,"The kinetics of fusion of Sendai virus (Z strain) with the human promyelocytic leukemia cell line HL-60, and the human T lymphocytic leukemia cell line CEM was investigated. Fusion was monitored by fluorescence dequenching of octadecylrhodamine (R-18) incorporated in the viral membrane. For one virus isolate (Z/G), the overall rate of fusion (at 37 degrees C) increased as the pH was lowered, reaching a maximum at about pH 5, the lowest pH tested. For another isolate (Z/SF) the rate and extent of fusion were lower at pH 5 than at neutral pH. Lowering the pH from neutral to 5 after several minutes of incubation of either isolate with HL-60 cells resulted in an enhanced rate of fluorescence dequenching. Nevertheless, experiments utilizing NH4Cl indicated that fusion of the virus with cells was not enhanced by the mildly acidic pH of the endosome lumen. Analysis of the kinetics of fusion by means of a mass action model resulted in good simulation and predictions for the time-course of fusion. For the isolate which showed maximal fusogenic activity at pH 5, the rate constant of fusion (approx. 0.1 s-1) at neutral pH was in the range found previously for virus-liposome fusion, whereas the rate constant of adhesion was close to the upper limit for diffusion-controlled processes (1.4.10(10) M-1 s-1). However, for the other isolate (Z/SF) the rate constant of fusion at neutral pH was very small (less than 0.01 s-1), whereas the rate constant of adhesion was larger (greater than or equal to 2.10(10) M-1 s-1). Lowering the temperature decreased the fusion rate. Experiments involving competition with excess unlabeled virions indicated that not all binding sites for Sendai virus on HL-60 cells are fusion sites. The virus fusion activity towards HL-60 cells at neutral pH was not altered significantly by pre-incubation of the virus at pH 5 or 9, in contrast to earlier observations with liposomes and erythrocyte ghosts, or results based on erythrocyte hemolysis or cell-cell fusion.","['Pedroso de Lima, M C', 'Nir, S', 'Flasher, D', 'Klappe, K', 'Hoekstra, D', 'Duzgunes, N']","['Pedroso de Lima MC', 'Nir S', 'Flasher D', 'Klappe K', 'Hoekstra D', 'Duzgunes N']","['Cancer Research Institute, University of California, San Francisco.']","['0 (Liposomes)', '01Q9PC255D (Ammonium Chloride)']","['AI-25534/AI/NIAID NIH HHS/United States', 'GM-31506/GM/NIGMS NIH HHS/United States']",,,,,,,,,,,,,
1662514,NLM,MEDLINE,19920218,20131121,0266-9536 (Print) 0266-9536 (Linking),6,5,1991 Nov,"Pyrazole analogues of the bispyrrolecarboxamide anti-tumour antibiotics: synthesis, DNA binding and anti-tumour properties.",501-17,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Anticancer Drug Des,Anti-cancer drug design,8603523,IM,,"['Amides/*chemical synthesis/metabolism/pharmacology', 'Animals', 'Antibiotics, Antineoplastic/*chemical synthesis/metabolism/pharmacology', 'Base Sequence', 'DNA, Neoplasm/*metabolism', 'Leukemia L1210/drug therapy/pathology', 'Leukemia P388/drug therapy/pathology', 'Molecular Sequence Data', 'Netropsin/analogs & derivatives', 'Oligonucleotides/metabolism', 'Poly dA-dT/metabolism', 'Polydeoxyribonucleotides/metabolism', 'Pyrroles/*chemical synthesis/metabolism/pharmacology', 'Tumor Cells, Cultured']",1991/11/01 00:00,1991/11/01 00:01,['1991/11/01 00:00'],"['1991/11/01 00:00 [pubmed]', '1991/11/01 00:01 [medline]', '1991/11/01 00:00 [entrez]']",,ppublish,Anticancer Drug Des. 1991 Nov;6(5):501-17.,"Four bispyrazole compounds have been prepared as potentially more stable analogues of the DNA minor groove binding polypyrrole compounds netropsin and distamycin, which are susceptible to oxidative breakdown. These compounds bind less strongly to DNA, and show much lower specificity for binding to AT-rich DNA sequences in comparison with distamycin. N.m.r. studies show that two of these compounds cause a downfield shift of the DNA imino proton resonances on interaction with the oligonucleotide d(ATATATATAT)2, suggesting that these isomers can adopt low-energy conformations similar to that shown by distamycin in its DNA minor groove binding site. The benzoic acid mustard analogue of one of the minor groove binding bispyrazoles was prepared, and showed in vitro cytotoxicity comparable with that of the previously-reported distamycin mustard, but only a low level of activity in vivo.","['Lee, H H', 'Boyd, M', 'Gravatt, G L', 'Denny, W A']","['Lee HH', 'Boyd M', 'Gravatt GL', 'Denny WA']","['Cancer Research Laboratory, University of Auckland School of Medicine, New Zealand.']","['0 (Amides)', '0 (Antibiotics, Antineoplastic)', '0 (DNA, Neoplasm)', '0 (Oligonucleotides)', '0 (Polydeoxyribonucleotides)', '0 (Pyrroles)', '26966-61-0 (Poly dA-dT)', '29855-95-6 (poly(dC-dG))', '64B3O0RD7N (Netropsin)']",,,,,,,,,,,,,,
1662494,NLM,MEDLINE,19920207,20190612,0006-291X (Print) 0006-291X (Linking),181,3,1991 Dec 31,Increase in intracellular calcium induced by stimulating histamine H1 receptors in macrophage-like P388D1 cells.,1156-63,['eng'],['Journal Article'],United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,IM,,"['Animals', 'Calcium/*metabolism/pharmacology', 'Cell Line', 'Cyclic AMP/metabolism', 'Cyclic GMP/metabolism', 'Fura-2', 'Histamine/*pharmacology', 'Kinetics', 'Leukemia P388', 'Macrophages/drug effects/*physiology', 'Microscopy, Fluorescence', 'Pyrilamine/*pharmacology', 'Receptors, Histamine H1/drug effects/*physiology']",1991/12/31 00:00,1991/12/31 00:01,['1991/12/31 00:00'],"['1991/12/31 00:00 [pubmed]', '1991/12/31 00:01 [medline]', '1991/12/31 00:00 [entrez]']","['0006-291X(91)92060-W [pii]', '10.1016/0006-291x(91)92060-w [doi]']",ppublish,Biochem Biophys Res Commun. 1991 Dec 31;181(3):1156-63. doi: 10.1016/0006-291x(91)92060-w.,"The addition of histamine to macrophage-like P388D1 cells resulted in a dose-dependent increase in intracellular calcium [Ca2+]i measured by fura-2 in single cells. The maximum level of [Ca2+]i was obtained by addition of 1 x 10(-4) M histamine. The increase was primarily due to release from the intracellular store. The addition of an H1 specific antagonist pyrilamine before histamine treatment inhibited the increase reversibly, while an H2 specific antagonist cimetidine had no inhibitory effect. Histamine also resulted in a dose-dependent increase in cGMP but not in cAMP. These data suggest the existence of histamine H1 receptors in these cells and histamine may have some biological effect on the function of macrophages via [Ca2+]i and cGMP as the second messengers.","['Ohno, S', 'Shirai, A', 'Ueda, A', 'Igarashi, T', 'Ishigatsubo, Y', 'Tani, K', 'Okubo, T', 'Hikawa, N', 'Kawakami, T', 'Takenaka, T']","['Ohno S', 'Shirai A', 'Ueda A', 'Igarashi T', 'Ishigatsubo Y', 'Tani K', 'Okubo T', 'Hikawa N', 'Kawakami T', 'Takenaka T']","['First Department of Internal Medicine, Yokohama City University, School of Medicine, Japan.']","['0 (Receptors, Histamine H1)', '820484N8I3 (Histamine)', 'E0399OZS9N (Cyclic AMP)', 'H2D2X058MU (Cyclic GMP)', 'HPE317O9TL (Pyrilamine)', 'SY7Q814VUP (Calcium)', 'TSN3DL106G (Fura-2)']",,,,,,,,,,,,,,
1662289,NLM,MEDLINE,19920211,20190710,0022-2836 (Print) 0022-2836 (Linking),222,4,1991 Dec 20,Distribution of topoisomerase II cleavage sites in simian virus 40 DNA and the effects of drugs.,909-24,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,J Mol Biol,Journal of molecular biology,2985088R,IM,,"['Amsacrine/*pharmacology', 'Animals', 'Base Sequence', '*DNA Damage', 'DNA Replication', 'DNA Topoisomerases, Type II/*metabolism', 'DNA, Viral/drug effects/*metabolism', 'Daunorubicin/*analogs & derivatives/pharmacology', 'Ellipticines/*pharmacology', 'Genome, Viral', 'Kinetics', 'Leukemia L1210/enzymology', 'Mice', 'Molecular Sequence Data', 'Restriction Mapping', 'Simian virus 40/*genetics', 'Substrate Specificity', 'Teniposide/*pharmacology']",1991/12/20 00:00,1991/12/20 00:01,['1991/12/20 00:00'],"['1991/12/20 00:00 [pubmed]', '1991/12/20 00:01 [medline]', '1991/12/20 00:00 [entrez]']","['0022-2836(91)90585-T [pii]', '10.1016/0022-2836(91)90585-t [doi]']",ppublish,J Mol Biol. 1991 Dec 20;222(4):909-24. doi: 10.1016/0022-2836(91)90585-t.,"The distributions of DNA cleavage sites induced by topoisomerase II in the presence or absence of specific drugs were mapped in the simian virus 40 genome. The drugs studied were 5-iminodaunorubicin, amsacrine (m-AMSA), teniposide (VM-26) and 2-methyl-9-hydroxyellipticinium; each produced a distinctive pattern of enhanced cleavage. Consistently intense cleavage, both in the presence and in the absence of drugs, occurred in the nuclear matrix-associated region. Since topoisomerase II is a major constituent of the nuclear matrix, and cleavage complexes include a covalent link between topoisomerase II and DNA, the findings suggest that topoisomerase II may function to attach DNA to the nuclear matrix. Cleavage usually occurred on both DNA strands with the expected four base-pair 5' stagger, and strong sites tended to occur within A/T runs such as have been associated with binding to the nuclear scaffold. Intense cleavage was present also in the replication termination region, but was absent from the vicinity of the replication origin. Cleavage intensities were found to change with time in a manner that depended both on the site and on the drug, suggesting that topoisomerase II can move along the DNA from a kinetically preferred site to a thermodynamically preferred site.","['Pommier, Y', 'Capranico, G', 'Orr, A', 'Kohn, K W']","['Pommier Y', 'Capranico G', 'Orr A', 'Kohn KW']","['Laboratory of Molecular Pharmacology, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892.']","['0 (DNA, Viral)', '0 (Ellipticines)', '00DPD30SOY (Amsacrine)', '1F1959S062 (elliptinium)', '957E6438QA (Teniposide)', 'EC 5.99.1.3 (DNA Topoisomerases, Type II)', 'P910685S6G (5-iminodaunorubicin)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,,,,,,,,,
1662237,NLM,MEDLINE,19920212,20190827,0021-9975 (Print) 0021-9975 (Linking),105,3,1991 Oct,C cell hyperplasia and carcinoma developing in sheep with experimentally-induced lymphosarcoma.,313-22,['eng'],['Journal Article'],England,J Comp Pathol,Journal of comparative pathology,0102444,IM,,"['Animals', 'Biomarkers, Tumor/analysis', 'Carcinoma/microbiology/pathology/*veterinary', 'Female', 'Hyperplasia', 'Leukemia Virus, Bovine/*pathogenicity', 'Lymphoma, Non-Hodgkin/*microbiology', 'Male', 'Neoplasm Proteins/analysis', 'Neoplasms, Multiple Primary/microbiology/pathology/*veterinary', 'Sheep', 'Sheep Diseases/microbiology/*pathology', 'Thyroid Gland/*pathology', 'Thyroid Neoplasms/microbiology/pathology/*veterinary']",1991/10/01 00:00,1991/10/01 00:01,['1991/10/01 00:00'],"['1991/10/01 00:00 [pubmed]', '1991/10/01 00:01 [medline]', '1991/10/01 00:00 [entrez]']","['S0021-9975(08)80199-5 [pii]', '10.1016/s0021-9975(08)80199-5 [doi]']",ppublish,J Comp Pathol. 1991 Oct;105(3):313-22. doi: 10.1016/s0021-9975(08)80199-5.,"Two cases of C cell hyperplasia and one case of C cell carcinoma of the thyroid glands were bilaterally recognized in 11 sheep with experimentally-induced lymphosarcoma. The serum calcium concentration in the C cell carcinoma case was slightly increased above the normal concentration of around 9 mg per dl. Bilateral C cell hyperplasia also developed in the thyroid lobes of the C cell carcinoma case. Immunohistochemically, hyperplastic C cells and tumour cells were positive for calcitonin, calcitonin gene-related peptide, chromogranin A and neurone-specific enolase. No amyloid deposition nor multiple endocrine neoplasia was demonstrated in any of the cases. Ultrastructurally, many secretory granules were observed in the cytoplasm of neoplastic cells constituting the C cell carcinoma and in the hyperplastic C cells.","['Okada, H', 'Fujimoto, Y', 'Ohshima, K', 'Matsukawa, K']","['Okada H', 'Fujimoto Y', 'Ohshima K', 'Matsukawa K']","['Department of Veterinary Pathology, School of Veterinary Medicine, Rakuno Gakuen University, Hokkaido, Japan.']","['0 (Biomarkers, Tumor)', '0 (Neoplasm Proteins)']",,,,,,,,,,,,,,
1662204,NLM,MEDLINE,19920207,20210210,0021-9258 (Print) 0021-9258 (Linking),266,36,1991 Dec 25,IgE-induced tyrosine phosphorylation of phospholipase C-gamma 1 in rat basophilic leukemia cells.,24237-40,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,IM,,"['Animals', 'Benzoquinones', 'Blotting, Western', 'Enzyme Activation', 'Immunoglobulin E/*metabolism', 'Isoenzymes/*metabolism', 'Lactams, Macrocyclic', 'Leukemia, Basophilic, Acute', 'Phosphorylation', 'Phosphotransferases', '*Phosphotransferases (Alcohol Group Acceptor)', 'Precipitin Tests', 'Quinones/pharmacology', 'Rats', 'Rifabutin/analogs & derivatives', 'Tumor Cells, Cultured', 'Type C Phospholipases/*metabolism', 'Tyrosine/*metabolism']",1991/12/25 00:00,1991/12/25 00:01,['1991/12/25 00:00'],"['1991/12/25 00:00 [pubmed]', '1991/12/25 00:01 [medline]', '1991/12/25 00:00 [entrez]']",['S0021-9258(18)54217-4 [pii]'],ppublish,J Biol Chem. 1991 Dec 25;266(36):24237-40.,"Stimulation of rat basophilic leukemia (RBL-2H3) cells with oligomeric IgE elicited a rapid and transient phosphorylation of phospholipase C (PLC)-gamma 1 on tyrosine residues. Prior incubation of RBL-2H3 cells with a protein tyrosine kinase inhibitor, herbimycin A, prevented the tyrosine phosphorylation of PLC-gamma 1 as well as the hydrolysis of phosphatidylinositol 4,5-bisphosphate induced by oligomeric IgE. However, 5'-(N-ethyl)carboxamidoadenosine, which is known to activate PLC through a G protein, did not elicit tyrosine phosphorylation of PLC-gamma 1. These results, together with previous findings showing that tyrosine phosphorylation of PLC-gamma 1 enhances its catalytic activity, indicate that phosphorylation of PLC-gamma 1 by a nonreceptor tyrosine kinase is the mechanism by which IgE receptor aggregation triggers PLC activation.","['Park, D J', 'Min, H K', 'Rhee, S G']","['Park DJ', 'Min HK', 'Rhee SG']","['Laboratory of Biochemistry, National Heart, Lung, and Blood Institute, National Institutes of Health, Bethesda, Maryland 20892.']","['0 (Benzoquinones)', '0 (Isoenzymes)', '0 (Lactams, Macrocyclic)', '0 (Quinones)', '1W306TDA6S (Rifabutin)', '37341-29-0 (Immunoglobulin E)', '42HK56048U (Tyrosine)', '70563-58-5 (herbimycin)', 'EC 2.7.- (Phosphotransferases)', 'EC 2.7.1.- (Phosphotransferases (Alcohol Group Acceptor))', 'EC 2.7.1.- (phosphatidylinositol 4,5-biphosphate kinase)', 'EC 3.1.4.- (Type C Phospholipases)']",,,,,,,,,,,,,,
