PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,PMC,OID,OTO,OT,GN,AD,SI,GR
144198,NLM,MEDLINE,19771229,20071115,0485-1439 (Print) 0485-1439 (Linking),17,8,1976 Aug,[Reinduction chemotherapy of acute leukemia with neocarzinostatin and other conventional antileukemic agents (author's transl)].,838-43,,"['Nagao, T', 'Kammura, O', 'Nozaki, H', 'Takahashi, Y', 'Niiya, K']","['Nagao T', 'Kammura O', 'Nozaki H', 'Takahashi Y', 'Niiya K']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Antibiotics, Antineoplastic)', '9014-02-2 (Zinostatin)']",IM,"['Adolescent', 'Adult', 'Antibiotics, Antineoplastic/*administration & dosage', 'Drug Therapy, Combination', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Remission, Spontaneous', 'Zinostatin/*administration & dosage']",1976/08/01 00:00,1976/08/01 00:01,['1976/08/01 00:00'],"['1976/08/01 00:00 [pubmed]', '1976/08/01 00:01 [medline]', '1976/08/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1976 Aug;17(8):838-43.,,,,,,,,,,
144095,NLM,MEDLINE,19771229,20190708,0020-7136 (Print) 0020-7136 (Linking),20,4,1977 Oct 15,Growth inhibitory effects of interferon on normal and malignant human haemopoietic cells.,500-5,"A study of the effects of human leukocyte and lymphoblastoid interferon preparation on the growth of normal, immune and malignant haemopoietic cells has been carried out. At a standard dose of 10,000 U/ml, incorporation of tritiated thymidine ([3H] TdR) was reduced by 7-92% of control values, and cell survival by 35-82% in acute myelogenous leukaemia cell cultures, whereas in normal bone-marrow cultures interferon showed a 58-62% reduction in [3H] TdR uptake but only up to 13% reduction in cell survival. [3H] TdR incorporation by MLC-stimulated lymphocytes was also significantly reduced by interferon but the blastogenic response to PHA was not. These effects of interferon were shown to be dose-dependent. The problems of using interferon in the treatment of AML in the light of these findings are discussed.","['Balkwill, F R', 'Oliver, R T']","['Balkwill FR', 'Oliver RT']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,"['0 (Lectins)', '9008-11-1 (Interferons)']",IM,"['Cell Count', 'Cell Division/drug effects', 'Cell Survival', 'Cells, Cultured', 'Hematopoietic Stem Cells/*drug effects', 'Humans', 'Interferons/*pharmacology', 'Lectins/pharmacology', '*Leukemia, Myeloid, Acute', 'Leukocytes/drug effects', 'Lymphocyte Activation/drug effects', 'Lymphocyte Culture Test, Mixed']",1977/10/15 00:00,1977/10/15 00:01,['1977/10/15 00:00'],"['1977/10/15 00:00 [pubmed]', '1977/10/15 00:01 [medline]', '1977/10/15 00:00 [entrez]']",['10.1002/ijc.2910200405 [doi]'],ppublish,Int J Cancer. 1977 Oct 15;20(4):500-5. doi: 10.1002/ijc.2910200405.,,,,,,,,,,
143976,NLM,MEDLINE,19771229,20091111,0007-4551 (Print) 0007-4551 (Linking),64,2,1977,Clinical and hematological heterogeneity of T-cell derived lymphoproliferative diseases.,267-74,"Human lymphoproliferative disorders characterized by T derived neoplastic cells include Sezary's syndrome and mycosis fungoides, most childhood lymphoblastic lymphomas, about a quarter of acute lymphoblastic leukemias and rare cases of poorly differentiated immunoblastic or lymphocytic lymphomas as well as a small percentage of chronic lymphocytic leukemias. Particular emphasis is placed on the immunological diagnosis of T derived cells using various membrane markers and on the hematological and clinical features of each of the disorders discussed.","['Brouet, J C', 'Flandrin, G']","['Brouet JC', 'Flandrin G']",['eng'],['Journal Article'],France,Bull Cancer,Bulletin du cancer,0072416,,IM,"['Adult', 'B-Lymphocytes/immunology', 'Child', 'Dermatitis, Exfoliative/immunology', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Lymphatic Diseases/*immunology', 'Lymphoma, Non-Hodgkin/*immunology', 'Mycosis Fungoides/*immunology', 'Pruritus/complications', 'Rosette Formation', 'Skin Neoplasms/*immunology', 'Syndrome', '*T-Lymphocytes/immunology']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Bull Cancer. 1977;64(2):267-74.,,,,,,,,,,
143886,NLM,MEDLINE,19771125,20190509,0002-9173 (Print) 0002-9173 (Linking),68,4,1977 Oct,T cell leukemia--lymphoma in young adults.,429-39,"The clinical, pathologic, immunologic and electron microscopic findings in three cases of young men who had T cell leukemia and lymphoma are presented. The disease in this older age group appears to have the same characteristics as that seen in children. It is an aggressive, rapidly fatal disease with a poor response to the usual chemotherapeutic regimens for acute leukemia or poorly differentiated lymphocytic lymphoma, with which this T cell disorder is frequently grouped. An example of Burkitt's lymphoma in another young man is presented briefly to illustrate the clinical, morphologic and immunologic similarities to and differences from an aggressive B cell lymphoma.","['Palutke, M', 'Patt, D J', 'Weise, R', 'Varadachari, C', 'Wylin, R F', 'Bishop, C R', 'Tabaczka, P M']","['Palutke M', 'Patt DJ', 'Weise R', 'Varadachari C', 'Wylin RF', 'Bishop CR', 'Tabaczka PM']",['eng'],"['Case Reports', 'Journal Article']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Adolescent', 'Adult', 'Burkitt Lymphoma/blood/pathology', 'Humans', 'Immunologic Techniques', 'Lymphocyte Activation', 'Lymphocyte Culture Test, Mixed', 'Lymphoma/*blood/immunology/ultrastructure', 'Male', '*T-Lymphocytes/immunology/ultrastructure']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",['10.1093/ajcp/68.4.429 [doi]'],ppublish,Am J Clin Pathol. 1977 Oct;68(4):429-39. doi: 10.1093/ajcp/68.4.429.,,,,,,,,,,
143779,NLM,MEDLINE,19771130,20191028,0340-1227 (Print) 0340-1227 (Linking),375,3,1977 Sep 28,Leukemic nodules in the eye in immature-cellular infantile leukoses.,249-56,"Two boys, aged 5 1/4 and 10 1/4, respectively, with acute immature-cell leukosis, died of massive cerebral haemorrhage. Their eyes showed extensive leukaemic involvement of the retina with development of numerous miliary leukaemic nodules; the vitreous of case 2 was also involved. The lesions were considered to have developed because of high circulating white cell counts, a tendency of blast cells to produce nodules, an oxygen poor avascular matrix in which to grow, and a physical environment which permitted growth without haemorrhage or distortion due to tissue pressures etc. Using histological methods, an attempt is made to trace the pattern of formation of the nodule, from an initial growing focus through ""colonial"" form resembling a bacterial colony to lysis. Necrotic blast cells are apparently a metabolic source for viable tumour cells. Their localization in the eye makes access by cytotoxic drugs difficult; thus they should be considered as blast cell pools.","['Schmid, K O', 'Mutz, I', 'Ritzinger, I']","['Schmid KO', 'Mutz I', 'Ritzinger I']",['eng'],['Journal Article'],Germany,Virchows Arch A Pathol Anat Histol,"Virchows Archiv. A, Pathological anatomy and histology",7505137,,IM,"['Acute Disease', 'Cerebral Hemorrhage/complications', 'Child', 'Child, Preschool', 'Humans', 'Leukemia/*complications/pathology', 'Leukocyte Count', 'Male', 'Retinal Diseases/*complications', 'Vitreous Body/pathology']",1977/09/28 00:00,1977/09/28 00:01,['1977/09/28 00:00'],"['1977/09/28 00:00 [pubmed]', '1977/09/28 00:01 [medline]', '1977/09/28 00:00 [entrez]']",['10.1007/BF01102993 [doi]'],ppublish,Virchows Arch A Pathol Anat Histol. 1977 Sep 28;375(3):249-56. doi: 10.1007/BF01102993.,,,,,,,,,,
143777,NLM,MEDLINE,19771130,20191028,0340-1227 (Print) 0340-1227 (Linking),375,3,1977 Sep 28,Unusual obliterative disease of the hepatic veins in an infant.,225-32,"Hepatic fibrosis with obliterative lesions of the small hepatic veins occurred in a three month old infant with fatal congenital leukaemia treated with cytostatic drugs. The vascular changes were characterized by an unusual, hitherto unreported angiomatoid, proliferation of the endothelium. The process is compared with the more common subendothelial-fibrous type of the ""veno-occlusive disease"". An etiological interpretation is difficult, possibly the process is a secondary reaction to the endothelial to a cytostatic-induced lesion with hepatic fibrosis.","['Burkhardt, A', 'Kloppel, G']","['Burkhardt A', 'Kloppel G']",['eng'],"['Case Reports', 'Journal Article']",Germany,Virchows Arch A Pathol Anat Histol,"Virchows Archiv. A, Pathological anatomy and histology",7505137,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/adverse effects', 'Endothelium', '*Hepatic Veins/pathology', 'Humans', 'Infant', 'Leukemia/complications/congenital', 'Liver Cirrhosis/*complications', 'Male']",1977/09/28 00:00,1977/09/28 00:01,['1977/09/28 00:00'],"['1977/09/28 00:00 [pubmed]', '1977/09/28 00:01 [medline]', '1977/09/28 00:00 [entrez]']",['10.1007/BF01102990 [doi]'],ppublish,Virchows Arch A Pathol Anat Histol. 1977 Sep 28;375(3):225-32. doi: 10.1007/BF01102990.,,,,,,,,,,
143763,NLM,MEDLINE,19771125,20080116,0042-4846 (Print) 0042-4846 (Linking),,8,1977 Aug,[Leukemia in cattle in Armenia].,61-3,,"['Marukian, M Kh', 'Adamian, Iu S']","['Marukian MKh', 'Adamian IuS']",['rus'],['Journal Article'],Russia (Federation),Veterinariia,Veterinariia,0412751,,IM,"['Age Factors', 'Animals', 'Armenia', 'Cattle', 'Cattle Diseases/blood/*epidemiology', 'Leukemia/blood/epidemiology/*veterinary', 'Leukocyte Count']",1977/08/01 00:00,1977/08/01 00:01,['1977/08/01 00:00'],"['1977/08/01 00:00 [pubmed]', '1977/08/01 00:01 [medline]', '1977/08/01 00:00 [entrez]']",,ppublish,Veterinariia. 1977 Aug;(8):61-3.,,Leikozy krupnogo rogatogo skota v Armenii.,,,,,,,,
143740,NLM,MEDLINE,19771130,20190727,0041-1132 (Print) 0041-1132 (Linking),17,5,1977 Sep-Oct,"Continuous- and semicontinuous-flow blood centrifugation systems: therapeutic applications, with plasma-, platelet, lympha-, and eosinapheresis.",407-16,"Blood centrifugation, with a continuous-flow or semicontinuous-flow system, was used in the treatment of 17 patients with various hematologic disorders. Total plasma exchange (TPE) controlled symptoms of hyperviscosity and arrested bleeding in three patients. In two patients, TPE made is possible to perform urgent surgical procedures. It was a very valuable adjuvant in the treatment of one patient with a Factor VIII inhibitor. Eosinapheresis was not of significant value in the therapy of syndromes associated with eosinophilia. Lymphapheresis significantly reduced peripheral lymphocytosis, aiding in the chemotherapeutic control of chronic lymphosarcoma cell leukemia in one patient. It was of questionable value in the maintenance therapy of two patients with Sezary syndrome. Plateletapheresis significantly reduced peripheral platelet count in thrombocytosis, making it possible to minimize the chemotherapeutic dose and permitting urgent surgical procedures in two patients.","['Pineda, A A', 'Brzica, S M Jr', 'Taswell, H F']","['Pineda AA', 'Brzica SM Jr', 'Taswell HF']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Transfusion,Transfusion,0417360,,IM,"['Adult', 'Aged', 'Blood Viscosity', 'Dermatitis, Exfoliative/therapy', 'Eosinophilia/therapy', 'Eosinophils/transplantation', 'Female', 'Hematologic Diseases/*therapy', 'Humans', 'Lymphocyte Transfusion', 'Male', 'Middle Aged', 'Paraproteinemias/therapy', '*Plasmapheresis', 'Platelet Transfusion', 'Syndrome']",1977/09/01 00:00,2001/03/28 10:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1977/09/01 00:00 [entrez]']",['10.1046/j.1537-2995.1977.17578014576.x [doi]'],ppublish,Transfusion. 1977 Sep-Oct;17(5):407-16. doi: 10.1046/j.1537-2995.1977.17578014576.x.,,,,,,,,,,
143701,NLM,MEDLINE,19771125,20150828,0080-0015 (Print) 0080-0015 (Linking),,61,1977,Hemopoietic colonies: in vitro cloning of normal and leukemic cells.,"Title page, 1-227",,"['Metcalf, D']",['Metcalf D'],['eng'],"['Journal Article', 'Review']",Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,"['0 (Colony-Stimulating Factors)', '0 (Growth Inhibitors)']",IM,"['Animals', 'Cells, Cultured', '*Clone Cells/cytology', 'Colony-Stimulating Factors/pharmacology', 'Eosinophils/cytology', 'Erythrocytes/cytology', 'Growth Inhibitors/pharmacology', 'Hematopoiesis/drug effects', '*Hematopoietic Stem Cells', 'Humans', 'Leukemia/*pathology', 'Leukemia, Experimental/pathology', 'Leukemia, Lymphoid/pathology', 'Leukemia, Myeloid/pathology', 'Lymphocytes/cytology', 'Macrophages/cytology', 'Megakaryocytes/cytology', 'Myeloproliferative Disorders/pathology', 'Neutrophils/cytology', 'Plasmacytoma/pathology']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,"Recent Results Cancer Res. 1977;(61):Title page, 1-227.",428,,,,,,,,,
143666,NLM,MEDLINE,19771125,20071115,0361-7742 (Print) 0361-7742 (Linking),16,,1977,The HLA system and survival in malignant disease: Hodgkin's disease and carcinoma of the breast.,205-19,,"['Falk, J', 'Osoba, D']","['Falk J', 'Osoba D']",['eng'],['Journal Article'],United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,"['0 (Antigens, Neoplasm)', '0 (HLA Antigens)']",IM,"['Antigens, Neoplasm/analysis', 'Breast Neoplasms/immunology/*mortality', 'HLA Antigens/*analysis', 'Hodgkin Disease/immunology/*mortality', 'Humans', 'Leukemia, Lymphoid/immunology/mortality', 'Leukemia, Myeloid/immunology/mortality', 'Lymphocyte Culture Test, Mixed']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Prog Clin Biol Res. 1977;16:205-19.,,,,,,,,,,
143601,NLM,MEDLINE,19771125,20140729,,125,8,1977 Aug,[Evaluation of handicapped children according to the low concerning severe disability. New guiding figures in expert testimony].,802-4,,"['Ewerbeck, H']",['Ewerbeck H'],['ger'],['Journal Article'],Germany,Monatsschr Kinderheilkd,Monatsschrift fur Kinderheilkunde,0400751,,IM,"['Adolescent', 'Asthma/classification', 'Child', 'Child Behavior Disorders/classification', 'Child, Preschool', 'Cystic Fibrosis/classification', 'Deafness/classification', 'Diabetes Mellitus, Type 1/classification', '*Disability Evaluation', '*Disabled Persons', 'Down Syndrome/classification', 'Epilepsy/classification', 'Germany, West', 'Heart Defects, Congenital/classification', 'Hemophilia A/classification', 'Humans', 'Infant', 'Intellectual Disability/classification', 'Kidney Diseases/classification', '*Legislation as Topic', 'Leukemia/classification', 'Phenylketonurias/classification']",1977/08/01 00:00,1977/08/01 00:01,['1977/08/01 00:00'],"['1977/08/01 00:00 [pubmed]', '1977/08/01 00:01 [medline]', '1977/08/01 00:00 [entrez]']",,ppublish,Monatsschr Kinderheilkd. 1977 Aug;125(8):802-4.,,Beurteilung von behinderten Kindern nach dem Schwerbehindertengesetz. Neue Anhaltszahlen bei der versorgungsarztlichen Begutachtung.,,,,,,,,
143379,NLM,MEDLINE,19771130,20081121,0304-3568 (Print) 0304-3568 (Linking),45,3-4,1977,'Sezary-like' cells in malignant and non-malignant diseases.,141-6,"Lymphocyte-like distinctive cells with cerebriform and serpentiform nuclei, as described in 'Sezary syndrome' were detected in the peripheral blood of two patients, one with plasma-cell leukemia and one with bacterial sepsis. These observations suggest that 'Sezary cells' are not strictly specific, neither for a neoplastic nor for a nonneoplastic disease, but rather representing a reactive form of lymphocytes to different stimuli.","['Ruttner, J R', 'Pedio, G']","['Ruttner JR', 'Pedio G']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Exp Cell Biol,Experimental cell biology,7701827,,IM,"['Cell Nucleus/ultrastructure', 'Dermatitis, Exfoliative/pathology', 'Female', 'Humans', 'Leukemia, Plasma Cell/*ultrastructure', 'Lymphatic Diseases/*pathology', 'Lymphocytes/*ultrastructure', 'Male', 'Middle Aged', '*Pseudomonas', 'Sepsis/*pathology', 'Syndrome']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Exp Cell Biol. 1977;45(3-4):141-6.,,,,,,,,,,
143355,NLM,MEDLINE,19771130,20181113,0009-9104 (Print) 0009-9104 (Linking),29,2,1977 Aug,Stimulation of human lymphocytes in vitro by leucocytes from patients with untreated acute myeloid leukaemia.,229-39,,"['Taylor, G M', 'Jones, S V', 'Ridway, J C', 'Harris, R']","['Taylor GM', 'Jones SV', 'Ridway JC', 'Harris R']",['eng'],['Journal Article'],England,Clin Exp Immunol,Clinical and experimental immunology,0057202,['0 (HLA Antigens)'],IM,"['Cell Survival', 'HLA Antigens', 'Humans', 'Kinetics', 'Leukemia, Myeloid, Acute/*immunology', 'Leukocyte Count', 'Leukocytes/*immunology', '*Lymphocyte Activation', 'Lymphocyte Culture Test, Mixed']",1977/08/01 00:00,1977/08/01 00:01,['1977/08/01 00:00'],"['1977/08/01 00:00 [pubmed]', '1977/08/01 00:01 [medline]', '1977/08/01 00:00 [entrez]']",,ppublish,Clin Exp Immunol. 1977 Aug;29(2):229-39.,,,PMC1541101,,,,,,,
143343,NLM,MEDLINE,19771130,20071115,0008-5472 (Print) 0008-5472 (Linking),37,10,1977 Oct,In vitro inhibition of human leukemic cells (CCRF-CEM) by agarose-immobilized neocarzinostatin.,3731-6,"Neocarzinostatin (NCS) is an acidic protein (molecular weight, 10,700) isolated from Streptomyces carzinostaticus that has antitumor activity both in model rodent systems and in humans. In vitro it inhibits the growth of a human lymphoblastic leukemic cell line (CCRF-CEM) at a very low concentration (the amount of drug that causes a 50% inhibition of growth compared to control cultures as extrapolated from a dose-response curve (ID50), 2.4 X 10(-9) M). We covalently coupled NCS to the N-hydroxysuccinimide ester of agarose and obtained a product that, by a variety of biochemical and immunological criteria, has been demonstrated to be devoid of any free or loosely bound NCS. Agarose-bound NCS, which is unable to enter cells because of its size, retains a significant amount of inhibitory activity (ID50, 6 to 15 X 10(-9) M) and is also capable of inhibiting tritiated deoxythymidine incorporation into CCRF-CEM cells. Since agarose-bound NCS cannot enter mammalian cells, the above findings indicate that NCS is able to exert its toxic effects by binding to or reacting with receptors on the cell membrane.","['Lazarus, H', 'Raso, V', 'Samy, T S']","['Lazarus H', 'Raso V', 'Samy TS']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antibiotics, Antineoplastic)', '9012-36-6 (Sepharose)', '9014-02-2 (Zinostatin)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*administration & dosage', 'Cell Division/drug effects', 'Cell Line', 'Cell Membrane/drug effects/metabolism', 'Humans', 'Leukemia, Experimental/*drug therapy/metabolism', 'Leukemia, Lymphoid/drug therapy/metabolism', 'Sepharose', 'Zinostatin/*administration & dosage/metabolism/pharmacology']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1977 Oct;37(10):3731-6.,,,,,,,,,,
143112,NLM,MEDLINE,19771031,20191028,0340-1227 (Print) 0340-1227 (Linking),375,2,1977 Aug 31,"Chronic megakaryocytic-granulocytic myelosis--an electron microscopic study including freeze-fracture. II. Granulocytes, erythrocytes, plasma cells and myeloid stroma.",129-46,"In 5 patients with chronic megakaryocytic-granulocytic myelosis (CMGM) bone marrow specimens were studied by electron microscopy to investigate possible abnormalities of the granulocytic cell lineage. Thin sections were compared with freeze-fracture replicas to elucidate further aspects of leucocyte cytology. The atypia exhibited in these cells (eosinophils, basophils and neutrophil granulocytes) consisted mostly of a disorganization of granulopoiesis with hyper- and hypogranulation, a pathological increase in the number of nuclear blebs and a maturation asynchrony sometimes leading to Pelger-like cell forms. Moreover, a presumptive stem cell was demonstrated in the erythopoietic and granulocytic cell lines resembling CFU cells. In conclusion, granulopoiesis in CMGM exhibited abnormalities as generally observed in chronic myelogenous leukaemia. When considered with our previous finding of malignancy in megakaryopoiesis, CMGM has to be classified as a myelosis of mixed cellularity.","['Thiele, J', 'Ballard, A C', 'Georgii, A', 'Vykoupil, K F']","['Thiele J', 'Ballard AC', 'Georgii A', 'Vykoupil KF']",['eng'],['Journal Article'],Germany,Virchows Arch A Pathol Anat Histol,"Virchows Archiv. A, Pathological anatomy and histology",7505137,,IM,"['Bone Marrow/ultrastructure', 'Erythrocytes/ultrastructure', 'Freeze Fracturing', 'Granulocytes/*ultrastructure', 'Hematopoietic Stem Cells', 'Humans', 'Leukocytes/*ultrastructure', 'Megakaryocytes/*ultrastructure', 'Microscopy, Electron', 'Myeloproliferative Disorders/*pathology', 'Plasma Cells/ultrastructure']",1977/08/31 00:00,1977/08/31 00:01,['1977/08/31 00:00'],"['1977/08/31 00:00 [pubmed]', '1977/08/31 00:01 [medline]', '1977/08/31 00:00 [entrez]']",['10.1007/BF00428101 [doi]'],ppublish,Virchows Arch A Pathol Anat Histol. 1977 Aug 31;375(2):129-46. doi: 10.1007/BF00428101.,,,,,,,,,,
143105,NLM,MEDLINE,19771031,20181113,0065-7778 (Print) 0065-7778 (Linking),88,,1977,Immunological studies in acute leukemia.,95-107,,"['Santos, G W', 'Anderson, P N', 'Klein, D L', 'Bias, W B', 'Schacter, B Z', 'Mullins, G M', 'Burke, P J']","['Santos GW', 'Anderson PN', 'Klein DL', 'Bias WB', 'Schacter BZ', 'Mullins GM', 'Burke PJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Trans Am Clin Climatol Assoc,Transactions of the American Clinical and Climatological Association,7507559,"['0 (Antigens, Neoplasm)', '0 (Histocompatibility Antigens)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Antigens, Neoplasm/*analysis', 'Cytotoxicity Tests, Immunologic/methods', 'Histocompatibility Antigens/analysis', 'Humans', 'Immunity, Cellular', 'Leukemia/*immunology', 'Leukemia, Myeloid, Acute/immunology', 'Lymphocyte Culture Test, Mixed', 'Male']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Trans Am Clin Climatol Assoc. 1977;88:95-107.,,,PMC2441426,,,,,,,
142998,NLM,MEDLINE,19771031,20211203,0079-6441 (Print) 0079-6441 (Linking),2,,1977,The association between the HLA system and disease.,39-100,,"['McMichael, A', 'McDevitt, H']","['McMichael A', 'McDevitt H']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Prog Med Genet,Progress in medical genetics,0376450,"['0 (HLA Antigens)', '0 (Histocompatibility Antigens)', '0 (Isoantigens)', '9007-36-7 (Complement System Proteins)']",IM,"['Animals', 'Antibody Formation', 'B-Lymphocytes/immunology', 'Chromosome Mapping', 'Complement System Proteins', '*Genes', '*Genetic Diseases, Inborn', '*HLA Antigens', 'Haplorhini', '*Histocompatibility Antigens', 'Histocompatibility Testing', 'Humans', 'Immunosuppression Therapy', 'Isoantigens', 'Leukemia', 'Lymphocyte Culture Test, Mixed', 'Mice', 'Polymorphism, Genetic', 'T-Lymphocytes/immunology']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Prog Med Genet. 1977;2:39-100.,,,,,,,,,,
142755,NLM,MEDLINE,19771014,20190509,0305-7453 (Print) 0305-7453 (Linking),3,4,1977 Jul,Tobramycin and clindamycin in the treatment of febrile leukaemic patients.,317-22,,"['Falk, R H', 'Gillett, A P', 'Wise, R', 'Melikian, V']","['Falk RH', 'Gillett AP', 'Wise R', 'Melikian V']",['eng'],['Journal Article'],England,J Antimicrob Chemother,The Journal of antimicrobial chemotherapy,7513617,"['0 (Anti-Bacterial Agents)', '3U02EL437C (Clindamycin)', 'VZ8RRZ51VK (Tobramycin)']",IM,"['Adult', 'Anti-Bacterial Agents/*therapeutic use', 'Bacterial Infections/complications/drug therapy/microbiology', 'Clindamycin/adverse effects/*therapeutic use', 'Diarrhea/chemically induced', 'Drug Eruptions/etiology', 'Drug Resistance, Microbial', 'Drug Therapy, Combination', 'Fever/*drug therapy/etiology/microbiology', 'Hearing Disorders/chemically induced', 'Humans', 'Kidney Diseases/chemically induced', 'Leukemia/*complications/microbiology', 'Tobramycin/adverse effects/*therapeutic use']",1977/07/01 00:00,1977/07/01 00:01,['1977/07/01 00:00'],"['1977/07/01 00:00 [pubmed]', '1977/07/01 00:01 [medline]', '1977/07/01 00:00 [entrez]']",['10.1093/jac/3.4.317 [doi]'],ppublish,J Antimicrob Chemother. 1977 Jul;3(4):317-22. doi: 10.1093/jac/3.4.317.,,,,,,,,,,
142460,NLM,MEDLINE,19770929,20071115,0003-9985 (Print) 0003-9985 (Linking),101,9,1977 Sep,Membranoproliferative glomerulonephritis. One of many diesases?,457-61,"Membranoproliferative (mesangio-capillary) glomerulonephritis (MPGN) has been divided into two types: type 1, MPGN with subendothelial deposits; type 2, MPGN with intramembranous dense deposits. Although the types are clinically similar, the light, immunofluorescent, and electron microscopical data differ. The cause in the majority of the cases is unknown, but chronic antigenemia as a pathogenic mechanism is suggested in cases associated with chronic bacteremia, chronic hepatitis, parasitic infections, certain blood dyscrasias, and partiallipodystrophy. Both the classic and the alternate pathway of complement activation may be important. The mechanism of the formation of the dense intramembranous deposits is unknown, but activation of the alternate pathway of complement appears to be an important factor. It is emphasized that while there are two basic pathologic types of MPGN, there are diverse clinical syndromes associated with these lesions, the recognition of which is crucial.","['Jones, D B']",['Jones DB'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,"['0 (Antigens, Fungal)', '11016-39-0 (Properdin)', '9007-36-7 (Complement System Proteins)']",IM,"['Anemia, Sickle Cell/complications', 'Antigens, Fungal', 'Candidiasis/complications', 'Complement System Proteins', 'Endocarditis, Bacterial/complications', 'Glomerulonephritis/classification/etiology/immunology/*pathology', 'Hepatitis, Viral, Human/complications', 'Humans', 'Immune Complex Diseases/complications', 'Kidney/*pathology', 'Leukemia/complications', 'Lymphoma/complications', 'Malaria/complications', 'Properdin', 'Schistosomiasis/complications', 'Sepsis/complications', 'Staphylococcal Infections/complications', 'Terminology as Topic']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",,ppublish,Arch Pathol Lab Med. 1977 Sep;101(9):457-61.,41,,,,,,,,,
