PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,CI,GR,EIN,CIN,SI,PMC,CRF,CON,LID,DEP,OID,OTO,OT,GN,IR,FIR,IRAD
10689955,NLM,MEDLINE,20000302,20161124,0041-5782 (Print) 0041-5782 (Linking),162,6,2000 Feb 7,[Invasive aspergillosis in two hematological patients].,795-7,"We present two cases of invasive aspergillosis in patients with acute myeloid leukemia. In neutropenic patients with antibiotic resistent fever, without specific symptoms or signs, invasive aspergillosis should be considered. Diagnostic approaches such as X-ray/CT-scan of the thorax and sinuses, relevant cultures and antigen detection should be performed. Due to diagnostic difficulties and the rapid progression of the infection empirical antifungal therapy should be given. During subsequent neutropenic episodes prophylactic antifungal therapy can possibly preempt recurrence.","['Rask, C U', 'Peterslund, N A']","['Rask CU', 'Peterslund NA']","['Arhus Universitetshospital, haematologisk afdeling B. c.rask@dadlnet.dk']",['dan'],"['Case Reports', 'Journal Article']",Denmark,Ugeskr Laeger,Ugeskrift for laeger,0141730,['0 (Antifungal Agents)'],IM,"['Adult', 'Antifungal Agents/administration & dosage', 'Aspergillosis/*diagnostic imaging/etiology/immunology', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/complications/immunology/*microbiology', 'Lung Diseases, Fungal/*diagnostic imaging/etiology/immunology', 'Male', 'Middle Aged', 'Neutropenia/complications/immunology/*microbiology', 'Opportunistic Infections/immunology/*microbiology', 'Radiography']",,2000/02/26 09:00,2000/03/04 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/03/04 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Ugeskr Laeger. 2000 Feb 7;162(6):795-7.,Invasiv aspergillose hos to haematologiske patienter.,,,,,,,,,,,,,,,,,,
10689954,NLM,MEDLINE,20000302,20201208,0041-5782 (Print) 0041-5782 (Linking),162,6,2000 Feb 7,"[Pseudolymphoma and ventricular maltoma in patients with chronic gastritis, ulcer and Helicobacter pylori infection].",791-5,"Among 128 patients with malignant B-lymphoproliferative disorders, 19 patients had long lasting dyspepsia and gastroscopy showed chronic active gastritis or gastric ulcer. PCR analysis for TCR and IgH clonality in biopsies showed local involvement of the malignant lymphocyte clone in four patients out of eight indicating presence of these cells in the inflammatory infiltrate. Weak B-cell clonality was found in four patients. A close relationship was seen between lymphocytic clonality and immune response to H. pylori Cag A, and all patients had parietal cell antibodies. Thus, the malignant clone may participate in the local inflammatory reaction, and continued local stimulation by H. pylori as well as parietal cell antigens may lead both to autoimmunity as well as a clonal development of lymphocytes.","['Molander, S', 'Jonsson, V', 'Andersen, L P', 'Bennedsen, M', 'Christiansen, M', 'Hou-Jensen, K', 'Madsen, H O', 'Ryder, L P', 'Permin, H', 'Wiik, A']","['Molander S', 'Jonsson V', 'Andersen LP', 'Bennedsen M', 'Christiansen M', 'Hou-Jensen K', 'Madsen HO', 'Ryder LP', 'Permin H', 'Wiik A']","['H:S Rigshospitalet, haematologisk afdeling L.']",['dan'],['Journal Article'],Denmark,Ugeskr Laeger,Ugeskrift for laeger,0141730,"['0 (Autoantibodies)', '0 (Immunoglobulin M)']",IM,"['Aged', 'Autoantibodies/analysis', 'B-Lymphocytes/immunology', 'Clone Cells', 'Female', 'Gastritis/*diagnosis/immunology/microbiology', 'Helicobacter Infections/*diagnosis/immunology', '*Helicobacter pylori/immunology', 'Humans', 'Immunoglobulin M/analysis', 'Intestinal Mucosa/immunology/microbiology', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/immunology/microbiology', 'Lymphoma, B-Cell, Marginal Zone/*diagnosis/immunology/microbiology', 'Lymphoma, Non-Hodgkin/diagnosis/immunology/microbiology', 'Male', 'Middle Aged', 'Pseudolymphoma/*diagnosis/immunology/microbiology', 'Stomach Neoplasms/*diagnosis/immunology/microbiology', 'Stomach Ulcer/*diagnosis/immunology/microbiology', 'Waldenstrom Macroglobulinemia/diagnosis/immunology/microbiology']",,2000/02/26 09:00,2000/03/04 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/03/04 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Ugeskr Laeger. 2000 Feb 7;162(6):791-5.,"Pseudolymfom og ventrikelmaltom hos patienter med kronisk gastritis, ulcus og Helicobacter pylori-infektion.",,,,,,,,,,,,,,,,,,
10689950,NLM,MEDLINE,20000302,20201208,0041-5782 (Print) 0041-5782 (Linking),162,6,2000 Feb 7,[Invasive aspergillosis in hematological patients].,773-7,"An increasing incidence of invasive aspergillosis over the last decades is well documented in patients with haematological malignancies and is the most significant fungal infection in patients undergoing bone marrow transplantation and in aplastic anaemia. The diagnosis is difficult as clinical signs and symptoms usually are non-specific, but can be supported by frequent radiological examinations of the chest and sinuses and successive demonstrations of Aspergillus antigen in serum. The prognosis depends on the course of the underlying disease. A regeneration of the neutrophil granulocyte number is a condition for successful treatment. Early antifungal therapy is often necessary in neutropenic patients with fever and a lung infiltrate that does not remit following broad spectrum antibacterial treatment. Because of the risk of relapse after successful treatment these patients should receive prophylactic antifungal treatment during subsequent neutropenic episodes.","['Rask, C U', 'Peterslund, N A']","['Rask CU', 'Peterslund NA']","['Arhus Universitetshospital, haematologisk afdeling B. c.rask@dadlnet.dk']",['dan'],"['Journal Article', 'Review']",Denmark,Ugeskr Laeger,Ugeskrift for laeger,0141730,['0 (Antifungal Agents)'],IM,"['Anemia, Aplastic/drug therapy/immunology/microbiology', 'Antifungal Agents/administration & dosage', 'Aspergillosis/diagnosis/*etiology/immunology', 'Aspergillus flavus/immunology', 'Aspergillus fumigatus/immunology', 'Humans', 'Incidence', 'Leukemia/drug therapy/immunology/microbiology', 'Lung Diseases, Fungal/diagnosis/*etiology/immunology', 'Neutropenia/drug therapy/immunology/*microbiology', 'Opportunistic Infections/diagnosis/*microbiology', 'Prognosis']",40,2000/02/26 09:00,2000/03/04 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/03/04 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Ugeskr Laeger. 2000 Feb 7;162(6):773-7.,Invasiv aspergillose hos haematologiske patienter.,,,,,,,,,,,,,,,,,,
10689875,NLM,MEDLINE,20000411,20061115,0027-7622 (Print) 0027-7622 (Linking),62,3-4,1999 Nov,Acute myeloid leukemia in the elderly:--159 Nagoya case studies--Nagoya Cooperative Study Group for Elderly Leukemia.,135-44,"To obtain background information on elderly acute myeloid leukemia (AML), unselected data covering 159 patients aged 60 years or over with AML from 14 hospitals in Nagoya, Japan was analyzed retrospectively. Among these patients, 119 had de novo acute AML, 32 had AML which evolved from myelodysplastic syndrome (MDS-AML), and 8 had other types of leukemia. The survey showed that MDS-AML tended to be more prevalent in patients aged 70 years and older and that MDS-AML showed a significantly more severe degree of leukopenia and anemia than de novo AML. MDS-AML also showed a significantly lower complete remission (CR) rate than that of de novo AML [6.9% (2/29) vs 58.3% (67/11), P < 0.01] and significantly shorter survival times than those of de novo AML [median: 3.6 months vs 9.6 months, P < 0.01 (generalized Wilcoxon test; GW]. In de novo AML, the proportion of patients treated with conventional therapy (CT group) decreased significantly, and that of those with attenuated therapy (AT group) increased significantly as age elevated (P < 0.01). The CT group showed a significantly higher CR rate (65.4% vs 41.2%, P < 0.05) and a significantly longer survival period than those of the AT group [median: 11.6 months vs 4.8 months, P < 0.05 (GW)]. Overall survival rates of the older age groups became significantly shorter with aging [P < 0.01 (GW)].","['Nagura, E', 'Minami, S', 'Nagata, K', 'Morishita, Y', 'Takeyama, H', 'Sao, H', 'Suzuki, H', 'Naoe, T', 'Yokomaku, S', 'Mizuno, H', 'Murase, T', 'Hirabayashi, N', 'Takeo, T', 'Tanimoto, M', 'Kawashima, K', 'Saito, H']","['Nagura E', 'Minami S', 'Nagata K', 'Morishita Y', 'Takeyama H', 'Sao H', 'Suzuki H', 'Naoe T', 'Yokomaku S', 'Mizuno H', 'Murase T', 'Hirabayashi N', 'Takeo T', 'Tanimoto M', 'Kawashima K', 'Saito H']","['Department of Internal Medicine, National Institute for Longevity Sciences, Chubu National Hospital, Aichi, Japan. nagura@chubu-nh.go.jp']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Nagoya J Med Sci,Nagoya journal of medical science,0412011,,IM,"['Acute Disease', 'Age Factors', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Female', 'Humans', 'Japan/epidemiology', 'Leukemia, Myeloid/drug therapy/*epidemiology/physiopathology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/epidemiology', 'Retrospective Studies', 'Survival Rate']",,2000/02/26 09:00,2000/04/15 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/04/15 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Nagoya J Med Sci. 1999 Nov;62(3-4):135-44.,,,,,,,,,,,,,,,,,,,
10689871,NLM,MEDLINE,20000411,20051116,0027-7622 (Print) 0027-7622 (Linking),62,3-4,1999 Nov,NK and NK-related neoplasms.,99-106,"Owing to the immunological progress in recent years, differentiation and maturation process of NK cells or NK-related cells has been made clear. Also, their neoplastic counterparts, namely NK cell related lymphoma/leukemia have been characterized. In this paper, we will report NK cell neoplasms based on the new classification of malignant lymphomas. Among these, nasal lymphoma is one of the most clearly defined entities, followed by NK cell leukemia/lymphoma, and blastic/blastoid NK cell leukemia/lymphoma.","['Mori, N']",['Mori N'],"['First Department of Pathology, Nagoya University School of Medicine.']",['eng'],"['Journal Article', 'Review']",Japan,Nagoya J Med Sci,Nagoya journal of medical science,0412011,,IM,"['Female', 'Humans', '*Killer Cells, Natural/immunology', '*Leukemia/immunology/pathology/physiopathology', '*Lymphoma/immunology/pathology/physiopathology', 'Lymphoma, T-Cell/immunology', 'Male']",24,2000/02/26 09:00,2000/04/15 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/04/15 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Nagoya J Med Sci. 1999 Nov;62(3-4):99-106.,,,,,,,,,,,,,,,,,,,
10689869,NLM,MEDLINE,20000411,20111117,0027-7622 (Print) 0027-7622 (Linking),62,3-4,1999 Nov,Use of granulocyte colony-stimulating factor for treatment of aplastic anemia.,77-82,"Over the last ten years, recombinant human granulocyte colony-stimulating factor (rh G-CSF) has been widely used in the treatment of aplastic anemia (AA). It has been shown to facilitate the recovery of neutrophil count and useful for complicated bacterial or fungal infections. However, recent randomized clinical trials showed that the addition of rh G-CSF to immunosuppressive therapy had no clinical benefit for the prophylaxis of severe infections. These results suggested that rh G-CSF should be used for the treatment of infectious complications, not for the prophylaxis of infections in patients with AA.","['Kojima, S']",['Kojima S'],"['Department of Developmental Pediatrics, Nagoya University School of Medicine, Japan.']",['eng'],"['Journal Article', 'Review']",Japan,Nagoya J Med Sci,Nagoya journal of medical science,0412011,"['0 (Immunosuppressive Agents)', '0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,"['Anemia, Aplastic/*drug therapy/physiopathology', 'Clinical Trials, Phase I as Topic', 'Clinical Trials, Phase II as Topic', 'Drug Therapy, Combination', 'Granulocyte Colony-Stimulating Factor/blood/*therapeutic use', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Leukemia, Myeloid/epidemiology', 'Myelodysplastic Syndromes/epidemiology', 'Recombinant Proteins/therapeutic use']",24,2000/02/26 09:00,2000/04/15 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/04/15 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Nagoya J Med Sci. 1999 Nov;62(3-4):77-82.,,,,,,,,,,,,,,,,,,,
10689722,NLM,MEDLINE,20000310,20041117,0888-0018 (Print) 0888-0018 (Linking),17,1,2000 Jan-Feb,"Pneumomediastinum, subcutaneous emphysema, and pulmonary fibrosis in a patient with idiopathic pneumonia syndrome after bone marrow transplantation.",113-7,An adolescent female underwent bone marrow transplantation for relapsed leukemia and developed acute and chronic graft-versus-host disease and idiopathic pneumonia syndrome. Her lung disease responded to large doses of methylprednisolone but evolved to pulmonary fibrosis and pneumomediastinum and subcutaneous emphysema in the convalescent period. Pulmonary function tests revealed a restrictive pattern. Pneumomediastinum and subcutaneous emphysema are complications not only of obstructive but also of restrictive lung disease and vary with respect to time of onset.,"['Kudoh, T', 'Suzuki, N', 'Oda, T', 'Watanabe, J', 'Haseyama, K', 'Katoh, S', 'Mizue, N', 'Chiba, S']","['Kudoh T', 'Suzuki N', 'Oda T', 'Watanabe J', 'Haseyama K', 'Katoh S', 'Mizue N', 'Chiba S']","['Department of Pediatrics, School of Medicine, Sapporo Medical University, Japan. tkudoh@sapmed.ac.jp']",['eng'],"['Case Reports', 'Journal Article']",England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,,IM,"['Acute Disease', 'Adolescent', 'Bone Marrow Transplantation/*adverse effects', 'Female', 'Humans', 'Leukemia, Myeloid/*therapy', 'Mediastinal Emphysema/*etiology/physiopathology', 'Pneumonia', 'Pulmonary Fibrosis/*etiology/physiopathology', 'Subcutaneous Emphysema/*etiology/physiopathology', 'Syndrome']",,2000/02/26 09:00,2000/03/18 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/03/18 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Pediatr Hematol Oncol. 2000 Jan-Feb;17(1):113-7. doi: 10.1080/088800100276730.,,"['10.1080/088800100276730 [doi]', 'LPFCQXVLYKF3V4VW [pii]']",,,,,,,,,,,,,,,,,
10689720,NLM,MEDLINE,20000310,20071115,0888-0018 (Print) 0888-0018 (Linking),17,1,2000 Jan-Feb,Neutropenic enterocolitis in children with acute lymphoblastic leukemia.,99-103,"Neutropenic enterocolitis is an acute, life-threatening inflammation of the small and large bowel, often seen in children with malignancies during periods of prolonged or severe neutropenia. During the period 1990-1995, 180 children were treated at the authors' center for acute lymphoblastic leukemia using a standard chemotherapy protocol. Among them, 11 children (6.1%) aged 4 to 12 years, were diagnosed clinically to have neutropenic enterocolitis. Eight had severe neutropenia (absolute neutrophil count < 10(8)/L and 5 had prolonged neutropenia (> 7 days duration). The symptoms included diffuse abdominal pain (10 children), oral mucositis (7), hematochezia (7), diarrhea (6), hematemesis (5), and right lower quadrant tenderness (4). Three children had radiological evidence of free intraperitoneal gas and an additional 3 children were found on surgical exploration to have cecal perforation. Laparotomy was performed on 8 children (73%), 4 of whom survived. Among the 3 children managed conservatively, 1 died awaiting surgical exploration, while the other 2 did well. The overall survival was 55%. The authors recommend an approach to management that respects the heterogeneity of the disease.","['Jain, Y', 'Arya, L S', 'Kataria, R']","['Jain Y', 'Arya LS', 'Kataria R']","['Department of Pediatrics and Pediatric Surgery, All India Institute of Medical Sciences, New Delhi, India.']",['eng'],['Journal Article'],England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,,IM,"['Antineoplastic Combined Chemotherapy Protocols/*adverse effects/therapeutic use', 'Child', 'Child, Preschool', '*Enterocolitis/diagnosis/etiology/physiopathology', 'Humans', '*Neutropenia/diagnosis/etiology/physiopathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy']",,2000/02/26 09:00,2000/03/18 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/03/18 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Pediatr Hematol Oncol. 2000 Jan-Feb;17(1):99-103. doi: 10.1080/088800100276712.,,"['10.1080/088800100276712 [doi]', '6FQ9KTTEK55H3DK4 [pii]']",,,,,,,,,,,,,,,,,
10689716,NLM,MEDLINE,20000310,20191024,0888-0018 (Print) 0888-0018 (Linking),17,1,2000 Jan-Feb,"Changes in the policies of the department of hematology, 1982-1998, designed to promote the mental health of children with leukemia and enhance their quality of life.",67-76,"A perceived personal control (PPC) preventive intervention model that had earlier received empirical and theoretical verification was applied to a population of pediatric leukemia patients to promote their mental health and enhance their quality of life. The PPC model entails intervention on two complementary levels. On the personal interaction level, preventive intervention is administered by a network of natural and organized support systems, while the social action level leads to the introduction of changes in policies, structures, allocation of resources, and services. Preventive intervention in both domains is discussed with respect to changes in policies introduced between 1982 and 1998 in the hematology department of Rambam Medical Center in Haifa, Israel, as well as in other relevant departments catering to children with leukemia, to foster the positive mental health of these children.","['Tadmor, C S', 'Ben Arush, M W']","['Tadmor CS', 'Ben Arush MW']","['Department of Pediatric Surgery, Rambam Medical Center, Haifa, Israel.']",['eng'],['Journal Article'],England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,,IM,"['Attitude of Health Personnel', 'Child', 'Child, Preschool', 'Hospitals/standards', 'Humans', 'Infant', 'Leukemia/*psychology/*therapy', '*Mental Health', '*Quality of Life']",,2000/02/26 09:00,2000/03/18 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/03/18 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Pediatr Hematol Oncol. 2000 Jan-Feb;17(1):67-76. doi: 10.1080/088800100276677.,,['10.1080/088800100276677 [doi]'],,,,,,,,,,,,,,,,,
10689712,NLM,MEDLINE,20000310,20191024,0888-0018 (Print) 0888-0018 (Linking),17,1,2000 Jan-Feb,Persistent altered spermatogenesis in long-term childhood cancer survivors.,21-30,"This study evaluated male gonadal function in long-term survivors of childhood cancer and assessed the suitability of offering sperm analysis to all those patients independently of the diagnosis and treatment received. A total of 43 survivors of acute lymphoblastic leukemia (21), acute myeloid leukemia (1), neuroblastoma (8), ganglioneuroblastoma (1), ganglioneuroma (2), Wilms' tumor (9), and mesoblastic nephroma (1) underwent sperm analysis at a mean age of 20.2 years, after a mean time off treatment of 13.6 years. Eight of the patients (19%) were azoospermic, 2 (5%) were severely oligo-asthenozoospermic, and only 16 (37%) were normozoospermic. A control group of healthy volunteers aged < or = 30 years included no azoospermic subjects, 7% severely oligo-asthenozoospermic, and 67% normozoospermic. Comparisons were also made with patients treated at our Human Reproductive Unit aged < or = 30 years (n = 373) whose percentages for the above parameters were 4, 9, and 42%, respectively. Cumulated cyclophosphamide dose and basal follicle-stimulating hormone (FSH) levels were identified as independent factors associated with azoospermia or severe oligo-asthenozoospermia. Azoospermic and severely oligo-asthenozoospermic survivors had significantly smaller mean testicular volume and higher basal FSH levels than the other survivors, but small testicles (sum of both testicular volume < or = 20 mL) and/or abnormally high basal FSH (> 10 mIU/mL) were present in only half of the azoospermic survivors. Male long-term survivors of childhood cancer constitute a high-risk subpopulation for altered sperm analysis. It seems justified to offer sperm analysis to all long-term survivors.","['Lopez Andreu, J A', 'Fernandez, P J', 'Ferris i Tortajada, J', 'Navarro, I', 'Rodriguez-Ineba, A', 'Antonio, P', 'Muro, M D', 'Romeu, A']","['Lopez Andreu JA', 'Fernandez PJ', 'Ferris i Tortajada J', 'Navarro I', 'Rodriguez-Ineba A', 'Antonio P', 'Muro MD', 'Romeu A']","['Pediatric Oncology Unit, Hospital Universitario La Fe, Valencia, Spain.']",['eng'],['Journal Article'],England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/adverse effects/therapeutic use', 'Child', 'Child, Preschool', 'Disease-Free Survival', 'Humans', 'Infant', 'Male', 'Neoplasms/drug therapy/*physiopathology', '*Spermatogenesis/drug effects', 'Time Factors']",,2000/02/26 09:00,2000/03/18 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/03/18 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Pediatr Hematol Oncol. 2000 Jan-Feb;17(1):21-30. doi: 10.1080/088800100276631.,,['10.1080/088800100276631 [doi]'],,,,,,,,,,,,,,,,,
10689626,NLM,MEDLINE,20000313,20131121,1295-0661 (Print) 1295-0661 (Linking),193,4-5,1999,[Role of lipid second messengers involved in the response of leukemic cells to anticancer drugs].,429-37,"Simple clinical observation suggests that while anti-leukemia agents are efficient at eradicating blasts cells in terminal division, as illustrated, in the case of acute myeloid leukemia, by the high complete remission rate (70%); these agents are relatively inept at eliminating leukemic myeloid progenitors as suggested by the high level of recurrence. This interpretation underlines the apparently natural chemoresistance of cells which compose the myeloid leukemia progenitor compartment. Over the past few years, several studies have shown that similar cellular damage can lead to divers effects such as rapid apoptotic death, differed mitotic death, or a transitory cytostatic effect. Cell response to damage is regulated by a complex and highly regulated network of intracellular signals including cell death signals mediated by ceramide and cell survival signals mediated (at least in part) by diacylglycerol and phosphoinositide-3 phosphates. Cellular fate relies on the balance between these two signaling pathways. This hypothesis opens several prospects on pharmacological manipulation aimed at either favoring cell death or at conferring resistance to anti-cancer agents.","['Jaffrezou, J P', 'Laurent, G']","['Jaffrezou JP', 'Laurent G']","['E9910 INSERM, Institut Claudius Regaud, Toulouse. jaffrezou@icr.fnclcc.fr']",['fre'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",France,J Soc Biol,Journal de la Societe de biologie,100890617,"['0 (Antineoplastic Agents)', '0 (Lipids)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Antineoplastic Agents/*toxicity', 'Apoptosis/drug effects', 'Cell Survival/drug effects', 'Daunorubicin/toxicity', 'Humans', 'Leukemia/*physiopathology', 'Lipids/*physiology', 'Second Messenger Systems/*drug effects', 'Tumor Cells, Cultured']",68,2000/02/26 09:00,2000/03/18 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/03/18 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,J Soc Biol. 1999;193(4-5):429-37.,Role des seconds messagers lipidiques impliques dans la reponse des cellules leucemiques aux medicaments anticancereux.,,,,,,,,,,,,,,,,,,
10689194,NLM,MEDLINE,20000324,20190707,0378-1119 (Print) 0378-1119 (Linking),244,1-2,2000 Feb 22,Hyperactivation of the Drosophila Hop jak kinase causes the preferential overexpression of eIF1A transcripts in larval blood cells.,119-25,"Jak kinase-Stat protein pathways play a critical role in the response of blood cells to a range of cytokines and growth factors. We are using the fruit fly, Drosophila melanogaster, as a model system to elucidate additional components of Jak-Stat pathways, and to determine how abnormalities in this pathway lead to hematopoietic leukemia-like defects. To identify downstream targets, we conducted a molecular screen for genes whose transcripts are overexpressed in response to activation of the Drosophila Hop Jak kinase. We identified a Drosophila homolog of eIF1A, a eukaryotic initiation factor found in humans and other eukaryotes. D-eIF1A is highly overexpressed in the hemocytes and lymph glands of third instar larvae carrying the dominant, gain-of-function mutation hop(Tum-l). A quantitative comparison of poly(A)(+) RNA levels between D-eIF1A and other known Drosophila translation initiation factors indicates that D-eIF1A transcripts preferentially overaccumulate in response to the hyperactive Hop pathway. Our results support the model that D-eIF1A is one of the target genes through which the Drosophila Jak kinase pathway regulates hemocyte development.","['Myrick, K V', 'Dearolf, C R']","['Myrick KV', 'Dearolf CR']","['Department of Pediatrics, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Gene,Gene,7706761,"['0 (DNA, Complementary)', '0 (Drosophila Proteins)', '0 (Eukaryotic Initiation Factor-1)', '0 (Peptide Initiation Factors)', '0 (RNA, Messenger)', '0 (Transcription Factors)', '0 (eukaryotic peptide initiation factor-1A)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Janus Kinases)', 'EC 2.7.10.2 (hop protein, Drosophila)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Chromosome Mapping', 'DNA, Complementary/chemistry/genetics', 'Drosophila/enzymology/*genetics/growth & development', 'Drosophila Proteins', 'Enzyme Activation', '*Eukaryotic Initiation Factor-1', 'Gene Expression Regulation, Developmental', 'Genes/genetics', 'Hemocytes/cytology/*metabolism', 'Janus Kinases', 'Larva/enzymology/*genetics', 'Molecular Sequence Data', 'Peptide Initiation Factors/*genetics', 'Protein-Tyrosine Kinases/*metabolism', 'RNA, Messenger/genetics/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sequence Alignment', 'Sequence Analysis, DNA', 'Sequence Homology, Amino Acid', 'Transcription Factors', 'Transcription, Genetic']",,2000/02/26 09:00,2000/04/01 09:00,['2000/02/26 09:00'],"['2000/02/26 09:00 [pubmed]', '2000/04/01 09:00 [medline]', '2000/02/26 09:00 [entrez]']",ppublish,Gene. 2000 Feb 22;244(1-2):119-25. doi: 10.1016/s0378-1119(99)00568-5.,,"['S0378-1119(99)00568-5 [pii]', '10.1016/s0378-1119(99)00568-5 [doi]']",,,,,['GENBANK/AF169359'],,,,,,,,,,,,
