PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,AB,OID,RF
5438432,NLM,MEDLINE,19700526,20071115,0028-4793 (Print) 0028-4793 (Linking),282,19,1970 May 7,Heavy-chain diseases.,1098-9,"['Franklin, E C']",['Franklin EC'],['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,['0 (Immunoglobulin M)'],IM,"['Amyloidosis/complications', 'Heavy Chain Disease/*blood/complications/metabolism/pathology', 'Humans', 'Immunoglobulin M/*analysis/biosynthesis/urine', 'Leukemia, Lymphoid/complications', 'Plasma Cells/metabolism']",,1970/05/07 00:00,1970/05/07 00:01,['1970/05/07 00:00'],"['1970/05/07 00:00 [pubmed]', '1970/05/07 00:01 [medline]', '1970/05/07 00:00 [entrez]']",['10.1056/NEJM197005072821913 [doi]'],ppublish,N Engl J Med. 1970 May 7;282(19):1098-9. doi: 10.1056/NEJM197005072821913.,,,,
5438427,NLM,MEDLINE,19700526,20071115,0028-4793 (Print) 0028-4793 (Linking),282,19,1970 May 7,A new variant of heavy-chain disease (mu-chain disease).,1060-2,"['Ballard, H S', 'Hamilton, L M', 'Marcus, A J', 'Illes, C H']","['Ballard HS', 'Hamilton LM', 'Marcus AJ', 'Illes CH']",['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,['0 (Immunoglobulin M)'],IM,"['Amyloidosis/complications', 'Blood Protein Electrophoresis', 'Bone Marrow Cells', 'Heavy Chain Disease/*blood/complications/pathology', 'Humans', 'Immunoelectrophoresis', 'Immunoglobulin M/*analysis/urine', 'Leukemia, Lymphoid/complications', 'Male', 'Middle Aged', 'Plasma Cells']",,1970/05/07 00:00,1970/05/07 00:01,['1970/05/07 00:00'],"['1970/05/07 00:00 [pubmed]', '1970/05/07 00:01 [medline]', '1970/05/07 00:00 [entrez]']",['10.1056/NEJM197005072821902 [doi]'],ppublish,N Engl J Med. 1970 May 7;282(19):1060-2. doi: 10.1056/NEJM197005072821902.,,,,
5438417,NLM,MEDLINE,19700526,20041117,0022-1961 (Print) 0022-1961 (Linking),25,2,1970 Feb,[Treatment of malignant tumors with bleomycin--therapeutic application in the field of internal medicine].,317-28,"['Kimura, I', 'Onoshi, T', 'Takata, H', 'Nishizaki, Y', 'Shirai, K']","['Kimura I', 'Onoshi T', 'Takata H', 'Nishizaki Y', 'Shirai K']",['jpn'],['Journal Article'],Japan,Naika,Naika. Internal medicine,0413541,"['0 (Antibiotics, Antineoplastic)', '0 (Mitomycins)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antibiotics, Antineoplastic/adverse effects/*therapeutic use', 'Carcinoma/*drug therapy', 'Child', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Lung Neoplasms/*drug therapy', 'Lymphoma/*drug therapy', 'Male', 'Middle Aged', 'Mitomycins/therapeutic use', 'Sarcoma/*drug therapy', 'Streptomyces']",,1970/02/01 00:00,1970/02/01 00:01,['1970/02/01 00:00'],"['1970/02/01 00:00 [pubmed]', '1970/02/01 00:01 [medline]', '1970/02/01 00:00 [entrez]']",,ppublish,Naika. 1970 Feb;25(2):317-28.,,,,
5438160,NLM,MEDLINE,19700526,20041117,0031-4005 (Print) 0031-4005 (Linking),45,4,1970 Apr,The clinical toxicities of L-asparaginase in treatment of leukemia and lymphoma.,555-9,"['Zubrod, C G']",['Zubrod CG'],['eng'],['Journal Article'],United States,Pediatrics,Pediatrics,0376422,['EC 3.5.1.1 (Asparaginase)'],IM,"['Asparaginase/*adverse effects', 'Blood Coagulation Disorders/chemically induced', 'Blood Urea Nitrogen', 'Drug Hypersensitivity/etiology', 'Humans', 'Hypotension/chemically induced', 'Leukemia/*drug therapy', 'Liver/drug effects', 'Lymphoma/*drug therapy', 'Neurologic Manifestations', 'Pancreatitis/chemically induced', 'Urticaria/chemically induced']",,1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",,ppublish,Pediatrics. 1970 Apr;45(4):555-9.,,,,
5437276,NLM,MEDLINE,19700520,20190829,0002-9580 (Print) 0002-9580 (Linking),108,4,1970 Apr,Thymus cell population studies during radiation leukemogn C/*729-35* A/Fabrikant JI: Thymus cell population studies during radiation leukemogenesis.,729-35,"['Fabrikant, J I']",['Fabrikant JI'],['eng'],['Journal Article'],United States,Am J Roentgenol Radium Ther Nucl Med,"The American journal of roentgenology, radium therapy, and nuclear medicine",7605534,"['10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Autoradiography', '*Leukemia, Radiation-Induced/pathology', 'Mice', 'Mitosis/*radiation effects', 'Organ Size', 'Thymidine', 'Thymus Gland/*pathology/*radiation effects', 'Time Factors', 'Tritium']",,1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",['10.2214/ajr.108.4.729 [doi]'],ppublish,Am J Roentgenol Radium Ther Nucl Med. 1970 Apr;108(4):729-35. doi: 10.2214/ajr.108.4.729.,,,,
5437228,NLM,MEDLINE,19700519,20160725,0375-9660 (Print) 0375-9660 (Linking),16,1,1970 Jan-Feb,[Hematologic complications during prolonged use of antidiabetic oral preparations].,36-7,"['Krylov, A A', 'Gordienko, E A']","['Krylov AA', 'Gordienko EA']",['rus'],"['Case Reports', 'Journal Article']",Russia (Federation),Probl Endokrinol (Mosk),Problemy endokrinologii,0140673,"['0 (Hypoglycemic Agents)', '982XCM1FOI (Tolbutamide)']",IM,"['Diabetes Mellitus/drug therapy', 'Humans', 'Hypoglycemic Agents/*adverse effects', 'Leukemia/*chemically induced', 'Male', 'Middle Aged', 'Tolbutamide']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Probl Endokrinol (Mosk). 1970 Jan-Feb;16(1):36-7.,K voprosu o gematologicheskikh oslozhneniiakh pri dlitel'nom primenenii peroral'nykh antidiabeticheskikh preparatov.,,,
5437106,NLM,MEDLINE,19700519,20151119,0002-9645 (Print) 0002-9645 (Linking),31,4,1970 Apr,"Leukocytes as carriers in the transmission of bovine leukemia: invasion of the digestive tract of the newborn by ingested, cultured, leukocytes.",637-41,"['Kmetz, M', 'Dunne, H W', 'Schultz, R D']","['Kmetz M', 'Dunne HW', 'Schultz RD']",['eng'],['Journal Article'],United States,Am J Vet Res,American journal of veterinary research,0375011,"['10028-17-8 (Tritium)', 'I2ZWO3LS3M (Trypan Blue)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Animals, Newborn', 'Carrier State', 'Cattle', 'Cattle Diseases/*blood', 'Culture Techniques', '*Digestive System', 'Female', 'Leukemia/*veterinary', 'Leukocytes/*growth & development', 'Rabbits', 'Thymidine/metabolism', 'Tritium', 'Trypan Blue']",,1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",,ppublish,Am J Vet Res. 1970 Apr;31(4):637-41.,,,,
5437105,NLM,MEDLINE,19700519,20141120,0002-9645 (Print) 0002-9645 (Linking),31,4,1970 Apr,Leukocytes as carriers in the transmission of bovine leukemia: observations on an attempt to transmit bovine leukemia to variable bred swiss and AKR mice by oral and subcutaneous inoculations of leukocytes cultured from milk and blood.,619-35,"['Yilmazer, S K', 'Kmetz, M', 'Schultz, R D', 'Dunne, H W']","['Yilmazer SK', 'Kmetz M', 'Schultz RD', 'Dunne HW']",['eng'],['Journal Article'],United States,Am J Vet Res,American journal of veterinary research,0375011,,IM,"['Adenocarcinoma/pathology', 'Animals', 'Blood', 'Carrier State', 'Cattle', 'Cattle Diseases/*blood', 'Culture Techniques', 'Female', 'Injections, Subcutaneous', 'Kidney/pathology', 'Leukemia/*veterinary', 'Leukemia, Experimental/*etiology/pathology', 'Leukocytes/*growth & development', 'Liver/pathology', 'Lung/pathology', 'Lung Neoplasms/pathology', 'Lymph Nodes/pathology', 'Mice', 'Milk']",,1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",,ppublish,Am J Vet Res. 1970 Apr;31(4):619-35.,,,,
5437104,NLM,MEDLINE,19700519,20141120,0002-9645 (Print) 0002-9645 (Linking),31,4,1970 Apr,Leukocytes as carriers in the transmission of bovine leukemia: certain morphologic and functional characteristics of cultured leukocytes from normal and leukemic cattle.,597-617,"['Dunne, H W', 'Kmetz, M', 'Schultz, R D', 'Zimmerer, R P', 'Yilmazer, S K']","['Dunne HW', 'Kmetz M', 'Schultz RD', 'Zimmerer RP', 'Yilmazer SK']",['eng'],['Journal Article'],United States,Am J Vet Res,American journal of veterinary research,0375011,"['10028-17-8 (Tritium)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Blood', 'Carrier State', 'Cattle', 'Cattle Diseases/*blood/pathology', 'Cell Nucleus', 'Culture Techniques', 'DNA/biosynthesis', 'Glass', 'Leukemia/*veterinary', '*Leukocytes/cytology/growth & development/physiology', 'Microscopy, Electron', '*Phagocytosis', 'Retroviridae', 'Thymidine/metabolism', 'Tritium']",,1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",,ppublish,Am J Vet Res. 1970 Apr;31(4):597-617.,,,,
5437103,NLM,MEDLINE,19700519,20141120,0002-9645 (Print) 0002-9645 (Linking),31,4,1970 Apr,Leukocytes as carriers in the transmission of bovine leukemia: in vitro growth of leukocytes from milk and blood of normal and leukemic cattle.,587-95,"['Kmetz, M', 'Schultz, R D', 'Dunne, H W']","['Kmetz M', 'Schultz RD', 'Dunne HW']",['eng'],['Journal Article'],United States,Am J Vet Res,American journal of veterinary research,0375011,"['0 (Anti-Bacterial Agents)', '0 (Culture Media)']",IM,"['Animals', 'Anti-Bacterial Agents/pharmacology', 'Bacteria/drug effects', 'Blood', 'Carrier State', 'Cattle', 'Cattle Diseases/*blood', 'Cell Line', 'Cell Nucleus', 'Culture Media', 'Culture Techniques', 'Female', 'Glass', 'Leukemia/*veterinary', 'Leukocytes/*growth & development', 'Milk/cytology']",,1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",,ppublish,Am J Vet Res. 1970 Apr;31(4):587-95.,,,,
5436935,NLM,MEDLINE,19700516,20091111,0020-8868 (Print) 0020-8868 (Linking),53,1,1970 Jan,Tumors of the heart.,16-23,"['Nourbakhsh, M M']",['Nourbakhsh MM'],['eng'],['Journal Article'],Italy,Int Surg,International surgery,0043524,,IM,"['Adult', 'Aged', 'Child', 'Female', 'Heart Neoplasms/diagnosis/pathology/*surgery', 'Humans', 'Leukemia', 'Myxoma/surgery', 'Neoplasm Metastasis', 'Neurofibroma/surgery', 'Rhabdomyoma', 'Rhabdomyosarcoma/surgery']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Int Surg. 1970 Jan;53(1):16-23.,,,,
5436762,NLM,MEDLINE,19700514,20151119,0033-2240 (Print) 0033-2240 (Linking),26,2,1970,"[Magnesium in the pathogenesis, treatment and prophylaxis of proliferating diseases of the lymphoreticular system].",308-9,"['Aleksandrowicz, J']",['Aleksandrowicz J'],['pol'],['Journal Article'],Poland,Przegl Lek,Przeglad lekarski,19840720R,['I38ZP9992A (Magnesium)'],IM,"['Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Magnesium/*therapeutic use']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Przegl Lek. 1970;26(2):308-9.,"Magnez w patogenezie, w leczeniu i profilaktyce chorob proliferacyjnych ukladu limforetykularnego.",,,
5436279,NLM,MEDLINE,19700510,20060328,0026-4946 (Print) 0026-4946 (Linking),22,5,1970 Feb 4,[A case of acute neonatal leukemia].,277-87,"['Pototschnig, C', 'Lampertico, P']","['Pototschnig C', 'Lampertico P']",['ita'],['Journal Article'],Italy,Minerva Pediatr,Minerva pediatrica,0400740,,IM,"['Female', 'Humans', 'Infant, Newborn', '*Infant, Newborn, Diseases', 'Leukemia/*congenital', 'Skin Diseases/*complications', 'Staphylococcal Infections/*complications']",,1970/02/04 00:00,1970/02/04 00:01,['1970/02/04 00:00'],"['1970/02/04 00:00 [pubmed]', '1970/02/04 00:01 [medline]', '1970/02/04 00:00 [entrez]']",,ppublish,Minerva Pediatr. 1970 Feb 4;22(5):277-87.,Un caso di leucemia acuta neonatalle.,,,
5436041,NLM,MEDLINE,19700510,20190825,0028-4793 (Print) 0028-4793 (Linking),282,17,1970 Apr 23,Leukemia and ankylosing spondylitis.,979,"['Eisenstadt, H B']",['Eisenstadt HB'],['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,,IM,"['Humans', 'Leukemia/*complications', 'Leukemia, Radiation-Induced', 'Radiotherapy/adverse effects', 'Spondylitis, Ankylosing/*complications/radiotherapy']",,1970/04/23 00:00,1970/04/23 00:01,['1970/04/23 00:00'],"['1970/04/23 00:00 [pubmed]', '1970/04/23 00:01 [medline]', '1970/04/23 00:00 [entrez]']",['10.1056/nejm197004232821717 [doi]'],ppublish,N Engl J Med. 1970 Apr 23;282(17):979. doi: 10.1056/nejm197004232821717.,,,,
5435899,NLM,MEDLINE,19700505,20190618,0036-8075 (Print) 0036-8075 (Linking),168,3929,1970 Apr 17,Murine sarcoma virus: the question of defectiveness.,387-9,"['Parkman, R', 'Levy, J A', 'Ting, R C']","['Parkman R', 'Levy JA', 'Ting RC']",['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,,IM,"['Animals', 'Cell Line', 'Cell Transformation, Neoplastic', 'Complement Fixation Tests', 'Culture Techniques', 'Cytopathogenic Effect, Viral', 'Defective Viruses/pathogenicity', 'Embryo, Mammalian/cytology', 'Kinetics', 'Mice', 'Moloney murine leukemia virus/*pathogenicity', 'Rats']",,1970/04/17 00:00,1970/04/17 00:01,['1970/04/17 00:00'],"['1970/04/17 00:00 [pubmed]', '1970/04/17 00:01 [medline]', '1970/04/17 00:00 [entrez]']",['10.1126/science.168.3929.387 [doi]'],ppublish,Science. 1970 Apr 17;168(3929):387-9. doi: 10.1126/science.168.3929.387.,,"Infection of mouse and rat cells by the murine sarcoma virus (Moloney isolate) showed two-hit kinetics for focus production in mouse cells but one-hit kinetics in rat cells. Antiserum added to cultures after infection suppressed focus formation in mouse cells but not in rat cells. These studies suggest that, in rat cells infected with murine sarcoma virus, leukemina virus is not needed for focus formation and that these foci result from proliferation of the transformed rat cell; in mouse cells, on the other hand, leukemia virus is needed as ""helper,"" and focus formation requires spread of virus. The term ""defectiveness"" then, if used, should not be applied to RNA tumor viruses without qualification for the viral function studied and the cell system employed.",,
5435888,NLM,MEDLINE,19700505,20190618,0036-8075 (Print) 0036-8075 (Linking),168,3929,1970 Apr 17,Frontal attack on radiation.,315,"['Lewis, E B']",['Lewis EB'],['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,['0 (Iodine Isotopes)'],IM,"['Child', 'Child, Preschool', 'Fetus/radiation effects', 'Humans', 'Iodine Isotopes/adverse effects', 'Leukemia/mortality', '*Neoplasms, Radiation-Induced']",,1970/04/17 00:00,1970/04/17 00:01,['1970/04/17 00:00'],"['1970/04/17 00:00 [pubmed]', '1970/04/17 00:01 [medline]', '1970/04/17 00:00 [entrez]']",['10.1126/science.168.3929.315-b [doi]'],ppublish,Science. 1970 Apr 17;168(3929):315. doi: 10.1126/science.168.3929.315-b.,,,,
5435886,NLM,MEDLINE,19700505,20190618,0036-8075 (Print) 0036-8075 (Linking),168,3929,1970 Apr 17,Frontal attack on radiation.,315,"['Budinger, T F']",['Budinger TF'],['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,,IM,"['Animals', 'Humans', 'Leukemia, Radiation-Induced', 'Neoplasms, Radiation-Induced', 'Radiation Genetics', 'Radiation Injuries/*prevention & control', 'Radiation Protection']",,1970/04/17 00:00,1970/04/17 00:01,['1970/04/17 00:00'],"['1970/04/17 00:00 [pubmed]', '1970/04/17 00:01 [medline]', '1970/04/17 00:00 [entrez]']",['10.1126/science.168.3929.315 [doi]'],ppublish,Science. 1970 Apr 17;168(3929):315. doi: 10.1126/science.168.3929.315.,,,,
5435772,NLM,MEDLINE,19700505,20131121,0020-9988 (Print) 0020-9988 (Linking),9,4,1970 Apr,The cataractogenic effect of dibromomannitol in rats.,291-9,"['von Sallmann, L', 'Grimes, P']","['von Sallmann L', 'Grimes P']",['eng'],['Journal Article'],United States,Invest Ophthalmol,Investigative ophthalmology,0374730,"['0 (Bromides)', '3OWL53L36A (Mannitol)', '9007-49-2 (DNA)', 'G1LN9045DK (Busulfan)']",IM,"['Animals', 'Bromides', 'Busulfan/adverse effects', 'Cataract/*chemically induced', 'DNA/biosynthesis/metabolism', 'Lens, Crystalline/metabolism', 'Leukemia', 'Mannitol/*adverse effects/pharmacology', 'Mitosis', 'Rats']",,1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",,ppublish,Invest Ophthalmol. 1970 Apr;9(4):291-9.,,,,
