PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CIN,TT,RF,GR,PMC,EIN,SI,CON,RIN,MID,OID,OAB,OABL,OTO,OT,GN,EFR
8626398,NLM,MEDLINE,19960624,20210210,0021-9258 (Print) 0021-9258 (Linking),271,11,1996 Mar 15,Regulation by spermine of native inward rectifier K+ channels in RBL-1 cells.,6114-21,"Polyamines have been shown to participate in the rectification of cloned inwardly rectifying potassium channels, a class of potassium channel proteins that conducts inward current more readily than outward current. Here, basophil leukemia cells were used to determine the effects of polyamines on a native, inwardly rectifying potassium current. Rat basophil leukemia cells were cultured in the presence of two different polyamine biosynthesis inhibitors, and both the electrophysiological properties and the polyamine levels were monitored. Treatment with alpha-difluoromethylornithine, a specific ornithine decarboxylase inhibitor, resulted in no significant change of electrophysiological properties. In contrast, treatment with 5'-[(Z)-4-amino-2-butenyl]- methyl-amino-5'-deoxyadenosine (MDL73811), an inhibitor of S-adenosylmethionine decarboxylase, resulted in increased outward currents through inwardly rectifying potassium channels while intracellular putrescine was markedly increased and spermidine and spermine levels were decreased. Fluctuations of intracellular polyamine concentrations as imposed by MDL73811 were directly translated in an altered cell excitability. Based on these results we conclude that the rectification properties of native inwardly rectifying potassium channels are largely controlled by intracellular spermine.","['Bianchi, L', 'Roy, M L', 'Taglialatela, M', 'Lundgren, D W', 'Brown, A M', 'Ficker, E']","['Bianchi L', 'Roy ML', 'Taglialatela M', 'Lundgren DW', 'Brown AM', 'Ficker E']","['Rammelkamp Center for Education and Research, Case Western Reserve University School of Medicine, Cleveland, Ohio 44109-1998, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Deoxyadenosines)', '0 (Ornithine Decarboxylase Inhibitors)', '0 (Potassium Channels)', '0 (Potassium Channels, Inwardly Rectifying)', '2FZ7Y3VOQX (Spermine)', '7GI49JB39O (MDL 73811)', 'U87FK77H25 (Spermidine)', 'V10TVZ52E4 (Putrescine)', 'ZQN1G5V6SR (Eflornithine)']",IM,"['Animals', 'Deoxyadenosines/pharmacology', 'Eflornithine/pharmacology', 'Leukemia, Basophilic, Acute/metabolism', 'Membrane Potentials', 'Ornithine Decarboxylase Inhibitors', 'Potassium Channels/drug effects/*metabolism', '*Potassium Channels, Inwardly Rectifying', 'Putrescine/metabolism', 'Rats', 'Spermidine/metabolism', 'Spermine/*metabolism/pharmacology', 'Tumor Cells, Cultured']",1996/03/15 00:00,1996/03/15 00:01,['1996/03/15 00:00'],"['1996/03/15 00:00 [pubmed]', '1996/03/15 00:01 [medline]', '1996/03/15 00:00 [entrez]']","['10.1074/jbc.271.11.6114 [doi]', 'S0021-9258(17)45510-4 [pii]']",ppublish,J Biol Chem. 1996 Mar 15;271(11):6114-21. doi: 10.1074/jbc.271.11.6114.,,,,"['NS23877/NS/NINDS NIH HHS/United States', 'NS36930/NS/NINDS NIH HHS/United States']",,,,,,,,,,,,,
8626119,NLM,MEDLINE,19960621,20041117,0090-8258 (Print) 0090-8258 (Linking),61,1,1996 Apr,Second primary cancers in a cohort of Israeli women with primary gynecologic malignancies.,61-7,"Second cancer in a women with a primary gynecological malignancy could reflect a common etiology or sequealae of a potentially carcinogenic treatment. The aim of the present study was to determine the incidence rate of second primary cancer in a cohort of women with primary gynecological cancer and patient characteristics, namely age, diagnosis, type of treatment, and duration of follow-up. The study cohort comprised 925 Israeli Jewish women with histologically confirmed gynecologic malignancies. The file was linked by computer matching to the Israel Cancer Registry for identification of second primary cancers. Standardized incidence rates (SIRs) for site-specific as well as for all cancer were computed. A significant excess for subsequent leukemia among ovarian (SIR 10; 95% CI 1.1-36.1) and uterine corporal cancer patients (SIR 10.0; 95% CI 2.7-25.6) was found. The significant increase in leukemia was treatment-related and limited to patients treated with radiotherapy. Age older than 60 years constituted a significantly unfavorable factor. The estimated probability of developing a subsequent cancer at 175 months is 6.1%. Physicians should be aware of the possibility of a second primary malignancy when prescribing treatment and during follow-up.","['Frenkel, Y', 'Menczer, J', 'Gaynor, J J', 'Blumstein, T', 'Modan, B']","['Frenkel Y', 'Menczer J', 'Gaynor JJ', 'Blumstein T', 'Modan B']","['Department of Obstetrics and Gynecology, Chaim Sheba Medical Center, Tel Hashomer, Israel.']",['eng'],['Journal Article'],United States,Gynecol Oncol,Gynecologic oncology,0365304,,IM,"['Cohort Studies', 'Female', '*Genital Neoplasms, Female/drug therapy/radiotherapy', 'Humans', 'Incidence', 'Israel/epidemiology', 'Middle Aged', 'Neoplasms, Second Primary/*epidemiology/etiology', 'Probability', 'Proportional Hazards Models', 'Radiation Injuries/complications', 'Registries']",1996/04/01 00:00,1996/04/01 00:01,['1996/04/01 00:00'],"['1996/04/01 00:00 [pubmed]', '1996/04/01 00:01 [medline]', '1996/04/01 00:00 [entrez]']","['S0090-8258(96)90097-9 [pii]', '10.1006/gyno.1996.0097 [doi]']",ppublish,Gynecol Oncol. 1996 Apr;61(1):61-7. doi: 10.1006/gyno.1996.0097.,,,,,,,,,,,,,,,,,
8625964,NLM,MEDLINE,19960624,20131121,0014-2980 (Print) 0014-2980 (Linking),26,4,1996 Apr,"Expression of high- and low-affinity receptors for C3a on the human mast cell line, HMC-1.",753-8,"The proteolytic cleavage product of complement component 3, (C3a), is like C4a and C5a, is a potent anaphylatoxin and induces the production of inflammatory mediators in phagocytes. Notably, mast cells respond to C3a with the release of vasoactive substances, including histamine. We have examined the function and receptor binding of C3a in a human leukemic mast cell line, HMC-1. Similar to chemoattractant agonists in leukocytes, C3a induced rapid cytosolic free calcium concentration increases in HMC-1 cells. EGTA did not diminish this response, indicating that mobilizable Ca2+ was from intracellular stores. Receptors of C3a in HMC-1 cells couple in part to Bordetella pertussis toxin-sensitive G-proteins and, therefore, appear to belong to the family of serpentine receptors that require G-proteins for signal transduction. HMC-1 cells express two types of C3a receptors, C3aR1 and C3aR2, that were shown to bind 125I-C3a with high-(Kd1 = 2.1-4.8 nM) or low-affinity (Kd2 = 30-150 nM), and both receptors are expressed at high level: 3 x 10(5)-6 x 10(5) C3aR1/cell and 5 x 10(5)-2.3 x 10(6) C3aR2/cell. Results from cross-linking experiments with 125I-C3a fully agree with the presence of two different classes of C3a receptors in HMC-1 cells. Two membrane proteins with apparent molecular masses of 54-61 kDa (p57) and 86-107 kDa (p97) could be covalently modified with 125I-C3a, and this cross-linking was inhibited with an excess of unlabeled C3a. Many of the known agonists for leukocytes including 13 chemokines (IL-8, NAP-2, GRO alpha, ENA-78, IP10, PF4, MCP-1, 2 and 3, RANTES, MIP-1 alpha, MIP-1 beta and I309), three neuropeptides (neuropeptide Y, somatostatin and calcitonin), as well as C5a, did not activate HMC-1 cells, indicating that C3a is one of a few protein ligands for which this cell line expresses specific receptors. The apparent selectivity for C3a and the abundant expression of C3a receptors make the HMC-1 cell line an excellent choice for the cloning of the receptor genes.","['Legler, D F', 'Loetscher, M', 'Jones, S A', 'Dahinden, C A', 'Arock, M', 'Moser, B']","['Legler DF', 'Loetscher M', 'Jones SA', 'Dahinden CA', 'Arock M', 'Moser B']","['Theodor-Kocher Institute, University of Bern, Switzerland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Anaphylatoxins)', '0 (Chemokines)', '0 (Membrane Proteins)', '0 (Neoplasm Proteins)', '0 (Neuropeptides)', '0 (Receptors, Complement)', '0 (Virulence Factors, Bordetella)', '0 (complement C3a receptor)', '80295-42-7 (Complement C3a)', 'EC 2.4.2.31 (Pertussis Toxin)', 'SY7Q814VUP (Calcium)']",IM,"['Anaphylatoxins/pharmacology', 'Calcium/metabolism', 'Chemokines/pharmacology', 'Complement C3a/metabolism', 'Gene Expression Regulation, Leukemic/drug effects', 'Humans', 'Intracellular Fluid/metabolism', 'Leukemia, Mast-Cell/pathology', 'Mast Cells/drug effects/*metabolism', '*Membrane Proteins', 'Neoplasm Proteins/biosynthesis/genetics', 'Neuropeptides/pharmacology', 'Pertussis Toxin', 'Receptors, Complement/*biosynthesis/classification/genetics', 'Tumor Cells, Cultured', 'Virulence Factors, Bordetella/pharmacology']",1996/04/01 00:00,1996/04/01 00:01,['1996/04/01 00:00'],"['1996/04/01 00:00 [pubmed]', '1996/04/01 00:01 [medline]', '1996/04/01 00:00 [entrez]']",['10.1002/eji.1830260405 [doi]'],ppublish,Eur J Immunol. 1996 Apr;26(4):753-8. doi: 10.1002/eji.1830260405.,,,,,,,,,,,,,,,,,
8625951,NLM,MEDLINE,19960625,20131121,0893-6692 (Print) 0893-6692 (Linking),27,1,1996,Influence of cytotoxicity on test results in the L5178Y TK+/- mouse lymphoma assay.,75-8,,"['Oberly, T J', 'Garriot, M L']","['Oberly TJ', 'Garriot ML']","['Toxicology Research Laboratories, Eli Lilly and Company, Greenfield, Indiana, USA.']",['eng'],['Journal Article'],United States,Environ Mol Mutagen,Environmental and molecular mutagenesis,8800109,"['0 (Carcinogens)', '0 (Mutagens)', 'EC 2.7.1.21 (Thymidine Kinase)']",IM,"['Animals', '*Artifacts', 'CHO Cells/drug effects', 'Carcinogens/toxicity', 'Cell Division/drug effects', 'Cell Survival/drug effects', 'Cricetinae', 'Cricetulus', 'Databases, Factual', 'Drug-Related Side Effects and Adverse Reactions', 'False Positive Reactions', 'Heterozygote', 'Leukemia L5178/*pathology', 'Mice', 'Mutagenicity Tests/*standards', 'Mutagens/toxicity', 'Rats', 'Retrospective Studies', 'Salmonella typhimurium/drug effects', 'Sensitivity and Specificity', 'Thymidine Kinase/*genetics', 'Toxicology/*methods/standards', 'Tumor Cells, Cultured/*drug effects', 'Tumor Stem Cell Assay']",1996/01/01 00:00,2000/06/20 09:00,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/01/01 00:00 [entrez]']","['10.1002/(SICI)1098-2280(1996)27:1<75::AID-EM10>3.0.CO;2-G [pii]', '10.1002/(SICI)1098-2280(1996)27:1<75::AID-EM10>3.0.CO;2-G [doi]']",ppublish,Environ Mol Mutagen. 1996;27(1):75-8. doi: 10.1002/(SICI)1098-2280(1996)27:1<75::AID-EM10>3.0.CO;2-G.,,,,,,,,,,,,,,,,,
8625884,NLM,MEDLINE,19960621,20161123,0013-7227 (Print) 0013-7227 (Linking),137,4,1996 Apr,Activation of the JAK-STAT signal transduction pathway by oncostatin-M cultured human and mouse osteoblastic cells.,1159-65,"Oncastatin M (OSM) is one member of the leukemia inhibitory factor/interleukin-6 family of cytokines that has been shown to be a growth regulatory molecule. In osteoblastic cultures, OSM causes marked phenotypic changes and the enhanced secretion of interleukin-6. In this study, we have shown that stimulation of murine and human osteoblastic cultures and a human osteosarcoma cell line with OSM resulted in the tyrosine phosphorylation of a number of cellular proteins including members of both the Janus kinase (JAK) and signal transducer and activator of transcription (STAT) family of signaling proteins. The JAKs, a family of intracellular kinases, and the STATs, a family of transcription factors, have both previously been shown to be tyrosine phosphorylated and activated in response to various cytokines, interferons, and growth factors in cells of non-skeletal origin. Using three different sources of cells of the osteoblast lineage, we demonstrate that OSM induces a rapid but transient tyrosine phosphorylation of the three JAK family members tested, JAK1, JAK2 and Tyk2. In addition, two members of the STAT family, Stat1alpha and Stat3, are tyrosine phosphorylated in osteoblastic cells in culture in response to OSM. OSM activation of this pathway in cells of the osteoblast lineage will result in the transcription of specific genes that ultimately may be associated with osteoblast function.","['Levy, J B', 'Schindler, C', 'Raz, R', 'Levy, D E', 'Baron, R', 'Horowitz, M C']","['Levy JB', 'Schindler C', 'Raz R', 'Levy DE', 'Baron R', 'Horowitz MC']","['Department of Orthopaedics, Yale University School of Medicine, New Haven, Connecticut 06520-8071, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Endocrinology,Endocrinology,0375040,"['0 (Cytokines)', '0 (DNA-Binding Proteins)', '0 (Interferon-Stimulated Gene Factor 3)', '0 (OSM protein, human)', '0 (Osm protein, mouse)', '0 (Peptides)', '0 (Proteins)', '0 (Proto-Oncogene Proteins)', '0 (STAT3 Transcription Factor)', '0 (STAT3 protein, human)', '0 (Stat3 protein, mouse)', '0 (Trans-Activators)', '0 (Transcription Factors)', '0 (gamma interferon activation factor)', '106956-32-5 (Oncostatin M)', '42HK56048U (Tyrosine)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (JAK1 protein, human)', 'EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Jak1 protein, mouse)', 'EC 2.7.10.2 (Jak2 protein, mouse)', 'EC 2.7.10.2 (Janus Kinase 1)', 'EC 2.7.10.2 (Janus Kinase 2)', 'EC 2.7.10.2 (TYK2 Kinase)', 'EC 2.7.10.2 (TYK2 protein, human)', 'EC 2.7.10.2 (Tyk2 protein, mouse)']",IM,"['Animals', 'Cells, Cultured', 'Cytokines/pharmacology', 'DNA-Binding Proteins/*physiology', 'Humans', 'Interferon-Stimulated Gene Factor 3', 'Janus Kinase 1', 'Janus Kinase 2', 'Mice', 'Mice, Inbred C57BL', 'Oncostatin M', 'Osteoblasts/*physiology', 'Osteosarcoma/metabolism/pathology', 'Peptides/*pharmacology', 'Phosphorylation', 'Protein-Tyrosine Kinases/*physiology', 'Proteins/*physiology', '*Proto-Oncogene Proteins', 'STAT3 Transcription Factor', 'Signal Transduction/*drug effects', 'TYK2 Kinase', 'Trans-Activators/*physiology', 'Transcription Factors/*physiology', 'Tumor Cells, Cultured', 'Tyrosine/metabolism']",1996/04/01 00:00,1996/04/01 00:01,['1996/04/01 00:00'],"['1996/04/01 00:00 [pubmed]', '1996/04/01 00:01 [medline]', '1996/04/01 00:00 [entrez]']",['10.1210/endo.137.4.8625884 [doi]'],ppublish,Endocrinology. 1996 Apr;137(4):1159-65. doi: 10.1210/endo.137.4.8625884.,,,,"['AR-40073/AR/NIAMS NIH HHS/United States', 'AR-40507/AR/NIAMS NIH HHS/United States', 'AR-42927/AR/NIAMS NIH HHS/United States', 'etc.']",,,,,,,,,,,,,
8625883,NLM,MEDLINE,19960621,20181130,0013-7227 (Print) 0013-7227 (Linking),137,4,1996 Apr,Oncostatin-M: a new bone active cytokine that activates osteoblasts and inhibits bone resorption.,1151-8,"Osteoblasts and their precursors respond to specific cytokines, growth factors, and hormones. One facet of this response includes the secretion of additional cytokines, some of which are part of the circuitry involved in the regulation of osteoblast and osteoclast function. Therefore, understanding which cytokines are able to activate osteoblastic cells and the consequences of that activation are central to understanding normal and pathologic bone remodeling. Oncostatin M (OSM) is a glycoprotein belonging to a new subfamily of cytokines related by sequence and structural homology and the use of the signal transducing receptor component gp130. Osteoblastic cells secrete and respond to leukemia-inhibiting factor (LIF) both in vitro and in vivo, suggesting that LIF is an autocrine regulatory factor. OSM is closely related to LIF, and therefore we hypothesized that OSM should regulate the function of cells in the osteoblastic lineage. Primary neonatal murine or fetal rat calvarial osteoblastic cultures were treated with OSM or LIF and a series of biochemical and biological parameters were determined. In these cultures, OSM induced proliferation, collagen synthesis, and interleukin-6 secretion, whereas it inhibited alkaline phosphatase activity. Bone resorption was also inhibited by OSM. These data represent the first report of OSM's effects on bone cell function and indicate that, like some other members of the LIF/interleukin-6 subfamily, OSM has potent bone regulatory activity.","['Jay, P R', 'Centrella, M', 'Lorenzo, J', 'Bruce, A G', 'Horowitz, M C']","['Jay PR', 'Centrella M', 'Lorenzo J', 'Bruce AG', 'Horowitz MC']","['Department of Orthopaedics, Yale University School of Medicine, New Haven, Connecticut 06520-8071, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Endocrinology,Endocrinology,0375040,"['0 (Cytokines)', '0 (Osm protein, mouse)', '0 (Peptides)', '106956-32-5 (Oncostatin M)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",IM,"['Alkaline Phosphatase/antagonists & inhibitors', 'Animals', 'Bone Resorption/*prevention & control', 'Cell Division/drug effects', 'Cytokines/metabolism/*pharmacology', 'Mice', 'Mice, Inbred C57BL', 'Oncostatin M', 'Osteoblasts/*drug effects/physiology', 'Peptides/*pharmacology', 'Protein Biosynthesis', 'Rats', 'Rats, Sprague-Dawley']",1996/04/01 00:00,1996/04/01 00:01,['1996/04/01 00:00'],"['1996/04/01 00:00 [pubmed]', '1996/04/01 00:01 [medline]', '1996/04/01 00:00 [entrez]']",['10.1210/endo.137.4.8625883 [doi]'],ppublish,Endocrinology. 1996 Apr;137(4):1151-8. doi: 10.1210/endo.137.4.8625883.,['Endocrinology. 1996 Apr;137(4):1149-50. PMID: 8625882'],,,"['AR-40043/AR/NIAMS NIH HHS/United States', 'AR-40507/AR/NIAMS NIH HHS/United States', 'AR-42362/AR/NIAMS NIH HHS/United States', 'etc.']",,,,,,,,,,,,,
8625793,NLM,MEDLINE,19960621,20161123,0950-1991 (Print) 0950-1991 (Linking),122,2,1996 Feb,Cardiotrophin-1 displays early expression in the murine heart tube and promotes cardiac myocyte survival.,419-28,"We have recently isolated a novel cytokine, cardiotrophin-1 (CT-1), from an in vitro embryonic stem cell system of cardiogenesis that can activate embryonic markers in neonatal rat cardiac myocytes. CT-1 is a new member of the interleukin 6 (IL-6)/leukemia inhibitory factor (LIF) cytokines, which activate downstream signals via gp130-dependent pathways. To define the developmental pattern of expression of CT-1 during murine embryogenesis, we have developed antibodies directed against a CT-1 fusion protein. As assessed by immunolocalization, CT-1 is predominantly expressed in the early mouse embryonic heart tube (E8.5-10.5). In the heart, CT-1 is primarily expressed in myocardial cells, and not in endocardial cushion or outflow tract tissues. After E12.5, CT-1 expression is found in other tissues, including skeletal, liver and dorsal root ganglia. Given the effects of a related family member (ciliary neurotrophic factor, CNTF) on neuronal cell survival, we studied the ability of CT-1 to promote cardiac myocyte survival and proliferation in vitro. Both CT-1 and LIF, which share the same receptors, dramatically promote neonatal cardiac myocyte survival, while IL-6 and CNTF are without effect. A cell proliferation assay documents that CT-1 provokes an approximate 2-fold increase in embryonic cardiac myocyte proliferation. Thus, CT-1 may play an autocrine role during cardiac chamber growth and morphogenesis by promoting the survival and proliferation of immature myocytes, most likely via gp130-dependent signaling pathways.","['Sheng, Z', 'Pennica, D', 'Wood, W I', 'Chien, K R']","['Sheng Z', 'Pennica D', 'Wood WI', 'Chien KR']","['Department of Medicine, Center for Molecular Genetics, University of California , San Diego, School of Medicine, La Jolla, 92093-0613, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Development,"Development (Cambridge, England)",8701744,"['0 (Cytokines)', '0 (DNA Primers)', 'AJ7U77BR8I (cardiotrophin 1)']",IM,"['Animals', 'Animals, Newborn', 'Base Sequence', 'Cell Division', 'Cell Survival', 'Cells, Cultured', 'Cytokines/analysis/*biosynthesis', 'DNA Primers', '*Embryonic and Fetal Development', 'Ganglia, Spinal/embryology/metabolism', '*Gene Expression Regulation', 'Gestational Age', 'Heart/*embryology', 'Immunohistochemistry', 'Liver/embryology/metabolism', 'Mice', 'Molecular Sequence Data', 'Muscle, Skeletal/embryology/metabolism', 'Myocardium/cytology/*metabolism', 'Organ Specificity', 'Polymerase Chain Reaction', 'Rats', 'Stem Cells/physiology']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",,ppublish,Development. 1996 Feb;122(2):419-28.,,,,"['1 RO1 HL51549/HL/NHLBI NIH HHS/United States', 'HL53773/HL/NHLBI NIH HHS/United States', 'P01 HL46345/HL/NHLBI NIH HHS/United States', 'etc.']",,,,,,,,,,,,,
8625788,NLM,MEDLINE,19960625,20081121,0012-0472 (Print) 0012-0472 (Linking),121,18,1996 May 3,[Chronic myeloproliferative diseases. New knowledge about well known diseases].,600-4,,"['Aulitzky, W E', 'Griesshammer, M', 'Heimpel, H', 'Huhn, D']","['Aulitzky WE', 'Griesshammer M', 'Heimpel H', 'Huhn D']","['Abteilung fur Hamatologie, Universitat Mainz.']",['ger'],"['English Abstract', 'Journal Article', 'Review']",Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,,IM,"['Humans', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive/physiopathology/therapy', '*Polycythemia Vera/physiopathology/therapy', '*Primary Myelofibrosis/physiopathology/therapy', '*Thrombocythemia, Essential/physiopathology/therapy']",1996/05/03 00:00,1996/05/03 00:01,['1996/05/03 00:00'],"['1996/05/03 00:00 [pubmed]', '1996/05/03 00:01 [medline]', '1996/05/03 00:00 [entrez]']",['10.1055/s-2008-1043045 [doi]'],ppublish,Dtsch Med Wochenschr. 1996 May 3;121(18):600-4. doi: 10.1055/s-2008-1043045.,,Chronische myeloproliferative Erkrankungen. Neue Erkenntnisse uber altbekannte Krankheiten.,42,,,,,,,,,,,,,,
8625695,NLM,MEDLINE,19960627,20190514,0012-3692 (Print) 0012-3692 (Linking),109,5,1996 May,Pulmonary veno-occlusive disease in an adult following bone marrow transplantation. Case report and review of the literature.,1388-91,Pulmonary veno-occlusive disease (PVOD) was diagnosed in an adult following chemotherapy and bone marrow transplantation (BMT) for acute lymphoblastic leukemia. A medical literature review showed only three previous reports of PVOD following BMT occurring in children but no prior cases in adults.,"['Williams, L M', 'Fussell, S', 'Veith, R W', 'Nelson, S', 'Mason, C M']","['Williams LM', 'Fussell S', 'Veith RW', 'Nelson S', 'Mason CM']","['Department of Medicine, Louisiana State University School of Medicine, New Orleans, USA.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,Chest,Chest,0231335,,IM,"['Adult', 'Bone Marrow Transplantation/*adverse effects', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Pulmonary Veno-Occlusive Disease/diagnosis/*etiology']",1996/05/01 00:00,1996/05/01 00:01,['1996/05/01 00:00'],"['1996/05/01 00:00 [pubmed]', '1996/05/01 00:01 [medline]', '1996/05/01 00:00 [entrez]']","['S0012-3692(15)46190-2 [pii]', '10.1378/chest.109.5.1388 [doi]']",ppublish,Chest. 1996 May;109(5):1388-91. doi: 10.1378/chest.109.5.1388.,,,26,,,,,,,,,,,,,,
8625554,NLM,MEDLINE,19960627,20190821,0090-1229 (Print) 0090-1229 (Linking),78,2,1996 Feb,The occurrence of serum autoantibodies against enolase in cancer-associated retinopathy.,120-9,"Cancer-associated retinopathy (CAR) is an uncommon paraneoplastic disease in which degeneration of the retina occurs as a remote effect of cancer in a distant part of the body. Immunoreactivity of sera from CAR patients and controls have been analyzed. Immunostaining of human retinal proteins showed that a soluble protein of Mr approximately 46 kDa (p46) is labeled by antibodies from several CAR patients with various types of cancer (lung, breast, bladder, prostate, salivary gland, and gastrointestinal tract cancer and chronic lymphocytic leukemia). These sera did not show reactivity with the 23-kDa protein previously associated with CAR. To identify and further characterize p46, the retinal protein was purified to homogeneity by anion-exchange chromatography and preparative gel electrophoresis. Protein sequence analysis of the peptides from p46 revealed a high homology with human enolase, an important glycolytic enzyme. Although enolase has been previously identified as a product of several types of tumors, and enolase activity has been detected in the sera of some cancer patients, the existence of autoantibodies directed to enolase has not been described. This is the first report of the presence of serum antibodies to retinal enolase in the patients with cancer and the CAR syndrome. When antibodies of specific isotypes (IgG, IgM, and IgA) were measured, IgG1 isotype was dominant. The significance of these antibodies for the disease process is under investigation.","['Adamus, G', 'Aptsiauri, N', 'Guy, J', 'Heckenlively, J', 'Flannery, J', 'Hargrave, P A']","['Adamus G', 'Aptsiauri N', 'Guy J', 'Heckenlively J', 'Flannery J', 'Hargrave PA']","['R.S. Dow Neurological Sciences Institute, Portland, Oregon 97209, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,"['0 (Autoantibodies)', 'EC 4.2.1.11 (Phosphopyruvate Hydratase)']",IM,"['Aged', 'Amino Acid Sequence', 'Autoantibodies/*blood', 'Female', 'Humans', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Paraneoplastic Syndromes/*enzymology/*etiology/immunology', 'Phosphopyruvate Hydratase/*immunology', 'Retinal Diseases/*enzymology/*etiology/immunology', 'Sequence Homology, Amino Acid']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']","['S0090122996900215 [pii]', '10.1006/clin.1996.0021 [doi]']",ppublish,Clin Immunol Immunopathol. 1996 Feb;78(2):120-9. doi: 10.1006/clin.1996.0021.,,,,"['EY06225/EY/NEI NIH HHS/United States', 'EY06226/EY/NEI NIH HHS/United States', 'EY10316/EY/NEI NIH HHS/United States', 'etc.']",,,,,,,,,,,,,
8625474,NLM,MEDLINE,19960624,20190512,0143-3334 (Print) 0143-3334 (Linking),17,4,1996 Apr,Chromosomal mechanisms in murine radiation acute myeloid leukaemogenesis.,655-9,"Chromosome 2 abnormalities, particularly interstitial deletions, characterize murine radiation-induced acute myeloid leukaemias (AMLs). Here, G-band analyses in CBA/H mice of early (1-6 month) post 3 Gy X-irradiation events in bone marrow cells in vivo and of karyotype evolution in one unusual AML are presented. The early event analysis showed that all irradiated animals carry chromosome 2 abnormalities, that chromosome 2 abnormalities are more frequent than expected and that interstitial deletions are more common in chromosome 2 than in the remainder of the genome. On presentation AML case N122 carried a t(2;11) terminal translocation which, with passaging, evolved into a del2(C3F3). Therefore, two pathways in leukaemogenesis might exist, one deletion-driven, the other terminal translocation-driven involving interstitial genes and terminal genes respectively of chromosome 2. As all irradiated individuals carried chromosome 2 abnormalities, the formation of these aberrations does not determine individual leukaemogenic sensitivity as only 20-25% of animals would be expected to develop AML. Similar lines of argument suggest that chromosome 2 abnormalities are necessary but not sufficient for radiation leukaemogenesis in CBA/H nor are they rate limiting in leukaemogenesis.","['Bouffler, S D', 'Breckon, G', 'Cox, R']","['Bouffler SD', 'Breckon G', 'Cox R']","['Biomedical Effects Department, National Radiological Protection Board, Didcot, Oxon, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Carcinogenesis,Carcinogenesis,8008055,,IM,"['Acute Disease', 'Animals', 'Chromosome Aberrations', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Leukemia, Radiation-Induced/*genetics', 'Mice', 'Mice, Inbred CBA', 'Species Specificity']",1996/04/01 00:00,1996/04/01 00:01,['1996/04/01 00:00'],"['1996/04/01 00:00 [pubmed]', '1996/04/01 00:01 [medline]', '1996/04/01 00:00 [entrez]']",['10.1093/carcin/17.4.655 [doi]'],ppublish,Carcinogenesis. 1996 Apr;17(4):655-9. doi: 10.1093/carcin/17.4.655.,,,,,,,,,,,,,,,,,
