PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,GR,PT,DEP,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CIN,EIN,RF,MID,TT,OID,OTO,OT,CON,CI,SI,CN,COIS,IR,FIR,UOF,RIN
18928582,NLM,MEDLINE,20110712,20161018,1009-2137 (Print) 1009-2137 (Linking),16,5,2008 Oct,[Cytogenetic analysis on 135 cases of chronic myelogenous leukemias with non-simple Philadelphia chromosome].,997-1001,,"The purpose of this study was to investigate 135 cases of chronic myelogenous leukemia with non-simple Philadelphia chromosome and to analyze their cytogenetic date. Chromosome preparations in 135 cases of patients were performed by using direct method and/or short-term culture, and karyotyping was performed with R-banding technique. The results showed that the overall frequency of chronic myelogenous leukemia with non-simple Philadelphia chromosome (based on 1210 cases of chromosome detection in chronic myelogenous leukemia) was 11.16%, which included 87 cases of chronic phase, 21 cases of accelerated phase and 27 cases of blastic phase. Among 87 cases of patients in chronic phase, 14 cases were with simple variant translocation and 22 cases had complex variant translocation while the others were with other chromosomal abnormalities including 4 cases of +8, 4 cases of + Ph and 2 cases of i (17); among 21 cases of patients in accelerated phage, 4 cases were with +8 and 4 cases were with + Ph while 3 cases were with i (17); among 27 cases of patients in blastic phage, 2 cases were with simple variant translocation and 3 cases had complex variant translocation while the others were with other chromosomal abnormalities including 5 cases of +8, 5 cases of + Ph and 2 cases of i (17). The detection rate of extra chromosomal abnormalities in this group of 135 cases patient were + Ph, +8, i (17), -Y, +19 and +21 in order. There were 16 cases with simple variant translocation and 25 cases with complex variant translocation in in this group of 135 cases. It is concluded that karyotype analysis is helpful in diagnosis, prognosis, pathogenesis and treatment selection for chronic myelogenous leukemia.","['Xue, Zhi-Ke', 'Jin, Jie', 'Chen, Zhi-Mei', 'Lou, Ji-Yu', 'Yu, Yun-Biao']","['Xue ZK', 'Jin J', 'Chen ZM', 'Lou JY', 'Yu YB']","['Dpartment of Hematology, The Hospital of Guilin Medical College, Guilin 541001, Guangxi Province, China.']",['chi'],,"['English Abstract', 'Journal Article']",,China,Zhongguo Shi Yan Xue Ye Xue Za Zhi,Zhongguo shi yan xue ye xue za zhi,101084424,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Male', 'Middle Aged', '*Philadelphia Chromosome', 'Young Adult']",,2008/10/22 09:00,2011/07/13 06:00,['2008/10/22 09:00'],"['2008/10/22 09:00 [pubmed]', '2011/07/13 06:00 [medline]', '2008/10/22 09:00 [entrez]']",['1009-2137(2008)05-0997-05 [pii]'],ppublish,Zhongguo Shi Yan Xue Ye Xue Za Zhi. 2008 Oct;16(5):997-1001.,,,,,,,,,,,,,,,,,
18928581,NLM,MEDLINE,20110712,20161018,1009-2137 (Print) 1009-2137 (Linking),16,5,2008 Oct,[Analysis of chromosome-8 aberrations in myeloid malignancies with complex chromosome abnormalities].,993-6,,"To investigate the chromosome-8 aberrations in myeloid malignancies with complex chromosome abnormalities (CCAs), 81 cases of myeloid malignancies with CCAs were analysed by conventional chromosome analysis and multiplex fluorescence in situ hybridization. The 81 cases included 25 cases of acute myeloid leukemia (AML), 35 cases of chronic myeloid leukemia (CML) and 21 cases of myelodysplastic syndrome (MDS). The results showed that all chromosomes were involved in CCAs, and the incidence of chromosome-8 abnormality was 35.8% (29 out of 81 cases) in myeloid malignancies with CCAs, which in AML, CML and MDS patients were 56% (14/25), 28.6% (10/35) and 23.81% (5/21), respectively. In CML, the incidences of accelerated phase and blast phase were 20% (1/5) and 33.3% (9/27), respectively. The most common aberrations involving chromosome 8 were unbalanced translocations (19 out of 29 cases, 51.7%). In conclusion, aberrations of chromosome 8 were common in myeloid malignancies with CCAs, and may be related to progression of the disease. The most common aberrations were unbalanced translocations.","['Liu, Qiong', 'Zhu, Yu', 'Qiu, Hong-Xia', 'Qiu, Hai-Rong', 'Wang, Rong', 'Xu, Wei', 'Li, Jian-Yong']","['Liu Q', 'Zhu Y', 'Qiu HX', 'Qiu HR', 'Wang R', 'Xu W', 'Li JY']","['Department of Hematology, The First Hospital, Nanjing Medical University, Jiangsu Province People Hospital, Nanjing 210029, Jiangsu Province, China.']",['chi'],,"['English Abstract', 'Journal Article']",,China,Zhongguo Shi Yan Xue Ye Xue Za Zhi,Zhongguo shi yan xue ye xue za zhi,101084424,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', '*Chromosome Aberrations', '*Chromosomes, Human, Pair 8', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged', 'Young Adult']",,2008/10/22 09:00,2011/07/13 06:00,['2008/10/22 09:00'],"['2008/10/22 09:00 [pubmed]', '2011/07/13 06:00 [medline]', '2008/10/22 09:00 [entrez]']",['1009-2137(2008)05-0993-04 [pii]'],ppublish,Zhongguo Shi Yan Xue Ye Xue Za Zhi. 2008 Oct;16(5):993-6.,,,,,,,,,,,,,,,,,
18928580,NLM,MEDLINE,20110712,20161018,1009-2137 (Print) 1009-2137 (Linking),16,5,2008 Oct,[Preliminary study on Id4 as a reporter for all patients before relapse].,990-2,,"This study was purposed to investigate the feasibility of inhibitor of DNA banding 4 (Id4) as a reporter for acute lymphoblastic leukemia (ALL) patients before their clinical relapse. Id4 promoter at methylation status was detected by MS-PCR in bone marrow samples from the ALL patients who had been in their complete remission (CR) for 6 to 8 months with follow-up period of at least three months. The results showed that Id4 methylation were found in 20 out of all 32 patients (62.5%). The remainder 12 patients were fourd Id4 unmethylated, 1 case out of whom relapsed within the next 3-month of follow-up (8.33%), while 10 out of 20 patients (50%) with Id4 methylation relapsed within the same follow-up period. Existence of high risk factors at de novo diagnosis didn't correlated with the Id4 methylation status. In conclusion, Id4 could be regard as a reporter for ALL patients before their relapse.","['Zhao, Yu', 'Li, Hong-Hua', 'Dou, Li-Ping', 'Jing, Yu', 'Wang, Quan-Shun', 'Yu, Li']","['Zhao Y', 'Li HH', 'Dou LP', 'Jing Y', 'Wang QS', 'Yu L']","['Department of Hematology, PLA General Hospital, Beijing 100853, China.']",['chi'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,China,Zhongguo Shi Yan Xue Ye Xue Za Zhi,Zhongguo shi yan xue ye xue za zhi,101084424,"['0 (ID4 protein, human)', '0 (Inhibitor of Differentiation Proteins)']",IM,"['Adolescent', 'Adult', '*DNA Methylation', 'Female', 'Humans', 'Inhibitor of Differentiation Proteins/*genetics', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/*genetics', 'Promoter Regions, Genetic', 'Recurrence', 'Young Adult']",,2008/10/22 09:00,2011/07/13 06:00,['2008/10/22 09:00'],"['2008/10/22 09:00 [pubmed]', '2011/07/13 06:00 [medline]', '2008/10/22 09:00 [entrez]']",['1009-2137(2008)05-0990-03 [pii]'],ppublish,Zhongguo Shi Yan Xue Ye Xue Za Zhi. 2008 Oct;16(5):990-2.,,,,,,,,,,,,,,,,,
18928518,NLM,MEDLINE,20100603,20181113,1756-8722 (Electronic) 1756-8722 (Linking),1,,2008 Oct 17,Persistence of TEL-AML1 fusion gene as minimal residual disease has no additive prognostic value in CD 10 positive B-acute lymphoblastic leukemia: a FISH study.,17,10.1186/1756-8722-1-17 [doi],"OBJECTIVES: We have analyzed t(12;21)(p13:q22) in an attempt to evaluate the frequency and prognostic significance of TEL-AML1 fusion gene in patients with childhood CD 10 positive B-ALL by fluorescence in situ hybridization (FISH). Also, we have monitored the prognostic value of this gene as a minimal residual disease (MRD). METHODS: All bone marrow samples of eighty patients diagnosed as CD 10 positive B-ALL in South Egypt Cancer Institute were evaluated by fluorescence in situ hybridization (FISH) for t(12;21) in newly diagnosed cases and after morphological complete remission as a minimal residual disease (MRD). We determined the prognostic significance of TEL-AML1 fusion represented by disease course and survival. RESULTS: TEL-AML1 fusion gene was positive in (37.5%) in newly diagnosed patients. There was a significant correlation between TEL-AML1 fusion gene both at diagnosis (r = 0.5, P = 0.003) and as a MRD (r = 0.4, P = 0.01) with favorable course. Kaplan-Meier curve for the presence of TEL-AML1 fusion at the diagnosis was associated with a better probability of overall survival (OS); mean survival time was 47 +/- 1 month, in contrast to 28 +/- 5 month in its absence (P = 0.006). Also, the persistence at TEL-AML1 fusion as a MRD was not significantly associated with a better probability of OS; the mean survival time was 42 +/- 2 months in the presence of MRD and it was 40 +/- 1 months in its absence. So, persistence of TEL-AML1 fusion as a MRD had no additive prognostic value over its measurement at diagnosis in terms of predicting the probability of OS. CONCLUSION: For most patients, the presence of TEL-AML1 fusion gene at diagnosis suggests a favorable prognosis. The present study suggests that persistence of TEL-AML1 fusion as MRD has no additive prognostic value.","['Mosad, Eman', 'Hamed, Hosny B', 'Bakry, Rania M', 'Ezz-Eldin, Azza M', 'Khalifa, Nesrine M']","['Mosad E', 'Hamed HB', 'Bakry RM', 'Ezz-Eldin AM', 'Khalifa NM']","['Clinical Pathology Department, South Egypt Cancer Institute, Assiut University, Assiut, Egypt. eman_mosaad@hotmail.com']",['eng'],,['Journal Article'],20081017,England,J Hematol Oncol,Journal of hematology & oncology,101468937,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (Oncogene Proteins, Fusion)', '0 (TEL-AML1 fusion protein)']",IM,"['Child', 'Child, Preschool', 'Core Binding Factor Alpha 2 Subunit/*genetics', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Male', 'Neoplasm, Residual/diagnosis/genetics', 'Oncogene Proteins, Fusion/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/*genetics', 'Prognosis']",PMC2577682,2008/10/22 09:00,2010/06/04 06:00,['2008/10/22 09:00'],"['2008/09/09 00:00 [received]', '2008/10/17 00:00 [accepted]', '2008/10/22 09:00 [pubmed]', '2010/06/04 06:00 [medline]', '2008/10/22 09:00 [entrez]']","['1756-8722-1-17 [pii]', '10.1186/1756-8722-1-17 [doi]']",epublish,J Hematol Oncol. 2008 Oct 17;1:17. doi: 10.1186/1756-8722-1-17.,,,,,,,,,,,,,,,,,
18927629,NLM,MEDLINE,20081114,20181113,1553-7404 (Electronic) 1553-7390 (Linking),4,10,2008 Oct,Regulatory network analyses reveal genome-wide potentiation of LIF signaling by glucocorticoids and define an innate cell defense response.,e1000224,10.1371/journal.pgen.1000224 [doi],"While the hypothalamo-pituitary-adrenal axis (HPA) activates a general stress response by increasing glucocorticoid (Gc) synthesis, biological stress resulting from infections triggers the inflammatory response through production of cytokines. The pituitary gland integrates some of these signals by responding to the pro-inflammatory cytokines IL6 and LIF and to a negative Gc feedback loop. The present work used whole-genome approaches to define the LIF/STAT3 regulatory network and to delineate cross-talk between this pathway and Gc action. Genome-wide ChIP-chip identified 3,449 STAT3 binding sites, whereas 2,396 genes regulated by LIF and/or Gc were found by expression profiling. Surprisingly, LIF on its own changed expression of only 85 genes but the joint action of LIF and Gc potentiated the expression of more than a thousand genes. Accordingly, activation of both LIF and Gc pathways also potentiated STAT3 and GR recruitment to many STAT3 targets. Our analyses revealed an unexpected gene cluster that requires both stimuli for delayed activation; 83% of the genes in this cluster are involved in different cell defense mechanisms. Thus, stressors that trigger both general stress and inflammatory responses lead to activation of a stereotypic innate cellular defense response.","['Langlais, David', 'Couture, Catherine', 'Balsalobre, Aurelio', 'Drouin, Jacques']","['Langlais D', 'Couture C', 'Balsalobre A', 'Drouin J']","['Laboratoire de Genetique Moleculaire, Institut de Recherches Cliniques de Montreal, Montreal, Quebec, Canada.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20081017,United States,PLoS Genet,PLoS genetics,101239074,"['0 (Acute-Phase Proteins)', '0 (Glucocorticoids)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lipocalin-2)', '0 (Lipocalins)', '0 (Oncogene Proteins)', '0 (Receptors, Glucocorticoid)', '0 (Recombinant Proteins)', '0 (STAT3 Transcription Factor)', '0 (Stat3 protein, mouse)', '126469-30-5 (Lcn2 protein, mouse)', '7S5I7G3JQL (Dexamethasone)']",IM,"['Acute-Phase Proteins/genetics', 'Animals', 'Binding Sites/genetics', 'Cell Line', 'Chromatin Immunoprecipitation', 'Dexamethasone/pharmacology', 'Feedback, Physiological', 'Gene Expression Profiling', 'Gene Regulatory Networks/drug effects', 'Genome', 'Glucocorticoids/metabolism/*pharmacology', 'Hypothalamo-Hypophyseal System/drug effects/physiology', 'Immunity, Innate', 'Leukemia Inhibitory Factor/*genetics/immunology/pharmacology/*physiology', 'Lipocalin-2', 'Lipocalins/genetics', 'Mice', 'Multigene Family', 'Oncogene Proteins/genetics', 'Pituitary-Adrenal System/drug effects/physiology', 'Receptors, Glucocorticoid/metabolism', 'Recombinant Proteins/pharmacology', 'STAT3 Transcription Factor/genetics/immunology/physiology', 'Signal Transduction/drug effects']",PMC2562516,2008/10/18 09:00,2008/11/15 09:00,['2008/10/18 09:00'],"['2008/04/14 00:00 [received]', '2008/09/12 00:00 [accepted]', '2008/10/18 09:00 [pubmed]', '2008/11/15 09:00 [medline]', '2008/10/18 09:00 [entrez]']",['10.1371/journal.pgen.1000224 [doi]'],ppublish,PLoS Genet. 2008 Oct;4(10):e1000224. doi: 10.1371/journal.pgen.1000224. Epub 2008 Oct 17.,,,,,,,,,,,,,['The authors have declared that no competing interests exist.'],,,,
18927504,NLM,MEDLINE,20081224,20200930,1551-4005 (Electronic) 1551-4005 (Linking),7,20,2008 Oct,Resist or die: FOXO transcription factors determine the cellular response to chemotherapy.,3133-6,,"FOXO transcription factors are important regulators of cell fate decisions, capable of inducing cell death as well as promoting cell survival and resistance to environmental stress. As is the case for many cancers, apoptosis of leukaemic cells in response to chemotherapeutic drugs such as doxorubicin is dependent upon FOXO activation. Surprisingly, prolonged FOXO activity paradoxically promotes drug-resistance in leukaemia by enhancing the expression of critical signal intermediates that drive the activity of the Class 1A PI3-K/Akt survival pathway. Additionally, under continuous stress, FOXO factors also induce the expression of genes important for drug efflux, antioxidant defence, and DNA damage repair. Thus, the same effector molecules, FOXOs, are responsible for not only the initial therapeutic response to cancer drugs but also the subsequent acquisition of resistance. This emerging evidence demonstrates that FOXO factors have a dual role in stress response and function at the axis of cancer drug sensitivity and resistance. Nevertheless, the mechanism that allows FOXO to escape the negative control of the PI3-K/Akt pathway in response to persistent cytotoxic stress and to switch its control from pro-apoptotic to pro-survival target genes is not well understood but likely to involve a series of defined post-translational protein modifications.","['Gomes, Ana R', 'Brosens, Jan J', 'Lam, Eric W-F']","['Gomes AR', 'Brosens JJ', 'Lam EW']","['Department of Oncology, Cancer Research-UK labs, MRC Cyclotron Building, Imperial College London, Hammersmith Hospital Campus, London, United Kingdom.']",['eng'],,['Journal Article'],20081005,United States,Cell Cycle,"Cell cycle (Georgetown, Tex.)",101137841,"['0 (Forkhead Transcription Factors)', 'EC 2.7.1.- (Phosphatidylinositol 3-Kinases)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-akt)']",IM,"['Animals', 'Drug Resistance, Multiple/physiology', '*Drug Therapy', 'Forkhead Transcription Factors/metabolism', 'Humans', 'Neoplasms/*drug therapy', 'Phosphatidylinositol 3-Kinases/metabolism', 'Proto-Oncogene Proteins c-akt/metabolism', 'Signal Transduction/physiology']",,2008/10/18 09:00,2008/12/25 09:00,['2008/10/18 09:00'],"['2008/10/18 09:00 [pubmed]', '2008/12/25 09:00 [medline]', '2008/10/18 09:00 [entrez]']","['6920 [pii]', '10.4161/cc.7.20.6920 [doi]']",ppublish,Cell Cycle. 2008 Oct;7(20):3133-6. doi: 10.4161/cc.7.20.6920. Epub 2008 Oct 5.,,,,,,,,,,,,,,,,,
18927494,NLM,MEDLINE,20090318,20200930,1555-8576 (Electronic) 1538-4047 (Linking),7,10,2008 Oct,Advances in pediatric hematopoietic stem cell transplantation.,1533-9,,"Allogeneic and autologous hematopoietic stem cell transplantation (HSCT) has become a therapeutic option for an increasing number of patients with otherwise incurable leukemias, solid tumors, immunodeficiencies, hemoglobinopathies and metabolic diseases. For patients requiring an allogeneic transplant, the addition of unrelated cord blood units and partially matched family member donors as alternate stem cell sources has increased the chances that an appropriate donor can be identified. In addition, new approaches to stem cell graft engineering are yielding insights into potential cellular immune therapies, which may decrease the adverse effects of HSCT such as graft-versus-host disease (GVHD) and harness the alloimmune graft-versus-leukemia effect. Novel conditioning regimens, primarily reduced intensity and non-myeloablative regimens, allow patients with significant co-morbidities to undergo transplantation with reduced morbidity and mortality. Combinations of immune-modulatory cytokines and monoclonal antibodies with autologous and allogeneic transplantation are among the advances being explored in contemporary HSCT.","['Barfield, Raymond C', 'Kasow, Kimberly A', 'Hale, Gregory A']","['Barfield RC', 'Kasow KA', 'Hale GA']","['Duke University, Division of Hematology/Oncology, Durham, North Carolina, USA.']",['eng'],,"['Journal Article', 'Review']",20081018,United States,Cancer Biol Ther,Cancer biology & therapy,101137842,,IM,"['Child', 'Graft vs Host Disease/etiology/therapy', 'Hematopoietic Stem Cell Transplantation/*methods/*trends', 'Humans', 'Immunologic Deficiency Syndromes/*therapy', 'Immunotherapy/methods', 'Leukemia/*therapy', 'Medical Oncology/methods', 'Metabolism, Inborn Errors/*therapy', 'Osteopetrosis/*therapy']",,2008/10/18 09:00,2009/03/19 09:00,['2008/10/18 09:00'],"['2008/10/18 09:00 [pubmed]', '2009/03/19 09:00 [medline]', '2008/10/18 09:00 [entrez]']","['7046 [pii]', '10.4161/cbt.7.10.7046 [doi]']",ppublish,Cancer Biol Ther. 2008 Oct;7(10):1533-9. doi: 10.4161/cbt.7.10.7046. Epub 2008 Oct 18.,,,60,,,,,,,,,,,,,,
18927438,NLM,MEDLINE,20090217,20210206,1528-0020 (Electronic) 0006-4971 (Linking),113,3,2009 Jan 15,Specific JAK2 mutation (JAK2R683) and multiple gene deletions in Down syndrome acute lymphoblastic leukemia.,646-8,10.1182/blood-2008-08-170928 [doi],"Children with Down syndrome (DS) have a greatly increased risk of acute megakaryoblastic leukemia (AMKL) and acute lymphoblastic leukemia (ALL). Both DS-AMKL and the related transient myeloproliferative disorder (TMD) have GATA1 mutations as obligatory, early events. To identify mutations contributing to leukemogenesis in DS-ALL, we undertook sequencing of candidate genes, including FLT3, RAS, PTPN11, BRAF, and JAK2. Sequencing of the JAK2 pseudokinase domain identified a specific, acquired mutation, JAK2R683, in 12 (28%) of 42 DS-ALL cases. Functional studies of the common JAK2R683G mutation in murine Ba/F3 cells showed growth factor independence and constitutive activation of the JAK/STAT signaling pathway. High-resolution SNP array analysis of 9 DS-ALL cases identified additional submicroscopic deletions in key genes, including ETV6, CDKN2A, and PAX5. These results infer a complex molecular pathogenesis for DS-ALL leukemogenesis, with trisomy 21 as an initiating or first hit and with chromosome aneuploidy, gene deletions, and activating JAK2 mutations as complementary genetic events.","['Kearney, Lyndal', 'Gonzalez De Castro, David', 'Yeung, Jenny', 'Procter, Julia', 'Horsley, Sharon W', 'Eguchi-Ishimae, Minenori', 'Bateman, Caroline M', 'Anderson, Kristina', 'Chaplin, Tracy', 'Young, Bryan D', 'Harrison, Christine J', 'Kempski, Helena', 'So, Chi Wai E', 'Ford, Anthony M', 'Greaves, Mel']","['Kearney L', 'Gonzalez De Castro D', 'Yeung J', 'Procter J', 'Horsley SW', 'Eguchi-Ishimae M', 'Bateman CM', 'Anderson K', 'Chaplin T', 'Young BD', 'Harrison CJ', 'Kempski H', 'So CW', 'Ford AM', 'Greaves M']","['Section of Haemato-Oncology, The Institute of Cancer Research, Sutton, United Kingdom. lyndal.kearney@icr.ac.uk']",['eng'],['Cancer Research UK/United Kingdom'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20081016,United States,Blood,Blood,7603509,['EC 2.7.10.2 (Janus Kinase 2)'],IM,"['Animals', 'Base Sequence', 'DNA Mutational Analysis', 'Down Syndrome/complications/*genetics', 'Gene Deletion', 'Humans', 'Janus Kinase 2/*genetics', 'Mice', 'Mutation', 'Polymerase Chain Reaction', 'Polymorphism, Single Nucleotide', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics']",,2008/10/18 09:00,2009/02/20 09:00,['2008/10/18 09:00'],"['2008/10/18 09:00 [pubmed]', '2009/02/20 09:00 [medline]', '2008/10/18 09:00 [entrez]']","['S0006-4971(20)37853-8 [pii]', '10.1182/blood-2008-08-170928 [doi]']",ppublish,Blood. 2009 Jan 15;113(3):646-8. doi: 10.1182/blood-2008-08-170928. Epub 2008 Oct 16.,['Br J Haematol. 2009 Jun;146(1):113-5. PMID: 19344409'],,,,,,,,,,,,,,,,
18927437,NLM,MEDLINE,20090127,20210206,1528-0020 (Electronic) 0006-4971 (Linking),113,2,2009 Jan 8,Functional assessment of perforin C2 domain mutations illustrates the critical role for calcium-dependent lipid binding in perforin cytotoxic function.,338-46,10.1182/blood-2008-08-172924 [doi],"Perforin-mediated lymphocyte cytotoxicity is critical for pathogen elimination and immune homeostasis. Perforin disruption of target cell membranes is hypothesized to require binding of a calcium-dependent, lipid-inserting, C2 domain. In a family affected by hemophagocytic lymphohistiocytosis, a severe inflammatory disorder caused by perforin deficiency, we identified 2 amino acid substitutions in the perforin C2 domain: T435M, a previously identified mutant with disputed pathogenicity, and Y438C, a novel substitution. Using biophysical modeling, we predicted that the T435M substitution, but not Y438C, would interfere with calcium binding and thus cytotoxic function. The capacity for cytotoxic function was tested after expression of the variant perforins in rat basophilic leukemia cells and murine cytotoxic T lymphocytes. As predicted, cells transduced with perforin-T435M lacked cytotoxicity, but those expressing perforin-Y438C displayed intact cytotoxic function. Using novel antibody-capture and liposome-binding assays, we found that both mutant perforins were secreted; however, only nonmutated and Y438C-substituted perforins were capable of calcium-dependent lipid binding. In addition, we found that perforin-Y438C was capable of mediating cytotoxicity without apparent proteolytic maturation. This study clearly demonstrates the pathogenicity of the T435M mutation and illustrates, for the first time, the critical role of the human perforin C2 domain for calcium-dependent, cytotoxic function.","['Urrea Moreno, Ramon', 'Gil, Juana', 'Rodriguez-Sainz, Carmen', 'Cela, Elena', 'LaFay, Victor', 'Oloizia, Brian', 'Herr, Andrew B', 'Sumegi, Janos', 'Jordan, Michael B', 'Risma, Kimberly A']","['Urrea Moreno R', 'Gil J', 'Rodriguez-Sainz C', 'Cela E', 'LaFay V', 'Oloizia B', 'Herr AB', 'Sumegi J', 'Jordan MB', 'Risma KA']","['Division of Immunology, Hospital General Universitario Gregorio Maranon, Universidad Complutense de Madrid, Madrid, Spain.']",['eng'],"['R01 HL091769/HL/NHLBI NIH HHS/United States', 'K12 CHILD HEALTH RESEARCH CAREER DEVELOPMENT AWARD/PHS HHS/United States', 'R01-HL091769/HL/NHLBI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20081016,United States,Blood,Blood,7603509,"['0 (Membrane Lipids)', '126465-35-8 (Perforin)', 'SY7Q814VUP (Calcium)']",IM,"['Amino Acid Substitution/immunology', 'Animals', 'Calcium/*immunology', 'Cell Line, Tumor', 'Cell Membrane/genetics/*immunology', 'Homeostasis/immunology', 'Humans', 'Immunity, Cellular/genetics/immunology', 'Membrane Lipids/*immunology', 'Mice', 'Mutation, Missense/*immunology', 'Perforin/genetics/*immunology', 'Protein Structure, Tertiary/genetics', 'Rats', 'T-Lymphocytes, Cytotoxic/*immunology']",PMC2615650,2008/10/18 09:00,2009/01/28 09:00,['2008/10/18 09:00'],"['2008/10/18 09:00 [pubmed]', '2009/01/28 09:00 [medline]', '2008/10/18 09:00 [entrez]']","['S0006-4971(20)37882-4 [pii]', '10.1182/blood-2008-08-172924 [doi]']",ppublish,Blood. 2009 Jan 8;113(2):338-46. doi: 10.1182/blood-2008-08-172924. Epub 2008 Oct 16.,,,,,,,,,,,,,,,,,
18927435,NLM,MEDLINE,20090209,20210206,1528-0020 (Electronic) 0006-4971 (Linking),113,4,2009 Jan 22,Very late antigen-4 function of myeloblasts correlates with improved overall survival for patients with acute myeloid leukemia.,866-74,10.1182/blood-2007-12-124818 [doi],"Adhesion of acute myeloid leukemia (AML) blasts in the bone marrow microenvironment confers protection from chemotherapy-induced apoptosis. One mechanism for retention of blasts within the bone marrow is adhesion via very late antigen-4 (VLA-4), the alpha(4)beta(1) integrin heterodimer that binds to its main ligands, fibronectin, and vascular cell adhesion molecule-1 (VCAM-1). To examine the relationship of functional expression of VLA-4 to prognosis in AML, we studied marrow samples from 175 adult AML patients who underwent induction chemotherapy with anthracycline and cytarabine on Southwest Oncology Group trials. The studies included flow cytometry and functional in vitro assays for ligand binding and maximal beta(1) activation. VLA-4 expression varied widely, with mean expression 60.6% for alpha(4), and was not significantly associated with response to chemotherapy, relapse-free, or overall survival (OS). However, increased binding of soluble VCAM-1 via VLA-4 was significantly associated with longer OS, corrected for age (P = .033). Estimated 5-year OS was 31% (95% confidence interval, 14%-48%) in 30 patients with soluble VCAM-1 binding greater than or equal to 40%, compared with 10% (confidence interval, 3%-17%) in 72 patients with lower binding. Adhesion and migratory properties of AML blasts thus appear to influence chemosensitivity and therefore may be therapeutic targets.","['Becker, Pamela S', 'Kopecky, Kenneth J', 'Wilks, Adrianne N', 'Chien, Sylvia', 'Harlan, John M', 'Willman, Cheryl L', 'Petersdorf, Stephen H', 'Stirewalt, Derek L', 'Papayannopoulou, Thalia', 'Appelbaum, Frederick R']","['Becker PS', 'Kopecky KJ', 'Wilks AN', 'Chien S', 'Harlan JM', 'Willman CL', 'Petersdorf SH', 'Stirewalt DL', 'Papayannopoulou T', 'Appelbaum FR']","['Division of Hematology, University of Washington, Seattle, WA 98109, USA. pbecker@u.washington.edu']",['eng'],['R01 HL058734/HL/NHLBI NIH HHS/United States'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20081016,United States,Blood,Blood,7603509,"['0 (Antineoplastic Agents)', '0 (Cytokines)', '0 (Fibronectins)', '0 (Integrin alpha4beta1)', '0 (Peptide Fragments)', '0 (Recombinant Proteins)', '0 (Vascular Cell Adhesion Molecule-1)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/therapeutic use', 'Cell Adhesion', 'Cell Line, Tumor', 'Cytokines/metabolism', 'Female', 'Fibronectins/metabolism', 'Gene Expression Regulation, Neoplastic/genetics', 'Granulocyte Precursor Cells/drug effects/*metabolism', 'Humans', 'Integrin alpha4beta1/genetics/*metabolism', 'Leukemia, Myeloid, Acute/drug therapy/*metabolism/pathology', 'Male', 'Middle Aged', 'Peptide Fragments/metabolism', 'Protein Binding', 'Recombinant Proteins/metabolism', 'Survival Rate', 'Treatment Outcome', 'Vascular Cell Adhesion Molecule-1/metabolism']",PMC2630271,2008/10/18 09:00,2009/02/10 09:00,['2008/10/18 09:00'],"['2008/10/18 09:00 [pubmed]', '2009/02/10 09:00 [medline]', '2008/10/18 09:00 [entrez]']","['S0006-4971(20)37816-2 [pii]', '10.1182/blood-2007-12-124818 [doi]']",ppublish,Blood. 2009 Jan 22;113(4):866-74. doi: 10.1182/blood-2007-12-124818. Epub 2008 Oct 16.,,,,,,,,,,,,,,,,,
