PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,RN,RF,AID,TT,CI,CN,DEP,PMC,EIN,CIN,CON,OID,OTO,OT,GN,RIN,MID,SI,LID
16182377,NLM,MEDLINE,20060214,20061115,0165-5728 (Print) 0165-5728 (Linking),170,1-2,2005 Dec 30,Novel autoantibodies to a voltage-gated potassium channel Kv1.4 in a severe form of myasthenia gravis.,141-9,"Sera from patients with myasthenia gravis (MG) were screened for autoantibodies to skeletal muscle-specific antigens by immunoprecipitation assay, using rhabdomyosarcoma and leukemia cell lines. Eleven of 61 MG sera immunoprecipitated a rhabdomyosarcoma-specific 70-kDa protein, which was identified as the voltage-gated K+ channel 1.4 (Kv1.4). This antibody specificity was not detected in 30 patients with polymyositis/dermatomyositis, 9 with thymoma alone, or 30 healthy controls. Clinical features associated with anti-Kv1.4 antibody included bulbar involvement, myasthenic crisis, thymoma, myocarditis, and QT prolongation on electrocardiogram. These findings suggest that anti-Kv1.4 antibody is a novel autoantibody associated with a severe MG subset and thymoma.","['Suzuki, Shigeaki', 'Satoh, Takashi', 'Yasuoka, Hidekata', 'Hamaguchi, Yasuhito', 'Tanaka, Kortaro', 'Kawakami, Yutaka', 'Suzuki, Norihiro', 'Kuwana, Masataka']","['Suzuki S', 'Satoh T', 'Yasuoka H', 'Hamaguchi Y', 'Tanaka K', 'Kawakami Y', 'Suzuki N', 'Kuwana M']","['Department of Neurology, Keio University School of Medicine, 35 Shinanomachi, Tokyo 160-8582, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Neuroimmunol,Journal of neuroimmunology,8109498,IM,"['Adult', 'Autoantibodies/*blood', 'Autoantigens/blood', 'Female', 'Humans', 'Immunoprecipitation', 'Kv1.4 Potassium Channel/chemistry/genetics/*immunology', 'Male', 'Middle Aged', 'Molecular Weight', 'Muscle, Skeletal/immunology', 'Myasthenia Gravis/immunology/metabolism/*physiopathology', 'RNA, Messenger/metabolism', 'Severity of Illness Index', 'Thymus Gland/metabolism']",2005/09/27 09:00,2006/02/16 09:00,['2005/09/27 09:00'],"['2005/04/04 00:00 [received]', '2005/08/17 00:00 [accepted]', '2005/09/27 09:00 [pubmed]', '2006/02/16 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,J Neuroimmunol. 2005 Dec 30;170(1-2):141-9. doi: 10.1016/j.jneuroim.2005.08.017. Epub 2005 Sep 22.,,"['0 (Autoantibodies)', '0 (Autoantigens)', '0 (Kv1.4 Potassium Channel)', '0 (RNA, Messenger)']",,"['S0165-5728(05)00366-8 [pii]', '10.1016/j.jneuroim.2005.08.017 [doi]']",,,,20050922,,,,,,,,,,,,
16182365,NLM,MEDLINE,20060314,20151119,0145-2126 (Print) 0145-2126 (Linking),30,3,2006 Mar,Chronic myeloid leukaemia and hairy cell leukaemia coexisting in a single patient: difficulties at diagnosis and rational of the therapeutic strategy.,349-53,"Chronic myeloid leukemia (CML) and hairy cell leukemia (HCL) are two distinct haematological disorders. Only one single case of coexistence of the two pathologies at diagnoses has been previously reported. We present a second case of coexistence at diagnosis, indicating the diagnostic procedures involving morphological, immunophenotyping, and molecular testing. We decided to use Interferon as common first-line therapy and Imatinib and Rituximab (anti-CD20 monoclonal antibody), to improve the first-line therapy result, obtaining a complete molecular remission for CML and clinical remission with molecular minimal residual disease for HCL. After a critical analysis of the results, we speculate on the different clonal origin of the two pathologies.","['Orciuolo, Enrico', 'Fazzi, Rita', 'Galimberti, Sara', 'Testi, Cesarina', ""Azzara', Antonio"", 'Carulli, Giovanni', 'Petrini, Mario']","['Orciuolo E', 'Fazzi R', 'Galimberti S', 'Testi C', ""Azzara' A"", 'Carulli G', 'Petrini M']","['Department of Oncology, Transplant and Advances in Medicine, Section of Hematology, University of Pisa, Ospedale S. Chiara, Via Roma 56, 56100 Pisa, Italy.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,"['Antibodies, Monoclonal/administration & dosage', 'Antibodies, Monoclonal, Murine-Derived', 'Antineoplastic Agents/administration & dosage', 'Antineoplastic Combined Chemotherapy Protocols/*administration & dosage', 'Benzamides', 'Humans', 'Imatinib Mesylate', 'Interferons/administration & dosage', 'Leukemia, Hairy Cell/*diagnosis/*drug therapy/pathology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis/*drug therapy/pathology', 'Male', 'Middle Aged', 'Neoplasm, Residual', 'Neoplasms, Second Primary/*diagnosis/*drug therapy/pathology', 'Piperazines/administration & dosage', 'Pyrimidines/administration & dosage', 'Remission Induction', 'Rituximab', 'Treatment Outcome']",2005/09/27 09:00,2006/03/15 09:00,['2005/09/27 09:00'],"['2005/06/14 00:00 [received]', '2005/07/14 00:00 [revised]', '2005/07/14 00:00 [accepted]', '2005/09/27 09:00 [pubmed]', '2006/03/15 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Leuk Res. 2006 Mar;30(3):349-53. doi: 10.1016/j.leukres.2005.07.011. Epub 2005 Sep 21.,,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '4F4X42SYQ6 (Rituximab)', '8A1O1M485B (Imatinib Mesylate)', '9008-11-1 (Interferons)']",,"['S0145-2126(05)00282-1 [pii]', '10.1016/j.leukres.2005.07.011 [doi]']",,,,20050921,,,,,,,,,,,,
16182364,NLM,MEDLINE,20060314,20151119,0145-2126 (Print) 0145-2126 (Linking),30,3,2006 Mar,Cyclin A1 expression and associations with disease characteristics in childhood acute lymphoblastic leukemia.,254-61,"A critical cell cycle regulatory protein, cyclin A1, has been implicated in the development of acute myeloid leukemia (AML). Here, we have examined the expression and clinical significance of cyclin A1 in childhood acute lymphoblastic leukemia (ALL). Cyclin A1 was highly expressed in lymphoblastic leukemic cell lines and in 22 of 30 ALL patients (73%). Cyclin A1 expression correlated with patient age (P=0.006), but not with cytogenetic abnormalities. Patients with high levels of cyclin A1 had poorer event-free survival (57.9%) compared to patients with lower levels (75%).","['Holm, Caroline', 'Ora, Ingrid', 'Brunhoff, Cecilia', 'Anagnostaki, Lola', 'Landberg, Goran', 'Persson, Jenny Liao']","['Holm C', 'Ora I', 'Brunhoff C', 'Anagnostaki L', 'Landberg G', 'Persson JL']","['Division of Pathology, Department of Laboratory Medicine, Lund University, University Hospital, 205 02 Malmo, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,"['Adolescent', 'Age Factors', 'Biomarkers, Tumor/*biosynthesis', 'Child', 'Child, Preschool', 'Chromosome Aberrations', 'Cyclin A/*biosynthesis', 'Cyclin A1', 'Disease-Free Survival', 'Female', '*Gene Expression Regulation, Leukemic', 'Humans', 'Infant', 'Male', 'Neoplasm Proteins/*biosynthesis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*metabolism/mortality/pathology', 'Predictive Value of Tests']",2005/09/27 09:00,2006/03/15 09:00,['2005/09/27 09:00'],"['2005/02/09 00:00 [received]', '2005/07/04 00:00 [revised]', '2005/07/12 00:00 [accepted]', '2005/09/27 09:00 [pubmed]', '2006/03/15 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Leuk Res. 2006 Mar;30(3):254-61. doi: 10.1016/j.leukres.2005.07.010. Epub 2005 Sep 22.,,"['0 (Biomarkers, Tumor)', '0 (CCNA1 protein, human)', '0 (Cyclin A)', '0 (Cyclin A1)', '0 (Neoplasm Proteins)']",,"['S0145-2126(05)00283-3 [pii]', '10.1016/j.leukres.2005.07.010 [doi]']",,,,20050922,,,,,,,,,,,,
16182363,NLM,MEDLINE,20060425,20090528,0145-2126 (Print) 0145-2126 (Linking),30,4,2006 Apr,The role of methylenetetrahydrofolate reductase in acute lymphoblastic leukemia in a Brazilian mixed population.,477-81,"The polymorphisms in the methylenetetrahydrofolate reductase (MTHFR) gene are associated with leukemogenesis. In order to investigate the influence of two polymorphisms in the MTHFR gene, 677C>T and 1298A>C, on the risk of acute lymphoblastic leukemia (ALL) we performed a case-control study in children from different Brazilians' regions. Genotyping of 176 ALL and 199 unselected healthy subjects was performed using PCR-RFLP assay. There was no association between the 677C>T or 1298A>C and risk of ALL in total case-control sample. However, 677T allele was linked to a decrease risk of ALL [odds ratio (OR), 0.43; 95% confidence interval (CI), 0.22-0.86], whereas the 1298A>C polymorphism presents an elevated risk factor [OR, 2.01; 95% CI, 1.01-3.99] in non-White children. Our investigation provides interesting data concerning the opposite effect of A1298C polymorphisms, particularly in the light of relatively scarce data regarding the MTHFR role in leukemia susceptibility in different populations.","['Zanrosso, Crisiane Wais', 'Hatagima, Ana', 'Emerenciano, Mariana', 'Ramos, Flavio', 'Figueiredo, Alexandre', 'Felix, Temis Maria', 'Segal, Sandra L', 'Giugliani, Roberto', 'Muniz, Maria Tereza Cartaxo', 'Pombo-de-Oliveira, Maria S']","['Zanrosso CW', 'Hatagima A', 'Emerenciano M', 'Ramos F', 'Figueiredo A', 'Felix TM', 'Segal SL', 'Giugliani R', 'Muniz MT', 'Pombo-de-Oliveira MS']","['Divisao de Medicina Experimental, Centro de Pesquisa, Instituto Nacional de Cancer, Rua Andre Cavalcanti, 37, CEP 20231-050 Rio de Janeiro, Brazil.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,"['Brazil', 'Case-Control Studies', 'Child', 'Female', 'Humans', 'Likelihood Functions', 'Male', 'Methylenetetrahydrofolate Reductase (NADPH2)/genetics/*metabolism', 'Polymerase Chain Reaction', 'Polymorphism, Restriction Fragment Length', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*metabolism']",2005/09/27 09:00,2006/04/28 09:00,['2005/09/27 09:00'],"['2005/05/30 00:00 [received]', '2005/09/27 09:00 [pubmed]', '2006/04/28 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Leuk Res. 2006 Apr;30(4):477-81. doi: 10.1016/j.leukres.2005.08.008. Epub 2005 Sep 22.,,['EC 1.5.1.20 (Methylenetetrahydrofolate Reductase (NADPH2))'],,"['S0145-2126(05)00316-4 [pii]', '10.1016/j.leukres.2005.08.008 [doi]']",,,,20050922,,"['Leuk Res. 2009 Jul;33(7):1009', 'Leuk Res. 2009. doi: 10.1016/j.leukres.2009.01.019. Guigliani, Roberto [corrected', 'to Giugliani, Roberto]']",,,,,,,,,,
16182182,NLM,MEDLINE,20051214,20161025,1083-8791 (Print) 1083-8791 (Linking),11,10,2005 Oct,Twenty-year follow-up of a controlled trial comparing a combination of methotrexate plus cyclosporine with cyclosporine alone for prophylaxis of graft-versus-host disease in patients administered HLA-identical marrow grafts for leukemia.,814-5,,"['Sorror, Mohamed L', 'Leisenring, Wendy', 'Deeg, H Joachim', 'Martin, Paul J', 'Storb, Rainer']","['Sorror ML', 'Leisenring W', 'Deeg HJ', 'Martin PJ', 'Storb R']",,['eng'],"['Comparative Study', 'Controlled Clinical Trial', 'Letter']",United States,Biol Blood Marrow Transplant,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,9600628,IM,"['Bone Marrow Transplantation/adverse effects', 'Cyclosporine/*therapeutic use', 'Drug Therapy, Combination', 'Follow-Up Studies', 'Graft vs Host Disease/drug therapy/mortality/*prevention & control', 'Histocompatibility Testing', 'Humans', 'Leukemia/complications/therapy', 'Methotrexate/*therapeutic use', 'Premedication', 'Prevalence', 'Survival Analysis']",2005/09/27 09:00,2005/12/15 09:00,['2005/09/27 09:00'],"['2005/03/18 00:00 [received]', '2005/05/27 00:00 [accepted]', '2005/09/27 09:00 [pubmed]', '2005/12/15 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Biol Blood Marrow Transplant. 2005 Oct;11(10):814-5. doi: 10.1016/j.bbmt.2005.05.016.,['P01 CA078902/CA/NCI NIH HHS/United States'],"['83HN0GTJ6D (Cyclosporine)', 'YL5FZ2Y5U1 (Methotrexate)']",,"['S1083-8791(05)00327-7 [pii]', '10.1016/j.bbmt.2005.05.016 [doi]']",,,,,,,,,,,,,,,,
16182177,NLM,MEDLINE,20051214,20131121,1083-8791 (Print) 1083-8791 (Linking),11,10,2005 Oct,Nonmyeloablative stem cell transplantation for myelodysplastic syndrome or acute myeloid leukemia in patients 60 years or older.,764-72,"We analyzed the outcomes of 24 consecutive patients aged >or=60 years with poor-prognosis myelodysplastic syndrome or acute myeloid leukemia undergoing transplantation with nonmyeloablative conditioning using fludarabine (125 mg/m2) and low-dose total body irradiation (2 Gy) followed by allogeneic peripheral blood stem cell grafts from HLA-identical sibling donors. Graft-versus-host disease (GVHD) prophylaxis consisted of cyclosporine and mycophenolate mofetil. The median age of the patients was 64 years (range, 60-71 years). In addition to age, 88% of patients had 1 or more adverse biological features of the disease. With a median follow-up of 21 months, 12 patients are alive, 11 of whom are disease free. The probabilities of 2-year overall and progression-free survival were 52% and 44%, respectively. The cumulative probabilities of relapse and of acute and chronic GVHD were 27%, 45%, and 74%, respectively. Nonrelapse mortality at 100 days and 2 years was 8% and 25%, respectively. Of the 15 patients with extensive chronic GVHD, 1 patient relapsed. These data suggest that nonmyeloablative stem cell transplantation is a feasible treatment option in patients aged >or=60 years with poor-prognosis myelodysplastic syndrome or acute myeloid leukemia. The reasonable disease control with nonmyeloablative transplantation in this high-risk group of patients merits further investigation.","['Gupta, Vikas', 'Daly, Andrew', 'Lipton, Jeffrey H', 'Hasegawa, Wanda', 'Chun, Kathy', 'Kamel-Reid, Suzanne', 'Tsang, Richard', 'Yi, Qi-long', 'Minden, Mark', 'Messner, Hans', 'Kiss, Thomas']","['Gupta V', 'Daly A', 'Lipton JH', 'Hasegawa W', 'Chun K', 'Kamel-Reid S', 'Tsang R', 'Yi QL', 'Minden M', 'Messner H', 'Kiss T']","['Blood and Marrow Transplant Program, Princess Margaret Hospital, Toronto, Ontario, Canada. vikas.gupta@uhn.on.ca']",['eng'],"['Clinical Trial', 'Journal Article']",United States,Biol Blood Marrow Transplant,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,9600628,IM,"['Acute Disease', 'Aged', 'Female', 'Graft Survival', 'Graft vs Host Disease', 'Hematopoietic Stem Cell Transplantation/adverse effects/*methods/mortality', 'Histocompatibility Testing', 'Humans', 'Leukemia, Myeloid/complications/mortality/*therapy', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/complications/mortality/*therapy', 'Opportunistic Infections', 'Siblings', 'Survival Analysis', 'Transplantation Conditioning/adverse effects/*methods', 'Vidarabine/administration & dosage/analogs & derivatives', 'Whole-Body Irradiation']",2005/09/27 09:00,2005/12/15 09:00,['2005/09/27 09:00'],"['2005/05/20 00:00 [received]', '2005/06/27 00:00 [accepted]', '2005/09/27 09:00 [pubmed]', '2005/12/15 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Biol Blood Marrow Transplant. 2005 Oct;11(10):764-72. doi: 10.1016/j.bbmt.2005.06.006.,,"['FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",,"['S1083-8791(05)00422-2 [pii]', '10.1016/j.bbmt.2005.06.006 [doi]']",,,,,,,,,,,,,,,,
16182175,NLM,MEDLINE,20051214,20071115,1083-8791 (Print) 1083-8791 (Linking),11,10,2005 Oct,Chemotherapy and hematopoietic stem cell transplantation for adult T-cell lymphoblastic lymphoma: current status and controversies.,739-54,"Adult T-cell lymphoblastic lymphoma is a relatively rare aggressive type of non-Hodgkin lymphoma with frequent involvement of extranodal sites. Because of the rarity of this malignancy, it is treated variably and often suboptimally, using approaches similar to those used for other types of aggressive non-Hodgkin lymphomas, with the consequence that outcome is often suboptimal. The collective experience in the management of adult T-cell lymphoblastic lymphoma suggests a good outcome for patients with no adverse prognostic factors who are treated with an acute lymphocytic leukemia-like treatment strategy. Patients with adverse prognostic features should be considered for more aggressive therapy-specifically, high-dose chemotherapy and hematopoietic stem cell transplantation. This article will attempt to review the current status of chemotherapy treatment programs and the relative merits of the different hematopoietic stem cell transplantation programs in this disease, particularly in relation to the pathologic and clinical features that correlate with disease prognosis.","['Aljurf, Mahmoud', 'Zaidi, Syed Z A']","['Aljurf M', 'Zaidi SZ']","['Section of Adult Hematology/BMT, King Faisal Cancer Center, King Faisal Specialist Hospital & Research Center, Riyadh, Saudi Arabia. maljurf@kfshrc.edu.sa']",['eng'],"['Journal Article', 'Review']",United States,Biol Blood Marrow Transplant,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,9600628,IM,"['Adult', 'Antineoplastic Agents/*therapeutic use', 'Central Nervous System Neoplasms/therapy', 'Graft vs Tumor Effect', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Mediastinal Neoplasms/therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/pathology/*therapy', 'Treatment Outcome']",2005/09/27 09:00,2005/12/15 09:00,['2005/09/27 09:00'],"['2005/03/13 00:00 [received]', '2005/07/05 00:00 [accepted]', '2005/09/27 09:00 [pubmed]', '2005/12/15 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Biol Blood Marrow Transplant. 2005 Oct;11(10):739-54. doi: 10.1016/j.bbmt.2005.07.001.,,['0 (Antineoplastic Agents)'],114,"['S1083-8791(05)00426-X [pii]', '10.1016/j.bbmt.2005.07.001 [doi]']",,,,,,,,,,,,,,,,
16182091,NLM,MEDLINE,20051215,20191210,0882-5963 (Print) 0882-5963 (Linking),20,5,2005 Oct,A framework for integrated pediatric palliative care: being with dying.,311-25,"Recent studies highlight the need for an integrated model for palliative and end-of-life pediatric care. About 55,000 children die each year in the United States and, on any given day, about 8,600 children could benefit from care that acknowledges their limited life expectancy and severity of illness. Two case studies of children illustrate different approaches-one that aggressively applies all possible technologies to maximize chances of survival and another that focuses on the patient's overall quality of life and on healing rather than curing. The cases highlight characteristics of an integrated model of palliative care to address clinical, moral, and ethical uncertainties. This model integrates being with doing, provides for developing attunement and presence as capacities for being with children and their parents, and addresses challenges in the healthcare environment. Strategies for integrating palliative care into pediatric practice include listening, fostering respect for the child and parents across the organization, nurturing collaborative connections, managing uncertainty, tolerating ambiguity, making peace with conflict, and committing to self-care. Every pediatric nurse can play a role in making the vision of palliative care a reality integrated into the fabric of pediatric practice.","['Rushton, Cynda Hylton']",['Rushton CH'],"[""The Johns Hopkins University and Children's Center, Baltimore, MD 21250, USA. crushton@son.jhmi.edu""]",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,J Pediatr Nurs,Journal of pediatric nursing,8607529,IM,"['Benchmarking', 'Child', 'Conflict, Psychological', 'Cooperative Behavior', 'Decision Making, Organizational', 'Female', 'Goals', '*Holistic Health', 'Humans', 'Interprofessional Relations', 'Leukemia, Myeloid, Acute/nursing/psychology', 'Male', '*Models, Nursing', ""Nurse's Role/psychology"", 'Palliative Care/*organization & administration/psychology', 'Parents/psychology', 'Patient Care Team/*organization & administration', 'Pediatric Nursing/*organization & administration', 'Philosophy, Nursing', 'Quality of Life', 'Self Care', 'Self-Assessment', 'Uncertainty']",2005/09/27 09:00,2005/12/16 09:00,['2005/09/27 09:00'],"['2005/09/27 09:00 [pubmed]', '2005/12/16 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,J Pediatr Nurs. 2005 Oct;20(5):311-25. doi: 10.1016/j.pedn.2005.03.003.,,,88,"['S0882-5963(05)00046-1 [pii]', '10.1016/j.pedn.2005.03.003 [doi]']",,,,,,,,,,,,,,,,
16181813,NLM,MEDLINE,20060203,20161124,1568-7864 (Print) 1568-7856 (Linking),4,12,2005 Dec 8,The p-benzoquinone DNA adducts derived from benzene are highly mutagenic.,1399-409,"Benzene is a human leukemia carcinogen, resulting from its cellular metabolism. A major benzene metabolite is p-benzoquinone (pBQ), which can damage DNA by forming the exocyclic base adducts pBQ-dC, pBQ-dA, and pBQ-dG in vitro. To gain insights into the role of pBQ in benzene genotoxicity, we examined in vitro translesion synthesis and in vivo mutagenesis of these pBQ adducts. Purified REV1 and Polkappa were essentially incapable of translesion synthesis in response to the pBQ adducts. Opposite pBQ-dA and pBQ-dC, purified human Poliota was capable of error-prone nucleotide insertion, but was unable to perform extension synthesis. Error-prone translesion synthesis was observed with Poleta. However, DNA synthesis largely stopped opposite the lesion. Consistent with in vitro results, replication of site-specifically damaged plasmids was strongly inhibited by pBQ adducts in yeast cells, which depended on both Polzeta and Poleta. In wild-type cells, the majority of translesion products were deletions at the site of damage, accounting for 91%, 90%, and 76% for pBQ-dA, pBQ-dG, and pBQ-dC, respectively. These results show that the pBQ-dC, pBQ-dA, and pBQ-dG adducts are strong blocking lesions, and are highly mutagenic by predominantly inducing deletion mutations. These results are consistent with the lesion structures predicted by molecular dynamics simulation. Our results led to the following model. Translesion synthesis normally occurs by directly copying the lesion site through base insertion and extension synthesis. When the lesion becomes incompatible in accommodating a base opposite the lesion in DNA, translesion synthesis occurs by a less efficient lesion loop-out mechanism, resulting in avoiding copying the damaged base and leading to deletion.","['Xie, Zhongwen', 'Zhang, Yangbin', 'Guliaev, Anton B', 'Shen, Huiyun', 'Hang, Bo', 'Singer, B', 'Wang, Zhigang']","['Xie Z', 'Zhang Y', 'Guliaev AB', 'Shen H', 'Hang B', 'Singer B', 'Wang Z']","['Graduate Center for Toxicology, University of Kentucky, Lexington, 40536, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",Netherlands,DNA Repair (Amst),DNA repair,101139138,IM,"['Benzene/*pharmacology/toxicity', 'Benzoquinones/*chemistry', 'Carcinogens/pharmacology/toxicity', 'DNA Adducts/chemistry/*genetics/*metabolism', 'DNA Damage/drug effects', 'DNA-Directed DNA Polymerase/metabolism', 'Humans', 'Kinetics', '*Mutagenesis/drug effects', 'Mutagenesis, Insertional', 'Mutagens/pharmacology/toxicity', 'Mutation/drug effects/*genetics', 'Nuclear Proteins', 'Nucleotidyltransferases/metabolism', 'Yeasts/metabolism']",2005/09/27 09:00,2006/02/04 09:00,['2005/09/27 09:00'],"['2005/09/27 09:00 [pubmed]', '2006/02/04 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,DNA Repair (Amst). 2005 Dec 8;4(12):1399-409. doi: 10.1016/j.dnarep.2005.08.012. Epub 2005 Sep 21.,"['CA47723/CA/NCI NIH HHS/United States', 'CA72079/CA/NCI NIH HHS/United States', 'CA92528/CA/NCI NIH HHS/United States']","['0 (Benzoquinones)', '0 (Carcinogens)', '0 (DNA Adducts)', '0 (Mutagens)', '0 (Nuclear Proteins)', '3T006GV98U (quinone)', 'EC 2.7.7.- (Nucleotidyltransferases)', 'EC 2.7.7.- (REV1 protein, human)', 'EC 2.7.7.7 (DNA-Directed DNA Polymerase)', 'J64922108F (Benzene)']",,"['S1568-7864(05)00215-6 [pii]', '10.1016/j.dnarep.2005.08.012 [doi]']",,,,20050921,,,,,,,,,,,,
16181779,NLM,MEDLINE,20051212,20211108,0959-8049 (Print) 0959-8049 (Linking),41,15,2005 Oct,Variolin B and its derivate deoxy-variolin B: new marine natural compounds with cyclin-dependent kinase inhibitor activity.,2366-77,"Variolin B (VAR-B) is a natural product isolated from the sponge Kirkpatrickia variolosa, found in Antarctica. VAR-B has been shown previously to possess potent pro-apoptotic activity. This study was undertaken to investigate the mechanism of action of chemically synthesised VAR-B and its analogue deoxy-variolin B (dVAR-B). In different human cancer cell lines both compounds inhibited colony formation, caused cell cycle perturbations and induced apoptosis at concentrations ranging from 0.1 to 2 microM. LoVo/Dx cells over-expressing Pgp were equally sensitive as the parental cell line to VAR-B and dVAR-B, indicating that variolins are not substrates of Pgp. Although variolins induced an increase in the levels of p53 with an increase in p21, their cytotoxicities did not appear to be dependent on p53 status as their potency was comparable in cells with wild-type p53, or in sub-lines with inactivated p53. Both VAR-B and dVAR-B prevent the cells from entering S phase, blocking cells in G1 and cause an accumulation of cells in G2. The apoptosis induced by VAR-B and dVAR-B occurs very rapidly in some cell lines (e.g., Jurkat leukaemia cells) and is already evident 4h after the beginning of treatment. Although intercalation of dVAR-B in DNA has been demonstrated, neither VAR-B nor dVAR-B produce detectable breaks in DNA. These results are consistent with the in vitro biochemical assays that also demonstrated that dVAR-B is not topoisomerase I or II poison. Instead, each of these variolins appears to inhibit cyclin-dependent kinases (CDKs) in the muM range. CDK1-cyclin B, CDK2-cyclin A and CDK2/cylin E complexes were inhibited in a range of concentrations lower than those required to inhibit the activity of CDK4/cyclin D or CDK7/cyclin H complexes. In conclusion, these variolins are a new class of CDK inhibitors that activate apoptosis in a p53-independent fashion and thus they may be effective against tumours with p53 mutations or deletions.","['Simone, Matteo', 'Erba, Eugenio', 'Damia, Giovanna', 'Vikhanskaya, Faina', 'Di Francesco, Angela M', 'Riccardi, Riccardo', 'Bailly, Christian', 'Cuevas, Carmen', 'Fernandez Sousa-Faro, Jose Maria', ""D'Incalci, Maurizio""]","['Simone M', 'Erba E', 'Damia G', 'Vikhanskaya F', 'Di Francesco AM', 'Riccardi R', 'Bailly C', 'Cuevas C', 'Fernandez Sousa-Faro JM', ""D'Incalci M""]","['Department of Oncology, Mario Negri Institute for Pharmacological Research, Via Eritrea 62, Milan, and Division of Pediatric Oncology, Catholic University A. Gemelli, Rome, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",9005373,IM,"['Adenocarcinoma/*drug therapy/pathology', 'Antineoplastic Agents/*pharmacology', 'Apoptosis/drug effects', 'Aza Compounds/*pharmacology', 'Caspase 3', 'Caspases/analysis', 'Cell Division/drug effects', 'Cell Line, Tumor', 'Colonic Neoplasms/*drug therapy/pathology', 'Cyclin-Dependent Kinases/*analysis/*antagonists & inhibitors', 'DNA, Neoplasm/analysis', 'Humans', 'Pyrimidines/*pharmacology']",2005/09/27 09:00,2005/12/15 09:00,['2005/09/27 09:00'],"['2005/04/29 00:00 [received]', '2005/05/10 00:00 [accepted]', '2005/09/27 09:00 [pubmed]', '2005/12/15 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Eur J Cancer. 2005 Oct;41(15):2366-77. doi: 10.1016/j.ejca.2005.05.015. Epub 2005 Sep 21.,,"['0 (Antineoplastic Agents)', '0 (Aza Compounds)', '0 (DNA, Neoplasm)', '0 (Pyrimidines)', '0 (variolin B)', 'EC 2.7.11.22 (Cyclin-Dependent Kinases)', 'EC 3.4.22.- (CASP3 protein, human)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspases)']",,"['S0959-8049(05)00601-5 [pii]', '10.1016/j.ejca.2005.05.015 [doi]']",,,,20050921,,,,,,,,,,,,
