PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,GR,SI,TT,PMC,CIN,EIN,OID,LID
3266464,NLM,MEDLINE,19890426,20071115,0301-0457 (Print) 0301-0457 (Linking),,83,1988 Aug,Constitutive expression of hematopoietic growth factor genes by acute myeloblastic leukemia cells.,68-79,"Blast cell populations of forty nine individuals with acute myeloblastic leukemia (AML) were investigated for constitutive expression of genes for various hematopoietic growth factors. Fifteen samples constitutively exhibited messenger (m) RNA for colony stimulating factor for granulocytes (G-CSF). Eleven AML specimens produced mRNA specific for CSF for granulocyte and macrophages (GM-CSF). When probed for CSF for macrophages (M-CSF or CSF-1) specific hybridization signals became detectable in six samples. Five out of six blast cell populations transcribing M-CSF, synthesized G-, and GM-CSF mRNA's simultaneously, whereas another five leukemias transcribed G-, and GM-CSF genes exclusively. Furthermore, when specific bioassays were performed to detect secretion of biologically active CSF proteins by these leukemic blast samples, twelve out of fifteen G-CSF mRNA producing cell populations, eight out of eleven GM-CSF mRNA producing cell populations and one out of six M-CSF mRNA synthesizing samples, demonstrated release of the respective, functionally active CSF's into their culture supernatants. Our results show that gene transcription and protein secretion of hematopoietic growth factors are features that are frequently detected in leukemic myeloid blast cells and involve G-, GM-, and M-CSF. With respect to recent findings of receptiveness of leukemic colony forming cells (L-CFC) for proliferative stimuli provided by various hematopoietic growth factors, our findings point out a potential role of autocrineously produced CSF's in the pathophysiology of autonomous proliferation in AML.","['Oster, W', 'Lindemann, A', 'Ganser, A', 'Mertelsmann, R', 'Herrmann, F']","['Oster W', 'Lindemann A', 'Ganser A', 'Mertelsmann R', 'Herrmann F']","['Department of Hematology, Johannes Gutenberg-University, Mainz, W. Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Behring Inst Mitt,Behring Institute Mitteilungen,0367532,IM,"['Blotting, Northern', 'Bone Marrow/metabolism', 'Colony-Stimulating Factors/*genetics', '*Gene Expression Regulation', '*Genes', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'RNA, Messenger/genetics']",,1988/08/01 00:00,1988/08/01 00:01,['1988/08/01 00:00'],"['1988/08/01 00:00 [pubmed]', '1988/08/01 00:01 [medline]', '1988/08/01 00:00 [entrez]']",,ppublish,Behring Inst Mitt. 1988 Aug;(83):68-79.,"['0 (Colony-Stimulating Factors)', '0 (RNA, Messenger)']",,,,,,,,
3266389,NLM,MEDLINE,19890425,20190819,0042-9007 (Print) 0042-9007 (Linking),55,3,1988,Platelet transfusion reaction associated with interdonor HLA incompatibility.,157-60,"An HLA-compatible platelet transfusion was followed by chills, fever, and severe respiratory distress in a multitransfused patient with chronic lymphocytic leukemia. During the previous 7 days the patient had received blood products without incident, including 8 units of red blood cells (RBC), 24 units of pooled random donor platelet concentrates, and five HLA-compatible platelet pheresis products. The patient had no demonstrable RBC, HLA lymphocytotoxic, platelet or granulocyte antibodies. The platelet donor, a multiparous female, had no granulocyte or RBC antibodies but had lymphocytotoxic antibodies against HLA-A2 CREG (cross-reacting group A2, A28, A23, A24) which reacted not with lymphocytes of the patient but with lymphocytes of the donor whose RBC were transfused 24 h prior to the platelet transfusion reaction and whose HLA type is A23, A24; B44, B57. No RBC donors had HLA lymphocytotoxic, granulocyte, or platelet antibodies against the platelet donor. The patient received three subsequent platelet transfusions from the same donor after removal of the antibody-laden plasma with no adverse reaction. These data suggest an interdonor reaction caused by the presence of cells from the RBC donor received by the patient 24 h prior to the transfusion of donor lymphocytotoxic antibody to HLA-A2 CREG antigens.","['Eastlund, D T', 'McGrath, P C', 'Burkart, P']","['Eastlund DT', 'McGrath PC', 'Burkart P']","['American Red Cross Blood Services, Northeastern New York Region, New York.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Vox Sang,Vox sanguinis,0413606,IM,"['Aged', 'HLA Antigens/*immunology', 'HLA-A Antigens/immunology', 'HLA-A2 Antigen', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/immunology/therapy', 'Male', '*Platelet Transfusion', '*Transfusion Reaction']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1111/j.1423-0410.1988.tb05084.x [doi]'],ppublish,Vox Sang. 1988;55(3):157-60. doi: 10.1111/j.1423-0410.1988.tb05084.x.,"['0 (HLA Antigens)', '0 (HLA-A Antigens)', '0 (HLA-A2 Antigen)']",,,,,,,,
3266334,NLM,MEDLINE,19890510,20041117,0893-3952 (Print) 0893-3952 (Linking),1,1,1988 Jan,Burkitt's-like lymphoma of T-cell type.,15-22,"Over an 8-yr period, we studied 29 cases of Burkitt's/Burkitt's-like lymphoma and unexpectedly found 2 Burkitt's-like cases of the T-cell type. One case presented as diffuse adenopathy in a 35-yr-old male. A second case presented as a jaw mass in a 2-yr-old girl with Down's syndrome. Histologically, each case demonstrated usual Burkitt's-like morphology (intermediate-size cells with high nuclear/cytoplasmic ratio, 1 to 3 prominent nucleoli, high mitotic rate, basophilic cytoplasm, and cytoplasmic vacuolation). Ultrastructural morphometric data corroborated the Burkitt's-like nature of these neoplasms. Immunologically, the neoplasms were of ""novel"" T-cell phenotype, as seen in peripheral T-cell lymphoma (PTL). The cases showed variable expression of activation antigens (e.g., Ia) and weak to moderate expression of proliferation antigens as measured by Ki-67. This modest proliferative activity (less than 25% Ki-67 expression) contrasts with Burkitt's-like lymphomas of the B-cell type which usually show greater than 80% Ki-67 expression. The jaw tumor also demonstrated positivity for human progenitor cell antigen (HPCA) as commonly found in leukemia. Both cases mimic granulocytic sarcoma by virtue of their eosinophilic/myelocytic recruitment--a phenomenon previously reported in association with PTL. The patients have survived 62 wk and 20 wk, respectively, surpassing the survival rates seen in our concurrent B-cell Burkitt's-like lymphomas (12 wk). Burkitt's-like lymphoma of the T-cell type appears to be a distinctive immunological subset of potential clinical and prognostic relevance.","['Oliver, J D', 'Grogan, T M', 'Payne, C M', 'Spier, C', 'Richter, L C', 'Rangel, C S']","['Oliver JD', 'Grogan TM', 'Payne CM', 'Spier C', 'Richter LC', 'Rangel CS']","['Department of Pathology, University of Arizona, Tucson.']",['eng'],"['Case Reports', 'Journal Article']",United States,Mod Pathol,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",8806605,IM,"['Adult', 'Burkitt Lymphoma/genetics/*pathology/ultrastructure', 'Female', 'Humans', 'Immunohistochemistry', 'Infant', 'Male', 'Microscopy, Electron', 'Phenotype', 'T-Lymphocytes/pathology/ultrastructure']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Mod Pathol. 1988 Jan;1(1):15-22.,,,,,,,,,
3266259,NLM,MEDLINE,19890421,20071115,0485-1439 (Print) 0485-1439 (Linking),29,11,1988 Nov,[Pneumocystis carinii pneumonia in a HTLV-I carrier terminating with acute type of adult T-cell leukemia].,2132-5,,"['Kuwazuru, Y', 'Hanada, S', 'Uematsu, T', 'Saitou, T', 'Makino, T', 'Uozumi, K', 'Hashimoto, S']","['Kuwazuru Y', 'Hanada S', 'Uematsu T', 'Saitou T', 'Makino T', 'Uozumi K', 'Hashimoto S']",,['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,IM,"['Antigens, Surface/analysis', 'Carrier State/immunology/*pathology', 'Cell Transformation, Neoplastic/pathology', 'HTLV-I Infections/*pathology', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*pathology', 'Lymphocytes/immunology', 'Male', 'Middle Aged', 'Pneumonia, Pneumocystis/*complications']",,1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1988 Nov;29(11):2132-5.,"['0 (Antigens, Surface)']",,,,,,,,
3266247,NLM,MEDLINE,19890502,20191022,0165-0378 (Print) 0165-0378 (Linking),14,2,1988 Nov,Isolation and partial characterization of an interleukin-1-like factor from rat testis interstitial fluid.,139-50,"Testicular interstitial fluid (ISF) was collected by in vivo perfusion of rat testes and analyzed for the presence of interleukin-1 (IL-1) activity by utilizing a murine thymocyte proliferation assay. IS obtained from nine rats were all positive with dose-response curves of IL-1 activity similar to those produced by rat testicular aqueous extracts, rat macrophage IL-1 and human recombinant IL-1 alpha. Chromato-focusing of pooled ISF revealed a single peak of IL-1 activity with an estimated isoelectric point of 6.1-6.3. HPLC size exclusion chromatography demonstrated two active peaks with apparent molecular ratios Mr of 15,000-18,000 and 5000-7000, respectively. The molecular properties of the 15,000-18,000 Mr component are very similar to those of an IL-1-like factor previously isolated from seminiferous tubules. Our results indicate that the testicular IL-1-like factor is secreted by the seminiferous tubules into the interstitial tissue. Its function in the testicular interstitium is unknown but it might be relevant for the tendency to testicular relapse of childhood lymphocytic leukemia.","['Gustafsson, K', 'Soder, O', 'Pollanen, P', 'Ritzen, E M']","['Gustafsson K', 'Soder O', 'Pollanen P', 'Ritzen EM']","['Pediatric Endocrinology Unit, Karolinska Hospital, Stockholm Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Ireland,J Reprod Immunol,Journal of reproductive immunology,8001906,IM,"['Animals', 'Chromatography, High Pressure Liquid', 'Extracellular Space/analysis/immunology', 'Interleukin-1/analysis/*isolation & purification', 'Leydig Cells/*analysis/immunology', 'Macrophages/analysis', 'Male', 'Mice', 'Mice, Inbred Strains', 'Perfusion', 'Rats', 'Rats, Inbred Strains']",,1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']","['0165-0378(88)90065-4 [pii]', '10.1016/0165-0378(88)90065-4 [doi]']",ppublish,J Reprod Immunol. 1988 Nov;14(2):139-50. doi: 10.1016/0165-0378(88)90065-4.,['0 (Interleukin-1)'],,,,,,,,
3266210,NLM,MEDLINE,19890425,20041117,0886-0238 (Print) 0886-0238 (Linking),2,1,1988,Tumor necrosis factor and human hematopoiesis: I. Kinetics and diversity of human bone marrow cell response to recombinant tumor necrosis factor alpha in short-term suspension cultures in vitro.,31-42,"The response of normal human bone marrow-derived granulocyte macrophage progenitor cells (GM-CFC) to human recombinant tumor necrosis factor alpha (TNF-alpha) was studied in short-term suspension cultures, in the presence or absence of human placenta-derived colony-stimulating factors (CSF). The effect of rTNF-alpha on GM-CFC was correlated with its influence on more mature progeny, as defined by standard morphological criteria, and was related to both dose of rTNF-alpha and length of exposure. After very short-term exposure (2 h), ""inactivation"" of a substantial number of GM-CFC was observed only in the presence of very high rTNF-alpha doses (1 x 10(4) ng/ml). When the exposure was prolonged to 16 h, a significant killing of both day 8 (GM-CFC8d) and day 14 (GM-CFC14d) progenitor cells was detected in the presence of 10 ng of rTNF-alpha/ml. Exposure for 5 days resulted in a further increase in the GM-CFC killing. Presence of yet unknown factor(s) in human placenta-conditioned medium sensitized GM-CFC to the action of rTNF-alpha. By morphological analysis of marrow cells, it was found that rTNF-alpha inhibited growth and/or recruitment of granulocytic precursor cells and caused inhibition of their differentiation. This effect was not dose dependent above 1 x 10(1) ng/ml. The presence of rTNF-alpha slightly promoted dose-dependent differentiation along the macrophage pathway. rTNF-alpha appeared to promote eosinophilic differentiation, also in a dose-dependent manner.","['Beran, M', ""O'Brien, S"", 'Gutterman, J U', 'McCredie, K B']","['Beran M', ""O'Brien S"", 'Gutterman JU', 'McCredie KB']","['Department of Hematology/Leukemia, University of Texas M.D. Anderson Hospital, Houston 77030.']",['eng'],['Journal Article'],United States,Hematol Pathol,Hematologic pathology,8707764,IM,"['Colony-Stimulating Factors/pharmacology', 'Dose-Response Relationship, Drug', 'Hematopoietic Stem Cells/cytology/*drug effects', 'Humans', 'Leukocytes/*drug effects', 'Phagocytes/*drug effects', 'Recombinant Proteins', 'Time Factors', 'Tumor Necrosis Factor-alpha/*pharmacokinetics']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Hematol Pathol. 1988;2(1):31-42.,"['0 (Colony-Stimulating Factors)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)']",,,,,,,,
3266198,NLM,MEDLINE,19890428,20190908,0192-0561 (Print) 0192-0561 (Linking),10,7,1988,Cell-mediated immunity to chemically xenogenized tumors--III. Generation of monoclonal antibodies interfering with reactivity to novel antigens.,803-9,"To develop monoclonal antibodies (MAbs) recognizing drug-mediated tumor antigens on a chemically xenogenized murine lymphoma, hybridomas were constructed with splenocytes from histocompatible mice hyperimmunized with L5178Y cells antigenically altered by triazene treatment in vivo (clone D, derived from a polyclonal L5178Y/DTIC subline). Screening of supernatants with parental and xenogenized cells showed that nine MAbs displayed exclusive or preferential reactivity with clone D cells as detected by immunofluorescence, and failed, as a rule, to bind normal or unrelated malignant cells of the same or different haplotype. Moreover, no reactivity was displayed to the triazene-xenogenized variants of antigenically unrelated tumors. All nine MAbs, however, were capable of binding a panel of L5178Y/DTIC clones in addition to clone D. When the ability of these antibodies to interfere with the development of cell-mediated immunity to clone D cells in vitro was tested, it was found that the proliferative reaction and generation of cytolytic activity by syngeneic lymphocytes were inhibited by addition of several MAbs to the tumor--lymphocyte co-cultures.","['Grohmann, U', 'Puccetti, P', 'Fioretti, M C', 'Mage, M G', 'Romani, L']","['Grohmann U', 'Puccetti P', 'Fioretti MC', 'Mage MG', 'Romani L']","['Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy.']",['eng'],['Journal Article'],England,Int J Immunopharmacol,International journal of immunopharmacology,7904799,IM,"['Animals', '*Antibodies, Monoclonal', 'Antibodies, Neoplasm', '*Antigens, Neoplasm', 'Clone Cells/immunology', 'Female', 'Immunity, Cellular', 'Leukemia L5178/immunology', 'Lymphocyte Activation', 'Male', 'Mice', 'Mice, Inbred Strains', 'Neoplasms, Experimental/*immunology', 'T-Lymphocytes, Cytotoxic/immunology', 'Tumor Cells, Cultured/immunology']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']","['0192-0561(88)90003-3 [pii]', '10.1016/0192-0561(88)90003-3 [doi]']",ppublish,Int J Immunopharmacol. 1988;10(7):803-9. doi: 10.1016/0192-0561(88)90003-3.,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)']",,,,,,,,
3266193,NLM,MEDLINE,19890503,20071115,0019-6061 (Print) 0019-6061 (Linking),25,6,1988 Jun,Simultaneous occurrence of a chronic myeloid leukemia and a malignant T-cell lymphoma.,566-8,,"['Ramji, S', 'Rusia, U', 'Basu, T K']","['Ramji S', 'Rusia U', 'Basu TK']",,['eng'],"['Case Reports', 'Journal Article']",India,Indian Pediatr,Indian pediatrics,2985062R,IM,"['Child', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications', 'Lymphoma, Non-Hodgkin/*complications', 'Male', 'T-Lymphocytes']",,1988/06/01 00:00,1988/06/01 00:01,['1988/06/01 00:00'],"['1988/06/01 00:00 [pubmed]', '1988/06/01 00:01 [medline]', '1988/06/01 00:00 [entrez]']",,ppublish,Indian Pediatr. 1988 Jun;25(6):566-8.,,,,,,,,,
3266166,NLM,MEDLINE,19890510,20200713,0234-5730 (Print) 0234-5730 (Linking),33,12,1988 Dec,[Monoclonal antibodies BCA-16 against surface T-cell antigen in healthy persons and in patients with leukemia].,45-7,,"['Bulycheva, T I', 'Novikova, N N', 'Miterev, G Iu', 'Novikova, M S']","['Bulycheva TI', 'Novikova NN', 'Miterev GIu', 'Novikova MS']",,['rus'],"['Comparative Study', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Animals', 'Antibodies, Monoclonal/*biosynthesis', 'Antigens, Surface/*immunology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology', 'Leukemia, Myeloid/*immunology', 'Mice', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*immunology', 'Spleen/cytology', 'T-Lymphocytes/*immunology']",,1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1988 Dec;33(12):45-7.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)']",,,Monoklonal'nye antitela BCA-16 k poverkhnostnomu T-kletochnomu antigenu zdorovykh liudei bol'nykh leikozami.,,,,,
3266164,NLM,MEDLINE,19890510,20200713,0234-5730 (Print) 0234-5730 (Linking),33,12,1988 Dec,[Monoclonal antibodies of the ICO series].,15-20,,"['Baryshnikov, A Iu']",['Baryshnikov AIu'],,['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Academies and Institutes', '*Antibodies, Monoclonal/immunology', 'Antigens, Neoplasm/analysis/*immunology', 'B-Lymphocytes/immunology', 'Hematopoietic Stem Cells/immunology', 'Histocompatibility Antigens Class II/analysis/immunology', 'Humans', 'Leukemia/*diagnosis/immunology', 'Lymphoma, Non-Hodgkin/*diagnosis/immunology', 'Medical Oncology', 'Moscow', 'Neoplasms/*diagnosis/immunology', 'T-Lymphocytes/immunology']",,1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1988 Dec;33(12):15-20.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Histocompatibility Antigens Class II)']",,,Monoklonal'nye antitela serii IKO.,,,,,
3266080,NLM,MEDLINE,19890428,20071115,0753-3322 (Print) 0753-3322 (Linking),42,10,1988,Hematon: a multicellular functional unit in primary hematopoiesis.,661-8,"Bone marrow aspirates from healthy donors contain a fraction of low density multicellular spheroids, 100-500 microns in diameter. They are organized in a three-dimensional network consisting of central preadipocytes/adipocytes, mesenchymal and reticular cells, and resident macrophages that are closely associated with myeloid, erythroid and megakaryocyte progenitor cells and with their progenies. These spheroids are 2- to 5- fold more abundant in progenitor cells compared with the whole bone marrow as estimated by monoclonal antibody markers My 10 and T 9, by analysis of granulocyte--macrophage colony forming cells (GM-CFC) and by cytological techniques. They produce terminally differentiated cells in organotypic microcultures. We suggest that a multicellular spheroid may represent the fundamental unit of primary hematopoiesis; we therefore name it hematon. Here we show that the presence of hematons in bone marrow aspirates correlated positively with homeostatic blood cell production: they were present in normal bone marrow (BM) (19/25), and absent in myelodysplasic syndromes (MDPS) (8/21), in acute nonlymphocytic leukemias (ANLL) (3/22) and in chronic myeloid leukemia (CML) (2/28). The hematons were recovered under hematological remission in MDPS and in ANLL, suggesting that they may be dispersed reversibly in certain disease conditions. The hematons represent a unifying model around which the variability in some bone marrow cell functions can be explored.","['Blazsek, I', 'Misset, J L', 'Comisso, M', 'Mathe, G']","['Blazsek I', 'Misset JL', 'Comisso M', 'Mathe G']","['ICIG and SMSIT, Universite Paris-Sud, Villejuif, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",France,Biomed Pharmacother,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,8213295,IM,"['Bone Marrow/pathology', '*Bone Marrow Cells', 'Cell Differentiation/drug effects', 'Colony-Stimulating Factors/pharmacology', '*Hematopoiesis', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/pathology', 'Leukemia, Myeloid, Acute/pathology', 'Myelodysplastic Syndromes/pathology']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Biomed Pharmacother. 1988;42(10):661-8.,['0 (Colony-Stimulating Factors)'],,,,,,,,
3265879,NLM,MEDLINE,19890414,20071115,0340-4684 (Print) 0340-4684 (Linking),14,2-3,1988,"Regulation of gene expression of M-, G-, GM-, and multi-CSF in normal and malignant hematopoietic cells.",443-62,"Colony stimulating factors (CSFs) are produced by a variety of cell types, including T-lymphocytes (T cells) and mononuclear phagocytes; both cell types are known to cooperatively interact to elaborate CSFs, although the specific cellular source of CSF species and mechanisms of intercellular communications in this regard are poorly understood. In this report, we investigate the specific origin of various CSF species in peripheral blood mononuclear cells (PBMC), purified T-lymphocyte and monocyte (Mo) populations. Furthermore, we assess the conditions required for stimulation of purified cell cultures to express CSF messenger RNAs (mRNAs) and proteins. In the absence of exogenous activation stimuli, human PBMC, T cells and Mo failed to produce transcripts for CSF for macrophages (M-CSF or CSF-1), for granulocytes (G-CSF), for granulocytes/macrophages (GM-CSF), and for multilineage CSF (multi-CSF or Il-3). However, after stimulation with phorbol myristate acetate (PMA) and phytohemagglutinin (PHA), mRNAs for M-, G-, GM-CSF, and multi-CSF became detectable in PBMC as early as 6 hours after initiation of cultures. Identical culture conditions resulted in synthesis of G-, and M-CSF mRNA by Mo, whereas T-lymphocytes produced GM-CSF and multi-CSF mRNA. More physiologically, when Mo were activated with interferon (IFN)-gamma or tumor necrosis factor-alpha (TNF-alpha) and T-lymphocytes were stimulated in an Mo-independent pathway, that is via triggering of the 50 kd sheep erythrocyte receptor protein employing monoclonal antibodies (mo ab) to the Tll-2- and Tll-3- defined epitopes, similar kinetics of mRNA expression were obtained. Similarly, when interleukin-1 (Il-1) receptive T cells were stimulated with Il-1, T cells transcribed functionally active GM-CSF and multi-CSF. Maximum peak activity of GM-, G-, and M-CSF protein secretion was identical for all CSF species investigated, and occurred in culture 48-72 hours after specific induction. Constitutive expression of CSFs not found in unactivated normal hematopoietic cells was, however, frequently observed in blast cell populations of patients with acute myeloblastic leukemia. Of 49 AML samples, 15 revealed G-CSF transcripts; 11, GM-CSF mRNA; and 6 samples synthesized M-CSF mRNA. Employing specific bioassays, 12 of 15 G-CSF-mRNA-producing cell populations, 8 of 11 GM-CSF-mRNA-producing cell populations, and 1 of 6 M-CSF-mRNA-synthesizing samples, demonstrated release of the respective functionally active CSFs into their culture supernatants.(ABSTRACT TRUNCATED AT 400 WORDS)","['Oster, W', 'Lindemann, A', 'Mertelsmann, R', 'Herrmann, F']","['Oster W', 'Lindemann A', 'Mertelsmann R', 'Herrmann F']","['Department of Hematology, Johannes Gutenberg-University, Mainz, FRG.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood Cells,Blood cells,7513567,IM,"['Blotting, Northern', 'Cells, Cultured', 'Colony-Stimulating Factors/biosynthesis/*genetics', '*Gene Expression Regulation', '*Genes', 'Hematopoietic Stem Cells/*metabolism', 'Humans', 'Leukemia, Myeloid, Acute/*metabolism', 'Models, Theoretical', 'Monocytes/*metabolism', 'Reference Values']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1988;14(2-3):443-62.,['0 (Colony-Stimulating Factors)'],,,,,,,,
3265821,NLM,MEDLINE,19890406,20191022,0920-8569 (Print) 0920-8569 (Linking),1,4,1988 Jul,Two major subgroups of human T-cell leukemia virus-1 in Japan.,377-83,"T lymphocytes of patients with human T-cell leukemia virus type 1 (HTLV-1)-associated myelopathy (HAM) were cultured. After cultivating for several months, HAM-derived cell lines were tested for the presence of HTLV-1 proviral genome. We have found two major subgroups, the SacI type and the PstI type, of HTLV-1 by the restriction map analysis. They were almost equally distributed among HAM patients. We have also found two types of the provirus in DNA derived from fresh peripheral blood lymphocytes (PBL) or lymph node cells of adult T-cell leukemia/lymphoma (ATL) patients. The PstI type proviruses were predominant in ATL patients. It was concluded that two major subgroups of HTLV-1 exist in Japan and both types have an ability to cause either of two diseases, ATL or HAM.","['Siomi, H', 'Nosaka, T', 'Saida, T', 'Miwa, H', 'Hinuma, Y', 'Shirakawa, S', 'Miyamoto, N', 'Kondo, T', 'Araki, K', 'Ichimaru, M']","['Siomi H', 'Nosaka T', 'Saida T', 'Miwa H', 'Hinuma Y', 'Shirakawa S', 'Miyamoto N', 'Kondo T', 'Araki K', 'Ichimaru M', 'et al.']","['Institute for Virus Research, Kyoto University, Japan.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Virus Genes,Virus genes,8803967,IM,"['Cell Line', 'DNA, Viral/genetics', 'Human T-lymphotropic virus 1/*classification/genetics/isolation & purification', 'Humans', 'Japan', 'Leukemia-Lymphoma, Adult T-Cell/genetics/*microbiology', 'Lymph Nodes/analysis', 'Proviruses/genetics', 'Restriction Mapping', 'Spinal Cord Diseases/*microbiology', 'T-Lymphocytes/analysis', 'Tumor Virus Infections']",,1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",['10.1007/BF00257100 [doi]'],ppublish,Virus Genes. 1988 Jul;1(4):377-83. doi: 10.1007/BF00257100.,"['0 (DNA, Viral)']",,,,,,,,
3265755,NLM,MEDLINE,19890331,20111117,0392-6516 (Print) 0392-6516 (Linking),8,2,1988 Apr-Jun,[Effects of non-immune interferons and interleukin-2 on the activity of natural killer cells in patients with hairy cell leukemia].,163-6,,"['Schippa, M', 'Fizzotti, M', 'Cini, L', 'Senatore, M']","['Schippa M', 'Fizzotti M', 'Cini L', 'Senatore M']",,['ita'],"['Comparative Study', 'English Abstract', 'Journal Article']",Italy,Medicina (Firenze),"Medicina (Florence, Italy)",8813280,IM,"['Cells, Cultured', 'Drug Combinations', 'Female', 'Humans', 'Interferon Type I/administration & dosage/*pharmacology', 'Interleukin-2/*pharmacology', 'Killer Cells, Natural/drug effects/*immunology', 'Leukemia, Hairy Cell/*immunology', 'Male', 'Middle Aged', 'Recombinant Proteins']",,1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']",,ppublish,Medicina (Firenze). 1988 Apr-Jun;8(2):163-6.,"['0 (Drug Combinations)', '0 (Interferon Type I)', '0 (Interleukin-2)', '0 (Recombinant Proteins)']",,,Effetto degli interferoni non immuni e dell'interleuchina-2 sull'attivita delle cellule natural killer di pazienti affetti da hairy cell leukemia.,,,,,
