PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,PMC,GR,MID,CIN,TT,CON,CI,CN,SI,EIN,OTO,OT,GN,OID,IR,FIR,RPI,PS,FPS,COIS
18180033,NLM,MEDLINE,20080805,20211203,0145-2126 (Print) 0145-2126 (Linking),32,7,2008 Jul,DR negativity is a distinctive feature of M1/M2 AML cases with NPM1 mutation.,1141-3,10.1016/j.leukres.2007.11.017 [doi],"Our previous observation of a higher incidence of FLT3-ITD in DR(-) M1/M2 AML than in DR(+) M1/M2 led to an investigation of NPM1 mutation in the same samples, since DR(-) AML and AML with NPM1 mutation share such characteristics as normal karyotype, the absence of CD34, and FLT3-ITD. NPM1 mutation was found in 18 of 26 (69.2%) of DR(-) cases, but not in any of 28 DR(+) cases. FLT3-ITD was noted in 66.7% of the cases with NPM1 mutation. These findings point to DR negativity as another phenotypic feature of AML with NPM1 mutation.","['Syampurnawati, Meilani', 'Tatsumi, Eiji', 'Ardianto, Bambang', 'Takenokuchi, Mariko', 'Nakamachi, Yuji', 'Kawano, Seiji', 'Kumagai, Shun-ichi', 'Saigo, Katsuyasu', 'Matsui, Toshimitsu', 'Takahashi, Takayuki', 'Nagai, Ken-ichi', 'Gunadi', 'Nishio, Hisahide', 'Yabe, Hiroki', 'Kondo, Shin-Ichi', 'Hayashi, Yoshitake']","['Syampurnawati M', 'Tatsumi E', 'Ardianto B', 'Takenokuchi M', 'Nakamachi Y', 'Kawano S', 'Kumagai S', 'Saigo K', 'Matsui T', 'Takahashi T', 'Nagai K', 'Gunadi', 'Nishio H', 'Yabe H', 'Kondo S', 'Hayashi Y']","['International Center for Medical Research and Treatment (ICMRT), Graduate School of Medicine, Kobe University, Chuo-Ku, Kobe 650-0017, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20080103,England,Leuk Res,Leukemia research,7706787,"['0 (DNA, Complementary)', '0 (HLA-DR Antigens)', '0 (NPM1 protein, human)', '117896-08-9 (Nucleophosmin)']",IM,"['Base Sequence', 'DNA, Complementary', 'HLA-DR Antigens/*analysis', 'Humans', 'Leukemia, Myeloid, Acute/*genetics/immunology', 'Nucleophosmin', 'Reverse Transcriptase Polymerase Chain Reaction']",2008/01/09 09:00,2008/08/06 09:00,['2008/01/09 09:00'],"['2007/06/11 00:00 [received]', '2007/11/12 00:00 [revised]', '2007/11/13 00:00 [accepted]', '2008/01/09 09:00 [pubmed]', '2008/08/06 09:00 [medline]', '2008/01/09 09:00 [entrez]']","['S0145-2126(07)00459-6 [pii]', '10.1016/j.leukres.2007.11.017 [doi]']",ppublish,Leuk Res. 2008 Jul;32(7):1141-3. doi: 10.1016/j.leukres.2007.11.017. Epub 2008 Jan 3.,,,,,,,,,,,,,,,,,,,,,
18179970,NLM,MEDLINE,20080314,20080108,0037-1963 (Print) 0037-1963 (Linking),45,1,2008 Jan,Myelodysplastic syndrome in children and adolescents.,60-70,10.1053/j.seminhematol.2007.10.006 [doi],"Myelodysplastic syndromes (MDS) are clonal disorders characterized by ineffective hematopoiesis and subsequent frequent development of acute myeloid leukemia (AML). In children and adolescents, MDS are uncommon disorders, accounting for less than 5% of hematopoietic malignancy, with great heterogeneity in presentation and clinical course. The genetic changes predisposing children to MDS are largely obscure. Monosomy 7 is the most common chromosomal abnormality, often occurring as a sole abnormality. The recent pediatric modification of the World Health Organization (WHO) classification has greatly facilitated the diagnostic process. Refractory cytopenia (RC) is the most common MDS subtype in children, occurring in about half of all MDS cases. There is consensus that the relationship between MDS with increased blast count and de novo AML is better defined by biological and clinical features than by blast count. Because monosomy 7 is the only chromosomal abnormality strongly suggestive of MDS, children presenting with a low blast count and other chromosomal aberrations or normal karyotype must be closely observed before a diagnosis of MDS can be established. With an increasing number of children surviving primary cancer with chemotherapy or radiation therapy, the incidence of secondary therapy-related MDS is rising. The MDS risk is also increased in patients with inherited bone marrow failure disorders; this relationship provides valuable insights into MDS biology. Allogeneic hematopoietic stem cell transplantation (HSCT) from a matched related or suitable unrelated donor is the choice for most children with MDS and can rescue a large proportion of patients.","['Niemeyer, Charlotte M', 'Baumann, Irith']","['Niemeyer CM', 'Baumann I']","['Division of Pediatric Hematology and Oncology, Department of Pediatrics, University of Freiburg, Freiburg, Germany. charlotte.niemeyer@uniklinik-freiburg.de']",['eng'],['Journal Article'],,United States,Semin Hematol,Seminars in hematology,0404514,['0 (Immunosuppressive Agents)'],IM,"['Adolescent', '*Anemia, Refractory/genetics/physiopathology', 'Child', 'Chromosomes, Human, Pair 7', 'Diagnosis, Differential', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Immunosuppressive Agents/*therapeutic use', 'Monosomy', '*Myelodysplastic Syndromes/diagnosis/epidemiology/physiopathology/therapy', 'Transplantation, Homologous']",2008/01/09 09:00,2008/03/15 09:00,['2008/01/09 09:00'],"['2008/01/09 09:00 [pubmed]', '2008/03/15 09:00 [medline]', '2008/01/09 09:00 [entrez]']","['S0037-1963(07)00157-6 [pii]', '10.1053/j.seminhematol.2007.10.006 [doi]']",ppublish,Semin Hematol. 2008 Jan;45(1):60-70. doi: 10.1053/j.seminhematol.2007.10.006.,,,,,,,,,,,,,,,,,,,,,
18179969,NLM,MEDLINE,20080314,20080108,0037-1963 (Print) 0037-1963 (Linking),45,1,2008 Jan,Allogeneic stem cell transplantation for myelodysplastic syndrome.,49-59,10.1053/j.seminhematol.2007.10.005 [doi],"Although it is only used to treat a minority of patients with myelodysplastic syndromes, stem cell transplantation (SCT) is the only proven curative treatment for this condition. Because MDS occurs in a population of older adults with significant comorbidities, reduced-intensity conditioning (RIC) regimens have been particularly important in extending safe SCT to the large MDS population over the age of 60 years. Extension of the unrelated donor pool together with the introduction of umbilical cord blood transplants in adults has extended the number of patients with suitable donors. Nevertheless overall mortality from SCT is greater than 50% because of relapse and non-relapse mortality (NRM). New developments to improve outcome include the tailoring of the transplant approach to the individual based on age and comorbidity, and the use of pretransplant chemotherapy to reduce disease bulk prior to transplant, as well as the introduction of post-transplant immunotherapy (pre-emptive donor lymphocyte infusions) and chemotherapy to prevent relapse. Further improvements in transplant outcome await better ways to reconstitute immunity and amplify the graft-versus-leukemia (GVL) effect without causing graft-versus-host disease (GVHD), as well as further extension of the donor pool and exploration of risk-adapted regimens for the population of MDS in their seventh to eighth decade.","['Barrett, A John', 'Savani, Bipin N']","['Barrett AJ', 'Savani BN']","['Hematology Branch, National Heart Lung and Blood Institute, National Institutes of Health, Bethesda, MD 20892, USA. barrettj@nhlbi.nih.gov']",['eng'],"['Journal Article', 'Review']",,United States,Semin Hematol,Seminars in hematology,0404514,,IM,"['Cord Blood Stem Cell Transplantation', 'Graft vs Host Disease/prevention & control', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Myelodysplastic Syndromes/*immunology/*therapy', 'Prognosis', 'Transplantation Conditioning', 'Transplantation, Autologous', 'Transplantation, Homologous']",2008/01/09 09:00,2008/03/15 09:00,['2008/01/09 09:00'],"['2008/01/09 09:00 [pubmed]', '2008/03/15 09:00 [medline]', '2008/01/09 09:00 [entrez]']","['S0037-1963(07)00156-4 [pii]', '10.1053/j.seminhematol.2007.10.005 [doi]']",ppublish,Semin Hematol. 2008 Jan;45(1):49-59. doi: 10.1053/j.seminhematol.2007.10.005.,79,,,,,,,,,,,,,,,,,,,,
18179966,NLM,MEDLINE,20080314,20181201,0037-1963 (Print) 0037-1963 (Linking),45,1,2008 Jan,DNA methyltransferase and histone deacetylase inhibitors in the treatment of myelodysplastic syndromes.,23-30,10.1053/j.seminhematol.2007.11.007 [doi],"The recently approved drugs 5-azacitidine (5AC) and 5-aza-2'-deoxyazacytidine (DAC) are in wide clinical use for the treatment of myelodysplastic syndrome (MDS) of all types and chronic myelomonocytic leukemia (CMML). These agents were developed based upon an understanding of the importance of epigenetic changes in malignancy, and they have been evaluated in randomized clinical trials, which demonstrate response rates between 20% and 40% in patients for whom no previous standard of care was available. As understanding of the epigenetic changes characteristic of the malignant phenotype improves, we are able to target other regulators of chromatin conformation that contribute to aberrant gene transcription and dysregulated cell growth. The histone deacetylase (HDAC) inhibitors belong to one class of therapeutics developed using this paradigm. Although responses using HDAC inhibitors alone in MDS have been modest, robust preclinical data drive clinical trials in which they are utilized in combination with DNA methyltransferase (DNMT) inhibitors. Combination therapy offers the possibility of hematologic improvement and remission to myelodysplastic patients with previously untreatable disease.","['Griffiths, Elizabeth A', 'Gore, Steven D']","['Griffiths EA', 'Gore SD']","['Sidney Kimmel Comprehensive Cancer Centre, Johns Hopkins Hospital, Baltimore, MD 21231, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', 'Review']",,United States,Semin Hematol,Seminars in hematology,0404514,"['0 (Enzyme Inhibitors)', '0 (Histone Deacetylase Inhibitors)', '776B62CQ27 (Decitabine)', 'EC 2.1.1.- (DNA Modification Methylases)', 'EC 2.1.1.37 (DNA (Cytosine-5-)-Methyltransferase 1)', 'EC 2.1.1.37 (DNA (Cytosine-5-)-Methyltransferases)', 'EC 3.5.1.98 (Histone Deacetylases)', 'M801H13NRU (Azacitidine)']",IM,"['Azacitidine/analogs & derivatives/therapeutic use', 'Clinical Trials as Topic', 'DNA (Cytosine-5-)-Methyltransferase 1', 'DNA (Cytosine-5-)-Methyltransferases/antagonists & inhibitors', 'DNA Methylation', 'DNA Modification Methylases/*antagonists & inhibitors', 'Decitabine', 'Drug Therapy, Combination', 'Enzyme Inhibitors/*therapeutic use', '*Histone Deacetylase Inhibitors', 'Histone Deacetylases/metabolism', 'Humans', 'Leukemia, Myelomonocytic, Chronic/*drug therapy/enzymology', 'Myelodysplastic Syndromes/*drug therapy/enzymology']",2008/01/09 09:00,2008/03/15 09:00,['2008/01/09 09:00'],"['2008/01/09 09:00 [pubmed]', '2008/03/15 09:00 [medline]', '2008/01/09 09:00 [entrez]']","['S0037-1963(07)00164-3 [pii]', '10.1053/j.seminhematol.2007.11.007 [doi]']",ppublish,Semin Hematol. 2008 Jan;45(1):23-30. doi: 10.1053/j.seminhematol.2007.11.007.,45,PMC2234265,"['K24 CA111717/CA/NCI NIH HHS/United States', 'K24 CA111717-01A1/CA/NCI NIH HHS/United States']",['NIHMS38931'],,,,,,,,,,,,,,,,,
18179862,NLM,MEDLINE,20080414,20080211,0304-3835 (Print) 0304-3835 (Linking),261,1,2008 Mar 8,"Arginine deiminase, a potential anti-tumor drug.",1-11,10.1016/j.canlet.2007.11.038 [doi],"Arginine deiminase (ADI; EC 3.5.3.6), an arginine-degrading enzyme, has been studied as a potential anti-tumor drug for the treatment of arginine-auxotrophic tumors, such as hepatocellular carcinomas (HCCs) and melanomas. Studies with human lymphatic leukemia cell lines further suggest that ADI is a potential anti-angiogenic agent and is effective in the treatment of leukemia. For instance ADI-PEG-20, patented by Pheonix Pharmacologic Inc., is currently in clinical trials for the treatment of HCC (Phase II/III) and melanoma (Phase I/II). This review summarizes results on recombinant expression, structural analysis, PEG (polyethylene glycerol) modification, in vivo anti-cancer activities, and clinical studies of ADI. Discussions on heterogeneous expression of ADI, directed evolution for improving enzymatic properties, and HSA-fusion for increased in vivo activity conclude this review.","['Ni, Ye', 'Schwaneberg, Ulrich', 'Sun, Zhi-Hao']","['Ni Y', 'Schwaneberg U', 'Sun ZH']","['Laboratory of Biocatalysis, School of Biotechnology, Jiangnan University, The Key Laboratory of Industrial Biotechnology, Ministry of Education, 1800 Lihu Road, Wuxi 214122, PR China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20080107,Ireland,Cancer Lett,Cancer letters,7600053,"['0 (Antineoplastic Agents)', 'EC 3.- (Hydrolases)', 'EC 3.5.3.6 (arginine deiminase)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Carcinoma, Hepatocellular/*drug therapy', 'Clinical Trials as Topic', 'Cloning, Molecular', 'Humans', 'Hydrolases/chemistry/genetics/*therapeutic use', 'Liver Neoplasms/drug therapy', 'Melanoma/*drug therapy', 'Models, Molecular', 'Skin Neoplasms/drug therapy']",2008/01/09 09:00,2008/04/15 09:00,['2008/01/09 09:00'],"['2007/07/31 00:00 [received]', '2007/11/21 00:00 [revised]', '2007/11/23 00:00 [accepted]', '2008/01/09 09:00 [pubmed]', '2008/04/15 09:00 [medline]', '2008/01/09 09:00 [entrez]']","['S0304-3835(07)00578-2 [pii]', '10.1016/j.canlet.2007.11.038 [doi]']",ppublish,Cancer Lett. 2008 Mar 8;261(1):1-11. doi: 10.1016/j.canlet.2007.11.038. Epub 2008 Jan 7.,56,,,,,,,,,,,,,,,,,,,,
18179858,NLM,MEDLINE,20080905,20161019,0301-472X (Print) 0301-472X (Linking),36,3,2008 Mar,Requirement for p85alpha regulatory subunit of class IA PI3K in myeloproliferative disease driven by an activation loop mutant of KIT.,301-8,10.1016/j.exphem.2007.11.008 [doi],"OBJECTIVE: Oncogenic activation loop mutations of KIT are observed in acute myeloid leukemia (AML) and in myeloproliferative disorders (MPD); however, the signaling pathways that contribute to transformation via these mutations in vivo are not known. Previous studies have demonstrated hyperactivation of p85alpha regulatory subunit of class IA phosphatidylinositol-3-kinase (PI3K) in cell lines expressing the activation loop mutant of KIT (KITD816V [human] and KITD814V [murine]). Although p85alpha is hyperphosphorylated and constitutively bound to KITD814V in cell-line models; the physiologic significance of this biochemical phenomenon in KITD814V-induced transformation is not known. MATERIALS AND METHODS: Here, we describe the generation of a new mouse model to study KITD814V-induced transformation in myeloid cells as opposed to previously described models that primarily result in the generation of disease resembling acute lymphocytic leukemia. RESULTS: Our results show that transplantation of KITD814V expressing bone marrow cells from C57/BL6 strain of mice into syngeneic recipients results in a fatal MPD. Importantly, in this model, transplantation of KITD814V expressing p85alpha-deficient bone marrow cells rescues the MPD phenotype. CONCLUSIONS: Our results describe the generation of a new murine transplant model to study KITD814V-induced transformation and identify p85alpha as potential therapeutic target for the treatment of KITD814V-bearing diseases.","['Munugalavadla, Veerendra', 'Sims, Emily C', 'Chan, Rebecca J', 'Lenz, Stephen D', 'Kapur, Reuben']","['Munugalavadla V', 'Sims EC', 'Chan RJ', 'Lenz SD', 'Kapur R']","['Department of Pediatrics, Herman B Wells Center for Pediatric Research, Indiana University School of Medicine, Indianapolis, IN 46202, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",20080107,Netherlands,Exp Hematol,Experimental hematology,0402313,"['EC 2.7.1.- (Phosphatidylinositol 3-Kinases)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)']",IM,"['Animals', 'Bone Marrow Cells/pathology', 'Bone Marrow Transplantation', 'Cell Transformation, Neoplastic/genetics/metabolism', '*Disease Models, Animal', 'Flow Cytometry', 'Leukemia, Myeloid, Acute/genetics', 'Liver/pathology', 'Lung/pathology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Mutation', 'Myeloproliferative Disorders/*enzymology', 'Phosphatidylinositol 3-Kinases/deficiency/*genetics', 'Proto-Oncogene Proteins c-kit/*genetics/metabolism', 'Spleen/pathology']",2008/01/09 09:00,2008/09/06 09:00,['2008/01/09 09:00'],"['2007/11/07 00:00 [received]', '2007/11/07 00:00 [revised]', '2007/11/19 00:00 [accepted]', '2008/01/09 09:00 [pubmed]', '2008/09/06 09:00 [medline]', '2008/01/09 09:00 [entrez]']","['S0301-472X(07)00664-9 [pii]', '10.1016/j.exphem.2007.11.008 [doi]']",ppublish,Exp Hematol. 2008 Mar;36(3):301-8. doi: 10.1016/j.exphem.2007.11.008. Epub 2008 Jan 7.,,,"['R01 HL077177/HL/NHLBI NIH HHS/United States', 'R01 HL 075816/HL/NHLBI NIH HHS/United States', 'R01 HL 077177/HL/NHLBI NIH HHS/United States', 'R01 HL 082981/HL/NHLBI NIH HHS/United States']",,,,,,,,,,,,,,,,,,
18179821,NLM,MEDLINE,20080724,20181113,0145-2126 (Print) 0145-2126 (Linking),32,9,2008 Sep,MBL or CLL: which classification best categorizes the clinical course of patients with an absolute lymphocyte count >or= 5 x 10(9) L(-1) but a B-cell lymphocyte count <5 x 10(9) L(-1)?,1458-61,10.1016/j.leukres.2007.11.030 [doi],"To eliminate overlap with monoclonal B-cell lymphocytosis (MBL), some have proposed basing the diagnosis of chronic lymphocytic leukemia (CLL) on B lymphocyte count rather than absolute lymphocyte count (ALC). Such criteria should be based, in part, on patient outcomes. We evaluated the clinical implications of the proposed re-classification in 112 consecutive, newly diagnosed, Rai stage 0 patients. The new criteria would have changed the diagnosis from CLL to MBL in 47/112 (42%) patients. There was no difference in time to treatment (TTT) between those classified as MBL and CLL under the new criteria. In contrast, CD38 predicted TTT (p=0.02) regardless of the proposed new classification. Molecular characteristics of the leukemic clone are a better predictor of progression than an arbitrary ALC or B lymphocyte count threshold.","['Shanafelt, Tait D', 'Kay, Neil E', 'Call, Tim G', 'Zent, Clive S', 'Jelinek, Diane F', 'LaPlant, Betsy', 'Morice, William G', 'Hanson, Curtis A']","['Shanafelt TD', 'Kay NE', 'Call TG', 'Zent CS', 'Jelinek DF', 'LaPlant B', 'Morice WG', 'Hanson CA']","['Mayo Clinic College of Medicine, 200 First Street SW, Rochester, MN 55905, United States.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",20080107,England,Leuk Res,Leukemia research,7706787,,IM,"['Aged', 'B-Lymphocytes/*pathology', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*classification/pathology/therapy', '*Lymphocyte Count', 'Lymphocytosis/*classification/pathology/therapy', 'Male', 'Middle Aged', 'Prognosis', 'Survival Rate', 'Time Factors']",2008/01/09 09:00,2008/07/25 09:00,['2008/01/09 09:00'],"['2007/10/31 00:00 [received]', '2007/10/31 00:00 [revised]', '2007/11/24 00:00 [accepted]', '2008/01/09 09:00 [pubmed]', '2008/07/25 09:00 [medline]', '2008/01/09 09:00 [entrez]']","['S0145-2126(07)00472-9 [pii]', '10.1016/j.leukres.2007.11.030 [doi]']",ppublish,Leuk Res. 2008 Sep;32(9):1458-61. doi: 10.1016/j.leukres.2007.11.030. Epub 2008 Jan 7.,,PMC2587320,"['K23 CA113408/CA/NCI NIH HHS/United States', 'K23 CA113408-01A1/CA/NCI NIH HHS/United States', 'CA 113408/CA/NCI NIH HHS/United States']",['NIHMS53012'],,,,,,,,,,,,,,,,,
18179820,NLM,MEDLINE,20080522,20131121,0145-2126 (Print) 0145-2126 (Linking),32,6,2008 Jun,Src family kinases promote AML cell survival through activation of signal transducers and activators of transcription (STAT).,893-903,10.1016/j.leukres.2007.11.032 [doi],"We investigated the role of Src family kinases (SFKs) in the regulation of STAT activation in myeloid leukemia cells. Two of 6 AML cell lines displayed constitutive STAT5 activation, whereas four cell lines had constitutive SFK activity. Treatment with the SFK inhibitors suppressed STAT5 activation and decreased viability. Akt phosphorylation and Mcl-1 expression decreased after SFK inhibition accompanied by apoptosis induction. In primary AML specimens, SFK inhibitors suppressed proliferation in 5 of 14 specimens. These data indicate that Src-STAT5 and Src-Akt pathways are integral survival signal pathways in AML cells. Src inhibition may represent a novel treatment strategy for investigation in AML.","['Ozawa, Yukiyasu', 'Williams, Ann H', 'Estes, Myka L', 'Matsushita, Norimasa', 'Boschelli, Frank', 'Jove, Richard', 'List, Alan F']","['Ozawa Y', 'Williams AH', 'Estes ML', 'Matsushita N', 'Boschelli F', 'Jove R', 'List AF']","['Experimental Therapeutics, H. Lee Moffitt Cancer & Research Institute, Tampa, FL 33612, United States. ozaway@med.nagoya-u.ac.jp']",['eng'],['Journal Article'],20080107,England,Leuk Res,Leukemia research,7706787,"['0 (Enzyme Inhibitors)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (STAT Transcription Factors)', 'EC 2.7.10.2 (src-Family Kinases)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-akt)']",IM,"['Blotting, Western', 'Cell Proliferation/drug effects', 'Cell Survival/physiology', 'Electrophoretic Mobility Shift Assay', 'Enzyme Inhibitors/pharmacology', 'Flow Cytometry', 'Humans', 'Immunoprecipitation', 'Leukemia, Myeloid, Acute/*metabolism/*pathology', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Neoplasm Proteins/genetics/metabolism', 'Phosphorylation', 'Proto-Oncogene Proteins c-akt/metabolism', 'Proto-Oncogene Proteins c-bcl-2/genetics/metabolism', 'STAT Transcription Factors/genetics/*metabolism', '*Signal Transduction', 'Transcription, Genetic', 'Tumor Cells, Cultured', 'src-Family Kinases/antagonists & inhibitors/*physiology']",2008/01/09 09:00,2008/05/23 09:00,['2008/01/09 09:00'],"['2007/07/30 00:00 [received]', '2007/11/21 00:00 [revised]', '2007/11/21 00:00 [accepted]', '2008/01/09 09:00 [pubmed]', '2008/05/23 09:00 [medline]', '2008/01/09 09:00 [entrez]']","['S0145-2126(07)00467-5 [pii]', '10.1016/j.leukres.2007.11.032 [doi]']",ppublish,Leuk Res. 2008 Jun;32(6):893-903. doi: 10.1016/j.leukres.2007.11.032. Epub 2008 Jan 7.,,,,,,,,,,,,,,,,,,,,,
18179619,NLM,MEDLINE,20080911,20181113,0031-8655 (Print) 0031-8655 (Linking),84,3,2008 May-Jun,Promotion of PDT efficacy by a Bcl-2 antagonist.,809-14,10.1111/j.1751-1097.2007.00267.x [doi],"Photodynamic therapy (PDT) directed against the endoplasmic reticulum (ER) is also known to target antiapoptotic Bcl-2 family proteins. This effect is associated with the initiation of both apoptosis, a cell death pathway, and autophagy, an organelle recycling system that can lead to survival or cell death. In this study, we examined the ability of the Bcl-2 antagonist HA14-1 to promote the photodynamic efficacy of PDT directed at the ER. At concentrations that independently caused only a small loss of viability, HA14-1 markedly enhanced the proapoptotic and phototoxic effects of ER photodamage. These results provide additional evidence that the antiapoptotic properties of Bcl-2 constitute an important determinant of photokilling, and demonstrate that synergistic effects can result when PDT is coupled with pharmacologic suppression of Bcl-2 function.","['Kessel, David']",['Kessel D'],"['Department of Pharmacology, Wayne State University School of Medicine, Detroit, MI, USA. dhkessel@med.wayne.edu']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",20071220,United States,Photochem Photobiol,Photochemistry and photobiology,0376425,"['0 (Benzopyrans)', '0 (Nitriles)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (ethyl', '2-amino-6-bromo-4-(1-cyano-2-ethoxy-2-oxoethyl)-4H-chromene-3-carboxylate)']",IM,"['Animals', 'Apoptosis', 'Benzopyrans/*pharmacology', 'Cell Line, Tumor', 'Cell Survival/drug effects', 'Dose-Response Relationship, Drug', 'Dose-Response Relationship, Radiation', 'Drug Synergism', 'Endoplasmic Reticulum/*drug effects', 'Leukemia L1210/*drug therapy', 'Nitriles/*pharmacology', 'Photochemotherapy/*methods', 'Proto-Oncogene Proteins c-bcl-2/*drug effects/*radiation effects', 'Treatment Outcome']",2008/01/09 09:00,2008/09/13 09:00,['2008/01/09 09:00'],"['2008/01/09 09:00 [pubmed]', '2008/09/13 09:00 [medline]', '2008/01/09 09:00 [entrez]']","['PHP267 [pii]', '10.1111/j.1751-1097.2007.00267.x [doi]']",ppublish,Photochem Photobiol. 2008 May-Jun;84(3):809-14. doi: 10.1111/j.1751-1097.2007.00267.x. Epub 2007 Dec 20.,,PMC2394187,"['R01 CA023378-26/CA/NCI NIH HHS/United States', 'R01 CA023378-29/CA/NCI NIH HHS/United States', 'R01CA023378/CA/NCI NIH HHS/United States', 'R01 CA023378/CA/NCI NIH HHS/United States', 'R01 CA023378-27/CA/NCI NIH HHS/United States']",['NIHMS48467'],,,,,,,,,,,,,,,,,
18179285,NLM,MEDLINE,20090107,20081113,1093-5266 (Print) 1093-5266 (Linking),11,5,2008 Sep-Oct,Leukemia presenting as solid tumors: report of four pediatric cases and review of the literature.,370-6,10.2350/07-08-0326.1 [doi],"Leukemias are neoplasms that arise from the hematopoetic cells of bone marrow and usually spread first to peripheral blood. Involvement of extramedullary tissue during the course of a leukemia is common and usually does not represent a major diagnostic challenge when the history is available and specimen triage is optimal. In the context of a myeloid origin, extramedullary leukemias are referred to as granulocytic sarcomas, extramedullary myeloid tumors, extramedullary leukemias, or myeloid sarcomas. In the lymphoid category, leukemia involvement of tissue is conventionally distinguished from lymphoma by establishing the presence of 20% or more blasts in the bone marrow. A leukemia with an initial presentation outside the bone marrow mimicking a solid tumor is a rare but well-documented clinical encounter. Diagnostic difficulties may arise, especially when a specimen is not triaged properly due to the clinical presumption of a nonhematopoietic tumor. Systematic handling and proper triaging of biopsies are the keys to reducing diagnostic error and facilitating a timely diagnosis in this category. We report 4 case examples in the pediatric population, presenting in different anatomic sites. The value of fresh specimens and performing touch imprints is discussed and emphasized.","['Urs, Latha', 'Stevens, Lisa', 'Kahwash, Samir B']","['Urs L', 'Stevens L', 'Kahwash SB']","[""Department of Laboratory Medicine, Nationwide Children's Hospital, OH 43205, USA.""]",['eng'],"['Case Reports', 'Journal Article', 'Review']",20080107,United States,Pediatr Dev Pathol,Pediatric and developmental pathology : the official journal of the Society for Pediatric Pathology and the Paediatric Pathology Society,9809673,,IM,"['Child', 'Child, Preschool', 'Fatal Outcome', 'Female', 'Follow-Up Studies', 'Humans', 'Immunophenotyping', 'Infant', 'Leukemia, Myeloid, Acute/drug therapy/*pathology', 'Leukemia, Myelomonocytic, Juvenile/*pathology', 'Male', 'Neoplasms/drug therapy/*pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*pathology', 'Pregnancy', 'Pregnancy Trimester, First', 'Time Factors', 'Treatment Outcome']",2008/01/09 09:00,2009/01/08 09:00,['2008/01/09 09:00'],"['2007/08/27 00:00 [received]', '2007/12/20 00:00 [accepted]', '2008/01/09 09:00 [pubmed]', '2009/01/08 09:00 [medline]', '2008/01/09 09:00 [entrez]']","['07-08-0326 [pii]', '10.2350/07-08-0326.1 [doi]']",ppublish,Pediatr Dev Pathol. 2008 Sep-Oct;11(5):370-6. doi: 10.2350/07-08-0326.1. Epub 2008 Jan 7.,19,,,,,,,,,,,,,,,,,,,,
