PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,PMC,GR,SI,OID,OTO,OT,GN
6949877,NLM,MEDLINE,19820512,20190708,0020-7136 (Print) 0020-7136 (Linking),29,2,1982 Feb 15,Clinical evaluation of NCA in patients with chronic myelocytic leukemia.,133-7,"NCA, a normal colon and granulocyte antigen, which has been found in large amounts in myelocytes and metamyelocytes and in smaller amounts in neutrophil granulocytes, was studied in 50 CML patients in various stages of the disease. Radioimmunoassay was used to demonstrate NCA in serum. Untreated CML patients had a mean level of 732 micrograms NCA/l, poorly controlled patients 421 micrograms/l and well-controlled patients 160 mu/l. These values differ significantly from the mean of healthy persons, which was 71 micrograms NCA/l. The serum NCA levels were related to the number of maturing myeloid cells in blood, and to the clinical course in the chronic phase of CML. In blast crisis low values with a mean of 109 micrograms NCA/l was found. Patients with ANLL had a low mean level, 50 micrograms/l. Low levels of NCA could not be attributed to antibodies to NCA. NCA is a normal myeloid differentiation antigen. Despite this, its occurrence in serum in leukemic patients differs from normal. This probably has to do with the abnormal amount as well as the release of NCA by leukemic maturing myeloid cells.","['Wahren, B', 'Gahrton, G', 'Ruden, U', 'Hammarstrom, S']","['Wahren B', 'Gahrton G', 'Ruden U', 'Hammarstrom S']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,"['0 (Antibodies)', '0 (Antigens)']",IM,"['Antibodies/analysis', 'Antigens/*analysis', 'Bone Marrow/immunology', 'Chronic Disease', 'Colon/immunology', 'Granulocytes/immunology', 'Humans', 'Leukemia, Myeloid/diagnosis/*immunology/pathology', 'Leukocyte Count', 'Radioimmunoassay']",1982/02/15 00:00,1982/02/15 00:01,['1982/02/15 00:00'],"['1982/02/15 00:00 [pubmed]', '1982/02/15 00:01 [medline]', '1982/02/15 00:00 [entrez]']",['10.1002/ijc.2910290203 [doi]'],ppublish,Int J Cancer. 1982 Feb 15;29(2):133-7. doi: 10.1002/ijc.2910290203.,,,,,,,,
6949850,NLM,MEDLINE,19820521,20131121,0016-5751 (Print) 0016-5751 (Linking),42,1,1982 Jan,[Dysplastic changes of the cervical epithelium caused by busulfan (myleran) (author's transl)].,43-4,,"['Juch, E', 'Lauterbach, A']","['Juch E', 'Lauterbach A']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Geburtshilfe Frauenheilkd,Geburtshilfe und Frauenheilkunde,0370732,['G1LN9045DK (Busulfan)'],IM,"['Busulfan/*adverse effects/therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid/drug therapy', 'Middle Aged', 'Uterine Cervical Dysplasia/*chemically induced', 'Uterine Cervical Neoplasms/*chemically induced']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1055/s-2008-1036619 [doi]'],ppublish,Geburtshilfe Frauenheilkd. 1982 Jan;42(1):43-4. doi: 10.1055/s-2008-1036619.,Dysplastische Veranderungen am Epithel der Cervix uteri durch Busulfan (Myleran).,,,,,,,
6949766,NLM,MEDLINE,19820521,20071115,0301-472X (Print) 0301-472X (Linking),10,2,1982 Feb,A new method for permanent preparations of hemopoietic cells cultured in methylcellulose medium.,145-50,"To obtain permanent preparations for morphologic examination of hemopoietic cells cultured in methylcellulose medium, a new method designated as ""the membrane filtration technique"" has been devised. Permanent preparations of erythroid colonies, bursts and leukemic colonies, which have been grown mainly in methylcellulose medium, are illustrated in this paper. The stages of differentiation of cells within these colonies can be easily recognized by means of Wright-Giemsa staining.","['Ozawa, K', 'Hashimoto, Y', 'Urabe, A', 'Suda, T', 'Motoyoshi, K', 'Takaku, F', 'Miura, Y']","['Ozawa K', 'Hashimoto Y', 'Urabe A', 'Suda T', 'Motoyoshi K', 'Takaku F', 'Miura Y']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Culture Media)', '0 (Plastics)', '0 (Polymers)', '24936-68-3 (lexan)', '9004-67-5 (Methylcellulose)']",IM,"['Bone Marrow Cells', 'Cell Differentiation', 'Cells, Cultured', 'Culture Media', 'Erythropoiesis', 'Filtration/instrumentation', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Leukemia, Myeloid, Acute/pathology', 'Methylcellulose/*pharmacology', 'Plastics', '*Polymers']",1982/02/01 00:00,1982/02/01 00:01,['1982/02/01 00:00'],"['1982/02/01 00:00 [pubmed]', '1982/02/01 00:01 [medline]', '1982/02/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1982 Feb;10(2):145-50.,,,,,,,,
6949765,NLM,MEDLINE,19820512,20190909,0277-5379 (Print) 0277-5379 (Linking),17,7,1981 Jul,5-Fluorouracil and methotrexate combination chemotherapy: the effect of drug scheduling.,831-7,,"['Mulder, J H', 'Smink, T', 'van Putten, L M']","['Mulder JH', 'Smink T', 'van Putten LM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Cancer Clin Oncol,European journal of cancer & clinical oncology,8112045,"['U3P01618RT (Fluorouracil)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Body Weight/drug effects', 'Drug Administration Schedule', 'Drug Therapy, Combination', 'Fluorouracil/*administration & dosage', 'Leukemia L1210/drug therapy', 'Lung Neoplasms/drug therapy', 'Methotrexate/*administration & dosage', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Osteosarcoma/drug therapy', 'Sarcoma, Experimental/drug therapy']",1981/07/01 00:00,1981/07/01 00:01,['1981/07/01 00:00'],"['1981/07/01 00:00 [pubmed]', '1981/07/01 00:01 [medline]', '1981/07/01 00:00 [entrez]']",['10.1016/0014-2964(81)90240-1 [doi]'],ppublish,Eur J Cancer Clin Oncol. 1981 Jul;17(7):831-7. doi: 10.1016/0014-2964(81)90240-1.,,,,,,,,
6949762,NLM,MEDLINE,19820521,20190620,0014-2956 (Print) 0014-2956 (Linking),121,2,1982 Jan,The growth inhibition in Friend erythroleukemia cells induces cycling of preexisting nonhistone proteins.,309-16,"The present investigation performed on Friend erythroleukemia cells provides evidence that the cellular reprogramming associated with transition of the cells from the growing to the resting state is accompanied by an intranuclear cycling of preexisting proteins migrating from the cytoplasm. The model system developed for this study affords an opportunity to follow these events in a conveniently short period. The flow microfluorometric analysis revealed that, with respect to DNA content, the quiescent nuclei exhibit distribution in G1, S and G2 phases, as do the nuclei of the control, exponentially growing cells. It was found further that the induction of quiescence arouses two waves of migration of preexisting cytoplasmic proteins toward the nucleus: an early one, during the transition to quiescence clearly showing density dependence, and a late one, in the established resting state. While the early-cycled proteins are undetectable in mass and once they have reached the nucleus have a short life time and, thus, could be considered as regulatory molecules, the late-cycled proteins accumulate within the nucleus and are associated most probably with structural reorganization of the resting nuclei; moreover, the late-cycled nonhistone proteins were found localized, at least partly, in the nuclear protein matrix structure. Control experiments confirmed that the early and late-cycled proteins have been synthesized in the cytoplasm in the proliferative state but are cycled intranuclearly only if the resting state has been induced. When finally the resting cells were stimulated to proliferate, the accumulated presynthesized and newly synthesized nonhistone proteins undergo a rapid degradation which suggests that the new cellular programme may require a complete elimination of the 'resting' nonhistone proteins.","['Yancheva, N', 'Djondjurov, L']","['Yancheva N', 'Djondjurov L']",['eng'],['Journal Article'],England,Eur J Biochem,European journal of biochemistry,0107600,"['0 (Chromosomal Proteins, Non-Histone)', '0 (Neoplasm Proteins)']",IM,"['Animals', 'Cell Division', 'Cell Nucleus/*metabolism', 'Cells, Cultured', 'Chromosomal Proteins, Non-Histone/*metabolism', 'Cytoplasm/metabolism', 'Electrophoresis, Polyacrylamide Gel/methods', 'Flow Cytometry', 'Leukemia, Erythroblastic, Acute/*metabolism/pathology', 'Leukemia, Experimental/*metabolism/pathology', 'Mice', 'Neoplasm Proteins/*metabolism']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1111/j.1432-1033.1982.tb05787.x [doi]'],ppublish,Eur J Biochem. 1982 Jan;121(2):309-16. doi: 10.1111/j.1432-1033.1982.tb05787.x.,,,,,,,,
6949659,NLM,MEDLINE,19820512,20071115,0141-9854 (Print) 0141-9854 (Linking),3,4,1981,Is intestinal lymphangiectasia a pre-leukaemic condition?,365-7,,"['Kay, A J', 'Lilleyman, J S']","['Kay AJ', 'Lilleyman JS']",['eng'],"['Case Reports', 'Journal Article']",England,Clin Lab Haematol,Clinical and laboratory haematology,7907061,,IM,"['Child', 'Humans', 'Leukemia, Lymphoid/*etiology', 'Lymphangiectasis, Intestinal/classification/*complications', 'Male', 'Precancerous Conditions/classification', 'Protein-Losing Enteropathies/*complications']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Clin Lab Haematol. 1981;3(4):365-7.,,,,,,,,
6949658,NLM,MEDLINE,19820512,20161123,0141-9854 (Print) 0141-9854 (Linking),3,4,1981,Sciatica in CGL: a sign of transformation.,317-21,Six patients are presented with chronic granulocytic leukaemia in whom sciatica and back pain developed. Within a few months of the onset of the symptoms other manifestations of acceleration of the disease became manifest and all patients subsequently died. Radiological evidence of bony infiltration was noted in two patients and post-mortem evidence of infiltration in a further two patients and it is suggested that the development of sciatica may herald the terminal stage of the disease.,"['Holdstock, G E', 'Chisholm, M']","['Holdstock GE', 'Chisholm M']",['eng'],['Journal Article'],England,Clin Lab Haematol,Clinical and laboratory haematology,7907061,['EC 3.1.3.1 (Alkaline Phosphatase)'],IM,"['Adult', 'Alkaline Phosphatase/blood', 'Female', 'Humans', 'Leukemia, Myeloid/*complications/diagnostic imaging', 'Male', 'Middle Aged', 'Radiography', 'Sciatica/*complications/diagnosis/diagnostic imaging', 'Spinal Neoplasms/diagnosis/diagnostic imaging/*secondary', 'Spine/diagnostic imaging']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Clin Lab Haematol. 1981;3(4):317-21.,,,,,,,,
6949644,NLM,MEDLINE,19820512,20151119,0361-5960 (Print) 0361-5960 (Linking),66,3,1982 Mar,AMSA therapy for children with lymphoblastic malignancy.,593-4,,"['Hutter, J J Jr', 'Meyskens, F L']","['Hutter JJ Jr', 'Meyskens FL']",['eng'],['Journal Article'],United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['0 (Aminoacridines)', '0 (Antineoplastic Agents)', '00DPD30SOY (Amsacrine)']",IM,"['Adolescent', 'Aminoacridines/*therapeutic use/toxicity', 'Amsacrine', 'Antineoplastic Agents/*therapeutic use/toxicity', 'Child', 'Child, Preschool', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Lymphoma, Non-Hodgkin/*drug therapy', 'Male']",1982/03/01 00:00,2001/03/28 10:01,['1982/03/01 00:00'],"['1982/03/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1982/03/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1982 Mar;66(3):593-4.,,,,,,,,
6949642,NLM,MEDLINE,19820527,20131121,0008-5472 (Print) 0008-5472 (Linking),42,4,1982 Apr,A pilot study of high-dose 1-beta-D-arabinofuranosylcytosine for acute leukemia and refractory lymphoma: clinical response and pharmacology.,1587-94,"1-beta-D-Arabinofuranosylcytosine (ara-C), 2 or 3 g/sq m, was administered as a 1-hr i.v. infusion every 12 hr for 10 or 12 doses to patients with acute leukemia and refractory lymphoma. Four of seven patients with relapsed or refractory acute myelocytic leukemia and two of four patients with previously untreated acute myelocytic leukemia achieved complete remission. Of five treatment failures, two patients had leukemia which was clearly resistant to high-dose ara-C, and three patients died of infections or hemorrhagic complications during periods of pancytopenia. Three patients with acute myelocytic leukemia in remission received high-dose ara-C as consolidation therapy following previous courses of intensive, multiagent consolidation chemotherapy. Two of these three patients had prolonged thrombocytopenia following high-dose ara-C. Five patients with refractory acute lymphocytic leukemia were treated. Three patients achieved partial remission, and two patients had drug-resistant disease. Complete or partial disappearance of measurable disease parameters was seen in three of three patients with refractory lymphoma. Response was seen in five of five patients with meningeal leukemia, including complete response in one patient with extensive meningeal infiltration. Toxicity of this regimen was generally moderate and limited to pancytopenia and mild nausea. Patients who had received prior multiagent consolidation chemotherapy appeared to be at greater risk for hematopoietic toxicity. Patients who had received prior cranial irradiation or intrathecal chemotherapy appeared to be at greater risk for neurological toxicity. Plasma levels of ara-C immediately after completion of the infusion were 17.96 +/- 8.02 (S.D.) and 35.0 +/- 2.8 micrograms/ml for doses of 2 and 3 g/sq m, respectively. From 160 to 720 min following completion of the infusion, the plasma levels of drug were comparable to steady-state levels achieved with a continuous infusion of ara-C at 100 mg/sq m over 24 hr. A high degree of penetration into the central nervous system was demonstrated. High-dose ara-C has substantial activity against leukemic and lymphomatous cell populations, including cell populations resistant to conventional doses of the drug, and is an effective treatment modality for patients with these diseases. The high degree of penetration into the central nervous system suggests that this drug regimen may be useful as consolidation therapy for patients at high risk for central nervous system disease.","['Early, A P', 'Preisler, H D', 'Slocum, H', 'Rustum, Y M']","['Early AP', 'Preisler HD', 'Slocum H', 'Rustum YM']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,['04079A1RDZ (Cytarabine)'],IM,"['Adolescent', 'Adult', 'Aged', 'Blood/drug effects', 'Bone Marrow/drug effects', 'Brain/drug effects', 'Brain Neoplasms/drug therapy', 'Child', 'Cytarabine/adverse effects/metabolism/*therapeutic use', 'Drug Evaluation', 'Eye/drug effects', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Lymphoma/*drug therapy', 'Male', 'Middle Aged', 'Pilot Projects']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Apr;42(4):1587-94.,,,"['CA 21071/CA/NCI NIH HHS/United States', 'CA 5834/CA/NCI NIH HHS/United States']",,,,,
6949641,NLM,MEDLINE,19820527,20201226,0008-5472 (Print) 0008-5472 (Linking),42,4,1982 Apr,Induction of maturation in cultured human monocytic leukemia cells by a phorbol diester.,1530-6,"Suspension cultures of a human monocytic leukemia cell line, THP-1, were treated with 0.16 to 160 nM 12-O-tetradecanoylphorbol-13-acetate (TPA). In an original cell line, THP-1-O, cultured again from -80 degrees cryopreservation, more than 80% of the cells adhered to the glass substrate with marked morphological change within 3 hr of TPA treatment. Adherent cells became flat and amoeboid in shape, and many microvilli and flaps of the cell surface disappeared. Well-developed Golgi apparatus, rough endoplasmic reticula, and a large amount of free ribosomes were seen in the cytoplasm. On the other hand, in THP-1-R cells cultured continuously without cryopreservation for 26 months, approximately 80% of the cells adhered to the substrate 48 hr after TPA treatment. Round and ovoid shapes were kept in THP-1-R cells treated with TPA. Surface Fc receptors for immunoglobulin G were present on more than 90% of THP-1-O and THP-1-R cells and were little affected by treatment with TPA. Sixty to 70% of the TPA-treated THP-1-O and THP-1-R cells were able to phagocytize yeasts and immunoglobulin G-coated sheep erythrocytes. Less than 20% of the untreated THP-1 cells were able to phagocytize yeasts and immunoglobulin G-coated sheep erythrocytes. In histochemical staining, alpha-naphthyl butyrate esterase was enhanced after treatment with TPA. Lysozyme activity in culture supernatants was not affected by TPA treatment. When exposed to latex beads and TPA, increased 14CO2 production from [1-14C]glucose in THP-1-O cells was observed. These results indicate that, after treatment with TPA, human monocytic leukemia cells may be converted into mature cells with functions of macrophages.","['Tsuchiya, S', 'Kobayashi, Y', 'Goto, Y', 'Okumura, H', 'Nakae, S', 'Konno, T', 'Tada, K']","['Tsuchiya S', 'Kobayashi Y', 'Goto Y', 'Okumura H', 'Nakae S', 'Konno T', 'Tada K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Phorbols)', 'EC 3.2.1.17 (Muramidase)', 'IY9XDZ35W2 (Glucose)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Cells, Cultured', 'Glucose/metabolism', 'Humans', 'Leukemia, Myeloid/immunology/metabolism/*pathology', 'Muramidase/analysis', 'Phagocytosis', 'Phorbols/*toxicity', 'Rosette Formation', 'Tetradecanoylphorbol Acetate/*toxicity']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Apr;42(4):1530-6.,,,,,,,,
6949640,NLM,MEDLINE,19820527,20071115,0008-5472 (Print) 0008-5472 (Linking),42,4,1982 Apr,Tubulin as a major cell surface protein in human lymphoid cells of leukemic origin.,1384-9,Surface-exposed proteins of vinblastine-sensitive human lymphoid cell line of leukemic origin (CCRF-CEM) were examined by the lactoperoxidase-catalyzed iodination and two-dimensional polyacrylamide gel electrophoresis methods. Spots which comigrate with bovine brain tubulin and rabbit muscle actin were prominently labeled in the whole membrane but not in the high-speed supernatant fraction of the disrupted cells. Mild trypsinization of labeled cells removed the iodinated tubulin and actin without significantly affecting the protein staining pattern. Iodination of normal human lymphocytes resulted in no labeling of the tubulin or actin. The presence of surface-exposed tubulin in this leukemic cell line suggests a possible mechanism for their enhanced sensitivity to the cytotoxic action of vinblastine.,"['Rubin, R W', 'Quillen, M', 'Corcoran, J J', 'Ganapathi, R', 'Krishan, A']","['Rubin RW', 'Quillen M', 'Corcoran JJ', 'Ganapathi R', 'Krishan A']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Membrane Proteins)', '0 (Tubulin)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Cell Line', 'Humans', 'Leukemia, Lymphoid/*analysis', 'Membrane Proteins/*analysis', 'Trypsin/pharmacology', 'Tubulin/*analysis']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Apr;42(4):1384-9.,,,"['CA-14395/CA/NCI NIH HHS/United States', 'CA-23688/CA/NCI NIH HHS/United States']",,,,,
6949637,NLM,MEDLINE,19820527,20131121,0008-5472 (Print) 0008-5472 (Linking),42,4,1982 Apr,DNA ligase and DNase activities in mouse erythroleukemia cells during dimethyl sulfoxide-induced differentiation.,1300-6,"DNA ligase and DNase levels were measured in cell-free extracts from untreated mouse erythroleukemia (MEL) cells and from cells treated with dimethyl sulfoxide (Me2SO) to induce erythroid differentiation. The DNase activity present in the extracts was sensitive to inhibition by G-actin and was, therefore, presumed to be DNase I. When the MEL cells were induced to differentiate by culturing in the presence of 1.8% Me2SO for 3 or 4 days, the apparent activity of the DNA ligase decreased to approximately 12% of the value in untreated MEL cells. In contrast, the apparent DNase I activity of the extracts from Me2SO-treated cells increased over that in extracts from untreated cells by a factor of 2. The activity of acid phosphatase, a lysosomal enzyme, remained unchanged. When strain DR-10, a mutant of the MEL cells which does not undergo Me2SO-induced differentiation, was treated with Me2SO, the DNA ligase and DNase activities of extracts from these cells remained unchanged as compared to extracts from untreated DR-10 cells. Therefore, the marked increase in the level of DNA ligase activity appeared to be related to the process of differentiation in the Me2SO-treated MEL cells.","['Scher, B M', 'Scher, W', 'Robinson, A', 'Waxman, S']","['Scher BM', 'Scher W', 'Robinson A', 'Waxman S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['EC 3.1.- (Deoxyribonucleases)', 'EC 6.5.1.- (DNA Ligases)', 'EC 6.5.1.- (Polynucleotide Ligases)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Cell Differentiation/*drug effects', 'Cell Line', 'DNA Ligases/*analysis', 'Deoxyribonucleases/*analysis', 'Dimethyl Sulfoxide/*pharmacology', 'Leukemia, Erythroblastic, Acute/*enzymology/pathology', 'Mice', 'Polynucleotide Ligases/*analysis']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Apr;42(4):1300-6.,,,"['AM 16690-06/AM/NIADDK NIH HHS/United States', 'CA 244020-3/CA/NCI NIH HHS/United States']",,,,,
6949635,NLM,MEDLINE,19820527,20190816,0165-4608 (Print) 0165-4608 (Linking),4,4,1981 Dec,Chromosome studies in a case of monoblastic leukemia.,331-5,"Chromosome analysis of a direct bone marrow preparation from a patient with acute, undifferentiated monoblastic leukemia showed a predominant clone of 51,XX,+6,+8,+4,+19,+21,11q+, along with a chromosomally normal clone. Studies with cytofluorometry confirmed the two populations of cells with different DNA content.","['Soukup, S W', 'Neely, J E']","['Soukup SW', 'Neely JE']",['eng'],"['Case Reports', 'Historical Article', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (DNA, Neoplasm)']",IM,"['Bone Marrow/analysis', 'Bone Marrow Cells', '*Chromosome Aberrations', 'Chromosome Banding', 'DNA, Neoplasm/analysis', 'Female', 'Flow Cytometry', 'History, 15th Century', 'Humans', 'Karyotyping', 'Leukemia, Monocytic, Acute/*genetics']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']","['0165-4608(81)90030-3 [pii]', '10.1016/0165-4608(81)90030-3 [doi]']",ppublish,Cancer Genet Cytogenet. 1981 Dec;4(4):331-5. doi: 10.1016/0165-4608(81)90030-3.,,,,,,,,
6949634,NLM,MEDLINE,19820527,20190816,0165-4608 (Print) 0165-4608 (Linking),4,4,1981 Dec,Marked karyotype abnormalities in two cases of acute myelogenous leukemia.,303-9,"Two patients with acute myelogenous leukemia with severe chromosome abnormalities are described. The cytogenetic analysis shows the following karyotype: patient No. 1: 41,XY,-1,-2,-4,-5,-13,-15,-17,-18,-22,+5 markers; patient No. 2: 46,XY,-2,-5,-7,-13,+16,-21,-21,+5 markers. In each patient one set of double minute chromosomes was observed.","['Sessarego, M', 'Canepa, L', 'Grammenu, S', 'Scarra, G L', 'Ajmar, F']","['Sessarego M', 'Canepa L', 'Grammenu S', 'Scarra GL', 'Ajmar F']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Aged', 'Blood Cells/ultrastructure', 'Bone Marrow/ultrastructure', '*Chromosome Aberrations', 'Chromosome Banding', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']","['0165-4608(81)90026-1 [pii]', '10.1016/0165-4608(81)90026-1 [doi]']",ppublish,Cancer Genet Cytogenet. 1981 Dec;4(4):303-9. doi: 10.1016/0165-4608(81)90026-1.,,,,,,,,
6949633,NLM,MEDLINE,19820527,20190816,0165-4608 (Print) 0165-4608 (Linking),4,4,1981 Dec,Cytogenetic studies in adult acute leukemias.,293-302,"Thirty-six patients with acute leukemia (31 with AML, 5 with ALL) were classified by FAB criteria, and their bone marrow cells were analyzed cytogenetically with G-banding. Chromosomal abnormalities were found in 16 patients (44%). The most common abnormality was an 8;21 translocation, accounting for 19.4% of all AML patients, that was restricted to patients with M2. In 29 treated AML patients, those with an 8;21 translocation [t(8;21) patients] showed a higher complete remission rate (83%) and a longer median survival (10.7 months) than did other patients with AML; patients with only abnormal metaphases (AA patients) had the lowest complete remission rate (33%) and shortest median survival (2.7 months). There was no difference in the remission rate and survival between patients with only normal metaphases (N patients) and patients with abnormal metaphases (A patients). Three out of five patients with ALL had karyotypic abnormalities; the Philadelphia (Ph1) chromosome was found in one case.","['Takeuchi, J', 'Ohshima, T', 'Amaki, I']","['Takeuchi J', 'Ohshima T', 'Amaki I']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Acute Disease', 'Adult', 'Aged', 'Bone Marrow Cells', '*Chromosome Aberrations', 'Chromosome Banding', 'Chromosomes, Human, 21-22 and Y/ultrastructure', 'Chromosomes, Human, 6-12 and X/ultrastructure', 'Female', 'Humans', 'Japan', 'Karyotyping', 'Leukemia/*genetics', 'Leukemia, Lymphoid/genetics', 'Leukemia, Myeloid/genetics/mortality', 'Male', 'Metaphase', 'Middle Aged', 'Translocation, Genetic']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']","['0165-4608(81)90025-X [pii]', '10.1016/0165-4608(81)90025-x [doi]']",ppublish,Cancer Genet Cytogenet. 1981 Dec;4(4):293-302. doi: 10.1016/0165-4608(81)90025-x.,,,,,,,,
6949632,NLM,MEDLINE,19820527,20190816,0165-4608 (Print) 0165-4608 (Linking),4,4,1981 Dec,9;22;15 complex translocation in Ph1 chromosome positive CML revealed by Giemsa-11 procedure in apparent lymphoid cells of blastic crisis.,283-92,"A Ph1 chromosome positive chronic myeloid leukemia patient whose chronic phase lasted 7.5 years experienced a blastic transformation originating in the spleen. The spleen was infiltrated with undifferentiated blast cells that on cytogenetic analysis had a hyperdiploid karyotype and were Ph1 chromosome positive. The blast cells were negative for PAS, peroxidase. Sudan black and esterase stains. They were non-T, non-B with TdT activity. Remission was achieved in response to prednisone, vincristine, and adriamycin. Ph1 positive cells were present with cells responding to PHA stimulation throughout the course of the disease. A Giemsa-11 staining procedure male possible the ascertainment of a No. 9 translocation chromosome in blastic crisis cells that had also been present in Ph1 chromosome positive cells early in the disease. The presence of this translocation initially in myeloid cells and subsequently in apparent lymphoid cell types suggests the origin of this patient's leukemia as a pluripotential stem cell.","['Hays, T', 'Morse, H G', 'Robinson, A']","['Hays T', 'Morse HG', 'Robinson A']",['eng'],['Journal Article'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,['0 (Azure Stains)'],IM,"['Azure Stains', 'Bone Marrow Cells', 'Child', 'Chromosome Banding', 'Chromosomes, Human, 13-15/ultrastructure', 'Chromosomes, Human, 21-22 and Y/*ultrastructure', 'Chromosomes, Human, 6-12 and X/ultrastructure', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Lymphocytes/metabolism', 'Spleen/cytology', '*Translocation, Genetic']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']","['0165-4608(81)90024-8 [pii]', '10.1016/0165-4608(81)90024-8 [doi]']",ppublish,Cancer Genet Cytogenet. 1981 Dec;4(4):283-92. doi: 10.1016/0165-4608(81)90024-8.,,,,,,,,
