PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RF,AID,GR,CIN,TT,PMC,SI,CON,EIN,CN,IR,FIR,OID,OTO,OT,GN,MID
8677755,NLM,MEDLINE,19960815,20180216,0001-5792 (Print) 0001-5792 (Linking),96,1,1996,Role of bone marrow stromal cells in irradiation leukemogenesis.,1-15,"The role of bone marrow stromal cells of the hematopoietic microenvironment in ionizing-irradiation leukemogenesis is a focus of current investigation. Evidence from recent in vitro and in vivo experiments suggests that damage by slowly proliferating cells of the hematopoietic microenvironment contributes to the sustained survival of irradiation-damaged hematopoietic progenitor cells/stem cells and can contribute to the selection and proliferation of a malignant clone. The molecular mechanism of the interaction of irradiated stromal cells with attached hematopoietic cells has been difficult to evaluate. Irradiated bone marrow stromal cell line D2XRII demonstrated altered patterns of fibronectin splicing and increased expression of several transcriptional splice variants of macrophage-colony-stimulating factor. Differential display has revealed specific radiation-induced gene transcripts which persist after irradiation of stromal cells in vitro or in vivo. In recent experiments, we demonstrated that irradiation of mouse bone marrow stromal cell line D2XRII induces release of significant levels of transforming growth factor (TGF)-beta into the tissue culture medium despite the lack of a detectable increase in TGF-beta mRNA. Since TGF-beta is known to induce reactive oxygen species (ROS), we tested how a target hematopoietic cell line, responsive to ROS by up-regulation of a transgene for an antioxidant protein, responded to cocultivation with irradiated bone marrow stromal cells. Bone marrow stromal cell line GPIa/GBL, derived from long-term bone marrow culture of a C57BL/6J-GPIa mouse, was irradiated in vitro and then cocultured with the interleukin (IL)-3-dependent hematopoietic progenitor cell line 32D cl 3, or with each of several subclonal lines expressing a transgene for human manganese superoxide dismutase (MnSOD). Cobblestone island formation, as a measure of adherence and proliferation by 32D-MnSOD clones in the presence or absence of IL-3, was increased with irradiated compared to control GPIa cells. Furthermore, using a fluorescent dye which detects ROS, hematopoietic cells cocultivated with irradiated stromal cells demonstrated higher levels of intracellular ROS than cells cocultivated and forming cobblestone islands on nonirradiated stromal cells. Since ROS are known to induce mutations in hot spots in the p53 gene, it appears worthwhile to investigate a potential mechanism for irradiated stromal cell induction of hematopoietic stem cell transformation through ROS-induced mutations. The present cell culture and molecular biology techniques provide new methods to analyze the effects of irradiated stromal cells on closely attached hematopoietic stem cells during irradiation leukemogenesis.","['Greenberger, J S', 'Epperly, M W', 'Jahroudi, N', 'Pogue-Geile, K L', 'Berry, L', 'Bray, J', 'Goltry, K L']","['Greenberger JS', 'Epperly MW', 'Jahroudi N', 'Pogue-Geile KL', 'Berry L', 'Bray J', 'Goltry KL']","['Department of Radiation Oncology, University of Pittsburgh Medical Center, PA 15213, USA.']",['eng'],"['Comparative Study', 'Journal Article']",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Transforming Growth Factor beta)', '63231-63-0 (RNA)', 'EC 1.15.1.1 (Superoxide Dismutase)']",IM,"['Animals', 'Bone Marrow/*radiation effects', '*Bone Marrow Cells', 'Cell Adhesion/radiation effects', 'Coculture Techniques', 'Hematopoietic Stem Cells/cytology/radiation effects', 'Humans', 'Leukemia, Experimental/*etiology/genetics/pathology', 'Leukemia, Radiation-Induced/*etiology/genetics/pathology', 'Mice', 'Mice, Inbred CBA', 'RNA/analysis/radiation effects', 'Staining and Labeling/methods', 'Stromal Cells/cytology/radiation effects', 'Superoxide Dismutase/genetics', 'Time Factors', 'Transforming Growth Factor beta/analysis/radiation effects', 'Transgenes/genetics/radiation effects', 'Tumor Cells, Cultured']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1996;96(1):1-15. doi: 10.1159/000203708.,,['10.1159/000203708 [doi]'],,,,,,,,,,,,,,,
8677752,NLM,MEDLINE,19960814,20180216,0001-5792 (Print) 0001-5792 (Linking),95,3-4,1996,Stem cell factor as a survival and growth factor in human normal and malignant hematopoiesis.,257-62,"Stem cell factor (SCF) is an essential hematopoietic cytokine that interacts with other cytokines to preserve the viability of hematopoietic stem and progenitor cells, to influence their entry into the cell cycle and to facilitate their proliferation and differentiation. SCF on its own cannot drive noncycling hematopoietic progenitor cells into the cell cycle but does prevent their apoptotic death. SCF when combined with other cytokines increases the cloning efficacy of hematopoietic progenitor cells from all lineages. SCF also stimulates the growth of CD34+ leukemic progenitor cells from most patients with acute myeloid leukemia (AML). The mRNA expression of the SCF receptor c-kit has been shown to be significantly increased in all fresh AML blast cells compared with normal controls (healthy volunteers), in particular CD34+ cells. Two inhibitory cytokines, transforming growth factor-beta and interleukin-4, decreased c-kit expression, whereas tumor necrosis factor-alpha increased c-kit expression, but chemotherapeutic drugs showed no effect on c-kit expression, but chemotherapeutic drugs showed no effect on c-kit expression in AML cells. Apoptosis has been shown to be directly related to a high complete remission rate in AML patients following induction therapy. Since SCF has been shown to stimulate the proliferation of mainly CD34+ AML cells, we have investigated whether the poor response of patients with CD34+ myeloid leukemia cells to chemotherapy could be due to SCF-induced resistance to apoptosis. The effect of SCF on the apoptosis induced by chemotherapeutic drugs commonly used in the treatment of AML - cytarabine, daunorubicin and carboplatin - was examined in human CD34+ myeloid leukemia cells in serum-free cultures. SCF significantly reduced the induced apoptosis by more than 50% in all CD34+ human leukemia cells treated by any of the three chemotherapeutic drugs. Antibodies blocking c-kit reversed the significant inhibitory effect of SCF on chemotherapy-induced apoptosis, confirming the role of SCF in the resistance to chemotherapy-induced apoptosis in CD34+ human leukemia. These results suggest that the poor response of patients with CD34+ leukemia cells could be at least partially due to less chemotherapy-induced apoptosis resulting from protection by SCF as an adjuvant mechanism for drug resistance in myeloid leukemia. We conclude that an antisense strategy to block c-kit expression in AML blast cells may prove valuable for decreasing the chemoresistance of AML patients. The abrogation of leukemic resistance to apoptotic death through anti-SCF/c-pit expression combined with chemotherapy offers potential for designing novel therapeutic approaches for refractory AML patients.","['Hassan, H T', 'Zander, A']","['Hassan HT', 'Zander A']","['Department of Hematology and Oncology, Hamburg University Hospital Eppendorf, Germany.']",['eng'],"['Journal Article', 'Review']",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Cytokines)', '0 (Growth Substances)', '0 (Stem Cell Factor)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)']",IM,"['Acute Disease', 'Apoptosis', 'Cell Survival/drug effects', 'Cytokines/pharmacology', 'Growth Substances/pharmacology', 'Hematologic Diseases/*pathology', '*Hematopoiesis/drug effects', 'Hematopoietic Stem Cells/*cytology/drug effects', 'Humans', 'Leukemia, Myeloid/*pathology', 'Proto-Oncogene Proteins c-kit/genetics', 'Stem Cell Factor/pharmacology/*physiology']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1996;95(3-4):257-62. doi: 10.1159/000203893.,50,['10.1159/000203893 [doi]'],,,,,,,,,,,,,,,
8677749,NLM,MEDLINE,19960814,20211203,0001-5792 (Print) 0001-5792 (Linking),95,3-4,1996,Proto-oncogene products Vav and c-Cbl are involved in the signal transduction through Grb2/Ash in hematopoietic cells.,236-42,"Grb2/Ash is composed of one SH2 and two SH3 domains and functions as an adapter linking tyrosine kinase receptors and Ras in fibroblasts. We have investigated the nature of proteins interacting with Grb2/Ash in hematopoietic cells. The product of the vav proto-oncogene (Vav) is expressed exclusively in hematopoietic cells and has guanine nucleotide exchange activity. Here we report that granulocyte/macrophage-colony- stimulating factor (GM-CSF), interleukin-3, and erythropoietin (Epo) induce rapid and transient tyrosine phosphorylation of Vav and that Vav is constitutively associated with the SH3 domain of Grb2/Ash in a human leukemia cell line UT-7. These data implicate Vav in a signaling pathway leading to activation of Ras or Ras-related proteins in hematopoietic cells. Furthermore, we have shown that the proto-oncogene c-cbl product (c-Cbl) is also tyrosine-phosphorylated by stimulation with GM-CSF or Epo and is constitutively associated with the SH3 domain of Grb2/Ash in UT-7. However, we could not find the homologous regions with guanine nucleotide exchange factors or GTPase-activating proteins in the c-cbl gene. Therefore, Grb2/Ash might also transduce a signal that is different from the signal leading to the small-G protein regulation.","['Hanazono, Y', 'Odai, H', 'Sasaki, K', 'Iwamatsu, A', 'Yazaki, Y', 'Hirai, H']","['Hanazono Y', 'Odai H', 'Sasaki K', 'Iwamatsu A', 'Yazaki Y', 'Hirai H']","['Third Department of Internal Medicine, Faculty of Medicine, University of Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Adaptor Proteins, Signal Transducing)', '0 (Cell Cycle Proteins)', '0 (GRB2 Adaptor Protein)', '0 (GRB2 protein, human)', '0 (Interleukin-3)', '0 (MAS1 protein, human)', '0 (Proteins)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-vav)', '0 (Receptors, Cell Surface)', '0 (VAV1 protein, human)', '11096-26-7 (Erythropoietin)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '42HK56048U (Tyrosine)', 'EC 2.3.2.27 (Proto-Oncogene Proteins c-cbl)', 'EC 2.3.2.27 (Ubiquitin-Protein Ligases)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 3.6.5.2 (ras Proteins)', 'EC 6.3.2.- (CBL protein, human)']",IM,"['*Adaptor Proteins, Signal Transducing', 'Amino Acid Sequence', '*Cell Cycle Proteins', 'Erythropoietin/pharmacology', 'GRB2 Adaptor Protein', 'Granulocyte Colony-Stimulating Factor/pharmacology', 'Hematopoietic Stem Cells/*metabolism', 'Humans', 'Interleukin-3/pharmacology', 'Molecular Sequence Data', 'Phosphorylation', 'Protein Binding', 'Protein-Tyrosine Kinases/metabolism', 'Proteins/*metabolism', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins/*metabolism', 'Proto-Oncogene Proteins c-cbl', 'Proto-Oncogene Proteins c-vav', 'Receptors, Cell Surface/metabolism', '*Signal Transduction', 'Tumor Cells, Cultured', 'Tyrosine/metabolism', '*Ubiquitin-Protein Ligases', 'ras Proteins/metabolism', 'src Homology Domains']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1996;95(3-4):236-42. doi: 10.1159/000203884.,,['10.1159/000203884 [doi]'],,,,,,,,,,,,,,,
8677746,NLM,MEDLINE,19960814,20180216,0001-5792 (Print) 0001-5792 (Linking),95,3-4,1996,Expression and signal transduction of the FLT3 tyrosine kinase receptor.,218-23,"FLT3 is a receptor tyrosine kinase of 130-55 kDa expressed on normal bone marrow stem and early progenitor cells and on leukemic blasts from patients with acute leukemias. The FLT3 ligand, FL, is a new cytokine which acts on hematopoietic progenitors in synergy with other cytokines. FLT3 transduces FL-mediated signal through interaction with a number of cytoplasmic substrates.","['Rosnet, O', 'Buhring, H J', 'deLapeyriere, O', 'Beslu, N', 'Lavagna, C', 'Marchetto, S', 'Rappold, I', 'Drexler, H G', 'Birg, F', 'Rottapel, R', 'Hannum, C', 'Dubreuil, P', 'Birnbaum, D']","['Rosnet O', 'Buhring HJ', 'deLapeyriere O', 'Beslu N', 'Lavagna C', 'Marchetto S', 'Rappold I', 'Drexler HG', 'Birg F', 'Rottapel R', 'Hannum C', 'Dubreuil P', 'Birnbaum D']","['Laboratory of Molecular Oncology, U.119 INSERM, Marseille, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Membrane Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Receptors, Cell Surface)', '0 (flt3 ligand protein)', 'EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (Flt3 protein, mouse)', 'EC 2.7.10.1 (Receptor Protein-Tyrosine Kinases)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)']",IM,"['Acute Disease', 'Animals', 'Bone Marrow/metabolism', 'Bone Marrow Cells', 'Evolution, Molecular', 'Gene Expression', 'Hematopoietic Stem Cells/*metabolism', 'Humans', 'Leukemia/metabolism', 'Membrane Proteins/*metabolism', 'Mice', 'Phosphorylation', 'Proto-Oncogene Proteins/genetics/*metabolism', 'Receptor Protein-Tyrosine Kinases/genetics/*metabolism', 'Receptors, Cell Surface/metabolism', '*Signal Transduction', 'fms-Like Tyrosine Kinase 3']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1996;95(3-4):218-23. doi: 10.1159/000203881.,,['10.1159/000203881 [doi]'],,,,,,,,,,,,,,,
8677744,NLM,MEDLINE,19960814,20180216,0001-5792 (Print) 0001-5792 (Linking),95,3-4,1996,Suppression of hematopoietic support function is associated with overexpression of interleukin-4 and transforming growth factor-beta 1 in LP-BM5 murine-leukemia-virus-infected stromal cell lines.,204-12,"Murine acquired immunodeficiency syndrome (MAIDS) induced by defective LP-BM5 murine leukemia virus (MuLV) is a disease with many similarities to human AIDS. Our previous studies demonstrated that the depressed hematopoiesis observed in LP-BM5-infected marrow cultures could be attributed to a defective hematopoietic stroma. We report now the generation of permanent stroma cell lines from noninfected and LP-BM5-infected marrow cultures. Retrovirus infection was confirmed by the polymerase chain reaction for detecting viral genome expression of the p12 envelope glycoprotein. The ability of these cell lines to support in vitro hematopoiesis was evaluated. The results demonstrated that when cocultured with normal or infected nonadherent mononuclear cells, noninfected cell lines efficiently supported the production of hematopoietic progenitors, whereas in virus-infected progenitors was suppressed. Expression of cytokine genes in stromal cell lines was also examined. All cell lines expressed equivalent levels of transcripts for interleukin (IL)-1 beta, IL-2, IL-3, IL-6, IL-7, IL-10, interferon, tumor necrosis factor-alpha and stem cell factor. However, infection was associated with higher expression of IL-4 and transforming growth factor-beta 1. These findings demonstrate that infected stomal cell lines generate a defective hematopoietic microenvironment to produce altered cytokine expression and faulty hematopoiesis. Further characterization of these defective cell lines should assist elucidation of the mechanism(s) whereby retroviruses alter hematopoiesis ultimately leading to the generation of immunodeficiency.","['Gallicchio, V S', 'Tse, K F', 'Morrow, J', 'Hughes, N K']","['Gallicchio VS', 'Tse KF', 'Morrow J', 'Hughes NK']","['Department of Internal Medicine, Lucille P. Markey Cancer Center, Chandler Medical Center, University of Kentucky, Lexington 0536-0084 (USA).']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Cytokines)', '0 (Gene Products, gag)', '0 (RNA, Messenger)', '0 (Transforming Growth Factor beta)', '207137-56-2 (Interleukin-4)']",IM,"['Animals', 'Bone Marrow/physiology/virology', '*Bone Marrow Cells', 'Cell Line', 'Cytokines/genetics', 'Electrophoresis, Polyacrylamide Gel', 'Gene Expression Regulation', 'Gene Products, gag/genetics', '*Hematopoiesis/genetics', 'Hematopoietic Stem Cells/*cytology', 'Interleukin-4/*biosynthesis', 'Leukemia Virus, Murine/*physiology', 'Mice', 'Mice, Inbred C57BL', 'Murine Acquired Immunodeficiency Syndrome/pathology/*virology', 'Polymerase Chain Reaction', 'RNA, Messenger/analysis', 'Stromal Cells/physiology/virology', 'Transforming Growth Factor beta/*biosynthesis']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1996;95(3-4):204-12. doi: 10.1159/000203879.,,['10.1159/000203879 [doi]'],,,,,,,,,,,,,,,
8677743,NLM,MEDLINE,19960814,20180216,0001-5792 (Print) 0001-5792 (Linking),95,3-4,1996,Anti-HIV viral interference induced by retroviral vectors expressing a nonproducer HIV-1 variant.,199-203,"A Hut-78 cell clone (F12) harboring a nonproducer human immunodeficiency virus (HIV-1) variant shows complete resistance to HIV-1 or HIV-2 superinfection. The F12-HIV provirus produces an altered HIV-1 protein pattern and cannot generate even immature viral particles. We demonstrated that HeLa CD4+ cells transfected with the F12-HIV genome resist HIV superinfection through a CD4-independent mechanism. As F12-HIV appears to be a useful system to induce anti-HIV intracellular immunization, we constructed various retroviral vectors containing the F12-HIV genome, modified by elimination of the F12 3'LTR and part of its nef gene, inserted 'antisense' with respect to the Moloney murine leukemia virus 5' LTR. Here we show that recombinant retroviral particles carrying the N2/F12-HIV nef- (as) construct can stably transduce both CEMss human cells and primary human peripheral blood lymphocytes, inducing the expression of the F12-HIV genome. These results could open the way to an anti-AIDS gene therapy strategy based on F12-HIV-induced intracellular immunization.","['Federico, M', 'Bona, R', ""D'Aloja, P"", 'Baiocchi, M', 'Pugliese, K', 'Nappi, F', 'Chelucci, C', 'Mavilio, F', 'Verani, P']","['Federico M', 'Bona R', ""D'Aloja P"", 'Baiocchi M', 'Pugliese K', 'Nappi F', 'Chelucci C', 'Mavilio F', 'Verani P']","['Laboratory of Virology, Istituto Superiore di Sanita, Rome, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (DNA, Antisense)', '0 (Gene Products, gag)', '0 (Gentamicins)', 'A08F5XTI6G (antibiotic G 418)']",IM,"['Acquired Immunodeficiency Syndrome/therapy', 'Animals', 'Blotting, Southern', 'Cell Line', 'DNA, Antisense', 'Gene Expression Regulation, Viral', 'Gene Products, gag/genetics', 'Genes, nef/genetics', 'Genetic Therapy', '*Genetic Vectors', 'Gentamicins/pharmacology', 'HIV Long Terminal Repeat/genetics', 'HIV-1/genetics/*physiology', 'HeLa Cells', 'Humans', 'Lymphocytes/virology', 'Mice', 'Moloney murine leukemia virus/genetics', 'Repetitive Sequences, Nucleic Acid/genetics', 'Transfection/genetics', '*Viral Interference', 'Virus Integration']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1996;95(3-4):199-203. doi: 10.1159/000203878.,,['10.1159/000203878 [doi]'],['TGT06S01/Telethon/Italy'],,,,,,,,,,,,,,
8677741,NLM,MEDLINE,19960814,20180216,0001-5792 (Print) 0001-5792 (Linking),95,3-4,1996,Role of anthracyclines in the treatment of adult acute lymphoblastic leukemia.,188-92,"In acute myelogenous leukemia, early treatment is usually attempted with the so-called 3+7 regimen, employing daunorubicin (DNR) or idarubicin (IDR) for 3 consecutive days. In acute lymphoblastic leukemia (ALL), the role of agreement regarding ANT dosage and schedule, preferable compound, and indications for remission induction and consolidation treatment phases. Here we review the role of these drugs in adult ALL. The results indicate that ANTs may offer the best survival chance when used at full dosage during induction and early consolidation treatment. IDR may be a better choice that DNR or doxorubicin, and CD10+ t(9;22)/bcr- ALL may have an excellent prognosis following an early dose-intensive ANT consolidation program.","['Bassan, R', 'Lerede, T', 'Rambaldi, A', 'Barbui, T']","['Bassan R', 'Lerede T', 'Rambaldi A', 'Barbui T']","['Divisione di Ematologia, Ospedali Riuniti, Bergamo, Italia.']",['eng'],"['Journal Article', 'Review']",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Antibiotics, Antineoplastic)', '80168379AG (Doxorubicin)', 'ZRP63D75JW (Idarubicin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adult', 'Antibiotics, Antineoplastic/*therapeutic use', 'Clinical Trials as Topic', 'Daunorubicin/therapeutic use', 'Doxorubicin/therapeutic use', 'Humans', 'Idarubicin/therapeutic use', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/classification/*drug therapy', 'Remission Induction']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1996;95(3-4):188-92. doi: 10.1159/000203876.,22,['10.1159/000203876 [doi]'],,,,,,,,,,,,,,,
8677736,NLM,MEDLINE,19960814,20180216,0001-5792 (Print) 0001-5792 (Linking),95,3-4,1996,"T cells, graft-versus-host disease and graft-versus-leukemia: innovative approaches for blood and marrow transplantation.",157-63,"Allogeneic bone marrow transplantation is most commonly used as treatment for leukemia. Allotransplantation is associated with several interrelated immunologic processes, graft rejection, graft-versus-host disease (GvHD) and graft versus leukemia (GvL). Graft rejection can be overcome by intensive pretransplant immunosuppressive therapy. Following transplantation, immunoreconstitution must occur from donor-derived progenitors and GvHD may occur from reactivity of donor-derived immunocompetent cells against host tissues. In a related, but distinct process, donor immunocompetent cells may react against the recipient leukemia and recent data confirm that this GvL effect plays a critical role in preventing posttransplant relapse. This report summarizes present data regarding the mechanism of these processes. A major challenge is to separate the beneficial GvL effect from GvHD, the major complication of allogeneic marrow transplantation. We summarize data regarding innovative approaches to modify the composition of the transplanted marrow to optimize clinical outcome as well as use of donor lymphocyte infusions as a means to induce posttransplant GvL.","['Champlin, R', 'Giralt, S', 'Gajewski, J']","['Champlin R', 'Giralt S', 'Gajewski J']","['Department of Hematology, University of Texas M.D. Anderson Cancer Center, Houston 77030, USA.']",['eng'],"['Journal Article', 'Review']",Switzerland,Acta Haematol,Acta haematologica,0141053,,IM,"['*Bone Marrow Transplantation/adverse effects/immunology', 'Graft Rejection', 'Graft vs Host Disease/*etiology/immunology', 'Humans', 'Leukemia/immunology/*therapy', 'Lymphocyte Depletion', 'Lymphocyte Transfusion', 'Lymphocytes/immunology', 'Recurrence', 'T-Lymphocytes/*immunology', 'Transplantation, Homologous/adverse effects/immunology']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1996;95(3-4):157-63. doi: 10.1159/000203871.,67,['10.1159/000203871 [doi]'],,,,,,,,,,,,,,,
8677506,NLM,MEDLINE,19960814,20071115,0179-7158 (Print) 0179-7158 (Linking),172,6,1996 Jun,[Radiotherapy in advanced osseous destruction in chronic myeloid leukemia. A case report].,330-1,"PURPOSE: Chronic myelocytic leukemia is a disease of myeloproliferative disorder. In chronic myelocytic leukemia occasionally myelosarcomas occur as defined tumors which can cause localized symptoms. We report a case of successful palliative radiotherapy. PATIENT AND METHODS: A 44-year-old patient with total destruction of the left humerus caused by myelosarcoma of the bone in chronic myelocytic leukemia was treated with percutaneous megavoltage radiotherapy, the total applied dose was 40 Gy. After radiotherapy the patient was free of pain. The tumorous swelling of soft tissue subsided completely, there was total formation of callus in the affected humerus and the patient could be mobilized. CONCLUSIONS: This case report confirms the high effectiveness of palliative radiotherapy even in advanced cases of myelosarcomas which has been described in literature.","['Sadick, M', 'Maurer, U']","['Sadick M', 'Maurer U']","['Abteilung fur Strahlentherapie, Klinikum Mannheim, Fakultat fur Klinische Medizin, Universitat Heidelberg.']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",Germany,Strahlenther Onkol,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],8603469,,IM,"['Adult', 'Bone Neoplasms/etiology/*radiotherapy', 'Humans', '*Humerus', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications/*radiotherapy', 'Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/complications/radiotherapy', 'Male', 'Palliative Care', 'Radiotherapy Dosage', 'Radiotherapy, High-Energy', 'Remission Induction']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",ppublish,Strahlenther Onkol. 1996 Jun;172(6):330-1.,9,,,,Radiotherapie bei fortgeschrittener ossarer Destruktion bei chronischer myeloischer Leukamie. Ein Fallbericht.,,,,,,,,,,,,
8677465,NLM,MEDLINE,19960814,20061115,0038-2361 (Print) 0038-2361 (Linking),33,4,1995 Dec,A cost-to-benefit analysis of blood products used during the initiation of an orthotopic liver transplantation programme.,154-8,"Orthotopic transplantation is the treatment of choice for selected patients with end-stage post-necrotic and cholestatic liver diseases. These individuals typically have disturbed haemostasis, which reflects both impaired hepatic synthesis of clotting factors and disseminated intravascular coagulation compounded by large-volume transfusions of blood products occasionally required during surgery. The latter contribute significantly to the cost of this procedure, but may approximate the cumulative consumption of that required for the support of patients in liver failure. Perspective is provided by prospective analysis of data from the first 10 patients in the current programme. There were striking, if transient, intra-operative changes in standard laboratory parameters of coagulation and fibrinolysis; all patients were readily controlled with replacement therapy administered according to serial haemostatic measurements combined with clinical judgement. In most patients these values had stabilised within 24 hours of surgery. Those with post-necrotic liver cirrhosis had the most marked degrees of hepatic dysfunction, reflected in more profound haemostatic disturbances; these patients required the largest amounts of blood products. Inclusive median costs for the first year were estimated at R35,000 and for the first 5 years at R60,000, with 80% of the patients expected to be alive between 5 and 10 years later and enjoying an excellent quality of life. These figures contrast with those estimated for optimal medical and non-transplant surgical management following variceal bleeding as a major complication of liver disease (R30,000 for the first year and R70,000 at 3 years). In addition, the latter patients would usually be unable to work and have a poor quality of life with minimal likelihood of survival beyond this point. We conclude that with a multidisciplinary approach in an academic centre, surgical replacement of the irreversibly damaged liver in properly selected patients is no more expensive and has a better outcome than acceptable alternative approaches.","['Robson, S C', 'Kahn, D', 'Gordon, P', 'Jacobs, P']","['Robson SC', 'Kahn D', 'Gordon P', 'Jacobs P']","['University of Cape Town Leukaemia Centre, Medical Research Council, Groote Schuur Hospital.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",South Africa,S Afr J Surg,South African journal of surgery. Suid-Afrikaanse tydskrif vir chirurgie,2984854R,,IM,"['Adult', 'Blood Component Transfusion/*economics', 'Cost-Benefit Analysis', 'Female', 'Homeostasis', 'Humans', 'Intraoperative Care/methods', 'Liver Transplantation/*economics', 'Male', 'Middle Aged']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",ppublish,S Afr J Surg. 1995 Dec;33(4):154-8.,,,,,,,,,,,,,,,,,
