PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,GR,PT,DEP,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CON,MID,OTO,OT,TT,EIN,RPF,CIN,SI,CN,ROF,IR,FIR,OID,RIN
21211419,NLM,MEDLINE,20160423,20181201,0529-567X (Print) 0529-567X (Linking),45,12,2010 Dec,[Clinical analysis of eleven patients with chronic myeloproliferative disorders complicating pregnancy].,896-9,,"OBJECTIVE: To investigate the clinical characteristics, the antenatal management, the outcome and prognosis of chronic myeloproliferative disorders(CMPD) complicating pregnancy. METHODS: Retrospectively analyze the clinical data of eleven patients with CMPD complicating pregnancy hospitalized in Peking University People's Hospital from 2000 to 2009, including five patients with essential thrombocythemia, one with primary myelofibrosis and five with chronic myeloid leukemia. RESULTS: (1) Five pregnancies had periodic antenatal care and laboratory monitorings like full blood count. Reasonable anti-coagulation therapy was given to prevent the complications. One patient with PMF diagnosed before conception had her first pregnancy ended with mild pre-eclampsia and intrauterine death at the gestational age of 32 weeks. During the first trimester of her second pregnancy two years later, the test for anti-beta2 glycoprotein antibody was positive. She received low-dose aspirin and low-molecular-weight heparin as anti-coagulants. An uneventful course was obtained and she delivered a healthy term infant. (2) Five pregnancies had occasional antenatal examination, including two patients with ET and three patients with CML. One patient with ET developed severe pre-eclampsia at the gestational age of 25 weeks. Umbilical artery Doppler showed reversed end-diastolic velocity. The management with anti-convulsants, anti-hypertensives and anti-coagulants showed no effect. An emergency cesarean section had to be performed because of the aggressive hypertension and placental abruption, with still birth as a result. Two pregnancies never had an antenatal care. Both of them were admitted on labor and the diagnoses of CML were made. (3) Four pregnancies developed oligohydramnios and three developed preelampsia (two severe pre-eclampsia and one mild pre-eclampsia). There was no other hemorrhage and thrombosis event. (4) Eight pregnancies reached full-term with four cesarean sections and four vaginal births. Two preterm cesarean sections were performed because of a progressive oligohydramnios. The ten live neonates weighed 1820 - 3600 g. All were appropriate for gestational age, except one fetal growth retardation (FGR) developed in one patient with severe pre-eclampsia. (5) As for the CMPD, the eleven patients were all in stable conditions. Three patients with CML received hydroxyurea in the third trimester, four with ET and one with CML had platelet-pheresis before delivery with favorable effect. All patients were uneventful postpartum, except one with CML who died in 5 months after childbirth. CONCLUSIONS: The pregnancy outcomes for patients with CMPD are mostly good. However, antenatal care should pay more attention to the complications such as thromboembolic accidents, pre-eclampsia, still birth and fetal growth retardation. Management including reasonable anti-coagulation therapy should be considered, which may help improve the prognosis.",,"['Bai, Yue-Ting', 'Zhang, Chao', 'Wang, Jian-Liu', 'Liang, Mei-Ying', 'Zhang, Xiao-Hong']","['Bai YT', 'Zhang C', 'Wang JL', 'Liang MY', 'Zhang XH']","[""Department of Obstetrics and Gynecology, Peking University People's Hospital, Beijing 100044, China.""]",['chi'],,['Journal Article'],,China,Zhonghua Fu Chan Ke Za Zhi,Zhonghua fu chan ke za zhi,16210370R,,IM,"['Female', 'Fetal Growth Retardation', 'Gestational Age', 'Humans', '*Pre-Eclampsia', 'Pregnancy', '*Pregnancy Outcome', 'Pregnancy Trimester, Third']",,2011/01/08 06:00,2016/04/24 06:00,['2011/01/08 06:00'],"['2011/01/08 06:00 [entrez]', '2011/01/08 06:00 [pubmed]', '2016/04/24 06:00 [medline]']",,ppublish,Zhonghua Fu Chan Ke Za Zhi. 2010 Dec;45(12):896-9.,,,,,,,,,,,,,,,
21211213,NLM,MEDLINE,20111202,20140226,0578-1426 (Print) 0578-1426 (Linking),49,11,2010 Nov,[Abnormalities of CD34+ cells differentiation and bone marrow cell cycle in myelodysplastic syndrome].,963-6,,"OBJECTIVES: To detect the abnormalities of CD(34)(+) cells differentiation and bone marrow cell cycle in myelodysplastic syndrome (MDS). METHODS: Fifty newly diagnosed MDS (17 in low risk and 33 in high risk), 8 acute myeloid leukemia preceded by MDS (MDS-AML) and 25 normal controls were enrolled into this study. Their CD(34)(+)CD(38)(+), CD(34)(+)CD(38)(-) bone marrow cells and bone marrow cell cycle were measured with flow cytometry. RESULTS: The mean percentages of CD(34)(+) cells in bone marrow karyocyte of high risk [(2.29 +/- 2.17)%] and MDS-AML groups [(18.69 +/- 17.47)%] were significantly higher than that of control group [(0.36 +/- 0.49)%, P < 0.05]. The mean percentages of CD(34)(+)CD(38)(+) cells were significantly lower in low risk, high risk and MDS-AML groups [(86.09 +/- 7.79)%, (81.68 +/- 11.82)% and (82.88 +/- 2.60)%, respectively] than that in control group [(92.21 +/- 3.85)%, P < 0.05], thus the percentages of CD(34)(+)CD(38)(-) cells were significantly higher in either MDS (low risk and high risk) or MDS-AML groups [(13.91 +/- 7.79)%, (18.32 +/- 11.82)% or (17.13 +/- 2.60)%, respectively] than that in control group [(7.79 +/- 3.85)%, P < 0.05]. The percentages of CD(34)(+)CD(38)(-) cells of MDS cases correlated directly with their International Prognostic Scoring System (IPSS) (r = 0.493, P = 0.001) and WHO Adapted Prognostic Scoring System (WPSS) (r = 0.586, P = 0.000) scores. The percentages of bone marrow mononuclear cells (BMMNCs) in G(0)/G(1) phase of in low risk, high risk and MDS-AML groups [(94.52 +/- 4.32)%, (96.07 +/- 3.88)% and (94.65 +/- 4.55)%, respectively] were significantly higher than that in control group [(88.94 +/- 7.30)%, P < 0.01], thus the percentages of BMMNCs in S and G(2)/M phase were significantly lower in either MDS (low risk and high risk) or MDS-AML groups than that in control group (P < 0.05). MDS patients with low percentages of CD(34)(+)CD(38)(-) cells presented higher therapeutic efficacy than those with high percentages of CD(34)(+)CD(38)(-) cells, while without significant differences (P > 0.05). CONCLUSIONS: There are abnormalities of differentiation of CD(34)(+) bone marrow cells and high proportion of G(0)/G(1) cells which indicates a G(1) phase arrest in MDS that might be involved in the pathogenesis of MDS. So the examination of CD(34)(+) bone marrow cells and cell cycle might be helpful for MDS diagnosis and assessment of prognosis and therapeutic effects.",,"['Li, Li-juan', 'Fu, Rong', 'Shao, Zong-hong', 'Wang, Hua-quan', 'Yue, Lan-zhu', 'Ruan, Er-bao', 'Liu, Hui', 'Wang, Jun', 'Wang, Hong-lei']","['Li LJ', 'Fu R', 'Shao ZH', 'Wang HQ', 'Yue LZ', 'Ruan EB', 'Liu H', 'Wang J', 'Wang HL']","['Department of Hematology and Oncology, General Hospital, Tianjin Medical University, Tianjin 300052, China.']",['chi'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,"['0 (Antigens, CD34)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Antigens, CD34/immunology', 'Bone Marrow Cells/*cytology/immunology/pathology', 'Case-Control Studies', '*Cell Cycle', 'Cell Differentiation', 'Female', 'Flow Cytometry', 'Humans', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*diagnosis/immunology/pathology', 'Prognosis', 'Young Adult']",,2011/01/08 06:00,2011/12/13 00:00,['2011/01/08 06:00'],"['2011/01/08 06:00 [entrez]', '2011/01/08 06:00 [pubmed]', '2011/12/13 00:00 [medline]']",,ppublish,Zhonghua Nei Ke Za Zhi. 2010 Nov;49(11):963-6.,,,,,,,,,,,,,,,
21210996,NLM,PubMed-not-MEDLINE,20110429,20211020,1742-4690 (Electronic) 1742-4690 (Linking),8,,2011 Jan 6,Retraction. Inhibition of constitutively active Jak-Stat pathway suppresses cell growth of human T-cell leukemia virus type 1-infected T-cell lines and primary adult T-cell leukemia cells.,1,10.1186/1742-4690-8-1 [doi],,,"['Tomita, Mariko', 'Kawakami, Hirochika', 'Uchihara, Jun-nosuke', 'Okudaira, Taeko', 'Masuda, Masato', 'Matsuda, Takehiro', 'Tanaka, Yuetsu', 'Ohshiro, Kazuiku', 'Mori, Naoki']","['Tomita M', 'Kawakami H', 'Uchihara JN', 'Okudaira T', 'Masuda M', 'Matsuda T', 'Tanaka Y', 'Ohshiro K', 'Mori N']","['Division of Molecular Virology and Oncology, Graduate School of Medicine, University of the Ryukyus, 207 Uehara, Nishihara, Okinawa 903-0215, Japan.']",['eng'],,['Retraction of Publication'],20110106,England,Retrovirology,Retrovirology,101216893,,,,PMC3022809,2011/01/08 06:00,2011/04/30 06:00,['2011/01/08 06:00'],"['2010/12/16 00:00 [received]', '2011/01/06 00:00 [accepted]', '2011/01/08 06:00 [entrez]', '2011/01/08 06:00 [pubmed]', '2011/04/30 06:00 [medline]']","['1742-4690-8-1 [pii]', '10.1186/1742-4690-8-1 [doi]']",epublish,Retrovirology. 2011 Jan 6;8:1. doi: 10.1186/1742-4690-8-1.,,,,,,,,,,,"['Tomita M, Kawakami H, Uchihara JN, Okudaira T, Masuda M, Matsuda T, Tanaka Y,', 'Ohshiro K, Mori N. Retrovirology. 2006;3:22. PMID: 16603085']",,,,
21210928,NLM,MEDLINE,20110503,20191210,1442-2018 (Electronic) 1441-0745 (Linking),12,4,2010 Dec,Coping strategies of adults with leukemia undergoing hematopoietic stem cell transplantation in Iran: a qualitative study.,485-92,10.1111/j.1442-2018.2010.00563.x [doi],"Hematopoietic stem cell transplantation (HSCT) causes significant physical, social, psychological, and emotional stress in patients with leukemia. This qualitative study using semi-structured interviews explored the coping strategies of 10 adults with acute leukemia who were undergoing this form of treatment in transplantation units in a major hospital in Tehran, Iran, from 2009 to 2010. A content analysis identified eight themes and 13 subthemes that described the participants' coping strategies. The major themes were: attribution, denial and avoidance, connection with divine purpose, organizing treatment, seeking social support, modifying, reflection, and patience and resignation. A deeper understanding of the coping strategies that are used by patients with leukemia undergoing HSCT can help healthcare providers to encourage patients to use strategies that are likely to be more effective. Such coping strategies also can help patients to achieve a greater sense of empowerment.",['(c) 2010 Blackwell Publishing Asia Pty Ltd.'],"['Farsi, Zahra', 'Dehghan Nayeri, Nahid', 'Negarandeh, Reza']","['Farsi Z', 'Dehghan Nayeri N', 'Negarandeh R']","['Faculty of Nursing and Midwifery, Tehran University of Medical Sciences, Tehran, Iran.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20101202,Australia,Nurs Health Sci,Nursing & health sciences,100891857,,IM,"['*Adaptation, Psychological', 'Adolescent', 'Adult', '*Attitude to Health', 'Avoidance Learning', 'Denial, Psychological', 'Hematopoietic Stem Cell Transplantation/adverse effects/nursing/*psychology', 'Humans', 'Iran', 'Islam/psychology', 'Leukemia, Myeloid, Acute/*psychology/therapy', 'Middle Aged', ""Nurse's Role"", 'Nursing Methodology Research', 'Patient Education as Topic', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*psychology/therapy', 'Qualitative Research', 'Religion and Psychology', 'Social Support', 'Surveys and Questionnaires', 'Young Adult']",,2011/01/08 06:00,2011/05/04 06:00,['2011/01/08 06:00'],"['2011/01/08 06:00 [entrez]', '2011/01/08 06:00 [pubmed]', '2011/05/04 06:00 [medline]']",['10.1111/j.1442-2018.2010.00563.x [doi]'],ppublish,Nurs Health Sci. 2010 Dec;12(4):485-92. doi: 10.1111/j.1442-2018.2010.00563.x. Epub 2010 Dec 2.,,,,,,,,,,,,,,,
21210776,NLM,MEDLINE,20110331,20110126,1365-2141 (Electronic) 0007-1048 (Linking),152,4,2011 Feb,"Clinical presentation, evolution, and prognosis of precursor B-cell lymphoblastic lymphoma in trials LMT96, EORTC 58881, and EORTC 58951.",441-51,10.1111/j.1365-2141.2010.08541.x [doi],"In children, lymphoblastic lymphomas represent 30% of Non-Hodgkin lymphomas (NHL), and approximately 15% are precursor B-cell lymphomas (PBLL). Our study evaluated their main clinical characteristics, evolution, and prognosis in three trials. From 1989 to 2008, 53 children with PBLL (median age 7.75 years) were included in three protocols: Malignant Lymphoma Therapy (LMT) 96, European Organization for Research and Treatment of Cancer (EORTC) 58881, and EORTC 58951 using Berlin-Frankfurt-Munster-derived acute lymphoblastic leukaemia (ALL) therapy. There were 10 stage I disease, 9 stage II, 9 stage III and 25 stage IV. Clinical presentation was heterogeneous with a majority of bone lesions and cutaneous or subcutaneous manifestations. At diagnosis 23 patients had bone marrow involvement, and only three had central nervous system involvement. The median follow-up was 74 months. At last follow-up, 45 patients were in continuous complete remission, whereas eight had progressed or had relapsed (7 Stages IV and 1 Stage III) and died. Two patients had a secondary neoplasia, and are still alive. Disease stage was a major prognostic factor, with better overall survival (OS) and event-free survival (EFS) (P < 0.05) rates observed in patients with Stage I to III as compared to those with Stage IV. Treatment with protocols derived from ALL therapy are efficient with an 82% EFS and an 85% OS at 5 years.",['(c) 2011 Blackwell Publishing Ltd.'],"['Ducassou, Stephane', 'Ferlay, Celine', 'Bergeron, Christophe', 'Girard, Sandrine', 'Laureys, Genevieve', 'Pacquement, Helene', 'Plantaz, Dominique', 'Lutz, Patrick', 'Vannier, Jean-Pierre', 'Uyttebroeck, Anna', 'Bertrand, Yves']","['Ducassou S', 'Ferlay C', 'Bergeron C', 'Girard S', 'Laureys G', 'Pacquement H', 'Plantaz D', 'Lutz P', 'Vannier JP', 'Uyttebroeck A', 'Bertrand Y']","[""IHOP, Institut d'hematologie oncologie pediatrique, Lyon Service d'hematologie-oncologie pediatrique, CHU Hautepierre, Strasbourg Unite de biostatistique et d'evaluation des therapeutiques, Centre Leon Berard, Lyon Service d'hematologie biologie, Hopital Edouard Herriot, Lyon, France. stephane.ducassou@chru-strasbourg.fr""]",['eng'],,"['Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",20110107,England,Br J Haematol,British journal of haematology,0372544,,IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Child', 'Child, Preschool', 'Disease Progression', 'Drug Administration Schedule', 'Female', 'Follow-Up Studies', 'Humans', 'Infant', 'Male', 'Neoplasm Staging', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/*drug therapy/pathology', 'Prognosis', 'Recurrence', 'Survival Analysis', 'Treatment Outcome']",,2011/01/08 06:00,2011/04/01 06:00,['2011/01/08 06:00'],"['2011/01/08 06:00 [entrez]', '2011/01/08 06:00 [pubmed]', '2011/04/01 06:00 [medline]']",['10.1111/j.1365-2141.2010.08541.x [doi]'],ppublish,Br J Haematol. 2011 Feb;152(4):441-51. doi: 10.1111/j.1365-2141.2010.08541.x. Epub 2011 Jan 7.,,,,,,,,,,,,,,,
21210774,NLM,MEDLINE,20110331,20211020,1365-2141 (Electronic) 0007-1048 (Linking),152,4,2011 Feb,The frequency and management of asparaginase-related thrombosis in paediatric and adult patients with acute lymphoblastic leukaemia treated on Dana-Farber Cancer Institute consortium protocols.,452-9,10.1111/j.1365-2141.2010.08524.x [doi],"The optimal management of asparaginase-associated thrombotic complications is not well-defined. We report the features, management and outcome of paediatric (ages 0-18years) and adult (18-50years) patients with acute lymphoblastic leukaemia (ALL) with asparaginase-related venous thromboembolic events (VTE) treated at Dana-Farber Cancer Institute on clinical trials for newly diagnosed ALL between 1991-2008. Of 548 patients, 43 (8%) had VTE, including 27/501 (5%) paediatric and 16/47 (34%) adult patients. Sinus venous thrombosis occurred in 1.6% of patients. Age was the only significant predictor of VTE, with those aged >30years at very high risk (VTE rate 42%). 74% of patients received low molecular weight heparin after VTE. Complications of anticoagulation included epistaxis (9%), bruising (2%) and, in two adult patients, major bleeding. Thirty patients (70%) ultimately received at least 85% of the intended doses of asparaginase. 33% of patients experienced recurrent VTE (paediatric 17% vs. adults 47%, P=0.07). The 48-month event-free survival for patients with VTE was 85+/-6% compared with 88+/-2% for those without VTE (P=0.36). This study confirms that, after VTE, asparaginase can be restarted with closely monitored anticoagulation after imaging demonstrates clot stabilization or improvement. With this management strategy, a history of VTE does not appear to adversely impact prognosis.",['(c) 2011 Blackwell Publishing Ltd.'],"['Grace, Rachael F', 'Dahlberg, Suzanne E', 'Neuberg, Donna', 'Sallan, Stephen E', 'Connors, Jean M', 'Neufeld, Ellis J', 'Deangelo, Daniel J', 'Silverman, Lewis B']","['Grace RF', 'Dahlberg SE', 'Neuberg D', 'Sallan SE', 'Connors JM', 'Neufeld EJ', 'Deangelo DJ', 'Silverman LB']","[""Pediatric Hematology/Oncology, Children's Hospital Boston, Dana-Farber Cancer Institute Harvard Medical School Biostatistics, Dana-Farber Cancer Institute Medical Oncology, Dana-Farber Cancer Institute, Boston, MA 02115, USA. Rachael.Grace@childrens.harvard.edu""]",['eng'],"['K24 HL004184/HL/NHLBI NIH HHS/United States', 'P01 CA068484/CA/NCI NIH HHS/United States', 'UL1 RR025758/RR/NCRR NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't""]",20110107,England,Br J Haematol,British journal of haematology,0372544,"['0 (Anticoagulants)', '0 (Antineoplastic Agents)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Adolescent', 'Adult', 'Age Distribution', 'Age Factors', 'Anticoagulants/adverse effects/therapeutic use', 'Antineoplastic Agents/*adverse effects', 'Asparaginase/administration & dosage/*adverse effects', 'Child', 'Child, Preschool', 'Clinical Protocols', 'Drug Administration Schedule', 'Epidemiologic Methods', 'Humans', 'Infant', 'Infant, Newborn', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prognosis', 'Recurrence', 'Treatment Outcome', 'Venous Thromboembolism/*chemically induced/diagnosis/therapy', 'Young Adult']",PMC5763913,2011/01/08 06:00,2011/04/01 06:00,['2011/01/08 06:00'],"['2011/01/08 06:00 [entrez]', '2011/01/08 06:00 [pubmed]', '2011/04/01 06:00 [medline]']",['10.1111/j.1365-2141.2010.08524.x [doi]'],ppublish,Br J Haematol. 2011 Feb;152(4):452-9. doi: 10.1111/j.1365-2141.2010.08524.x. Epub 2011 Jan 7.,,['NIHMS932103'],,,,,,,,,,,,,
21210575,NLM,MEDLINE,20110301,20110119,1940-4921 (Print) 1938-2464 (Linking),4,1,2011 Jan,Fit and misfit.,27-35,10.3928/19404921-20101201-03 [doi],"This article presents an interpretive case analysis of an older adult's experience with treatment decision making for acute myeloid leukemia. Interview and observational data were compared and contrasted with key constructs in behavioral decision theory to analyze theoretical utility and fit. Decision making involved a complex interplay among the patient, treating clinicians, and family members. While some constructs of decision theory, such as trade-offs, avoidance-avoidance, and the certainty effect, showed utility for decision making in geriatric oncology, this case demonstrated that individual preferences for treatment may be expressed in quality of life preferences rather than a specific treatment decision. The Cage, a major theme in this case, represented the trap of two undesirable choices in treatment decision making, as well as the imprisoning consequence of aggressive medical treatment for advanced cancer. Further decision making research is needed to develop practice-level theory that can more effectively support and guide treatment decision making in geriatric oncology.","['Copyright 2011, SLACK Incorporated.']","['Crighton, Margaret H', 'Lingler, Jennifer H', 'Happ, Mary Beth']","['Crighton MH', 'Lingler JH', 'Happ MB']","['Department of acute and Tertiary Care, Department of Health and Community System, University of Pittsburg School of Nursing, Pittsburg, PA 15261, USA. mhapp@pitt.edu']",['eng'],,['Journal Article'],20101229,United States,Res Gerontol Nurs,Research in gerontological nursing,101392499,['0 (Antineoplastic Agents)'],IM,"['Aged', 'Antineoplastic Agents/therapeutic use', 'Bone Marrow Transplantation', 'Combined Modality Therapy', '*Decision Theory', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/surgery', 'Male', 'Middle Aged', 'Neoplasms/psychology/*therapy']",,2011/01/08 06:00,2011/03/02 06:00,['2011/01/08 06:00'],"['2010/07/21 00:00 [received]', '2010/10/27 00:00 [accepted]', '2011/01/08 06:00 [entrez]', '2011/01/08 06:00 [pubmed]', '2011/03/02 06:00 [medline]']",['10.3928/19404921-20101201-03 [doi]'],ppublish,Res Gerontol Nurs. 2011 Jan;4(1):27-35. doi: 10.3928/19404921-20101201-03. Epub 2010 Dec 29.,,,,,,,,,,,,,,,
21210471,NLM,MEDLINE,20110315,20151119,0008-543X (Print) 0008-543X (Linking),117,2,2011 Jan 15,Second-generation tyrosine kinase inhibitors in chronic myelogenous leukemia: before or after imatinib?,234-7,10.1002/cncr.25600 [doi],,,"['Tefferi, Ayalew']",['Tefferi A'],,['eng'],,"['Comment', 'Editorial']",20101026,United States,Cancer,Cancer,0374236,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Antineoplastic Agents/*administration & dosage', 'Benzamides', 'Disease Progression', 'Disease-Free Survival', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Piperazines/*administration & dosage', 'Protein-Tyrosine Kinases/*antagonists & inhibitors', 'Pyrimidines/*administration & dosage', 'Randomized Controlled Trials as Topic', 'Remission Induction', '*Research Design', 'Salvage Therapy', 'Treatment Outcome']",,2011/01/07 06:00,2011/03/16 06:00,['2011/01/07 06:00'],"['2010/07/08 00:00 [received]', '2010/07/20 00:00 [accepted]', '2011/01/07 06:00 [entrez]', '2011/01/07 06:00 [pubmed]', '2011/03/16 06:00 [medline]']",['10.1002/cncr.25600 [doi]'],ppublish,Cancer. 2011 Jan 15;117(2):234-7. doi: 10.1002/cncr.25600. Epub 2010 Oct 26.,['Cancer. 2011 Jan 15;117(2):327-35. PMID: 20845478'],,,,,,,,,,,,,,
21210259,NLM,MEDLINE,20110609,20211020,1865-3774 (Electronic) 0925-5710 (Linking),93,2,2011 Feb,Methotrexate-associated lymphoplasmacytic lymphoma complicated with type 2 cryoglobulinemia.,253-256,10.1007/s12185-010-0749-8 [doi],,,"['Matsui, Yusuke', 'Miura, Yasuo', 'Sugino, Noriko', 'Kaneko, Hitomi', 'Watanabe, Mitsumasa', 'Tsudo, Mitsuru']","['Matsui Y', 'Miura Y', 'Sugino N', 'Kaneko H', 'Watanabe M', 'Tsudo M']","['Department of Hematology, Osaka Red Cross Hospital, 5-30 Fudegasaki, Ten-noji, Osaka, 543-8555, Japan. matsui-y@osaka-med.jrc.or.jp.', 'Department of Hematology, Osaka Red Cross Hospital, 5-30 Fudegasaki, Ten-noji, Osaka, 543-8555, Japan.', 'Department of Hematology, Osaka Red Cross Hospital, 5-30 Fudegasaki, Ten-noji, Osaka, 543-8555, Japan.', 'Department of Hematology, Osaka Red Cross Hospital, 5-30 Fudegasaki, Ten-noji, Osaka, 543-8555, Japan.', 'Department of Hematology, Osaka Red Cross Hospital, 5-30 Fudegasaki, Ten-noji, Osaka, 543-8555, Japan.', 'Department of Hematology, Osaka Red Cross Hospital, 5-30 Fudegasaki, Ten-noji, Osaka, 543-8555, Japan.']",['eng'],,"['Case Reports', 'Letter']",20110106,Japan,Int J Hematol,International journal of hematology,9111627,"['0 (Antirheumatic Agents)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Antirheumatic Agents/*adverse effects/therapeutic use', 'Arthritis, Rheumatoid/complications/drug therapy', 'Cryoglobulinemia/*complications', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*chemically induced/complications', 'Methotrexate/*adverse effects/therapeutic use', 'Middle Aged']",,2011/01/07 06:00,2011/06/10 06:00,['2011/01/07 06:00'],"['2010/08/31 00:00 [received]', '2010/12/13 00:00 [accepted]', '2010/12/01 00:00 [revised]', '2011/01/07 06:00 [entrez]', '2011/01/07 06:00 [pubmed]', '2011/06/10 06:00 [medline]']","['10.1007/s12185-010-0749-8 [doi]', '10.1007/s12185-010-0749-8 [pii]']",ppublish,Int J Hematol. 2011 Feb;93(2):253-256. doi: 10.1007/s12185-010-0749-8. Epub 2011 Jan 6.,,,,,,,,,,,,,,,
21210165,NLM,MEDLINE,20120619,20211020,1436-3771 (Electronic) 1432-6981 (Linking),16,1,2012 Feb,Case series: non vascular considerations in trigeminal neuralgia.,63-8,10.1007/s00784-010-0499-2 [doi],"An abnormal vascular course of the superior cerebellar artery is often cited as the cause for trigeminal neuralgia. However, among patients with TN-like symptoms, 6% to 16% are variously reported to have intracranial tumours. Aneurysms, tumours, or other lesions may impinge or irritate the trigeminal nerve along its course. Uncommonly, an area of demyelination from multiple sclerosis may be the precipitant. We would like to present a series of unusual lesions, all of which initially presented with neuralgic-like symptoms and were refractory to treatment. Collated case series with photographs and imaging are reviewed in this paper. Discussion of case presentation and management are done for evaluation. A wide range of other compressive lesions can cause trigeminal neuralgia. This paper illustrates the clinical presentation of atypical trigeminal neuralgia and emphasises the value of diagnostic imaging in trigeminal neuralgia patient. Suggested algorithm for management of trigeminal neuralgia.",,"['Balasundram, Sathesh', 'Cotrufo, Stefano', 'Liew, Colin']","['Balasundram S', 'Cotrufo S', 'Liew C']","['Oral and Maxillofacial Surgery Unit, Eastman Dental Hospital, University College London Hospital, London, UK. satbala@yahoo.com']",['eng'],,"['Case Reports', 'Journal Article']",20110106,Germany,Clin Oral Investig,Clinical oral investigations,9707115,,,"['Aged', 'Aged, 80 and over', 'Ameloblastoma/complications/diagnosis', 'Cerebellar Diseases/complications/diagnosis', 'Cerebellar Neoplasms/complications/diagnosis', 'Cerebellopontine Angle/pathology', 'Cranial Nerve Neoplasms/complications/diagnosis', 'Diagnosis, Differential', 'Epidermal Cyst/complications/diagnosis', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Hairy Cell/complications/diagnosis', 'Lymphoma, B-Cell/complications/diagnosis', 'Male', 'Mandibular Neoplasms/complications/diagnosis', 'Middle Aged', 'Neurilemmoma/complications/diagnosis', 'Osteochondroma/complications/diagnosis', 'Parotid Neoplasms/complications/diagnosis', 'Skull Base Neoplasms/complications/diagnosis', 'Sphenoid Bone/pathology', 'Trigeminal Nerve Diseases/complications/diagnosis', 'Trigeminal Neuralgia/diagnosis/*etiology', 'Young Adult']",,2011/01/07 06:00,2012/06/20 06:00,['2011/01/07 06:00'],"['2010/05/10 00:00 [received]', '2010/12/22 00:00 [accepted]', '2011/01/07 06:00 [entrez]', '2011/01/07 06:00 [pubmed]', '2012/06/20 06:00 [medline]']",['10.1007/s00784-010-0499-2 [doi]'],ppublish,Clin Oral Investig. 2012 Feb;16(1):63-8. doi: 10.1007/s00784-010-0499-2. Epub 2011 Jan 6.,,,,,,,,,,,,,,,
