PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,AID,PMC,CIN,GR,GS,EIN,SI,RF,TT,CON,MID,OID
1711640,NLM,MEDLINE,19910726,20211203,0887-6924 (Print) 0887-6924 (Linking),5,6,1991 Jun,"Mast cell growth factor, a ligand for the receptor encoded by c-kit, affects the growth in culture of the blast cells of acute myeloblastic leukemia.",493-9,"['Wang, C', 'Koistinen, P', 'Yang, G S', 'Williams, D E', 'Lyman, S D', 'Minden, M D', 'McCulloch, E A']","['Wang C', 'Koistinen P', 'Yang GS', 'Williams DE', 'Lyman SD', 'Minden MD', 'McCulloch EA']","['Ontario Cancer Institute, Toronto, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Hematopoietic Cell Growth Factors)', '0 (Interleukin-3)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '0 (Receptors, Colony-Stimulating Factor)', '0 (Stem Cell Factor)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,"['Cell Division', 'Drug Synergism', 'Gene Expression', 'Granulocyte Colony-Stimulating Factor/pharmacology', 'Hematopoietic Cell Growth Factors/metabolism/*pharmacology', 'Humans', 'Interleukin-3/pharmacology', 'Leukemia, Myeloid, Acute/genetics/metabolism/*pathology', 'Proto-Oncogene Mas', '*Proto-Oncogenes', 'RNA, Messenger/metabolism', 'RNA, Neoplasm/metabolism', 'Receptors, Colony-Stimulating Factor/*genetics/metabolism', 'Stem Cell Factor', 'Tumor Cells, Cultured/metabolism/pathology']",1991/06/01 00:00,1991/06/01 00:01,['1991/06/01 00:00'],"['1991/06/01 00:00 [pubmed]', '1991/06/01 00:01 [medline]', '1991/06/01 00:00 [entrez]']",ppublish,Leukemia. 1991 Jun;5(6):493-9.,"The c-kit proto-oncogene encodes a transmembrane receptor with a tyrosine kinase internal domain. C-kit has been mapped to the W locus in the mouse, and the gene encoding the ligand has been shown to be the product of the murine SI locus. Previous genetic studies have shown that the murine W and SI loci play important roles in the normal function of hemopoietic stem cells. As these stem cells have been identified as the origins of abnormal clones in acute myeloblastic leukemia (AML), a study was begun of c-kit in AML. By Northern blot analysis, it was shown that all of 21 blast populations from AML patients were kit expression positive, but some AML cell lines did not transcribe detectable c-kit mRNA. This study is now extended to the responses of freshly obtained AML cells and cell lines to the ligand, mast-cell growth factor (MGF). In culture, fresh cells usually responded to added ligand with increases in both self-renewal and terminal divisions. The most obvious effects were seen when MGF was combined with either IL-3 or G-CSF. The response of cell lines to MGF mirrored their expression of c-kit; expression positive lines responded in culture with patterns similar to those seen for fresh cells. C-kit expression negative cells did not respond to MGF. RNA prepared from the cells giving rise to one such line, OCI/AML-5, was available for study. mRNA for c-kit could not be detected in this RNA sample by Northern blot analysis or the polymerase chain reaction. Thus the heterogeneity found in AML blast populations extends to the involvement of c-kit and its ligand in growth regulation, although blast populations without this regulatory apparatus appear to be rare.",,,,,['c-kit'],,,,,,,
1711639,NLM,MEDLINE,19910726,20130304,0887-6924 (Print) 0887-6924 (Linking),5,6,1991 Jun,De novo acute B-cell leukemia with translocation t(14;18): an entity with a poor prognosis.,473-8,"['Kramer, M H', 'Raghoebier, S', 'Beverstock, G C', 'de Jong, D', 'Kluin, P M', 'Kluin-Nelemans, J C']","['Kramer MH', 'Raghoebier S', 'Beverstock GC', 'de Jong D', 'Kluin PM', 'Kluin-Nelemans JC']","['Department of Hematology, University Medical Centre, Leiden, The Netherlands.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Leukemia,Leukemia,8704895,"['0 (Antigens, CD)', '0 (Antigens, CD19)', '0 (Antigens, Differentiation)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Antigens, Neoplasm)', '0 (Immunoglobulins)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)', 'EC 3.4.24.11 (Neprilysin)']",IM,"['Adult', 'Antigens, CD/metabolism', 'Antigens, CD19', 'Antigens, Differentiation/metabolism', 'Antigens, Differentiation, B-Lymphocyte/metabolism', 'Antigens, Neoplasm/metabolism', 'Burkitt Lymphoma/*genetics/immunology/pathology', 'Cell Membrane/immunology', 'Chromosome Deletion', '*Chromosomes, Human, Pair 14', '*Chromosomes, Human, Pair 18', 'Chromosomes, Human, Pair 8', 'Chromosomes, Human, Pair 9', 'Cytoplasm/immunology', 'DNA Nucleotidylexotransferase/deficiency', 'Humans', 'Immunoglobulins/metabolism', 'Immunophenotyping', 'Lymphoma, Follicular/genetics/immunology/pathology', 'Male', 'Middle Aged', 'Neprilysin', 'Prognosis', '*Translocation, Genetic']",1991/06/01 00:00,1991/06/01 00:01,['1991/06/01 00:00'],"['1991/06/01 00:00 [pubmed]', '1991/06/01 00:01 [medline]', '1991/06/01 00:00 [entrez]']",ppublish,Leukemia. 1991 Jun;5(6):473-8.,"Three cases of de novo acute B-cell lymphoblastic leukemia are presented, all with an unusual phenotype, involvement of translocation t(14;18) and additional chromosomal abnormalities, including translocation t(8;14) and deletion of chromosome 9. In contrast to normal FAB-L2 or FAB-L3 acute lymphoblastic leukemia (ALL), these leukemias did not express cytoplasmatic and membranous immunoglobulin. The combination of translocation t(14;18) and additional chromosomal events on the other chromosome 14 account for the lack of immunoglobulin expression. In one case a low grade follicular lymphoma was found next to a high grade Burkitt type ALL. The translocation t(14;18) takes place as a mistake in the VDJH joining in pre-B cells in the bone marrow. It is proposed that some cases of de novo ALL may arise as a blast crisis induced by genetic events, secondary to the primary t(14;18) translocation. This type of ALL seems to have a poor prognosis.",,,,,,,,23,,,,
1711593,NLM,MEDLINE,19910730,20201209,0098-7484 (Print) 0098-7484 (Linking),266,2,1991 Jul 10,From the Food and Drug Administration.,190,"['Nightingale, S L']",['Nightingale SL'],,['eng'],['Journal Article'],United States,JAMA,JAMA,7501160,"['0 (Antimetabolites, Antineoplastic)', '0 (Tablets)', '106XV160TZ (Vidarabine Phosphate)', '1X9VK9O1SC (fludarabine phosphate)']",IM,"['Antimetabolites, Antineoplastic/therapeutic use', 'Drug Labeling/*standards', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy', 'Sepsis/*etiology', 'Tablets/standards', '*Transfusion Reaction', 'United States', 'United States Food and Drug Administration', 'Vidarabine Phosphate/analogs & derivatives/therapeutic use', '*Yersinia Infections', '*Yersinia enterocolitica']",1991/07/10 00:00,1991/07/10 00:01,['1991/07/10 00:00'],"['1991/07/10 00:00 [pubmed]', '1991/07/10 00:01 [medline]', '1991/07/10 00:00 [entrez]']",ppublish,JAMA. 1991 Jul 10;266(2):190.,,,,,,,,,,,,,
1711585,NLM,MEDLINE,19910731,20191021,0257-716X (Print) 0257-716X (Linking),10,4,1990,Preparation of AHTG-DNR conjugates and their antitumor effect in vitro.,235-9,"['Zhang, D H', 'Tang, J Z', 'Shen, G X', 'Shu, N', 'Zhu, H F']","['Zhang DH', 'Tang JZ', 'Shen GX', 'Shu N', 'Zhu HF']","['Department of Internal Medicine, Tongji Hospital, Tongji Medical University, Wuhan.']",['eng'],['Journal Article'],China,J Tongji Med Univ,Journal of Tongji Medical University = Tong ji yi ke da xue xue bao,8605495,"['0 (Antilymphocyte Serum)', '0 (Dextrans)', '0 (Immunotoxins)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Antilymphocyte Serum/pharmacology', 'Cytotoxicity Tests, Immunologic', 'Daunorubicin/*pharmacology', 'Dextrans/immunology', 'Humans', 'Immunotoxins/*pharmacology', 'Leukemia, Erythroblastic, Acute/pathology', 'Leukemia-Lymphoma, Adult T-Cell/pathology', 'Tumor Cells, Cultured/*pathology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,J Tongji Med Univ. 1990;10(4):235-9. doi: 10.1007/BF02887937.,"100%, 75%, 50%, 25% and 12.5% oxidized dextran T10 (Dex T10) were used as intermediate carriers for conjugating drug daunorubicin (DNR) and antibody anti-human thymocytic globulin (AHTG), to form different immunoconjugates, AHTG:Dex:DNR. It was demonstrated that the conjugate with 25% oxidized Dex T10 as intermediate carrier linked more DNR molecules than the others. The degree of its substitution was 10-11 moles of DNR per mole of AHTG. Moreover, because the amount to reducing agent sodium borohydride (NaBH4), required for the reduction reaction, was relatively small, its damaging effect on AHTG and DNR was lessened accordingly. The antitumor effect of AHTG:Dex:DNR in vitro was tested by using 24-h cytotoxicity assay, with CEM as target cell. Cytotoxic effect of the conjugate was proven and the LD50 was 10.68 micrograms/ml. However, it showed only slight cytotoxic effect on non-target cell K562. When 10 min cytotoxicity assay was performed to show the specific tumor-killing effect of the conjugate, it revealed an obvious cytotoxic activity toward CEM, with the LD50 being 14.79 micrograms/ml, but hardly toward K562. These results suggest that AHTG:Dex:DNR possesses specific cytotoxic effect.",['10.1007/BF02887937 [doi]'],,,,,,,,,,,
1711563,NLM,MEDLINE,19910801,20191210,0022-1007 (Print) 0022-1007 (Linking),174,1,1991 Jul 1,Highly restricted expression of the thymus leukemia antigens on intestinal epithelial cells.,213-8,"['Wu, M', 'van Kaer, L', 'Itohara, S', 'Tonegawa, S']","['Wu M', 'van Kaer L', 'Itohara S', 'Tonegawa S']","['Howard Hughes Medical Institute, Massachusetts Institute of Technology, Cambridge 02139.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Antibodies, Monoclonal)', '0 (Membrane Glycoproteins)', '0 (Oligonucleotide Probes)', '0 (thymus-leukemia antigens)', '63231-63-0 (RNA)']",IM,"['Animals', 'Antibodies, Monoclonal', 'Base Sequence', 'Cell Line', 'Epithelial Cells', 'Epithelium/physiology', 'Female', 'Genes, MHC Class I', 'Intestine, Large/cytology/*physiology', 'Intestine, Small/cytology/*physiology', 'L Cells/immunology', 'Membrane Glycoproteins/analysis/*genetics', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Molecular Sequence Data', 'Oligonucleotide Probes', 'Organ Specificity', 'Polymerase Chain Reaction', 'RNA/genetics/isolation & purification', 'Restriction Mapping', 'Thymus Gland/immunology', 'Transfection']",1991/07/01 00:00,1991/07/01 00:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '1991/07/01 00:01 [medline]', '1991/07/01 00:00 [entrez]']",ppublish,J Exp Med. 1991 Jul 1;174(1):213-8. doi: 10.1084/jem.174.1.213.,"The TL region of the major histocompatibility complex of the mouse contains dozens of tandemly arranged class I genes, including those encoding the thymus leukemia (TL) antigens. TL antigens have been thought to be expressed only on the surface of some T lineage cells, namely immature thymocytes of some mouse strains (TL+ strains), some leukemia cells, and activated T cells. While the function of TL antigens is unknown, recent studies have implicated the products of at least some TL region class I genes as molecules that present antigens to gamma/delta T cells. Since some gamma/delta T cells are known to be specifically associated with certain epithelial tissues, we have investigated the expression of some TL region class I genes in a variety of epithelium-containing tissues. Our results show that the TL antigen gene of C57BL/6 mice, T3b, and the TL antigen genes of BALB/c mice, T3d (previously T3c) and T18d (previously T13c), are highly expressed in the epithelium of the small intestine. In the case of T3b, we further show, using a T3 product-specific antibody, that its product is expressed on the surface of the columnar epithelial cells. In addition, we demonstrated that two other TL region class I genes of C57BL/6 origin, T9b and T21b, are also expressed nearly exclusively in intestinal epithelial cells. These results are consistent with the hypothesis that the products of these TL region class I genes are recognized by gamma/delta T cell receptors of intestinal intraepithelial lymphocytes, a subset of gamma/delta T cells that is localized in the intestinal epithelium and has a restricted V gamma repertoire. Finally, our study indicates that the relative levels of expression of the two homologous TL antigen genes, T3d and T18d, differ widely between the thymus and the intestine.",['10.1084/jem.174.1.213 [doi]'],PMC2118879,,,,,,,,,,
1711562,NLM,MEDLINE,19910801,20190508,0022-1007 (Print) 0022-1007 (Linking),174,1,1991 Jul 1,In vitro proliferation and cloning of CD3- CD16+ cells from human thymocyte precursors.,21-6,"['Mingari, M C', 'Poggi, A', 'Biassoni, R', 'Bellomo, R', 'Ciccone, E', 'Pella, N', 'Morelli, L', 'Verdiani, S', 'Moretta, A', 'Moretta, L']","['Mingari MC', 'Poggi A', 'Biassoni R', 'Bellomo R', 'Ciccone E', 'Pella N', 'Morelli L', 'Verdiani S', 'Moretta A', 'Moretta L']","['Istituto Nazionale per la Ricerca sul Cancro, Genova, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Antigens, CD)', '0 (Antigens, Differentiation)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (CD3 Complex)', '0 (Receptors, Antigen, T-Cell)', '0 (Receptors, Fc)', '0 (Receptors, IgG)', '63231-63-0 (RNA)']",IM,"['Antigens, CD/*genetics', 'Antigens, Differentiation/analysis/*genetics', 'Antigens, Differentiation, T-Lymphocyte/analysis/*genetics', 'Blotting, Northern', 'CD3 Complex', 'Cell Line', 'Cells, Cultured', 'Clone Cells', 'Cytotoxicity, Immunologic', 'Flow Cytometry', 'Humans', '*Lymphocyte Activation', 'Lymphocyte Depletion', 'Phenotype', 'RNA/genetics/isolation & purification', 'Receptors, Antigen, T-Cell/analysis/*genetics', 'Receptors, Fc/analysis/*genetics', 'Receptors, IgG', 'T-Lymphocytes/*immunology', 'Thymus Gland/*immunology', 'Transcription, Genetic']",1991/07/01 00:00,1991/07/01 00:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '1991/07/01 00:01 [medline]', '1991/07/01 00:00 [entrez]']",ppublish,J Exp Med. 1991 Jul 1;174(1):21-6. doi: 10.1084/jem.174.1.21.,"Purified CD3-4- thymocytes were obtained by depletion of CD3+ and CD4+ cells from fresh thymocyte suspensions. 5-15% of these cells were found to express CD16 antigen, while other natural killer (NK) cell markers were virtually absent. Double fluorescence analysis revealed that 20-40% of thymic CD16+ cells coexpressed CD1, while approximately half were cyCD3+. When cultured in the presence of peripheral blood lymphocytes and H9 leukemia cell line as a source of irradiated feeder cells and interleukin 2 (IL-2), CD3-4- thymocytes underwent extensive proliferation. In addition, after 1-2 wk of culture, 30-50% of these cells were found to express CD16 surface antigen. Cloning under limiting dilution conditions of either CD3-4- or CD3-4-16- thymocytes in the presence of irradiated H9 cells resulted in large proportions (approximately 50%) of CD16+ clones. On the basis of the expression of surface CD16 and/or cyCD3 antigen, clones could be grouped in the following subsets: CD16+ cyCD3+; CD16+ cyCD3-; CD16- cyCD3+; and CD16- cyCD3-. All clones expressed CD56 surface antigen, displayed a strong cytolytic activity against NK sensitive (K562) and NK-resistant (M14) target cells, and produced IFN-gamma and tumor necrosis factor, but not IL-2. Similar to peripheral NK cells, thymic CD16+ cells expressed transcripts for CD16 and for CD3 epsilon (Biassoni, R., S. Ferrini, I. Prigione, A. Moretta, and E.O. Long, 1988. J. Immunol. 140:1685.) and zeta chains (Anderson, P., M. Caligiuri, J. Ritz, and S.F. Schlossman. 1989. Nature [Lond.]. 341:159). Therefore, it appears that cells that are phenotypically and functionally similar to CD3- CD16+ NK cells may arise from immature thymocytes.",['10.1084/jem.174.1.21 [doi]'],PMC2118888,,,,,,,,,,
1711503,NLM,MEDLINE,19910730,20151119,0390-6078 (Print) 0390-6078 (Linking),75,6,1990 Nov-Dec,Alpha-interferon therapy in advanced unresponsive immunoblastic lymphoma evolved from Waldenstrom's macroglobulinemia.,581,"['Carella, A M']",['Carella AM'],,['eng'],"['Case Reports', 'Letter']",Italy,Haematologica,Haematologica,0417435,"['0 (Immunologic Factors)', '0 (Interferon Type I)', '11056-06-7 (Bleomycin)', '5J49Q6B70F (Vincristine)', '7S5I7G3JQL (Dexamethasone)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', 'Q573I9DVLP (Leucovorin)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'CHOP protocol', 'M-BACOD protocol']",IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Bleomycin/administration & dosage', 'Combined Modality Therapy', 'Cyclophosphamide/administration & dosage', 'Dexamethasone/administration & dosage', 'Doxorubicin/administration & dosage', 'Female', 'Humans', 'Immunologic Factors/*therapeutic use', 'Interferon Type I/*therapeutic use', 'Leucovorin/administration & dosage', 'Methotrexate/administration & dosage', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/etiology/*therapy', 'Prednisone/administration & dosage', 'Remission Induction', 'Vincristine/administration & dosage', 'Waldenstrom Macroglobulinemia/*complications/drug therapy']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",ppublish,Haematologica. 1990 Nov-Dec;75(6):581.,,,,,,,,,,,,,
1711497,NLM,MEDLINE,19910801,20190707,0378-1119 (Print) 0378-1119 (Linking),101,2,1991 May 30,Cellular transcripts encoded at a locus which permits retrovirus expression in mouse embryonic cells.,177-83,"['Petersen, R', 'Sobel, S', 'Wang, C T', 'Jaenisch, R', 'Barklis, E']","['Petersen R', 'Sobel S', 'Wang CT', 'Jaenisch R', 'Barklis E']","['Vollum Institute for Advanced Biomedical Research, Oregon Health Sciences University, Portland 97201.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Gene,Gene,7706761,"['0 (DNA, Recombinant)', '63231-63-0 (RNA)']",IM,"['Animals', 'Base Sequence', 'DNA, Recombinant', 'Embryonal Carcinoma Stem Cells', 'Humans', 'Introns/genetics', 'Mice', 'Molecular Sequence Data', 'Moloney murine leukemia virus/*genetics/physiology', 'Neoplastic Stem Cells', '*Promoter Regions, Genetic', 'Proviruses/*genetics', 'Pseudogenes', 'RNA/*genetics', 'Repetitive Sequences, Nucleic Acid', 'Sequence Homology, Nucleic Acid', '*Transcription, Genetic', 'Tumor Cells, Cultured', 'Virus Activation']",1991/05/30 00:00,1991/05/30 00:01,['1991/05/30 00:00'],"['1991/05/30 00:00 [pubmed]', '1991/05/30 00:01 [medline]', '1991/05/30 00:00 [entrez]']",ppublish,Gene. 1991 May 30;101(2):177-83. doi: 10.1016/0378-1119(91)90409-5.,"Three independent recombinant retroviruses have been activated on insertion into the F2 locus of mouse F9 embryonal carcinoma cells. Each provirus has integrated downstream from the cellular F2 promoter, which is active in transient transfection assays using a chloramphenicol acetyltransferase reporter enzyme. The F2 promoter drives expression of a series of related transcripts in F9 and 3T3 cells, and a single 450-nt transcript in mouse tissues. F2 homologous sequences have been detected in the genomes of all mammalian species tested, and the 450-nucleotide (nt) F2 transcript is expressed in rat and human cells. Three pairs of differently sized F2 cDNA clones have been isolated and analyzed. The largest clones possess two 199-nt 98.5% identical repeats, one of which is present in the smaller clones, as well as the major 450-nt transcript. Activated proviral integration sites map to introns of the largest F2 cDNA clone. While none of the F2 cDNA contains a long open reading frame or homology to databank sequences, evidence suggests that the F2 locus encodes a constitutive function required at high levels, or represents an expressed but nonfunctional, single-copy element, conserved among mammals.","['0378-1119(91)90409-5 [pii]', '10.1016/0378-1119(91)90409-5 [doi]']",,,,,,"['GENBANK/M62974', 'GENBANK/M62975', 'GENBANK/S38861', 'GENBANK/S38891', 'GENBANK/S70115', 'GENBANK/S70117', 'GENBANK/S70121', 'GENBANK/S70125', 'GENBANK/S70128', 'GENBANK/S70130', 'GENBANK/Y00225']",,,,,
1711446,NLM,MEDLINE,19910801,20181113,0012-6667 (Print) 0012-6667 (Linking),41,3,1991 Mar,"Mitoxantrone. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic potential in the chemotherapy of cancer.",400-49,"['Faulds, D', 'Balfour, J A', 'Chrisp, P', 'Langtry, H D']","['Faulds D', 'Balfour JA', 'Chrisp P', 'Langtry HD']","['Adis Drug Information Services, Auckland, New Zealand.']",['eng'],"['Comparative Study', 'Journal Article', 'Review']",New Zealand,Drugs,Drugs,7600076,['BZ114NVM5P (Mitoxantrone)'],IM,"['Animals', 'Humans', 'Mitoxantrone/pharmacokinetics/*pharmacology', 'Neoplasms/drug therapy', 'Neoplasms, Experimental/drug therapy']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",ppublish,Drugs. 1991 Mar;41(3):400-49. doi: 10.2165/00003495-199141030-00007.,"Mitoxantrone is a dihydroxyanthracenedione derivative which as intravenous mono- and combination therapy has demonstrated therapeutic efficacy similar to that of standard induction and salvage treatment regimens in advanced breast cancer, non-Hodgkin's lymphoma, acute nonlymphoblastic leukaemia and chronic myelogenous leukaemia in blast crisis; it appears to be an effective alternative to the anthracycline component of standard treatment regimens in these indications. Mitoxantrone is also effective as a component of predominantly palliative treatment regimens for hepatic and advanced ovarian carcinoma. Limited studies suggest useful therapeutic activity in multiple myeloma and acute lymphoblastic leukaemia. Regional therapy of malignant effusions, hepatic and ovarian carcinomas has also been very effective, with a reduction in systemic adverse effects. Mitoxantrone inhibits DNA synthesis by intercalating DNA, inducing DNA strand breaks, and causing DNA aggregation and compaction, and delays cell cycle progression, particularly in late S phase. In vitro antitumour activity is concentration- and exposure time-proportional, and synergy with other antineoplastic drugs has been demonstrated in murine tumour models. Leucopenia may be dose-limiting in patients with solid tumours, whereas stomatitis may be dose-limiting in patients with leukaemia. Other adverse effects are usually of mild or moderate severity although cardiac effects, particularly congestive heart failure, may be of concern, especially in patients with a history of anthracycline therapy, mediastinal irradiation or cardiovascular disease. Mitoxantrone displays an improved tolerability profile compared with doxorubicin and other anthracyclines, although myelosuppression may occur more frequently. Thus, mitoxantrone is an effective and better tolerated alternative to the anthracyclines in most haematological malignancies, in breast cancer and in advanced hepatic or ovarian carcinoma. Further studies may consolidate its role in the treatment of these and other malignancies.",['10.2165/00003495-199141030-00007 [doi]'],,,,,,,425,,,,
1711370,NLM,MEDLINE,19910801,20190613,0006-2960 (Print) 0006-2960 (Linking),30,26,1991 Jul 2,Photoaffinity labeling of the primer binding domain in murine leukemia virus reverse transcriptase.,6436-43,"['Tirumalai, R S', 'Modak, M J']","['Tirumalai RS', 'Modak MJ']","['Department of Biochemistry and Molecular Biology, University of Medicine and Dentistry of New Jersey, New Jersey Medical School, Newark 07103.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochemistry,Biochemistry,0370623,"['0 (Affinity Labels)', '0 (Amino Acids)', '0 (Oligodeoxyribonucleotides)', '0 (Peptide Fragments)', '0 (Recombinant Proteins)', '0 (oligo (dT))', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Affinity Labels/*metabolism', 'Amino Acid Sequence', 'Amino Acids/analysis', 'Avian Myeloblastosis Virus/enzymology', 'Binding Sites', 'Chromatography, High Pressure Liquid', 'Cloning, Molecular', 'Kinetics', 'Molecular Sequence Data', 'Moloney murine leukemia virus/*enzymology', 'Oligodeoxyribonucleotides/metabolism', 'Peptide Fragments/isolation & purification', 'RNA-Directed DNA Polymerase/*metabolism', 'Recombinant Proteins/metabolism', 'Templates, Genetic', 'Trypsin', 'Ultraviolet Rays']",1991/07/02 00:00,1991/07/02 00:01,['1991/07/02 00:00'],"['1991/07/02 00:00 [pubmed]', '1991/07/02 00:01 [medline]', '1991/07/02 00:00 [entrez]']",ppublish,Biochemistry. 1991 Jul 2;30(26):6436-43. doi: 10.1021/bi00240a014.,"We have labeled the primer binding domain of murine leukemia virus reverse transcriptase (MuLV RT) by covalently cross-linking 5' end labeled d(T)8 to MuLV RT, using ultraviolet light energy. The specificity and the functional significance of the primer cross-linking reaction were demonstrated by the fact that (i) other oligomeric primers, tRNAs, and also template-primers readily compete with radiolabeled d(T)8 for the cross-linking reaction, (ii) under similar conditions, the competing primers and template-primer also inhibit the DNA polymerase activity of MuLV RT to a similar extent, (iii) substrate deoxynucleotides have no effect, and (iv) the reaction is sensitive to high ionic strength. In order to identify the primer binding domains/sites in MuLV RT; tryptic digests prepared from the covalently cross-linked MuLV RT and [32P]d(T)8 complexes were resolved on C-18 columns by reverse-phase HPLC. Three distinct radiolabeled peptides were found to contain the majority of the bound primer. Of these, peptide I contained approximately 65% radioactivity, while the remainder was associated with peptides II and III. Amino acid composition and sequence analyses of the individual peptides revealed that peptide I spans amino acid residues 72-80 in the primary amino acid sequence of MuLV RT and is located in the polymerase domain. The primer cross-linking site appears to be at or near Pro-76. Peptides II and III span amino acid residues 602-609 and 615-622, respectively, and are located in the RNase H domain. The probable cross-linking sites in peptides II and III are suggested to be at or near Leu-604 and Leu-618, respectively.",['10.1021/bi00240a014 [doi]'],,,['AI-26652/AI/NIAID NIH HHS/United States'],,,,,,,,
1711356,NLM,MEDLINE,19910801,20190718,0959-8049 (Print) 0959-8049 (Linking),27,5,1991,Pneumocystis pneumonia in a patient treated with fludarabine for chronic lymphocytic leukemia.,671,"['Bastion, Y', 'Coiffier, B', 'Tigaud, J D', 'Espinouse, D', 'Bryon, P A']","['Bastion Y', 'Coiffier B', 'Tigaud JD', 'Espinouse D', 'Bryon PA']",,['eng'],"['Case Reports', 'Letter']",England,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",9005373,"['106XV160TZ (Vidarabine Phosphate)', '1X9VK9O1SC (fludarabine phosphate)']",IM,"['Aged', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications', 'Opportunistic Infections/*complications', 'Pneumonia, Pneumocystis/*complications', 'Vidarabine Phosphate/*analogs & derivatives/therapeutic use']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1991;27(5):671. doi: 10.1016/0277-5379(91)90247-b.,,['10.1016/0277-5379(91)90247-b [doi]'],,,,,,,,,,,
1711305,NLM,MEDLINE,19910722,20041117,0385-0684 (Print) 0385-0684 (Linking),18,7,1991 Jun,[The role of growth factors in cancer treatment].,1227-31,"['Ogawa, M']",['Ogawa M'],"['Cancer Chemotherapy Center, Japanese Foundation for Cancer Research.']",['jpn'],['Journal Article'],Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Antineoplastic Agents)', '0 (Growth Substances)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Antineoplastic Agents/therapeutic use', 'Bone Marrow Transplantation', 'Granulocyte Colony-Stimulating Factor/therapeutic use', 'Granulocyte-Macrophage Colony-Stimulating Factor/therapeutic use', 'Growth Substances/*therapeutic use', 'Humans', 'Leukemia/therapy', 'Neoplasms/drug therapy/surgery/*therapy']",1991/06/01 00:00,1991/06/01 00:01,['1991/06/01 00:00'],"['1991/06/01 00:00 [pubmed]', '1991/06/01 00:01 [medline]', '1991/06/01 00:00 [entrez]']",ppublish,Gan To Kagaku Ryoho. 1991 Jun;18(7):1227-31.,,,,,,,,,,,,,
