PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,OID,OAB,OABL,OTO,OT,GN,CON,SI,CIN,EIN,RIN
2796382,NLM,MEDLINE,19891121,20190824,0145-2126 (Print) 0145-2126 (Linking),13,9,1989,Adaptation of human leukemia HL-60 cells to hydrogen peroxide as oxidative stress.,757-62,"The growth inhibitory effect on human leukemia HL-60 cells of hydrogen peroxide as an oxidative stress and the possibility of adaptation of the cells to this stress were examined. When HL-60 cells were treated with various concentrations of hydrogen peroxide, concentrations of 5-200 microM were found to be sublethal. When HL-60 cells were repeatedly exposed to 50 and 100 microM hydrogen peroxide, they began to grow stably in the medium with the drug after a few months, indicating that they had become adapted to the drug. Sublines HP50-2 and HP100-1 cloned from these cultures were approximately 40-fold and 340-fold more resistant, respectively, than the parent cells. These resistant sublines tended to form cell aggregates in stationary culture, suggesting an alteration in their surface membrane. The HP50-2 and HP100-1 lines will be useful in the studies of many cellular mechanisms associated with reactive oxygens.","['Kasugai, I', 'Yamada, M']","['Kasugai I', 'Yamada M']","['Institute for Protein Research, Osaka University, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,['BBX060AN9V (Hydrogen Peroxide)'],IM,"['Cell Division/drug effects', 'Drug Resistance', 'Hematopoietic Stem Cells/cytology/*drug effects', 'Humans', 'Hydrogen Peroxide/*pharmacology', 'Leukemia, Myeloid/pathology', 'Tumor Cells, Cultured']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']","['0145-2126(89)90088-X [pii]', '10.1016/0145-2126(89)90088-x [doi]']",ppublish,Leuk Res. 1989;13(9):757-62. doi: 10.1016/0145-2126(89)90088-x.,,,,,,,,,,,,
2796381,NLM,MEDLINE,19891121,20190824,0145-2126 (Print) 0145-2126 (Linking),13,9,1989,Acute lymphoblastic leukemia of NK-cell lineage: responses to IL-2.,735-43,"Acute lymphoblastic leukemias with phenotypic characteristics of natural killer cell derived lineage are extremely uncommon. We identified an ALL with a phenotype consistent with an NK-cell of origin. The blasts underwent a proliferative response to r-IL2 in culture but showed no spontaneous or r-IL2 or gamma-INF induced cytotoxicity. With r-IL2 stimulation however, the tumor cells demonstrated a dramatic acquisition of low density CD8 surface positivity and a loss of CD11b expression after short term culture. By comparison to ALL of B or T lineage, NK ALL likely represents an early stage of bone marrow derived NK-cell precursor.","['Pirruccello, S J', 'Bicak, M S', 'Gordon, B G', 'Gajl-Peczalska, K', 'Gnarra, D J', 'Coccia, P F']","['Pirruccello SJ', 'Bicak MS', 'Gordon BG', 'Gajl-Peczalska K', 'Gnarra DJ', 'Coccia PF']","['Department of Pathology and Microbiology, University of Nebraska Medical Center, Omaha 68105-1065.']",['eng'],,"['Case Reports', 'Journal Article']",England,Leuk Res,Leukemia research,7706787,"['0 (Antigens, CD)', '0 (Interleukin-2)']",IM,"['Adolescent', 'Antigens, CD/analysis', 'Bone Marrow/immunology/pathology', 'Cell Division/drug effects', 'Cytotoxicity, Immunologic', 'Humans', 'Immunity, Cellular', 'Interleukin-2/*pharmacology', 'Killer Cells, Natural/immunology/*pathology', 'Lymphocyte Activation/drug effects', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/immunology/*pathology']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']","['0145-2126(89)90086-6 [pii]', '10.1016/0145-2126(89)90086-6 [doi]']",ppublish,Leuk Res. 1989;13(9):735-43. doi: 10.1016/0145-2126(89)90086-6.,,,,,,,,,,,,
2796380,NLM,MEDLINE,19891121,20190824,0145-2126 (Print) 0145-2126 (Linking),13,9,1989,A simple method for short-term culturing bone marrow and unstimulated blood from acute leukemias.,729-34,"It has become routine practice to culture bone marrow and/or unstimulated peripheral blood for cytogenetic analysis due to associations of consistent chromosomal abnormalities within specific subgroups of leukemias. Unfortunately, two leukemias for which numerous chromosomal aberrations have been recorded, acute myelogenous leukemia (AML) and acute lymphocytic leukemia (ALL), frequently present with very low cell counts often resulting in unsuccessful cultures. Furthermore, when cultures are successful, chromosomes are often contracted and metaphase spreads can be of poor quality. In the present investigation, by first treating blood or bone marrow from AML and ALL patients with ammonium chloride (1.5 mM) we were able to obtain chromosomal preparations often similar in quality to those obtained from normal stimulated blood cultures. With this improved culturing method it is also possible to generate high-quality chromosomes and DNA from the same sample.","['Macera, M J', 'Szabo, P', 'Verma, R S']","['Macera MJ', 'Szabo P', 'Verma RS']","['Division of Genetics, Long Island College Hospital Brooklyn, N. Y. 11201.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,['01Q9PC255D (Ammonium Chloride)'],IM,"['Ammonium Chloride/pharmacology', 'Bone Marrow/*pathology', 'Cells, Cultured', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*pathology', 'Mitotic Index', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*pathology']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']","['0145-2126(89)90085-4 [pii]', '10.1016/0145-2126(89)90085-4 [doi]']",ppublish,Leuk Res. 1989;13(9):729-34. doi: 10.1016/0145-2126(89)90085-4.,,,,,,,,,,,,
2796379,NLM,MEDLINE,19891121,20190824,0145-2126 (Print) 0145-2126 (Linking),13,9,1989,What is hybrid acute leukemia?,725-8,,"['Maitreyan, V', 'Gale, R P']","['Maitreyan V', 'Gale RP']","['Department of Medical Oncology, Cancer Institute, Madras, India.']",['eng'],['CA23175/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,,IM,"['Clone Cells', 'Hematopoiesis', 'Humans', 'Leukemia/*classification/pathology', 'Neoplastic Stem Cells/pathology']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']","['0145-2126(89)90084-2 [pii]', '10.1016/0145-2126(89)90084-2 [doi]']",ppublish,Leuk Res. 1989;13(9):725-8. doi: 10.1016/0145-2126(89)90084-2.,,,,,,,,,,,,
2796377,NLM,MEDLINE,19891101,20190824,0145-2126 (Print) 0145-2126 (Linking),13,8,1989,Establishment and partial characterization of a radiation-induced canine monocytic leukemic cell line (RK9ML-1).,709-14,"A myeloid leukemic cell line, designated RK9ML-1, was established from a dog with acute radiation-induced monocytic leukemia. Based on cytochemical stains which reacted positively only with nonspecific esterase, morphological and ultrastructural characteristics which indicated the presence of phagocytic vacuoles and lysosomal bodies, and cell surface properties which indicated the presence of Fc receptors, all the findings support that RK9ML-1 is of monocytic lineage. Chromosomal analysis of the cell line indicated the cells to be hypodiploid with acrocentric autosomes characteristic of canine cells.","['Kawakami, T', 'Cain, G', 'Taylor, N']","['Kawakami T', 'Cain G', 'Taylor N']","['University of California, Davis Laboratory for Energy-Related Research 95616.']",['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",England,Leuk Res,Leukemia research,7706787,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)']",IM,"['Animals', 'Antigens, Neoplasm/analysis', 'Antigens, Surface/analysis', 'Cell Division', 'Cell Line', 'Culture Techniques/methods', 'Dogs', 'Karyotyping', 'Leukemia, Experimental/genetics/*pathology', 'Leukemia, Myeloid/genetics/*pathology', 'Leukemia, Radiation-Induced/genetics/*pathology']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1016/0145-2126(89)90060-x [doi]'],ppublish,Leuk Res. 1989;13(8):709-14. doi: 10.1016/0145-2126(89)90060-x.,,,,,,,,,,,,
2796376,NLM,MEDLINE,19891101,20190824,0145-2126 (Print) 0145-2126 (Linking),13,8,1989,Hemoglobin induction by Ara-C in human erythroleukemic cells (K562) is cell-cycle dependent.,683-8,"This study was undertaken to answer the question of whether chemical induction of hemoglobin in the human erythroleukemic line K562 is cell-cycle dependent. Cells were synchronized with respect to the cell cycle by manipulation of culture conditions. S phase was detected microscopically by immunofluorescent staining. Hemin and arabinofuranosylcytosine (Ara-C) were used to induce hemoglobin synthesis in K562 cells. The action of hemin causes induction without specificity in regard to cell cycle phase, while Ara-C is dependent upon cell cycle phase, with cells within late G1 and early S phases being sensitive to the effect of the agent. These studies also confirm the results that the action of hemin is reversible but the induction caused by Ara-C is irreversible. The synergistic effects of these two inducing agents resulted in a sharper rise in the percentage of induced cells.","['Wanda, P E', 'Walker, M M']","['Wanda PE', 'Walker MM']","['Department of Biological Sciences, Southern Illinois University, Edwardsville 62026-1651.']",['eng'],['R15-A123103-01/PHS HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,"['0 (Hemoglobins)', '04079A1RDZ (Cytarabine)', '42VZT0U6YR (Heme)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Cell Cycle/*drug effects', 'Cell Line', 'Cytarabine/*pharmacology', 'Heme/pharmacology', 'Hemoglobins/*biosynthesis', 'Humans', 'Hydroxyurea/pharmacology', 'Interphase/drug effects', 'Kinetics', 'Leukemia, Erythroblastic, Acute/*metabolism/pathology']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1016/0145-2126(89)90057-x [doi]'],ppublish,Leuk Res. 1989;13(8):683-8. doi: 10.1016/0145-2126(89)90057-x.,,,,,,,,,,,,
2796260,NLM,MEDLINE,19891103,20080408,0023-2513 (Print) 0023-2513 (Linking),35,2,1989 Apr,Ribosomal RNA gene (rDNA) distribution in human leukemia cells by in situ hybridization on chromosome.,107-19,"By in situ hybridization on chromosome, phytohemagglutinin (PHA)-stimulated lymphocytes obtained from normal individuals showed slight polymorphism in terms of distribution of rDNA among Nucleolar Organizer Region (NOR) chromosomes probably due to racial differences, although their interindividual distinct polymorphism had been reported in the U.S.A. Three chronic and one acute myelogenous leukemias (CML and AML) and one chronic monocytic leukemia (CMoL) were also analysed for the distribution of rDNA among NORs. The distribution patterns in leukemia cells were found to be significantly different from those in the cells of normal individuals. Although genetic alteration of normal leukocytes was not disregarded, the changes of rDNA distribution in leukemia cells are demonstrated in this study. The Ph1 chromosome in CML carried a greater amount of rDNA. The rDNA distribution in Ph1-negative cells obtained from patients showed almost the same pattern as that of Ph1-positive cells. In AML, the t(8;21) carried a smaller amount of rDNA. Trisomic chromosome 21 in CMoL carried extra rDNA copies on its NOR. Based on these data, leukemia cells seem to show variability of rDNA distribution especially on marker chromosomes, contrary to the non-polymorphic patterns of normal lymphocytes. Thus a strong relationship between marker formation and abnormal distribution of rDNA could be suggested.","['Maeda, S', 'Chen, H L', 'Takashashi, R', 'Yabe-Nagasaka, M', 'Murao, S', 'Sugiyama, T']","['Maeda S', 'Chen HL', 'Takashashi R', 'Yabe-Nagasaka M', 'Murao S', 'Sugiyama T']",,['eng'],,['Journal Article'],Japan,Kobe J Med Sci,The Kobe journal of medical sciences,0413531,"['0 (DNA, Ribosomal)', '0 (Genetic Markers)']",IM,"['Chromosomes, Human', 'DNA, Ribosomal/*genetics', 'Genetic Markers', 'Humans', 'Leukemia/*genetics', 'Nucleic Acid Hybridization', 'Nucleolus Organizer Region/metabolism']",,1989/04/01 00:00,1989/04/01 00:01,['1989/04/01 00:00'],"['1989/04/01 00:00 [pubmed]', '1989/04/01 00:01 [medline]', '1989/04/01 00:00 [entrez]']",,ppublish,Kobe J Med Sci. 1989 Apr;35(2):107-19.,,,,,,,,,,,,
2796252,NLM,MEDLINE,19891122,20190711,0023-2173 (Print) 0023-2173 (Linking),67,16,1989 Aug 17,Budd-Chiari syndrome and thrombosis of other abdominal vessels in the chronic myeloproliferative diseases.,818-25,"Of 501 patients with chronic myeloproliferative diseases (c-MPD) 18 developed thrombosis of major abdominal vessels including 6 with hepatic vein thrombosis (Budd-Chiari syndrome). The complication was seen in 14 of 140 (10%) patients with polycythemia vera (PV), 3 of 23 (13%) patients with essential thrombocythemia (ET), 1 of 106 (1%) patients with idiopathic myelofibrosis (IMF), and none of 232 patients with chronic myelogenous leukemia (CML). Leading symptoms and signs were abdominal pain, progressive splenomegaly, widening abdominal girth, ascites, venous collaterals, and nausea and vomiting. The diagnostic modalities with highest specificity were angiography and explorative laparotomy. A causal relationship between the thrombotic event and hematocrit, thrombocyte count, or hemostatic abnormalities at the time of diagnosis could not be established. Detailed laboratory tests of platelet function and coagulation and fibrinolytic parameters of 5 surviving patients did not show any specific defect. Despite medical and surgical intervention, 39% of the patients died within 2 months after diagnosis of the thrombosis. The majority of the survivors developed further complications like liver cirrhosis with portal hypertension and esophageal varices or the short bowel syndrome after extensive bowel resection for mesenterial infarction.","['Anger, B R', 'Seifried, E', 'Scheppach, J', 'Heimpel, H']","['Anger BR', 'Seifried E', 'Scheppach J', 'Heimpel H']","['Abteilung Innere Medizin III, Klinikum der Universitat Ulm.']",['eng'],,['Journal Article'],Germany,Klin Wochenschr,Klinische Wochenschrift,2985205R,,IM,"['Blood Coagulation Tests', 'Budd-Chiari Syndrome/*diagnosis', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications', 'Mesenteric Vascular Occlusion/diagnosis', 'Mesenteric Veins', 'Myeloproliferative Disorders/*complications', 'Polycythemia Vera/complications', 'Primary Myelofibrosis/complications', 'Risk Factors', 'Thrombocythemia, Essential/complications', 'Thrombosis/*diagnosis']",,1989/08/17 00:00,1989/08/17 00:01,['1989/08/17 00:00'],"['1989/08/17 00:00 [pubmed]', '1989/08/17 00:01 [medline]', '1989/08/17 00:00 [entrez]']",['10.1007/BF01725198 [doi]'],ppublish,Klin Wochenschr. 1989 Aug 17;67(16):818-25. doi: 10.1007/BF01725198.,,,,,,,,,,,,
2795904,NLM,MEDLINE,19891109,20131121,0485-1439 (Print) 0485-1439 (Linking),30,6,1989 Jun,"[Multiple myeloma following chronic neutrophilia terminated with acute monocytic leukemia (AML, M 5 b)].",910-4,"A case of a 70 years old female who developed multiple myeloma during a course of neutrophilia, and later on terminated with acute monocytic leukemia (AML, M 5 b) following Melphalan therapy for five years is reported. This patient was first found to have neutrophilia in 1966, After six years, she developed monoclonal gammopathy, (IgG1 kappa type) which coexisted with the neutrophilia. She was put on Melphalan regimen for 5 years which was discontinued due to anemia, leukocytopenia and the reduction of serum IgG. By routine bone marrow examination, she was diagnosed as AMoL (AML, M 5 b) in July 1984. Thereafter, a combination chemotherapy of BH-AC, 6-MP and prednisolone was started and complete remission for the AMoL was achieved after 2 months. Sixteen months later, she relapsed and a similar combination chemotherapy for reinduction regimen was administered. However, the AMoL was resistant and after 7 months, she died of pneumonia and multiple organ failure. The association of neutrophilia with multiple myeloma, the occurrence of AMoL after prolonged Melphalan therapy for the multiple myeloma and the strategy of therapy for secondary leukemia is discussed.","['Abe, K', 'Imamura, N', 'Mtasiwa, D M', 'Inada, T', 'Fujimura, K', 'Kuramoto, A']","['Abe K', 'Imamura N', 'Mtasiwa DM', 'Inada T', 'Fujimura K', 'Kuramoto A']",,['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,['Q41OR9510P (Melphalan)'],IM,"['Aged', 'Chronic Disease', 'Female', 'Humans', 'Leukemia, Monocytic, Acute/chemically induced/*pathology', 'Leukocytosis/*complications', 'Melphalan/adverse effects', 'Multiple Myeloma/drug therapy/*pathology', 'Neutrophils']",,1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1989 Jun;30(6):910-4.,,,,,,,,,,,,
2795903,NLM,MEDLINE,19891109,20081121,0485-1439 (Print) 0485-1439 (Linking),30,6,1989 Jun,[Allogeneic bone marrow transplantation as primary treatment in acute myelofibrosis].,904-9,"A 20-year-old man with acute myelofibrosis received ablative chemotherapy consisting of busulfan, Ara-C and cyclophosphamide followed by bone marrow transplantation from his histocompatible sister. There was a prompt engraftment with a rising WBC and platelet count and with donor karyotype in specimen of marrow. A bone marrow examination on day 29 showed a prominent decrease in marrow fibrosis. However, fibrosis was again exacerbated with leukemic relapse as overt acute megakaryoblastic leukemia on day 110, The patient died on day 126. Marrow fibrosis was found to be reversible by ablation of malignant cells and repopulation of normal hemopoietic cells after bone marrow transplantation.","['Maruta, A', 'Matsuzaki, M', 'Kanamori, H', 'Fukawa, H', 'Kodama, F', 'Kobayashi, S', 'Seki, K', 'Yamaguchi, M', 'Murata, T', 'Hashimoto, Y']","['Maruta A', 'Matsuzaki M', 'Kanamori H', 'Fukawa H', 'Kodama F', 'Kobayashi S', 'Seki K', 'Yamaguchi M', 'Murata T', 'Hashimoto Y', 'et al.']",,['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Acute Disease', 'Adult', '*Bone Marrow Transplantation', 'Combined Modality Therapy', 'Humans', 'Leukemia, Megakaryoblastic, Acute/pathology', 'Male', 'Primary Myelofibrosis/drug therapy/pathology/*surgery', 'Remission Induction', 'Transplantation, Homologous']",,1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1989 Jun;30(6):904-9.,,,,,,,,,,,,
2795902,NLM,MEDLINE,19891109,20151119,0485-1439 (Print) 0485-1439 (Linking),30,6,1989 Jun,[Megakaryoblastic crisis of chronic myelogenous leukemia cytological and clinical studies in three cases].,898-903,"Diagnostic significance of the megakaryocyte markers and clinical findings were evaluated in three cases with chronic myelogenous leukemia in megakaryoblastic crisis. Platelet peroxidase (PPO), glycoprotein IIb/IIIa, Ib, von Willebrand factor antigen (vWF: Ag) and demarcation membrane system (DMS) were examined as the megakaryocyte markers. Blast phenotypes were as follows: PPO- IIb/IIIa+ vWF: Ag+ DMS+ in Case 1, PPO+ IIb/IIIa +/- Ib- vWF: Ag +/- in Case 2 and PPO+ IIb/IIIa+ vWF: Ag +/- DMS +/- in Case 3 (-: 0% +/-: less than 10% +: greater than or equal to 10%). In Cases 1 and 3, no markers other than those for the megakaryocyte lineage were detected, but myeloperoxidase-positive blasts coexisted with PPO-positive megakaryoblasts in Case 2. Megakaryoblast phenotypes and involvement of other lineages were much different in each case. Therefore, marker study for cytological diagnosis should be performed in consideration of lineage heterogeneity. As to the clinical findings, no clear features common to the three cases were present. However, multiple osteolytic lesions were demonstrated on bone survey in Case 1 and considered to be caused by the proliferation of megakaryoblasts.","['Ikegami, T', 'Hasegawa, Y', 'Hanada, T', 'Nakazawa, M', 'Abe, T']","['Ikegami T', 'Hasegawa Y', 'Hanada T', 'Nakazawa M', 'Abe T']",,['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Biomarkers, Tumor)']",IM,"['Adolescent', 'Adult', 'Biomarkers, Tumor/analysis', 'Blast Crisis/*pathology', 'Female', 'Humans', 'Leukemia, Megakaryoblastic, Acute/*pathology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*pathology', 'Male', 'Megakaryocytes/analysis', 'Middle Aged']",,1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1989 Jun;30(6):898-903.,,,,,,,,,,,,
2795901,NLM,MEDLINE,19891109,20061115,0485-1439 (Print) 0485-1439 (Linking),30,6,1989 Jun,[Hairy cell leukemia of European-American type with dual T and B-cell phenotype].,892-7,"A 46-year-old woman was admitted because of palpitation and conjunctival jaundice. Physical examination revealed hepatosplenomegaly and purpura without lymphadenopathy. Blood count showed 4.7 g/dl hemoglobin with increased reticulocytosis. The platelet count was 1.5 X 10(4)/microliters and the leukocyte count was 6,000/microliters with 17% abnormal mononuclear cells (hairy cells). Hairy cells had nuclei of frequently folded shape and abundant cytoplasma with irregular edges on blood films. The hair-like cytoplasmic projections of the cells were clearly seen under the phase-contrast microscopy. Hairy cells were strongly positive for tartrate resistant acid phosphatase. Bone marrow aspiration was unsuccessful. The biopsy specimens showed small patchy and scattering infiltrations by hairy cells. Surface marker studies of hairy cells revealed that they were strongly positive for SmIg (IgG kappa). They also reacted with alpha B 1, alpha Tac, alpha Leu-M 5 monoclonal antibodies and a rabbit anti-hairy cell serum (alpha HC-M). 53% of hairy cells were shown to react with alpha B 1 and alpha OKT 11 simultaneously by double labelling. The southern blot analysis of peripheral blood mononuclear cells showed IgH chain genes rearrangement and germ line patterns of T-cell receptor genes. Hemolysis was promptly disappeared after blood transfusion. Moreover, the red blood cells, platelets and leukocytes have spontaneously returned to normal levels with disappearance of circulating hairy cells and palpable spleen one year after admission.","['Kurosawa, M', 'Maekawa, I', 'Kawamura, T', 'Miyake, T', 'Machii, T', 'Kitani, T', 'Tokumine, Y', 'Kawa, K']","['Kurosawa M', 'Maekawa I', 'Kawamura T', 'Miyake T', 'Machii T', 'Kitani T', 'Tokumine Y', 'Kawa K']",,['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['B-Lymphocytes', 'Female', 'Humans', 'Leukemia, Hairy Cell/*blood/pathology', 'Middle Aged', 'Phenotype', 'T-Lymphocytes']",,1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1989 Jun;30(6):892-7.,,,,,,,,,,,,
2795899,NLM,MEDLINE,19891109,20061115,0485-1439 (Print) 0485-1439 (Linking),30,6,1989 Jun,[Double minute chromosomes (DMs) in a case of acute myelomonocytic leukemia].,882-6,"A 71-year old male was admitted to our hospital because of general malaise and fever. Peripheral blood showed Hb 8.1 g/dl, platelet 7.0 X 10(4)/microliters, and WBC 18.100/microliters with 64% leukemic cells. Bone marrow showed normocellularity with 73.4% leukemic cells. They were positive for peroxidase and alpha-naphthyl butyrate esterase stainings. Serum and urine lysozyme levels were elevated. He was diagnosed as having acute myelomonocytic leukemia (M 4 in FAB classification). Chromosome analysis of bone marrow cells showed 45, XY, -17, t (9; 17) (q22; p13) and double minute chromosomes (DMs) were observed in the 50 cells analyzed. A complete remission (CR) was obtained by DCMP regimen, but he relapsed as acute monocytic leukemia (M 5 b in FAB classification) and died 5 months after diagnosis. DMs appear to be rare in acute leukemia and the clinical and etiologic implications of DMs are discussed.","['Takesako, T', 'Murakami, S', 'Haruyama, H', 'Oku, N', 'Takeda, N', 'Itoh, K', 'Fujita, N', 'Nakanish, S', 'Shimazaki, C', 'Isemura, T']","['Takesako T', 'Murakami S', 'Haruyama H', 'Oku N', 'Takeda N', 'Itoh K', 'Fujita N', 'Nakanish S', 'Shimazaki C', 'Isemura T', 'et al.']",,['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Aged', '*Chromosome Aberrations', 'Chromosome Banding', 'Humans', 'Karyotyping', 'Leukemia, Myelomonocytic, Acute/*genetics', 'Male']",,1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1989 Jun;30(6):882-6.,,,,,,,,,,,,
2795898,NLM,MEDLINE,19891109,20171116,0485-1439 (Print) 0485-1439 (Linking),30,6,1989 Jun,[Successful treatment by a drainage of subdural hematoma in a case of intracranial hemorrhage due to DIC complicated with acute promyelocytic leukemia].,874-7,"A 24 year-old female was admitted because of hypermenorrhea and petechiae. The peripheral blood tests on admission were consistent with acute promyelocytic leukemia complicated with DIC. BHAC-DMP therapy was started along with platelet transfusions and heparin administration. On the day 9 of admission, on the contrary to the improvement of hematological data, the patient suffered from severe headache and nausea. The neurological examination revealed anisocoria. Right side chronic subdural hematoma was a diagnosis made by emergency CT scan and was treated with drainage of the hematoma. Post-operatively, the patient did well, and achieved complete remission on the day 43 of admission. Since intracranial hemorrhages due to DIC complicated with leukemia are often fatal, those patients are usually treated conservatively. However, as shown in this case report, some cases might have an indication for the neurosurgical operation. It is important to check conditions carefully whether the patient has an indication for the operation.","['Nakagawa, T', 'Imoto, S', 'Ito, M', 'Taomoto, K', 'Yamada, H', 'Saito, S', 'Okamura, A']","['Nakagawa T', 'Imoto S', 'Ito M', 'Taomoto K', 'Yamada H', 'Saito S', 'Okamura A']",,['jpn'],,"['Case Reports', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['04079A1RDZ (Cytarabine)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'ZS7284E0ZP (Daunorubicin)', 'BH-AC-DMP protocol']",IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Cerebral Hemorrhage/*etiology', 'Cytarabine/administration & dosage/analogs & derivatives', 'Daunorubicin/administration & dosage', 'Disseminated Intravascular Coagulation/*complications', 'Drainage', 'Female', 'Hematoma, Subdural/etiology/*surgery', 'Humans', 'Leukemia, Promyelocytic, Acute/*complications/drug therapy', 'Mercaptopurine/administration & dosage', 'Prednisolone/administration & dosage', 'Remission Induction']",,1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1989 Jun;30(6):874-7.,,,,,,,,,,,,
