PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GR,RF,SI,TT,EIN,OID,OAB,OABL,OTO,OT,GN,CN,AD,CIN
3105761,NLM,MEDLINE,19870612,20190501,0267-0623 (Print) 0267-0623 (Linking),294,6575,1987 Mar 28,Childhood leukemia and nuclear establishments.,835-6,,,,['eng'],['Letter'],England,Br Med J (Clin Res Ed),British medical journal (Clinical research ed.),8302911,,IM,"['Child', 'Child, Preschool', 'Humans', 'Infant', 'Leukemia/*etiology', '*Nuclear Reactors', 'United Kingdom']",1987/03/28 00:00,1987/03/28 00:01,['1987/03/28 00:00'],"['1987/03/28 00:00 [pubmed]', '1987/03/28 00:01 [medline]', '1987/03/28 00:00 [entrez]']",['10.1136/bmj.294.6575.835 [doi]'],ppublish,Br Med J (Clin Res Ed). 1987 Mar 28;294(6575):835-6. doi: 10.1136/bmj.294.6575.835.,PMC1245880,,,,,,,,,,,,,,
3105625,NLM,MEDLINE,19870605,20210216,0006-4971 (Print) 0006-4971 (Linking),69,5,1987 May,"Expression of c-fos, c-myb, and c-myc in human monocytes: correlation with monocytic differentiation.",1542-5,"Terminal differentiation of human monocytic leukemia cells (THP-1 cells) was associated with the induction of c-fos, the down regulation of c-myb, and no significant change in the level of c-myc expression. Gamma interferon, which resulted in a slight decrease in c-myb but no change in c-fos or c-myc expression, had a transient antiproliferative effect without a morphological or functional differentiation of THP-1 cells. Resting human peripheral blood monocytes have a high c-fos, a low c-myc, and no detectable c-myb expression. These findings suggest that a switch in c-fos/c-myb expression is associated with the terminal differentiation of cells of the monocytic lineage.","['Lee, J', 'Mehta, K', 'Blick, M B', 'Gutterman, J U', 'Lopez-Berestein, G']","['Lee J', 'Mehta K', 'Blick MB', 'Gutterman JU', 'Lopez-Berestein G']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['5688UTC01R (Tretinoin)', '82115-62-6 (Interferon-gamma)', '9004-70-0 (Collodion)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Cell Differentiation/*drug effects', 'Cell Line', 'Collodion', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Interferon-gamma/pharmacology', 'Macrophages/growth & development/physiology', 'Monocytes/*cytology/drug effects', 'Oncogenes/*drug effects', 'Proto-Oncogenes/*drug effects', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tretinoin/pharmacology']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",['S0006-4971(20)78613-1 [pii]'],ppublish,Blood. 1987 May;69(5):1542-5.,,"['5511-21/PHS HHS/United States', '5511-23/PHS HHS/United States']",,,,,,,,,,,,,
3105570,NLM,MEDLINE,19870617,20190515,0007-0920 (Print) 0007-0920 (Linking),55,3,1987 Mar,Cytotoxic effects of tumour necrosis factor and gamma-interferon on acute myeloid leukaemia blasts.,287-90,"We have studied the cytotoxic effects of recombinant tumour necrosis factor and recombinant gamma interferon on primary cultures of leukaemia cells. The agents were added alone or in a combination to cells from 17 patients. Eleven had acute myeloblastic leukaemia (6 at presentation, 5 at relapse), 4 had acute lymphoblastic leukaemia, one had hairy cell leukaemia, and 2 had chronic myeloid leukaemia--one of whom was in myeloid blast transformation. Cells from patients with lymphoid malignancies or from the patient with chronic phase CML were not affected by either agent in any dose combination. In contrast, reduction of viability of myeloid blasts was weakly accelerated by TNF and gamma-interferon individually. Combination of the agents invariably produced enhanced killing and additive or synergistic effects were seen when 20-500 IU ml-1 of each cytokine was present. This sensitivity was also shown by blast cells from 5 patients with relapsed AML. We therefore suggest that trials of such combination therapy may be indicated in drug resistant or relapsed AML.","['Price, G', 'Brenner, M K', 'Prentice, H G', 'Hoffbrand, A V', 'Newland, A C']","['Price G', 'Brenner MK', 'Prentice HG', 'Hoffbrand AV', 'Newland AC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,"['0 (Cytotoxins)', '0 (Glycoproteins)', '0 (Growth Inhibitors)', '0 (Tumor Necrosis Factor-alpha)', '82115-62-6 (Interferon-gamma)']",IM,"['Cell Survival/drug effects', 'Cytotoxins/*therapeutic use', 'Dose-Response Relationship, Drug', 'Glycoproteins/*therapeutic use', 'Growth Inhibitors/*therapeutic use', 'Humans', 'In Vitro Techniques', 'Interferon-gamma/*therapeutic use', 'Leukemia, Myeloid, Acute/*drug therapy/pathology', 'Time Factors', 'Tumor Necrosis Factor-alpha']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",['10.1038/bjc.1987.55 [doi]'],ppublish,Br J Cancer. 1987 Mar;55(3):287-90. doi: 10.1038/bjc.1987.55.,PMC2001744,,,,,,,,,,,,,,
3105526,NLM,MEDLINE,19870506,20190501,0264-6021 (Print) 0264-6021 (Linking),241,1,1987 Jan 1,Decarboxylation of alpha-difluoromethylornithine by ornithine decarboxylase.,305-7,"The mechanism of inactivation of rodent ornithine decarboxylase by alpha-difluoromethylornithine (DFMO) was studied using the inhibitor labelled with 14C in both the 1 and the 5 positions. [1-14C]DFMO was a substrate and was decarboxylated by the enzyme yielding 14CO2. A radioactive metabolite derived from [5-14C]DFMO was bound to the enzyme, and the extent of binding paralleled the irreversible inactivation of ornithine decarboxylase. The partition ratio of decarboxylation to binding was approx. 3.3. These results provide support for the postulated mechanism of action of DFMO [Metcalf, Bey, Danzin, Jung, Casera & Vevert (1978) J. Am. Chem. Soc. 100, 2551-2553], in which enzymic decarboxylation of the inhibitor leads to the generation of a conjugated imine, which then alkylates a nucleophilic residue on the enzyme.","['Pegg, A E', 'McGovern, K A', 'Wiest, L']","['Pegg AE', 'McGovern KA', 'Wiest L']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem J,The Biochemical journal,2984726R,"['EC 4.1.1.17 (Ornithine Decarboxylase)', 'ZQN1G5V6SR (Eflornithine)']",IM,"['Animals', 'Decarboxylation', 'Eflornithine/*metabolism', 'Kidney/enzymology', 'Leukemia L1210/enzymology', 'Liver/enzymology', 'Mice', 'Ornithine Decarboxylase/*metabolism', 'Rats']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['10.1042/bj2410305 [doi]'],ppublish,Biochem J. 1987 Jan 1;241(1):305-7. doi: 10.1042/bj2410305.,PMC1147558,['CA18138/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,
3105461,NLM,MEDLINE,19870427,20171116,0385-0684 (Print) 0385-0684 (Linking),14,3 Pt 2,1987 Mar,[Studies on the new antibiotic kazusamycin and related substances].,858-64,"Kazusamycins A and B and leptomycin B have a structure characteristic of an unsaturated, branched-chain fatty acid with a terminal delta-lactone ring, and show antibacterial activity on some kinds of fungi. Kazusamycin A (KZM-A) showed cytotoxic activity on mammalian cells at very low concentrations (ng/ml) in vitro. The antibiotic inhibited not only the growth of transplantable murine tumors and their metastases to the lung but also human mammary tumors inoculated into nude mice. KZM-A became immediately distributed to the main organs of mice, and a certain quantity of the antibiotic was inactivated by binding to high-molecular-weight substances such as albumin. A large quantity of KZM-A was carried to the liver and excreted into the bile, but was then reabsorbed by the small intestine. The growth of tumor metastases (L5178Y cells) in the liver was suppressed by KZM-A. The antibiotic induced severe diarrhea by causing necrosis and/or lysis of the mucous membrane of the small intestine. In contrast to this, the degree of myelotoxicity was relatively slight. The active site of the fatty acid of KZM-A appeared to consist of conjugated double bonds, carboxylic acid and hydroxyl moieties.","['Umezawa, I', 'Komiyama, K']","['Umezawa I', 'Komiyama K']",['jpn'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Antibiotics, Antineoplastic)', '0 (Fatty Acids, Unsaturated)', '107140-30-7 (PD 124895)', '9F2Y3169IP (kazusamycin A)', 'Y031I2N1EO (leptomycin B)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*pharmacology', 'Cells, Cultured', 'Fatty Acids, Unsaturated/metabolism/pharmacology', 'Kinetics', 'Leukemia P388/drug therapy', 'Mammary Neoplasms, Experimental/drug therapy', 'Mice', 'Mice, Nude', 'Neoplasm Transplantation', 'Neoplasms, Experimental/*drug therapy/metabolism/pathology']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1987 Mar;14(3 Pt 2):858-64.,,,,,,,,,,,,,,,
3105379,NLM,MEDLINE,19870520,20190619,0003-4819 (Print) 0003-4819 (Linking),106,5,1987 May,Soluble interleukin-2 receptors in B-cell leukemia and the acquired immunodeficiency syndrome.,774,,"['Medina-Ibarrondo, C', 'Lahuerta-Palacios, J J', 'Lahuerta-Palacios, M']","['Medina-Ibarrondo C', 'Lahuerta-Palacios JJ', 'Lahuerta-Palacios M']",['eng'],['Letter'],United States,Ann Intern Med,Annals of internal medicine,0372351,"['0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-2)']",IM,"['Acquired Immunodeficiency Syndrome/*blood', 'Adult', 'Aged', 'B-Lymphocytes/*metabolism', 'Humans', 'Leukemia, Lymphoid/*blood', 'Middle Aged', 'Receptors, Immunologic/*metabolism', 'Receptors, Interleukin-2']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",['10.7326/0003-4819-106-5-774 [doi]'],ppublish,Ann Intern Med. 1987 May;106(5):774. doi: 10.7326/0003-4819-106-5-774.,,,,,,,,,,,,,,,
3105322,NLM,MEDLINE,19870513,20181113,0002-9440 (Print) 0002-9440 (Linking),127,1,1987 Apr,"Distribution of lymphocytes with interleukin-2 receptors (TAC antigens) in reactive lymphoproliferative processes, Hodgkin's disease, and non-Hodgkin's lymphomas. An immunohistologic study of 300 cases.",27-37,"The authors investigated the distribution of interleukin-2 receptors (TAC antigen) in the lymph nodes of 300 patients with lymphoproliferative disorders. They used fresh-frozen sections to evaluate a possible correlation between the immunophenotype of specific lymphoid disorders and the presence or absence of TAC expression and to determine whether the TAC positivity of lymphoid cells contributes to the characterization of lymphoproliferative processes. All of the cases had previously been studied with a large screening panel of monoclonal antibodies and polyclonal antisera. Among 85 patients with a variety of benign reactive processes, the lymph nodes from 47 contained TAC-bearing lymphocytes in various patterns of distribution. Of 41 patients with Hodgkin's disease, 37 had TAC-bearing lymphocytes. Of 26 B-cell, well-differentiated lymphocytic lymphomas (WDL), 14 were diffusely TAC-positive and one had TAC-bearing cells in random distribution. Six cases of intermediate lymphocytic lymphoma were also studied, and three showed randomly distributed TAC-bearing lymphocytes. Of 19 patients with follicular or follicular and diffuse, poorly differentiated lymphocytic (PDL) lymphoma, 14 were TAC-positive. All 3 diffuse PDL lymphomas studied were TAC-negative. Among 23 cases of B-cell and 5 cases of T-cell mixed cell lymphoma, 15 and three, respectively, had TAC-positive lymphocytes. Of 39 large cell lymphomas (B-cell, 33; T-cell, 6), 14 were TAC-positive. All 13 cases of hairy cell leukemia were diffusely positive. Of 23 T-lymphoblastic lymphomas, only 1 showed positive TAC reactivity, which was focal. Of 5 cases of cutaneous T-cell lymphoma, 2 had TAC-bearing lymphocytes. Our study indicates that the TAC antigen is not lineage-specific, and that it may be expressed by lymphoid cells regardless of their phenotype.","['Sheibani, K', 'Winberg, C D', 'van de Velde, S', 'Blayney, D W', 'Rappaport, H']","['Sheibani K', 'Winberg CD', 'van de Velde S', 'Blayney DW', 'Rappaport H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Pathol,The American journal of pathology,0370502,"['0 (Interleukin-2)', '0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-2)']",IM,"['B-Lymphocytes/immunology/metabolism', 'Cell Differentiation', 'Cell Division', 'Hodgkin Disease/immunology/*pathology', 'Humans', 'Interleukin-2/*metabolism', 'Leprosy/immunology/pathology', 'Leukemia, Hairy Cell/immunology/pathology', 'Lymph Nodes/pathology', 'Lymphocytes/*metabolism/pathology', 'Lymphoma, Non-Hodgkin/immunology/*pathology', 'Lymphoproliferative Disorders/immunology/*pathology', 'Mycosis Fungoides/immunology/pathology', 'Receptors, Immunologic/*metabolism', 'Receptors, Interleukin-2', 'Skin/pathology', 'Spleen/pathology', 'T-Lymphocytes/immunology/metabolism']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",,ppublish,Am J Pathol. 1987 Apr;127(1):27-37.,PMC1899594,"['CA-09308/CA/NCI NIH HHS/United States', 'CA-26422/CA/NCI NIH HHS/United States', 'CA-33572/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,
3105309,NLM,MEDLINE,19870521,20190626,0002-9343 (Print) 0002-9343 (Linking),82,4,1987 Apr,Immunoglobulin gene rearrangements in adult non-Hodgkin's lymphoma.,738-44,"Southern blotting was employed to analyze the immunoglobulin heavy and light chain genes and the gene for the T cell receptor beta chain in genomic DNA derived from the tumor specimens of 120 adults with pathologically classified and immunotyped non-Hodgkin's lymphoma and B cell chronic lymphocytic leukemia. In a consecutive series of 100 patients, one or two rearranged heavy chain genes could be detected in each of the 80 samples expressing clonal surface immunoglobulin. The kappa gene was rearranged in 70 percent of kappa-bearing tumors and in 23 percent of lambda-bearing specimens. Furthermore, a rearranged immunoglobulin gene was also observed in 21 of 29 lymphomas (nine from the consecutive series and 20 selected for surface immunoglobulin-negative status) in which B cell lineage was in doubt because of absent clonal surface immunoglobulin. These findings indicate that most cases of lymphoma and lymphocytic leukemia in adults are of B cell lineage, even when phenotypic evidence is inconclusive. The exceptional cases (only 3 percent in the consecutive series) were of either follicular lymphoma or diffuse large cell (histiocytic) lymphoma subtype; the lineage in cases of diffuse lymphocytic lymphoma or chronic lymphocytic leukemia was never in doubt. Although the convenience of surface marker analysis assures its continuing clinical application, gene study resolves indeterminate cases and extends the understanding of the pathogenesis of lymphoproliferative disease.","['Aisenberg, A C', 'Wilkes, B M', 'Jacobson, J O', 'Harris, N L']","['Aisenberg AC', 'Wilkes BM', 'Jacobson JO', 'Harris NL']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Med,The American journal of medicine,0267200,"['0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Light Chains)', '0 (Immunoglobulins)', '0 (Receptors, Immunologic)']",IM,"['Adult', 'Humans', 'Immunoglobulin Heavy Chains/genetics', 'Immunoglobulin Light Chains/genetics', 'Immunoglobulins/*genetics', 'Lymphoma, Non-Hodgkin/*genetics/immunology', 'Receptors, Immunologic/genetics', 'T-Lymphocytes/immunology']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']","['0002-9343(87)90009-X [pii]', '10.1016/0002-9343(87)90009-x [doi]']",ppublish,Am J Med. 1987 Apr;82(4):738-44. doi: 10.1016/0002-9343(87)90009-x.,,['CA-30020-05/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,
3105210,NLM,MEDLINE,19870512,20110728,0001-5806 (Print) 0001-5806 (Linking),49,8,1986 Dec,Colony assay in patients with multiple myeloma--relationship between colony growth and clinical stage.,1792-9,,"['Otsuka, T', 'Okamura, S', 'Niho, Y']","['Otsuka T', 'Okamura S', 'Niho Y']",['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,,IM,"['B-Lymphocytes/pathology', 'Cell Differentiation', '*Colony-Forming Units Assay', 'Humans', 'Leukemia, Lymphoid/pathology', 'Monoclonal Gammopathy of Undetermined Significance/pathology', 'Multiple Myeloma/*pathology', 'Neoplasm Staging', 'Precancerous Conditions/pathology', '*Tumor Stem Cell Assay', 'Waldenstrom Macroglobulinemia/pathology']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1986 Dec;49(8):1792-9.,,,,,,,,,,,,,,,
3105207,NLM,MEDLINE,19870512,20110728,0001-5806 (Print) 0001-5806 (Linking),49,8,1986 Dec,Molecular genetical examinations of multiple myeloma and other B-cell malignancies.,1729-39,,"['Kita, K', 'Miwa, H', 'Ohno, T', 'Shirakawa, S']","['Kita K', 'Miwa H', 'Ohno T', 'Shirakawa S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Light Chains)']",IM,"['*B-Lymphocytes', 'Humans', 'Immunoglobulin Heavy Chains/genetics', 'Immunoglobulin Light Chains/genetics', 'Leukemia, Lymphoid/genetics', 'Lymphoma, Non-Hodgkin/genetics', 'Monoclonal Gammopathy of Undetermined Significance/genetics', 'Multiple Myeloma/*genetics/immunology', 'Waldenstrom Macroglobulinemia/genetics']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1986 Dec;49(8):1729-39.,,,,,,,,,,,,,,,
3105049,NLM,MEDLINE,19870512,20211203,0036-5548 (Print) 0036-5548 (Linking),19,1,1987,"Strict protective isolation in allogenic bone marrow transplantation: effect on infectious complications, fever and graft versus host disease.",91-6,"Complete microbial decontamination (laminar air flow room, sterile nursing and oral administration of cefamandole, gentamicin and nystatin) was carried out in 65 consecutive patients prior to allogeneic BMT for leukaemia (n = 58) or aplastic anaemia (n = 7). Very few microorganisms persisted during the post-transplant treatment period, and the gut became sterile in all except for Candida in 11 patients. Six uncomplicated septicaemias, all with persistent organisms simultaneously present in the mouth (Pseudomonas 3, Serratia 1, Candida 2) occurred during a total of 1,360 days with granulocyte counts less than 0.5 X 10(9)/l. Post-transplant fever occurred in 52 patients, exceeding 40 degrees C in 25. Guided by the surveillance cultures only 46% of 43 unexplained febrile reactions were treated with systemic antimicrobials. Significant acute graft versus host disease (AGVHD) occurred in 14 (27%) of 52 patients receiving standard prophylaxis and HLA-matched grafts; immunosuppressive treatment was needed in 8 cases (16%). Thus, the additional costs of total microbial decontamination appear partially regained by a decreased morbidity and a reduced need for antimicrobial and immunosuppressive treatment, although neither fever nor AGVHD could be prevented.","['Skinhoj, P', 'Jacobsen, N', 'Hoiby, N', 'Faber, V']","['Skinhoj P', 'Jacobsen N', 'Hoiby N', 'Faber V']",['eng'],['Journal Article'],England,Scand J Infect Dis,Scandinavian journal of infectious diseases,0215333,"['0 (Gentamicins)', '1400-61-9 (Nystatin)', '5CKP8C2LLI (Cefamandole)']",IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Cefamandole/therapeutic use', 'Child', 'Child, Preschool', 'Environment, Controlled', 'Fever/prevention & control', 'Gentamicins/therapeutic use', 'Graft vs Host Disease/*prevention & control', 'Humans', 'Immunosuppression Therapy', '*Infection Control', 'Middle Aged', 'Nystatin/therapeutic use', '*Patient Isolation', 'Transplantation, Homologous']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['10.3109/00365548709032383 [doi]'],ppublish,Scand J Infect Dis. 1987;19(1):91-6. doi: 10.3109/00365548709032383.,,,,,,,,,,,,,,,
3105044,NLM,MEDLINE,19870511,20190818,0300-9475 (Print) 0300-9475 (Linking),25,3,1987 Mar,Induction of cytotoxic capacity by recombinant gamma interferon in human myelomonocytic leukaemia cell lines.,219-23,"We have investigated the ability of human recombinant gamma interferon (IFN-gamma) to induce functional differentiation in three human myelomonocytic cell lines U937, RC2A, and ML-2. Treatment with IFN-gamma induced natural killer (NK) cell like cytotoxicity against K-562 cells in ML-2 and RC2A but not in U937. U937 and RC2A displayed a spontaneous antibody-dependent cell-mediated cytotoxicity (ADCC), which against nucleated target cells was significantly increased in U937 but not in RC2A after treatment with IFN-gamma. ML-2 did not display ADCC against nucleated targets either before or after IFN-gamma treatment, but lysed efficiently antibody-coated erythrocytes. All three cell lines displayed enhanced ADCC against erythrocytes after IFN-gamma treatment. Spontaneous phagocytosis of erythrocytes was seen in U937, and this was enhanced by IFN-gamma treatment, while ML-2 and RC2A were phagocytically inactive before and after treatment with IFN-gamma. The differentiated functions induced by IFN-gamma treatment in this panel of phenotypically closely related cell lines offers an interesting model for further studies on the IFN-gamma regulated gene expression. Moreover, the increased cytolytic capacity after exposure to IFN-gamma might have implications on the use of IFN-gamma for treatment of myelomonocytic malignancies. In such cases, IFN-gamma might even increase the aggressiveness of the tumour.","['Kuosmanen, M', 'Sarelin, H', 'Andersson, L C']","['Kuosmanen M', 'Sarelin H', 'Andersson LC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Scand J Immunol,Scandinavian journal of immunology,0323767,"['0 (Receptors, Fc)', '0 (Recombinant Proteins)', '82115-62-6 (Interferon-gamma)']",IM,"['Antibody-Dependent Cell Cytotoxicity/*drug effects', 'Cell Differentiation/drug effects', 'Cell Line', 'Cytotoxicity, Immunologic/*drug effects', 'Erythrocytes/immunology', 'Humans', 'Interferon-gamma/*pharmacology', 'Leukemia, Myeloid/immunology/*pathology', 'Phagocytosis/drug effects', 'Receptors, Fc/physiology', 'Recombinant Proteins/*pharmacology', 'Rosette Formation']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",['10.1111/j.1365-3083.1987.tb01067.x [doi]'],ppublish,Scand J Immunol. 1987 Mar;25(3):219-23. doi: 10.1111/j.1365-3083.1987.tb01067.x.,,,,,,['Scand J Immunol 1987 Jun;25(6):645'],,,,,,,,,
3104931,NLM,MEDLINE,19870515,20191029,0262-1746 (Print) 0262-1746 (Linking),26,2,1987 Feb,Effects of 5-bromo-2'-deoxyuridine on arachidonic acid metabolism of neuroblastoma and leukemia cells in culture: a possible role of endogenous prostaglandins in tumor cell proliferation and differentiation.,157-69,"Effects of 5-bromo-2'-deoxyuridine (BrdU) were studied on two neuroblastoma and two leukemia cell lines, in terms of the relationship between prostaglandin (PG) synthesis and cell growth/differentiation. After treatment with BrdU (5 micrograms/ml), cell growth of the 4 cell lines was inhibited and one neuroblastoma cell line (GOTO) showed flattened morphology with positive S-100 protein, one of the differentiation markers for Schwann or glial cells. In the 4 cell lines, BrdU treatment reduced [1-(14)C]-arachidonic acid incorporation into phosphatidylinositol and phosphatidylethanolamine and was associated with an increase into phosphatidylcholine and triglyceride. BrdU treatment also increased fractions of 6-keto-PGF1 alpha and PGF2 alpha, with a decreased TXB2 fraction. The decreased ratio of TXB2/6-keto-PGF1 alpha or increased 6-keto-PGF1 alpha fraction correlated significantly with cell growth inhibition, suggesting that the changes in the balance of endogenous PGs might be associated with BrdU-induced cell growth inhibition with or without differentiation of neuro-blastoma and leukemia cells in culture.","['Tsunamoto, K', 'Todo, S', 'Imashuku, S']","['Tsunamoto K', 'Todo S', 'Imashuku S']",['eng'],['Journal Article'],Scotland,Prostaglandins Leukot Med,"Prostaglandins, leukotrienes, and medicine",8206868,"['0 (Arachidonic Acids)', '0 (Phospholipids)', '0 (Prostaglandins)', '0 (Triglycerides)', '27YG812J1I (Arachidonic Acid)', 'G34N38R2N1 (Bromodeoxyuridine)']",IM,"['Arachidonic Acid', 'Arachidonic Acids/metabolism', 'Bromodeoxyuridine/*pharmacology', 'Cell Differentiation', 'Cell Division', 'Cell Line', 'Humans', 'Leukemia/*metabolism/pathology', 'Neuroblastoma/*metabolism/pathology', 'Phospholipids/metabolism', 'Prostaglandins/*biosynthesis', 'Triglycerides/metabolism']",1987/02/01 00:00,1987/02/01 00:01,['1987/02/01 00:00'],"['1987/02/01 00:00 [pubmed]', '1987/02/01 00:01 [medline]', '1987/02/01 00:00 [entrez]']",['10.1016/0262-1746(87)90110-7 [doi]'],ppublish,Prostaglandins Leukot Med. 1987 Feb;26(2):157-69. doi: 10.1016/0262-1746(87)90110-7.,,,,,,,,,,,,,,,
3104912,NLM,MEDLINE,19870515,20190501,0027-8424 (Print) 0027-8424 (Linking),84,8,1987 Apr,Interferons regulate the in vitro differentiation of multilineage lympho-myeloid stem cells in hairy cell leukemia.,2307-11,"In vitro 14-day cultures of peripheral blood mononuclear cells from hairy cell leukemia patients consistently showed the presence of hematopoietic stem cells giving rise to multilineage colonies containing a high proportion of lymphoid cells associated with the myeloid and erythroid progenitors. These stem cells are not the hairy cells but appear to be pluripotent lymphomyeloid primitive stem cells persisting in this leukemia. Interferon alpha c or beta 1 did not inhibit the growth of these colonies, as they did the growth of colonies of normal hematopoietic progenitors, but markedly decreased the ratio of lymphoid to myelomonocytic cells, by increasing the formation of monocytes and other nonlymphoid cell types in these multilineage colonies. Interferon gamma did not have the same effects on differentiation.","['Michalevicz, R', 'Revel, M']","['Michalevicz R', 'Revel M']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Interferon Type I)', '0 (Recombinant Proteins)', '82115-62-6 (Interferon-gamma)']",IM,"['Aged', 'Cell Division/drug effects', 'Cells, Cultured', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Interferon Type I/*physiology', 'Interferon-gamma/*physiology', 'Leukemia, Hairy Cell/*blood', 'Leukocytes/*cytology', 'Lymphocytes/*cytology', 'Male', 'Middle Aged', 'Recombinant Proteins/*pharmacology']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",['10.1073/pnas.84.8.2307 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1987 Apr;84(8):2307-11. doi: 10.1073/pnas.84.8.2307.,PMC304639,,,,,,,,,,,,,,
