PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,PST,SO,CON,AID,CN,RF,TT,CI,EIN,GR,PMC,SI,DEP,LID,RIN,MID
11797658,NLM,MEDLINE,20020212,20190921,1040-8746 (Print) 1040-8746 (Linking),14,1,2002 Jan,Bibliography. Current world literature. Leukemia.,97-111,,,,,['eng'],['Bibliography'],United States,Curr Opin Oncol,Current opinion in oncology,9007265,['0 (Antineoplastic Agents)'],IM,,"['Antineoplastic Agents/therapeutic use', 'Humans', '*Leukemia/drug therapy/genetics']",2002/01/19 10:00,2002/02/13 10:01,['2002/01/19 10:00'],"['2002/01/19 10:00 [pubmed]', '2002/02/13 10:01 [medline]', '2002/01/19 10:00 [entrez]']",ppublish,Curr Opin Oncol. 2002 Jan;14(1):97-111. doi: 10.1097/00001622-200201000-00017.,,['10.1097/00001622-200201000-00017 [doi]'],,,,,,,,,,,,
11797395,NLM,MEDLINE,20020308,20131121,0047-1860 (Print) 0047-1860 (Linking),49,12,2001 Dec,[Hypermethylation of DAP-kinase gene CpG Island in malignant lymphoma with B-cell phenotype].,1242-7,"Death-associated protein-kinase(DAP-Kinase) is a pro-apoptotic serine/threonine kinase with a death domain, which is involved in apoptosis induced by interferon-gamma, tumor necrosis factor-alpha, and Fas ligand. Epigenetic down-regulation of DAP-Kinase gene expression by hypermethylation of its promoter region was reported in certain kinds of malignancies. Previous patho-epidemiological studies indicated that thyroid lymphoma(TL) evolves among active lymphoid cells in chronic lymphocytic thyroiditis(CLTH). With the use of methylation specific polymerase chain reaction, methylation status of DAP-Kinase CpG island was examined in thyroid lesions of 19 cases with TL and 9 with CLTH. Frequency of methylation was higher in TL cases(16 of 19, 84.2%) than in CLTH cases(2 of 9, 22.2%) (p < 0.01). DNA extracted from peripheral blood leukocytes from TL and CLTH cases never showed methylation, indicating that the methylation occurred somatically in lesional lymphocytes in the thyroid. We also examined the methylation status of DAP-kinase gene in 16 cases of T-cell malignancies including eight adult T-cell leukemia/lymphoma and 24 NK/T-cell, 34 B-cell, and two immunophenotypically undetermined lymphomas. Frequency of methylation was higher in B-cell(27 of 34, 79.4%) than in T-cell malignancies(eight of 16, 50%) (p < 0.05). Fifteen of 24(62.5%) NK/T-cell lymphomas showed DNA methylation. Hematopoietic cell lines with a methylated gene were resistant to apoptosis. Treatment of the cells with a demethylating agent restored apoptotic cell death in one B-cell lymphoma cell line with DNA methylation. Our results suggested that suppression of DAP-Kinase expression by DNA methylation might play a role in the development of B-cell malignancies.","['Nakatsuka, S', 'Takakuwa, T', 'Aozasa, K']","['Nakatsuka S', 'Takakuwa T', 'Aozasa K']","['Department of Pathology, Osaka University Graduate School of Medicine, Suita 565-0871.']",['jpn'],"['English Abstract', 'Journal Article', 'Review']",Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,"['0 (Apoptosis Regulatory Proteins)', 'EC 2.7.11.1 (Death-Associated Protein Kinases)', 'EC 2.7.11.17 (Calcium-Calmodulin-Dependent Protein Kinases)']",IM,,"['Animals', 'Apoptosis', 'Apoptosis Regulatory Proteins', 'Calcium-Calmodulin-Dependent Protein Kinases/*genetics', 'CpG Islands/*genetics', '*DNA Methylation', 'Death-Associated Protein Kinases', 'Humans', 'Lymphoma, B-Cell/*genetics', 'Polymerase Chain Reaction/methods']",2002/01/19 10:00,2002/03/09 10:01,['2002/01/19 10:00'],"['2002/01/19 10:00 [pubmed]', '2002/03/09 10:01 [medline]', '2002/01/19 10:00 [entrez]']",ppublish,Rinsho Byori. 2001 Dec;49(12):1242-7.,,,,17,,,,,,,,,,
11797369,NLM,MEDLINE,20020226,20151119,0047-1860 (Print) 0047-1860 (Linking),Suppl 116,,2001 Nov,"[Acid phosphatase, ACP (EC 3.1.3.2)].",100-9,"Acid phosphatase (ACP) is a hydrolytic lysosomal enzyme secreted by a number of cells including blood cells as well as by the prostate, bones, liver and other tissues. Several isozymes of ACP have tissue specificity. The isozymes can be fractionated by electrophoresis into six bands. Prostatic ACP (bands 2-4) is frequently measured for the diagnosis of prostatic disease. Band 5, tartrate resistant ACP (TRACP) consists of two isoforms, bands 5a and 5b. TRACP 5b is considered to be a marker of the osteoclasts and 5a is found in Gaucher's cells, or in the leukocytes of patients with hairy cell leukemia.","['Ishibashi, M']",['Ishibashi M'],"['Department of Laboratory Medicine, Keio University School of Medicine.']",['jpn'],"['English Abstract', 'Journal Article', 'Review']",Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,"['0 (Biomarkers)', '0 (Isoenzymes)', '0 (Tartrates)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,,"['Acid Phosphatase/*blood', 'Biomarkers/blood', 'Bone Diseases, Metabolic/diagnosis', '*Clinical Enzyme Tests/methods', 'Female', 'Hematologic Neoplasms/diagnosis', 'Humans', 'Isoenzymes/blood', 'Male', 'Organ Specificity', 'Prostatic Neoplasms/diagnosis', 'Sphingolipidoses/diagnosis', 'Tartrates/pharmacology']",2002/01/19 10:00,2002/02/28 10:01,['2002/01/19 10:00'],"['2002/01/19 10:00 [pubmed]', '2002/02/28 10:01 [medline]', '2002/01/19 10:00 [entrez]']",ppublish,Rinsho Byori. 2001 Nov;Suppl 116:100-9.,,,,21,,,,,,,,,,
11797121,NLM,MEDLINE,20020208,20071115,0939-5555 (Print) 0939-5555 (Linking),80,12,2001 Dec,Therapy-related myelodysplastic syndrome/acute myeloid leukemia M2 and translocation (8;21).,763-6,"An 80-year-old woman developed therapy-related myelodysplastic syndrome with translocation (8;21), which was successfully treated with an acute myeloid leukemia oriented chemotherapy. Five years before admission she had received cyclophosphamide, epirubicin, and carboplatin for endometrial cancer. The leukemia cell morphology alerted us to the possibility of the presence of t(8;21) before cytogenetic results were obtained, and AML1/ETO fusion transcript was detected by reverse transcription polymerase chain reaction. She achieved complete remission after one course of idarubicin and cytosine arabinoside. She has remained in complete remission for 6 months. Our experience suggests that recognition of typical morphological features for de novo M2 acute myeloid leukemia with t(8;21) would be important in diagnosis of therapy related myelodysplastic syndrome/acute myeloid leukemia with this translocation, which could respond to an intensive chemotherapy.","['Sakugawa, M', 'Kojima, K', 'Kaneda, K', 'Masuda, K', 'Dansako, H', 'Shinagawa, K', 'Ishimaru, F', 'Ikeda, K', 'Niiya, K', 'Harada, M', 'Tanimoto, M']","['Sakugawa M', 'Kojima K', 'Kaneda K', 'Masuda K', 'Dansako H', 'Shinagawa K', 'Ishimaru F', 'Ikeda K', 'Niiya K', 'Harada M', 'Tanimoto M']","['Department of Medicine II, Okayama University Medical School, 2-5-1 Shikata-cho, Okayama 700-8558, Japan.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Ann Hematol,Annals of hematology,9107334,,IM,,"['Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects/therapeutic use', 'Cell Nucleus/pathology', '*Chromosomes, Human, Pair 21', '*Chromosomes, Human, Pair 8', 'Cytoplasm/pathology', 'Electrophoresis, Agar Gel', 'Endometrial Neoplasms/drug therapy', 'Erythroblasts/pathology', 'Female', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid, Acute/chemically induced/genetics/*pathology', 'Megakaryocytes/pathology', 'Myelodysplastic Syndromes/chemically induced/genetics/*pathology', 'Reverse Transcriptase Polymerase Chain Reaction', '*Translocation, Genetic']",2002/01/18 10:00,2002/02/09 10:01,['2002/01/18 10:00'],"['2001/04/19 00:00 [received]', '2001/08/18 00:00 [accepted]', '2002/01/18 10:00 [pubmed]', '2002/02/09 10:01 [medline]', '2002/01/18 10:00 [entrez]']",ppublish,Ann Hematol. 2001 Dec;80(12):763-6. doi: 10.1007/s002770100378. Epub 2001 Oct 13.,,['10.1007/s002770100378 [doi]'],,,,,,,,,20011013,,,
11797119,NLM,MEDLINE,20020208,20061115,0939-5555 (Print) 0939-5555 (Linking),80,12,2001 Dec,Unusual morphology in a case of large granular cell leukemia.,755-7,Large granular lymphocyte proliferative status represents a group of clonal and nonclonal lymphoproliferative disorders of natural killer (NK) or T-cell lineages with common morphological features. Cellular differences may sustain the clinical polymorphism observed in these disorders. Here we report a case of large granular lymphocyte disease unusually expressing CD4+CD8+ clonal T cells and atypical cell morphology in bone marrow.,"['Galimberti, S', 'Riccioni, R', 'Azzara, A', 'Testi, R', 'Fazzi, R', 'Testi, C', 'Petrini, M']","['Galimberti S', 'Riccioni R', 'Azzara A', 'Testi R', 'Fazzi R', 'Testi C', 'Petrini M']","['Hematology Division, Department of Oncology, Transplants and Advanced Technologies, University of Pisa, Ospedale S.Chiara, Via Roma 67, 56100 Pisa, Italy.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Ann Hematol,Annals of hematology,9107334,,IM,,"['Arthritis, Rheumatoid/complications', 'Bone Marrow Cells/pathology', 'CD4-Positive T-Lymphocytes/pathology', 'CD8-Positive T-Lymphocytes/pathology', 'Diabetic Nephropathies/complications', 'Humans', 'Immunohistochemistry', 'Immunophenotyping', 'Lymphocytes/*pathology', 'Lymphoproliferative Disorders/complications/*pathology', 'Male', 'Middle Aged', 'Prostatic Neoplasms/complications', 'Urinary Bladder Neoplasms/complications']",2002/01/18 10:00,2002/02/09 10:01,['2002/01/18 10:00'],"['2000/05/10 00:00 [received]', '2001/08/13 00:00 [accepted]', '2002/01/18 10:00 [pubmed]', '2002/02/09 10:01 [medline]', '2002/01/18 10:00 [entrez]']",ppublish,Ann Hematol. 2001 Dec;80(12):755-7. doi: 10.1007/s002770100374. Epub 2001 Oct 13.,,['10.1007/s002770100374 [doi]'],,,,,,,,,20011013,,,
11797118,NLM,MEDLINE,20020208,20071115,0939-5555 (Print) 0939-5555 (Linking),80,12,2001 Dec,Blastic NK-cell lymphoma/leukemia with T-cell receptor gamma rearrangement.,752-4,"A 79-year-old Japanese man was admitted to our hospital with dyspnea in June 1999. Physical examination revealed general exanthema, hepatosplenomegaly, and lymphadenopathy. Increased numbers of abnormal cells were observed in peripheral blood; these cells were of lymphoblastic morphology with high nuclear/cytoplasm ratios and few azurophilic granules. Immunophenotypic analysis revealed positivity for CD2, CD4, CD56, and HLA-DR, and negativity for CD3, CD13, CD16, CD33, CD34, and T cell receptor (TCR). On genotypic analysis, TCRgamma chain was rearranged, but neither the TCRbeta chain nor TCRdelta chain. Despite an initial good response to chemotherapy the disease relapsed in the early stage, and the patient died 6 months after diagnosis.","['Aoyama, Y', 'Yamane, T', 'Hino, M', 'Ohta, K', 'Nakamae, H', 'Yamamura, R', 'Koh, K R', 'Takubo, T', 'Inoue, T', 'Tatsumi, Y', 'Tatsumi, N']","['Aoyama Y', 'Yamane T', 'Hino M', 'Ohta K', 'Nakamae H', 'Yamamura R', 'Koh KR', 'Takubo T', 'Inoue T', 'Tatsumi Y', 'Tatsumi N']","['Department of Clinical Hematology, Osaka City University Medical School, 1-4-3, Asahimachi, Abeno-ku, Osaka-shi, Osaka, 545-8586 Japan.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Ann Hematol,Annals of hematology,9107334,"['0 (Antigens, CD)', '0 (HLA-DR Antigens)', '0 (Receptors, Interleukin-2)', '9007-41-4 (C-Reactive Protein)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']",IM,,"['Aged', 'Antigens, CD/analysis', 'Biopsy', 'Bone Marrow/pathology', 'C-Reactive Protein/analysis', 'Cell Nucleus/pathology', 'Cytoplasm/pathology', 'Erythema/pathology', 'Fatal Outcome', '*Gene Rearrangement, gamma-Chain T-Cell Antigen Receptor', 'HLA-DR Antigens/analysis', 'Humans', 'Immunophenotyping', '*Killer Cells, Natural/immunology', 'L-Lactate Dehydrogenase/blood', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnosis/genetics/pathology', 'Leukemia, Lymphoid/*diagnosis/genetics/pathology', 'Male', 'Receptors, Interleukin-2/analysis', 'Skin/pathology']",2002/01/18 10:00,2002/02/09 10:01,['2002/01/18 10:00'],"['2001/01/04 00:00 [received]', '2001/08/22 00:00 [accepted]', '2002/01/18 10:00 [pubmed]', '2002/02/09 10:01 [medline]', '2002/01/18 10:00 [entrez]']",ppublish,Ann Hematol. 2001 Dec;80(12):752-4. doi: 10.1007/s00277-001-0380-0. Epub 2001 Oct 18.,,['10.1007/s00277-001-0380-0 [doi]'],,,,,,,,,20011018,,,
11797117,NLM,MEDLINE,20020208,20210105,0939-5555 (Print) 0939-5555 (Linking),80,12,2001 Dec,T-cell receptor gammadelta T-cell leukemia with the morphology of T-cell prolymphocytic leukemia and a postthymic immunophenotype.,749-51,"T-cell prolymphocytic leukemia (T-PLL) is a postthymic T-cell neoplasm with a characteristic morphology and heterogeneous immunophenotype. Most cases of T-PLL express membrane T-cell receptors (TCRs) of the alphabeta phenotype. We experienced a 30-year-old man suffering from TCRgammadelta T-cell leukemia with morphology compatible to T-PLL with a postthymic phenotype. He was admitted with skin eruption and pancytopenia. Peripheral blood and bone marrow were occupied with medium-sized lymphocytes, which had moderately condensed chromatin with a single nucleolus and sparse, nongranular basophilic cytoplasm. The immunophenotype was CD1a-, CD2-, CD3+, CD4-, CD5+, CD7+, CD8-, and terminal deoxynucleotidyl transferase negative. Hepatosplenomegaly was absent. He was diagnosed as having T-PLL and was treated with combination chemotherapy. Six months later the leukemic cell became chemoresistant. Although the patient showed transient improvement in response to pentostatin, he died 13 months after the diagnosis. To our knowledge, this is the first case of T-PLL with a TCRgammadelta phenotype.","['Sugimoto, T', 'Imoto, S', 'Matsuo, Y', 'Kojima, K', 'Yasukawa, M', 'Murayama, T', 'Kohfuku, J', 'Mizuno, I', 'Yakushijin, K', 'Sada, A', 'Nishimura, R', 'Koizumi, T']","['Sugimoto T', 'Imoto S', 'Matsuo Y', 'Kojima K', 'Yasukawa M', 'Murayama T', 'Kohfuku J', 'Mizuno I', 'Yakushijin K', 'Sada A', 'Nishimura R', 'Koizumi T']","['Clinical Research Institute, Hyogo Medical Center for Adults, Hyogo, Japan.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Ann Hematol,Annals of hematology,9107334,"['0 (Antigens, CD)', '0 (HLA-DR Antigens)', '0 (Receptors, Antigen, T-Cell, gamma-delta)']",IM,,"['Adult', 'Anemia', 'Antigens, CD/analysis', 'Bone Marrow/pathology', 'Cell Membrane/immunology', 'Cytogenetic Analysis', 'Erythema', 'Flow Cytometry', 'Gene Rearrangement, delta-Chain T-Cell Antigen Receptor', 'Gene Rearrangement, gamma-Chain T-Cell Antigen Receptor', 'HLA-DR Antigens/analysis', 'Humans', '*Immunophenotyping', 'Leukemia, Prolymphocytic/diagnosis/*immunology/*pathology', 'Leukemia, T-Cell/diagnosis/*immunology/*pathology', 'Leukocyte Count', 'Lymphatic Diseases', 'Lymphocyte Count', 'Male', 'Microscopy, Electron', 'Receptors, Antigen, T-Cell, gamma-delta/*analysis/genetics', 'Thymus Gland/pathology']",2002/01/18 10:00,2002/02/09 10:01,['2002/01/18 10:00'],"['2001/02/20 00:00 [received]', '2001/08/30 00:00 [accepted]', '2002/01/18 10:00 [pubmed]', '2002/02/09 10:01 [medline]', '2002/01/18 10:00 [entrez]']",ppublish,Ann Hematol. 2001 Dec;80(12):749-51. doi: 10.1007/s00277-001-0381-z. Epub 2001 Oct 13.,,['10.1007/s00277-001-0381-z [doi]'],,,,,,,,,20011013,,,
11797109,NLM,MEDLINE,20020208,20051116,0939-5555 (Print) 0939-5555 (Linking),80,12,2001 Dec,Angiogenesis in hematologic malignancies.,695-705,"Angiogenesis, defined as the blood vessel generation from preexisting blood vessels, was found to play an important role in the progression of solid tumors. In addition, bone marrow-derived endothelial precursor cells may contribute to tumor angiogenesis. Recently angiogenesis induction was described in several hematologic neoplasms as leukemia, lymphoma, myelodysplastic syndrome and multiple myeloma (MM). Clinical angiogenesis research also termed as angiodiagnosis has established the prognostic relevance of markers of angiogenesis e.g., microvessel density and circulating levels of angiogenic peptides. Development of antiangiogenic treatment for hematologic neoplasms has recently been sparked by the success of Thalidomide (Thal) which has antiangiogenic properties in MM. Antiangiogenic treatment strategies are now being tested in clinical trials on several types of hematologic neoplasms.","['Moehler, T M', 'Neben, K', 'Ho, A D', 'Goldschmidt, H']","['Moehler TM', 'Neben K', 'Ho AD', 'Goldschmidt H']","['Department of Internal Medicine V, University of Heidelberg, Hospitalstrasse 3, 69115 Heidelberg, Germany, Thomas_Moehler@med.uni-heidelberg.de']",['eng'],"['Journal Article', 'Review']",Germany,Ann Hematol,Annals of hematology,9107334,"['0 (Angiogenesis Inhibitors)', '0 (Growth Substances)']",IM,,"['Angiogenesis Inhibitors', 'Animals', 'Bone Marrow Cells/pathology', 'Endothelium, Vascular/pathology', 'Growth Substances', 'Hematologic Neoplasms/pathology/*physiopathology', 'Humans', '*Neovascularization, Pathologic', 'Prognosis', 'Stem Cells/pathology']",2002/01/18 10:00,2002/02/09 10:01,['2002/01/18 10:00'],"['2001/08/22 00:00 [received]', '2001/10/11 00:00 [accepted]', '2002/01/18 10:00 [pubmed]', '2002/02/09 10:01 [medline]', '2002/01/18 10:00 [entrez]']",ppublish,Ann Hematol. 2001 Dec;80(12):695-705. doi: 10.1007/s00277-001-0398-3. Epub 2001 Nov 14.,,['10.1007/s00277-001-0398-3 [doi]'],,126,,,,,,,20011114,,,
11796924,NLM,MEDLINE,20020422,20061115,1066-5099 (Print) 1066-5099 (Linking),20,1,2002,Decrease in apoptosis and increase in polyploidization of megakaryocytes by stem cell factor during ex vivo expansion of human cord blood CD34+ cells using thrombopoietin.,73-9,"Thrombopoietin (TPO) is widely used for ex vivo expansion of hematopoietic stem cells. Previously, we have reported that TPO induces a characteristic pattern of apoptosis, and the TPO-induced apoptosis is closely associated with megakaryocyte (MK) differentiation. In the present study, several cytokines, flt3-ligand, stem cell factor (SCF), interleukin-3 (IL-3), IL-6, IL-11, leukemia inhibitory factor, G-CSF, and erythropoietin, which are known to affect megakaryocytopoiesis, have been evaluated to elucidate their effects on the TPO-induced apoptosis. Measurement of apoptosis by flow cytometry revealed that only SCF absolutely reduced the TPO-induced apoptosis in MK fractions, particularly in the late phase of ex vivo expansion. Platelet production was demonstrated by electron microscopy in a later phase when SCF was added. Simultaneous measurement of DNA contents with immunophenotyping demonstrated a significant increase in polyploidization in the CD41+ cell fraction when cultured with SCF. These results suggested that SCF not only inhibited premature senescence but also enhanced maturation of the differentiating cells of MK lineage during ex vivo expansion using TPO.","['Kie, Jeong-Hae', 'Yang, Woo-Ick', 'Lee, Mi-Kyung', 'Kwon, Tae-Jung', 'Min, Yoo-Hong', 'Kim, Hyun-Ok', 'Ahn, Hyo-Seop', 'Im, Seock-Ah', 'Kim, Hyung-Lae', 'Park, Hae-Young', 'Ryu, Kyung-Ha', 'Chung, Wha-Soon', 'Shin, Myeong-Heon', 'Jung, Yu-Jin', 'Woo, So-Youn', 'Park, Hae-Kyung', 'Seoh, Ju-Young']","['Kie JH', 'Yang WI', 'Lee MK', 'Kwon TJ', 'Min YH', 'Kim HO', 'Ahn HS', 'Im SA', 'Kim HL', 'Park HY', 'Ryu KH', 'Chung WS', 'Shin MH', 'Jung YJ', 'Woo SY', 'Park HK', 'Seoh JY']","['Department of Pathology, College of Medicine, Yonsei University, Seoul, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Stem Cells,"Stem cells (Dayton, Ohio)",9304532,"['0 (Antigens, CD34)', '0 (Culture Media, Serum-Free)', '0 (Growth Inhibitors)', '0 (Interleukin-11)', '0 (Interleukin-3)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '0 (Membrane Proteins)', '0 (Stem Cell Factor)', '0 (flt3 ligand protein)', '11096-26-7 (Erythropoietin)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '9014-42-0 (Thrombopoietin)']",IM,,"['Antigens, CD34/*biosynthesis', '*Apoptosis', 'Cell Division', 'Cell Lineage', 'Cells, Cultured', 'Culture Media, Serum-Free/pharmacology', 'Erythropoietin/biosynthesis', 'Fetal Blood/*metabolism', 'Flow Cytometry', 'Granulocyte Colony-Stimulating Factor/biosynthesis', 'Growth Inhibitors/biosynthesis', 'Humans', 'Interleukin-11/biosynthesis', 'Interleukin-3/biosynthesis', 'Interleukin-6/biosynthesis', 'Leukemia Inhibitory Factor', 'Lymphokines/biosynthesis', 'Megakaryocytes/*cytology/*metabolism', 'Membrane Proteins/biosynthesis', 'Microscopy, Electron', 'Ploidies', 'Stem Cell Factor/biosynthesis/*metabolism', 'Thrombopoietin/*biosynthesis', 'Time Factors']",2002/01/18 10:00,2002/04/23 10:01,['2002/01/18 10:00'],"['2002/01/18 10:00 [pubmed]', '2002/04/23 10:01 [medline]', '2002/01/18 10:00 [entrez]']",ppublish,Stem Cells. 2002;20(1):73-9. doi: 10.1634/stemcells.20-1-73.,,['10.1634/stemcells.20-1-73 [doi]'],,,,,,,,,,,,
11796918,NLM,MEDLINE,20020422,20191027,1066-5099 (Print) 1066-5099 (Linking),20,1,2002,ABC transporters as phenotypic markers and functional regulators of stem cells.,11-20,"Characterization of molecules with tightly controlled expression patterns during differentiation represents an approach to understanding regulation of hematopoietic stem cell commitment. The multidrug resistance-1 (MDR1) gene product, P-glycoprotein, and the breast cancer resistance protein (BCRP) are expressed differentially during hematopoiesis, with the highest levels in primitive bone marrow stem cell populations that are CD34(low) and CD34(-), respectively. Roles for ATP-binding cassette (ABC) transporter superfamily members in conferring drug resistance have been extensively described. However, recent hematopoietic overexpression studies have begun to reveal previously unknown roles for ABC transporter function in normal and malignant hematopoiesis. Expression of MDR1 and BCRP transporters in the myeloid lineage has been reported in blasts from acute myeloid leukemia, but very low to undetectable in normal myelomonocytic cells. Retroviral-mediated dysregulated expression of the MDR1 transporter resulted in increased hematopoietic repopulating activity and myeloproliferative disease in mice. A distinct functional role for the BCRP transporter as a negative regulator of hematopoietic repopulating activity has recently been demonstrated using the same approach. Additionally, the presence of BCRP expression specifically on hematopoietic side-population stem cells and neural stem/progenitors, makes BCRP an attractive candidate marker for isolation of stem cells with the ability to respond to diverse environmental cues. Regulation of stem cell biology by ABC transporters has emerged as an important new field of investigation. In light of these findings, it will be critical to further characterize this family of proteins in hematopoietic lineage-restricted stem cells and in pluripotent stem cells capable of crossing lineage barriers.","['Bunting, Kevin D']",['Bunting KD'],"['Hematopoiesis Department, American Red Cross Holland Laboratory, Rockville, Maryland 20855, USA. buntingk@usa.redcross.org']",['eng'],"['Journal Article', 'Review']",United States,Stem Cells,"Stem cells (Dayton, Ohio)",9304532,"['0 (ABCG2 protein, human)', '0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (ATP Binding Cassette Transporter, Subfamily G, Member 2)', '0 (ATP-Binding Cassette Transporters)', '0 (Biomarkers, Tumor)', '0 (Neoplasm Proteins)', '8L70Q75FXE (Adenosine Triphosphate)']",IM,,"['ATP Binding Cassette Transporter, Subfamily B, Member 1/biosynthesis', 'ATP Binding Cassette Transporter, Subfamily G, Member 2', 'ATP-Binding Cassette Transporters/*biosynthesis', 'Adenosine Triphosphate/metabolism', 'Animals', '*Biomarkers, Tumor', 'Cell Separation', 'Flow Cytometry', 'Humans', 'Leukemia/diagnosis/metabolism', 'Mice', '*Neoplasm Proteins', 'Phenotype', 'Protein Transport', 'Stem Cells/*cytology/metabolism']",2002/01/18 10:00,2002/04/23 10:01,['2002/01/18 10:00'],"['2002/01/18 10:00 [pubmed]', '2002/04/23 10:01 [medline]', '2002/01/18 10:00 [entrez]']",ppublish,Stem Cells. 2002;20(1):11-20. doi: 10.1002/stem.200011.,,['10.1002/stem.200011 [doi]'],,58,,,['Stem Cells 2002;20(3):274'],,,,,,,
11796917,NLM,MEDLINE,20020422,20071115,1066-5099 (Print) 1066-5099 (Linking),20,1,2002,Autologous stem cell transplantation in acute lymphocytic leukemia.,3-10,"Autologous stem cell transplantation (ASCT) as well as allogeneic stem cell transplantation and conventional chemotherapy (CT) are less effective at treating acute lymphocytic leukemia (ALL) than acute myelocytic leukemia (AML). Chemoresistance and late relapses are hallmarks of ALL. In this context, the question of whether ASCT is superior to CT remains unanswered. In vitro marrow purging using monoclonal antibodies is not routinely used. This review summarizes the results of ASCT for adult and childhood ALL. Statistics from the European Group for Blood and Marrow Transplantation reveal a transplant-related mortality at 5 years of 11% +/- 1%, a relapse incidence of 60% +/- 2%, and a leukemia-free survival (LFS) and overall survival (OS) of 36% +/- 2% and 42% +/- 2%, respectively in 1,366 adults autografted in first remission (CR1). In 269 children, the LFS and OS were 50% +/- 3% and 54% +/- 3%, respectively. There was no evidence in favor of purging the autograft in vitro. In contrast, multicentric and single-institution studies have found better results in adults autografted in CR1, with LFS at 5 years from 46% to 64%, possible efficacy of marrow in vitro purging with mafosfamide (LFS 52%), and improvement in outcome with additional measures post-ASCT, such as maintenance chemotherapy (LFS 57%). Further, as already observed for AML, analyses by risk groups suggest that ASCT may essentially benefit good- but not poor-risk patients. For patients with the Ph1/bcr-abl translocation, the role of STI571 anti-tyrosine kinase for in vivo purging before stem cell harvesting is being investigated.","['Gorin, N C']",['Gorin NC'],"['Department of Hematology, Hopital Saint-Antoine, Paris, France. norbert-claude.gorin@sat.ap-hop-paris.fr']",['eng'],"['Journal Article', 'Review']",United States,Stem Cells,"Stem cells (Dayton, Ohio)",9304532,,IM,,"['Adult', 'Child', 'Disease-Free Survival', 'Europe', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/mortality/*therapy', 'Registries', 'Risk Factors', 'Time Factors']",2002/01/18 10:00,2002/04/23 10:01,['2002/01/18 10:00'],"['2002/01/18 10:00 [pubmed]', '2002/04/23 10:01 [medline]', '2002/01/18 10:00 [entrez]']",ppublish,Stem Cells. 2002;20(1):3-10. doi: 10.1634/stemcells.20-1-3.,,['10.1634/stemcells.20-1-3 [doi]'],,24,,,,,,,,,,
11796851,NLM,MEDLINE,20020131,20161124,1533-4406 (Electronic) 0028-4793 (Linking),346,3,2002 Jan 17,Images in clinical medicine. Systemic mast-cell disease (mastocytosis).,174,,"['Asmis, Lars M', 'Girardet, Christophe']","['Asmis LM', 'Girardet C']","['University Hospital of Geneva, CH 1211 Geneva, Switzerland.']",['eng'],"['Case Reports', 'Journal Article']",United States,N Engl J Med,The New England journal of medicine,0255562,"['EC 3.4.21.- (Serine Endopeptidases)', 'EC 3.4.21.59 (Tryptases)']",IM,,"['Aged', 'Fatal Outcome', 'Humans', 'Leukemia, Myeloid', 'Leukocyte Count', 'Male', 'Mastocytosis/blood/diagnostic imaging/*pathology', 'Radiography', 'Serine Endopeptidases/blood', 'Skin/*pathology', 'Tryptases']",2002/01/18 10:00,2002/02/01 10:01,['2002/01/18 10:00'],"['2002/01/18 10:00 [pubmed]', '2002/02/01 10:01 [medline]', '2002/01/18 10:00 [entrez]']",ppublish,N Engl J Med. 2002 Jan 17;346(3):174. doi: 10.1056/NEJMicm000003.,,"['10.1056/NEJMicm000003 [doi]', '346/3/174 [pii]']",,,,,,,,,,,,
