PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,GR,TT,PMC,GS,CIN,CON,SI,OID,OTO,OT,GN,PS,FPS,IR,FIR,IRAD,EIN,CRF,CRI,OAB,OABL
8343448,NLM,MEDLINE,19930907,20120531,0914-7470 (Print) 0914-7470 (Linking),6,1,1993 Mar,[Serum-free culture for leukemia cells].,49-56,"Several human and murine acute myeloid leukemia cell lines growing in serum-free and protein-free culture medium are known to be established. In this paper, recent development of serum-free and protein-free culture methods for leukemia cells and the characteristics of the established cell lines are reviewed. Chemically defined culture medium is preferable as compared with serum-containing culture medium because the latter contains various, undefined factors which make it difficult to investigate the interactions between cell proliferation or differentiation and various growth factors. Investigations using leukemia cell lines which are maintained in a serum-free and protein-free chemically defined medium will provide the important information with respect to cell biology of leukemia cells and leukemia therapy.","['Kajigaya, Y', 'Sasaki, H', 'Ikuta, K', 'Matsuyama, S', 'Hirabayashi, Y', 'Inoue, T']","['Kajigaya Y', 'Sasaki H', 'Ikuta K', 'Matsuyama S', 'Hirabayashi Y', 'Inoue T']","['Department of Pediatrics, Yokohama City University, School of Medicine, Japan.']",['jpn'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Japan,Hum Cell,Human cell,8912329,"['0 (Culture Media, Serum-Free)']",IM,"['Animals', 'Culture Media, Serum-Free', 'Humans', 'Leukemia/*pathology', 'Leukemia, Experimental/pathology', 'Leukemia, Megakaryoblastic, Acute/pathology', 'Leukemia, Myeloid, Accelerated Phase/pathology', 'Leukemia, Promyelocytic, Acute/pathology', 'Mice', 'Tumor Cells, Cultured/pathology']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",,ppublish,Hum Cell. 1993 Mar;6(1):49-56.,58,,,,,,,,,,,,,,,,,,,,,
8343432,NLM,MEDLINE,19930907,20131121,0921-8912 (Print) 0921-8912 (Linking),5,3,1993 May,"Quantitative morphological assessment of erythroblastic differentiation induced, in vitro, in human K562 leukemic cells.",135-46,"K562 human leukemia cell line undergoes in vitro terminal differentiation towards the erythroid pathway following treatments with appropriate chemical agents including aclacinomycin, fagaronine and hemin. These three drugs induced a different expression of phenotypic and functional characters associated with differentiation. The morphological characteristics of the differentiation sequences elicited by these agents were evaluated by image analysis using a SAMBA 200 cell image processor. Multivariate statistical analyses of morphological data revealed that only aclacinomycin was able to induce significant modifications of the morphological parameters similar to those observed during the maturation of normal bone-marrow erythroblastic cells. These data correlate with the higher inductive potency of aclacinomycin as compared to hemin or fagaronine and suggest that quantitative cytology may be a useful adjunct to conventional tests for the selection of new drugs with differentiating potential.","['Broglio, C', 'Dufer, J', 'Joly, P', 'Carpentier, Y', 'Desplaces, A']","['Broglio C', 'Dufer J', 'Joly P', 'Carpentier Y', 'Desplaces A']","['GIBSA, Laboratoire de Physiologie Cellulaire, U.F.R. de Pharmacie, Reims, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Anal Cell Pathol,Analytical cellular pathology : the journal of the European Society for Analytical Cellular Pathology,8911016,"['0 (Alkaloids)', '0 (Benzophenanthridines)', '0 (Hemoglobins)', '0 (Phenanthridines)', '0 (aclacinomycins)', '41758-44-5 (fagaronine)', '743LRP9S7N (Hemin)', '74KXF8I502 (Aclarubicin)']",IM,"['Aclarubicin/*analogs & derivatives/pharmacology', 'Alkaloids/*pharmacology', 'Benzophenanthridines', 'Cell Differentiation/drug effects', 'Erythroblasts/drug effects/*pathology', 'Hemin/*pharmacology', 'Hemoglobins/biosynthesis', 'Humans', 'Leukemia/*pathology', '*Phenanthridines', 'Tumor Cells, Cultured']",1993/05/01 00:00,1993/05/01 00:01,['1993/05/01 00:00'],"['1993/05/01 00:00 [pubmed]', '1993/05/01 00:01 [medline]', '1993/05/01 00:00 [entrez]']",,ppublish,Anal Cell Pathol. 1993 May;5(3):135-46.,,,,,,,,,,,,,,,,,,,,,,
8343266,NLM,MEDLINE,19930907,20190718,0959-8049 (Print) 0959-8049 (Linking),29A,9,1993,Karyotype in multiple myeloma and plasma cell leukaemia.,1269-73,"Between October 1988 and October 1991, 104 patients with multiple myeloma and 6 with plasma cell leukaemia were studied cytogenetically. Abnormal karyotypes were found in bone marrow cells of 33 patients (30%). Most pathological karyotypes were complex with numerous modal and structural anomalies. Numerical anomalies most frequently involved chromosome 11 and structural aberrations occurred most often in chromosomes 1, 11 and 14. The most consistent structural aberration was a 14q+ chromosome (10 patients) resulting from a t(11;14)(q13;q32) in 4 patients and a t(8;14)(q24;q32) in 1 patient. Sequential cytogenetic studies were performed in 15 patients. In 5 of 8 cases with a normal karyotype at diagnosis, chromosomal anomalies were detected when disease progressed. In concomitant cytogenetic/cytological studies it was found that in the majority of patients with normal karyotype the mitoses originated from contaminating normal bone marrow cells. Pathological karyotypes were detected more frequently in pretreated than in untreated patients, in patients with plasma cell leukaemia than in patients with multiple myeloma, in patients with stage III and dense bone marrow infiltration than in patients with stage I. Patients with abnormal karyotype, irrespective if pretreated or not, had a significantly shorter median survival than those with normal karyotype. These findings suggest that karyotype is an independent prognostic factor in multiple myeloma.","['Weh, H J', 'Gutensohn, K', 'Selbach, J', 'Kruse, R', 'Wacker-Backhaus, G', 'Seeger, D', 'Fiedler, W', 'Fett, W', 'Hossfeld, D K']","['Weh HJ', 'Gutensohn K', 'Selbach J', 'Kruse R', 'Wacker-Backhaus G', 'Seeger D', 'Fiedler W', 'Fett W', 'Hossfeld DK']","['Department of Oncology and Hematology, University Hospital Eppendorf, Hamburg, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",9005373,,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Bone Marrow/pathology', 'Chromosome Aberrations/*genetics', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Plasma Cell/*genetics/mortality/pathology', 'Leukemic Infiltration', 'Male', 'Middle Aged', 'Multiple Myeloma/*genetics/mortality/pathology', 'Neoplasm Staging']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']","['0959-8049(93)90071-M [pii]', '10.1016/0959-8049(93)90071-m [doi]']",ppublish,Eur J Cancer. 1993;29A(9):1269-73. doi: 10.1016/0959-8049(93)90071-m.,,,,,,,,,,,,,,,,,,,,,,
8343167,NLM,MEDLINE,19930831,20190612,0006-291X (Print) 0006-291X (Linking),194,2,1993 Jul 30,Spontaneous nucleosomal DNA fragmentation in murine leukemic L1210 cells.,836-41,"Spontaneous nucleosomal DNA fragmentation (SNDF), characteristic of apoptotic cell death was observed in a murine leukemic cell line grown to high density. This effect was eliminated by permitting free diffusional exchange with a large amount of complete medium. Cells seeded at low density did not show SNDF in a conditioned medium that had been used to culture cells with severe SNDF. Cells seeded at high density in the same conditioned medium showed pronounced SNDF, but addition of 10% fetal bovine serum to such a medium significantly reduced SNDF. These observations indicate that neither physical contact among cells in high density culture per se nor secretion of a death factor by the high density culture could account for the induction of SNDF. The results support a model in which the gradual depletion of a serum factor(s) leads to the activation of a cell death program that is manifested as SNDF.","['Jiang, C', 'Lu, J', 'Garcia, G', 'Thompson, H J']","['Jiang C', 'Lu J', 'Garcia G', 'Thompson HJ']","['AMC Cancer Research Center, Denver, CO 80214.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (DNA, Neoplasm)', '0 (Nucleosomes)']",IM,"['Animals', 'Apoptosis', 'Cell Survival', 'DNA, Neoplasm/isolation & purification/*metabolism', 'Electrophoresis, Agar Gel', 'Leukemia L1210/*metabolism/pathology', 'Mice', 'Nucleosomes/*metabolism', 'Time Factors', 'Tumor Cells, Cultured']",1993/07/30 00:00,1993/07/30 00:01,['1993/07/30 00:00'],"['1993/07/30 00:00 [pubmed]', '1993/07/30 00:01 [medline]', '1993/07/30 00:00 [entrez]']","['S0006291X83718978 [pii]', '10.1006/bbrc.1993.1897 [doi]']",ppublish,Biochem Biophys Res Commun. 1993 Jul 30;194(2):836-41. doi: 10.1006/bbrc.1993.1897.,,['CA45164/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,,,
8343067,NLM,MEDLINE,19930831,20190717,0003-9969 (Print) 0003-9969 (Linking),38,6,1993 Jun,Suppression of proliferation of a human B-cell leukaemic cell line derived from acute lymphoblastic leukaemia by soluble factor(s) from Campylobacter rectus.,449-55,"Soluble sonic extracts of several strains were examined for their ability to alter proliferation of a cell line derived from acute lymphoblastic leukaemia (BALL-1). Extracts of all strains tested caused dose-dependent suppression of proliferation when assessed by DNA (tritiated thymidine incorporation), RNA (tritiated uridine incorporation) and protein (tritiated leucine incorporation) synthesis. There was no effect on the viability of BALL-1 as measured by either trypan-blue exclusion or extracellular release of the cytoplasmic enzyme lactate dehydrogenase. The suppressive factor(s) was separated in a well-defined peak by high-pressure liquid DEAE ion-exchange chromatography, which revealed a single active peak with a molecular mass of 48 kDa. Characterization of the peak indicated that the suppressive factor(s) was heat labile (activity destroyed at 80 degrees C) and sensitive to the proteolytic enzyme pronase P. The soluble suppressive factor(s) from Campylobacter rectus thus has protein-like properties and no cytotoxicity to a human B-cell leukaemic cell line.","['Saito, S', 'Hayakawa, M', 'Takiguchi, H', 'Abiko, Y']","['Saito S', 'Hayakawa M', 'Takiguchi H', 'Abiko Y']","['Department of Biochemistry, Nihon University School of Dentistry at Matsudo, Chiba, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Arch Oral Biol,Archives of oral biology,0116711,"['0 (Bacterial Proteins)', '0 (Culture Media, Conditioned)', '0 (Immunosuppressive Agents)']",IM,"['B-Lymphocytes/*drug effects/metabolism', 'Bacterial Proteins/immunology/isolation & purification/*pharmacology', 'Campylobacter/*pathogenicity', 'Cell Division/drug effects', 'Chromatography, Ion Exchange', 'Culture Media, Conditioned/pharmacology', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Immunosuppressive Agents/*isolation & purification/pharmacology', 'Lymphocyte Activation/drug effects', 'Periodontitis/*microbiology', 'Tumor Cells, Cultured/drug effects']",1993/06/01 00:00,1993/06/01 00:01,['1993/06/01 00:00'],"['1993/06/01 00:00 [pubmed]', '1993/06/01 00:01 [medline]', '1993/06/01 00:00 [entrez]']","['0003-9969(93)90180-T [pii]', '10.1016/0003-9969(93)90180-t [doi]']",ppublish,Arch Oral Biol. 1993 Jun;38(6):449-55. doi: 10.1016/0003-9969(93)90180-t.,,,,,,,,,,,,,,,,,,,,,,
8343051,NLM,MEDLINE,19930830,20161123,0003-9985 (Print) 0003-9985 (Linking),117,8,1993 Aug,Plasma cell leukemia presenting as a pancreatic mass.,844-5,"A 62-year-old woman presented with a 3-week history of obstructive jaundice. Computed tomography of the abdomen showed marked enlargement of the head of the pancreas and a prominent pancreatic body, suggestive of a neoplasm with associated pancreatitis. The peripheral blood showed an increased number of plasma cells accounting for 50% of the leukocytes. Biopsy specimens of the pancreas, liver, and a peritoneal lymph node showed a diffuse infiltrate of typical and atypical plasma cells (50% of which had cytoplasmic IgG-lambda). Serum and urine protein electrophoresis revealed a monoclonal IgG-lambda spike and Bence Jones-lambda protein, respectively. The bone marrow was diffusely infiltrated by plasma cells. To our knowledge, this is the first reported case of a plasma cell leukemia presenting as a pancreatic mass producing extrahepatic biliary obstruction.","['Malpica, A', 'Phillips, C C', 'Estrada, R E', 'Banez, E I']","['Malpica A', 'Phillips CC', 'Estrada RE', 'Banez EI']","['Department of Pathology, Baylor College of Medicine, Houston, TX 77030.']",['eng'],"['Case Reports', 'Journal Article']",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,,IM,"['Cholestasis/etiology', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Plasma Cell/complications/*diagnosis/diagnostic imaging/pathology', 'Middle Aged', 'Pancreatic Neoplasms/*diagnosis/diagnostic imaging/pathology', 'Pancreatitis/diagnosis', 'Tomography, X-Ray Computed']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",,ppublish,Arch Pathol Lab Med. 1993 Aug;117(8):844-5.,,,,,,,,,,,,,,,,,,,,,,
8342949,NLM,MEDLINE,19930902,20191210,0003-9861 (Print) 0003-9861 (Linking),305,1,1993 Aug 15,Hyperexpression of catalase in selenium-deprived murine L1210 cells.,176-85,"Murine leukemia L1210 cells grown for 2-3 weeks in the presence of 1% serum without selenium supplementation [L.Se(-) cells] typically exhibited < 10% of the glutathione peroxidase (GPX) and phospholipid hydroperoxide glutathione peroxidase (PHGPX) activity of selenium-satisfied controls [L.Se(+) cells]. Concomitant with diminished GPX and PHGPX activity was a 1.5- to 2.0-fold increase in catalase (CAT) activity, which reverted to control levels when L.Se(-) cells were given sufficient Se for full expression of selenoperoxidase activity. Selenium manipulation affected total glutathione content similarly, but had no effect on glutathione-S-transferase or superoxide dismutase activity. Long-term growth under Se-deficient conditions resulted in a progressive additional increase in CAT activity, which maximized after ca. 5 months. These cells [referred to as L'.Se(-)] attained CAT activity levels at least 100-times greater than those of Se-supplemented [L'.Se(+)] controls, whereas their glutathione content remained elevated by approximately 70%. Supplying L'.Se(-) cells with Se resulted in a rapid elevation to full GPX activity; however, CAT failed to decline in this case, suggesting that a selection for stable CAT hyperexpressing variants had been accomplished. Quantitative immunoblot analysis indicated that the high CAT activity of L'.Se(-) cells is accounted for by an elevated level of enzyme protein. Induction of CAT and selection for CAT-rich phenotypes, as apparent for Se-starved L1210 cells, was not observed in human K562 counterparts, which lack GPX and express only a low level of PHGPX. L.Se(-) cells were found to be more sensitive to H2O2-induced killing than L.Se(+) controls, whereas L'.Se(-) cells were exceedingly more resistant to H2O2 than L'.Se(+) counterparts. By contrast, L.Se(-) and L'.Se(-) cells were both more sensitive to t-butyl hydroperoxide than Se(+) controls, consistent with CAT being unimportant in the detoxification of this peroxide compared with GPX. This appears to be the first reported evidence for CAT hyperexpression in response to selenium deprivation.","['Lin, F', 'Thomas, J P', 'Girotti, A W']","['Lin F', 'Thomas JP', 'Girotti AW']","['Department of Biochemistry, Medical College of Wisconsin, Milwaukee 53226.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Arch Biochem Biophys,Archives of biochemistry and biophysics,0372430,"['BBX060AN9V (Hydrogen Peroxide)', 'EC 1.11.1.12 (Phospholipid Hydroperoxide Glutathione Peroxidase)', 'EC 1.11.1.6 (Catalase)', 'EC 1.11.1.9 (Glutathione Peroxidase)', 'GAN16C9B8O (Glutathione)', 'H6241UJ22B (Selenium)']",IM,"['Animals', 'Catalase/*metabolism', 'Cell Death/drug effects', 'Cell Division', 'Glutathione/metabolism', 'Glutathione Peroxidase/metabolism', 'Hydrogen Peroxide/pharmacology', 'Immunoblotting', 'Leukemia L1210/*enzymology', 'Mice', 'Phospholipid Hydroperoxide Glutathione Peroxidase', 'Selenium/*administration & dosage/physiology', 'Tumor Cells, Cultured']",1993/08/15 00:00,1993/08/15 00:01,['1993/08/15 00:00'],"['1993/08/15 00:00 [pubmed]', '1993/08/15 00:01 [medline]', '1993/08/15 00:00 [entrez]']","['S0003986183714086 [pii]', '10.1006/abbi.1993.1408 [doi]']",ppublish,Arch Biochem Biophys. 1993 Aug 15;305(1):176-85. doi: 10.1006/abbi.1993.1408.,,['1-PO1-CA49089/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,,,
8342572,NLM,MEDLINE,19930901,20190821,0361-8609 (Print) 0361-8609 (Linking),44,1,1993 Sep,Pleural blast crisis in chronic myelogenous leukemia.,75-6,,"['Jones, T I']",['Jones TI'],,['eng'],"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,,IM,"['Aged', 'Blast Crisis/*pathology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*pathology', 'Male', 'Pleura/*pathology']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1002/ajh.2830440121 [doi]'],ppublish,Am J Hematol. 1993 Sep;44(1):75-6. doi: 10.1002/ajh.2830440121.,,,,,,,,,,,,,,,,,,,,,,
8342570,NLM,MEDLINE,19930901,20190821,0361-8609 (Print) 0361-8609 (Linking),44,1,1993 Sep,Translocation (14;15) (q32;q13) in B cell chronic lymphocytic leukemia.,73,,"['Kwong, Y L', 'Ha, S Y', 'Liang, R H', 'Chan, L C']","['Kwong YL', 'Ha SY', 'Liang RH', 'Chan LC']",,['eng'],"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,,IM,"['*Chromosomes, Human, Pair 14', '*Chromosomes, Human, Pair 15', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics', 'Male', 'Middle Aged', '*Translocation, Genetic']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1002/ajh.2830440118 [doi]'],ppublish,Am J Hematol. 1993 Sep;44(1):73. doi: 10.1002/ajh.2830440118.,,,,,,,,,,,,,,,,,,,,,,
8342567,NLM,MEDLINE,19930901,20190821,0361-8609 (Print) 0361-8609 (Linking),44,1,1993 Sep,Hemolytic uremic syndrome developing during remission of acute myelomonocytic leukemia.,66-7,"A 47-year-old woman was diagnosed with acute myelomonocytic leukemia (AMMoL) and was treated with combination chemotherapy. After one cycle of remission induction therapy, she entered into complete remission and then received three cycles of consolidation therapy. A month after the last consolidation therapy, she was diagnosed with having the complication of chemotherapy-related HUS (C-HUS). The C-HUS improved after initiation of plasma exchange and antiplatelet therapy. In the present case, it seems that the antileukemic agents might play an important role in the development of C-HUS.","['Okumura, H', 'Nakamura, S', 'Ohtake, S', 'Yoshida, T', 'Kobayashi, K', 'Okabe, Y', 'Matano, S', 'Kyohda, K', 'Matsuda, T']","['Okumura H', 'Nakamura S', 'Ohtake S', 'Yoshida T', 'Kobayashi K', 'Okabe Y', 'Matano S', 'Kyohda K', 'Matsuda T']","['Third Department of Internal Medicine, Kanazawa University School of Medicine, Ishikawa, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Platelet Aggregation Inhibitors)', '04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)', '9014-02-2 (Zinostatin)', '9PHQ9Y1OLM (Prednisolone)', '9YVR68W306 (enocitabine)', 'BZ114NVM5P (Mitoxantrone)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Cytarabine/administration & dosage/analogs & derivatives', 'Daunorubicin/administration & dosage', 'Etoposide/administration & dosage', 'Female', 'Hemolytic-Uremic Syndrome/*etiology', 'Humans', 'Leukemia, Myelomonocytic, Acute/*complications/drug therapy', 'Middle Aged', 'Mitoxantrone/administration & dosage', 'Plasma Exchange', 'Platelet Aggregation Inhibitors/therapeutic use', 'Prednisolone/administration & dosage', 'Remission Induction', 'Zinostatin/administration & dosage']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1002/ajh.2830440115 [doi]'],ppublish,Am J Hematol. 1993 Sep;44(1):66-7. doi: 10.1002/ajh.2830440115.,,,,,,,,,,,,,,,,,,,,,,
8342564,NLM,MEDLINE,19930901,20190821,0361-8609 (Print) 0361-8609 (Linking),44,1,1993 Sep,Adoptive chemoimmunotherapy using ex vivo activated memory T-cells and cyclophosphamide: tumor lysis syndrome of a metastatic soft tissue sarcoma.,42-7,"Adoptively transferred immune cells in combination with chemotherapeutic agents form the basis for adoptive chemoimmunotherapy (ACIT) of neoplastic disease. Autolymphocytes (ALT-cells) are ex vivo activated peripheral blood lymphocytes (PBL) from tumor-bearing hosts (TBH) that consist primarily of tumor-specific CD45RO+ (memory) T-cells. These ALT-cells combined with cimetidine (CIM) as autolymphocyte therapy (ALT), have previously been demonstrated to be a safe and active form of outpatient adoptive immunotherapy (AIT) in human TBH with metastatic renal cell cancer (RCC). We have previously described an effective ACIT protocol using ALT and cyclophosphamide (CY) for patients with relapsed and refractory non-RCC solid tumors. We now report a case of a patient with a metastatic gastric leiomyosarcoma to the liver, who developed a clinical picture consistent with a tumor-lysis syndrome (TLS), following salvage therapy for his tumor with ACIT using ALT and CY. TLS is a well-known complication resulting from the treatment of rapidly proliferating hematopoietic tumors such as Burkitt's lymphoma and acute lymphocytic leukemia. TLS has also been rarely described in chronic lymphocytic leukemia, as well as certain solid tumors such as breast cancer, small cell lung cancer, and medulloblastoma. However, there have been no previous reports of TLS occurring either secondary to immunotherapy or in sarcomas. The nature of these unusual findings is discussed.","['Gold, J E', 'Malamud, S C', 'LaRosa, F', 'Osband, M E']","['Gold JE', 'Malamud SC', 'LaRosa F', 'Osband ME']","['Department of Medicine, Mount Sinai Medical Center, New York, NY 10028.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hematol,American journal of hematology,7610369,"['80061L1WGD (Cimetidine)', '8N3DW7272P (Cyclophosphamide)', 'EC 3.1.3.48 (Leukocyte Common Antigens)']",IM,"['Aged', 'Cimetidine/therapeutic use', 'Clinical Protocols', 'Cyclophosphamide/*adverse effects/therapeutic use', 'Humans', 'Immunologic Memory', '*Immunotherapy, Adoptive', 'Leiomyosarcoma/*drug therapy/*therapy', 'Leukocyte Common Antigens/*analysis', 'Liver Neoplasms/secondary', 'Lymphocyte Activation/*physiology', 'Male', 'Radiography, Abdominal', 'Soft Tissue Neoplasms/*drug therapy/*therapy', 'Stomach Neoplasms/*drug therapy/*therapy', 'T-Lymphocytes/immunology/pathology/*physiology', 'Tomography, X-Ray Computed', 'Tumor Lysis Syndrome/diagnosis/*etiology']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1002/ajh.2830440109 [doi]'],ppublish,Am J Hematol. 1993 Sep;44(1):42-7. doi: 10.1002/ajh.2830440109.,,,,,,,,,,,,,,,,,,,,,,
8342558,NLM,MEDLINE,19930831,20190821,0361-8609 (Print) 0361-8609 (Linking),43,2,1993 Jun,Hematologic remission and cytogenetic improvement after treatment of stable-phase chronic myelogenous leukemia with continuous infusion of low-dose cytarabine.,95-102,"Prolonged exposure to low concentrations of cytarabine preferentially inhibits in vitro growth of neoplastic myeloid progenitors from patients with chronic myelogenous leukemia (CML) compared to that of normal myeloid progenitors. Continuous infusions of cytarabine in doses of 15-30 mg/m2/day were therefore administered for extended periods to patients with CML in stable phase to determine if this treatment could achieve selective cytoreduction of Philadelphia chromosome (Ph)-positive cells. Five patients demonstrating > 90% Ph-positive metaphases before treatment received a total of 43 cycles of cytarabine infusional therapy. Cytarabine was administered on an outpatient basis using a portable, battery-operated syringe pump until the total leukocyte count reached 2500/microliters or the platelet count reached 75,000/microliters. A new cycle was begun when the total leukocyte count exceeded 4,000/microliters and the platelet count exceeded 100,000/microliters. The median duration of cytarabine administration per cycle was 29 days (range 15-72 days). Leukocytosis was readily controlled by low-dose cytarabine therapy in all patients. All five patients experienced complete hematologic responses during cytarabine therapy. The fraction of Ph-positive metaphases in the marrow of the five patients was reduced to 0, 10%, 43%, 72%, and 84%, respectively, during therapy. The median time to achieve optimal cytogenetic response was 4.8 months (range 2.8-8.6 months). One patient demonstrated a complete cytogenetic response after three cycles of cytarabine. Another patient demonstrated persistent cytogenetic improvement during 20 cycles of cytarabine, with a median 38% Ph-positive marrow metaphases (range 10-53%) over 32 months. Cytarabine therapy was generally well-tolerated, but was discontinued in one patient because of persistent asymptomatic elevations in hepatic enzymes, which resolved within 2 months after discontinuing therapy. There were no episodes of fever during neutropenia, and platelet transfusions were not required. However, symptomatic anemia requiring transfusion of red cells occurred during most cycles of treatment. In summary, treatment of CML with low-dose cytarabine can induce prolonged cytogenetic improvement in some patients with acceptable toxicity. Further evaluation is needed to ascertain the effect of this treatment on duration of stable phase and overall survival.","['Robertson, M J', 'Tantravahi, R', 'Griffin, J D', 'Canellos, G P', 'Cannistra, S A']","['Robertson MJ', 'Tantravahi R', 'Griffin JD', 'Canellos GP', 'Cannistra SA']","['Division of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02115.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hematol,American journal of hematology,7610369,['04079A1RDZ (Cytarabine)'],IM,"['Adult', 'Aged', 'Bone Marrow/drug effects', 'Cytarabine/*administration & dosage/adverse effects/therapeutic use', 'Cytogenetics', 'Female', 'Humans', 'Infusion Pumps', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/*genetics/pathology', 'Male', 'Middle Aged', 'Philadelphia Chromosome', 'Remission Induction', 'Stem Cells/drug effects']",1993/06/01 00:00,1993/06/01 00:01,['1993/06/01 00:00'],"['1993/06/01 00:00 [pubmed]', '1993/06/01 00:01 [medline]', '1993/06/01 00:00 [entrez]']",['10.1002/ajh.2830430205 [doi]'],ppublish,Am J Hematol. 1993 Jun;43(2):95-102. doi: 10.1002/ajh.2830430205.,,,,,,,,,,,,,,,,,,,,,,
