PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,RF,OID,OAB,OABL,OTO,OT,GN,SI,PS,FPS,CN
7061245,NLM,MEDLINE,19820527,20190708,0360-3016 (Print) 0360-3016 (Linking),8,1,1982 Jan,Adjuvant chemotherapy and cancer cure.,109-13,"The use of chemotherapy as an adjuvant to surgery and/or radiotherapy is well founded in experimental tumor system, and appears to be effective in patients in some circumstances. It is clear from both clinical and experimental studies that (1) the dose is important, (2) the earlier chemotherapy is started after primary therapy the better, and (3) combination chemotherapy may be more effective than single agent treatment. The better the risk of recurrence can be estimated, the better the risk-benefit ratio using adjuvant therapy can be assessed. Not only is the relative risk of recurrence to be considered in the decision as to what patients are to be treated, but also the success of ""salvage"" therapy. Finally, some evidence is presented to indicate that alkylating agents may not be necessary in combination regimens for adjuvant therapy if effective antimetabolite combinations are available.","['Bertino, J R']",['Bertino JR'],['eng'],,['Journal Article'],United States,Int J Radiat Oncol Biol Phys,"International journal of radiation oncology, biology, physics",7603616,['0 (Antineoplastic Agents)'],IM,"['Animals', 'Antineoplastic Agents/administration & dosage/adverse effects', 'Breast Neoplasms/drug therapy', 'Dose-Response Relationship, Drug', 'Drug Administration Schedule', 'Drug Therapy, Combination', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia L1210/drug therapy', 'Mice', 'Neoplasm Invasiveness', 'Neoplasms/*drug therapy/pathology/radiotherapy', 'Prognosis', 'Time Factors']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']","['0360-3016(82)90393-5 [pii]', '10.1016/0360-3016(82)90393-5 [doi]']",ppublish,Int J Radiat Oncol Biol Phys. 1982 Jan;8(1):109-13. doi: 10.1016/0360-3016(82)90393-5.,,,,,,,,,,,,,
7061109,NLM,MEDLINE,19820521,20181113,0019-2805 (Print) 0019-2805 (Linking),45,3,1982 Mar,Immune complexes and circulating antibodies against autologous leukaemic cells in patients with acute leukaemias.,569-75,"Serum of patients with different forms of acute leukaemias were analysed either for the presence of circulating antibodies against autologous leukaemic cells or for that of soluble immune complexes. At the moment of their diagnosis, twelve of twenty-five patients with different types of leukaemias, showed circulating serum immunoglobulins capable of binding to the leukaemic cell surface (LCS). These anti-LCS immunoglobulins were of the IgG class and were detectable by a binding assay employing glutaraldehyde-fixed target cells and radioiodinated Staphylococcus aureus Protein A. Their digestion with pepsin showed that the site involved in the binding was in the F(ab')2 fragment. The anti-LCS immunoglobulins were observed in patients with non-lymphatic leukaemias but not in the four cases of acute lymphocytic leukaemia studied. Forty percent of the patients with anti-LCS immunoglobulins had high levels of circulating immune complexes, detectable by a competitive test with bovine conglutinin and an enzymatically-active antigen-antibody probe. After cytostatic chemotherapy, the level of circulating immune complexes decreased in all the patients, while the anti-LCS immunoglobulins remained constantly detectable and appeared also in those who were negative at the day of the diagnosis.","['Bertini, M', 'Galetto, G', 'Comoglio, P M']","['Bertini M', 'Galetto G', 'Comoglio PM']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Immunology,Immunology,0374672,"['0 (Antibodies, Neoplasm)', '0 (Antigen-Antibody Complex)', '0 (Immunoglobulin Fab Fragments)', '0 (Immunoglobulin G)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antibodies, Neoplasm/*analysis', 'Antigen-Antibody Complex/*analysis', 'Female', 'Humans', 'Immunoglobulin Fab Fragments/immunology', 'Immunoglobulin G/analysis', 'Leukemia/drug therapy/*immunology', 'Male', 'Middle Aged', 'Receptors, Antigen, B-Cell/analysis']",1982/03/01 00:00,1982/03/01 00:01,['1982/03/01 00:00'],"['1982/03/01 00:00 [pubmed]', '1982/03/01 00:01 [medline]', '1982/03/01 00:00 [entrez]']",,ppublish,Immunology. 1982 Mar;45(3):569-75.,PMC1555252,,,,,,,,,,,,
7061100,NLM,MEDLINE,19820527,20181113,0019-2805 (Print) 0019-2805 (Linking),45,2,1982 Feb,Tumour cell-antibody interactions. I. In vivo experiments.,303-12,Goats were immunized with membrane fractions of the L5178Y tumour syngenic to DBA/2 mice. IgG fractions of this antiserum were made tumour specific by repeated in vitro and in vivo absorptions with normal cells and concentrated by adsorption to and elution from tumour cells. In vivo studies indicated that the accumulation of 125I-labelled antibody in tumour tissue could not be improved by extensive purification and concentration. The observed clearance rates of radioactivity from tumours and whole animals showed that the metabolism of antibodies was significantly accelerated in the presence of target cells. It is suggested that a rapid neutralization and degradation of antibody by the target tissue prevents its accumulation in tumour nodules.,"['Froese, G', 'Berczi, I', 'Israels, L G']","['Froese G', 'Berczi I', 'Israels LG']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Immunology,Immunology,0374672,"['0 (Antibodies, Neoplasm)', '0 (Immunoglobulin G)']",IM,"['Animals', 'Antibodies, Neoplasm/*metabolism', 'Antibody Specificity', 'Female', 'Immunoglobulin G/metabolism', 'Leukemia L5178/*immunology', 'Leukemia, Experimental/*immunology', 'Mice', 'Mice, Inbred DBA', 'Spleen/immunology', 'Time Factors', 'Tissue Distribution']",1982/02/01 00:00,1982/02/01 00:01,['1982/02/01 00:00'],"['1982/02/01 00:00 [pubmed]', '1982/02/01 00:01 [medline]', '1982/02/01 00:00 [entrez]']",,ppublish,Immunology. 1982 Feb;45(2):303-12.,PMC1555280,,,,,,,,,,,,
7060819,NLM,MEDLINE,19820521,20191031,0304-3568 (Print) 0304-3568 (Linking),50,1,1982,Inhibiting effect of dehydroascorbic acid on cell division in ascites tumors in mice.,34-8,"The transplantable murine ascites tumors, P388 leukemia and Ehrlich carcinoma, demonstrated complete inhibition of mitotic activity after treatment with dehydroascorbic acid in mice. Citric acid at the same pH value (2.4), however, showed no diminution of mitoses. Microscopic examination of the stained ascites exudate taken from the mice treated with 10 mg dehydroascorbic acid revealed few tumor cells and a pronounced increase in white blood cells, whereas the ascites tumor exposed to citric acid appeared normal.","['Poydock, M E', 'Reikert, D', 'Rice, J', 'Aleandri, L']","['Poydock ME', 'Reikert D', 'Rice J', 'Aleandri L']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Exp Cell Biol,Experimental cell biology,7701827,"['0 (Citrates)', '2968PHW8QP (Citric Acid)', 'PQ6CK8PD0R (Ascorbic Acid)', 'Y2Z3ZTP9UM (Dehydroascorbic Acid)']",IM,"['Animals', 'Ascorbic Acid/*analogs & derivatives/pharmacology', 'Carcinoma, Ehrlich Tumor/*drug therapy', 'Cell Division/drug effects', 'Citrates/pharmacology', 'Citric Acid', 'Dehydroascorbic Acid/*pharmacology', 'Leukemia P388/*drug therapy', 'Leukemia, Experimental/*drug therapy', 'Leukocyte Count', 'Mice', 'Mitosis/drug effects']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1159/000163124 [doi]'],ppublish,Exp Cell Biol. 1982;50(1):34-8. doi: 10.1159/000163124.,,,,,,,,,,,,,
7060665,NLM,MEDLINE,19820521,20131121,0301-472X (Print) 0301-472X (Linking),10,2,1982 Feb,Hematopoietic stem cells in Friend murine leukemia virus infected mice undergoing chemotherapy: failure to eradicate Ep-independent erythropoiesis by BCNU.,151-60,"DBA/2 mice, 12 days after infection with the polycythemia-inducing Friend virus (F-MulV-P), were treated with a single dose of BCNU. The effect of 35 mg/kg and lower doses on the different stem cell pools (CFUS, CFUC, CFUE) and the F-MulV-P specific ICPC (infectious centers producing cells) and Ep-independent CFUE was studied in detail. The depression of CFUS and CFUC was comparable in normal and F-MuLV-P infected mice. The CFUE population of virus infected mice, which had been completely Ep independent before treatment, showed only some normal Ep dependent colony growth thereafter. This finding was in contrast to the effect of multiple doses of Hydroxyurea, studied previously, which had given the same quantitative depression of CFUS and CFUC. Possible reasons for this failure are discussed; they may be the more proliferation independent mode of action of BCNU and the delayed hemopoietic regeneration.","['Seidel, H J', 'Kreja, L']","['Seidel HJ', 'Kreja L']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['11096-26-7 (Erythropoietin)', 'U68WG3173Y (Carmustine)']",IM,"['Animals', 'Bone Marrow Cells', 'Carmustine/pharmacology', 'Cell Differentiation', 'Colony-Forming Units Assay', 'Erythropoiesis/*drug effects', 'Erythropoietin/*metabolism', 'Female', 'Friend murine leukemia virus', 'Hematopoietic Stem Cells/*drug effects', 'Leukemia, Experimental/*blood/etiology', 'Mice', 'Mice, Inbred DBA', 'Organ Size', 'Reticulocytes/cytology', 'Spleen/anatomy & histology']",1982/02/01 00:00,1982/02/01 00:01,['1982/02/01 00:00'],"['1982/02/01 00:00 [pubmed]', '1982/02/01 00:01 [medline]', '1982/02/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1982 Feb;10(2):151-60.,,,,,,,,,,,,,
7060036,NLM,MEDLINE,19820512,20131121,0361-5960 (Print) 0361-5960 (Linking),66,3,1982 Mar,Influence of renal failure on myelosuppressive effects of melphalan: Cancer and Leukemia Group B experience.,475-81,"The influence of renal insufficiency on melphalan-induced myelosuppression was examined during the initial 10 weeks of treatment in 295 patients with multiple myeloma. Patients were randomized to receive either oral melphalan (0.15 mg/kg/day for 7 days, followed by 0.05 mg/kg/day after recovery from the wbc count nadir) or iv melphalan (16 mg/m2 every 2 weeks for four doses, followed by a single dose every 4 weeks). All patients received a 6-week tapering course of prednisone. Patients with renal insufficiency (BUN greater than or equal to 30 mg/100 ml) had a significantly higher frequency of severe leukopenia (less than or equal to 1000 cells/mm3) following iv melphalan than did patients with normal renal function (50% vs 15%, respectively; P = 0.007). The latter effect resulted in an increased frequency of drug-related deaths secondary to infection. The frequency of severe thrombocytopenia (less than or equal to 25,000 cells/mm3) was also greater in patients with renal failure following iv melphalan therapy. Reduction of iv melphalan dose to 50% in patients with elevated BUN reduced the frequency of these complications to levels that were not significantly different from those observed in patients with normal renal function. The frequency of severe myelosuppression was independent of renal function in patients receiving oral melphalan. Possible explanations for these findings are discussed.","['Cornwell, G G 3rd', 'Pajak, T F', 'McIntyre, O R', 'Kochwa, S', 'Dosik, H']","['Cornwell GG 3rd', 'Pajak TF', 'McIntyre OR', 'Kochwa S', 'Dosik H']",['eng'],"['CA-04326/CA/NCI NIH HHS/United States', 'CA-04457/CA/NCI NIH HHS/United States', 'CA-16118/CA/NCI NIH HHS/United States', 'etc.']","['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Treat Rep,Cancer treatment reports,7607107,['Q41OR9510P (Melphalan)'],IM,"['Blood Urea Nitrogen', 'Bone Marrow/*drug effects', 'Humans', 'Kidney/physiopathology', 'Kidney Diseases/etiology/*physiopathology', 'Leukopenia/chemically induced', 'Melphalan/administration & dosage/*therapeutic use', 'Multiple Myeloma/complications/*drug therapy', 'Random Allocation', 'Thrombocytopenia/chemically induced']",1982/03/01 00:00,1982/03/01 00:01,['1982/03/01 00:00'],"['1982/03/01 00:00 [pubmed]', '1982/03/01 00:01 [medline]', '1982/03/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1982 Mar;66(3):475-81.,,,,,,,,,,,,,
7060027,NLM,MEDLINE,19820527,20061115,0008-5472 (Print) 0008-5472 (Linking),42,4,1982 Apr,Blood levels of a pteridine-binding alpha 1-acid glycoprotein in cancer patients.,1574-8,"A variant of alpha 1-acid glycoprotein was found previously in blood of malignant cases. It had been characterized as a pteridine-binding alpha 1-acid glycoprotein (P-AGPM). P-AGPM as well as the corresponding fraction of control origin were selectively enriched in the supernatant (Fraction b), obtained after digitonin extraction and subsequent alcohol and trichloroacetic acid fractionation of whole blood. In Fraction b, alpha 1-acid glycoprotein from control subjects + P-AGPM comprised 90 to 95% of total protein; it was quantitated by colorimetric determination of the protein-bound tyrosine and calibrated with the isolated compound. During a screening of malignant and nonmalignant cases, P-AGPM proved to be an acute-phase reactant to some extent. Marked increases during extended cancer and especially during leukemias corroborated the view that P-AGPM may be identical with abnormal orosomucoid. Longitudinal sections during leukemias suggested that the biopterin of leukemic cells may be metabolically related to the pteridine moiety of P-AGPM. Biopterin determinations by means of Crithidia assay in the blood of 136 cases of solid tumors showed that, due to its high rate of renal clearance, blood biopterin is not a reliable and persistent marker for proliferative activity, unless it is contained in the immature blood cells themselves, as is the case during leukemias.","['Fink, M', 'Ziegler, I', 'Maier, K', 'Wilmanns, W']","['Fink M', 'Ziegler I', 'Maier K', 'Wilmanns W']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Carrier Proteins)', '0 (Orosomucoid)', '0 (Pteridines)', '22150-76-1 (Biopterin)']",IM,"['Biopterin/blood', 'Carrier Proteins/*analysis', 'Humans', 'Leukemia/blood', 'Neoplasms/*blood', 'Orosomucoid/*analysis/metabolism', 'Pteridines/*metabolism']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Apr;42(4):1574-8.,,,,,,,,,,,,,
7060020,NLM,MEDLINE,19820527,20141120,0008-5472 (Print) 0008-5472 (Linking),42,4,1982 Apr,4'-O-tetrahydropyranyladriamycin as a potential new antitumor agent.,1462-7,"Chemotherapy with 4'-O-tetrahydropyranyladriamycin (THP-ADM), a new derivative of Adriamycin, was equally or more effective against several experimental mouse tumors than it was with Adriamycin (ADM). When mice with P388 leukemia were given i.p. injections of THP-ADM or ADM daily for 9 consecutive days, the maximum increases in life span (ILSs) of the mice were 190 and 175%, respectively. Eight of 24 mice treated with THP-ADM were free of tumor, while one of 24 mice treated with ADM was free of tumor. A single i.p. injection of either drug was also effective; maximum ILS was 170% for mice treated with THP-ADM and 240% for those treated with ADM. Nine of 12 mice were found to be free of tumor. THP-ADM was equally or slightly more effective against P388 leukemia than was ADM when either drug was given i.v. The maximum ILS was 106% with THP-ADM and 77% with ADM when the drug was given for 9 consecutive days. Single i.v. injections of THP-ADM or ADM were almost equally (ILS, 100%) effective. Chemotherapy with THP-ADM was also very effective against L1210 leukemia. THP-ADM administered i.p. five times, every other day starting from Day 1, was more effective than ADM was against Lewis lung carcinoma, B16 melanoma, and colon adenocarcinoma 38 inoculated s.c. In the study with Lewis lung carcinoma, metastasis to the lungs was well suppressed by THP-ADM. ADM was more effective than was THP-ADM against colon adenocarcinoma 26. Because THP-ADM was more cytotoxic than or almost equally as cytotoxic as ADM against the established cell lines from the above mouse tumors, we suggest that THP-ADM is more efficiently transported into cultured cells.","['Tsuruo, T', 'Iida, H', 'Tsukagoshi, S', 'Sakurai, Y']","['Tsuruo T', 'Iida H', 'Tsukagoshi S', 'Sakurai Y']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', '80168379AG (Doxorubicin)', 'D58G680W0G (pirarubicin)']",IM,"['Adenocarcinoma/drug therapy', 'Animals', 'Antineoplastic Agents/*therapeutic use', 'Cell Line', 'Colonic Neoplasms/drug therapy', 'Doxorubicin/*analogs & derivatives/therapeutic use', 'Leukemia P388/drug therapy', 'Lung Neoplasms/drug therapy', 'Melanoma/drug therapy', 'Mice', 'Mice, Inbred Strains', 'Neoplasms, Experimental/drug therapy']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Apr;42(4):1462-7.,,,,,,,,,,,,,
7060016,NLM,MEDLINE,19820527,20141120,0008-5472 (Print) 0008-5472 (Linking),42,4,1982 Apr,Metabolic and ultrastructural aspects of the in vitro lysis of chronic lymphocytic leukemia cells by glucocorticoids.,1433-40,"Human chronic lymphocytic leukemia (CLL) cells like prothymocytes and immunoactivated T-lymphocytes are readily lysed in vitro by pharmacological concentrations of glucocorticoids such as cortisol, whereas peripheral blood lymphocytes and thymocytes are unaffected by the hormone. In this study, metabolic and ultrastructural aspects of the cortisol-induced killing process of CLL cells are recorded. In vitro lysis was found to be temperature dependent and was detected only after 6 to 8 hr incubation with cortisol by means of the trypan blue exclusion test. However, 30 min of incubation with cortisol at either 37 degrees or 4 degrees followed by the removal of the hormone was still sufficient to induce the lytic process. Ultrastructural studies demonstrated sequential changes in the cytoplasm, including swelling of mitochondria and cytoplasmic decompartmentalization, followed by loss of surface microvilli with the appearance of ""holes"" in the cell membrane, and subsequent condensation of nuclear chromatin. The large holes in the membrane appearing after 6 hr of incubation with the hormone may be the cause for the penetration of the viable stain into the dead cells, as seen by light microscopy. Addition of metabolic inhibitors including actinomycin D, puromycin, and cycloheximide following administration of cortisol resulted in inhibition of the cell lysis. An excess of an antagonist such as cortexolone was found to inhibit the cortisol-induced cytolysis of the CLL cells. It is suggested that the glucocorticoid-induced lysis of human CLL cells is similar to the phenomenon observed in rat or murine lymphocytes and is mediated by interaction of the steroid molecule with the cytoplasmic receptor. The resulting complex appears to activate specific gene(s) the products of which eventually cause cytolysis.","['Galili, U', 'Leizerowitz, R', 'Moreb, J', 'Gamliel, H', 'Gurfel, D', 'Polliack, A']","['Galili U', 'Leizerowitz R', 'Moreb J', 'Gamliel H', 'Gurfel D', 'Polliack A']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Glucocorticoids)', '0 (Receptors, Glucocorticoid)', '1CC1JFE158 (Dactinomycin)', 'WI4X0X7BPJ (Hydrocortisone)']",IM,"['Dactinomycin/pharmacology', 'Glucocorticoids/*pharmacology', 'Humans', 'Hydrocortisone/pharmacology', 'In Vitro Techniques', 'Leukemia, Lymphoid/*pathology/ultrastructure', 'Lymphocytes/*drug effects', 'Microscopy, Electron, Scanning', 'Receptors, Glucocorticoid/metabolism', 'Temperature']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Apr;42(4):1433-40.,,,,,,,,,,,,,
7059994,NLM,MEDLINE,19820512,20131121,0008-5472 (Print) 0008-5472 (Linking),42,3,1982 Mar,Mechanism of efflux of melphalan from L5178Y lymphoblasts in vitro.,987-91,"The mechanism of efflux of melphalan from L5178Y lymphoblasts in vitro was investigated. Evidence was obtained that drug efflux occurs by a process different from the influx mechanism. A time course of efflux followed a first-order process for at least 5 min, with a rate constant K of 0.13 +/- 0.05 (S.D.) min-1, and approximately 80% of drug taken up by the cells was exchangeable. From a kinetic analysis of melphalan efflux, it was not possible to determine if the mechanism of drug efflux was simple diffusion or a technically nonsaturable carrier-mediated process. The Q10 for drug efflux varied from 1.2 to 1.8, values intermediate between those expected for simple diffusion and a carrier-mediated process. Furthermore, drug efflux was sodium independent and was not inhibited by the presence of amino acids on the same side of the membrane, findings which support the concept that efflux was by simple diffusion. The presence of a wide variety of amino acids in the extracellular medium was found to stimulate melphalan efflux. An evaluation of the structure-activity relationship disclosed that amino acids containing hydroxyl, acidic, or amide side chains were most active; however, a distinct pattern between amino acid structure and stimulation of efflux was not established. The stimulation process was concentration dependent and was not restricted to either L5178Y cells or to melphalan as transport substrate.","['Begleiter, A', 'Grover, J', 'Goldenberg, G J']","['Begleiter A', 'Grover J', 'Goldenberg GJ']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Amino Acids)', '9NEZ333N27 (Sodium)', 'Q41OR9510P (Melphalan)']",IM,"['Amino Acids/*pharmacology', 'Animals', 'Biological Transport, Active/drug effects', 'Dose-Response Relationship, Drug', 'Kinetics', 'Leukemia L5178/*metabolism', 'Leukemia, Experimental/*metabolism', 'Lymphocytes/*metabolism', 'Melphalan/*metabolism', 'Mice', 'Sodium/pharmacology', 'Stimulation, Chemical', 'Structure-Activity Relationship', 'Time Factors']",1982/03/01 00:00,1982/03/01 00:01,['1982/03/01 00:00'],"['1982/03/01 00:00 [pubmed]', '1982/03/01 00:01 [medline]', '1982/03/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Mar;42(3):987-91.,,,,,,,,,,,,,
7059992,NLM,MEDLINE,19820512,20131121,0008-5472 (Print) 0008-5472 (Linking),42,3,1982 Mar,Biochemical characterization of fluoropyrimidine-resistant murine leukemic cell lines.,965-73,"Twenty clones stably resistant to 5-fluorouracil, 5-fluoro-2'-deoxyuridine, or 5-fluorouridine have been isolated from L1210 or P388 murine leukemia cells by a one-step mutation and selection procedure. The activities of enzymes of the pyrimidine salvage pathway relevant to the activation of these drugs have been determined in order to elucidate the mechanisms of resistance in these cells. Cell line resistant to 5-fluorouracil have 7 to 50% of the pyrimidine phosphoribosyltransferase activity found in the wild-type cells, with 5-fluorouracil, uracil, or orotate as substrate. Cells selected for resistance to 5-fluoro-2'-deoxyuridine have no detectable thymidine kinase activity. 5-Fluorouridine-resistant cells have 3 to 25% of the uridine kinase activity measured in the wild-type cell lines. No significant changes were observed in the activities of thymidylate synthetase, nucleoside phosphorylases, or 5-fluorouridylate kinase in any of the resistant cell lines. These findings have relevance to the treatment of human cancer, since pyrimidine phosphoribosyltransferase, thymidine kinase, or uridine kinase could be assayed in tumor biopsies in order to predict whether the fluoropyrimidines would be effective in individual patients.","['Mulkins, M A', 'Heidelberger, C']","['Mulkins MA', 'Heidelberger C']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antimetabolites, Antineoplastic)', '0 (Pyrimidines)', 'EC 2.1.1.45 (Thymidylate Synthase)', 'EC 2.4.2.- (Pentosyltransferases)', 'EC 2.4.2.- (pyrimidine phosphoribosyltransferase)', 'EC 2.7.1.21 (Thymidine Kinase)', 'EC 2.7.1.48 (Uridine Kinase)', 'U3P01618RT (Fluorouracil)']",IM,"['Animals', 'Antimetabolites, Antineoplastic/*metabolism', 'Biotransformation', 'Cell Line', 'Cell Separation', 'Drug Resistance', 'Fluorouracil/metabolism', 'Leukemia L1210', 'Leukemia P388', 'Leukemia, Experimental/*enzymology', 'Mice', 'Pentosyltransferases/*metabolism', 'Pyrimidines/metabolism', 'Thymidine Kinase/*metabolism', 'Thymidylate Synthase/metabolism', 'Uridine Kinase/metabolism']",1982/03/01 00:00,1982/03/01 00:01,['1982/03/01 00:00'],"['1982/03/01 00:00 [pubmed]', '1982/03/01 00:01 [medline]', '1982/03/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Mar;42(3):965-73.,,,,,,,,,,,,,
7059991,NLM,MEDLINE,19820512,20131121,0008-5472 (Print) 0008-5472 (Linking),42,3,1982 Mar,"Biochemical correlates of responsiveness and collateral sensitivity of some methotrexate-resistant murine tumors to the lipophilic antifolate, metoprine.",924-8,"The M5076 murine ""ovarian"" tumor which is naturally refractive to methotrexate was found to be highly responsive to the lipophilic antifolate, metoprine. M5076 cells were markedly deficient in mediated entry of methotrexate. This was in contrast to the L1210 leukemia, a tumor highly responsive to methotrexate but poorly responsive to metoprine. Two L1210 leukemia sublines, with acquired resistance to methotrexate by virtue of a deficiency in mediated entry of drug similar to that seen for M5076 cells, were found to be collaterally sensitive to metoprine. The insensitivity to methotrexate of the M5076 tumor and the two L1210 sublines is associated with low saturability (high Km) and reduced capacity (low Vmax) for mediated influx of drug. 5-Methyltetrahydrofolate, the major circulating folate in blood but not metoprine, shares this mediated route for entry. Therefore, a relatively low level of accumulation of this natural folate in these methotrexate-resistant tumors, in the face of a metoprine-induced blockade at the level of dihydrofolate reductase, probably accounts for the high sensitivity of these tumors to this lipophilic agent. Evidence for this notion was derived during transport and growth experiments in vitro using 5-formyltetrahydrofolate as a model folate coenzyme. The value for influx Vmax of this folate compound in a transport-deficient methotrexate-resistant subline compared to the parental L1210 was reduced to the same extent as that shown for methotrexate. Growth of this resistant L1210 subline showed a greater requirement for this model compound than did the parental line. Also, the concentration necessary for 50% inhibition by metoprine in the presence of this reduced folate was lower in the resistant subline. Inhibition of each cell line by metoprine, on the other hand, was the same when folic acid was used as the folate source. The implications of these findings for the use of lipophilic antifolates as alternative therapy for some methotrexate-resistant tumors are discussed.","['Sirotnak, F M', 'Moccio, D M', 'Goutas, L J', 'Kelleher, L E', 'Montgomery, J A']","['Sirotnak FM', 'Moccio DM', 'Goutas LJ', 'Kelleher LE', 'Montgomery JA']",['eng'],"['CA-08748/CA/NCI NIH HHS/United States', 'CA-18856/CA/NCI NIH HHS/United States', 'CA-22764/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Formyltetrahydrofolates)', '2L9RKX796Q (metoprine)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'YL5FZ2Y5U1 (Methotrexate)', 'Z3614QOX8W (Pyrimethamine)']",IM,"['Animals', 'Biological Transport', 'Cell Line', 'Drug Resistance', 'Formyltetrahydrofolates/metabolism', 'Kinetics', 'Leukemia L1210/drug therapy/metabolism', 'Methotrexate/administration & dosage', 'Mice', 'Neoplasm Transplantation', 'Neoplasms, Experimental/drug therapy/*metabolism', 'Pyrimethamine/*analogs & derivatives/pharmacology', 'Tetrahydrofolate Dehydrogenase/metabolism']",1982/03/01 00:00,1982/03/01 00:01,['1982/03/01 00:00'],"['1982/03/01 00:00 [pubmed]', '1982/03/01 00:01 [medline]', '1982/03/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Mar;42(3):924-8.,,,,,,,,,,,,,
