PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,PMC,PS,FPS,CN,CIN,OID,OAB,OABL,OTO,OT,GN,RIN,SI
6375129,NLM,MEDLINE,19840702,20061115,0507-3758 (Print) 0507-3758 (Linking),30,4,1984,[Statistics and various aspects of the epidemiology of lymphatic and hematologic neoplasms].,82-96,,"['Lebedev, V N']",['Lebedev VN'],['rus'],,"['Comparative Study', 'Journal Article', 'Review']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Child', 'Child, Preschool', 'Epidemiologic Methods', 'Female', 'Humans', 'Infant', 'Leukemia/*epidemiology', 'Lymphoma/*epidemiology', 'Male', 'Middle Aged', 'Sex Factors', 'USSR']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",,ppublish,Vopr Onkol. 1984;30(4):82-96.,59,Statistika i nekotorye voprosy epidemiologii zlokachestvennykh novoobrazovanii limfaticheskoi i krovetvornoi tkani.,,,,,,,,,,,,,
6375011,NLM,MEDLINE,19840723,20190713,0041-1337 (Print) 0041-1337 (Linking),37,6,1984 Jun,"The potential use of immunotoxins in transplantation, cancer therapy, and immunoregulation.",535-8,,"['Vitetta, E S', 'Uhr, J W']","['Vitetta ES', 'Uhr JW']",['eng'],,"['Journal Article', 'Review']",United States,Transplantation,Transplantation,0132144,"['0 (Adjuvants, Immunologic)', '0 (Antibodies, Monoclonal)', '0 (Antitoxins)', '0 (Cytotoxins)', '0 (Toxins, Biological)', '9009-86-3 (Ricin)']",IM,"['Adjuvants, Immunologic/therapeutic use', 'Animals', 'Antibodies, Monoclonal/administration & dosage/therapeutic use', 'Antibody Formation', 'Antitoxins/administration & dosage/*immunology/therapeutic use', 'Bone Marrow Transplantation', 'Chemical Phenomena', 'Chemistry, Physical', 'Cross Reactions', 'Cytotoxins/therapeutic use', 'Disease Models, Animal', 'Drug Stability', 'Humans', 'In Vitro Techniques', 'Leukemia/immunology/*therapy', 'Mice', 'Ricin/immunology', 'Toxins, Biological/immunology']",1984/06/01 00:00,1984/06/01 00:01,['1984/06/01 00:00'],"['1984/06/01 00:00 [pubmed]', '1984/06/01 00:01 [medline]', '1984/06/01 00:00 [entrez]']",['10.1097/00007890-198406000-00001 [doi]'],ppublish,Transplantation. 1984 Jun;37(6):535-8. doi: 10.1097/00007890-198406000-00001.,31,,,,,,,,,,,,,,
6374403,NLM,MEDLINE,19840712,20191210,0098-1532 (Print) 0098-1532 (Linking),12,3,1984,Impact of the timing of triple intrathecal therapy on remission induction in childhood acute lymphoblastic leukemia: a Pediatric Oncology Group study.,173-7,"Five weekly doses of triple intrathecal (IT) chemotherapy (methotrexate, hydrocortisone, cytosine arabinoside) starting on day 1 of treatment were added to systemic induction therapy in a regimen (Arm 3) that was compared to three other regimens (Arms 1, 2, and 4) in which central nervous system (CNS) prophylaxis was initiated after complete marrow remission (CR) was attained. The CR rate for Arm 3 was only 83% as compared to 91-92% for other Arms. The lower CR rate was the result of a significantly higher death rate during induction for patients receiving early CNS prophylaxis (10.6 vs 0.9-3.5%). These differences were only observed in high risk patients as defined in the study. The early death rate was especially high (30%) in Arm 3 for children who were less than 2 years of age. Infection was the primary cause of morbidity and mortality. Severe infection following the initiation of induction therapy was found in 16.7% of patients on Arm 3 vs 1.8-6% on other regimens. Immediate triple IT chemoprophylaxis during induction therapy of acute lymphoblastic leukemia as used in this study appears to be associated with increased susceptibility to infection and this form of CNS prophylaxis has increased hazards of morbidity and mortality in infants and other high risk patients.","['Hvizdala, E', 'Berry, D H', 'Chen, T', 'Dyment, P G', 'Kim, T H', 'Steuber, C P', 'Sullivan, M P']","['Hvizdala E', 'Berry DH', 'Chen T', 'Dyment PG', 'Kim TH', 'Steuber CP', 'Sullivan MP']",['eng'],"['CA-03713/CA/NCI NIH HHS/United States', 'CA-15995/CA/NCI NIH HHS/United States', 'CA-26756/CA/NCI NIH HHS/United States', 'etc.']","['Clinical Trial', 'Comparative Study', 'Controlled Clinical Trial', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,,IM,"['Age Factors', 'Antineoplastic Combined Chemotherapy Protocols/*administration & dosage/adverse effects', 'Central Nervous System Diseases/*prevention & control', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Drug Administration Schedule', 'Female', 'Fever/chemically induced', 'Humans', 'Infant', 'Infections/etiology', 'Injections, Spinal', 'Leukemia, Lymphoid/*drug therapy/mortality', 'Leukocyte Count', 'Male', 'Neutropenia/chemically induced', 'Thrombocytopenia/chemically induced']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1002/mpo.2950120306 [doi]'],ppublish,Med Pediatr Oncol. 1984;12(3):173-7. doi: 10.1002/mpo.2950120306.,,,,,,,,,,,,,,,
6374402,NLM,MEDLINE,19840712,20190904,0098-1532 (Print) 0098-1532 (Linking),12,3,1984,Lithium treatment in adults with acute myeloid leukemia receiving chemotherapy.,169-72,"To determine whether lithium can shorten chemotherapy-induced neutropenia, 35 adult patients with newly diagnosed acute myeloid leukemia undergoing initial chemotherapy were randomized either to receive oral lithium started at the time of biopsy-proven hypoplasia or to receive no lithium. This study failed to show statistically significant shortening of the duration of chemotherapy-induced neutropenia in the lithium treatment group.","['Horns, R C Jr', 'Schrier, S L', 'Greenberg, P L']","['Horns RC Jr', 'Schrier SL', 'Greenberg PL']",['eng'],,"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,['9FN79X2M3F (Lithium)'],IM,"['Adult', 'Agranulocytosis/*drug therapy', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects/therapeutic use', 'Clinical Trials as Topic', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Leukocyte Count', 'Lithium/*therapeutic use', 'Male', 'Neutropenia/chemically induced/*drug therapy', 'Random Allocation']",1984/01/01 00:00,2001/03/28 10:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1002/mpo.2950120305 [doi]'],ppublish,Med Pediatr Oncol. 1984;12(3):169-72. doi: 10.1002/mpo.2950120305.,,,,,,,,,,,,,,,
6374239,NLM,MEDLINE,19840720,20071114,0027-8874 (Print) 0027-8874 (Linking),72,6,1984 Jun,Evaluation of role of natural killer cells in radiation-induced leukemogenesis in mice.,1397-403,"The relationship of the leukemogenic and natural killer (NK)-suppressive effects of fractionated doses of gamma-radiation in mice was studied. A/J mice were relatively resistant; CBA/J, BALB/c, and C57BL/6 were susceptible to both the NK-suppressive and leukemogenic effects, and young (1 mo old) C57BL/6 mice were more susceptible than were 2- and 3-month-old C57BL/6 mice to both effects. Age-dependent susceptibility to radiation-induced leukemogenesis also was observed in C57BL/6 (bg/bg) (beige) mice. No differences in incidence and latent period of lymphoma development were found between C57BL/6 (+/+) and beige mice. Bone marrow cells (BMC) from normal C57BL/6 donors reconstituted the NK reactivity of irradiated C57BL/6 (+/+) or beige recipients and inhibited leukemogenesis. Although BMC of beige donors did not reconstitute the NK reactivity of irradiated C57BL/6 (+/+) or beige recipients, these cells were as efficient for antileukemic protection as were BMC from C57BL/6 (+/+) mice. The bone marrow of irradiated mice contained preleukemia cells that produced leukemias when transplanted iv into recipients preirradiated with 400 R. Inoculation (iv) of spleen cells (SpC) from syngeneic nude mice plus preleukemia bone marrow cells (PBMC) were able to inhibit leukemia formation in the 400 R-irradiated recipients. SpC from beige mice, normal C57BL/6 (+/+) mice, or C57BL/6 (+/+) mice treated with anti-asialo GM1 serum had no influence on the development of leukemia after their transplantation with PBMC.","['Gorelik, E', 'Rosen, B', 'Copeland, D', 'Weatherly, B', 'Herberman, R B']","['Gorelik E', 'Rosen B', 'Copeland D', 'Weatherly B', 'Herberman RB']",['eng'],['N01CO-23910/CO/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Aging/radiation effects', 'Animals', 'Bone Marrow/radiation effects', 'Bone Marrow Transplantation', 'Disease Susceptibility', 'Dose-Response Relationship, Radiation', 'Female', 'Gamma Rays', 'Killer Cells, Natural/*immunology/radiation effects', 'Leukemia, Radiation-Induced/*etiology/immunology', 'Mice', 'Mice, Inbred A', 'Mice, Inbred C57BL', 'Mice, Inbred CBA', 'Spleen/radiation effects/transplantation', 'Whole-Body Irradiation']",1984/06/01 00:00,1984/06/01 00:01,['1984/06/01 00:00'],"['1984/06/01 00:00 [pubmed]', '1984/06/01 00:01 [medline]', '1984/06/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1984 Jun;72(6):1397-403.,,,,,,,,,,,,,,,
6374213,NLM,MEDLINE,19840725,20191031,0021-5120 (Print) 0021-5120 (Linking),23,2,1984 May,Detection of terminal deoxynucleotidyl transferase (TdT)-positive leukemia cells by an immunoperoxidase staining.,114-7,"Several conditions for the immunoperoxidase staining on terminal deoxynucleotidyl transferase (TdT) were surveyed in leukemic cells. Fixation of the slides in methanol containing 0.03% hydrogen peroxide for 30 min obliterated endogenous peroxidase completely. Pretreatment of the slides with normal goat serum diminished nonspecific staining effectively. Replacement of rabbit anti-TdT serum with non-immune rabbit IgG gave negative staining in the slides from TdT+ cases. The presence or the absence of TdT and % TdT+ cells determined by this method were in concordance with those assessed by immunofluorescence (IF) or by biochemical assay. Therefore, the immunoperoxidase staining provides an easy and dependable method to survey TdT by bright-field microscopy. The peroxidase+ small granules were detected in the nucleus of the blasts from TdT+ ALL cases. However, in two of four cases with CML in blast crisis peroxidase+ granules were distributed in the cytoplasm as well as in the nucleus. This finding suggests that blasts of some CML cases in blast crisis have phenotypic characteristics similar to some population of TdT+ cells in thymocytes.","['Sasaki, R', 'Bollum, F J', 'Takaku, F', 'Miura, Y']","['Sasaki R', 'Bollum FJ', 'Takaku F', 'Miura Y']",['eng'],,['Journal Article'],Japan,Jpn J Med,Japanese journal of medicine,0247713,"['EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Adult', 'Aged', 'Bone Marrow/*enzymology/pathology', 'DNA Nucleotidylexotransferase/*analysis', 'DNA Nucleotidyltransferases/*analysis', 'Female', 'Fluorescent Antibody Technique', 'Humans', 'Immunoenzyme Techniques', 'Leukemia, Lymphoid/*enzymology/pathology', 'Leukemia, Myeloid/*enzymology/pathology', 'Male', 'Middle Aged']",1984/05/01 00:00,1984/05/01 00:01,['1984/05/01 00:00'],"['1984/05/01 00:00 [pubmed]', '1984/05/01 00:01 [medline]', '1984/05/01 00:00 [entrez]']",['10.2169/internalmedicine1962.23.114 [doi]'],ppublish,Jpn J Med. 1984 May;23(2):114-7. doi: 10.2169/internalmedicine1962.23.114.,,,,,,,,,,,,,,,
6374210,NLM,MEDLINE,19840726,20110729,0021-499X (Print) 0021-499X (Linking),93,14,1983 Dec,[Case of adult T-cell leukemia--in situ characterization of lymphoid cells using monoclonal antibodies].,1537-9,,"['Sudo, S', 'Takahashi, S', 'Igarashi, R', 'Morohashi, M']","['Sudo S', 'Takahashi S', 'Igarashi R', 'Morohashi M']",['jpn'],,"['Case Reports', 'Journal Article']",Japan,Nihon Hifuka Gakkai Zasshi,Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,7600571,"['0 (Antibodies, Monoclonal)']",IM,"['Aged', 'Antibodies, Monoclonal/*immunology', 'Humans', 'Immunoenzyme Techniques', 'Leukemia/*immunology/pathology', 'Male', 'Skin/pathology', 'T-Lymphocytes/immunology']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']",,ppublish,Nihon Hifuka Gakkai Zasshi. 1983 Dec;93(14):1537-9.,,,,,,,,,,,,,,,
6374189,NLM,MEDLINE,19840723,20190630,0098-7484 (Print) 0098-7484 (Linking),252,2,1984 Jul 13,Landmark perspective: The Australia antigen.,258-60,,"['Gill, T J 3rd', 'Jenkins, D E Jr']","['Gill TJ 3rd', 'Jenkins DE Jr']",['eng'],,"['Biography', 'Historical Article', 'Journal Article']",United States,JAMA,JAMA,7501160,['0 (Hepatitis B Surface Antigens)'],IM,"['Hepatitis B/*history', '*Hepatitis B Surface Antigens/analysis', 'History, 20th Century', 'Humans', 'Leukemia/*history/immunology', 'United States']",1984/07/13 00:00,2001/03/28 10:01,['1984/07/13 00:00'],"['1984/07/13 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1984/07/13 00:00 [entrez]']",['10.1001/jama.252.2.258 [doi]'],ppublish,JAMA. 1984 Jul 13;252(2):258-60. doi: 10.1001/jama.252.2.258.,,,,"['Blumberg BS', 'Alter HJ', 'Visnich S']","['Blumberg, B S', 'Alter, H J', 'Visnich, S']",,,,,,,,,,
6374187,NLM,MEDLINE,19840723,20190630,0098-7484 (Print) 0098-7484 (Linking),252,2,1984 Jul 13,"Landmark article Feb 15, 1965: A ""new"" antigen in leukemia sera. By Baruch S. Blumberg, Harvey J. Alter, and Sam Visnich.",252-7,,"['Blumberg, B S', 'Alter, H J', 'Visnich, S']","['Blumberg BS', 'Alter HJ', 'Visnich S']",['eng'],,"['Biography', 'Historical Article', 'Journal Article']",United States,JAMA,JAMA,7501160,['0 (Hepatitis B Surface Antigens)'],IM,"['Blood Transfusion', 'Hemophilia A/history/immunology', '*Hepatitis B Surface Antigens/analysis', 'History, 20th Century', 'Humans', 'Leukemia/diagnosis/*history/immunology', 'United States']",1984/07/13 00:00,1984/07/13 00:01,['1984/07/13 00:00'],"['1984/07/13 00:00 [pubmed]', '1984/07/13 00:01 [medline]', '1984/07/13 00:00 [entrez]']",['10.1001/jama.252.2.252 [doi]'],ppublish,JAMA. 1984 Jul 13;252(2):252-7. doi: 10.1001/jama.252.2.252.,,,,"['Blumberg BS', 'Alter HJ', 'Visnich S']","['Blumberg, B S', 'Alter, H J', 'Visnich, S']",,,,,,,,,,
6374165,NLM,MEDLINE,19840625,20200724,0022-538X (Print) 0022-538X (Linking),50,3,1984 Jun,Lysis of uninfected and virus-infected cells in vivo: a rejection mechanism in addition to that mediated by natural killer cells.,698-707,"To examine the lysis of virus-infected cells in vivo, uninfected and lymphocytic choriomeningitis virus (LCMV)-infected L-929 cells were labeled in vitro with [125I]-iododeoxyuridine and implanted intravenously into mice. Natural cytotoxicity against both uninfected and virus-infected cells was demonstrated in normal uninfected mice, but LCMV-infected cells were cleared from the lungs and whole bodies more rapidly than uninfected cells. Treatment of L-929 cells with defective interfering LCMV inhibited standard virus synthesis and protected the target cells from enhanced in vivo rejection. The in vivo rejection was apparently mediated by a cellular constituent of the host immune response and not simply a result of virus-induced cytopathic effects on the target cell, as hydrocortisone acetate and cyclophosphamide each reduced rejection of both target cell types and eliminated the enhanced rejection of LCMV-infected cells. The enhanced rejection of LCMV-infected cells was not restricted by histocompatibility antigens, indicating that classic T-cell recognition was not involved in the lysis, and since the enhanced rejection of LCMV-infected cells was mediated by mice treated with cobra venom factor, complement was also not involved in the lysis. Although moderate levels of interferon (102 U/ml) were present in the sera and although there was a modest activation of natural killer (NK) cells in the lungs of LCMV-infected cell recipients but not uninfected cell recipients, the enhanced rejection of virus-infected cells did not appear to be NK cell mediated. Normal mice and mice depleted of NK cell activity by in vivo treatment with antibody to asialo ganglio-n-tetraosylceramide ( AGM1 ) rejected uninfected and LCMV-infected L-929 cells similarly. This antibody markedly inhibited the rejection of NK-sensitive YAC-1 cells. In addition to the natural cytotoxicity directed against virus-infected cells, a second nonspecific rejection mechanism appeared in response to treatment protocols which induced interferon. Polyinosinic-polycytidylic acid and infection with LCMV augmented in vivo rejection of both uninfected and LCMV-infected L-929 cells but eliminated the differential rejection of the virus-infected cells. Infection with LCMV also augmented the in vivo rejection of the NK-sensitive target cell, YAC-1. In vivo treatments with anti- AGM1 sera only moderately inhibited the elevated rejection of uninfected and LCMV-infected L-929 cells, indicating that the enhanced rejection of these target cells was predominantly mediated by a mechanism other than that mediated by NK cells.(ABSTRACT TRUNCATED AT 400 WORDS)","['Biron, C A', 'Habu, S', 'Okumura, K', 'Welsh, R M']","['Biron CA', 'Habu S', 'Okumura K', 'Welsh RM']",['eng'],"['AI00432/AI/NIAID NIH HHS/United States', 'AI17672/AI/NIAID NIH HHS/United States', 'CA34461/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['3X7931PO74 (hydrocortisone acetate)', '8N3DW7272P (Cyclophosphamide)', '9007-36-7 (Complement System Proteins)', 'WI4X0X7BPJ (Hydrocortisone)']",IM,"['Animals', 'Cell Line', 'Complement System Proteins/analysis', 'Cyclophosphamide/pharmacology', 'Fluorescent Antibody Technique', 'Hydrocortisone/analogs & derivatives/pharmacology', 'Immunity, Innate', 'Killer Cells, Natural/drug effects/*immunology', 'L Cells/immunology', 'Leukemia, Experimental', 'Lymphocytic choriomeningitis virus/*immunology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred Strains']",1984/06/01 00:00,1984/06/01 00:01,['1984/06/01 00:00'],"['1984/06/01 00:00 [pubmed]', '1984/06/01 00:01 [medline]', '1984/06/01 00:00 [entrez]']",['10.1128/JVI.50.3.698-707.1984 [doi]'],ppublish,J Virol. 1984 Jun;50(3):698-707. doi: 10.1128/JVI.50.3.698-707.1984.,,,PMC255727,,,,,,,,,,,,
6374054,NLM,MEDLINE,19840718,20170210,0732-183X (Print) 0732-183X (Linking),2,6,1984 Jun,Efficacy trial of pipobroman in polycythemia vera and incidence of acute leukemia.,558-61,"A trial was conducted between 1970 and 1981 with pipobroman (PB) in 100 consecutive patients with polycythemia vera (PV), followed for a median time of 60 months, to evaluate the efficacy of this drug and assess the risk of acute leukemia. Phlebotomy was not done before PB was given. Hematologic remission was achieved in 92% of previously untreated patients in a median time of 12 weeks (range, 6-48 weeks) and maintained for a median of 48 months. Acute hematologic toxicity was absent. The median overall survival was 140 months with 65% five-year complication-free survival; the overall death rate at 12 years was 23% (6% of patients died of thrombotic complications). The actuarial risk of acute leukemia was 6% and 9% at five and seven years, and the time from the diagnosis of PV to leukemia ranged from 14 to 81 months. Myelofibrosis occurred in three patients and lung carcinoma in one. All leukemias were nonlymphoid with prominent monocytic component and dyserythropoiesis. One patient had erythroleukemia, two cases were heralded by preleukemia with chromosomal abnormalities, one involving the chromosomes 5 and 7. PB is effective in PV; however, despite an easy induction of remission, continuous low-dose maintenance is necessary and the risk of subsequent acute leukemia is still significant.","['Brusamolino, E', 'Salvaneschi, L', 'Canevari, A', 'Bernasconi, C']","['Brusamolino E', 'Salvaneschi L', 'Canevari A', 'Bernasconi C']",['eng'],,"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,['6Q99RDT97R (Pipobroman)'],IM,"['Clinical Trials as Topic', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Monocytic, Acute/*etiology', 'Leukemia, Myeloid, Acute/*etiology', 'Male', 'Middle Aged', 'Pipobroman/*therapeutic use', 'Polycythemia Vera/complications/*drug therapy/mortality', 'Risk']",1984/06/01 00:00,1984/06/01 00:01,['1984/06/01 00:00'],"['1984/06/01 00:00 [pubmed]', '1984/06/01 00:01 [medline]', '1984/06/01 00:00 [entrez]']",['10.1200/JCO.1984.2.6.558 [doi]'],ppublish,J Clin Oncol. 1984 Jun;2(6):558-61. doi: 10.1200/JCO.1984.2.6.558.,,,,,,,,,,,,,,,
6374049,NLM,MEDLINE,19840627,20170210,0732-183X (Print) 0732-183X (Linking),2,5,1984 May,"Intensive chemotherapy, total body irradiation, and autologous marrow transplantation for chronic granulocytic leukemia-blast phase: report of four additional cases.",379-84,"Four patients with Philadelphia chromosome (Ph1)-positive chronic granulocytic leukemia (CGL) in blast phase received cyclophosphamide, total body irradiation, and autologous marrow transplants using cryopreserved marrow from the stable phase. Two patients fully reestablished stable-phase leukemia that lasted for 26 and six months; the first patient developed transient Ph1-negative hematopoiesis after transplantation. Three patients eventually died of recurrent blast-phase leukemia. Previous studies using autologous marrow for CGL have reported an occasional long survivor, but incomplete engraftment and especially the rapid recurrence of blast-phase leukemia have been responsible for the overall poor results. The latter problem complicates even normal marrow transplantation, indicating the inadequacy of the current therapeutic regimens used for treating blast-phase leukemia and the possibility of improving results with more effective regimens and autologous marrow transplantation. Although it is unknown whether the reestablishment of Ph1-negative hematopoiesis after transplantation contributes to improved survival, this interesting phenomenon must be investigated further.","['Phillips, G L', 'Herzig, G P']","['Phillips GL', 'Herzig GP']",['eng'],"['CA 03376/CA/NCI NIH HHS/United States', 'R01 CA26817/CA/NCI NIH HHS/United States']","['Case Reports', 'Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['8N3DW7272P (Cyclophosphamide)', 'G1LN9045DK (Busulfan)']",IM,"['Adult', 'Bone Marrow/ultrastructure', '*Bone Marrow Transplantation', 'Busulfan/therapeutic use', 'Child', 'Chromosomes, Human, 21-22 and Y', 'Chronic Disease', 'Cyclophosphamide/*therapeutic use', 'Follow-Up Studies', 'Hematopoiesis', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*therapy', 'Recurrence', 'Splenomegaly', '*Whole-Body Irradiation']",1984/05/01 00:00,1984/05/01 00:01,['1984/05/01 00:00'],"['1984/05/01 00:00 [pubmed]', '1984/05/01 00:01 [medline]', '1984/05/01 00:00 [entrez]']",['10.1200/JCO.1984.2.5.379 [doi]'],ppublish,J Clin Oncol. 1984 May;2(5):379-84. doi: 10.1200/JCO.1984.2.5.379.,,,,,,,,,,,,,,,
6374048,NLM,MEDLINE,19840627,20170210,0732-183X (Print) 0732-183X (Linking),2,5,1984 May,A critical comparison of allogeneic bone marrow transplantation and conventional chemotherapy as treatment for acute nonlymphocytic leukemia.,369-78,"Published data from two centers conducting bone marrow transplantation on patients with acute nonlymphocytic leukemia in first remission were pooled and compared with results from an Eastern Cooperative Oncology Group (ECOG) study in which patients were treated with conventional chemotherapy. A series of adjustments were made to the ECOG sample to account for selection factors that restrict access of patients to transplantation. The transplant sample exhibits considerably higher disease-free survival when compared to the adjusted ECOG series (53% versus 21% at three years). The transplant series is somewhat younger than the ECOG series (median, 24 years versus 28 years). The impact of age on the disease-free survival results is difficult to assess because of the relatively small samples in the different age groups. However, by defining a suitable control group, methodology for making a critical comparison between the two modalities is presented which, if applied to larger samples of patients, should help to resolve the issue. In the absence of data from a large, prospective randomized study, a critical retrospective comparison of available data is essential in the assessment of treatment options.","['Begg, C B', 'McGlave, P B', 'Bennett, J M', 'Cassileth, P A', 'Oken, M M']","['Begg CB', 'McGlave PB', 'Bennett JM', 'Cassileth PA', 'Oken MM']",['eng'],"['CA 11083/CA/NCI NIH HHS/United States', 'CA 23415/CA/NCI NIH HHS/United States', 'CA 31247/CA/NCI NIH HHS/United States', 'etc.']","['Clinical Trial', 'Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Age Factors', 'Antineoplastic Agents/*therapeutic use', '*Bone Marrow Transplantation', 'Clinical Trials as Topic', 'Humans', 'Leukemia/*therapy', 'Retrospective Studies', 'Statistics as Topic', 'Time Factors']",1984/05/01 00:00,1984/05/01 00:01,['1984/05/01 00:00'],"['1984/05/01 00:00 [pubmed]', '1984/05/01 00:01 [medline]', '1984/05/01 00:00 [entrez]']",['10.1200/JCO.1984.2.5.369 [doi]'],ppublish,J Clin Oncol. 1984 May;2(5):369-78. doi: 10.1200/JCO.1984.2.5.369.,,,,,,,,,,,,,,,
6373938,NLM,MEDLINE,19840702,20190723,0022-1759 (Print) 0022-1759 (Linking),70,2,1984 May 25,Detection of intracytoplasmic antigens by flow cytometry.,167-77,"A new technique is described for the detection of intracellular antigens by immunofluorescence and flow cytometry. The technique utilizes lysolecithin (lysophosphatidylcholine), a naturally occurring phospholipid, to permeabilize cell membranes and allow antibodies to reach intracellular antigens. The technique is rapid and sensitive, and retains sufficient integrity of the cells being treated to enable differentiation of cell types on the basis of light scatter (e.g., lymphocytes from monocytes). Permeabilization of cells following lysolecithin was assessed using standard techniques including trypan blue exclusion, propidium iodide staining, and hydrolysis of fluorescein diacetate. Lysolecithin treatment was accompanied by only minimal increases in non-specific background fluorescence, and no increase in autofluorescence. Our studies have demonstrated that lysolecithin treatment of human mononuclear cell populations permits flow cytometric analysis of cytoskeletal structures, including intermediate filaments, as well as cytoplasmic immunoglobulin. Studies currently in progress in our laboratory have demonstrated broad intracellular reactivity with some monoclonal antibodies identifying leukocyte differentiation and tumor-associated antigens. These findings contrast with the more restricted expression of these antigens on the cell surface and demonstrate not only the value of the lysolecithin technique but also the importance of the study of intracellular antigens in our overall understanding of the specificity, distribution, synthesis, and function of cellular antigens.","['Schroff, R W', 'Bucana, C D', 'Klein, R A', 'Farrell, M M', 'Morgan, A C Jr']","['Schroff RW', 'Bucana CD', 'Klein RA', 'Farrell MM', 'Morgan AC Jr']",['eng'],"['N01-CO-23909/CO/NCI NIH HHS/United States', 'N01-CO-23910/CO/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,J Immunol Methods,Journal of immunological methods,1305440,"['0 (Antigens)', '0 (Lysophosphatidylcholines)']",IM,"['Antigens/*analysis', 'Cell Membrane Permeability/drug effects', 'Cytoplasm/*immunology', 'Flow Cytometry/*methods', 'Fluorescent Antibody Technique', 'Humans', 'Leukemia, Lymphoid/immunology', 'Lymphocytes/*immunology/ultrastructure', 'Lysophosphatidylcholines/pharmacology', 'Monocytes/immunology']",1984/05/25 00:00,2001/03/28 10:01,['1984/05/25 00:00'],"['1984/05/25 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1984/05/25 00:00 [entrez]']","['0022-1759(84)90182-0 [pii]', '10.1016/0022-1759(84)90182-0 [doi]']",ppublish,J Immunol Methods. 1984 May 25;70(2):167-77. doi: 10.1016/0022-1759(84)90182-0.,,,,,,,,,,,,,,,
