PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,PMC,CON,GR,CIN,CN,EIN,DEP,CI,MID,OID,SI,LID
11177748,NLM,MEDLINE,20010405,20191104,1523-3790 (Print) 1523-3790 (Linking),3,2,2001 Mar,Liposomal encapsulated anthracyclines: new therapeutic horizons.,156-62,"After two decades of work in liposomal formulations for clinical use, two preparations containing doxorubicin (Doxil, ALZA, Pablo Alto, CA; and Evacet, The Liposome Company, Princeton, NJ), and one containing daunorubicin (DaunoXome; Gilead Sciences, Foster City, CA) have been undergoing widespread clinical study. Results have lived up to the promise that liposomal encapsulation may lead to toxicity attenuation, while retaining or even enhancing the efficacy of the parent anthracyclines. The eventual role of these agents in clinical practice is being defined in a number of studies that are reviewed herein. Already, approved indications have been achieved for doxorubicin against Kaposi's sarcoma and ovarian cancers, and for daunorubicin against Kaposi's sarcoma. The three compounds vary widely in their pharmacology, and these differences may contribute to their preferential localization into certain tumors. Additional indications for these liposomal encapsulated anthracyclines are likely to be established in the ensuing years.","['Muggia, F M']",['Muggia FM'],"['New York University School of Medicine, 550 First Avenue, New York, NY 10016, USA. muggif01@gcrc.med.nyu.edu']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Curr Oncol Rep,Current oncology reports,100888967,"['0 (Antibiotics, Antineoplastic)', '0 (Liposomes)', '80168379AG (Doxorubicin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Acquired Immunodeficiency Syndrome/complications', 'Antibiotics, Antineoplastic/*administration & dosage/adverse effects/therapeutic use', 'Breast Neoplasms/drug therapy', 'Daunorubicin/*administration & dosage/adverse effects/therapeutic use', 'Doxorubicin/*administration & dosage/adverse effects/therapeutic use', 'Female', 'Humans', 'Leukemia/drug therapy', 'Liposomes', 'Lymphoma/drug therapy', 'Multiple Myeloma', 'Ovarian Neoplasms/drug therapy', 'Sarcoma, Kaposi/drug therapy']",51,2001/03/20 10:00,2001/04/06 10:01,['2001/03/20 10:00'],"['2001/03/20 10:00 [pubmed]', '2001/04/06 10:01 [medline]', '2001/03/20 10:00 [entrez]']",ppublish,Curr Oncol Rep. 2001 Mar;3(2):156-62. doi: 10.1007/s11912-001-0016-5.,,['10.1007/s11912-001-0016-5 [doi]'],,,['M01RR00096/RR/NCRR NIH HHS/United States'],,,,,,,,,
11177606,NLM,MEDLINE,20010614,20181130,1525-8165 (Print) 1525-8165 (Linking),9,6,2000 Dec,In vitro culture of human acute myelogenous leukemia (AML) cells in serum-free media: studies of native AML blasts and AML cell lines.,923-32,"The functional characteristics were compared for acute myelogenous leukemia (AML) cells (native blasts and AML cell lines) cultured in three serum-free media (X-vivo 10, X-vivo 15, [Bio-Whitacker, Walkersville, MD] and StemSpan [Stem Cell Technologies, Vancouver, BC, Canada]) and in medium containing 10% inactivated fetal calf serum (FCS). For native AML blasts the following functions were compared: (1) autonomous and cytokine-dependent proliferation; (2) frequency of clonogenic cell; and (3) constitutive cytokine secretion. AML blast proliferation differed between patients independent of the culture medium used, and clonogenic cells were maintained after in vitro culture in all media. In contrast, constitutive cytokine secretion was higher for cells cultured in StemSpan and FCS-containing medium than for cells cultured in the X-vivo media. Native AML blasts incubated in StemSpan also showed a low frequency of apoptotic cells. The three serum-free media could also be used for long-term expansion of well-characterized AML cell lines, but the optimal medium for cell expansion and cytokine secretion differed between cell lines. We conclude that standardized serum-free culture conditions can be used for in vitro studies of native AML blasts and AML cell lines.","['Bruserud , O', 'Gjertsen, B T', 'von Volkman, H L']","['Bruserud O', 'Gjertsen BT', 'von Volkman HL']","['Institute of Medicine, Division of Hematology, Medical Department, Haukeland University Hospital, N-5021 Bergen, Norway. oystein.bruserud@haukeland.no']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Hematother Stem Cell Res,Journal of hematotherapy & stem cell research,100892915,"['0 (Culture Media)', '0 (Culture Media, Serum-Free)', '0 (Cytokines)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Apoptosis/drug effects', 'Cell Culture Techniques', 'Cell Division/drug effects', 'Clone Cells/drug effects/pathology', 'Culture Media/pharmacology', 'Culture Media, Serum-Free', 'Cytokines/metabolism/pharmacology', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Lymphocyte Activation/drug effects', 'Male', 'Middle Aged', 'Stem Cells/drug effects', 'Tumor Cells, Cultured/drug effects']",,2001/02/15 11:00,2001/06/23 10:01,['2001/02/15 11:00'],"['2001/02/15 11:00 [pubmed]', '2001/06/23 10:01 [medline]', '2001/02/15 11:00 [entrez]']",ppublish,J Hematother Stem Cell Res. 2000 Dec;9(6):923-32. doi: 10.1089/152581600750062372.,,['10.1089/152581600750062372 [doi]'],,,,,,,,,,,,
11177600,NLM,MEDLINE,20010614,20131121,1525-8165 (Print) 1525-8165 (Linking),9,6,2000 Dec,"Interaction of the hemolytic lectin, CEL-III, with cultured human leukemic cell lines.",877-83,"We studied interaction of CEL-III with cultured human leukemic cell lines and lymphocytes from normal adults by evaluating the extent of cytotoxicity and cytoagglutination. Among acute T lymphoblastic leukemia (T-ALL) cell lines, CEL-III displayed increased toxicity against different acute lymphoblastic leukemia (ALL) cell lines as a function of increasing differentiation stage. In the case of acute B lymphoblastic leukemia (B-ALL) cell lines, CEL-III showed strong cytotoxicity against relatively immature cell lines. We found that CEL-III was more toxic for ALL cell lines than leukocytes obtained from peripheral blood of healthy adults. Strong influence of the additional amount of calcium ion on the extent of cytotoxicity was observed. In addition, we describe a new way to evaluate the extent of cytoagglutination in ""% of agglutinated cells"". These findings make CEL-III a promising candidate in research for lectins which bind to and destroy only the targeted leukemic cells.","['Sallay, I', 'Moriwaki, S', 'Nakamura, O', 'Yasuda, S', 'Kimura, M', 'Yamasaki, N', 'Itoh, K', 'Ohba, H']","['Sallay I', 'Moriwaki S', 'Nakamura O', 'Yasuda S', 'Kimura M', 'Yamasaki N', 'Itoh K', 'Ohba H']","['Material Chemistry Department, Kyushu National Industrial Research Institute, 907-1 Shuku, Tosu, Saga 841-0052, Japan. ohba@kniri.go.jp']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Hematother Stem Cell Res,Journal of hematotherapy & stem cell research,100892915,"['0 (CEL-III lectin, Cucumaria echinata)', '0 (Lectins)', 'SY7Q814VUP (Calcium)']",IM,"['Adult', 'Agglutination/drug effects', 'Calcium/pharmacology', 'Cell Survival/drug effects', 'Drug Screening Assays, Antitumor', 'Hemolysis', 'Humans', 'Lectins/*pharmacology/toxicity', 'Leukemia/*pathology', 'Lymphocytes/drug effects', 'Middle Aged', 'Tumor Cells, Cultured/drug effects']",,2001/02/15 11:00,2001/06/23 10:01,['2001/02/15 11:00'],"['2001/02/15 11:00 [pubmed]', '2001/06/23 10:01 [medline]', '2001/02/15 11:00 [entrez]']",ppublish,J Hematother Stem Cell Res. 2000 Dec;9(6):877-83. doi: 10.1089/152581600750062318.,,['10.1089/152581600750062318 [doi]'],,,,,,,,,,,,
11177598,NLM,MEDLINE,20010614,20041117,1525-8165 (Print) 1525-8165 (Linking),9,6,2000 Dec,Chromosomal aberrations characteristic for sAML/sMDS are not detectable by random screening using FISH in peripheral blood-derived grafts used for autologous transplantation.,861-5,"Acute myeloid leukemia (AML) or myelodysplastic syndrome (MDS) is observed in 5 to 10% of patients treated with high-dose chemotherapies followed by autologous stem cell and bone marrow transplantation. Both diseases are frequently associated with monosomy 7 (-7), trisomy 8 (+8), loss of the long arm of chromosome 5 (-5q), and deletions including the TP53-gene region according to del(17)(p13). In this study, we examined whether these chromosomal aberrations are already detectable in blood stem cells from patients who have all been treated with standard chemotherapies prior to peripheral blood stem cell transplantation (PBSCT). Therefore, we screened peripheral blood derived stem cells obtained at the time of stem cell harvest for the presence of -7, +8, -5q, and del(17)(p13) by fluorescence in situ hybridization (FISH). Our series included 40 patients: 4 patients with Hodgkin's disease, 6 patients with non-Hodgkin-lymphoma (NHL), 1 patient with ALL, 4 patients with plasmocytoma, and 25 patients with solid tumors. Peripheral blood mononuclear cells (PBMC) from eight healthy blood donors served as controls. Assuming a hybridization efficiency of >98%, the cut-off level of non diploid cells was determined for each DNA-probe. None of the stem cell preparations exhibited chromosomal damage. Our findings indicate that chromosomal damage is a rare event in stem cell autografts.","['Weber, M H', 'Wenzel, U', 'Thiel, E', 'Knauf, W U']","['Weber MH', 'Wenzel U', 'Thiel E', 'Knauf WU']","['Department of Medicine III (Haematology, Oncology, and Transfusion Medicine), Universitatsklinikum Benjamin Franklin, Freie Universitat Berlin, Hindenburgdamm 30, D-12200 Berlin, Germany.']",['eng'],['Journal Article'],United States,J Hematother Stem Cell Res,Journal of hematotherapy & stem cell research,100892915,,IM,"['Acute Disease', 'Adult', 'Case-Control Studies', 'Chromosome Aberrations/*diagnosis/genetics', 'Chromosome Disorders', 'Cohort Studies', 'Female', 'Hematopoietic Stem Cell Transplantation/methods/*standards', 'Hematopoietic Stem Cells/*metabolism', 'Humans', 'In Situ Hybridization, Fluorescence', 'Leukapheresis', 'Leukemia, Myeloid/blood/*genetics/therapy', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/blood/*genetics/therapy', 'Neoplasms/blood/genetics/therapy', 'Transplantation, Autologous/methods/standards']",,2001/02/15 11:00,2001/06/23 10:01,['2001/02/15 11:00'],"['2001/02/15 11:00 [pubmed]', '2001/06/23 10:01 [medline]', '2001/02/15 11:00 [entrez]']",ppublish,J Hematother Stem Cell Res. 2000 Dec;9(6):861-5. doi: 10.1089/152581600750062291.,,['10.1089/152581600750062291 [doi]'],,,,,,,,,,,,
11177595,NLM,MEDLINE,20010614,20071114,1525-8165 (Print) 1525-8165 (Linking),9,6,2000 Dec,Human marrow-derived mesenchymal stem cells (MSCs) express hematopoietic cytokines and support long-term hematopoiesis when differentiated toward stromal and osteogenic lineages.,841-8,"Human mesenchymal stem cells (MSCs), bone marrow-derived pluripotent adherent cells of mesenchymal origin can differentiate along the osteogenic, chondrogenic, adipogenic, and tendonogenic lineages. In this report we characterize cytokine and growth factor gene expression by MSCs and investigate the modulation of cytokine expression that occurs during osteogenic and stromal differentiation. MSCs constitutively expressed mRNA for interleukin (IL)-6, IL-11, leukemia inhibitory factor (LIF), macrophage colony-stimulating factor (M-CSF), and stem cell factor (SCF). MSCs treated with IL-1alpha upregulated mRNA levels of IL-6, IL-11, and LIF, and began to express detectable levels of granulocyte colony-stimulating factor (G-CSF), granulocyte macrophage colony-stimulating factor (GM-CSF). mRNA levels of M-CSF and SCF did not change. MSCs cultured in osteogenic medium differentiated along the osteogenic lineage and downregulated mRNA levels of IL-6, IL-11 and LIF whereas, M-CSF and SCF expression were unchanged and G-CSF and GM-CSF remained undetectable. IL-3 was not detected in MSC culture under any conditions. MSCs precultured in control medium, IL-1alpha, or osteogenic medium maintained similar capacity to support long-term culture initiating cell (LT-CIC). Thus, primary and osteogenic differentiated MSCs produce important hematopoietic cytokines and support hematopoiesis in long-term cultures, suggesting that these cells may provide an excellent ex vivo environment for hematopoiesis during progenitor cell expansion and may be important for in vivo cell therapy.","['Majumdar, M K', 'Thiede, M A', 'Haynesworth, S E', 'Bruder, S P', 'Gerson, S L']","['Majumdar MK', 'Thiede MA', 'Haynesworth SE', 'Bruder SP', 'Gerson SL']","['Osiris Therapeutics Inc., Baltimore, MD 21231, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Hematother Stem Cell Res,Journal of hematotherapy & stem cell research,100892915,"['0 (Culture Media)', '0 (Cytokines)', '0 (Interleukin-1)', '0 (RNA, Messenger)']",IM,"['Bone Marrow Cells', 'Cell Culture Techniques', 'Cell Differentiation/drug effects', 'Cell Lineage/*drug effects', 'Culture Media/pharmacology', 'Cytokines/*drug effects/genetics', 'Gene Expression Regulation/drug effects', 'Hematopoiesis/*drug effects', 'Humans', 'Interleukin-1/pharmacology', 'Mesoderm/*cytology/drug effects/metabolism', 'Osteogenesis/drug effects', 'RNA, Messenger/drug effects/metabolism', 'Stem Cells/*physiology', 'Stromal Cells/*cytology']",,2001/02/15 11:00,2001/06/23 10:01,['2001/02/15 11:00'],"['2001/02/15 11:00 [pubmed]', '2001/06/23 10:01 [medline]', '2001/02/15 11:00 [entrez]']",ppublish,J Hematother Stem Cell Res. 2000 Dec;9(6):841-8. doi: 10.1089/152581600750062264.,,['10.1089/152581600750062264 [doi]'],,,"['P30CA43703/CA/NCI NIH HHS/United States', 'R01CA63193/CA/NCI NIH HHS/United States', 'R01ES06288/ES/NIEHS NIH HHS/United States']",,,,,,,,,
11177554,NLM,MEDLINE,20010405,20141120,1043-0342 (Print) 1043-0342 (Linking),12,2,2001 Jan 20,Engraftment of autologous retrovirally transduced hepatocytes after intraportal transplantation into nonhuman primates: implication for ex vivo gene therapy.,169-79,"The main impediment to effective ex vivo liver gene therapy of metabolic diseases is the lack of experimental work on large animals to resolve such important issues as effective gene delivery, cell-processing techniques, and the development of appropriate vectors. We have used a nonhuman primate, as a preclinical model, to analyze the limiting steps of this approach using recombinant retroviruses. Seven monkeys (Macaca fascicularis) underwent the complete protocol: their left liver lobe was resected, a catheter was placed in the inferior mesenteric vein and connected to an infusion chamber, and the hepatocytes were isolated, cultured, and transduced with a retroviral vector containing the beta-galactosidase gene. The hepatocytes were harvested and returned to the host via the infusion chamber. Biopsies were taken 4-40 days later. No animal was killed in the course of the experiments. They all tolerated the procedure well. We have developed and defined conditions that permit the proliferation and transduction of up to 90% of the plated hepatocytes. A significant proportion of genetically modified cells, representing up to 3% of the liver mass, were safely delivered to the liver via the chamber. Polymerase chain reaction analysis detected integrated viral DNA sequences and quantitative analysis of the in situ beta-Gal-expressing hepatocytes indicated that a significant amount of transduced hepatocytes, up to 2%, had become integrated into the liver and were functional. These results represent substantial advances in the development of the ex vivo approach and suggest that this approach is of clinical relevance for liver-directed gene therapy.","['Andreoletti, M', 'Loux, N', 'Vons, C', 'Nguyen, T H', 'Lorand, I', 'Mahieu, D', 'Simon, L', 'Di Rico, V', 'Vingert, B', 'Chapman, J', 'Briand, P', 'Schwall, R', 'Hamza, J', 'Capron, F', 'Bargy, F', 'Franco, D', 'Weber, A']","['Andreoletti M', 'Loux N', 'Vons C', 'Nguyen TH', 'Lorand I', 'Mahieu D', 'Simon L', 'Di Rico V', 'Vingert B', 'Chapman J', 'Briand P', 'Schwall R', 'Hamza J', 'Capron F', 'Bargy F', 'Franco D', 'Weber A']","['INSERM EMI 00-20, Hopital Antoine-Beclere, 92141 Clamart, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Hum Gene Ther,Human gene therapy,9008950,"['0 (DNA, Viral)', 'EC 3.2.1.23 (beta-Galactosidase)', 'G34N38R2N1 (Bromodeoxyuridine)']",IM,"['Animals', 'Bromodeoxyuridine/metabolism', 'Cell Transplantation/methods', 'Cells, Cultured', 'DNA, Viral/analysis', 'Feasibility Studies', 'Female', '*Genetic Therapy', 'Genetic Vectors', 'Hepatocytes/metabolism/*transplantation/virology', 'Immunoenzyme Techniques', 'In Vitro Techniques', 'Lac Operon/genetics', 'Liver/*surgery', 'Macaca fascicularis', 'Mice', 'Moloney murine leukemia virus/*genetics', 'Polymerase Chain Reaction', 'Portal Vein', '*Transduction, Genetic', 'Transplantation, Autologous', 'beta-Galactosidase/biosynthesis/genetics']",,2001/02/15 11:00,2001/04/06 10:01,['2001/02/15 11:00'],"['2001/02/15 11:00 [pubmed]', '2001/04/06 10:01 [medline]', '2001/02/15 11:00 [entrez]']",ppublish,Hum Gene Ther. 2001 Jan 20;12(2):169-79. doi: 10.1089/104303401750061230.,,['10.1089/104303401750061230 [doi]'],,,,,,,,,,,,
11177543,NLM,MEDLINE,20010405,20191210,1043-0342 (Print) 1043-0342 (Linking),12,1,2001 Jan 1,Safety testing for replication-competent retrovirus associated with gibbon ape leukemia virus-pseudotyped retroviral vectors.,61-70,"The potential pathogenicity of replication-competent retroviruses (RCR) requires vigilant testing to exclude inadvertent contamination of clinical gene therapy vector products with RCR. Pseudotyped vectors using the gibbon ape leukemia virus (GALV) envelope have entered into clinical trials but specific recommendations regarding methods for screening of vector product and analysis of clinical samples have not been set forth. Unfortunately, current screening assays used for detecting amphotropic RCR are not suitable for GALV-pseudotyped RCR. We modified the extended S+/L- assay for RCR detection by using human 293 cells for virus amplification. Of five cell lines tested, 293 cells were selected because they combined a high transduction efficiency and an ability to generate RCR at high titer. After optimizing the amplification assay, a dilution of GALV virus could consistently be detected at a dilution of 10(-6). In coculture experiments, one GALV-infected cell could be consistently detected in 10(6) uninfected cells. A PCR-based assay was developed that was capable of detecting 100 copies of a GALV envelope containing plasmid diluted in 1 microg of DNA obtained from uninfected cells. PCR was also able to detect one GALV-infected cell in 10(6) uninfected cells. These assays will be suitable for testing of vector preparations and for monitoring of clinical samples from patients treated in clinical gene therapy protocols. The assays developed are similar in methodology and sensitivity to those currently used for certification of amphotropic retroviral vectors.","['Chen, J', 'Reeves, L', 'Cornetta, K']","['Chen J', 'Reeves L', 'Cornetta K']","['Division of Hematology/Oncology, Department of Medicine, Indiana University School of Medicine, Indianapolis, IN 46202, USA.']",['eng'],"['Comparative Study', 'Evaluation Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Hum Gene Ther,Human gene therapy,9008950,"['0 (DNA Primers)', '0 (DNA, Viral)', '0 (Luminescent Proteins)', '147336-22-9 (Green Fluorescent Proteins)']",IM,"['Biological Assay', 'Cell Transformation, Viral', 'DNA Primers/chemistry', 'DNA, Viral/analysis', 'Genetic Vectors', 'Green Fluorescent Proteins', 'HeLa Cells', 'Humans', 'Leukemia Virus, Gibbon Ape/*physiology', 'Luminescent Proteins/metabolism', 'Polymerase Chain Reaction', 'Retroviridae/*physiology', '*Virus Replication']",,2001/02/15 11:00,2001/04/06 10:01,['2001/02/15 11:00'],"['2001/02/15 11:00 [pubmed]', '2001/04/06 10:01 [medline]', '2001/02/15 11:00 [entrez]']",ppublish,Hum Gene Ther. 2001 Jan 1;12(1):61-70. doi: 10.1089/104303401450979.,,['10.1089/104303401450979 [doi]'],,,"['P01 HL53586/HL/NHLBI NIH HHS/United States', 'P50 DK49218/DK/NIDDK NIH HHS/United States', 'U42 RR11148/RR/NCRR NIH HHS/United States']",,,,,,,,,
11177540,NLM,MEDLINE,20010405,20141120,1043-0342 (Print) 1043-0342 (Linking),12,1,2001 Jan 1,Simplified retroviral vector gcsap with murine stem cell virus long terminal repeat allows high and continued expression of enhanced green fluorescent protein by human hematopoietic progenitors engrafted in nonobese diabetic/severe combined immunodeficient mice.,35-44,"Despite efforts toward improvements in retrovirus-mediated gene transfer, stable high-level expression of a therapeutic gene in human hematopoietic stem cells remains a great challenge. We have evaluated the efficiency of different viral long terminal repeats (LTRs) in long-term expression of a transgene in vivo, using severe combined immunodeficiency (SCID)-repopulating cell assays. Vectors used were variants of the simplified retroviral vector GCsap with the different LTRs of Moloney murine leukemia virus (MLV), myeloproliferative sarcoma virus (MPSV), and murine stem cell virus (MSCV). The enhanced green fluorescent protein (EGFP) gene was used as a marker to assess levels of transduction efficiency. CD34+ cells isolated from human cord blood were transduced by exposure to virus-containing supernatants on fibronectin fragments and in the presence of stem cell factor, interleukin 6, Flt-3 ligand, and thrombopoietin, and then transplanted into nonobese diabetic/SCID mice. Engraftment of human cells highly expressing EGFP, with differentiation along multiple cell lineages, was demonstrated for up to 18 weeks posttransplant, although the three different vectors showed different transduction frequencies (MLV, <0.1-33.2%; MPSV, <0.1-22.8%; MSCV, 0.3-51.7%). Of importance is that high-level transduction frequencies in human progenitor cells were also confirmed by colony-forming cell assays using bone marrow from transplanted mice, in which EGFP-expressing, highly proliferative potential colonies were observed by fluorescence microscopy. In these mice the vector carrying the MSCV LTR generated more EGFP-expressing human cells than did either of the other two constructs, indicating that GCsap carrying the MSCV LTR may be an efficient tool for stem cell gene therapy.","['Kaneko, S', 'Onodera, M', 'Fujiki, Y', 'Nagasawa, T', 'Nakauchi, H']","['Kaneko S', 'Onodera M', 'Fujiki Y', 'Nagasawa T', 'Nakauchi H']","['Department of Immunology, Institute of Basic Medical Sciences, University of Tsukuba, Tsukuba, Ibaraki, Japan.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Hum Gene Ther,Human gene therapy,9008950,"['0 (Antigens, CD34)', '0 (DNA Primers)', '0 (Luminescent Proteins)', '147336-22-9 (Green Fluorescent Proteins)']",IM,"['Animals', 'Antigens, CD34/analysis', 'Blood Cell Count', 'Cells, Cultured', 'DNA Primers/chemistry', 'Diabetes Mellitus, Type 1/*blood/immunology', '*Gene Transfer Techniques', 'Graft Survival', 'Green Fluorescent Proteins', '*Hematopoietic Stem Cell Transplantation', 'Hematopoietic Stem Cells/cytology/*physiology', 'Humans', 'In Vitro Techniques', 'Luminescent Proteins/*metabolism', 'Mice', 'Mice, Inbred NOD', 'Mice, SCID', 'Polymerase Chain Reaction', 'Retroviridae/*genetics', 'Terminal Repeat Sequences/*genetics', '*Transduction, Genetic']",,2001/02/15 11:00,2001/04/06 10:01,['2001/02/15 11:00'],"['2001/02/15 11:00 [pubmed]', '2001/04/06 10:01 [medline]', '2001/02/15 11:00 [entrez]']",ppublish,Hum Gene Ther. 2001 Jan 1;12(1):35-44. doi: 10.1089/104303401450942.,,['10.1089/104303401450942 [doi]'],,,,,,,,,,,,
11177392,NLM,MEDLINE,20010405,20071115,0889-2229 (Print) 0889-2229 (Linking),17,2,2001 Jan 20,Phosphatidylglycerol participates in syncytium formation induced by HTLV type 1-bearing cells.,125-35,"We previously reported that 71-kDa heat shock cognate protein (HSC70) was expressed on the cell surface of human T cell lymphotropic virus type 1 (HTLV-1)-susceptible cells and that HSC70, beta-actin, and a lipid-like component on the target cell membrane participated in syncytium formation by HTLV-1. We have now identified this lipid-like component to be palmitoyl (16:0)-oleoyl (18:1)-phosphatidylglycerol (POPG), using preparative thin-layer chromatographic fractionation and tandem mass spectrometric analysis. In the syncytium formation assay, exogenously added PG inhibited cell-to-cell transmission of HTLV-1 in a dose-dependent manner. Other phospholipids showed less (PE) or no effect (PC, PS, PI, PA, lysoPC, lysoPE, and CL). Binding experiments showed that PG interacted with three synthetic peptides, gp46--111, gp46--197, and gp21--400, which correspond to regions Lys111--Asp138 and Asp197--Leu216 on the gp46 surface glycoprotein, and to region Cys400--Leu429 on the gp21 transmembrane glycoprotein, respectively, as well as with intact gp46 and gp21 proteins of HTLV-1. On the other hand, HSC70 and beta-actin interacted with gp46--197 and gp46, not with gp46--111. However, the eluate from an affinity column coupled with gp46--111 contained not only PG but also HSC70 and beta-actin, despite the lack of direct interaction between gp46--111 and these proteins. In the in vitro binding assay, HSC70 showed interaction with both PG and beta-actin, while there was no evidence of any interaction between PG and beta-actin. These results suggest that HSC70 molecules on target cell surface interact with both PG in lipid bilayers and intracellular beta-actin and that these three cellular components form a receptor complex that plays a critical role in syncytium formation induced by HTLV-1-bearing cells.","['Sagara, Y', 'Inoue, Y', 'Kojima, E', 'Ishida, C', 'Shiraki, H', 'Maeda, Y']","['Sagara Y', 'Inoue Y', 'Kojima E', 'Ishida C', 'Shiraki H', 'Maeda Y']","['Department of Research, Fukuoka Red Cross Blood Center, Fukuoka 818-8588, Japan.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,AIDS Res Hum Retroviruses,AIDS research and human retroviruses,8709376,"['0 (Actins)', '0 (Gene Products, env)', '0 (HSC70 Heat-Shock Proteins)', '0 (HSP70 Heat-Shock Proteins)', '0 (HSPA8 protein, human)', '0 (Phosphatidylglycerols)', '0 (Receptors, Virus)', '0 (Retroviridae Proteins, Oncogenic)', '0 (env Gene Products, Human Immunodeficiency Virus)', '0 (gp21 protein, Human T-lymphotropic virus 1)', '0 (gp46 protein, Human T-cell leukemia virus type I)']",IM,"['Actins/metabolism', 'Cell Line', 'Chromatography, Thin Layer', 'Dose-Response Relationship, Drug', 'Gene Products, env/metabolism', 'Giant Cells/*physiology', 'HSC70 Heat-Shock Proteins', 'HSP70 Heat-Shock Proteins/metabolism', 'Human T-lymphotropic virus 1/drug effects/metabolism/*pathogenicity', 'Humans', 'Mass Spectrometry', 'Phosphatidylglycerols/pharmacology/*physiology', 'Protein Binding', 'Receptors, Virus/metabolism', 'Retroviridae Proteins, Oncogenic/metabolism', 'T-Lymphocytes/drug effects/*pathology/*virology', 'env Gene Products, Human Immunodeficiency Virus']",,2001/02/15 11:00,2001/04/06 10:01,['2001/02/15 11:00'],"['2001/02/15 11:00 [pubmed]', '2001/04/06 10:01 [medline]', '2001/02/15 11:00 [entrez]']",ppublish,AIDS Res Hum Retroviruses. 2001 Jan 20;17(2):125-35. doi: 10.1089/08892220150217210.,,['10.1089/08892220150217210 [doi]'],,,,,,,,,,,,
11176808,NLM,MEDLINE,20010315,20161017,0098-7484 (Print) 0098-7484 (Linking),285,2,2001 Jan 10,Seasonal variation in month of birth and diagnosis of early childhood acute lymphoblastic leukemia.,168-9,,"['Sorensen, H T', 'Pedersen, L', 'Olsen, J', 'Rothman, K']","['Sorensen HT', 'Pedersen L', 'Olsen J', 'Rothman K']",,['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",United States,JAMA,JAMA,7501160,,IM,"['Child, Preschool', 'Denmark/epidemiology', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*epidemiology/etiology', 'Pregnancy', '*Pregnancy Complications, Infectious', '*Registries', 'Risk Factors', '*Seasons']",,2001/02/15 11:00,2001/03/17 10:01,['2001/02/15 11:00'],"['2001/02/15 11:00 [pubmed]', '2001/03/17 10:01 [medline]', '2001/02/15 11:00 [entrez]']",ppublish,JAMA. 2001 Jan 10;285(2):168-9.,,['jlt0110-5 [pii]'],,,,,,,,,,,,
11176790,NLM,MEDLINE,20010315,20190701,0098-7484 (Print) 0098-7484 (Linking),285,2,2001 Jan 10,"New therapies show promise for patients with leukemia, hemophilia, and heart disease.",153-5,,"['Stephenson, J']",['Stephenson J'],,['eng'],['News'],United States,JAMA,JAMA,7501160,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Enzyme Inhibitors)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Enzyme Inhibitors/*therapeutic use', '*Genetic Therapy', 'Heart Diseases/*therapy', '*Hematopoietic Stem Cell Transplantation', 'Hemophilia A/*therapy', 'Humans', 'Imatinib Mesylate', 'Leukemia/*drug therapy', 'Piperazines/*therapeutic use', 'Pyrimidines/*therapeutic use']",,2001/02/15 11:00,2001/03/17 10:01,['2001/02/15 11:00'],"['2001/02/15 11:00 [pubmed]', '2001/03/17 10:01 [medline]', '2001/02/15 11:00 [entrez]']",ppublish,JAMA. 2001 Jan 10;285(2):153-5. doi: 10.1001/jama.285.2.153.,,"['jmn0110-1 [pii]', '10.1001/jama.285.2.153 [doi]']",,,,,,,,,,,,
