PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,AB,PMC,CIN,PS,FPS,OID
4981714,NLM,MEDLINE,19691230,20031114,0083-1921 (Print) 0083-1921 (Linking),32,,1969 Aug,Hematopoietic neoplasms of slaughter animals.,121-51,"['Migaki, G']",['Migaki G'],['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,,IM,"['Abattoirs', 'Animals', 'Cattle', '*Cattle Diseases', '*Goats', '*Horse Diseases', 'Horses', 'Leukemia, Myeloid/epidemiology/pathology/*veterinary', 'Lymphoma/epidemiology/pathology/*veterinary', 'Mast-Cell Sarcoma/epidemiology/pathology/*veterinary', '*Perissodactyla', 'Sheep', '*Sheep Diseases', 'Swine', '*Swine Diseases', 'Thymoma/epidemiology/pathology/*veterinary', 'United States']",1969/08/01 00:00,1969/08/01 00:01,['1969/08/01 00:00'],"['1969/08/01 00:00 [pubmed]', '1969/08/01 00:01 [medline]', '1969/08/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1969 Aug;32:121-51.,,,,,,,,
4981495,NLM,MEDLINE,19691206,20190618,0036-8075 (Print) 0036-8075 (Linking),166,3908,1969 Nov 21,Feline leukemia virus: occurrence of viral antigen in the tissues of cats with lymphosarcoma and other diseases.,1019-21,"['Hardy, W D Jr', 'Geering, G', 'Old, L J', 'DE Harven, E', 'Brody, R S', 'McDonough, S']","['Hardy WD Jr', 'Geering G', 'Old LJ', 'DE Harven E', 'Brody RS', 'McDonough S']",['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,,IM,"['Animals', '*Antigen-Antibody Reactions', 'Cat Diseases/*immunology', 'Cats', 'Cattle', 'Dogs', 'Goats', 'Humans', 'Immunodiffusion', 'Lymphoma, Non-Hodgkin/*immunology/microbiology/veterinary', 'Microscopy, Electron', 'Rabbits', 'Retroviridae/*immunology', 'Swine']",1969/11/21 00:00,2001/03/28 10:01,['1969/11/21 00:00'],"['1969/11/21 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1969/11/21 00:00 [entrez]']",['10.1126/science.166.3908.1019 [doi]'],ppublish,Science. 1969 Nov 21;166(3908):1019-21. doi: 10.1126/science.166.3908.1019.,,,"Felinie leutkemia viruts antigen is demonstrable by immunodiffusion with rabbit precipitating antiserum to purified felinie leukemia virus. The felinie leukemia virus antigen was found in the tissues of 25 of 33 cats with lymphosarcoma and of 5 of 13 cats with infectious peritonitis. Its presence was correlated with the occurrence of felinie leukemia virus demonstrable by electron microscopy. The one clinically normal cat giving a positive test for feline leukemia virus antigen belonged to a household in which two cats had developed lymphosarcoma. With the exception of a dog with lymphosarcoma induced by feline leukemia virus, the antigent was absent from lymphosarcoma and nonlymphomatous tumors of other species (man, dog, cow, goat, or pig).",,,,,
4981405,NLM,MEDLINE,19691205,20110728,0001-5806 (Print) 0001-5806 (Linking),32,2,1969 Apr,An electron microscopic study of non-phagocytic reticulum cells in human bone marrow. I. Cells with intracytoplasmic fibrils.,275-86,"['Tanaka, Y']",['Tanaka Y'],['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,,IM,"['Blood Vessels', '*Bone Marrow Cells', '*Cytoplasm', 'Humans', 'Hyperplasia', 'Leukemia', 'Macrophages', 'Microscopy, Electron', 'Multiple Myeloma', 'Phagocytosis', 'Waldenstrom Macroglobulinemia']",1969/04/01 00:00,1969/04/01 00:01,['1969/04/01 00:00'],"['1969/04/01 00:00 [pubmed]', '1969/04/01 00:01 [medline]', '1969/04/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1969 Apr;32(2):275-86.,,,,,,,,
4981395,NLM,MEDLINE,19691205,20171206,0026-4075 (Print) 0026-4075 (Linking),134,12,1969 Nov,"Association between chloramphenicol, hypoplastic anemia and acute myeloblastic leukemia: a case report.",1447-9,"['Edwards, L D']",['Edwards LD'],['eng'],['Journal Article'],England,Mil Med,Military medicine,2984771R,['66974FR9Q1 (Chloramphenicol)'],IM,"['Adult', 'Anemia, Aplastic/*chemically induced', 'Blood Platelets', 'Chloramphenicol/*adverse effects', 'Humans', 'Leukemia, Myeloid, Acute/*chemically induced', 'Leukocyte Count', 'Male']",1969/11/01 00:00,1969/11/01 00:01,['1969/11/01 00:00'],"['1969/11/01 00:00 [pubmed]', '1969/11/01 00:01 [medline]', '1969/11/01 00:00 [entrez]']",,ppublish,Mil Med. 1969 Nov;134(12):1447-9.,,,,,,,,
4981311,NLM,MEDLINE,19691205,20171116,0016-450X (Print) 0016-450X (Linking),60,3,1969 Jun,Multiple combination therapy in cancer chemotherapy in Japan.,239-46,"['Ota, K']",['Ota K'],['eng'],"['Journal Article', 'Review']",Japan,Gan,Gan,0151745,"['0 (Antibiotics, Antineoplastic)', '0 (Antineoplastic Agents)', '0 (Mitomycins)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '84-80-0 (Vitamin K 1)', '886U3H6UFF (Chloroquine)', '8N3DW7272P (Cyclophosphamide)', '9000-55-9 (Podophyllin)', '905Z5W3GKH (Thiotepa)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'U3P01618RT (Fluorouracil)']",IM,"['Antibiotics, Antineoplastic/administration & dosage', 'Antineoplastic Agents/*administration & dosage', 'Chloroquine/administration & dosage', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Drug Synergism', 'Fluorouracil/administration & dosage', 'Humans', 'Japan', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Mercaptopurine/administration & dosage', 'Mitomycins/administration & dosage', 'Neoplasms/*drug therapy', 'Podophyllin/administration & dosage', 'Prednisolone/administration & dosage', 'Thiotepa/administration & dosage', 'Vincristine/administration & dosage', 'Vitamin K 1/administration & dosage']",1969/06/01 00:00,1969/06/01 00:01,['1969/06/01 00:00'],"['1969/06/01 00:00 [pubmed]', '1969/06/01 00:01 [medline]', '1969/06/01 00:00 [entrez]']",,ppublish,Gan. 1969 Jun;60(3):239-46.,46,,,,,,,
4981222,NLM,MEDLINE,19691203,20191021,,269,5,1969 Aug 4,[Growth curves of human blood cells during the establishment of cultures in vitro].,650-3,"['Rosenfeld, C', 'Macieira-Coelho, A', 'Jasmin, C', 'Tran Quang Tuan']","['Rosenfeld C', 'Macieira-Coelho A', 'Jasmin C', 'Tran Quang Tuan']",['fre'],['Journal Article'],France,C R Acad Hebd Seances Acad Sci D,Comptes rendus hebdomadaires des seances de l'Academie des sciences. Serie D: Sciences naturelles,7501107,,IM,"['Blood Cells/*growth & development', '*Culture Techniques', 'Humans', 'Kinetics', 'Leukemia, Myeloid, Acute/blood']",1969/08/04 00:00,1969/08/04 00:01,['1969/08/04 00:00'],"['1969/08/04 00:00 [pubmed]', '1969/08/04 00:01 [medline]', '1969/08/04 00:00 [entrez]']",,ppublish,C R Acad Hebd Seances Acad Sci D. 1969 Aug 4;269(5):650-3.,,Etude des courbes de croissance des cellules de sang humain au cours de l'etablissement de cultures in vitro.,,,,,,
4981171,NLM,MEDLINE,19691202,20111117,0026-4806 (Print) 0026-4806 (Linking),60,74,1969 Sep 15,[The primary proliferative processes of the hemopoietic system].,3399-450,"['Introzzi, P']",['Introzzi P'],['ita'],['Journal Article'],Italy,Minerva Med,Minerva medica,0400732,['0 (Cryoglobulins)'],IM,"['Bone Marrow Diseases', 'Burkitt Lymphoma', 'Cryoglobulins/blood', '*Eosinophilic Granuloma', 'Heavy Chain Disease', '*Hematopoietic System', '*Hodgkin Disease', 'Humans', '*Leukemia, Erythroblastic, Acute', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', 'Lymphatic Diseases', '*Lymphoma', 'Lymphoma, Follicular', 'Lymphoma, Large B-Cell, Diffuse', 'Lymphoma, Non-Hodgkin', 'Multiple Myeloma', '*Myeloproliferative Disorders', '*Plasmacytoma', '*Sarcoma, Ewing', 'Splenic Neoplasms', 'Waldenstrom Macroglobulinemia']",1969/09/15 00:00,1969/09/15 00:01,['1969/09/15 00:00'],"['1969/09/15 00:00 [pubmed]', '1969/09/15 00:01 [medline]', '1969/09/15 00:00 [entrez]']",,ppublish,Minerva Med. 1969 Sep 15;60(74):3399-450.,,I processi primitivi produttivi dei tessuti emopoietici.,,,,,,
4980939,NLM,MEDLINE,19691130,20141120,0033-8419 (Print) 0033-8419 (Linking),93,4,1969 Oct,The relative biological effectiveness of fast neutrons for mammalian tissues.,915-20,"['Field, S B']",['Field SB'],['eng'],"['Comparative Study', 'Journal Article']",United States,Radiology,Radiology,0401260,,IM,"['Animals', 'Cartilage/radiation effects', 'Chick Embryo', 'Cricetinae', 'Fibroblasts/radiation effects', 'HeLa Cells/radiation effects', 'Hematopoietic System/radiation effects', 'Humans', 'In Vitro Techniques', 'Intestines/radiation effects', 'Kidney/radiation effects', 'Leukemia, Experimental/radiotherapy', 'Leukemia, Lymphoid/radiotherapy', 'Male', 'Mice', 'Neoplasms/*radiotherapy', '*Neutrons', 'Radiotherapy Dosage', '*Radiotherapy, High-Energy', 'Rats', 'Rhabdomyosarcoma/radiotherapy', 'Skin/radiation effects', 'Spleen/radiation effects', 'Swine', 'Testis/radiation effects', 'Thymus Gland/radiation effects']",1969/10/01 00:00,1969/10/01 00:01,['1969/10/01 00:00'],"['1969/10/01 00:00 [pubmed]', '1969/10/01 00:01 [medline]', '1969/10/01 00:00 [entrez]']",['10.1148/93.4.915 [doi]'],ppublish,Radiology. 1969 Oct;93(4):915-20. doi: 10.1148/93.4.915.,,,,,,,,
4980925,NLM,MEDLINE,19691130,20041117,0008-5472 (Print) 0008-5472 (Linking),29,10,1969 Oct,Infection of human embryonic cell cultures with the Rauscher murine leukemia virus.,1886-8,"['Wright, B S', 'Korol, W']","['Wright BS', 'Korol W']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,,IM,"['Animals', 'Complement Fixation Tests', 'Culture Techniques', 'Humans', 'Immunodiffusion', 'Inclusion Bodies, Viral', 'Mice', 'Muscles/embryology', 'Rauscher Virus/*pathogenicity', '*Species Specificity']",1969/10/01 00:00,1969/10/01 00:01,['1969/10/01 00:00'],"['1969/10/01 00:00 [pubmed]', '1969/10/01 00:01 [medline]', '1969/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1969 Oct;29(10):1886-8.,,,,,,,,
4980924,NLM,MEDLINE,19691130,20081121,0008-5472 (Print) 0008-5472 (Linking),29,10,1969 Oct,Comparison of alkaline phosphatase from human normal and leukemic leukocytes.,1866-74,"['Bottomley, R H', 'Lovig, C A', 'Holt, R', 'Griffin, M J']","['Bottomley RH', 'Lovig CA', 'Holt R', 'Griffin MJ']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Gels)', '9005-25-8 (Starch)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",IM,"['Alkaline Phosphatase/*blood', 'Centrifugation, Density Gradient', 'Chromatography', 'Electrophoresis', 'Gels', 'Hot Temperature', 'Humans', 'Immunodiffusion', 'Immunoelectrophoresis', 'Kinetics', 'Leukemia, Myeloid/*enzymology', 'Leukocytes/*enzymology', 'Molecular Weight', 'Starch']",1969/10/01 00:00,1969/10/01 00:01,['1969/10/01 00:00'],"['1969/10/01 00:00 [pubmed]', '1969/10/01 00:01 [medline]', '1969/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1969 Oct;29(10):1866-74.,,,,,,,,
4980682,NLM,MEDLINE,19691105,20210216,0006-4971 (Print) 0006-4971 (Linking),34,4,1969 Oct,"Elevated serum iron, low unbound transferrin and candidiasis in acute leukemia.",441-51,"['Caroline, L', 'Rosner, F', 'Kozinn, P J']","['Caroline L', 'Rosner F', 'Kozinn PJ']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,"['0 (Transferrin)', 'E1UOL152H7 (Iron)', 'PQ6CK8PD0R (Ascorbic Acid)']",IM,"['Agglutination Tests', 'Ascorbic Acid', 'Candida/growth & development', 'Candidiasis/*blood/etiology', 'Humans', 'Immunodiffusion', 'In Vitro Techniques', 'Iron/*blood', 'Leukemia, Lymphoid/*blood/microbiology', 'Leukemia, Myeloid/complications', 'Leukemia, Myeloid, Acute/*blood/complications/microbiology', 'Lymphoma/metabolism', 'Multiple Myeloma/metabolism', 'Polycythemia Vera/blood', 'Precipitin Tests', 'Transferrin/*analysis']",1969/10/01 00:00,1969/10/01 00:01,['1969/10/01 00:00'],"['1969/10/01 00:00 [pubmed]', '1969/10/01 00:01 [medline]', '1969/10/01 00:00 [entrez]']",['S0006-4971(20)71711-8 [pii]'],ppublish,Blood. 1969 Oct;34(4):441-51.,,,,,,,,
4980674,NLM,MEDLINE,19691105,20110728,0001-5806 (Print) 0001-5806 (Linking),31,7,1968 Dec,"[Studies of a leukemia and lymphoma cell antigen in childhood. I. Demonstration of the antigen by gel diffusion precpitin test and immunoelectrophoresis, and the common antigen in lymphoid tissues; similar to TL-antigen in mice].",1136-41,"['Yata, J', 'Furukawa, T', 'Yanagisawa, M', 'Kobayashi, N']","['Yata J', 'Furukawa T', 'Yanagisawa M', 'Kobayashi N']",['jpn'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,['0 (Antigens)'],IM,"['Adult', 'Animals', 'Antigens/*analysis', 'Child', 'Child, Preschool', 'Fetus', 'Fluorescent Antibody Technique', 'Humans', 'Immune Tolerance', 'Immunodiffusion', 'Immunoelectrophoresis', 'Infant', 'Leukemia/*immunology', 'Leukocytes/immunology', 'Lymphoid Tissue/*immunology', 'Lymphoma/immunology', 'Rabbits']",1968/12/01 00:00,1968/12/01 00:01,['1968/12/01 00:00'],"['1968/12/01 00:00 [pubmed]', '1968/12/01 00:01 [medline]', '1968/12/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1968 Dec;31(7):1136-41.,,,,,,,,
4980650,NLM,MEDLINE,19691105,20151119,0390-6078 (Print) 0390-6078 (Linking),54,3,1969,[On the use of daunomycin in association with other drugs in the therapy of infantile acute leukemia].,197-216,"['La Grutta, A', 'Mollica, F']","['La Grutta A', 'Mollica F']",['ita'],['Journal Article'],Italy,Haematologica,Haematologica,0417435,"['0 (Antibiotics, Antineoplastic)', '5J49Q6B70F (Vincristine)', '9PHQ9Y1OLM (Prednisolone)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adult', 'Antibiotics, Antineoplastic/*therapeutic use', 'Child', 'Daunorubicin/*therapeutic use', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Prednisolone/administration & dosage', 'Vincristine/administration & dosage']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",,ppublish,Haematologica. 1969;54(3):197-216.,,Sull'impiego della daunomicina in associazione ad altri farmaci nella cura della leucemia acuta infantile.,,,,,,
4980431,NLM,MEDLINE,19691031,20180216,0001-5792 (Print) 0001-5792 (Linking),41,5,1969,An evaluation of nuclear arylsulfatase activity in acute leukemias.,290-5,"['Smutka, P', 'Brunning, R D']","['Smutka P', 'Brunning RD']",['eng'],['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,['EC 3.1.6.- (Sulfatases)'],IM,"['Cell Nucleus/analysis/*enzymology', 'Leukemia/*enzymology', 'Sulfatases/*metabolism']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",['10.1159/000208863 [doi]'],ppublish,Acta Haematol. 1969;41(5):290-5. doi: 10.1159/000208863.,,,,,,,,
