PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,CI,GR,PMC,TT,EIN,CRF,SI,OID,OTO,OT,GN,CON,MID,CN,OAB,OABL,LID,PS,FPS
12358206,NLM,MEDLINE,20021016,20181113,0820-3946 (Print) 0820-3946 (Linking),167,6,2002 Sep 17,Erythematous eruption in a man with acute myeloid leukemia.,672-3,,"['Tay, Jason']",['Tay J'],"[""Memorial University of Newfoundland, St John's.""]",['eng'],"['Case Reports', 'Journal Article']",,Canada,CMAJ,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,9711805,IM,,"['Acute Disease', 'Aged', 'Antimetabolites, Antineoplastic/*adverse effects', 'Cytarabine/*adverse effects', 'Drug Eruptions/*etiology', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Male']",2002/10/03 04:00,2002/10/17 04:00,['2002/10/03 04:00'],"['2002/10/03 04:00 [pubmed]', '2002/10/17 04:00 [medline]', '2002/10/03 04:00 [entrez]']",,ppublish,CMAJ. 2002 Sep 17;167(6):672-3.,"['0 (Antimetabolites, Antineoplastic)', '04079A1RDZ (Cytarabine)']",,,,PMC122036,,,,,,,,,,,,,,,,
12357718,NLM,MEDLINE,20030207,20161124,0300-0729 (Print) 0300-0729 (Linking),40,3,2002 Sep,Granulocytic sarcoma of the nasal cavity.,159-61,"Granulocytic sarcoma (GS) is a rare localised tumour of malignant myeloid precursor cells occurring at an extramedullary site. It is usually associated with a myeloproliferative disorder but may be seen preceding the onset of leukemia. Extracranial GS may occur virtually anywhere in the body and may be easily confused with large cell and lymphoblastic lymphoma. This paper reports an unusual case of primary GS of the nasal cavity and paranasal sinuses, which presented as a nasal obstruction. Multidrug combination chemotherapies and bone marrow transplantation were performed. Awareness of the potential location of GS in the nasal cavity and paranasal sinuses should contribute to better define the prognostic significance of this uncommon entity.","['Prades, Jean-Michel', 'Alaani, Ausama', 'Mosnier, Jean-Francois', 'Dumollard, Jean-Marc', 'Martin, Christian']","['Prades JM', 'Alaani A', 'Mosnier JF', 'Dumollard JM', 'Martin C']","['Department of Otolaryngology-Head and Neck Surgery, Saint-Etienne University Hospital Centre, Bellevue Hospital, St-Etienne, France. christian.martin@chu-st-etienne.fr']",['eng'],"['Case Reports', 'Journal Article']",,Netherlands,Rhinology,Rhinology,0347242,IM,,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage', 'Biopsy, Needle', 'Bone Marrow Transplantation', 'Combined Modality Therapy', 'Female', 'Follow-Up Studies', 'Humans', 'Immunohistochemistry', 'Nasal Cavity/*pathology', 'Nose Neoplasms/diagnostic imaging/*pathology/therapy', 'Risk Assessment', 'Sarcoma, Myeloid/diagnostic imaging/*pathology/therapy', 'Tomography, X-Ray Computed', 'Treatment Outcome']",2002/10/03 04:00,2003/02/08 04:00,['2002/10/03 04:00'],"['2002/10/03 04:00 [pubmed]', '2003/02/08 04:00 [medline]', '2002/10/03 04:00 [entrez]']",,ppublish,Rhinology. 2002 Sep;40(3):159-61.,,,,,,,,,,,,,,,,,,,,,
12357381,NLM,MEDLINE,20021024,20161124,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Expression of CD133 on a human cell line lacking CD34.,2174-5; author reply 2175,,"['Delfini, C', 'Centis, F', 'Falzetti, F', 'Tabilio, A']","['Delfini C', 'Centis F', 'Falzetti F', 'Tabilio A']",,['eng'],"['Letter', 'Comment']",,England,Leukemia,Leukemia,8704895,IM,,"['AC133 Antigen', 'Antigens, CD', 'Antigens, CD34/*immunology', 'Cell Line', 'Glycoproteins/*immunology', 'Hematopoietic Stem Cells/*immunology', 'Humans', 'Immunophenotyping', 'Peptides/*immunology']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/02/26 00:00 [received]', '2002/05/06 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402652 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2174-5; author reply 2175. doi: 10.1038/sj.leu.2402652.,"['0 (AC133 Antigen)', '0 (Antigens, CD)', '0 (Antigens, CD34)', '0 (Glycoproteins)', '0 (PROM1 protein, human)', '0 (Peptides)']",,,,,,,,,,,,,['Leukemia. 2001 Nov;15(11):1685-8. PMID: 11681407'],,,,,,,
12357380,NLM,MEDLINE,20021024,20151119,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Long-term remission of an EBV-positive B cell lymphoproliferative disorder associated with rheumatoid arthritis under methotrexate with anti-CD20 monoclonal antibody (Rituximab) monotherapy.,2173-4,,"['Kelaidi, C', 'Tulliez, M', 'Lecoq-Lafon, C', 'Pham, X-V', 'Kahan, A', 'Dreyfus, F', 'Bouscary, D']","['Kelaidi C', 'Tulliez M', 'Lecoq-Lafon C', 'Pham XV', 'Kahan A', 'Dreyfus F', 'Bouscary D']",,['eng'],"['Case Reports', 'Letter']",,England,Leukemia,Leukemia,8704895,IM,,"['Adult', 'Antibodies, Monoclonal/administration & dosage/*therapeutic use', 'Antibodies, Monoclonal, Murine-Derived', 'Arthritis, Rheumatoid/*complications/drug therapy', 'B-Lymphocytes/*immunology', 'Female', 'Herpesvirus 4, Human/*isolation & purification', 'Humans', 'Immunohistochemistry', 'Lymph Nodes/immunology', 'Lymphoproliferative Disorders/complications/immunology/*therapy/virology', 'Methotrexate/administration & dosage/*therapeutic use', '*Remission Induction', 'Rituximab']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/02/08 00:00 [received]', '2002/04/09 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402588 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2173-4. doi: 10.1038/sj.leu.2402588.,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '4F4X42SYQ6 (Rituximab)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,,,,,,,,,,
12357379,NLM,MEDLINE,20021024,20130304,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Increased lymphoblast-like cells following umbilical cord blood stem cell transplantation do not predict recurrent acute leukemia.,2171-2,,"['McKenna, D H', 'Rupp, C', 'Wagner, J', 'McGlennen, R', 'Hirsch, B', 'Dolan, M', 'Burger, S', 'Hanson, M', 'Jaszcz, W', 'Nguyen, P L']","['McKenna DH', 'Rupp C', 'Wagner J', 'McGlennen R', 'Hirsch B', 'Dolan M', 'Burger S', 'Hanson M', 'Jaszcz W', 'Nguyen PL']",,['eng'],['Letter'],,England,Leukemia,Leukemia,8704895,IM,,"['Acute Disease', 'Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Female', 'Fetal Blood/*cytology', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Infant', 'Leukemia/*pathology/therapy', 'Lymphocytes/*cytology', 'Male', 'Middle Aged', 'Recurrence']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/11/27 00:00 [received]', '2002/04/10 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402603 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2171-2. doi: 10.1038/sj.leu.2402603.,,,,,,,,,,,,,,,,,,,,,
12357378,NLM,MEDLINE,20021024,20181130,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,P-glycoprotein as a therapeutic target: good news.,2169-70,,"['Shtil, A A']",['Shtil AA'],,['eng'],['Letter'],,England,Leukemia,Leukemia,8704895,IM,,"['ATP Binding Cassette Transporter, Subfamily B, Member 1/*drug effects', 'Cell Membrane/metabolism', 'Drug Resistance, Multiple', 'Drug Resistance, Neoplasm', 'Humans']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/04/28 00:00 [received]', '2002/04/30 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402664 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2169-70. doi: 10.1038/sj.leu.2402664.,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)']",,,,,,['Leukemia 2002 Nov;16(11):2347'],,,,,,,,,,,,,,
12357377,NLM,MEDLINE,20021024,20130304,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Clonal T-large granular lymphocyte proliferations associated with clonal B cell lymphoproliferative disorders: report of eight cases.,2167-9,,"['Papadaki, T', 'Stamatopoulos, K', 'Kosmas, C', 'Paterakis, G', 'Kapsimali, V', 'Kokkini, G', 'Economopoulos, Th', 'Stefanoudaki-Sofianatou, K', 'Marinakis, T', 'Gardikas, E', 'Kalmantis, T']","['Papadaki T', 'Stamatopoulos K', 'Kosmas C', 'Paterakis G', 'Kapsimali V', 'Kokkini G', 'Economopoulos T', 'Stefanoudaki-Sofianatou K', 'Marinakis T', 'Gardikas E', 'Kalmantis T']",,['eng'],"['Case Reports', 'Letter']",,England,Leukemia,Leukemia,8704895,IM,,"['Aged', 'B-Lymphocytes/*cytology/immunology', '*Cell Division', 'Clone Cells', 'Female', 'Humans', 'Immunophenotyping', 'Lymphoproliferative Disorders/immunology/*pathology', 'Male', 'Middle Aged']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/02/09 00:00 [received]', '2002/05/14 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402643 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2167-9. doi: 10.1038/sj.leu.2402643.,,,,,,,,,,,,,,,,,,,,,
12357376,NLM,MEDLINE,20021024,20130304,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Lack of p53 expression in human myeloid leukemias is not due to mutations in transcriptional regulatory regions of the gene.,2165-7,,"['Durland-Busbice, S', 'Reisman, D']","['Durland-Busbice S', 'Reisman D']",,['eng'],"['Letter', ""Research Support, U.S. Gov't, P.H.S.""]",,England,Leukemia,Leukemia,8704895,IM,,"['Base Sequence', 'DNA, Neoplasm', '*Genes, p53', 'Humans', 'Leukemia, Myeloid/*genetics', 'Molecular Sequence Data', '*Mutation', 'Polymerase Chain Reaction', 'Promoter Regions, Genetic', 'RNA, Messenger/genetics', '*Regulatory Sequences, Nucleic Acid', '*Transcription, Genetic']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/01/03 00:00 [received]', '2002/05/14 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402647 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2165-7. doi: 10.1038/sj.leu.2402647.,"['0 (DNA, Neoplasm)', '0 (RNA, Messenger)']",,,,,,,,,,,,,,,,,,,,
12357375,NLM,MEDLINE,20021024,20130304,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Up-regulation of XIAP by M-CSF is associated with resistance of myeloid leukemia cells to apoptosis.,2163-5,,"['Zhang, J', 'Li, Y', 'Shen, B']","['Zhang J', 'Li Y', 'Shen B']",,['eng'],['Letter'],,England,Leukemia,Leukemia,8704895,IM,,"['*Apoptosis', 'Cell Division', 'Cell Survival', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Leukemia, Myeloid/metabolism/*pathology', 'Macrophage Colony-Stimulating Factor/*physiology', 'Proteins/*physiology', 'Up-Regulation/*physiology', 'X-Linked Inhibitor of Apoptosis Protein']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2001/11/16 00:00 [received]', '2002/05/22 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402661 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2163-5. doi: 10.1038/sj.leu.2402661.,"['0 (Proteins)', '0 (X-Linked Inhibitor of Apoptosis Protein)', '0 (XIAP protein, human)', '81627-83-0 (Macrophage Colony-Stimulating Factor)']",,,,,,,,,,,,,,,,,,,,
12357374,NLM,MEDLINE,20021024,20130304,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Hepatitis C virus infection in patients with B-cell lymphoproliferative disorders.,2162-3,,"['Guida, M', ""D'Elia, G"", 'Benvestito, S', 'Casamassima, A', 'Micelli, G', 'Quaranta, M', 'Moschetta, R', 'De Lena, M', 'Lorusso, V']","['Guida M', ""D'Elia G"", 'Benvestito S', 'Casamassima A', 'Micelli G', 'Quaranta M', 'Moschetta R', 'De Lena M', 'Lorusso V']",,['eng'],['Letter'],,England,Leukemia,Leukemia,8704895,IM,,"['Case-Control Studies', 'Hepacivirus/genetics/isolation & purification', 'Hepatitis C/*complications/epidemiology', 'Humans', 'Lymphoma, B-Cell/*complications', 'Multiple Myeloma/*complications', 'Prevalence', 'Prospective Studies', 'RNA, Viral/blood']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/02/12 00:00 [received]', '2002/04/26 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402626 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2162-3. doi: 10.1038/sj.leu.2402626.,"['0 (RNA, Viral)']",,,,,,,,,,,,,,,,,,,,
12357373,NLM,MEDLINE,20021024,20161124,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Imatinib mesylate-induced hepato-toxicity in chronic myeloid leukemia demonstrated focal necrosis resembling acute viral hepatitis.,2160-1,,"['Ohyashiki, K', 'Kuriyama, Y', 'Nakajima, A', 'Tauchi, T', 'Ito, Y', 'Miyazawa, H', 'Kimura, Y', 'Serizawa, H', 'Ebihara, Y']","['Ohyashiki K', 'Kuriyama Y', 'Nakajima A', 'Tauchi T', 'Ito Y', 'Miyazawa H', 'Kimura Y', 'Serizawa H', 'Ebihara Y']",,['eng'],"['Case Reports', 'Letter']",,England,Leukemia,Leukemia,8704895,IM,['Leukemia. 2003 May;17(5):978-9. PMID: 12750713'],"['Benzamides', '*Chemical and Drug Induced Liver Injury', 'Diagnosis, Differential', 'Female', 'Hepatitis, Viral, Human/*diagnosis', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Liver Diseases/diagnosis', 'Middle Aged', 'Piperazines/*adverse effects', 'Pyrimidines/*adverse effects']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/05/13 00:00 [received]', '2002/06/19 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402702 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2160-1. doi: 10.1038/sj.leu.2402702.,"['0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",,,,,,,,,,,,,,,,,,,,
12357372,NLM,MEDLINE,20021024,20181130,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Efficacy of imatinib mesylate (STI571) in conjunction with alpha-interferon: long-term quantitative molecular remission in relapsed P-190(BCR-ABL)-positive acute lymphoblastic leukemia.,2159-60,,"['Visani, G', 'Isidori, A', 'Malagola, M', 'Alberti, D', 'Capdeville, R', 'Martinelli, G', 'Piccaluga, P P', 'Amabile, M', 'Guiducci, B', 'Tura, S', 'Baccarani, M']","['Visani G', 'Isidori A', 'Malagola M', 'Alberti D', 'Capdeville R', 'Martinelli G', 'Piccaluga PP', 'Amabile M', 'Guiducci B', 'Tura S', 'Baccarani M']",,['eng'],"['Case Reports', 'Letter', ""Research Support, Non-U.S. Gov't""]",,England,Leukemia,Leukemia,8704895,IM,,"['Benzamides', 'Fusion Proteins, bcr-abl/*metabolism', 'Humans', 'Imatinib Mesylate', 'Interferon alpha-2', 'Interferon-alpha/administration & dosage/*therapeutic use', 'Male', 'Middle Aged', 'Piperazines', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/metabolism/physiopathology', 'Pyrimidines/administration & dosage/*therapeutic use', 'Recombinant Proteins', 'Recurrence', '*Remission Induction']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/04/25 00:00 [received]', '2002/07/05 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402729 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2159-60. doi: 10.1038/sj.leu.2402729.,"['0 (Benzamides)', '0 (Interferon alpha-2)', '0 (Interferon-alpha)', '0 (Piperazines)', '0 (Pyrimidines)', '0 (Recombinant Proteins)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",,,,,,,,,,,,,,,,,,,,
12357371,NLM,MEDLINE,20021024,20130304,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Detection of illegitimate rearrangements within the immunoglobulin light chain loci in B cell malignancies using end-sequenced probes.,2156-8,,"['Poulsen, T S', 'Silahtaroglu, A N']","['Poulsen TS', 'Silahtaroglu AN']","['The Research Laboratory, Department of Haematology L, 54P4, Herlev Hospital, University of Copenhagen, Denmark. tim.poulsen@dako.dk']",['eng'],['Journal Article'],,England,Leukemia,Leukemia,8704895,IM,,"['*DNA Probes', '*Gene Rearrangement', 'Genetic Techniques', 'Humans', 'Immunoglobulin Light Chains/*genetics', 'Leukemia, B-Cell/*genetics', 'Lymphoma, B-Cell/*genetics', 'Reproducibility of Results']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402658 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2156-8. doi: 10.1038/sj.leu.2402658.,"['0 (DNA Probes)', '0 (Immunoglobulin Light Chains)']",,,,,,,,,,,,,,,,,,,,
12357370,NLM,MEDLINE,20021024,20130304,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Detection of illegitimate rearrangements within the immunoglobulin light chain loci in B cell malignancies using end sequenced probes.,2148-55,"Translocations involving the immunoglobulin loci are recurring events of B cell oncogenesis. The majority of translocations involve the immunoglobulin heavy chain (IGH) locus, while a minor part involves the immunoglobulin light chain loci consisting of the kappa light chain (IGK) located at 2p11.2 and the lambda light chain (IGL) located at 22q11.2. We characterised BAC clones, spanning the IGK and IGL loci, for detection of illegitimate rearrangements by fluorescence in situ hybridisation (FISH). Within the IGL region we have identified six end sequenced probes (22M5, 1152K19, 2036J16, 3188M21, 3115E23 and 274M7) covering the variable (IGLV) cluster and two probes (165G5 and 31L9) covering the constant (IGLC) cluster. Within the IGK region four probes (969D7, 316G9, 122B6 and 2575M21) have been identified covering the variable (IGKV) cluster, and one probe (1021F11) covering the IGK constant (IGKC) cluster. A series of 24 cell lines of different origin have been analysed for the presence of translocations involving the immunoglobulin light chain loci by dual-colour FISH where the split of the variable cluster and the constant cluster indicated a translocation. Probes established in this study can be used for universal screening of illegitimate rearrangements within the immunoglobulin light chain loci in B cell malignancies.","['Poulsen, T S', 'Silahtaroglu, A N', 'Gisselo, C G', 'Tommerup, N', 'Johnsen, H E']","['Poulsen TS', 'Silahtaroglu AN', 'Gisselo CG', 'Tommerup N', 'Johnsen HE']","['The Research Laboratory, Department of Haematology L, Herlev Hospital, University of Copenhagen, Denmark.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Leukemia,Leukemia,8704895,IM,,"['*DNA Probes', '*Gene Rearrangement', 'Humans', 'Immunoglobulin Light Chains/*genetics', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, B-Cell/*genetics/pathology', 'Lymphoma, B-Cell/*genetics/pathology', 'Translocation, Genetic', 'Tumor Cells, Cultured']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/03/11 00:00 [received]', '2002/05/17 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402648 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2148-55. doi: 10.1038/sj.leu.2402648.,"['0 (DNA Probes)', '0 (Immunoglobulin Light Chains)']",,,,,,,,,,,,,,,,,,,,
12357369,NLM,MEDLINE,20021024,20130304,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Interleukin 6 induces monocyte chemoattractant protein-1 expression in myeloma cells.,2142-7,"Interleukin 6 (IL-6) is known to play an important role in the biology of the malignant plasma cells in multiple myeloma. In an effort to better understand IL-6 stimulated myeloma cell growth, we have performed gene expression profiling to identify IL-6 early response genes. Using the KAS-6/1 IL-6-dependent human myeloma cell line, IL-6 stimulation dramatically induced expression of monocyte chemoattractant protein-1 (MCP-1) mRNA. To verify this result, we used reverse transcriptase PCR and RNAse protection assays and demonstrated using both assays that MCP-1 is indeed an IL-6 responsive gene in a variety of IL-6-responsive myeloma cell lines. Moreover, we also demonstrated IL-6 stimulated MCP-1 secretion by the myeloma cell lines as well as by fresh patient tumor cells. Lastly, we present evidence that fresh patient tumor cells express mRNA for the MCP-1 receptor, CCR2, as do myeloma cell lines along with a second MCP-1 receptor, CCR11. Although MM cell chemotaxis in response to MCP-1 was only minimal, we were able to demonstrate that MCP-1 stimulated activation of MAPK. Because of the important role that this chemokine plays in both angiogenesis and bone homeostasis, and the ability of MCP-1 to activate myeloma cells, these results suggest a new mechanism by which IL-6 may contribute to disease pathogenesis.","['Arendt, B K', 'Velazquez-Dones, A', 'Tschumper, R C', 'Howell, K G', 'Ansell, S M', 'Witzig, T E', 'Jelinek, D F']","['Arendt BK', 'Velazquez-Dones A', 'Tschumper RC', 'Howell KG', 'Ansell SM', 'Witzig TE', 'Jelinek DF']","['Department of Immunology, Mayo Graduate and Medical Schools, Mayo Clinic/Foundation, Rochester, MN 55905, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,England,Leukemia,Leukemia,8704895,IM,,"['Base Sequence', 'Chemokine CCL2/*genetics', 'DNA Primers', 'DNA, Complementary', 'Enzyme Activation', 'Enzyme-Linked Immunosorbent Assay', 'Flow Cytometry', 'Humans', 'Interleukin-6/*physiology', 'Mitogen-Activated Protein Kinases/metabolism', 'Multiple Myeloma/*metabolism', 'Oligonucleotide Array Sequence Analysis', 'RNA, Messenger/genetics', 'Tumor Cells, Cultured']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2002/01/15 00:00 [received]', '2002/06/20 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402714 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2142-7. doi: 10.1038/sj.leu.2402714.,"['0 (Chemokine CCL2)', '0 (DNA Primers)', '0 (DNA, Complementary)', '0 (Interleukin-6)', '0 (RNA, Messenger)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinases)']",,,"['CA62228/CA/NCI NIH HHS/United States', 'CA62242/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,,
12357368,NLM,MEDLINE,20021024,20130304,0887-6924 (Print) 0887-6924 (Linking),16,10,2002 Oct,Angio-immunoblastic T cell lymphoma (AILD-TL) rich in large B cells and associated with Epstein-Barr virus infection. A different subtype of AILD-TL?,2134-41,"We studied eight patients with characteristic features of angio-immunoblastic T cell lymphoma (AILD-TL) associated with more than 25% of large B cells. Polymerase chain reaction (PCR) analysis showed a clonal rearrangement of the T cell receptor (TCR)-gamma chain gene in all cases. One additional case showed a clonal rearrangement of the TCR-beta chain gene by Southern blot hybridization. PCR analysis showed a clonal immunoglobulin rearrangement in three cases presenting with more than 50% of large B cells whereas the other cases had a germline configuration. In 6/8 cases, double-labeling immunohistochemistry and in situ hybridization demonstrated that Epstein-Barr virus (EBV) was mostly present in the large B cells but also detected in some T cells. We further evaluated the frequency of AILD-TL with more than 25% of large B cells in the 106 cases collected by the French GELA group and found an incidence of 18%. The outcome of these patients did not differ significantly from those with less than 25% of B cells. With this approach we confirm the heterogeneity of AILD-TL features and the possible association with a substantial numbers of CD20(+), EBV(+) large B cells. We propose to denominate these cases as 'AILD-TL rich in large B cells' and to consider them as a different entity which can be misdiagnosed as a reactive process or as T cell rich B cell lymphoma.","['Lome-Maldonado, C', 'Canioni, D', 'Hermine, O', 'Delabesse, E', 'Damotte, D', 'Raffoux, E', 'Gaulard, P', 'Macintyre, E', 'Brousse, N']","['Lome-Maldonado C', 'Canioni D', 'Hermine O', 'Delabesse E', 'Damotte D', 'Raffoux E', 'Gaulard P', 'Macintyre E', 'Brousse N']","['Department of Pathology (EA 219, University Paris V), Hopital Necker-Enfants Malades, France.']",['eng'],['Journal Article'],,England,Leukemia,Leukemia,8704895,IM,,"['Aged', 'Aged, 80 and over', 'B-Lymphocytes/*pathology', 'Blotting, Southern', 'Epstein-Barr Virus Infections/*complications', 'Female', 'Gene Rearrangement, T-Lymphocyte', 'Humans', 'Immunohistochemistry', 'Lymphoma, Large-Cell, Immunoblastic/complications/immunology/*pathology', 'Male', 'Middle Aged', 'Polymerase Chain Reaction', 'Receptors, Antigen, T-Cell, gamma-delta/genetics']",2002/10/03 04:00,2002/10/31 04:00,['2002/10/03 04:00'],"['2001/11/15 00:00 [received]', '2002/05/07 00:00 [accepted]', '2002/10/03 04:00 [pubmed]', '2002/10/31 04:00 [medline]', '2002/10/03 04:00 [entrez]']",['10.1038/sj.leu.2402642 [doi]'],ppublish,Leukemia. 2002 Oct;16(10):2134-41. doi: 10.1038/sj.leu.2402642.,"['0 (Receptors, Antigen, T-Cell, gamma-delta)']",,,,,,,,,,,,,,,"[""French Groupe d'Etude des Lymphomes de l'Adulte (GELA)""]",,,,,
