PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RF,TT,PMC,SI,OID,OTO,OT,GN,OAB,OABL
3004855,NLM,MEDLINE,19860415,20061115,0253-3766 (Print) 0253-3766 (Linking),7,5,1985 Sep,[Erythrophagocytic cancer cells].,339-41,"The phagocytosis of senescent red cells by the monocyte-macrophage system and neutrophils is a normal physiological phenomenon. However, the erythrophagocytosis by malignant tumor cells was also reported, such as plasma cells of multiple myeloma, acute lymphoblastic leukemia cells and oat cells of bronchogenic carcinoma, etc. This paper describes the erythrophagocytosis by signet-ring cells of adenocarcinoma of the lung observed by electronmicroscope in 1982 and supported by light microscopy and cytochemical tests.","['Xie, N M']",['Xie NM'],['chi'],"['Case Reports', 'English Abstract', 'Journal Article']",China,Zhonghua Zhong Liu Za Zhi,Zhonghua zhong liu za zhi [Chinese journal of oncology],7910681,,IM,"['Adenocarcinoma/*pathology', 'Adenocarcinoma, Mucinous/*pathology', 'Adult', 'Erythrocytes', 'Humans', 'Lung Neoplasms/*pathology', 'Male', 'Middle Aged', '*Phagocytosis']",1985/09/01 00:00,1985/09/01 00:01,['1985/09/01 00:00'],"['1985/09/01 00:00 [pubmed]', '1985/09/01 00:01 [medline]', '1985/09/01 00:00 [entrez]']",,ppublish,Zhonghua Zhong Liu Za Zhi. 1985 Sep;7(5):339-41.,,,,,,,,,,,
3004846,NLM,MEDLINE,19860421,20151119,0196-4763 (Print) 0196-4763 (Linking),7,1,1986 Jan,Flow cytometric and radioisotopic determinations of platelet survival time in normal cats and feline leukemia virus-infected cats.,64-9,"This study demonstrates the potential usefulness of a flow cytometric technique to measure platelet survival time in cats utilizing autologous platelets labeled in vitro with fluorescein isothiocyanate (FITC). When compared with a 51Cr method, no significant differences in estimated survival times were found. Both the 51Cr and FITC-labeling procedures induced similar changes in platelet shape and collagen-induced aggregation. Platelets labeled with FITC had significantly greater volumes compared with those of glutaraldehyde-fixed platelets. These changes were primarily related to the platelet centrifugation and washing procedures rather than the labels themselves. This novel technique potentially has wide applicability to cell circulation time studies as flow cytometry equipment becomes more readily available. Problems with the technique are discussed. In a preliminary study of the platelet survival time in feline leukemia virus (FeLV)-infected cats, two of three cats had significantly reduced survival times using both flow cytometric and radioisotopic methods. These data suggest increased platelet turnover in FeLV-infected cats.","['Jacobs, R M', 'Boyce, J T', 'Kociba, G J']","['Jacobs RM', 'Boyce JT', 'Kociba GJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cytometry,Cytometry,8102328,"['0 (Fluoresceins)', '0 (Thiocyanates)', 'I223NX31W9 (Fluorescein-5-isothiocyanate)']",IM,"['Animals', 'Blood Platelets/*physiology', 'Cats', '*Cell Survival', 'Female', 'Flow Cytometry/*methods', 'Fluorescein-5-isothiocyanate', 'Fluoresceins', 'Leukemia Virus, Feline', 'Leukemia, Experimental/*blood', 'Microscopy, Phase-Contrast', 'Platelet Aggregation', 'Scattering, Radiation', 'Spectrometry, Fluorescence', 'Thiocyanates']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",['10.1002/cyto.990070109 [doi]'],ppublish,Cytometry. 1986 Jan;7(1):64-9. doi: 10.1002/cyto.990070109.,['HL31783-01/HL/NHLBI NIH HHS/United States'],,,,,,,,,,
3004804,NLM,MEDLINE,19860421,20191022,0147-9571 (Print) 0147-9571 (Linking),8,3-4,1985,The diagnosis of enzootic bovine leukosis.,305-9,"This paper reviews the clinical and virological diagnostic procedures for enzootic bovine leukosis (EBL). The clinical diagnosis must be always confirmed by a specific laboratory test for Bovine Leukaemia Virus (BLV). Many virological tests were proposed. The sensitivity of all the diagnostic methods is sufficient to do an early detection of a BLV infection on an individual base. Advantages of the highly sensitive methods like RIA and ELISA appear when the samples to be tested have naturally very low antibody titers (individual milk, bulk milk, pooled sera).","['Mammerickx, M', 'Portetelle, D', 'Burny, A']","['Mammerickx M', 'Portetelle D', 'Burny A']",['eng'],"['Journal Article', 'Review']",England,Comp Immunol Microbiol Infect Dis,"Comparative immunology, microbiology and infectious diseases",7808924,"['0 (Antibodies, Viral)']",IM,"['Animals', 'Antibodies, Viral/analysis', 'Cattle', 'Cattle Diseases/*diagnosis/immunology/microbiology', 'Complement Fixation Tests', 'Enzyme-Linked Immunosorbent Assay', 'Fluorescent Antibody Technique', 'Immunodiffusion', 'Leukemia/diagnosis/immunology/microbiology/*veterinary', 'Leukemia Virus, Bovine/analysis/*immunology', 'Lymphocytosis/veterinary', 'Lymphoma, Non-Hodgkin/diagnosis/immunology/microbiology/*veterinary', 'Microscopy, Electron', 'Milk/immunology', 'Neutralization Tests', 'Radioimmunoassay', 'Retroviridae/*immunology']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']","['0147-9571(85)90009-8 [pii]', '10.1016/0147-9571(85)90009-8 [doi]']",ppublish,Comp Immunol Microbiol Infect Dis. 1985;8(3-4):305-9. doi: 10.1016/0147-9571(85)90009-8.,,9,,,,,,,,,
3004722,NLM,MEDLINE,19860423,20081121,0008-5472 (Print) 0008-5472 (Linking),46,4 Pt 2,1986 Apr,Establishment in long term culture of megakaryocytic leukemia cells (EST-IU) from the marrow of a patient with leukemia and a mediastinal germ cell neoplasm.,2155-9,"Megakaryocytes are the bone marrow cells that generate platelets. They are relatively rare cells, comprising between 0.03 and 0.06% of all nucleated marrow cells (R. L. Berkow et al., J. Lab. Clin. Med., 103: 811-818, 1984). The study of human megakaryocyte differentiation and function has been hampered by the small number of these cells available for study. Recently we have established a human cell line (EST-IU) from the marrow of a patient with an acute nonlymphocytic leukemia and a mediastinal germ cell tumor. While this cell line seems to express many of the phenotypic characteristics of human megakaryocytes, it does not appear to express any phenotypic properties associated with cells of the erythroid, lymphoid, granulocytic, or monocytic lineages. Transmission electron microscopy demonstrates frequent multinucleated cells. Staining for platelet peroxidase reactivity revealed darkening of the perinuclear envelope and the endoplasmic reticulum, a characteristic of cells of the megakaryocytic lineage. Indirect immunofluorescence assays reveal that EST-IU expresses reactivity with anti-platelet glycoprotein antisera, anti-Factor VIII-related antigen antisera, anti-Factor V antisera, anti-thrombocyte antisera, Tab (monoclonal anti-platelet glycoprotein IIb-IIIa), and anti-fibronectin antisera. Flow cytometry-derived DNA histograms demonstrate populations with multiple ploidies, ranging from approximately 4N to 32N. Based upon morphological and histochemical characteristics, antigenic expression, and nuclear characteristics, EST-IU cells appear to have a phenotype that closely resembles human megakaryocytes. This cell line should be useful in the further cell study of the molecular and cell biology of human megakaryocytopoiesis.","['Sledge, G W Jr', 'Glant, M', 'Jansen, J', 'Heerema, N A', 'Roth, B J', 'Goheen, M', 'Hoffman, R']","['Sledge GW Jr', 'Glant M', 'Jansen J', 'Heerema NA', 'Roth BJ', 'Goheen M', 'Hoffman R']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (DNA, Neoplasm)', '0 (Isoenzymes)']",IM,"['Acute Disease', 'Bone Marrow/*pathology', 'Cells, Cultured', 'DNA, Neoplasm/analysis', 'Fluorescent Antibody Technique', 'Humans', 'Isoenzymes/analysis', 'Karyotyping', 'Leukemia/immunology/*pathology', 'Mediastinal Neoplasms/immunology/*pathology', 'Microscopy, Electron', 'Neoplasms, Germ Cell and Embryonal/immunology/*pathology', 'Thrombocythemia, Essential/*pathology']",1986/04/01 00:00,2001/03/28 10:01,['1986/04/01 00:00'],"['1986/04/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1986/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1986 Apr;46(4 Pt 2):2155-9.,"['CA 34841-04/CA/NCI NIH HHS/United States', 'HL 31710-02/HL/NHLBI NIH HHS/United States']",,,,,,,,,,
3004709,NLM,MEDLINE,19860423,20071114,0008-5472 (Print) 0008-5472 (Linking),46,4 Pt 2,1986 Apr,Expression of retroviral sequences and oncogenes in murine hepatocellular tumors.,1915-9,"The expression of endogenous retroviral sequences and of three cellular oncogenes was examined in three hepatocellular adenomas and in four carcinomas induced in male C57BL/6JDp X C3Hf/Dp F1 (hereafter called B6C3F1) mice by a single dose of nitrosodiethylamine, in five carcinomas that arose spontaneously in male C3Hf mice, and in the livers of normal age-matched control mice. In all of these adenomas and carcinomas, there was increased expression of Moloney murine leukemia virus- and intracisternal A particle-related sequences. The retrovirus-like VL30 sequence was expressed at significant levels in the normal liver of these mice and increased expression of this sequence was found in only 4 of the 12 tumors examined. Expression of endogenous mouse mammary tumor virus-related sequences was not detected in the normal livers or in any of the liver tumors. With respect to cellular oncogenes, increased expression of c-myc was seen in all of the B6C3F1 tumors. Two of five normal liver samples and all of the tumors of the C3Hf mice displayed significant expression of c-myc. There was a slight increase in expression of c-Ha-ras in some of the tumors. Increased expression of c-fos was found in only 1 of the 12 tumors. Taken together, these studies indicate that both carcinogen-induced and spontaneous liver tumor formation in mice is associated with abnormalities in the expression of endogenous retrovirus-related DNA sequences and also specific cellular oncogenes.","['Dragani, T A', 'Manenti, G', 'Della Porta, G', 'Gattoni-Celli, S', 'Weinstein, I B']","['Dragani TA', 'Manenti G', 'Della Porta G', 'Gattoni-Celli S', 'Weinstein IB']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (RNA, Viral)']",IM,"['Animals', 'Base Sequence', 'Genes, Intracisternal A-Particle', '*Genes, Viral', 'Liver/pathology', 'Liver Neoplasms, Experimental/*genetics/pathology', 'Male', 'Mammary Tumor Virus, Mouse/genetics', 'Mice', 'Mice, Inbred Strains', '*Oncogenes', 'RNA, Viral/analysis', 'Retroviridae/*genetics', 'Transcription, Genetic']",1986/04/01 00:00,1986/04/01 00:01,['1986/04/01 00:00'],"['1986/04/01 00:00 [pubmed]', '1986/04/01 00:01 [medline]', '1986/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1986 Apr;46(4 Pt 2):1915-9.,['21111/PHS HHS/United States'],,,,,,,,,,
3004707,NLM,MEDLINE,19860423,20131121,0008-5472 (Print) 0008-5472 (Linking),46,4 Pt 1,1986 Apr,Anchorage dependency effects on difluoromethylornithine cytotoxicity in human lung carcinoma cells.,1844-8,"Difluoromethylornithine (DFMO), a specific, irreversible, enzyme-activated inhibitor of ornithine decarboxylase activity, the first and rate-limiting step in polyamine biosynthesis, has been shown to inhibit neoplastic cell proliferation in culture. In most cases, such inhibition is not accompanied by cell loss, with the exception of multiple cell lines of human small cell lung carcinoma (SCC), a human leukemia cell line (HL-60), and possibly the B16 melanoma cell line. The first two cell types grow as anchorage-independent suspension cultures, the HL-60 as single cells and the SCC as multicellular spheroid aggregates. Moreover, in the spectrum of human lung carcinoma cells in culture, the SCC cells respond in a cytotoxic manner to DFMO, whereas the non-small cell lung carcinoma (non-SCC) cells, which are anchorage dependent, show only growth inhibition, without actual cell loss. In the present study, we have investigated relationships between anchorage-dependent and -independent growth patterns of cells in culture and their response to DFMO treatment. Two non-SCC lung cancer cell lines, which normally grow as anchorage-dependent monolayers, show growth inhibition but no cell loss with the addition of DFMO. When these anchorage-dependent cells were forced to grow as multicellular aggregates, by coating the culture flask with Teflon, the cells developed an increased sensitivity to DFMO. They showed not only inhibition of cell proliferation but also cell death. Two SCC cell lines, which normally grow as anchorage-independent spheroids, developed adherence to the culture dishes coated with fibronectin. These cells, which show a cytotoxic response to DFMO during normal anchorage-independent growth, developed a decreased sensitivity to DFMO, showing only cell growth inhibition, but no cell death when treated during anchorage-dependent growth. Our data thus suggest that the state of anchorage dependence of lung cancer cells in culture is a critical factor in determining their response to polyamine depletion during treatment with DFMO.","['Luk, G D', 'Baylin, S B']","['Luk GD', 'Baylin SB']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Polyamines)', 'E524N2IXA3 (Ornithine)', 'ZQN1G5V6SR (Eflornithine)']",IM,"['Carcinoma, Small Cell/pathology', 'Carcinoma, Squamous Cell/pathology', 'Cell Aggregation', 'Cell Communication', 'Cell Survival/drug effects', 'Cells, Cultured', 'Cytoskeleton/drug effects', 'Eflornithine', 'Humans', 'Lung Neoplasms/drug therapy/*pathology', 'Ornithine/*analogs & derivatives/pharmacology/therapeutic use', 'Polyamines/biosynthesis']",1986/04/01 00:00,1986/04/01 00:01,['1986/04/01 00:00'],"['1986/04/01 00:00 [pubmed]', '1986/04/01 00:01 [medline]', '1986/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1986 Apr;46(4 Pt 1):1844-8.,"['CA34453/CA/NCI NIH HHS/United States', 'CA37606/CA/NCI NIH HHS/United States', 'CA37789/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,
3004704,NLM,MEDLINE,19860423,20131121,0008-5472 (Print) 0008-5472 (Linking),46,4 Pt 1,1986 Apr,Mechanisms of growth inhibition by anti-transferrin receptor monoclonal antibodies.,1759-63,"In previous studies, an immunoglobulin A, anti-transferrin receptor antibody (42/6) inhibited growth of a variety of normal and malignant human hemopoietic cells. To determine its mechanism of growth inhibition, we compared effects of 42/6 and B3/25, an immunoglobulin G anti-transferrin receptor antibody which does not inhibit lymphocyte growth, on transferrin (TF) binding and uptake. As in previous studies, affinity constants of TF and anti-TF receptor antibodies for human TF receptors at 4 degrees C were similar, but the number of calculated binding sites was higher for the antibodies. Antibody B3/25 did not inhibit TF binding at either 4 degrees C or 37 degrees C. At 4 degrees C, antibody 42/6 inhibited TF binding to normal, mitogen-stimulated mononuclear cells. However, TF did not inhibit 42/6 binding, suggesting 42/6 inhibited TF binding by noncompetitive, possibly steric, mechanisms. When cells were simultaneously exposed to labeled TF and unlabeled anti-TF receptor antibodies at 37 degrees C, 42/6 inhibited TF binding only slightly. Initial uptake of antibodies and TF at 37 degrees C was rapid, but when mononuclear cells or HL60 cells were cultured with either 42/6 or B3/25 for 2 days, TF binding and immunoreactive TF receptor sites decreased. However, TF bound to cells cultured with B3/25 continued to enter the cell, whereas cells cultured with 42/6 would no longer take up bound TF. Studies using HL60 cells grown with soluble iron in lieu of TF showed that changes in TF binding sites and TF uptake were not secondary to growth inhibition. We conclude that incubation with both inhibitory (42/6) and noninhibitory (B3/25) anti-TF receptor antibodies results in decreased TF binding sites. However, exposure to 42/6 also inhibits TF uptake and causes growth inhibition by iron deprivation. Monoclonal antibodies to receptors transporting critical nutrient molecules, such as iron, may inhibit cell growth by blocking ligand access to the cell's interior.","['Taetle, R', 'Castagnola, J', 'Mendelsohn, J']","['Taetle R', 'Castagnola J', 'Mendelsohn J']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antibodies, Monoclonal)', '0 (Immunoglobulin G)', '0 (Receptors, Cell Surface)', '0 (Receptors, Transferrin)', '0 (Transferrin)', 'E1UOL152H7 (Iron)']",IM,"['Animals', 'Antibodies, Monoclonal/*immunology', 'Binding Sites', 'Cell Survival', 'Cells, Cultured', 'Humans', 'Immunoglobulin G/immunology', 'Iron/physiology', 'Leukemia/*pathology', 'Lymphocytes/cytology', 'Mice', 'Receptors, Cell Surface/analysis/*immunology/physiology', 'Receptors, Transferrin', 'Transferrin/metabolism']",1986/04/01 00:00,1986/04/01 00:01,['1986/04/01 00:00'],"['1986/04/01 00:00 [pubmed]', '1986/04/01 00:01 [medline]', '1986/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1986 Apr;46(4 Pt 1):1759-63.,"['CA23100/CA/NCI NIH HHS/United States', 'CA32094/CA/NCI NIH HHS/United States', 'CA34077/CA/NCI NIH HHS/United States']",,,,,,,,,,
3004697,NLM,MEDLINE,19860328,20190816,0165-4608 (Print) 0165-4608 (Linking),21,2,1986 Mar 15,The Philadelphia chromosome: a model of cancer and molecular cytogenetics.,129-46,"Recent developments in molecular biology related to the Ph chromosome lead us to an evaluation of knowledge regarding this chromosome. The molecular advances are related to two cellular oncogenes, c-abl and c-sis, and also to the identification and molecular cloning of specific areas of DNA (e.g., band 22q11), permitting the isolation of a probe specific for the translocation breakpoint domain. In the preponderant number of cases examined, it was found that the breakpoints at 22q11 occur within a limited region of up to 5-6 kb, for which the term ""breakpoint cluster region"" (bcr) has been suggested. In contrast, breaks at 9q34 seem to occur within a much larger region at the molecular level. Yet to be established is the exact genetic composition of the bcr and a determination as to whether or not the breaks leading to the disease occur preferentially within specific areas. In spite of this level of knowledge, we do not understand how the Ph chromosome participates in CML. If Ph-positive CML is ultimately associated with a cascade of gene activations, the unraveling of their nature and chronology will undoubtedly tell us much of their contribution to the biology of CML, in particular, and to neoplasia, in general. In this respect, the rather clear description of CML in cytogenetic, clinical, and laboratory terms, the relatively long chronic phase of the disease, and the association of the blastic phase with nonrandom chromosome changes (at least in the initial phases of the disease) make Ph-positive CML an excellent candidate for a model for the study of molecular events in human neoplasia.","['Sandberg, A A', 'Gemmill, R M', 'Hecht, B K', 'Hecht, F']","['Sandberg AA', 'Gemmill RM', 'Hecht BK', 'Hecht F']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (RNA, Messenger)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Chromosome Banding', 'Chromosome Mapping', 'Chromosomes, Human, 6-12 and X', 'DNA Restriction Enzymes', 'Gene Expression Regulation', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', '*Models, Genetic', 'Oncogenes', '*Philadelphia Chromosome', 'RNA, Messenger/genetics', 'Translocation, Genetic']",1986/03/15 00:00,1986/03/15 00:01,['1986/03/15 00:00'],"['1986/03/15 00:00 [pubmed]', '1986/03/15 00:01 [medline]', '1986/03/15 00:00 [entrez]']","['0165-4608(86)90039-7 [pii]', '10.1016/0165-4608(86)90039-7 [doi]']",ppublish,Cancer Genet Cytogenet. 1986 Mar 15;21(2):129-46. doi: 10.1016/0165-4608(86)90039-7.,"['CA-14555/CA/NCI NIH HHS/United States', 'CA-25055/CA/NCI NIH HHS/United States']",92,,,,,,,,,
3004618,NLM,MEDLINE,19860407,20210216,0006-4971 (Print) 0006-4971 (Linking),67,3,1986 Mar,Cytogenetic and immunophenotypic analysis of cell lines established from patients with T cell leukemia/lymphoma.,650-6,"Cell lines were established from five patients with T cell malignancies. Two patients had T cell lymphoblastic lymphoma (T-LL), whereas three patients had T cell acute lymphoblastic leukemia (T-ALL). Both T-LL cell lines expressed cell surface antigens characteristic of midthymocytes (Leu 2, 3, 6+). One T-ALL cell line also expressed this immunophenotype, one expressed suppressor/cytotoxic antigens (Leu 2+; Leu 3, 6-), and one expressed antigens of a mature but uncommitted T cell (Leu 4+; Leu 2, 3, 6-). Cytogenetic analysis showed that each cell line had 46 chromosomes with pseudodiploidy. The three T-ALL cell lines had only a few chromosome changes; one cell line had one deletion, another had two deletions, and the third had a translocation and two deletions (including loss of part of 9p). In comparison, both T-LL cell lines had complex chromosome changes, including most notably a rearrangement of band 14q11.2. The immunophenotypes and chromosome breakpoints showed patterns of interlock between the T-LL and T-ALL cell lines because common abnormalities occurred at six distinct chromosome sites. Cell lines with limited and specific chromosomal abnormalities are important because they can provide the basic material for molecular genetic studies that could elucidate the genetic mechanisms involved in neoplasia.","['Smith, S D', 'Morgan, R', 'Link, M P', 'McFall, P', 'Hecht, F']","['Smith SD', 'Morgan R', 'Link MP', 'McFall P', 'Hecht F']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Antigens, Differentiation, T-Lymphocyte)', '0 (Antigens, Surface)']",IM,"['Adolescent', 'Adult', 'Antigens, Differentiation, T-Lymphocyte', 'Antigens, Surface/analysis', 'Cell Line', 'Child', '*Chromosome Aberrations', 'Chromosome Deletion', 'Chromosomes, Human, 13-15', 'Chromosomes, Human, 6-12 and X', 'Deltaretrovirus/immunology', 'Female', 'Humans', 'Karyotyping', 'Male', 'Middle Aged', 'Oncogenes', 'Phenotype', 'Retroviridae Infections/*genetics/immunology', 'Translocation, Genetic']",1986/03/01 00:00,1986/03/01 00:01,['1986/03/01 00:00'],"['1986/03/01 00:00 [pubmed]', '1986/03/01 00:01 [medline]', '1986/03/01 00:00 [entrez]']",['S0006-4971(20)81370-6 [pii]'],ppublish,Blood. 1986 Mar;67(3):650-6.,"['CA25055/CA/NCI NIH HHS/United States', 'CA34233/CA/NCI NIH HHS/United States']",,,,,,,,,,
3004554,NLM,MEDLINE,19860404,20190704,0007-1048 (Print) 0007-1048 (Linking),62,2,1986 Feb,Growth fraction of tumour cells and infiltration density with natural killer-like (HNK1+) cells in non-Hodgkin lymphomas.,293-300,"Two markers for cells in the growth fraction, the T9 antigen (i.e. the transferrin receptor) and the T10 antigen were investigated in frozen tissue sections of 105 non-Hodgkin lymphomas (NHL). The results were correlated with the histological subtype and the pattern of tumour infiltration by reactive cells. Special attention was directed to the density of natural killer (NK)-like cells using the anti-HNK1 (Leu7) antibody since the transferrin receptor (tfr) or other growth-associated membrane structures may serve as target for NK cells. Our study confirms a relationship between number of tumour cells with the T9 marker and tissue infiltration by HNK1+ cells in NHL of low (chronic lymphocytic leukaemia, hairy-cell leukaemia, immunocytic lymphoma, centroblastic-centrocytic lymphoma) and intermediate (centrocytic and centroblastic lymphoma) but not in NHL of high malignant grade (immunoblastic and lymphoblastic lymphoma). Comparable results were obtained with the T10 antigen although the correlation was less close. The percentage of cells in the growth fraction, defined by the expression of the T9 and T10 marker, corresponded with prognostically unfavourable subgroups with the remarkable exception of follicular NHL of centroblastic-centrocytic type. This lymphoma showed high numbers of cells with the T9 and the T10 marker in a microenvironment resembling normal germinal centres in many aspects.","['Greil, R', 'Gattringer, C', 'Knapp, W', 'Huber, H']","['Greil R', 'Gattringer C', 'Knapp W', 'Huber H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antigens, Surface)', '0 (Receptors, Cell Surface)', '0 (Receptors, Transferrin)', '0 (Tumor Necrosis Factor Receptor Superfamily, Member 7)']",IM,"['Antigens, Surface/*analysis', 'Humans', 'Killer Cells, Natural/*immunology', 'Leukocyte Count', 'Lymphoma/*immunology/pathology', 'Receptors, Cell Surface/immunology', 'Receptors, Transferrin', 'T-Lymphocytes/*immunology', 'Tumor Necrosis Factor Receptor Superfamily, Member 7']",1986/02/01 00:00,1986/02/01 00:01,['1986/02/01 00:00'],"['1986/02/01 00:00 [pubmed]', '1986/02/01 00:01 [medline]', '1986/02/01 00:00 [entrez]']",['10.1111/j.1365-2141.1986.tb02932.x [doi]'],ppublish,Br J Haematol. 1986 Feb;62(2):293-300. doi: 10.1111/j.1365-2141.1986.tb02932.x.,,,,,,,,,,,
3004501,NLM,MEDLINE,19860228,20190623,0006-2952 (Print) 0006-2952 (Linking),35,3,1986 Feb 1,"Inhibition of the leukotriene synthetase of rat basophil leukemia cells by diethylcarbamazine, and synergism between diethylcarbamazine and piriprost, a 5-lipoxygenase inhibitor.",425-33,"Diethylcarbamazine inhibited the formation of sulfidopeptide leukotrienes in rat basophil leukemia (RBL) cells (50% inhibitory concentration, EC50, 3 mM). Similar concentrations also inhibited the formation of leukotriene C4 (LTC4) by LTC synthetase, a detergent-solubilized cell free particulate enzyme from RBL cells which is capable of coupling LTA4 to glutathione. By contrast, the conversion of LTA4 to LTC4 using enzymes from rat liver was at least ten times less sensitive to this inhibitor. The EC50 for inhibition of the leukotriene C synthetase of RBL cells was directly proportional to the LTA4 concentration in the incubations, ranging from 1.5 mM at 10 microM LTA4 to over 40 mM at 500 microM LTA4. Kinetic analysis revealed that the inhibition of the leukotriene C synthetase reaction by diethylcarbamazine was competitive with respect to LTA4. In contrast to diethylcarbamazine, piriprost (U-60,257; 6,9-deepoxy-6,9-(phenylimino)-delta 6,8-prostaglandin I1), which inhibits the formation of sulfidopeptide leuktrienes in RBL cells at the 5-lipoxygenase step (EC50 5 microM), did not inhibit the leukotriene synthetase of these cells. On the other hand, low concentrations of piriprost, which had no demonstrable inhibitory activity on leukotriene formation by themselves, markedly synergized the inhibitory activity of diethylcarbamazine. These results are consistent with the interpretation that both piriprost and diethylcarbamazine inhibit leukotriene formation but that they act on sequential steps in the biosynthetic pathway in such a manner as to synergistically interfere with the availability or utilization of LTA4 in the leukotriene C synthetase reaction.","['Bach, M K', 'Brashler, J R']","['Bach MK', 'Brashler JR']",['eng'],['Journal Article'],England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Arachidonic Acids)', '0 (Leukotriene A4)', '0 (Lipoxygenase Inhibitors)', '0 (SRS-A)', 'DCR9Z582X0 (Epoprostenol)', 'EC 1.13.11.- (Arachidonate Lipoxygenases)', 'EC 2.5.1.18 (Glutathione Transferase)', 'EC 4.4.1.20 (leukotriene-C4 synthase)', 'R802O5NILK (piriprost)', 'V867Q8X3ZD (Diethylcarbamazine)']",IM,"['Animals', 'Arachidonate Lipoxygenases', 'Arachidonic Acids/*metabolism', 'Basophils/*enzymology', 'Cell Line', 'Diethylcarbamazine/*pharmacology', 'Drug Synergism', 'Epoprostenol/*pharmacology', 'Glutathione Transferase/*antagonists & inhibitors', 'Kinetics', 'Leukotriene A4', '*Lipoxygenase Inhibitors', 'Rats', 'SRS-A/*biosynthesis']",1986/02/01 00:00,1986/02/01 00:01,['1986/02/01 00:00'],"['1986/02/01 00:00 [pubmed]', '1986/02/01 00:01 [medline]', '1986/02/01 00:00 [entrez]']","['0006-2952(86)90215-7 [pii]', '10.1016/0006-2952(86)90215-7 [doi]']",ppublish,Biochem Pharmacol. 1986 Feb 1;35(3):425-33. doi: 10.1016/0006-2952(86)90215-7.,,,,,,,,,,,
