PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GR,TT,AD,SI
6967512,NLM,MEDLINE,19801027,20190508,0022-1007 (Print) 0022-1007 (Linking),152,2,1980 Aug 1,On the T cell hyperreactivity of NZB mice against H-2-identical cells. Evidence for primary response characteristics and an increased helper potential.,296-305,"Experimental evidence presented in this paper suggests that the T cell hyperreactivity of NZB mice against H-2 identical target cells is a true primary response and not the consequence of an in vivo T cell autoimmune priming event. Based on additional data, we believe an elevated potential of T cell help to be present in NZB mice, which facilitates the observed hyperreactivity F1 hybrids of NZB and normal strains of mice inherited the capacity to hyperreact against H-2 identical cells in an H-2-unrestricted fashion. Because the hybrids tested possess both Qa-1 alleles--Qa-1b and Qa-1a--our experiments either indicate the existence of heterogeneity within the Qa-1b system or of an H-2-unrestricted response against additional target antigens. The T cell hyperreactivity might prove to be a valuable tool in further investigations of the pathomechanism of autoimmune disease.","['Stockinger, B', 'Botzenhardt, U']","['Stockinger B', 'Botzenhardt U']",['eng'],['Journal Article'],United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Autoantibodies)', '0 (H-2 Antigens)']",IM,"['Animals', 'Autoantibodies/immunology', 'Cell Line', 'Cytotoxicity, Immunologic', 'H-2 Antigens/genetics/*immunology', 'Hybridization, Genetic', '*Immunization', 'Leukemia, Experimental/immunology', 'Mice', 'Mice, Inbred NZB/immunology', 'T-Lymphocytes/*immunology']",1980/08/01 00:00,1980/08/01 00:01,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '1980/08/01 00:01 [medline]', '1980/08/01 00:00 [entrez]']",['10.1084/jem.152.2.296 [doi]'],ppublish,J Exp Med. 1980 Aug 1;152(2):296-305. doi: 10.1084/jem.152.2.296.,PMC2185950,,,,
6967511,NLM,MEDLINE,19801027,20190508,0022-1007 (Print) 0022-1007 (Linking),152,1,1980 Jul 1,An antigen shared by a human T cell subset and B cell chronic lymphocytic leukemic cells. Distribution on normal and malignant lymphoid cells.,229-34,"We obtained a monoclonal antibody, A50, after immunizing Biozzi's high responder strain of mice with T cell chronic lymphocytic leukemia (T-CLL) cells. A50 recognized an antigen present on the surface of B cell chronic lymphocytic leukemia cells from many patients and from cells of T lineage from any subject we tested. We could not find this antigen either on the surface of normal B cell or on other non-T cell malignancies. On T cells, this antigen was present on a subpopulation of thymus cells, and on most peripheral T cells. The antigen was present on the surface of cells from T-CLL, Sezary's disease, and a subset o T cell lymphoma. The antigen seemed to belong to a complex set of antigenic determinants that we had defined with rabbit antisera.","['Boumsell, L', 'Coppin, H', 'Pham, D', 'Raynal, B', 'Lemerle, J', 'Dausset, J', 'Bernard, A']","['Boumsell L', 'Coppin H', 'Pham D', 'Raynal B', 'Lemerle J', 'Dausset J', 'Bernard A']",['eng'],['Journal Article'],United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Antigens, Surface)', '0 (Immune Sera)']",IM,"['Animals', 'Antigens, Surface/immunology/*isolation & purification', 'B-Lymphocytes/*immunology', 'Humans', 'Immune Sera', 'Leukemia, Experimental/immunology', 'Leukemia, Lymphoid/*immunology', 'Mice', 'Rabbits', 'T-Lymphocytes/*immunology']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']",['10.1084/jem.152.1.229 [doi]'],ppublish,J Exp Med. 1980 Jul 1;152(1):229-34. doi: 10.1084/jem.152.1.229.,PMC2185910,,,,
6967349,NLM,MEDLINE,19801024,20190620,0008-543X (Print) 0008-543X (Linking),46,4,1980 Aug 15,Lymphoreticular disorders in primary immunodeficiencies: new findings based on an up-to-date histologic classification of 35 cases.,692-9,"A histologic review was undertaken of 35 lymphoreticular disorders that developed in primary immuno-deficiency patients from the Immunodeficiency Cancer Registry. Twenty-one (60%) of the lesions were non-Hodgkin's lymphomas: these included eight B-immunoblastic sarcomas. Eight (23%) of the lesions were Hodgkin's disease, with a high frequency of lymphocytic depletion type in an unusually young age group. Three lesions (8.5%) represented abnormal proliferative processes, which could not be definitely categorized as either benign or malignant. There were only two acute lymphoblastic leukemias (6%). Differences were found between lymphomas arising in Wiskott-Aldrich syndrome and those occurring in ataxia-telangiectasia; this suggests that different pathogenetic mechanisms might operate in their development. The lymphomas in Wiskott-Aldrich syndrome were all of non-Hodgkin's type, predominantly B-immunoblastic sarcomas, and presented as localized extranodal infiltrates. The lymphomas in ataxia-telangiectasia were either Hodgkin's disease, mostly of lymphocytic depletion type, or non-Hodgkin's lymphomas of the histologic subtypes associated with 14q translocations.","['Frizzera, G', 'Rosai, J', 'Dehner, L P', 'Spector, B D', 'Kersey, J H']","['Frizzera G', 'Rosai J', 'Dehner LP', 'Spector BD', 'Kersey JH']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,,IM,"['Adolescent', 'Adult', 'Aged', 'Ataxia Telangiectasia/complications', 'B-Lymphocytes/pathology', 'Child', 'Child, Preschool', 'Hodgkin Disease/complications/pathology', 'Humans', 'Immunologic Deficiency Syndromes/*complications', 'Leukemia/*complications', 'Lymphatic Diseases/complications/pathology', 'Lymphoma/*complications/pathology', 'Lymphoma, Non-Hodgkin/complications/pathology', 'Middle Aged', 'Registries', 'Wiskott-Aldrich Syndrome/complications/pathology']",1980/08/15 00:00,1980/08/15 00:01,['1980/08/15 00:00'],"['1980/08/15 00:00 [pubmed]', '1980/08/15 00:01 [medline]', '1980/08/15 00:00 [entrez]']",['10.1002/1097-0142(19800815)46:4<692::aid-cncr2820460410>3.0.co;2-q [doi]'],ppublish,Cancer. 1980 Aug 15;46(4):692-9. doi: 10.1002/1097-0142(19800815)46:4<692::aid-cncr2820460410>3.0.co;2-q.,,,,,
6967342,NLM,MEDLINE,19801027,20190904,0006-5242 (Print) 0006-5242 (Linking),40,5,1980 May,"Expression of a non-T, non-B ALL associated antigen on leukemic cells, lymphoblastoid cell lines and normal blood cells.",305-12,"Two of our preparations of rabbit immune sera against Non-T, Non-B ALL cells were characterized. After a previously described absorption schedule used at present with some modifications, the sera were tested by indirect immunofluorescence and by a complement-dependent microcytotoxicity technique on a panel of cells: various types of ALL, lymphoblastoid cell lines of T, B and Non-T, Non-B surface characteristics, other leukemias (AML, CLL, Ph1 positive CML-BC), nonleukemic tissue of normal bone marrow, lymph-nodes and tonsils and also PBL. About 70% of Non-T, Non-B ALL, the Non-T, Non-B ALL line ""REH"" and CML cells in Ph1 positive ""lymphoid"" blast crisis were reactive in both test systems. Non-regenerating normal bone marrow, peripheral blood lymphocytes, and lymph node cells were non-reactive. CLL cells and tonsil cels, however, showed a positive fluorescence, yet gave a negative reaction in the complement-dependent microcytotoxicity test. This phenomenon might be explained by unspecific binding to Fc receptors. The antisera thus appear to detect a common Non-T, Non-B ALL antigen.","['Winterleitner, H']",['Winterleitner H'],['eng'],['Journal Article'],Germany,Blut,Blut,0173401,"['0 (Antigens, Neoplasm)']",IM,"['Adolescent', 'Antigens, Neoplasm/*analysis', 'B-Lymphocytes/immunology', 'Bone Marrow/immunology', 'Cell Line', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Lymph Nodes/immunology', 'Male', 'Palatine Tonsil/immunology', 'T-Lymphocytes/immunology']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",['10.1007/BF01025585 [doi]'],ppublish,Blut. 1980 May;40(5):305-12. doi: 10.1007/BF01025585.,,,,,
6967340,NLM,MEDLINE,19801024,20210216,0006-4971 (Print) 0006-4971 (Linking),56,2,1980 Aug,An undifferentiated variant derived from the human acute myelogenous leukemia cell line (KG-1).,265-73,"A variant subline (KG-1a) of the human acute myelogenous leukemia (AML) cell line (KG-1) has been isolated. The cells retain the same constitutive markers as the parent line, including HLA antigens, isoenzymes, and karyotype. The cells from the subline are morphologically and histochemically undifferentiated blast cells, while the parent cells and several of its clones are at the myeloblast and promyelocyte stages of development. The variant cells do not respond to colony-stimulating factor (CSF), and they do not express the human la antigen, nor a recently characterized AML antigen. The parent KG-1 cells are stimulated to proliferate in the presence of CSF and the cells express the la and AML antigen. Variant AML cell lines, such as KG-1a, will be useful in vitro models for investigating cellular response to CSF and for studying antigen expression in leukemic cells.","['Koeffler, H P', 'Billing, R', 'Lusis, A J', 'Sparkes, R', 'Golde, D W']","['Koeffler HP', 'Billing R', 'Lusis AJ', 'Sparkes R', 'Golde DW']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Colony-Stimulating Factors)', '0 (Immune Sera)', '0 (Isoantigens)', '0 (Receptors, Fc)']",IM,"['Cell Line', 'Cell Transformation, Neoplastic', 'Cells, Cultured', 'Colony-Stimulating Factors/pharmacology', '*Genetic Variation', 'Humans', 'Immune Sera/pharmacology', 'Isoantigens', 'Karyotyping', 'Leukemia, Myeloid, Acute/*ultrastructure', 'Receptors, Fc']",1980/08/01 00:00,1980/08/01 00:01,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '1980/08/01 00:01 [medline]', '1980/08/01 00:00 [entrez]']",['S0006-4971(20)64269-0 [pii]'],ppublish,Blood. 1980 Aug;56(2):265-73.,,,,,
6967333,NLM,MEDLINE,19801027,20081008,0365-9615 (Print) 0365-9615 (Linking),89,5,1980 May,[Contact interaction of mast cells and lymphocytes during ontogenetic antigen-induced differentiation and malignant transformation of lymphoid cells].,584-5,"Mastocytes of newborn rats as well as those of adult ones are capable of rosette-formation, whereas the ability of lymphocytes to from rosettes increases with age. The thymocytes of 3-month-old mice lose the ability to mastolymphocytic rosette-formation (MLR) after priming for one hour at 45 degrees C. The ability of thymocytes and splenocytes to MLR-formation is closely related to the time course of immunization of the animals and the method of immunization. The thymocytes and splenocytes of mice with leukemia show a decreased and increased ability to MLR-formation, respectively.","['Giulling, E V', ""Nikol'skii, I S"", 'Diugovskaia, L A', 'Chernenko, O D', 'Ovsienko, V V']","['Giulling EV', ""Nikol'skii IS"", 'Diugovskaia LA', 'Chernenko OD', 'Ovsienko VV']",['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Biull Eksp Biol Med,Biulleten' eksperimental'noi biologii i meditsiny,0370627,,IM,"['Age Factors', 'Animals', 'Lymphocytes/*immunology', 'Lymphoma/*immunology', 'Mast Cells/*immunology', 'Mice', 'Mice, Inbred AKR', 'Neoplasm Transplantation', 'Neoplasms, Experimental', 'Rosette Formation', 'Spleen/immunology', 'T-Lymphocytes/immunology']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",,ppublish,Biull Eksp Biol Med. 1980 May;89(5):584-5.,,,"Kontaktnoe vzaimodeistvie masto- i limfotsitov pri ontogeneticheskoi, antigen indutsirovannoi differentsirovke i zlokachestvennoi transformatsii limfoidnykh kletok.",,
6967305,NLM,MEDLINE,19800928,20191023,0344-8444 (Print) 0344-8444 (Linking),96,4,1980,[Malignant T-cell lymphoma with osteomyelitis-like bone infiltration].,291-4,"After a short review on the late literature, existing about various forms of acute lymphoblastic leucemias, it is reported on a rare case of malignant T-cell-Lymphoma with ostemyelitis-like, painfull bone infiltration. The clinical symptoms, as well as differential-diagnostic criterias to other leucemias are described.","['Mittelmeier, H', 'Schmitt, O']","['Mittelmeier H', 'Schmitt O']",['ger'],"['Case Reports', 'Journal Article']",Germany,Arch Orthop Trauma Surg,Archives of orthopaedic and traumatic surgery. Archiv fur orthopadische und Unfall-Chirurgie,7803037,,IM,"['Bone Neoplasms/diagnosis/*secondary', 'Child', 'Child, Preschool', 'Diagnosis, Differential', 'Female', 'Femoral Neoplasms/diagnosis/diagnostic imaging/secondary', 'Humans', 'Leukemia, Lymphoid/diagnosis', 'Lymphoma, Non-Hodgkin/diagnosis/*secondary', 'Osteomyelitis/diagnosis', 'Radiography', '*T-Lymphocytes']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1007/BF00432868 [doi]'],ppublish,Arch Orthop Trauma Surg. 1980;96(4):291-4. doi: 10.1007/BF00432868.,,,Hochmalignes T-Zell-Lymphom unter dem Bild einer Femur-Osteomyelitis.,,
6967278,NLM,MEDLINE,19800928,20071115,0091-7370 (Print) 0091-7370 (Linking),10,3,1980 May-Jun,Cell surface markers in acute lymphoblastic leukemia.,169-80,"During the last nine years, two important methodologies have been used to characterize the cell surfaces of normal lymphocytes and malignant lymphoblasts. Normal mature T-cells have a receptor for sheep erythrocyte (E+) while mature B-cells bear membrane-bound immunoglobulin molecules (sIg+). These two findings can be used to divide acute lymphoblastic leukemia of childhood into three major groups; B-cell leukemia (sIg+ E-), which is rare (approximately 2 percent) and has the poorest prognosis, T-cell leukemia (sIg-, E+) which is more common (10 percent) but also has a poor prognosis and null cell leukemia (sIg-, E-) which is the most common (85 percent) and has the best prognosis. By the use of additional immunological methods, subgroups within T-cell leukemia and null cell leukemia have also been proposed. One of the most valuable of these additional methods is the detection of surface antigens. Three of the more commonly detected antigens currently being evaluated are (1) common leukemia antigen (cALL), (2) a normal B Lymphocyte antigen the Ia antigen (Ia) which is not generally expressed on most T lymphocytes and (3) a normal T lymphocyte antigen (T) not expressed on B lymphocytes. Within null cell leukemia, the most commonly identified and probably the largest subgroup if Ia+, cALL+, T-, E-, sIg-. In another but smaller subgroup within null cell leukemia, the lymphoblasts contain cytoplasmic immunoglobulin but do not express surface immunoglobulins or E receptors. This subgroup is designated pre B-cell leukemia. Subgroups with T-cell leukemia have also been suggested. These include T+ E-, T+ E+, in which the rosettes are thermolabile and T+ E+, in which the rosettes are thermostable. Whether or not there are any prognostic differences in these three subgroups remains to be determined.","['Humphrey, G B', 'Blackstock, R', 'Filler, J']","['Humphrey GB', 'Blackstock R', 'Filler J']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Ann Clin Lab Sci,Annals of clinical and laboratory science,0410247,"['0 (Antigens, Surface)', '0 (Immunoglobulin Fab Fragments)']",IM,"['Acute Disease', 'Antigens, Surface/*classification', 'B-Lymphocytes/classification', 'Child', 'Humans', 'Immunoglobulin Fab Fragments/classification', 'Leukemia, Lymphoid/diagnosis/*immunology', 'Lymphocytes/*classification', 'Prognosis', 'T-Lymphocytes/classification']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",,ppublish,Ann Clin Lab Sci. 1980 May-Jun;10(3):169-80.,,,,,
6967217,NLM,MEDLINE,19800926,20190501,0027-8424 (Print) 0027-8424 (Linking),77,5,1980 May,Phorbol esters induce differentiation in human malignant T lymphoblasts.,2964-8,"At nanomolar concentrations, phorbol ester, a class of potent tumor promoters, can promote differentiation in the human malignant T-lymphoblastic cell line MOLT-3. The optimal dose for induction, as measured by the increase of the number of cells containing sheep erythrocyte receptors (E-rosette assay), is between 8 and 16 nM 12-O-tetradecanoylphorbol 13-acetate (TPA), although there were significant increases of E-rosette-positive (E(+)) cells at concentrations as low as 1.6 nM TPA. The induction was linear for 4 days, then it reached a plateau. This induction was independent of the cell densities of the cultures, and the viability of the E(+) cells remained high (95-100%) even after 10 days of culture in the presence of the tumor promoters. The E(+) cells, when measured with the more stable 2-aminoethylisothiouronium bromide E-rosette assay, indicated that virtually all (75-95%) of the MOLT-3 cells became E(+) by 4 days in culture. This induction by TPA was also accompanied by a dramatic drop in the plating efficiencies and a reduction in DNA synthesis. Examination of phorbol and other phrobol esters indicated that the ability to induce these cells correlated well with the tumor-promoting activities of these compounds, because only TPA and to a lesser extent phorbol 12,13,-dibenzoate induced E(+) cells, while phorbol and 4alpha-phorbol 12,13-didecanoate had no effect. Studies of MOLT-3 cells depleted of E(+) cells indicated that the induction of E(+) cells cannot be explained solely on the basis of enrichment or stimulation of the background E(+) cells in MOLT-3 cultures. Finally, we have shown that TPA also affected another differentiation marker, the loss of the enzyme terminal deoxyribonucleotidyl transferase. Terminal transferase activities and percentages of terminal-transferase-positive cells in these cultures were reduced to as low as 1/10th in 4 days in the presence of 16 nM TPA.","['Nagasawa, K', 'Mak, T W']","['Nagasawa K', 'Mak TW']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Phorbol Esters)', '0 (Phorbols)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Animals', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cell Line', 'DNA Nucleotidylexotransferase/metabolism', 'Humans', 'Leukemia, Experimental/*pathology', 'Phorbol Esters/*pharmacology', 'Phorbols/*pharmacology', 'Rosette Formation', 'T-Lymphocytes/*cytology/enzymology', 'Tetradecanoylphorbol Acetate/pharmacology']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",['10.1073/pnas.77.5.2964 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1980 May;77(5):2964-8. doi: 10.1073/pnas.77.5.2964.,PMC349527,,,,
6967216,NLM,MEDLINE,19800926,20190501,0027-8424 (Print) 0027-8424 (Linking),77,5,1980 May,Potential leukemic cells among bone marrow cells of young AKR/J mice.,2923-6,"Potentially leukemic cells have been identified among bone marrow cells of AKR/J mice from the age of 14 days onward. Transfer of AKR/J bone marrow into irradiated hybrid mice (AKR/J X DBA/2)F1 caused a high leukemia incidence (50-100%) of AKR origin, very often within a short latent period. Similar transfer of AKR/J marrow into irradiated AKR/J recipients did not enhance spontaneous tumor development. In contrast to the leukemic AKR cells that express the T-cell surface component Thy-1.1, the potential leukemic cells among bone marrow cells of young AKR mice were shown to lack the expression of this antigen. The development of preleukemic AKR marrow into overt leukemia in hybrid mice was dependent on the presence of an intact thymus and exposure of the recipients to x-rays shortly before marrow transfer. Evidently, preleukemic AKR bone marrow undergoes sequential changes, affected by host factors, leading ultimately to development of overt leukemia.","['Haran-Ghera, N']",['Haran-Ghera N'],['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Antigens, Surface)']",IM,"['Age Factors', 'Animals', 'Antigens, Surface/analysis', 'Bone Marrow/*pathology', 'Female', 'Leukemia, Experimental/immunology/*pathology', 'Male', 'Mice', 'Mice, Inbred AKR/*immunology', 'Preleukemia/immunology/*pathology', 'T-Lymphocytes/immunology']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",['10.1073/pnas.77.5.2923 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1980 May;77(5):2923-6. doi: 10.1073/pnas.77.5.2923.,PMC349518,,,,
6967207,NLM,MEDLINE,19800928,20160523,0031-403X (Print) 0031-403X (Linking),,5,1980,[Variants of lymphoblastic leukemia in children and their clinico-morphological and immunological characteristics].,15-7,,"['Drboglav, T K', 'Preimane, G O', 'Lielpetere, M Ia', ""Savost'ianova, L G""]","['Drboglav TK', 'Preimane GO', 'Lielpetere MIa', ""Savost'ianova LG""]",['rus'],"['Comparative Study', 'Journal Article']",Russia (Federation),Pediatriia,Pediatriia,0405563,,IM,"['Adolescent', 'B-Lymphocytes/*immunology/pathology', 'Child', 'Child, Preschool', 'Humans', 'Leukemia, Lymphoid/blood/*classification', 'Leukocyte Count', 'Prognosis', 'Rosette Formation', 'T-Lymphocytes/*immunology/pathology']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Pediatriia. 1980;(5):15-7.,,,Varianty ostrogo limfoblasticheskogo leikoza u detei i ikh kliniko-morfologichaskaia i immunologicheskaia kharakteristika.,,
6967202,NLM,MEDLINE,19800928,20190712,0030-4220 (Print) 0030-4220 (Linking),50,2,1980 Aug,Oral pathoses as diagnostic indicators in leukemia.,134-9,"A retrospective chart review of 500 leukemia patients was carried out to analyze the role of oral pathoses in the presentation of leukemia and to determine those factors which affect the frequency of oral involvement during the initial clinical phases of the disease. The data indicate that oral pathoses were frequent signs or symptoms in patients with undiagnosed acute leukemia but were less prevalent in patients with undiagnosed chronic leukemia. Neither age nor sex appeared to be a significant factor affecting oral involvement. Oral signs of thrombocytopenia were the most prevalent complaint of patients seeking diagnosis for their leukemia because of an oral problem, and they were also most frequently responsible for oral problems found at initial physical examination. Head and neck lymphadenopathy was also a frequent presenting sign or symptom. Dentists were responsible for initiating the diagnosis of leukemia in a significant number of patients with acute nonlymphoblastic leukemia.","['Stafford, R', 'Sonis, S', 'Lockhart, P', 'Sonis, A']","['Stafford R', 'Sonis S', 'Lockhart P', 'Sonis A']",['eng'],['Journal Article'],United States,Oral Surg Oral Med Oral Pathol,"Oral surgery, oral medicine, and oral pathology",0376406,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Female', 'Gingival Diseases/etiology', 'Humans', 'Infant', 'Leukemia/*complications/diagnosis', 'Leukemia, Lymphoid/complications', 'Leukemia, Myeloid/complications', 'Leukemia, Myeloid, Acute/complications', 'Male', 'Middle Aged', 'Mouth Diseases/*etiology', 'Oral Hemorrhage/etiology', 'Retrospective Studies']",1980/08/01 00:00,1980/08/01 00:01,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '1980/08/01 00:01 [medline]', '1980/08/01 00:00 [entrez]']",['10.1016/0030-4220(80)90200-5 [doi]'],ppublish,Oral Surg Oral Med Oral Pathol. 1980 Aug;50(2):134-9. doi: 10.1016/0030-4220(80)90200-5.,,,,,
6967191,NLM,MEDLINE,19800923,20071115,0028-2685 (Print) 0028-2685 (Linking),27,2,1980,Spontaneous transplantable lymphatic leukemia in Lewis rat (KPH-Lw-I).,197-202,"A spontaneous transplantable acute lymphatic leukemia in Lewis rats (KPH-Lw-I) is described. It is transplantable regardless of age and sex in inbred Lewis rats. The leukemic cells are of a normal karyotype. The progress of the disease is very rapid with many similarities to human acute lymphatic leukemia. Attempts to grow these leukemic cells in adult Wistar rats were unsuccessful, but they grow in newborn Wistar rats. During two years about eighty passages were done and the course of the disease was similar to that found in the original Lewis rat. No evidence for B-lymphocyte markers was found on the surface of leukemic cells.","['Kremen, J', 'Havlicek, F', 'Pohlreich, P']","['Kremen J', 'Havlicek F', 'Pohlreich P']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,,IM,"['Animals', 'Blood Cell Count', 'Bone Marrow/pathology', 'Female', 'Leukemia, Lymphoid/enzymology/*pathology/ultrastructure', 'Lymph Nodes/pathology', 'Male', 'Microscopy, Electron', 'Neoplasm Transplantation', 'Rats', 'Rats, Inbred Lew', 'Spleen/pathology', 'T-Lymphocytes/immunology', 'Transplantation, Homologous']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1980;27(2):197-202.,,,,,
6967150,NLM,MEDLINE,19800928,20190825,0161-5890 (Print) 0161-5890 (Linking),17,4,1980 Apr,Isolation and characterization of biologically active Fc receptors of human B lymphocytes.,491-503,,"['Suzuki, T', 'Sadasivan, R', 'Wood, G', 'Bayer, W L']","['Suzuki T', 'Sadasivan R', 'Wood G', 'Bayer WL']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Mol Immunol,Molecular immunology,7905289,"['0 (Immunoglobulin G)', '0 (Receptors, Fc)']",IM,"['Animals', 'B-Lymphocytes/*immunology', 'Chromatography, Affinity', 'Humans', 'Immunoglobulin G/immunology', 'Leukemia, Lymphoid/immunology', 'Rabbits', 'Receptors, Fc/*isolation & purification', 'Rosette Formation', 'Species Specificity']",1980/04/01 00:00,1980/04/01 00:01,['1980/04/01 00:00'],"['1980/04/01 00:00 [pubmed]', '1980/04/01 00:01 [medline]', '1980/04/01 00:00 [entrez]']",['10.1016/0161-5890(80)90089-9 [doi]'],ppublish,Mol Immunol. 1980 Apr;17(4):491-503. doi: 10.1016/0161-5890(80)90089-9.,,,,,
6967145,NLM,MEDLINE,19800923,20131121,0025-8458 (Print) 0025-8458 (Linking),75,11,1980 May 23,"[Prolymphocytic leukemia: clinical, cytologic and immunologic findings].",405-9,"The clinical development and progress of disease in two women with prolymphocytic leukaemia are reported. The morphology of the leukaemic cells was the most important diagnostic criterion in both cases. In one patient the disease was characterized by immunological methods as being a B-cell leukaemia, in the other a T-cell leukaemia. At the time of diagnosis one patient showed the typical clinical symptoms like excessive lymphocytosis and splenic enlargement. In the other case no splenomegaly and only a slight lymphocytosis was found. During a period of 20 months without treatment the disease was only slightly progressive. Due to the favorable course of the disease in this case it may be concluded that the clinical picture of prolymphocytic leukaemia with distinct lymphocytosis and splenic enlargement is preceeded by a relatively long symptom free period.","['Wirthmuller, R', 'Gerhartz, H']","['Wirthmuller R', 'Gerhartz H']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Med Klin,Medizinische Klinik,0376637,['18D0SL7309 (Chlorambucil)'],IM,"['Aged', 'B-Lymphocytes', 'Cell Differentiation', 'Chlorambucil/therapeutic use', 'Female', 'Humans', 'Leukemia, Lymphoid/drug therapy/*pathology', 'Lymphocytosis/etiology', 'Prognosis', 'Splenomegaly/etiology', 'T-Lymphocytes']",1980/05/23 00:00,2000/03/22 09:00,['1980/05/23 00:00'],"['1980/05/23 00:00 [pubmed]', '2000/03/22 09:00 [medline]', '1980/05/23 00:00 [entrez]']",,ppublish,Med Klin. 1980 May 23;75(11):405-9.,,,"Prolymphozytare Leukamie: Klinische, zytologische und immunologische Befunde.",,
