PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,PMC,EIN,OID,SI,AD,OAB,OABL,OTO,OT,GN
3731087,NLM,MEDLINE,19860917,20131121,0008-5472 (Print) 0008-5472 (Linking),46,8,1986 Aug,Growth response of residual leukemia after initial drug therapy.,4205-7,"Clinical trials with laboratory correlates were conducted in patients with acute leukemia to determine if relationships exist between drug dose and growth of surviving leukemia cells. The therapeutic design was based on findings in the leukemic rat that relate the initial dose of drug and tumor kill to the magnitude of residual tumor proliferation and sensitivity to a second drug. Patients with acute myelocytic leukemia received cytarabine, either 2 or 6 g/m2/72 h by continuous infusion. The presence and magnitude of change between initial and residual tumor after treatment, as measured by change in labeling indices, depended on the ""priming"" dose of drug. The amount of perturbation correlated with clinical response to cytarabine given at the time of induced proliferation. With results which parallel the rat data, the direct relationship of initial drug dose and proliferation of residual tumor is demonstrated in humans, and lends support to the design of our clinical trials of timed sequential therapy.","['Karp, J E', 'Burke, P J']","['Karp JE', 'Burke PJ']",['eng'],"['Clinical Trial', 'Controlled Clinical Trial', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['04079A1RDZ (Cytarabine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Cell Division/drug effects', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Humans', 'Leukemia/*drug therapy/pathology', 'Middle Aged']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",,ppublish,Cancer Res. 1986 Aug;46(8):4205-7.,"['CA-06973/CA/NCI NIH HHS/United States', 'CA-33348/CA/NCI NIH HHS/United States']",,,,,,,,,,,
3731082,NLM,MEDLINE,19860917,20131121,0008-5472 (Print) 0008-5472 (Linking),46,8,1986 Aug,In vitro induction of proteins by alpha-interferon in hairy cell leukemia.,4151-5,"The striking clinical response of hairy cell leukemia to alpha-interferon led us to investigate the effects of interferon on hairy cells in vitro. We examined the nature of protein induction by interferon in the target hairy cells. To do this, we analyzed whole cell lysates of hairy cells from 11 patients by one-dimensional polyacrylamide gel electrophoresis. With this method, we showed the induction of 16 proteins, which ranged from Mr 140,000 to 12,000. Exposure to alpha-interferon caused very rapid induction of specific proteins in hairy cells, and induction continued for at least 9 days. Proteins were induced at extremely low interferon concentrations, and a dose-response effect was seen with increasing concentrations. A larger number of proteins was induced in hairy cells than in other lymphoid cells under the same conditions. Induction of most proteins was inhibited by actinomycin D, showing that new messenger RNA synthesis was required for their induction to occur. The number or pattern of induced proteins, or their prolonged induction, may be relevant to a change in the target hairy cells which is part of the process resulting in the antiproliferative effect of interferon in hairy cell leukemia.","['Samuels, B L', 'Golomb, H M', 'Brownstein, B H']","['Samuels BL', 'Golomb HM', 'Brownstein BH']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Interferon Type I)', '1CC1JFE158 (Dactinomycin)']",IM,"['Dactinomycin/pharmacology', 'Dose-Response Relationship, Drug', 'Humans', 'Interferon Type I/*pharmacology/therapeutic use', 'Leukemia, Hairy Cell/*metabolism/therapy', 'Molecular Weight', '*Protein Biosynthesis', 'Time Factors']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",,ppublish,Cancer Res. 1986 Aug;46(8):4151-5.,['CA 19266-08/CA/NCI NIH HHS/United States'],,,,,,,,,,,
3731072,NLM,MEDLINE,19860917,20131121,0008-5472 (Print) 0008-5472 (Linking),46,8,1986 Aug,"Effects of 3'-deamino-3'-(3-cyano-4-morpholinyl)doxorubicin and doxorubicin on the survival, DNA integrity, and nucleolar morphology of human leukemia cells in vitro.",4041-6,"The potential mechanisms of the extremely potent anthracycline analogue 3'-deamino-3'-(3-cyano-4-morpholinyl)doxorubicin (MRA-CN) have been compared with those of doxorubicin (DOX) by examination of drug effects on colony formation, macromolecular synthesis, DNA integrity, and ultrastructure of human leukemia cells in vitro. Following a 1-h exposure, MRA-CN was found to be 1400-fold more cytocidal than DOX which correlated with the drugs' inhibitory effects on DNA and total RNA synthesis. Treatment with MRA-CN resulted in a dose-dependent production of DNA interstrand cross-links as quantified by alkaline elution. One-h treatments with DOX or 3'-deamino-3'-(4-morpholinyl) doxorubicin (the non-cyano-containing analogue of MRA-CN) produced no DNA-DNA cross-links; rather they produced protein-concealed DNA single-strand breaks. After removal of MRA-CN, the DNA of KBM-3 cells displayed time-dependent fragmentation as indicated by rapid DNA filter elution during the pH 10 lysis step which preceded pH 12 elution. Within 4 h of MRA-CN exposure (10 nM, 1 h), 50% of the cellular DNA was in the lysis fraction. By 24 h, all the cellular DNA was in this fraction. MRA-CN (10 nM), 3'-deamino-3'-(4-morpholinyl)doxorubicin (1 microM), and actinomycin D (1 microM), but not DOX (3 mircroM), each produced distinctive nucleolar macrosegregation, indicating an effect on rRNA synthesis. The alpha-CN substituent on the morpholinyl moiety of MRA-CN appears to be responsible for the unique antitumor potency of this anthracycline. Nucleolar macrosegregation is probably associated with the morpholinyl moiety and is independent of the alpha-CN substituent.","['Wassermann, K', 'Zwelling, L A', 'Mullins, T D', 'Silberman, L E', 'Andersson, B S', 'Bakic, M', 'Acton, E M', 'Newman, R A']","['Wassermann K', 'Zwelling LA', 'Mullins TD', 'Silberman LE', 'Andersson BS', 'Bakic M', 'Acton EM', 'Newman RA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antibiotics, Antineoplastic)', '0 (DNA, Neoplasm)', '0 (RNA, Neoplasm)', '1CC1JFE158 (Dactinomycin)', '80168379AG (Doxorubicin)', ""88254-07-3 (3'-deamino-3'-(3-cyano-4-morpholinyl)doxorubicin)""]",IM,"['Antibiotics, Antineoplastic/*pharmacology', 'Cell Nucleolus/*drug effects/pathology', 'Cell Survival/drug effects', 'Cells, Cultured', 'DNA, Neoplasm/*metabolism', 'Dactinomycin/pharmacology', 'Doxorubicin/*analogs & derivatives/*pharmacology', 'Humans', '*Leukemia/metabolism', 'RNA, Neoplasm/biosynthesis', 'Structure-Activity Relationship']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",,ppublish,Cancer Res. 1986 Aug;46(8):4041-6.,['K04 CA 01135/CA/NCI NIH HHS/United States'],,,,,,,,,,,
3731065,NLM,MEDLINE,19860917,20151119,0008-5472 (Print) 0008-5472 (Linking),46,8,1986 Aug,Elevated glucocorticoid receptor binding in cultured human lymphoblasts following hydroxyurea treatment: lack of effect on steroid responsiveness.,3945-50,"While studying the effects of chemotherapy on glucocorticoid receptor (GR) binding levels in hematological malignancies, we observed a sizable increase in nuclear GR binding of [3H]dexamethasone in peripheral leukocytes from a chronic basophilic leukemia patient following treatment with hydroxyurea plus prednisone, but not after prednisone alone. This apparent clinical effect of hydroxyurea led to an examination of hydroxyurea effects on GR binding and sensitivity in the glucocorticoid-sensitive human lymphoblast cell line GM4672A. GR binding levels in GM4672A cells were measured following a 3-day exposure to 50 microM hydroxyurea, a concentration chosen to have a minimal but measurable effect on cellular growth rates with little or no effect on cellular viability. Under these conditions, nuclear [3H]dexamethasone receptor binding measured by Scatchard analysis using a whole-cell assay was elevated 2.4-fold over control values (P less than 0.05), while cytosolic residual receptor binding (measured at 37 degrees C) remained unchanged. Thus, the total cellular content of measurable GR was increased, and this increase was totally accounted for by GR capable of nuclear binding. Hydroxyurea treatment of GM4672A cells had no effect on the affinity of nuclear or cytosolic GR for [3H]dexamethasone. The increase in measurable nuclear-bound receptors occurred in a time-dependent manner over a period of 3 days and was fully reversible within 3 days following removal of hydroxyurea. The increase in receptor binding could not be explained by the slight alterations in cell cycle kinetics which occur at this low level of hydroxyurea. Despite increased receptor binding, cellular glucocorticoid responsiveness was unaltered as assessed by dexamethasone inhibition of cell growth and dexamethasone inhibition of a urokinase-like plasminogen activator. Thus, increased nuclear and total cellular GR binding levels in hydroxyurea-treated GM4672A cells are not associated with increased glucocorticoid responsiveness.","['Littlefield, B A', 'Hoagland, H C', 'Greipp, P R']","['Littlefield BA', 'Hoagland HC', 'Greipp PR']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Glucocorticoids)', '0 (Receptors, Glucocorticoid)', '10028-17-8 (Tritium)', '52500-60-4 (Thioredoxins)', '7S5I7G3JQL (Dexamethasone)', '9007-49-2 (DNA)', 'EC 3.4.21.- (Plasminogen Activators)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Cell Cycle/drug effects', 'Cell Survival/drug effects', 'Cells, Cultured', 'DNA/analysis', 'Dexamethasone/metabolism', 'Glucocorticoids/*pharmacology', 'HeLa Cells', 'Humans', 'Hydroxyurea/*pharmacology', 'Leukemia/metabolism', 'Lymphocytes/*metabolism', 'Plasminogen Activators/analysis', 'Receptors, Glucocorticoid/*metabolism', 'Thioredoxins/metabolism', 'Tritium']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",,ppublish,Cancer Res. 1986 Aug;46(8):3945-50.,,,,,,,,,,,,
3731045,NLM,MEDLINE,19860917,20190619,0008-543X (Print) 0008-543X (Linking),58,5,1986 Sep 1,Compliance of pediatric and adolescent cancer patients.,1179-84,"Compliance with self-administered therapy in pediatric and adolescent patients is not always complete. Noncompliance may result in erroneous conclusions about the efficacy of a given therapy and lead to unnecessary tests and alteration of treatment regimens. To examine the causes of noncompliance, 46 cancer patients aged 2.5 to 23 years (mean age, 6.85 years) and 40 parents were extensively interviewed at 2 weeks, 20 weeks, and 50 weeks post-diagnosis. The results of self-reported compliance were corroborated by serum bioassay of the prescribed medications. A significant correlation between the age of patient and compliance with chemotherapeutic agents and nonchemotherapeutic medications was found (P less than 0.05 and P less than 0.02, respectively), with adolescent patients being compliant less often. Over the course of therapy, compliance among patients decreased, but not significantly. A significant negative correlation was found between compliance and the number of children in the family. Compliers and noncompliers did differ significantly in how well they understood instructions concerning how to take their medication (P = 0.04). No significant correlations between compliance and stage of the disease, number or type of drugs used, complexity of the regimen, degree of satisfaction with information given to the patient, understanding of disease, treatment, or belief in medication efficacy were found. The main reasons given for noncompliance were forgetfulness, busy schedules, and nonavailability of medication. More compliers than noncompliers were in agreement with their parents regarding who was responsible for the administration of the medication. Compliance is a complex and multifaceted issue which interrelates with a large number of medical and social factors.","['Tebbi, C K', 'Cummings, K M', 'Zevon, M A', 'Smith, L', 'Richards, M', 'Mallon, J']","['Tebbi CK', 'Cummings KM', 'Zevon MA', 'Smith L', 'Richards M', 'Mallon J']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,['0 (Antineoplastic Agents)'],IM,"['Administration, Oral', 'Adolescent', '*Adolescent Medicine', 'Adult', 'Antineoplastic Agents/adverse effects/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Child, Preschool', 'Demography', 'Female', 'Humans', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Male', 'Neoplasms/blood/*drug therapy', 'Parents', '*Patient Compliance', 'Patient Education as Topic', '*Pediatrics', 'Self Administration', 'Surveys and Questionnaires']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",['10.1002/1097-0142(19860901)58:5<1179::aid-cncr2820580534>3.0.co;2-e [doi]'],ppublish,Cancer. 1986 Sep 1;58(5):1179-84. doi: 10.1002/1097-0142(19860901)58:5<1179::aid-cncr2820580534>3.0.co;2-e.,,,,,,,,,,,,
3731021,NLM,MEDLINE,19860917,20190619,0008-543X (Print) 0008-543X (Linking),58,3,1986 Aug 1,Magnetic resonance imaging in the evaluation of treatment-related central nervous system damage.,635-40,"Neurologic and neuropsychologic treatment related sequelae are increasingly encountered in children with cancer, but conventional means of neurologic investigation are insensitive to the presence and extent of damage. Magnetic resonance imaging (MRI) has shown brain damage not demonstrable by other means of investigation. For this reason, 11 children with cancer and with nontumor-related neurologic dysfunction were studied on a 1.5 Tesla MRI unit. All had concurrent computed tomography (CT). MRI abnormalities were seen in all (100%) patients. In 10 of 11 patients, abnormalities were of greater extent on MRI than on CT. White matter changes were frequently seen on MRI without corresponding CT abnormality. Those patients with the most severe forms of neurologic compromise had the most extensive changes on MRI. Focal neurologic findings correlated well with regions of focal signal change. Milder forms of neurologic compromise occurred in patients with definite, but less extensive, periventricular and/or subcortical change on MRI. MRI is more sensitive than CT in demonstrating treatment-related neurologic damage in children with cancer, and the type of change seen on MRI seems to correlate well with the type and severity of neurologic dysfunction present.","['Packer, R J', 'Zimmerman, R A', 'Bilaniuk, L T']","['Packer RJ', 'Zimmerman RA', 'Bilaniuk LT']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,,IM,"['Adolescent', 'Adult', 'Brain/diagnostic imaging/radiation effects', 'Brain Diseases/*diagnosis/etiology', 'Brain Neoplasms/complications/radiotherapy', 'Child', 'Evaluation Studies as Topic', 'Humans', 'Leukemia/complications/radiotherapy', '*Magnetic Resonance Spectroscopy', 'Radiation Injuries/*diagnosis/etiology', 'Radiotherapy/*adverse effects', 'Time Factors', 'Tomography, X-Ray Computed']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",['10.1002/1097-0142(19860801)58:3<635::aid-cncr2820580307>3.0.co;2-x [doi]'],ppublish,Cancer. 1986 Aug 1;58(3):635-40. doi: 10.1002/1097-0142(19860801)58:3<635::aid-cncr2820580307>3.0.co;2-x.,,,,,,,,,,,,
3731020,NLM,MEDLINE,19860917,20190619,0008-543X (Print) 0008-543X (Linking),58,3,1986 Aug 1,Preleukemic changes in cases of nonlymphocytic leukemia secondary to cytotoxic therapy. Analysis of 105 cases.,630-4,"Peripheral blood changes preceding therapy-related leukemia were studied in 105 patients who had received cytotoxic therapy, 53 for Hodgkin's disease and 52 for other cancers. Preleukemic anomalies were observed in 74.3% of the cases, appearing after a mean interval of 68.7 months after diagnosis of the initial cancer. This interval was only 57.5 months in patients aged 50 years or older and only 42.3 months in patients with Hodgkin's disease having received cytotoxic therapy for 6 months or less. The first changes most frequently observed were pancytopenia (24.8%) and isolated erythrocyte abnormalities such as anemia or macrocytosis (18.1%). Involvement of two cell lines, isolated thrombocytopenia or leukopenia, circulating immature cells, monocytosis, leukocytosis, or thrombocytosis were also observed. Therapy-related myelodysplastic syndrome was recognized in 19 patients and myelofibrosis in 3. Median duration of the preleukemic phase was 6 months; 9 months in cases of isolated erythrocyte involvement and 5 months in the other cases. Myelomonocytic or monoblastic leukemia appeared less frequently when the first sign involved erythrocytes only. Hematological surveillance thus appears necessary in all patients having received cytotoxic therapy. Bone marrow study with cytogenetic examination should be performed in cases of persistent peripheral blood abnormalities.","['De Gramont, A', 'Louvet, C', 'Krulik, M', 'Smadja, N', 'Donadio, D', 'Laporte, J P', 'Brissaud, P', 'Smith, M', 'Delage, J M', 'Drolet, Y']","['De Gramont A', 'Louvet C', 'Krulik M', 'Smadja N', 'Donadio D', 'Laporte JP', 'Brissaud P', 'Smith M', 'Delage JM', 'Drolet Y', 'et al.']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/*adverse effects', 'Blood Cell Count', 'Child', 'Combined Modality Therapy', 'Female', 'Hodgkin Disease/complications/therapy', 'Humans', 'Leukemia/blood/*etiology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/blood/etiology', 'Pancytopenia/blood/etiology', 'Preleukemia/blood/*etiology', 'Radiotherapy/*adverse effects', 'Time Factors']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",['10.1002/1097-0142(19860801)58:3<630::aid-cncr2820580306>3.0.co;2-e [doi]'],ppublish,Cancer. 1986 Aug 1;58(3):630-4. doi: 10.1002/1097-0142(19860801)58:3<630::aid-cncr2820580306>3.0.co;2-e.,,,,,,,,,,,,
3730637,NLM,MEDLINE,19860922,20131121,0007-4551 (Print) 0007-4551 (Linking),73,2,1986,"Vitamin A: failure to demonstrate in mice an anti-tumour effect, whether combined with cytotoxic drugs or not.",201-6,"Vitamin A, whether combined with various cytotoxic drugs or not, did not show, when different experimental schedules were used, an anti-tumour effect on various murine tumours.","['Cattan, A', 'Bresson, M L']","['Cattan A', 'Bresson ML']",['eng'],"['Comparative Study', 'Journal Article']",France,Bull Cancer,Bulletin du cancer,0072416,"['11103-57-4 (Vitamin A)', '6PLQ3CP4P3 (Etoposide)', '8N3DW7272P (Cyclophosphamide)', '957E6438QA (Teniposide)', 'Q20Q21Q62J (Cisplatin)', 'U68WG3173Y (Carmustine)']",IM,"['Animals', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Carmustine/administration & dosage', 'Cisplatin/administration & dosage', 'Cyclophosphamide/administration & dosage', 'Etoposide/administration & dosage', 'Female', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Lung Neoplasms/drug therapy', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Neoplasm Transplantation', 'Neoplasms, Experimental/*drug therapy', 'Teniposide/administration & dosage', 'Vitamin A/administration & dosage/*therapeutic use']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",,ppublish,Bull Cancer. 1986;73(2):201-6.,,,,,,,,,,,,
3730623,NLM,MEDLINE,19860917,20190903,0006-5242 (Print) 0006-5242 (Linking),53,2,1986 Aug,Automated flow cytochemistry in measuring chronic lymphocytic leukemia- and healthy adult-cells (reply),119,,"['Kuse, R']",['Kuse R'],['eng'],['Letter'],Germany,Blut,Blut,0173401,,IM,"['Blood Volume', '*Flow Cytometry', 'Humans', 'Leukemia, Lymphoid/*blood', 'Lymphocytes']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",['10.1007/BF00321095 [doi]'],ppublish,Blut. 1986 Aug;53(2):119. doi: 10.1007/BF00321095.,,,,,,,,,,,,
3730622,NLM,MEDLINE,19860917,20190903,0006-5242 (Print) 0006-5242 (Linking),53,2,1986 Aug,Decreased NK activity in hairy cell leukemia (HCL): an analysis at the cellular level.,107-13,"Peripheral blood lymphocytes (PBL) of eleven patients with Hairy Cell Leukemia were studied for surface phenotype and for NK activity against the K 562 cell line (using both the standard 51Cr Release Assay and the Single Cell Cytotoxicity Assay on poly-L-lysine coated coverslips). A significant reduction in NK activity, target binding cells (TBC) and NK active cells (NKa) was detected. In some cases however, despite a very low percentage of NKa, residual NK activity was observed, suggesting an efficient recycling capacity.","['Fontana, L', 'De Rossi, G', 'De Sanctis, G', 'Ensoli, F', 'Lopez, M', 'Annino, L', 'Mandelli, F']","['Fontana L', 'De Rossi G', 'De Sanctis G', 'Ensoli F', 'Lopez M', 'Annino L', 'Mandelli F']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Blut,Blut,0173401,['0 (Chromium Radioisotopes)'],IM,"['Adult', 'Aged', 'Chromium Radioisotopes', 'Female', 'Humans', 'Killer Cells, Natural/*immunology', 'Leukemia, Hairy Cell/*immunology', 'Lymphocytes/classification', 'Male', 'Middle Aged']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",['10.1007/BF00321093 [doi]'],ppublish,Blut. 1986 Aug;53(2):107-13. doi: 10.1007/BF00321093.,,,,,,,,,,,,
3730621,NLM,MEDLINE,19860917,20190903,0006-5242 (Print) 0006-5242 (Linking),53,2,1986 Aug,To early distinguish neonatal transient leukemoid proliferation from congenital leukemia by in vitro cell growth.,101-6,"To differentiate neonatal transient leukemoid proliferation from congenital leukemia at an early stage is often difficult. Bone marrow culture is found to be helpful in this aspect. A normal in vitro growth pattern suggests transient leukemoid proliferation, while an abnormal growth pattern indicates congenital leukemia. A neonate who manifested with pictures mimicking acute myeloblastic leukemia (M1), had a karyotype of 46, XY/46, XY, i(21 q). However, the in vitro growth pattern was normal and so only supportive treatment was given. All the leukemoid manifestations disappeared several months later and he is now a healthy 2 year old boy remaining in complete remission. A second neonate who also displayed features of acute myeloblastic leukemia (M2), had a karyotype of 46, XY/47, XY, + 21 and abnormal in vitro growth pattern. This neonate died at 18 days of age.","['Liang, D C', 'Shen, E Y', 'Chyou, S C']","['Liang DC', 'Shen EY', 'Chyou SC']",['eng'],['Journal Article'],Germany,Blut,Blut,0173401,,IM,"['*Cell Division', 'Colony-Forming Units Assay', 'Humans', 'Infant, Newborn', 'Karyotyping', 'Leukemia/*congenital/pathology', 'Leukemoid Reaction/*diagnosis/pathology', 'Male']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",['10.1007/BF00321092 [doi]'],ppublish,Blut. 1986 Aug;53(2):101-6. doi: 10.1007/BF00321092.,,,,,,,,,,,,
3730620,NLM,MEDLINE,19860917,20210216,0006-4971 (Print) 0006-4971 (Linking),68,2,1986 Aug,Mixed lineage leukemia: the implications for hematopoietic differentiation.,597-9,,"['Mirro, J', 'Kitchingman, G R', 'Williams, D L', 'Murphy, S B', 'Zipf, T F', 'Stass, S A']","['Mirro J', 'Kitchingman GR', 'Williams DL', 'Murphy SB', 'Zipf TF', 'Stass SA']",['eng'],['Letter'],United States,Blood,Blood,7603509,"['0 (Receptors, Antigen, T-Cell)']",IM,"['Cell Differentiation', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'Leukemia/*pathology', 'Receptors, Antigen, T-Cell/*genetics', 'Translocation, Genetic']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",['S0006-4971(20)69082-6 [pii]'],ppublish,Blood. 1986 Aug;68(2):597-9.,,,,,,,,,,,,
3730612,NLM,MEDLINE,19860917,20210216,0006-4971 (Print) 0006-4971 (Linking),68,2,1986 Aug,Treatment of hairy cell leukemia with recombinant alpha-interferon.,493-7,"Thirty patients with hairy cell leukemia were treated with recombinant interferon alpha-A (rIFN alpha A; Roferon-A); seven were previously untreated. Nine complete and 17 partial remissions were documented by bone marrow core biopsies. All patients' peripheral blood hematologic indexes either improved or normalized. Twelve of 13 patients with retroperitoneal or mediastinal adenopathy obtained remissions of tumor masses. All seven patients with splenomegaly showed prompt reduction in the size of the spleen to normal size. The incidence of complete remissions was significantly higher (P = .02) in previously untreated patients (5 of 7) than in those in whom splenectomy had been performed (4 of 23), a result presumed to be related to the pretreatment tumor burden. rIFN alpha A was well tolerated; mild fatigue was the most frequent complaint. In most patients, tumor remissions resulted in an improved quality of life: they eliminated the need for transfusing blood products and reduced the incidence of infections, and immune deficits were apparently restored in some of the patients. We conclude that rIFN alpha A is an effective therapy for all stages of hairy cell leukemia including previously untreated or newly diagnosed patients.","['Quesada, J R', 'Hersh, E M', 'Manning, J', 'Reuben, J', 'Keating, M', 'Schnipper, E', 'Itri, L', 'Gutterman, J U']","['Quesada JR', 'Hersh EM', 'Manning J', 'Reuben J', 'Keating M', 'Schnipper E', 'Itri L', 'Gutterman JU']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Interferon Type I)', '0 (Recombinant Proteins)']",IM,"['Adult', 'Female', 'Humans', 'Interferon Type I/*therapeutic use/toxicity', 'Leukemia, Hairy Cell/*drug therapy', 'Male', 'Middle Aged', 'Recombinant Proteins/*therapeutic use', 'Splenectomy']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",['S0006-4971(20)69064-4 [pii]'],ppublish,Blood. 1986 Aug;68(2):493-7.,,,,,,,,,,,,
3730598,NLM,MEDLINE,19860925,20081008,0365-9615 (Print) 0365-9615 (Linking),102,7,1986 Jul,[Biological properties of glutamin-(asparagin-)ase from Pseudomonas boreopolis 526].,71-4,"Glutamine(asparagine)ase from Ps. boreopolis 526 has an antineoplastic effect on lymphoid leukemia P-388. The enzyme half-life in the mouse serum is 8.5 hours. Glutamine(asparagine)ase has no cross-antigenicity with L-asparaginase from E. coli (Bayer, FRG). Specific antibodies against L-asparaginase (Bayer, FRG) do not influence the activity of glutamine(asparagine)ase.","['Pekhov, A A', 'Zanin, V A', 'Kozlov, A M', 'Iurchenko, A Ia', ""Kondrat'eva, N A""]","['Pekhov AA', 'Zanin VA', 'Kozlov AM', 'Iurchenko AIa', ""Kondrat'eva NA""]",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Biull Eksp Biol Med,Biulleten' eksperimental'noi biologii i meditsiny,0370627,"['0 (Antineoplastic Agents)', 'EC 3.5.- (Amidohydrolases)', 'EC 3.5.1.38 (glutamin-(asparagin-)ase)']",IM,"['Amidohydrolases/blood/immunology/*therapeutic use', 'Animals', 'Antineoplastic Agents/blood/immunology/*therapeutic use', 'Half-Life', 'Leukemia P388/*drug therapy', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Pseudomonas/*enzymology', 'Rabbits']",1986/07/01 00:00,1986/07/01 00:01,['1986/07/01 00:00'],"['1986/07/01 00:00 [pubmed]', '1986/07/01 00:01 [medline]', '1986/07/01 00:00 [entrez]']",,ppublish,Biull Eksp Biol Med. 1986 Jul;102(7):71-4.,,Biologicheskie svoistva glutamin(asparagin)azy iz Pseudomonas boreopolis 526.,,,,,,,,,,
