PMID,OWN,STAT,DCOM,LR,IS,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,VI,GR,CIN,PMC,MID,RF,EIN,CI,OTO,OT,CON,CN,SI,TT,IR,FIR,OID,RIN,PS,FPS,COIS
20010533,NLM,MEDLINE,20100309,20131121,1812-9269 (Print) 1812-9269 (Linking),4,2009 Dec,Serum factors that suppress cytotoxic effect of methotrexate.,209-13,,"AIM: To study the phenomenon that human erythroid leukemia K-562 cells are more sensitive to cytotoxic effect of antimetabolites when cultured in a serum-free medium than in a conventional medium containing fetal calf serum (FCS). METHODS: Cytotoxic effects of methotrexate, azaserine and 5-fluorouracil were estimated by accessing the lactate dehydrogenase (LDH) activity of viable tumor cells. Proteins of FCS were separated using two-dimensional electrophoresis followed by mass spectrometry analysis. RESULTS: Addition of 10% FCS attenuated anti-tumor activity of methotrexate and azaserine against K-562 cells compared with serum-free medium. Such an activity of FCS was different for each serum lot. Comparison of the proteins in active serum lot with those in not active one using two-dimensional electrophoresis showed that in the active serum there were proteins 150 kDa, which were absent in the not active serum lot. Mass spectrometry indicated that all those proteins had the amino acid sequence of albumin. Sera of one healthy volunteer and two patients with thyroid cancer also attenuated the activity of the agent. CONCLUSION: Several lots of FCS and human serum demonstrated the ability to attenuate the cytotoxic effect of methotrexate in vitro, possibly due to the formation of albumin dimers/MTX complexes.","['Kojima, T', 'Hashimoto, Y', 'Inamura, Y', 'Koide, T', 'Nagata, H', 'Ito, N', 'Suzumura, K']","['Kojima T', 'Hashimoto Y', 'Inamura Y', 'Koide T', 'Nagata H', 'Ito N', 'Suzumura K']","['Department of Surgery, Aichi-Gakuin University School of Dentistry, Nagoya-City, Aichi 464-8651, Japan. taku@dpc.aichi-gakuin.ac.jp']",['eng'],['Journal Article'],,Ukraine,Exp Oncol,Experimental oncology,101230541,"['0 (Antimetabolites, Antineoplastic)', '0 (Culture Media)', '0 (Culture Media, Serum-Free)', '0 (Serum Albumin)', '87299V3Q9W (Azaserine)', 'U3P01618RT (Fluorouracil)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Antimetabolites, Antineoplastic/*pharmacology', 'Azaserine/pharmacology', 'Cell Culture Techniques/*methods', 'Cell Line, Tumor', 'Cell Survival/drug effects', 'Culture Media/*chemistry/pharmacology', 'Culture Media, Serum-Free/pharmacology', 'Electrophoresis, Gel, Two-Dimensional', 'Fluorouracil/pharmacology', 'Humans', 'Mass Spectrometry', 'Methotrexate/*pharmacology', '*Serum', 'Serum Albumin/pharmacology']",2009/12/17 06:00,2010/03/10 06:00,['2009/12/17 06:00'],"['2009/12/17 06:00 [entrez]', '2009/12/17 06:00 [pubmed]', '2010/03/10 06:00 [medline]']",['41/784 [pii]'],ppublish,Exp Oncol. 2009 Dec;31(4):209-13.,31,,,,,,,,,,,,,,,,,,,,
20010512,NLM,MEDLINE,20100309,20171221,1526-2359 (Electronic) 1073-2748 (Linking),,2009 Oct,Enhancing survival outcomes in the management of patients with higher-risk myelodysplastic syndromes.,2-10,,"The myelodysplastic syndromes (MDS) are a collection of clonal myeloid neoplasms characterized by bone marrow failure and cytopenias. Patients classified with higher-risk disease include those with intermediate-2 or high-risk disease as classified by the International Prognostic Scoring System (IPSS). These patients represent 29% of the MDS population and were originally reported to have a median survival without therapy of only 0.4 for high-risk patients and 1.1 years for intermediate-2 risk patients. The most significant treatment goals in these patients involve prolonging the time to acute myeloid leukemia progression and extending overall survival. Quality of life, symptom control, and transfusion independence are also important. The National Comprehensive Cancer Network guidelines divide treatment options for this population into high- and low-intensity therapies. High-intensity therapies include cytarabine-based remission induction chemotherapy and hematopoietic stem cell transplantation. Transplantation is the only treatment option with the ability to cure; however, many MDS patients may not qualify due to age or comorbidities. Low-intensity therapies include the DNA methyltransferase inhibitors azacitidine and decitabine. Recently, azacitidine demonstrated the ability to extend survival by as much as 74% despite a modest complete response rate. This review examines the classification and diagnosis of higher-risk MDS patients, the management goals for these patients, clinical experience involved with treatments, guidelines, and recommendations for therapeutic options.","['Gore, Steven D', 'Hermes-DeSantis, Evelyn R']","['Gore SD', 'Hermes-DeSantis ER']","['Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland 21231, USA. gorest@jhmi.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,United States,Cancer Control,Cancer control : journal of the Moffitt Cancer Center,9438457,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/*therapeutic use', 'Humans', 'Myelodysplastic Syndromes/*diagnosis/*drug therapy/*mortality', '*Practice Guidelines as Topic', 'Treatment Outcome']",2009/12/17 06:00,2010/03/10 06:00,['2009/12/17 06:00'],"['2009/12/17 06:00 [entrez]', '2009/12/17 06:00 [pubmed]', '2010/03/10 06:00 [medline]']",['10.1177/107327480901604s03 [doi]'],ppublish,Cancer Control. 2009 Oct;16 Suppl:2-10. doi: 10.1177/107327480901604s03.,16 Suppl,,,,,27,,,,,,,,,,,,,,,
20010473,NLM,MEDLINE,20100506,20170306,,12,2009 Dec,A diagnostically difficult case of chronic myeloid neoplasm with eosinophilia and abnormalities of PDGFRA effectively treated with imatinib in accelerated phase: case report.,838-41,438 [pii],"Chronic myeloid neoplasm with eosinophilia and abnormalities of platelet-derived growth factor receptor alpha (PDGFRA), referred to until 2008 as chronic eosinophilic leukemia, is distinguished from hypereosinophilic syndrome (HES), if accompanied by genetic abnormalities that enable to determine eosinophil clonality. Typically, HES has a benign course and glucocorticosteroids suffice to achieve remission. In chronic myeloid neoplasm with eosinophilia and abnormalities of PDGFRA the FIP1L1-PDGFRA fusion gene can be detected. Its product is a protein showing tyrosine kinase activity leading to malignant proliferation of eosinophil precursors. Differential diagnosis of HES is often difficult because hypereosinophilia may also be reactive and may occur in many nonhematological as well as hematological disorders. Thus, reverse-transcription polymerase chain reaction (RT-PCR)is indicated in all patients with HES in order to detect the FIP1L1-PDGFRA transcript. Traditional treatment of chronic myeloid neoplasm with cytostatic drugs results in a short-term and transient remission or stabilization of the disease. We present the case of a 52-year-old patient with chronic myeloid neoplasm with eosinophilia and abnormalities of PDGFRA, in whom acceleration occurred after a year of cytostatic therapy with hydroxyurea and was successfully treated with imatinib. It was impossible to unequivocally determine the type of bone marrow disease based on histologic criteria, and a wide spectrum of molecular tests differentiating the type of myeloid proliferation were necessary to establish the diagnosis. RT-PCR did not reveal BCR-ABL or JAK2 V617F mutation. Further molecular testing showed rearrangement involving the FIP1L1 gene, thus enabling implementation of targeted therapy.","['Rodzaj, Marek', 'Galazka, Krystyna', 'Majewski, Miroslaw', 'Zdunczyk, Andrzej']","['Rodzaj M', 'Galazka K', 'Majewski M', 'Zdunczyk A']","['Department of Hematology and Internal Diseases, Rydygier Hospital, Krakow, Poland. rodzaj@mp.pl']",['eng'],"['Case Reports', 'Journal Article']",,Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Oncogene Proteins, Fusion)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (mRNA Cleavage and Polyadenylation Factors)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (FIP1L1-PDGFRA fusion protein, human)', 'EC 2.7.10.1 (Receptor, Platelet-Derived Growth Factor alpha)']",IM,"['Antineoplastic Agents/administration & dosage', 'Benzamides', 'Disease Progression', 'Gene Rearrangement', 'Humans', 'Hypereosinophilic Syndrome/*diagnosis/*drug therapy/genetics', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis/*drug therapy/genetics', 'Middle Aged', 'Oncogene Proteins, Fusion/*metabolism', 'Piperazines/*administration & dosage', 'Protein Kinase Inhibitors/administration & dosage', 'Pyrimidines/*administration & dosage', 'Receptor, Platelet-Derived Growth Factor alpha/*metabolism', 'mRNA Cleavage and Polyadenylation Factors/*metabolism']",2009/12/17 06:00,2010/05/07 06:00,['2009/12/17 06:00'],"['2009/12/17 06:00 [entrez]', '2009/12/17 06:00 [pubmed]', '2010/05/07 06:00 [medline]']",,ppublish,Pol Arch Med Wewn. 2009 Dec;119(12):838-41.,119,,,,,,,,,,,,,,,,,,,,
20010464,NLM,MEDLINE,20100506,20170306,,12,2009 Dec,Frequency of BCR-ABL gene mutations in Polish patients with chronic myeloid leukemia treated with imatinib: a final report of the MAPTEST study.,789-94,429 [pii],"INTRODUCTION: The presence of BCR-ABL oncogene mutations in patients with chronic myeloid leukemia (CML) may be responsible for the failure of tyrosine kinase inhibitor treatment. OBJECTIVES: The aim of the study was to evaluate the frequency of BCR-ABL gene mutations in patients with CML (the MAPTEST study) treated with imatinib (IM). PATIENTS AND METHODS: Direct sequencing analysis of BCR-ABL gene was performed in 92 patients treated with IM for more than 3 months. The mean time of IM treatment was 18 months. At the time of the analysis, 75 patients were in the first chronic phase (CP), 4 in the second CP, 5 in the acceleration and 8 in the blastic phase. Fifty-seven patients (62%) were treated with IM at a daily dose of 400 mg and 35 patients with higher doses (600 or 800 mg daily). Inclusion criteria were based on the European Leukemia Net definitions for failure and suboptimal response to IM. RESULTS: Twelve mutations were detected in 11 of 92 patients, including 4 mutations (36.7%) diagnosed during CP, 3 (27.3%) in acceleration, and 4 (36.7%) in blast crisis. In 1 patient with lymphoid blast crisis of CML coexisting F359V and Y253F mutations were detected. In the whole group mutations were detected in 2 of 5 patients (40%) with primary resistance (M351T, F359V + Y253F) and in 9 of 87 patients (10.3%) (E255K, T315I-3x, M351T, E355G, F359V-2x) with acquired resistance to IM. CONCLUSIONS: The study confirmed the usefulness of BCR-ABL gene mutation screening in patients with CML resistant to IM therapy.","['Lewandowski, Krzysztof', 'Warzocha, Krzysztof', 'Hellmann, Andrzej', 'Skotnicki, Aleksander', 'Prejzner, Witold', 'Foryciarz, Kajetana', 'Sacha, Tomasz', 'Gniot, Michal', 'Majewski, Miroslaw', 'Solarska, Iwona', 'Nowak, Grazyna', 'Wasag, Bartosz', 'Kobelski, Mikolaj', 'Scibiorski, Cezary', 'Siemiatkowski, Marek', 'Lewandowska, Maria', 'Komarnicki, Mieczyslaw']","['Lewandowski K', 'Warzocha K', 'Hellmann A', 'Skotnicki A', 'Prejzner W', 'Foryciarz K', 'Sacha T', 'Gniot M', 'Majewski M', 'Solarska I', 'Nowak G', 'Wasag B', 'Kobelski M', 'Scibiorski C', 'Siemiatkowski M', 'Lewandowska M', 'Komarnicki M']","['Department of Hematology, Poznan University of Medical Sciences, Poznan, Poland. krzysztof.lewandowski@sk1.am.poznan.pl']",['eng'],['Journal Article'],,Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adult', 'Aged', 'Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Chromatography, High Pressure Liquid', 'DNA Mutational Analysis', 'Dose-Response Relationship, Drug', 'Drug Resistance, Neoplasm/*genetics', 'Female', 'Fusion Proteins, bcr-abl/*genetics', 'Gene Expression Regulation, Leukemic', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/*genetics', 'Male', 'Middle Aged', 'Neoplasm Staging', 'Piperazines/*therapeutic use', 'Poland', 'Protein Kinase Inhibitors/*therapeutic use', 'Pyrimidines/*therapeutic use', 'Treatment Outcome', 'Young Adult']",2009/12/17 06:00,2010/05/07 06:00,['2009/12/17 06:00'],"['2009/12/17 06:00 [entrez]', '2009/12/17 06:00 [pubmed]', '2010/05/07 06:00 [medline]']",,ppublish,Pol Arch Med Wewn. 2009 Dec;119(12):789-94.,119,,,,,,,,,,,,,,,,,,,,
20010405,NLM,MEDLINE,20100706,20171116,1533-0311 (Electronic) 0193-1091 (Linking),2,2010 Apr,When dead cells tell tales-cutaneous involvement by precursor T-cell acute lymphoblastic lymphoma with an uncommon phenotype.,183-6,10.1097/DAD.0b013e3181b3aa1c [doi],"The thymic type of precursor T-cell acute lymphoblastic lymphoma (pre-T ALL), an uncommon T-cell malignancy, typically presents as a thymic mass and expresses terminal deoxonucleotidyl transferase, CD7, and cytoplasmic CD3, with variable expression of other markers. Cutaneous presentation in pre-T ALL is highly unusual. We describe a case of pre-T ALL presenting as 2 papulonodular lesions on the face of an otherwise asymptomatic 27-year-old man. Microscopic examination of both lesions revealed a moderate to dense pandermal infiltrate of medium-sized lymphocytes with extensive ""crush"" artifact, whereas immunohistochemistry revealed positive staining of lesional cells for CD45, CD3, Bcl-2, Ki-67, CD5, CD7, and CD34 but negative staining for CD4, CD8, CD30, CD56, CD10, CD117, anaplastic lymphoma kinase protein, TdT, myeloperoxidase, CD79a, and CD20. Gene rearrangement studies performed on both biopsies identified a clonal population of T lymphocytes. A subsequent computed tomography scan revealed a 9-cm mediastinal mass encasing all major mediastinal vessels, whereas a bone marrow biopsy revealed blasts with an immunophenotype similar to that of the cutaneous lesions. Features unique to this case include the cutaneous presentation and the immunophenotype-absence of CD4, CD8, and TdT with expression of CD34-both highly unusual features for pre-T ALL.","['Yaar, Ron', 'Rothman, Karen', 'Mahalingam, Meera']","['Yaar R', 'Rothman K', 'Mahalingam M']","['Department of Dermatology, Boston University School of Medicine, MA, USA.']",['eng'],"['Case Reports', 'Journal Article']",,United States,Am J Dermatopathol,The American Journal of dermatopathology,7911005,"['0 (Antigens, CD34)', '0 (Antigens, CD7)', '0 (CD3 Complex)']",IM,"['Adult', 'Antigens, CD34/metabolism', 'Antigens, CD7/metabolism', 'Biopsy', 'CD3 Complex/metabolism', 'Face', 'Humans', 'Male', 'Necrosis', '*Phenotype', 'Precancerous Conditions/diagnosis/metabolism/*pathology', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/metabolism/*pathology', 'Skin/metabolism/*pathology', 'Skin Neoplasms/diagnosis/metabolism/*pathology']",2009/12/17 06:00,2010/07/07 06:00,['2009/12/17 06:00'],"['2009/12/17 06:00 [entrez]', '2009/12/17 06:00 [pubmed]', '2010/07/07 06:00 [medline]']",['10.1097/DAD.0b013e3181b3aa1c [doi]'],ppublish,Am J Dermatopathol. 2010 Apr;32(2):183-6. doi: 10.1097/DAD.0b013e3181b3aa1c.,32,,,,,,,,,,,,,,,,,,,,
20010294,NLM,MEDLINE,20100427,20211020,1531-703X (Electronic) 1040-8746 (Linking),2,2010 Mar,Biology and clinical effects of natural killer cells in allogeneic transplantation.,130-7,10.1097/CCO.0b013e328335a559 [doi],"PURPOSE OF REVIEW: Following allogeneic hematopoietic cell transplantation, donor-derived natural killer (NK) cells target recipient hematopoietic cells, resulting in an antileukemia effect and a lower incidence of graft rejection. NK cells do not mediate and may diminish graft versus host disease. Here we review the determinants of NK cell alloreactivity and their implications for adoptive NK cell therapy. RECENT FINDINGS: NK cell alloreactivity has been defined by the absence of recipient MHC class I ligands for donor inhibitory killer immunoglobulin-like receptor (KIR) receptors, as predicted by a number of algorithms. Recently, the role of activating NK receptors and their cognate ligands has received more attention. The beneficial clinical effect of NK-cell alloreactivity has not been uniformly demonstrated, likely reflecting differences in conditioning regimens, graft components and posttransplant immune suppression. Investigations of NK cell phenotype and function after transplantation have helped demonstrate which NK cell subsets mediate the graft versus leukemia effect. These advances have proceeded in parallel with increasing facility in GMP-grade bulk purification and administration of NK cell preparations. SUMMARY: NK cells are a heterogeneous population of lymphocytes with diverse patterns of target-cell recognition and effector function. Further clinical and functional correlations will help maximize their potential for clinical benefit.","['Benjamin, Jonathan E', 'Gill, Saar', 'Negrin, Robert S']","['Benjamin JE', 'Gill S', 'Negrin RS']","['Division of Blood and Marrow Transplantation, Stanford University School of Medicine, Stanford, California, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", 'Review']",,United States,Curr Opin Oncol,Current opinion in oncology,9007265,,IM,"['Clinical Trials as Topic', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Killer Cells, Natural/*immunology/*transplantation', 'Transplantation, Homologous/*immunology']",2009/12/17 06:00,2010/04/28 06:00,['2009/12/17 06:00'],"['2009/12/17 06:00 [entrez]', '2009/12/17 06:00 [pubmed]', '2010/04/28 06:00 [medline]']",['10.1097/CCO.0b013e328335a559 [doi]'],ppublish,Curr Opin Oncol. 2010 Mar;22(2):130-7. doi: 10.1097/CCO.0b013e328335a559.,22,"['P01 CA049605/CA/NCI NIH HHS/United States', 'R01 CA125276/CA/NCI NIH HHS/United States', 'R01 CA125276-03/CA/NCI NIH HHS/United States', 'R01-CA-125276/CA/NCI NIH HHS/United States']",,PMC2880497,['NIHMS205204'],83,,,,,,,,,,,,,,,
20010283,NLM,MEDLINE,20100706,20100324,1533-0311 (Electronic) 0193-1091 (Linking),2,2010 Apr,Mantle cell lymphoma with skin invasion characterized by the common variant in the subcutis and blastoid transformation in the overlying dermis.,180-2,10.1097/DAD.0b013e3181b2ed67 [doi],"We report a case of common mantle cell lymphoma (MCL) with subcutis infiltration and transformation to blastoid MCL in the overlying dermis. The patient was initially diagnosed as having chronic lymphocytic leukemia and treated with chemotherapy. Eight months after the diagnosis of MCL with bone marrow involvement, subcutaneous nodules developed on the patient's left thigh and forearm. A skin biopsy showed a massive infiltration of neoplastic lymphocytes throughout the dermis and subcutaneous tissue. In the upper dermis, there was a perivascular mixed infiltrate of atypical large lymphoid cells and small-sized cells. In the mid to lower dermis, the infiltrate was dense with a nodular growth pattern and was composed of atypical large lymphoblast-like cells with large nuclei, dispersed chromatin, and numerous mitoses. In the subcutaneous tissue, there was a diffuse infiltration of neoplastic cells with common MCL cytologic features characterized by small- to medium-sized lymphoid cells. Cells in the common and blastoid variants of MCL were immunohistochemically positive for CD20 and cyclin D1 but negative for CD5. Neoplastic lymphocytes from the patient's bone marrow had the typical morphologic features and the immunophenotype of MCL (ie, CD5, CD20, cyclin D1, CD10, and CD23). Other case reports in the medical literature indicate that an MCL with skin invasion tends to have a poor prognosis. Our patient died 3 months after the appearance of skin invasion.","['Ishibashi, Masafumi', 'Yamamoto, Kyoko', 'Kudo, Saori', 'Chen, Ko-Ron']","['Ishibashi M', 'Yamamoto K', 'Kudo S', 'Chen KR']","['Department of Dermatology, Tokyo Saiseikai Central Hospital, Japan. ishibashi@saichu.jp']",['eng'],"['Case Reports', 'Journal Article']",,United States,Am J Dermatopathol,The American Journal of dermatopathology,7911005,"['0 (Antigens, CD20)', '136601-57-5 (Cyclin D1)']",IM,"['Aged', 'Antigens, CD20/metabolism', 'Biopsy', 'Cell Transformation, Neoplastic/metabolism/*pathology', 'Cyclin D1/metabolism', 'Dermis/metabolism/*pathology', 'Fatal Outcome', 'Humans', 'Lymphoma, Mantle-Cell/*diagnosis/metabolism/*pathology', 'Male', 'Prognosis', 'Skin/metabolism/pathology', 'Skin Neoplasms/*diagnosis/metabolism/*pathology']",2009/12/17 06:00,2010/07/07 06:00,['2009/12/17 06:00'],"['2009/12/17 06:00 [entrez]', '2009/12/17 06:00 [pubmed]', '2010/07/07 06:00 [medline]']",['10.1097/DAD.0b013e3181b2ed67 [doi]'],ppublish,Am J Dermatopathol. 2010 Apr;32(2):180-2. doi: 10.1097/DAD.0b013e3181b2ed67.,32,,,,,,,,,,,,,,,,,,,,
20010158,NLM,MEDLINE,20100105,20091216,1538-2990 (Electronic) 0002-9629 (Linking),6,2009 Dec,Extensive involvement of the gastrointestinal tract by a de novo presentation of the monoblastic type of myeloid sarcoma: a case report of a rare entity that is often misdiagnosed.,513-6,10.1097/MAJ.0b013e3181b26fa9 [doi],"We present the first known case of the monoblastic type of myeloid sarcoma (also known as extramedullary myeloid tumor, chloroma, and granulocytic sarcoma) with diffuse involvement of the gastrointestinal tract. The patient originally presented with diarrhea and crampy abdominal discomfort. Endoscopically, the disease showed a diffuse inflammatory process mimicking a number of benign conditions, such as inflammatory bowel disease and autoimmune enteropathy. Sequential biopsies of the upper and lower gastrointestinal tract showed a diffuse infiltrate of increasingly atypical cells. The disease progressed to systemic involvement, including widespread lymphadenopathy, splenomegaly, and pulmonary deposits; the patient died 13 months after the development of initial symptoms. The immunohistochemical and histologic profiles of this case are diagnostic of the monoblastic type of myeloid sarcoma.","['Holloman, David', 'Eberts, Paul', 'Clark, Christian', 'Lewin, David', 'Lazarchick, John', 'Stuart, Robert', 'Comerford, Lawrence']","['Holloman D', 'Eberts P', 'Clark C', 'Lewin D', 'Lazarchick J', 'Stuart R', 'Comerford L']","['Department of Pathology & Laboratory Medicine, Medical University of South Carolina, Charleston, South Carolina 29425-2900, USA.']",['eng'],"['Case Reports', 'Journal Article']",,United States,Am J Med Sci,The American journal of the medical sciences,0370506,,IM,"['Diagnosis, Differential', 'Female', 'Gastrointestinal Neoplasms/*diagnosis/pathology', 'Gastrointestinal Tract/pathology', 'Granulocyte Precursor Cells/pathology', 'Humans', 'Middle Aged', 'Sarcoma, Myeloid/*diagnosis/pathology']",2009/12/17 06:00,2010/01/06 06:00,['2009/12/17 06:00'],"['2009/12/17 06:00 [entrez]', '2009/12/17 06:00 [pubmed]', '2010/01/06 06:00 [medline]']","['10.1097/MAJ.0b013e3181b26fa9 [doi]', 'S0002-9629(15)31756-0 [pii]']",ppublish,Am J Med Sci. 2009 Dec;338(6):513-6. doi: 10.1097/MAJ.0b013e3181b26fa9.,338,,,,,,,,,,,,,,,,,,,,
20009973,NLM,MEDLINE,20100311,20131121,1536-7355 (Electronic) 1076-1608 (Linking),7,2009 Oct,"All-trans retinoic acid-induced focal myositis, synovitis, and mononeuritis.",358-60,10.1097/RHU.0b013e31818866d8 [doi],"All-trans retinoic acid has revolutionized the treatment of acute promyelocytic leukemia, but this therapy is often complicated by the all-trans retinoic acid syndrome. Here we report a patient with newly diagnosed acute promyelocytic leukemia who developed acute focal myositis, synovitis, and possible vasculitis, after receiving all-trans retinoic acid therapy. We review the existing literature on this rare clinical entity, all-trans retinoic acid-induced myositis. This condition can manifest as fever, myalgia, arthralgia, and Sweet syndrome, accompanied by distinct magnetic resonance findings involving the lower extremity musculature. Treatment consists of discontinuation of the offending drug and often high dose corticosteroids.","['Yu, Wenshu', 'Burns, Christopher M']","['Yu W', 'Burns CM']","['Department of Medicine, Division of Rheumatology, Dartmouth Hitchcock Medical Center, Lebanon, NH, USA.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",,United States,J Clin Rheumatol,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,9518034,"['0 (Adrenal Cortex Hormones)', '0 (Antineoplastic Agents)', '5688UTC01R (Tretinoin)']",IM,"['Adrenal Cortex Hormones/therapeutic use', 'Antineoplastic Agents/adverse effects/therapeutic use', 'Female', 'Humans', 'Leukemia, Promyelocytic, Acute/drug therapy', 'Middle Aged', 'Mononeuropathies/*chemically induced/diagnosis/drug therapy', 'Myositis/*chemically induced/diagnosis/drug therapy', 'Synovitis/*chemically induced/diagnosis/drug therapy', 'Treatment Outcome', 'Tretinoin/*adverse effects/therapeutic use', 'Withholding Treatment']",2009/12/17 06:00,2010/03/12 06:00,['2009/12/17 06:00'],"['2009/12/17 06:00 [entrez]', '2009/12/17 06:00 [pubmed]', '2010/03/12 06:00 [medline]']","['10.1097/RHU.0b013e31818866d8 [doi]', '00124743-200910000-00008 [pii]']",ppublish,J Clin Rheumatol. 2009 Oct;15(7):358-60. doi: 10.1097/RHU.0b013e31818866d8.,15,,,,,17,,,,,,,,,,,,,,,
20009580,NLM,MEDLINE,20100309,20200930,1551-4005 (Electronic) 1551-4005 (Linking),1,2010 Jan 1,Developmental strategies for evasion of Arf tumor suppression.,14-5,,,"['Volanakis, Emmanuel J', 'Sherr, Charles J']","['Volanakis EJ', 'Sherr CJ']",,['eng'],['Editorial'],20100121,United States,Cell Cycle,"Cell cycle (Georgetown, Tex.)",101137841,"['0 (Cyclin-Dependent Kinase Inhibitor p16)', '0 (Receptor, Notch1)']",IM,"['Animals', 'CD4-Positive T-Lymphocytes/metabolism', 'CD8-Positive T-Lymphocytes/metabolism', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/*physiology', 'Epigenesis, Genetic/genetics/physiology', 'Hematopoietic Stem Cells/metabolism/physiology', 'Humans', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/genetics/immunology/*metabolism', 'Receptor, Notch1/genetics/metabolism']",2009/12/17 06:00,2010/03/10 06:00,['2009/12/17 06:00'],"['2009/12/17 06:00 [entrez]', '2009/12/17 06:00 [pubmed]', '2010/03/10 06:00 [medline]']","['10390 [pii]', '10.4161/cc.9.1.10390 [doi]']",ppublish,Cell Cycle. 2010 Jan 1;9(1):14-5. doi: 10.4161/cc.9.1.10390. Epub 2010 Jan 21.,9,,,,,,,,,,,,,,,,,,,,
