PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,CIN,TT,EIN,SI,PMC,GS,RIN,CON
2480847,NLM,MEDLINE,19900130,20190908,0340-7004 (Print) 0340-7004 (Linking),30,3,1989,Normal mouse lung tissue produces a growth-inhibitory factor(s) preferential for mouse monocytic leukemia cells.,139-44,"A growth-inhibitory (GI) factor, that specifically inhibits the growth of mouse monocytic leukemia cells, was found in conditioned medium of mouse lung tissue, but not in that of mouse brain, heart, liver, or kidney tissue. Conditioned medium of spleen or bone marrow cells had low GI activity. Pulmonary macrophages were as active as peritoneal and bone-marrow-derived macrophages in production of the GI activity. The GI factor inhibited the growth of murine monocytic leukemia cell lines Mm-A and J774.1, but scarcely inhibited the growth of other mouse cell lines, such as a myeloblastic leukemia cell line (M1), a Friend erythroleukemia cell line (745A) and a mammary carcinoma cell line (FM3A). It had no significant effect on the growth of human monocytic leukemia cell lines U937 and THP-1 or on the HL-60 promyelocytic leukemia cell line. These results suggest that the GI factor produced by mouse lung tissue preferentially inhibits the growth of mouse monocytic cells. The GI factor was found to be a proteinaceous substance with a molecular mass of 25 kDa. On chromatofocusing, the GI activity was eluted with Polybuffer 96/acetic acid at pH 7.2-7.5. The GI activity was not significantly decreased by heat treatment at 56 degrees C for 30 min or acid treatment (0.01 M HCl, 14 h), but the GI activity in glycosidase-treated conditioned medium of lung tissue was lost on heat treatment. The GI activity could not be neutralized with anti-(interferon alpha + beta) antibody. The activity was produced constitutively by lung tissues and its production was not stimulated appreciably by lipopolysaccharide, lectin, or poly(I).poly(C). The GI factor appears to be a cytokine unrelated to known cytokines such as tumor necrosis factor, interleukin-1, transforming growth factor beta, and interferons. These results suggest that the GI factor may be involved in negative feedback regulation of macrophage production in steady-state conditions in the lungs.","['Ikuta, T', 'Honma, Y', 'Okabe-Kado, J', 'Kasukabe, T', 'Hozumi, M']","['Ikuta T', 'Honma Y', 'Okabe-Kado J', 'Kasukabe T', 'Hozumi M']","['Department of Chemotherapy, Saitama Cancer Center Research Institute, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Cancer Immunol Immunother,"Cancer immunology, immunotherapy : CII",8605732,"['0 (Culture Media)', '0 (Growth Inhibitors)', '9008-11-1 (Interferons)']",IM,"['Animals', 'Cells, Cultured', 'Culture Media', 'Female', 'Growth Inhibitors/analysis/*pharmacology', 'Interferons/pharmacology', 'Leukemia, Myeloid/*pathology', 'Lung/*metabolism', 'Macrophages/metabolism', 'Male', 'Mice', 'Mice, Inbred ICR']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1007/BF01669421 [doi]'],ppublish,Cancer Immunol Immunother. 1989;30(3):139-44. doi: 10.1007/BF01669421.,,,,,,,,,
2480846,NLM,MEDLINE,19900129,20190908,0340-7004 (Print) 0340-7004 (Linking),30,2,1989,Stimulation of non-specific resistance to tumors in the mouse using a poly(maleic-acid-styrene)-conjugated neocarzinostatin.,97-104,"The development of non-specific resistance to tumors following stimulation with poly(maleic-acid-styrene)-conjugated neocarzinostatin (SMANCS), a polymer-conjugated derivative of neocarzinostatin, was investigated in mice. The growth of syngeneic solid tumors (Meth-A fibrosarcoma and RL male 1 leukemia) inoculated into BALB/c mice was suppressed after one treatment with SMANCS at doses ranging from 0.14 mg/kg to 3.4 mg/kg i.v. 24 h before tumor implantation. Since previously observations concerning SMANCS have shown that it disappeared within 1.5 h after i.v. administration in mice and that it was inactivated quickly in plasma, SMANCS evidently inhibited tumor growth by mediating non-specific resistance. In addition, the non-specific resistance to tumors stimulated by SMANCS could be passively transferred to untreated mice by serum which was shown to contain interferon (IFN) from 12 h to 20 h after SMANCS administration. However, the resistance was not produced by serum prepared from mice at 8 h or 32 h after administration presumably because of the observation that the interferon activity was only demonstrated from 12 h to 28 h after SMANCS stimulation. When the serum specimens were treated with anti-IFN-gamma antiserum, the antitumor activity of the sera was abrogated. However, no significant change was detected in the antitumor activity of the specimens following treatment with anti-IFN-alpha/beta antiserum. Treatment of mice with SMANCS and anti-IFN-gamma antiserum together resulted in the elimination of the non-specific resistance to tumors. The IFN induced in the sera of mice by SMANCS was shown to be 57% IFN-gamma and 41% IFN-alpha/beta. Half of the interferon produced in SMANCS-stimulated mice could be eliminated by treatment with anti-IFN-gamma, and treatment of SMANCS-stimulated mice with both anti-IFN-gamma and anti-IFN-alpha/beta antisera resulted in a total absence of detectable interferon. These findings suggest that while the administration of SMANCS induces both IFN-gamma and IFN-alpha/beta production, in this case, it is only the former which mediates the non-specific resistance to tumors.","['Suzuki, F', 'Pollard, R B', 'Maeda, H']","['Suzuki F', 'Pollard RB', 'Maeda H']","['Department of Microbiology, Kumamoto University School of Medicine, Japan.']",['eng'],,['Journal Article'],Germany,Cancer Immunol Immunother,"Cancer immunology, immunotherapy : CII",8605732,"['0 (Antibiotics, Antineoplastic)', '0 (Furans)', '0 (Immune Sera)', '0 (Maleates)', '0 (Maleic Anhydrides)', '0 (Polystyrenes)', '0 (poly(maleic acid-styrene)neocarzinostatin)', '54991-66-1 (poly(styrene-co-maleic acid)butyl ester)', '9008-11-1 (Interferons)', '9014-02-2 (Zinostatin)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*pharmacology', 'Female', 'Furans/*pharmacology', 'Immune Sera/immunology', 'Immunity, Innate/*drug effects', 'Interferons/immunology/physiology', 'Male', 'Maleates/pharmacology', 'Maleic Anhydrides/*pharmacology', 'Mice', 'Mice, Inbred BALB C', 'Neoplasms, Experimental/*immunology', 'Polystyrenes/*pharmacology', 'Zinostatin/analogs & derivatives/*pharmacology']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1007/BF01665960 [doi]'],ppublish,Cancer Immunol Immunother. 1989;30(2):97-104. doi: 10.1007/BF01665960.,,,,,,,,,
2480792,NLM,MEDLINE,19900124,20190623,0006-2952 (Print) 0006-2952 (Linking),38,22,1989 Nov 15,Inhibition of two enzymes in de novo purine nucleotide synthesis by triciribine phosphate (TCN-P).,4045-51,"We previously reported that triciribine (tricyclic nucleoside, TCN, NSC-154020), after phosphorylation in cultured CCRF-CEM human leukemic lymphoblasts inhibited de novo purine nucleotide synthesis, GTP more than ATP [Moore et al. Biochem. Pharmac. 38, 4037 (1989)]. To determine the enzymes inhibited, triciribine phosphate (TCN-P, NSC-280594) was tested in dialyzed extracts of the cells. A new assay for glycinamide ribotide (GAR) synthesis was based on incorporation of [14C]glycine into GAR as a ribose-containing compound retained on boronyl gel columns. Glutamine, phosphoribosyl pyrophosphate (PRPP), ATP and glycine were required for the two-step sequence of glutamine:amidophosphoribosyltransferase (EC 2.4.2.14) and phosphoribosylamine-glycine ligase (EC 6.3.4.13). When PRPP was near the normal intracellular concentration (0.1 mM), 1.2 mM TCN-P inhibited GAR synthesis by 71-95%. To permit separate assay of the ligase step, 6-diazo-5-oxo-L-norleucine was used to inhibit amidophosphoribosyltransferase and phosphoribosylamine (PRA) was supplied in situ by chemical reaction of ribose-5-phosphate and ammonia (as ammonium acetate). The ligase was not inhibited by TCN-P. Thus, TCN-P inhibits amidophosphoribosyltransferase; it acts as an analog of the purine nucleotides which regulate this first committed step of de novo purine biosynthesis by an allosteric feedback mechanism. The measured intracellular concentration (0.1 mM) of PRPP was not changed in cells treated with TCN. IMP dehydrogenase (EC 1.1.1.205), the first de novo step committed to guanosine nucleotide synthesis, was also tested. It was inhibited by TCN-P, competitively with IMP, 66% at 1.2 mM TCN-P and 8 microM IMP. The degree of inhibition of these two enzymes was sufficient to account for the effects on purine nucleotide biosynthesis observed in intact cells treated with TCN.","['Moore, E C', 'Hurlbert, R B', 'Boss, G R', 'Massia, S P']","['Moore EC', 'Hurlbert RB', 'Boss GR', 'Massia SP']","['Medical Oncology Department, University of Texas M.D. Anderson Hospital and Tumor Institute, Houston 77030.']",['eng'],['CA 34204/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Acenaphthenes)', '0 (Purine Nucleotides)', '0 (Ribonucleotides)', '0RH81L854J (Glutamine)', '10074-18-7 (glycineamide ribonucleotide)', '5L5GE3DV88 (triciribine phosphate)', '7540-64-9 (Phosphoribosyl Pyrophosphate)', '8L70Q75FXE (Adenosine Triphosphate)', 'EC 1.1.1.205 (IMP Dehydrogenase)', 'EC 1.2.- (Ketone Oxidoreductases)', 'EC 2.4.2.- (Pentosyltransferases)', 'EC 2.4.2.14 (Amidophosphoribosyltransferase)', 'EC 6.- (Ligases)', 'EC 6.3.- (Carbon-Nitrogen Ligases)', 'EC 6.3.4.13 (phosphoribosylamine-glycine ligase)', 'TE7660XO1C (Glycine)']",IM,"['Acenaphthenes', 'Adenosine Triphosphate/metabolism', 'Amidophosphoribosyltransferase/*antagonists & inhibitors', '*Carbon-Nitrogen Ligases', 'Glutamine/metabolism', 'Glycine/metabolism', 'Humans', 'IMP Dehydrogenase/*antagonists & inhibitors', 'Ketone Oxidoreductases/*antagonists & inhibitors', 'Leukemia, Lymphoid', 'Ligases/antagonists & inhibitors', 'Lymphocytes/enzymology', 'Pentosyltransferases/*antagonists & inhibitors', 'Phosphoribosyl Pyrophosphate/metabolism', 'Purine Nucleotides/*biosynthesis', 'Ribonucleotides/biosynthesis/*pharmacology', 'Tumor Cells, Cultured']",1989/11/15 00:00,1989/11/15 00:01,['1989/11/15 00:00'],"['1989/11/15 00:00 [pubmed]', '1989/11/15 00:01 [medline]', '1989/11/15 00:00 [entrez]']","['0006-2952(89)90685-0 [pii]', '10.1016/0006-2952(89)90685-0 [doi]']",ppublish,Biochem Pharmacol. 1989 Nov 15;38(22):4045-51. doi: 10.1016/0006-2952(89)90685-0.,,,,,,,,,
2480791,NLM,MEDLINE,19900124,20190623,0006-2952 (Print) 0006-2952 (Linking),38,22,1989 Nov 15,"Inhibition of CCRF-CEM human leukemic lymphoblasts by triciribine (tricyclic nucleoside, TCN, NSC-154020). Accumulation of drug in cells and comparison of effects on viability, protein synthesis and purine synthesis.",4037-44,"The experimental antineoplastic agent triciribine (tricyclic nucleoside, TCN) is known to be activated to its phosphate TCN-P by adenosine kinase and to inhibit cell growth, purine nucleotide synthesis, and incorporation of amino acids into proteins. Our objective in this paper was to compare these effects in intact cells of a human cell line as a prerequisite to describing in a companion paper [Moore et al., Biochem. Pharmac. 38, 4045 (1989)] more detailed enzymic studies of their interrelationships. TCN treatment inhibited cloning of CCRF-CEM human leukemic lymphoblasts 50% at concentrations of 6, 30, and 90 microM with 8-day, 8-hr, and 2-hr exposures respectively. However, 6-20% of the cells survived exposure to 200 microM TCN for 24 hr. The intracellular formation of TCN-P from TCN was rapid, concentrative and essentially complete, but TCN-P did not exceed about 1.4 mM (1.4 nmol/10(6) cells) at 200 microM TCN. In cells exposed to 50 microM TCN for 1.25 to 24 hr, formate incorporation into ATP and GTP was inhibited the most rapidly and strongly; pools of ATP and GTP were decreased as much as 40% (as compared with controls); and incorporation of formate into RNA purines was inhibited as much as 65%. Incorporation of leucine into protein was more moderately inhibited up to 40%, apparently in proportion to the concentration of intracellular TCN-P, rather than of the TCN in the medium. These inhibitions occurred most rapidly during the first 2-4 hr and increased only gradually thereafter, whereas cloning ability was inhibited more slowly and uniformly over a longer time period. No one of these metabolic effects by itself showed a clear correlation with the loss of viability. The incorporation of formate into formylglycinamide ribotide (FGAR, when accumulated at a blockage by azaserine) was inhibited drastically by TCN. The rate of incorporation of hypoxanthine into ATP was increased by TCN, whereas incorporation into GTP was decreased. Thus, the principal sites of inhibition of purine synthesis by TCN-P were shown in these intact cells to be at a step prior to synthesis of FGAR in the de novo pathway and also at an additional site between IMP and GTP.","['Moore, E C', 'Hurlbert, R B', 'Massia, S P']","['Moore EC', 'Hurlbert RB', 'Massia SP']","['Medical Oncology Department, University of Texas M.D. Anderson Hospital and Tumor Institute, Houston 77030.']",['eng'],['CA 34204/CA/NCI NIH HHS/United States'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Antineoplastic Agents)', '0 (Formates)', '0 (Hypoxanthines)', '0 (Purines)', '0 (Ribonucleosides)', '0 (Ribonucleotides)', '0YIW783RG1 (formic acid)', '2421HMY9N6 (triciribine)', '2TN51YD919 (Hypoxanthine)', '349-34-8 (phosphoribosyl-N-formylglycineamide)', '63231-63-0 (RNA)', '86-01-1 (Guanosine Triphosphate)', '8L70Q75FXE (Adenosine Triphosphate)', 'TE7660XO1C (Glycine)']",IM,"['Adenosine Triphosphate/metabolism', '*Antineoplastic Agents', 'Cell Survival/drug effects', 'Formates/metabolism', 'Glycine/analogs & derivatives/metabolism', 'Guanosine Triphosphate/metabolism', 'Humans', 'Hypoxanthine', 'Hypoxanthines/metabolism', 'Kinetics', 'Leukemia, Lymphoid/*drug therapy/pathology', 'Lymphocytes/*drug effects/metabolism', 'Phosphorylation', '*Protein Biosynthesis', 'Purines/*metabolism', 'RNA/biosynthesis', 'Ribonucleosides/metabolism/*pharmacology/therapeutic use', 'Ribonucleotides/metabolism', 'Tumor Cells, Cultured']",1989/11/15 00:00,1989/11/15 00:01,['1989/11/15 00:00'],"['1989/11/15 00:00 [pubmed]', '1989/11/15 00:01 [medline]', '1989/11/15 00:00 [entrez]']","['0006-2952(89)90684-9 [pii]', '10.1016/0006-2952(89)90684-9 [doi]']",ppublish,Biochem Pharmacol. 1989 Nov 15;38(22):4037-44. doi: 10.1016/0006-2952(89)90684-9.,,,,,,,,,
2480745,NLM,MEDLINE,19900123,20190918,0166-3542 (Print) 0166-3542 (Linking),12,2,1989 Sep,Inhibition of reverse transcriptases by flavonoids.,99-110,"Selected naturally occurring flavonoids were shown to inhibit three reverse transcriptases (RT): avian myeloblastosis (AMV) RT, Rous-associated virus-2 (RAV-2) RT and Maloney murine leukemia virus (MMLV) RT when poly (rA)oligo(dT)12-18 or rabbit globin mRNA were used as template. Amentoflavone, scutellarein and quercetin were the most active compounds and their effect was concentration-dependent. The enzymes exhibited differential sensitivity to the inhibitory effects of the flavonoids. The compounds also inhibited rabbit globin mRNA-directed, MMLV RT-catalyzed DNA synthesis. Amentoflavone and scutellarein inhibited ongoing new DNA synthesis catalyzed by RAV-2 RT. Kinetic studies were performed in an attempt to elucidate the mechanism of action of amentoflavone and scutellarein. A model is proposed for the mechanism of action of the flavonoids on RT activity.","['Spedding, G', 'Ratty, A', 'Middleton, E Jr']","['Spedding G', 'Ratty A', 'Middleton E Jr']","['Department of Medicine, State University of New York, Buffalo General Hospital 14203.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Antiviral Res,Antiviral research,8109699,"['0 (Biflavonoids)', '0 (Flavanones)', '0 (Flavonoids)', '0 (Reverse Transcriptase Inhibitors)', '479-54-9 (carthamidin)', '9I1VC79L77 (amentoflavone)', '9IKM0I5T1E (Quercetin)']",IM,"['Animals', 'Avian Leukosis Virus/enzymology', 'Avian Myeloblastosis Virus/enzymology', '*Biflavonoids', '*Flavanones', 'Flavonoids/*pharmacology', 'Kinetics', 'Molecular Structure', 'Moloney murine leukemia virus/enzymology', 'Quercetin/*pharmacology', 'Retroviridae/*enzymology', '*Reverse Transcriptase Inhibitors']",1989/09/01 00:00,2001/03/28 10:01,['1989/09/01 00:00'],"['1989/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1989/09/01 00:00 [entrez]']","['0166-3542(89)90073-9 [pii]', '10.1016/0166-3542(89)90073-9 [doi]']",ppublish,Antiviral Res. 1989 Sep;12(2):99-110. doi: 10.1016/0166-3542(89)90073-9.,,,,,,,,,
2480643,NLM,MEDLINE,19900125,20190618,0036-8075 (Print) 0036-8075 (Linking),246,4937,1989 Dec 22,Immunodeficiency and clonal growth of target cells induced by helper-free defective retrovirus.,1614-7,"The murine acquired immunodeficiency syndrome is induced by a defective retrovirus. To study the role of virus replication in this disease, helper-free stocks of defective Duplan virus were produced. These stocks were highly pathogenic in absence of detectable replicating murine leukemia viruses (MuLVs) other than xenotropic MuLV. They induced expansion of the infected cell population (over 1000-fold), and this cell expansion was oligoclonal in origin and, most likely, arose through cell division. These results suggest that this defective virus is oncogenic, inducing a primary neoplasia associated with an acquired immunodeficiency syndrome as a paraneoplastic syndrome. These data emphasize the need to determine whether virus replication is necessary for the progression of other immunodeficiency diseases, including acquired immunodeficiency syndrome, and whether these diseases also represent paraneoplastic syndromes.","['Huang, M', 'Simard, C', 'Jolicoeur, P']","['Huang M', 'Simard C', 'Jolicoeur P']","['Laboratory of Molecular Biology, Clinical Research Institute of Montreal, Quebec, Canada.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Science,"Science (New York, N.Y.)",0404511,"['0 (DNA, Viral)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",IM,"['Animals', 'Blotting, Southern', 'Cells, Cultured', 'DNA, Viral/isolation & purification', 'Defective Viruses/isolation & purification/*pathogenicity', 'Helper Viruses/isolation & purification', 'Immunologic Deficiency Syndromes/*microbiology', 'Leukemia Virus, Murine/pathogenicity', 'Lymph Nodes/microbiology', 'Lymphocytes/microbiology', 'Mice', 'Mice, Inbred C57BL', 'RNA-Directed DNA Polymerase/analysis', 'Retroviridae/isolation & purification/*pathogenicity', 'Retroviridae Infections/*microbiology', 'Spleen/microbiology']",1989/12/22 00:00,1989/12/22 00:01,['1989/12/22 00:00'],"['1989/12/22 00:00 [pubmed]', '1989/12/22 00:01 [medline]', '1989/12/22 00:00 [entrez]']",['10.1126/science.2480643 [doi]'],ppublish,Science. 1989 Dec 22;246(4937):1614-7. doi: 10.1126/science.2480643.,,,,,,,,,
2480609,NLM,MEDLINE,19900124,20081121,0361-7742 (Print) 0361-7742 (Linking),316A,,1989,Altered binding to the gamma-globin promoter of two erythroid specific nuclear proteins in different HPFH syndromes.,229-36,,"['Ottolenghi, S', 'Mantovani, R', 'Nicolis, S', 'Ronchi, A', 'Malgaretti, N', 'Giglioni, B', 'Gilman, J']","['Ottolenghi S', 'Mantovani R', 'Nicolis S', 'Ronchi A', 'Malgaretti N', 'Giglioni B', 'Gilman J']","['Dipartimento di Genetica e di Biologia dei Microrganismi, Universita di Milano.']",['eng'],['DK35443/DK/NIDDK NIH HHS/United States'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,"['0 (Nuclear Proteins)', '0 (Repressor Proteins)', '0 (Transcription Factors)', '9004-22-2 (Globins)', '9034-63-3 (Fetal Hemoglobin)']",IM,"['Base Sequence', 'Chromosome Deletion', 'Fetal Hemoglobin/genetics', 'Globins/biosynthesis/*genetics', 'Humans', 'Leukemia, Erythroblastic, Acute/pathology', 'Molecular Sequence Data', 'Nuclear Proteins/*metabolism', '*Promoter Regions, Genetic', 'Repressor Proteins/metabolism', 'Thalassemia/classification/*genetics', 'Transcription Factors/*metabolism', 'Tumor Cells, Cultured']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Prog Clin Biol Res. 1989;316A:229-36.,19,,,,,,,,
2480607,NLM,MEDLINE,19900124,20051117,0361-7742 (Print) 0361-7742 (Linking),316A,,1989,Sites I and II upstream of the A gamma globin gene bind nuclear factors and affect gene expression.,139-48,"Five broad regions in and near the A gamma globin gene specifically bind proteins in K562 nuclear extracts. Two are located 5' of the gene, one between -1349 and -1094, and the other between -384 and +52. Each of the two introns has a binding region, +184 to +284 and +930 to +1209. The fifth binding region is within the A gamma globin gene enhancer, a 750 bp Hind III fragment located 3' to the gene. The nuclear factors which bind to any or all of these regions may be important for control of regulation of the A gamma globin gene. Since HPFH point mutations occur at -175, -196 and -202, we investigated K562 nuclear factor binding to this region more closely. Footprints were obtained for two binding sites, one from -168 to -185 (site II) and the other from -267 to -293 (site I). Site II contains an octamer sequence (ATGCAAAT) important for protein binding and expression of the histone H2b and immunoglobulin genes. The HPFH mutation at -175 changes the T in the octamer sequence to a C. Site I is upstream of the bases affected by HPFH mutations. A A gamma globin gene promoter - CAT reporter fusion gene was constructed with a clustered - base substitution of site I or a T----C point mutation at -175. The mutation in site I decreases CAT expression 20X compared to wild-type in erythroid and non-erythroid cells. Site I probably binds a positive regulator. The T----C change at -175 increases expression 2-3X over wild-type in erythroid cells, but not in non-erythroid cells. This increase correlates with the effect of the naturally occurring HPFH, and may result from decreased binding of a negative effector, and/or increased positive factor binding.","['Lloyd, J A', 'Lee, R F', 'Menon, A G', 'Lingrel, J B']","['Lloyd JA', 'Lee RF', 'Menon AG', 'Lingrel JB']","['Department of Molecular Genetics, Biochemistry and Microbiology, University of Cincinnati, Ohio 45267-0524.']",['eng'],,['Journal Article'],United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,"['0 (Nuclear Proteins)', '0 (Recombinant Fusion Proteins)', '0 (Transcription Factors)', '9004-22-2 (Globins)', '9034-63-3 (Fetal Hemoglobin)']",IM,"['Base Sequence', 'Fetal Hemoglobin/genetics', '*Gene Expression Regulation', 'Genes', 'Globins/biosynthesis/*genetics', 'Humans', 'Leukemia, Erythroblastic, Acute/pathology', 'Molecular Sequence Data', 'Nuclear Proteins/*metabolism', 'Recombinant Fusion Proteins/biosynthesis', '*Regulatory Sequences, Nucleic Acid', 'Thalassemia/genetics', 'Transcription Factors/*metabolism', 'Tumor Cells, Cultured']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Prog Clin Biol Res. 1989;316A:139-48.,,,,,,,,,
2480606,NLM,MEDLINE,19900124,20081121,0361-7742 (Print) 0361-7742 (Linking),316A,,1989,Nuclear proteins which bind the human gamma-globin gene.,129-38,,"['Gumucio, D L', 'Gray, T A', 'Rood, K L', 'Blanchard, K L', 'Collins, F S']","['Gumucio DL', 'Gray TA', 'Rood KL', 'Blanchard KL', 'Collins FS']","['Department of Internal Medicine, University of Michigan, Ann Arbor 48109.']",['eng'],,['Journal Article'],United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,"['0 (DNA-Binding Proteins)', '0 (Nuclear Proteins)', '0 (Recombinant Fusion Proteins)', '0 (Transcription Factors)', '9004-22-2 (Globins)', '9034-63-3 (Fetal Hemoglobin)']",IM,"['Cell Nucleus/analysis', 'DNA-Binding Proteins/*isolation & purification/metabolism', 'Fetal Hemoglobin/genetics', 'Gene Expression Regulation', 'Genes', 'Globins/biosynthesis/*genetics', 'Humans', 'Leukemia, Erythroblastic, Acute/pathology', 'Nuclear Proteins/*isolation & purification/metabolism', 'Promoter Regions, Genetic', 'Recombinant Fusion Proteins/biosynthesis', 'Thalassemia/genetics', 'Transcription Factors/isolation & purification/metabolism', 'Tumor Cells, Cultured']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Prog Clin Biol Res. 1989;316A:129-38.,,,,,,,,,
2480562,NLM,MEDLINE,19900119,20091119,0950-9232 (Print) 0950-9232 (Linking),4,12,1989 Dec,Murine myeloid leukemias with aberrant myb loci show heterogeneous expression of novel myb proteins.,1489-95,"Using a panel of anti-myb antibodies, we have examined the c-myb proteins present in the NFS-60 and ABPL-1, ABPL-2, and ABPL-4 tumor cell lines, all of which have an altered myb locus due to viral insertional mutagenesis. As predicted from previous DNA and RNA analysis, NFS-60 cells produce myb protein with a truncated C-terminus and a normal N-terminus. The three ABPL tumor cell lines studied here were previously shown to have undergone similar rearrangements towards the 5' end of myb locus and were expected to synthesize identical myb RNAs and proteins. These cell lines were found to produce myb proteins with N-terminal modifications. Surprisingly, however, the three cell lines were found to synthesize a heterogenous array of myb proteins of different sizes. These observations suggest that oncogenic activation of myb in ABPL tumors may involve additional changes in the coding region in addition to those occurring at the N-terminus.","['Dudek, H', 'Reddy, E P']","['Dudek H', 'Reddy EP']","['Wistar Institute, Philadelphia, Pennsylvania 19104.']",['eng'],"['1R01 CA 44463/CA/NCI NIH HHS/United States', '5T32 GM 07229/GM/NIGMS NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Oncogene,Oncogene,8711562,"['0 (Antibodies)', '0 (Epitopes)', '0 (Isoenzymes)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-myb)', '0 (RNA, Messenger)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Animals', 'Antibodies', 'Cell Line', 'Cell Nucleus/enzymology', 'Cytoplasm/enzymology', 'Epitopes/analysis', 'Isoenzymes/genetics', 'Leukemia, Experimental/enzymology/*genetics', 'Mice', 'Protein-Tyrosine Kinases/*genetics', 'Proto-Oncogene Proteins/*genetics/immunology', 'Proto-Oncogene Proteins c-myb', '*Proto-Oncogenes', 'RNA Splicing', 'RNA, Messenger/genetics']",1989/12/01 00:00,1989/12/01 00:01,['1989/12/01 00:00'],"['1989/12/01 00:00 [pubmed]', '1989/12/01 00:01 [medline]', '1989/12/01 00:00 [entrez]']",,ppublish,Oncogene. 1989 Dec;4(12):1489-95.,,,,,,,,,
