PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,AB,TT,PMC,OID,GN,OAB,OABL,OTO,OT,SI
7199021,NLM,MEDLINE,19820412,20190722,0340-6717 (Print) 0340-6717 (Linking),58,4,1981,Acute leukaemia and the same chromosome abnormality in monozygotic twins.,408-10,"['Hartley, S E', 'Sainsbury, C']","['Hartley SE', 'Sainsbury C']",['eng'],"['Case Reports', 'Journal Article']",Germany,Hum Genet,Human genetics,7613873,,IM,"['Acute Disease', 'Chromosome Banding', 'Chromosomes, Human, 19-20/*ultrastructure', '*Diseases in Twins', 'Female', 'Humans', 'Infant', 'Karyotyping', 'Leukemia/*genetics', 'Pregnancy', '*Trisomy', 'Twins, Monozygotic']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/BF00282824 [doi]'],ppublish,Hum Genet. 1981;58(4):408-10. doi: 10.1007/BF00282824.,,,,,,,,,,,
7199007,NLM,MEDLINE,19820412,20171116,0016-450X (Print) 0016-450X (Linking),72,5,1981 Oct,Enhancement of the antitumor effect of 6-mercaptopurine by vitamin A.,742-6,"['Akiyama, S', 'Masuda, A', 'Tabuki, T', 'Kuwano, M', 'Komiyama, S']","['Akiyama S', 'Masuda A', 'Tabuki T', 'Kuwano M', 'Komiyama S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Gan,Gan,0151745,"['11103-57-4 (Vitamin A)', 'E7WED276I5 (Mercaptopurine)']",IM,"['Animals', 'Cell Division', 'Drug Synergism', 'HeLa Cells/drug effects/physiology', 'Humans', 'Leukemia L1210/*drug therapy', 'Male', 'Mercaptopurine/pharmacology/*therapeutic use', 'Mice', 'Vitamin A/blood/pharmacology/*therapeutic use']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",,ppublish,Gan. 1981 Oct;72(5):742-6.,,"The inhibition of the growth of HeLa cells in culture by 6-mercaptopurine was greatly enhanced in combination with retinol, retinal or retinol acetate, but not in combination with retinoic acid or retinol palmitate. The antitumor effect of retinol palmitate combined with 6-mercaptopurine was examined in BDF1 mice with L1210 leukemia. The blood level of retinol, a strong potentiator of 6-mercaptopurine among vitamin A compounds, was increased in BDF1 mice after retinol palmitate injection. Retinol palmitate was found to enhance the antitumor effect of 6-mercaptopurine against murine L1210 leukemia to a significant extent (69% increase in life span).",,,,,,,,,
7198507,NLM,MEDLINE,19820326,20131121,0008-5472 (Print) 0008-5472 (Linking),42,1,1982 Jan,Continued expression of vinca alkaloid resistance by CCRF-CEM cells after treatment with tunicamycin or pronase.,184-9,"['Beck, W T', 'Cirtain, M C']","['Beck WT', 'Cirtain MC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Glycoproteins)', '11089-65-9 (Tunicamycin)', '5V9KLZ54CY (Vinblastine)', 'EC 3.4.24.- (Pronase)', 'N08U5BOQ1K (Glucosamine)']",IM,"['Animals', 'Biological Transport', 'Cell Line', 'Cell Survival/drug effects', 'Drug Resistance', 'Glucosamine/*analogs & derivatives', 'Glycoproteins/metabolism', 'Humans', 'Leukemia, Experimental/drug therapy', 'Pronase/*metabolism', 'Tunicamycin/*pharmacology', 'Vinblastine/metabolism/*pharmacology']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Jan;42(1):184-9.,"['CA-21765/CA/NCI NIH HHS/United States', 'CA-23099/CA/NCI NIH HHS/United States', 'R01 CA-30103/CA/NCI NIH HHS/United States']","We have shown that a glycoprotein(s) with a molecular weight of approximately 180,000 exists on the surface of cultured lymphoblasts selected for resistance to vinblastine (VLB) (CEM/VLB100). The amount of this glycoprotein, which is barely detectable on the VLB-sensitive cells (CEM), appears to be related in part to the degree of resistance, up to approximately 270-fold. Exposure of the cells to Pronase for 45 to 60 min or growth of the cells for 2 days in tunicamycin, an inhibitor of glycoprotein synthesis, resulted in the absence of the resistance-associated glycoproteins, as determined by polyacrylamide gel electrophoresis of these treated cells after labeling te cells either with sodium [3H]-borohydride or with [14C]- or [3H]glucosamine. Uptake studies with [3H]VLB revealed that CEM cells normally accumulated and retained more drug than did the CEM/VLB100 cells. While the tunicamycin or Pronase treatments slightly increased the uptake of drug by CEM cells, there was no enhanced uptake of [3H]VLB by the tunicamycin- or pronase-treated CEM/VLB100 cells, when compared with untreated controls, indicating that the loss of external surface glycoproteins did not render the resistant cells more ""leaky"" to drug influx. Additionally, diminished drug retention by the CEM/VLB100 cells was unaffected by these treatments. Moreover, when CEM/VLB100 cells were grown grown for 2 days in the presence of tunicamycin and several concentrations of VLB, no enhanced toxicity of VLB was noted. Other experiments with [14C]glucosamine and [3H]leucine revealed that treatment with tunicamycin did not affect the distribution of proteins in these cells. Taken together, these results permit the suggestion that the carbohydrate moiety of the cell surface resistance-associated glycoproteins does not mediate resistance to the alkaloid per se; however, a role for plasma membrane proteins cannot be ruled out at this time.",,,,,,,,,
7198317,NLM,MEDLINE,19820222,20071115,0340-2592 (Print) 0340-2592 (Linking),20,6,1981 Nov,[Therapy of priapism (author's transl)].,353-9,"['Marx, F J']",['Marx FJ'],['ger'],"['English Abstract', 'Journal Article']",Germany,Urologe A,Der Urologe. Ausg. A,1304110,,IM,"['Adolescent', 'Adult', 'Aged', 'Arteriovenous Shunt, Surgical/methods', 'Child', 'Erectile Dysfunction/etiology', 'Humans', 'Male', 'Middle Aged', 'Penis/blood supply', 'Postoperative Complications/etiology', 'Priapism/etiology/*surgery']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",,ppublish,Urologe A. 1981 Nov;20(6):353-9.,,"Due to the poor knowledge concerning etiology and pathophysiology of priapism the treatment necessarily remains largely symptomatic. There are two main therapeutic aims: 1. The penile detumescence in order to relief the often severe local pain and 2. the preservation of the compromised erectile potency. To compare different therapeutic principles a follow-up of our own relatively large series of 55 cases of priapism ((1962-1980) is presented. Conservation of potency was the criterion of therapeutic success. In idiopathic priapism 50% of the patients kept their potency after shunt-operations, whereas in priapism of known origin (""secondary priapism"" due to ileofemoral thrombosis, leukemia, hemodialysis) after different treatment methods (thrombolytic pharmacotherapy, shunt-operations) the result nearly always was a loss of potency. Considering the lower technical expense and the lower rate of complications today the transglandular cavernosum-spongiosum (cavernoglandular) shunt (Ebbehoj-Winter) is to be preferred to the cavernosum-saphenous (Grayhack) and cavernosum-spongiosum-shunt (Quackels).",Zur Therapie des Priapismus.,,,,,,,,
7198101,NLM,MEDLINE,19820222,20190708,0020-7136 (Print) 0020-7136 (Linking),28,1,1981 Jul 15,Influence of serum thymic factor (FTS) on radiation-induced leukaemogenesis in thymectomized AKR mice.,59-64,"['Legrand, E', 'Daculsi, R', 'Bach, J F', 'Duplan, J F']","['Legrand E', 'Daculsi R', 'Bach JF', 'Duplan JF']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,"['0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)', '0 (Thymus Hormones)', '9H198D04WL (Thymic Factor, Circulating)']",IM,"['Age Factors', 'Animals', 'Antibodies, Neoplasm/immunology', 'Antigens, Neoplasm/immunology', 'Female', 'Leukemia, Experimental/etiology/immunology', 'Leukemia, Radiation-Induced/*immunology', 'Male', 'Mice', 'Mice, Inbred AKR', 'Thymectomy', 'Thymic Factor, Circulating/*pharmacology', 'Thymus Hormones/*pharmacology']",1981/07/15 00:00,1981/07/15 00:01,['1981/07/15 00:00'],"['1981/07/15 00:00 [pubmed]', '1981/07/15 00:01 [medline]', '1981/07/15 00:00 [entrez]']",['10.1002/ijc.2910280111 [doi]'],ppublish,Int J Cancer. 1981 Jul 15;28(1):59-64. doi: 10.1002/ijc.2910280111.,,"The influence of serum thymic factor (FTS) on extrathymic leukaemogenesis induced in thymectomized AKR mice by fractionated sub-lethal irradiation was studied. Thirty-day-old thymectomized mice were submitted to four doses at weekly intervals (1.75 Gy) and thereafter treated with FTS (1 ng) for 9 days. Two groups were restored with either bone marrow or spleen cells prior to FTS treatment. In another group mice were treated with FTS (12 ng) for 1 month after thymectomy and prior to irradiation. Results indicated that primarily irradiation and FTS, and, to a lesser extent, restoration and age of the mice at the time of their first radiation exposure influenced leukaemogenesis. Irradiation increased the spontaneous low incidence of extrathymic leukaemia (5%) up to 50%. Although nothing is yet known about the expression of endogenous retroviruses in thymectomized AKR mice, the possible expression of leukaemogenic recombinants, either identical to or different from mink-cell-focus-inducing viruses (MCF), might explain this enhancing effect of radiation on leukaemogenesis. Mice developed two types of leukaemias: ""null"" leukaemias whose cells bore no detectable theta antigen or surface immunoglobulin, and B leukaemias. Among the null leukaemias, two kinds could be distinguished: ""early"" ones which were observed before 450 days, and in which BM and spleen were similarly involved, and ""late"" ones which displayed the same characteristics as B leukaemias, i.e. delayed appearance (after 450 days) and splenic origin. Although FTS did not modify the overall frequency of leukaemias, it increased significantly the incidence of the ""early"" null ones. It had no effect on the frequency or the latency of late null and B leukaemias. Any population of theta-negative T cells sensitive to FTS could be an acceptable candidate for ""early"" null leukaemogenesis. The origin of ""late"" null leukaemias remains an open question.",,,,,,,,,
7198097,NLM,MEDLINE,19820212,20130418,0971-5916 (Print) 0971-5916 (Linking),74,,1981 Jul,Millipore filter versus cytocentrifuge technique in cytopathological diagnosis.,135-40,"['Verma, K', 'Tiwari, M C']","['Verma K', 'Tiwari MC']",['eng'],"['Comparative Study', 'Journal Article']",India,Indian J Med Res,The Indian journal of medical research,0374701,,IM,"['Carcinoma, Squamous Cell/cerebrospinal fluid/diagnosis/urine', 'Carcinoma, Transitional Cell/cerebrospinal fluid/diagnosis/urine', '*Centrifugation', 'Cytodiagnosis/*methods', 'Female', 'Humans', 'Leukemia/cerebrospinal fluid/diagnosis/urine', 'Lymphoma/cerebrospinal fluid/diagnosis/urine', '*Micropore Filters', 'Urogenital Neoplasms/cerebrospinal fluid/diagnosis/urine']",1981/07/01 00:00,1981/07/01 00:01,['1981/07/01 00:00'],"['1981/07/01 00:00 [pubmed]', '1981/07/01 00:01 [medline]', '1981/07/01 00:00 [entrez]']",,ppublish,Indian J Med Res. 1981 Jul;74:135-40.,,,,,,,,,,,
7198010,NLM,MEDLINE,19820225,20131121,0361-5960 (Print) 0361-5960 (Linking),66,1,1982 Jan,Antitumor activity and toxicity of cisplatin analogs.,135-46,"['Rose, W C', 'Schurig, J E', 'Huftalen, J B', 'Bradner, W T']","['Rose WC', 'Schurig JE', 'Huftalen JB', 'Bradner WT']",['eng'],['Journal Article'],United States,Cancer Treat Rep,Cancer treatment reports,7607107,['Q20Q21Q62J (Cisplatin)'],IM,"['Animals', 'Cisplatin/analogs & derivatives/therapeutic use/toxicity', 'Colonic Neoplasms/drug therapy', 'Dose-Response Relationship, Drug', 'Female', 'Leukemia, Experimental/drug therapy', 'Lung Neoplasms/drug therapy', 'Male', 'Melanoma/drug therapy', 'Mice', 'Neoplasms, Experimental/*drug therapy']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1982 Jan;66(1):135-46.,,,,,,,,,,,
7198009,NLM,MEDLINE,19820225,20131121,0008-5472 (Print) 0008-5472 (Linking),41,12 Pt 1,1981 Dec,Effects of pulse and continuous intravenous infusion of cis-diamminedichloroplatinum on L1210 leukemia in vivo.,4993-6,"['Moran, R E', 'Straus, M J']","['Moran RE', 'Straus MJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,['Q20Q21Q62J (Cisplatin)'],IM,"['Animals', 'Cell Cycle/drug effects', 'Cell Division/drug effects', 'Cell Survival/drug effects', 'Cisplatin/*administration & dosage', 'Drug Administration Schedule', 'Injections, Intraperitoneal', 'Injections, Intravenous', 'Leukemia L1210/*drug therapy', 'Male', 'Mice']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']",,ppublish,Cancer Res. 1981 Dec;41(12 Pt 1):4993-6.,['CA-27719/CA/NCI NIH HHS/United States'],"The in vivo effects of cis-diamminedichloroplatinum on L1210 leukemia were determined using DNA content distribution analysis by flow microfluorometry and pulse [3H]thymidine labeling indices. Pulse and continuous infusion schedules were investigated. Pulse cis-diamminedichloroplatinum (2 and 6 mg/kg) resulted in progression delay of cells in S and G2 phases and at higher doses (greater than or equal to 12 mg/kg) in G1 as well. Equivalent total doses administered by continuous infusion over 24 to 72 hr delayed cells in G2 with little apparent affect on G1 or S progression. A maximum survival of 70% increased life span over controls was achieved with a 12-mg/kg pulse. Infusion doses at least 2-fold higher were required to achieve similar increases in survival. Cell cycle changes did not predict for therapeutic benefit, suggesting that, at suboptimal doses, cells were capable of repair. The therapeutic index for both modes of administration was narrow.",,,,,,,,,
7198006,NLM,MEDLINE,19820222,20171116,0008-5472 (Print) 0008-5472 (Linking),41,11 Pt 1,1981 Nov,"Basis of observed resistance of L1210 leukemia in mice: methotrexate, 6-thioguanine, 6-methylmercaptopurine riboside, 6-mercaptopurine, 5-fluorouracil, and 1-beta-D-arabinofuranosylcytosine administered in different combinations.",4529-34,"['Kim, K', 'Blechman, W J', 'Riddle, V G', 'Pardee, A B']","['Kim K', 'Blechman WJ', 'Riddle VG', 'Pardee AB']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '342-69-8 (Methylthioinosine)', 'E7WED276I5 (Mercaptopurine)', 'FTK8U1GZNX (Thioguanine)', 'U3P01618RT (Fluorouracil)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Antineoplastic Agents/*administration & dosage/pharmacology', 'Biotransformation', 'Cell Line', 'Cytarabine/pharmacology', 'Drug Evaluation, Preclinical', 'Drug Interactions', 'Drug Resistance', 'Drug Therapy, Combination', 'Fluorouracil/pharmacology', 'Leukemia L1210/*drug therapy', 'Male', 'Mercaptopurine/administration & dosage/pharmacology', 'Methotrexate/administration & dosage/pharmacology', 'Methylthioinosine/pharmacology', 'Mice', 'Mice, Inbred C57BL', 'Neoplasm Transplantation', 'Thioguanine/administration & dosage/pharmacology']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",,ppublish,Cancer Res. 1981 Nov;41(11 Pt 1):4529-34.,"['CA 19864/CA/NCI NIH HHS/United States', 'CA 22427/CA/NCI NIH HHS/United States']","Schmid et al. (Cancer Treat. Rep., 60: 23-27, 1976) reported rapid emergence of resistance of L1210 leukemia cells in mice to two schedules of six antimetabolites and much slower development of resistance to a third schedule. Such rapid development of resistance to six drugs presents a striking puzzle, and one whose solution gives some insights into the basis for general emergence of drug resistance. Our approach was to examine the consequences of applying these drugs singly or in pairs and, from the results, to infer interactions in six-drug combinations. 6-Thioguanine (TG) and 6-mercaptopurine are the key drugs since, as shown by Schmid et al., resistance of leukemic cells appeared to six-drug combinations at the same time as did resistance to the purine analogs; sensitivity to the other drugs remained. We demonstrated that cells which emerged were resistant to both of the purine analogs, owing to a deficiency of the activating enzyme hypoxanthine-guanine phosphoribosyltransferase. TG resistance arose in the presence of TG because of an overgrowth of TG-resistance mutants that were present as one cell in 10(4) in the original L1210 population. L1210 cultures were prepared free of TG-resistant mutants. With these cells, TG administered shortly after inoculation was very effective in delaying their death. The cells that finally grew out were still TG sensitive. Simultaneous treatment with all the drugs greatly delayed appearance of TG resistance in vivo and in vitro. Methotrexate alone was responsible for this result, owing to its ability preferentially to kill TG-resistant cells. The other three drugs were not effective in delaying TG resistance. Methotrexate was effective only if it was added daily; one large injection was ineffective. Therefore, TG and methotrexate added daily for 6 days (simultaneous schedule) was the most effective drug regimen tested.",,,,,,,,,
7197906,NLM,MEDLINE,19820120,20171116,0003-911X (Print) 0003-911X (Linking),51,5,1981,"[Antineoplastic activity of lambdamycin in different murine test models compared with cyclophosphamide, 6-mercaptopurine and 5-fluorouracil (author's transl)].",398-404,"['Gutsche, W', 'Wohlrabe, K', 'Jungstand, W', 'Fleck, W F']","['Gutsche W', 'Wohlrabe K', 'Jungstand W', 'Fleck WF']",['ger'],"['Comparative Study', 'Journal Article']",Germany,Arch Geschwulstforsch,Archiv fur Geschwulstforschung,0372411,"['0 (Benzopyrans)', '0 (Glycosides)', '8N3DW7272P (Cyclophosphamide)', 'E7WED276I5 (Mercaptopurine)', 'HS0H395E3O (chartreusin)', 'U3P01618RT (Fluorouracil)']",IM,"['Animals', 'Benzopyrans', 'Carcinoma/drug therapy', 'Cyclophosphamide/*therapeutic use', 'Fluorouracil/*therapeutic use', 'Glycosides/*therapeutic use', 'Leukemia, Experimental/*drug therapy', 'Melanoma/drug therapy', 'Mercaptopurine/*therapeutic use', 'Mice', 'Rats']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Arch Geschwulstforsch. 1981;51(5):398-404.,,"Lambdamycin, a chromoglycoside antibiotic like chartreusin was found to be very active against leukemias L 1210 and P 388 and moderate effective against melanoma B 16 and Lewis lung carcinoma of mice. It was nearly without any effect when tested on Walker 256 carcinoma of rats. The effectiveness of lambdamycin was compared with that of cyclophosphamide, 5-fluorouracil and 6-mercaptopurine.","Antineoplastische Wirksamkeit von Lambdamycin an verschiedenen murinen Testmodellen im Vergleich zur Wirkung von Cyclophosphamid, 6-Mercaptopurin and 5-Fluoruracil.",,,,,,,,
7197722,NLM,MEDLINE,19820128,20191031,0197-5110 (Print) 0197-5110 (Linking),1,3,1980,Lack of correlation between the glucocorticoid receptor density and the in vitro growth-inhibitory effect of dexamethasone in human leukemia cell lines.,459-72,"['Paavonen, T', 'Andersson, L C', 'Kontula, K']","['Paavonen T', 'Andersson LC', 'Kontula K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Recept Res,Journal of receptor research,8008358,"['0 (Receptors, Glucocorticoid)', '0 (Receptors, Steroid)', '7S5I7G3JQL (Dexamethasone)']",IM,"['Animals', 'Cell Division/drug effects', 'Cell Line', 'Dexamethasone/*pharmacology', 'Humans', 'Leukemia, Experimental/*metabolism', 'Leukocytes/drug effects/*metabolism', 'Receptors, Glucocorticoid/analysis/*drug effects', 'Receptors, Steroid/*drug effects']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.3109/10799898009038793 [doi]'],ppublish,J Recept Res. 1980;1(3):459-72. doi: 10.3109/10799898009038793.,,We have developed a whole cell binding assay with [3H]dexamethasone as the ligand for the measurement of the glucocorticoid receptor (GR) content of normal and malignant human leukocytes. A panel of eleven phenotypically well-defined human leukemia cell lines were investigated for their GR expression and in vitro sensitivity to glucocorticoids. There were great variations in the GR contents of different cell lines (2200-18100 sites/cell) while no marked differences in the binding affinities of the GRs were seen. No obvious correlation was found between the GR content and the phenotype of the cell line nor between the GR content and the in vitro growth inhibition by glucocorticoids.,,,,,,,,,
7197586,NLM,MEDLINE,19820120,20140603,,27,2-3,1981,The capping of liposomes on the surface of murine lymphoid and leukemic cells.,215-21,"['Rader, R L', 'Bourguignon, L Y']","['Rader RL', 'Bourguignon LY']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Cell Mol Biol Incl Cyto Enzymol,"Cellular and molecular biology, including cyto-enzymology",101189940,"['0 (Liposomes)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Animals', 'Cytoskeleton/physiology', 'Energy Metabolism', 'Leukemia, Experimental/*metabolism', 'Liposomes/*metabolism', 'Lymphocytes/*metabolism', 'Mice', 'Mice, Inbred Strains', 'Temperature', 'Trypsin/pharmacology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Cell Mol Biol Incl Cyto Enzymol. 1981;27(2-3):215-21.,"['AI 15258/AI/NIAID NIH HHS/United States', 'CA 18900/CA/NCI NIH HHS/United States']",,,,,,,,,,
7197582,NLM,MEDLINE,19820109,20190620,0008-543X (Print) 0008-543X (Linking),48,9,1981 Nov 1,Phase II trial of cis-dichlorodiammineplatinum (II) in advanced malignant lymphoma: a study of the cancer and acute leukemia group B.,1927-30,"['Cavalli, F', 'Jungi, W F', 'Nissen, N I', 'Pajak, T F', 'Coleman, M', 'Holland, J F']","['Cavalli F', 'Jungi WF', 'Nissen NI', 'Pajak TF', 'Coleman M', 'Holland JF']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,['Q20Q21Q62J (Cisplatin)'],IM,"['Adult', 'Aged', 'Cisplatin/adverse effects/*therapeutic use', 'Drug Evaluation', 'Female', 'Hodgkin Disease/*drug therapy', 'Humans', 'Leukocyte Count', 'Leukopenia/chemically induced', 'Lymphoma/*drug therapy', 'Male', 'Middle Aged', 'Neoplasm Metastasis', 'Platelet Count', 'Thrombocytopenia/chemically induced', 'Vomiting/chemically induced']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",['10.1002/1097-0142(19811101)48:9<1927::aid-cncr2820480902>3.0.co;2-# [doi]'],ppublish,Cancer. 1981 Nov 1;48(9):1927-30. doi: 10.1002/1097-0142(19811101)48:9<1927::aid-cncr2820480902>3.0.co;2-#.,"['CA-04457/CA/NCI NIH HHS/United States', 'CA-07968/CA/NCI NIH HHS/United States', 'CA-12886/CA/NCI NIH HHS/United States', 'etc.']","In a cooperative study of the Cancer and Acute Leukemia Group B, 27 evaluable patients with advanced malignant lymphomas were treated with 70 mg/m2 of cisdichlorodiammineplatinum(II) (cis-platinum) once every three weeks. All patients had received extensive prior therapy. Partial remission was obtained in two of eight patients (25%) with Hodgkin's disease, for six and 40 weeks, and in five of 19 (26%) patients with non-Hodgkin's lymphoma, for a median duration of six weeks. The major toxic effects were profuse vomiting and, to a lesser degree, myelosuppression. Nephrotoxicity was easily controlled. Cis-platinum is an active agent in lymphoma and should merit incorporation into combination therapy for recently diagnosed disease.",,,,,,,,,
7197523,NLM,MEDLINE,19811221,20190623,0006-2952 (Print) 0006-2952 (Linking),30,19,1981 Oct 1,Studies on the resistance of a murine leukemia L1210 cell line cis-diamminedichloroplatinum (II).,2721-3,"['Eastman, A', 'Bresnick, E']","['Eastman A', 'Bresnick E']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['3G6A5W338E (Caffeine)', 'Q20Q21Q62J (Cisplatin)']",IM,"['Animals', 'Caffeine/pharmacology', 'Cell Line', 'Cisplatin/*therapeutic use', 'Drug Resistance', 'Leukemia L1210/*drug therapy', 'Mice']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']","['0006-2952(81)90546-3 [pii]', '10.1016/0006-2952(81)90546-3 [doi]']",ppublish,Biochem Pharmacol. 1981 Oct 1;30(19):2721-3. doi: 10.1016/0006-2952(81)90546-3.,['CA 22435/CA/NCI NIH HHS/United States'],,,,,,,,,,
7197408,NLM,MEDLINE,19811221,20190727,0041-008X (Print) 0041-008X (Linking),61,1,1981 Oct,Alterations in the toxicity of cis-dichlorodiammineplatinum-II and in tissue localization of platinum as a function of NaCl concentration in the vehicle of administration.,99-108,"['Litterst, C L']",['Litterst CL'],['eng'],"['Comparative Study', 'Journal Article']",United States,Toxicol Appl Pharmacol,Toxicology and applied pharmacology,0416575,"['451W47IQ8X (Sodium Chloride)', '49DFR088MY (Platinum)', 'Q20Q21Q62J (Cisplatin)']",IM,"['Animals', 'Cisplatin/*administration & dosage/toxicity', 'Kidney/drug effects', 'Lethal Dose 50', 'Leukemia, Experimental/drug therapy', 'Male', 'Mice', 'Platinum/*metabolism', 'Sodium Chloride/*administration & dosage', 'Tissue Distribution']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1016/0041-008x(81)90011-9 [doi]'],ppublish,Toxicol Appl Pharmacol. 1981 Oct;61(1):99-108. doi: 10.1016/0041-008x(81)90011-9.,,,,,,,,,,,
