PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,PMC,AID,OID,OAB,OABL,OTO,OT,GN,RF,AD
914396,NLM,MEDLINE,19771229,20190708,0020-7136 (Print) 0020-7136 (Linking),20,4,1977 Oct 15,Two-step chromosomal control of tumorigenicity of Chinese hamster cells in nude mice.,572-80,"A simple method for microinjecting isolated chromosomes into a single living cell under an inverted microscope has been developed. Of the 368 injected cells, 85 were able to form a colony and could be cloned. Clones of Chinese hamster V79 cells microinjected with chromosomes isolated from murine D56 cells [V79 (D56) cells] were tested for tumorigenicity in immunodeficient nude mice and for colony-forming ability in soft agar. Untreated recipient V79 cells were highly tumorigenic and had a high colony-forming ability in soft agar. In contrast, two out of the 21 microinjected clones tested were non-tumorigenic in nude mice and had only weak colony-forming ability in soft agar. The chromosome banding pattern was analyzed in microinjected clones and tumors derived from cells of these clones. In cells of the two non-tumorigenic clones, a telocentric chhromosome 1 (t1) was specifically involved in translocations with other chromosomes or chromosome fragments. In all tumor cells obtained from nude mice, a supernumerary piece or a whole biarmed chromosome 14 (b14) was specifically found. The results suggest that the t1 chromosome bears the gene which controls in vitro transformation and that the additional genetic change, i.e. the extra piece of b14 chromosome, was required for tumor formation in vivo.","['Ebina, T', 'Koi, M', 'Ishida, N']","['Ebina T', 'Koi M', 'Ishida N']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,,IM,"['Animals', 'Cell Division', 'Cell Survival', '*Cell Transformation, Viral', 'Cells, Cultured', '*Chromosomes', 'Clone Cells', 'Cricetinae', 'Metaphase', 'Methods', 'Mice', 'Mice, Nude', 'Microinjections/instrumentation', 'Moloney murine leukemia virus', 'Neoplasms, Experimental/*genetics', 'Translocation, Genetic']",1977/10/15 00:00,1977/10/15 00:01,['1977/10/15 00:00'],"['1977/10/15 00:00 [pubmed]', '1977/10/15 00:01 [medline]', '1977/10/15 00:00 [entrez]']",ppublish,Int J Cancer. 1977 Oct 15;20(4):572-80. doi: 10.1002/ijc.2910200415.,,,['10.1002/ijc.2910200415 [doi]'],,,,,,,,
914144,NLM,MEDLINE,19771229,20061115,0015-8178 (Print) 0015-8178 (Linking),95,28,1977 Jul 28,[Modification of the plasmatic blood coagulation system by normal and leukemic leukocytes].,1753-6,"Homogenates of leukocytes of normal persons and of patients with acute and chronic leukemias have a weak tissue factor activity. The recalcification time is prolonged and the prothrombin consumption decreased, however, upon addition of these cell homogenates to the test mixture. The inhibition of the clotting is due to an antithrombin activity in the leukocytes. Massive cell destruction in chronic leukemias does not lead to a consumption coagulopathy. In acute leukemias a consumption coagulopathy following cell destruction is not uncommon.","['Hiller, E', 'Heni, N']","['Hiller E', 'Heni N']",['ger'],"['English Abstract', 'Journal Article']",Germany,Fortschr Med,Fortschritte der Medizin,2984763R,,IM,"['Acute Disease', '*Blood Coagulation', 'Blood Transfusion', 'Chronic Disease', 'Fibrinolysis', 'Humans', 'Leukemia/*blood/therapy', 'Leukocyte Transfusion', 'Leukocytes/*physiology', 'Transplantation, Homologous']",1977/07/28 00:00,1977/07/28 00:01,['1977/07/28 00:00'],"['1977/07/28 00:00 [pubmed]', '1977/07/28 00:01 [medline]', '1977/07/28 00:00 [entrez]']",ppublish,Fortschr Med. 1977 Jul 28;95(28):1753-6.,Die Beeinflussung des plasmatischen Gerinnungssystems durch normale und leukamische Leukozyten.,,,,,,,,,,
913491,NLM,MEDLINE,19771229,20190707,0014-4827 (Print) 0014-4827 (Linking),109,2,1977 Oct 15,Stimulation of sterol and DNA synthesis in leukemic blood cells by low concentrations of phytohemagglutinin.,253-62,,"['Chen, H W', 'Heiniger, H J', 'Kandutsch, A A']","['Chen HW', 'Heiniger HJ', 'Kandutsch AA']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Exp Cell Res,Experimental cell research,0373226,"['0 (Hydroxycholesterols)', '0 (Lectins)', '9007-49-2 (DNA)', '97C5T2UQ7J (Cholesterol)']",IM,"['Animals', 'Cholesterol/analogs & derivatives/*biosynthesis', 'DNA/*biosynthesis', 'Hydroxycholesterols/pharmacology', 'Kinetics', 'Lectins/*pharmacology', 'Leukemia, Experimental/*blood', 'Lymphocytes/drug effects/*metabolism', 'Mice', 'Mice, Inbred AKR']",1977/10/15 00:00,1977/10/15 00:01,['1977/10/15 00:00'],"['1977/10/15 00:00 [pubmed]', '1977/10/15 00:01 [medline]', '1977/10/15 00:00 [entrez]']",ppublish,Exp Cell Res. 1977 Oct 15;109(2):253-62. doi: 10.1016/0014-4827(77)90004-0.,,,['10.1016/0014-4827(77)90004-0 [doi]'],,,,,,,,
913474,NLM,MEDLINE,19771229,20190907,0014-2964 (Print) 0014-2964 (Linking),13,9,1977 Sep,Increased sensitivity of chronic lymphocytic leukemia lymphocytes to alkylating agents due to a deficient DNA repair mechanism.,1033-9,,"['Maurice, P A', 'Lederrey, C']","['Maurice PA', 'Lederrey C']",['eng'],['Journal Article'],England,Eur J Cancer,European journal of cancer,0074126,"['0 (DNA, Neoplasm)', '50D9XSG0VR (Mechlorethamine)']",IM,"['*DNA Repair', 'DNA, Neoplasm/*biosynthesis', 'Dose-Response Relationship, Drug', 'Humans', 'Hypersensitivity, Delayed', 'Leukemia, Lymphoid/immunology/*metabolism', 'Mechlorethamine/*pharmacology']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1977 Sep;13(9):1033-9. doi: 10.1016/0014-2964(77)90183-9.,,,['10.1016/0014-2964(77)90183-9 [doi]'],,,,,,,,
913277,NLM,MEDLINE,19771229,20071115,0012-0472 (Print) 0012-0472 (Linking),102,41,1977 Oct 14,[Prolymphocytic leukaemia: a new clinical entity (author's transl)].,1443-5,"A 67-year-old woman, at first diagnosed to have acute lymphocytic leukaemia, developed all the characteristic signs of so-called prolymphocytic leukaemia, namely severe general symptoms of illness, marked hepatosplenomegaly in the absence of lymphadenopathy, extreme leukocytosis (at times more than 1000 x 10(9)/l). Prolymphocytic leukaemia is now considered to be an especially unfavourable form of chronic lymphocytic leukaemia.","['Cavalli, F', 'Pedrinis, E', 'Ludin, J', 'Goldhirsch, A', 'Tatti, V']","['Cavalli F', 'Pedrinis E', 'Ludin J', 'Goldhirsch A', 'Tatti V']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,,IM,"['Aged', 'Autopsy', 'Diagnosis, Differential', 'Female', 'Hepatomegaly/complications', 'Humans', 'Leukemia, Lymphoid/*diagnosis/pathology', 'Leukocyte Count', 'Lymphocytes', 'Splenomegaly/complications']",1977/10/14 00:00,1977/10/14 00:01,['1977/10/14 00:00'],"['1977/10/14 00:00 [pubmed]', '1977/10/14 00:01 [medline]', '1977/10/14 00:00 [entrez]']",ppublish,Dtsch Med Wochenschr. 1977 Oct 14;102(41):1443-5. doi: 10.1055/s-0028-1105517.,Die prolymphozytare Leukamie: eine neue klinische Entitat. Ein kasuistischer Bericht mit Ubersicht uber die Literatur.,,['10.1055/s-0028-1105517 [doi]'],,,,,,,,
912746,NLM,MEDLINE,19771229,20190705,0092-8674 (Print) 0092-8674 (Linking),12,2,1977 Oct,"Infection of bone marrow cells in vitro with FLV: effects on stem cell proliferation, differentiation and leukemogenic capacity.",355-64,,"['Dexter, T M', 'Scott, D', 'Teich, N M']","['Dexter TM', 'Scott D', 'Teich NM']",['eng'],['Journal Article'],United States,Cell,Cell,0413066,"['11096-26-7 (Erythropoietin)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Cell Adhesion', 'Cell Division', 'Cells, Cultured', 'Clone Cells', 'Dimethyl Sulfoxide/pharmacology', 'Erythropoietin/pharmacology', 'Friend murine leukemia virus/*growth & development', '*Hematopoiesis', 'Hematopoietic Stem Cells/*cytology', 'Leukemia, Experimental/*etiology', 'Mice', 'Moloney murine leukemia virus/*growth & development', 'Temperature']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",ppublish,Cell. 1977 Oct;12(2):355-64. doi: 10.1016/0092-8674(77)90111-8.,,,"['0092-8674(77)90111-8 [pii]', '10.1016/0092-8674(77)90111-8 [doi]']",,,,,,,,
912506,NLM,MEDLINE,19771229,20071115,,25,7,1977,Nucleic acids isolated from the leukocytes of cattle with chronic lymphatic leukemia.,437-41,,"['Rogowski, W', 'Michas, J', 'Niedzwiecka, J', 'Galasinski, W']","['Rogowski W', 'Michas J', 'Niedzwiecka J', 'Galasinski W']",['eng'],['Journal Article'],Poland,Bull Acad Pol Sci Biol,Bulletin de l'Academie polonaise des sciences. Serie des sciences biologiques,7505346,['0 (Nucleic Acids)'],IM,"['Animals', 'Cattle', 'Cattle Diseases/*blood', 'Female', 'Leukemia, Lymphoid/blood/*veterinary', 'Leukocytes/*analysis', 'Nucleic Acids/*blood']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,Bull Acad Pol Sci Biol. 1977;25(7):437-41.,,,,,,,,,,,
911970,NLM,MEDLINE,19771229,20071115,0006-341X (Print) 0006-341X (Linking),33,3,1977 Sep,On the treatment of grouped observations in life studies.,463-70,"Assuming a model of proportional failure rates, Cox (1972) presents a systematic study of the use of covariates in the analysis of life time. The treatment of tied observations is a particularly troublesome point in both theory and application. It appears that grouping rather than discrete time is the right way to handle ties. This paper studies methodology for grouped observations. A logistic model, which makes explicit use of Cox's earlier binary data methods, is introduced and illustrated with a numerical example. The model leads back to Cox's proportional failure rates when the lengths of the grouping intervals approach zero. This limiting process provides some enlightenment on controversial issues such as ignoring intervals in which no failures occur, determining whether the covariates may be functions of time, and treating ties.","['Thompson, W A Jr']",['Thompson WA Jr'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Biometrics,Biometrics,0370625,,IM,"['Humans', 'Leukemia/drug therapy', '*Life Expectancy', 'Mathematics', 'Models, Biological', 'Remission, Spontaneous', 'Statistics as Topic']",1977/09/01 00:00,2001/03/28 10:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1977/09/01 00:00 [entrez]']",ppublish,Biometrics. 1977 Sep;33(3):463-70.,,,,,,,,,,,
911656,NLM,MEDLINE,19771229,20190515,0007-0920 (Print) 0007-0920 (Linking),36,2,1977 Aug,Enhanced growth of syngeneic Moloney sarcoma with decreased immunity in the regressors.,173-6,"S.c. cellular transplants of MS tumours have a high incidence of rejection in adult BALB/c mice, which can then be used as syngeneic regressors. When these tumours were inoculated within a glass cylinder which had been implanted s.c. in BALB/c mice 2 days earlier, 51% of the animals died with progressively growing tumours, compared with 2% in animals which had received the same inoculum directly s.c. This experimental model demonstrates tumour enhancement in a syngeneic system, and duplicates what has been previously reported in two different allogeneic tumour-host combinations, where it was demonstrated that immunological enhancement was operating, since the addition of either progressor serum or soluble tumour antigen significantly increased tumour incidence. For the purpose of investigating whether the glass cylinder model could also modify the immune response of the host to a second tumour challenge, a leukaemia virus known to crossreact with MS was used. Regressors were challenged i.p. with a lethal dose of a leukaemia virus, PLLV. Regressors bearing a glass cylinder showed a 22% survival rate which was significantly lower than that of the s.c. inoculated regressors (71%). This decrease in cross-immunity suggests that the artificially constructed privileged site created by the glass cylinder, by conditioning for tumour enhancement, also decreases immunological memory.","['Mayer, A M', 'Basombrio, M A', 'Pasqualini, C D']","['Mayer AM', 'Basombrio MA', 'Pasqualini CD']",['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,,IM,"['Animals', 'Cross Reactions', 'Disease Models, Animal', 'Female', 'Graft Rejection', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Neoplasm Transplantation', 'Retroviridae/immunology', 'Sarcoma, Experimental/*immunology', '*Transplantation Immunology', 'Transplantation, Isogeneic']",1977/08/01 00:00,1977/08/01 00:01,['1977/08/01 00:00'],"['1977/08/01 00:00 [pubmed]', '1977/08/01 00:01 [medline]', '1977/08/01 00:00 [entrez]']",ppublish,Br J Cancer. 1977 Aug;36(2):173-6. doi: 10.1038/bjc.1977.174.,,PMC2025461,['10.1038/bjc.1977.174 [doi]'],,,,,,,,
911394,NLM,MEDLINE,19771020,20190714,0042-6822 (Print) 0042-6822 (Linking),81,2,1977 Sep,Detection and quantitation of phenotypically mixed viruses: mixing of ecotropic and xenotropic murine leukemia viruses.,263-9,,"['Ishimoto, A', 'Hartley, J W', 'Rowe, W P']","['Ishimoto A', 'Hartley JW', 'Rowe WP']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,,IM,"['Cell Line', '*Friend murine leukemia virus/growth & development', '*Moloney murine leukemia virus/growth & development', '*Phenotype', 'Viral Interference', 'Viral Plaque Assay']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",ppublish,Virology. 1977 Sep;81(2):263-9. doi: 10.1016/0042-6822(77)90143-x.,,,['10.1016/0042-6822(77)90143-x [doi]'],,,,,,,,
911158,NLM,MEDLINE,19771130,20131121,0003-5637 (Print) 0003-5637 (Linking),22,9,1977 Sep,[Comparative experimental study of the antileukemia activity of carminomycin and rubomycin].,846-52,"The antileukemic activity of karminomycin and rubomycin was studied comparatively in parallel experiments with respect to 4 strains of transplantable leukemia, i.e. acute non-differentiated leukemia La, acute lymphoblast leukemia, L-1210 and P-388 and subacute lymphoblast leukemia No. 8 CRIHBT. The doses used were adequate by their toxicity. The tests of the therapeutic effectiveness were: an increase in the life time of the animals treated as compared to the control ones, a decrease in the leukocyte count and the number of the blast cells in the peripheral blood, a decrease in the leukemic infiltration of the organs and tissues of the animals treated. It was shown that karminomycin was more effective in the studied leukemia strains when it was used in the doses with equivalent toxicity. The more pronounced antileukemic activity of karminomycin was especially evident from histological examinations, which showed lower infiltration of the organs and tissues of the mice treated with karminomycin by the leukemic cells as compared to the animals treated with rubomycin.","['Khanykova, O K', 'Vinogorova, G F']","['Khanykova OK', 'Vinogorova GF']",['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Antibiotiki,Antibiotiki,0375020,"['0 (Antibiotics, Antineoplastic)', 'E7437K3983 (Carubicin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*therapeutic use', 'Carubicin/administration & dosage/*therapeutic use', 'Daunorubicin/administration & dosage/*therapeutic use', 'Drug Evaluation, Preclinical', 'Leukemia L1210/drug therapy/pathology', 'Leukemia, Experimental/*drug therapy/pathology', 'Mice', 'Neoplasm Transplantation', 'Time Factors']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",ppublish,Antibiotiki. 1977 Sep;22(9):846-52.,Sravnitel'noe izuchenie v eksperimente protivoleikoznoi aktivnosti karminomitsina i rubomitsina.,,,,,,,,,,
911089,NLM,MEDLINE,19771130,20031114,0002-9645 (Print) 0002-9645 (Linking),38,8,1977 Aug,"Dose response, prevention, and treatment of a transplantable lymphoid tumor.",1221-5,"Transplantable lymphoid tumor (TLT) cells in doses ranging from 10(2.43) to 10(6.80) were transplanted into 3-week-old chicks. A total of 199 chicks in 31 dosage groups was included in this 2-year study. Overall mortality was nearly 100% and analysis of the results revealed no significant differences in mortality among the groups. A significant (P less than 0.001) linear relationship existed between log10 of the TLT cell dose and mean survival time. Serum obtained from chickens which survived TLT growth, regression, and challenge inoculation was administered to chicks 4, 7, or 11 days before TLT induction. Of the chickens in each of these 3 groups, 80 to 100% survived compared with 0 to 20% in those given control serum. In chicks with actively growing TLT that were treated with 2 injections of plasma from TLT-resistant chickens, mean survival time was lengthened and survival was increased by 36%. Lymphocytes from resistant chickens or plasma od and survival was increased by 36%. Lymphocytes from resistant chickens or plasma or lymphocytes from control chickens did not affect survival time or percentage of survival. In the present study, results demonstrated a similarity to the TLT model studied 30 years ago and established the usefulness of this model in the study of serum immunotherapy.","['Walser, M M', 'Fletcher, O J Jr', 'Brown, J']","['Walser MM', 'Fletcher OJ Jr', 'Brown J']",['eng'],['Journal Article'],United States,Am J Vet Res,American journal of veterinary research,0375011,,IM,"['Animals', 'Avian Leukosis/*immunology/mortality/therapy', '*Chickens', 'Immunization, Passive', 'Immunotherapy', 'Lymphocytes/immunology', '*Neoplasm Transplantation', 'Transplantation, Homologous']",1977/08/01 00:00,2001/03/28 10:01,['1977/08/01 00:00'],"['1977/08/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1977/08/01 00:00 [entrez]']",ppublish,Am J Vet Res. 1977 Aug;38(8):1221-5.,,,,,,,,,,,
910806,NLM,MEDLINE,19771130,20190626,0002-9343 (Print) 0002-9343 (Linking),63,4,1977 Oct,A controlled study of the efficacy of granulocyte transfusions in patients with neutropenia.,548-55,"A randomized clinical trial to determine the efficacy of granulocyte transfusions in neutropenic patients with infection was conducted. Criteria for patient selection included a proved infection, a granulocyte count of less than 300/mm3, availability of a suitable donor and failure to respond to at least 72 horus of appropriate antibiotic therapy. Thirty patients were assigned at random to receive either granulocyte transfusions or to serve as a control group. Antibiotic therapy was continued in both groups. Responses were judged by the degree of diminution of infectious episodes and survival. The results showed that 11 of 13 control patients failed to respond during the period of observation, whereas 10 of 17 patients given transfusions responded. The results were statistically significantly different (p less than 0.05). The median survival was 22.5 days in the group given transfusions (group 2) and 7.7 in the control group (group 1) (p less than 0.01). The granulocyte transfusions were most effective in patients with hypocellular marrows who failed to recover during the period of observation. These results indicate that granulocyte transfusions are effective in the short-term control of infections in neutropenic patients.","['Vogler, W R', 'Winton, E F']","['Vogler WR', 'Winton EF']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",United States,Am J Med,The American journal of medicine,0267200,,IM,"['Adult', 'Agranulocytosis/*therapy', '*Blood Transfusion', 'Bone Marrow/pathology', 'Georgia', 'Granulocytes/*transplantation', 'Humans', 'Leukemia/complications/mortality', '*Leukocyte Transfusion', 'Middle Aged', 'Neutropenia/blood/complications/mortality/*therapy', 'Plasmapheresis', 'Remission, Spontaneous', 'Sepsis/etiology']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",ppublish,Am J Med. 1977 Oct;63(4):548-55. doi: 10.1016/0002-9343(77)90200-5.,,,"['0002-9343(77)90200-5 [pii]', '10.1016/0002-9343(77)90200-5 [doi]']",,,,,,,,
910434,NLM,MEDLINE,19771130,20061115,0507-3758 (Print) 0507-3758 (Linking),23,9,1977,[Change in the chromosome apparatus of somatic cells in the process of pretumorous and tumorous transformation of irradiated tissue].,86-7,,"[""Strel'tsova, V N"", 'Strashnenko, S I', 'Zhukova, I V']","[""Strel'tsova VN"", 'Strashnenko SI', 'Zhukova IV']",['rus'],"['Comparative Study', 'Journal Article']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,,IM,"['Animals', 'Bone Marrow/radiation effects/ultrastructure', 'Cell Transformation, Neoplastic/*radiation effects', 'Chromosomes/*radiation effects', 'Hematopoiesis/radiation effects', 'Hematopoietic Stem Cells/radiation effects', 'Karyotyping', 'Leukemia, Experimental/ultrastructure', 'Mice', 'Mice, Inbred C57BL', 'Precancerous Conditions/*ultrastructure']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,Vopr Onkol. 1977;23(9):86-7.,Izmenenie khromosomnogo apparata somaticheskikh kletok v protsesse predopukholevoi i opukholevoi transformatsii obluchennoi tkani.,,,,,,,,,,
910422,NLM,MEDLINE,19771130,20141120,0507-3758 (Print) 0507-3758 (Linking),23,9,1977,[Effect of interferon on the immune response of mice to immunization with the cells of transplantable leukemias and sarkomas].,44-50,"The treatment of cells L-1210 and MX-11 in vitro with interferon, prior to their injection to mice, caused an enhancement of specific humoral response and cytotoxic action of immune lymphocytes to Cr51 labelled target cells. The injecting of mice with allogeneic interferon-containing serum against the background of immunization with L-1210 cells produces an enhancing effect upon the immune response. Much more marked enhancing effect was observed when using syngeneic interferon-containing serum. Short-term treatment of lymphocytes, being immune to L-1210 cells, with interferon in vitro leads to the increase of their specific cytotoxicity to Cr51 labelled cells. Pre-treatment of leukemic cells with interferon would enhance their sensitivity to specific antibodies. It is suggested to use an active immunization of acute leukemia patients with allogeneic leukemic cells pre-incubated in interferon in combination with the injection of interferon-containing donor plasma.","['Skurkovich, S V', ""Ol'shanskaia, N V"", 'Kalinina, I A', 'Klinova, E G', 'Eremkina, E I']","['Skurkovich SV', ""Ol'shanskaia NV"", 'Kalinina IA', 'Klinova EG', 'Eremkina EI']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,['9008-11-1 (Interferons)'],IM,"['Animals', 'Antibody Specificity/drug effects', 'Antigen-Antibody Reactions/*drug effects', 'Cytotoxicity, Immunologic/drug effects', 'Immunity/drug effects', 'Immunity, Cellular/drug effects', '*Immunization', 'In Vitro Techniques', 'Interferons/*immunology', 'Leukemia L1210/immunology', 'Leukemia, Experimental/*immunology', 'Lymphocytes/immunology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred CBA', 'Mice, Inbred DBA', 'Neoplasm Transplantation', 'Sarcoma, Experimental/*immunology']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,Vopr Onkol. 1977;23(9):44-50.,Vliianie interferona na immunnyi otvet myshei pri immunizatsii kletkami perevivaemykh leikozov i sarkom.,,,,,,,,,,
910217,NLM,MEDLINE,19771130,20091111,0039-6087 (Print) 0039-6087 (Linking),145,5,1977 Nov,Surgical leukemia.,737,,"['Moore, G E', 'Prian, G']","['Moore GE', 'Prian G']",['eng'],['Editorial'],United States,Surg Gynecol Obstet,"Surgery, gynecology & obstetrics",0101370,,IM,"['Humans', 'Leukemia, Hairy Cell/*surgery', '*Splenectomy']",1977/11/01 00:00,1977/11/01 00:01,['1977/11/01 00:00'],"['1977/11/01 00:00 [pubmed]', '1977/11/01 00:01 [medline]', '1977/11/01 00:00 [entrez]']",ppublish,Surg Gynecol Obstet. 1977 Nov;145(5):737.,,,,,,,,,,,
909852,NLM,MEDLINE,19771130,20190713,0032-5481 (Print) 0032-5481 (Linking),62,4,1977 Oct,Acute renal failure after low-dose irradiation. A complication of chronic lymphocytic leukemia.,219-21,"A middle-aged woman received low-dose irradiation for treatment of chronic lymphocytic leukemia: 1,000 rads to the spleen in four sessions over four days and 400 rads to each abdominal quadrant in eight sessions over eight days. Three days after the last irradiation session, acute hyperuricemic renal failure developed and conservative treatment was begun, with use of hydration, forced diuresis, alkalization, and short-term peritoneal dialysis. Uric acid levels were carefully monitored. Renal function promptly returned to normal.","['Sarma, P R', 'Shah, P C', 'Patel, A R']","['Sarma PR', 'Shah PC', 'Patel AR']",['eng'],"['Case Reports', 'Journal Article']",England,Postgrad Med,Postgraduate medicine,0401147,['268B43MJ25 (Uric Acid)'],IM,"['Acute Kidney Injury/*etiology/therapy', 'Female', 'Humans', 'Leukemia, Lymphoid/*radiotherapy', 'Middle Aged', 'Radiotherapy/*adverse effects', 'Radiotherapy Dosage', 'Uric Acid/blood']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",ppublish,Postgrad Med. 1977 Oct;62(4):219-21. doi: 10.1080/00325481.1977.11714656.,,,['10.1080/00325481.1977.11714656 [doi]'],,,,,,,,
909758,NLM,MEDLINE,19771130,20161123,0301-1518 (Print) 0301-1518 (Linking),6,30,1977 Sep 17,[Angioimmunoblastic lymphadenopathy. Lymphographic study of 6 cases].,2687,,"['Serres, J J', 'Butori, P J', 'Coussement, A', 'Cassuto, G P']","['Serres JJ', 'Butori PJ', 'Coussement A', 'Cassuto GP']",['fre'],['Letter'],France,Nouv Presse Med,La Nouvelle presse medicale,0312552,,IM,"['Diagnosis, Differential', 'Hodgkin Disease/diagnosis', 'Humans', 'Leukemia, Lymphoid/diagnosis', 'Lymphatic Diseases/diagnosis/*diagnostic imaging', 'Lymphography']",1977/09/17 00:00,1977/09/17 00:01,['1977/09/17 00:00'],"['1977/09/17 00:00 [pubmed]', '1977/09/17 00:01 [medline]', '1977/09/17 00:00 [entrez]']",ppublish,Nouv Presse Med. 1977 Sep 17;6(30):2687.,Lymphadenopathie angio-immunoblastique. Etude lymphographique de 6 cas.,,,,,,,,,,
909707,NLM,MEDLINE,19771130,20151029,0030-6657 (Print) 0030-6657 (Linking),31,4,1977,[Otitis media of peculiar course presenting as chronic lymphatic leukemia].,457-8,,"['Lepkowski, A', 'Szumilas, K']","['Lepkowski A', 'Szumilas K']",['pol'],"['Case Reports', 'Journal Article']",Poland,Otolaryngol Pol,Otolaryngologia polska = The Polish otolaryngology,0404453,,IM,"['Aged', 'Female', 'Humans', 'Leukemia, Lymphoid/*complications/diagnosis', 'Otitis Media/*complications/diagnosis']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,Otolaryngol Pol. 1977;31(4):457-8.,Zapalenie ucha srodkowego o szczegolnym przebiegu jako pierwszy objaw przewleklej bialaczki limfatycznej.,,,,,,,,,,
909598,NLM,MEDLINE,19771130,20190617,0028-0836 (Print) 0028-0836 (Linking),269,5628,1977 Oct 6,l-Dopa methyl ester as a new antitumour agent.,512-3,,"['Wick, M M']",['Wick MM'],['eng'],['Journal Article'],England,Nature,Nature,0410462,"['0 (DNA, Neoplasm)', '46627O600J (Levodopa)']",IM,"['Animals', 'DNA, Neoplasm/biosynthesis', 'Leukemia, Experimental/*drug therapy', 'Levodopa/*analogs & derivatives/therapeutic use', 'Melanoma/*drug therapy', 'Mice', 'Neoplasms, Experimental/drug therapy']",1977/10/06 00:00,1977/10/06 00:01,['1977/10/06 00:00'],"['1977/10/06 00:00 [pubmed]', '1977/10/06 00:01 [medline]', '1977/10/06 00:00 [entrez]']",ppublish,Nature. 1977 Oct 6;269(5628):512-3. doi: 10.1038/269512a0.,,,['10.1038/269512a0 [doi]'],,,,,,,,
909557,NLM,MEDLINE,19771130,20041117,0028-4793 (Print) 0028-4793 (Linking),297,19,1977 Nov 10,Oral abnormalities in leukemia.,1069-70,,,,['eng'],['Letter'],United States,N Engl J Med,The New England journal of medicine,0255562,,IM,"['Humans', 'Leukemia/*complications', 'Mouth Diseases/prevention & control/*therapy', 'Oral Hygiene']",1977/11/10 00:00,1977/11/10 00:01,['1977/11/10 00:00'],"['1977/11/10 00:00 [pubmed]', '1977/11/10 00:01 [medline]', '1977/11/10 00:00 [entrez]']",ppublish,N Engl J Med. 1977 Nov 10;297(19):1069-70.,,,,,,,,,,,
