PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,SI,GR,TT,CI,LID,PMC,CON,EIN,DEP,CN,MID
11000985,NLM,MEDLINE,20001019,20191104,,12,1-2,1999 Mar-Jun,T-cell depletion of allogeneic peripheral blood stem cells.,87-98,"The high content of immunocompetent T-cells in apheresis products may expose recipients of allogeneic peripheral blood stem cells (PBSC) to an elevated risk of acute and chronic graft-versus-host disease (GvHD). Thus, the use of an appropriate T-cell reduction or depletion technique might reduce this risk. The hazards of rejection and of a higher relapse rate should be avoided by maintaining a portion of the T-cells in the graft or by increasing the number of transplanted stem cells. The positive selection of CD34+ cells from peripheral blood preparations simultaneously provides an approximately 1,000-fold reduction of T-cells. Purified CD34+ cells containing committed and pluripotent stem cells are suitable for allogeneic transplantation. In transplantation from HLA-mismatched or three HLA-loci different family donors the amount of stem cells can be increased for reducing the incidence of rejection without increasing the T-cell number. In cases of poor marrow graft function a 'boost' with stem cells from the same family donor can be given. The risk of GvHD in transplantation from volunteer-matched unrelated donors might be reduced by T-cell depletion. If T-cells are used for enhancing the graft-versus-leukaemia effect, CD34+ enriched cells can be given for haematopoietic engraftment.","['Link, H']",['Link H'],"['Department of Internal Medicine I, Westpfalz Medical Centre, Kaiserslautern, Germany.']",['eng'],"['Journal Article', 'Review']",England,Baillieres Best Pract Res Clin Haematol,Bailliere's best practice & research. Clinical haematology,100900679,"['0 (Antigens, CD34)']",IM,,"['Antigens, CD34/blood', 'Cell Separation/adverse effects/*methods/standards', 'Graft vs Host Disease/prevention & control', 'Hematopoietic Stem Cells/*cytology/immunology', 'Humans', 'Lymphocyte Depletion/*statistics & numerical data', '*T-Lymphocytes', 'Transplantation, Homologous/adverse effects/methods/standards']",67,2000/09/23 11:00,2000/10/21 11:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2000/10/21 11:01 [medline]', '2000/09/23 11:00 [entrez]']","['S1521692699900099 [pii]', '10.1053/beha.1999.0009 [doi]']",ppublish,Baillieres Best Pract Res Clin Haematol. 1999 Mar-Jun;12(1-2):87-98. doi: 10.1053/beha.1999.0009.,,,,,,,,,,,
11000959,NLM,MEDLINE,20001017,20061115,0037-9085 (Print) 0037-9085 (Linking),92,5 Pt 2,1999 Dec,[Is there an alternative to the amaril 17D vaccine?].,436,"The live attenuated yellow fever vaccine 17D was found as early as 1936 by M. Theiler of the Rockfeller Foundation. This strain of yellow fever is still the only one used today. The experience acquired with this vaccine has led to various changes in its composition: use of the seed lot system (in 1941) following the accidents observed in Brazil; elimination of human plasma as stabilising agent because of hepatitis B transmission (1942); preparation of a vaccine free of avian leukemia; perfection of a thermostable vaccine (1984). These various successive improvements resulted in one of the most effective vaccines. Over the past years, different ways of improving the vaccine have been envisaged: change of cellular substrate, purifications, development of a new vaccine through genetical engineering. We will review these different approaches in order to gauge their advantages and drawbacks both from a legislative and pharmaceutical point of view. It has been recently suggested that an infected cDNA clone from the 17D strain be used as a yellow fever vaccine or as a gene-vector for other flaviviruses. This most promising approach raises questions, notably ones of security and legislation which we will discuss.","['Saluzzo, J F']",['Saluzzo JF'],,['fre'],"['English Abstract', 'Journal Article']",France,Bull Soc Pathol Exot,Bulletin de la Societe de pathologie exotique (1990),9212564,['0 (Viral Vaccines)'],IM,,"['Animals', 'Humans', 'Technology, Pharmaceutical', '*Viral Vaccines/adverse effects', 'Yellow Fever/*prevention & control', 'Yellow fever virus/*immunology']",,2000/09/23 11:00,2000/10/21 11:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2000/10/21 11:01 [medline]', '2000/09/23 11:00 [entrez]']",,ppublish,Bull Soc Pathol Exot. 1999 Dec;92(5 Pt 2):436.,,,Ya-t-il une alternative au vaccin amaril 17D?,,,,,,,,
11000867,NLM,MEDLINE,20001005,20161021,1223-4974 (Print) 1223-4974 (Linking),35,1-2,1998 Jan-Jun,The effects of lithium in reversing hydroxyurea induced suppression of hematopoietic progenitor cells in vitro using retroviral infected long-term marrow cultures.,67-78,"Lithium has been known for its ability to induce the production of hematopoietic cells following administration in vivo to minimize the toxic effects on hematopoiesis as a consequence of drug treatment. The drug hydroxyurea (HU), a ribonucleotide reductase inhibitor, has been used in the treatment of a variety of neoplastic and non-neoplastic diseases, such as cancer and sickle cell anaemia. Hydroxyurea has more recently been implicated for use in the treatment of acquired immunodeficiency syndrome (AIDS). However, its major limitations have been due to its toxicity. Hydroxyurea selectively inhibits DNA synthesis and due to its brief duration, the drug is only toxic to those cells which are selectively synthesizing DNA during the period of exposure. The most important of these toxicities, and which serves as a dose limiting factor in treatment, is the induction of bone marrow suppression. In this study we investigated the possible beneficial effects of administering lithium (LiCl) to murine leukemia virus (MuLV) infected and non-infected long term bone marrow cultures (LTBMC). These cultures were then treated with either 0.2 mM hydroxyurea, 1.0 mM LiCl, or a combination of both. Samples were collected from LTBMC supernatants at 1, 2, 3, 4, 5 and 6 weeks post-treatment. Culture supernatants were then monitored to observe their repopulation of hematopoietic progenitors. The results demonstrated the effects of lithium in restoring hydroxyurea suppressed numbers of myeloid (CFU-GM) progenitors to within a normal range and also in re-establishing erythroid (BFU-E) progenitors.","['Oakley, O R', 'Hughes, N K', 'Phillips, J D', 'Birch, N J', 'Gallicchio, V S']","['Oakley OR', 'Hughes NK', 'Phillips JD', 'Birch NJ', 'Gallicchio VS']","['Biomedical Research Laboratory, School of Health Sciences, University of Wolverhampton, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",Romania,Rom J Physiol,Romanian journal of physiology : physiological sciences,9437433,"['0 (Nucleic Acid Synthesis Inhibitors)', 'G4962QA067 (Lithium Chloride)', 'X6Q56QN5QC (Hydroxyurea)']",IM,,"['Animals', 'Bone Marrow Cells/*pathology/*virology', 'Cell Count/drug effects', 'Cell Division/drug effects', 'Cells, Cultured', 'Erythroid Precursor Cells/pathology', 'Hematopoietic Stem Cells/*pathology', 'Hydroxyurea/*pharmacology', 'Lithium Chloride/*pharmacology', 'Mice', 'Mice, Inbred C57BL', 'Murine Acquired Immunodeficiency Syndrome/*pathology', 'Nucleic Acid Synthesis Inhibitors/*pharmacology', 'Reference Values']",,2000/09/23 11:00,2000/10/07 11:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2000/10/07 11:01 [medline]', '2000/09/23 11:00 [entrez]']",,ppublish,Rom J Physiol. 1998 Jan-Jun;35(1-2):67-78.,,,,,,,,,,,
11000861,NLM,MEDLINE,20001005,20161021,1223-4974 (Print) 1223-4974 (Linking),35,1-2,1998 Jan-Jun,The effects of lithium gamma-linolenic acid in reversing LPBM5 MuLV induced suppression of hematopoietic progenitor cells in vitro.,13-24,"Lithium gamma linolenic acid (Li-GLA), was evaluated for its possible role as an antiviral agent. Li-GLA 15 micrograms ml-1 was administered to both normal and LP-BM5 MuLV retroviral infected murine bone marrow cultures. After 2 weeks of treatment, numbers of progenitors being produced by infected/treated cultures were reduced to some 10% that of normal cultures. In the remaining 4 weeks, numbers of CFU-GM and BFU-E hematopoietic progenitors returned within normal range. The efficacy of Li-GLA in relieving retroviral hematopoietic bone marrow suppression correlates to a reduction in interleukin-4 (IL-4) secretion, normally elevated in association with LP-BMP5 infection. These data indicate that this reduction in bone marrow suppression of LP-BMP5 infected cells may be due to a killing of infected cells by the Li-GLA, rather than stimulating hematopoiesis as with other lithium compounds. To conclude this may indicate the possible dual effect of administration of LiGLA to virally infected individuals in reducing viral titre and to lower the toxicities associated with long term drug therapy.","['Oakley, O R', 'Hughes, N K', 'Birch, N J', 'Winther, M L', 'Horrobin, D F', 'Gallicchio, V S']","['Oakley OR', 'Hughes NK', 'Birch NJ', 'Winther ML', 'Horrobin DF', 'Gallicchio VS']","['Biomedical Research Laboratory, School of Health Sciences, University of Wolverhampton, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",Romania,Rom J Physiol,Romanian journal of physiology : physiological sciences,9437433,"['0 (Antiviral Agents)', '0 (Transforming Growth Factor beta)', '207137-56-2 (Interleukin-4)', '78YC2MAX4O (gamma-Linolenic Acid)']",IM,,"['Animals', 'Antiviral Agents/*pharmacology', 'Cell Count/drug effects', 'Cells, Cultured', 'Erythroid Precursor Cells/drug effects/pathology', 'Hematopoietic Stem Cells/drug effects/metabolism/*pathology', 'Interleukin-4/metabolism', 'Leukemia Virus, Murine/physiology', 'Megakaryocytes/drug effects/pathology', 'Mice', 'Mice, Inbred C57BL', 'Murine Acquired Immunodeficiency Syndrome/metabolism/*pathology/virology', 'Transforming Growth Factor beta/metabolism', 'Virus Replication', 'gamma-Linolenic Acid/*pharmacology']",,2000/09/23 11:00,2000/10/07 11:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2000/10/07 11:01 [medline]', '2000/09/23 11:00 [entrez]']",,ppublish,Rom J Physiol. 1998 Jan-Jun;35(1-2):13-24.,,,,,,,,,,,
11000572,NLM,MEDLINE,20010104,20190718,0959-8049 (Print) 0959-8049 (Linking),36,15,2000 Oct,Surveillance for stage I testicular germ cell tumours: results and cost benefit analysis of management options.,1925-32,"Between 1979 and 1996 303 men with stage I testicular germ cell tumours (120 seminoma and 183 non-seminomatous germ cell tumours (NSGCT)) were enrolled onto a programme of surveillance. In our institutions the frequency of computed tomography (CT) scans is reduced compared with other centres. For all 303 men, the median follow-up is 5.1 years (range: 0.1-21.7 years) and there have only been 3 deaths (1 from disease, 1 from neutropenic sepsis and 1 from secondary leukaemia). 52/183 (28%) patients with NSGCT and 18/120 (15%) patients with seminoma have relapsed. The relapse-free survival at 5 years is 82% for seminoma and 69% for NSGCT (Logrank P=0.004). All men who relapsed, except 1 man with NSGCT, were in the International Germ Cell Cancer Collaborative Group good or intermediate prognosis group at relapse. Half of the seminoma relapses presented with symptoms and 31% of the NSGCT relapses. The remaining relapses were detected serologically or radiologically by the surveillance programme. 5 men (2%) on surveillance, 3 with initial diagnosis of seminoma and 2 with NSGCT, have developed second contralateral testis tumours (all stage I seminomas). In a well motivated centre a policy of surveillance for stage I testicular germ cell tumours (both NSGCT and seminoma) is associated with a low mortality rate (3/303, 1%) and may have the advantage of sparing overtreatment with potentially toxic therapies in this group of young men.","['Francis, R', 'Bower, M', 'Brunstrom, G', 'Holden, L', 'Newlands, E S', 'Rustin, G J', 'Seckl, M J']","['Francis R', 'Bower M', 'Brunstrom G', 'Holden L', 'Newlands ES', 'Rustin GJ', 'Seckl MJ']","['Department of Oncology, Royal Free Hospital, Rowland Hill Street, London NW3 2PF, UK.']",['eng'],['Journal Article'],England,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",9005373,,IM,['Eur J Cancer. 2000 Oct;36(15):1891-4. PMID: 11000565'],"['Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Child, Preschool', 'Cost-Benefit Analysis', 'Disease-Free Survival', 'Follow-Up Studies', 'Germinoma/drug therapy/pathology/*surgery', 'Humans', 'Infant', 'Male', 'Neoplasm Recurrence, Local/diagnosis', 'Neoplasms, Second Primary/drug therapy', 'Orchiectomy/methods', 'Program Evaluation', 'Seminoma/drug therapy/pathology/*surgery', 'Testicular Neoplasms/drug therapy/pathology/*surgery']",,2000/09/23 11:00,2001/02/28 10:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/09/23 11:00 [entrez]']","['S0959-8049(00)00140-4 [pii]', '10.1016/s0959-8049(00)00140-4 [doi]']",ppublish,Eur J Cancer. 2000 Oct;36(15):1925-32. doi: 10.1016/s0959-8049(00)00140-4.,,,,,,,,,,,
11000257,NLM,MEDLINE,20001012,20210107,0022-538X (Print) 0022-538X (Linking),74,20,2000 Oct,"Cellular and species resistance to murine amphotropic, gibbon ape, and feline subgroup C leukemia viruses is strongly influenced by receptor expression levels and by receptor masking mechanisms.",9797-801,"Chinese hamster ovary (CHO) cells are resistant to infections by gibbon ape leukemia virus (GALV) and amphotropic murine leukemia virus (A-MLV) unless they are pretreated with tunicamycin, an inhibitor of N-linked glycosylation. These viruses use the related sodium-phosphate symporters Pit1 and Pit2, respectively, as receptors in nonhamster cells, and evidence has suggested that the corresponding transporters of CHO cells may be masked by tunicamycin-sensitive secreted inhibitors. Although the E36 line of Chinese hamster cells was reported to secrete the putative Pit2 inhibitor and to be sensitive to the inhibitory CHO factors, E36 cells are highly susceptible to both GALV and A-MLV in the absence of tunicamycin. Moreover, expression of E36 Pit2 in CHO cells conferred tunicamycin-independent susceptibilities to both viruses. Based on the latter results, it was suggested that E36 Pit2 must functionally differ from the endogenous Pit2 of CHO cells. To test these ideas, we analyzed the receptor properties of CHO Pit1 and Pit2 in CHO cells. Surprisingly, and counterintuitively, transfection of a CHO Pit2 expression vector into CHO cells conferred strong susceptibility to both GALV and A-MLV, and similar overexpression of CHO Pit1 conferred susceptibility to GALV. Thus, CHO Pit2 is a promiscuous functional receptor for both viruses, and CHO Pit1 is a functional receptor for GALV. Similarly, we found that the natural resistance of Mus dunni tail fibroblasts to subgroup C feline leukemia viruses (FeLV-C) was eliminated simply by overexpression of the endogenous FeLV-C receptor homologue. These results demonstrate a novel and simple method to unmask latent retroviral receptor activities that occur in some cells. Specifically, resistances to retroviruses that are caused by subthreshold levels of receptor expression or by stoichiometrically limited masking or interference mechanisms can be efficiently overcome simply by overexpressing the endogenous receptors in the same cells.","['Tailor, C S', 'Nouri, A', 'Kabat, D']","['Tailor CS', 'Nouri A', 'Kabat D']","['Department of Biochemistry and Molecular Biology, Oregon Health Sciences University, Portland, Oregon 97201-3098, USA. tailorc@ohsu.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Receptors, Virus)', '0 (leukemia virus receptor, gibbon ape)', '11089-65-9 (Tunicamycin)']",IM,,"['Amino Acid Sequence', 'Animals', 'CHO Cells', 'Cricetinae', 'Leukemia Virus, Feline/*physiology', 'Leukemia Virus, Gibbon Ape/*physiology', 'Mice', 'Molecular Sequence Data', 'Receptors, Virus/*analysis/physiology', 'Tunicamycin/pharmacology']",,2000/09/23 11:00,2000/10/14 11:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/09/23 11:00 [entrez]']",['10.1128/jvi.74.20.9797-9801.2000 [doi]'],ppublish,J Virol. 2000 Oct;74(20):9797-801. doi: 10.1128/jvi.74.20.9797-9801.2000.,"['GENBANK/AF239675', 'GENBANK/AF239767']","['WT_/Wellcome Trust/United Kingdom', 'R01 CA083835/CA/NCI NIH HHS/United States', 'CA83835/CA/NCI NIH HHS/United States', 'CA25810/CA/NCI NIH HHS/United States']",,,,PMC112417,,,,,
11000248,NLM,MEDLINE,20001012,20190508,0022-538X (Print) 0022-538X (Linking),74,20,2000 Oct,Long terminal repeat regions from exogenous but not endogenous feline leukemia viruses transactivate cellular gene expression.,9742-8,"We have previously reported that the long terminal repeat (LTR) region of feline leukemia viruses (FeLVs) can enhance expression of certain cellular genes such as the collagenase IV gene and MCP-1 in trans (S. K. Ghosh and D. V. Faller, J. Virol. 73:4931-4940, 1999). Genomic DNA of all healthy feline species also contains LTR-like sequences that are related to exogenous FeLV LTRs. In this study, we evaluated the cellular gene transactivational potential of these endogenous FeLV LTR sequences. Unlike their exogenous FeLV counterparts, neither nearly full-length endogenous FeLV molecular clones (CFE-6 and CFE-16) nor their isolated LTRs were able to activate collagenase IV gene or MCP-1 expression in transient transfection assays. We had also demonstrated previously that production of an RNA transcript from exogenous FeLV LTRs correlates with their transactivational activity. In the present study, we demonstrate that the endogenous FeLV LTRs do not generate LTR-specific RNA transcripts in the feline embryo fibroblast cell line AH927. Furthermore, infection of AH927 cells by an exogenous FeLV subgroup A virus did not induce production of such LTR-specific transcripts from the endogenous proviral genomes, although the LTR-specific transcripts from the exogenous virus were readily detected. Finally, LTR-specific transcripts were not generated in BALB/3T3 cells transiently transfected with isolated CFE-6 LTR, in contrast to transfections with LTRs from exogenous viruses. Our data thus suggest that the inability of endogenous FeLV LTRs in gene transactivation is not due to cell line specificity or presence of any upstream inhibitory cis-acting element. Endogenous, nonleukemogenic FeLV LTRs, therefore, do not transactivate cellular gene expression, and this property appears to be specific to exogenous, leukemogenic FeLVs.","['Ghosh, S K', 'Roy-Burman, P', 'Faller, D V']","['Ghosh SK', 'Roy-Burman P', 'Faller DV']","['Cancer Research Center, Boston University School of Medicine, Boston, Massachusetts 02118, USA. sajal@bu.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,,IM,,"['3T3 Cells', 'Animals', 'Base Sequence', 'Cats', 'Leukemia Virus, Feline/*genetics', 'Mice', 'Molecular Sequence Data', '*Terminal Repeat Sequences', '*Transcriptional Activation']",,2000/09/23 11:00,2000/10/14 11:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/09/23 11:00 [entrez]']",['10.1128/jvi.74.20.9742-9748.2000 [doi]'],ppublish,J Virol. 2000 Oct;74(20):9742-8. doi: 10.1128/jvi.74.20.9742-9748.2000.,,"['CA50459/CA/NCI NIH HHS/United States', 'P60AR20613/AR/NIAMS NIH HHS/United States']",,,,PMC112408,,,,,
11000247,NLM,MEDLINE,20001012,20190508,0022-538X (Print) 0022-538X (Linking),74,20,2000 Oct,Critical role for the cysteines flanking the internal fusion peptide of avian sarcoma/leukosis virus envelope glycoprotein.,9738-41,"The transmembrane subunit (TM) of the envelope glycoprotein (Env) of the oncovirus avian sarcoma/leukosis virus (ASLV) contains an internal fusion peptide flanked by two cysteines (C9 and C45). These cysteines, as well as an analogous pair in the Ebola virus GP glycoprotein, are predicted to be joined by a disulfide bond. To examine the importance of these cysteines, we mutated C9 and C45 in the ASLV subtype A Env (EnvA), individually and together, to serine. All of the mutant EnvAs formed trimers that were composed of the proteolytically processed surface (SU) and TM subunits. All mutant EnvAs were incorporated into murine leukemia virus pseudotyped virions and bound receptor with wild-type affinity. Nonetheless, all mutant EnvAs were significantly impaired ( approximately 1,000-fold) in their ability to support infectivity. They were also significantly impaired in their ability to mediate cell-cell fusion. Our data are consistent with a model in which the internal fusion peptide of ASLV-A EnvA exists as a loop that is stabilized by a disulfide bond at its base and in which this stabilized loop serves an important function during virus-cell fusion. The fusion peptide of the Ebola virus GP glycoprotein may conform to a similar structure.","['Delos, S E', 'White, J M']","['Delos SE', 'White JM']","['Department of Cell Biology, School of Medicine, University of Virginia Health System, Charlottesville, Virginia 22908, USA. sed7a@unix.virginia.edu']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Disulfides)', '0 (Viral Fusion Proteins)']",IM,,"['Alpharetrovirus/*chemistry', 'Cell Fusion', 'Disulfides', 'Protein Conformation', 'Viral Fusion Proteins/*chemistry/physiology']",,2000/09/23 11:00,2000/10/14 11:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/09/23 11:00 [entrez]']",['10.1128/jvi.74.20.9738-9741.2000 [doi]'],ppublish,J Virol. 2000 Oct;74(20):9738-41. doi: 10.1128/jvi.74.20.9738-9741.2000.,,['A122470/PHS HHS/United States'],,,,PMC112407,,,,,
11000235,NLM,MEDLINE,20001012,20190508,0022-538X (Print) 0022-538X (Linking),74,20,2000 Oct,Structure-based moloney murine leukemia virus reverse transcriptase mutants with altered intracellular direct-repeat deletion frequencies.,9629-36,"Template switching rates of Moloney murine leukemia virus reverse transcriptase mutants were tested using a retroviral vector-based direct-repeat deletion assay. The reverse transcriptase mutants contained alterations in residues that modeling of substrates into the catalytic core had suggested might affect interactions with primer and/or template strands. As assessed by the frequency of functional lacZ gene generation from vectors in which lacZ was disrupted by insertion of a sequence duplication, the frequency of template switching varied more than threefold among fully replication-competent mutants. Some mutants displayed deletion rates that were lower and others displayed rates that were higher than that of wild-type virus. Replication for the mutants with the most significant alterations in template switching frequencies was similar to that of the wild type. These data suggest that reverse transcriptase template switching rates can be altered significantly without destroying normal replication functions.","['Pfeiffer, J K', 'Georgiadis, M M', 'Telesnitsky, A']","['Pfeiffer JK', 'Georgiadis MM', 'Telesnitsky A']","['Department of Microbiology and Immunology, University of Michigan Medical School, Ann Arbor, Michigan 48109-0620, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['9007-49-2 (DNA)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",IM,,"['DNA/biosynthesis', 'Moloney murine leukemia virus/*genetics', 'Mutation', 'RNA-Directed DNA Polymerase/*chemistry', 'Tandem Repeat Sequences', '*Transcription, Genetic', 'Virus Replication']",,2000/09/23 11:00,2000/10/14 11:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/09/23 11:00 [entrez]']",['10.1128/jvi.74.20.9629-9636.2000 [doi]'],ppublish,J Virol. 2000 Oct;74(20):9629-36. doi: 10.1128/jvi.74.20.9629-9636.2000.,,"['R01 GM055026/GM/NIGMS NIH HHS/United States', 'T32 GM007544/GM/NIGMS NIH HHS/United States', '5R01GM55026/GM/NIGMS NIH HHS/United States', 'T32 GM 07544/GM/NIGMS NIH HHS/United States']",,,,PMC112395,,,,,
11000233,NLM,MEDLINE,20001012,20190508,0022-538X (Print) 0022-538X (Linking),74,20,2000 Oct,Prevention of adult T-cell leukemia-like lymphoproliferative disease in rats by adoptively transferred T cells from a donor immunized with human T-cell leukemia virus type 1 Tax-coding DNA vaccine.,9610-6,"Human T-cell leukemia virus type 1 (HTLV-1) causes adult T-cell leukemia (ATL) in infected individuals after a long incubation period. To dissect the mechanisms of the development of the disease, we have previously established a rat model of ATL-like disease which allows examination of the growth and spread of HTLV-1 infected tumor cells, as well assessment of the effects of immune T cells on the development of the disease. In the present study, we induced HTLV-1 Tax-specific cytotoxic T lymphocyte (CTL) immunity by vaccination with Tax-coding DNA and examined the effects of the DNA vaccine in our rat ATL-like disease model. Our results demonstrated that DNA vaccine with Tax effectively induced Tax-specific CTL activity in F344/N Jcl-rnu/+ (nu/+) rats and that these CTLs were able to lyse HTLV-1 infected syngeneic T cells in vitro. Adoptive transfer of these immune T cells effectively inhibited the in vivo growth of HTLV-1-transformed tumor in F344/N Jcl-rnu/rnu (nu/nu) rats inoculated with a rat HTLV-1 infected T cell line. Vaccination with mutant Tax DNA lacking transforming ability also induced efficient anti-tumor immunity in this model. Our results indicated a promising effect for DNA vaccine with HTLV-1 Tax against HTLV-1 tumor development in vivo.","['Ohashi, T', 'Hanabuchi, S', 'Kato, H', 'Tateno, H', 'Takemura, F', 'Tsukahara, T', 'Koya, Y', 'Hasegawa, A', 'Masuda, T', 'Kannagi, M']","['Ohashi T', 'Hanabuchi S', 'Kato H', 'Tateno H', 'Takemura F', 'Tsukahara T', 'Koya Y', 'Hasegawa A', 'Masuda T', 'Kannagi M']","['Department of Immunotherapeutics, Tokyo Medical and Dental University, Medical Research Division, Tokyo 113, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,"['0 (Gene Products, tax)', '0 (Vaccines, DNA)', '0 (Viral Vaccines)']",IM,,"['*Adoptive Transfer', 'Animals', 'Cell Line', 'Female', 'Gene Products, tax/genetics/*immunology', 'Human T-lymphotropic virus 1/*immunology', 'Immunization', 'Leukemia-Lymphoma, Adult T-Cell/*prevention & control', 'Lymphoproliferative Disorders/*prevention & control', 'Rats', 'Rats, Inbred F344', 'T-Lymphocytes, Cytotoxic/immunology', 'Vaccines, DNA/*immunology', 'Viral Vaccines/*immunology']",,2000/09/23 11:00,2000/10/14 11:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/09/23 11:00 [entrez]']",['10.1128/jvi.74.20.9610-9616.2000 [doi]'],ppublish,J Virol. 2000 Oct;74(20):9610-6. doi: 10.1128/jvi.74.20.9610-9616.2000.,,,,,,PMC112393,,,,,
11000228,NLM,MEDLINE,20001012,20190508,0022-538X (Print) 0022-538X (Linking),74,20,2000 Oct,Utilization of nonviral sequences for minus-strand DNA transfer and gene reconstitution during retroviral replication.,9571-9,"Minus-strand DNA transfer, an essential step in retroviral reverse transcription, is mediated by the two repeat (R) regions in the viral genome. It is unclear whether R simply serves as a homologous sequence to mediate the strand transfer or contains specific sequences to promote strand transfer. To test the hypothesis that the molecular mechanism by which R mediates strand transfer is based on homology rather than specific sequences, we examined whether nonviral sequences can be used to facilitate minus-strand DNA transfer. The green fluorescent protein (GFP) gene was divided into GF and FP fragments, containing the 5' and 3' portions of GFP, respectively, with an overlapping F fragment (85 bp). FP and GF were inserted into the 5' and 3' long terminal repeats, respectively, of a murine leukemia virus-based vector. Utilization of the F fragment to mediate minus-strand DNA transfer should reconstitute GFP during reverse transcription. Flow cytometry analyses demonstrated that GFP was expressed in 73 to 92% of the infected cells, depending on the structure of the viral construct. This indicated that GFP was reconstituted at a high frequency; molecular characterization further confirmed the accurate reconstitution of GFP. These data indicated that nonviral sequences could be used to efficiently mediate minus-strand DNA transfer. Therefore, placement and homology, not specific sequence context, are the important elements in R for minus-strand DNA transfer. In addition, these experiments demonstrate that minus-strand DNA transfer can be used to efficiently reconstitute genes for gene therapy applications.","['Cheslock, S R', 'Anderson, J A', 'Hwang, C K', 'Pathak, V K', 'Hu, W S']","['Cheslock SR', 'Anderson JA', 'Hwang CK', 'Pathak VK', 'Hu WS']","['Department of Microbiology and Immunology, West Virginia University, Morgantown, West Virginia, 26506, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Luminescent Proteins)', '0 (RNA, Messenger)', '147336-22-9 (Green Fluorescent Proteins)']",IM,,"['3T3 Cells', 'Animals', 'Genetic Therapy', 'Green Fluorescent Proteins', 'Luminescent Proteins/genetics', 'Mice', 'RNA, Messenger/analysis', 'Retroviridae/*genetics', 'Terminal Repeat Sequences', '*Transcription, Genetic', '*Virus Replication']",,2000/09/23 11:00,2000/10/14 11:01,['2000/09/23 11:00'],"['2000/09/23 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/09/23 11:00 [entrez]']",['10.1128/jvi.74.20.9571-9579.2000 [doi]'],ppublish,J Virol. 2000 Oct;74(20):9571-9. doi: 10.1128/jvi.74.20.9571-9579.2000.,,,,,,PMC112388,,,,,
