PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,SB,AID,AB,RF,PMC,AD,GR,OID
253618,NLM,MEDLINE,19790516,20041117,0162-220X (Print) 0162-220X (Linking),2,1,1979 Feb,How adolescents live with leukemia.,27-31,"['Fochtman, D']",['Fochtman D'],['eng'],['Journal Article'],United States,Cancer Nurs,Cancer nursing,7805358,,"['*Adaptation, Psychological', '*Adolescent', 'Attitude to Death', 'Humans', 'Interpersonal Relations', 'Leukemia/*psychology', 'Peer Group']",1979/02/01 00:00,1979/02/01 00:01,['1979/02/01 00:00'],"['1979/02/01 00:00 [pubmed]', '1979/02/01 00:01 [medline]', '1979/02/01 00:00 [entrez]']",ppublish,Cancer Nurs. 1979 Feb;2(1):27-31.,,,,,,,,,
251887,NLM,MEDLINE,19790226,20190818,0360-4039 (Print) 0360-4039 (Linking),9,1,1979 Jan,Consultation: leukemia basics.,74,"['Long, P P']",['Long PP'],['eng'],['Journal Article'],United States,Nursing,Nursing,7600137,,"['Humans', '*Leukemia/therapy', 'Prognosis', 'United States']",1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Nursing. 1979 Jan;9(1):74. doi: 10.1097/00152193-197901000-00024.,,,['10.1097/00152193-197901000-00024 [doi]'],,,,,,
249286,NLM,MEDLINE,19781027,20071115,0162-220X (Print) 0162-220X (Linking),1,4,1978 Aug,To care for the child at home: discharge planning for the child with leukemia.,303-8,"['Bloomquist, L M', 'Lewis-Hunstiger, M J']","['Bloomquist LM', 'Lewis-Hunstiger MJ']",['eng'],['Journal Article'],United States,Cancer Nurs,Cancer nursing,7805358,,"['Acute Disease', 'Child', '*Home Care Services', '*Home Nursing', 'Humans', 'Leukemia/*nursing', 'Parent-Child Relations', '*Patient Discharge', 'Patient Education as Topic']",1978/08/01 00:00,1978/08/01 00:01,['1978/08/01 00:00'],"['1978/08/01 00:00 [pubmed]', '1978/08/01 00:01 [medline]', '1978/08/01 00:00 [entrez]']",ppublish,Cancer Nurs. 1978 Aug;1(4):303-8.,,,,,,,,,
248483,NLM,MEDLINE,19780929,20061026,0449-752X (Print) 0449-752X (Linking),24,7,1978 May,[Intermittent drip infusion of antibiotic combinations in massive dosages and associated nursing care - in case of acute leukemia].,49-57,"['Ishihara, M', 'Matsumoto, Y']","['Ishihara M', 'Matsumoto Y']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Kango Gijutsu,[Kango gijutsu] : [Nursing technique],18110565R,['0 (Anti-Bacterial Agents)'],"['Anti-Bacterial Agents/administration & dosage/*therapeutic use', 'Humans', 'Infusions, Parenteral/*nursing', 'Leukemia/drug therapy/*nursing']",1978/05/01 00:00,1978/05/01 00:01,['1978/05/01 00:00'],"['1978/05/01 00:00 [pubmed]', '1978/05/01 00:01 [medline]', '1978/05/01 00:00 [entrez]']",ppublish,Kango Gijutsu. 1978 May;24(7):49-57.,,,,,,,,,
248241,NLM,MEDLINE,19780901,20190618,0036-8075 (Print) 0036-8075 (Linking),201,4355,1978 Aug 11,Histidine transfer RNA levels in Friend leukemia cells: stimulation by histidine deprivation.,527-9,"['Litt, M', 'Weiser, K']","['Litt M', 'Weiser K']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Science,"Science (New York, N.Y.)",0404511,"['0 (RNA, Transfer, Amino Acyl)', '4QD397987E (Histidine)', '501-28-0 (Histidinol)', '9014-25-9 (RNA, Transfer)', 'EC 6.1.1.21 (Histidine-tRNA Ligase)', 'GMW67QNF9C (Leucine)']","['Cell Division', 'Cell Line', 'Histidine/metabolism', 'Histidine-tRNA Ligase/antagonists & inhibitors', 'Histidinol/pharmacology', 'Leucine/metabolism', 'RNA, Transfer/*metabolism', 'RNA, Transfer, Amino Acyl/*metabolism']",1978/08/11 00:00,1978/08/11 00:01,['1978/08/11 00:00'],"['1978/08/11 00:00 [pubmed]', '1978/08/11 00:01 [medline]', '1978/08/11 00:00 [entrez]']",ppublish,Science. 1978 Aug 11;201(4355):527-9. doi: 10.1126/science.248241.,,IM,['10.1126/science.248241 [doi]'],Friend leukemia cells incubated with sublethal concentrations of histidinol for 5 to 6 days show up to twofold increases in their relative concentrations of histidine transfer RNA and no change in the relative concentrations of leucine transfer RNA. A similar effect is seen when cells are grown to stationary phase in the presence of 0.2 times the amount of histidine in Eagle's minimum essential medium. These observations support the theory that the concentrations of specific transfer RNA's are regulated by a mechanism that is sensitive to the extent of their aminoacylation.,,,,,
248062,NLM,MEDLINE,19780814,20190710,0022-3549 (Print) 0022-3549 (Linking),67,6,1978 Jun,"Synthesis of potential antineoplastic agents XXVI: 1,3,4,6,7,11b-hexahydro-9,10-dimethoxy-2H-benzo[a]2-quinolizinone derivatives.",871-3,"['Popp, F D', 'Watts, R F']","['Popp FD', 'Watts RF']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Pharm Sci,Journal of pharmaceutical sciences,2985195R,"['0 (Anticonvulsants)', '0 (Antineoplastic Agents)', '0 (Quinolizines)', '303-75-3 (2H-Benzo(a)quinolizin-2-ol,', '2-Ethyl-1,3,4,6,7,11b-hexahydro-3-isobutyl-9,10-dimethoxy-)']","['2H-Benzo(a)quinolizin-2-ol, 2-Ethyl-1,3,4,6,7,11b-hexahydro-3-isobutyl-9,10-dimethoxy-/analogs & derivatives/*chemical synthesis/pharmacology/therapeutic use', 'Animals', 'Anticonvulsants/chemical synthesis', 'Antineoplastic Agents/*chemical synthesis/therapeutic use', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Quinolizines/*chemical synthesis']",1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",ppublish,J Pharm Sci. 1978 Jun;67(6):871-3. doi: 10.1002/jps.2600670642.,,IM,"['S0022-3549(15)42033-7 [pii]', '10.1002/jps.2600670642 [doi]']","A number of 3-alkyl-1,3,4,6,7,11b-hexahydro-9,10-dimethoxy-2H-benzo[a]2-quinolizinones and 2-substituted 3-ethyl-1,3,4,6,7,11b-hexahydro-9,10-dimethoxy-2H-benzo[a]quinolizines were prepared and submitted for antineoplastic and anticonvulsant screening.",,,,,
245049,NLM,MEDLINE,19780329,20091111,,44,12,1977 Dec,[Psychological aspects of a child with leukemia].,31-3,"['Pieters, H C']",['Pieters HC'],['afr'],['Journal Article'],South Africa,SA Nurs J,SA nursing journal. SA verplegingstydskrif,0046024,,"['Attitude to Death', 'Child', 'Child, Preschool', 'Grief', 'Humans', 'Leukemia/nursing/*psychology', '*Nurse-Patient Relations', 'Pediatric Nursing', 'Professional-Family Relations']",1977/12/01 00:00,1977/12/01 00:01,['1977/12/01 00:00'],"['1977/12/01 00:00 [pubmed]', '1977/12/01 00:01 [medline]', '1977/12/01 00:00 [entrez]']",ppublish,SA Nurs J. 1977 Dec;44(12):31-3.,Sielkunde asepte van 'n kind met leukemie.,,,,,,,,
244597,NLM,MEDLINE,19780329,20061026,0449-752X (Print) 0449-752X (Linking),24,1,1978 Jan,[The current status and the future prospect to the bio-clean room].,96-103,"['Morishima, Y', 'Yamada, K']","['Morishima Y', 'Yamada K']",['jpn'],['Journal Article'],Japan,Kango Gijutsu,[Kango gijutsu] : [Nursing technique],18110565R,,"['*Antisepsis', 'Humans', 'Leukemia/*nursing', '*Patient Isolators']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Kango Gijutsu. 1978 Jan;24(1):96-103.,,,,,,,,,
244096,NLM,MEDLINE,19780127,20041117,0106-8350 (Print) 0106-8350 (Linking),77,45,1977 Nov 16,[Sharp criticism of physicians and nurses by parents of children dying of leukemia: no wholehearted planning to control sufferening].,4-5,"['Thomsen, C M']",['Thomsen CM'],['dan'],['Journal Article'],Denmark,Sygeplejersken,Sygeplejersken,0421366,,"['Adult', 'Child', 'Female', 'Humans', 'Leukemia/*therapy', 'Male', 'Medical Staff, Hospital/*standards', 'Nursing Staff, Hospital/*standards', '*Parents', 'Patient Care Planning', 'Professional-Family Relations', 'Terminal Care/*standards']",1977/11/16 00:00,1977/11/16 00:01,['1977/11/16 00:00'],"['1977/11/16 00:00 [pubmed]', '1977/11/16 00:01 [medline]', '1977/11/16 00:00 [entrez]']",ppublish,Sygeplejersken. 1977 Nov 16;77(45):4-5.,"Skarp Kritik af laeger og sykeplejersker fra foraeldre til barn, der dode af leukaemi: ingen helhjerted planer til at bekaempe lidelser.",,,,,,,,
243950,NLM,MEDLINE,19780127,20061115,0100-2724 (Print) 0100-2724 (Linking),4,1,1978 Jan-Feb,[The small bed in the ward of the corner].,28-30,"['Redding, S']",['Redding S'],['por'],"['Case Reports', 'English Abstract', 'Journal Article']",Brazil,Rev Enferm Nov Dimens,Revista enfermagem em novas dimensoes,7607814,,"['Attitude to Death', '*Attitude to Health', '*Child, Hospitalized', 'Child, Preschool', 'Grief', 'Humans', '*Leukemia', 'Male', 'Parent-Child Relations']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Rev Enferm Nov Dimens. 1978 Jan-Feb;4(1):28-30.,A pequena cama no canto.,,,,,,,,
243050,NLM,MEDLINE,19771229,20061026,0449-752X (Print) 0449-752X (Linking),23,12,1977 Sep,[Leukemia in the aged: therapy and nursing care].,85-93,"['Katsunuma, H']",['Katsunuma H'],['jpn'],['Journal Article'],Japan,Kango Gijutsu,[Kango gijutsu] : [Nursing technique],18110565R,,"['Aged', 'Humans', 'Leukemia/*nursing/therapy']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",ppublish,Kango Gijutsu. 1977 Sep;23(12):85-93.,,,,,,,,,
243036,NLM,MEDLINE,19771229,20191210,0449-752X (Print) 0449-752X (Linking),23,12,1977 Sep,[Nursing of an aged leukemic patient during chemotherapy - on infection and hemorrhage].,112-23,"['Katsunuma, H', 'Nanaumi, J']","['Katsunuma H', 'Nanaumi J']",['jpn'],['Journal Article'],Japan,Kango Gijutsu,[Kango gijutsu] : [Nursing technique],18110565R,,"['Aged', 'Hemorrhage/etiology', 'Humans', 'Infections/etiology', 'Leukemia/complications/drug therapy/*nursing']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",ppublish,Kango Gijutsu. 1977 Sep;23(12):112-23.,,,,,,,,,
242939,NLM,MEDLINE,19771229,20041117,0038-0660 (Print) 0038-0660 (Linking),12,2,1977 May,"[Nursing process involving a leukemic patient, the nurse and the patient's family--recreation and observation of the nursing scene during the period of isolation for the prevention of infections].",5-16,"['Miwa, C', 'Sonoda, M', 'Yamamura, T', 'Okamoto, H', 'Kitazawa, Y']","['Miwa C', 'Sonoda M', 'Yamamura T', 'Okamoto H', 'Kitazawa Y']",['jpn'],['Journal Article'],Japan,Sogo Kango,"Sogo kango. Comprehensive nursing, quarterly",0313161,,"['Cross Infection/prevention & control', 'Humans', 'Japan', 'Leukemia/*nursing', '*Patient Isolation', 'Professional-Family Relations', 'Recreation', 'Visitors to Patients']",1977/05/01 00:00,1977/05/01 00:01,['1977/05/01 00:00'],"['1977/05/01 00:00 [pubmed]', '1977/05/01 00:01 [medline]', '1977/05/01 00:00 [entrez]']",ppublish,Sogo Kango. 1977 May;12(2):5-16.,,,,,,,,,
242545,NLM,MEDLINE,19771125,20140725,0015-8194 (Print) 0015-8194 (Linking),45,8,1977 Aug,[Differential diagnosis of malignant and benign lymphomas of the CNS (author's transl)].,441-58,"['Scharrer, E', 'Theunissen, J']","['Scharrer E', 'Theunissen J']",['ger'],"['English Abstract', 'Journal Article']",Germany,Fortschr Neurol Psychiatr Grenzgeb,"Fortschritte der Neurologie, Psychiatrie, und ihrer Grenzgebiete",0370726,,"['Adolescent', 'Adult', 'Aged', 'Central Nervous System Diseases/*diagnosis', 'Child', 'Eosinophilic Granuloma/*diagnosis', 'Female', 'Hodgkin Disease/diagnosis', 'Humans', 'Leukemia/diagnosis', 'Lymphoma/*diagnosis', 'Male', 'Middle Aged', 'Multiple Myeloma/diagnosis', 'Plasmacytoma/diagnosis', 'Prognosis', 'Spinal Cord Neoplasms/diagnosis', 'Time Factors']",1977/08/01 00:00,1977/08/01 00:01,['1977/08/01 00:00'],"['1977/08/01 00:00 [pubmed]', '1977/08/01 00:01 [medline]', '1977/08/01 00:00 [entrez]']",ppublish,Fortschr Neurol Psychiatr Grenzgeb. 1977 Aug;45(8):441-58.,Zur Differentialdiagnose maligner und benigner Lymphome im Bereich des Zentralnervensystems.,IM,,"UNLABELLED: The following results were obtained from 37 cases of malignant lymphomas, including 8 eosinophilic granulomas: 1. Localisation: a. Plasmocytomas occur with approximately the same frequency in the spine and skull, but there is an exceptionally high incidence of multiple myelomas in the thoracic spine. Only in a few cases plasmocytomas of the skull lead to neurological symptoms; particularly when they are localised in the base of the skull. b. Lymphogranulomatosis affects only the thoracic vertebral column and leads less frequently to neurological complications compared with the multiple myelomas. c. Eosinophilic granulomas often attack the calvaria, but can also be found in the spine, the base of the cranium and the flat bones of the pelvis and the scapula. d. Leukaemias showed mainly intracerebral and intramedullary alterations: haemorrhages, leukaemic infiltrations and signs of degeneration. 2. CLINICAL FINDINGS: a. Whenever the calvarium was affected than repeated complaints of headaches prevailed and only very few neurological signs or symptoms were complained. b. Tumors in the base of the cranium caused eye symptoms and various cranial nerve palsies but less frequently increased intracranial pressure. c. Tumors localised in the region of the spinal cord caused early signs like root-irritations (intercoastal neuralgia), diffuse dorsal pain and/or lumbalgia. Symptoms of spinal compression generally of an ascending character then developed within a few weeks. d. Neurological symptoms were the first to manifest themselves in all cases of plasmocytoma in half of our patients with Hodgkin's disease. 3. History and course: a. Generally in the cases of cranial involvement the previous history was less than half a year (visible changes or clear cut symptoms). Spinal tumors on the average had longer histories as did other extra-medullar spinal new growth. Similar courses were seen in multiple myelomas and granulomas. b. Solitary plasmocytomas were very rare but seem to have a considerably better prognosis than in case of multiple occurrence.",,,,,
242038,NLM,MEDLINE,19760123,20171116,0033-2240 (Print) 0033-2240 (Linking),32,9,1975,[Immunotherapy in neoplasms. Part II--methods (author's transl)].,706-11,"['Szmigiel, Z', 'Skotnicki, A B']","['Szmigiel Z', 'Skotnicki AB']",['pol'],"['Journal Article', 'Review']",Poland,Przegl Lek,Przeglad lekarski,19840720R,"['0 (BCG Vaccine)', '0 (Transfer Factor)', 'O84C90HH2L (Poly I-C)']","['BCG Vaccine/administration & dosage', 'Graft vs Host Reaction', 'Humans', 'Immunization, Passive', '*Immunotherapy/adverse effects', 'Leukemia/therapy', 'Mononuclear Phagocyte System/immunology', 'Neoplasms/immunology/*therapy', 'Poly I-C/administration & dosage', 'Remission, Spontaneous', 'Transfer Factor']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Przegl Lek. 1975;32(9):706-11.,Immunoterapia nowotworow. CZ II--metody,IM,,,49,,,,
241897,NLM,MEDLINE,19760116,20041117,0025-729X (Print) 0025-729X (Linking),2,9,1975 Aug 30,Editorial: Prophylactic immunotherapy.,332-3,,,['eng'],['Journal Article'],Australia,Med J Aust,The Medical journal of Australia,0400714,,"['Animals', 'Bone Marrow Cells', 'Bone Marrow Transplantation', 'Graft vs Host Reaction', 'Humans', 'Immunity', '*Immunotherapy', 'Leukemia/immunology/therapy', 'Neoplasms/*therapy', 'Transplantation, Homologous']",1975/08/30 00:00,1975/08/30 00:01,['1975/08/30 00:00'],"['1975/08/30 00:00 [pubmed]', '1975/08/30 00:01 [medline]', '1975/08/30 00:00 [entrez]']",ppublish,Med J Aust. 1975 Aug 30;2(9):332-3.,,IM,,,,,,,
241167,NLM,MEDLINE,19751230,20031114,0300-872X (Print) 0300-872X (Linking),149,2-4,1975 Jul,Low molecular weight water-soluble peptidoglycans as adjuvants and immunostimulants.,331-40,"['Jolles, P', 'Migliore-Samour, D', 'Maral, R', ""Floc'h, F"", 'Werner, G H']","['Jolles P', 'Migliore-Samour D', 'Maral R', ""Floc'h F"", 'Werner GH']",['eng'],['Journal Article'],Germany,Z Immunitatsforsch Exp Klin Immunol,"Zeitschrift fur Immunitatsforschung, experimentelle und klinische Immunologie",7608241,"['0 (Adjuvants, Immunologic)', '0 (Antigens)', '0 (BCG Vaccine)', '0 (Peptidoglycan)']","['*Adjuvants, Immunologic', 'Animals', 'Antibody-Producing Cells', '*Antigens', 'B-Lymphocytes/immunology', 'BCG Vaccine', 'Carcinoma, Ehrlich Tumor/prevention & control', 'Graft vs Host Reaction', 'Leukemia/prevention & control', 'Lymphocyte Transfusion', 'Molecular Weight', 'Mycobacterium/immunology', 'Mycobacterium bovis/immunology', 'Neoplasm Transplantation', 'Peptidoglycan/*immunology', 'Phagocytosis', 'Sarcoma 180/prevention & control', 'Solubility', 'T-Lymphocytes/immunology', 'Transplantation, Homologous']",1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",ppublish,Z Immunitatsforsch Exp Klin Immunol. 1975 Jul;149(2-4):331-40.,,IM,,"The tetrasaccharide-heptapeptide (TH), when injected with mineral oil, exerted a strong adjuvant effect. It stimulated B and T cells, but did not increase the phagocytic activity of the reticulo-endothelial system. While BCG exerted significant preventive effect on the growth of sarcoma 180, leucosarcomatosis an EHRLICH ascitic tumor, TH, at the doses used, was devoid of such activity.",,,,,
240943,NLM,MEDLINE,19751211,20190710,0022-2836 (Print) 0022-2836 (Linking),96,3,1975 Aug 15,Protein crystallography at sub-zero temperatures: lysozyme-substrate complexes in cooled mixed solvents.,367-80,"['Douzou, P', 'Hoa, G H', 'Petsko, G A']","['Douzou P', 'Hoa GH', 'Petsko GA']",['eng'],['Journal Article'],England,J Mol Biol,Journal of molecular biology,2985088R,"['0 (Oligosaccharides)', '0 (Solvents)', 'EC 3.2.1.17 (Muramidase)', 'V956696549 (Acetylglucosamine)']","['Acetylglucosamine', 'Binding Sites', 'Freezing', 'Humans', 'Hydrogen-Ion Concentration', 'Kinetics', 'Leukemia/enzymology', '*Muramidase', 'Oligosaccharides', 'Protein Binding', 'Protein Conformation', 'Solvents', 'Thermodynamics', 'X-Ray Diffraction']",1975/08/15 00:00,1975/08/15 00:01,['1975/08/15 00:00'],"['1975/08/15 00:00 [pubmed]', '1975/08/15 00:01 [medline]', '1975/08/15 00:00 [entrez]']",ppublish,J Mol Biol. 1975 Aug 15;96(3):367-80. doi: 10.1016/0022-2836(75)90166-7.,,IM,"['0022-2836(75)90166-7 [pii]', '10.1016/0022-2836(75)90166-7 [doi]']",,,,,,
