PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,EIN,SI,TT,RF,CIN,CON
2443500,NLM,MEDLINE,19871120,20210210,0021-9258 (Print) 0021-9258 (Linking),262,29,1987 Oct 15,Amino acid sequence of the vitronectin receptor alpha subunit and comparative expression of adhesion receptor mRNAs.,14080-5,"The amino acid sequence of the vitronectin receptor alpha subunit deduced from cDNA is presented. The sequence defines a 1047-amino-acid polypeptide precursor with a putative signal sequence, a large extracellular domain with several sites homologous to calcium binding sites in other proteins, a transmembrane domain, and a 32-amino-acid cytoplasmic domain. The 7-kilobase vitronectin receptor alpha subunit mRNA was found to be expressed in all cell lines examined, including endothelial cells, K562 and HEL leukemia cells, and osteosarcoma cells. In the two leukemia cell lines, the expression of the vitronectin receptor mRNA, as well as that of the fibronectin receptor, was enhanced in the presence of phorbol ester, a treatment known to increase the adhesiveness of these cells. The HEL cells were the only ones among the cell lines tested that also contained the mRNA of the platelet adhesion receptor alpha subunit, glycoprotein IIb. The expression of glycoprotein IIb was slightly enhanced by treatment of the cells with phorbol ester. These results complete the partial cDNA sequence of the vitronectin receptor alpha subunit published previously (Suzuki, S., Argraves, W. S., Pytela, R., Arai, H., Krusius, T., Pierschbacher, M. D., and Ruoslahti, E. (1986) Proc. Natl. Acad. Sci. U.S.A., 83, 8614-8618), confirm that the vitronectin receptor, and not IIb, is expressed in endothelial cells, and show that changes in the level of its expression correlate with changes in cell adhesiveness.","['Suzuki, S', 'Argraves, W S', 'Arai, H', 'Languino, L R', 'Pierschbacher, M D', 'Ruoslahti, E']","['Suzuki S', 'Argraves WS', 'Arai H', 'Languino LR', 'Pierschbacher MD', 'Ruoslahti E']","['Cancer Research Center, La Jolla Cancer Research Foundation, California 92037.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Macromolecular Substances)', '0 (RNA, Messenger)', '0 (Receptors, Immunologic)', '0 (Receptors, Vitronectin)', '9007-49-2 (DNA)']",IM,"['Amino Acid Sequence', 'Base Sequence', 'Cell Line', 'Cloning, Molecular', 'DNA/metabolism', 'Genes', 'Humans', 'Macromolecular Substances', 'Molecular Sequence Data', 'Molecular Weight', 'RNA, Messenger/*genetics', 'Receptors, Immunologic/*genetics', 'Receptors, Vitronectin', '*Transcription, Genetic']",1987/10/15 00:00,1987/10/15 00:01,['1987/10/15 00:00'],"['1987/10/15 00:00 [pubmed]', '1987/10/15 00:01 [medline]', '1987/10/15 00:00 [entrez]']",['S0021-9258(18)47907-0 [pii]'],ppublish,J Biol Chem. 1987 Oct 15;262(29):14080-5.,"['CA 28896/CA/NCI NIH HHS/United States', 'CA 38352/CA/NCI NIH HHS/United States', 'CA 42507/CA/NCI NIH HHS/United States', 'etc.']",,,"['GENBANK/J02826', 'GENBANK/M14648', 'GENBANK/M18365']",,,,
2443498,NLM,MEDLINE,19871109,20210210,0021-9258 (Print) 0021-9258 (Linking),262,28,1987 Oct 5,Biogenesis of glycophorin A in K562 human erythroleukemia cells.,13812-20,"A monoclonal antibody (mAb-233) directed against an epitope in the nonglycosylated carboxyl-terminal region of human erythrocyte glycophorin A (GPA) was used in combination with metabolic labeling, the modification of N- and O-linked oligosaccharide processing by tunicamycin and monensin, and digestions with neuraminidase and O-glycanase to elucidate the pathway of GPA biogenesis in K562 human erythroleukemia cells. Cell-surface GPA is derived from two obligatory precursors in a stepwise manner. The initial GPA precursor has a Mr of 27,000 and appears to contain one N-linked high mannose oligosaccharide chain. In tunicamycin-treated cells, the initial precursor is similar in size (Mr = 24,000) to deglycosylated GPA from human erythrocytes. The 27-kDa initial precursor is rapidly converted to a transient 31-kDa intermediate by the addition of N-acetylgalactosamine residues to serine/threonine hydroxyl groups. Subsequent maturation involves the conversion of the high mannose chain to a complex-type oligosaccharide and the concomitant addition of galactose and sialic acid to internal N-acetylgalactosamine residues to extend the O-linked chains. These results define a single, stepwise processing pathway for the generation of all cell-surface GPA molecules and document for the first time the occurrence of both a unique initial precursor that contains a high mannose N-linked oligosaccharide chain but no O-linked sugars and a transient intermediate that appears to contain the same N-linked group and N-acetylgalactosamine at multiple serine/threonine residues. The properties of the intracellular GPA precursors and the relatively simple nature of the processing pathway reported herein contrast markedly with the characteristics of three intermediates and the complexity of two independent pathways in previously postulated schemes for GPA biogenesis (Gahmberg, C. G., Jokinen, M., Karhi, K. K., Kampe, O., Peterson, P. A., and Andersson, L. C. (1983) Methods Enzymol. 96, 281-298; Jokinen, M., Andersson, L. C., and Gahmberg, C. G. (1985) J. Biol. Chem. 260, 11314-11321).","['Morrow, B', 'Rubin, C S']","['Morrow B', 'Rubin CS']","['Department of Molecular Pharmacology, Albert Einstein College of Medicine, Bronx, New York 10461.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Antibodies, Monoclonal)', '0 (Epitopes)', '0 (Glycophorins)', '0 (Sialoglycoproteins)', '0 (Sulfur Radioisotopes)', 'AE28F7PNPL (Methionine)']",IM,"['Antibodies, Monoclonal', 'Cell Line', 'Epitopes/analysis', 'Glycophorins/*biosynthesis/immunology/isolation & purification', 'Humans', 'Leukemia, Myeloid', 'Methionine/metabolism', 'Molecular Weight', 'Sialoglycoproteins/*biosynthesis', 'Sulfur Radioisotopes']",1987/10/05 00:00,1987/10/05 00:01,['1987/10/05 00:00'],"['1987/10/05 00:00 [pubmed]', '1987/10/05 00:01 [medline]', '1987/10/05 00:00 [entrez]']",['S0021-9258(19)76498-9 [pii]'],ppublish,J Biol Chem. 1987 Oct 5;262(28):13812-20.,"['5T32-GM-07260/GM/NIGMS NIH HHS/United States', 'AM 21248/AM/NIADDK NIH HHS/United States']",,,,,,,
2443463,NLM,MEDLINE,19871102,20191022,0167-6997 (Print) 0167-6997 (Linking),5,2,1987,Pulmonary toxicity associated with fludarabine monophosphate.,207-10,"Fludarabine monophosphate (FAMP), the 2-fluoro, 5' phosphate derivative of 9-beta-D-arabinofuranosyl adenine (ara-A), is a purine nucleoside antimetabolite presently undergoing clinical testing for the treatment of a variety of malignancies including lymphoproliferative disorders and acute leukemia. We report a case of diffuse interstitial pneumonitis during treatment of chronic lymphocytic leukemia with FAMP. This resolved quickly with high dose steroids, recurred with steroid withdrawal, and abated with further steroid therapy. To our knowledge, this is the first reported case of fludarabine monophosphate associated pulmonary toxicity.","['Hurst, P G', 'Habib, M P', 'Garewal, H', 'Bluestein, M', 'Paquin, M', 'Greenberg, B R']","['Hurst PG', 'Habib MP', 'Garewal H', 'Bluestein M', 'Paquin M', 'Greenberg BR']","['Medical Service, Veterans Administration Medical Center, Tucson, Arizona.']",['eng'],"['Case Reports', 'Journal Article']",United States,Invest New Drugs,Investigational new drugs,8309330,"['0 (Antimetabolites, Antineoplastic)', '0 (Arabinonucleotides)', '106XV160TZ (Vidarabine Phosphate)', '1X9VK9O1SC (fludarabine phosphate)']",IM,"['Antimetabolites, Antineoplastic/*adverse effects/therapeutic use', 'Arabinonucleotides/*adverse effects', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Lung/pathology', 'Male', 'Middle Aged', 'Pulmonary Fibrosis/*chemically induced/pathology', 'Vidarabine Phosphate/*adverse effects/analogs & derivatives/therapeutic use']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['10.1007/BF00203548 [doi]'],ppublish,Invest New Drugs. 1987;5(2):207-10. doi: 10.1007/BF00203548.,,,,,,,,
2443385,NLM,MEDLINE,19871110,20190908,0902-4441 (Print) 0902-4441 (Linking),39,1,1987 Jul,Characterization of lymphocyte subpopulations in human cord blood using the immunogold staining technique.,18-22,"Lymphocyte subpopulations in human cord blood have been examined using monoclonal antibodies, visualized with immunogold. The proportions of T11, T4, T8, and B1 cells in cord blood are very similar to values in adult peripheral blood. Some evidence of lymphocyte immaturity in cord blood is suggested by the presence of 12% CALLA-positive cells and the sum of T4 and T8 cells significantly exceeding the number of T11 cells; however, there were no TdT-positive cells. The presence of CALLA-positive lymphocytes in normal cord blood should be borne in mind when investigating blood smears from neonates for congenital leukemia.","['Fatunde, O J', 'Kaplan, S S', 'Lochner, J B', 'Penchansky, L']","['Fatunde OJ', 'Kaplan SS', 'Lochner JB', 'Penchansky L']","[""Children's Hospital of Pittsburgh, Department of Pathology, University of Pittsburgh, PA.""]",['eng'],['Journal Article'],England,Eur J Haematol,European journal of haematology,8703985,"['0 (Antigens, Surface)']",IM,"['Antigens, Surface/analysis', 'Fetal Blood', 'Humans', '*Immunohistochemistry', 'Infant, Newborn', 'Lymphocytes/*classification/immunology', 'Staining and Labeling']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']",['10.1111/j.1600-0609.1987.tb00157.x [doi]'],ppublish,Eur J Haematol. 1987 Jul;39(1):18-22. doi: 10.1111/j.1600-0609.1987.tb00157.x.,,,,,,,,
2443379,NLM,MEDLINE,19871110,20071115,0301-472X (Print) 0301-472X (Linking),15,9,1987 Oct,Effect of recombinant interferons on colony formation of blast progenitors in acute myeloblastic leukemia.,946-51,"The effect of recombinant interferons (rIFNs) on primary and secondary colony formation by blast progenitors (leukemic colony-forming units, L-CFU) from the peripheral blood of patients with acute myeloblastic leukemia (AML) was examined. rIFN-alpha, rIFN-beta, and rIFN-gamma inhibited L-CFU in a dose-dependent manner. When 3000 U/ml rIFN-alpha, -beta, and -gamma were added, L-CFU were suppressed to 20%, 12%, and 40% of the control cultures, respectively. The concentrations of rIFN-alpha, -beta, and -gamma required for 50% inhibition of colony formation were 63, 29, and 250 U/ml, respectively. The self-renewal capacity of L-CFU was inhibited by rIFNs in a dose-dependent manner, the degree of inhibition being the same for all three rIFNs. These rIFNs also inhibited normal granulocyte-macrophage progenitors to a similar degree as L-CFU. Taken together, these in vitro studies indicate that these rIFNs may be efficacious in the treatment of AML, though development of granulocytopenia may be observed as a complication of IFN therapy.","['Takanashi, M', 'Motoji, T', 'Oshimi, K', 'Mizoguchi, H']","['Takanashi M', 'Motoji T', 'Oshimi K', 'Mizoguchi H']","[""Department of Medicine, Tokyo Women's Medical College, Japan.""]",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Antibodies, Monoclonal)', '0 (Recombinant Proteins)', '9008-11-1 (Interferons)']",IM,"['Antibodies, Monoclonal/immunology', 'Cell Division/drug effects', 'Depression, Chemical', 'Hematopoietic Stem Cells/*drug effects/pathology', 'Humans', 'Interferons/immunology/*pharmacology', 'Leukemia, Myeloid, Acute/*pathology', 'Neoplastic Stem Cells/*drug effects/pathology', 'Recombinant Proteins/pharmacology', 'Tumor Cells, Cultured', 'Tumor Stem Cell Assay']",1987/10/01 00:00,1987/10/01 00:01,['1987/10/01 00:00'],"['1987/10/01 00:00 [pubmed]', '1987/10/01 00:01 [medline]', '1987/10/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1987 Oct;15(9):946-51.,,,,,,,,
2443366,NLM,MEDLINE,19871109,20181130,0014-2980 (Print) 0014-2980 (Linking),17,9,1987 Sep,Anti-anti-IgE idiotypic antibodies mimic IgE in their binding to the Fc epsilon receptor.,1337-42,"The binding site of some anti-idiotypic antibodies (anti-Id) can appear as a structural image of the antigen and as such may mimic its biologic activity. We raised anti-anti-IgE antibodies in an attempt to obtain anti-Id capable of interacting with the Fc epsilon receptor (Fc epsilon R). Guinea pigs were immunized with purified murine monoclonal antibodies (mAb) that had been found to react with epitopes closely related to the site on the IgE molecule which is recognized by the Fc epsilon R. After only two injections, we could detect in the immune sera anti-Id that inhibited the binding of IgE to the anti-IgE mAb used as immunogens. However, only after 10 immunizations over a period of about 6 months could we detect antibodies that competed efficiently with the binding of IgE to rat basophilic leukemia (RBL) cells. The ""IgE-like"" anti-Id could be affinity purified from immunosorbents made of the anti-IgE mAb. F(ab')2 and Fab' fragments were as effective inhibitors of IgE binding as the intact anti-anti-Id antibodies. Some of the anti-Id caused RBL degranulation and all of them, like IgE, inhibited the binding of specific anti-Fc epsilon R mAb to RBL cells. In summary, by hyperimmunization with anti-IgE mAb we could obtain anti-Id whose antigen-binding site is recognized by the mast cell receptor specific to the Fc portion of IgE.","['Baniyash, M', 'Eshhar, Z']","['Baniyash M', 'Eshhar Z']","['Department of Chemical Immunology, Weizmann Institute of Science, Rehovot, Israel.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Antibodies, Anti-Idiotypic)', '0 (Antibodies, Monoclonal)', '0 (Epitopes)', '0 (Immunoglobulin Idiotypes)', '0 (Receptors, Fc)', '0 (Receptors, IgE)', '0 (anti-IgE antibodies)', '37341-29-0 (Immunoglobulin E)']",IM,"['Animals', 'Antibodies, Anti-Idiotypic/*immunology/metabolism', 'Antibodies, Monoclonal/immunology', 'Antigen-Antibody Reactions', 'Basophils/metabolism', 'Binding Sites', 'Cytoplasmic Granules/metabolism', 'Epitopes/immunology', 'Guinea Pigs', 'Immunoglobulin E/*immunology/metabolism', 'Immunoglobulin Idiotypes/immunology', 'Leukemia, Experimental', 'Mice', 'Protein Binding', 'Protein Conformation', 'Rats', 'Receptors, Fc/*metabolism', 'Receptors, IgE', 'Tumor Cells, Cultured']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",['10.1002/eji.1830170918 [doi]'],ppublish,Eur J Immunol. 1987 Sep;17(9):1337-42. doi: 10.1002/eji.1830170918.,,,,,,,,
2443360,NLM,MEDLINE,19871029,20190908,0277-5379 (Print) 0277-5379 (Linking),23,6,1987 Jun,Resistance of HL-60 promyelocytic leukemia cells to induction of differentiation and its reversal by combination treatment.,739-43,"Two sublines of HL-60 cells differing markedly in their ability to undergo differentiation to granulocytes after treatment with retinoic acid (RA), dimethyl sulfoxide (DMSO) and the pyrimidine analog, 5-aza-2'-deoxycytidine (azadCyd) were studied. The sensitive subline (HL-60 S) responded well to 1 microM RA, 1% DMSO and 1 microM azadCyd, showing 89 +/- 5%, 46 +/- 5% and 29 +/- 6% mature nitroblue tetrazolium (NBT)-positive cells, respectively. However, the resistant subline (HL-60 R) showed only modest maturational effects (12 +/- 3%, 11 +/- 2% and 9 +/- 2%, respectively) after treatment with the same agents. Using the HL-60 R as a model for resistance to differentiation induction in the HL-60 cell line, studies were carried out to determine whether the combined use of RA, DMSO and azadCyd could reverse the resistance of these tumor cells to the induction of maturation expressed by the individual agents. When these agents were given in any combination of 2, a minor increase in differentiation induction was detected (13 +/- 6% or less NBT-positive cells). However, when all 3 agents were combined (RA + DMSO + azaCyd), resistance was completely reversed (89 +/- 7% mature NBT-positive cells). In addition, different degrees of concentration-dependence of each agent in the combination were observed. The RA + DMSO + azadCyd combination caused a maximal accumulation of NBT-positive cells after 72 to 96 hr of incubation. These results show that the lack of competence for induction of differentiation in resistant HL-60 cells can be completely reversed by the above ternary drug combination. However, the mechanism responsible for this synergistic effect must await further elucidation of the molecular mechanisms by which such agents act.","['Schwartsmann, G', 'Pinedo, H M', 'Leyva, A']","['Schwartsmann G', 'Pinedo HM', 'Leyva A']","['Department of Oncology, Free University Hospital, Amsterdam, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Cancer Clin Oncol,European journal of cancer & clinical oncology,8112045,"['0 (Antineoplastic Agents)', '5688UTC01R (Tretinoin)', '776B62CQ27 (Decitabine)', 'M801H13NRU (Azacitidine)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Antineoplastic Agents/*pharmacology', 'Azacitidine/administration & dosage/*analogs & derivatives/pharmacology', 'Cell Differentiation/*drug effects', 'Cell Line', 'Decitabine', 'Dimethyl Sulfoxide/administration & dosage/*pharmacology', 'Drug Synergism', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Tretinoin/administration & dosage/*pharmacology']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",['10.1016/0277-5379(87)90271-9 [doi]'],ppublish,Eur J Cancer Clin Oncol. 1987 Jun;23(6):739-43. doi: 10.1016/0277-5379(87)90271-9.,,,,,,,,
2443287,NLM,MEDLINE,19871109,20181113,0009-9104 (Print) 0009-9104 (Linking),69,1,1987 Jul,A sulfhydryl-rich IgM protein with multiple serological specificities.,148-56,A monoclonal IgM lambda protein from a patient (E.T.) suffering from a lymphocytic lymphoma agglutinated Salmonella typhi bacteria and uncoated acryl particles. The antigenic determinant on Salmonella typhi bacteria was found to be 0-12 (alpha-D-Galp-(1-2)-alpha-D-Manp) while the structure on acryl particles recognized by IgM ET has not been defined. Both binding sites for bacteria and acryl particle determinants are localized on the same IgM molecule. The uncommon affinity of this IgM protein for some divalent heavy metal ions led to the finding of an unusually high content of sulfhydryl groups in the Fab portion of the molecule.,"['Merlini, G', 'Zettervall, O', 'Forsgren, A', 'Galliano, M', 'Lindberg, A A', 'Svenson, S B', 'Pavesi, F', 'Turesson, I']","['Merlini G', 'Zettervall O', 'Forsgren A', 'Galliano M', 'Lindberg AA', 'Svenson SB', 'Pavesi F', 'Turesson I']","['Department of Internal Medicine, Malmo General Hospital, University of Lund, Sweden.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,"['0 (Acrylates)', '0 (Amino Acids)', '0 (Antibodies, Monoclonal)', '0 (Antibodies, Neoplasm)', '0 (Disaccharides)', '0 (Epitopes)', '0 (Immunoglobulin M)', '0 (Lipopolysaccharides)', '0 (Sulfhydryl Compounds)', 'J94PBK7X8S (acrylic acid)']",IM,"['Acrylates/immunology', 'Aged', 'Agglutination Tests', 'Amino Acids/analysis', 'Antibodies, Monoclonal/immunology', 'Antibodies, Neoplasm/immunology', '*Antibody Specificity', 'Disaccharides/immunology', 'Epitopes/immunology', 'Female', 'Humans', 'Immunoglobulin M/*immunology', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology', 'Lipopolysaccharides/immunology', 'Salmonella typhi/immunology', 'Sulfhydryl Compounds/analysis']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']",,ppublish,Clin Exp Immunol. 1987 Jul;69(1):148-56.,,PMC1542251,,,,,,
2443253,NLM,MEDLINE,19871116,20191029,0045-6039 (Print) 0045-6039 (Linking),21,2,1987 Jul,Characterization of trans-acting factor(s) regulating beta-globin gene expression by in vivo competition.,111-8,"A beta-globin/TK fusion gene was microinjected into non-erythroid cells (Ltk- cells) and erythroid cells (murine erythroleukemia (MEL) cells), and the interactions of the regulatory cellular factors with the beta-globin sequences were investigated by the in vivo competition experiment. The fusion gene was expressed efficiently in Ltk- cells. This expression was inhibited by a co-injection with a three-fold molar excess of the 5'-flanking sequence of the beta-globin gene or with a nine-fold molar excess of the mammary tumor virus LTR, but not with the alpha-globin gene. The fusion gene was expressed very poorly in the uninduced MEL cells and highly in the induced MEL cells. The co-injection of the beta-globin gene did not affect expression in the MEL cells in either uninduced or induced conditions.","['Takada, S', 'Obinata, M']","['Takada S', 'Obinata M']","['Faculty of Pharmaceutical Sciences, University of Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Ireland,Cell Differ,Cell differentiation,0342640,"['0 (Beta-Globulins)', '0 (Transcription Factors)']",IM,"['Animals', 'Base Sequence', 'Beta-Globulins/*genetics', 'Binding, Competitive', 'Cell Differentiation/drug effects', 'Cell Fusion', 'Cell Line', '*Gene Expression Regulation/drug effects', 'Genes', 'Genetic Vectors', 'Leukemia, Erythroblastic, Acute/genetics', 'Mice', 'Microinjections', 'Molecular Sequence Data', 'Plasmids', 'Transcription Factors/analysis/*physiology']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']","['0045-6039(87)90418-0 [pii]', '10.1016/0045-6039(87)90418-0 [doi]']",ppublish,Cell Differ. 1987 Jul;21(2):111-8. doi: 10.1016/0045-6039(87)90418-0.,,,,['GENBANK/M18646'],,,,
2443243,NLM,MEDLINE,19871112,20131121,0361-5960 (Print) 0361-5960 (Linking),71,10,1987 Oct,Biochemistry of azacitidine: a review.,959-64,Azacitidine is a pyrimidine ring analog of cytidine that is incorporated into RNA causing alteration in RNA synthesis and processing and resulting in inhibition of protein synthesis. Azacitidine as the deoxynucleotide is also incorporated into DNA inhibiting its synthesis and blocking cytosine methylation by noncompetitive inhibition of DNA methyltransferase. The resulting hypomethylation of DNA is thought to induce gene activation and expression and cell differentiation. This may be an underlying factor in azacitidine's antileukemic activity and also contributes to its carcinogenic and tumor-promoting properties in experimental models.,"['Glover, A B', 'Leyland-Jones, B']","['Glover AB', 'Leyland-Jones B']","['Investigational Drug Branch, National Cancer Institute, Bethesda, MD 20892.']",['eng'],"['Journal Article', 'Review']",United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['63231-63-0 (RNA)', '9007-49-2 (DNA)', 'M801H13NRU (Azacitidine)']",IM,"['Animals', 'Azacitidine/*metabolism/pharmacokinetics/pharmacology', 'Biochemical Phenomena', 'Biochemistry', 'Cell Differentiation/drug effects', 'DNA/metabolism', 'Gene Expression Regulation/drug effects', 'Humans', 'Leukemia/metabolism', 'RNA/metabolism', 'Transcriptional Activation']",1987/10/01 00:00,1987/10/01 00:01,['1987/10/01 00:00'],"['1987/10/01 00:00 [pubmed]', '1987/10/01 00:01 [medline]', '1987/10/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1987 Oct;71(10):959-64.,,,,,,116,,
2443143,NLM,MEDLINE,19870930,20190623,0006-2952 (Print) 0006-2952 (Linking),36,17,1987 Sep 1,Mitochondrial DNA damage by bleomycin.,2769-74,"We have modified a specific and sensitive method of detecting different forms of mitochondrial DNA (mtDNA) and utilized it to study bleomycin (BLM)-induced mtDNA damage. Intact, nicked circular, and linear forms of mtDNA were separated by gel electrophoresis, detected by Southern blot hybridization, and characterized by size markers and alkali treatment. DNA from BLM-treated mitochondria from liver, lung, and L1210 tumors were all equally sensitive to damage by BLM. The extent of BLM-induced mtDNA damage was dependent on experimental conditions. In vitro incubation of isolated mitochondria with BLM showed that 100 microM BLM caused complete conversion of intact to nicked and linear forms. Scission of mtDNA was more extensive if mitochondria were lysed in the presence of BLM than after several washings to remove the drug from the incubation media. Isolated mtDNA was extremely sensitive to BLM such that 10 nM BLM caused loss of intact form. The extent of mtDNA damage by BLM was decreased by the addition of EDTA.","['Lim, L O', 'Neims, A H']","['Lim LO', 'Neims AH']",,['eng'],"['Comparative Study', 'Journal Article']",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (DNA, Circular)', '0 (DNA, Mitochondrial)', '11056-06-7 (Bleomycin)', '9G34HU7RV0 (Edetic Acid)']",IM,"['Animals', 'Bleomycin/antagonists & inhibitors/*pharmacology', '*DNA Damage', 'DNA, Circular/drug effects', 'DNA, Mitochondrial/*drug effects', 'Edetic Acid/pharmacology', 'Leukemia L1210/metabolism', 'Lung/analysis', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Mitochondria/analysis', 'Mitochondria, Liver/analysis']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']","['0006-2952(87)90263-2 [pii]', '10.1016/0006-2952(87)90263-2 [doi]']",ppublish,Biochem Pharmacol. 1987 Sep 1;36(17):2769-74. doi: 10.1016/0006-2952(87)90263-2.,,,,,,,,
2443004,NLM,MEDLINE,19871014,20190510,0002-9173 (Print) 0002-9173 (Linking),88,3,1987 Sep,Diagnostic problem overstated.,395,,"['Savage, R A']",['Savage RA'],,['eng'],['Letter'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Neoplasm Proteins)', 'EC 3.1.1.- (Carboxylic Ester Hydrolases)', 'EC 3.1.1.1 (Carboxylesterase)']",IM,"['Carboxylesterase', 'Carboxylic Ester Hydrolases/*analysis', 'Hematopoietic Stem Cells/enzymology', 'Humans', 'Leukemia, Monocytic, Acute/*diagnosis/enzymology', 'Megakaryocytes/enzymology', 'Monocytes/enzymology', 'Neoplasm Proteins/*analysis', 'Neoplastic Stem Cells/enzymology', 'Staining and Labeling']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",['10.1093/ajcp/88.3.395 [doi]'],ppublish,Am J Clin Pathol. 1987 Sep;88(3):395. doi: 10.1093/ajcp/88.3.395.,,,,,,,,
2442812,NLM,MEDLINE,19870928,20131121,0371-2761 (Print) 0371-2761 (Linking),33,1-4,1986 Dec,Mechanisms of action of 5-fluorouracil on metabolism of RNA in special reference to polysome of L1210 cells.,33-7,,"['Sato, T', 'Kanamaru, R', 'Kakuta, H', 'Wakui, A']","['Sato T', 'Kanamaru R', 'Kakuta H', 'Wakui A']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Sci Rep Res Inst Tohoku Univ Med,"The science reports of the research institutes, Tohoku University. Ser. C, Medicine. Tohoku Daigaku",0234153,"['10028-17-8 (Tritium)', '63231-63-0 (RNA)', 'U3P01618RT (Fluorouracil)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Cell Line', 'Fluorouracil/metabolism/*pharmacology', 'Leukemia L1210/*metabolism', 'Mice', 'Polyribosomes/*drug effects/metabolism', 'RNA/*metabolism', 'Ribosomes/drug effects/metabolism', 'Tritium', 'Uridine/metabolism']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",,ppublish,Sci Rep Res Inst Tohoku Univ Med. 1986 Dec;33(1-4):33-7.,,,,,,,,
