PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,LID,PMC,AB,AD,DEP,UIN,UOF,RF,GR,MID,CIN,CON,CI,COIS,CN,IR,FIR,EIN,SI,PS,FPS,RIN
20284868,NLM,MEDLINE,20100318,20181201,0002-9645 (Print) 0002-9645 (Linking),8,26,1947 Jan,Studies in avian leucosis; the use of biopsy technique in the study of visceral lymphomatosis.,113-9,"['DAVIS, O S', 'DOYLE, L P']","['DAVIS OS', 'DOYLE LP']",['eng'],['Journal Article'],,United States,Am J Vet Res,American journal of veterinary research,0375011,OM,"['Animals', '*Avian Leukosis', '*Biopsy', '*Lymphoma', '*Neoplasms']",['CLML: 4712:573a'],['NLM'],"['*LEUKOSIS/avian', '*TUMORS/in animals', '*TUMORS/lymphoid avian']",1947/01/01 00:00,1947/01/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/01/01 00:00 [pubmed]', '1947/01/01 00:01 [medline]']",ppublish,Am J Vet Res. 1947 Jan;8(26):113-9.,,,,,,,,,,,,,,,,,,,,,,,,
20284862,NLM,MEDLINE,20100318,20181201,0002-9645 (Print) 0002-9645 (Linking),8,26,1947 Jan,Some experimental investigations on the etiology of leucemia in cattle.,57-65,"['EGEHOJ, J']",['EGEHOJ J'],['eng'],['Journal Article'],,United States,Am J Vet Res,American journal of veterinary research,0375011,OM,"['Animals', 'Cattle', '*Leukemia']",['CLML: 4712:572s'],['NLM'],['*LEUKEMIA of cattle'],1947/01/01 00:00,1947/01/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/01/01 00:00 [pubmed]', '1947/01/01 00:01 [medline]']",ppublish,Am J Vet Res. 1947 Jan;8(26):57-65.,,,,,,,,,,,,,,,,,,,,,,,,
20284836,NLM,MEDLINE,20100318,20181201,0096-6878 (Print) 0096-6878 (Linking),50,11,1946 Nov,Vesical neck obstruction caused by leukemia; case report.,658,"['ESCUE, H M']",['ESCUE HM'],['eng'],['Journal Article'],,United States,Urol Cutaneous Rev,The Urologic and cutaneous review,0102777,OM,"['*Abdominal Cavity', 'Humans', 'Leukemia/*complications', '*Neck', '*Urinary Bladder', '*Urinary Bladder Neck Obstruction']",['CLML: 4712:571l1'],['NLM'],"['*BLADDER/neck', '*LEUKEMIA/complications and sequelae']",1946/11/01 00:00,1946/11/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/11/01 00:00 [pubmed]', '1946/11/01 00:01 [medline]']",ppublish,Urol Cutaneous Rev. 1946 Nov;50(11):658.,,,,,,,,,,,,,,,,,,,,,,,,
20283994,NLM,MEDLINE,20100318,20181201,0025-7044 (Print) 0025-7044 (Linking),16,8,1947 Feb,[Chronic lymphatic leukemia].,271-4,"['BAKER, R D', 'McLESTER, J S']","['BAKER RD', 'McLESTER JS', 'et al.']",['eng'],['Journal Article'],,United States,J Med Assoc State Ala,Journal of the Medical Association of the State of Alabama,7503083,OM,"['Humans', '*Leukemia', '*Leukemia, Lymphocytic, Chronic, B-Cell', '*Leukemia, Lymphoid']",['CLML: 4712:532t'],['NLM'],['*LEUKEMIA/lymphatic'],1947/02/01 00:00,1947/02/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/02/01 00:00 [pubmed]', '1947/02/01 00:01 [medline]']",ppublish,J Med Assoc State Ala. 1947 Feb;16(8):271-4.,,,,,,,,,,,,,,,,,,,,,,,,
20283827,NLM,MEDLINE,20100329,20181201,0002-9629 (Print) 0002-9629 (Linking),213,2,1947 Feb,Partial maturation of leukemic myeloblasts following plasma transfusions.,170-5,"['SCHWIND, J L']",['SCHWIND JL'],['eng'],['Journal Article'],,United States,Am J Med Sci,The American journal of the medical sciences,0370506,OM,"['*Blood Transfusion', '*Bone Marrow', '*Granulocyte Precursor Cells', 'Humans', 'Leukemia/*therapy', '*Leukocyte Count', '*Plasma']",['CLML: 4712:525j'],['NLM'],"['*BLOOD TRANSFUSION/plasma', '*BONES/marrow', '*LEUKEMIA/therapy']",1947/02/01 00:00,2014/08/13 06:00,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/02/01 00:00 [pubmed]', '2014/08/13 06:00 [medline]']",ppublish,Am J Med Sci. 1947 Feb;213(2):170-5.,,,,,,,,,,,,,,,,,,,,,,,,
20283751,NLM,MEDLINE,20100318,20181201,0002-9378 (Print) 0002-9378 (Linking),53,1,1947 Jan,Acute leucemia and pregnancy; report of fatal case treated with penicillin.,142-9,"['HARRIS, R', 'TCHERTKOFF, I G', 'GREENWALD, L']","['HARRIS R', 'TCHERTKOFF IG', 'GREENWALD L']",['eng'],['Journal Article'],,United States,Am J Obstet Gynecol,American journal of obstetrics and gynecology,0370476,OM,"['*Acute Disease', 'Female', 'Humans', 'Leukemia/*therapy', '*Penicillins', 'Pregnancy', '*Pregnancy Complications']",['CLML: 4712:521e'],['NLM'],"['*LEUKEMIA/therapy', '*PREGNANCY/complications']",1947/01/01 00:00,2011/01/06 06:00,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/01/01 00:00 [pubmed]', '2011/01/06 06:00 [medline]']",ppublish,Am J Obstet Gynecol. 1947 Jan;53(1):142-9.,['0 (Penicillins)'],['0002-9378(47)90459-6 [pii]'],,,,,,,,,,,,,,,,,,,,,,
20283532,NLM,MEDLINE,20100318,20190917,0007-1935 (Print) 0007-1935 (Linking),102,12,1946 Dec,Case of lymphadenosis in a thoroughbred stallion.,410,"['TUTT, J B']",['TUTT JB'],['eng'],['Journal Article'],,England,Br Vet J,The British veterinary journal,0372554,OM,"['Animals', 'Horses', '*Leukemia', '*Leukemia, Lymphoid', 'Male']",['CLML: 4712:510q'],['NLM'],"['*HORSES', '*LEUKEMIA/lymphatic--in animals']",1946/12/01 00:00,1946/12/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/12/01 00:00 [pubmed]', '1946/12/01 00:01 [medline]']",ppublish,Br Vet J. 1946 Dec;102(12):410. doi: 10.1016/s0372-5545(17)31205-1.,,['10.1016/s0372-5545(17)31205-1 [doi]'],,,,,,,,,,,,,,,,,,,,,,
20283530,NLM,MEDLINE,20100318,20190917,0007-1935 (Print) 0007-1935 (Linking),102,12,1946 Dec,The use of D.D.T. as an antitick sheep dip.,393-7,"['HEATH, G B S']",['HEATH GB'],['eng'],['Journal Article'],,England,Br Vet J,The British veterinary journal,0372554,OM,"['Animals', '*DDT', '*Ethyl Chloride', '*Leukemia', '*Leukemia, Lymphoid', 'Sheep', '*Ticks', '*Urethane']",['CLML: 4712:510o'],['NLM'],"['*CHLOROPHENYL CHLOROETHANE (DDT)', '*ETHYL CARBAMATE/therapy--in veterinary medicine', '*LEUKEMIA/lymphatic--in animals', '*SHEEP-DIP', '*TICKS/eradiction']",1946/12/01 00:00,1946/12/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/12/01 00:00 [pubmed]', '1946/12/01 00:01 [medline]']",ppublish,Br Vet J. 1946 Dec;102(12):393-7. doi: 10.1016/s0372-5545(17)31203-8.,"['3IN71E75Z5 (Urethane)', '46U771ERWK (Ethyl Chloride)', 'CIW5S16655 (DDT)']",['10.1016/s0372-5545(17)31203-8 [doi]'],,,,,,,,,,,,,,,,,,,,,,
20283529,NLM,MEDLINE,20100318,20181201,0007-1935 (Print) 0007-1935 (Linking),102,12,1946 Dec,Record of lymphadenosis (lymphatic leukaemia) in a dog treated with urethane.,389-93,"['INNES, J R M', 'PARRY, H B', 'BERGER, J']","['INNES JR', 'PARRY HB', 'BERGER J']",['eng'],['Journal Article'],,England,Br Vet J,The British veterinary journal,0372554,OM,"['Animals', 'Dogs', '*Leukemia', '*Leukemia, Lymphoid', '*Urethane']",['CLML: 4712:510n'],['NLM'],"['*ETHYL CARBAMATE/therapy--in veterinary medicine', '*LEUKEMIA/lymphatic--in animals']",1946/12/01 00:00,1946/12/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/12/01 00:00 [pubmed]', '1946/12/01 00:01 [medline]']",ppublish,Br Vet J. 1946 Dec;102(12):389-93.,['3IN71E75Z5 (Urethane)'],,,,,,,,,,,,,,,,,,,,,,,
20283528,NLM,MEDLINE,20100318,20181201,0007-1935 (Print) 0007-1935 (Linking),102,12,1946 Dec,Leukaemia in dogs; including a record of a case treated by urethane.,383-93,"['INNES, J R M', 'PARRY, H B', 'BERGER, J']","['INNES JR', 'PARRY HB', 'BERGER J']",['eng'],['Journal Article'],,England,Br Vet J,The British veterinary journal,0372554,OM,"['Animals', 'Dogs', 'Heart/*pathology', 'Humans', '*Leukemia', 'Myocardium/*pathology', '*Urethane']",['CLML: 4712:510m'],['NLM'],['*HEART/pathology'],1946/12/01 00:00,2011/01/06 06:00,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/12/01 00:00 [pubmed]', '2011/01/06 06:00 [medline]']",ppublish,Br Vet J. 1946 Dec;102(12):383-93.,['3IN71E75Z5 (Urethane)'],,,,,,,,,,,,,,,,,,,,,,,
20283083,NLM,MEDLINE,20100329,20190917,0368-3494 (Print) 0368-3494 (Linking),58,3,1946 Jul,Monocytic leukaemoid reaction associated with tuberculosis and a mediastinal teratoma.,469-75,"['GIBSON, A']",['GIBSON A'],['eng'],['Journal Article'],,England,J Pathol Bacteriol,The Journal of pathology and bacteriology,0204750,OM,"['*Endocrine Gland Neoplasms', 'Humans', '*Leukemia', '*Leukemoid Reaction', '*Mediastinal Neoplasms', '*Mediastinum', '*Neoplasms', '*Teratoma', 'Tuberculosis/*blood']",['CLML: 4712:488t'],['NLM'],"['*LEUKEMIA/monocytic', '*MEDIASTINUM/tumors', '*TUBERCULOSIS/blood', '*TUMORS/teratoma']",1946/07/01 00:00,1946/07/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/07/01 00:00 [pubmed]', '1946/07/01 00:01 [medline]']",ppublish,J Pathol Bacteriol. 1946 Jul;58(3):469-75. doi: 10.1002/path.1700580317.,,['10.1002/path.1700580317 [doi]'],,,,,,,,,,,,,,,,,,,,,,
20282243,NLM,MEDLINE,20100318,20201005,0034-9984 (Print) 0034-9984 (Linking),14,7,1946 Jul,Leukemic spleen with twisted pedicle that simulated gynecological disease; splenectomy required.,195-209,"['ZUCKERMANN, C']",['ZUCKERMANN C'],['spa'],['Journal Article'],Bazo leucemico con pediculo torcido que simulo padecimiento ginecologo; esplenectomia necesaria.,Mexico,Rev Mex Cir Ginecol Cancer,"Revista mexicana de cirugia, ginecologia y cancer",9427213,OM,"['Humans', 'Leukemia/*etiology', '*Spleen', '*Splenic Diseases', '*Torsion Abnormality']",['CLML: 4712:445c'],['NLM'],"['*LEUKEMIA/etiology and pathogenesis', '*SPLEEN/torsion']",1946/07/01 00:00,1946/07/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/07/01 00:00 [pubmed]', '1946/07/01 00:01 [medline]']",ppublish,Rev Mex Cir Ginecol Cancer. 1946 Jul;14(7):195-209.,,,,,,,,,,,,,,,,,,,,,,,,
20281837,NLM,MEDLINE,20100318,20181201,0011-7781 (Print) 0011-7781 (Linking),19,1,1947 Jan,Eosinophilic leukemia; case report.,12-4,"['GLOETZNER, H J', 'MARX, H E']","['GLOETZNER HJ', 'MARX HE']",['eng'],['Journal Article'],,United States,Del Med J,Delaware medical journal,0370077,OM,"['Aged', '*Eosinophils', 'Humans', '*Hypereosinophilic Syndrome']",['CLML: 4712:425n'],['NLM'],['*EOSINOPHILS'],1947/01/01 00:00,2011/01/06 06:00,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/01/01 00:00 [pubmed]', '2011/01/06 06:00 [medline]']",ppublish,Del Med J. 1947 Jan;19(1):12-4.,,,,,,,,,,,,,,,,,,,,,,,,
20281836,NLM,MEDLINE,20100318,20181201,0011-7781 (Print) 0011-7781 (Linking),19,1,1947 Jan,Streptomycin in typhoid fever; report of a treatment failure.,9-11,"['GLOETZNER, H J', 'SCOTT, E G']","['GLOETZNER HJ', 'SCOTT EG']",['eng'],['Journal Article'],,United States,Del Med J,Delaware medical journal,0370077,OM,"['Humans', 'Leukemia/*etiology', '*Streptomycin', '*Treatment Failure', 'Typhoid Fever/*therapy']",['CLML: 4712:425m'],['NLM'],"['*LEUKEMIA/etiology and pathogenesis', '*TYPHOID/therapy']",1947/01/01 00:00,1947/01/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/01/01 00:00 [pubmed]', '1947/01/01 00:01 [medline]']",ppublish,Del Med J. 1947 Jan;19(1):9-11.,['Y45QSO73OB (Streptomycin)'],,,,,,,,,,,,,,,,,,,,,,,
20280652,NLM,MEDLINE,20100318,20181201,0008-5472 (Print) 0008-5472 (Linking),7,2,1947 Feb,Stromal malignancy in mouse-grown transplants of egg-cultivated mouse mammary carcinoma.,78-87,"['TAYLOR, A', 'CARMICHAEL, N']","['TAYLOR A', 'CARMICHAEL N']",['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,OM,"['Animals', '*Breast', '*Breast Neoplasms', '*Disease', '*Heredity', 'Humans', '*Leukemia', '*Mammary Glands, Human', 'Mice', '*Neoplasms']",['CLML: 4712:362o'],['NLM'],"['*BREAST/cancer', '*CANCER/experimental', '*HEREDITY/in disease', '*LEUKEMIA/lymphatic']",1947/02/01 00:00,1947/02/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/02/01 00:00 [pubmed]', '1947/02/01 00:01 [medline]']",ppublish,Cancer Res. 1947 Feb;7(2):78-87.,,,,,,,,,,,,,,,,,,,,,,,,
20280651,NLM,MEDLINE,20100318,20181201,0008-5472 (Print) 0008-5472 (Linking),7,2,1947 Feb,Chromosomes in lymphatic leukemia of C58 mice.,70-7,"['BIESELE, J J']",['BIESELE JJ'],['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,OM,"['Animals', '*Chromosomes', '*Disease', '*Heredity', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphocytes', 'Mice', 'Mice, Inbred Strains']",['CLML: 4712:362n1'],['NLM'],"['*CHROMOSOMES', '*HEREDITY/in disease', '*LEUKEMIA/lymphatic', '*LYMPHOCYTES']",1947/02/01 00:00,1947/02/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/02/01 00:00 [pubmed]', '1947/02/01 00:01 [medline]']",ppublish,Cancer Res. 1947 Feb;7(2):70-7.,,,,,,,,,,,,,,,,,,,,,,,,
