PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,RF,GR,PMC,SI,TT,AD,EIN,OID
3506526,NLM,MEDLINE,19890324,20131121,0015-5500 (Print) 0015-5500 (Linking),32,5,1986,"Cyclophosphamide- or ifosfamide-treated L 1210 leukaemia cells: immunogenicity, viability and metabolism.",354-65,"We have demonstrated that lymphoid leukaemia L 1210 cells treated with cyclophosphamide or ifosfamide were immunogenic for semisyngeneic CD2F1 mice and that they effectively prevented the development of the later inoculated leukaemia L 1210 cells. Non-dividing and immunogenic L 1210 cells were only obtained when an appropriate dose of cyclophosphamide was applied. These cells lost their immunogenicity after killing by repeated freezing and thawing or after fixing with glutaraldehyde. Non-dividing immunogenic L 1210 cells treated with cyclophosphamide possessed the histocompatibility and tumour-associated transplantation antigens and had the ability to synthesize proteins, the RNA and partially the DNA.","['Skorski, T', 'Kawalec, M', 'Hoser, G']","['Skorski T', 'Kawalec M', 'Hoser G']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Czech Republic,Folia Biol (Praha),Folia biologica,0234640,IM,"['Animals', 'Antigens, Neoplasm/administration & dosage/analysis', 'Cell Division/drug effects', 'Cyclophosphamide/*therapeutic use', 'DNA, Neoplasm/biosynthesis', 'Histocompatibility Antigens/analysis', 'Ifosfamide/*therapeutic use', 'Immunization', 'Leukemia L1210/*drug therapy/immunology/metabolism', 'Mice', 'RNA, Neoplasm/biosynthesis']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,Folia Biol (Praha). 1986;32(5):354-65.,"['0 (Antigens, Neoplasm)', '0 (DNA, Neoplasm)', '0 (Histocompatibility Antigens)', '0 (RNA, Neoplasm)', '0 (tumor-associated transplantation antigen)', '8N3DW7272P (Cyclophosphamide)', 'UM20QQM95Y (Ifosfamide)']",,,,,,,"['Department of Cytophysiology, Medical Centre of Postgraduate Education, Warsaw.']",,
3506322,NLM,MEDLINE,19890323,20091111,0036-5327 (Print) 0036-5327 (Linking),89,6,1987 Jun,[Fine structure of tumor cells in acute leukemia].,167-72,,"['Dorazilova, V', 'Malaskova, V']","['Dorazilova V', 'Malaskova V']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Sb Lek,Sbornik lekarsky,0025770,IM,"['Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Microscopy, Electron', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*pathology']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",ppublish,Sb Lek. 1987 Jun;89(6):167-72.,,,,,,,Jemna struktura nadorovych bunek akutnich leukemii.,,,
3506200,NLM,MEDLINE,19890317,20191029,0269-5022 (Print) 0269-5022 (Linking),1,2,1987 Sep,Competing causes of death in young cases of myeloid leukaemia.,197-8,,"['Stewart, A']",['Stewart A'],['eng'],['Letter'],England,Paediatr Perinat Epidemiol,Paediatric and perinatal epidemiology,8709766,IM,"['Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Myeloid/diagnosis/immunology/*mortality']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",ppublish,Paediatr Perinat Epidemiol. 1987 Sep;1(2):197-8. doi: 10.1111/j.1365-3016.1987.tb00112.x.,,['10.1111/j.1365-3016.1987.tb00112.x [doi]'],,,,,,,,
3506095,NLM,MEDLINE,19890323,20190510,0891-6640 (Print) 0891-6640 (Linking),1,3,1987 Jul-Sep,Fine-needle aspiration of the spleen as an aid in the diagnosis of splenomegaly.,102-9,"Results from transabdominal fine-needle aspiration of the spleen in 28 dogs and 5 cats are reported. Splenomegaly was present in 79% of these patients, and splenic masses were present in 15%. Extramedullary hematopoiesis, the most common cytologic diagnosis, was found in 24% of the patients and was associated with a variety of diseases including immune hemolytic anemia, hemangiosarcoma, and bone marrow hypoplasia. Hematopoietic neoplasms including lymphosarcoma, plasmacytoma, myelogenous leukemia, and systemic mastocytosis were diagnosed in 24% of the patients. Other diagnoses included malignant neoplasia of undetermined cell type and lymphoreticular hyperplasia. Splenic aspirates were considered normal in 18% of the animals. Two (6%) of the aspirates contained liver tissue rather than spleen. Histologic evaluation of splenic tissue was performed in 42.5% of the patients. All cytologic diagnoses correlated well with their final histologic diagnoses. Complications from the aspiration procedure were not observed, even in thrombocytopenic patients.","[""O'Keefe, D A"", 'Couto, C G']","[""O'Keefe DA"", 'Couto CG']",['eng'],['Journal Article'],United States,J Vet Intern Med,Journal of veterinary internal medicine,8708660,IM,"['Animals', 'Biopsy, Needle/veterinary', 'Cat Diseases/*diagnosis/pathology', 'Cats', 'Dog Diseases/*diagnosis/pathology', 'Dogs', 'Hemangiosarcoma/diagnosis/pathology/*veterinary', 'Hematopoiesis, Extramedullary', 'Spleen/*ultrastructure', 'Splenic Diseases/diagnosis/veterinary', 'Splenic Neoplasms/diagnosis/pathology/*veterinary', 'Splenomegaly/diagnosis/pathology/*veterinary']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']",ppublish,J Vet Intern Med. 1987 Jul-Sep;1(3):102-9. doi: 10.1111/j.1939-1676.1987.tb01997.x.,,['10.1111/j.1939-1676.1987.tb01997.x [doi]'],,,,,,"['Department of Veterinary Clinical Sciences, Ohio State University, Columbus 43210.']",,
3505901,NLM,MEDLINE,19890320,20071115,0392-128X (Print) 0392-128X (Linking),7,1,1987 Jan-Mar,[Biological and clinical significance of glycocorticoid receptors in acute lymphatic leukemia].,17-22,,"['De Meo, M A', 'Propato, B', 'Dominici, C', 'Fiorenti, C', 'De Devitis, R', 'Marchei, P']","['De Meo MA', 'Propato B', 'Dominici C', 'Fiorenti C', 'De Devitis R', 'Marchei P']",['ita'],"['English Abstract', 'Journal Article']",Italy,G Ital Oncol,Giornale italiano di oncologia,8508370,IM,"['Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*metabolism', 'Prognosis', 'Receptors, Glucocorticoid/*analysis']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,G Ital Oncol. 1987 Jan-Mar;7(1):17-22.,"['0 (Receptors, Glucocorticoid)']",,,,,,Significato biologico e clinico dei recettori per i glicocorticoidi nella leucemia linfatica acuta.,,,
3505898,NLM,MEDLINE,19890314,20091119,0275-2778 (Print) 0275-2778 (Linking),4,,1986,Properties of the met oncogene.,239-52,,"['Vande Woude, G F', 'Dean, M', 'Gonzatti-Haces, M', 'Iyer, A', 'Kaul, K', 'Robins, T', 'Park, M', 'Blair, D G']","['Vande Woude GF', 'Dean M', 'Gonzatti-Haces M', 'Iyer A', 'Kaul K', 'Robins T', 'Park M', 'Blair DG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Gene Amplif Anal,Gene amplification and analysis,8101596,IM,"['Animals', 'Base Sequence', 'Cell Line, Transformed', '*Cell Transformation, Neoplastic', 'Chromosome Aberrations', 'Chromosome Mapping', 'Chromosomes, Human, Pair 7', 'Cloning, Molecular', 'Cystic Fibrosis/genetics', 'Gene Expression Regulation', 'Humans', 'Leukemia, Myeloid, Acute/genetics', 'Mice', 'Mice, Nude', 'Molecular Sequence Data', '*Oncogenes', 'Protein-Tyrosine Kinases/genetics', 'RNA, Messenger/biosynthesis/genetics', 'Sequence Homology, Nucleic Acid']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,Gene Amplif Anal. 1986;4:239-52.,"['0 (RNA, Messenger)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",,,['N01-CO-23909/CO/NCI NIH HHS/United States'],,,,"['LBI-Basic Research Program, NCI-Frederick Cancer Research Facility, Maryland 21701.']",,
3505887,NLM,MEDLINE,19890323,20190919,0016-6707 (Print) 0016-6707 (Linking),73,1-2,1987 Aug 31,"Genetics of primate lymphomas in a baboon (Papio hamadryas) colony of Sukhumi, USSR.",145-57,"A lymphoma outbreak occurred at the Sukhumi Center in the Late 1960's, when 12 baboons were inoculated with blood from human leukemia patients. Out of a total of 3219 animals, 218 contracted lymphoma and died. This outbreak appears to be primarily horizontal in transmission. Genetic investigations reveal that: (1) inbreeding does not increase risk of lymphoma; (2) there is a weak association between the PGM2 locus and lymphoma; (3) based upon path analysis, there is evidence of a significant transmissible component (genetic predisposition) passed from the parental to the next generation.","['Crawford, M H', 'Devor, E J', ""O'Rourke, D H"", 'Yakovleva, L A', 'Voevodin, A F', 'Lapin, B A']","['Crawford MH', 'Devor EJ', ""O'Rourke DH"", 'Yakovleva LA', 'Voevodin AF', 'Lapin BA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Genetica,Genetica,0370740,IM,"['Animals', 'Genetic Variation', 'Genotype', 'Lymphoma/epidemiology/genetics/*veterinary', 'Monkey Diseases/*epidemiology/genetics', 'Papio', 'USSR']",1987/08/31 00:00,1987/08/31 00:01,['1987/08/31 00:00'],"['1987/08/31 00:00 [pubmed]', '1987/08/31 00:01 [medline]', '1987/08/31 00:00 [entrez]']",ppublish,Genetica. 1987 Aug 31;73(1-2):145-57. doi: 10.1007/BF00057445.,,['10.1007/BF00057445 [doi]'],,['263-77-C-0521/PHS HHS/United States'],,,,"['Department of Anthropology, University of Kansas, Lawrence 66045.']",,
3505858,NLM,MEDLINE,19890322,20071115,0012-835X (Print) 0012-835X (Linking),64,8,1987 Aug,"The chronic leukaemias in Benin City, Nigeria.",533-7,,"['Adedeji, M O', 'Famodu, A A']","['Adedeji MO', 'Famodu AA']",['eng'],['Journal Article'],Kenya,East Afr Med J,East African medical journal,0372766,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Female', 'Humans', '*Leukemia, Lymphocytic, Chronic, B-Cell/complications/drug therapy/mortality', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications/drug therapy/mortality', 'Male', 'Middle Aged', 'Nigeria', 'Retrospective Studies']",1987/08/01 00:00,1987/08/01 00:01,['1987/08/01 00:00'],"['1987/08/01 00:00 [pubmed]', '1987/08/01 00:01 [medline]', '1987/08/01 00:00 [entrez]']",ppublish,East Afr Med J. 1987 Aug;64(8):533-7.,,,,,,,,,,
3505515,NLM,MEDLINE,19890308,20091111,0019-509X (Print) 0019-509X (Linking),24,4,1987 Dec,Patterns of psychological disturbance among leukemia patients and their relatives.,264-71,,"['Petal, M J', 'Sinha, B K', 'Shah, P M', 'Vankar, G K', 'Parikh, B J']","['Petal MJ', 'Sinha BK', 'Shah PM', 'Vankar GK', 'Parikh BJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",India,Indian J Cancer,Indian journal of cancer,0112040,IM,"['*Adaptation, Psychological', 'Adult', '*Family', 'Female', 'Humans', 'Leukemia/*psychology', 'Male', 'Psychological Tests', '*Sick Role']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Indian J Cancer. 1987 Dec;24(4):264-71.,,,,,,,,,,
3505508,NLM,MEDLINE,19890308,20091111,0019-509X (Print) 0019-509X (Linking),24,4,1987 Dec,"Non-Hodgkin's lymphomas in children, clinical histological and treatment analysis.",202-9,,"['Gopal, R', 'Advani, S H', 'Arora, S', 'Nair, C N', 'Saikia, T K', 'Pai, S K', 'Nadkarni, K S', 'Kurkure, P A', 'Pai, V R', 'Pande, S C']","['Gopal R', 'Advani SH', 'Arora S', 'Nair CN', 'Saikia TK', 'Pai SK', 'Nadkarni KS', 'Kurkure PA', 'Pai VR', 'Pande SC', 'et al.']",['eng'],['Journal Article'],India,Indian J Cancer,Indian journal of cancer,0112040,IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Biopsy, Needle', 'Bone Marrow/pathology', 'Child', 'Child, Preschool', 'Combined Modality Therapy', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/pathology', 'Lymphoma, Non-Hodgkin/drug therapy/*pathology', 'Male', 'Neoplasm Staging']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Indian J Cancer. 1987 Dec;24(4):202-9.,,,,,,,,,,
3505507,NLM,MEDLINE,19890308,20091111,0019-509X (Print) 0019-509X (Linking),24,4,1987 Dec,Hemangioendothelioma following chronic granulocytic leukemia--a case report.,196-201,,"['Gupta, R', 'Swaroop, D', 'Saikia, T', 'Chinoy, R', 'Advani, S']","['Gupta R', 'Swaroop D', 'Saikia T', 'Chinoy R', 'Advani S']",['eng'],"['Case Reports', 'Journal Article']",India,Indian J Cancer,Indian journal of cancer,0112040,IM,"['Adult', 'Biopsy', 'Bone Marrow/pathology', 'Hemangioendothelioma/*pathology', 'Humans', 'Leukemia, Myeloid/*pathology', 'Lymph Nodes/pathology', 'Male', 'Neoplasms, Multiple Primary/*pathology', 'Soft Tissue Neoplasms/*pathology', 'Thoracic Neoplasms/*pathology']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Indian J Cancer. 1987 Dec;24(4):196-201.,,,,,,,,,,
3505260,NLM,MEDLINE,19890222,20041117,0025-7850 (Print) 0025-7850 (Linking),18,5-6,1987,Treatment of hairy cell leukemia with alpha-interferon and splenectomy.,375-83,"A typical case of hairy cell leukemia, very rare in Japan, is described. The biological characteristics of the disease and histological features of liver and spleen are also reported. Treatment with alpha-interferon and splenectomy was successfully performed, and the patient is now in good health.","['Tominaga, S', 'Watanabe, A', 'Higashi, T', 'Hato, S', 'Itoshima, T', 'Hyodo, I', 'Okushin, H', 'Kita, K', 'Nagashima, H']","['Tominaga S', 'Watanabe A', 'Higashi T', 'Hato S', 'Itoshima T', 'Hyodo I', 'Okushin H', 'Kita K', 'Nagashima H']",['eng'],"['Case Reports', 'Journal Article']",United States,J Med,Journal of medicine,7505566,IM,"['Follow-Up Studies', 'Humans', 'Interferon Type I/*therapeutic use', 'Leukemia, Hairy Cell/diagnosis/surgery/*therapy', 'Liver/pathology', 'Male', 'Middle Aged', 'Spleen/pathology', '*Splenectomy']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,J Med. 1987;18(5-6):375-83.,['0 (Interferon Type I)'],,,,,,,"['First Department of Internal Medicine, Okayama University Medical School, Japan.']",,
3505257,NLM,MEDLINE,19890222,20071115,0025-7850 (Print) 0025-7850 (Linking),18,5-6,1987,Incidence and clinical significance of peripheral and bone marrow basophilia.,293-303,"We reviewed 2110 bone marrow aspirations from the same number of patients to establish the incidence and associations of peripheral and bone marrow basophilia. Of these, 125 cases of marrow basophilia (5.9% incidence) and 63 cases of peripheral basophilia (3.0% incidence) were identified. There were 33 patients with simultaneous marrow and peripheral basophilia, which was only significantly associated with chronic myelogenous leukemia (24 cases). Isolated peripheral basophilia was rarely seen (30 patients, 1.4% incidence) and it did not reflect any significant pathologic association. Marrow basophilia was significantly present in chronic myeloproliferative disorders, idiopathic myelodysplasia, certain erythrocyte disorders, such as iron deficiency anemia, and aplastic anemia. The incidence of marrow basophilia in patients with lymphoma, acute leukemia, or solid carcinoma was not significantly different from what it would be as a chance occurrence. Our findings suggest that marrow basophilia is a specific, but not sensitive, marker of myeloproliferative and dysmyelopoietic syndromes.","['Arnalich, F', 'Lahoz, C', 'Larrocha, C', 'Zamorano, A F', 'Jimenez, C', 'Gasalla, R', 'Garcia-Puig, J', 'Vazquez, J J']","['Arnalich F', 'Lahoz C', 'Larrocha C', 'Zamorano AF', 'Jimenez C', 'Gasalla R', 'Garcia-Puig J', 'Vazquez JJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med,Journal of medicine,7505566,IM,"['Adult', 'Aged', 'Basophils/*cytology', 'Bone Marrow/*pathology', 'Female', 'Hematologic Diseases/*blood/pathology', 'Humans', 'Leukemia, Myeloid, Acute/*blood/pathology', 'Leukocyte Count', 'Lymphoma/*blood/pathology', 'Male', 'Middle Aged']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,J Med. 1987;18(5-6):293-303.,,,,,,,,"['Department of Medicine, La Paz Hospital, Facultad Autonoma de Medicine, Madrid, Spain.']",,
3505127,NLM,MEDLINE,19890209,20071115,0041-4131 (Print) 0041-4131 (Linking),65,2,1987 Feb,[Acute granulocytic leukemia in children. Apropos of 51 cases].,97-102,,"['Karoui, M', 'Hafsia, A', 'Boussen, M']","['Karoui M', 'Hafsia A', 'Boussen M']",['fre'],"['English Abstract', 'Journal Article']",Tunisia,Tunis Med,La Tunisie medicale,0413766,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Humans', 'Leukemia, Myeloid, Acute/complications/*pathology/therapy', 'Remission Induction', 'Retrospective Studies', 'Tunisia']",1987/02/01 00:00,1987/02/01 00:01,['1987/02/01 00:00'],"['1987/02/01 00:00 [pubmed]', '1987/02/01 00:01 [medline]', '1987/02/01 00:00 [entrez]']",ppublish,Tunis Med. 1987 Feb;65(2):97-102.,,,,,,,Leucemie aigue granuleuse de l'enfant. A propos de 51 cas.,,,
3504753,NLM,MEDLINE,19890130,20190828,0307-6938 (Print) 0307-6938 (Linking),12,6,1987 Nov,Hairy-cell leukaemia presenting with pyoderma gangrenosum.,451-2,,"['Cartwright, P H', 'Rowell, N R']","['Cartwright PH', 'Rowell NR']",['eng'],"['Case Reports', 'Journal Article']",England,Clin Exp Dermatol,Clinical and experimental dermatology,7606847,IM,"['Aged', 'Humans', 'Interferon Type I/*therapeutic use', 'Leukemia, Hairy Cell/*complications/therapy', 'Male', 'Pyoderma/*etiology/therapy']",1987/11/01 00:00,1987/11/01 00:01,['1987/11/01 00:00'],"['1987/11/01 00:00 [pubmed]', '1987/11/01 00:01 [medline]', '1987/11/01 00:00 [entrez]']",ppublish,Clin Exp Dermatol. 1987 Nov;12(6):451-2. doi: 10.1111/j.1365-2230.1987.tb01947.x.,['0 (Interferon Type I)'],['10.1111/j.1365-2230.1987.tb01947.x [doi]'],,,,,,,,
3504645,NLM,MEDLINE,19890125,20071115,0041-4131 (Print) 0041-4131 (Linking),65,3,1987 Mar,[Therapeutic results of acute lymphoblastic leukemia in children in Tunisia (181 cases)].,183-7,,"['Meddeb, B', 'Ben Abdallah, M', 'Hafsia, R', 'Ben Othman, T', 'Hafsia, A', 'Mtimet, S', 'Boussen, M']","['Meddeb B', 'Ben Abdallah M', 'Hafsia R', 'Ben Othman T', 'Hafsia A', 'Mtimet S', 'Boussen M']",['fre'],"['English Abstract', 'Journal Article']",Tunisia,Tunis Med,La Tunisie medicale,0413766,IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Humans', 'Neoplasm Recurrence, Local', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prognosis', 'Remission Induction', 'Retrospective Studies', 'Tunisia']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",ppublish,Tunis Med. 1987 Mar;65(3):183-7.,,,,,,,Resultats therapeutiques des leucemies aigues lymphoblastiques de l'enfant en Tunisie (181 cas).,,,
3504606,NLM,MEDLINE,19890126,20081121,0049-5522 (Print) 0049-5522 (Linking),30,4,1987,[Changes in specific and nonspecific immunity in children with acute lymphoblastic leukemia and in children with malignant lymphogranuloma].,467-74,,"['Polak, J', 'Horacek, J', 'Turkova, M', 'Chylkova, V']","['Polak J', 'Horacek J', 'Turkova M', 'Chylkova V']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Sb Ved Pr Lek Fak Karlovy Univerzity Hradci Kralove Suppl,Sbornik vedeckych praci Lekarske fakulty Karlovy univerzity v Hradci Kralove. Supplementum,0414150,IM,"['Antibodies, Viral/*analysis', 'Child', 'Hodgkin Disease/*immunology', 'Humans', 'Immunity, Innate', 'Immunoglobulins/*analysis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*immunology']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Sb Ved Pr Lek Fak Karlovy Univerzity Hradci Kralove Suppl. 1987;30(4):467-74.,"['0 (Antibodies, Viral)', '0 (Immunoglobulins)']",,,,,,Nektere zmeny specificke a nespecificke imunity u deti' s akutni lymfoblastickou leukemii a u deti s maligni'm lymfogranulomem.,,,
3504550,NLM,MEDLINE,19890119,20131121,0885-3185 (Print) 0885-3185 (Linking),2,3,1987,Parkinsonism induced by high-dose cytosine arabinoside.,219-22,"We report a severe parkinsonian condition following high dose, parenteral cytosine arabinoside (Cytosar) that persisted for 8 weeks. The drug was used in a patient with acute myelogenous leukemia that was refractory to all other treatment. The syndrome was partially responsive to antiparkinsonian drugs and fortunately remitted completely within 12 weeks.","['Luque, F A', 'Selhorst, J B', 'Petruska, P']","['Luque FA', 'Selhorst JB', 'Petruska P']",['eng'],"['Case Reports', 'Journal Article']",United States,Mov Disord,Movement disorders : official journal of the Movement Disorder Society,8610688,IM,"['Carbidopa/administration & dosage', 'Cytarabine/administration & dosage/*adverse effects', 'Dose-Response Relationship, Drug', 'Drug Combinations/administration & dosage', 'Female', 'Humans', 'Leukemia, Myelomonocytic, Acute/*drug therapy', 'Levodopa/administration & dosage', 'Middle Aged', 'Parkinson Disease, Secondary/*chemically induced/drug therapy']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Mov Disord. 1987;2(3):219-22. doi: 10.1002/mds.870020309.,"['0 (Drug Combinations)', '0 (carbidopa, levodopa drug combination)', '04079A1RDZ (Cytarabine)', '46627O600J (Levodopa)', 'MNX7R8C5VO (Carbidopa)']",['10.1002/mds.870020309 [doi]'],,,,,,"['Department of Neurology, Saint Louis University School of Medicine, Missouri 63110.']",,
3504436,NLM,MEDLINE,19890126,20071115,0886-0238 (Print) 0886-0238 (Linking),1,4,1987,Karyotype is prognostically more important than the FAB system's distinction between myelodysplastic syndrome and acute myelogenous leukemia.,203-8,"Patients with myelodysplastic syndrome (MDS) and patients with acute myelogenous leukemia (AML) share certain specific karyotypes. Therefore, we compared the relative importance of karyotype and morphology (MDS vs. AML) in determining survival in these patients. We analyzed 768 patients with a banded karyotype who presented as either MDS or AML. Patients with ""unfavorable"" karyotypes had similarly short survivals regardless of whether they were classified as refractory anemia with excess blasts (RAEB), refractory anemia with excess blasts in transformation (RAEBT), or AML. Patients with diploid karyotypes survived significantly longer, again with relatively minor differences between patients with RAEB, RAEBT, and AML. We conclude that classification of patients with excess myeloblasts in the marrow might more appropriately be based on cytogenetics than on the distinction between MDS and AML.","['Estey, E H', 'Keating, M J', 'Dixon, D O', 'Trujillo, J M', 'McCredie, K B', 'Freireich, E J']","['Estey EH', 'Keating MJ', 'Dixon DO', 'Trujillo JM', 'McCredie KB', 'Freireich EJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Hematol Pathol,Hematologic pathology,8707764,IM,"['Anemia, Refractory, with Excess of Blasts/genetics/mortality', 'Anemia, Sideroblastic/genetics/mortality', 'Cell Transformation, Neoplastic/pathology', 'Diagnosis, Differential', 'Humans', '*Karyotyping', 'Leukemia, Myeloid, Acute/*genetics/mortality', 'Leukemia, Myelomonocytic, Chronic/genetics/mortality', 'Myelodysplastic Syndromes/*classification/genetics/mortality', 'Prognosis']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Hematol Pathol. 1987;1(4):203-8.,,,,"['CA28153/CA/NCI NIH HHS/United States', 'CA39809/CA/NCI NIH HHS/United States']",,,,"['Department of Hematology, University of Texas, Houston 77030.']",,
3504435,NLM,MEDLINE,19890126,20131121,0886-0238 (Print) 0886-0238 (Linking),1,2,1987,Acute myeloid leukemia and other myelopathic disorders following treatment with alkylating agents.,99-104,"Several large cohorts of patients treated with alkylating agents served as a means to review the clinical and pathologic features of 55 cases of myelopathic disorders that resulted. The incidence was 1.8% overall and consisted of five patients (9.9%) who developed bone marrow hypoplasia or aplasia, 15 (27.2%) who developed a myelodysplastic syndrome, and 35 cases of acute myeloid leukemia (62.9%). The median time to recognition of MPD was 14 months, following cessation of chemotherapy. The distribution of the treatment-related MDS cases was different than ""de novo"" MDS with a high percentage of RAEB-T, and with the treatment related AMLs, there were a higher percentage of patients with FAB M6 (erythroleukemia), and no cases of FAB M3 (hypergranular promyelocytic). The median survival of all patients was very brief.","['Bennett, J M', 'Moloney, W C', 'Greene, M H', 'Boice, J D Jr']","['Bennett JM', 'Moloney WC', 'Greene MH', 'Boice JD Jr']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Hematol Pathol,Hematologic pathology,8707764,IM,"['Adolescent', 'Adult', 'Aged', 'Alkylating Agents/*adverse effects', 'Anemia, Aplastic/*chemically induced/genetics', 'Child', 'Child, Preschool', 'Chlorambucil/adverse effects', 'Cyclophosphamide/adverse effects', 'Female', 'Gastrointestinal Neoplasms/complications/drug therapy', 'Humans', 'Infant', 'Karyotyping', 'Leukemia, Myeloid, Acute/*chemically induced/genetics/pathology', 'Male', 'Melphalan/adverse effects', 'Middle Aged', 'Myelodysplastic Syndromes/*chemically induced/genetics/pathology', 'Ovarian Neoplasms/complications/drug therapy']",1987/01/01 00:00,2001/03/28 10:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Hematol Pathol. 1987;1(2):99-104.,"['0 (Alkylating Agents)', '18D0SL7309 (Chlorambucil)', '8N3DW7272P (Cyclophosphamide)', 'Q41OR9510P (Melphalan)']",,,"['CA 11083/CA/NCI NIH HHS/United States', 'CA 11198/CA/NCI NIH HHS/United States']",,,,"['University of Rochester Cancer Center, New York 14642.']",,
