PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,PMC,TT,RF,GR,MID,OID,OAB,OABL,OTO,OT
191190,NLM,MEDLINE,19770512,20191210,0361-5960 (Print) 0361-5960 (Linking),60,11,1976 Nov,"Antitumor activity of 1,2-bis diazoacetyl ethane.",1601-4,"['Emanuel, N M', 'Konovalova, N P', 'Djachkovskaya, R F']","['Emanuel NM', 'Konovalova NP', 'Djachkovskaya RF']",['eng'],['Journal Article'],United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['0 (Antineoplastic Agents)', '0 (Azo Compounds)', '0 (Diazonium Compounds)', '0 (Succinates)', '19690-35-8 (diazan)']",IM,"['Adenocarcinoma/drug therapy', 'Animals', '*Antineoplastic Agents', 'Azo Compounds/administration & dosage/*therapeutic use/toxicity', 'Carcinoma, Hepatocellular/drug therapy', 'Diazonium Compounds', 'Drug Evaluation, Preclinical', 'Lethal Dose 50', 'Leukemia L1210/drug therapy', 'Leukocyte Count', 'Liver Neoplasms', 'Melanoma/drug therapy', 'Mice', 'Neoplasms, Experimental/drug therapy', 'Rats', 'Spleen/drug effects', 'Succinates/administration & dosage/therapeutic use/toxicity']",1976/11/01 00:00,1976/11/01 00:01,['1976/11/01 00:00'],"['1976/11/01 00:00 [pubmed]', '1976/11/01 00:01 [medline]', '1976/11/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1976 Nov;60(11):1601-4.,"1,2-Bis diazoacetyl ethane (diazane) was selected for a detailed study as the most active compound in a large group of mono- and bi-functional diazoketones subjected to screening. In this paper data on the toxicity and cumulative and antitumor effects of diazane are reported. Diazane markedly inhibits the growth of certain experimental tumors and increases the mean survival time of animals with leukemias, even after a single injection. The drug is characterized by a high level of accumulation in the body.",,,,,,,,,,
191180,NLM,MEDLINE,19770520,20021101,0008-5472 (Print) 0008-5472 (Linking),37,4,1977 Apr,"Continued presence of similar transformation-associated antigens related to murine oncornavirus proteins in -ransformed cells, morphological revertants, and cells restricted in the expression of transformation.",1170-4,"['Rieber, M', 'Bacalao, J', 'Rieber, M']","['Rieber M', 'Bacalao J', 'Rieber M']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antigens, Neoplasm)', '0 (Antigens, Viral)', '0 (Glycoproteins)', '0 (Viral Proteins)']",IM,"['*Antigens, Neoplasm', '*Antigens, Viral', '*Cell Transformation, Neoplastic', 'Gammaretrovirus/*immunology', 'Glycoproteins/immunology', 'Immunoelectrophoresis', 'Molecular Weight', 'Phenotype', 'Retroviridae/immunology', 'Viral Proteins/*immunology']",1977/04/01 00:00,1977/04/01 00:01,['1977/04/01 00:00'],"['1977/04/01 00:00 [pubmed]', '1977/04/01 00:01 [medline]', '1977/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1977 Apr;37(4):1170-4.,"The possible alteration of transformation-related antigens in cells that revert to a normal phenotype but that continue to retain the viral genome, has been investigated in [3H]glucosamine-labeled extracts of rat cells exhibiting a reversible temperature-dependent restriction in the expression of transformation and in a comparison of a morphologically altered mouse cell transformed by the Kirsten sarcoma virus with a flat revertant mouse cell derived from the morphologically transformed cells. With the use of normal goat serum in the presence of dibutyryl cyclic 3':5'-adenosine monophosphate, some differences became obvious in the rat cells restricted in the expression of transformation. However, use of specific antiserum to murine leukemia virus revealed in every case the presence of major components that exhibited an electrophoretic mobility corresponding to about 100,000 daltons both in the parent and revertant mouse cells and in the rat cells exhibiting either untransformed or transformed growth properties. The glycoprotein components detected only by the immune serum may represent a cellular macromolecule antigenically related to an interspecies C-type viral species whose concentration is increased in transformed cells.",,,,,,,,,,
191179,NLM,MEDLINE,19770520,20131121,0008-5472 (Print) 0008-5472 (Linking),37,4,1977 Apr,Demonstration of different glycosylated antigens in C-type virus-transformed and infected rat cells by antiserum to murine leukemia virus.,1165-9,"['Rieber, M', 'Bacalao, J', 'Rieber, M', 'Alonso, G']","['Rieber M', 'Bacalao J', 'Rieber M', 'Alonso G']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antibodies, Viral)', '0 (Antigens, Neoplasm)', '0 (Antigens, Viral)', '0 (Glycoproteins)', '0 (Neoplasm Proteins)', '0 (Viral Proteins)', 'N08U5BOQ1K (Glucosamine)']",IM,"['*Antibodies, Viral', 'Antigens, Neoplasm/*isolation & purification', 'Antigens, Viral/*isolation & purification', '*Cell Transformation, Neoplastic', 'Cells, Cultured', 'Glucosamine/metabolism', 'Glycoproteins/immunology', 'Immunoelectrophoresis', 'Molecular Weight', 'Neoplasm Proteins/immunology', 'Rauscher Virus/*immunology', 'Retroviridae/*immunology', 'Viral Proteins/immunology']",1977/04/01 00:00,1977/04/01 00:01,['1977/04/01 00:00'],"['1977/04/01 00:00 [pubmed]', '1977/04/01 00:01 [medline]', '1977/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1977 Apr;37(4):1165-9.,"[3H]Glucosamine labeling of untransformed cells, C-type virus-transformed cells, and virus-infected cells and subsequent analysis by polyacrylamide gel electrophoresis and fluorography permitted the detection of a Pronase-sensitive macromolecular labeling that appeared in about eight regions of radioactivity in every case. Reactions of cell extracts with antiserum to Tween-ether-disrupted purified murine leukemia virus revealed, in most transformed cells, two components with a mobility of about 100,000 daltons, whereas C-type virus-infected cells revealed their radioactivity mainly in a region nearer to that of the major viral glycoprotein at about 69,000 daltons. No comparable components were apparent from the reaction of transformed or infected extracts with preimmune serum or from the reaction of untransformed uninfected cells and immune serum.",,,,,,,,,,
191121,NLM,MEDLINE,19770520,20210216,0006-4971 (Print) 0006-4971 (Linking),49,4,1977 Apr,Ultrastructural cytochemical analysis of blastic transformation of chronic myelocytic leukemia.,535-47,"['Palakavongs, P', 'Teichberg, S', 'Vinciguerra, V', 'Degnan, T J', 'Sinlaratana, P']","['Palakavongs P', 'Teichberg S', 'Vinciguerra V', 'Degnan TJ', 'Sinlaratana P']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['EC 1.11.1.7 (Peroxidase)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",IM,"['Alkaline Phosphatase/blood', 'Bone Marrow/*ultrastructure', '*Bone Marrow Cells', 'Cell Transformation, Neoplastic', 'Chromosome Aberrations', 'Cytoplasmic Granules/enzymology', 'Histocytochemistry', 'Humans', 'Leukemia, Myeloid/*blood', 'Peroxidase/blood']",1977/04/01 00:00,1977/04/01 00:01,['1977/04/01 00:00'],"['1977/04/01 00:00 [pubmed]', '1977/04/01 00:01 [medline]', '1977/04/01 00:00 [entrez]']",['S0006-4971(20)68025-9 [pii]'],ppublish,Blood. 1977 Apr;49(4):535-47.,"Ultrastructural cytochemical changes occurring during the blast phase of chronic myelocytic leukemia (CML) are described. Normal developing promyelocytes contain myeloperoxidase (MPO) -positive rough endoplasmic reticulum, nuclear envelope, and Golgi apparatus. All secretory granules of normal promyelocytes are also MPO-positive. In this study we have found abnormal promyelocytes with MPO-positive as well as MPO-negative secretory granules in blast phase CML patients which contrast with the normal pattern of MPO distribution in most CML patients not in the blast phase or in nonleukemic controls. Alkaline phosphatase activity was found in the nuclear envelope of blasts and promyelocytes of one of the blast transformation patients who had a markedly increased leukocyte alkaline phosphatase score. The cytochemical changes in the distribution of MPO suggest that immature leukemic cells may alter their patterns of secretory granule production. Such processes may reflect the emergence of an abnormal clone of cells during the blastic transformation of CML.",,,,,,,,,,
191115,NLM,MEDLINE,19770520,20141120,0300-0893 (Print) 0300-0893 (Linking),24,6,1976 Dec 15,Genetic influence in murine viral leukemogenesis.,374-80,"['Meredith, R F', 'Okunewick, J P']","['Meredith RF', 'Okunewick JP']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",France,Biomedicine,Biomedicine / [publiee pour l'A.A.I.C.I.G.],0361342,"['0 (Antigens)', '0 (Histocompatibility Antigens)', '0 (Viral Proteins)']",IM,"['Animals', 'Antigens/analysis', '*Genes', 'Histocompatibility Antigens/analysis', 'In Vitro Techniques', 'Leukemia Virus, Murine', 'Mice', 'Mice, Inbred Strains', 'Species Specificity', 'Terminology as Topic', 'Tumor Virus Infections/*genetics/immunology', 'Viral Proteins/analysis']",1976/12/15 00:00,1976/12/15 00:01,['1976/12/15 00:00'],"['1976/12/15 00:00 [pubmed]', '1976/12/15 00:01 [medline]', '1976/12/15 00:00 [entrez]']",,ppublish,Biomedicine. 1976 Dec 15;24(6):374-80.,"Studies carried out over the past four decades on factors controlling the susceptibility to viral leukemias in mice have shown the existence of specific controlling gene loci. Evidence from a number of studies using various mouse strains and different leukemia viruses has shown that the controlling genes may act either directly or indirectly. ""In vitro"" experiments have shown controlling effects directed by the prospective target cells themselves in which effective virus infection and/or and/or replication is inhibitied. From ""in vivo"" experiments it is also evident that susceptibility may be controlled through indirect means mediated by immune relationships and other factors involved in the basic regulations of hematopoiesis. The present paper presents a brief review of the various genes known to control susceptibility and resistance to murine leukemia viruses. Certain conflicts in the literature relating to the naming of particular specific genes by different laboratories is also discussed, and some minor revisions in nomenclature designed to resolve some of the existing confusion are proposed.",,,,,,,,,,
191037,NLM,MEDLINE,19770415,20131121,0004-4172 (Print) 0004-4172 (Linking),26,10,1976,[Novel Bis-sulfonic Acid Esters with Cytostatic Activity (author's transl)].,1800-9,"['Senning, A', 'Buchholt, H C', 'Bierling, R']","['Senning A', 'Buchholt HC', 'Bierling R']",['ger'],"['English Abstract', 'Journal Article']",Germany,Arzneimittelforschung,Arzneimittel-Forschung,0372660,"['0 (Alkylating Agents)', '0 (Mesylates)', 'G1LN9045DK (Busulfan)']",IM,"['*Alkylating Agents', 'Animals', 'Busulfan/analogs & derivatives', 'Chemical Phenomena', 'Chemistry', 'Leukemia L1210/drug therapy', 'Mesylates/*chemical synthesis', 'Mice', 'Structure-Activity Relationship']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Arzneimittelforschung. 1976;26(10):1800-9.,The introduction of electron-withdrawing groups into the group R of piposulfan analogs R--SO2--O--X--O--SO2--R substantially increases their antileukemic activity in animal tests (leukemia L 1210). The central moiety X can be varied considerably (provided it contains amide groups) without appreciable loss of activity. A number of busulfan analogs as well as busulfan itself proved to be practically inactive against murine leukemia L 1210. Among a total of 122 bis-sulfonic acid esters tested 35 gave a survival time index of 150% or more after i.p. application and 5 after oral application.,,Neue Bis-sulfonsaureester mit zytostatischer wirkung,,,,,,,,
190972,NLM,MEDLINE,19770428,20061115,0003-911X (Print) 0003-911X (Linking),46,5,1976,[The vehaviour of monoaminooxydase (MAO) activity in tumours. I. MAO activity measurement in experimental tumours (author's transl)].,360-4,"['Kaminski, K', 'Bodziony, J', 'Matuszewski, W', 'Winter, R', 'Waronski']","['Kaminski K', 'Bodziony J', 'Matuszewski W', 'Winter R', 'Waronski']",['ger'],"['English Abstract', 'Journal Article']",Germany,Arch Geschwulstforsch,Archiv fur Geschwulstforschung,0372411,['EC 1.4.3.4 (Monoamine Oxidase)'],IM,"['Animals', 'Ascites/enzymology', 'Carcinoma, Hepatocellular/enzymology', 'Leukemia L1210/enzymology', 'Liver/enzymology', 'Liver Neoplasms', 'Mice', 'Mice, Inbred DBA', 'Monoamine Oxidase/*metabolism', 'Neoplasms, Experimental/*enzymology', 'Sarcoma 180/enzymology']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Arch Geschwulstforsch. 1976;46(5):360-4.,"The activity of MAO (EC 1.4.3.4) was measured in liver homogenates of mice with experimental tumours Sarcoma S-180 and Leukemia L-1210. The enzyme activity was determined by two methods: spectrophotometric--with benzylamine as a substrate and the second with the application of oxygen electrode and adrenaline as a substrate. An increase of the enzyme activity was observed in liver homogenates of mice with Sarcoma S-180 as compared with the controls. High activity of MAO with both substrates was also observed in Sarcoma ascites. In Leukemia L-1210 changes of activity in relation to adrenaline as a substrate were very small, but towards benzylamine the affinity of enzyme was higher (the increase of activity was about 50%).",,"Das Verhalten der Aktivitat der Monoaminooxydase (MAO) bei Turmoren. I. Aktivitatsmessurg der MAO in experimentellen Aszitestumoren (Leukamie L-1210 und Sarkom S-180) bei Mausen, unter Verwendung zweier verschiedener Methoden und Substrate",,,,,,,,
190912,NLM,MEDLINE,19770425,20161013,0300-9092 (Print) 0300-9092 (Linking),,12,1976 Dec,[Malignant tumors in the newborn].,1-4,"['Durnov, L A', 'Iasonov, A V']","['Durnov LA', 'Iasonov AV']",['rus'],"['Journal Article', 'Review']",Russia (Federation),Akush Ginekol (Mosk),Akusherstvo i ginekologiia,0370456,,IM,"['Congenital Abnormalities', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Infant, Newborn, Diseases/*epidemiology', 'Leukemia/congenital', 'Maternal Age', 'Maternal-Fetal Exchange', 'Neoplasm Metastasis', 'Neoplasms/congenital/*epidemiology', 'Neuroblastoma/congenital', 'Pregnancy', 'Radiography/adverse effects', 'Retinoblastoma/congenital', 'Teratoma/congenital', 'Wilms Tumor/congenital']",1976/12/01 00:00,1976/12/01 00:01,['1976/12/01 00:00'],"['1976/12/01 00:00 [pubmed]', '1976/12/01 00:01 [medline]', '1976/12/01 00:00 [entrez]']",,ppublish,Akush Ginekol (Mosk). 1976 Dec;(12):1-4.,,,Zlokachestvennye opukholi u novorozhdennykh,17,,,,,,,
190892,NLM,MEDLINE,19770425,20181113,0002-9440 (Print) 0002-9440 (Linking),86,3,1977 Mar,Steroid hormone receptors in the regulation of differentiation. A review.,705-44,"['McCarty, K S Jr', 'McCarty, K S Sr']","['McCarty KS Jr', 'McCarty KS Sr']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Am J Pathol,The American journal of pathology,0370502,"['0 (Carrier Proteins)', '0 (Chromatin)', '0 (Hormones)', '0 (Protamines)', '0 (Receptors, Cell Surface)', '0 (Receptors, Steroid)']",IM,"['Animals', 'Biological Transport', 'Breast Neoplasms/drug therapy', 'Carcinoma/drug therapy', 'Carrier Proteins/metabolism', '*Cell Differentiation', 'Cell Nucleus/metabolism', 'Cell Transformation, Neoplastic', 'Chromatin/metabolism', 'Chromatography, Affinity', 'Cytoplasm/metabolism', 'Drosophila/metabolism', 'Female', 'Hormones/metabolism/therapeutic use', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Lymphoma/drug therapy', 'Male', 'Models, Biological', 'Phenotype', 'Prostatic Neoplasms/drug therapy', 'Protamines/pharmacology', 'Protein Binding', 'Receptors, Cell Surface/isolation & purification/*metabolism', 'Receptors, Steroid/isolation & purification/*metabolism', 'Uterine Neoplasms/drug therapy']",1977/03/01 00:00,2001/03/28 10:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1977/03/01 00:00 [entrez]']",,ppublish,Am J Pathol. 1977 Mar;86(3):705-44.,,PMC2032117,,184,,,,,,,
190789,NLM,MEDLINE,19770430,20190714,0042-6822 (Print) 0042-6822 (Linking),77,1,1977 Mar,Decreased immunity to viral antigens and increased expression of endogenous leukemia viruses in athymic (nude) mice.,429-32,"['Nowinski, R C', 'Doyle, T']","['Nowinski RC', 'Doyle T']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,"['0 (Antibodies, Viral)', '0 (Antigens, Viral)']",IM,"['Animals', 'Antibodies, Viral/*biosynthesis', 'Antigens, Viral', 'Immunity', 'Leukemia Virus, Murine/growth & development/*immunology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Nude/*immunology', 'Tumor Virus Infections/immunology']",1977/03/01 00:00,1977/03/01 00:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '1977/03/01 00:01 [medline]', '1977/03/01 00:00 [entrez]']",['10.1016/0042-6822(77)90442-1 [doi]'],ppublish,Virology. 1977 Mar;77(1):429-32. doi: 10.1016/0042-6822(77)90442-1.,,,,,,,,,,,
190768,NLM,MEDLINE,19770425,20190714,0042-6822 (Print) 0042-6822 (Linking),76,2,1977 Feb,Isolation of a fibroblast nonproducer cell line containing the Friend strain of the spleen focus-forming virus.,602-15,"['Troxler, D H', 'Parks, W P', 'Vass, W C', 'Scolnick, E M']","['Troxler DH', 'Parks WP', 'Vass WC', 'Scolnick EM']",['eng'],['Journal Article'],United States,Virology,Virology,0110674,,IM,"['Animals', '*Cell Line', 'Cell Transformation, Neoplastic', 'Clone Cells', 'Female', 'Fibroblasts', 'Friend murine leukemia virus/*growth & development', 'Helper Viruses/growth & development', 'Mice', 'Mice, Inbred BALB C', 'Phenotype', 'Retroviridae/growth & development', 'Spleen/*microbiology', 'Virus Replication']",1977/02/01 00:00,1977/02/01 00:01,['1977/02/01 00:00'],"['1977/02/01 00:00 [pubmed]', '1977/02/01 00:01 [medline]', '1977/02/01 00:00 [entrez]']",['10.1016/0042-6822(77)90242-2 [doi]'],ppublish,Virology. 1977 Feb;76(2):602-15. doi: 10.1016/0042-6822(77)90242-2.,,,,,,,,,,,
190673,NLM,MEDLINE,19770428,20190907,0036-553X (Print) 0036-553X (Linking),18,2,1977 Feb,Myeloperoxidase and lactoferrin of blood neutrophils and plasma in chronic granulocytic leukaemia.,113-20,"['Olofsson, T', 'Olsson, I', 'Venge, P']","['Olofsson T', 'Olsson I', 'Venge P']",['eng'],['Journal Article'],Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,"['0 (Lactoglobulins)', 'EC 1.11.1.- (Peroxidases)', 'EC 1.11.1.7 (Peroxidase)', 'EC 3.4.21.- (Lactoferrin)']",IM,"['Adult', 'Female', 'Humans', 'Lactoferrin/*blood', 'Lactoglobulins/*blood', 'Leukemia, Myeloid/*blood', 'Leukocyte Count', 'Male', 'Middle Aged', 'Neutrophils/*metabolism', 'Peroxidase/*blood', 'Peroxidases/*blood']",1977/02/01 00:00,1977/02/01 00:01,['1977/02/01 00:00'],"['1977/02/01 00:00 [pubmed]', '1977/02/01 00:01 [medline]', '1977/02/01 00:00 [entrez]']",['10.1111/j.1600-0609.1977.tb02080.x [doi]'],ppublish,Scand J Haematol. 1977 Feb;18(2):113-20. doi: 10.1111/j.1600-0609.1977.tb02080.x.,"Myeloperoxidase, restricted to primary granules, and lactoferrin, restricted to secondary granules, were determined in plasma and neutrophils of peripheral blood in chronic granulocytic leukaemia (CGL). Plasma myeloperoxidase was increased 2-3 times while plasma lactoferrin increased 2-8 times. This discrepancy indicates different modes of release or elimination. A correlation was found between the leucocyte count and plasma myeloperoxidase or lactoferrin. A correlation was also found between cellular and plasma levels of lactoferrin but not for myeloperoxidase indicating the source for plasma lactoferrin to be circulating leucocytes, which may not be the case for plasma myeloperoxidase. Decreased neutrophil lactoferrin was found in 71% of the CGL cases while myeloperoxidase was decreased in 18%. Serial studies on individual CGL subjects showed low cellular lactoferrin during phases with rapidly expanding leucocytosis indicating defective maturation of neutrophils or abnormal release because of prolonged intravascular life-span.",,,,,,,,,,
190518,NLM,MEDLINE,19770428,20161123,0025-7990 (Print) 0025-7990 (Linking),7,4,1975 Winter,The association of oral androgenic-anabolic steroids and life-threatening disease.,284-6,"['Johnson, F L']",['Johnson FL'],['eng'],['Journal Article'],United States,Med Sci Sports,Medicine and science in sports,0203246,['0 (Testosterone Congeners)'],IM,"['Adult', 'Carcinoma, Hepatocellular/*chemically induced', 'Chemical and Drug Induced Liver Injury/*etiology', 'Dose-Response Relationship, Drug', 'Fanconi Anemia/drug therapy', 'Humans', 'Leukemia, Myeloid, Acute/*chemically induced', 'Liver Function Tests', 'Liver Neoplasms/*chemically induced', 'Male', '*Sports Medicine', 'Testosterone Congeners/*adverse effects/therapeutic use']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Med Sci Sports. 1975 Winter;7(4):284-6.,"The use of androgenic anabolic steroids in the therapeutic dose range by strength athletes is well documented. The benign side effects of these drugs are well known but more disturbing are the increasingly frequent reports of potentially fatal diseases in association with the therapeutic use of these agents. A review is made of the clinical evidence indicating a direct association between androgenic steroids and peliosis hepatis, heptocellular carcinoma and acute myelogenous leukemia, all potentially fatal disorders.",,,,,,,,,,
190477,NLM,MEDLINE,19770428,20190823,0022-4391 (Print) 0022-4391 (Linking),47,3,1977 Mar,Symptoms and signs of cancer in the school-age child.,144-6,"['Starling, K A', 'Shepherd, D A']","['Starling KA', 'Shepherd DA']",['eng'],['Journal Article'],United States,J Sch Health,The Journal of school health,0376370,,IM,"['Adolescent', 'Age Factors', 'Bone Neoplasms/diagnosis', 'Brain Neoplasms/diagnosis', 'Child', 'Child, Preschool', 'Female', 'Hodgkin Disease/diagnosis', 'Humans', 'Leukemia/diagnosis', 'Lymphoma/diagnosis', 'Male', 'Neoplasms/*diagnosis/epidemiology', 'Neuroblastoma/diagnosis', 'Sex Factors', 'Texas', 'Wilms Tumor/diagnosis']",1977/03/01 00:00,1977/03/01 00:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '1977/03/01 00:01 [medline]', '1977/03/01 00:00 [entrez]']",['10.1111/j.1746-1561.1977.tb04550.x [doi]'],ppublish,J Sch Health. 1977 Mar;47(3):144-6. doi: 10.1111/j.1746-1561.1977.tb04550.x.,"The American Cancer Society's seven warning signs of cancer are: 1. Unusual bleeding or discharge. 2. A lump or thickening in the breast or elsewhere. 3. A sore that does not heal. 4. Change in bowel or bladder habits. 5. Hoarseness or cough. 6. Indigestion or difficulty in swallowing. 7. Change in size or color of a wart or mole. These signs apply to children as well as to adults. Cancer in children, however, is often more insidious than in adults and may well mimic many other diseases, developmental processess, or childhood psychologic problems. The knowledge that cancer kills more children than any other disease and the awareness of the presenting symptoms and signs may well save a child's life. Early detection with prompt, aggressive therapy is of paramount importance in achieving cures in childhood cancer.",,,,,,,,,,
190473,NLM,MEDLINE,19770430,20061115,0023-6764 (Print) 0023-6764 (Linking),26,6 Pt 2,1976 Dec,Studies of cultured lymphocytes of the owl monkey (Aotus trivirgatus) infected with Herpesvirus saimiri.,1113-26,"['Giddens, W E Jr']",['Giddens WE Jr'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Lab Anim Sci,Laboratory animal science,1266503,"['0 (Antigens, Viral)']",IM,"['Animals', 'Antigens, Viral', '*Aotus trivirgatus', 'Cells, Cultured', 'Female', '*Haplorhini', 'Herpesviridae/*growth & development', 'Herpesviridae Infections/microbiology/*veterinary', 'Herpesvirus 2, Saimiriine/*growth & development/immunology/ultrastructure', 'Lymphocytes/*microbiology/ultrastructure', 'Male', 'Monkey Diseases/*microbiology', 'Virus Replication']",1976/12/01 00:00,2001/03/28 10:01,['1976/12/01 00:00'],"['1976/12/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1976/12/01 00:00 [entrez]']",,ppublish,Lab Anim Sci. 1976 Dec;26(6 Pt 2):1113-26.,"The lymphocytes of five owl monkeys (Aotus trivirgatus) infected with Herpesvirus saimiri and three control monkeys were studied. Lymphocytes were separated on Ficoll-Hypaque gradients, incubated in suspension cultures, and prepared for electron microscopic and immunofluorescent study at 24, 48, and 72 hours after the beginning of culture. Buffy coats of whole blood obtained immediately after bleeding were also prepared for study. At the time of the study, four of the five infected monkeys had died with malignant lymphoma and lymphocytic leukemia. Herpesvirus saimiri virions were demonstrated by electron microscopy and H saimiri antigens by immunofluorescence in 1-20% of the lymphocytes from infected monkey in two of five cultures at 24 hours after culture, four of five at 48 hours after culture, and all of five at 72 hours after culture. There was good agreement between the electron microscopic and the immunofluorescent data. None of the control monkey cultures and none of the buffy coat preparations contained H saimiri virions or antigens. By electron microscopy, the great majority of the virus particles were nucleocapsids within the nuclei of lymphocytes. Enveloped virions were seldom observed. There was some evidence to suggest that the higher the percentage of lymphocyte containing H saimiri, the poorer the prognosis for the monkey. Herpesvirus saimiri was isolated from all five infected monkeys by co-cultivation of lymphocytes with Vero cells. Control lymphocyte co-cultivations were negative.",,,,,,,,,,
190472,NLM,MEDLINE,19770430,20071115,0023-6764 (Print) 0023-6764 (Linking),26,6 Pt 2,1976 Dec,The owl monkey (Aotus trivirgatus) as an animal model for viral diseases and oncologic studies.,1104-12,"['Barahona, H', 'Melendez, L V', 'Hunt, R D', 'Daniel, M D']","['Barahona H', 'Melendez LV', 'Hunt RD', 'Daniel MD']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Lab Anim Sci,Laboratory animal science,1266503,['0 (Viral Vaccines)'],IM,"['Animals', '*Aotus trivirgatus', '*Disease Models, Animal', '*Haplorhini', 'Herpes Simplex/immunology', 'Herpesviridae/immunology', '*Herpesviridae Infections/immunology/transmission', 'Herpesvirus 2, Saimiriine', 'Herpesvirus 4, Human', 'Leukemia, Lymphoid/etiology', 'Lymphoma/etiology', '*Monkey Diseases/etiology/immunology/transmission', 'Neoplasms/*etiology', 'Saimiri', 'Simplexvirus/immunology', 'Viral Vaccines']",1976/12/01 00:00,1976/12/01 00:01,['1976/12/01 00:00'],"['1976/12/01 00:00 [pubmed]', '1976/12/01 00:01 [medline]', '1976/12/01 00:00 [entrez]']",,ppublish,Lab Anim Sci. 1976 Dec;26(6 Pt 2):1104-12.,"The owl monkey (Aotus trivirgatus) has been shown to be an excellent model for studies of oncogenic and non-oncogenic viruses. Studies at this institution have been primarily concerned with Herpesvirus saimiri, the Epstein-Barr virus, H tamarinus, and H simplex. These studies have shown that H saimiri is oncogenic when inoculated into primates, that the malignancy induced by H saimiri can be naturally transmitted from the squirrel monkey to the owl monkey, that in vitro pathogenicity of H saimiri can be modified by passing the virus in a nonpermissive cellular host, that the owl monkey is a useful model for studying the oncogenicity of the Epstein-Barr virus, and the fatal disease induced in owl monkeys by H tamarinus and H simplex can be prevented by vaccination with nonpathogenic variants of these viruses.",,,41,,,,,,,
