PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RN,CON,PMC,CI,CN,TT,DEP,CIN,EIN,OTO,OT,IR,FIR,IRAD,RIN,SI,OID,GN,LID,PS,FPS
12713419,NLM,MEDLINE,20031002,20061115,0163-3864 (Print) 0163-3864 (Linking),66,4,2003 Apr,New acetylenic acids from a sponge of the genus Stelletta.,566-8,"Three new acetylenic metabolites (1-3) were isolated from the sponge Stelletta sp. collected from Gagu-Do, Korea. On the basis of the results of combined spectroscopic analyses, the structures of these compounds were determined to be an acetylenic acid, its 2-methoxy analogue, and corresponding anhydride, respectively. The new compounds exhibited weak cytotoxicity against a human leukemia cell-line (K562).","['Lee, Hyi-Seung', 'Rho, Jung-Rae', 'Sim, Chung J', 'Shin, Jongheon']","['Lee HS', 'Rho JR', 'Sim CJ', 'Shin J']","['Marine Natural Products Laboratory, Korea Ocean Research & Development Institute, Ansan P.O. Box 29, Seoul, 425-600, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Nat Prod,Journal of natural products,7906882,IM,"['Alkynes', 'Animals', 'Antineoplastic Agents/chemistry/*isolation & purification/pharmacology', 'Drug Screening Assays, Antitumor', 'Fatty Acids, Unsaturated/chemistry/*isolation & purification/pharmacology', 'Humans', 'Korea', 'Leukemia', 'Molecular Structure', 'Nuclear Magnetic Resonance, Biomolecular', 'Porifera/*chemistry', 'Tumor Cells, Cultured/drug effects']",,2003/04/26 05:00,2003/10/03 05:00,['2003/04/26 05:00'],"['2003/04/26 05:00 [pubmed]', '2003/10/03 05:00 [medline]', '2003/04/26 05:00 [entrez]']",['10.1021/np020345q [doi]'],ppublish,J Nat Prod. 2003 Apr;66(4):566-8. doi: 10.1021/np020345q.,,"['0 (Alkynes)', '0 (Antineoplastic Agents)', '0 (Fatty Acids, Unsaturated)', '2834-03-9 (2-hexadecynoic acid)']",,,,,,,,,,,,,,,,,,,,
12713412,NLM,MEDLINE,20031002,20071114,0163-3864 (Print) 0163-3864 (Linking),66,4,2003 Apr,"Antineoplastic agents. 485. Isolation and structure of cribrostatin 6, a dark blue cancer cell growth inhibitor from the marine sponge Cribrochalina sp.",544-7,"Cribrostatin 6, a dark blue cancer cell growth inhibiting (P388 ED(50) 0.3 microg/mL) constituent of the Republic of Maldives marine sponge Cribrochalina sp., has been assigned structure 3 on the basis of a combination of HRMS, high-field (500 MHz, HMBC, and GOESY experiments) (15)N, (1)H, and (13)C NMR, and X-ray crystal structure analyses. Cribrostatin 6 also was found to inhibit the growth of a number of pathogenic bacteria and fungi.","['Pettit, George R', 'Collins, Jeremiah C', 'Knight, John C', 'Herald, Delbert L', 'Nieman, Ronald A', 'Williams, Michael D', 'Pettit, Robin K']","['Pettit GR', 'Collins JC', 'Knight JC', 'Herald DL', 'Nieman RA', 'Williams MD', 'Pettit RK']","['Cancer Research Institute and Department of Chemistry and Biochemistry, Arizona State University, Tempe, Arizona 85287-2404, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Nat Prod,Journal of natural products,7906882,IM,"['Animals', 'Anti-Bacterial Agents', 'Anti-Infective Agents/chemistry/isolation & purification/pharmacology', 'Antineoplastic Agents/chemistry/*isolation & purification/pharmacology', 'Bacteria/drug effects', 'Crystallography, X-Ray', 'Drug Screening Assays, Antitumor', 'Fungi/drug effects', 'Humans', 'Indian Ocean Islands', 'Isoquinolines/chemistry/*isolation & purification/pharmacology', 'Leukemia P388', 'Molecular Structure', 'Nuclear Magnetic Resonance, Biomolecular', 'Pigments, Biological/chemistry/isolation & purification/pharmacology', 'Porifera/*chemistry', 'Tumor Cells, Cultured/drug effects']",,2003/04/26 05:00,2003/10/03 05:00,['2003/04/26 05:00'],"['2003/04/26 05:00 [pubmed]', '2003/10/03 05:00 [medline]', '2003/04/26 05:00 [entrez]']",['10.1021/np020012t [doi]'],ppublish,J Nat Prod. 2003 Apr;66(4):544-7. doi: 10.1021/np020012t.,"['CA44344-01-12/CA/NCI NIH HHS/United States', 'R01 CA90441-01/CA/NCI NIH HHS/United States']","['0 (Anti-Bacterial Agents)', '0 (Anti-Infective Agents)', '0 (Antineoplastic Agents)', '0 (Isoquinolines)', '0 (Pigments, Biological)', '0 (cribrostatin 6)']",,,,,,,,,,,,,,,,,,,,
12713404,NLM,MEDLINE,20031002,20061115,0163-3864 (Print) 0163-3864 (Linking),66,4,2003 Apr,Bioactive asterosaponins from the starfish Luidia quinaria and Psilaster cassiope. Isolation and structure characterization by two-dimensional NMR spectroscopy.,515-9,"An investigation of the polar extracts from two starfish, Luidia quinaria and Psilaster cassiope, led to the isolation of five sulfated ""asterosaponins"". Two of them, named luidiaquinoside (1) and psilasteroside (2), are new compounds. Luidiaquinoside (1) contains a novel pentasaccharide chain composed of d-glucose, d-quinovose, and d-fucose, with the d-glucose unit being the branching point. Psilasteroside (2) contains a hexasaccharide chain in which an arabinose residue is detectable in the furanose form. Both of these compounds possess a Delta(9(11)),3beta,6alpha-dihydroxysteroidal nucleus with a 20-hydroxy, 23-oxo functionality. The structures of the new asterosaponins were elucidated by a combination of NMR techniques including (1)H-(1)H (COSY, TOCSY, and ROESY) and (1)H-(13)C (HMQC and HMBC) spectroscopy, ESIMS and HRFABMS spectrometry, and GC analyses. The new asterosaponins show marginal in vitro cytotoxicity against RBL-2H3 (rat basophilic leukemia) cell lines.","['De Marino, Simona', 'Borbone, Nicola', 'Iorizzi, Maria', 'Esposito, Giuseppe', 'McClintock, James B', 'Zollo, Franco']","['De Marino S', 'Borbone N', 'Iorizzi M', 'Esposito G', 'McClintock JB', 'Zollo F']","['Dipartimento di Chimica delle Sostanze Naturali, Universita degli Studi di Napoli Federico II, Via D. Montesano, 49 80131 Napoli, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,J Nat Prod,Journal of natural products,7906882,IM,"['Animals', 'Antineoplastic Agents/chemistry/*isolation & purification/pharmacology', 'Drug Screening Assays, Antitumor', 'Electron Spin Resonance Spectroscopy', 'Inhibitory Concentration 50', 'Japan', 'Leukemia', 'Mexico', 'Molecular Structure', 'Nuclear Magnetic Resonance, Biomolecular', 'Rats', 'Saponins/chemistry/*isolation & purification/pharmacology', 'Starfish/*chemistry', 'Stereoisomerism', 'Steroids/chemistry/*isolation & purification/pharmacology', 'Tumor Cells, Cultured/drug effects']",,2003/04/26 05:00,2003/10/03 05:00,['2003/04/26 05:00'],"['2003/04/26 05:00 [pubmed]', '2003/10/03 05:00 [medline]', '2003/04/26 05:00 [entrez]']",['10.1021/np0205046 [doi]'],ppublish,J Nat Prod. 2003 Apr;66(4):515-9. doi: 10.1021/np0205046.,,"['0 (Antineoplastic Agents)', '0 (Saponins)', '0 (Steroids)', '0 (luidiaquinoside)', '0 (psilasteroside)']",,,,,,,,,,,,,,,,,,,,
12713280,NLM,MEDLINE,20030808,20061115,1523-7060 (Print) 1523-7052 (Linking),5,9,2003 May 1,More kapakahines from the marine sponge Cribrochalina olemda.,1387-90,Three new kapakahines E-G (1-3) have been isolated from the marine sponge Cribrochalina olemda. Limited quantities of these compounds required not only NMR analysis but also FAB-MS/MS analysis for the structure elucidation. Kapakahine E showed cytotoxicity against P388 murine leukemia cells. [structure: see text],"['Nakao, Yoichi', 'Kuo, Jacqueline', 'Yoshida, Wesley Y', 'Kelly, Michelle', 'Scheuer, Paul J']","['Nakao Y', 'Kuo J', 'Yoshida WY', 'Kelly M', 'Scheuer PJ']","[""Department of Chemistry, University of Hawai'i at Manoa, 2545 The Mall, Honolulu, Hawaii 96822-2275, USA. ayocha@mail.ecc.u-tokyo.ac.jp""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Org Lett,Organic letters,100890393,IM,"['Animals', 'Antineoplastic Agents/chemistry/isolation & purification/pharmacology', 'Drug Screening Assays, Antitumor', 'Leukemia P388', 'Nuclear Magnetic Resonance, Biomolecular', 'Peptides, Cyclic/*chemistry/*isolation & purification/pharmacology', 'Porifera/*chemistry', 'Spectrometry, Mass, Fast Atom Bombardment', 'Stereoisomerism', 'Tumor Cells, Cultured']",,2003/04/26 05:00,2003/08/09 05:00,['2003/04/26 05:00'],"['2003/04/26 05:00 [pubmed]', '2003/08/09 05:00 [medline]', '2003/04/26 05:00 [entrez]']",['10.1021/ol026830u [doi]'],ppublish,Org Lett. 2003 May 1;5(9):1387-90. doi: 10.1021/ol026830u.,,"['0 (Antineoplastic Agents)', '0 (Peptides, Cyclic)', '0 (kapakahine E)', '0 (kapakahine F)', '0 (kapakahine G)']",,,,,,,,,,,,,,,,,,,,
12713157,NLM,MEDLINE,20030625,20151119,0005-2086 (Print) 0005-2086 (Linking),47,1,2003 Jan-Mar,Development and application of reverse transcriptase nested polymerase chain reaction test for the detection of exogenous avian leukosis virus.,41-53,"A polymerase chain reaction (PCR) assay that utilizes nested primers to amplify a fragment of the long terminal repeat of exogenous avian leukosis virus (ALV) was developed and evaluated for detection of ALV subgroup J directly from clinical samples. Compilation of sequence data from different endogenous and exogenous ALVs allowed the selection of a conserved set of nested primers specific for the amplification of exogenous ALV subgroups A, B, C, D, and J and excluded amplification of endogenous viruses or endogenous viral sequences within the chicken genome. The nested primers were successfully used in both PCR and reverse transcriptase (RT)-PCR assays to detect genetically diverse ALV-J field isolates. Detection limits of ALV-J isolate ADOL-Hc1 DNA by nested PCR and RNA by RT-nested PCR were superior to detection of group-specific antigen by enzyme-linked immunosorbent assay (ELISA) in cell culture. Detection of ALV-J in cloacal swabs by RT-nested PCR was compared with direct detection by antigen-capture (ac)-ELISA; RT-nested PCR detected fewer positive samples than ac-ELISA, suggesting that RT-nested PCR excluded detection of endogenous virus in clinical samples. Detection of ALV-J in plasma samples by RT-nested PCR was compared with virus isolation in C/E chicken embryo fibroblasts; the level of agreement between both assays as applied to plasma samples ranged from low to moderate. The main disagreement between both assays was observed for a group of plasma samples found positive by RT-nested PCR and negative by virus isolation, suggesting that RT-nested PCR detected ALV-J genome in plasma samples of transiently or intermittently infected birds. ALV-J transient and intermittent infection profiles are characterized by inconsistent virus isolation responses throughout the life of a naturally infected flock.","['Garcia, Maricarmen', 'El-Attrache, John', 'Riblet, Sylva M', 'Lunge, Vagner R', 'Fonseca, Andre S K', 'Villegas, Pedro', 'Ikuta, Nilo']","['Garcia M', 'El-Attrache J', 'Riblet SM', 'Lunge VR', 'Fonseca AS', 'Villegas P', 'Ikuta N']","['Department of Avian Medicine, Poultry Diagnostic and Research Center, College of Veterinary Medicine, The University of Georgia, Athens, GA 30602-4875, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Avian Dis,Avian diseases,0370617,IM,"['Animals', 'Avian Leukosis/blood/*diagnosis/*virology', 'Avian Leukosis Virus/*genetics/*isolation & purification', 'Chickens/blood/*virology', 'Cloaca/virology', 'DNA Primers', 'Enzyme-Linked Immunosorbent Assay', 'Genes, Viral', 'Genome, Viral', 'Poultry Diseases/blood/diagnosis/virology', 'Restriction Mapping', 'Reverse Transcriptase Polymerase Chain Reaction/*methods', 'Sensitivity and Specificity', 'Terminal Repeat Sequences']",,2003/04/26 05:00,2003/06/26 05:00,['2003/04/26 05:00'],"['2003/04/26 05:00 [pubmed]', '2003/06/26 05:00 [medline]', '2003/04/26 05:00 [entrez]']",['10.1637/0005-2086(2003)047[0041:DAAORT]2.0.CO;2 [doi]'],ppublish,Avian Dis. 2003 Jan-Mar;47(1):41-53. doi: 10.1637/0005-2086(2003)047[0041:DAAORT]2.0.CO;2.,,['0 (DNA Primers)'],,,,,,,,,,,,,,,,,,,,
12712601,NLM,MEDLINE,20030620,20161018,1019-5297 (Print) 1019-5297 (Linking),,1,2003 Jan-Feb,[Long-term results of treatment of chronic B-cell lymphoid leukocytes in persons who participated in the elimination of the effects of the nuclear accident at the Chernobyl nuclear station].,18-20,"Clinical-and-hematological characteristics are presented of B-cell chronic lymphoid leukosis in those persons who took part in the elimination of the effects of the Chornobyl accident in the remote period. Results are highlighted of treatment of 16 patients with making use of different chemical drug preparations. Employment of fludarabin and cyclophosphan combined in treatment of the medical condition in question has been shown to promote long-term complete and partial remissions in a major proportion of patients, which effect was not achievable with standard means of remediation. A side effect of fludarabin was leukocytopenia that in the presence of changed immunity threatened the patients with development and exacerbation of infections complications. Use of manax and erbisol moderated the immunosuppressive and toxic action of fludarabin, due to which fact infectious complications and drug-induced hepatitis have came to be less common, the patients' quality of life gotten better.","['Klymenko, V I', 'Bazyka, D A', 'Polishchuk, O M', 'Kriachok, I A', 'Martina, Z V', 'Kadnikova, T V', 'Klymenko, S V']","['Klymenko VI', 'Bazyka DA', 'Polishchuk OM', 'Kriachok IA', 'Martina ZV', 'Kadnikova TV', 'Klymenko SV']",,['ukr'],"['English Abstract', 'Journal Article']",Ukraine,Lik Sprava,Likars'ka sprava,9601540,IM,"['Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Biological Factors/therapeutic use', 'Cyclophosphamide/therapeutic use', 'Hepatitis/complications', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/etiology', 'Leukemia, Radiation-Induced/*drug therapy', 'Leukopenia/chemically induced', 'Male', 'Middle Aged', 'Quality of Life', '*Radioactive Hazard Release', 'Remission Induction', 'Time Factors', 'Treatment Outcome', 'Ukraine', 'Vidarabine/adverse effects/*analogs & derivatives/therapeutic use']",,2003/04/26 05:00,2003/06/21 05:00,['2003/04/26 05:00'],"['2003/04/26 05:00 [pubmed]', '2003/06/21 05:00 [medline]', '2003/04/26 05:00 [entrez]']",,ppublish,Lik Sprava. 2003 Jan-Feb;(1):18-20.,,"['0 (Biological Factors)', '0 (erbisol)', '8N3DW7272P (Cyclophosphamide)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",,,,,Rezul'taty likuvannia khronichnoho B-klitynnoho limfoleikozu v uchasnykiv likvidatsii naslidkiv avarii na ChAES u viddalenomu periodi.,,,,,,,,,,,,,,,
12712476,NLM,MEDLINE,20030520,20211203,0008-543X (Print) 0008-543X (Linking),97,9,2003 May 1,Trends in leukemia incidence and survival in the United States (1973-1998).,2229-35,"BACKGROUND: It is estimated that each year, approximately 30,800 individuals will be diagnosed with leukemia in the United States and 21,700 individuals will die of the disease. Although the overall incidence of leukemia has been declining in the United States, recent reports suggest that incidence rates may be increasing for certain age and racial groups. METHODS: Leukemia incidence (including acute lymphoblastic leukemia [ALL], acute myeloid leukemia [AML], chronic myeloid leukemia [CML], and chronic lymphoblastic leukemia [CLL]) and 5-year survival rates were obtained from the Surveillance, Epidemiology, and End Results (SEER) program. Specific rates for age (birth-19, 20-44, 45-64, and 65 + years), gender, and race (black, white) were also examined. RESULTS: A total of 66,404 cases of leukemia were identified for the period 1973-1998 in the nine reporting SEER sites. For children younger than 20 years old, the overall incidence rate of leukemia increased significantly (estimated annual percent change [EAPC] = 0.5%, 95% confidence interval [CI] = 0.1-0.9), whereas the rate decreased significantly among the group 65 years and older (EAPC = - 0.3, 95% CI = - 0.5 to - 0.1). Incidence rates for CLL and CML decreased significantly during this time period, whereas incidence rates for AML remained stable. Children younger than 20 years old experienced a 15% increase in the 5-year survival rates for both ALL and AML when comparing the two 10-year periods of 1974-1983 and 1984-1993. In contrast, there was little overall improvement in survival for adults 45 years and older. In particular, there was a notable decrease in the overall 5-year survival for blacks older than 65 years and for black males older than 44 years. CONCLUSIONS: Although the current study confirmed some of the results noted in other populations, the observed overall decline in leukemia survival for blacks is surprising and warrants further investigation.","['Xie, Yang', 'Davies, Stella M', 'Xiang, Ying', 'Robison, Leslie L', 'Ross, Julie A']","['Xie Y', 'Davies SM', 'Xiang Y', 'Robison LL', 'Ross JA']","['Department of Pediatrics, University of Minnesota, Minneapolis, Minnesota 55455, USA.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Adult', 'Age Distribution', 'Aged', 'Child', 'Child, Preschool', 'Ethnicity', 'Female', 'Humans', 'Incidence', 'Infant', 'Infant, Newborn', 'Leukemia, Lymphocytic, Chronic, B-Cell/*epidemiology/pathology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*epidemiology/pathology', 'Leukemia, Myeloid, Acute/*epidemiology/pathology', 'Male', 'Middle Aged', 'Neoplasm Staging', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*epidemiology/pathology', 'SEER Program', 'Survival Rate', 'United States']",,2003/04/25 05:00,2003/05/21 05:00,['2003/04/25 05:00'],"['2003/04/25 05:00 [pubmed]', '2003/05/21 05:00 [medline]', '2003/04/25 05:00 [entrez]']",['10.1002/cncr.11316 [doi]'],ppublish,Cancer. 2003 May 1;97(9):2229-35. doi: 10.1002/cncr.11316.,['R01 CA-79940/CA/NCI NIH HHS/United States'],,,,['Copyright 2003 American Cancer Society.DOI 10.1002/cncr.11316'],,,,,['Cancer. 2993 Aug 1;98(3):659'],,,,,,,,,,,,
12712475,NLM,MEDLINE,20030520,20151119,0008-543X (Print) 0008-543X (Linking),97,9,2003 May 1,Prediction of initial cytogenetic response for subsequent major and complete cytogenetic response to imatinib mesylate therapy in patients with Philadelphia chromosome-positive chronic myelogenous leukemia.,2225-8,"BACKGROUND: Obtaining a major (Philadelphia chromosome [Ph] of < 35%) or a complete cytogenetic response (Ph of 0%) has been associated with excellent long-term survival. Cytogenetic response may continue to improve with therapy. Because early allogeneic stem cell transplantation (SCT) may be associated with a better outcome, early parameters predicting for subsequent cytogenetic responses would optimize the treatment decision-making. METHODS: The current study was performed to analyze whether early cytogenetic responses may be predictive of later major or complete cytogenetic responses to imatinib mesylate therapy in patients with Ph-positive chronic myelogenous leukemia (CML). RESULTS: Two hundred sixty-one patients with Ph-positive, chronic-phase CML after failure with interferon therapy who were treated with imatinib mesylate therapy were analyzed. A persistence of 100% Ph-positive cells after > or = 6 months of imatinib mesylate therapy was associated with a major cytogenetic response rate of 9-13% and a complete cytogenetic response rate of 0-4%. However, a minor cytogenetic response after 3-12 months of therapy still was associated with high rates of major (68-83%) or complete (35-54%) cytogenetic response rates. CONCLUSIONS: Patients with Ph-positive, chronic-phase CML who have persistent 100% Ph-positive disease after > or = 6 months of imatinib mesylate therapy may be offered allogeneic SCT or considered for alternative investigational therapies.","['Kantarjian, Hagop', 'Talpaz, Moshe', ""O'Brien, Susan"", 'Giles, Francis', 'Rios, Mary Beth', 'White, Kevin', 'Garcia-Manero, Guillermo', 'Ferrajoli, Alessandra', 'Verstovsek, Srdan', 'Wierda, William', 'Kornblau, Steven', 'Cortes, Jorge']","['Kantarjian H', 'Talpaz M', ""O'Brien S"", 'Giles F', 'Rios MB', 'White K', 'Garcia-Manero G', 'Ferrajoli A', 'Verstovsek S', 'Wierda W', 'Kornblau S', 'Cortes J']","['Department of Leukemia, University of Texas M. D. Anderson Cancer Center, Houston, Texas 77030, USA. hkantarj@mdanderson.org']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,IM,"['Benzamides', 'Cytogenetic Analysis', 'Enzyme Inhibitors/*therapeutic use', 'Follow-Up Studies', 'Fusion Proteins, bcr-abl/*antagonists & inhibitors', 'Humans', 'Imatinib Mesylate', 'Interferon-alpha/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/mortality/pathology', 'Piperazines/*therapeutic use', 'Prognosis', 'Pyrimidines/*therapeutic use', 'Survival Rate', 'Treatment Failure', 'Treatment Outcome']",,2003/04/25 05:00,2003/05/21 05:00,['2003/04/25 05:00'],"['2003/04/25 05:00 [pubmed]', '2003/05/21 05:00 [medline]', '2003/04/25 05:00 [entrez]']",['10.1002/cncr.11381 [doi]'],ppublish,Cancer. 2003 May 1;97(9):2225-8. doi: 10.1002/cncr.11381.,,"['0 (Benzamides)', '0 (Enzyme Inhibitors)', '0 (Interferon-alpha)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",,,['Copyright 2003 American Cancer Society.DOI 10.1002/cncr.11381'],,,,['Cancer. 2003 Oct 15;98(8):1776-7; author reply 1777-8. PMID: 14534900'],,,,,,,,,,,,,
12712474,NLM,MEDLINE,20030520,20181130,0008-543X (Print) 0008-543X (Linking),97,9,2003 May 1,Use of arsenic trioxide (As2O3) in the treatment of patients with acute promyelocytic leukemia: the M. D. Anderson experience.,2218-24,"BACKGROUND: Approximately 20-30% of patients with acute promyelocytic leukemia (APL) who are treated with all-trans retinoic acid (ATRA) and an anthracycline develop recurrent disease. It has been reported that arsenic trioxide (As(2)O(3)) is effective in this setting. The authors report the experience of The M. D. Anderson Cancer Center with As(2)O(3) in the treatment of patients with recurrent APL. METHODS: Twelve patients who developed recurrent APL after treatment with ATRA were included. Patients received intravenous As(2)O(3) 0.15 mg/kg per day until they achieved a complete remission (CR) or up to a maximum of 60 days. Their median age was 44 years (range, 26-72 years), and the median duration of first remission was 52 weeks (range, 23-292 weeks). RESULTS: All 12 patients achieved a CR. The median time to achieve CR was 52 days (range, 27-75 days). Seven of 10 evaluable patients achieved a molecular remission (i.e., polymerase chain reaction [PCR] analysis was negative for the gene encoding fusion of the nuclear receptor for retinoic acid to the PML gene at the time of CR; 70% of patients; 95% confidence interval, 0.35-0.93), and all other patients had negative PCR results after they received post-remission therapy. All patients received subsequent therapy: Four patients received As(2)O(3) alone, six patients received As(2)O(3) with other chemotherapeutic agents, and two patients received idarubicin plus ATRA without As(2)O(3). Eight patients continued in CR after a median follow-up of 24 months (range, 9-45 months). Side effects were mild, except for two patients who developed Grade 2 and 3 peripheral neuropathy, respectively; one of those patients required discontinuation of therapy. CONCLUSIONS: As(2)O(3) is effective and well tolerated therapy for patients with recurrent APL. Molecular remission may be achieved at the time of CR in the majority of patients, and remissions are durable.","['Lazo, Guillermo', 'Kantarjian, Hagop', 'Estey, Elihu', 'Thomas, Deborah', ""O'Brien, Susan"", 'Cortes, Jorge']","['Lazo G', 'Kantarjian H', 'Estey E', 'Thomas D', ""O'Brien S"", 'Cortes J']","['Department of Leukemia, The University of Texas M. D. Anderson Cancer Center, Houston, Texas 77030, USA.']",['eng'],"['Clinical Trial', 'Journal Article']",United States,Cancer,Cancer,0374236,IM,"['Adult', 'Aged', 'Antineoplastic Agents/adverse effects/*therapeutic use', 'Arsenic Trioxide', 'Arsenicals/adverse effects/*therapeutic use', 'Drug Resistance, Neoplasm', 'Follow-Up Studies', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Male', 'Middle Aged', 'Neoplasm Proteins/genetics/metabolism', 'Neoplasm Recurrence, Local/*drug therapy', 'Oncogene Proteins, Fusion/genetics/metabolism', 'Oxides/adverse effects/*therapeutic use', 'Polymerase Chain Reaction', 'Remission Induction', 'Safety', 'Salvage Therapy', 'Survival Rate', 'Treatment Outcome']",,2003/04/25 05:00,2003/05/21 05:00,['2003/04/25 05:00'],"['2003/04/25 05:00 [pubmed]', '2003/05/21 05:00 [medline]', '2003/04/25 05:00 [entrez]']",['10.1002/cncr.11314 [doi]'],ppublish,Cancer. 2003 May 1;97(9):2218-24. doi: 10.1002/cncr.11314.,,"['0 (Antineoplastic Agents)', '0 (Arsenicals)', '0 (Neoplasm Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (Oxides)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)', 'S7V92P67HO (Arsenic Trioxide)']",,,['Copyright 2003 American Cancer Society.DOI 10.1002/cncr.11314'],,,,,,,,,,,,,,,,,
12712473,NLM,MEDLINE,20030520,20061115,0008-543X (Print) 0008-543X (Linking),97,9,2003 May 1,Telomerase activity is prognostic in pediatric patients with acute myeloid leukemia: comparison with adult acute myeloid leukemia.,2212-7,"BACKGROUND: Significantly elevated telomerase activity (TA) has been found in samples from patients with almost all malignant hematologic diseases. The impact of elevated TA on the course of pediatric patients with acute myeloid leukemia (P-AML) is unknown. METHODS: Using a modified polymerase chain reaction-based, telomeric repeat-amplification protocol assay, the authors measured TA in bone marrow samples from 40 patients with P-AML and, for comparison, in 65 adult patients with AML (A-AML), excluding patients with French-American-British M3 disease. The results were correlated with patient characteristics and survival. RESULTS: TA in patients with P-AML was significantly lower compared with TA in patients with A-AML (P = 0.005). Patients who had P-AML with low TA had a projected 5-year survival rate of 88%, whereas patients who had P-AML with high TA had a projected 5-year survival rate of 43% (P = 0.009). Conversely, patients who had A-AML with very high TA (upper quartile) had significantly longer survival compared with patients who had A-AML with lower TA (P = 0.03). There was no correlation between complete remission rate or disease free survival and TA in P-AML or A-AML. In the A-AML group, when patients were separated by cytogenetic findings (poor prognosis vs. others), it was found that TA was significantly lower in patients with a poor prognosis, but the prognostic value of TA was not independent of cytogenetic status. CONCLUSIONS: The current results suggest, that for patients with P-AML, bone marrow TA is a highly significant prognostic factor.","['Verstovsek, Srdan', 'Manshouri, Taghi', 'Smith, Franklin O', 'Giles, Francis J', 'Cortes, Jorge', 'Estey, Elihu', 'Kantarjian, Hagop', 'Keating, Michael', 'Jeha, Sima', 'Albitar, Maher']","['Verstovsek S', 'Manshouri T', 'Smith FO', 'Giles FJ', 'Cortes J', 'Estey E', 'Kantarjian H', 'Keating M', 'Jeha S', 'Albitar M']","['Department of Leukemia, The University of Texas M. D. Anderson Cancer Center, Houston, Texas 77030, USA.']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Bone Marrow/*enzymology', 'Child', 'Child, Preschool', 'Hemoglobins/metabolism', 'Humans', 'Infant', 'Leukemia, Myeloid/*enzymology/pathology', 'Leukocyte Count', 'Middle Aged', 'Platelet Count', 'Prognosis', 'Telomerase/blood/*metabolism']",,2003/04/25 05:00,2003/05/21 05:00,['2003/04/25 05:00'],"['2003/04/25 05:00 [pubmed]', '2003/05/21 05:00 [medline]', '2003/04/25 05:00 [entrez]']",['10.1002/cncr.11313 [doi]'],ppublish,Cancer. 2003 May 1;97(9):2212-7. doi: 10.1002/cncr.11313.,,"['0 (Hemoglobins)', 'EC 2.7.7.49 (Telomerase)']",,,['Copyright 2003 American Cancer Society.DOI 10.1002/cncr.11313'],,,,,,,,,,,,,,,,,
