PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,CIN,CON,TT,RF,SI,GR,PMC,EIN,CI,LID,OTO,OT,MID,PS,FPS
9568100,NLM,MEDLINE,19980513,20041117,0250-7005 (Print) 0250-7005 (Linking),18,1A,1998 Jan-Feb,"The primary in vitro anticancer activity of ""half-mustard type"" phenothiazines in NCI's revised anticancer screening paradigm.",337-48,"Some new phenothiazines have been synthesized on the basis of previous studies. The anticancer activity of ""half-mustard type"" phenothiazines was investigated on sixty different cancer cell lines in vitro. The percentage of growth (PG), 50% inhibition of growth (GI50), the tumor growth inhibition (TGI) and the concentration required for 50% lethality of cells (IC50) were examined and calculated in the presence of various (from 10(-4) to 10(-8) M) concentrations of phenothiazine alkylurea derivatives. The following cell lines were involved in the study: 6 leukemia, 9 non-small-cell lung cancer, 7 colon cancer, 6 central nervous system cancer, 8 melanoma, 6 ovarian cancer, 8 renal cancer, 2 prostate and 8 breast cancer cell lines. The antileukemic activity of four chloroethyl-substituted phenothiazine-alkylureas was shown by considerable growth inhibition, in the 10(-5) M range, of the six different leukemia cell lines. The 50% inhibition of growth was nearly the same for the four compounds on all cell lines. Tumor growth inhibition (TGI) and IC50 value to cells varied from -4.0 to -4.66. The two derivatives with the butylene bridge were more effective than propylene linked compounds against the CCRP-CEM, HL60 (TB), K-562 and MOLT-4 cell lines. However, the anti-leukemic activity of the derivatives was nearly the same for RPMT 8226 and SR cell lines. The substituent at the 2- position of phenothiazine ring and the length of the linker between the side chain nitrogen and the phenothiazine ring system are apparently important for antileukemic activity. Four of the 9 non-small-cell lung cancer cell lines were sensitive, while the other 5 cell lines were not. The compounds had a slight growth inhibitory effect on colon cell carcinoma and melanoma cells in which case the butylene linker seemed to be more effective than the propylene linker. At the same time, all of the compounds were weak or mostly inactive on cancer cells from the central nervous system. One ovarian cancer line of the 6, the IGROVI was sensitive to butylurea phenothiazines, however, the other five were not sensitive at all. The difference in the sensitivity of various renal cell carcinomas was significant: 5 lines were not sensitive, three of them (786-0, RXF-393 and TK-10) were sensitive to only butylene-substituted phenothiazine-ureas, propylene substitution resulted in ineffective compounds. The compounds were not able to inhibit the 2 prostate and 4 breast cancer cell lines, even at 10(-4) M. It was interesting that propylene-linked ureas were more effective than butylene-linked derivatives on MCF-7, but butylene-linked derivatives were more effective than propylene-linked compounds on MDA MB-231 and MDA-N. In addition, MDA MB 435 was more sensitive to the trifluoromethyl derivatives than the compounds without this substituent. Since the phthalimido-alkyl phenothiazines were not active at the first level of prescreen, these compounds were omitted from this study. The drug sensitivity of some cancer cell lines was not uniform for the different groups, therefore we postulate that the resistance can be related to some kind of (existing) drug-efflux mechanism. Apparently, the tumor specificity of phenothiazine alkylureas is more related to the leukemia specificity of alkylureas than to any CNS or lung specificity of phenothiazines.","['Wuonola, M A', 'Palfreyman, M G', 'Motohashi, N', 'Kawase, M', 'Gabay, S', 'Gupta, R R', 'Molnar, J']","['Wuonola MA', 'Palfreyman MG', 'Motohashi N', 'Kawase M', 'Gabay S', 'Gupta RR', 'Molnar J']","['SCRIPTGEN Pharmaceuticals, Inc., Medford, MA 02155, USA.']",['eng'],['Journal Article'],Greece,Anticancer Res,Anticancer research,8102988,IM,"['Antineoplastic Agents/*pharmacology', 'Drug Screening Assays, Antitumor', 'Growth Inhibitors/*pharmacology', 'Humans', 'Phenothiazines/*pharmacology', 'Tumor Cells, Cultured/*drug effects']",1998/05/06 00:00,1998/05/06 00:01,['1998/05/06 00:00'],"['1998/05/06 00:00 [pubmed]', '1998/05/06 00:01 [medline]', '1998/05/06 00:00 [entrez]']",,ppublish,Anticancer Res. 1998 Jan-Feb;18(1A):337-48.,"['0 (Antineoplastic Agents)', '0 (Growth Inhibitors)', '0 (Phenothiazines)']",,,,,,,,,,,,,,,
9568062,NLM,MEDLINE,19980513,20131121,0250-7005 (Print) 0250-7005 (Linking),18,1A,1998 Jan-Feb,Antitumor activity of novel octalactin A analogs in murine leukemia cells in vitro.,97-106,"Octalactin A and B (code names K1 and K2) are eight-membered-ring lactones from a marine bacterium. K1 is reportedly cytotoxic. Since access to this natural product is severely limited, the entire synthesis of K1 has been achieved in K. Buszek's laboratory, and several of its structural and stereochemical analogs (code names K3-K9) have been tested for their ability to prevent murine L1210 leukemic cells from synthesizing macromolecules and growing in vitro. At 50 microM, K1 is inactive and the eight-membered lactone K4, an oxocene, is the only compound found to inhibit tumor cell growth by about 90% in the L1210 system. The long-term inhibition of L1210 cell growth by K4 is concentration dependent (IC50 around 10 microM) and not reversible following drug removal. The delayed and weaker cytotoxic effects of K4 suggest that the inhibition of tumor cell proliferation observed 1-4 days after K4 treatment is not solely caused by drug cytotoxicity. When compared to a spectrum of representative anticancer drugs, higher concentrations of K4 must be used to maximally inhibit tumor cell growth. In contrast to its antiproliferative activity, 50 microM K4 fails to alter the rates of DNA, RNA and protein synthesis in L1210 cells. This discrepancy between the ability of K4 to inhibit macromolecule synthesis and leukemic cell growth suggests that other molecular targets are involved in the antitumor action of this drug. At 50 microM, K4 inhibits the polymerization of purified tubulin by about 45%, and therefore may be a novel microtubule de-stabilizing drug weaker than vincristine. Even though other mechanisms may be involved in its antitumor action, the ability of K4 to partially disrupt microtubule dynamics indirectly suggests that this synthetic oxocene may be a cell cycle-specific anticancer drug that blocks mammalian cells in M-phase.","['Perchellet, J P', 'Perchellet, E M', 'Newell, S W', 'Freeman, J A', 'Ladesich, J B', 'Jeong, Y', 'Sato, N', 'Buszek, K']","['Perchellet JP', 'Perchellet EM', 'Newell SW', 'Freeman JA', 'Ladesich JB', 'Jeong Y', 'Sato N', 'Buszek K']","['Anti-Cancer Drug Laboratory, Kansas State University, Manhattan 66506, USA. jpperch@ksu.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",Greece,Anticancer Res,Anticancer research,8102988,IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Camptothecin/therapeutic use', 'Cell Division/drug effects', 'Cell Survival/drug effects', 'DNA, Neoplasm/biosynthesis', 'Dose-Response Relationship, Drug', 'Growth Inhibitors/pharmacology', 'Lactones/*pharmacology/*therapeutic use', 'Leukemia L1210/*drug therapy', 'Mice', 'Microtubules/ultrastructure', 'Neoplasm Proteins/biosynthesis', 'RNA, Neoplasm/biosynthesis', 'Tumor Cells, Cultured']",1998/05/06 00:00,1998/05/06 00:01,['1998/05/06 00:00'],"['1998/05/06 00:00 [pubmed]', '1998/05/06 00:01 [medline]', '1998/05/06 00:00 [entrez]']",,ppublish,Anticancer Res. 1998 Jan-Feb;18(1A):97-106.,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Growth Inhibitors)', '0 (Lactones)', '0 (Neoplasm Proteins)', '0 (RNA, Neoplasm)', '0 (octalactin K4)', 'XT3Z54Z28A (Camptothecin)']",,,,,,,,,,,,,,,
9568040,NLM,MEDLINE,19980527,20071114,0042-6822 (Print) 0042-6822 (Linking),243,2,1998 Apr 10,Quantitation of MoMuLV envelope protein on the cell surface.,415-22,"The envelope glycoprotein (Env) of Moloney murine leukemia virus (MoMuLV) is proteolytically processed and transported to the cell surface where it can be incorporated into budding virions. Cell surface Env is frequently detected using an indirect immunofluorescence assay and fluorescence-activated cell sorting (FACS). We found that the detection of Env in this manner requires the expression of the MoMuLV receptor (ATRC-1) on the cell surface, and the level of envelope protein detected correlates with the level of receptors expressed on the cell. In addition, Env detection corresponds to the Env protein's ability to bind to its receptor and can be competed out by the addition of a truncated form of the Env protein. These data suggest that Env detected on the cell surface by the FACS assay is protein that has rebound to its receptor after being secreted or shed, rather than actual surface-expressed protein. In contrast, a combined immunoprecipitation and biotinylation assay detected equal amounts of Env on the surface of both receptor-lacking and receptor-expressing cell lines. The immunoprecipitation-biotinylation assay is therefore a more appropriate method for detecting surface expression of the MoMuLV envelope protein.","['Yu, H', 'Empig, C', 'Xia, J', 'Anderson, W F']","['Yu H', 'Empig C', 'Xia J', 'Anderson WF']","['Gene Therapy Laboratories, Norris Cancer Center, School of Medicine, University of Southern California, Los Angeles 90033, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,IM,"['3T3 Cells', 'Animals', 'CHO Cells', 'Cell Line, Transformed', 'Cell Membrane/metabolism', 'Cricetinae', 'Humans', 'Membrane Glycoproteins/*metabolism', 'Mice', 'Moloney murine leukemia virus/genetics/*metabolism', 'Protein Processing, Post-Translational', 'Receptors, Virus/*metabolism', 'Retroviridae Proteins, Oncogenic/*metabolism', 'Viral Envelope Proteins/*metabolism']",1998/05/06 00:00,1998/05/06 00:01,['1998/05/06 00:00'],"['1998/05/06 00:00 [pubmed]', '1998/05/06 00:01 [medline]', '1998/05/06 00:00 [entrez]']","['S0042-6822(98)99073-0 [pii]', '10.1006/viro.1998.9073 [doi]']",ppublish,Virology. 1998 Apr 10;243(2):415-22. doi: 10.1006/viro.1998.9073.,"['0 (Membrane Glycoproteins)', '0 (Receptors, Virus)', '0 (Retroviridae Proteins, Oncogenic)', '0 (Viral Envelope Proteins)', '0 (ecotropic murine leukemia virus receptor)']",,,,,,['CA59318/CA/NCI NIH HHS/United States'],,,,,,,,,
9568028,NLM,MEDLINE,19980527,20121115,0042-6822 (Print) 0042-6822 (Linking),243,2,1998 Apr 10,Inhibition of Friend virus replication by a compound that reacts with the nucleocapsid zinc finger: anti-retroviral effect demonstrated in vivo.,283-92,"The zinc finger structure that is found in the nucleocapsid protein of nearly all retroviruses has been proposed as a target for antiviral therapy. Since compounds that chemically attack the cysteines of the finger have been shown to inactivate both human immunodeficiency virus type 1 (HIV-1) and murine leukemia virus (MuLV) in vitro, 14 of these compounds were tested in an MuLV-induced Friend disease model to assess their ability to inhibit retroviral replication in vivo. Of the 14 compounds tested, only Aldrithiol-2 clearly exhibited anti-retroviral activity as measured indirectly by the delay of Friend disease onset (P < 0.05). These results were confirmed by quantitative competitive polymerase chain reaction studies which monitored viral spread by measuring the level of viral DNA in the peripheral blood mononuclear cells of treated mice. Comparison of treated mice with untreated mice revealed that Aldrithiol-2 produced a greater than 2-log reduction in virus levels. These results functionally demonstrate that a zinc finger-attacking compound can inhibit viral replication in vivo. Since only 1 of the 14 compounds studied was effective, this study also shows the importance of in vivo testing of these types of antiviral compounds in an animal model. Given the strict conservation of the metal-coordinating cysteine structure within HIV-1 and MuLV zinc fingers, our results support the proposal that anti-retroviral drugs which target the nucleocapsid zinc finger may be clinically useful against HIV-1.","['Ott, D E', 'Hewes, S M', 'Alvord, W G', 'Henderson, L E', 'Arthur, L O']","['Ott DE', 'Hewes SM', 'Alvord WG', 'Henderson LE', 'Arthur LO']","['AIDS Vaccine Program, SAIC/Frederick, National Cancer Institute, Maryland 21702-1201, USA. ott@avpvx1.ncifcrf.gov']",['eng'],['Journal Article'],United States,Virology,Virology,0110674,IM,"['Animals', 'Antiviral Agents/administration & dosage/*pharmacology', 'Benzothiazoles', 'Data Interpretation, Statistical', 'Friend murine leukemia virus/*drug effects/genetics/growth & development', 'Leukemia, Experimental/*drug therapy/virology', 'Mice', 'Nucleocapsid/*drug effects', 'Retroviridae Infections/*drug therapy/virology', 'Retroviridae Proteins/drug effects', 'Thiazoles/*pharmacology', 'Tumor Virus Infections/*drug therapy/virology', 'Virus Replication/*drug effects', '*Zinc Fingers']",1998/05/06 00:00,1998/05/06 00:01,['1998/05/06 00:00'],"['1998/05/06 00:00 [pubmed]', '1998/05/06 00:01 [medline]', '1998/05/06 00:00 [entrez]']","['S0042-6822(98)99062-6 [pii]', '10.1006/viro.1998.9062 [doi]']",ppublish,Virology. 1998 Apr 10;243(2):283-92. doi: 10.1006/viro.1998.9062.,"['0 (Antiviral Agents)', '0 (Benzothiazoles)', '0 (Retroviridae Proteins)', '0 (Thiazoles)', '6OK753033Z (dibenzothiazyl disulfide)']",,,,,,,,,,,,,,,
9567752,NLM,MEDLINE,19980521,20031114,0019-5189 (Print) 0019-5189 (Linking),35,11,1997 Nov,Synthesis of some new pyrimidine derivatives as potential anticancer and anti-HIV agent.,1208-13,"Several 2,4-diaminopyrimidines have been synthesized and tested for their anticancer and anti-HIV activities. Out of these, eight compounds displayed significant activity against leukemia, melanoma, non-small cell and CNS cancer. Two compounds were active against leukemia P388. One compound has been found to be moderately active as compared to AZT.","['Debi, M']",['Debi M'],"['Department of Chemical Technology, Calcutta University, India.']",['eng'],['Journal Article'],India,Indian J Exp Biol,Indian journal of experimental biology,0233411,IM,"['Animals', 'Anti-HIV Agents/*chemical synthesis/therapeutic use', 'Antineoplastic Agents/*chemical synthesis/therapeutic use', 'Pyrimidines/*chemical synthesis/therapeutic use', 'Tumor Cells, Cultured']",1998/05/06 00:00,1998/05/06 00:01,['1998/05/06 00:00'],"['1998/05/06 00:00 [pubmed]', '1998/05/06 00:01 [medline]', '1998/05/06 00:00 [entrez]']",,ppublish,Indian J Exp Biol. 1997 Nov;35(11):1208-13.,"['0 (Anti-HIV Agents)', '0 (Antineoplastic Agents)', '0 (Pyrimidines)']",,,,,,,,,,,,,,,
9567617,NLM,MEDLINE,19980609,20061115,0026-4970 (Print) 0026-4970 (Linking),46,12,1997 Dec,[p53 mutation and chemoresistance in oral-maxillofacial squamous cell carcinoma. Role of p53 in the cell cycle control and in the modulating action of chemotherapeutic agents].,671-8,"p53 is a ""tumor suppressor gene"" with a basic function in the cellular cycle control and subsequently in the induction of the neoplastic process. p53 found changed in the majority of malignant human tumors. In the oral and maxillofacial cancers p53 mutations varies from 4% to 60% of the cases. Researches in vitro in tumors of the colon-rectum, breast, lung, ovary, testicle, bladder and in leukaemia, show a correlation between p53 overexpression (mutation) and resistance to the anti-tumor agents. The functional connection between the p53 and the chemotherapic drugs action which cause a direct DNA damage, is the apoptosis, a physiologic mechanism activated by p53 for regulating cell growth but also indispensable for the cytotoxic effects (apoptosis is an irreversible process culminating in cell death). Loss of the p53 activity (mutation) in the tumoral cells determines non-activation of the apoptosis and the drug resistance. These results have led to early clinical applications. In the breast cancers the p53 is already utilized as chemoresistance marker, directing the therapy, if changed to alternative drugs (Taxolo) which have a p53-independent action. Even into cell lung cancers a retroviral vector containing the wild-type p53 gene was produced to mediate transfer of wild-type p53, noting tumor regression. In oral and maxillofacial tumors surgery is elective. It is emphasized that, in advanced cancers, it is included in multimode protocols where the neoadjuvant chemotherapy has an important clinical function, with precise indications. The possibility to determine previously the p53 ""status"" in the cancer cells by genetic study, may give a specific factor of screening, indicative of the tumor chemoresponse, together with other well-known prognostic factors, with advantage for the therapeutic programming and especially for the known surgical treatment.","['Cutilli, T', 'Papola, F', 'Di Emidio, P', 'Corbacelli, A']","['Cutilli T', 'Papola F', 'Di Emidio P', 'Corbacelli A']","[""Dipartimento di Discipline Chirurgiche, Universita degli Studi, L'Aquila.""]",['ita'],"['English Abstract', 'Journal Article']",Italy,Minerva Stomatol,Minerva stomatologica,0421071,IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Carcinoma, Squamous Cell/chemistry/*drug therapy/genetics', 'Cell Cycle/*drug effects', 'Clinical Protocols', 'Combined Modality Therapy', 'Genes, p53/*genetics', 'Humans', 'Mouth Neoplasms/chemistry/*drug therapy/genetics', 'Mutation']",1998/05/06 00:00,1998/05/06 00:01,['1998/05/06 00:00'],"['1998/05/06 00:00 [pubmed]', '1998/05/06 00:01 [medline]', '1998/05/06 00:00 [entrez]']",,ppublish,Minerva Stomatol. 1997 Dec;46(12):671-8.,,,,Mutazioni della p53 e chemioresistenza nei carcinomi squamosi oro-maxillo-facciali. Ruolo della p53 nel controllo del ciclo cellulare e nel modulare l'azione di composti chemioterapici.,,,,,,,,,,,,
9567340,NLM,MEDLINE,19980716,20061115,0025-7680 (Print) 0025-7680 (Linking),57 Suppl 2,,1997,[Retrovirus and cancer revisited].,3-18,"The discovery of RNA oncoviruses dates back to 1911 when Rous isolated the avian virus which is the cause of the sarcoma which bears his name and to 1936 when Bittner related the ""milk factor"" to the development of murine mammary cancer. During the 50s, the successive descriptions of virus-induced sarcoma-leukemias in mice led to the oncogene theory and gradually to the postulation of a viral origin of cancer. The discovery of the reverse transcriptase in 1970 led to the establishment of the Retroviridae family including both onco and lentiviruses. The decade of the 80s was marked by three fundamental discoveries which altered the concept of oncovirus: 1) oncogenes became established as part of the cellular genome converting retroviruses into occasional vectors of the oncogene; 2) as the T cell growth factor, interleukin-2, became available, the first human oncovirus, HTLV-I, was isolated and proved to be the cause of adult T cell leukemia; 3) HIV was isolated and classified as a lentivirus and as the cause of AIDS. A few years later the antioncogenes were discovered. Both oncogenes and anti-oncogenes were found to collaborate in the cell cycle, maintaining an equilibrium between proliferation and apoptosis. Today the viral theory has been replaced by the gene theory of cancer which postulates that neoplastic transformation is the result of a cascade of events which include uncorrected DNA errors, blocking of apoptosis, activation of oncogenes and deletion of antioncogenes. At the present time, the intriguing question for retrovirologists is the role played by endogenous retroviruses which in man occupy up to 0.1% of the cellular genome.","['Dosne Pasqualini, C']",['Dosne Pasqualini C'],"['Division Medicina Experimental, ILEX-CONICET, Academia Nacional de Medicina, Buenos Aires, Argentina.']",['spa'],"['English Abstract', 'Historical Article', 'Journal Article']",Argentina,Medicina (B Aires),Medicina,0204271,IM,"['Animals', 'Apoptosis', 'Genes, Tumor Suppressor', 'Genome, Viral', 'History, 20th Century', 'Humans', 'Mice', 'RNA-Directed DNA Polymerase', '*Retroviridae/classification/genetics/growth & development', 'Retroviridae Infections/genetics', 'Tumor Virus Infections/genetics/*history']",1997/01/01 00:00,1998/05/06 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1998/05/06 00:01 [medline]', '1997/01/01 00:00 [entrez]']",,ppublish,Medicina (B Aires). 1997;57 Suppl 2:3-18.,['EC 2.7.7.49 (RNA-Directed DNA Polymerase)'],,,Vision retrospectiva de la relacion entre los retrovirus y el cancer.,,,,,,,,,,,,
9566916,NLM,MEDLINE,19980521,20210526,0270-7306 (Print) 0270-7306 (Linking),18,5,1998 May,Protein tyrosine phosphatase 1B antagonizes signalling by oncoprotein tyrosine kinase p210 bcr-abl in vivo.,2965-75,"The p210 bcr-abl protein tyrosine kinase (PTK) appears to be directly responsible for the initial manifestations of chronic myelogenous leukemia (CML). In contrast to the extensive characterization of the PTK and its effects on cell function, relatively little is known about the nature of the protein tyrosine phosphatases (PTPs) that may modulate p210 bcr-abl-induced signalling. In this study, we have demonstrated that expression of PTP1B is enhanced specifically in various cells expressing p210 bcr-abl, including a cell line derived from a patient with CML. This effect on expression of PTP1B required the kinase activity of p210 bcr-abl and occurred rapidly, concomitant with maximal activation of a temperature-sensitive mutant of the PTK. The effect is apparently specific for PTP1B since, among several PTPs tested, we detected no change in the levels of TCPTP, the closest relative of PTP1B. We have developed a strategy for identification of physiological substrates of individual PTPs which utilizes substrate-trapping mutant forms of the enzymes that retain the ability to bind to substrate but fail to catalyze efficient dephosphorylation. We have observed association between a substrate-trapping mutant of PTP1B (PTP1B-D181A) and p210 bcr-abl, but not v-Abl, in a cellular context. Consistent with the trapping data, we observed dephosphorylation of p210 bcr-abl, but not v-Abl, by PTP1B in vivo. We have demonstrated that PTP1B inhibited binding of the adapter protein Grb2 to p210 bcr-abl and suppressed p210 bcr-abl-induced transcriptional activation that is dependent on Ras. These results illustrate selectivity in the effects of PTPs in a cellular context and suggest that PTP1B may function as a specific, negative regulator of p210 bcr-abl signalling in vivo.","['LaMontagne, K R Jr', 'Flint, A J', 'Franza, B R Jr', 'Pandergast, A M', 'Tonks, N K']","['LaMontagne KR Jr', 'Flint AJ', 'Franza BR Jr', 'Pandergast AM', 'Tonks NK']","['Cold Spring Harbor Laboratory, New York 11724-2208, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,IM,"['*Adaptor Proteins, Signal Transducing', 'Animals', 'Cell Transformation, Neoplastic', 'Enzyme Activation', 'Fusion Proteins, bcr-abl/genetics/*metabolism', 'GRB2 Adaptor Protein', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics/*metabolism', 'Oncogene Proteins v-abl/metabolism', 'Phosphorylation', 'Precipitin Tests', 'Protein Binding', 'Protein Tyrosine Phosphatases/genetics/*metabolism', 'Protein-Tyrosine Kinases/genetics/*metabolism', 'Proteins/metabolism', 'Rats', 'Recombinant Proteins/metabolism', 'Signal Transduction', 'Tumor Cells, Cultured']",1998/05/05 02:03,2001/03/28 10:01,['1998/05/05 02:03'],"['1998/05/05 02:03 [pubmed]', '2001/03/28 10:01 [medline]', '1998/05/05 02:03 [entrez]']",['10.1128/MCB.18.5.2965 [doi]'],ppublish,Mol Cell Biol. 1998 May;18(5):2965-75. doi: 10.1128/MCB.18.5.2965.,"['0 (Adaptor Proteins, Signal Transducing)', '0 (GRB2 Adaptor Protein)', '0 (GRB2 protein, human)', '0 (Grb2 protein, rat)', '0 (Oncogene Proteins v-abl)', '0 (Proteins)', '0 (Recombinant Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 3.1.3.48 (Protein Tyrosine Phosphatases)']",,,,,,"['CA61033/CA/NCI NIH HHS/United States', 'CA64593/CA/NCI NIH HHS/United States']",PMC110676,,,,,,,,
9566865,NLM,MEDLINE,19980521,20210526,0270-7306 (Print) 0270-7306 (Linking),18,5,1998 May,Intrinsic transcriptional activation-inhibition domains of the polyomavirus enhancer binding protein 2/core binding factor alpha subunit revealed in the presence of the beta subunit.,2444-54,"A member of the polyomavirus enhancer binding protein 2/core binding factor (PEBP2/CBF) is composed of PEBP2 alphaB1/AML1 (as the alpha subunit) and a beta subunit. It plays an essential role in definitive hematopoiesis and is frequently involved in the chromosomal abnormalities associated with leukemia. In the present study, we report functionally separable modular structures in PEBP2 alphaB1 for DNA binding and for transcriptional activation. DNA binding through the Runt domain of PEBP2 alphaB1 was hindered by the adjacent carboxy-terminal region, and this inhibition was relieved by interaction with the beta subunit. Utilizing a reporter assay system in which both the alpha and beta subunits are required to achieve strong transactivation, we uncovered the presence of transcriptional activation and inhibitory domains in PEBP2 alphaB1 that were only apparent in the presence of the beta subunit. The inhibitory domain keeps the full transactivation potential of full-length PEBP2 alphaB1 below its maximum potential. Fusion of the transactivation domain of PEBP2 alphaB1 to the yeast GAL4 DNA-binding domain conferred transactivation potential, but further addition of the inhibitory domain diminished the activity. These results suggest that the activity of the alpha subunit as a transcriptional activator is regulated intramolecularly as well as by the beta subunit. PEBP2 alphaB1 and the beta subunit were targeted to the nuclear matrix via signals distinct from the nuclear localization signal. Moreover, the transactivation domain by itself was capable of associating with the nuclear matrix, which implies the existence of a relationship between transactivation and nuclear matrix attachment.","['Kanno, T', 'Kanno, Y', 'Chen, L F', 'Ogawa, E', 'Kim, W Y', 'Ito, Y']","['Kanno T', 'Kanno Y', 'Chen LF', 'Ogawa E', 'Kim WY', 'Ito Y']","['Department of Viral Oncology, Institute for Virus Research, Kyoto University, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,IM,"['Amino Acid Sequence', 'Animals', 'Cell Compartmentation', 'Core Binding Factor Alpha 1 Subunit', 'DNA Mutational Analysis', 'DNA-Binding Proteins/genetics/*metabolism', 'Enhancer Elements, Genetic', 'Gene Expression Regulation, Viral', 'Humans', 'Jurkat Cells', 'Macrophage Colony-Stimulating Factor/genetics', 'Mice', 'Molecular Sequence Data', 'Nuclear Matrix/metabolism', 'Polyomavirus', 'Protein Binding', 'Rats', 'Sequence Deletion', 'Transcription Factor AP-2', 'Transcription Factors/genetics/*metabolism', '*Transcriptional Activation']",1998/05/05 00:00,1998/05/05 00:01,['1998/05/05 00:00'],"['1998/05/05 00:00 [pubmed]', '1998/05/05 00:01 [medline]', '1998/05/05 00:00 [entrez]']",['10.1128/MCB.18.5.2444 [doi]'],ppublish,Mol Cell Biol. 1998 May;18(5):2444-54. doi: 10.1128/MCB.18.5.2444.,"['0 (Core Binding Factor Alpha 1 Subunit)', '0 (DNA-Binding Proteins)', '0 (Runx2 protein, mouse)', '0 (Transcription Factor AP-2)', '0 (Transcription Factors)', '81627-83-0 (Macrophage Colony-Stimulating Factor)']",,,,,,,PMC110624,,,,,,,,
9566763,NLM,MEDLINE,19980512,20201222,0161-5890 (Print) 0161-5890 (Linking),34,16-17,1997 Nov-Dec,Construction and characterisation of a functional CD19 specific single chain Fv fragment for immunotherapy of B lineage leukaemia and lymphoma.,1157-65,"The B cell specific antigen CD19 is a target for the immunotherapy of B lineage leukaemias and lymphomas. We have engineered a single chain Fv (scFv) fragment from the mouse hybridoma cell line FMC63 which produces monoclonal antibody specific for CD19. The genes encoding the FMC63 heavy and light chain variable regions were amplified from cDNA and a scFv was constructed by splice overlap extension PCR. Analysis of staining of lymphoblastoid cell lines, peripheral blood lymphocytes and tonsil sections demonstrated that the monovalent scFv fragment has the same cellular specificity as the parent hybridoma antibody. Kinetic studies with radiolabelled material showed that the scFv binds target cells with a Ka of 2.3 x 10(-9), compared with 4.2 x 10(-9) for the parent antibody. This CD19 scFv will be used in experimental models to test its therapeutic efficacy and immunogenicity, with a view to application in the diagnosis and treatment of human B cell cancers.","['Nicholson, I C', 'Lenton, K A', 'Little, D J', 'Decorso, T', 'Lee, F T', 'Scott, A M', 'Zola, H', 'Hohmann, A W']","['Nicholson IC', 'Lenton KA', 'Little DJ', 'Decorso T', 'Lee FT', 'Scott AM', 'Zola H', 'Hohmann AW']","[""Child Health Research Institute, Women's and Children's Hospital, Adelaide, South Australia.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Mol Immunol,Molecular immunology,7905289,IM,"['Animals', 'Antigens, CD19/*immunology', 'Base Sequence', 'DNA, Complementary/genetics/immunology', 'Humans', 'Immunoglobulin Fragments/genetics/*immunology/therapeutic use', 'Immunoglobulin Variable Region/genetics/immunology', '*Immunotherapy', 'Leukemia, B-Cell/*immunology/therapy', 'Lymphoma, B-Cell/*immunology/therapy', 'Mice', 'Molecular Sequence Data', 'Protein Engineering']",1998/05/05 00:00,1998/05/05 00:01,['1998/05/05 00:00'],"['1998/05/05 00:00 [pubmed]', '1998/05/05 00:01 [medline]', '1998/05/05 00:00 [entrez]']",['10.1016/s0161-5890(97)00144-2 [doi]'],ppublish,Mol Immunol. 1997 Nov-Dec;34(16-17):1157-65. doi: 10.1016/s0161-5890(97)00144-2.,"['0 (Antigens, CD19)', '0 (DNA, Complementary)', '0 (Immunoglobulin Fragments)', '0 (Immunoglobulin Variable Region)']",,,,,"['GENBANK/Y14283', 'GENBANK/Y14284']",,,,,,,,,,
