PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,TT,GR,PMC,SI,OID
3866494,NLM,MEDLINE,19860213,20071115,0192-8562 (Print) 0192-8562 (Linking),7,4,1985 Winter,Acute inclusion-body leukemia. Case report and review of literature.,336-40,An unusual case of acute leukemia with basophilic cytoplasmic inclusion bodies in a child is described. Certain aspects of the case suggested a lymphoblastic phenotype and others a myeloid origin. The inclusions stained positively for acid phosphatase and toluidine blue. Too few patients have been reported to determine the prognostic significance of acute leukemia with inclusion bodies.,"['Miller, D R', 'Ohri, G L', 'DeHarven, E']","['Miller DR', 'Ohri GL', 'DeHarven E']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,IM,"['Basophils/pathology', 'Bone Marrow/pathology', 'Child', 'Cytoplasmic Granules/ultrastructure', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Male']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Am J Pediatr Hematol Oncol. 1985 Winter;7(4):336-40.,,,"['CA-23742/CA/NCI NIH HHS/United States', 'CA-29564/CA/NCI NIH HHS/United States']",,,
3866493,NLM,MEDLINE,19860213,20071115,0192-8562 (Print) 0192-8562 (Linking),7,4,1985 Winter,Serial cell culture and cytogenetic studies of marrow cells from a patient with monosomy 7 syndrome.,321-6,"Serial bone marrow cell culture studies, with cytogenetic characterization, were performed in an 18-month-old boy with monosomy 7 syndrome--a condition that usually converts to nonlymphoblastic leukemia. Over a 12-month course, his marrow demonstrated: decreased colony formation and increased cluster formation in vitro with disease progression (consistent with preleukemia); persistence of only the monosomy 7 karyotype in direct marrow studies; and in contrast, proliferation of both 46,XY and monosomy 7 cells in in vitro marrow cultures. The findings indicate that certain dormant marrow cell populations may be expressed under in vitro culture conditions and suggest the need for determining factors which would allow their expression in vivo.","['Wang, W C', 'Dow, L W', 'Presbury, G J', 'Sato, Y', 'Wu, J', 'Williams, D L', 'Harris, A', 'Nash, M']","['Wang WC', 'Dow LW', 'Presbury GJ', 'Sato Y', 'Wu J', 'Williams DL', 'Harris A', 'Nash M']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,IM,"['Bone Marrow/*pathology', 'Cells, Cultured', 'Chromosome Aberrations/*pathology', 'Chromosome Disorders', '*Chromosomes, Human, 6-12 and X', 'Humans', 'Infant', 'Leukemia, Myeloid, Acute/genetics/*pathology', 'Male', 'Preleukemia/genetics/*pathology']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Am J Pediatr Hematol Oncol. 1985 Winter;7(4):321-6.,,,"['CA-20180/CA/NCI NIH HHS/United States', 'CA-21765/CA/NCI NIH HHS/United States']",,,
3866423,NLM,MEDLINE,19860212,20041117,0043-3284 (Print) 0043-3284 (Linking),81,12,1985 Dec,Chronic myelogenous leukemia.,265-7,,"['Fontana, J A']",['Fontana JA'],['eng'],['Journal Article'],United States,W V Med J,The West Virginia medical journal,0413777,IM,"['Combined Modality Therapy', 'Humans', 'Leukemia, Myeloid/*etiology/therapy', 'Oncogenes', 'Philadelphia Chromosome']",1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,W V Med J. 1985 Dec;81(12):265-7.,,,,,,
3866420,NLM,MEDLINE,19860220,20081121,0049-6804 (Print) 0049-6804 (Linking),,11,1985 Nov,[Functional features of peripheral blood neutrophils in chronic myeloid leukemia and subleukemia myelosis].,92-4,,"['Sarnitskii, I P', 'Guseva, S A', 'Tishchenko, L M']","['Sarnitskii IP', 'Guseva SA', 'Tishchenko LM']",['rus'],"['English Abstract', 'Journal Article']",Ukraine,Vrach Delo,Vrachebnoe delo,0413607,IM,"['Adult', 'Aged', 'Female', 'Humans', 'Leukemia, Myeloid/*blood', 'Male', 'Middle Aged', 'Neutrophils/*physiology', 'Primary Myelofibrosis/*blood']",1985/11/01 00:00,1985/11/01 00:01,['1985/11/01 00:00'],"['1985/11/01 00:00 [pubmed]', '1985/11/01 00:01 [medline]', '1985/11/01 00:00 [entrez]']",,ppublish,Vrach Delo. 1985 Nov;(11):92-4.,,Funktsional'nye osobennosti neitrofilov perifericheskoi krovi pri khronicheskom mieloleikoze i subleikemicheskom mieloze.,,,,
3866407,NLM,MEDLINE,19860220,20120924,0039-1735 (Print) 0039-1735 (Linking),64,6,1985 Nov-Dec,[State of the oral tissues in hemoblastosis patients and the characteristics of preparing them for orthodontic treatment].,68-71,,"['Kabanov, V Iu', 'Sinitsyn, V D', 'Polianskaia, A M', 'Ermakova, G L', 'Martynova, V A']","['Kabanov VIu', 'Sinitsyn VD', 'Polianskaia AM', 'Ermakova GL', 'Martynova VA']",['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Stomatologiia (Mosk),Stomatologiia,0412072,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Humans', 'Leukemia/*complications/immunology', 'Leukemia, Lymphoid/complications/immunology', 'Lymphoma/complications/immunology', 'Middle Aged', 'Mouth/immunology', 'Mouth Diseases/immunology/therapy', '*Oral Health', '*Orthodontics']",1985/11/01 00:00,1985/11/01 00:01,['1985/11/01 00:00'],"['1985/11/01 00:00 [pubmed]', '1985/11/01 00:01 [medline]', '1985/11/01 00:00 [entrez]']",,ppublish,Stomatologiia (Mosk). 1985 Nov-Dec;64(6):68-71.,,Sostoianie tkanei polosti rta u bol'nykh s gemoblastozami i osobennosti podgotovki ikh k ortopedicheskomu lecheniiu.,,,,
3866347,NLM,MEDLINE,19860129,20080716,0029-2001 (Print) 0029-2001 (Linking),105,31,1985 Nov 10,[Acute myelogenous leukemia in the adult. Is it right to give maximally potent treatment in early recurrence?].,2222-4,,"['Hjort, P F', 'Stavem, P', 'Evensen, S A']","['Hjort PF', 'Stavem P', 'Evensen SA']",['nor'],"['English Abstract', 'Journal Article']",Norway,Tidsskr Nor Laegeforen,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",0413423,IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Ethics, Medical', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Middle Aged', 'Recurrence']",1985/11/10 00:00,1985/11/10 00:01,['1985/11/10 00:00'],"['1985/11/10 00:00 [pubmed]', '1985/11/10 00:01 [medline]', '1985/11/10 00:00 [entrez]']",,ppublish,Tidsskr Nor Laegeforen. 1985 Nov 10;105(31):2222-4.,,Akutt myelogen leukemi hos voksne. Er det riktig a gi maksimalt kraftig behandling ved tidlig residiv?,,,,
3866312,NLM,MEDLINE,19860213,20190908,0036-553X (Print) 0036-553X (Linking),35,4,1985 Oct,Predictive value of bone marrow cultures in 48 patients with acute myeloblastic leukaemia or myelodysplasia both secondary to treatment of other malignant diseases.,423-9,"The growth pattern of bone marrow cells in agar cultures was studied in 48 patients with acute myeloblastic leukaemia or myelodysplasia, secondary to cytoreductive treatment, and compared to other laboratory findings. At diagnosis the status of the patients was: acute myeloblastic leukaemia (AML) in 9, acute myeloproliferative syndrome (AMS) in 13 and preleukaemic syndrome (PL) in 26 patients. 20 of the 39 patients with AMS and PL developed acute leukaemia, 15 of them within 1 year. 15 died of complications to cytopenia and only 4 are still alive and without leukaemia, observed from 8 to 55 months. Progression to AML was predicted from the agar cultures by increased cluster growth. Among 18 patients with increased cluster growth at diagnosis 14 subsequently developed AML. Among 21 patients with normal or decreased cluster growth at diagnosis 6 patients developed AML, but after conversion of the growth pattern to increased cluster growth. In 2 patients the increased cluster growth disappeared spontaneously and the patients are long-term leukaemia-free survivors. Colony growth pattern, conversely, was not related to leukaemic progression. Only 1 patient had normal growth pattern at diagnosis with respect to both clusters and colonies. Survival was short, with a median of about 7 months, unrelated to growth pattern and leukaemic progression.","['Mortensen, B T', 'Pedersen-Bjergaard, J', 'Tinggaard Pedersen, N', 'Westrup, M', 'Ersboll, J', 'Philip, P', 'Nissen, N I']","['Mortensen BT', 'Pedersen-Bjergaard J', 'Tinggaard Pedersen N', 'Westrup M', 'Ersboll J', 'Philip P', 'Nissen NI']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,IM,"['Adult', 'Aged', 'Antineoplastic Agents/*adverse effects', 'Cells, Cultured', 'Female', 'Hodgkin Disease/therapy', 'Humans', 'Leukemia, Myeloid, Acute/diagnosis/etiology/*pathology', 'Lymphoma/therapy', 'Male', 'Middle Aged', 'Myeloproliferative Disorders/diagnosis/etiology/*pathology', 'Preleukemia/diagnosis/etiology/pathology', 'Prognosis', 'Radiotherapy/adverse effects']",1985/10/01 00:00,1985/10/01 00:01,['1985/10/01 00:00'],"['1985/10/01 00:00 [pubmed]', '1985/10/01 00:01 [medline]', '1985/10/01 00:00 [entrez]']",['10.1111/j.1600-0609.1985.tb02266.x [doi]'],ppublish,Scand J Haematol. 1985 Oct;35(4):423-9. doi: 10.1111/j.1600-0609.1985.tb02266.x.,['0 (Antineoplastic Agents)'],,,,,
3866292,NLM,MEDLINE,19860218,20071115,0035-2659 (Print) 0035-2659 (Linking),52,7-9,1985 Jul-Sep,[Acute leukemia presenting as polymyositis simulating rhizomelic pseudopolyarthritis].,493-5,,"['Feldmann, J L', 'Menkes, C J', 'Levy, J P', 'Carlioz, A']","['Feldmann JL', 'Menkes CJ', 'Levy JP', 'Carlioz A']",['fre'],"['Case Reports', 'Journal Article']",France,Rev Rhum Mal Osteoartic,Revue du rhumatisme et des maladies osteo-articulaires,0407211,IM,"['Aged', 'Arthritis/*diagnosis', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*diagnosis', 'Myositis/*diagnosis', '*Paraneoplastic Syndromes', 'Shoulder Joint']",1985/07/01 00:00,1985/07/01 00:01,['1985/07/01 00:00'],"['1985/07/01 00:00 [pubmed]', '1985/07/01 00:01 [medline]', '1985/07/01 00:00 [entrez]']",,ppublish,Rev Rhum Mal Osteoartic. 1985 Jul-Sep;52(7-9):493-5.,,Leucose aigue revelee par une polymyosite simulant une pseudo-polyarthrite rhizomelique.,,,,
3866290,NLM,MEDLINE,19860207,20071115,0035-6204 (Print) 0035-6204 (Linking),32,1,1985,[Hepatitic complications and transfusional support in the remission-induction treatment of acute myeloid leukemia. Clinical study of l22 cases].,41-9,,"['Orlandi, E', 'Alessandrino, E P', 'Pagnucco, G', 'Bernasconi, C']","['Orlandi E', 'Alessandrino EP', 'Pagnucco G', 'Bernasconi C']",['ita'],"['English Abstract', 'Journal Article']",Italy,Riv Emoter Immunoematol,Rivista di emoterapia ed immunoematologia,0404352,IM,"['Adolescent', 'Adult', 'Aged', 'Alanine Transaminase/blood', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Aspartate Aminotransferases/blood', '*Blood Transfusion', 'Child', 'Clinical Enzyme Tests', 'Female', 'Hepatitis/diagnosis/*epidemiology/immunology', 'Hepatitis B/epidemiology/immunology', 'Humans', 'Leukemia, Myeloid, Acute/complications/drug therapy/*therapy', 'Male', 'Middle Aged', 'Prognosis']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Riv Emoter Immunoematol. 1985;32(1):41-9.,"['EC 2.6.1.1 (Aspartate Aminotransferases)', 'EC 2.6.1.2 (Alanine Transaminase)']",Complicanza epatitica e supporto trasfusionale nel trattamento di induzione della leucemia acuta mieloide. Studio clinico di 122 casi.,,,,
3866255,NLM,MEDLINE,19860207,20190501,0027-8424 (Print) 0027-8424 (Linking),82,24,1985 Dec,Retrovirus-induced spongiform encephalopathy: the 3'-end long terminal repeat-containing viral sequences influence the incidence of the disease and the specificity of the neurological syndrome.,8818-22,"Using chimeric murine leukemia viruses (MuLVs) constructed in vitro with parental viral genomes from the neurotropic Cas-BR-E MuLV and the nonneurotropic amphotropic 4070-A MuLV, we previously mapped the paralysis-inducing determinant of Cas-BR-E MuLV within a pol-env region. To assess the role of the long terminal repeats (LTRs) in influencing the neurological disease, we constructed another chimeric MuLV (pNEMO-1)m harboring the gag-pol-env from Cas-BR-E MuLV and the LTR region from the strongly T-cell tropic Moloney MuLV. Although the Cas-BR-E MuLV induced mainly nonthymic leukemia, pNEMO-1 MuLV induced a thymic form of leukemia, as the parental Moloney MuLV. The pNEMO-1 MuLV induced neurological diseases less frequently than Cas-BR-E MuLV when inoculated intraperitoneally into NIH/Swiss, SIM.S, and SWR/J mice. However, it induced neurological disorders more frequently and with a shorter latency than Cas-BR-E MuLV when inoculated intrathymically. Most mice with a neurological disorder induced with pNEMO-1 MuLV showed a new clinical syndrome not usually seen with the parental Cas-BR-E MuLV: They had no lower limb paralysis but were excessively tremulous, spastic, and immobile. The topographical distribution of the spongiform degeneration in the brain of mice with this new syndrome was different from that seen in mice with lower limb paralysis induced by Cas-BR-E MuLV. These results indicate that the 1.0-kilobase-pair Cla I-Pvu I LTR-containing fragment harbors sequences influencing the incidence and the clinical manifestation of the neurological disease and suggest a specificity of LTR sequences for a new tissue (brain).","['DesGroseillers, L', 'Rassart, E', 'Robitaille, Y', 'Jolicoeur, P']","['DesGroseillers L', 'Rassart E', 'Robitaille Y', 'Jolicoeur P']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Animals', 'Base Sequence', 'Brain Diseases/genetics/*microbiology/pathology', 'DNA, Viral/genetics', 'Leukemia, Experimental/microbiology', 'Mice', 'Moloney murine leukemia virus/genetics/*pathogenicity', 'Paralysis/genetics/*microbiology/pathology', 'Plasmids', 'Repetitive Sequences, Nucleic Acid']",1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",['10.1073/pnas.82.24.8818 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1985 Dec;82(24):8818-22. doi: 10.1073/pnas.82.24.8818.,"['0 (DNA, Viral)']",,,PMC391529,,
3866248,NLM,MEDLINE,19860207,20190501,0027-8424 (Print) 0027-8424 (Linking),82,24,1985 Dec,Chromosomal localization and characterization of c-abl in the t(6;9) of acute nonlymphocytic leukemia.,8742-6,"Acute nonlymphocytic leukemia associated with the chromosomal translocation t(6;9)(p23;q34) is an entity that is frequently associated with basophilia, which it shares with chronic myelogenous leukemia. The breakpoint on chromosome 9, q34, appears to be cytogenetically identical in both malignancies and is the site of the cellular oncogene c-abl. We investigated the role of c-abl in cells from two patients with the t(6;9) using in situ chromosomal hybridization, Southern hybridization, and in vitro phosphorylation. We showed that c-abl is not translocated from chromosome 9, resulting in a breakpoint that is on the 3' side of this gene. The t(6;9) translocation does not appear to result in the production of an aberrantly sized protein product or in the acquisition of in vitro tyrosine kinase activity. This is in direct contrast to the findings in chronic myelogenous leukemia, in which c-abl is translocated, leading to the production of a structurally altered c-abl protein with activated tyrosine kinase. Lastly, we demonstrated that the cells of one patient contain sequences from chromosome 9 inserted at the junction of a reciprocal translocation between chromosomes 4 and 10 on the 4q+ chromosome. This insertion, which is at least 100 kilobase pairs in length, represents a duplication and translocation of the protein coding region of c-abl.","['Westbrook, C A', 'Le Beau, M M', 'Diaz, M O', 'Groffen, J', 'Rowley, J D']","['Westbrook CA', 'Le Beau MM', 'Diaz MO', 'Groffen J', 'Rowley JD']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Adult', 'Child, Preschool', 'Chromosome Mapping', 'Chromosomes, Human, 4-5', '*Chromosomes, Human, 6-12 and X', 'Humans', 'Leukemia/*genetics', 'Male', 'Nucleic Acid Hybridization', 'Protein-Tyrosine Kinases/genetics', '*Proto-Oncogenes', 'Translocation, Genetic']",1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",['10.1073/pnas.82.24.8742 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1985 Dec;82(24):8742-6. doi: 10.1073/pnas.82.24.8742.,['EC 2.7.10.1 (Protein-Tyrosine Kinases)'],,['CA 16910/CA/NCI NIH HHS/United States'],PMC391513,,
3866231,NLM,MEDLINE,19860207,20190501,0027-8424 (Print) 0027-8424 (Linking),82,24,1985 Dec,Isolation and characterization of leukotriene C4 synthetase of rat basophilic leukemia cells.,8399-403,"When leukotriene (LT) A4 was incubated with subcellular fractions of sonicated rat basophilic leukemia (RBL) cells in the presence of glutathione, the enzyme producing LTC4, designated LTC4 synthetase, was found in the 105,000 X g pellet (microsomes) with a 3-fold enrichment in specific activity over that of the sonicate. The identification of the reaction product as LTC4 was confirmed by its identical retention time on reverse-phase HPLC to that of synthetic LTC4, the incorporation of [3H]glutathione into the product, its reactivity in a radioimmunoassay, and its UV absorption spectrum. In contrast, glutathione S-transferase activity, measured spectrophotometrically with 1-chloro-2,4-dinitrobenzene, was detected predominantly in the 105,000 X g supernatant (89%) and also in the microsomes (7%). The microsomal glutathione S-transferase and LTC4 synthetase were solubilized with 0.4% Triton X-102 and separated by DEAE-Sephacel chromatography; the former appeared in the effluent and the latter in the eluate after the addition of 0.16 M NaCl to the equilibration buffer. Solubilized, microsomal glutathione S-transferase was inhibited by S-hexylglutathione with an IC50 of 36 microM and was stable at 40 degrees C for 5 min, whereas LTC4 synthetase was only slightly inhibited (IC50, 2.3 mM) by S-hexylglutathione and retained no activity after incubation at 40 degrees C for 5 min. The partially purified LTC4 synthetase showed a specific activity of 1.34 +/- 0.51 nmol of LTC4 per 10 min per mg of protein (mean +/- SD, n = 9), representing a 10-fold purification from the sonicate and catalyzed the dose- and time-dependent production of LTC4 from LTA4 and glutathione. The apparent Km values for LTA4 and glutathione were estimated by Lineweaver-Burk plots to be 5-10 microM and 3-6 mM, respectively. These results indicate that the conjugation of LTA4 with glutathione to form LTC4 is catalyzed by a unique microsomal enzyme.","['Yoshimoto, T', 'Soberman, R J', 'Lewis, R A', 'Austen, K F']","['Yoshimoto T', 'Soberman RJ', 'Lewis RA', 'Austen KF']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Animals', 'Basophils/enzymology', 'Cell Line', 'Glutathione Transferase/*isolation & purification/metabolism', 'Kinetics', 'Leukemia/enzymology', 'Microsomes/enzymology', 'Rats', 'Solubility']",1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",['10.1073/pnas.82.24.8399 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1985 Dec;82(24):8399-403. doi: 10.1073/pnas.82.24.8399.,"['EC 2.5.1.18 (Glutathione Transferase)', 'EC 4.4.1.20 (leukotriene-C4 synthase)']",,"['AI-22531/AI/NIAID NIH HHS/United States', 'AI-22563/AI/NIAID NIH HHS/United States', 'GM-31193/GM/NIGMS NIH HHS/United States']",PMC390923,,
3866166,NLM,MEDLINE,19860217,20041117,0028-7628 (Print) 0028-7628 (Linking),85,10,1985 Oct,Erythroleukemia in the adjuvant treatment of breast cancer.,601-3,,"['Lichtman, S M', 'Schulman, P', 'Budman, D R']","['Lichtman SM', 'Schulman P', 'Budman DR']",['eng'],"['Case Reports', 'Journal Article']",United States,N Y State J Med,New York state journal of medicine,0401064,IM,"['Alkylating Agents/*adverse effects', 'Antineoplastic Agents/*adverse effects', 'Breast Neoplasms/*drug therapy', 'Female', 'Humans', 'Leukemia, Erythroblastic, Acute/*chemically induced/diagnosis', 'Middle Aged']",1985/10/01 00:00,1985/10/01 00:01,['1985/10/01 00:00'],"['1985/10/01 00:00 [pubmed]', '1985/10/01 00:01 [medline]', '1985/10/01 00:00 [entrez]']",,ppublish,N Y State J Med. 1985 Oct;85(10):601-3.,"['0 (Alkylating Agents)', '0 (Antineoplastic Agents)']",,,,,
3866140,NLM,MEDLINE,19860128,20071115,0026-556X (Print) 0026-556X (Linking),68,11,1985 Nov,Clinical manifestations of chronic leukemias.,833-5,,"['Theologides, A']",['Theologides A'],['eng'],['Journal Article'],United States,Minn Med,Minnesota medicine,8000173,IM,"['Adult', 'Child, Preschool', 'Diagnosis, Differential', 'Humans', 'Leukemia, Lymphoid/complications/*diagnosis', 'Leukemia, Myeloid/complications/*diagnosis', 'Lymphoproliferative Disorders/diagnosis', 'Prognosis']",1985/11/01 00:00,1985/11/01 00:01,['1985/11/01 00:00'],"['1985/11/01 00:00 [pubmed]', '1985/11/01 00:01 [medline]', '1985/11/01 00:00 [entrez]']",,ppublish,Minn Med. 1985 Nov;68(11):833-5.,,,,,,
3866126,NLM,MEDLINE,19860207,20190824,0145-2126 (Print) 0145-2126 (Linking),9,12,1985,Acute lymphoblastic leukemia and lymphoma associated with an isochromosome 7q.,1571-2,,"['De Braekeleer, M']",['De Braekeleer M'],['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,IM,"['*Chromosome Aberrations', '*Chromosomes, Human, 6-12 and X', 'Humans', 'Leukemia, Lymphoid/*genetics', 'Lymphoma/*genetics']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1016/0145-2126(85)90051-7 [doi]'],ppublish,Leuk Res. 1985;9(12):1571-2. doi: 10.1016/0145-2126(85)90051-7.,,,,,,
3866125,NLM,MEDLINE,19860207,20190824,0145-2126 (Print) 0145-2126 (Linking),9,12,1985,Avian monocytic leukemia cells release fibroblast growth factor: implications to associated myelofibrosis.,1559-64,"The marrow of chicks with leukemia induced by avian 'myeloblastosis' virus (AMV) exhibited a 5-10-fold increase in the number of fibroblast colony-forming cells (CFU-F). The increased CFU-F correlated with a mild fibrosis which can be seen in the marrow of these animals. Fibroblast proliferation likely was not simply due to the presence of leukemic cells because addition of formaldehyde-fixed peripheral leukemic cells failed to initiate CFU-F growth. Conditioned medium (CM) from day-4 cultures of peripheral leukemic cells was markedly stimulatory to CFU-F growth. The stimulatory activity was not due to virus released from the leukemic cells as, (1) removal of virus by pelleting had no effect on the CM activity and (2) direct inoculation of CFU-F cultures with virus failed to stimulate CFU-F growth. Normal avian marrow macrophage monolayers also released high levels of a fibroblast growth factor and both the macrophage-derived and leukemic cell-derived factors were heat-labile (65 degrees, 30 min).","['Dodge, W H']",['Dodge WH'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,IM,"['Animals', 'Cell Line', 'Chickens', 'Culture Media', 'Fibroblast Growth Factors/*metabolism', 'Leukemia, Myeloid/metabolism/*pathology', 'Primary Myelofibrosis/*etiology', 'Stem Cells/pathology']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1016/0145-2126(85)90049-9 [doi]'],ppublish,Leuk Res. 1985;9(12):1559-64. doi: 10.1016/0145-2126(85)90049-9.,"['0 (Culture Media)', '62031-54-3 (Fibroblast Growth Factors)']",,['CA 19275/CA/NCI NIH HHS/United States'],,,
3866124,NLM,MEDLINE,19860207,20190824,0145-2126 (Print) 0145-2126 (Linking),9,12,1985,High incidence of acute myeloid leukemia in SJL/J mice after X-irradiation and corticosteroids.,1519-28,"SJL/J mice which developed a high incidence of spontaneous reticulum cell neoplasms, developed a low rate incidence (20-25%) of myeloid leukemia (ML) after X-irradiation. The possible effect of adrenal steroid imbalance to radiation-induced ML in SJL/J mice was tested. Intact and thymectomized animals were exposed to a single dose of 300 r whole body irradiation and treated with either hydrocortisone acetate, prednisone, metyrapone and adrenocorticotropin as coleukemogenic agents. Hydrocortisone and prednisone exerted a marked coleukemogenic effect, increasing the ML incidence to a similar rate of about 50-70%, at a mean latent period of 300 days. Prominent leukemic infiltration were observed in the bone marrow, spleen, lymph nodes and liver of the leukemic animals. Results of cytological and histological studies, including cytochemistry and ultrastructure, were all consistent with the diagnosis of acute myeloid leukemia (AML). Since AML is the type of human secondary leukemia which appears increasingly in patients treated with alkylating drugs and/or irradiation and corticosteroids for Hodgkin's disease or other neoplastic diseases, the experimental model of AML induced in SJL/J mice could be used for elucidation of mechanisms of leukemogenesis in secondary leukemia.","['Resnitzky, P', 'Estrov, Z', 'Haran-Ghera, N']","['Resnitzky P', 'Estrov Z', 'Haran-Ghera N']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,IM,"['Adrenal Cortex Hormones/*toxicity', 'Animals', 'Female', 'Leukemia, Myeloid, Acute/*etiology/pathology', 'Leukemia, Radiation-Induced/*etiology/pathology', 'Metyrapone/toxicity', 'Mice', 'Mice, Inbred Strains']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1016/0145-2126(85)90045-1 [doi]'],ppublish,Leuk Res. 1985;9(12):1519-28. doi: 10.1016/0145-2126(85)90045-1.,"['0 (Adrenal Cortex Hormones)', 'ZS9KD92H6V (Metyrapone)']",,,,,
