PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,CIN,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,RN,GS,AID,PMC,GR,TT,CON,SI,EIN,OID,OAB,OABL,OTO,OT,GN
1857730,NLM,MEDLINE,19910829,20131121,0031-7144 (Print) 0031-7144 (Linking),46,1,1991 Jan,Influence of melanoma B16 on the pharmacokinetics of mitoguazone in mice.,44-6,"In this study, the influence of different stages and transplantation routes of the experimentally widely used solid tumor melanoma B16 on the pharmacokinetics of the antineoplastic agent mitoguazone was investigated in B6D2F1 mice. It could be shown that changes of the pharmacokinetic parameters as well as the distribution pattern of this drug were clearly influenced and dependent on the tumor stage but not by the tumor inoculation route. Advanced melanoma (d16) led to a sharp decrease in the terminal elimination half-life as well as to decreased spleen levels and increased initial liver concentrations of the drug. With respect to the results obtained in leukemia P388-bearing mice it can be concluded that the tumor stage as well as the tumor model are to be considered as important factors in which way and to which extent a tumor may alter the pharmacokinetics of antineoplastic agents.","['Amlacher, R', 'Baumgart, J', 'Mackowiak, A', 'Suhnel, J', 'Horn, U', 'Bubner, M', 'Hoffmann, H']","['Amlacher R', 'Baumgart J', 'Mackowiak A', 'Suhnel J', 'Horn U', 'Bubner M', 'Hoffmann H']","['Central Institutes of Microbiology and Experimental Therapy, Jena.']",['eng'],['Journal Article'],Germany,Pharmazie,Die Pharmazie,9800766,IM,,"['Animals', 'Female', 'Injections, Intravenous', 'Melanoma, Experimental/*metabolism', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred Strains', 'Mitoguazone/administration & dosage/*pharmacokinetics', 'Neoplasm Transplantation', 'Tissue Distribution', 'Transplantation, Homologous']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Pharmazie. 1991 Jan;46(1):44-6.,['OD5Q0L447W (Mitoguazone)'],,,,,,,,,,,,,,
1857690,NLM,MEDLINE,19910829,20111117,0934-8387 (Print) 0934-8387 (Linking),45,5,1991 May,[Lung changes caused by Mycobacterium xenopi infection in a patient with bone marrow transplantation: problems in differential diagnosis].,340-2,"Pulmonary affections caused by atypical mycobacteria are an increasingly common problem particularly in patients with immune deficiency disorders. We here report a case of pulmonary infiltrates due to Mycobacterium xenopi in a patient after allogeneic bone marrow transplantation for acute myeloid leukemia in first complete remission and under immunosuppressive treatment with prednisolone and Cyclosporin A. While sputum cultures, serology as well as bronchial lavage and transbronchial biopsy remained inconclusive, diagnosis could only be established by open lung biopsy. We suggest that particularly in immunocompromised patients unclear pulmonary infiltrates require rapid and possibly invasive diagnostic procedures.","['Busch, F W', 'Bautz, W', 'Dierkesmann, R', 'Toomes, H', 'Schalk, K P', 'Rusch-Gerdes, S', 'Ehninger, G']","['Busch FW', 'Bautz W', 'Dierkesmann R', 'Toomes H', 'Schalk KP', 'Rusch-Gerdes S', 'Ehninger G']",['Medizinische Klinik der Universitat Tubingen.'],['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Pneumologie,"Pneumologie (Stuttgart, Germany)",8906641,IM,,"['Adult', 'Biopsy', 'Bone Marrow Transplantation/*immunology', 'Diagnosis, Differential', 'Humans', 'Leukemia, Myeloid, Acute/therapy', 'Lung/microbiology', 'Male', 'Mycobacterium Infections, Nontuberculous/immunology/*microbiology', 'Nontuberculous Mycobacteria/isolation & purification', 'Respiratory Tract Infections/*microbiology', 'Transplantation, Homologous', 'Tuberculosis, Pulmonary/diagnosis']",,1991/05/01 00:00,1991/05/01 00:01,['1991/05/01 00:00'],"['1991/05/01 00:00 [pubmed]', '1991/05/01 00:01 [medline]', '1991/05/01 00:00 [entrez]']",ppublish,Pneumologie. 1991 May;45(5):340-2.,,,,,,Lungenveranderungen durch Infektion mit Mycobacterium xenopi bei einem Patienten nach Knochenmarktransplantation: Differentialdiagnostische Probleme.,,,,,,,,,
1857682,NLM,MEDLINE,19910827,20191028,0032-7484 (Print) 0032-7484 (Linking),21,1,1991,Purification and characterization of a human leukemia cell-derived immunosuppressive factor.,25-33,"A human leukemia cell-derived suppressor factor (LDSF) capable of suppressing in vitro proliferation and activation of normal human lymphocytes was purified from human leukemic HL-60 cells. LDSF is constitutively produced by the cells and was purified from serum free culture supernatant by a combination of ion-exchange chromatography, gel filtration and electrophoresis. Purified LDSF was determined to be a single chain protein with an apparent molecular mass of 66,000 daltons. LDSF was not cytolytic to lymphocytes, was heat stable at 70 degrees C, and did not have any effect on IL-2 or transferrin receptor expression.","['Abolhassani, M', 'Chiao, J W']","['Abolhassani M', 'Chiao JW']","['Department of Medicine, New York Medical College, Valhalla 10595.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Prep Biochem,Preparative biochemistry,1276634,IM,,"['Cell Division', 'Chromatography, Ion Exchange', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Leukemia/*immunology', 'Receptors, Interleukin-2/metabolism', 'Receptors, Transferrin/metabolism', 'Suppressor Factors, Immunologic/*isolation & purification', 'Temperature', 'Tumor Cells, Cultured']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Prep Biochem. 1991;21(1):25-33. doi: 10.1080/10826069108021513.,"['0 (Receptors, Interleukin-2)', '0 (Receptors, Transferrin)', '0 (Suppressor Factors, Immunologic)']",,['10.1080/10826069108021513 [doi]'],,"['CA35999/CA/NCI NIH HHS/United States', 'CA36040/CA/NCI NIH HHS/United States']",,,,,,,,,,
1857605,NLM,MEDLINE,19910823,20091021,0030-6002 (Print) 0030-6002 (Linking),132,24,1991 Jun 16,[Importance of the detection of minimal residual disease in the management of acute leukemia].,"1291-6, 1299","Between 1984-1988, 57 adult acute leukemic patients were treated with intensive combined chemotherapy in the National Institute of Haematology and Blood Transfusion. For the evaluation of response to therapy, 4 investigations were performed in parallel: bone marrow aspirate, bone marrow biopsy, cytogenetic analysis and bone marrow culture. Nonparametric test for samples taken for the evaluation of remission status showed that bone marrow biopsy was significantly the most sensitive method for the detection of residual disease. The bone marrow culture was also on the borderline of significance, but the low CFU-GM level did not always correlate with the further clinical course. Occasionally, karyotypic abnormality was the only sign of the residual disease. It would be of great importance to quantitate the minimal residual disease in order to evaluate and compare the various intensive postinduction therapeutic strategies.","['Mod, A', 'Tamaska, J', 'Adam, E', 'Gidall, J', 'Poros, A', 'Kiraly, A', 'Natonek, K', 'Paloczi, K', 'Hollan, Z']","['Mod A', 'Tamaska J', 'Adam E', 'Gidall J', 'Poros A', 'Kiraly A', 'Natonek K', 'Paloczi K', 'Hollan Z']","['Orszagos Haematologial es Vertranszfuzios Intezet, Budapest.']",['hun'],"['English Abstract', 'Journal Article', 'Review']",Hungary,Orv Hetil,Orvosi hetilap,0376412,IM,,"['Adolescent', 'Adult', 'Biopsy', 'Bone Marrow Examination', 'Child', 'Combined Modality Therapy', 'Cytogenetics', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/diagnosis/genetics/*therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/genetics/*therapy', 'Remission Induction', 'Survival Rate']",49,1991/06/16 00:00,1991/06/16 00:01,['1991/06/16 00:00'],"['1991/06/16 00:00 [pubmed]', '1991/06/16 00:01 [medline]', '1991/06/16 00:00 [entrez]']",ppublish,"Orv Hetil. 1991 Jun 16;132(24):1291-6, 1299.",,,,,,Minimalis rezidualis leukaemia vizsgalatanak jelentosege az akut leukaemias betegek kezeleseben.,,,,,,,,,
1857495,NLM,MEDLINE,19910827,20080116,0174-304X (Print) 0174-304X (Linking),22,2,1991 May,Fusarium meningoencephalitis in a child with acute leukemia.,110-2,"A 15-year-old boy with acute lymphoblastic leukemia (ALL) developed disseminated fusarium infection with meningoencephalitis following a contaminated skin wound. With antifungal therapy, the cutaneous lesions cleared but central nervous system (CNS) infection persisted causing a fibrosing meningitis and a brain granuloma. Fusaria are soil saprophytes that are more commonly associated with superficial eye and skin lesions, but may also cause severe systemic infections with CNS involvement in immuno-compromised patients. The organism may be confused with Aspergillus in tissue sections, and can only be diagnosed by culture.","['Agamanolis, D P', 'Kalwinsky, D K', 'Krill, C E Jr', 'Dasu, S', 'Halasa, B', 'Galloway, P G']","['Agamanolis DP', 'Kalwinsky DK', 'Krill CE Jr', 'Dasu S', 'Halasa B', 'Galloway PG']","[""Department of Pathology and Pediatrics (Hematology-Oncology), Children's Hospital Medical Center, Akron, Ohio.""]",['eng'],"['Case Reports', 'Journal Article']",Germany,Neuropediatrics,Neuropediatrics,8101187,IM,,"['Adolescent', 'Antifungal Agents/therapeutic use', 'Elbow/injuries', 'Fusarium/*isolation & purification', 'Humans', 'Male', 'Meningoencephalitis/*etiology/microbiology', 'Mycoses/*etiology/microbiology', 'Opportunistic Infections/*etiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications', 'Skin/injuries', 'Wound Infection/complications/microbiology']",,1991/05/11 19:15,2001/03/28 10:01,['1991/05/11 19:15'],"['1991/05/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1991/05/11 19:15 [entrez]']",ppublish,Neuropediatrics. 1991 May;22(2):110-2. doi: 10.1055/s-2008-1071428.,['0 (Antifungal Agents)'],,['10.1055/s-2008-1071428 [doi]'],,,,,,,,,,,,
1857456,NLM,MEDLINE,19910823,20131121,0028-2804 (Print) 0028-2804 (Linking),62,4,1991 Apr,[Neurologic complications after bone marrow transplantation].,221-5,"The retrospective study presented here reports clinical, electrophysiological and CT-data from 21 patients who underwent bone marrow transplantation for leukemia or aplastic anemia between 1980 and 1985. The aim of the investigation, which was performed at the end of 1986, was to elucidate whether antineoplastic drugs and radiation can result in long-term damage of the central nervous system. In 9 patients we observed neurological signs (1 leukencephalopathy, 5 cerebellar symptoms). Seven patients revealed dysrhythmia in the EEG and five had delayed latencies of visual evoked potentials. Eight patients exhibited pathological changes in CT (3 atrophy of supratentorial structures, 3 periventricular lucencies, 2 a combination of both). The results indicate that long-term damage to the CNS may be encountered after successful bone marrow transplantation.","['Diener, H C', 'Ehninger, G', 'Schmidt, H', 'Stab, U', 'Majer, K', 'Marquardt, B']","['Diener HC', 'Ehninger G', 'Schmidt H', 'Stab U', 'Majer K', 'Marquardt B']","['Abteilung Allgemeine Neurologie, Neurologische Universitats-Klinik, Universitat Tubingen.']",['ger'],"['English Abstract', 'Journal Article']",Germany,Nervenarzt,Der Nervenarzt,0400773,IM,,"['Adolescent', 'Adult', 'Anemia, Aplastic/*surgery', '*Bone Marrow Transplantation', 'Brain/drug effects/radiation effects', 'Central Nervous System Diseases/chemically induced/*diagnosis', 'Child', 'Demyelinating Diseases/chemically induced/diagnosis', 'Electroencephalography/drug effects/radiation effects', 'Evoked Potentials, Visual/drug effects/radiation effects', 'Female', 'Humans', 'Leukemia/*surgery', 'Leukoencephalopathy, Progressive Multifocal/chemically induced/diagnosis', 'Male', 'Methotrexate/administration & dosage/adverse effects', 'Middle Aged', '*Neurologic Examination', 'Postoperative Complications/*diagnosis', 'Radiation Injuries/etiology', 'Spinal Cord/drug effects/radiation effects', 'Tomography, X-Ray Computed', 'Whole-Body Irradiation/adverse effects']",,1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']",ppublish,Nervenarzt. 1991 Apr;62(4):221-5.,['YL5FZ2Y5U1 (Methotrexate)'],,,,,Neurologische Komplikationen nach Knochenmarktransplantation.,,,,,,,,,
1857454,NLM,MEDLINE,19910828,20111117,0028-2685 (Print) 0028-2685 (Linking),38,3,1991,Disorders in neuropsychological development and their relation to computed tomography brain scan in children with acute lymphoblastic leukemia in long-term remission.,351-6,"In a group of 71 children with acute lymphoblastic leukemia in long-term remission lasting 4 to 15 years different disorders in their neuropsychological development were found. The disturbances observed were as follows: Emotional disorders in 88%, personality development disorders in 65%, mental retardation in 58%, signs of CNS dysfunction in 54%, and neurological disorder in 31% of children. Abnormal computed tomography brain scans were present in 49% of patients. They consisted mainly of two types: Hypodense areas of the white matter were observed in 23% and widening of the ventricular system and subarachnoidal spaces was present in 26% of children. Statistical evaluation showed significant relations between CT brain scan abnormalities (mainly hypodense changes) and neurological disorders as well as the presence of signs of CNS dysfunction and disorders of personality development. Emotional and mental changes did not correlate with abnormalities of CT brain scan findings.","['Cap, J', 'Foltinova, A', 'Szabova, I', 'Cinkovska, S', 'Boruta, P']","['Cap J', 'Foltinova A', 'Szabova I', 'Cinkovska S', 'Boruta P']","['2nd Pediatric Clinic, Faculty of Medicine, Comenius University, Bratislava, Czechoslovakia.']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,IM,,"['Adolescent', 'Brain/*pathology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Intellectual Disability/epidemiology/etiology/pathology', 'Male', 'Mental Disorders/*etiology/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/pathology/*psychology', 'Tomography, X-Ray Computed']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1991;38(3):351-6.,,,,,,,,,,,,,,,
1857450,NLM,MEDLINE,19910828,20151119,0028-2685 (Print) 0028-2685 (Linking),38,3,1991,NK-cell activity affected by some cytostatic drugs and their additives.,303-12,"The direct effect of selected cytostatic drugs on natural killer (NK) cell activity was evaluated. Peripheral blood mononuclear cells from healthy donors were tested for their cytolytic activity in vitro in the presence of adriamycin, methotrexate, leucovorin, vincristin, cytosine arabinoside and teniposide. Most of the tested cytostatic drugs did not show to be active at concentrations comparable to their plasma level. However, diluents of some preparations (cytosine arabinoside, teniposide) containing organic solutions and stabilizing additives (e.g. benzyl alcohol) suppressed the NK activity more than chemotherapeutic agents alone. Thus teniposide, containing such additives, inhibited NK activity already at 5 mg/ml, while its peak plasma concentration was 23.8 mg/ml. The inhibitory concentrations of teniposide did not affect the target binding of effector cells and the expression of 14 tested leukocyte differentiation markers. This implies that a postbinding step of the lytic process was altered by the preparation. Likewise, no inhibition of lectin dependent cellular cytotoxicity by teniposide and its diluent was observed, suggesting that the lectin may substitute the missing lytic signal.","['Ujhazy, P', 'Babusikova, O']","['Ujhazy P', 'Babusikova O']","['Cancer Research Institute, Slovak Academy of Sciences, Bratislava, Czechoslovakia.']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,IM,,"['Antigens, Differentiation/biosynthesis', 'Antineoplastic Agents/*pharmacology', 'Benzyl Alcohol', 'Benzyl Alcohols/pharmacology', 'Cytarabine/pharmacology', 'Cytotoxicity Tests, Immunologic', 'Dose-Response Relationship, Drug', 'Doxorubicin/pharmacology', 'Fluorescent Antibody Technique', 'Humans', 'In Vitro Techniques', 'Killer Cells, Natural/*drug effects', 'Leucovorin/pharmacology', 'Leukemia, Erythroblastic, Acute/drug therapy', 'Methotrexate/pharmacology', 'Teniposide/pharmacology', 'Vincristine/pharmacology']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1991;38(3):303-12.,"['0 (Antigens, Differentiation)', '0 (Antineoplastic Agents)', '0 (Benzyl Alcohols)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '957E6438QA (Teniposide)', 'LKG8494WBH (Benzyl Alcohol)', 'Q573I9DVLP (Leucovorin)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,,,,
1857447,NLM,MEDLINE,19910828,20131121,0028-2685 (Print) 0028-2685 (Linking),38,3,1991,Changes in the toxicity and therapeutic efficacy of daunorubicin linked with a biodegradable carrier.,265-73,"The effects of the linkage of daunorubicin (DNR) and the synthetic biodegradable polymer polyhydroxyethyl-L-glutamine (PHEG) on general toxicity, therapeutic efficacy, and acute organ toxicity were investigated. General toxicity was assessed by means of mortality, or body weight changes of male CBA mice weighing 22-25 g after a single-dose i.p. administration of 5 or 2.5 mg/kg DNR, free or bound. Linked DNR at a larger lethal dose significantly increased mean survival time (18 versus 12 days). Surprisingly, free DNR at a smaller dose produced larger increases in body weight as compared with linked DNR. The linkage of DNR and PHEG did not markedly change the therapeutic activity in three murine hemoblastoses--plasmacytoma MOPS 406, leukemia P388 and hemoblastosis La. Acute (24 h) changes in cardio- and hepatotoxicity were studied on female Wistar rats weighing 208 +/- 5 g after a single dose of 5 mg/kg i.v. both free and linked DNR, as well as after an administration of the PHEG polymer alone (200 mg/kg i.v.). Free DNR caused a three-fold increase in creatine kinase (CK) activity, the identical dose of linked DNR caused only a 1.7-fold increase. Free DNR administration resulted in a decrease in heart rate, other tested drugs did not significantly change either blood pressure or heart rate. Free DNR did not change the kinetics of bromsulphalein (BSP) except for a decrease in extraction effectivity. Both linked DNR and polymer alone significantly changed some kinetic parameters of BSP. The results showed that the biodegradable polymer PHEG cannot be clinically used due to its hepatotoxic action. On the other hand, a decrease in total toxicity and cardiotoxicity resulting from the linkage of DNR and PHEG, the therapeutic efficacy being preserved, stimulates the efforts to find a suitable polymer carrier of anthracyclines without more serious side-effects.","['Hrdina, R', 'Bogusova, T A', 'Kunova, A', 'Kvetina, J']","['Hrdina R', 'Bogusova TA', 'Kunova A', 'Kvetina J']","['Institute of Experimental Biopharmacy, Czechoslovak Academy of Sciences, Hradec Kralove.']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,IM,,"['Animals', 'Aza Compounds/*chemistry', 'Blood Pressure/drug effects', 'Body Weight/drug effects', 'Creatine Kinase/metabolism', 'Daunorubicin/therapeutic use/*toxicity', 'Drug Carriers/*administration & dosage', 'Drug Interactions', 'Female', 'Heart Rate/drug effects', 'Injections, Intraperitoneal', 'Leukemia P388/*drug therapy/mortality', 'Liver/drug effects/metabolism', 'Male', 'Mice', 'Mice, Inbred Strains', 'Nitriles/*chemistry', '*Peptides', 'Plasmacytoma/*drug therapy/mortality', 'Pyrimidine Nucleosides/*chemistry', 'Sulfobromophthalein/pharmacokinetics']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1991;38(3):265-73.,"['0 (Aza Compounds)', '0 (Drug Carriers)', '0 (Nitriles)', '0 (Peptides)', '0 (Pyrimidine Nucleosides)', '0C2P5QKL36 (Sulfobromophthalein)', '27878-59-7 (poly-N(5)-(2-hydroxyethyl)glutamine)', 'EC 2.7.3.2 (Creatine Kinase)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,,,,,,,,,
1857227,NLM,MEDLINE,19910826,20190711,0076-6879 (Print) 0076-6879 (Linking),198,,1991,Erythroid differentiation bioassays for activin.,340-6,,"['Schwall, R H', 'Lai, C']","['Schwall RH', 'Lai C']",,['eng'],['Journal Article'],United States,Methods Enzymol,Methods in enzymology,0212271,IM,,"['Activins', 'Biological Assay/methods', 'Cell Differentiation/*drug effects', 'Cell Line', 'Erythropoiesis/*drug effects', 'Hemin/pharmacology', 'Hemoglobins/*analysis', 'Humans', 'Inhibins/*analysis/pharmacology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive', 'Spectrophotometry/methods']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Methods Enzymol. 1991;198:340-6. doi: 10.1016/0076-6879(91)98035-5.,"['0 (Hemoglobins)', '104625-48-1 (Activins)', '57285-09-3 (Inhibins)', '743LRP9S7N (Hemin)']",,"['0076-6879(91)98035-5 [pii]', '10.1016/0076-6879(91)98035-5 [doi]']",,,,,,,,,,,,
1857142,NLM,MEDLINE,19910829,20151119,0025-7753 (Print) 0025-7753 (Linking),97,1,1991 Jun 1,[T lymphoid blast crisis of Philadelphia chromosome-positive chronic myeloid leukemia: analysis of 3 cases].,21-3,"BACKGROUND: To investigate the frequency of the T lymphoid phenotype in the blast crisis of chronic myelocytic leukemia (CML) with positive Philadelphia chromosome (Ph) and to evaluate the major clinical and hematologic features of the patients with this phenotype. METHODS: The presence of the TdT enzyme was assessed and specific monoclonal antibodies to the different hemopoietic lines were used to evaluate blast cells in 38 patients with blast crisis during Ph-positive CML. RESULTS: T lymphoid phenotype was found in three of the 38 patients, corresponding in all cases to immature T cells. In one patient, the blast crisis was the presenting feature of CML and in two the localization of the blast crisis was lymphadenopathic. In the two patients who could be followed up a favorable response to chemotherapy regimens including vincristine and prednisone was observed. CONCLUSIONS: Although uncommon, T lymphoid blast crisis in CML should no longer be considered exceptional. This phenotypic finding suggests that, at least in some cases, CML originates in a pluripotential stem cell common to all hemopoietic cells, including T lymphocytes.","['Cervantes, F', 'Urbano-Ispizua, A', 'Escoda, L', 'Ordi, J', 'Montserrat, E', 'Rozman, C']","['Cervantes F', 'Urbano-Ispizua A', 'Escoda L', 'Ordi J', 'Montserrat E', 'Rozman C']","['Escuela de Hematologia Farreras Valenti, Hospital Clinic i Provincial, Barcelona.']",['spa'],"['Case Reports', 'Comparative Study', 'English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Spain,Med Clin (Barc),Medicina clinica,0376377,IM,,"['Adult', '*Blast Crisis/diagnosis/drug therapy', 'Humans', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/drug therapy', 'Male', 'Middle Aged', 'Phenotype', 'Prednisone/therapeutic use', '*T-Lymphocytes', 'Vincristine/therapeutic use']",,1991/06/01 00:00,1991/06/01 00:01,['1991/06/01 00:00'],"['1991/06/01 00:00 [pubmed]', '1991/06/01 00:01 [medline]', '1991/06/01 00:00 [entrez]']",ppublish,Med Clin (Barc). 1991 Jun 1;97(1):21-3.,"['5J49Q6B70F (Vincristine)', 'VB0R961HZT (Prednisone)']",,,,,Crisis blastica linfoide T de la leucemia mieloide cronica cromosoma Filadelfia positiva: analisis de tres casos.,,,,,,,,,
1856722,NLM,MEDLINE,19910829,20190907,0162-0134 (Print) 0162-0134 (Linking),42,2,1991 May 1,"Organomercury(II) complexes of 6-thioguanine: synthesis, characterization, and biological studies.",147-51,"Organomercury(II) complexes involving 6-thioguanine, of the type p-XC6H4HgL (Fig. 1) [LH = 6-thioguanine; X = Me, MeO, NO2], have been synthesized and characterized. Conductance measurements indicate that the complexes are nonelectrolytes. From IR and UV studies, it is concluded that 6-thioguanine acts as a bidentate ligand, coordinating through the 6-thione group and deprotonation of N-7. 1H and 13C NMR support the stoichiometry of the complexes. From thermal studies (TG and DSC) various kinetic and thermodynamic parameters for thermal degradation have been enumerated. In addition, the fragmentation pattern of the complexes have been analyzed on the basis of mass spectra. The p-MeC6H4HgL and p-MeOC6H4HgL complexes display significant activity against L1210 leukemia cells.","['Ahluwalia, V K', 'Kaur, J', 'Ahuja, B S', 'Sodhi, G S']","['Ahluwalia VK', 'Kaur J', 'Ahuja BS', 'Sodhi GS']","['Department of Chemistry, University of Delhi, India.']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Inorg Biochem,Journal of inorganic biochemistry,7905788,IM,,"['Animals', 'Antineoplastic Agents/*chemical synthesis', 'Calorimetry, Differential Scanning', 'Cell Survival/drug effects', 'Kinetics', 'Leukemia L1210', 'Ligands', 'Magnetic Resonance Spectroscopy', 'Mass Spectrometry', 'Mice', '*Organomercury Compounds', 'Structure-Activity Relationship', 'Thermodynamics', 'Thioguanine/*analogs & derivatives/*chemical synthesis/pharmacology']",,1991/05/01 00:00,1991/05/01 00:01,['1991/05/01 00:00'],"['1991/05/01 00:00 [pubmed]', '1991/05/01 00:01 [medline]', '1991/05/01 00:00 [entrez]']",ppublish,J Inorg Biochem. 1991 May 1;42(2):147-51. doi: 10.1016/0162-0134(91)80041-f.,"['0 (Antineoplastic Agents)', '0 (Ligands)', '0 (Organomercury Compounds)', 'FTK8U1GZNX (Thioguanine)']",,"['0162-0134(91)80041-F [pii]', '10.1016/0162-0134(91)80041-f [doi]']",,,,,,,,,,,,
1856699,NLM,MEDLINE,19910827,20061115,0022-1317 (Print) 0022-1317 (Linking),72 ( Pt 7),,1991 Jul,Binding of the BL/VL3 murine T cell lymphoma to radiation leukaemia virus is specific for viral env determinants.,1725-8,"Molecularly cloned radiation leukaemia viruses (RadLVs) isolated from the BL/VL3 radiation-induced thymoma have been used in assays to compare the binding specificity of the BL/VL3 cell line for different retroviruses. BL/VL3 cells bound well to two of three thymotropic, leukaemogenic viruses produced by this cell line. BL/VL3 did not bind to a cloned fibrotropic, non-leukaemogenic RadLV. BL/VL3 appears to have receptor specificity for only some of the leukaemogenic RadLVs, and this appears to be related to differences in the viral env sequence.","[""O'Neill, H C""]","[""O'Neill HC""]","['Developmental Haematology Group, John Curtin School of Medical Research, Australian National University, Canberra.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Gen Virol,The Journal of general virology,0077340,IM,,"['Animals', 'Cloning, Molecular', 'Electrophoresis, Polyacrylamide Gel', 'Gene Products, env/*genetics', 'Lymphoma, T-Cell/metabolism/*microbiology', 'Restriction Mapping', 'Retroviridae/genetics/*metabolism', 'Species Specificity', 'Tumor Cells, Cultured', 'Virion/genetics/*metabolism']",,1991/07/01 00:00,1991/07/01 00:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '1991/07/01 00:01 [medline]', '1991/07/01 00:00 [entrez]']",ppublish,J Gen Virol. 1991 Jul;72 ( Pt 7):1725-8. doi: 10.1099/0022-1317-72-7-1725.,"['0 (Gene Products, env)']",,['10.1099/0022-1317-72-7-1725 [doi]'],,,,,,,,,,,,
