PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,RN,RF,TT,DEP,GR,PMC,SI,CON,EIN,CIN,CI,CN,PS,FPS,MID,LID,RIN,RPF,OID
16724846,NLM,MEDLINE,20060713,20061115,0163-3864 (Print) 0163-3864 (Linking),69,5,2006 May,Triterpenoids from the resin of Styrax tonkinensis and their antiproliferative and differentiation effects in human leukemia HL-60 cells.,807-10,"['Wang, Feng', 'Hua, Huiming', 'Pei, Yuehu', 'Chen, Duo', 'Jing, Yongkui']","['Wang F', 'Hua H', 'Pei Y', 'Chen D', 'Jing Y']","[""Department of Natural Products Chemistry, Shenyang Pharmaceutical University, Shenyang 110016, People's Republic of China.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Nat Prod,Journal of natural products,7906882,IM,"['Antineoplastic Agents, Phytogenic/chemistry/*isolation & purification/pharmacology', 'Drug Screening Assays, Antitumor', 'Drugs, Chinese Herbal/chemistry/*isolation & purification/pharmacology', 'HL-60 Cells', 'Humans', 'Molecular Structure', 'Plants, Medicinal/*chemistry', 'Resins, Plant/*chemistry', 'Styrax/*chemistry', 'Triterpenes/chemistry/*isolation & purification/pharmacology']",2006/05/27 09:00,2006/07/14 09:00,['2006/05/27 09:00'],"['2006/05/27 09:00 [pubmed]', '2006/07/14 09:00 [medline]', '2006/05/27 09:00 [entrez]']",['10.1021/np050371z [doi]'],ppublish,J Nat Prod. 2006 May;69(5):807-10. doi: 10.1021/np050371z.,"Four new triterpenoids, 6beta-hydroxy-3-oxo-11alpha,12alpha-epoxyolean-28,13beta-olide (1), 3beta,6beta-dihydroxy-11alpha,12alpha-epoxyolean-28,13beta-olide (2), 3beta,6beta-dihydroxy-11-oxo-olean-12-en-28-oic acid (3), and 3beta-hydroxy-12-oxo-13Halpha-olean-28,19beta-olide (4), and five known triterpenes, 19alpha-hydroxy-3-oxo-olean-12-en-28-oic acid (5), 6beta-hydroxy-3-oxo-olean-12-en-28-oic acid (6), sumaresinolic acid (7), siaresinolic acid (8), and oleanolic acid (9), were isolated from the resin of Styrax tonkinensis. The structures of these triterpenoids were determined by physicochemical and spectroscopic methods. The configuration of compound 4 was confirmed by X-ray crystallographic analysis. All these triterpenoids inhibited HL-60 cell growth with IG(50) values ranging from 8.9 to 99.4 microM. Oleanolic acid (9) was the most effective antiproliferative agent, with an IG(50) value of 8.9 microM. While 3beta,6beta-dihydroxy-11-oxo-olean-12-en-28-oic acid (3) exhibited the least effective growth inhibition among these triterpenoids, it induced HL-60 cells to undergo differentiation as measured by an NBT reduction assay.","['0 (Antineoplastic Agents, Phytogenic)', '0 (Drugs, Chinese Herbal)', '0 (Resins, Plant)', '0 (Triterpenes)']",,,,,,,,,,,,,,,,,,
16724845,NLM,MEDLINE,20060713,20071114,0163-3864 (Print) 0163-3864 (Linking),69,5,2006 May,Antineoplastic Agents. 554. The manitoba bacterium Streptomyces sp.,804-6,"['Pettit, George R', 'Du, Jiang', 'Pettit, Robin K', 'Richert, Linda A', 'Hogan, Fiona', 'Mukku, Venugopal J R V', 'Hoard, Michael S']","['Pettit GR', 'Du J', 'Pettit RK', 'Richert LA', 'Hogan F', 'Mukku VJ', 'Hoard MS']","['Cancer Research Institute, Department of Chemistry and Biochemistry, Arizona State University, P.O. Box 872404, Tempe, Arizona 85287-2404, USA. bpettit@asu.edu']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,J Nat Prod,Journal of natural products,7906882,IM,"['Amino Acid Sequence', 'Animals', 'Anti-Bacterial Agents/chemistry/*isolation & purification/pharmacology', 'Aza Compounds/chemistry/*isolation & purification/pharmacology', 'Dipeptides/isolation & purification', 'Drug Screening Assays, Antitumor', 'Humans', 'Indoles/chemistry/*isolation & purification/pharmacology', 'Leukemia P388', 'Manitoba', 'Mice', 'Molecular Structure', 'Peptides, Cyclic/isolation & purification', 'Quinones/chemistry/*isolation & purification/pharmacology', 'Streptococcus/drug effects', 'Streptomyces/*chemistry/isolation & purification', 'Tumor Cells, Cultured']",2006/05/27 09:00,2006/07/14 09:00,['2006/05/27 09:00'],"['2006/05/27 09:00 [pubmed]', '2006/07/14 09:00 [medline]', '2006/05/27 09:00 [entrez]']",['10.1021/np058087v [doi]'],ppublish,J Nat Prod. 2006 May;69(5):804-6. doi: 10.1021/np058087v.,"A Streptomyces sp. isolated from riverbank soil in Manitoba, Canada, was found to contain two cancer cell growth inhibitories: diazaanthraquinone 1 and 3-(hydroxyacetyl)indole (8). The structures were determined by interpretation of data from HRMS, UV, and high-field (400 MHz) NMR experiments. The red-colored diazaanthraquinone 1 and 3-(hydroxyacetyl)indole (8) were found to inhibit (0.1-3 microg/mL) growth of a minipanel of human cancer cell lines and P388 lymphocytic leukemia cells. Diazaanthraquinone 1 was also found to inhibit growth of the bacteria Streptococcus pneumoniae and Neisseria gonorrheae. However, three companion constituents, cyclo-Pro-Leu (5), cyclo-Pro-Phe (6), and cyclo-Pro-Val (7), did not inhibit cancer cell growth.","['0 (3-(hydroxyacetyl)indole)', '0 (Anti-Bacterial Agents)', '0 (Aza Compounds)', '0 (Dipeptides)', '0 (Indoles)', '0 (Peptides, Cyclic)', '0 (Quinones)', '0 (Sch 538415)', '0 (cyclo(prolyl-leucyl))', '0 (cyclo(prolyl-valyl))']",,,,"['CA 44344-12/CA/NCI NIH HHS/United States', 'R01 CA 90441-01-05/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,
16724675,NLM,MEDLINE,20060713,20081121,0258-851X (Print) 0258-851X (Linking),20,3,2006 May-Jun,Cytogenetic findings in untreated patients with essential thrombocythemia.,381-4,"['Panani, Anna D']",['Panani AD'],"['The Critical Care Department, Medical School of Athens University, Research Unit, ""Evangelismos"" Hospital, Athens, Greece. apanani@med.uoa.gr']",['eng'],['Journal Article'],Greece,In Vivo,"In vivo (Athens, Greece)",8806809,IM,"['*Chromosome Aberrations', 'Chromosome Banding', 'Chromosomes, Human, Pair 13', 'Chromosomes, Human, Pair 14', 'Chromosomes, Human, Pair 17', 'Chromosomes, Human, Pair 20', 'Chromosomes, Human, Pair 5', 'Chromosomes, Human, Pair 8', 'Cytogenetic Analysis/*methods', 'Gene Deletion', 'Humans', 'Karyotyping', 'Monosomy', 'Thrombocythemia, Essential/blood/*genetics', 'Trisomy']",2006/05/27 09:00,2006/07/14 09:00,['2006/05/27 09:00'],"['2006/05/27 09:00 [pubmed]', '2006/07/14 09:00 [medline]', '2006/05/27 09:00 [entrez]']",,ppublish,In Vivo. 2006 May-Jun;20(3):381-4.,"Essential thrombocythemia (ET) is a chronic myeloid disorder that is characterized by persistent thrombocytosis, thrombohemorrhagic symptoms and a low risk of transformation to leukemia. Chromosomal abnormalities in ET are very rare and most of the patients studied were either in leukemic transformation or they had received treatment with cytotoxic agents. The number of cases studied at the time of diagnosis is very limited. In the present study, 67 cases with ET, at the time of diagnosis, were cytogenetically studied by a G-banding technique. Among them, only four presented chromosomal abnormalities. In two cases, a del(5)(q13q33) was identified, accompanied by trisomy 20 in one case, while, in the other case, monosomy 17 and a small marker chromosome were additionally found. In each of the remaining two abnormal cases, clonal isolated trisomy 13 or monosomy 14 were found, respectively. Since these chromosomal abnormalities were found at the time of diagnosis, they might be related to the neoplastic process. The documentation of more cases of chromosomal abnormalities in ET at the time of diagnosis may facilitate the identification of candidate genes involved in the neoplastic process.",,,,,,,,,,,,,,,,,,,
16724670,NLM,MEDLINE,20060713,20071115,0258-851X (Print) 0258-851X (Linking),20,3,2006 May-Jun,Gain of an isochromosome 5p: a rare recurrent abnormality in acute myeloid leukemia.,359-60,"['Panani, Anna D']",['Panani AD'],"['The Critical Care Department, Medical School of Athens University, Research Unit, ""Evangelismos"" Hospital, Athens, Greece. apanani@med.uoa.gr']",['eng'],['Journal Article'],Greece,In Vivo,"In vivo (Athens, Greece)",8806809,IM,"['Bone Marrow Cells/cytology', 'Cells, Cultured', 'Chromosome Banding', 'Chromosome Disorders/*genetics', 'Chromosomes, Human, Pair 5/*genetics', 'Chromosomes, Human, Pair 8/*genetics', 'Humans', 'Isochromosomes/*genetics', 'Karyotyping', 'Leukemia, Myeloid, Acute/blood/*genetics', 'Recurrence', 'Trisomy']",2006/05/27 09:00,2006/07/14 09:00,['2006/05/27 09:00'],"['2006/05/27 09:00 [pubmed]', '2006/07/14 09:00 [medline]', '2006/05/27 09:00 [entrez]']",,ppublish,In Vivo. 2006 May-Jun;20(3):359-60.,"Chromosomal abnormalities characterize the biological behavior of acute myeloid leukemia (AML), also facilitating the identification of genes responsible for its development and/or progression. Isochromosome 5p, i(5p), represents a rare chromosomal abnormality described, to date, in only a few AML cases. In almost all the cases reported, the i(5p) was accompanied by other abnormalities. Here, a new case of AML, evolved from a myelodysplastic syndrome (MDS) with a clonal trisomy 8, is reported. The case presented the following karyotype: 46, XY[15]/47, XY, +8[4]/47,XY, +1(5) (p10)[3]/ 48,XY,+i(5)(p10)+8[3]. To our knowledge, this is the first reported case of AML to present a clone with an isolated i(5p). The cytogenetic findings supported the hypothesis that i(5p) may represent a primary abnormality, which characterizes a small subset of AML cases.",,,,,,,,,,,,,,,,,,,
16724550,NLM,MEDLINE,20060705,20161124,0031-7144 (Print) 0031-7144 (Linking),61,5,2006 May,Gamma-pyranone derivatives and other constituents from Erigeron annuus.,474-7,"['Li, Xin', 'Pan, Jing', 'Gao, Kun']","['Li X', 'Pan J', 'Gao K']","[""State Key Laboratory of Applied Organic Chemistry, Lanzhou University, Lanzhou, People's Republic of China.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Pharmazie,Die Pharmazie,9800766,IM,"['Antineoplastic Agents, Phytogenic/chemistry/*pharmacology', 'Asteraceae/*chemistry', 'Camptothecin/analogs & derivatives/pharmacology', 'Carcinoma, Hepatocellular/drug therapy', 'Cell Line, Tumor', 'Erigeron/*chemistry', 'Flavanones/chemistry/*pharmacology', 'HL-60 Cells', 'Humans', 'Magnetic Resonance Spectroscopy', 'Pyrones/chemistry/*pharmacology', 'Tumor Cells, Cultured']",2006/05/27 09:00,2006/07/06 09:00,['2006/05/27 09:00'],"['2006/05/27 09:00 [pubmed]', '2006/07/06 09:00 [medline]', '2006/05/27 09:00 [entrez]']",,ppublish,Pharmazie. 2006 May;61(5):474-7.,"Two new gamma-pyranone derivatives and a new triterpene, together with eight known compounds, were isolated from the aerial parts of Erigeron annuus. Their structures were elucidated by spectroscopic methods. Besides, the anti-tumor activities of the gamma-pyranone derivatives to human hepatoma (SMMC-7721), human embryo liver (L-02) and human leukemia (HL-60) cells were evaluated.","['0 (Antineoplastic Agents, Phytogenic)', '0 (Flavanones)', '0 (Pyrones)', '9Z01632KRV (10-hydroxycamptothecin)', 'XT3Z54Z28A (Camptothecin)']",,,,,,,,,,,,,,,,,,
16724316,NLM,MEDLINE,20061024,20161124,0197-8462 (Print) 0197-8462 (Linking),27,7,2006 Oct,"Childhood leukemia, electric and magnetic fields, and temporal trends.",545-52,"['Kheifets, Leeka', 'Swanson, John', 'Greenland, Sander']","['Kheifets L', 'Swanson J', 'Greenland S']","['Department of Epidemiology, UCLA School of Public Health, Los Angeles, California 90095-1772, USA. kheifets@ucla.edu']",['eng'],['Journal Article'],United States,Bioelectromagnetics,Bioelectromagnetics,8008281,IM,"['Acute Disease/epidemiology', 'Child', 'Child, Preschool', 'Electricity/*adverse effects', 'Electromagnetic Fields/*adverse effects', '*Environmental Exposure', 'Humans', 'Incidence', 'Leukemia, Myeloid/epidemiology', '*Leukemia, Radiation-Induced/epidemiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology', 'United Kingdom/epidemiology', 'United States/epidemiology']",2006/05/26 09:00,2006/10/25 09:00,['2006/05/26 09:00'],"['2006/05/26 09:00 [pubmed]', '2006/10/25 09:00 [medline]', '2006/05/26 09:00 [entrez]']",['10.1002/bem.20249 [doi]'],ppublish,Bioelectromagnetics. 2006 Oct;27(7):545-52. doi: 10.1002/bem.20249.,"During the past 25 years concern has been raised about the possible health effects of extremely low frequency (ELF) electric and magnetic fields (EMFs), particularly regarding childhood leukemia. Comparison of changes in electricity consumption (a surrogate for exposure) to changes in childhood-leukemia rates, known as ecologic correlation, have been used to argue both for and against the association between magnetic fields and childhood leukemia. In this paper we explore what can be learned from such an ecologic approach. We first examine separately the evidence on trends in exposure to EMFs and on trends in leukemia rates, and then compare the two. Both incidence rates and exposures have increased, but there are so many approximations and assumptions involved in connecting the two trends that we cannot regard the ecologic evidence as providing any meaningful evidence for or against a causal link.",,,,,,,,,,,,,,,,,,,
16724107,NLM,MEDLINE,20060803,20181201,0261-4189 (Print) 0261-4189 (Linking),25,12,2006 Jun 21,Retrovirus infection strongly enhances scrapie infectivity release in cell culture.,2674-85,"['Leblanc, Pascal', 'Alais, Sandrine', 'Porto-Carreiro, Isabel', 'Lehmann, Sylvain', 'Grassi, Jacques', 'Raposo, Graca', 'Darlix, Jean Luc']","['Leblanc P', 'Alais S', 'Porto-Carreiro I', 'Lehmann S', 'Grassi J', 'Raposo G', 'Darlix JL']","['LaboRetro unite de virologie humaine INSERM U758, Ecole Normale Superieure de Lyon, Lyon Cedex, France. Pascal.Leblanc@ens-lyon.fr']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,EMBO J,The EMBO journal,8208664,IM,"['Animals', 'Antibodies/immunology', 'Cell Culture Techniques', 'Gene Products, gag/metabolism', 'Humans', 'Mice', 'Moloney murine leukemia virus/*physiology', 'Mutation/genetics', 'NIH 3T3 Cells', 'PrPC Proteins/metabolism/ultrastructure', 'PrPSc Proteins/metabolism/ultrastructure', 'Retroviridae Infections/*complications/virology', 'Scrapie/*complications/*pathology', 'Viral Envelope Proteins/immunology', 'Virion/metabolism']",2006/05/26 09:00,2006/08/04 09:00,['2006/05/26 09:00'],"['2006/01/04 00:00 [received]', '2006/05/02 00:00 [accepted]', '2006/05/26 09:00 [pubmed]', '2006/08/04 09:00 [medline]', '2006/05/26 09:00 [entrez]']","['7601162 [pii]', '10.1038/sj.emboj.7601162 [doi]']",ppublish,EMBO J. 2006 Jun 21;25(12):2674-85. doi: 10.1038/sj.emboj.7601162. Epub 2006 May 25.,"Prion diseases are neurodegenerative disorders associated in most cases with the accumulation in the central nervous system of PrPSc (conformationally altered isoform of cellular prion protein (PrPC); Sc for scrapie), a partially protease-resistant isoform of the PrPC. PrPSc is thought to be the causative agent of transmissible spongiform encephalopathies. The mechanisms involved in the intercellular transfer of PrPSc are still enigmatic. Recently, small cellular vesicles of endosomal origin called exosomes have been proposed to contribute to the spread of prions in cell culture models. Retroviruses such as murine leukemia virus (MuLV) or human immunodeficiency virus type 1 (HIV-1) have been shown to assemble and bud into detergent-resistant microdomains and into intracellular compartments such as late endosomes/multivesicular bodies. Here we report that moloney murine leukemia virus (MoMuLV) infection strongly enhances the release of scrapie infectivity in the supernatant of coinfected cells. Under these conditions, we found that PrPC, PrPSc and scrapie infectivity are recruited by both MuLV virions and exosomes. We propose that retroviruses can be important cofactors involved in the spread of the pathological prion agent.","['0 (Antibodies)', '0 (Gene Products, gag)', '0 (PrPC Proteins)', '0 (PrPSc Proteins)', '0 (Viral Envelope Proteins)']",,,20060525,,PMC1500854,,,,,,,,,,,,,
16724101,NLM,MEDLINE,20060725,20151119,1474-1733 (Print) 1474-1733 (Linking),6,6,2006 Jun,In vivo imaging using bioluminescence: a tool for probing graft-versus-host disease.,484-90,"['Negrin, Robert S', 'Contag, Christopher H']","['Negrin RS', 'Contag CH']","['Department of Medicine, Center for Clinical Research Building, 269 West Campus Drive, Stanford University, Stanford, California 94305, USA. negrs@stanford.edu']",['eng'],"['Journal Article', 'Review']",England,Nat Rev Immunol,Nature reviews. Immunology,101124169,IM,"['Animals', 'Cell Movement/*immunology', 'Graft vs Host Disease/*diagnosis/*immunology/pathology', '*Luminescent Proteins', 'Microscopy, Video/instrumentation/methods/*trends']",2006/05/26 09:00,2006/07/26 09:00,['2006/05/26 09:00'],"['2006/05/26 09:00 [pubmed]', '2006/07/26 09:00 [medline]', '2006/05/26 09:00 [entrez]']","['nri1879 [pii]', '10.1038/nri1879 [doi]']",ppublish,Nat Rev Immunol. 2006 Jun;6(6):484-90. doi: 10.1038/nri1879.,"Immunological reactions have a key role in health and disease and are complex events characterized by coordinated cell trafficking to specific locations throughout the body. Clarification of these cell-trafficking events is crucial for improving our understanding of how immune reactions are initiated, controlled and recalled. As we discuss here, an emerging modality for revealing cell trafficking is bioluminescence imaging, which harnesses the light-emitting properties of enzymes such as luciferase for quantification of cells and uses low-light imaging systems. This strategy could be useful for the study of a wide range of biological processes, such as the pathophysiology of graft-versus-host and graft-versus-leukaemia reactions.",['0 (Luminescent Proteins)'],60,,,,,,,,,,,,,,,,,
16724095,NLM,MEDLINE,20070507,20131121,0969-7128 (Print) 0969-7128 (Linking),13,20,2006 Oct,"VSV-G pseudotyped, MuLV-based, semi-replication-competent retrovirus for cancer treatment.",1457-70,"['Qiao, J', 'Moreno, J', 'Sanchez-Perez, L', 'Kottke, T', 'Thompson, J', 'Caruso, M', 'Diaz, R M', 'Vile, R']","['Qiao J', 'Moreno J', 'Sanchez-Perez L', 'Kottke T', 'Thompson J', 'Caruso M', 'Diaz RM', 'Vile R']","['Molecular Medicine Program, Mayo Clinic, Rochester, MN 55902, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",England,Gene Ther,Gene therapy,9421525,IM,"['Animals', 'Antiviral Agents/therapeutic use', 'Cell Line', 'Flow Cytometry', 'Ganciclovir/therapeutic use', 'Genes, Transgenic, Suicide', 'Genetic Therapy/*methods', 'Green Fluorescent Proteins/genetics', 'Humans', 'Leukemia Virus, Murine/genetics', 'Melanoma, Experimental/therapy', 'Membrane Glycoproteins/genetics', 'Mice', 'Mice, Nude', 'Neoplasms/*therapy/virology', 'Neoplasms, Experimental', 'Oncolytic Virotherapy/*methods', 'Simplexvirus/enzymology', 'Thymidine Kinase/genetics', 'Transduction, Genetic/methods', 'Viral Envelope Proteins/genetics', 'Virus Replication/genetics']",2006/05/26 09:00,2007/05/08 09:00,['2006/05/26 09:00'],"['2006/05/26 09:00 [pubmed]', '2007/05/08 09:00 [medline]', '2006/05/26 09:00 [entrez]']","['3302782 [pii]', '10.1038/sj.gt.3302782 [doi]']",ppublish,Gene Ther. 2006 Oct;13(20):1457-70. doi: 10.1038/sj.gt.3302782. Epub 2006 May 25.,"Low levels of gene delivery in vivo using replication-defective retroviral vectors have severely limited their application for clinical protocols. To overcome this problem, we describe here a semi-replication-competent retrovirus (s-RCR) in which the gag-pol and envelope (VSV-G, vesicular stomatitis virus G protein) genes were split into two vectors. This system offers potential advantages over both replication-defective vectors, in terms of efficiency of in vivo spread through a tumor, and all-in-one replication-competent vectors in terms of the payload of therapeutic genes that can be carried. We achieved a viral titer of s-RCR viruses approximately 70-fold higher than VSV-G pseudotyped, replication-defective vectors. In addition, s-RCR vectors induced tumor killing by the cytotoxicity of VSV-G during viral spread. Inclusion of the herpes simplex virus thymidine kinase (HSVtk30) gene into vectors significantly improved tumor killing activity followed by ganciclovir (GCV) treatment in vitro under conditions of low-level viral replication. However, at high levels of viral spread, VSV-G-mediated cytotoxicity predominated. Xenografts of human fibrosarcoma HT1080 cells, preinfected by semi-replicative green fluorescent protein vectors (semi-GFP), were completely non-tumorigenic in nude mice. Implantation of cells preinfected by semi-replicative TK30 vectors (semi-TK30) mixed with parental HT1080 cells at a ratio of 1:1 efficiently prevented tumor growth in mice treated by GCV. Direct intratumoral injection of HT1080 tumors growing in nude mice, or B16 murine melanoma in immunocompetent mice, with semi-TK30 viruses significantly prolonged survival. Injection of autologous cells (B16) producing semi-TK30 vector into B16 tumors prolonged survival only in mice treated with GCV but not with phosphate-buffered saline (PBS). In contrast, when xenogeneic cells (293T) producing semi-TK30 vectors were injected into B16 tumors, an optimal survival advantage was obtained in mice treated with PBS rather than GCV. These data indicate that complex interactions exist between direct cytotoxicity of VSV-G and HSVtk expression when placed in the context of additional immune parameters, which combine to determine the efficacy of the therapy. Taken together, our data suggest that s-RCR vectors have some potential advantages for development to deliver genes into tumors for cancer treatment but that a combination of factors will impact on the decision as to whether the s-RCR strategy is worth developing to full clinical trials.","['0 (Antiviral Agents)', '0 (G protein, vesicular stomatitis virus)', '0 (Membrane Glycoproteins)', '0 (Viral Envelope Proteins)', '147336-22-9 (Green Fluorescent Proteins)', 'EC 2.7.1.21 (Thymidine Kinase)', 'P9G3CKZ4P5 (Ganciclovir)']",,,20060525,['CA 85931/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,
16724049,NLM,MEDLINE,20060627,20161124,1476-4687 (Electronic) 0028-0836 (Linking),441,7092,2006 May 25,"Stem cells: good, bad and reformable.",418-9,"['Janzen, Viktor', 'Scadden, David T']","['Janzen V', 'Scadden DT']",,['eng'],"['News', 'Comment']",England,Nature,Nature,0410462,IM,"['Animals', '*Cell Lineage', 'Cell Proliferation', 'Hematopoietic Stem Cells/*cytology/*metabolism', 'Humans', 'Leukemia/genetics/*metabolism/*pathology/prevention & control', 'Mice', 'Neoplastic Stem Cells/*metabolism/*pathology', 'PTEN Phosphohydrolase/*deficiency/genetics/*metabolism', 'Proto-Oncogene Proteins c-akt/metabolism']",2006/05/26 09:00,2006/06/28 09:00,['2006/05/26 09:00'],"['2006/05/26 09:00 [pubmed]', '2006/06/28 09:00 [medline]', '2006/05/26 09:00 [entrez]']","['441418b [pii]', '10.1038/441418b [doi]']",ppublish,Nature. 2006 May 25;441(7092):418-9. doi: 10.1038/441418b.,,"['EC 2.7.11.1 (Proto-Oncogene Proteins c-akt)', 'EC 3.1.3.67 (PTEN Phosphohydrolase)', 'EC 3.1.3.67 (Pten protein, mouse)']",,,,,,,"['Nature. 2006 May 25;441(7092):475-82. PMID: 16598206', 'Nature. 2006 May 25;441(7092):518-22. PMID: 16633340']",,,,,,,,,,,
16723990,NLM,MEDLINE,20060720,20061115,1474-175X (Print) 1474-175X (Linking),6,6,2006 Jun,Evolving concepts in the pathogenesis of hairy-cell leukaemia.,437-48,"['Tiacci, Enrico', 'Liso, Arcangelo', 'Piris, Miguel', 'Falini, Brunangelo']","['Tiacci E', 'Liso A', 'Piris M', 'Falini B']","['Institute of Haematology, University of Perugia, Italy. enrico.tiacci@uni-essen.de']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Nat Rev Cancer,Nature reviews. Cancer,101124168,IM,"['Animals', 'B-Lymphocytes/pathology', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Leukemia, Hairy Cell/epidemiology/genetics/*pathology', 'Lymphatic Metastasis', 'Models, Biological', 'Signal Transduction', 'Translocation, Genetic']",2006/05/26 09:00,2006/07/21 09:00,['2006/05/26 09:00'],"['2006/05/26 09:00 [pubmed]', '2006/07/21 09:00 [medline]', '2006/05/26 09:00 [entrez]']","['nrc1888 [pii]', '10.1038/nrc1888 [doi]']",ppublish,Nat Rev Cancer. 2006 Jun;6(6):437-48. doi: 10.1038/nrc1888.,"Hairy-cell leukaemia (HCL) has long been recognized as distinct from other chronic B-cell malignancies, but several questions remain unanswered. What is the HCL cell of origin? Why does HCL lack the hallmarks of most mature B-cell tumours (for example, chromosomal translocations and consistent lymph node involvement) and show unique features like 'hairy' morphology and bone-marrow fibrosis? Gene-expression profiling and other studies have recently provided new insights into HCL biology and have the potential to affect clinical practice.",,137,,,,,,,,,,,,,,,,,
16723797,NLM,MEDLINE,20060707,20190819,1346-9843 (Print) 1346-9843 (Linking),70,6,2006 Jun,"Cancer and pulmonary embolism: thrombotic embolism, tumor embolism, and tumor invasion into a large vein.",744-9,"['Sakuma, Masahito', 'Fukui, Shigefumi', 'Nakamura, Mashio', 'Takahashi, Tohru', 'Kitamukai, Osamu', 'Yazu, Takahiro', 'Yamada, Norikazu', 'Ota, Masahiro', 'Kobayashi, Takao', 'Nakano, Takeshi', 'Shirato, Kunio']","['Sakuma M', 'Fukui S', 'Nakamura M', 'Takahashi T', 'Kitamukai O', 'Yazu T', 'Yamada N', 'Ota M', 'Kobayashi T', 'Nakano T', 'Shirato K']","['Department of Cardiovascular Medicine, Tohoku University Graduate School of Medicine, Sendai, Japan. sakuma@cardio.med.tohoku.ac.jp']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Circ J,Circulation journal : official journal of the Japanese Circulation Society,101137683,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Incidence', 'Infant', 'Male', 'Middle Aged', 'Neoplasms/complications/epidemiology/*pathology', 'Neoplastic Cells, Circulating/*pathology', 'Pulmonary Embolism/epidemiology/etiology/*pathology', 'Thromboembolism/epidemiology/etiology/*pathology', 'Veins/pathology']",2006/05/26 09:00,2006/07/11 09:00,['2006/05/26 09:00'],"['2006/05/26 09:00 [pubmed]', '2006/07/11 09:00 [medline]', '2006/05/26 09:00 [entrez]']","['JST.JSTAGE/circj/70.744 [pii]', '10.1253/circj.70.744 [doi]']",ppublish,Circ J. 2006 Jun;70(6):744-9. doi: 10.1253/circj.70.744.,"BACKGROUND: The specific incidence of thrombotic pulmonary embolism (PE), tumor PE and tumor invasion into large veins according to tumor type and tumor site remains unclear. METHODS AND RESULTS: A total of 65,181 cancer patients were identified from 98,736 postmortem examinations. Thrombotic PE occurred in 2.32% of all cancer patients and comprised 88.6% of the total number of all PE events. The incidence of thrombotic PE was high in those with adenocarcinoma, leukemia and large cell carcinoma, and was low in those with hepatic cell carcinoma. The incidence of PE was high when tumor was present in hematogenous tissue, lungs, ovaries, pancreas and the biliary system, and was low when tumor was present in the liver. The incidence of tumor PE was high with large cell carcinoma, hepatic cell carcinoma and adenocarcinoma, and was also high when tumor was present in the lungs, ovaries, kidneys and liver. There was a significant correlation between the incidence of tumor PE and the incidence of tumor invasion into large veins. CONCLUSION: The incidence of thrombotic PE, tumor PE and tumor invasion into large veins varies significantly according to tumor histopathology and tumor site.",,,,,,,,,,,,,,,,,,,
