PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,CON,PMC,AB,CI,MID,CN,SI,OID,OTO,OT,CIN,TT,IR,FIR,DA,DRDT,CTDT,PB,BTI,CDAT,ISBN,FED,ED,EIN,CP,RIN,ECI,PS,FPS,ROF,GN
21432291,NLM,PubMed-not-MEDLINE,20121002,20211020,1342-078X (Print) 1342-078X (Linking),7,3,2002 Jul,"Regulatory heme and trichloroethylene intoxication: A possible explanation of the case of ""A Civil Action"".",103-12,10.1265/ehpm.2002.103 [doi],"['Fujita, Hiroyoshi', 'Nishitani, Chiaki', 'Ogawa, Kazuhiro']","['Fujita H', 'Nishitani C', 'Ogawa K']","['Laboratory of Environmental Biology, Hokkaido University School of Medicine, North 15, West 7, Kita-ku, 060-8638, Supporo, Japan.']",['eng'],['Journal Article'],,England,Environ Health Prev Med,Environmental health and preventive medicine,9609642,,,,2002/07/01 00:00,2002/07/01 00:01,['2011/03/25 06:00'],"['2002/03/18 00:00 [received]', '2002/04/09 00:00 [accepted]', '2011/03/25 06:00 [entrez]', '2002/07/01 00:00 [pubmed]', '2002/07/01 00:01 [medline]']",['10.1265/ehpm.2002.103 [doi]'],ppublish,Environ Health Prev Med. 2002 Jul;7(3):103-12. doi: 10.1265/ehpm.2002.103.,,,PMC2723491,"In 1998, a amovie entitled ""A Civil Action"" was released. The movie described the Woburn case, begun in 1982 and concluded in 1990, one of the most famous cases of trichloroethylene pollution. In a small town near Boston, twelve children died of leukemia, which seemed attributable to trichloroethylene contamination of the drinking water. The victims, however, could not win the case, since evidence that the identified chemicals could cause leukemia and other human illnesses was rather sketchy. There have been many cases of trichloroethylene pollution in industrial nations including Japan, therefore, we reconsidered the missing link. Our conclusion is that the disease occurred not by a direct effect of the chemical hazard on biological macromolecules but by an indirect effect through the physiological system such as signal transduction and transcriptional regulation. In 1984, we reported a marked reduction in the regulatory heme pool by trichloroethylene exposure, however, the biological significance was not well understood. Recently, we found that the DNA binding activity of Bach1, a negative regulator of genes, is controlled by heme, the regulation of which seems to explain how leukemia develops. The heterodimer of Bach1 with MafK recognizes Maf recognition elements (MAREs) competing with the erythroid type positive regulator, a complex of NF-E2 with MafK. Bach1/MafK occupies MAREs under lower heme conditions, whereas MAREs are open to NF-E2/MafK along with increasing heme concentration. Since the NF-E2/MafK function is closely related to normal erythroid differentiation, of which disorders such as sideroblastic anemia are often related to neoplasia; i.e., a clonal disorder that can progress to leukemia. Thus, a marked decline in regulatory heme by trichloroethylene intoxication could be one of the pathways to leukemia.",,,,,,['NOTNLM'],"['Bach1', 'NF-E2', 'heme', 'trichloroethylene', 'delta-aminolevulinate dehydratase', 'delta-aminolevulinate synthase']",,,,,,,,,,,,,,,,,,,,,
21432262,NLM,PubMed-not-MEDLINE,20121002,20211020,1342-078X (Print) 1342-078X (Linking),7,2,2002 May,Is epidemiology implicating extremely low frequency electric and magnetic fields in childhood leukemia?,33-9,10.1007/BF02897328 [doi],"['Lagiou, Pagona', 'Tamimi, Rulla', 'Lagiou, Areti', 'Mucci, Lorelei', 'Trichopoulos, Dimitrios']","['Lagiou P', 'Tamimi R', 'Lagiou A', 'Mucci L', 'Trichopoulos D']","['Department of Hygiene and Epidemiology, University of Athens Medical School, Greece.']",['eng'],['Journal Article'],,England,Environ Health Prev Med,Environmental health and preventive medicine,9609642,,,,2002/05/01 00:00,2002/05/01 00:01,['2011/03/25 06:00'],"['2001/12/18 00:00 [received]', '2002/02/06 00:00 [accepted]', '2011/03/25 06:00 [entrez]', '2002/05/01 00:00 [pubmed]', '2002/05/01 00:01 [medline]']",['10.1007/BF02897328 [doi]'],ppublish,Environ Health Prev Med. 2002 May;7(2):33-9. doi: 10.1007/BF02897328.,,,PMC2723397,"We have reviewed epidemiological studies examining the association between residential exposure to extremely low frequency electric and magnetic fields (ELF-EMF) and childhood leukemia. We have excluded studies focusing on electrical appliances, because it is difficult to consolidate transient exposure from multiple sources and equally difficult to control information bias. We have identified 24 studies of residential exposure to ELF-EMF and childhood leukemia. About half of these studies were reported as positive and the remaining as null. For each of the studies reported as positive, however, one or more sources of bias could not be confidently excluded. Moreover, studies which were methodologically more sound, or benefited from high quality registry data, were more frequently null than other investigations. We conclude that the empirical evidence in support of an association between ELF-EMF and childhood leukemia is weak.",,,,,,['NOTNLM'],"['ELF-EMF', 'childhood leukemia', 'epidemiology', 'extremely low frequency electric and magnetic fields']",,,,,,,,,,,,,,,,,,,,,
21432234,NLM,PubMed-not-MEDLINE,20121002,20211020,1342-078X (Print) 1342-078X (Linking),6,1,2001 Apr,Arsenic induces DNA damage via reactive oxygen species in human cells.,27-32,10.1007/BF02897306 [doi],"['Li, D', 'Morimoto, K', 'Takeshita, T', 'Lu, Y']","['Li D', 'Morimoto K', 'Takeshita T', 'Lu Y']","['Department of Preventive Medicine, Osaka University Graduate School of Medicine, 2-2 Yamada-oka, Suita, Osaka.']",['eng'],['Journal Article'],,England,Environ Health Prev Med,Environmental health and preventive medicine,9609642,,,,2001/04/01 00:00,2001/04/01 00:01,['2011/03/25 06:00'],"['2000/04/10 00:00 [received]', '2000/10/28 00:00 [accepted]', '2011/03/25 06:00 [entrez]', '2001/04/01 00:00 [pubmed]', '2001/04/01 00:01 [medline]']",['10.1007/BF02897306 [doi]'],ppublish,Environ Health Prev Med. 2001 Apr;6(1):27-32. doi: 10.1007/BF02897306.,,,PMC2723651,"To elucidate arsenic-induced oxidative DNA damage, the genotoxicity of arsenic in human cells was comparatively studied with single cell gel electrophoresis (SCGE) assay in combination with the observation of the protective effects of dimethyl sulfoxide (DMSO) and catalase. Arsenic, at the concentration of 2.4 muM by coincubation for 24 hours, significantly induced DNA damage in HL60, a human promyelocytic leukemia cell line. In contrast, significant DNA damage was found in human mononucleocytes at the concentration of 4.8 muM or above. The cells were incubated separately with DMSO (12 mM/l), a well-known hydroxyl radical (OH(-)) scavenger, and catalase (1,300 U/ml), a hydrogen peroxide (H(2)O(2)) scavenger, for 6 hours and then further coincubated with various concentrations of arsenic for 24 hours at 37 degrees C and 5% CO(2). The findings showed that both DMSO and catalase significantly reduced the arsenic-induced tail moment, a parameter of total damaged DNA, in HL60 and mononucleocytes. Hence our findings indicate that arsenic, with micromolar concentrations, induces typical and various extents of DNA damage in human cells via reactive oxygen species in a dose-dependent manner.",,,,,,['NOTNLM'],"['DNA damage', 'arsenic', 'human cells', 'reactive oxygen species', 'single cell gel electrophoresis (SCGE) assay']",,,,,,,,,,,,,,,,,,,,,
21432210,NLM,PubMed-not-MEDLINE,20121002,20211020,1342-078X (Print) 1342-078X (Linking),5,1,2000 Apr,A meta-analysis of epidemiological studies on the relationship between occupational electromagnetic field exposure and the risk of adult leukemia.,43-6,10.1007/BF02935915 [doi],"['Wang, H', 'Murat, Y', 'Nomura, S', 'Sekine, M', 'Sokejima, S', 'Sakai, H', 'Kagamimori, S']","['Wang H', 'Murat Y', 'Nomura S', 'Sekine M', 'Sokejima S', 'Sakai H', 'Kagamimori S']","['Department of Welfare Promotion and Epidemiology, Faculty of Medicine Toyama Medical and Pharmaceutical University, 2630 Sugitani, 930-0194, Toyama, Japan.']",['eng'],['Journal Article'],,England,Environ Health Prev Med,Environmental health and preventive medicine,9609642,,,,2000/04/01 00:00,2000/04/01 00:01,['2011/03/25 06:00'],"['1999/11/30 00:00 [received]', '2000/02/18 00:00 [accepted]', '2011/03/25 06:00 [entrez]', '2000/04/01 00:00 [pubmed]', '2000/04/01 00:01 [medline]']",['10.1007/BF02935915 [doi]'],ppublish,Environ Health Prev Med. 2000 Apr;5(1):43-6. doi: 10.1007/BF02935915.,,,PMC2723450,"Since the first paper by Milham et al. suggested that occupational exposure to an electromagnetic field (EMF) could increase the risk of adult leukemia, many epidemiological studies on this problem have been published. In this report the method of meta-analysis was used to summarize the results from these papers quantitatively. The combined relative risk of all leukemia (RR=1.11), as well as acute lymphocytic leukemia (RR=1.38), acute myeloid leukemia (RR=1.07) and chronic lymphocytic leukemia (RR=1.14) increased but not significantly. So far, it is difficult to make a consistent conclusion about the relationship of the occupational exposure to EMF and adult leukemia. Further carefully designed case-control and cohort studies using the more valid means of exposure assessment are required.",,,,,,['NOTNLM'],"['electromagnetic field', 'leukemia', 'meta-analysis', 'occupational exposure']",,,,,,,,,,,,,,,,,,,,,
21432152,NLM,PubMed-not-MEDLINE,20121002,20211020,1342-078X (Print) 1342-078X (Linking),10,3,2005 May,"The frequencies of micronuclei induced by cisplatin in newborn rat astrocytes are increased by 50-Hz, 7.5- and 10-mT electromagnetic fields.",138-43,10.1007/BF02900806 [doi],"['Miyakoshi, Yuichi', 'Yoshioka, Hayato', 'Toyama, Yoshimitsu', 'Suzuki, Yuji', 'Shimizu, Hidesuke']","['Miyakoshi Y', 'Yoshioka H', 'Toyama Y', 'Suzuki Y', 'Shimizu H']","['Department of Public Health and Environmental Medicine, The Jikei University School of Medicine, 3-25-8 Nishishinbashi, Minato-ku, 105-8461, Tokyo, Japan, miyakoshi@jikei.ac.jp.']",['eng'],['Journal Article'],,England,Environ Health Prev Med,Environmental health and preventive medicine,9609642,,,,2005/05/01 00:00,2005/05/01 00:01,['2011/03/25 06:00'],"['2004/10/18 00:00 [received]', '2005/03/01 00:00 [accepted]', '2011/03/25 06:00 [entrez]', '2005/05/01 00:00 [pubmed]', '2005/05/01 00:01 [medline]']",['10.1007/BF02900806 [doi]'],ppublish,Environ Health Prev Med. 2005 May;10(3):138-43. doi: 10.1007/BF02900806.,,,PMC2723253,"OBJECTIVES: Epidemiological studies have suggested that exposure to environmental and occupational electromagnetic fields (EMFs) contribute to the induction of brain tumors, leukemia, and other neoplasms. The aim of this study was to investigate the genotoxic effects of exposure to 50-Hz EMFs. and of co-exposure to cisplatin, a mutagen and carcinogen, and 50-Hz EMFs, using an in vivo newborn rat astrocyte micronucleus assay. METHODS: Three day-old male Sprague-Dawley rats were co-exposed to 50-Hz EMFs and 1.25 or 2.5 mg/kg of cisplatin. Brain cells were dissociated into single cells and cultured for 96 hours, then stained with acridine orange and an antibody against glial fibrillary acidic protein. The frequency of micronucleated astrocytes was counted with a fluorescent microscope. RESULTS: The frequency of micronuclei was not increased in rat astrocytes exposed to EMFs alone. However, the frequencies of micronuclei in co-exposure to 2.5 mg/kg cisplatin and EMFs (7.5- and 10-mT) were significantly increased, compared with those in exposure to 2.5 mg/kg cisplatin alone (sham-exposure, 0-mT EMFs) for 72 hours (p<0.01). CONCLUSION: Exposure to EMFs alone did not have a genotoxic effect but co-exposure to EMFs increased the genotoxic activity induced by cisplatin. Our findings suggest that EMFs enhance the genotoxic effects of cisplatin.",,,,,,['NOTNLM'],"['astrocyte', 'cisplatin', 'electromagnetic fields', 'genotoxicity', 'micronucleus test']",,,,,,,,,,,,,,,,,,,,,
21432143,NLM,PubMed-not-MEDLINE,20121002,20211020,1342-078X (Print) 1342-078X (Linking),10,2,2005 Mar,Sequence-specific DNA damage by reactive oxygen species: Implications for carcinogenesis and aging.,65-71,10.1007/BF02897995 [doi],"['Oikawa, Shinji']",['Oikawa S'],"['Department of Environmental and Molecular Medicine, Mie University School of Medicine, Edobashi 2-174, 514-8507, Tsu, Mie, Japan, s-oikawa@doc.medic.mie-u.ac.jp.']",['eng'],['Journal Article'],,England,Environ Health Prev Med,Environmental health and preventive medicine,9609642,,,,2005/03/01 00:00,2005/03/01 00:01,['2011/03/25 06:00'],"['2004/10/08 00:00 [received]', '2004/11/18 00:00 [accepted]', '2011/03/25 06:00 [entrez]', '2005/03/01 00:00 [pubmed]', '2005/03/01 00:01 [medline]']",['10.1007/BF02897995 [doi]'],ppublish,Environ Health Prev Med. 2005 Mar;10(2):65-71. doi: 10.1007/BF02897995.,,,PMC2723656,"Reactive oxygen species (ROS) generated by environmental chemicals can cause sequence-specific DNA damage, which may lead to carcinogenesis and aging. We investigated the mechanism of DNA damage by environmental chemicals (catechol, propyl gallate and bisphenol-A), homocysteine and UVA radiation using human cultured cell lines and(32)P-labeled DNA fragments. Carcinogenic catechol induced piperidine-labile sites frequently at thymine residues in the presence of Cu(II) and NADH. Furthermore, catechol increased the formation of 8-oxo-7,8-dihydro-2'-deoxyguanosine (8-oxodG), a characteristic oxidative DNA lesion, in human leukemia cell line HL-60, but not in HP100, a hydrogen peroxide (H(2)O(2))-resistant cell line derived from HL-60. Thus, it is concluded that oxidative DNA damage through generation of H(2)O(2) plays an important role in the carcinogenic process of catechol. In addition, an environmental factor, bisphenol-A, and a dietary factor, propyl, gallate, also induced sequence-specific DNA damage via ROS generation.UVA, as well as UVB, contributes to photoaging. In humans, telomere shortening is believed to be associated with cell senescence. In this study, we investigated the shortening rate of telomeres in human WI-38 fibroblasts exposed to UVA irradiation. The telomere length (as measured by terminal restriction fragment length) in WI-38 fibroblasts irradiated with UVA decreased with increasing the irradiation dose. UVA irradiation with riboflavin caused damage specifically at the GGG sequence in the DNA fragments containing telomere sequence (TTAGGG)(4). We concluded that the GGG-specific damage in telomere sequence induced by UVA irradiation participates in the increase of the telomere shortening rate.In this report, we show our experimental results and discuss the mechanisms of sequence-specific DNA damage in relation to carcinogenesis and aging.",,,,,,['NOTNLM'],"[""8-oxo-7,8-dihydro-2'-deoxyguanosine"", 'DNA damage', 'aging', 'carcinogenesis', 'reactive oxygen species']",,,,,,,,,,,,,,,,,,,,,
21431918,NLM,MEDLINE,20110823,20211020,1432-0851 (Electronic) 0340-7004 (Linking),60,7,2011 Jul,High susceptibility of c-KIT+CD34+ precursors to prolonged doxorubicin exposure interferes with Langerhans cell differentiation in a human cell line model.,943-51,10.1007/s00262-011-1003-9 [doi],"['van de Ven, Rieneke', 'Verbrugge, Sue Ellen', 'Reurs, Anneke W', 'Bontkes, Hetty J', 'Hooijberg, Erik', 'Jansen, Gerrit', 'Scheper, Rik J', 'Scheffer, George L', 'de Gruijl, Tanja D']","['van de Ven R', 'Verbrugge SE', 'Reurs AW', 'Bontkes HJ', 'Hooijberg E', 'Jansen G', 'Scheper RJ', 'Scheffer GL', 'de Gruijl TD']","['Division of Immunotherapy, Department of Medical Oncology, VU University Medical Center, De Boelelaan, Amsterdam, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20110324,Germany,Cancer Immunol Immunother,"Cancer immunology, immunotherapy : CII",8605732,"['0 (Antibiotics, Antineoplastic)', '0 (Antigens, CD34)', '0 (RNA, Messenger)', '80168379AG (Doxorubicin)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)', 'EC 2.7.7.49 (TERT protein, human)', 'EC 2.7.7.49 (Telomerase)']",IM,"['Antibiotics, Antineoplastic/pharmacology', 'Antigens, CD34/*metabolism', 'Blotting, Western', '*Cell Differentiation', 'Cell Proliferation/drug effects', 'Cells, Cultured', 'Dendritic Cells/cytology/metabolism', 'Doxorubicin/*pharmacology', 'Flow Cytometry', 'Hematopoietic Stem Cells/*cytology/metabolism', 'Humans', 'Langerhans Cells/*cytology', 'Leukemia, Myeloid, Acute/*drug therapy/metabolism/*pathology', 'Models, Biological', 'Proto-Oncogene Proteins c-kit/*metabolism', 'RNA, Messenger/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Telomerase/genetics/metabolism']",2011/03/25 06:00,2011/08/24 06:00,['2011/03/25 06:00'],"['2010/09/08 00:00 [received]', '2011/03/03 00:00 [accepted]', '2011/03/25 06:00 [entrez]', '2011/03/25 06:00 [pubmed]', '2011/08/24 06:00 [medline]']",['10.1007/s00262-011-1003-9 [doi]'],ppublish,Cancer Immunol Immunother. 2011 Jul;60(7):943-51. doi: 10.1007/s00262-011-1003-9. Epub 2011 Mar 24.,,,PMC3119330,"As neoadjuvant and adjuvant chemotherapy schedules often consist of multiple treatment cycles over relatively long periods of time, it is important to know what effects protracted drug administration can have on the immune system. Here, we studied the long-term effects of doxorubicin on the capacity of dendritic cell (DC) precursors to differentiate into a particular DC subset, the Langerhans cells (LC). In order to achieve high telomerase activity as detected in hematological stem cells, precursor cells from the acute-myeloid leukemia (AML)-derived cell line MUTZ3 were stably transduced with human telomerase reverse transcriptase (hTERT) to facilitate their growth potential, while preventing growth, and drug-induced senescence, and preserving their unique capacity for cytokine-dependent DC and LC differentiation. The hTERT-MUTZ3 cells were selected with increasing concentrations of the anthracyclin doxorubicin. After 1-2 months of selection with 30-90 nM doxorubicin, the cells completely lost their capacity to differentiate into LC. This inhibition turned out to be reversible, as the cells slowly regained their capacity to differentiate after a 3- to 4-month drug-free period and with this became capable again of priming allogeneic T cells. Of note, the loss and gain of this capacity to differentiate coincided with the loss and gain of a subpopulation within the CD34(+) proliferative compartment with surface expression of the stem cell factor receptor (SCF-R/CD117/c-Kit). These data are in favor of cytostatic drug-free intervals before applying autologous DC-based vaccination protocols, as specific DC precursors may need time to recover from protracted chemotherapy treatment and re-emerge among the circulating CD34(+) hematopoietic stem and precursor cells.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21431646,NLM,MEDLINE,20110705,20211020,1940-6029 (Electronic) 1064-3745 (Linking),730,,2011,Single nucleotide polymorphism microarray analysis of genetic alterations in cancer.,235-58,10.1007/978-1-61779-074-4_17 [doi],"['Mullighan, Charles G']",['Mullighan CG'],"[""Department of Pathology, St. Jude Children's Research Hospital, Memphis, TN, USA. charles.mullighan@stjude.org""]",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",,United States,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",9214969,"['0 (Phenols)', '7V31YC746X (Chloroform)', '9007-49-2 (DNA)']",IM,"['Chloroform/chemistry', 'DNA/genetics/isolation & purification', 'DNA Copy Number Variations/genetics', 'Genotype', 'Humans', 'Loss of Heterozygosity/genetics', 'Neoplasms/*genetics', 'Oligonucleotide Array Sequence Analysis/*methods', 'Phenols/chemistry', 'Polymorphism, Single Nucleotide/*genetics', 'Reproducibility of Results', 'Software', 'Statistics as Topic', 'Time Factors']",2011/03/25 06:00,2011/07/06 06:00,['2011/03/25 06:00'],"['2011/03/25 06:00 [entrez]', '2011/03/25 06:00 [pubmed]', '2011/07/06 06:00 [medline]']",['10.1007/978-1-61779-074-4_17 [doi]'],ppublish,Methods Mol Biol. 2011;730:235-58. doi: 10.1007/978-1-61779-074-4_17.,['P30 CA021765/CA/NCI NIH HHS/United States'],,,"The identification of structural genetic alterations, including DNA amplifications, deletions, and loss of heterozygosity (LOH), using single nucleotide polymorphism (SNP) microarrays has provided important insights into the pathogenesis of a number of hematologic malignancies. Currently available SNP arrays comprise over a million SNP and copy number oligonucleotide probes that interrogate the genome at sub-kilobase resolution. The accurate detection of DNA copy number abnormalities and LOH is critically dependent on the use of high-quality DNA, the use of matched reference samples wherever possible, optimal normalization of raw microarray data, and computational algorithms to detect copy number alterations sensitively and robustly. This chapter provides methods and guidelines for preparing samples, processing and analyzing data, and validation of novel lesions. Specific examples are provided for Affymetrix SNP arrays in acute lymphoblastic leukemia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21431638,NLM,MEDLINE,20110705,20110324,1940-6029 (Electronic) 1064-3745 (Linking),730,,2011,Cytogenetic methods in chronic lymphocytic leukemia.,119-30,10.1007/978-1-61779-074-4_9 [doi],"['Haferlach, Claudia', 'Bacher, Ulrike']","['Haferlach C', 'Bacher U']","['MLL Munich Leukemia Laboratory, Munich, Germany. Claudia.haferlach@mll-online.com']",['eng'],['Journal Article'],,United States,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",9214969,,IM,"['Chromosome Banding', 'Cytogenetic Analysis/*methods', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/*pathology', 'Metaphase/genetics', 'Staining and Labeling']",2011/03/25 06:00,2011/07/06 06:00,['2011/03/25 06:00'],"['2011/03/25 06:00 [entrez]', '2011/03/25 06:00 [pubmed]', '2011/07/06 06:00 [medline]']",['10.1007/978-1-61779-074-4_9 [doi]'],ppublish,Methods Mol Biol. 2011;730:119-30. doi: 10.1007/978-1-61779-074-4_9.,,,,"In chronic lymphocytic leukemia of the B-lineage (B-CLL), cytogenetic alterations are highly relevant for prognosis and therapeutic decisions. With conventional techniques, chromosome banding analysis in CLL has been hampered by the low quality of metaphases and low rates of cytogenetic alterations due to a low in vitro proliferation rate of CLL cells. Thus, interphase fluorescence in situ hybridization (FISH) has become the standard technique for cytogenetic analysis in CLL. However, interphase FISH is not able to provide an overview on the whole karyotype. In order to improve chromosome banding analysis in CLL, specific stimulation techniques have been developed. These either use CD40 ligand or oligonucleotides (e.g., CpG) and IL-2 in combination. With the respective techniques, metaphase cultivation is successful in >90% of CLL cases and aberrant karyotypes can be detected in nearly 90% of CLL cases. This has allowed the detection of new clinically relevant subgroups (e.g., complex aberrant karyotype cases) and a more differentiated picture of distinct cytogenetic subtypes, e.g., cases with a 13q deletion. Efforts should continue to define the value of chromosomal banding in CLL focusing as well on the interaction with already established techniques such as interphase FISH or immunophenotyping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21431637,NLM,MEDLINE,20110705,20110324,1940-6029 (Electronic) 1064-3745 (Linking),730,,2011,Acute lymphoblastic leukaemia.,99-117,10.1007/978-1-61779-074-4_8 [doi],"['Schwab, Claire', 'Harrison, Christine J']","['Schwab C', 'Harrison CJ']","['Leukaemia Research Cytogenetics Group, Northern Institute for Cancer Research, Newcastle University, Newcastle, UK.']",['eng'],['Journal Article'],,United States,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",9214969,['0 (DNA Probes)'],IM,"['Bone Marrow/pathology', 'Cell Separation', 'Chromosome Aberrations', 'Chromosome Banding', 'Color', 'DNA Probes/chemistry/genetics', 'Diploidy', 'Female', 'Gene Dosage/genetics', 'Gene Fusion', 'Gene Rearrangement', 'Humans', 'In Situ Hybridization, Fluorescence/*methods', 'Male', 'Metaphase', 'Nucleic Acid Denaturation', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/*genetics/*pathology', 'Prognosis', 'Tissue Culture Techniques']",2011/03/25 06:00,2011/07/06 06:00,['2011/03/25 06:00'],"['2011/03/25 06:00 [entrez]', '2011/03/25 06:00 [pubmed]', '2011/07/06 06:00 [medline]']",['10.1007/978-1-61779-074-4_8 [doi]'],ppublish,Methods Mol Biol. 2011;730:99-117. doi: 10.1007/978-1-61779-074-4_8.,,,,"Cytogenetics plays an important role in the diagnosis of acute lymphoblastic leukaemia (ALL), particularly in relation to the association of specific chromosomal abnormalities with outcome. The karyotype at diagnosis is used in the risk stratification of patients for treatment within trial-based protocols. Chromosomal analysis of the leukaemic cells of patients with ALL is challenging as the mitotic index may be low and the chromosomal morphology is often poor. Therefore, the use of fluorescence in situ hybridisation (FISH) in parallel with cytogenetic analysis is important for the detection of those chromosomal abnormalities of prognostic significance. This chapter is dedicated to the preparation of ALL samples for cytogenetic and FISH analysis, with emphasis on the modifications to standard protocols which may be used to improve their quality. The specific difficulties encountered in the analysis of ALL metaphases and suggestions for overcoming them are provided. The chapter also includes an overview of the abnormalities that are expected to be found in this disease and how the results from both cytogenetics and FISH should be interpreted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21431636,NLM,MEDLINE,20110705,20131121,1940-6029 (Electronic) 1064-3745 (Linking),730,,2011,Cytogenetics of myeloproliferative neoplasms.,89-98,10.1007/978-1-61779-074-4_7 [doi],"['Campbell, Lynda J']",['Campbell LJ'],"[""Victorian Cancer Cytogenetics Service, St. Vincent's Hospital Melbourne, Fitzroy, VIC, Australia. lynda.campbell@svhm.org.au""]",['eng'],['Journal Article'],,United States,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",9214969,['Z01IVE25KI (Demecolcine)'],IM,"['Cell Culture Techniques', 'Chromosome Aberrations', 'Cytogenetic Analysis/*methods', 'Demecolcine/pharmacology', 'Humans', 'In Situ Hybridization, Fluorescence', 'Metaphase/drug effects/genetics', 'Myeloproliferative Disorders/*genetics/*pathology', 'Time Factors']",2011/03/25 06:00,2011/07/06 06:00,['2011/03/25 06:00'],"['2011/03/25 06:00 [entrez]', '2011/03/25 06:00 [pubmed]', '2011/07/06 06:00 [medline]']",['10.1007/978-1-61779-074-4_7 [doi]'],ppublish,Methods Mol Biol. 2011;730:89-98. doi: 10.1007/978-1-61779-074-4_7.,,,,"The introduction of JAK2 mutation testing has changed dramatically the diagnostic algorithms for myeloproliferative neoplasms (MPNs) but there is still a place for conventional cytogenetic analysis in the initial work-up of MPN cases, particularly as this group of myeloid disorders has been expanded to include chronic eosinophilic leukaemia and myeloid neoplasms with abnormalities of the PDGFRA, PDGFRB, and FGFR1 genes. Mastocytosis is also included under the umbrella of MPN but the cytogenetic abnormalities observed usually reflect any associated clonal haematological non-mast cell lineage disease.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21431634,NLM,MEDLINE,20110705,20110324,1940-6029 (Electronic) 1064-3745 (Linking),730,,2011,Cytogenetic analysis in acute myeloid leukaemia.,63-77,10.1007/978-1-61779-074-4_5 [doi],"['Campbell, Lynda J', 'White, Joanne S']","['Campbell LJ', 'White JS']","[""Victorian Cancer Cytogenetics Service, St. Vincent's Hospital Melbourne, Fitzroy, VIC, Australia. lynda.campbell@svhm.org.au""]",['eng'],['Journal Article'],,United States,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",9214969,,IM,"['Animals', 'Bone Marrow Cells/metabolism/pathology', 'Cell Culture Techniques', 'Cell Separation', 'Chromosome Banding', 'Cytogenetic Analysis/*methods', 'Humans', 'Leukemia, Myeloid, Acute/*genetics/*pathology', 'Metaphase/genetics', 'Time Factors']",2011/03/25 06:00,2011/07/06 06:00,['2011/03/25 06:00'],"['2011/03/25 06:00 [entrez]', '2011/03/25 06:00 [pubmed]', '2011/07/06 06:00 [medline]']",['10.1007/978-1-61779-074-4_5 [doi]'],ppublish,Methods Mol Biol. 2011;730:63-77. doi: 10.1007/978-1-61779-074-4_5.,,,,"Cytogenetic analysis is an integral part of the diagnostic work-up of the patient with acute myeloid leukaemia. Conventional cytogenetic analysis relies on obtaining a good quality bone marrow specimen in a timely fashion and setting up at least two short-term cultures. A 15-24-h culture and a 48-h synchronised culture are routinely set up but as the cytogenetics result is often required urgently to determine the type of therapy to be administered, analysis is undertaken using the overnight culture in the first instance. Rapid and accurate analysis relies on obtaining high-quality G-banding. Knowledge of the conditions affecting banding is therefore essential.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
