PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,AB,AD,GR,CIN,TT,RF,GS,CON,PMC,EIN,SI,RIN,MID,OID,OAB,OABL,OTO,OT,GN,IR,FIR,IRAD,CN
1607914,NLM,MEDLINE,19920723,20170210,0732-183X (Print) 0732-183X (Linking),10,7,1992 Jul,Prognosis and treatment of lymphoblastic lymphoma in adults: a report on 80 patients.,1078-85,"['Morel, P', 'Lepage, E', 'Brice, P', 'Dupriez, B', ""D'Agay, M F"", 'Fenaux, P', 'Gosselin, B', 'Bauters, F', 'Gisselbrecht, C']","['Morel P', 'Lepage E', 'Brice P', 'Dupriez B', ""D'Agay MF"", 'Fenaux P', 'Gosselin B', 'Bauters F', 'Gisselbrecht C']",['eng'],['Journal Article'],United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,['EC 1.1.1.27 (L-Lactate Dehydrogenase)'],IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Bone Marrow Transplantation', 'Combined Modality Therapy', 'Drug Administration Schedule', 'Female', 'Humans', 'L-Lactate Dehydrogenase/blood', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/enzymology/surgery', 'Prognosis', 'Regression Analysis']",1992/07/01 00:00,1992/07/01 00:01,['1992/07/01 00:00'],"['1992/07/01 00:00 [pubmed]', '1992/07/01 00:01 [medline]', '1992/07/01 00:00 [entrez]']",ppublish,J Clin Oncol. 1992 Jul;10(7):1078-85. doi: 10.1200/JCO.1992.10.7.1078.,['10.1200/JCO.1992.10.7.1078 [doi]'],"PURPOSE: We analyzed prognostic factors in 80 adult patients with lymphoblastic lymphoma (LBL). PATIENTS AND METHODS: Twenty-one patients received six monthly courses of cyclophosphamide, doxorubicin, vincristine, and prednisone (CHOP) and maintenance chemotherapy for 12 months. The LNH-84 protocol (30 patients) consisted of four courses of high-dose CHOP followed by consolidation for 4 months. Both FRALLE (22 patients) and LALA (seven patients) protocols were two intensive chemotherapy regimens for acute lymphoblastic leukemia (ALL) that included an induction with daunorubicin, vincristine, cyclophosphamide, prednisolone (and asparaginase for the FRALLE regimen), consolidation, and maintenance chemotherapy that lasted for 2 years. RESULTS: Sixty-six patients (82%) achieved a complete remission (CR). The CR duration rate and overall survival rate at 30 months were estimated to be 46% and 51%, respectively, with a median follow-up of 55 months. Only two of 37 relapses occurred after 26 months. Chemotherapy protocol did not influence CR rate, CR duration, and survival. A higher CR rate was associated with an age of less than 40 years, lactic dehydrogenase (LDH) level of less than two times the upper limits of normal, and no or one extranodal site of disease. Short survival was associated with a failure to achieve CR, age older than 40 years, B symptoms, LDH level more than two times the upper limits of normal, and hemoglobin level of less than 100 g/L. Bone marrow involvement had no prognostic value. We could not evaluate precisely the prognostic value of Ann Arbor stage because inclusion criteria differed among treatment groups. CONCLUSION: Our findings suggest that age and LDH are two important pretreatment prognostic factors for adult LBL, and that the optimal prognostic staging system remains a controversial issue.","['Service des Maladies du Sang, C.H.U., Lille, France.']",,,,,,,,,,,,,,,,,,,,,
1607890,NLM,MEDLINE,19920721,20190827,0340-5354 (Print) 0340-5354 (Linking),239,5,1992 May,Neopterin concentrations in serum and cerebrospinal fluid in HTLV-I infected individuals.,270-2,"['Ali, A', 'Rudge, P', 'Dalgleish, A G']","['Ali A', 'Rudge P', 'Dalgleish AG']",['eng'],['Journal Article'],Germany,J Neurol,Journal of neurology,0423161,"['22150-76-1 (Biopterin)', '670-65-5 (Neopterin)']",IM,"['Biopterin/*analogs & derivatives/blood/cerebrospinal fluid', 'Enzyme-Linked Immunosorbent Assay', 'HTLV-I Infections/*blood/*cerebrospinal fluid', 'Humans', 'Neopterin', 'Radioimmunoassay']",1992/05/01 00:00,1992/05/01 00:01,['1992/05/01 00:00'],"['1992/05/01 00:00 [pubmed]', '1992/05/01 00:01 [medline]', '1992/05/01 00:00 [entrez]']",ppublish,J Neurol. 1992 May;239(5):270-2. doi: 10.1007/BF00810351.,['10.1007/BF00810351 [doi]'],"The concentration of neopterin was measured in serum samples taken from individuals infected with HTLV-I: 5 from asymptomatic individuals, 1 from a patient with adult T-cell leukaemia and 30 from patients with tropical spastic paraparesis (TSP). In addition, cerebrospinal fluid (CSF) was available from 22 of the TSP patients and neopterin concentrations were determined in these. Elevated levels of neopterin were found in only 3 of the 36 HTLV-I-positive serum samples, all from TSP patients, but significantly elevated neopterin levels were observed in 12 of the 22 CSF samples. The localisation of the elevated neopterin concentrations to the CSF of patients with TSP suggests a marked degree of activation of the cell-mediated immune system intrathecally. This provides further evidence in favour of powerful immune mechanisms operating centrally in the pathogenesis of TSP.","['Retrovirus Research Laboratory, Northwick Park Hospital, Harrow, UK.']",,,,,,,,,,,,,,,,,,,,,
1607811,NLM,MEDLINE,19920721,20171116,0021-5384 (Print) 0021-5384 (Linking),81,3,1992 Mar 10,[Clinical study of leukemia].,431-4,"['Niho, Y']",['Niho Y'],['jpn'],['Journal Article'],Japan,Nihon Naika Gakkai Zasshi,Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine,19130210R,"['04079A1RDZ (Cytarabine)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'ZS7284E0ZP (Daunorubicin)', 'BH-AC-DMP protocol']",IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Bone Marrow Transplantation', 'Cytarabine/administration & dosage/analogs & derivatives', 'Daunorubicin/administration & dosage', 'Humans', 'Leukemia/*classification/therapy', 'Mercaptopurine/administration & dosage', 'Prednisolone/administration & dosage']",1992/03/10 00:00,1992/03/10 00:01,['1992/03/10 00:00'],"['1992/03/10 00:00 [pubmed]', '1992/03/10 00:01 [medline]', '1992/03/10 00:00 [entrez]']",ppublish,Nihon Naika Gakkai Zasshi. 1992 Mar 10;81(3):431-4.,,,,,,,,,,,,,,,,,,,,,,,,
1607673,NLM,MEDLINE,19920722,20190723,0022-202X (Print) 0022-202X (Linking),99,1,1992 Jul,Immunohistochemical distribution of adult T-cell leukemia-derived factor/thioredoxin in epithelial components of normal and pathologic human skin conditions.,101-7,"['Wakita, H', 'Yodoi, J', 'Masutani, H', 'Toda, K', 'Takigawa, M']","['Wakita H', 'Yodoi J', 'Masutani H', 'Toda K', 'Takigawa M']",['eng'],['Journal Article'],United States,J Invest Dermatol,The Journal of investigative dermatology,0426720,['52500-60-4 (Thioredoxins)'],IM,"['Adult', 'Carcinoma/chemistry', 'Carcinoma in Situ/chemistry', 'Carcinoma, Squamous Cell/chemistry', 'Humans', 'Leukemia, T-Cell/*metabolism', 'Nevus/immunology/metabolism', 'Skin/*chemistry/immunology/pathology', 'Thioredoxins/*analysis']",1992/07/01 00:00,1992/07/01 00:01,['1992/07/01 00:00'],"['1992/07/01 00:00 [pubmed]', '1992/07/01 00:01 [medline]', '1992/07/01 00:00 [entrez]']",ppublish,J Invest Dermatol. 1992 Jul;99(1):101-7. doi: 10.1111/1523-1747.ep12611882.,"['S0022-202X(92)90502-U [pii]', '10.1111/1523-1747.ep12611882 [doi]']","Tissues from normal human skin and various skin diseases were studied with the immunoperoxidase technique using an antibody to adult T-cell leukemia-derived factor (ADF), a homologue of human thioredoxin. Normal human skin showed positive immunostaining for ADF/thioredoxin in the outer root sheath of hair follicle, sebaceous glands, and secreting components of apocrine and eccrine sweat units, but not in the unexposed interfollicular epidermis and other parts of both hair follicles and the sweat units. Immunoreactivity of benign skin tumors gave similar distribution to their normal counterparts; trichilemmal cyst, nevus sebaceus, senile sebaceous hyperplasia, and mixed cell tumor were positive for immunostaining, whereas epidermal cyst and pilomatricoma were not. No immunoreactivity was detected in malignant skin tumors such as basal cell carcinoma and poorly differentiated squamous cell carcinoma. Solar keratosis, well-differentiated squamous cell carcinoma, some of metastatic lesions of squamous cell carcinoma, and extramammary Paget's disease reacted with the antibody. These immunoreactivities reflected numerous functions of thioredoxin in higher organisms. Our findings suggest that the expression of ADF/thioredoxin in both normal and abnormal human skin is related to epithelial cell differentiation.","['Department of Dermatology, Hamamatsu University School of Medicine, Japan.']",,,,,,,,,,,,,,,,,,,,,
1607659,NLM,MEDLINE,19920721,20141120,0022-1767 (Print) 0022-1767 (Linking),149,1,1992 Jul 1,"R1-20, a novel monoclonal antibody reacting with a molecule distinct from integrin family, induces homotypic cell aggregation.",30-7,"['Nakamura, S', 'Imanishi, J', 'Minowada, J']","['Nakamura S', 'Imanishi J', 'Minowada J']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)', '0 (Cell Adhesion Molecules)', '9G34HU7RV0 (Edetic Acid)']",IM,"['Antibodies, Monoclonal/*immunology', 'Antigens, Surface/*immunology', 'Blotting, Western', 'Cell Adhesion Molecules/chemistry/*immunology', '*Cell Aggregation/drug effects', 'Cell Line', 'Edetic Acid/pharmacology', 'Humans', 'In Vitro Techniques', 'Leukocytes/*cytology/immunology', 'Lymphocyte Activation', 'Lymphocyte Subsets/cytology/immunology', 'Molecular Weight', 'Precipitin Tests']",1992/07/01 00:00,1992/07/01 00:01,['1992/07/01 00:00'],"['1992/07/01 00:00 [pubmed]', '1992/07/01 00:01 [medline]', '1992/07/01 00:00 [entrez]']",ppublish,J Immunol. 1992 Jul 1;149(1):30-7.,,"R1-20, a novel mAb reacting with a cell surface Ag on normal human lymphocytes and leukemic cell lines, was shown to induce homotypic cell aggregation in leukemic cell lines. This phenomenon was specific to mAb R1-20 because antibodies recognizing CD2, CD7, CD28, and HLA-ABC failed to exhibit homotypic cell aggregation. Induction of aggregation by mAb R1-20 occurred at 37 degrees C, but not at 4 degrees C and required cytoskeletal integrity. Sodium azide, a metabolic inhibitor, had no effect on the aggregation. Distinct from lymphocyte function-associated Ag-1/intercellular adhesion molecule-1 interaction in which divalent cations are essential elements, R1-20-mediated aggregation was not abolished with EDTA treatment. The R1-20 Ag was determined as a molecule of M(r) 100 to 110 kDa in immunoprecipitation and immunoblotting methods, under both reducing and nonreducing conditions. The molecular composition is quite different from that of any known integrin molecule. The R1-20 Ag was expressed on resting and activated T Lymphocytes as well as on normal B lymphocytes. Monocytes and granulocytes had no detectable R1-20 Ag. Among the leukemia-derived cell lines we used, mAb R1-20 reacted with 18 of 32 T cell lines, 2 of 20 B cell lines, 2 of 3 non-T-non-B cell lines, 2 of 7 myelomonocytic cell lines, and 2 of 3 nonlymphoid-nonmyeloid cell lines. All EBV-transformed B cell lines examined (10 cell lines) were R1-20+. The spectrum of reactivity among the cell lines tested was different from that of known antiadhesion antibodies tested. All these findings indicate that the Ag recognized by mAb R1-20 may represent a new type of cell adhesion molecule.","['Fujisaki Cell Center, Hayashibara Biochemical Laboratories, Inc., Okayama, Japan.']",,,,,,,,,,,,,,,,,,,,,
1607657,NLM,MEDLINE,19920721,20141120,0022-1767 (Print) 0022-1767 (Linking),149,1,1992 Jul 1,Transcription of unrearranged Ig H chain genes in human B cell malignancies. Biased expression of genes encoded within the first duplication unit of the Ig H chain locus.,244-52,"['Sideras, P', 'Nilsson, L', 'Islam, K B', 'Quintana, I Z', 'Freihof, L', 'Rosen, A', 'Juliusson, G', 'Hammarstrom, L', 'Smith, C I']","['Sideras P', 'Nilsson L', 'Islam KB', 'Quintana IZ', 'Freihof L', 'Rosen A', 'Juliusson G', 'Hammarstrom L', 'Smith CI']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin alpha-Chains)', '0 (Immunoglobulin gamma-Chains)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)']",IM,"['B-Lymphocytes/*physiology', 'Clone Cells', 'Gene Expression', 'Gene Rearrangement, B-Lymphocyte, Heavy Chain', '*Genes, Immunoglobulin', 'Humans', 'Immunoglobulin Heavy Chains/*genetics', 'Immunoglobulin alpha-Chains/genetics', 'Immunoglobulin gamma-Chains/genetics', 'In Vitro Techniques', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics', 'Transcription, Genetic', 'Tumor Cells, Cultured']",1992/07/01 00:00,1992/07/01 00:01,['1992/07/01 00:00'],"['1992/07/01 00:00 [pubmed]', '1992/07/01 00:01 [medline]', '1992/07/01 00:00 [entrez]']",ppublish,J Immunol. 1992 Jul 1;149(1):244-52.,,"Analysis of the H chain class switch recombination events on the productive and nonproductive alleles of several human B cell lines has demonstrated that, in the majority of cases, the two loci had rearranged different CH genes. The absence of a strict correlation between the two rearrangement events has been interpreted in favor of a stochastic switching mechanism in human B cells. Based on the accessibility model for the H chain class switch, we have considered an alternative explanation, namely, that transcriptional activation of more than one CH gene could render more than one isotype accessible for recombination. In order to test this possibility, we have stimulated a number of IgM-bearing B cell tumors and analyzed the transcriptional response of their unrearranged C gamma and C alpha H chain genes at the Ig class level by Northern hybridization and at the subclass level by RNA-RNA solution hybridization. Our data show that human clonal B cell populations can simultaneously express germ-line transcripts of both gamma and alpha genes. Our data also demonstrate a bias in the expression of the different isotypes in the B cell chronic lymphocytic leukemias analyzed, with the genes present with the first duplication unit of the H chain locus (gamma 3, gamma 1, and alpha 1) being expressed almost exclusively. These findings indicate that transcriptional activation of large chromosomal regions containing more than one CH gene could render all the genes available for recombination and, therefore, provide an explanation for the asymmetry in the rearrangement events that have previously been described in human B cell tumors. The possible relevance of our findings to the molecular mechanism of the H chain class switch is discussed.","['Unit for Applied Cell and Molecular Biology, Umea University, Sweden.']",,,,,,,,,,,,,,,,,,,,,
1607345,NLM,MEDLINE,19920722,20071115,0886-0238 (Print) 0886-0238 (Linking),6,2,1992,Burkitt cell leukemia with myelodysplasia as a presentation of HIV infection.,95-8,"['Sham, R L', 'Bennett, J M']","['Sham RL', 'Bennett JM']",['eng'],"['Case Reports', 'Journal Article']",United States,Hematol Pathol,Hematologic pathology,8707764,,IM,"['Adult', 'Biopsy', 'Bone Marrow/pathology', 'Burkitt Lymphoma/blood/diagnosis/*etiology', 'Female', 'HIV Infections/blood/complications/*diagnosis', 'Humans', 'Myelodysplastic Syndromes/*etiology']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Hematol Pathol. 1992;6(2):95-8.,,"Hematologic manifestations of human immunodeficiency virus (HIV) infection include cytopenias, non-Hodgkin's lymphoma, and myelodysplasia. Acute lymphocytic leukemia has rarely been reported in association with HIV infection. We describe a patient who presented with Burkitt cell leukemia and myelodysplasia as her initial manifestation of HIV infection. The dysplastic features included circulating asymmetric binucleated red blood cells as well as pseudo Pelger-Huet cells. To the best of our knowledge, this has not been previously reported.","['University of Rochester School of Medicine and Dentistry, Rochester General Hospital, Department of Medicine, New York 14621.']",,,,,,,,,,,,,,,,,,,,,
1607248,NLM,MEDLINE,19920723,20191021,0167-6997 (Print) 0167-6997 (Linking),10,1,1992 Apr,"An efficient multiple-exposure analysis of the toxicity of crisnatol, a DNA intercalator in phase II clinical trials.",1-15,"['Zucker, R M', 'Adams, D J', 'Bair, K W', 'Elstein, K H']","['Zucker RM', 'Adams DJ', 'Bair KW', 'Elstein KH']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Invest New Drugs,Investigational new drugs,8309330,"['0 (Antineoplastic Agents)', '0 (Chrysenes)', '0 (DNA, Neoplasm)', '0 (Propylene Glycols)', '2J71UR51UE (crisnatol)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Cell Cycle/drug effects', 'Cells, Cultured', 'Chrysenes/*pharmacology', 'DNA, Neoplasm/analysis/drug effects', 'Drug Screening Assays, Antitumor', 'Leukemia, Erythroblastic, Acute/*drug therapy/genetics', 'Mice', 'Propylene Glycols/*pharmacology']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",ppublish,Invest New Drugs. 1992 Apr;10(1):1-15. doi: 10.1007/BF01275471.,['10.1007/BF01275471 [doi]'],"To investigate the toxicity and mechanism of action of crisnatol (CRS), a new DNA intercalator currently in phase II clinical trials, we analyzed cellular and nuclear flow cytometric (FCM) parameters of murine erythroleukemic cells (MELC) exposed to a range of CRS concentrations over three exposure conditions: short-term (4 h), long-term (24 h), and short-term with recovery (4 h+/19 h-). At 0.5-1.0 microM CRS, 4 h exposure results in a reversible G2-phase block, while 24 h exposure results in greater than G2 polyploidy. At 5-10 microM CRS concentrations, cells exhibit persistent retardation of S-phase progression or irreversible G2 and/or greater than G2 blocks, depending on duration of exposure. Cells terminally blocked in G2 exhibit increased nuclear/cellular volumes and increased nuclear fluorescein isothiocyanate (protein) staining, suggestive of unbalanced growth. At 25-50 microM CRS concentrations, MELC exhibit severe membrane perturbation (loss of viability) regardless of exposure. In contrast, following similar exposures to an inactive isomer of CRS, MELC exhibit minimal cell cycle effects, suggesting that cell cycle kinetics may be a useful criterion for assessing potential efficacy. Similar analyses with different classes of chemotherapeutic agents reveal that the range of induced cellular/nuclear perturbations varies with the class of compound used. Taken together, these results suggest that drug toxicity can vary with both concentration and duration of exposure and, as such, a selective multiple-exposure FCM analysis may better represent the spectrum of drug action for drug development and pharmacodynamic studies.","['ManTech Environmental Technology, Inc., Research Triangle Park, North Carolina 27709.']",,,,,,,,,,,,,,,,,,,,,
1606969,NLM,MEDLINE,19920723,20190620,0014-2956 (Print) 0014-2956 (Linking),206,3,1992 Jun 15,Requirement of N- and C-terminal regions for enzymatic activity of human T-cell leukemia virus type I protease.,919-25,"['Hayakawa, T', 'Misumi, Y', 'Kobayashi, M', 'Yamamoto, Y', 'Fujisawa, Y']","['Hayakawa T', 'Misumi Y', 'Kobayashi M', 'Yamamoto Y', 'Fujisawa Y']",['eng'],['Journal Article'],England,Eur J Biochem,European journal of biochemistry,0107600,"['0 (DNA, Viral)', '0 (Gene Products, gag)', 'EC 3.4.23.- (HIV Protease)']",IM,"['Amino Acid Sequence', 'Base Sequence', 'Cloning, Molecular', 'DNA, Viral/chemistry', 'Escherichia coli/genetics', 'Gene Expression', 'Gene Products, gag/genetics', 'HIV Protease/chemistry/genetics/*metabolism', 'Human T-lymphotropic virus 1/*enzymology', 'Kinetics', 'Models, Molecular', 'Molecular Sequence Data', 'Molecular Structure', 'Mutagenesis, Site-Directed', 'Plasmids', 'Saccharomyces cerevisiae/genetics']",1992/06/15 00:00,1992/06/15 00:01,['1992/06/15 00:00'],"['1992/06/15 00:00 [pubmed]', '1992/06/15 00:01 [medline]', '1992/06/15 00:00 [entrez]']",ppublish,Eur J Biochem. 1992 Jun 15;206(3):919-25. doi: 10.1111/j.1432-1033.1992.tb17001.x.,['10.1111/j.1432-1033.1992.tb17001.x [doi]'],"The requirement of N- and C-terminal regions for the enzymatic activity of human T-cell leukemia virus type I (HTLV-I) protease was investigated using a series of deletion mutants. The activity was analyzed by autoprocessing of the protease itself or by processing of the gag p53 precursor. The deletional analyses indicated that Asp38-Gly152 with an additional Met-Pro sequence at the N-terminus was probably sufficient for the enzymatic activity, although the mature HTLV-I protease consists of Pro33-Leu157. A molecular model of HTLV-I protease, which was constructed by comparison with the structure of Rous sarcoma virus protease, predicted that Pro33-Leu37 and Gly143-Leu147 would form a beta-sheet. Our experimental results and the model structure suggest that (a) five amino acids in the N-terminal region (Pro33-Leu37), which are thought to be involved in the beta-sheet, are not crucial for the enzymatic activity; (b) Pro153-Leu157 is not necessary but Pro148-Gly152 is important for the enzymatic activity, in addition to Gly143-Leu147 involved in the beta-sheet.","['Biotechnology Research Laboratories, Takeda Chemical Industries Ltd, Osaka, Japan.']",,,,,"['gag', 'prt']",,,,"['GENBANK/M85174', 'GENBANK/M85175', 'GENBANK/M85176', 'GENBANK/M85177', 'GENBANK/X65179', 'GENBANK/X65180', 'GENBANK/X65181', 'GENBANK/X65295', 'GENBANK/X65296', 'GENBANK/X65632']",,,,,,,,,,,,
1606963,NLM,MEDLINE,19920723,20190620,0014-2956 (Print) 0014-2956 (Linking),206,3,1992 Jun 15,Ascorbate-mediated transmembrane electron transport and ascorbate uptake in leukemic cell lines are two different processes.,807-12,"['Schweinzer, E', 'Goldenberg, H']","['Schweinzer E', 'Goldenberg H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Biochem,European journal of biochemistry,0107600,"['0 (Culture Media)', '0 (Ferricyanides)', '13408-62-3 (hexacyanoferrate III)', 'PQ6CK8PD0R (Ascorbic Acid)', 'Y2Z3ZTP9UM (Dehydroascorbic Acid)']",IM,"['Ascorbic Acid/metabolism/*pharmacology', 'Biological Transport', 'Cell Membrane/*metabolism', 'Culture Media', 'Dehydroascorbic Acid/pharmacology', 'Electron Transport/*drug effects', 'Ferricyanides/metabolism', 'Humans', 'Kinetics', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Lymphoma, Large B-Cell, Diffuse/*metabolism', 'Oxidation-Reduction', 'Tumor Cells, Cultured']",1992/06/15 00:00,1992/06/15 00:01,['1992/06/15 00:00'],"['1992/06/15 00:00 [pubmed]', '1992/06/15 00:01 [medline]', '1992/06/15 00:00 [entrez]']",ppublish,Eur J Biochem. 1992 Jun 15;206(3):807-12. doi: 10.1111/j.1432-1033.1992.tb16988.x.,['10.1111/j.1432-1033.1992.tb16988.x [doi]'],"Transmembrane reduction of extracellular oxidants by K562 and U937 leukemic cells was stimulated by catalytic amounts of ascorbate or dehydroascorbate. This stimulation was not due to transport of ascorbate in different redox states in and out of the cells. The membrane redox cycle was strictly dependent on the presence of the cells at every stage, and showed high affinity for ascorbate with simple linear kinetics. Metabolic inhibitors and sulfhydryl reagents inhibited this stimulation. Ascorbate uptake was also dependent on oxidation, but in a very different manner and with much lower affinity for ascorbate. The uptake was non-saturable in the concentration range used. There was some release of ascorbate from the cells, which cannot account for an appreciable part of the reduction of extracellular electron acceptors.","['Institut fur Medizinische Chemie, Universitat Wien, Austria.']",,,,,,,,,,,,,,,,,,,,,
1606883,NLM,MEDLINE,19920722,20190907,8755-1039 (Print) 1097-0339 (Linking),8,3,1992,Fine-needle aspiration biopsy of pediatric neoplasms: correlation between electron microscopy and immunocytochemistry in diagnosis and classification.,258-65,"['Akhtar, M', 'Bedrossian, C W', 'Ali, M A', 'Bakry, M']","['Akhtar M', 'Bedrossian CW', 'Ali MA', 'Bakry M']",['eng'],['Journal Article'],United States,Diagn Cytopathol,Diagnostic cytopathology,8506895,,IM,"['Biopsy, Needle', 'Child', 'Humans', 'Immunohistochemistry', 'Microscopy, Electron', 'Neoplasms/chemistry/classification/diagnosis/*pathology']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Diagn Cytopathol. 1992;8(3):258-65. doi: 10.1002/dc.2840080314.,['10.1002/dc.2840080314 [doi]'],"A series of fine-needle aspiration biopsies performed in 635 children were reviewed. The diagnoses rendered in these patients included malignant lymphoma in 139 (21.9%); Hodgkin's disease, 25 (3.9%); neuroblastoma, 58 (9.1%); Wilms' Tumor, 37 (5.8%); Ewing's sarcoma, 32 (5.0%); rhabdomyosarcoma, 25 (3.9%); retinoblastoma, 22 (3.5%); leukemia infiltrate, 33 (5.2%); and miscellaneous tumors, 52 (8.2%). In 171 patients (26.9%), the biopsy was nondiagnostic. The cytomorphological characteristics of these lesions are briefly described and illustrated. Salient morphological features are further correlated with histological and ultrastructural appearances. Immunocytochemical patterns of these tumors are also discussed briefly.","['Department of Pathology and Laboratory Medicine, King Faisal Specialist Hospital and Research Centre, Riyadh, Saudi Arabia.']",,,,,,,,,,,,,,,,,,,,,
1606704,NLM,MEDLINE,19920722,20190706,0009-8981 (Print) 0009-8981 (Linking),206,3,1992 Mar 31,Relationship of urinary pseudouridine and 1-methyladenosine to activity of leukemia and lymphoma.,181-9,"['Itoh, K', 'Konno, T', 'Sasaki, T', 'Ishiwata, S', 'Ishida, N', 'Misugaki, M']","['Itoh K', 'Konno T', 'Sasaki T', 'Ishiwata S', 'Ishida N', 'Misugaki M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Clin Chim Acta,Clinica chimica acta; international journal of clinical chemistry,1302422,"['1445-07-4 (Pseudouridine)', '15763-06-1 (1-methyladenosine)', 'K72T3FS567 (Adenosine)']",IM,"['Adenosine/*analogs & derivatives/urine', 'Adult', 'Aged', 'Enzyme-Linked Immunosorbent Assay', 'Female', 'Humans', 'Leukemia/*urine', 'Lymphoma/*urine', 'Male', 'Middle Aged', 'Pseudouridine/*urine']",1992/03/31 00:00,1992/03/31 00:01,['1992/03/31 00:00'],"['1992/03/31 00:00 [pubmed]', '1992/03/31 00:01 [medline]', '1992/03/31 00:00 [entrez]']",ppublish,Clin Chim Acta. 1992 Mar 31;206(3):181-9. doi: 10.1016/0009-8981(92)90087-7.,"['0009-8981(92)90087-7 [pii]', '10.1016/0009-8981(92)90087-7 [doi]']","Urinary levels of pseudouridine and 1-methyladenosine in patients with leukemia and lymphoma were measured by the inhibition ELISA using monoclonal antibodies to determine the correlation of nucleosides excretion with disease activity. Significantly elevated levels of these nucleosides were detected in patients with all types of disease tested. Seventy-seven percent (46/60) and 62% (37/62) of patients had elevated levels of pseudouridine and 1-methyladenosine above normal mean + 2S.D., respectively, and combination assay of these nucleosides gave higher positive rate (87%; 52/60) than either single assay. The changes of urinary pseudouridine and 1-methyladenosine reflected the disease status of patients in remission or in relapse and the effect of chemotherapy. These results suggest that urinary pseudouridine and 1-methyladenosine might be clinically useful as complementary markers to the monitoring of the disease status of patients with leukemia and lymphoma by hematological examination.","['Department of Pharmaceutical Sciences, Tohoku University Hospital, Sendai, Japan.']",,,,,,,,,,,,,,,,,,,,,
