PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,GR,OAB,OABL,OTO,OT,GN
7372482,NLM,MEDLINE,19800712,20190722,0017-9078 (Print) 0017-9078 (Linking),38,2,1980 Feb,Estimation of dose due to accidental exposure to a 60Co therapy source.,187-91,,"['Yalcintas, M G', 'Jones, T D', 'Meyer, H R', 'Ozer, H', 'Unsal, S']","['Yalcintas MG', 'Jones TD', 'Meyer HR', 'Ozer H', 'Unsal S']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Health Phys,Health physics,2985093R,['0 (Cobalt Radioisotopes)'],IM,"['*Accidents', 'Cobalt Radioisotopes', 'Environmental Exposure', 'Humans', 'Leukemia, Radiation-Induced/*etiology', 'Models, Biological', 'Radiation Dosage', '*Radiotherapy/adverse effects/instrumentation', 'Risk', 'Time Factors']",1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1097/00004032-198002000-00006 [doi]'],ppublish,Health Phys. 1980 Feb;38(2):187-91. doi: 10.1097/00004032-198002000-00006.,,,,,,,,,
7372480,NLM,MEDLINE,19800712,20190722,0017-9078 (Print) 0017-9078 (Linking),38,2,1980 Feb,Nonlymphatic leukemias and adult exposure to diagnostic X-rays: the evidence reconsidered.,129-38,,"['Ginevan, M E']",['Ginevan ME'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Health Phys,Health physics,2985093R,,IM,"['Adult', 'Age Factors', 'Dose-Response Relationship, Radiation', 'Female', 'Humans', 'Leukemia, Radiation-Induced/*epidemiology', 'Male', 'Middle Aged', 'Models, Biological', 'Radiography/*adverse effects', 'Risk', 'Sex Factors', 'Time Factors', 'X-Rays']",1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1097/00004032-198002000-00001 [doi]'],ppublish,Health Phys. 1980 Feb;38(2):129-38. doi: 10.1097/00004032-198002000-00001.,,,,,,,,,
7372257,NLM,MEDLINE,19800712,20061115,0015-8178 (Print) 0015-8178 (Linking),98,9,1980 Mar 6,[Cranial computer tomography in children. Correlation of echoencephalography and EEG to cranial computer tomography].,309-12,"The results of cranial ultrasound (A-scan) and computerized tomography (CT) in 81 children were corresponding in 90%, when ventricular diameter was determined, in 85% of intracerebral dysplasias, and in 12,5% of neonatal intracranial hemorrhagia. Comparison of EEG and CT findings in 70 of these children were corresponding in 54% of the cases with respect to ""normal"" and ""abnormal"". On the basis of these results routine one-dimensional ultrasound scanning still seems to be a useful procedure.","['Laub, M C', 'Kugler, J']","['Laub MC', 'Kugler J']",['ger'],"['English Abstract', 'Journal Article']",Germany,Fortschr Med,Fortschritte der Medizin,2984763R,,IM,"['Adolescent', 'Cerebral Hemorrhage/diagnosis', 'Cerebral Ventricles/pathology', 'Cerebrospinal Fluid Shunts', 'Child', 'Echoencephalography', 'Electroencephalography', 'Humans', 'Infant', 'Leukemia/*diagnosis', 'Male', '*Tomography, X-Ray Computed']",1980/03/06 00:00,1980/03/06 00:01,['1980/03/06 00:00'],"['1980/03/06 00:00 [pubmed]', '1980/03/06 00:01 [medline]', '1980/03/06 00:00 [entrez]']",,ppublish,Fortschr Med. 1980 Mar 6;98(9):309-12.,,Kraniale Computer-Tomographie im Kindesalter. Korrelation von Echoenzephalogramm und EEG zum kranialen Computer-Tomogramm.,,,,,,,
7371901,NLM,MEDLINE,19800726,20190706,0300-5127 (Print) 0300-5127 (Linking),8,1,1980 Feb,Modes of accumulation and binding of porphyrins by murine leukaemia L1210 cells [proceedings].,100-1,,"['Kessel, D', 'Kohn, K']","['Kessel D', 'Kohn K']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Soc Trans,Biochemical Society transactions,7506897,"['0 (Mesoporphyrins)', '0 (Porphyrins)']",IM,"['Animals', 'Biological Transport', 'Kinetics', 'Leukemia L1210/*metabolism', 'Mesoporphyrins/metabolism', 'Mice', 'Porphyrins/*metabolism', 'Spectrometry, Fluorescence', 'Structure-Activity Relationship']",1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1042/bst0080100 [doi]'],ppublish,Biochem Soc Trans. 1980 Feb;8(1):100-1. doi: 10.1042/bst0080100.,,,,,,,,,
7371856,NLM,MEDLINE,19800722,20190621,0014-5793 (Print) 0014-5793 (Linking),112,2,1980 Apr 7,Synthesis of histone H1(0) is not inhibited in hydroxyurea-treated Friend cells.,199-202,,"['Zlatanova, J S']",['Zlatanova JS'],['eng'],['Journal Article'],England,FEBS Lett,FEBS letters,0155157,"['0 (Histones)', '0 (Nucleoproteins)', '9007-49-2 (DNA)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Animals', 'DNA/biosynthesis', 'Friend murine leukemia virus', 'Histones/*biosynthesis', 'Hydroxyurea/*therapeutic use', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Nucleoproteins/biosynthesis']",1980/04/07 00:00,1980/04/07 00:01,['1980/04/07 00:00'],"['1980/04/07 00:00 [pubmed]', '1980/04/07 00:01 [medline]', '1980/04/07 00:00 [entrez]']",['10.1016/0014-5793(80)80179-7 [doi]'],ppublish,FEBS Lett. 1980 Apr 7;112(2):199-202. doi: 10.1016/0014-5793(80)80179-7.,,,,,,,,,
7371794,NLM,MEDLINE,19800722,20190629,0014-4754 (Print) 0014-4754 (Linking),36,3,1980 Mar 15,Methyl methane sulfonate induced enhancement of Friend viral leukemogenesis.,337-8,"Exposure to the chemical carcinogen, methyl methane sulfonate, enhanced leukemogenesis in mice given threshold doses of Friend leukemia virus, as shown by peripheral white blood cell counts, splenomegaly and survival.","['Raikow, R B', 'OKunewick, J P', 'Meredith, R F', 'Sheib, A E', 'Brozovich, B J', 'Seeman, P R']","['Raikow RB', 'OKunewick JP', 'Meredith RF', 'Sheib AE', 'Brozovich BJ', 'Seeman PR']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",Switzerland,Experientia,Experientia,0376547,['AT5C31J09G (Methyl Methanesulfonate)'],IM,"['Animals', 'Female', 'Friend murine leukemia virus/*pathogenicity', 'Leukemia, Experimental/*chemically induced/microbiology', 'Leukocyte Count', 'Methyl Methanesulfonate/administration & dosage/*adverse effects', 'Mice', 'Splenomegaly']",1980/03/15 00:00,1980/03/15 00:01,['1980/03/15 00:00'],"['1980/03/15 00:00 [pubmed]', '1980/03/15 00:01 [medline]', '1980/03/15 00:00 [entrez]']",['10.1007/BF01952311 [doi]'],ppublish,Experientia. 1980 Mar 15;36(3):337-8. doi: 10.1007/BF01952311.,,,,,,,,,
7371683,NLM,MEDLINE,19800712,20190909,0014-2964 (Print) 0014-2964 (Linking),16,2,1980 Feb,Antibody and antigen levels in rats inoculated with Moloney sarcomas and viral antigens.,285-8,,"['Soderberg, F', 'Jones, J M']","['Soderberg F', 'Jones JM']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Eur J Cancer,European journal of cancer,0074126,"['0 (Antibodies, Viral)', '0 (Antigens, Viral)']",IM,"['Animals', 'Antibodies, Viral/*analysis/biosynthesis', 'Antigens, Viral/*analysis/immunology', 'Female', 'Immunization', 'Leukemia, Experimental/immunology', 'Moloney murine leukemia virus/*immunology', 'Rats', 'Sarcoma, Experimental/*immunology', 'Time Factors']",1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1016/0014-2964(80)90162-0 [doi]'],ppublish,Eur J Cancer. 1980 Feb;16(2):285-8. doi: 10.1016/0014-2964(80)90162-0.,,,,,,,,,
7371230,NLM,MEDLINE,19800712,20041117,0308-2261 (Print) 0308-2261 (Linking),9,1,1980 Feb,Cytogenetics and haematology.,1-224,,,,['eng'],['Journal Article'],England,Clin Haematol,Clinics in haematology,0331547,,IM,"['*Cytogenetics', 'Hematologic Diseases/genetics', 'Humans', 'Leukemia/*genetics']",1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",,ppublish,Clin Haematol. 1980 Feb;9(1):1-224.,,,,,,,,,
7371032,NLM,MEDLINE,19800726,20031114,0008-5472 (Print) 0008-5472 (Linking),40,6,1980 Jun,Immunomodulatory effect of various molecular-weight maleic anhydride-divinyl ethers and other agents in vivo.,1967-72,"Various molecular-weight maleic anhydride-divinyl ether copolymer polyanions were evaluated in six in vivo systems. Low- and high-molecular-weight MVE's were effective adjuvants with irradiated L1210 tumor cell vaccine. A high percentage of L1210-challenged survivors were refractory to a second challenge of tumor cells. Azimexon and Bacillus Calmette-Guerin were also effective adjuvants, but Bestatin was without adjuvant effect. All the MVE's demonstrated a marginal antitumor effect against the L1210 and LSTRA tumors. The MVW's, regardless of molecular weight differences, were effective in enhancing macrophage tumoricidal activity and retarding the development of M109 tumor growth in the lungs. Enhancement of delayed-type hypersensitivity by all six MVE's indicates their ability to stimulate T-cells.","['Chirigos, M A', 'Stylos, W A']","['Chirigos MA', 'Stylos WA']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Adjuvants, Immunologic)', '0 (Antineoplastic Agents)', '0 (Polymers)', '0 (Vaccines)', '27100-68-1 (Pyran Copolymer)']",IM,"['*Adjuvants, Immunologic', 'Animals', '*Antineoplastic Agents', 'Hypersensitivity, Delayed/immunology', 'Immunity, Cellular', 'Leukemia L1210/immunology', 'Lung Neoplasms/secondary', 'Macrophages/immunology', 'Mice', 'Molecular Weight', 'Neoplasm Metastasis', 'Neoplasms, Experimental/*immunology', 'Polymers/*immunology', 'Pyran Copolymer/*immunology', 'Vaccines']",1980/06/01 00:00,1980/06/01 00:01,['1980/06/01 00:00'],"['1980/06/01 00:00 [pubmed]', '1980/06/01 00:01 [medline]', '1980/06/01 00:00 [entrez]']",,ppublish,Cancer Res. 1980 Jun;40(6):1967-72.,,,,,,,,,
7371027,NLM,MEDLINE,19800726,20131121,0008-5472 (Print) 0008-5472 (Linking),40,6,1980 Jun,"Cellular pharmacology of N,N-dimethyl daunorubicin and N,N-dimethyl adriamycin.",1928-33,,"['Egorin, M J', 'Clawson, R E', 'Ross, L A', 'Bachur, N R']","['Egorin MJ', 'Clawson RE', 'Ross LA', 'Bachur NR']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (DNA, Neoplasm)', '0 (RNA, Neoplasm)', '67508-87-6 (N,N-dimethyldaunorubicin)', '70222-95-6 (N,N-dimethyldoxorubicin)', '80168379AG (Doxorubicin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Cell Nucleus/metabolism', 'Cells, Cultured', 'DNA, Neoplasm/biosynthesis', 'Daunorubicin/*analogs & derivatives/metabolism', 'Doxorubicin/*analogs & derivatives/metabolism', 'Leukemia L1210/metabolism', 'Leukemia, Experimental/*metabolism', 'Mice', 'RNA, Neoplasm/biosynthesis', 'Temperature']",1980/06/01 00:00,1980/06/01 00:01,['1980/06/01 00:00'],"['1980/06/01 00:00 [pubmed]', '1980/06/01 00:01 [medline]', '1980/06/01 00:00 [entrez]']",,ppublish,Cancer Res. 1980 Jun;40(6):1928-33.,,,,,,,,,
