PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,PMC,AB,AD,DEP,GR,RF,CIN,CON,CI,EIN,CN,SI,CRI
14952246,NLM,MEDLINE,20040215,20181201,0365-3285 (Print) 0365-3285 (Linking),7,4,1952 Apr,[Relation of infection to acute leukemia; case of hemocytoblastic leukemia with initial lymphatic course appearing in an infectious and suppurative condition].,88-92,"['COTRUFO, P', 'LUCREZI, G']","['COTRUFO P', 'LUCREZI G']",['und'],['Journal Article'],"Rapporti tra sepsi e leucemie acute; su un caso di leucemia acuta emocitoblastica con iniziale evoluzione linfatica, impiantatasi su stato setticopiemico.",Italy,Acta Med Ital Mal Infett Parassit,Acta medica Italica di malattie infettive e parassitarie,14540070R,,OM,"['*Acute Disease', '*Communicable Diseases', 'Humans', '*Leukemia', '*Suppuration']",['CLML: 5222:38689:251'],['NLM'],['*LEUKEMIA'],1952/04/01 00:00,1952/04/01 00:01,['1952/04/01 00:00'],"['1952/04/01 00:00 [pubmed]', '1952/04/01 00:01 [medline]', '1952/04/01 00:00 [entrez]']",ppublish,Acta Med Ital Mal Infett Parassit. 1952 Apr;7(4):88-92.,,,,,,,,,,,,,,
14952241,NLM,MEDLINE,20040215,20181201,0001-5792 (Print) 0001-5792 (Linking),7,4,1952 Apr,[The problem of eosinophile leukemia; pathogenesis of leucoses].,230-56,"['DITTRICH, H']",['DITTRICH H'],['und'],['Journal Article'],Zur Frage der eosinophilen Leukamie; (Zugleich ein Beitrag zur Pathogenese der Leukosen).,Switzerland,Acta Haematol,Acta haematologica,0141053,,OM,"['Humans', '*Hypereosinophilic Syndrome', '*Leukemia']",['CLML: 5222:38684:251'],['NLM'],['*LEUKEMIA'],1952/04/01 00:00,1952/04/01 00:01,['1952/04/01 00:00'],"['1952/04/01 00:00 [pubmed]', '1952/04/01 00:01 [medline]', '1952/04/01 00:00 [entrez]']",ppublish,Acta Haematol. 1952 Apr;7(4):230-56. doi: 10.1159/000204057.,['10.1159/000204057 [doi]'],,,,,,,,,,,,,
14952237,NLM,MEDLINE,20040215,20181201,0001-5792 (Print) 0001-5792 (Linking),7,4,1952 Apr,"Present status of ACTH, cortisone, and the antimetabolites in the treatment of leukemia and related diseases.",193-205,"['BURCHENAL, J H']",['BURCHENAL JH'],['eng'],['Journal Article'],,Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Antimetabolites)', '0 (Folic Acid Antagonists)', '9002-60-2 (Adrenocorticotropic Hormone)', 'V27W9254FZ (Cortisone)']",OM,"['Adrenocorticotropic Hormone/*therapeutic use', '*Antimetabolites', 'Cortisone/*therapeutic use', 'Folic Acid Antagonists/*therapeutic use', 'Leukemia/*therapy']",['CLML: 5222:38680:8:120:177:252'],['NLM'],"['*ACTH/therapeutic use', '*CORTISONE/therapeutic use', '*FOLIC ACID ANTAGONISTS/therapeutic use', '*LEUKEMIA/therapy']",1952/04/01 00:00,1952/04/01 00:01,['1952/04/01 00:00'],"['1952/04/01 00:00 [pubmed]', '1952/04/01 00:01 [medline]', '1952/04/01 00:00 [entrez]']",ppublish,Acta Haematol. 1952 Apr;7(4):193-205. doi: 10.1159/000204053.,['10.1159/000204053 [doi]'],,,,,,,,,,,,,
14952100,NLM,MEDLINE,20040215,20190917,0096-6339 (Print) 0096-6339 (Linking),48,3,1952 Sep,Coexistence of intraocular melanoma and lymphatic leukemia.,349-51,"['NADBATH, R P', 'BULLWINKEL, H G']","['NADBATH RP', 'BULLWINKEL HG']",['eng'],['Journal Article'],,United States,AMA Arch Ophthalmol,A.M.A. archives of ophthalmology,7706524,['Uveal melanoma'],OM,"['*Choroid', '*Choroid Neoplasms', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Melanoma', '*Uveal Neoplasms']",['CLML: 5222:38543:106:252:277'],['NLM'],"['*CHOROID/neoplasms', '*LEUKEMIA, LYMPHATIC', '*MELANOMA']",1952/09/01 00:00,1952/09/01 00:01,['1952/09/01 00:00'],"['1952/09/01 00:00 [pubmed]', '1952/09/01 00:01 [medline]', '1952/09/01 00:00 [entrez]']",ppublish,AMA Arch Ophthalmol. 1952 Sep;48(3):349-51. doi: 10.1001/archopht.1952.00920010357013.,['10.1001/archopht.1952.00920010357013 [doi]'],,,,,,,,,,,,,
14951809,NLM,MEDLINE,20040215,20181201,0044-4030 (Print) 0044-4030 (Linking),88,7,1952 Feb,[Gastrointestinal pathology in lymphatic leukemia].,259-62,"['NAGEL, W']",['NAGEL W'],['und'],['Journal Article'],Beitrag zur Frage der Magen-Darmveranderungen bei der lymphatischen Liukamie.,Germany,Zentralbl Allg Pathol,Zentralblatt fur allgemeine Pathologie u. pathologische Anatomie,9105593,,OM,"['Gastrointestinal Tract/*pathology', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphatic Vessels']",['CLML: 5222:38215:184:252'],['NLM'],"['*GASTROINTESTINAL SYSTEM/pathology', '*LEUKEMIA, LYMPHATIC/manifestations']",1952/02/01 00:00,1952/02/01 00:01,['1952/02/01 00:00'],"['1952/02/01 00:00 [pubmed]', '1952/02/01 00:01 [medline]', '1952/02/01 00:00 [entrez]']",ppublish,Zentralbl Allg Pathol. 1952 Feb;88(7):259-62.,,,,,,,,,,,,,,
14951799,NLM,MEDLINE,20040215,20181201,0044-4030 (Print) 0044-4030 (Linking),88,5-6,1952 Jan,[Hemorrhages into the spleen tissue in myelocytic leukemia].,200-3,"['FRITZSCH, W']",['FRITZSCH W'],['und'],['Journal Article'],Blutungen im Milzgewebe bei Myelose.,Germany,Zentralbl Allg Pathol,Zentralblatt fur allgemeine Pathologie u. pathologische Anatomie,9105593,,OM,"['*Disease', '*Hemorrhage', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Spleen', '*Splenic Diseases']",['CLML: 5222:38205:252:429'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/manifestations', '*SPLEEN/diseases']",1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Zentralbl Allg Pathol. 1952 Jan;88(5-6):200-3.,,,,,,,,,,,,,,
14951155,NLM,MEDLINE,20040215,20181201,0043-5325 (Print) 0043-5325 (Linking),64,17,1952 Apr,[Aminopterin therapy of acute leukemias].,309-11,"['KOLBL, H', 'ROSENKRANZ, A']","['KOLBL H', 'ROSENKRANZ A']",['und'],['Journal Article'],Ein Beitrag zur Aminopterintherapie akuter Leukamien.,Austria,Wien Klin Wochenschr,Wiener klinische Wochenschrift,21620870R,"['0 (Folic Acid Antagonists)', 'JYB41CTM2Q (Aminopterin)']",OM,"['*Acute Disease', '*Aminopterin', 'Folic Acid Antagonists/*therapeutic use', 'Leukemia/*therapy']",['CLML: 5222:37557:177:252'],['NLM'],"['*FOLIC ACID ANTAGONISTS/therapeutic use', '*LEUKEMIA/therapy']",1952/04/01 00:00,1952/04/01 00:01,['1952/04/01 00:00'],"['1952/04/01 00:00 [pubmed]', '1952/04/01 00:01 [medline]', '1952/04/01 00:00 [entrez]']",ppublish,Wien Klin Wochenschr. 1952 Apr;64(17):309-11.,,,,,,,,,,,,,,
14950373,NLM,MEDLINE,20040215,20181201,0256-9574 (Print),26,15,1952 Apr 12,Leukaemic tonsils.,316-7,"['DICK, A M']",['DICK AM'],['eng'],['Journal Article'],,South Africa,S Afr Med J,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,0404520,,OM,"['Humans', '*Leukemia', 'Leukemia, Lymphoid/*diagnosis', 'Palatine Tonsil/*pathology']",['CLML: 5222:36737:252:463'],['NLM'],"['*LEUKEMIA, LYMPHATIC/diagnosis', '*TONSILS/pathology']",1952/04/12 00:00,1952/04/12 00:01,['1952/04/12 00:00'],"['1952/04/12 00:00 [pubmed]', '1952/04/12 00:01 [medline]', '1952/04/12 00:00 [entrez]']",ppublish,S Afr Med J. 1952 Apr 12;26(15):316-7.,,,,,,,,,,,,,,
14950203,NLM,MEDLINE,20040215,20190619,0036-8075 (Print) 0036-8075 (Linking),116,3005,1952 Aug 1,The metabolism of betaine and sodium formate by leukemic mice.,121-2,"['DINNING, J S', 'SEAGER, L D', 'PAYNE, L D', 'TOTTER, J R']","['DINNING JS', 'SEAGER LD', 'PAYNE LD', 'TOTTER JR']",['eng'],['Journal Article'],,United States,Science,"Science (New York, N.Y.)",0404511,"['0 (Formates)', '0YIW783RG1 (formic acid)', '3SCV180C9W (Betaine)', 'N91BDP6H0X (Choline)']",OM,"['Animals', '*Betaine', '*Biochemical Phenomena', 'Choline/analogs & derivatives', 'Formates/*metabolism', '*Leukemia', '*Leukemia, Experimental', 'Mice']",['CLML: 5222:36567:104:178:252'],['NLM'],"['*CHOLINE/derivatives', '*FORMATES/metabolism', '*LEUKEMIA/experimental']",1952/08/01 00:00,1952/08/01 00:01,['1952/08/01 00:00'],"['1952/08/01 00:00 [pubmed]', '1952/08/01 00:01 [medline]', '1952/08/01 00:00 [entrez]']",ppublish,Science. 1952 Aug 1;116(3005):121-2. doi: 10.1126/science.116.3005.121.,['10.1126/science.116.3005.121 [doi]'],,,,,,,,,,,,,
14950071,NLM,MEDLINE,20040215,20181201,,25,2,1952,"[Reticulosis, reticuloendotheliosis, and reticulosarcoma].",64-5,,,['und'],['Journal Article'],"RETICOLOSI, reticoloendoteliosi e reticolosarcomi.",Spain,Sangue,Il Sangue,20540400R,"['Reticuloendotheliosis, X-linked']",OM,"['Animals', '*Disease', '*Genetic Diseases, X-Linked', 'Humans', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Lymphoma, Large B-Cell, Diffuse', '*Lymphoma, Non-Hodgkin', '*Mononuclear Phagocyte System', '*Neoplasms', '*Sarcoma', '*Severe Combined Immunodeficiency']",['CLML: 5222:36435:398:411'],['NLM'],"['*RETICULOENDOTHELIAL SYSTEM/diseases', '*RETICULOENDOTHELIOSIS', '*SARCOMA, RETICULUM CELL']",1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Sangue. 1952;25(2):64-5.,,,,,,,,,,,,,,
14949941,NLM,MEDLINE,20040215,20181201,0035-5259 (Print) 0035-5259 (Linking),66,22,1952 May 31,[ACTH and eosinophil leukemia].,600-4,"['MORELLI, A', 'MAUREA, C']","['MORELLI A', 'MAUREA C']",['und'],['Journal Article'],ACTH e leucemia eosinofila.,Italy,Riforma Med,La Riforma medica,0404345,['9002-60-2 (Adrenocorticotropic Hormone)'],OM,"['Adrenocorticotropic Hormone/*therapeutic use', '*Eosinophils', '*Hypereosinophilic Syndrome', '*Leukemia', 'Leukemia, Myeloid/*therapy']",['CLML: 5222:36305:8:252'],['NLM'],"['*ACTH/therapeutic use', '*LEUKEMIA, MYELOCYTIC/therapy']",1952/05/31 00:00,1952/05/31 00:01,['1952/05/31 00:00'],"['1952/05/31 00:00 [pubmed]', '1952/05/31 00:01 [medline]', '1952/05/31 00:00 [entrez]']",ppublish,Riforma Med. 1952 May 31;66(22):600-4.,,,,,,,,,,,,,,
14949145,NLM,MEDLINE,20040215,20181201,0370-1514 (Print) 0370-1514 (Linking),8,9,1952 May 15,[Case of leukemia with initial aplastic phase and with remission].,264-72,"['SILVESTRONI, E']",['SILVESTRONI E'],['und'],['Journal Article'],Su di un caso di leucemia con fase iniziale aplastica e con remissione.,Italy,Prog Med (Napoli),Il Progresso medico,2984827R,,OM,"['Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphatic Vessels']",['CLML: 5222:35483:252'],['NLM'],"['*LEUKEMIA, LYMPHATIC']",1952/05/15 00:00,1952/05/15 00:01,['1952/05/15 00:00'],"['1952/05/15 00:00 [pubmed]', '1952/05/15 00:01 [medline]', '1952/05/15 00:00 [entrez]']",ppublish,Prog Med (Napoli). 1952 May 15;8(9):264-72.,,,,,,,,,,,,,,
14949143,NLM,MEDLINE,20040215,20181201,0370-1514 (Print) 0370-1514 (Linking),8,9,1952 May 15,[Research on blood cytochemistry; polysaccharide reaction in cytodiagnosis of acute leukosis].,257-60,"['STORTI, E', 'PERUGINI, S']","['STORTI E', 'PERUGINI S']",['und'],['Journal Article'],Ricerche di citochimica ematologica; le reazioni dei polisaccaridi applicate alla diagnostica citologica delle leucosi acute.,Italy,Prog Med (Napoli),Il Progresso medico,2984827R,['0 (Polysaccharides)'],OM,"['*Cytodiagnosis', '*Histocytochemistry', 'Humans', 'Leukemia/*diagnosis', '*Polysaccharides', '*Research']",['CLML: 5222:35481:251'],['NLM'],['*LEUKEMIA/diagnosis'],1952/05/15 00:00,1952/05/15 00:01,['1952/05/15 00:00'],"['1952/05/15 00:00 [pubmed]', '1952/05/15 00:01 [medline]', '1952/05/15 00:00 [entrez]']",ppublish,Prog Med (Napoli). 1952 May 15;8(9):257-60.,,,,,,,,,,,,,,
14949139,NLM,MEDLINE,20040215,20181201,0370-1514 (Print) 0370-1514 (Linking),8,8,1952 Apr 30,[Association of diabetes mellitus and leukemia; clinical aspects and review of the literature].,229-32,"['IANNACCONE, A', 'NICOLETTI, M']","['IANNACCONE A', 'NICOLETTI M']",['und'],['Journal Article'],Associazione di diabete mellito e leucemia; contributo clinico e rassegna della letteratura.,Italy,Prog Med (Napoli),Il Progresso medico,2984827R,,OM,"['*Diabetes Mellitus', 'Humans', '*Leukemia', '*Leukemia, Myeloid']",['CLML: 5222:35477:134:252'],['NLM'],"['*DIABETES MELLITUS', '*LEUKEMIA, MYELOCYTIC']",1952/04/30 00:00,1952/04/30 00:01,['1952/04/30 00:00'],"['1952/04/30 00:00 [pubmed]', '1952/04/30 00:01 [medline]', '1952/04/30 00:00 [entrez]']",ppublish,Prog Med (Napoli). 1952 Apr 30;8(8):229-32.,,,,,,,,,,,,,,
14949094,NLM,MEDLINE,20040215,20200930,0037-9727 (Print) 0037-9727 (Linking),80,3,1952 Jul,Comparative effectiveness of five newly synthesized arsenical compounds in treatment of leukemia in mice.,489-92,"['ENGLE, R L Jr', 'REZNIKOFF, P', 'LOTT, W A', 'YALE, H L']","['ENGLE RL Jr', 'REZNIKOFF P', 'LOTT WA', 'YALE HL']",['eng'],['Journal Article'],,United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,['0 (Arsenicals)'],OM,"['Animals', 'Arsenicals/*pharmacology', '*Leukemia', '*Leukemia, Experimental', 'Mice']",['CLML: 5222:35432:40:252'],['NLM'],"['*ARSENICALS/effects', '*LEUKEMIA/experimental']",1952/07/01 00:00,1952/07/01 00:01,['1952/07/01 00:00'],"['1952/07/01 00:00 [pubmed]', '1952/07/01 00:01 [medline]', '1952/07/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1952 Jul;80(3):489-92. doi: 10.3181/00379727-80-19666.,['10.3181/00379727-80-19666 [doi]'],,,,,,,,,,,,,
14948325,NLM,MEDLINE,20040215,20181201,0031-3939 (Print) 0031-3939 (Linking),27,7,1952 Jul,[Unusual form of chloroma of the bone marrow in a 12-year-old girl].,845-7,"['MIKULOWSKI, W']",['MIKULOWSKI W'],['und'],['Journal Article'],Rzadka postac zieleniaka szpikowego u dziewczynki 12-letniej.,Poland,Pediatr Pol,Pediatria polska,2985039R,,OM,"['*Bone Marrow', '*Bone Marrow Neoplasms', 'Female', 'Humans', '*Leukemia', '*Sarcoma, Myeloid']",['CLML: 5222:34663:72:253'],['NLM'],"['*BONE MARROW/neoplasms', '*LEUKOSARCOMA']",1952/07/01 00:00,1952/07/01 00:01,['1952/07/01 00:00'],"['1952/07/01 00:00 [pubmed]', '1952/07/01 00:01 [medline]', '1952/07/01 00:00 [entrez]']",ppublish,Pediatr Pol. 1952 Jul;27(7):845-7.,,,,,,,,,,,,,,
14948285,NLM,MEDLINE,20040215,20181201,0031-3939 (Print) 0031-3939 (Linking),27,1,1952 Jan,"[A case of leukemia in a child treated with aminopterin, and a case of leukemic reaction in the course of infection].",78-81,"['GERWELOWA, H', 'SZCZEPSKI, O']","['GERWELOWA H', 'SZCZEPSKI O']",['und'],['Journal Article'],Przypadek bialaczki u dziecka leczony aminopteryna oraz przypadek odczynu blalaczkowego w przebiegu zaka1zenia.,Poland,Pediatr Pol,Pediatria polska,2985039R,"['0 (Folic Acid Antagonists)', 'JYB41CTM2Q (Aminopterin)']",OM,"['*Aminopterin', 'Folic Acid Antagonists/*therapeutic use', 'Leukemia/*therapy']",['CLML: 5222:34623:177:252'],['NLM'],"['*FOLIC ACID ANTAGONISTS/therapeutic use', '*LEUKEMIA/therapy']",1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Pediatr Pol. 1952 Jan;27(1):78-81.,,,,,,,,,,,,,,
14948274,NLM,MEDLINE,20040215,20181201,0031-3890 (Print) 0031-3890 (Linking),60,3-4,1952 Mar-Apr,[Position of Jaksch-Hayem-Luzet anemia in the field of blood diseases in children].,216-21,"['CROCCO, G']",['CROCCO G'],['und'],['Journal Article'],La posizione attuale del' l'anemia di Jaksch-Hayem-Luzet nel campo delle emopatie infantili.,Italy,Pediatria (Napoli),La Pediatria,0401207,,OM,"['*Anemia', '*Hematologic Diseases', '*Leukemia']",['CLML: 5222:34612:375'],['NLM'],['*PSEUDOLEUKEMIA INFANTUM'],1952/03/01 00:00,1952/03/01 00:01,['1952/03/01 00:00'],"['1952/03/01 00:00 [pubmed]', '1952/03/01 00:01 [medline]', '1952/03/01 00:00 [entrez]']",ppublish,Pediatria (Napoli). 1952 Mar-Apr;60(3-4):216-21.,,,,,,,,,,,,,,
