PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,CIN,GS,RF,PMC,TT,OID,OTO,OT,GN,SI,CON,EIN,EFR,RIN
1412865,NLM,MEDLINE,19921116,20041117,0041-1345 (Print) 0041-1345 (Linking),24,5,1992 Oct,Organ transplantation practices in Taiwan.,1824-7,,"['Lee, C J']",['Lee CJ'],"['Medical College, National Taiwan University, Taipei, Republic of China.']",['eng'],,['Journal Article'],United States,Transplant Proc,Transplantation proceedings,0243532,IM,"['Bone Marrow Transplantation/trends', 'Heart Transplantation/trends', 'Humans', 'Kidney Transplantation/trends', 'Leukemia/surgery', 'Liver Transplantation/trends', 'Lung Transplantation/trends', 'Survival Analysis', 'Taiwan', 'Transplantation/mortality/*trends']",1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",,ppublish,Transplant Proc. 1992 Oct;24(5):1824-7.,,,,,,,,,,,,,,,
1412692,NLM,MEDLINE,19921123,20190727,0041-1132 (Print) 0041-1132 (Linking),32,8,1992 Oct,Cold agglutinin autoimmune hemolytic anemia as a severe complication in B-cell acute lymphocytic leukemia.,790-1,,"['Sohngen, D', 'Heyll, A', 'Meckenstock, G', 'Arning, M', 'Runde, V', 'Schneider, W', 'Wernet, P']","['Sohngen D', 'Heyll A', 'Meckenstock G', 'Arning M', 'Runde V', 'Schneider W', 'Wernet P']",,['eng'],,"['Case Reports', 'Letter']",United States,Transfusion,Transfusion,0417360,IM,"['Adult', 'Anemia, Hemolytic, Autoimmune/*complications', 'Burkitt Lymphoma/*complications', 'Humans', 'Male']",1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",['10.1046/j.1537-2995.1992.32893032115.x [doi]'],ppublish,Transfusion. 1992 Oct;32(8):790-1. doi: 10.1046/j.1537-2995.1992.32893032115.x.,,,,,,,,,,,,,,,
1412612,NLM,MEDLINE,19921104,20190902,0163-4356 (Print) 0163-4356 (Linking),14,3,1992 Jun,Determination of plicamycin in plasma by radioimmunoassay.,255-60,"This article describes a method for the determination of plicamycin in plasma by radioimmunoassay. The anti-plicamycin antibody was produced against a plicamycin-bovine serum albumin conjugate prepared by using diazotized p-aminobenzoic acid as a cross-linker. The radiolabeled ligand, 125I-plicamycin, was prepared by the chloramine-T method. The linear plicamycin concentration range was 7-400 ng/ml. The coefficients of variation for intra- and interday variabilities were 7.5 and 15%, respectively. No interference was observed from either the structurally related chromomycin A or concomitantly used drugs hydroxyurea or allopurinol. With this method of testing, plicamycin levels in plasma could be determined in patients receiving small (0.85-1.0 mg/m2) therapeutic plicamycin doses. Preliminary pharmacokinetic data in humans indicate that the plasma drug disappearance curve was biphasic with a mean elimination half-life of 10.6 +/- 1.7 h, total clearance rate of 11.1 +/- 0.4 ml/min/m2, and area under the plasma drug concentration-time curve of 1,289-1,546 ng-h/ml. This assay method is clinically useful for pharmacokinetic studies of plicamycin and may be helpful in the design of rational therapeutic drug trials.","['Fang, K', 'Koller, C A', 'Brown, N', 'Covington, W', 'Lin, J R', 'Ho, D H']","['Fang K', 'Koller CA', 'Brown N', 'Covington W', 'Lin JR', 'Ho DH']","['Department of Medical Oncology, University of Texas M.D. Anderson Cancer Center, Houston 77030.']",['eng'],"['CA-16672/CA/NCI NIH HHS/United States', 'CA-34028/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Ther Drug Monit,Therapeutic drug monitoring,7909660,IM,"['Antibody Specificity', 'Cross Reactions', 'Half-Life', 'Humans', 'Infusions, Intravenous', 'Iodine Radioisotopes', 'Leukemia, Myeloid/drug therapy/metabolism', 'Plicamycin/*analogs & derivatives/blood/immunology/pharmacokinetics', 'Radioimmunoassay']",1992/06/01 00:00,1992/06/01 00:01,['1992/06/01 00:00'],"['1992/06/01 00:00 [pubmed]', '1992/06/01 00:01 [medline]', '1992/06/01 00:00 [entrez]']",['10.1097/00007691-199206000-00013 [doi]'],ppublish,Ther Drug Monit. 1992 Jun;14(3):255-60. doi: 10.1097/00007691-199206000-00013.,"['0 (Iodine Radioisotopes)', '97666-60-9 (mithramycin A)', 'NIJ123W41V (Plicamycin)']",,,,,,,,,,,,,,
1412420,NLM,MEDLINE,19921113,20190824,0001-2815 (Print) 0001-2815 (Linking),40,2,1992 Aug,Monoclonal antibodies specific for canine CD4 and CD8 define functional T-lymphocyte subsets and high-density expression of CD4 by canine neutrophils.,75-85,"The characteristics of canine homologues of CD4 and CD8, defined by murine monoclonal antibodies CA13.1E4 (IgG1) and CA9.JD3 (IgG2a) respectively, are described. These antibodies identify mutually exclusive subpopulations of non-B lymphocytes in peripheral lymphoid organs and blood. However, in thymus the antibodies defined populations of double-positive, double-negative and single-positive cells that showed a progressive maturation consistent with that described for CD4 and CD8 in other mammalian species. Furthermore, functional studies clearly associated cytotoxic effector cell function with the subpopulation reactive with CA9.JD3 (CD8). In contrast, proliferation stimulated by allogeneic cells and mitogens was more pronounced in the subpopulation reactive with CA13.1E4 (CD4). Cell and tissue distribution studies revealed that CA13.1E4 stained neutrophils with equivalent intensity to the staining of peripheral T cells. CA13.1E4 precipitated a 60 kD protein from the surface of T cells and highly purified neutrophils under both reducing and nonreducing conditions. CA9.JD3 precipitated a heterodimer of 32 kd and 36 kD under reducing conditions, and a 70 kD protein under non-reducing conditions. The expression of CD4 by canine neutrophils is without precedent in other mammalian species; the functional significance of neutrophil CD4 expression is puzzling in light of the current understanding of the functions of CD4 which include it's role as a receptor for nonpolymorphic regions of MHC class II molecules.","['Moore, P F', 'Rossitto, P V', 'Danilenko, D M', 'Wielenga, J J', 'Raff, R F', 'Severns, E']","['Moore PF', 'Rossitto PV', 'Danilenko DM', 'Wielenga JJ', 'Raff RF', 'Severns E']","['Department of Pathology, School of Veterinary Medicine, University of California, Davis.']",['eng'],"['CA 23175-10/CA/NCI NIH HHS/United States', 'CA31787/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Tissue Antigens,Tissue antigens,0331072,IM,"['Animals', 'Antibodies, Monoclonal/*immunology/physiology', 'Antibody Specificity/*immunology', 'CD4 Antigens/analysis/*immunology', 'CD8 Antigens/analysis/*immunology', 'Cell Death/drug effects', 'Cell Division/drug effects', 'Dogs', 'Flow Cytometry', 'Fluorescent Antibody Technique', 'Immunohistochemistry', 'Leukemia, Experimental/immunology/pathology', 'Leukemia, Myelomonocytic, Acute/immunology/pathology', 'Leukocytes/immunology/pathology', 'Mice', 'Mice, Inbred BALB C', 'Neutrophils/cytology/*immunology/physiology', 'Precipitin Tests', 'T-Lymphocyte Subsets/cytology/*immunology/physiology', 'Tumor Cells, Cultured/immunology/pathology']",1992/08/01 00:00,1992/08/01 00:01,['1992/08/01 00:00'],"['1992/08/01 00:00 [pubmed]', '1992/08/01 00:01 [medline]', '1992/08/01 00:00 [entrez]']",['10.1111/j.1399-0039.1992.tb01963.x [doi]'],ppublish,Tissue Antigens. 1992 Aug;40(2):75-85. doi: 10.1111/j.1399-0039.1992.tb01963.x.,"['0 (Antibodies, Monoclonal)', '0 (CD4 Antigens)', '0 (CD8 Antigens)']",,,,,,,,,,,,,,
1412321,NLM,MEDLINE,19921120,20161123,0029-2001 (Print) 0029-2001 (Linking),112,22,1992 Sep 20,[Pneumocystis carinii pneumonia--not only in AIDS].,2841-2,"Two patients with haematologic malignancies developed Pneumocystis carinii pneumonia while under outpatient treatment, one on busulphan for chronic myelogen leukemia, and the other on prednisone plus chlorambucil for non-Hodgkin's lymphoma. The first patient was moderately ill and required hospitalization for 12 days while the second patient was critically ill and needed assisted ventilation for two weeks. Eventually they both recovered and returned to work. Tests for serum antibodies to the human immunodeficiency virus (HIV) were negative in both patients. We review the problem of P. carinii pneumonia in patients receiving immunosuppressive drugs.","['Strand, O A', 'von der Lippe, B', 'Stromsheim, J']","['Strand OA', 'von der Lippe B', 'Stromsheim J']","['Avdeling for infeksjonssykdommer, Medisinsk klinikk, Ulleval sykehus, Oslo.']",['nor'],,"['Case Reports', 'Journal Article']",Norway,Tidsskr Nor Laegeforen,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",0413423,IM,"['Humans', 'Immunosuppressive Agents/administration & dosage/*adverse effects', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy', 'Lymphoma, Non-Hodgkin/drug therapy', 'Male', 'Middle Aged', 'Pneumonia, Pneumocystis/diagnostic imaging/*etiology/immunology', 'Radiography']",1992/09/20 00:00,1992/09/20 00:01,['1992/09/20 00:00'],"['1992/09/20 00:00 [pubmed]', '1992/09/20 00:01 [medline]', '1992/09/20 00:00 [entrez]']",,ppublish,Tidsskr Nor Laegeforen. 1992 Sep 20;112(22):2841-2.,['0 (Immunosuppressive Agents)'],,,,,Pneumocystis carinii-pneumoni--ikke bare ved AIDS.,,,,,,,,,
1412272,NLM,MEDLINE,19921120,20080716,0029-2001 (Print) 0029-2001 (Linking),112,19,1992 Aug 20,[How to differentiate myelogenous leukemia FAB-type 6 (erythroleukemia) from the myelodysplastic syndrome?].,2557-8,,"['Stavem, P', 'Evensen, S A', 'Brinch, L', 'Stromsheim, J P']","['Stavem P', 'Evensen SA', 'Brinch L', 'Stromsheim JP']",,['nor'],,['Letter'],Norway,Tidsskr Nor Laegeforen,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",0413423,IM,"['Diagnosis, Differential', 'Humans', 'Leukemia, Erythroblastic, Acute/classification/*diagnosis', 'Myelodysplastic Syndromes/*diagnosis']",1992/08/20 00:00,1992/08/20 00:01,['1992/08/20 00:00'],"['1992/08/20 00:00 [pubmed]', '1992/08/20 00:01 [medline]', '1992/08/20 00:00 [entrez]']",,ppublish,Tidsskr Nor Laegeforen. 1992 Aug 20;112(19):2557-8.,,,,,,Hvordan skiller man myelogen leukemi FAB-type 6 (erytroleukemi) fra myelodysplastisk syndrom?,,,,,,,,,
1412241,NLM,MEDLINE,19921123,20080716,0029-2001 (Print) 0029-2001 (Linking),112,18,1992 Aug 10,[Immunophenotyping of leukemias].,2373-4,,"['Smeland, E B', 'Beiske, K']","['Smeland EB', 'Beiske K']","['Avdeling for immunologi, Norske Radiumhospital.']",['nor'],,['Journal Article'],Norway,Tidsskr Nor Laegeforen,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",0413423,IM,"['Antibodies, Monoclonal/immunology', 'Antigens, CD/immunology', 'Humans', 'Immunophenotyping/*methods', 'Leukemia/diagnosis/genetics/*immunology', 'Phenotype']",1992/08/10 00:00,1992/08/10 00:01,['1992/08/10 00:00'],"['1992/08/10 00:00 [pubmed]', '1992/08/10 00:01 [medline]', '1992/08/10 00:00 [entrez]']",,ppublish,Tidsskr Nor Laegeforen. 1992 Aug 10;112(18):2373-4.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)']",,,,,Immunfenotyping av leukemier.,,,,,,,,,
1412208,NLM,MEDLINE,19921119,20190727,0049-3848 (Print) 0049-3848 (Linking),66,4,1992 May 15,Preferential consumption of heparin cofactor II in disseminated intravascular coagulation associated with acute promyelocytic leukemia.,435-44,"We measured plasma heparin cofactor II (HC II) activity in patients with disseminated intravascular coagulation (DIC) due to various underlying diseases together with the levels of antithrombin III (AT III), pseudocholinesterase (a marker of hepatic synthesis), and various haemostatic molecular markers. Both HC II and AT III were decreased in DIC secondary to all the underlying diseases studied, except acute promyelocytic leukemia (APL), when compared with healthy subjects. The lowest HC II and AT III levels was observed in coagulopathy secondary to liver disease, the HC II level in sepsis was the second lowest. In DIC due to APL, the decrease in HC II was not accompanied by a decrease in AT III. Thus, we divided all 124 samples tested into APL and non-APL groups. The HC II level correlated positively with fibrinogen and plasminogen in both the APL and non-APL groups. In the APL group, the HC II level had a significant negative correlation with the thrombin-AT III complex (TAT), fibrinogen/fibrin degradation products, and D-dimer levels as well as the prothrombin time, while AT III showed no correlations with any of the haemostatic parameters. These results suggest that HC II may be consumed preferentially by thrombin in APL patients with DIC, and thus may spare the consumption of AT III. Accordingly, HC II seems to be a superior indicator of DIC than AT III in APL patients. Moreover, replacement therapy with HC II instead of AT III may be useful to treat DIC associated with APL. In the non-APL group, the HC II levels were positively correlated with the levels of AT III and pseudocholinesterase activity. This indicates that plasma HC II levels are closely related not only to consumption coagulopathy but also to hepatic synthetic activity, as is the case for plasma AT III.","['Kario, K', 'Matsuo, T', 'Kodama, K', 'Katayama, S', 'Kobayashi, H']","['Kario K', 'Matsuo T', 'Kodama K', 'Katayama S', 'Kobayashi H']","['Department of Internal Medicine, Hyogo Prefectural Awaji Hospital, Sumoto, Japan.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Thromb Res,Thrombosis research,0326377,IM,"['Adult', 'Antithrombin III/analysis', 'Biomarkers/blood', 'Butyrylcholinesterase/blood', 'Disseminated Intravascular Coagulation/*blood/etiology', 'Hemostasis', 'Heparin Cofactor II/*analysis', 'Humans', 'Leukemia, Promyelocytic, Acute/blood/*complications', 'Liver Diseases/blood/complications', 'Middle Aged', 'Neoplasms/blood/complications', 'Sepsis/blood/complications', 'Thrombin/biosynthesis']",1992/05/15 00:00,1992/05/15 00:01,['1992/05/15 00:00'],"['1992/05/15 00:00 [pubmed]', '1992/05/15 00:01 [medline]', '1992/05/15 00:00 [entrez]']",['10.1016/0049-3848(92)90292-i [doi]'],ppublish,Thromb Res. 1992 May 15;66(4):435-44. doi: 10.1016/0049-3848(92)90292-i.,"['0 (Biomarkers)', '81604-65-1 (Heparin Cofactor II)', '9000-94-6 (Antithrombin III)', 'EC 3.1.1.8 (Butyrylcholinesterase)', 'EC 3.4.21.5 (Thrombin)']",,,,,,,,,,,,,,
1411904,NLM,MEDLINE,19921118,20191028,0344-4325 (Print) 0344-4325 (Linking),13,3-4,1992,Cutaneous lymphoproliferative disorders: strategies for molecular biological analysis and their major findings.,387-99,"This article focuses on the principal molecular biological methods that have been devised to study cutaneous lymphoid infiltrates. These methods involve analysis of antigen receptor gene rearrangements, chromosomal translocations and proviral integration using Southern blot analysis and gene amplification techniques. The major findings are discussed that pertain to early diagnosis, staging, disease monitoring, the development of new immunopathological assays and the detection of tumor-associated retroviruses.","['Wood, G S']",['Wood GS'],"['Department of Dermatology, Case Western Reserve University, Cleveland, OH.']",['eng'],,"['Journal Article', 'Review']",Germany,Springer Semin Immunopathol,Springer seminars in immunopathology,7910384,IM,"['Humans', 'Leukemia-Lymphoma, Adult T-Cell/etiology', 'Lymphocytes/immunology/pathology', 'Lymphoproliferative Disorders/*etiology/pathology', 'Polymerase Chain Reaction', 'Receptors, Antigen, T-Cell/genetics', 'Skin Diseases/*etiology/pathology']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1007/BF00200536 [doi]'],ppublish,Springer Semin Immunopathol. 1992;13(3-4):387-99. doi: 10.1007/BF00200536.,"['0 (Receptors, Antigen, T-Cell)']",,,31,,,,,,,,,,,
1411640,NLM,MEDLINE,19921026,20180524,0093-7754 (Print) 0093-7754 (Linking),19,2 Suppl 6,1992 Apr,Teniposide in lymphomas and leukemias.,59-64,"The epipodophyllotoxins, etoposide and teniposide, have been used in leukemias and malignant lymphomas for the past 15 years. Although etoposide has acquired a place in many first-line protocols for lymphomas and, more recently, for leukemias, the role of teniposide has remained limited. Teniposide is a more potent inhibitor of topoisomerase II than etoposide, and has a less toxic effect on hematopoietic progenitor cells. Both drugs have been regarded as equitoxic and cross-resistant. The role of teniposide in front-line treatment of leukemias has only been established in childhood acute lymphoblastic leukemia (ALL). Some promising results have been obtained in small numbers of patients with refractory adult ALL and acute monoblastic leukemia. However, the remission rates and remission duration were not significantly different from those of other combination regimens. Data on teniposide in untreated acute nonlymphoblastic leukemia are very scarce. In non-Hodgkin's lymphoma, the antineoplastic activity of teniposide has been demonstrated in studies by the European Organization for Research and Treatment of Cancer and in two large studies conducted by the Australian and New Zealand Lymphoma Co-operative Chemotherapy Study Group. In these studies, teniposide had comparable but not significantly better activity than vincristine. The dose-dependent antineoplastic activity of teniposide has led to its use in several conditioning regimens in bone marrow transplantation for leukemias and lymphomas. The limited clinical data currently available on teniposide seem to warrant further clinical trials with this agent in leukemias and lymphomas.","['Sonneveld, P']",['Sonneveld P'],"['University Hospital Rotterdam Dijkzigt, The Netherlands.']",['eng'],,"['Journal Article', 'Review']",United States,Semin Oncol,Seminars in oncology,0420432,IM,"['Adult', 'Animals', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Humans', 'Leukemia/*drug therapy', 'Lymphoma/*drug therapy', 'Teniposide/administration & dosage/*therapeutic use']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",['0093-7754(92)90313-P [pii]'],ppublish,Semin Oncol. 1992 Apr;19(2 Suppl 6):59-64.,['957E6438QA (Teniposide)'],,,52,,,,,,,,,,,
1411639,NLM,MEDLINE,19921026,20180524,0093-7754 (Print) 0093-7754 (Linking),19,2 Suppl 6,1992 Apr,Clinical trials of teniposide (VM-26) in childhood acute lymphocytic leukemia.,51-8,"We describe the development of VM-26 (teniposide) as an effective agent in combination chemotherapy for childhood acute lymphocytic leukemia (ALL). Beginning with its paired use with cytarabine for patients relapsing on conventional therapy, teniposide has shown consistent ability to reduce leukemic cell populations not responsive to other agents. Encouraging results in the treatment of refractory ALL led to the decision to incorporate teniposide into combination chemotherapy for patients with newly diagnosed leukemia. This strategy has yielded higher cure rates for subsets of patients at high risk of treatment failure, including those with initial leukocyte counts of more than 100 x 10(9)/L, and may extend remission lengths for all patients, regardless of risk status. In view of the prolonged marrow aplasia seen with use of teniposide and cytarabine as inducing agents, the optimal role of this combination may be that of ""remission reinforcement"" therapy. Because of its novel mechanism of action, teniposide affords opportunities to develop new drug combinations that may increase the proportion of long-term ALL survivors still further.","['Rivera, G K', 'Evans, W E']","['Rivera GK', 'Evans WE']","[""Department of Hematology-Oncology, St Jude Children's Research Hospital, Memphis, TN 38105.""]",['eng'],['CA-21765/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Semin Oncol,Seminars in oncology,0420432,IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Remission Induction', 'Teniposide/administration & dosage/adverse effects/*therapeutic use']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",['0093-7754(92)90312-O [pii]'],ppublish,Semin Oncol. 1992 Apr;19(2 Suppl 6):51-8.,['957E6438QA (Teniposide)'],,,34,,,,,,,,,,,
1411638,NLM,MEDLINE,19921026,20131121,0093-7754 (Print) 0093-7754 (Linking),19,2 Suppl 6,1992 Apr,Teniposide in adult solid tumors: a historical perspective.,43-50,"Teniposide and etoposide are third-generation semi-synthetic derivatives of epipodophyllotoxin. Following the initial clinical introduction of teniposide in the 1970s, investigations focused almost exclusively on its analogue, etoposide, because of its formulation, which was felt to have advantages in addition to oral administration. Despite consistently inadequate dosing and scheduling, early phase I and II trial results with teniposide were promising, and current trends encourage a second look. The substantial antitumor activity of teniposide is comparable with that of etoposide, and clinical interest was rekindled when it was shown to have considerable activity against small cell lung cancer (SCLC). In view of the inadequacy of early trials and the premature cessation of clinical study, it is recommended that teniposide be reevaluated for its activity against malignant lymphomas, Hodgkin's disease, leukemias, and SCLC, against all of which its early results were encouraging. In addition, consideration should be given to its activity against brain tumors, neuroblastomas and other childhood solid tumors, and ovarian cancer; its potential value against gastric, hepatocellular, breast, and bladder cancers also should be investigated. Other areas that warrant further study include elucidation of the exact mechanism of action of teniposide, its role in both single- and multiple-agent chemotherapeutic regimens, and resolution of its optimal dose and schedule. Finally, it is suggested that with new routes of administration and improved formulations, teniposide may be expected to play a significant role in the treatment of malignant lymphomas, SCLC, and pediatric lymphocytic leukemia and neuroblastoma.","['Muggia, F M', 'Kelley, S L']","['Muggia FM', 'Kelley SL']","['Kenneth Norris Jr Comprehensive Cancer Center, University of Southern California, Los Angeles.']",['eng'],,"['Journal Article', 'Review']",United States,Semin Oncol,Seminars in oncology,0420432,IM,"['Adult', 'Animals', 'Drug Evaluation', 'Drug Evaluation, Preclinical', 'Humans', 'Neoplasms/*drug therapy', 'Teniposide/pharmacology/*therapeutic use']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",,ppublish,Semin Oncol. 1992 Apr;19(2 Suppl 6):43-50.,['957E6438QA (Teniposide)'],,,56,,,,,,,,,,,
1411362,NLM,MEDLINE,19921104,20190907,0355-3140 (Print) 0355-3140 (Linking),18,4,1992 Aug,Clues to cancer etiology from studies of farmers.,209-15,"This article summarizes cancer risks among farmers to clarify the magnitude of the problem and to suggest directions for future research. Significant excesses occurred for Hodgkin's disease, multiple myeloma, leukemia, skin melanomas, and cancers of the lip, stomach, and prostate. Nonsignificant increases in risk were also noted for non-Hodgkin's lymphoma and cancers of connective tissue and brain. These excesses occurred against a background of substantial deficits among farmers for total mortality and mortality from many specific diseases. The tumors vary in frequency, histology, and prognosis and do not fall into any obvious grouping. Two commonalities may be important. Several of the tumors excessive among farmers appear to be rising in the general population and are excessive among patients with naturally occurring or medically induced immunodeficiencies. Therefore epidemiologic studies on specific exposures among farmers may help explain the rising trend of certain cancers in developed countries and provide clues to mechanisms of action for environmental carcinogens.","['Blair, A', 'Zahm, S H', 'Pearce, N E', 'Heineman, E F', 'Fraumeni, J F Jr']","['Blair A', 'Zahm SH', 'Pearce NE', 'Heineman EF', 'Fraumeni JF Jr']","['Epidemiology and Biostatistics Program, National Cancer Institute, Bethesda, Maryland 20892.']",['eng'],,"['Comparative Study', 'Journal Article', 'Meta-Analysis']",Finland,Scand J Work Environ Health,"Scandinavian journal of work, environment & health",7511540,IM,"[""Agricultural Workers' Diseases/*etiology/mortality"", 'Carcinogens, Environmental/adverse effects', 'Cause of Death', '*Cross-Cultural Comparison', 'Female', 'Humans', 'Male', 'Neoplasms/*etiology/mortality', '*Occupational Exposure', 'Risk']",1992/08/11 19:15,2001/03/28 10:01,['1992/08/11 19:15'],"['1992/08/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1992/08/11 19:15 [entrez]']","['1578 [pii]', '10.5271/sjweh.1578 [doi]']",ppublish,Scand J Work Environ Health. 1992 Aug;18(4):209-15. doi: 10.5271/sjweh.1578.,"['0 (Carcinogens, Environmental)']",,,,,,,,,,,,,,
1411313,NLM,MEDLINE,19921123,20190824,0036-5548 (Print) 0036-5548 (Linking),24,4,1992,A pilot study of piperacillin and ciprofloxacin as initial therapy for fever in severely neutropenic leukemia patients.,467-75,"We studied the efficacy of piperacillin and ciprofloxacin as initial parenteral therapy in 41 adult patients with leukemia who developed 47 febrile episodes during severe neutropenia following chemotherapy. 40 patients (98%) survived their febrile episode(s), whereas 1 patient died of infection. When assessed at 72 h after initiation of treatment (early evaluation), 24/47 episodes (51%) had been successfully treated. These 24 favourable responses were seen in 15/24 (63%) microbiologically documented infections and 9/19 (47%) fever of unknown origin (FUO). At the resolution of fever (late evaluation) 46 episodes were evaluable, and 28 (61%) had responded successfully to piperacillin and ciprofloxacin. Successful treatment was most frequently observed in microbiologically defined infections, 18/23 (78%). Three of 5 (60%) Gram-positive, 11/12 (92%) Gram-negative and 1 of 2 mixed bacteremias were successfully treated. In contrast, only 10/19 (53%) FUO and none of 4 clinically defined infections had responded. Thus, this pilot study indicates that piperacillin and ciprofloxacin may be a safe and effective combination for the treatment of febrile episodes in severely neutropenic leukemia patients, which merits further investigation in randomized trials.","['Samuelsson, J', 'Nilsson, P G', 'Wahlin, A', 'Lerner, R', 'Winqvist, I', 'Palmblad, J']","['Samuelsson J', 'Nilsson PG', 'Wahlin A', 'Lerner R', 'Winqvist I', 'Palmblad J']","['Department of Medicine, Stockholm Soder Hospital, Sweden.']",['eng'],,['Journal Article'],England,Scand J Infect Dis,Scandinavian journal of infectious diseases,0215333,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/adverse effects', 'Ciprofloxacin/administration & dosage/adverse effects', 'Drug Therapy, Combination/*administration & dosage/adverse effects', 'Drug Tolerance', 'Female', 'Fever/drug therapy/etiology', 'Humans', 'Leukemia/complications/*drug therapy', 'Male', 'Middle Aged', 'Neutropenia/*drug therapy/etiology', 'Pilot Projects', 'Piperacillin/administration & dosage/adverse effects']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.3109/00365549209052633 [doi]'],ppublish,Scand J Infect Dis. 1992;24(4):467-75. doi: 10.3109/00365549209052633.,"['0 (Antineoplastic Agents)', '5E8K9I0O4U (Ciprofloxacin)', 'X00B0D5O0E (Piperacillin)']",,,,,,,,,,,,,,
