PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,TT,OID,OTO,OT,GN
6596155,NLM,MEDLINE,19850305,20190919,0141-9854 (Print) 0141-9854 (Linking),6,3,1984,Invasive pulmonary aspergillosis complicating pulmonary infarction in a patient with acute myeloblastic leukaemia.,299-303,,"['Daly, H M', 'Higgs, C M', 'Scott, G L']","['Daly HM', 'Higgs CM', 'Scott GL']",['eng'],"['Case Reports', 'Journal Article']",England,Clin Lab Haematol,Clinical and laboratory haematology,7907061,['7XU7A7DROE (Amphotericin B)'],IM,"['Adult', 'Amphotericin B/therapeutic use', 'Aspergillosis/*complications/drug therapy', 'Humans', 'Klinefelter Syndrome/complications', 'Leukemia, Myeloid, Acute/*complications', 'Lung Diseases, Fungal/*complications/drug therapy', 'Male', 'Pulmonary Embolism/*complications']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1111/j.1365-2257.1984.tb00556.x [doi]'],ppublish,Clin Lab Haematol. 1984;6(3):299-303. doi: 10.1111/j.1365-2257.1984.tb00556.x.,,,,,,,
6596154,NLM,MEDLINE,19850305,20190919,0141-9854 (Print) 0141-9854 (Linking),6,3,1984,The estimation of the lymphocyte percentage by the Coulter Counter Model S Plus III.,273-85,"The accuracy of the Coulter Counter Model S Plus III in determining lymphocyte percentage was assessed. In 'routine' adult blood counts accuracy was satisfactory but in infectious mononucleosis, and in chronic lymphocytic leukaemia and other lymphoproliferative disorders, there was a high rejection rate and an often considerable underestimation of the lymphocyte percentage. The S Plus III lymphocyte percentage was of no use in neonates because of inaccuracy and a high rejection rate. In infants the relationship with lymphocyte percentages based on manual differential counts was non-linear, and there was underestimation of some high percentages. The white cell size histogram was useful in altering staff to abnormalities, and also suggested that lymphocytes of neonates and infants were larger than those of adults, with plots being very similar to those of some adults with lymphoproliferative disorders. The S Plus III lymphocyte percentage was useful in reducing the need for differential counts in adult patients but did not replace examination of a blood film or a manual lymphocyte percentage in patients with chronic lymphocytic leukaemia or a lymphoproliferative disorder.","['Bain, B', 'Dean, A', 'Broom, G']","['Bain B', 'Dean A', 'Broom G']",['eng'],['Journal Article'],England,Clin Lab Haematol,Clinical and laboratory haematology,7907061,,IM,"['Adult', 'Humans', 'Infant', 'Infant, Newborn', 'Infectious Mononucleosis/blood', 'Leukemia, Hairy Cell/blood', 'Leukemia, Lymphoid/blood', 'Leukocyte Count/*instrumentation', '*Lymphocytes', 'Lymphoma/blood', 'Sezary Syndrome/blood']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1111/j.1365-2257.1984.tb00553.x [doi]'],ppublish,Clin Lab Haematol. 1984;6(3):273-85. doi: 10.1111/j.1365-2257.1984.tb00553.x.,,,,,,,
6596127,NLM,MEDLINE,19850315,20131121,0320-9725 (Print) 0320-9725 (Linking),49,10,1984 Oct,"[Use of immobilized ethidium bromide for the isolation and fractionation of DNA from solutions, biological fluids and cell lysates].",1708-11,"Possible use of ethidium bromide immobilized on polyacrylamide gel for DNA extraction from biological media, e.g., cell lysates and blood serum, is discussed. The ability of the affinity gel to cause fractionation of single- and double-stranded DNA is demonstrated.","['Fedorov, N A', 'Klemiashov, G P', 'Timofeev, A M', 'Koreshkova, N A', 'Borovkova, T V']","['Fedorov NA', 'Klemiashov GP', 'Timofeev AM', 'Koreshkova NA', 'Borovkova TV']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Biokhimiia,"Biokhimiia (Moscow, Russia)",0372667,"['0 (Acrylic Resins)', '0 (DNA, Neoplasm)', '9003-05-8 (polyacrylamide)', '9007-49-2 (DNA)', 'EN464416SI (Ethidium)']",IM,"['Acrylic Resins', 'Animals', 'Cattle', 'Chemical Fractionation', 'DNA/*isolation & purification', 'DNA, Neoplasm/isolation & purification', '*Ethidium', 'Humans', 'Leukemia, Myeloid', 'Leukocytes/analysis', 'Nucleic Acid Denaturation', 'Thymus Gland/analysis']",1984/10/01 00:00,1984/10/01 00:01,['1984/10/01 00:00'],"['1984/10/01 00:00 [pubmed]', '1984/10/01 00:01 [medline]', '1984/10/01 00:00 [entrez]']",,ppublish,Biokhimiia. 1984 Oct;49(10):1708-11.,,,"Primenenie immobilizovannogo bromistogo etidiia dlia vydeleniia i fraktsionirovaniia DNK iz rastvorov, biologicheskikh zhidkostei i lizatov kletok.",,,,
6596126,NLM,MEDLINE,19850306,20190704,0007-1048 (Print) 0007-1048 (Linking),58,4,1984 Dec,Heat production rate in polymorphonuclear granulocytes from patients with acute myelogenous leukaemia and healthy individuals.,671-8,Heat production rate in polymorphonuclear granulocytes (PMN) from 18 AML patients and 21 healthy individuals was measured using microcalorimetry. An increased PMN heat production rate was found in most AML patients at diagnosis and during the first 6 months of remission. In 7/7 patients showing values above the normal mean level the heat production rate decreased during sequential analysis. The increased PMN heat production rate is serum dependent and leukaemic sera induced increased calorimetric values also in PMN from healthy donors. This effect was not due to heat labile complement factors.,"['Faldt, R', 'Ankerst, J', 'Monti, M']","['Faldt R', 'Ankerst J', 'Monti M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Blood Donors', 'Calorimetry', '*Hot Temperature', 'Humans', 'Leukemia, Myeloid, Acute/*blood/drug therapy', 'Neutrophils/*metabolism', 'Time Factors']",1984/12/01 00:00,1984/12/01 00:01,['1984/12/01 00:00'],"['1984/12/01 00:00 [pubmed]', '1984/12/01 00:01 [medline]', '1984/12/01 00:00 [entrez]']",['10.1111/j.1365-2141.1984.tb06114.x [doi]'],ppublish,Br J Haematol. 1984 Dec;58(4):671-8. doi: 10.1111/j.1365-2141.1984.tb06114.x.,,,,,,,
6596101,NLM,MEDLINE,19850204,20190612,0006-291X (Print) 0006-291X (Linking),125,2,1984 Dec 14,Inhibition of dimethylsulfoxide-induced differentiation in Friend erythroleukemic cells by diacylglycerols and phospholipase C.,491-9,"The effects of diacylglycerols and phospholipase C on dimethylsulfoxide (DMSO)-induced differentiation were investigated in Friend erythroleukemic cells (FELC). Greater than 80% of cells become benzidine-positive when incubated with 1.5% DMSO. The tumor promoter, 12-O-tetradecanoyl-phorbol-13-acetate (TPA), inhibits DMSO-induced differentiation in FELC. Diacylglycerols were found to inhibit DMSO-induced differentiation dose responsively with the order of potency being 1-oleoyl-2-acetylglycerol (OAG) greater than dicaprylin greater than dilaurin greater than diolein. Phospholipase C which releases endogenous diacylglycerols from membrane phospholipids also inhibited DMSO-induced differentiation dose responsively. These results support the hypothesis that diacylglycerols can have effects similar to tumor promoters and suggest that protein kinase C may be a common mechanism for tumor promotion.","['Pincus, S M', 'Beckman, B S', 'George, W J']","['Pincus SM', 'Beckman BS', 'George WJ']",['eng'],"['Comparative Study', 'Journal Article']",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Diglycerides)', '0 (Glycerides)', 'EC 3.1.- (Phospholipases)', 'EC 3.1.4.- (Type C Phospholipases)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Cell Differentiation/drug effects', 'Cell Line', 'Diglycerides/*pharmacology', 'Dimethyl Sulfoxide/*pharmacology', 'Friend murine leukemia virus', 'Glycerides/*pharmacology', 'Kinetics', 'Leukemia, Erythroblastic, Acute/*pathology', 'Leukemia, Experimental/*pathology', 'Mice', 'Phospholipases/*pharmacology', 'Structure-Activity Relationship', 'Tetradecanoylphorbol Acetate/pharmacology', 'Type C Phospholipases/*pharmacology']",1984/12/14 00:00,1984/12/14 00:01,['1984/12/14 00:00'],"['1984/12/14 00:00 [pubmed]', '1984/12/14 00:01 [medline]', '1984/12/14 00:00 [entrez]']","['0006-291X(84)90567-9 [pii]', '10.1016/0006-291x(84)90567-9 [doi]']",ppublish,Biochem Biophys Res Commun. 1984 Dec 14;125(2):491-9. doi: 10.1016/0006-291x(84)90567-9.,,,,,,,
6595958,NLM,MEDLINE,19850214,20200825,0304-4602 (Print) 0304-4602 (Linking),13,3,1984 Jul,Chronic myeloid leukaemia in Singapore: a case study of 56 patients.,468-72,"A case study was made on 56 patients with chronic myeloid leukaemia in Singapore. The most common clinical presentations were abdominal discomfort with swelling and hepatosplenomegaly. The mean haemoglobin, white cell count, and platelet count at presentation were 9.23 g/dl, 217.9 X 10(9)/1 and 418 X 10(9)/1 respectively. Twenty-three of the 56 patients had gone into blast transformation at the time of analysis. The median duration of the chronic phase from the time of diagnosis to the time of blast transformation was 23 months. The median duration of survival after blast transformation was 3 months. The median duration of survival for all patients was 23 months. Busulphan remains the drug of choice for the chronic phase of chronic myeloid leukaemia.","['Ng, H W']",['Ng HW'],['eng'],['Journal Article'],Singapore,Ann Acad Med Singap,"Annals of the Academy of Medicine, Singapore",7503289,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Female', 'Humans', '*Leukemia, Myeloid/therapy', 'Leukocyte Count', 'Lymphocyte Activation', 'Male', 'Middle Aged', 'Platelet Count', 'Prognosis', 'Retrospective Studies']",1984/07/01 00:00,1984/07/01 00:01,['1984/07/01 00:00'],"['1984/07/01 00:00 [pubmed]', '1984/07/01 00:01 [medline]', '1984/07/01 00:00 [entrez]']",,ppublish,Ann Acad Med Singap. 1984 Jul;13(3):468-72.,,,,,,,
6595957,NLM,MEDLINE,19850214,20200825,0304-4602 (Print) 0304-4602 (Linking),13,3,1984 Jul,Testicular disease in Singapore children with acute leukemia.,455-8,"A study was made on testicular leukaemia developing in children treated for leukaemia in the Department of Paediatrics, Singapore General Hospital over the past 6 years. Of the 44 cases of acute leukaemia treated, 24 were males, and 6 developed testicular leukaemia, all occurring in patients with acute lymphoblastic leukaemia. Half the cases developed testicular relapse while on chemotherapy with the other half developing it after all chemotherapy was stopped. There is a place for prophylactic radiotherapy to the testis. Testicular biopsy should be considered early in high risk groups.","['Tan, C L', 'Khor, T H']","['Tan CL', 'Khor TH']",['eng'],['Journal Article'],Singapore,Ann Acad Med Singap,"Annals of the Academy of Medicine, Singapore",7503289,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Central Nervous System Diseases/etiology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*complications/drug therapy/radiotherapy', 'Male', 'Testicular Neoplasms/*etiology/prevention & control']",1984/07/01 00:00,1984/07/01 00:01,['1984/07/01 00:00'],"['1984/07/01 00:00 [pubmed]', '1984/07/01 00:01 [medline]', '1984/07/01 00:00 [entrez]']",,ppublish,Ann Acad Med Singap. 1984 Jul;13(3):455-8.,,,,,,,
6595956,NLM,MEDLINE,19850214,20200825,0304-4602 (Print) 0304-4602 (Linking),13,3,1984 Jul,Infections in children with acute lymphoblastic leukaemia.,451-4,Infective and febrile episodes were studied in 28 patients with childhood acute lymphoblastic leukaemia. Most of the infections were referrable to the respiratory tract. Organisms commonly cultured were Gram positive bacteria. The incidence of febrile episodes were generally low but was higher during induction and remission.,"['Lou, J', 'Cheng, H K', 'Leong, Y Y']","['Lou J', 'Cheng HK', 'Leong YY']",['eng'],['Journal Article'],Singapore,Ann Acad Med Singap,"Annals of the Academy of Medicine, Singapore",7503289,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Bacterial Infections/*etiology', 'Child', 'Humans', 'Leukemia, Lymphoid/*complications/drug therapy', 'Pneumonia/etiology', 'Staphylococcal Infections/etiology', 'Time Factors', 'Virus Diseases/*etiology']",1984/07/01 00:00,1984/07/01 00:01,['1984/07/01 00:00'],"['1984/07/01 00:00 [pubmed]', '1984/07/01 00:01 [medline]', '1984/07/01 00:00 [entrez]']",,ppublish,Ann Acad Med Singap. 1984 Jul;13(3):451-4.,,,,,,,
6595950,NLM,MEDLINE,19850221,20071115,0192-8562 (Print) 0192-8562 (Linking),6,3,1984 Fall,Occult abdominal involvement with apparently isolated testicular relapse in children with acute lymphocytic leukemia.,343-6,,"['Baum, E', 'Heyn, R', 'Nesbit, M', 'Tilford, D', 'Nachman, J']","['Baum E', 'Heyn R', 'Nesbit M', 'Tilford D', 'Nachman J']",['eng'],['Journal Article'],United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,,IM,"['Abdominal Neoplasms/*pathology/therapy', 'Antineoplastic Combined Chemotherapy Protocols', 'Biopsy', 'Child', 'Child, Preschool', 'Combined Modality Therapy', 'Female', 'Humans', 'Infant', 'Laparotomy', 'Leukemia, Lymphoid/*pathology/therapy', 'Male', 'Neoplasm Staging', 'Testicular Neoplasms/*pathology/therapy']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",,ppublish,Am J Pediatr Hematol Oncol. 1984 Fall;6(3):343-6.,,,,,,,
6595949,NLM,MEDLINE,19850221,20191031,0192-8562 (Print) 0192-8562 (Linking),6,3,1984 Fall,Congenital acute lymphocytic leukemia in a newborn with Klinefelter syndrome.,338-9,A patient with congenital acute lymphocytic leukemia and Klinefelter syndrome is described. The abnormal karyotype appeared in both unstimulated lymphoblasts and stimulated remission lymphocytes. A buccal smear confirmed the presence of extra chromatin material. Klinefelter syndrome has not been described in congenital acute lymphocytic leukemia.,"['Gale, G B', 'Toledano, S R']","['Gale GB', 'Toledano SR']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,,IM,"['Chromosome Mapping', 'Humans', 'Infant, Newborn', 'Klinefelter Syndrome/*complications/genetics', 'Leukemia, Lymphoid/complications/*congenital/genetics', 'Male']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1097/00043426-198423000-00020 [doi]'],ppublish,Am J Pediatr Hematol Oncol. 1984 Fall;6(3):338-9. doi: 10.1097/00043426-198423000-00020.,,,,,,,
6595948,NLM,MEDLINE,19850221,20191031,0192-8562 (Print) 0192-8562 (Linking),6,3,1984 Fall,Exaggerated eosinophilia and acute lymphoid leukemia.,334-7,,"['Gaynon, P S', 'Gonzalez-Crussi, F']","['Gaynon PS', 'Gonzalez-Crussi F']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,,IM,"['Adolescent', 'Biopsy', 'Bone Marrow/pathology', 'Child', 'Child, Preschool', 'Eosinophilia/complications/*pathology', 'Eosinophils', 'Female', 'Humans', 'Leukemia, Lymphoid/complications/*pathology', 'Leukocyte Count', 'Lung/pathology']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1097/00043426-198423000-00019 [doi]'],ppublish,Am J Pediatr Hematol Oncol. 1984 Fall;6(3):334-7. doi: 10.1097/00043426-198423000-00019.,,,,,,,
6595945,NLM,MEDLINE,19850204,20200824,0002-9297 (Print) 0002-9297 (Linking),36,6,1984 Nov,K562 human erythroleukemia cell variants resistant to growth inhibition by butyrate have deficient histone acetylation.,1225-38,"K562 is an established human erythroleukemia cell line, inducible for hemoglobin synthesis by a variety of compounds including n-butyrate. To elucidate the role of butyrate-induced histone acetylation in the regulation of gene expression in K562 cells, we isolated 20 variants resistant to the growth inhibitory effect of butyrate. Four variants having different degrees of resistance were selected for detailed study. All four were found to be resistant to the hemoglobin-inducing effect of butyrate, suggesting that the two aspects of butyrate response, restriction of growth and induction of hemoglobin synthesis, are coupled. Further, after (5 days) culture with butyrate, two of the four variants exhibit less acetylation of H3 and H4 histones than does the butyrate-treated parent. Analysis of histone deacetylases from the variants indicated that each variant was distinct and that butyrate resistance may be accounted for by decreased affinity of the variant enzymes for butyrate, increased affinity of the enzymes for acetylated histone, or both. The fact that variants selected for resistance to growth inhibition by butyrate are also deficient in butyrate-induced hemoglobin synthesis and have abnormal histone deacetylase activity argues for butyrate inducing K562 cells to synthesize hemoglobin and restrict growth via histone acetylation.","['Ohlsson-Wilhelm, B M', 'Farley, B A', 'Kosciolek, B', 'La Bella, S', 'Rowley, P T']","['Ohlsson-Wilhelm BM', 'Farley BA', 'Kosciolek B', 'La Bella S', 'Rowley PT']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hum Genet,American journal of human genetics,0370475,"['0 (Benzidines)', '0 (Butyrates)', '0 (Hemoglobins)', '0 (Histones)', '107-92-6 (Butyric Acid)', '2X02101HVF (benzidine)', 'EC 3.5.1.98 (Histone Deacetylases)', 'VC2W18DGKR (Thymidine)']",IM,"['Acetylation', 'Benzidines/pharmacology', 'Butyrates/*pharmacology', 'Butyric Acid', 'Cell Division/*drug effects', 'Electrophoresis, Polyacrylamide Gel', 'Hemoglobins/biosynthesis', 'Histone Deacetylases/metabolism', 'Histones/analysis/*metabolism', 'Humans', 'Leukemia, Erythroblastic, Acute/analysis/*metabolism', 'Thymidine/pharmacology']",1984/11/01 00:00,1984/11/01 00:01,['1984/11/01 00:00'],"['1984/11/01 00:00 [pubmed]', '1984/11/01 00:01 [medline]', '1984/11/01 00:00 [entrez]']",,ppublish,Am J Hum Genet. 1984 Nov;36(6):1225-38.,,PMC1684660,,,,,
6595936,NLM,MEDLINE,19850221,20110728,0001-5806 (Print) 0001-5806 (Linking),47,6,1984 Sep,A case of acute myelomonocytic leukemia terminating in malignant histiocytosis.,1337-43,,"['Shimazaki, C', 'Tsuji, H', 'Nakanishi, S', 'Nishio, A', 'Haruyama, H', 'Isemura, T', 'Nakagawa, M', 'Ijichi, H']","['Shimazaki C', 'Tsuji H', 'Nakanishi S', 'Nishio A', 'Haruyama H', 'Isemura T', 'Nakagawa M', 'Ijichi H']",['eng'],"['Case Reports', 'Journal Article']",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,,IM,"['Adult', 'Female', 'Humans', 'Leukemia, Monocytic, Acute/*complications', 'Leukemia, Myeloid, Acute/*complications', 'Lymphatic Diseases/*etiology']",1984/09/01 00:00,1984/09/01 00:01,['1984/09/01 00:00'],"['1984/09/01 00:00 [pubmed]', '1984/09/01 00:01 [medline]', '1984/09/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1984 Sep;47(6):1337-43.,,,,,,,
6595935,NLM,MEDLINE,19850221,20171116,0001-5806 (Print) 0001-5806 (Linking),47,6,1984 Sep,Treatment of acute non-lymphocytic leukemia with DCMP intensive chemotherapy.,1330-6,,"['Chen, P M', 'Chiou, T J', 'Chiu, C F', 'Tzeng, C H', 'Chiang, B N']","['Chen PM', 'Chiou TJ', 'Chiu CF', 'Tzeng CH', 'Chiang BN']",['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['04079A1RDZ (Cytarabine)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'ZS7284E0ZP (Daunorubicin)', 'DCMP protocol']",IM,"['Adolescent', 'Adult', '*Antineoplastic Combined Chemotherapy Protocols', 'Cytarabine/therapeutic use', 'Daunorubicin/therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/mortality', 'Male', 'Mercaptopurine/therapeutic use', 'Middle Aged', 'Prednisolone/therapeutic use']",1984/09/01 00:00,1984/09/01 00:01,['1984/09/01 00:00'],"['1984/09/01 00:00 [pubmed]', '1984/09/01 00:01 [medline]', '1984/09/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1984 Sep;47(6):1330-6.,,,,,,,
6595934,NLM,MEDLINE,19850221,20110728,0001-5806 (Print) 0001-5806 (Linking),47,6,1984 Sep,Granulocytic hemopoietic precursors in different stages of chronic myelogenous leukemia with special reference to combined cytogenetic and colony culture studies.,1302-21,,"['Sonoda, Y']",['Sonoda Y'],['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,['0 (Culture Media)'],IM,"['Adolescent', 'Adult', 'Aged', '*Chromosomes, Human, 21-22 and Y', 'Culture Media', 'Female', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', 'Placenta', 'Tumor Stem Cell Assay']",1984/09/01 00:00,1984/09/01 00:01,['1984/09/01 00:00'],"['1984/09/01 00:00 [pubmed]', '1984/09/01 00:01 [medline]', '1984/09/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1984 Sep;47(6):1302-21.,,,,,,,
6595933,NLM,MEDLINE,19850221,20131121,0001-5806 (Print) 0001-5806 (Linking),47,6,1984 Sep,Cyclic oscillations of blood cells and serum biochemical data in a patient with chronic myeloid leukemia.,1293-301,,"['Hamajima, N', 'Yamada, H', 'Hotta, T', 'Yamao, K', 'Aoki, K']","['Hamajima N', 'Yamada H', 'Hotta T', 'Yamao K', 'Aoki K']",['eng'],"['Case Reports', 'Journal Article']",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['268B43MJ25 (Uric Acid)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)', 'EC 2.6.1.1 (Aspartate Aminotransferases)', 'EC 2.6.1.2 (Alanine Transaminase)']",IM,"['Alanine Transaminase/blood', 'Aspartate Aminotransferases/blood', 'Humans', 'L-Lactate Dehydrogenase/blood', 'Leukemia, Myeloid/*blood', 'Leukocyte Count', 'Male', 'Middle Aged', 'Platelet Count', 'Uric Acid/blood']",1984/09/01 00:00,1984/09/01 00:01,['1984/09/01 00:00'],"['1984/09/01 00:00 [pubmed]', '1984/09/01 00:01 [medline]', '1984/09/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1984 Sep;47(6):1293-301.,,,,,,,
6595932,NLM,MEDLINE,19850221,20151119,0001-5806 (Print) 0001-5806 (Linking),47,6,1984 Sep,In vitro effect of diazepam and prednisolone on leukemic cells from acute lymphoid leukemia cases.,1287-92,,"['Sasaki, R', 'Takaku, F', 'Miura, Y']","['Sasaki R', 'Takaku F', 'Miura Y']",['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['5J49Q6B70F (Vincristine)', '9PHQ9Y1OLM (Prednisolone)', 'Q3JTX2Q7TU (Diazepam)']",IM,"['Cells, Cultured', 'Diazepam/*therapeutic use', 'Humans', 'Leukemia, Lymphoid/*drug therapy/pathology', 'Neoplastic Stem Cells/*drug effects', 'Prednisolone/therapeutic use', 'Stem Cells/*drug effects', 'Vincristine/therapeutic use']",1984/09/01 00:00,1984/09/01 00:01,['1984/09/01 00:00'],"['1984/09/01 00:00 [pubmed]', '1984/09/01 00:01 [medline]', '1984/09/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1984 Sep;47(6):1287-92.,,,,,,,
6595931,NLM,MEDLINE,19850221,20131121,0001-5806 (Print) 0001-5806 (Linking),47,6,1984 Sep,Effect of combination therapy of specific active immunization and aclacinomycin-A on murine myeloid leukemia.,1280-6,,"['Nara, N', 'Jinnai, I', 'Bessho, M', 'Hirashima, K']","['Nara N', 'Jinnai I', 'Bessho M', 'Hirashima K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['0 (Naphthacenes)', '74KXF8I502 (Aclarubicin)']",IM,"['Aclarubicin', 'Animals', 'Cells, Cultured', 'Combined Modality Therapy', '*Immunization', 'Leukemia, Experimental/*therapy', 'Leukemia, Myeloid/mortality/therapy', 'Mice', 'Naphthacenes/therapeutic use', 'Neoplastic Stem Cells', 'Spleen/cytology', 'Splenectomy']",1984/09/01 00:00,1984/09/01 00:01,['1984/09/01 00:00'],"['1984/09/01 00:00 [pubmed]', '1984/09/01 00:01 [medline]', '1984/09/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1984 Sep;47(6):1280-6.,,,,,,,
6595930,NLM,MEDLINE,19850221,20151119,0001-5806 (Print) 0001-5806 (Linking),47,6,1984 Sep,Assay conditions of glucocorticoid receptors in human leukemic cells.,1273-9,,"['Lin, S F', 'Sasaki, R', 'Aoki, T', 'Takaku, F', 'Miura, Y', 'Saito, T', 'Kubonishi, I']","['Lin SF', 'Sasaki R', 'Aoki T', 'Takaku F', 'Miura Y', 'Saito T', 'Kubonishi I']",['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['0 (Receptors, Glucocorticoid)', '0 (Receptors, Steroid)', '5J49Q6B70F (Vincristine)', '7S5I7G3JQL (Dexamethasone)', '9PHQ9Y1OLM (Prednisolone)']",IM,"['Dexamethasone/metabolism', 'Humans', 'Leukemia, Lymphoid/drug therapy/*pathology', 'Neoplastic Stem Cells/*analysis', 'Prednisolone/therapeutic use', 'Receptors, Glucocorticoid/*analysis/metabolism', 'Receptors, Steroid/*analysis', 'Stem Cells/*analysis', 'Vincristine/therapeutic use']",1984/09/01 00:00,1984/09/01 00:01,['1984/09/01 00:00'],"['1984/09/01 00:00 [pubmed]', '1984/09/01 00:01 [medline]', '1984/09/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1984 Sep;47(6):1273-9.,,,,,,,
6595929,NLM,MEDLINE,19850125,20110728,0001-5806 (Print) 0001-5806 (Linking),47,5,1984 Aug,[Chromosomal finding as a predictive parameter of splenectomy after acute crisis in patients with Ph1-positive chronic myeloid leukemia].,1194-6,,"['Sadamori, N', 'Ichimaru, M', 'Sandberg, A A']","['Sadamori N', 'Ichimaru M', 'Sandberg AA']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,,IM,"['*Chromosomes, Human, 21-22 and Y', 'Humans', 'Leukemia, Myeloid/*genetics/pathology/therapy', 'Prognosis', '*Splenectomy']",1984/08/01 00:00,1984/08/01 00:01,['1984/08/01 00:00'],"['1984/08/01 00:00 [pubmed]', '1984/08/01 00:01 [medline]', '1984/08/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1984 Aug;47(5):1194-6.,,,,,,,
