PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CI,RF,EIN,TT,PMC,CIN,CON,DEP,SI,CN,RIN,MID,OID,GN,PS,FPS,OTO,OT,OAB,OABL
11712759,NLM,MEDLINE,20020404,20190921,1046-7408 (Print) 1046-7408 (Linking),46,5,2001 Nov,Increased natural killer-cell activity is associated with infertile women.,318-22,"PROBLEM: An increase in natural killer (NK)-cell activity has been observed in women with unexplained recurrent miscarriages. Because of the many similarities between infertility and early pregnancy loss patients, we investigated whether infertile women had raised NK-cell activity. METHOD OF STUDY: We tested 94 infertile women who, in spite of treatment, were unable to conceive for 6 or more months. NK-cell activity was measured by using a chromium-51 release cytotoxicity assay. with K562 human myeloid leukemia cells as targets. RESULTS: NK-cell activity of the infertile group (mean +/- SD; 40.2%+/-14.7) was significantly higher than the control group (31.5%+/-11.9, P < 0.0001). The increased NK-cell activity was not associated with age, infertile duration, depression scores, treated hyperprolactinemia, or treated endometriosis. CONCLUSIONS: In certain patients, elevated NK-cell activity may be considered an independent risk factor for infertility.","['Matsubayashi, H', 'Hosaka, T', 'Sugiyama, Y', 'Suzuki, T', 'Arai, T', 'Kondo, A', 'Sugi, T', 'Izumi, S', 'Makino, T']","['Matsubayashi H', 'Hosaka T', 'Sugiyama Y', 'Suzuki T', 'Arai T', 'Kondo A', 'Sugi T', 'Izumi S', 'Makino T']","['Department of Obstetrics and Gynecology, Center for Growth and Reproductive Medicine, Tokai University School of Medicine, Kanagawa, Japan. hide-m@is.icc.u-tokai.ac.jp']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Denmark,Am J Reprod Immunol,"American journal of reproductive immunology (New York, N.Y. : 1989)",8912860,,IM,"['Abortion, Spontaneous/etiology', 'Adult', 'Endometriosis/immunology', 'Female', 'Humans', 'Infertility, Female/*etiology/immunology', 'Killer Cells, Natural/*immunology', 'Pregnancy', 'Stress, Physiological/immunology']",2001/11/20 10:00,2002/04/18 10:01,['2001/11/20 10:00'],"['2001/11/20 10:00 [pubmed]', '2002/04/18 10:01 [medline]', '2001/11/20 10:00 [entrez]']",['10.1034/j.1600-0897.2001.d01-18.x [doi]'],ppublish,Am J Reprod Immunol. 2001 Nov;46(5):318-22. doi: 10.1034/j.1600-0897.2001.d01-18.x.,,,,,,,,,,,,,,,,,,,,
11712683,NLM,MEDLINE,20011210,20061115,0028-2685 (Print) 0028-2685 (Linking),48,4,2001,Hematopoietic stem cell transplantation in children with hematological malignancies across HLA barriers--reasonable alternative?,302-6,"The aim of this study was to evaluate the efficiency and risks of T-cell depletion in prevention of graft versus host disease (GVHD) using HLA haploidentical family donors as an alternative source of hematopoietic stem cells (HSC) in children with hematological malignancies without suitable matched donor. Ten children, median age 12 years (range, 3-17), were transplanted from haploidentical family donors for acute lymphoblastic leukemia (n = 4), acute myelogenous leukemia (n=2), chronic myelogenous leukemia (n = 2), non-Hodgkin lymphoma (n = 1) and myelodysplastic syndrome (n = 1). Parents were donors for nine, sibling for one patient. T-cell depletion of HSC was performed using CellPro followed by antiCD2/CD3 depletion in 7, and CliniMacs magnetic sorting in 3 grafts. Primary engraftment was achieved in nine patients. Patient with graft failure was successfully re-grafted. Primary acute GVHD was diagnosed in one patient who got higher amount of T-cells in the graft. Secondary GVHD was induced by add-backs of lymphocytes in four patients. Three patients developed chronic GVHD. Four patients died due to transplant related mortality (40%), one from veno-occlusive disease, two due to CMV pneumonia and one of aspergillosis with extensive chronic GVHD. Four patients relapsed with leukemia within 35-98 days post transplant, three without previous signs of GVHD, and all died. Two patients are alive and well 26 and 42 months after transplant. Haploidentical family donors appear to be a reasonable alternative option for patients with urgent indications for allogeneic transplant and/or without a matched donor.","['Sedlacek, P', 'Stary, J', 'Vodvakova, S', 'Polouckova, A', 'Gasova, Z', 'Marinov, I', 'Formankova, R']","['Sedlacek P', 'Stary J', 'Vodvakova S', 'Polouckova A', 'Gasova Z', 'Marinov I', 'Formankova R']","['2nd Dept. of Pediatrics, Univ. Hospital Motol, Prague, Czech Republic. petr.sedlacek@lfmotol.cuni.cz']",['eng'],,"['Case Reports', 'Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Slovakia,Neoplasma,Neoplasma,0377266,['0 (HLA Antigens)'],IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Graft vs Host Disease/prevention & control', 'HLA Antigens/immunology', 'Hematologic Neoplasms/mortality/*therapy', '*Hematopoietic Stem Cell Transplantation/mortality', '*Histocompatibility', 'Humans', '*Lymphocyte Depletion', 'Male', 'T-Lymphocytes/immunology', 'Tissue Donors', 'Transplantation, Homologous', 'Treatment Outcome']",2001/11/20 10:00,2002/01/05 10:01,['2001/11/20 10:00'],"['2001/11/20 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/20 10:00 [entrez]']",,ppublish,Neoplasma. 2001;48(4):302-6.,,,,,,,,,,,,,,,,,,,,
11712681,NLM,MEDLINE,20011210,20071115,0028-2685 (Print) 0028-2685 (Linking),48,4,2001,P53 protein expression in human leukemia and lymphoma cells.,290-8,"The purpose of this study was to determine the value of p53 protein overexpression in human leukemia and lymphoma cells. We examined PB and/or BM samples on a series of 111 patients with immunophenotypically defined hematological malignancies at diagnosis, in remission and in relapsed disease comparing to 20 control samples of healthy individuals. p53 protein has been studied by flow cytometry using three monoclonal antibodies specific for epitopes on N-terminus (Bp53-12, DO-1) and central region (DO-11) of p53 protein. Our findigs showed, that p53 expression may contribute to phenotype of leukemic cells and that overexpression of this protein is often associated with progression of disease. All samples of early B-ALL patients and samples of patients with immunophenotypically defined T- cell disorders examined at diagnosis of disease were p53 positive. Eleven of 19 patient samples from AML at diagnosis showed also increased expression of p53 protein. The cells of all patients who responded to therapy with complete immunophenotypically defined remission were p53 negative. Relapsed T-, B- ALL and AML develop p53 alteration. We reported positive p53 expression in cells of patients with advanced stages of CLL in comparison to them with initial stage of disease at examination. As well as in the group of B- cell lymphomas only samples of patients with generalized FCC lymphoma at diagnosis were p53 positive. We detected p53 positive cells in immunologically defined myeloid blast crisis of CML opposite to p53 negativity in chronic phase of disease. The finding of p53 positive BM cells without immunophenotypic blast markers in two of followed cases documented the contributing value of p53 detection in their characterization. On the basis of above findings we conclude, that cytofluorometric determination of p53 expression may contribute to the better definition of leukemic phenotype. Loss of the normal p53 function may be important in the genesis of some leukemias. Elucidation of the mechanisms of p53 inactivation needs some more study.","['Konikova, E', 'Kusenda, J']","['Konikova E', 'Kusenda J']","['Cancer Research Institute, Slovak Academy of Sciences, Bratislava, Slovak Republic. exonneo@savba.sk']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Slovakia,Neoplasma,Neoplasma,0377266,"['0 (Antibodies, Monoclonal)', '0 (Tumor Suppressor Protein p53)']",IM,"['Acute Disease', 'Antibodies, Monoclonal/immunology', 'Bone Marrow Cells/pathology', 'Flow Cytometry', 'Humans', 'Immunophenotyping', 'Leukemia/blood/diagnosis/*metabolism', 'Leukemia, B-Cell/diagnosis/metabolism', 'Leukemia, Hairy Cell/diagnosis/metabolism', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/metabolism', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/metabolism', 'Leukemia, Myeloid/diagnosis/metabolism', 'Leukemia, T-Cell/diagnosis/metabolism', 'Lymphoma, B-Cell/blood/diagnosis/*metabolism', 'Neoplasm Recurrence, Local', 'Paraproteinemias/diagnosis/metabolism', 'Tumor Cells, Cultured', 'Tumor Suppressor Protein p53/immunology/*metabolism']",2001/11/20 10:00,2002/01/05 10:01,['2001/11/20 10:00'],"['2001/11/20 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/20 10:00 [entrez]']",,ppublish,Neoplasma. 2001;48(4):290-8.,,,,,,,,,,,,,,,,,,,,
11712680,NLM,MEDLINE,20011210,20131121,0028-2685 (Print) 0028-2685 (Linking),48,4,2001,Estimation of changes in vimentin filaments induced by etoposide and doxorubicin in human leukemia cell line K-562 by using immunofluorescence microscopy.,285-9,"This study was undertaken to examine the influence of etoposide and doxorubicin on the distribution of vimentin in cells of human leukemia cell line K-562 by using immunofluorescence microscopy. The cells were cultured with 5 different doses of etoposide: 0.02, 0.2, 2, 20, 200 microM/l and three doses of doxorubicin: 0.5, 5, 10 microM/l. Changes in vimentin filaments were dependent on concentration of drugs compared to untreated control cells. Cells treated with 20 microM/l, especially with 200 microM/l etoposide were much bigger from other cells exposed to lower doses of etoposide and control cells, and their number decreased. In most control cells vimentin was seen as a ring with the increased concentration on one pole of the cells. In 20 microM/l and 200 microM/l etoposide the cells showed rather a diffuse cytoplasmic staining pattern. Vimentin filaments were organized as a dense network in cytoplasm of these cells. Immunofluorescence studies on K-562 cells treated with doxorubicin showed that cells incubated with 5 microM/l doxorubicin have much diffuse staining pattern of vimentin with delicate reticular structure and with intense staining near one pool of the cells. Addition of 10 microM/l doxorubicin to cells resulted in increasing of fluorescence staining, which appeared in the cells as enough dense network with intense staining rather in the centre of the cell.","['Grzanka, A']",['Grzanka A'],"['Department of Clinical Pathomorphology, University School of Medical Sciences, Bydgoszcz, Poland. grzanka@ab.byd.edu.pl']",['eng'],,['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,"['0 (Antineoplastic Agents)', '0 (Vimentin)', '6PLQ3CP4P3 (Etoposide)', '80168379AG (Doxorubicin)']",IM,"['Antineoplastic Agents/*pharmacology', 'Dose-Response Relationship, Drug', 'Doxorubicin/*pharmacology', 'Etoposide/*pharmacology', 'Humans', 'Intermediate Filaments/*drug effects/ultrastructure', 'K562 Cells', 'Leukemia/*pathology', 'Microscopy, Fluorescence', 'Vimentin/immunology/*metabolism']",2001/11/20 10:00,2002/01/05 10:01,['2001/11/20 10:00'],"['2001/11/20 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/20 10:00 [entrez]']",,ppublish,Neoplasma. 2001;48(4):285-9.,,,,,,,,,,,,,,,,,,,,
11712543,NLM,MEDLINE,20011205,20191210,1526-9655 (Print) 1526-9655 (Linking),2,1,2001 Jun,"37th Annual American Society of Clinical Oncology Meeting. San Francisco, CA. May 12-15, 2001.",11-7,,"[""D'Orazio, A I""]","[""D'Orazio AI""]",,['eng'],,['Congress'],United States,Clin Lymphoma,Clinical lymphoma,100898741,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antigens, CD)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Antineoplastic Agents)', '0 (CD22 protein, human)', '0 (Cell Adhesion Molecules)', '0 (Immunosuppressive Agents)', '0 (Immunotoxins)', '0 (Lectins)', '0 (Sialic Acid Binding Ig-like Lectin 2)', '11056-06-7 (Bleomycin)', '4F4X42SYQ6 (Rituximab)', '4Z8R6ORS6L (Thalidomide)', '5V9KLZ54CY (Vinblastine)', '6PLQ3CP4P3 (Etoposide)', '7GR28W0FJI (Dacarbazine)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', 'K1KT5M40JC (tositumomab I-131)', 'ABVD protocol']",IM,"['Antibodies, Monoclonal/*therapeutic use', 'Antibodies, Monoclonal, Murine-Derived', 'Antigens, CD', 'Antigens, Differentiation, B-Lymphocyte', 'Antineoplastic Agents/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use', 'Bleomycin/administration & dosage', '*Cell Adhesion Molecules', 'Cyclophosphamide/administration & dosage', 'Dacarbazine/administration & dosage', 'Doxorubicin/administration & dosage', 'Etoposide/administration & dosage', 'Hodgkin Disease/*drug therapy', 'Humans', 'Immunosuppressive Agents/*therapeutic use', 'Immunotoxins/therapeutic use', '*Lectins', 'Leukemia, Hairy Cell/*drug therapy', 'Lymphoma, Non-Hodgkin/*drug therapy', 'Multiple Myeloma/*drug therapy', 'Rituximab', 'Sialic Acid Binding Ig-like Lectin 2', 'Thalidomide/*therapeutic use', 'Vinblastine/administration & dosage']",2001/11/20 10:00,2002/01/05 10:01,['2001/11/20 10:00'],"['2001/11/20 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/20 10:00 [entrez]']","['S1526-9655(11)70123-3 [pii]', '10.1016/s1526-9655(11)70123-3 [doi]']",ppublish,Clin Lymphoma. 2001 Jun;2(1):11-7. doi: 10.1016/s1526-9655(11)70123-3.,,,,,,,,,,,,,,,,,,,,
11712323,NLM,MEDLINE,20011213,20141120,0015-5616 (Print) 0015-5616 (Linking),42,1-2,2001,[Activity of neurohormonal hypothalamus-adrenal cortex axis in the course of transplantable mouse leukemia L1210].,33-43,"The activity of the neurohormonal hypothalamus-adrenal cortex axis in the course of transplantable mouse leukemia L1210 was investigated. The secretory activity of the arcuate nucleus producing CRF, the fascicular zone of adrenal cortex secreting glicocorticosteroids and nucleus supraopticus hypothalami producing vasopressin was estimated with the karyometric method. Four groups of mice killed in various stages of cancerous process's advance were used. It was demonstrated that rapidly developing cancer is a considerable stress, which is proved by the increase in the neurohormonal axis activity in comparison to the control groups. The activity of the hypothalamo-adrenal axis was typical for a stress reaction: a two-phase process with a considerable increase in activity in the introductory phase of the developing leukemia and a visible decrease in the last phase, typical for an unspecific reaction, where no more effective mobilization for adaptation and activation of mechanisms is possible. The production of vasopressin has similar progress to other glands investigated, which suggests its stimulating influence on activation of the pituitary-adrenal axis. The statistical analysis of karyometric measurements was carried out by the Student's t test.","['Wilinski, B']",['Wilinski B'],"['Katedra Biologii Collegium Medicum UJ ul. Kopernika 7, 31-034 Krakow.']",['pol'],,"['English Abstract', 'Journal Article']",Poland,Folia Med Cracov,Folia medica Cracoviensia,0374617,"['0 (Glucocorticoids)', '0 (Neuropeptides)', '11000-17-2 (Vasopressins)', '9015-71-8 (Corticotropin-Releasing Hormone)']",IM,"['Adrenal Cortex/*metabolism', 'Animals', 'Arcuate Nucleus of Hypothalamus/metabolism', 'Corticotropin-Releasing Hormone/metabolism', 'Glucocorticoids/metabolism', 'Hypothalamus/*metabolism', 'Leukemia L1210/*metabolism', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Neuropeptides/*metabolism', 'Vasopressins/metabolism']",2001/11/20 10:00,2002/01/05 10:01,['2001/11/20 10:00'],"['2001/11/20 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/20 10:00 [entrez]']",,ppublish,Folia Med Cracov. 2001;42(1-2):33-43.,,,,Aktywnosc osi neurohormonalnej podwzgorze-kora nadnerczy w przebiegu przeszczepialnej bialaczki mysiej L1210.,,,,,,,,,,,,,,,,
11712208,NLM,MEDLINE,20011207,20161209,0755-4982 (Print) 0755-4982 (Linking),30,30,2001 Oct 20,[Progressive multifocal leucoencephalopathy in a patient with chronic lymphoid leukemia].,1498-9,,"['Alla, P', 'de Jaureguiberry, J P', 'Gisserot, O', 'Valance, J', 'Jaubert, D']","['Alla P', 'de Jaureguiberry JP', 'Gisserot O', 'Valance J', 'Jaubert D']",,['fre'],,"['Case Reports', 'Letter']",France,Presse Med,"Presse medicale (Paris, France : 1983)",8302490,,IM,"['Brain/diagnostic imaging', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications', 'Leukoencephalopathy, Progressive Multifocal/*diagnosis/diagnostic imaging', 'Magnetic Resonance Imaging', 'Male', 'Middle Aged', 'Tomography, X-Ray Computed']",2001/11/20 10:00,2002/01/05 10:01,['2001/11/20 10:00'],"['2001/11/20 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/20 10:00 [entrez]']",,ppublish,Presse Med. 2001 Oct 20;30(30):1498-9.,,,,Leuco-encephalopathie multifocale progressive au cours d'une leucemie lymphoide chronique.,,,,,,,,,,,,,,,,
11712070,NLM,MEDLINE,20011220,20190709,0190-9622 (Print) 0190-9622 (Linking),45,6 Suppl,2001 Dec,Langerhans cell histiocytosis in a child while in remission for acute lymphocytic leukemia.,S233-4,"The occurrence of Langerhans cell histiocytosis (LCH) and malignancy in the same patient is rare. When LCH occurs concomitantly with acute leukemia, distinct temporal patterns often exist; acute myelogenous leukemia (AML) typically succeeds LCH, whereas acute lymphocytic leukemia (ALL) usually precedes it. We report a case of LCH developing in a child while in remission for ALL. Unique features of this case include the disseminated nature of the LCH and the death of the patient from LCH rather than ALL.","['Chiles, L R', 'Christian, M M', 'McCoy, D K', 'Hawkins, H K', 'Yen, A H', 'Raimer, S S']","['Chiles LR', 'Christian MM', 'McCoy DK', 'Hawkins HK', 'Yen AH', 'Raimer SS']","['Department of Dermatology, The University Texas Medical Branch at Galveston, 77555-0783, USA.']",['eng'],,"['Case Reports', 'Journal Article']",United States,J Am Acad Dermatol,Journal of the American Academy of Dermatology,7907132,,IM,"['Back', 'Child, Preschool', 'Diagnosis, Differential', 'Fatal Outcome', 'Histiocytosis, Langerhans-Cell/complications/*diagnosis/pathology', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications', 'Skin Diseases/complications/*diagnosis/pathology']",2001/11/17 10:00,2002/01/05 10:01,['2001/11/17 10:00'],"['2001/11/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/17 10:00 [entrez]']","['S0190-9622(01)74254-5 [pii]', '10.1067/mjd.2001.104964 [doi]']",ppublish,J Am Acad Dermatol. 2001 Dec;45(6 Suppl):S233-4. doi: 10.1067/mjd.2001.104964.,,,,,,,,,,,,,,,,,,,,
11712035,NLM,MEDLINE,20011228,20071115,0190-9622 (Print) 0190-9622 (Linking),45,6,2001 Dec,Pruritus of unknown origin: a retrospective study.,892-6,"BACKGROUND: Pruritus of unknown origin is a common complaint, and systemic causes must be considered. However, there is little data on how frequently systemic causes are responsible or whether any patient characteristics make a systemic cause more likely. OBJECTIVE: We attempted to determine how frequently pruritus of unknown origin had a systemic etiology in an outpatient population seen in a university dermatology department and whether any patient characteristics made a systemic explanation more likely. METHODS: This is a retrospective study using chart reviews and telephone interviews to collect data. RESULTS: Of 50 patients, 11 had a systemic cause of pruritus. Pruritus was the initial symptom of systemic disease in 7 of these patients. No patient characteristics were statistically associated with systemic causes of pruritus. CONCLUSION: Pruritus of unknown origin was the initial symptom of a systemic disease in 7 of 50 patients presenting to a dermatology clinic with this complaint. The underlying diseases included hypothyroidism, gastric adenocarcinoma, hepatitis C, HIV, laryngeal carcinoma, graft-versus-host disease, and chronic lymphocytic leukemia.","['Zirwas, M J', 'Seraly, M P']","['Zirwas MJ', 'Seraly MP']","['Department of Dermatology, University of Pittsburgh Medical Center, Pennsylvania, USA.']",['eng'],,['Journal Article'],United States,J Am Acad Dermatol,Journal of the American Academy of Dermatology,7907132,,IM,"['Adenocarcinoma/complications', 'Adult', 'Aged', 'Aged, 80 and over', 'Female', 'Graft vs Host Disease/complications', 'Hepatitis C', 'Humans', 'Hypothyroidism/complications', 'Laryngeal Neoplasms/complications', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications', 'Male', 'Middle Aged', 'Pruritus/*etiology', 'Retrospective Studies', 'Stomach Neoplasms/complications']",2001/11/17 10:00,2002/01/05 10:01,['2001/11/17 10:00'],"['2001/11/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/17 10:00 [entrez]']","['S0190-9622(01)84612-0 [pii]', '10.1067/mjd.2001.117732 [doi]']",ppublish,J Am Acad Dermatol. 2001 Dec;45(6):892-6. doi: 10.1067/mjd.2001.117732.,,,,,,,,,,,,,,,,,,,,
11711678,NLM,MEDLINE,20020205,20201222,0036-8075 (Print) 0036-8075 (Linking),294,5546,2001 Nov 16,Tumor therapy with targeted atomic nanogenerators.,1537-40,"A single, high linear energy transfer alpha particle can kill a target cell. We have developed methods to target molecular-sized generators of alpha-emitting isotope cascades to the inside of cancer cells using actinium-225 coupled to internalizing monoclonal antibodies. In vitro, these constructs specifically killed leukemia, lymphoma, breast, ovarian, neuroblastoma, and prostate cancer cells at becquerel (picocurie) levels. Injection of single doses of the constructs at kilobecquerel (nanocurie) levels into mice bearing solid prostate carcinoma or disseminated human lymphoma induced tumor regression and prolonged survival, without toxicity, in a substantial fraction of animals. Nanogenerators targeting a wide variety of cancers may be possible.","['McDevitt, M R', 'Ma, D', 'Lai, L T', 'Simon, J', 'Borchardt, P', 'Frank, R K', 'Wu, K', 'Pellegrini, V', 'Curcio, M J', 'Miederer, M', 'Bander, N H', 'Scheinberg, D A']","['McDevitt MR', 'Ma D', 'Lai LT', 'Simon J', 'Borchardt P', 'Frank RK', 'Wu K', 'Pellegrini V', 'Curcio MJ', 'Miederer M', 'Bander NH', 'Scheinberg DA']","['Molecular Pharmacology and Therapeutics Program, Memorial Sloan-Kettering Cancer Center, 1275 York Avenue, New York, NY 10021, USA.']",['eng'],"['P01 33049/PHS HHS/United States', 'R01 CA55349/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Science,"Science (New York, N.Y.)",0404511,"['0 (Antibodies, Monoclonal)', '0 (Heterocyclic Compounds, 1-Ring)', '0 (Immunoconjugates)', '1HTE449DGZ (1,4,7,10-tetraazacyclododecane- 1,4,7,10-tetraacetic acid)', 'EC 3.4.21.77 (Prostate-Specific Antigen)', 'NIK1K0956U (Actinium)']",IM,"['Actinium/administration & dosage/pharmacokinetics/*therapeutic use', 'Alpha Particles/therapeutic use', 'Animals', 'Antibodies, Monoclonal/administration & dosage/therapeutic use', 'Female', 'Half-Life', 'Heterocyclic Compounds, 1-Ring', 'Humans', 'Immunoconjugates/administration & dosage/pharmacokinetics/*therapeutic use', 'Linear Energy Transfer', 'Lymphoma/radiotherapy', 'Male', 'Mice', 'Mice, Nude', 'Neoplasm Transplantation', 'Neoplasms/*radiotherapy', 'Prostate-Specific Antigen/blood', 'Prostatic Neoplasms/radiotherapy', 'Radioimmunotherapy/*methods', 'Survival Rate', 'Tumor Cells, Cultured']",2001/11/17 10:00,2002/02/06 10:01,['2001/11/17 10:00'],"['2001/11/17 10:00 [pubmed]', '2002/02/06 10:01 [medline]', '2001/11/17 10:00 [entrez]']","['10.1126/science.1064126 [doi]', '294/5546/1537 [pii]']",ppublish,Science. 2001 Nov 16;294(5546):1537-40. doi: 10.1126/science.1064126.,,,,,,,,,,,,,,,,,,,,
11711634,NLM,MEDLINE,20011213,20181221,0022-538X (Print) 0022-538X (Linking),75,24,2001 Dec,A unique heparin-binding domain in the envelope protein of the neuropathogenic PVC-211 murine leukemia virus may contribute to its brain capillary endothelial cell tropism.,12439-45,"Previous studies from our laboratory demonstrated that PVC-211 murine leukemia virus (MuLV), a neuropathogenic variant of Friend MuLV (F-MuLV), had undergone genetic changes which allowed it to efficiently infect rat brain capillary endothelial cells (BCEC) in vivo and in vitro. Two amino acid changes from F-MuLV in the putative receptor binding domain (RBD) of the envelope surface protein of PVC-211 MuLV (Glu-116 to Gly and Glu-129 to Lys) were shown to be sufficient for conferring BCEC tropism on PVC-211 MuLV. Recent examination of the unique RBD of PVC-211 MuLV revealed that the substitution of Lys for Glu at position 129 created a new heparin-binding domain that overlapped a heparin-binding domain common to ecotropic MuLVs. In this study we used heparin-Sepharose columns to demonstrate that PVC-211 MuLV, but not F-MuLV, can bind efficiently to heparin and that one or both of the amino acids in the RBD of PVC-211 MuLV that are associated with BCEC tropism are responsible. We further showed that heparin can enhance or inhibit MuLV infection and that the mode of action is dependent on heparin concentration, sulfation of heparin, and the affinity of the virus for heparin. Our results suggest that the amino acid changes that occurred in the envelope surface protein of PVC-211 MuLV may allow the virus to bind strongly to the surface of BCEC via heparin-like molecules, increasing the probability that the virus will bind to its cell surface receptor and efficiently infect these cells.","['Jinno-Oue, A', 'Oue, M', 'Ruscetti, S K']","['Jinno-Oue A', 'Oue M', 'Ruscetti SK']","['Basic Research Laboratory, National Cancer Institute-Frederick, Frederick, Maryland 21702-1201, USA.']",['eng'],,['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (Viral Envelope Proteins)', '9005-49-6 (Heparin)']",IM,"['Amino Acid Sequence', 'Animals', 'Binding Sites', 'Brain/*virology', 'Capillaries/virology', 'Endothelium, Vascular/*virology', 'Heparin/*metabolism/pharmacology', 'Leukemia Virus, Murine/drug effects/*physiology', 'Molecular Sequence Data', 'Rats', 'Viral Envelope Proteins/*chemistry/physiology']",2001/11/17 10:00,2002/01/05 10:01,['2001/11/17 10:00'],"['2001/11/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/17 10:00 [entrez]']",['10.1128/JVI.75.24.12439-12445.2001 [doi]'],ppublish,J Virol. 2001 Dec;75(24):12439-45. doi: 10.1128/JVI.75.24.12439-12445.2001.,,,,,PMC116140,,,,,,,,,,,,,,,
11711624,NLM,MEDLINE,20011213,20181113,0022-538X (Print) 0022-538X (Linking),75,24,2001 Dec,Small tumor virus genomes are integrated near nuclear matrix attachment regions in transformed cells.,12339-46,"More than 15% of human cancers have a viral etiology. In benign lesions induced by the small DNA tumor viruses, viral genomes are typically maintained extrachromosomally. Malignant progression is often associated with viral integration into host cell chromatin. To study the role of viral integration in tumorigenesis, we analyzed the positions of integrated viral genomes in tumors and tumor cell lines induced by the small oncogenic viruses, including the high-risk human papillomaviruses, hepatitis B virus, simian virus 40, and human T-cell leukemia virus type 1. We show that viral integrations in tumor cells lie near cellular sequences identified as nuclear matrix attachment regions (MARs), while integrations in nonneoplastic cells show no significant correlation with these regions. In mammalian cells, the nuclear matrix functions in gene expression and DNA replication. MARs play varied but poorly understood roles in eukaryotic gene expression. Our results suggest that integrated tumor virus genomes are subject to MAR-mediated transcriptional regulation, providing insight into mechanisms of viral carcinogenesis. Furthermore, the viral oncoproteins serve as invaluable tools for the study of mechanisms controlling cellular growth. Similarly, our demonstration that integrated viral genomes may be subject to MAR-mediated transcriptional effects should facilitate elucidation of fundamental mechanisms regulating eukaryotic gene expression.","['Shera, K A', 'Shera, C A', 'McDougall, J K']","['Shera KA', 'Shera CA', 'McDougall JK']","['Cancer Biology Program, Fred Hutchinson Cancer Research Center, Seattle, Washington 98109-1024, USA.']",['eng'],"['P01 CA042792/CA/NCI NIH HHS/United States', 'R01 DC003687/DC/NIDCD NIH HHS/United States', 'CA42792/CA/NCI NIH HHS/United States', 'DC03687/DC/NIDCD NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,,IM,"['*Attachment Sites, Microbiological', '*Cell Transformation, Neoplastic', 'Female', '*Genome, Viral', 'Human T-lymphotropic virus 1/genetics', 'Humans', 'Nuclear Matrix/*virology', 'Oncogenic Viruses/*genetics', 'Papillomaviridae', 'Proviruses/genetics', 'Simian virus 40/genetics', '*Virus Integration']",2001/11/17 10:00,2002/01/05 10:01,['2001/11/17 10:00'],"['2001/11/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/17 10:00 [entrez]']",['10.1128/JVI.75.24.12339-12346.2001 [doi]'],ppublish,J Virol. 2001 Dec;75(24):12339-46. doi: 10.1128/JVI.75.24.12339-12346.2001.,,,,,PMC116130,,,,,,,,,,,,,,,
