PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,RF,AB,AID,PMC,OID,OAB,OABL,OTO,OT,PS,FPS,GN
798543,NLM,MEDLINE,19770428,20131121,0003-5637 (Print) 0003-5637 (Linking),21,11,1976 Nov,"[Preliminary results of a cooperative clinical study of the new antitumor antibiotic, carminomycin].",1026-30,"['Borisov, V I', 'Lipatov, A M', 'Perevodchikova, N I', 'Alekseev, N A', 'Vygovskaia, Ia I']","['Borisov VI', 'Lipatov AM', 'Perevodchikova NI', 'Alekseev NA', 'Vygovskaia IaI']",['rus'],"['Case Reports', 'Clinical Trial', 'English Abstract', 'Journal Article']",Predvaritel'nye rezul'taty kooperirovannogo klinicheskogo izucheniia novogo protivoopukholevogo antibiotika karminomitsina,Russia (Federation),Antibiotiki,Antibiotiki,0375020,IM,"['Adolescent', '*Antibiotics, Antineoplastic/*therapeutic use', 'Carubicin/*therapeutic use/toxicity', 'Clinical Trials as Topic', 'Drug Evaluation', 'Humans', 'Leukemia/drug therapy', 'Male', 'Middle Aged', 'Neoplasms/drug therapy', 'Remission, Spontaneous', 'USSR']",1976/11/01 00:00,1976/11/01 00:01,['1976/11/01 00:00'],"['1976/11/01 00:00 [pubmed]', '1976/11/01 00:01 [medline]', '1976/11/01 00:00 [entrez]']",ppublish,Antibiotiki. 1976 Nov;21(11):1026-30.,"['0 (Antibiotics, Antineoplastic)', 'E7437K3983 (Carubicin)']",,"The clinical trials of karminomycin, a new Soviet antitumor antibiotic in treatment of different malignant tumors showed that the drug had a pronounced antitumor activity against the soft tissue sarcomas of various histogenesis, lympho- and reticulosarcoma, acute leukemia and some other neoplasms.",,,,,,,,,,
798433,NLM,MEDLINE,19770415,20211203,0044-2542 (Print) 0044-2542 (Linking),31,23,1976 Dec 1,[Reverse isolation of patients with blood diseases in a near germ-free environment].,971-5,"['Blaha, M', 'Merka, V', 'Vanasek, J', 'Hrncir, Z', 'Mazak, J', 'Siroky, O']","['Blaha M', 'Merka V', 'Vanasek J', 'Hrncir Z', 'Mazak J', 'Siroky O']",['ger'],['Journal Article'],Reverse Isolierung von Blutkranken im keimarmen Milieu,Germany,Z Gesamte Inn Med,Zeitschrift fur die gesamte innere Medizin und ihre Grenzgebiete,21730470R,IM,"['Asthma/therapy', 'Bacterial Infections/etiology/*prevention & control', 'Bone Marrow Cells', 'Bone Marrow Diseases/therapy', 'Bone Marrow Transplantation', 'Burns/complications', 'Disinfection/methods', 'Humans', 'Immunosuppression Therapy', 'Leukemia/complications', 'Patient Isolation/*methods', 'Patient Isolators']",1976/12/01 00:00,1976/12/01 00:01,['1976/12/01 00:00'],"['1976/12/01 00:00 [pubmed]', '1976/12/01 00:01 [medline]', '1976/12/01 00:00 [entrez]']",ppublish,Z Gesamte Inn Med. 1976 Dec 1;31(23):971-5.,,,"On the basis of literary data and own experiences the therapeutic method of the reversed isolation of the patients in the aseptic milieu is discussed. After introduction and historical review the working method with the system of reversed isolation (Life Island, Laminar Air Flow Unit) with the clinical results and perspective of a further use in practice is described. Own experiences confirm the literary data in the fact that the reversed isolation is unambiguously successful in the decrease of the number of infections in the immunologically weakened persons. Up to now the other questions cannot be answered definitely.",,,,,,,,,,
798364,NLM,MEDLINE,19770430,20171213,0300-8916 (Print) 0300-8916 (Linking),62,5,1976 Sep-Oct,Electron microscopic observations on T and B lymphocytes from spleens of syngeneic radiation chimaeras.,503-15,"['Rebessi, S', 'Di Caterino, B', 'Adorini, L', 'Covelli, V']","['Rebessi S', 'Di Caterino B', 'Adorini L', 'Covelli V']",['eng'],"['Comparative Study', 'Journal Article']",,United States,Tumori,Tumori,0111356,IM,"['Age Factors', 'Animals', 'B-Lymphocytes/*ultrastructure', 'Bone Marrow Cells', 'Bone Marrow Transplantation', 'Cell Separation', 'Cytoplasm/ultrastructure', 'Cytoskeleton/ultrastructure', 'Immunity, Cellular', 'Leukemia, Experimental/immunology', 'Lymphocytes/immunology', 'Male', 'Mice', 'Mice, Inbred C3H', 'Mice, Inbred C57BL', '*Radiation Chimera', 'Spleen/immunology/ultrastructure', 'T-Lymphocytes/*ultrastructure', 'Transplantation, Isogeneic']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Tumori. 1976 Sep-Oct;62(5):503-15.,,,"The ultrastructure of T and B lymphocytes has been examined in long-term syngeneic chimaeras and age-control mice. Spleen cell suspensions from these mice were passed through glass wool columns to obtain pure lymphocyte populations. These cells were then separated into T and B lymphocytes by nylon wool columns, and their purity was tested by cytotoxicity assays with anti-phi serum. Electron microscopic observations on such separated T and B lymphocytes did not reveal morphological differences except when the cells were fully differentiated, either as mature (T2) cells or plasmacells. In particular, T2 cells showed a very high cytoplasmic density, attributable to the presence of a larger number of microfilaments with respect to immature (T1) cells. In long-term chimaeras a significantly larger number of T2 cells was found as compared to age-control mice, and this morphological observation is correlated with the differences in immune reactivity and leukemia incidence previously described in these mice.",,,,,,,,,,
798285,NLM,MEDLINE,19770415,20150205,0582-8082 (Print),8,4,1975,Possible mechanisms of pathogenesis and acute transformation in chronic myeloid leukemia.,45-52,"['Pedersen, B']",['Pedersen B'],['eng'],"['Journal Article', 'Review']",,Denmark,Ser Haematol,Series haematologica (1968),101650673,IM,"['Cell Division', 'Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y', 'Clone Cells', 'Colony-Stimulating Factors', 'Granulocytes/immunology', 'Hematopoiesis', 'Hematopoietic Stem Cells', 'Humans', 'Hyperplasia', 'Leukemia, Myeloid/*etiology/genetics/immunology', 'Monocytes/immunology']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Ser Haematol. 1975;8(4):45-52.,['0 (Colony-Stimulating Factors)'],36,,,,,,,,,,,
798284,NLM,MEDLINE,19770415,20150205,0582-8082 (Print),8,4,1975,New approaches to the therapy of chronic granulocytic leukemia.,157-73,"['Spiers, A S']",['Spiers AS'],['eng'],['Journal Article'],,Denmark,Ser Haematol,Series haematologica (1968),101650673,IM,"['Aneuploidy', 'Antineoplastic Agents/*therapeutic use', 'Bone Marrow Cells', 'Bone Marrow Transplantation', 'Busulfan/adverse effects/*therapeutic use', 'Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y', 'Clone Cells', 'Drug Therapy, Combination', 'Granulocytes', 'Humans', 'Immunotherapy', 'Leukemia, Myeloid/genetics/mortality/*therapy', 'Prognosis', 'Splenectomy', 'Transplantation, Autologous']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Ser Haematol. 1975;8(4):157-73.,"['0 (Antineoplastic Agents)', 'G1LN9045DK (Busulfan)']",,,,,,,,,,,,
798283,NLM,MEDLINE,19770415,20150205,0582-8082 (Print),8,4,1975,Chronic myelogenous leukemia: a clinical and experimental evaluation of splenectomy and intensive chemotherapy.,143-56,"['Brodsky, I', 'Fuscaldo, K E', 'Kahn, S B', 'Conroy, J F', 'Lamping, C G']","['Brodsky I', 'Fuscaldo KE', 'Kahn SB', 'Conroy JF', 'Lamping CG']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,Denmark,Ser Haematol,Series haematologica (1968),101650673,IM,"['Adult', 'Antineoplastic Agents/*therapeutic use', 'Busulfan/therapeutic use', 'Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y', 'Clinical Trials as Topic', 'Cytarabine/therapeutic use', 'Daunorubicin/therapeutic use', 'Drug Evaluation', 'Drug Therapy, Combination', 'Evaluation Studies as Topic', 'Female', 'Humans', 'Hydroxyurea/therapeutic use', 'Leukemia, Myeloid/*drug therapy/genetics/*therapy', 'Male', 'Middle Aged', 'Splenectomy', 'Thioguanine/therapeutic use']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Ser Haematol. 1975;8(4):143-56.,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', 'FTK8U1GZNX (Thioguanine)', 'G1LN9045DK (Busulfan)', 'X6Q56QN5QC (Hydroxyurea)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,,,,,,,
798282,NLM,MEDLINE,19770415,20151119,0582-8082 (Print),8,4,1975,"A clinical trial of early splenectomy, hydroxyurea, and cyclic arabinosyl cytosine, vincristine, and prednisone in chronic myeloid leukemia. Italian Cooperative Study Group on Chronic Myeloid Leukemia.",121-42,,,['eng'],"['Clinical Trial', 'Journal Article']",,Denmark,Ser Haematol,Series haematologica (1968),101650673,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/*therapeutic use', 'Clinical Trials as Topic', 'Cytarabine/therapeutic use', 'Drug Evaluation', 'Drug Therapy, Combination', 'Female', 'Humans', 'Hydroxyurea/therapeutic use', 'Leukemia, Myeloid/*drug therapy/mortality/*therapy', 'Liver/pathology', 'Male', 'Middle Aged', 'Organ Size', 'Prednisone/therapeutic use', 'Spleen/pathology', '*Splenectomy/adverse effects', 'Time Factors', 'Vincristine/therapeutic use']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Ser Haematol. 1975;8(4):121-42.,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', 'VB0R961HZT (Prednisone)', 'X6Q56QN5QC (Hydroxyurea)']",,,,,,,,,,,,
798281,NLM,MEDLINE,19770415,20150205,0582-8082 (Print),8,4,1975,Comparative cytogenetic studies of bone marrow and extramedullary tissues in chronic myeloid leukemia.,113-7,"['Mitelman, F']",['Mitelman F'],['eng'],"['Case Reports', 'Comparative Study', 'Journal Article']",,Denmark,Ser Haematol,Series haematologica (1968),101650673,IM,"['Bone Marrow/ultrastructure', 'Bone Marrow Cells', '*Chromosome Aberrations', 'Chromosomes, Human, 16-18', 'Chromosomes, Human, 19-20', '*Chromosomes, Human, 21-22 and Y', 'Genetic Techniques', 'Humans', 'Leukemia, Myeloid/*genetics', 'Spleen/ultrastructure']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Ser Haematol. 1975;8(4):113-7.,,,,,,,,,,,,,
798170,NLM,MEDLINE,19770425,20071115,0031-3890 (Print) 0031-3890 (Linking),84,2,1976 Jun 30,[Neurologic complications of acute lymphoblastic leukemia in children with special reference to the prevention and therapy].,173-202,"['Esposito, L', 'Di Tullio, M T', 'Casale, F', 'Citarella, O']","['Esposito L', 'Di Tullio MT', 'Casale F', 'Citarella O']",['ita'],"['English Abstract', 'Journal Article', 'Review']",Sulle complicazioni neurologiche nella leucemia linfoblastica acuta del bambino con particolare riguardo alla profilassi ed alla terapia,Italy,Pediatria (Napoli),La Pediatria,0401207,IM,"['Adrenal Cortex Hormones/therapeutic use', 'Antineoplastic Agents/adverse effects/therapeutic use', 'Asparaginase/therapeutic use', 'Brain Neoplasms/complications', 'Central Nervous System Diseases/*etiology', 'Cerebral Hemorrhage/etiology', 'Child', 'Child, Preschool', 'Cranial Nerves', 'Humans', 'Leukemia, Lymphoid/*complications/drug therapy', 'Nerve Compression Syndromes/etiology']",1976/06/30 00:00,1976/06/30 00:01,['1976/06/30 00:00'],"['1976/06/30 00:00 [pubmed]', '1976/06/30 00:01 [medline]', '1976/06/30 00:00 [entrez]']",ppublish,Pediatria (Napoli). 1976 Jun 30;84(2):173-202.,"['0 (Adrenal Cortex Hormones)', '0 (Antineoplastic Agents)', 'EC 3.5.1.1 (Asparaginase)']",108,,,,,,,,,,,
798159,NLM,MEDLINE,19770428,20061115,0362-3025 (Print) 0362-3025 (Linking),6,,1976,Cytogenetics in human leukemia.,203-20,"['Trujillo, J M']",['Trujillo JM'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",,United States,Pathobiol Annu,Pathobiology annual,1305471,IM,"['Aneuploidy', 'Female', 'Humans', 'Karyotyping', 'Leukemia/*genetics/physiopathology', 'Male', 'Sex Chromosomes/physiology/ultrastructure', 'Translocation, Genetic']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Pathobiol Annu. 1976;6:203-20.,,87,,,,,,,,,,,
